ERR1913308.242__1.242	28117__B0MUR5__BHV66_03900
ERR1913308.1714410__1.1714410	28052__R7NEG2__yihY
ERR1913308.1714586__1.1714586	214856__I3YPP3__Alfi_2701
ERR1913308.1714667__1.1714667	820__A0A3E4VXP2__yesR
ERR1913308.1714863__1.1714863	166486__A0A173VSA0__ROSINTL182_06124
ERR1913308.1715069__1.1715069	1628085__A0A396Q8F3__C7386_11924
ERR1913308.1715245__1.1715245	28139__A0A379MUK5__xerD_3
ERR1913308.1715535__1.1715535	820__A0A374Q8T2__DXB64_16190
ERR1913308.1715588__1.1715588	1262753__R5B189__BN813_02086
ERR1913308.1715713__1.1715713	246787__A0A3D6B2C7__BcellWH2_03259
ERR1913308.1715734__1.1715734	821__A0A396F9T7__M097_3427
ERR1913308.1715764__1.1715764	39491__C4ZAT2__ERE_28440
ERR1913308.1715885__1.1715885	61171__B9Y3R2__HOLDEFILI_00442
ERR1913308.1716043__1.1716043	1550024__A0A0D8IUW2__TQ39_17855
ERR1913308.1716002__1.1716002	39491__A0A0M6WNS5__DXC13_02015
ERR1913308.1716057__1.1716057	853__E2ZGD9__C7J97_11715
ERR1913308.1716196__1.1716196	820__A0A174LJB2__HMPREF1072_04112
ERR1913308.1716212__1.1716212	39485__C4Z1Y9__EUBELI_00143
ERR1913308.1716434__1.1716434	649756__D4MY87__ERS852520_02651
ERR1913308.1716576__1.1716576	1262753__R5B890__BN813_02145
ERR1913308.1716606__1.1716606	214851__D1PSL1__SUBVAR_07394
ERR1913308.1716614__1.1716614	745368__A0A1T4Y388__SAMN02745178_02684
ERR1913308.1716686__1.1716686	820__A0A139KHX1__HMPREF2141_00289
ERR1913308.1716812__1.1716812	626940__E8LFE6__DCQ00_00370
ERR1913308.1716859__1.1716859	853__E2ZJT1__C4N23_03535
ERR1913308.1717209__1.1717209	820__A0A3E4FZM1__adaA_2
ERR1913308.1717581__1.1717581	823__A0A078SYK6__DXB14_02485
ERR1913308.1717603__1.1717603	246787__A0A0P0GG22__BACCELL_01899
ERR1913308.1717868__1.1717868	166486__A0A1Q6SG96__ROSINTL182_05330
ERR1913308.1717927__1.1717927	821__A0A3E4XY72__NCTC10583_01067
ERR1913308.1718146__1.1718146	39491__A0A0M6WNS5__DXC13_02015
ERR1913308.1718283__1.1718283	820__E5VA63__DXC80_01025
ERR1913308.1718371__1.1718371	1262753__R5AWD4__BN813_01000
ERR1913308.1718450__1.1718450	216816__A0A2N0SME6__BLIF_1881
ERR1913308.1718558__1.1718558	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913308.1718544__1.1718544	39491__A0A396FNY7__LD38_16155
ERR1913308.1718680__1.1718680	1262753__R5B895__BN813_02150
ERR1913308.1718691__1.1718691	823__D0TGD9__hpt
ERR1913308.1718627__1.1718627	820__A0A139K5A6__DXB48_12175
ERR1913308.1718761__1.1718761	39491__A0A396FKI0__DXC13_11560
ERR1913308.1719074__1.1719074	1262753__R5B6W4__BN813_00699
ERR1913308.1719359__1.1719359	166486__D4KX18__ROSINTL182_07596
ERR1913308.1719455__1.1719455	820__I9TWZ7__DXC80_10550
ERR1913308.1719565__1.1719565	2049043__A0A316ML61__DBY37_11150
ERR1913308.1719580__1.1719580	626929__F3PJ28__B5F24_03465
ERR1913308.1719692__1.1719692	39485__C4Z6R3__mcp2_1
ERR1913308.1720042__1.1720042	1262753__R5B331__BN813_00177
ERR1913308.1720277__1.1720277	1262753__R5B331__BN813_00177
ERR1913308.1720440__1.1720440	28117__B0MWC6__BHV66_00965
ERR1913308.1720454__1.1720454	820__I9J701__ERS852510_01809
ERR1913308.1720842__1.1720842	820__A0A3E5BMG9__DXD40_05130
ERR1913308.1720882__1.1720882	39491__A0A395ZDC6__addB
ERR1913308.1720974__1.1720974	853__A0A174C5M1__CGS58_04460
ERR1913308.1720982__1.1720982	820__A0A3E4RUC4__DHU98_02635
ERR1913308.1720985__1.1720985	39485__A0A1Q6PH92__cbbX
ERR1913308.1721074__1.1721074	853__A0A174C5M1__CGS58_04460
ERR1913308.1721141__1.1721141	820__A0A174A6K0__M093_0079
ERR1913308.1721297__1.1721297	214856__I3YMC8__ERS852447_02666
ERR1913308.1721711__1.1721711	1235835__R9LCU2__C814_02677
ERR1913308.1721812__1.1721812	821__A0A174JYD3__ERS852457_02610
ERR1913308.1721894__1.1721894	626940__E8LDK5__DCQ00_02560
ERR1913308.1721903__1.1721903	28117__B0MTV0__BHV66_06395
ERR1913308.1721871__1.1721871	626929__F3PGX9__HMPREF9445_01323
ERR1913308.1721879__1.1721879	39486__B0G7Q1__HMPREF9457_01488
ERR1913308.1721847__1.1721847	166486__D4KVZ0__ERS852572_03130
ERR1913308.1722046__1.1722046	1262886__R6RCC2__BN563_00326
ERR1913308.1722056__1.1722056	166486__A0A173VSA0__ROSINTL182_06124
ERR1913308.1722114__1.1722114	626929__R6L5A2__SAMN05444376_1245
ERR1913308.1722116__1.1722116	39491__A0A395V297__EUR_01010
ERR1913308.1722238__1.1722238	853__A0A174C5M1__CGS58_04460
ERR1913308.1722478__1.1722478	46228__V8C9Y1__DXD17_09525
ERR1913308.1722528__1.1722528	626929__F3PLK3__SAMN05444376_0455
ERR1913308.1722912__1.1722912	39491__A0A396FJJ9__DXB76_11995
ERR1913308.1722949__1.1722949	39491__D4JMW8__ERS852497_01971
ERR1913308.1722958__1.1722958	39491__C4Z8S1__DXB76_06750
ERR1913308.1723018__1.1723018	1262930__R6AVG7__BN693_02115
ERR1913308.1723131__1.1723131	301302__A0A173TZN3__M72_00321
ERR1913308.1723070__1.1723070	1160721__W0U1Y8__BHW50_02040
ERR1913308.1723320__1.1723320	1262753__R5B1D7__BN813_01254
ERR1913308.1723373__1.1723373	820__A0A174P0L5__glcK_3
ERR1913308.1723449__1.1723449	2049039__A0A316SEF0__DBY32_00020
ERR1913308.1723571__1.1723571	40518__R5DUG7__sbcC
ERR1913308.1723723__1.1723723	626929__F3PKZ6__B5F24_10665
ERR1913308.1723668__1.1723668	820__A0A139KHX1__HMPREF2141_00289
ERR1913308.1723837__1.1723837	46228__V8BPQ7__HMPREF1202_02326
ERR1913308.1724135__1.1724135	246787__A0A0P0GV75__HMPREF1062_00095
ERR1913308.1724239__1.1724239	853__A8S882__C4N23_07600
ERR1913308.1724341__1.1724341	39491__A0A174EQV2__DXB69_10230
ERR1913308.1724485__1.1724485	40520__A5ZSH0__ERS852533_03692
ERR1913308.1724611__1.1724611	820__A0A174VD39__DXD90_12235
ERR1913308.1724647__1.1724647	39491__A0A2U2EK03__ERE_28780
ERR1913308.1724706__1.1724706	166486__A0A1Q6S852__ERS852572_03466
ERR1913308.1724729__1.1724729	39491__C4ZF05__vpr
ERR1913308.1724682__1.1724682	74426__pflB_2
ERR1913308.1724741__1.1724741	820__R7E9Z4__DXC68_06065
ERR1913308.1724772__1.1724772	626940__E8LCC3__BN587_00961
ERR1913308.1725019__1.1725019	853__A0A174BZY1__xerD_1
ERR1913308.1725141__1.1725141	301302__A0A0M6WWK6__M72_13961
ERR1913308.1725644__1.1725644	626929__F3PF35__SAMN05444376_2373
ERR1913308.1725873__1.1725873	818__A0A139K023__trxA_3
ERR1913308.1725986__1.1725986	40518__R5E426__DXD93_04485
ERR1913308.1726060__1.1726060	1262929__R6F6C8__BN691_01344
ERR1913308.1726086__1.1726086	40518__R5DZM6__lytR_3
ERR1913308.1726134__1.1726134	820__A0A139K5A6__DXB48_12175
ERR1913308.1726363__1.1726363	39485__R5ZRT8__gmr_6
ERR1913308.1726475__1.1726475	39491__A0A173SH34__EUR_24920
ERR1913308.1726493__1.1726493	46228__V8C484__HMPREF1202_01707
ERR1913308.1726570__1.1726570	1262777__R5VV74__BN512_00530
ERR1913308.1726622__1.1726622	39496__A5Z5I2__EUBVEN_00963
ERR1913308.1726688__1.1726688	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913308.1726855__1.1726855	39491__C4Z8B6__ERE_17960
ERR1913308.1726874__1.1726874	853__A0A173XRA8__CGS56_09290
ERR1913308.1726994__1.1726994	820__A0A174GK47__ERS852421_00200
ERR1913308.1727091__1.1727091	820__R9HXK9__DXB62_08265
ERR1913308.1727123__1.1727123	1160721__R6TIT8__BHW50_03275
ERR1913308.1727292__1.1727292	291644__I8Y778__HMPREF1532_02537
ERR1913308.1727380__1.1727380	46228__V8BLJ0__DXD17_08675
ERR1913308.1727549__1.1727549	821__R7P1Q7__M099_2990
ERR1913308.1727593__1.1727593	39485__A0A174Z7G5__EUBELI_01168
ERR1913308.1727604__1.1727604	40518__A0A2N0UQR6__RBATCC27255_01177
ERR1913308.1727961__1.1727961	820__A0A174G065__DXB62_08975
ERR1913308.1727971__1.1727971	291644__I9T9Y0__HMPREF1071_01813
ERR1913308.1728055__1.1728055	39491__R6TNE2__LD38_07270
ERR1913308.1728191__1.1728191	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913308.1728278__1.1728278	39491__R6TNE2__LD38_07270
ERR1913308.1728291__1.1728291	626940__R6XYY7__DCQ00_03935
ERR1913308.1728359__1.1728359	214856__A0A175A1F5__ERS852559_01764
ERR1913308.1728421__1.1728421	820__A7V8C2__ERS852554_01338
ERR1913308.1728468__1.1728468	626929__F3PF38__HMPREF9445_00603
ERR1913308.1728483__1.1728483	39485__C4Z6N2__EUBELI_20479
ERR1913308.1728513__1.1728513	745368__A0A1T4Y9Q7__SAMN02745178_02874
ERR1913308.1728663__1.1728663	820__A0A3E4RUC4__DHU98_02635
ERR1913308.1728686__1.1728686	626940__E8LGH5__BHW43_03625
ERR1913308.1728855__1.1728855	47678__R5UPZ8__ERS852494_01752
ERR1913308.1728820__1.1728820	39491__A0A396FRK0__ERS852417_00541
ERR1913308.1728826__1.1728826	626940__E8LD48__DCQ00_06315
ERR1913308.1728938__1.1728938	820__A0A174G065__DXB62_08975
ERR1913308.1728950__1.1728950	544645__A0A3E4THR9__DXC42_03700
ERR1913308.1729068__1.1729068	853__A0A2A7B1Y7__C7K05_11930
ERR1913308.1729597__1.1729597	853__A0A174C5M1__CGS58_04460
ERR1913308.1729699__1.1729699	820__A0A3E4IGA7__DXD40_07110
ERR1913308.1729704__1.1729704	853__A0A173XRA8__CGS56_09290
ERR1913308.1729816__1.1729816	291644__I9HG96__HMPREF1071_03510
ERR1913308.1729839__1.1729839	820__A0A3E4W7J3__DXC07_00330
ERR1913308.1730038__1.1730038	818__A0A0P0F004__SAMN02910322_02925
ERR1913308.1730083__1.1730083	46228__V8C484__HMPREF1202_01707
ERR1913308.1730106__1.1730106	166486__C7GCP5__ROSINTL182_07683
ERR1913308.1730154__1.1730154	626929__F3PIK9__HMPREF9445_01807
ERR1913308.1730353__1.1730353	820__A0A174Q0F0__DXB48_08080
ERR1913308.1730379__1.1730379	2049043__A0A316MHE0__DBY37_13465
ERR1913308.1730367__1.1730367	410072__A0A173ZG02__ERS852574_01061
ERR1913308.1730413__1.1730413	46228__V8C458__DXD17_08090
ERR1913308.1730601__1.1730601	39491__C4Z9K7__EUBREC_0050
ERR1913308.1730836__1.1730836	1150298__A0A174MFX3__ERS852498_01752
ERR1913308.1730844__1.1730844	46228__B5CQX4__RUMLAC_01871
ERR1913308.1731026__1.1731026	28052__A0A174MLS2__ERS852451_02445
ERR1913308.1731232__1.1731232	166486__D4KWT3__ROSINTL182_05973
ERR1913308.1731437__1.1731437	820__A0A3E4WA06__ERS852554_03404
ERR1913308.1731639__1.1731639	1897011__A0A1Q6RIA1__BHW41_01225
ERR1913308.1731720__1.1731720	820__A0A174M9V5__M093_0237
ERR1913308.1731736__1.1731736	214856__I3YPQ0__ERS852447_01379
ERR1913308.1731822__1.1731822	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913308.1731850__1.1731850	1235835__R9LCU2__C814_02677
ERR1913308.1731902__1.1731902	1160721__W0U3K9__BHW50_11040
ERR1913308.1732012__1.1732012	1262753__R5BCK1__BN813_02229
ERR1913308.1732030__1.1732030	1150298__A0A174L2G3__ERS852498_01371
ERR1913308.1732056__1.1732056	39491__A0A174EQV2__DXB69_10230
ERR1913308.1732352__1.1732352	214851__D1PSK8__SUBVAR_07391
ERR1913308.1732479__1.1732479	46228__B5CPF2__RUMLAC_01345
ERR1913308.1732487__1.1732487	394340__thiC
ERR1913308.1732668__1.1732668	39491__A0A395ZG74__licR
ERR1913308.1732672__1.1732672	387090__S0F8B2__BACCOPRO_02129
ERR1913308.1732686__1.1732686	1262753__R5BCD8__BN813_02149
ERR1913308.1732630__1.1732630	626940__E8LEM1__BHW43_06255
ERR1913308.1732727__1.1732727	1160721__W0U560__RBI_I01229
ERR1913308.1732760__1.1732760	1897011__A0A1Q6RCX0__BHW41_05880
ERR1913308.1732857__1.1732857	1262753__R5AW71__BN813_00928
ERR1913308.1732884__1.1732884	820__A0A396EXA7__DXB37_15530
ERR1913308.1733221__1.1733221	820__A0A174A6K0__M093_0079
ERR1913308.1733194__1.1733194	1263044__GCA_000433375.1_03425
ERR1913308.1733200__1.1733200	246787__R6LGA6__tmoS_11
ERR1913308.1733302__1.1733302	818__Q89ZX6__ERS852511_03600
ERR1913308.1733331__1.1733331	39491__A0A173VYV1__DXC13_02710
ERR1913308.1733548__1.1733548	823__A6LB63__M095_1847
ERR1913308.1733575__1.1733575	572010__ydhV
ERR1913308.1733685__1.1733685	28052__A0A174N8X0__ERS852499_02136
ERR1913308.1733807__1.1733807	853__A0A3E2U7E6__ERS852582_01640
ERR1913308.1733906__1.1733906	246787__R6LGA6__tmoS_11
ERR1913308.1733952__1.1733952	1262753__R5B890__BN813_02145
ERR1913308.1734054__1.1734054	820__A0A3E5E9Y8__DXD90_09110
ERR1913308.1734242__1.1734242	40518__R5DS38__RBL236_00785
ERR1913308.1734429__1.1734429	820__A0A139K1Y6__DXB48_02610
ERR1913308.1734660__1.1734660	1160721__W0U3Z9__RBI_I00543
ERR1913308.1734743__1.1734743	1262753__R5B0D6__BN813_01004
ERR1913308.1734814__1.1734814	820__R9I2U8__DXC68_09590
ERR1913308.1734988__1.1734988	1160721__R6U983__RBI_I00047
ERR1913308.1735078__1.1735078	823__A0A173V751__DXD05_02690
ERR1913308.1735118__1.1735118	871324__A0A1M6HHB2__SAMN05444350_11868
ERR1913308.1735131__1.1735131	301302__R5UNJ6__M72_26701
ERR1913308.1735245__1.1735245	2049043__A0A316N386__DBY37_02205
ERR1913308.1735866__1.1735866	39491__A0A396FQV7__T1815_10751
ERR1913308.1736011__1.1736011	853__A0A174BA00__DW905_01145
ERR1913308.1735977__1.1735977	1262753__R5B0D6__BN813_01004
ERR1913308.1736298__1.1736298	166486__D4L1P2__ROSINTL182_05240
ERR1913308.1736448__1.1736448	626940__E8LEM1__BHW43_06255
ERR1913308.1736513__1.1736513	204516__U6R9H3__HMPREF1534_03348
ERR1913308.1736635__1.1736635	39488__A0A173RH64__EUBHAL_01712
ERR1913308.1736668__1.1736668	626929__F3PER9__HMPREF9445_00479
ERR1913308.1736703__1.1736703	39491__A0A396FS17__envC
ERR1913308.1736872__1.1736872	820__A0A3E4RU03__M093_0563
ERR1913308.1736962__1.1736962	820__A0A139KEW8__DXB64_06405
ERR1913308.1737720__1.1737720	1262753__R5B890__BN813_02145
ERR1913308.1737905__1.1737905	820__A0A3E5BMG9__DXD40_05130
ERR1913308.1738076__1.1738076	166486__D4L2C5__ERS852572_01688
ERR1913308.1738170__1.1738170	40518__R5E2F3__artQ
ERR1913308.1738195__1.1738195	1262753__R5B6I2__BN813_00596
ERR1913308.1738422__1.1738422	39491__A0A395V5R3__EUBREC_1883
ERR1913308.1738421__1.1738421	1897011__A0A1Q6RG59__BHW41_02475
ERR1913308.1738472__1.1738472	626940__R6XYY7__DCQ00_03935
ERR1913308.1738706__1.1738706	820__A0A3E4GA19__SAMN05444418_10562
ERR1913308.1738782__1.1738782	358743__G5HIX5__DWZ14_25630
ERR1913308.1738804__1.1738804	853__A0A173T6P2__DWZ46_14595
ERR1913308.1738892__1.1738892	40518__R5DZ88__DXD93_06320
ERR1913308.1739001__1.1739001	853__A0A173YYY4__DWZ04_09420
ERR1913308.1738956__1.1738956	39491__A0A396FIZ8__ERE_20410
ERR1913308.1738918__1.1738918	1150298__R7JUS7__ytlR
ERR1913308.1739119__1.1739119	649756__D4MUE9__ERS852425_03110
ERR1913308.1739058__1.1739058	28052__A0A174MH21__ERS852499_01905
ERR1913308.1739252__1.1739252	39485__A0A174ZMD4__ERS852492_01969
ERR1913308.1739323__1.1739323	328814__GCA_004558275.1_02279
ERR1913308.1739402__1.1739402	39491__A0A2U2EK03__ERE_28780
ERR1913308.1739479__1.1739479	626929__F3PF36__B5F24_16825
ERR1913308.1739511__1.1739511	166486__D4KZ95__ERS852572_03327
ERR1913308.1739592__1.1739592	28052__R7NBF1__yycG_1
ERR1913308.1739639__1.1739639	871324__A0A1M6HHE1__SAMN05444350_11871
ERR1913308.1739822__1.1739822	820__A0A3E4FZM1__adaA_2
ERR1913308.1739893__1.1739893	626929__F3PER9__HMPREF9445_00479
ERR1913308.1739921__1.1739921	820__A7V470__HMPREF1072_02076
ERR1913308.1739949__1.1739949	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1913308.1740027__1.1740027	820__A0A139K5A6__DXB48_12175
ERR1913308.1740144__1.1740144	410072__A0A174LAX8__DXD67_10655
ERR1913308.1740119__1.1740119	1263044__GCA_000433375.1_03426
ERR1913308.1740246__1.1740246	1150298__A0A174D6N6__accB
ERR1913308.1740660__1.1740660	853__A0A173TAZ8__DWZ46_14590
ERR1913308.1740603__1.1740603	1262992__R5CXM7__BN795_01016
ERR1913308.1740614__1.1740614	166486__A0A173T114__ROSINTL182_05085
ERR1913308.1740811__1.1740811	1262753__R5BCD8__BN813_02149
ERR1913308.1740849__1.1740849	1862668__GCA_001945525.1_00030
ERR1913308.1740891__1.1740891	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913308.1740995__1.1740995	823__A0A073IAS1__M091_0201
ERR1913308.1741015__1.1741015	820__A0A3E4VZT7__DXB48_16145
ERR1913308.1741067__1.1741067	246787__A0A0P0GCR8__xynD_3
ERR1913308.1741138__1.1741138	39491__A0A395ZHV7__ykvU
ERR1913308.1741604__1.1741604	820__A0A174R952__DXB48_02570
ERR1913308.1741670__1.1741670	46228__B5CPT9__DXD17_07345
ERR1913308.1741788__1.1741788	39491__A0A396FSK3__ERS852417_00383
ERR1913308.1741853__1.1741853	626929__F3PKN8__HMPREF9445_02595
ERR1913308.1741952__1.1741952	853__A0A173XRA8__CGS56_09290
ERR1913308.1741960__1.1741960	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913308.1742024__1.1742024	394340__prfA
ERR1913308.1742039__1.1742039	74426__purC
ERR1913308.1742147__1.1742147	1262753__R5B358__BN813_01778
ERR1913308.1742114__1.1742114	823__D0TCC2__HMPREF1075_01590
ERR1913308.1742256__1.1742256	33039__R6P9Z4__ERS852502_00114
ERR1913308.1742337__1.1742337	626940__E8LG36__BN587_00913
ERR1913308.1742338__1.1742338	39491__A0A173RJ81__DXB76_01570
ERR1913308.1742365__1.1742365	572010__pnp
ERR1913308.1742585__1.1742585	1965555__A0A1Y4SCI3__B5E77_06315
ERR1913308.1742590__1.1742590	820__A0A374MMF0__HMPREF1073_03811
ERR1913308.1742619__1.1742619	166486__D4KVI9__comEA
ERR1913308.1742669__1.1742669	626929__F3PF35__SAMN05444376_2373
ERR1913308.1742712__1.1742712	166486__D4KWL3__ROSINTL182_06053
ERR1913308.1742994__1.1742994	820__A0A139K4W5__HMPREF2141_02394
ERR1913308.1743192__1.1743192	626940__E8LG81__BHW43_02530
ERR1913308.1743180__1.1743180	820__A7V049__DXB48_04755
ERR1913308.1743298__1.1743298	46228__B5CTC0__RUMLAC_02743
ERR1913308.1743349__1.1743349	39485__A0A174Z2K9__ERS852490_02052
ERR1913308.1743391__1.1743391	853__A0A173SUU8__CGS54_06840
ERR1913308.1743513__1.1743513	28052__R7NAF5__ERS852499_00597
ERR1913308.1743650__1.1743650	239935__A0A139TVJ4__CXT86_02020
ERR1913308.1743664__1.1743664	47678__R5U6J0__ERS852558_00310
ERR1913308.1743810__1.1743810	821__A0A0P0M5Z6__BVU_0429
ERR1913308.1743867__1.1743867	214856__I3YPR5__ERS852447_01364
ERR1913308.1743824__1.1743824	418240__A0A173YKG4__ycjO_4
ERR1913308.1743831__1.1743831	1262753__R5B2M4__BN813_00702
ERR1913308.1743944__1.1743944	39491__A0A396FP46__cobD_2
ERR1913308.1744086__1.1744086	626940__R6XX39__DCQ00_06610
ERR1913308.1744150__1.1744150	1262753__R5AW71__BN813_00928
ERR1913308.1744219__1.1744219	745368__A0A1T4Y6M3__SAMN02745178_02754
ERR1913308.1744312__1.1744312	818__A0A3E5HEU1__NCTC10582_02468
ERR1913308.1744440__1.1744440	246787__A0A0P0GF82__HMPREF1062_02163
ERR1913308.1744483__1.1744483	823__A0A078SYK6__DXB14_02485
ERR1913308.1744569__1.1744569	39491__A0A395V2Y7__DXB72_13970
ERR1913308.1744662__1.1744662	626929__F3PL44__SAMN05444376_0934
ERR1913308.1744690__1.1744690	214856__A0A174ZLY7__ERS852447_02456
ERR1913308.1744743__1.1744743	823__A0A173UDF6__CEQ22_003270
ERR1913308.1744812__1.1744812	820__A0A139K4T0__ERS852510_03146
ERR1913308.1744905__1.1744905	28117__B0MVL5__BHV66_01660
ERR1913308.1745217__1.1745217	1262753__R5AWK0__BN813_01056
ERR1913308.1745774__1.1745774	820__R9I3N4__M093_0061
ERR1913308.1745813__1.1745813	106588__A6P303__BACCAP_04887
ERR1913308.1745987__1.1745987	1897011__A0A1Q6RJV2__BHW41_00030
ERR1913308.1746015__1.1746015	47678__A5ZF31__DXB67_11050
ERR1913308.1746143__1.1746143	39491__A0A395UZZ5__htpG_1
ERR1913308.1746480__1.1746480	394340__guaA_1
ERR1913308.1746526__1.1746526	1262753__R5AWK0__BN813_01056
ERR1913308.1746561__1.1746561	626940__R6XYY7__DCQ00_03935
ERR1913308.1746562__1.1746562	246787__A0A3D6AXJ7__BACCELL_02379
ERR1913308.1746768__1.1746768	165179__A0A174SA26__PREVCOP_05758
ERR1913308.1747062__1.1747062	291644__I9TER0__HMPREF1532_01526
ERR1913308.1747346__1.1747346	626940__E8LD48__DCQ00_06315
ERR1913308.1747486__1.1747486	166486__D4KZH8__ERS852572_00419
ERR1913308.1747488__1.1747488	1262753__R5B890__BN813_02145
ERR1913308.1747565__1.1747565	853__A0A173XRA8__CGS56_09290
ERR1913308.1747723__1.1747723	821__A0A174NSU0__BVU_3144
ERR1913308.1747867__1.1747867	1262777__R5WBJ1__BN512_00713
ERR1913308.1748046__1.1748046	40518__R5DZU5__RBL263_00458
ERR1913308.1748121__1.1748121	1150298__R7JU97__ERS852498_02579
ERR1913308.1748134__1.1748134	821__A0A174WBC9__ERS852556_03145
ERR1913308.1748167__1.1748167	166486__D4L1P5__ERS852572_00758
ERR1913308.1748505__1.1748505	821__A0A0P0M2J4__DXD46_10295
ERR1913308.1748480__1.1748480	88431__A0A3D0F0E5__ERS852526_03216
ERR1913308.1748548__1.1748548	39491__A0A0M6WWT1__dus_2
ERR1913308.1748560__1.1748560	1160721__W0U5X6__RBI_I01796
ERR1913308.1748606__1.1748606	216816__A0A2N0SME6__BLIF_1881
ERR1913308.1748591__1.1748591	166486__D4KQG8__ERS852572_02379
ERR1913308.1748688__1.1748688	39491__A0A395UZZ5__htpG_1
ERR1913308.1748645__1.1748645	820__A0A173XIP7__B5G17_16050
ERR1913308.1748773__1.1748773	166486__D4L456__rpfG_10
ERR1913308.1748803__1.1748803	1262753__R5B4N0__BN813_02222
ERR1913308.1748985__1.1748985	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913308.1749041__1.1749041	166486__D4L398__ERS852572_03633
ERR1913308.1749160__1.1749160	823__A0A173VPM3__DHW69_17170
ERR1913308.1749179__1.1749179	40518__R5DZB1__DXD83_08840
ERR1913308.1749343__1.1749343	39491__A0A395ZL98__DXB99_00620
ERR1913308.1749608__1.1749608	820__A7V049__DXB48_04755
ERR1913308.1749710__1.1749710	1262753__R5B5B6__BN813_00024
ERR1913308.1749799__1.1749799	820__A0A396EXA7__DXB37_15530
ERR1913308.1750257__1.1750257	39491__A0A174EQV2__DXB69_10230
ERR1913308.1750286__1.1750286	820__A7VAR9__ERS852421_00197
ERR1913308.1750382__1.1750382	28118__F9Z5M1__NCTC10826_02946
ERR1913308.1750493__1.1750493	820__A0A174F0C1__nreB
ERR1913308.1750526__1.1750526	626929__F3PF45__B5F24_16795
ERR1913308.1750771__1.1750771	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913308.1750865__1.1750865	39485__C4Z6N2__EUBELI_20479
ERR1913308.1750961__1.1750961	28117__B0MZ14__ALIPUT_02383
ERR1913308.1751043__1.1751043	1262753__R5B4E8__BN813_02117
ERR1913308.1751231__1.1751231	39491__A0A395UYA6__EUBREC_0408
ERR1913308.1751521__1.1751521	166486__D4L1H3__sacC
ERR1913308.1751570__1.1751570	39491__A0A395ZG74__licR
ERR1913308.1751679__1.1751679	28052__A0A174Z2D5__mcp2_3
ERR1913308.1751724__1.1751724	820__A7VAR9__ERS852421_00197
ERR1913308.1751697__1.1751697	1160721__W0U2T9__BHW50_11050
ERR1913308.1751707__1.1751707	39491__A0A395V0H3__ERS852417_01192
ERR1913308.1751975__1.1751975	1263000__R5EKR3__BN466_00099
ERR1913308.1752160__1.1752160	820__A0A139JRS5__HMPREF1073_04025
ERR1913308.1752228__1.1752228	820__A0A139K5A6__DXB48_12175
ERR1913308.1752237__1.1752237	46228__B5CPU2__HMPREF1202_00621
ERR1913308.1752328__1.1752328	821__A0A396FEL8__C5Z04_06030
ERR1913308.1752391__1.1752391	1262753__R5B8L6__BN813_00309
ERR1913308.1752397__1.1752397	166486__C7G8R8__ROSINTL182_06294
ERR1913308.1752402__1.1752402	39485__A0A174Z9M2__yhbU_1
ERR1913308.1752415__1.1752415	820__R7E9Z4__DXC68_06065
ERR1913308.1752767__1.1752767	1160721__W0U330__BHW50_08125
ERR1913308.1753032__1.1753032	626929__F3PKN8__HMPREF9445_02595
ERR1913308.1753117__1.1753117	1262753__R5B6I2__BN813_00596
ERR1913308.1753307__1.1753307	820__A0A173W419__DXC68_17760
ERR1913308.1753432__1.1753432	39491__D6E118__DXB69_05765
ERR1913308.1753465__1.1753465	39491__A0A396FP46__cobD_2
ERR1913308.1753525__1.1753525	626929__R6MD77__SAMN05444376_2510
ERR1913308.1753750__1.1753750	39491__D4JM76__DXC13_02150
ERR1913308.1753826__1.1753826	39491__D4JMW8__ERS852497_01971
ERR1913308.1753905__1.1753905	1262753__R5B6I2__BN813_00596
ERR1913308.1754583__1.1754583	1235835__R9LCU2__C814_02677
ERR1913308.1754793__1.1754793	166486__R6AY46__ROSINTL182_06128
ERR1913308.1754807__1.1754807	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913308.1754808__1.1754808	39491__A0A174A751__DXB69_15525
ERR1913308.1754810__1.1754810	246787__E2NH87__BcellWH2_04496
ERR1913308.1754853__1.1754853	745368__A0A1T4XUU0__SAMN02745178_02347
ERR1913308.1755048__1.1755048	246787__A0A3D6B2C7__BcellWH2_03259
ERR1913308.1755392__1.1755392	1628085__A0A2U1BDY5__C7386_104102
ERR1913308.1755509__1.1755509	39485__C4Z684__ERS852492_01895
ERR1913308.1755674__1.1755674	626940__E8LE18__BN587_01026
ERR1913308.1755895__1.1755895	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913308.1755905__1.1755905	384639__GCA_003096855.1_00996
ERR1913308.1756022__1.1756022	820__A0A139KHD8__ERS417307_00569
ERR1913308.1756128__1.1756128	820__A0A174A6K0__M093_0079
ERR1913308.1756137__1.1756137	166486__A0A173VTG0__ROSINTL182_06283
