ERR1913290.39__1.39	28118__F9Z5N6__SAMEA44545918_01718
ERR1913290.360107__1.360107	674529__A0A174P761__SAMN05444400_106145
ERR1913290.360110__1.360110	820__A0A3E4W9D9__B5G17_12400
ERR1913290.360169__1.360169	28116__A0A1Y4PVG6__Bovatus_02664
ERR1913290.360248__1.360248	28118__R6FY14__NCTC10826_00745
ERR1913290.360310__1.360310	28116__F7L4X5__M089_2857
ERR1913290.360482__1.360482	487174__K0XM88__DDY40_02935
ERR1913290.360486__1.360486	1897011__A0A1Q6RJH2__BHW41_00235
ERR1913290.360551__1.360551	853__A0A174BZY1__xerD_1
ERR1913290.360552__1.360552	39492__D4JQS6__ykoD
ERR1913290.360825__1.360825	821__A0A395UNT8__DXD64_15275
ERR1913290.360826__1.360826	246787__I9QX02__HMPREF1062_01641
ERR1913290.360848__1.360848	556259__E5C690__BSGG_1431
ERR1913290.361152__1.361152	674529__R6UVJ4__DXB21_05405
ERR1913290.361236__1.361236	821__A0A173WG51__BVU_2549
ERR1913290.361237__1.361237	674529__A0A174HPT9__SAMN05444400_11358
ERR1913290.361299__1.361299	28116__A0A395VSP8__ERS852555_02642
ERR1913290.361354__1.361354	821__A0A174NM17__lacZ_6
ERR1913290.361371__1.361371	338188__C9KYW9__ERS852397_01315
ERR1913290.361432__1.361432	821__C6ZAA5__ERS852556_00403
ERR1913290.361457__1.361457	671267__R9IB12__C802_00696
ERR1913290.361530__1.361530	817__A0A2M9USQ1__M110_1782
ERR1913290.361533__1.361533	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913290.361547__1.361547	28116__A0A1Y4PEX5__DXF98_25295
ERR1913290.361550__1.361550	39491__A0A174LTW7__DXD13_08720
ERR1913290.361706__1.361706	28116__A7M018__M089_5540
ERR1913290.361762__1.361762	360807__A0A173WJE3__mcp4_4
ERR1913290.361776__1.361776	28116__A0A1Y4PVG6__Bovatus_02664
ERR1913290.361851__1.361851	1262992__R5D224__BN795_00203
ERR1913290.361864__1.361864	214856__I3YPI7__pepD_1
ERR1913290.361939__1.361939	371601__A0A1H4AKU1__BXY_45200
ERR1913290.362210__1.362210	246787__A0A0P0G372__BcellWH2_03657
ERR1913290.362275__1.362275	1897011__A0A1Q6RFA6__BHW41_03080
ERR1913290.362493__1.362493	817__A0A1C0WL28__M105_1851
ERR1913290.362450__1.362450	817__F7LUN2__DXB09_18300
ERR1913290.362680__1.362680	1262743__R5C054__BN727_01980
ERR1913290.362690__1.362690	371601__C3R2J2__ERS852396_04353
ERR1913290.362706__1.362706	28116__A0A1G8H1M8__DXF98_11065
ERR1913290.362774__1.362774	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913290.363067__1.363067	1150298__A0A174SLE6__mlc_1
ERR1913290.363142__1.363142	28116__A0A3A9HTT7__BACOVA_05446
ERR1913290.363109__1.363109	39485__C4Z389__ERS852490_01920
ERR1913290.363530__1.363530	28116__A7M617__SAMN05192582_105025
ERR1913290.363608__1.363608	823__A0A355XN73__DXC05_07000
ERR1913290.363617__1.363617	28116__I9ST00__M088_5588
ERR1913290.363653__1.363653	28116__A0A139KS89__HMPREF2532_04387
ERR1913290.363692__1.363692	214856__R6Y7P0__ERS852447_00307
ERR1913290.363784__1.363784	853__A0A173RZ39__C4N22_01650
ERR1913290.363799__1.363799	818__A0A174LEN9__BJP75_006595
ERR1913290.363847__1.363847	39488__C0EY66__prkC_1
ERR1913290.363862__1.363862	39491__C4ZF05__vpr
ERR1913290.363872__1.363872	39491__R6UMS6__DXD13_07035
ERR1913290.363887__1.363887	823__A0A355XLS2__ERS852380_02644
ERR1913290.363908__1.363908	28116__F7L8I3__M089_1421
ERR1913290.363917__1.363917	745368__A0A1T4Y9Q7__SAMN02745178_02874
ERR1913290.363984__1.363984	28116__R6DIL2__DXD69_10970
ERR1913290.364211__1.364211	821__E5UY21__C800_02204
ERR1913290.364260__1.364260	39492__D4JT68__spoIIIE
ERR1913290.364357__1.364357	820__A0A174M9V5__M093_0237
ERR1913290.364553__1.364553	1150298__A0A174DPC6__ERS852535_01374
ERR1913290.364643__1.364643	556259__E5C690__BSGG_1431
ERR1913290.364698__1.364698	1262882__R5N0F4__BN519_00593
ERR1913290.364924__1.364924	820__A0A3E4W9D9__B5G17_12400
ERR1913290.364963__1.364963	871324__A0A1M6CBQ3__SAMN05444350_10466
ERR1913290.364966__1.364966	39492__D4JVC7__yfgF
ERR1913290.364985__1.364985	820__A0A1Y3V743__M093_0235
ERR1913290.365177__1.365177	357276__A0A0M1W9N4__GV66_05135
ERR1913290.365209__1.365209	820__A0A173XIP7__B5G17_16050
ERR1913290.365266__1.365266	821__E5UMZ6__BVU_1450
ERR1913290.365325__1.365325	28116__A0A3D2LWY1__ERS852555_01619
ERR1913290.365390__1.365390	1981510__A0A2K9P3G6__B9O19_01628
ERR1913290.365418__1.365418	28116__A0A395VSP8__ERS852555_02642
ERR1913290.365481__1.365481	329854__A0A3D6AT76__DXD57_12190
ERR1913290.365544__1.365544	745368__A0A1T4XUU0__SAMN02745178_02347
ERR1913290.365682__1.365682	823__A0A174LDE8__M096_3277
ERR1913290.365652__1.365652	1099853__R7DKZ4__NSB1T_03875
ERR1913290.365854__1.365854	745368__A0A1T4XK16__SAMN02745178_01970
ERR1913290.365943__1.365943	39492__D4MIK7__EUBSIR_00676
ERR1913290.365991__1.365991	28116__I9SW74__BACOVA_04237
ERR1913290.366003__1.366003	821__A6L0C7__ERS852556_03520
ERR1913290.366021__1.366021	246787__A0A3D6AV26__BcellWH2_02579
ERR1913290.366176__1.366176	39492__D4JTF2__mutS2
ERR1913290.366222__1.366222	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913290.366253__1.366253	1262882__R5N0F4__BN519_00593
ERR1913290.366319__1.366319	28116__E5CHV5__B5F02_08530
ERR1913290.366382__1.366382	853__A0A173RZ39__C4N22_01650
ERR1913290.366494__1.366494	820__A7V470__HMPREF1072_02076
ERR1913290.366670__1.366670	39485__A0A174ZPJ9__tig_2
ERR1913290.366864__1.366864	821__A0A174WBC9__ERS852556_03145
ERR1913290.367010__1.367010	28116__I9SW74__BACOVA_04237
ERR1913290.367016__1.367016	674529__R6V0V1__DXB21_06395
ERR1913290.367255__1.367255	28116__A0A3E5ID75__SAMN05444282_10832
ERR1913290.367454__1.367454	817__A0A395WHI5__M113_3549
ERR1913290.367488__1.367488	28116__A7M018__M089_5540
ERR1913290.367491__1.367491	46503__R6X0P2__DD461_08655
ERR1913290.367555__1.367555	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913290.367631__1.367631	28116__A0A3D2LPA1__CUY_3388
ERR1913290.367677__1.367677	821__A0A174AYT0__DXC02_03530
ERR1913290.367735__1.367735	292800__A0A096DG10__HMPREF9460_01046
ERR1913290.367791__1.367791	418240__A0A174FQH1__yutF
ERR1913290.367792__1.367792	1262743__R5C054__BN727_01980
ERR1913290.367833__1.367833	821__D4VD59__BHV80_04260
ERR1913290.367912__1.367912	39492__A0A174ZG93__EUBSIR_00254
ERR1913290.367891__1.367891	33025__A0A395JHD9__C8D73_101774
ERR1913290.367949__1.367949	357276__A0A076IIL0__EL88_03065
ERR1913290.368213__1.368213	46503__R6WY21__DXB85_01605
ERR1913290.368268__1.368268	2108523__A0A2P2FCZ2__LAWASA_3938
ERR1913290.368339__1.368339	556259__I0PXW0__BSGG_5187
ERR1913290.368305__1.368305	360807__A0A0M6WZV0__ERS852392_03150
ERR1913290.368314__1.368314	28116__A0A1Y4PHJ3__HMPREF1070_05178
ERR1913290.368354__1.368354	28116__A0A1Y4PDJ7__C5Z02_08485
ERR1913290.368422__1.368422	28116__E5C3L8__DXF98_06270
ERR1913290.368679__1.368679	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913290.368880__1.368880	214856__I3YMC8__ERS852447_02666
ERR1913290.369048__1.369048	28116__A0A1Y4PVG6__Bovatus_02664
ERR1913290.369067__1.369067	39492__D4JTJ1__EUBSIR_01453
ERR1913290.369095__1.369095	39492__R6RT40__prkC_3
ERR1913290.369193__1.369193	674529__R6UTR5__DXB21_06400
ERR1913290.369171__1.369171	821__R6F3Y1__SAMN04487923_104318
ERR1913290.369181__1.369181	1150298__A0A174DPC6__ERS852535_01374
ERR1913290.369274__1.369274	820__A0A174DZ97__SAMN05444418_101240
ERR1913290.369294__1.369294	817__Q64ZX9__M067_0167
ERR1913290.369443__1.369443	1262911__R6GSH8__BN557_00939
ERR1913290.369490__1.369490	821__A6L0C7__ERS852556_03520
ERR1913290.369508__1.369508	47678__A5ZEA3__ERS852558_00257
ERR1913290.369536__1.369536	1150298__R7JV71__ERS852498_00755
ERR1913290.369599__1.369599	28118__R6FD01__B5F99_06665
ERR1913290.369618__1.369618	28116__A0A1G6G396__DXD69_22115
ERR1913290.369622__1.369622	371601__D4WBK5__BN891_3970
ERR1913290.369637__1.369637	214856__R6Y9P5__ERS852559_01811
ERR1913290.369689__1.369689	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913290.369697__1.369697	556259__I0PXW0__BSGG_5187
ERR1913290.369721__1.369721	1150298__A0A174K7D2__ERS852498_01147
ERR1913290.369800__1.369800	360807__A0A1Q6TAH8__RIL183_11271
ERR1913290.369819__1.369819	39491__C4Z9K0__DXD95_07445
ERR1913290.369837__1.369837	556259__E5C690__BSGG_1431
ERR1913290.369952__1.369952	820__A0A3E4XM43__DXC91_13960
ERR1913290.370051__1.370051	674529__R6UVG4__DXB21_01250
ERR1913290.370075__1.370075	28116__E5CHV3__DHW41_06155
ERR1913290.370151__1.370151	28116__A0A1Y4PWN5__M088_3731
ERR1913290.370119__1.370119	1150298__R7JL35__ERS852498_02809
ERR1913290.370397__1.370397	214856__R6XYY8__ERS852447_01722
ERR1913290.370466__1.370466	357276__B6W1J2__BACDOR_03380
ERR1913290.370661__1.370661	371601__D6CXF8__DXD80_06045
ERR1913290.370804__1.370804	328814__GCA_004558275.1_01621
ERR1913290.370882__1.370882	28117__B0MY40__BHV66_05170
ERR1913290.370904__1.370904	487174__K0WV96__HMPREF9448_01901
ERR1913290.370934__1.370934	39492__D4JTK2__EUBSIR_01439
ERR1913290.371006__1.371006	28116__A0A1Y4Q112__evgS_13
ERR1913290.371068__1.371068	820__A0A174CG08__DXB62_13215
ERR1913290.371300__1.371300	487174__R5FN40__HMPREF9448_01366
ERR1913290.371339__1.371339	28116__A0A1Y4PWZ5__DXF98_14885
ERR1913290.371645__1.371645	1150298__A0A174QSN4__rpoD
ERR1913290.371648__1.371648	556259__I0PXW0__BSGG_5187
ERR1913290.371660__1.371660	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913290.371639__1.371639	821__A0A174TD86__C800_00949
ERR1913290.371699__1.371699	1262824__R6RK15__BN719_01613
ERR1913290.371749__1.371749	823__A0A355XIK0__CEQ22_011965
ERR1913290.371838__1.371838	39492__D4JR20__trmD
ERR1913290.371887__1.371887	821__A0A0P0M6M0__M097_4734
ERR1913290.371922__1.371922	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913290.371960__1.371960	28116__C3QZB5__M088_3811
ERR1913290.372320__1.372320	246787__A0A0P0FSC9__BACCELL_02534
ERR1913290.372343__1.372343	166486__R6AY46__ROSINTL182_06128
ERR1913290.372344__1.372344	28116__D7K2E0__endOF2_3
ERR1913290.372447__1.372447	556259__E5C8S0__BSGG_1769
ERR1913290.372546__1.372546	28116__A0A139LD88__CUY_2408
ERR1913290.372721__1.372721	39491__D6E558__DXB69_00810
ERR1913290.372801__1.372801	818__A0A1H7L4U6__BSIG_3287
ERR1913290.373102__1.373102	371601__C3R2J2__ERS852396_04353
ERR1913290.373077__1.373077	823__A0A174JYU9__DER51_02115
ERR1913290.373155__1.373155	1150298__A0A174I6Y0__ERS852498_00576
ERR1913290.373168__1.373168	371601__G1UK36__HMPREF1074_03496
ERR1913290.373246__1.373246	28116__D7J6A7__NCTC11153_02798
ERR1913290.373510__1.373510	204516__U6RAM4__HMPREF1534_03439
ERR1913290.373478__1.373478	1150298__R7JUS7__ytlR
ERR1913290.373568__1.373568	820__A0A139KHX1__HMPREF2141_00289
ERR1913290.373642__1.373642	1262882__R5MT42__BN519_01729
ERR1913290.373730__1.373730	39492__A0A3D4MN89__nadD
ERR1913290.373748__1.373748	28116__A0A1Y4PWN5__M088_3731
ERR1913290.373840__1.373840	28116__I8YA07__C5Z02_15915
ERR1913290.373990__1.373990	820__A0A139K0J1__HMPREF2141_03205
ERR1913290.374033__1.374033	821__D4VD59__BHV80_04260
ERR1913290.374086__1.374086	28116__A0A139KS89__HMPREF2532_04387
ERR1913290.374147__1.374147	301302__R5V671__M72_27831
ERR1913290.374167__1.374167	46503__K5ZM81__DCY29_16460
ERR1913290.374360__1.374360	410072__A0A173XU61__ykvU
ERR1913290.374389__1.374389	556259__E5C690__BSGG_1431
ERR1913290.374424__1.374424	28116__A7LS02__DXF98_24100
ERR1913290.374402__1.374402	823__A0A395YZG9__M092_4358
ERR1913290.374541__1.374541	821__A0A174NM17__lacZ_6
ERR1913290.374719__1.374719	39492__D4JQY4__EUBSIR_01325
ERR1913290.374780__1.374780	28116__I9ST00__M088_5588
ERR1913290.374854__1.374854	328814__GCA_004558275.1_00288
ERR1913290.374859__1.374859	821__R7P1Q7__M099_2990
ERR1913290.374876__1.374876	28116__A0A1G6G396__DXD69_22115
ERR1913290.374929__1.374929	371601__E5CE41__ERS852396_04351
ERR1913290.374936__1.374936	821__A0A174AYT0__DXC02_03530
ERR1913290.375085__1.375085	556259__E5C690__BSGG_1431
ERR1913290.375152__1.375152	371601__I9AAD2__B5E50_12410
ERR1913290.375164__1.375164	487174__K0WZ94__HMPREF9448_00984
ERR1913290.375294__1.375294	821__A6L0C7__ERS852556_03520
ERR1913290.375514__1.375514	820__A7UYX8__DXD40_11635
ERR1913290.375570__1.375570	39492__B0MNL5__phoR_1
ERR1913290.375613__1.375613	1262911__R6GQM3__BN557_01245
ERR1913290.375662__1.375662	28116__A0A078Q626__HMPREF1070_02735
ERR1913290.375698__1.375698	397865__W0EUU4__BARVI_11800
ERR1913290.375743__1.375743	35833__S2KXG2__HMPREF0179_05243
ERR1913290.376169__1.376169	674529__A0A174I0V6__DXB21_05415
ERR1913290.376242__1.376242	1262743__R5C054__BN727_01980
ERR1913290.376310__1.376310	246787__A0A3D6AXI0__AA416_04256
ERR1913290.376343__1.376343	39492__D4JX40__EUBSIR_00020
ERR1913290.376387__1.376387	821__A0A395US34__C5Z04_18975
ERR1913290.376494__1.376494	28116__A0A078Q1V5__SAMN05444282_12168
ERR1913290.376504__1.376504	28116__F7L4N5__BACOVA_00137
ERR1913290.376731__1.376731	28118__R6F6C0__Odosp_0731
ERR1913290.376701__1.376701	28116__A0A139KS89__HMPREF2532_04387
ERR1913290.376706__1.376706	46503__R6X2Z6__PARMER_01597
ERR1913290.376861__1.376861	1262882__R5MFR3__BN519_00473
ERR1913290.376894__1.376894	823__A6LER2__ERS852513_00365
ERR1913290.377008__1.377008	556259__E5C9G2__BSGG_2011
ERR1913290.377133__1.377133	28116__D7K2E0__endOF2_3
ERR1913290.377354__1.377354	28116__A0A139L6N6__HMPREF2532_02529
ERR1913290.377355__1.377355	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913290.377428__1.377428	1262743__R5C054__BN727_01980
ERR1913290.377435__1.377435	1099853__U5CBE8__NSB1T_09415
ERR1913290.377507__1.377507	820__I9J701__ERS852510_01809
ERR1913290.377508__1.377508	28118__F9ZBL4__NCTC10826_02348
ERR1913290.377651__1.377651	39491__A0A396FEV5__EUR_24750
ERR1913290.377697__1.377697	28116__I9SW74__BACOVA_04237
ERR1913290.377698__1.377698	28116__A0A395W0G7__NCTC11153_02716
ERR1913290.377716__1.377716	1262992__R5CX54__BN795_00843
ERR1913290.377827__1.377827	33025__A0A395JEP7__C8D73_10844
ERR1913290.378008__1.378008	39491__A0A395ZG74__licR
ERR1913290.378042__1.378042	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913290.378125__1.378125	28116__A0A1Y4PTX5__SAMN05192582_104017
ERR1913290.378260__1.378260	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913290.378230__1.378230	28116__A0A0J9IIV5__M089_5519
ERR1913290.378271__1.378271	1263044__GCA_000433375.1_00903
ERR1913290.378285__1.378285	446660__GCA_003428235.1_00291
ERR1913290.378772__1.378772	246787__A0A3D6AWJ7__AA416_00506
ERR1913290.378732__1.378732	39492__D4JT87__clpC
ERR1913290.378911__1.378911	1262743__R5C054__BN727_01980
ERR1913290.379046__1.379046	28116__D7K2E0__endOF2_3
ERR1913290.379053__1.379053	28116__R6DIL2__DXD69_10970
ERR1913290.379058__1.379058	33025__A0A395JEP7__C8D73_10844
ERR1913290.379182__1.379182	39492__B0MN61__epsF_2
ERR1913290.379258__1.379258	745368__A0A1T4X705__SAMN02745178_01472
ERR1913290.379300__1.379300	1897011__A0A1Q6RC54__BHW41_06555
ERR1913290.379331__1.379331	28116__A7LXT7__HMPREF1070_00356
ERR1913290.379512__1.379512	357276__I8WFU9__BACDOR_02006
ERR1913290.379645__1.379645	28116__A0A1Y4PNX5__DXF98_26515
ERR1913290.379758__1.379758	39485__A0A174YYW2__benM
ERR1913290.380060__1.380060	371601__C3QR34__DXD03_22980
ERR1913290.380197__1.380197	818__A0A139K023__trxA_3
ERR1913290.380376__1.380376	28116__A0A3A9HTT7__BACOVA_05446
ERR1913290.380399__1.380399	823__D7IUM6__M091_1082
ERR1913290.380417__1.380417	214856__R6Z4Q8__ERS852447_00885
ERR1913290.380447__1.380447	820__A0A139KG04__ERS852459_01249
ERR1913290.380537__1.380537	1897011__A0A1Q6RJI3__BHW41_00255
ERR1913290.380664__1.380664	357276__B6W1J2__BACDOR_03380
ERR1913290.380683__1.380683	166486__D4KW49__ROSINTL182_07746
ERR1913290.380730__1.380730	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913290.380797__1.380797	821__A0A395UNT8__DXD64_15275
ERR1913290.380870__1.380870	214856__R6XTZ7__ERS852447_02314
ERR1913290.380888__1.380888	360807__A0A0M6X184__ERS852392_03203
ERR1913290.380974__1.380974	39492__A0A175A133__cycB_1
ERR1913290.381041__1.381041	357276__I9QBT7__BSEG_03340
ERR1913290.381152__1.381152	821__A0A0P0L8F8__ERS852509_03705
ERR1913290.381164__1.381164	410072__A0A174AQ98__COPCOM_03377
ERR1913290.381190__1.381190	821__E5UY21__C800_02204
ERR1913290.381443__1.381443	821__U6RDC2__DXD46_15675
ERR1913290.381488__1.381488	214856__R5UN64__ERS852447_02669
ERR1913290.381510__1.381510	39492__D4JVC7__yfgF
ERR1913290.381575__1.381575	1262911__R6H2J2__BN557_01228
ERR1913290.381669__1.381669	28116__E5C3L8__DXF98_06270
ERR1913290.381707__1.381707	28116__A7LYG5__M089_5828
ERR1913290.381862__1.381862	820__A0A139K426__B5G17_09115
ERR1913290.381937__1.381937	745368__A0A1T4XVH8__SAMN02745178_02336
ERR1913290.381963__1.381963	28116__E5C5U2__HMPREF2532_02418
ERR1913290.382101__1.382101	387090__S0F8B2__BACCOPRO_02129
ERR1913290.382122__1.382122	39492__B0MPL6__EUBSIR_01779
ERR1913290.382380__1.382380	246787__A0A108TGC6__HMPREF1062_02270
ERR1913290.382344__1.382344	166486__D4KUE6__ROSINTL182_08604
ERR1913290.382457__1.382457	821__A0A174V2F3__NCTC10583_01474
ERR1913290.382522__1.382522	28116__A7M018__M089_5540
ERR1913290.382603__1.382603	28116__A0A1Y4Q367__ERS852555_04706
ERR1913290.382663__1.382663	28116__I9ST00__M088_5588
ERR1913290.382762__1.382762	487175__R5E5Q0__HMPREF9439_01445
ERR1913290.382775__1.382775	28116__R6DIL2__DXD69_10970
ERR1913290.383002__1.383002	40520__R7DCR4__DXB81_00490
ERR1913290.382976__1.382976	821__A0A0P0M5Z6__BVU_0429
ERR1913290.382980__1.382980	28116__E5C5U2__HMPREF2532_02418
ERR1913290.383101__1.383101	823__A0A355XEX9__ERS852560_03521
ERR1913290.383165__1.383165	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913290.383259__1.383259	28117__B0MTV0__BHV66_06395
ERR1913290.383267__1.383267	28116__A7LS02__DXF98_24100
ERR1913290.383368__1.383368	214856__R5UN64__ERS852447_02669
ERR1913290.383514__1.383514	39492__D4MIK7__EUBSIR_00676
ERR1913290.383452__1.383452	39492__D4JV38__EUBSIR_01205
ERR1913290.383810__1.383810	1263044__GCA_000433375.1_00903
ERR1913290.383798__1.383798	1150298__A0A174KML4__hisK
ERR1913290.383882__1.383882	371601__A0A1H4AKU1__BXY_45200
ERR1913290.383889__1.383889	1099853__G9S756__NSB1T_10585
ERR1913290.383924__1.383924	28116__C3QMW5__M089_4133
ERR1913290.383942__1.383942	39492__D4JRV7__EUBSIR_01513
ERR1913290.383998__1.383998	821__A0A3E4WAR6__DXD64_10735
ERR1913290.384050__1.384050	820__A0A139KHD8__ERS417307_00569
ERR1913290.384154__1.384154	820__A0A396EUU8__luxQ_3
ERR1913290.384233__1.384233	28116__A0A3D2LWY1__ERS852555_01619
ERR1913290.384319__1.384319	292800__U2BU47__ERS852544_01880
ERR1913290.384349__1.384349	821__A0A396EVC9__DXB90_03525
ERR1913290.384472__1.384472	821__R7P1Q7__M099_2990
ERR1913290.384479__1.384479	817__A0A139TB74__M116_3004
ERR1913290.384498__1.384498	28116__A0A078Q626__HMPREF1070_02735
ERR1913290.384532__1.384532	820__A0A174NUS8__DXC80_12885
ERR1913290.384543__1.384543	821__A0A395UNT8__DXD64_15275
ERR1913290.384715__1.384715	821__A0A174AYT0__DXC02_03530
ERR1913290.384781__1.384781	28116__A0A1Y4Q363__Bovatus_00608
ERR1913290.384903__1.384903	394340__ppdK
ERR1913290.384919__1.384919	166486__C7GAX1__ERS852572_03188
ERR1913290.384956__1.384956	820__A0A139KJ23__celCCA
ERR1913290.385021__1.385021	239935__A0A2N8IRL2__CXU06_01170
ERR1913290.385092__1.385092	28116__F7LC60__AA414_00422
ERR1913290.385082__1.385082	28116__E5C3L0__B5F02_21065
ERR1913290.385178__1.385178	821__A0A3E4KIM1__M097_3660
ERR1913290.385522__1.385522	674529__R6V187__DXB21_21665
ERR1913290.385693__1.385693	357276__B6W1J2__BACDOR_03380
ERR1913290.385848__1.385848	818__A0A174N1L6__ERS852511_02039
ERR1913290.385877__1.385877	28116__I9TDA4__BACOV975_03134
ERR1913290.386057__1.386057	360807__C0FZM4__RIL183_06871
ERR1913290.386073__1.386073	552398__F4XCQ4__HMPREF0866_01621
ERR1913290.386108__1.386108	820__R9I3Q7__HMPREF1072_01668
ERR1913290.386264__1.386264	820__A0A3E4W7J3__DXC07_00330
ERR1913290.386331__1.386331	28116__A7M617__SAMN05192582_105025
ERR1913290.386424__1.386424	821__A0A395UNT8__DXD64_15275
ERR1913290.386473__1.386473	1263044__GCA_000433375.1_01168
ERR1913290.386503__1.386503	821__A0A0P0M2J4__DXD46_10295
ERR1913290.386525__1.386525	853__A0A2A7B9I6__DW855_13690
ERR1913290.386639__1.386639	28116__I9SW74__BACOVA_04237
ERR1913290.386653__1.386653	745368__A0A1T4WRJ9__SAMN02745178_00938
ERR1913290.386864__1.386864	1262743__R5C054__BN727_01980
ERR1913290.386883__1.386883	39492__D4JT75__EUBSIR_01776
ERR1913290.387073__1.387073	28116__A0A395VUS9__DXD69_03560
ERR1913290.387355__1.387355	371601__G1UK36__HMPREF1074_03496
ERR1913290.387362__1.387362	1262911__R6GK39__BN557_01755
ERR1913290.387414__1.387414	28116__I9TDA4__BACOV975_03134
ERR1913290.387433__1.387433	28116__C3QQN3__CUY_4207
ERR1913290.387437__1.387437	328814__GCA_004558275.1_02167
ERR1913290.387534__1.387534	471189__GCA_003340385.1_00565
ERR1913290.387541__1.387541	1262992__R5DD88__BN795_01670
ERR1913290.387524__1.387524	301301__A0A395VG51__RHOM_05870
ERR1913290.387609__1.387609	556259__E5C690__BSGG_1431
ERR1913290.387624__1.387624	28116__A7M019__HMPREF1070_01109
ERR1913290.387777__1.387777	1262536__GeneID:16385454
ERR1913290.387832__1.387832	1262911__R6GT99__BN557_01335
ERR1913290.387909__1.387909	28116__A0A1Y4PZ83__DHW41_02625
ERR1913290.387932__1.387932	360807__C0FPW0__ROSEINA2194_00763
ERR1913290.387935__1.387935	556259__I0PYM3__BSGG_5385
ERR1913290.387943__1.387943	239935__A0A2N8IRW0__A4V05_11620
ERR1913290.388094__1.388094	28116__A0A3A9HSJ8__DXD69_15065
ERR1913290.388128__1.388128	46503__R6Y837__PARMER_03866
ERR1913290.388129__1.388129	39491__A0A3E4YFT8__DXB69_10940
ERR1913290.388330__1.388330	28116__D4WJ30__DHW41_06080
ERR1913290.388341__1.388341	246787__A0A139L268__BcellWH2_03192
ERR1913290.388562__1.388562	371601__E5CE41__ERS852396_04351
ERR1913290.388579__1.388579	246787__A0A0P0FTH5__HMPREF1062_06328
ERR1913290.388733__1.388733	28116__A0A1Y4PWN5__M088_3731
ERR1913290.388807__1.388807	821__A0A174K302__CUU_3129
ERR1913290.388894__1.388894	246787__R6KCH8__csbC
ERR1913290.388986__1.388986	165179__A0A3E5E2C8__folA
ERR1913290.389065__1.389065	33025__A0A395JJE3__C8D73_101669
ERR1913290.389193__1.389193	2108523__A0A2P2FCZ8__LAWASA_3945
ERR1913290.389268__1.389268	28116__A0A3D2LWY1__ERS852555_01619
ERR1913290.389244__1.389244	821__A6L0C7__ERS852556_03520
ERR1913290.389280__1.389280	28118__F9Z4Y7__DF785_06945
ERR1913290.389429__1.389429	1262911__R6GPM2__BN557_00937
ERR1913290.389394__1.389394	821__A0A174WBC9__ERS852556_03145
ERR1913290.389669__1.389669	1262882__R5N1R4__BN519_00788
ERR1913290.389856__1.389856	818__D7IK38__ERS852430_03017
ERR1913290.389991__1.389991	1897011__A0A1Q6RFC7__BHW41_03540
ERR1913290.390154__1.390154	28116__E5CHV5__B5F02_08530
ERR1913290.390103__1.390103	301301__A0A395VAD5__RHOM_06975
ERR1913290.390127__1.390127	820__A0A174KKV6__DXC07_02635
ERR1913290.390213__1.390213	246787__R6KIG0__BcellWH2_02358
ERR1913290.390300__1.390300	28116__A0A395VUS9__DXD69_03560
ERR1913290.390458__1.390458	28116__I9SW74__BACOVA_04237
ERR1913290.390480__1.390480	817__A0A396EMA4__M108_0298
ERR1913290.390671__1.390671	28116__C3QXZ9__DXA80_15295
ERR1913290.390779__1.390779	28118__F9ZCH4__kfoC_2
ERR1913290.390781__1.390781	820__A0A3E4G493__ERS417307_00253
ERR1913290.390878__1.390878	1897011__A0A1Q6RGA3__BHW41_02665
ERR1913290.390886__1.390886	487174__R5ER56__HMPREF9448_02812
ERR1913290.390950__1.390950	246787__A0A108T4D5__HMPREF1062_06346
ERR1913290.390984__1.390984	28116__A0A078QF71__HMPREF1070_01231
ERR1913290.391091__1.391091	28116__E5CHV5__B5F02_08530
ERR1913290.391216__1.391216	28116__A0A078Q1V5__SAMN05444282_12168
ERR1913290.391237__1.391237	487174__K0WRR5__DDY40_06130
ERR1913290.391322__1.391322	871325__A0A1M5CAW7__SAMN05444349_12350
ERR1913290.391355__1.391355	821__A0A174RA14__M099_1655
ERR1913290.391414__1.391414	28116__A7LYG5__M089_5828
ERR1913290.391520__1.391520	28116__A0A139L3C0__C5Z02_05550
ERR1913290.391645__1.391645	28118__F9ZCB1__Odosp_1317
ERR1913290.391678__1.391678	745368__A0A1T4XY03__SAMN02745178_02465
ERR1913290.391954__1.391954	246787__A0A0P0GCR8__xynD_3
ERR1913290.391893__1.391893	556259__E5C6L5__BSGG_0298
ERR1913290.391993__1.391993	338188__A0A174ETX3__ERS852397_01955
ERR1913290.392053__1.392053	28116__A0A395VSP8__ERS852555_02642
