ERR1913176.458__1.458	818__A0A0P0F391__BJP75_009470
ERR1913176.1075960__1.1075960	853__A0A2J4JL53__CRH10_10795
ERR1913176.1076189__1.1076189	328814__GCA_004558275.1_00035
ERR1913176.1076275__1.1076275	310297__B5CU85__DXB87_05250
ERR1913176.1076316__1.1076316	310297__B5D038__BACPLE_02359
ERR1913176.1076790__1.1076790	310297__R5V6Z3__BACPLE_02862
ERR1913176.1076984__1.1076984	246787__A0A108T429__BACCELL_00192
ERR1913176.1077055__1.1077055	328814__GCA_004558275.1_00069
ERR1913176.1077141__1.1077141	46506__B0NRL5__DXC34_10445
ERR1913176.1077158__1.1077158	1160721__W0U8M9__RBI_II00386
ERR1913176.1077293__1.1077293	1262824__R6S4G5__BN719_00335
ERR1913176.1077324__1.1077324	1263109__GCA_000438135.1_01430
ERR1913176.1077384__1.1077384	28116__A0A3D2LPA1__CUY_3388
ERR1913176.1077538__1.1077538	1304__J7THB8__A6J87_02295
ERR1913176.1077513__1.1077513	46506__A0A108TDB0__DXC34_12240
ERR1913176.1077669__1.1077669	310297__B5CXJ7__DXB87_06645
ERR1913176.1077795__1.1077795	853__A0A2A7A628__CGS57_13755
ERR1913176.1077798__1.1077798	310297__B5CWQ0__DXB87_14670
ERR1913176.1077970__1.1077970	310297__B5CZW4__BACPLE_02283
ERR1913176.1078192__1.1078192	1263006__R6LWF1__BN515_02111
ERR1913176.1078395__1.1078395	1897011__A0A1Q6RDX8__BHW41_05330
ERR1913176.1078458__1.1078458	1262761__R6RP99__BN606_00488
ERR1913176.1078460__1.1078460	569__A0A377PGW7__PU00_09020
ERR1913176.1078659__1.1078659	301301__A0A395VA63__sbcC
ERR1913176.1078704__1.1078704	357276__B6VT86__IY41_22515
ERR1913176.1078740__1.1078740	1897011__A0A1Q6RD70__BHW41_05845
ERR1913176.1078831__1.1078831	301301__G2T3Q2__ERS852391_00522
ERR1913176.1078884__1.1078884	487174__K0XES7__HMPREF9448_00566
ERR1913176.1079052__1.1079052	820__A0A374Q854__HMPREF1073_03281
ERR1913176.1079241__1.1079241	387090__S0F8B2__BACCOPRO_02129
ERR1913176.1079242__1.1079242	487174__K0XH97__HMPREF9448_01909
ERR1913176.1079266__1.1079266	28117__B0MXU0__BHV66_07550
ERR1913176.1079330__1.1079330	33025__A0A395JBU5__C8D73_10423
ERR1913176.1079405__1.1079405	47678__R5U3L4__C5Z00_12600
ERR1913176.1079729__1.1079729	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1913176.1079805__1.1079805	357276__A0A076J9V8__BACDOR_01395
ERR1913176.1079782__1.1079782	246787__A0A3D6AV26__BcellWH2_02579
ERR1913176.1080165__1.1080165	1160721__W0U1Y5__BHW50_01965
ERR1913176.1080154__1.1080154	817__A0A2M9UXF4__M141_1081
ERR1913176.1080239__1.1080239	310297__B5CXG7__DXD04_11450
ERR1913176.1080249__1.1080249	487174__K0X4L2__pgl
ERR1913176.1080251__1.1080251	1160721__R6TBU4__BHW50_04080
ERR1913176.1080399__1.1080399	1262927__R7F1Z1__BN677_00393
ERR1913176.1080454__1.1080454	28117__B0MXG7__BHV66_08620
ERR1913176.1080504__1.1080504	853__A0A174C5M1__CGS58_04460
ERR1913176.1080700__1.1080700	823__A6LEF3__ERS852560_01356
ERR1913176.1080959__1.1080959	1263006__R6LKA3__BN515_00205
ERR1913176.1081036__1.1081036	310297__R5VVK0__BACPLE_02007
ERR1913176.1081177__1.1081177	106588__A6NUL8__BACCAP_01900
ERR1913176.1081244__1.1081244	310297__B5CXJ7__DXB87_06645
ERR1913176.1081668__1.1081668	1160721__R6TAA3__BHW50_03385
ERR1913176.1081704__1.1081704	1262886__R6QD55__BN563_01713
ERR1913176.1081726__1.1081726	28117__B0MUR5__BHV66_03900
ERR1913176.1081727__1.1081727	1160721__W0U2H8__BHW50_07775
ERR1913176.1081936__1.1081936	46506__B0NM94__HMPREF1181_03250
ERR1913176.1082072__1.1082072	357276__A0A0M1W657__HMPREF1064_04629
ERR1913176.1082120__1.1082120	239935__R7DVW2__CXU02_03915
ERR1913176.1082139__1.1082139	820__A0A174NUS8__DXC80_12885
ERR1913176.1082114__1.1082114	853__A0A173YYY4__DWZ04_09420
ERR1913176.1082305__1.1082305	818__Q8A112__BT_3859
ERR1913176.1082408__1.1082408	1160721__W0U8M9__RBI_II00386
ERR1913176.1082490__1.1082490	820__A0A078S569__gmhB
ERR1913176.1082698__1.1082698	820__A0A374QGD2__ERS852421_02382
ERR1913176.1082954__1.1082954	820__A0A3E4RUC4__DHU98_02635
ERR1913176.1083101__1.1083101	46506__R6L6Y9__wza_1
ERR1913176.1083180__1.1083180	239935__A0A139TPD8__CXU12_11015
ERR1913176.1083228__1.1083228	310298__B3JQJ5__BACCOP_04231
ERR1913176.1083237__1.1083237	246787__R6KIG0__BcellWH2_02358
ERR1913176.1083384__1.1083384	39488__A0A374NPE4__EUBHAL_00845
ERR1913176.1083343__1.1083343	818__Q8A3I3__HMPREF2534_00068
ERR1913176.1083450__1.1083450	1628085__A0A1C6DC32__C7386_10623
ERR1913176.1083485__1.1083485	46506__R6AEP1__HMPREF1181_01415
ERR1913176.1083677__1.1083677	328814__GCA_004558275.1_00234
ERR1913176.1083877__1.1083877	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913176.1083854__1.1083854	1263107__GCA_000436995.1_00212
ERR1913176.1083981__1.1083981	46228__B5CPT7__HMPREF1202_00616
ERR1913176.1083982__1.1083982	820__A0A139KHD8__ERS417307_00569
ERR1913176.1084046__1.1084046	28117__B0MWH8__BHV66_01330
ERR1913176.1084092__1.1084092	53345__A0A377KH67__OMS_02601
ERR1913176.1084189__1.1084189	28117__B0MU53__ALIPUT_00569
ERR1913176.1084204__1.1084204	1150298__A0A174AP40__ERS852535_01165
ERR1913176.1084223__1.1084223	1150298__A0A174APS6__kinA
ERR1913176.1084242__1.1084242	357276__D1JZM4__HMPREF1065_01278
ERR1913176.1084351__1.1084351	47678__A5ZBL9__C5Z00_18710
ERR1913176.1084507__1.1084507	28118__F9Z7M5__B5F99_15930
ERR1913176.1084688__1.1084688	301301__A0A395V8J8__RHOM_11280
ERR1913176.1084811__1.1084811	1897011__A0A1Q6RG62__BHW41_02455
ERR1913176.1084942__1.1084942	820__A0A374QGD2__ERS852421_02382
ERR1913176.1085147__1.1085147	820__A0A139KHX1__HMPREF2141_00289
ERR1913176.1085257__1.1085257	246787__A0A0P0FSC0__cytR_2
ERR1913176.1085585__1.1085585	28111__E5WZR2__HMPREF1016_02168
ERR1913176.1085609__1.1085609	39485__C4Z6F3__EUBELI_20400
ERR1913176.1085804__1.1085804	823__A0A073I5R7__cloSI
ERR1913176.1085890__1.1085890	246787__A0A3D6AWJ7__AA416_00506
ERR1913176.1085905__1.1085905	47678__A5ZJ80__BACCAC_02965
ERR1913176.1086093__1.1086093	1263000__R5EKG2__BN466_02040
ERR1913176.1086452__1.1086452	28117__B0MU76__ALIPUT_00202
ERR1913176.1086453__1.1086453	818__A0A3E5HGB5__ERS852511_02145
ERR1913176.1086472__1.1086472	310297__R5VL46__BACPLE_00694
ERR1913176.1086563__1.1086563	820__A7V470__HMPREF1072_02076
ERR1913176.1086793__1.1086793	46228__V8C6B2__DXD17_09805
ERR1913176.1086806__1.1086806	1235835__R9LCU2__C814_02677
ERR1913176.1086891__1.1086891	46506__B0NUC3__SAMN05444283_1019
ERR1913176.1087077__1.1087077	394340__gatB
ERR1913176.1087155__1.1087155	310297__B5CVS6__DXB87_08665
ERR1913176.1087285__1.1087285	246787__A0A0P0FVC6__BACCELL_03671
ERR1913176.1087361__1.1087361	1263000__R5EMZ8__BN466_00707
ERR1913176.1087321__1.1087321	1263109__GCA_000438135.1_01184
ERR1913176.1087495__1.1087495	1262927__R7EZJ5__BN677_01850
ERR1913176.1087542__1.1087542	310297__B5CXJ7__DXB87_06645
ERR1913176.1087721__1.1087721	1796613__A0A1C7GYD6__A4V03_03700
ERR1913176.1087746__1.1087746	1263000__R5EBJ6__BN466_00543
ERR1913176.1087747__1.1087747	310297__B5CZ21__DXB87_00235
ERR1913176.1087789__1.1087789	1318__A0A3E4U5C6__TZ97_00998
ERR1913176.1087848__1.1087848	1263000__R5EFJ5__BN466_01372
ERR1913176.1087851__1.1087851	28117__B0MT73__ALIPUT_00412
ERR1913176.1087915__1.1087915	310297__B5D2W8__BACPLE_03358
ERR1913176.1087957__1.1087957	28117__B0MWX3__BHV66_03010
ERR1913176.1088213__1.1088213	1550024__G9RWE3__TQ39_04170
ERR1913176.1088310__1.1088310	817__A0A396EMI5__M134_2664
ERR1913176.1088491__1.1088491	357276__I8WEY2__ABI39_04185
ERR1913176.1088582__1.1088582	301301__A0A395V5B0__ERS852391_02078
ERR1913176.1088626__1.1088626	214856__A0A174CRY5__ERS852559_01060
ERR1913176.1088607__1.1088607	818__A0A139JVX2__ERS852557_01101
ERR1913176.1088805__1.1088805	28117__B0MXD0__ALIPUT_01669
ERR1913176.1089024__1.1089024	39491__D4JM76__DXC13_02150
ERR1913176.1089150__1.1089150	820__I9A4U7__DHU98_12785
ERR1913176.1089369__1.1089369	853__A0A174CVG7__CGS58_09335
ERR1913176.1089679__1.1089679	328814__GCA_004558275.1_02294
ERR1913176.1089707__1.1089707	823__D0TDY6__DHP27_09090
ERR1913176.1089768__1.1089768	1263006__R6LK25__BN515_01963
ERR1913176.1089777__1.1089777	1263000__R5EGY7__BN466_01478
ERR1913176.1089798__1.1089798	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913176.1090042__1.1090042	823__A0A395YRW4__DD466_15895
ERR1913176.1090434__1.1090434	1262920__R5KD76__BN467_01465
ERR1913176.1090464__1.1090464	1628085__A0A2U1BC42__C7386_10834
ERR1913176.1090972__1.1090972	1262761__R6QQ60__BN606_01316
ERR1913176.1091057__1.1091057	1263000__R5EK63__BN466_02075
ERR1913176.1091150__1.1091150	310297__R5VL46__BACPLE_00694
ERR1913176.1091340__1.1091340	204516__U6RAM4__HMPREF1534_03439
ERR1913176.1091582__1.1091582	310297__R5VE57__BACPLE_03332
ERR1913176.1091537__1.1091537	820__A0A139K4W1__M093_0353
ERR1913176.1091543__1.1091543	853__A0A173T6P2__DWZ46_14595
ERR1913176.1091704__1.1091704	1150298__R7JRK4__ERS852406_01648
ERR1913176.1091890__1.1091890	387090__S0F7Y3__BACCOPRO_02028
ERR1913176.1092021__1.1092021	820__A0A3E4PYB0__yejM
ERR1913176.1091987__1.1091987	544645__A0A1U7L710__DXC42_05105
ERR1913176.1092292__1.1092292	28118__F9ZBL4__NCTC10826_02348
ERR1913176.1092332__1.1092332	47678__R5UT83__DW706_09750
ERR1913176.1092366__1.1092366	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913176.1092419__1.1092419	357276__I9QBT7__BSEG_03340
ERR1913176.1092510__1.1092510	820__A0A3E4QZJ7__C801_01798
ERR1913176.1092574__1.1092574	46506__R6AC22__HMPREF1181_00516
ERR1913176.1092688__1.1092688	1160721__A0A1C6DCM8__RBI_I01997
ERR1913176.1092719__1.1092719	301301__A0A395VAJ9__RHOM_06125
ERR1913176.1092799__1.1092799	1262986__R6A878__BN492_00369
ERR1913176.1092977__1.1092977	1263006__R6LQ17__BN515_02097
ERR1913176.1093100__1.1093100	1160721__R6U7U7__cheW1
ERR1913176.1093171__1.1093171	1304__A0A1V0GL68__CGZ74_06870
ERR1913176.1093605__1.1093605	239935__A0A2N8IFA0__CXT92_02050
ERR1913176.1093632__1.1093632	246787__A0A3D6B2C7__BcellWH2_03259
ERR1913176.1093735__1.1093735	310297__R5W0Z1__BACPLE_02183
ERR1913176.1093754__1.1093754	1262777__R5VQJ8__BN512_00852
ERR1913176.1093999__1.1093999	246787__A0A0P0GNB7__xyl4
ERR1913176.1094000__1.1094000	1262927__R7F3Z0__BN677_00672
ERR1913176.1094205__1.1094205	552398__F4XCR9__HMPREF0866_01636
ERR1913176.1094238__1.1094238	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913176.1094297__1.1094297	1262927__R7EXB3__BN677_01826
ERR1913176.1094323__1.1094323	28117__B0MXW9__ALIPUT_01981
ERR1913176.1094344__1.1094344	457421__C5ERC0__CBFG_04276
ERR1913176.1094435__1.1094435	246787__A0A0P0FVC6__BACCELL_03671
ERR1913176.1094481__1.1094481	2292352__A0A374URH1__DXC23_03540
ERR1913176.1094663__1.1094663	46506__B0NRL7__arlS
ERR1913176.1094713__1.1094713	357276__I9FTR0__HMPREF1065_02861
ERR1913176.1094747__1.1094747	1263006__R6LND6__BN515_01578
ERR1913176.1094753__1.1094753	310297__B5CZW4__BACPLE_02283
ERR1913176.1094871__1.1094871	28117__B0MUR5__BHV66_03900
ERR1913176.1094970__1.1094970	820__A7VAR9__ERS852421_00197
ERR1913176.1095129__1.1095129	1263006__R6LS76__BN515_00750
ERR1913176.1095334__1.1095334	487174__K0WZN5__HMPREF9448_01108
ERR1913176.1095347__1.1095347	818__Q8A3I3__HMPREF2534_00068
ERR1913176.1095389__1.1095389	46228__B5CT56__RUMLAC_02679
ERR1913176.1095493__1.1095493	74426__rpoB
ERR1913176.1095809__1.1095809	357276__I9QBT7__BSEG_03340
ERR1913176.1095962__1.1095962	1263000__R5EKR3__BN466_00099
ERR1913176.1096038__1.1096038	28117__B0MUB4__BHV66_01895
ERR1913176.1096093__1.1096093	1263006__R6M2H0__BN515_00628
ERR1913176.1096177__1.1096177	1263109__GCA_000438135.1_01104
ERR1913176.1096404__1.1096404	46506__S3YVF9__BACSTE_02487
ERR1913176.1096411__1.1096411	1263006__R6LK25__BN515_01963
ERR1913176.1096479__1.1096479	301301__A0A395VAV2__RHOM_03775
ERR1913176.1096563__1.1096563	310297__R5VL46__BACPLE_00694
ERR1913176.1096712__1.1096712	46506__S3YVT5__BACSTE_02352
ERR1913176.1096820__1.1096820	46506__A0A108TAK3__fepA_3
ERR1913176.1096865__1.1096865	821__A0A395UNT8__DXD64_15275
ERR1913176.1096940__1.1096940	28117__B0MST6__BHV66_06090
ERR1913176.1097072__1.1097072	46503__R6XCJ0__PARMER_01847
ERR1913176.1097548__1.1097548	1160721__W0U3Q4__BHW50_08110
ERR1913176.1097560__1.1097560	357276__B6W5Q9__HMPREF1063_03125
ERR1913176.1097704__1.1097704	820__A0A396CMY7__HMPREF1072_03009
ERR1913176.1097841__1.1097841	46506__R6AEZ1__BACSTE_01801
ERR1913176.1097924__1.1097924	820__A0A139K5E7__DXC68_09550
ERR1913176.1098110__1.1098110	46506__R6L6Y9__wza_1
ERR1913176.1098130__1.1098130	28116__A0A3D2LPA1__CUY_3388
ERR1913176.1098153__1.1098153	40520__A0A174IJ62__DXC87_06795
ERR1913176.1098166__1.1098166	46503__K5ZKR1__dnaB
ERR1913176.1098291__1.1098291	357276__C3R5C9__HMPREF1063_00213
ERR1913176.1098338__1.1098338	1262927__R7EZM4__BN677_00280
ERR1913176.1098381__1.1098381	239935__A0A2N8IU14__ADH72_05655
ERR1913176.1098382__1.1098382	239935__A0A2N8HL14__CXT98_09285
ERR1913176.1098572__1.1098572	47678__A5ZBL9__C5Z00_18710
ERR1913176.1098639__1.1098639	1262886__R6QHX8__BN563_00685
ERR1913176.1098700__1.1098700	1262927__R7EY29__BN677_01934
ERR1913176.1098649__1.1098649	1099853__R7DEQ7__NSB1T_12415
ERR1913176.1098950__1.1098950	1262886__R6QCG3__BN563_00145
ERR1913176.1098954__1.1098954	246787__A0A3D6ARN8__yehU_6
ERR1913176.1099019__1.1099019	328814__GCA_004558275.1_00075
ERR1913176.1099061__1.1099061	360807__A0A173V2S2__phoR_7
ERR1913176.1099309__1.1099309	357276__I8WML9__DXD47_10570
ERR1913176.1099479__1.1099479	166486__D4KX00__ROSINTL182_07577
ERR1913176.1099536__1.1099536	310297__B5D433__DXC17_02005
ERR1913176.1099980__1.1099980	1263006__R6LR21__BN515_00462
ERR1913176.1100099__1.1100099	818__A0A174RFL1__ERS852511_03380
ERR1913176.1100230__1.1100230	820__A0A3E4VZT7__DXB48_16145
ERR1913176.1100253__1.1100253	853__D4JY61__C4N21_10560
ERR1913176.1100268__1.1100268	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913176.1100383__1.1100383	328814__GCA_004558275.1_00835
ERR1913176.1100458__1.1100458	1628085__A0A1C5ZB13__C7386_10421
ERR1913176.1100432__1.1100432	46506__R6AEP1__HMPREF1181_01415
ERR1913176.1100566__1.1100566	28117__B0MXL6__ALIPUT_01851
ERR1913176.1100570__1.1100570	239935__A0A2N8HT44__CXT84_11035
ERR1913176.1100624__1.1100624	46228__V8CAV6__addA
ERR1913176.1100862__1.1100862	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913176.1100968__1.1100968	357276__I8WPR6__EL88_06675
ERR1913176.1100975__1.1100975	360807__A0A1Q6T8W5__ROSEINA2194_03072
ERR1913176.1101012__1.1101012	310297__R5VE57__BACPLE_03332
ERR1913176.1101165__1.1101165	820__R9HXK9__DXB62_08265
ERR1913176.1101250__1.1101250	1304__J7SIV6__pspA_3
ERR1913176.1101339__1.1101339	1262886__R6QNU9__BN563_00617
ERR1913176.1101643__1.1101643	410072__C0BC02__ERS852481_00783
ERR1913176.1101680__1.1101680	1550024__G9RZG0__ASJ35_05540
ERR1913176.1101910__1.1101910	88431__A0A3D0EYE9__rafA
ERR1913176.1101934__1.1101934	1263000__R5EBJ1__BN466_00540
ERR1913176.1101941__1.1101941	39492__D4JRM9__bglB_2
ERR1913176.1102012__1.1102012	301301__A0A395V9V2__nplT_1
ERR1913176.1102270__1.1102270	218538__C9LN62__cirA
ERR1913176.1102343__1.1102343	214856__I3YMB7__Alfi_1811
ERR1913176.1102486__1.1102486	39491__A0A396FIU1__DXC13_07905
ERR1913176.1102551__1.1102551	29361__B6FKH5__CLONEX_00621
ERR1913176.1102659__1.1102659	569__A0A1B7KHS2__yliE
ERR1913176.1102739__1.1102739	820__A0A174CK74__DXB48_07060
ERR1913176.1102676__1.1102676	1160721__W0U4W5__BHW50_05260
ERR1913176.1102853__1.1102853	47678__A5ZEA3__ERS852558_00257
ERR1913176.1103456__1.1103456	106588__A6NUL8__BACCAP_01900
ERR1913176.1103385__1.1103385	239935__A0A2N8HM32__CXT85_08075
ERR1913176.1103479__1.1103479	310297__B5D009__DXB87_08940
ERR1913176.1103535__1.1103535	47678__R5UHH8__HMPREF1061_02584
ERR1913176.1103573__1.1103573	46228__B5CPV4__DXD17_07415
ERR1913176.1103581__1.1103581	310297__R5VSX6__BHV76_05850
ERR1913176.1103593__1.1103593	1897011__A0A1Q6REW8__BHW41_04435
ERR1913176.1103603__1.1103603	552398__F4XHU2__HMPREF0866_03196
ERR1913176.1103636__1.1103636	357276__A0A076ISD9__EL88_07480
ERR1913176.1103642__1.1103642	310297__B5CV72__BACPLE_00601
ERR1913176.1103847__1.1103847	39491__A0A395ZGU6__ERS852417_01456
ERR1913176.1104075__1.1104075	818__A0A0N7I9H8__ERS852461_00040
ERR1913176.1104119__1.1104119	246787__A0A3D6AWR4__HMPREF1062_04729
ERR1913176.1104126__1.1104126	820__A0A174CK74__DXB48_07060
ERR1913176.1104288__1.1104288	818__A0A3E5HEU1__NCTC10582_02468
ERR1913176.1104309__1.1104309	1263000__R5EGP9__BN466_01419
ERR1913176.1104319__1.1104319	1263000__R5EFY3__BN466_01416
ERR1913176.1104433__1.1104433	384639__GCA_003096855.1_01177
ERR1913176.1104576__1.1104576	1628085__A0A1C6AZZ4__C7386_101481
ERR1913176.1104854__1.1104854	1263000__R5ESM1__BN466_01440
ERR1913176.1105123__1.1105123	246787__R6KBH9__HMPREF1062_04676
ERR1913176.1105267__1.1105267	310297__B5CUZ5__BACPLE_00521
ERR1913176.1105222__1.1105222	1263006__R6LZ65__BN515_01602
ERR1913176.1105477__1.1105477	820__A0A174DZ97__SAMN05444418_101240
ERR1913176.1105589__1.1105589	1262746__R5S2B4__BN750_01573
ERR1913176.1105686__1.1105686	820__A0A1T4IYF4__mprA_1
ERR1913176.1105736__1.1105736	239935__R7E524__CXT91_06180
ERR1913176.1105890__1.1105890	820__A0A174VD39__DXD90_12235
ERR1913176.1105926__1.1105926	1628085__A0A1C5YAJ9__C7386_10197
ERR1913176.1106013__1.1106013	357276__A0A1Y3Z6X3__GV66_07715
ERR1913176.1106029__1.1106029	246787__R6K756__HMPREF1062_01819
ERR1913176.1106061__1.1106061	556259__I0PXW0__BSGG_5187
ERR1913176.1106091__1.1106091	387090__S0F7Y3__BACCOPRO_02028
ERR1913176.1106141__1.1106141	46503__R6Y837__PARMER_03866
ERR1913176.1106165__1.1106165	46506__R6AEZ1__BACSTE_01801
ERR1913176.1106212__1.1106212	28117__B0MYP3__BHV66_04995
ERR1913176.1106278__1.1106278	1263109__GCA_000438135.1_01180
ERR1913176.1106391__1.1106391	310297__B5D2V1__DXC17_04215
ERR1913176.1106501__1.1106501	1304__J7TW34__msbA
ERR1913176.1106654__1.1106654	487174__K0X1D9__HMPREF9448_00919
ERR1913176.1106767__1.1106767	1304__A0A0F3HJ73__RSSL_01900
ERR1913176.1106854__1.1106854	1262927__R7EXB3__BN677_01826
ERR1913176.1106982__1.1106982	45851__D4S1R9__BHV86_08150
ERR1913176.1107036__1.1107036	820__A0A174A6K0__M093_0079
ERR1913176.1107056__1.1107056	1263006__R6LX07__BN515_00935
ERR1913176.1107092__1.1107092	1263006__R6M2H0__BN515_00628
ERR1913176.1107626__1.1107626	1262783__R6CWA0__BN558_01349
ERR1913176.1107954__1.1107954	39491__A0A396FSR4__ERS852580_02287
ERR1913176.1108122__1.1108122	360807__C0FZM4__RIL183_06871
ERR1913176.1108130__1.1108130	310297__B5CWQ0__DXB87_14670
ERR1913176.1108157__1.1108157	1262886__R6Q9D7__BN563_00573
ERR1913176.1108439__1.1108439	1262927__R7F4G2__BN677_00840
ERR1913176.1108489__1.1108489	818__A0A3E5HWN5__BSIG_3066
ERR1913176.1108502__1.1108502	28117__B0MXU6__ALIPUT_01958
ERR1913176.1108789__1.1108789	1263109__GCA_000438135.1_01402
ERR1913176.1108992__1.1108992	47678__R5UT83__DW706_09750
ERR1913176.1109092__1.1109092	357276__I9FGI3__EL88_12385
ERR1913176.1109106__1.1109106	1263109__GCA_000438135.1_01128
ERR1913176.1109147__1.1109147	853__A0A2J4JL53__CRH10_10795
ERR1913176.1109320__1.1109320	1263000__R5EKR4__BN466_01609
ERR1913176.1109358__1.1109358	1263006__R6LZ17__BN515_01569
ERR1913176.1109377__1.1109377	310297__B5CXJ7__DXB87_06645
ERR1913176.1109401__1.1109401	1262927__R7EZL7__BN677_00148
ERR1913176.1109436__1.1109436	1160721__W0U4N8__RBI_I00805
ERR1913176.1109554__1.1109554	328814__GCA_004558275.1_01001
ERR1913176.1109577__1.1109577	328814__GCA_004558275.1_00074
ERR1913176.1109637__1.1109637	310297__B5D3X3__DXB87_14935
ERR1913176.1109912__1.1109912	1160721__R6SZN5__BHW50_07705
ERR1913176.1109915__1.1109915	328814__GCA_004558275.1_00234
ERR1913176.1109976__1.1109976	853__A0A174BZY1__xerD_1
ERR1913176.1109992__1.1109992	487174__K0XH97__HMPREF9448_01909
ERR1913176.1110107__1.1110107	820__A0A3E4VZY4__ERS852554_01211
ERR1913176.1110112__1.1110112	1263000__R5EK63__BN466_02075
ERR1913176.1110573__1.1110573	246787__R6KK25__HMPREF1062_01860
ERR1913176.1110643__1.1110643	1263109__GCA_000438135.1_01131
ERR1913176.1110605__1.1110605	1263109__GCA_000438135.1_01182
ERR1913176.1110730__1.1110730	818__A0A3E5HPU8__ERS852430_01891
ERR1913176.1110742__1.1110742	310297__R5W5U2__DXC17_08125
ERR1913176.1110707__1.1110707	1150298__A0A174QNY9__ERS852498_01028
ERR1913176.1110819__1.1110819	1680__R5GR82__AD0028_0014
ERR1913176.1110848__1.1110848	1262761__R6QWI4__BN606_00934
ERR1913176.1110947__1.1110947	246787__I8V2S2__BACCELL_02524
ERR1913176.1111005__1.1111005	28117__B0MYA9__BHV66_07790
ERR1913176.1111135__1.1111135	310297__B5CWQ0__DXB87_14670
ERR1913176.1111144__1.1111144	1262986__R6A124__BN492_00244
ERR1913176.1111179__1.1111179	246787__R6KCH8__csbC
ERR1913176.1111248__1.1111248	328814__GCA_004558275.1_00035
ERR1913176.1111256__1.1111256	246787__A0A0P0GV75__HMPREF1062_00095
ERR1913176.1111517__1.1111517	1160721__W0U811__RBI_II00162
ERR1913176.1111646__1.1111646	246787__A0A0P0G254__axeA1_2
ERR1913176.1111755__1.1111755	338188__K5CL92__BACFIN_07565
ERR1913176.1112015__1.1112015	1263000__R5EFY3__BN466_01416
ERR1913176.1112066__1.1112066	1263107__GCA_000436995.1_00215
ERR1913176.1112106__1.1112106	1262927__R7EW59__BN677_01089
ERR1913176.1112127__1.1112127	552398__F4XCQ4__HMPREF0866_01621
ERR1913176.1112178__1.1112178	301301__G2T5Z5__RHOM_15985
ERR1913176.1112371__1.1112371	1160721__R6SW83__BHW50_08845
ERR1913176.1112609__1.1112609	310297__B5CUZ5__BACPLE_00521
ERR1913176.1112646__1.1112646	239935__A0A2N8I3G2__CXT89_00720
ERR1913176.1112700__1.1112700	569__A0A1B7KBC0__A6V27_15135
ERR1913176.1112987__1.1112987	1897011__A0A1Q6RE22__BHW41_04590
ERR1913176.1113035__1.1113035	1897011__A0A1Q6RC19__BHW41_06415
ERR1913176.1113263__1.1113263	853__D4KAK8__C4N21_13380
ERR1913176.1113548__1.1113548	28117__B0MXX3__BHV66_07695
ERR1913176.1113614__1.1113614	246787__A0A3D6B2C7__BcellWH2_03259
ERR1913176.1113753__1.1113753	246787__A0A0P0G254__axeA1_2
ERR1913176.1113859__1.1113859	166486__C7G8R8__ROSINTL182_06294
ERR1913176.1114364__1.1114364	46228__B5CPX5__RUMLAC_01520
ERR1913176.1114560__1.1114560	1263000__R5EHB0__BN466_01647
ERR1913176.1114688__1.1114688	572010__hgdC_1
ERR1913176.1114817__1.1114817	357276__A0A0M1W657__HMPREF1064_04629
ERR1913176.1114918__1.1114918	1160721__W0U1Y5__BHW50_01965
ERR1913176.1114892__1.1114892	46506__R6AEP1__HMPREF1181_01415
ERR1913176.1115025__1.1115025	820__A0A3E4FWC8__DXC91_14635
ERR1913176.1115085__1.1115085	357276__E5UTL1__HMPREF1065_03551
ERR1913176.1115114__1.1115114	387090__S0F7Y3__BACCOPRO_02028
ERR1913176.1115155__1.1115155	28117__B0MU58__BHV66_05630
ERR1913176.1115273__1.1115273	817__A0A396BRW8__gldM
ERR1913176.1115256__1.1115256	818__A0A174V5M6__BT_1963
ERR1913176.1115393__1.1115393	820__A0A174Q0F0__DXB48_08080
ERR1913176.1115611__1.1115611	487174__R5FN40__HMPREF9448_01366
ERR1913176.1115652__1.1115652	1262886__R6Q7C7__BN563_00709
ERR1913176.1115692__1.1115692	39491__A0A396FBR6__DXC13_08575
ERR1913176.1115753__1.1115753	28111__E5WZR2__HMPREF1016_02168
ERR1913176.1115778__1.1115778	1262761__R6QJQ2__BN606_00751
ERR1913176.1115872__1.1115872	387090__S0F7Y3__BACCOPRO_02028
ERR1913176.1115980__1.1115980	1263000__R5EI35__BN466_01649
ERR1913176.1116021__1.1116021	1262927__R7EYX0__BN677_01774
ERR1913176.1116230__1.1116230	301301__A0A395V7G5__RHOM_16755
ERR1913176.1116274__1.1116274	1263006__R6M2H0__BN515_00628
ERR1913176.1116307__1.1116307	28117__B0MXU6__ALIPUT_01958
ERR1913176.1116357__1.1116357	1262927__R7F498__BN677_00292
ERR1913176.1116555__1.1116555	820__A0A3E4G8F8__ERS852421_01645
ERR1913176.1116650__1.1116650	1304__T0SYC6__TZ98_01429
ERR1913176.1116677__1.1116677	301301__A0A395VA63__sbcC
ERR1913176.1116722__1.1116722	328814__GCA_004558275.1_01002
