ERR1913207.106__1.106	39492__D4JSU6__dacB_3
ERR1913207.960120__1.960120	820__A0A3E4VZT7__DXB48_16145
ERR1913207.960065__1.960065	820__A0A174TRB5__DXD40_11305
ERR1913207.960142__1.960142	239935__A0A2N8I9I3__CXU19_12035
ERR1913207.960315__1.960315	33025__A0A395J973__C8D73_11010
ERR1913207.960322__1.960322	47678__A5ZEA3__ERS852558_00257
ERR1913207.960524__1.960524	47678__A5ZG68__ERS852494_02968
ERR1913207.960409__1.960409	820__A0A3E4WA06__ERS852554_03404
ERR1913207.960623__1.960623	239935__A0A2N8IDX4__CXU20_07380
ERR1913207.960687__1.960687	239935__A0A2N8HL91__holA
ERR1913207.960861__1.960861	1736__A0A1E7RX46__ELI_0325
ERR1913207.961033__1.961033	820__A0A174QLF0__SAMN05444418_109151
ERR1913207.961118__1.961118	28117__R7JJM9__ALIPUT_00662
ERR1913207.961152__1.961152	544644__GCA_001915615.1_00087
ERR1913207.961162__1.961162	39492__D4JU36__cobC_1
ERR1913207.961175__1.961175	1796613__A0A1C7H127__A4V03_09040
ERR1913207.961344__1.961344	818__A0A139KMC9__C799_02694
ERR1913207.961483__1.961483	239935__A0A2N8IDX4__CXU20_07380
ERR1913207.961794__1.961794	820__A0A174A6K0__M093_0079
ERR1913207.962015__1.962015	820__A0A174EV88__HMPREF1072_01427
ERR1913207.962044__1.962044	292800__A0A174U3S2__mleN_3
ERR1913207.962077__1.962077	47678__R5UST1__ERS852558_03505
ERR1913207.962098__1.962098	333367__C0CW13__CLOSTASPAR_01167
ERR1913207.962488__1.962488	40518__R5DR72__RBL236_02110
ERR1913207.962506__1.962506	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913207.962521__1.962521	487174__K0X909__HMPREF9448_01469
ERR1913207.962466__1.962466	1262824__R6RTN9__BN719_01242
ERR1913207.962618__1.962618	821__A0A3E4XY72__NCTC10583_01067
ERR1913207.962901__1.962901	1501392__A0A0B2JQF0__PU94_03700
ERR1913207.962884__1.962884	487174__R5F5Z4__DIT83_00635
ERR1913207.962944__1.962944	239935__A0A2N8HCF5__CXU15_05660
ERR1913207.962991__1.962991	1263005__R6FMK6__BN497_00837
ERR1913207.963195__1.963195	28117__B0MUB3__ALIPUT_00727
ERR1913207.963355__1.963355	246787__A0A0N7IFC5__HMPREF1062_01960
ERR1913207.963494__1.963494	820__A7VAR9__ERS852421_00197
ERR1913207.963508__1.963508	818__C6IEV5__ERS852430_00644
ERR1913207.963519__1.963519	1472761__GCA_002159295.1_00731
ERR1913207.963835__1.963835	487174__K0XKD7__HMPREF9448_01550
ERR1913207.964046__1.964046	28116__F7L9A3__Bovatus_01458
ERR1913207.964117__1.964117	246787__A0A0P0GG59__BcellWH2_02752
ERR1913207.964118__1.964118	310298__B3JII2__BACCOP_01694
ERR1913207.964254__1.964254	1263064__GCA_000431175.1_00165
ERR1913207.964260__1.964260	208479__N9XIU7__CGC65_19335
ERR1913207.964323__1.964323	40518__R5DZI2__DXD93_06940
ERR1913207.964351__1.964351	853__C7H1R8__DW905_06675
ERR1913207.964501__1.964501	28117__B0MXR4__BHV66_08025
ERR1913207.964540__1.964540	818__A0A3E5HWN5__BSIG_3066
ERR1913207.964651__1.964651	214856__R6Y0B9__ERS852559_00164
ERR1913207.964955__1.964955	246787__A0A3D6AQP8__AA416_04153
ERR1913207.964996__1.964996	208479__A8RW51__HMPREF1097_05403
ERR1913207.964935__1.964935	1547__H1AHD2__DXB93_12060
ERR1913207.965160__1.965160	820__A0A3E4XM43__DXC91_13960
ERR1913207.965233__1.965233	47678__A5ZEA3__ERS852558_00257
ERR1913207.965735__1.965735	487174__K0WRZ5__HMPREF9448_02826
ERR1913207.965824__1.965824	33025__A0A395JE82__C8D73_101732
ERR1913207.965912__1.965912	671267__R9IEN1__C802_02405
ERR1913207.965984__1.965984	626929__R5JTP9__HMPREF9445_01944
ERR1913207.965963__1.965963	820__A0A174CG08__DXB62_13215
ERR1913207.966025__1.966025	39492__D4JUD7__EUBSIR_01877
ERR1913207.966027__1.966027	246787__A0A3D6AWM8__BACCELL_01963
ERR1913207.966244__1.966244	820__A0A3E4W6P0__gmhA
ERR1913207.966272__1.966272	28117__B0MVL5__BHV66_01660
ERR1913207.966573__1.966573	818__R7KZF1__C5Z03_07410
ERR1913207.966795__1.966795	1501391__GCA_000786575.1_00065
ERR1913207.966808__1.966808	487175__R5E437__HMPREF9439_02791
ERR1913207.966844__1.966844	820__A0A374QGD2__ERS852421_02382
ERR1913207.966941__1.966941	821__A0A174JYD3__ERS852457_02610
ERR1913207.966898__1.966898	820__A0A174CK74__DXB48_07060
ERR1913207.967037__1.967037	28118__F9Z9B0__SAMEA44545918_02179
ERR1913207.967063__1.967063	239935__A0A2N8HL50__CXT98_09135
ERR1913207.967073__1.967073	239935__A0A139TTZ7__CXU14_07900
ERR1913207.967177__1.967177	820__A0A3E4RUC4__DHU98_02635
ERR1913207.967149__1.967149	333367__C0DBI1__CLOSTASPAR_06636
ERR1913207.967152__1.967152	239935__A0A2N8IVR0__CXT87_07115
ERR1913207.967114__1.967114	239935__A0A139TTZ7__CXU14_07900
ERR1913207.967205__1.967205	820__A0A139K4W1__M093_0353
ERR1913207.967259__1.967259	239935__A0A139TVG9__CXU13_01700
ERR1913207.967226__1.967226	310298__B3JII2__BACCOP_01694
ERR1913207.967234__1.967234	239935__A0A2N8IVR0__CXT87_07115
ERR1913207.967311__1.967311	246787__A0A3D6AS39__ina
ERR1913207.967383__1.967383	357276__I9QBT7__BSEG_03340
ERR1913207.967407__1.967407	487174__K0X4L2__pgl
ERR1913207.967495__1.967495	1736__A0A317RGQ5__SAMN04515624_11061
ERR1913207.967826__1.967826	821__A0A174MBW9__SAMN04487923_10272
ERR1913207.967901__1.967901	1547__H1AN02__DW242_18090
ERR1913207.967984__1.967984	1263064__GCA_000431175.1_00368
ERR1913207.967961__1.967961	328814__GCA_004558275.1_00036
ERR1913207.967967__1.967967	1522__E4LTG0__PatB
ERR1913207.968123__1.968123	820__A0A396EUV1__B5G17_06465
ERR1913207.968317__1.968317	239935__A0A2N8HB50__CXU17_02615
ERR1913207.968558__1.968558	818__A0A174TT69__SAMN02910322_02680
ERR1913207.968638__1.968638	292800__A0A174Y0J1__HMPREF0372_03035
ERR1913207.968779__1.968779	239935__A0A2N8HWS3__CXU19_10285
ERR1913207.968882__1.968882	292800__G9YSF9__ERS852504_03368
ERR1913207.968917__1.968917	239935__A0A139TLF5__CXU18_06685
ERR1913207.968918__1.968918	28117__B0MXG8__ALIPUT_01814
ERR1913207.968932__1.968932	818__A0A3E5HHE1__Btheta7330_00796
ERR1913207.969099__1.969099	818__R7KZF1__C5Z03_07410
ERR1913207.969206__1.969206	239935__A0A2N8IKW7__pstA
ERR1913207.969233__1.969233	189722__E0NQU7__HMPREF0658_0548
ERR1913207.969296__1.969296	47678__A5ZL09__BACCAC_03608
ERR1913207.969376__1.969376	39492__D4JUD7__EUBSIR_01877
ERR1913207.969478__1.969478	821__A0A174WBC9__ERS852556_03145
ERR1913207.969581__1.969581	239935__A0A2N8IVR0__CXT87_07115
ERR1913207.969823__1.969823	821__A0A395VLM8__BvMPK_3650
ERR1913207.969831__1.969831	820__R9I3Q7__HMPREF1072_01668
ERR1913207.970045__1.970045	820__A0A1Y3V743__M093_0235
ERR1913207.970088__1.970088	1263005__R6ERA1__BN497_00700
ERR1913207.970104__1.970104	47678__R5UGC2__ERS852494_02070
ERR1913207.970507__1.970507	818__A0A3E5HY51__rpfC_2
ERR1913207.970471__1.970471	820__A0A3E4G2R7__DXC07_00510
ERR1913207.970483__1.970483	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913207.970717__1.970717	214856__A0A174FY71__ERS852559_01033
ERR1913207.970904__1.970904	820__A0A139KHX1__HMPREF2141_00289
ERR1913207.970910__1.970910	310298__B3JII2__BACCOP_01694
ERR1913207.970928__1.970928	1501391__GCA_000786575.1_00097
ERR1913207.970984__1.970984	820__A0A3E4W9D9__B5G17_12400
ERR1913207.971117__1.971117	1099853__G9S842__NSB1T_03200
ERR1913207.971352__1.971352	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913207.971323__1.971323	310298__B3JII2__BACCOP_01694
ERR1913207.971326__1.971326	208479__A8RTP8__C5Z06_22355
ERR1913207.971599__1.971599	820__A0A374MMF0__HMPREF1073_03811
ERR1913207.971561__1.971561	239935__R6IYQ1__CXU15_06450
ERR1913207.971813__1.971813	239935__A0A139TMY7__CXU13_02020
ERR1913207.971929__1.971929	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913207.971966__1.971966	821__A0A174JYD3__ERS852457_02610
ERR1913207.972068__1.972068	820__A0A3E5E0T0__ERS852554_00312
ERR1913207.972153__1.972153	818__A0A0N7I9M6__Btheta7330_00939
ERR1913207.972318__1.972318	246787__A0A3D6AWM8__BACCELL_01963
ERR1913207.972708__1.972708	1262700__R5XJU2__BN695_00943
ERR1913207.972993__1.972993	821__A0A174JYD3__ERS852457_02610
ERR1913207.973053__1.973053	820__A0A3E4W6P0__gmhA
ERR1913207.973246__1.973246	1099853__G9S4S4__NSB1T_09140
ERR1913207.973410__1.973410	821__A0A0P0M6M0__M097_4734
ERR1913207.973444__1.973444	626933__H1DGX0__HMPREF9449_01506
ERR1913207.973487__1.973487	246787__A0A0P0GCH1__BACCELL_02793
ERR1913207.974023__1.974023	246787__A0A0P0GR24__BcellWH2_03263
ERR1913207.973950__1.973950	818__Q8A3I3__HMPREF2534_00068
ERR1913207.974337__1.974337	820__A0A139KHX1__HMPREF2141_00289
ERR1913207.974622__1.974622	28117__B0MXU6__ALIPUT_01958
ERR1913207.974728__1.974728	1262700__R5XAA8__BN695_00052
ERR1913207.974705__1.974705	106588__A6P303__BACCAP_04887
ERR1913207.974755__1.974755	823__A0A355XLQ9__DXC05_02185
ERR1913207.974767__1.974767	28117__B0MXR1__BHV66_08035
ERR1913207.974782__1.974782	853__A0A2J4JL53__CRH10_10795
ERR1913207.974804__1.974804	47678__R5U7L8__DXB67_16595
ERR1913207.974832__1.974832	1099853__G9S0L9__NSB1T_05150
ERR1913207.974973__1.974973	239935__R6J4Y4__CXU17_09810
ERR1913207.975107__1.975107	208479__A8S5S4__nikA
ERR1913207.975309__1.975309	418240__A0A174L567__ERS852478_01510
ERR1913207.975356__1.975356	1262989__R6ZFQ2__BN815_01116
ERR1913207.975514__1.975514	820__A0A3E4WCX3__C801_02709
ERR1913207.975690__1.975690	1262756__R5WSM3__BN568_02001
ERR1913207.975866__1.975866	821__A0A396F598__CUU_3259
ERR1913207.975783__1.975783	338188__R6RT73__HMPREF1057_02828
ERR1913207.975806__1.975806	820__R9HP61__DXC91_01090
ERR1913207.975998__1.975998	239935__R6IZT7__CXU18_11710
ERR1913207.976148__1.976148	333367__C0DBI1__CLOSTASPAR_06636
ERR1913207.976254__1.976254	1547__B0N4Y8__DW242_13370
ERR1913207.976310__1.976310	821__A0A396F9T7__M097_3427
ERR1913207.976409__1.976409	189722__E0NQU7__HMPREF0658_0548
ERR1913207.976417__1.976417	821__A0A0P0M405__DXC02_15075
ERR1913207.976469__1.976469	28117__B0MUT8__ALIPUT_00879
ERR1913207.976648__1.976648	821__A0A174MBW9__SAMN04487923_10272
ERR1913207.976698__1.976698	84112__F0HMN7__Elen_3038
ERR1913207.976731__1.976731	301301__A0A395V6P9__RHOM_04165
ERR1913207.977078__1.977078	820__A0A139KG60__M094_2679
ERR1913207.977082__1.977082	1099853__U5CIM6__NSB1T_01675
ERR1913207.977108__1.977108	357276__I9QBT7__BSEG_03340
ERR1913207.977268__1.977268	292800__A0A174NZG5__appA_1
ERR1913207.977315__1.977315	820__A0A174G065__DXB62_08975
ERR1913207.977417__1.977417	823__A0A174UI22__CF162_13840
ERR1913207.977656__1.977656	1550024__G9RWE3__TQ39_04170
ERR1913207.977861__1.977861	333367__C0D3U9__CLOSTASPAR_03940
ERR1913207.977863__1.977863	821__A6KZK3__ERS852457_04265
ERR1913207.977805__1.977805	821__A0A174ALF2__BvMPK_3016
ERR1913207.977983__1.977983	1099853__U5CEJ4__NSB1T_04000
ERR1913207.978106__1.978106	239935__A0A2N8HL91__holA
ERR1913207.978139__1.978139	818__A0A139KQP8__BJP75_006755
ERR1913207.978396__1.978396	239935__A0A2N8HJX0__CXU19_08380
ERR1913207.978398__1.978398	338188__A0A174ETX3__ERS852397_01955
ERR1913207.978469__1.978469	823__K6ACX1__ERS852513_00266
ERR1913207.978618__1.978618	246787__A0A3D6AZF8__BACCELL_02529
ERR1913207.978732__1.978732	820__R9I2U8__DXC68_09590
ERR1913207.978810__1.978810	1099853__R7DGD2__NSB1T_01240
ERR1913207.978871__1.978871	239935__R6IZT7__CXU18_11710
ERR1913207.978903__1.978903	1262989__R6Y778__BN815_00522
ERR1913207.978965__1.978965	818__A0A174N1L6__ERS852511_02039
ERR1913207.979305__1.979305	239935__A0A139TTZ7__CXU14_07900
ERR1913207.979401__1.979401	310298__B3JII2__BACCOP_01694
ERR1913207.979491__1.979491	818__R7KWE7__HMPREF2534_03255
ERR1913207.979615__1.979615	821__A0A0P0L952__M097_4235
ERR1913207.979650__1.979650	820__A0A139KH21__DXC80_01780
ERR1913207.979783__1.979783	292800__A0A174N232__ADH75_10840
ERR1913207.979830__1.979830	47678__R5V127__HMPREF1061_04334
ERR1913207.979968__1.979968	1653434__A0A150Y5Z7__DW008_13115
ERR1913207.979920__1.979920	239935__A0A2N8HL91__holA
ERR1913207.979987__1.979987	820__A7VAR9__ERS852421_00197
ERR1913207.979999__1.979999	239935__A0A2N8IQ67__CXU20_08505
ERR1913207.980030__1.980030	820__A0A139KIL9__DXC68_05945
ERR1913207.980091__1.980091	820__A0A139JY23__B5G17_06330
ERR1913207.980126__1.980126	821__A0A0P0LH09__ERS852457_03390
ERR1913207.980212__1.980212	47678__R5U7X8__C5Z00_18270
ERR1913207.980222__1.980222	239935__A0A2N8I390__CXU16_10675
ERR1913207.980230__1.980230	818__A0A2J6AED2__C5Z03_02940
ERR1913207.980318__1.980318	1547__G9QYM7__DXB93_16060
ERR1913207.980332__1.980332	47678__R5UXJ2__DW706_08325
ERR1913207.980653__1.980653	246787__A0A3D6B0E4__BACCELL_02533
ERR1913207.980737__1.980737	820__A0A173YYG4__evgS_3
ERR1913207.980751__1.980751	820__A0A139KIL9__DXC68_05945
ERR1913207.980705__1.980705	47678__R5U4P2__CGC64_17185
ERR1913207.980862__1.980862	1099853__U5CD68__NSB1T_05535
ERR1913207.980912__1.980912	821__A0A173WG51__BVU_2549
ERR1913207.980999__1.980999	239935__A0A2N8IAY7__CXU13_02935
ERR1913207.981103__1.981103	239935__R7E4Y3__CXU15_13135
ERR1913207.981188__1.981188	818__Q8A5L9__BJP75_000955
ERR1913207.981301__1.981301	487174__R5EXS5__HMPREF9448_02541
ERR1913207.981648__1.981648	1547__H1ANJ8__DXB93_11760
ERR1913207.981746__1.981746	820__A0A3E4G3J9__ERS852459_02265
ERR1913207.981876__1.981876	246787__A0A108THP8__HMPREF1062_03171
ERR1913207.981854__1.981854	239935__A0A2N8HT44__CXT84_11035
ERR1913207.981896__1.981896	821__A0A3E4KIM1__M097_3660
ERR1913207.981932__1.981932	821__A0A174ALF2__BvMPK_3016
ERR1913207.981984__1.981984	820__A0A374Q8T2__DXB64_16190
ERR1913207.982016__1.982016	1547__H1AQS0__DXB93_08150
ERR1913207.982050__1.982050	1099853__G9S127__NSB1T_01845
ERR1913207.982137__1.982137	239935__A0A2N8IUE8__CXU20_02935
ERR1913207.982199__1.982199	820__A0A174GYA8__DXB64_07370
ERR1913207.982338__1.982338	1262986__R6AME2__BN492_00932
ERR1913207.982348__1.982348	239935__B2UQP8__CXU15_01110
ERR1913207.982356__1.982356	823__A0A395YS82__M091_1569
ERR1913207.982439__1.982439	214856__R6XRA1__vatD_3
ERR1913207.982455__1.982455	821__C6Z087__DXB90_00750
ERR1913207.982535__1.982535	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913207.982536__1.982536	214856__A0A174A0R8__ERS852447_00998
ERR1913207.982755__1.982755	818__Q8A335__HMPREF2534_01154
ERR1913207.982858__1.982858	821__A0A174JYD3__ERS852457_02610
ERR1913207.982837__1.982837	246787__R6KBH9__HMPREF1062_04676
ERR1913207.982943__1.982943	338188__A0A174ETX3__ERS852397_01955
ERR1913207.982970__1.982970	239935__A0A2N8IAY7__CXU13_02935
ERR1913207.983035__1.983035	1653434__A0A3E3K1B2__DW166_10695
ERR1913207.983305__1.983305	246787__A0A0P0GCR8__xynD_3
ERR1913207.983482__1.983482	39492__A0A174ZP27__EUBSIR_00033
ERR1913207.983533__1.983533	239935__R6JWM7__CXU14_12295
ERR1913207.983640__1.983640	47678__A5ZB44__C5Z00_17730
ERR1913207.983587__1.983587	239935__A0A2N8I375__menA
ERR1913207.983705__1.983705	40519__U2KZ37__RUMCAL_00168
ERR1913207.983727__1.983727	333367__C0CST2__CLOSTASPAR_00026
ERR1913207.983737__1.983737	333367__C0CST2__CLOSTASPAR_00026
ERR1913207.983739__1.983739	28117__B0MUR5__BHV66_03900
ERR1913207.983761__1.983761	47678__R5UPZ8__ERS852494_01752
ERR1913207.984001__1.984001	1099853__R7DH49__NSB1T_05240
ERR1913207.984003__1.984003	821__D4V4X2__DXC16_18525
ERR1913207.984089__1.984089	820__A0A174EV88__HMPREF1072_01427
ERR1913207.984126__1.984126	820__A0A1T4IYF4__mprA_1
ERR1913207.984276__1.984276	821__I9R3W6__DXC16_12455
ERR1913207.984429__1.984429	239935__A0A2N8HPX2__CXT90_09930
ERR1913207.984499__1.984499	823__D0T9E4__DHW69_09115
ERR1913207.984737__1.984737	1262989__R6YAG5__BN815_02077
ERR1913207.984779__1.984779	820__A0A174M9V5__M093_0237
ERR1913207.984849__1.984849	1520815__A0A1I3NTA0__SAMN02910435_01399
ERR1913207.984855__1.984855	821__A0A174WBC9__ERS852556_03145
ERR1913207.984843__1.984843	246787__A0A0P0FVC6__BACCELL_03671
ERR1913207.985104__1.985104	818__A0A0N7I9H8__ERS852461_00040
ERR1913207.985202__1.985202	821__A0A0P0M2J4__DXD46_10295
ERR1913207.985168__1.985168	820__A0A374Q854__HMPREF1073_03281
ERR1913207.985333__1.985333	821__A0A174NM17__lacZ_6
ERR1913207.985212__1.985212	189722__E0NQU7__HMPREF0658_0548
ERR1913207.985416__1.985416	239935__B2UPP2__CXU20_12035
ERR1913207.985392__1.985392	487174__K0WT65__HMPREF9448_02407
ERR1913207.985937__1.985937	487174__K0WV13__DIT83_10890
ERR1913207.985955__1.985955	246787__I9QX02__HMPREF1062_01641
ERR1913207.985977__1.985977	239935__A0A2N8HWQ2__CXU13_01775
ERR1913207.986111__1.986111	328814__GCA_004558275.1_00091
ERR1913207.986132__1.986132	820__R9I324__HMPREF2141_02414
ERR1913207.986041__1.986041	1263005__R6FK17__BN497_01778
ERR1913207.986276__1.986276	821__A0A0P0LJ37__DXB82_14270
ERR1913207.986236__1.986236	820__A0A139KH21__DXC80_01780
ERR1913207.986374__1.986374	1099853__U5CB66__NSB1T_01370
ERR1913207.986606__1.986606	239935__A0A2N8I390__CXU16_10675
ERR1913207.986650__1.986650	239935__A0A2N8I9I3__CXU19_12035
ERR1913207.987058__1.987058	40519__U2KCL7__RUMCAL_02912
ERR1913207.987187__1.987187	1849041__A0A3E2SWW3__DW086_08410
ERR1913207.987358__1.987358	1501392__A0A0B2JC79__PU94_10290
ERR1913207.987417__1.987417	239935__B2UPZ6__CXU03_03800
ERR1913207.987648__1.987648	487174__K0X1V7__DIT83_03020
ERR1913207.987751__1.987751	1262989__R6Y7N9__BN815_01311
ERR1913207.987796__1.987796	246787__A0A3D6AV26__BcellWH2_02579
ERR1913207.987909__1.987909	821__A0A0P0LH09__ERS852457_03390
ERR1913207.987937__1.987937	820__A0A3E4G826__C801_01612
ERR1913207.987981__1.987981	1262989__R6YRK6__BN815_02370
ERR1913207.988626__1.988626	310298__B3JII2__BACCOP_01694
ERR1913207.988864__1.988864	239935__A0A2N8I365__CXU20_11690
ERR1913207.988927__1.988927	239935__A0A2N8IQ67__CXU20_08505
ERR1913207.988960__1.988960	821__A0A174MBW9__SAMN04487923_10272
ERR1913207.989044__1.989044	820__A0A3E4WCX3__C801_02709
ERR1913207.989172__1.989172	1501391__GCA_000786575.1_00021
ERR1913207.989241__1.989241	820__A0A3E4VZY4__ERS852554_01211
ERR1913207.989286__1.989286	246787__A0A3D6AZF8__BACCELL_02529
ERR1913207.989403__1.989403	821__A0A0P0M6M0__M097_4734
ERR1913207.989448__1.989448	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913207.989567__1.989567	818__C6ILT7__BSIG_2708
ERR1913207.989743__1.989743	47678__R5V127__HMPREF1061_04334
ERR1913207.989794__1.989794	329854__R5M7D4__DXD27_21610
ERR1913207.989958__1.989958	1262700__R5XDF3__BN695_01151
ERR1913207.990054__1.990054	84112__F0HQA3__Elen_0032
ERR1913207.990063__1.990063	820__A0A396EUV1__B5G17_06465
ERR1913207.990073__1.990073	821__A0A3E4KIM1__M097_3660
ERR1913207.990141__1.990141	1099853__G9S2I6__NSB1T_08700
ERR1913207.990195__1.990195	239935__A0A2N8I6R6__CXU04_04335
ERR1913207.990201__1.990201	33025__A0A395JBA6__C8D73_1039
ERR1913207.990290__1.990290	1262700__R5XLR5__BN695_01665
ERR1913207.990442__1.990442	820__A0A174A6K0__M093_0079
ERR1913207.990483__1.990483	239935__A0A2N8IDR5__CXU13_04315
ERR1913207.990637__1.990637	239935__A0A2N8HWQ2__CXU13_01775
ERR1913207.990758__1.990758	47678__A5ZJ80__BACCAC_02965
ERR1913207.990749__1.990749	214856__A0A174H3U9__ERS852559_00612
ERR1913207.990932__1.990932	239935__A0A2N8HWS3__CXU19_10285
ERR1913207.990939__1.990939	820__A0A173YYG4__evgS_3
ERR1913207.990960__1.990960	818__A0A0P0FWH4__Btheta7330_05099
ERR1913207.990973__1.990973	853__A8S882__C4N23_07600
ERR1913207.991226__1.991226	239935__A0A2N8IUE8__CXU20_02935
ERR1913207.991227__1.991227	818__A0A1H7TGM1__BJP75_010615
ERR1913207.991258__1.991258	818__A0A0P0F4D0__BT_2503
ERR1913207.991318__1.991318	357276__B6VYT9__HMPREF1063_05030
ERR1913207.991334__1.991334	33025__A0A395J910__C8D73_11128
ERR1913207.991543__1.991543	820__A7VAR9__ERS852421_00197
ERR1913207.991867__1.991867	239935__A0A2N8I9I3__CXU19_12035
ERR1913207.991987__1.991987	47678__R5UPZ8__ERS852494_01752
ERR1913207.992272__1.992272	487174__R5F4K8__HMPREF9448_01532
ERR1913207.992324__1.992324	820__A0A139KH21__DXC80_01780
ERR1913207.992334__1.992334	28117__B0MTY2__BHV66_06485
ERR1913207.992424__1.992424	818__A0A396EA53__ERS852557_04332
ERR1913207.992415__1.992415	239935__B2UNF6__CXU17_03450
ERR1913207.992818__1.992818	1547__B0N3H4__DXB93_09730
ERR1913207.992820__1.992820	853__A0A174C5M1__CGS58_04460
ERR1913207.992812__1.992812	818__A0A174LFW3__C5Z03_04710
ERR1913207.992891__1.992891	1262989__R6YKR0__BN815_01075
ERR1913207.992905__1.992905	39492__R6SPM9__pheT
ERR1913207.993061__1.993061	2049043__A0A316MFH9__DBY37_15425
ERR1913207.993281__1.993281	820__A0A139KIL9__DXC68_05945
ERR1913207.993298__1.993298	28117__B0MUT8__ALIPUT_00879
ERR1913207.993475__1.993475	47678__R5U9Z0__HMPREF1061_03210
ERR1913207.993876__1.993876	1262989__R6Y8I0__BN815_00658
ERR1913207.994110__1.994110	821__A0A173WG51__BVU_2549
ERR1913207.994185__1.994185	239935__A0A2N8IQX1__dnaA
ERR1913207.994646__1.994646	818__A0A174LFW3__C5Z03_04710
ERR1913207.994909__1.994909	1501391__GCA_000786575.1_00113
ERR1913207.994912__1.994912	853__A0A173YYY4__DWZ04_09420
ERR1913207.994941__1.994941	820__A0A3E4W9D9__B5G17_12400
ERR1913207.995008__1.995008	471189__GCA_003340385.1_00684
ERR1913207.995527__1.995527	246787__A0A139L268__BcellWH2_03192
ERR1913207.995394__1.995394	626929__F3PKG7__SAMN05444376_0720
ERR1913207.995667__1.995667	1262743__R5C054__BN727_01980
ERR1913207.995705__1.995705	329854__R5M7D4__DXD27_21610
ERR1913207.995774__1.995774	47678__A5ZF31__DXB67_11050
ERR1913207.995792__1.995792	239935__A0A2N8IXN0__CXT95_01765
ERR1913207.995858__1.995858	1501392__A0A0B2JMX9__PU94_06110
ERR1913207.995960__1.995960	821__D4V4X2__DXC16_18525
ERR1913207.996005__1.996005	820__A0A174I980__gldH
ERR1913207.996009__1.996009	821__U6RDC2__DXD46_15675
ERR1913207.996023__1.996023	818__R6VB25__BSIG_5053
ERR1913207.996265__1.996265	821__E5UY21__C800_02204
ERR1913207.996333__1.996333	239935__B2UNF6__CXU17_03450
ERR1913207.996382__1.996382	239935__A0A2N8HL50__CXT98_09135
ERR1913207.996513__1.996513	239935__A0A139TLF5__CXU18_06685
ERR1913207.996559__1.996559	821__A0A0P0M405__DXC02_15075
ERR1913207.996570__1.996570	40518__R5DXI4__DXD86_07420
ERR1913207.996683__1.996683	333367__C0DBH4__CLOSTASPAR_06629
ERR1913207.996782__1.996782	820__A0A3E4VZY4__ERS852554_01211
ERR1913207.996913__1.996913	47678__R5UPZ8__ERS852494_01752
ERR1913207.997032__1.997032	1099853__U5CNF1__NSB1T_01130
ERR1913207.997114__1.997114	1263005__R6EUV8__BN497_01243
ERR1913207.997227__1.997227	487174__K0WXG8__DIT83_09300
ERR1913207.997259__1.997259	818__Q8A112__BT_3859
ERR1913207.997285__1.997285	853__A0A173T6P2__DWZ46_14595
ERR1913207.997293__1.997293	820__A0A3E4WA06__ERS852554_03404
ERR1913207.997385__1.997385	239935__R6IYQ1__CXU15_06450
ERR1913207.997390__1.997390	471189__GCA_003340385.1_00589
ERR1913207.997450__1.997450	292800__A0A173ZCZ3__A4U99_03035
ERR1913207.997466__1.997466	818__R7KZU1__ERS852430_01306
ERR1913207.997676__1.997676	821__A0A3E4XY72__NCTC10583_01067
ERR1913207.997904__1.997904	818__Q8A3I3__HMPREF2534_00068
ERR1913207.998064__1.998064	818__R9HBA6__HMPREF2534_04317
ERR1913207.998263__1.998263	246787__A0A0P0FV02__AA416_03728
ERR1913207.998311__1.998311	820__A0A174CG08__DXB62_13215
ERR1913207.998415__1.998415	333367__C0CST2__CLOSTASPAR_00026
ERR1913207.998770__1.998770	818__R7KZU1__ERS852430_01306
ERR1913207.998827__1.998827	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913207.999166__1.999166	28117__R7JJM9__ALIPUT_00662
ERR1913207.999349__1.999349	1550024__A0A3B9WEG3__ASJ35_04505
ERR1913207.999316__1.999316	1550024__A0A0D8J301__TQ39_02735
ERR1913207.999473__1.999473	239935__A0A2N8IB69__CXU22_11315
ERR1913207.999491__1.999491	820__A7V470__HMPREF1072_02076
ERR1913207.999595__1.999595	487174__K0X3H8__HMPREF9448_02822
ERR1913207.999769__1.999769	239935__B2UQP8__CXU15_01110
ERR1913207.999910__1.999910	246787__R6KBH9__HMPREF1062_04676
ERR1913207.1000024__1.1000024	47678__A5ZEA3__ERS852558_00257
ERR1913207.1000085__1.1000085	820__A0A139K0J1__HMPREF2141_03205
ERR1913207.1000037__1.1000037	471189__GCA_003340385.1_00220
ERR1913207.1000113__1.1000113	820__A0A3E4WCC2__lptB_1
ERR1913207.1000174__1.1000174	821__R6F3Y1__SAMN04487923_104318
ERR1913207.1000324__1.1000324	821__A0A174NSU0__BVU_3144
ERR1913207.1000341__1.1000341	239935__A0A2N8I9I3__CXU19_12035
ERR1913207.1000525__1.1000525	818__A0A396E9L6__C799_02774
