ERR1912996.488__1.488	45851__D4RY81__BUTYVIB_00786
ERR1912996.3819132__1.3819132	1263027__R7A5Y8__BN699_01165
ERR1912996.3819138__1.3819138	45851__D4RWN6__BUTYVIB_00072
ERR1912996.3819256__1.3819256	301301__G2T4K1__RHOM_14310
ERR1912996.3819300__1.3819300	239935__A0A2N8I1R3__CXU05_06075
ERR1912996.3819350__1.3819350	40518__R5DV58__htrA
ERR1912996.3819407__1.3819407	1262948__R7EH74__BN671_00077
ERR1912996.3819417__1.3819417	40518__R5DYM0__DXD86_08165
ERR1912996.3819454__1.3819454	74426__rpoB
ERR1912996.3819674__1.3819674	301302__A0A0M6WBZ5__spr
ERR1912996.3819773__1.3819773	1262936__R7IZI0__BN799_01112
ERR1912996.3819896__1.3819896	165179__R6XIF8__DXC61_07265
ERR1912996.3819940__1.3819940	165179__R6XIF8__DXC61_07265
ERR1912996.3820004__1.3820004	1897011__A0A1Q6RG62__BHW41_02455
ERR1912996.3820299__1.3820299	39485__A0A174YMD0__EUBELI_01093
ERR1912996.3820416__1.3820416	216816__A0A374SVM3__BLSL_0492
ERR1912996.3820681__1.3820681	301302__A0A173R6H4__M72_21671
ERR1912996.3820765__1.3820765	301302__A0A173RZU9__M72_23561
ERR1912996.3820811__1.3820811	1263027__R6ZTY4__BN699_02330
ERR1912996.3820827__1.3820827	1680__R5GRA4__ERS852382_01548
ERR1912996.3820833__1.3820833	1263000__R5EXT3__BN466_02213
ERR1912996.3820979__1.3820979	1262936__R7J158__BN799_01406
ERR1912996.3821191__1.3821191	301301__A0A395V8C2__rhaR_3
ERR1912996.3821284__1.3821284	552398__F4XCR9__HMPREF0866_01636
ERR1912996.3821285__1.3821285	239935__R6JCH3__CXT95_08205
ERR1912996.3821335__1.3821335	45851__D4RZ69__BUTYVIB_01134
ERR1912996.3821503__1.3821503	901__B6WW26__DESPIG_02294
ERR1912996.3821648__1.3821648	74426__rpoB
ERR1912996.3821769__1.3821769	1680__A7A7Z9__AAX71_05385
ERR1912996.3821847__1.3821847	1262936__R7J1T7__BN799_01864
ERR1912996.3822005__1.3822005	165179__R6C3A5__DXC61_11820
ERR1912996.3822326__1.3822326	239935__A0A2N8I3G2__CXT89_00720
ERR1912996.3822506__1.3822506	165179__D1P8Q2__trpF
ERR1912996.3823333__1.3823333	818__A0A1H7L4U6__BSIG_3287
ERR1912996.3823353__1.3823353	116085__D4J683__DW747_12695
ERR1912996.3823426__1.3823426	1262882__R5N4P6__BN519_01346
ERR1912996.3823556__1.3823556	1262911__R6GI18__BN557_01377
ERR1912996.3824064__1.3824064	1262936__R7IY28__BN799_00672
ERR1912996.3824126__1.3824126	45851__D4RZ84__BUTYVIB_01149
ERR1912996.3824255__1.3824255	216816__C5EBT1__BLIF_1344
ERR1912996.3824488__1.3824488	1262936__R7J2K7__BN799_00229
ERR1912996.3824538__1.3824538	74426__rpoC
ERR1912996.3824772__1.3824772	45851__R5LJL1__BHV86_09305
ERR1912996.3824745__1.3824745	1680__A0A174BEE7__BSTER_1311
ERR1912996.3824908__1.3824908	1897011__A0A1Q6REW8__BHW41_04435
ERR1912996.3825289__1.3825289	1262936__R7J354__BN799_00281
ERR1912996.3825445__1.3825445	1262911__R6GIK4__BN557_01521
ERR1912996.3825404__1.3825404	1263006__R6LYS1__BN515_01485
ERR1912996.3825417__1.3825417	338188__A0A173WKZ0__BACFIN_07292
ERR1912996.3825521__1.3825521	1897011__A0A1Q6RE52__BHW41_04690
ERR1912996.3825525__1.3825525	74426__asnS
ERR1912996.3825660__1.3825660	1897011__A0A1Q6RH85__BHW41_01750
ERR1912996.3825676__1.3825676	1262936__R7IYW8__BN799_00842
ERR1912996.3825747__1.3825747	1262936__R7J247__BN799_01051
ERR1912996.3825761__1.3825761	1262882__R5MZ41__BN519_00356
ERR1912996.3825793__1.3825793	1680__R5GRA4__ERS852382_01548
ERR1912996.3825821__1.3825821	39491__A0A395ZHV7__ykvU
ERR1912996.3826307__1.3826307	901__B6WVR2__DESPIGER_2124
ERR1912996.3826581__1.3826581	45851__D4S283__BUTYVIB_02205
ERR1912996.3827008__1.3827008	301302__R5UMP3__lytC_3
ERR1912996.3827083__1.3827083	1262936__R7J1I2__BN799_01776
ERR1912996.3827072__1.3827072	40518__A0A1C6H8N9__RBATCC27255_01374
ERR1912996.3827110__1.3827110	74426__asnS
ERR1912996.3827203__1.3827203	1897011__A0A1Q6REY1__BHW41_04470
ERR1912996.3827230__1.3827230	1897011__A0A1Q6RH29__BHW41_01570
ERR1912996.3827336__1.3827336	147206__GCF_000156215.1_01773
ERR1912996.3827345__1.3827345	572010__hgdC_1
ERR1912996.3827513__1.3827513	301302__A0A0M6WZT5__M72_18331
ERR1912996.3827808__1.3827808	1262882__R5MPY4__BN519_01128
ERR1912996.3827791__1.3827791	147206__GCF_000156215.1_01776
ERR1912996.3827952__1.3827952	165179__D1PEZ7__DXC61_06515
ERR1912996.3828132__1.3828132	39491__A0A396FVC0__ERE_15900
ERR1912996.3828134__1.3828134	28052__A0A174K6D6__ERS852451_01708
ERR1912996.3828395__1.3828395	1262936__R7J3L8__BN799_00414
ERR1912996.3828412__1.3828412	384638__B7APN3__BACPEC_00639
ERR1912996.3828420__1.3828420	74426__rpoC
ERR1912996.3828507__1.3828507	901__B6WTR4__DESPIGER_1248
ERR1912996.3828776__1.3828776	1262936__R7J1E6__BN799_01664
ERR1912996.3828976__1.3828976	74426__purL
ERR1912996.3829486__1.3829486	1262919__R5PH08__BN465_02507
ERR1912996.3829526__1.3829526	1897011__A0A1Q6RJ96__BHW41_00350
ERR1912996.3829581__1.3829581	116085__D4JBR7__DW747_01020
ERR1912996.3829630__1.3829630	136841__A0A0C6F7I5__DBA97_21930
ERR1912996.3829656__1.3829656	216816__E8MW20__DD674_07905
ERR1912996.3829905__1.3829905	1680__A0A173Y6N7__yhaH
ERR1912996.3829916__1.3829916	1897011__A0A1Q6RDW7__BHW41_05280
ERR1912996.3829979__1.3829979	116085__D4J6M6__DW747_08075
ERR1912996.3830038__1.3830038	1262936__R7J5M9__BN799_00277
ERR1912996.3830431__1.3830431	1262936__R7IY18__BN799_00607
ERR1912996.3830742__1.3830742	1680__A0A087DHN0__AL0462_1532
ERR1912996.3830850__1.3830850	1262882__R5N3H1__BN519_01121
ERR1912996.3830829__1.3830829	1262936__R7J354__BN799_00281
ERR1912996.3830820__1.3830820	1262936__R7J169__BN799_00083
ERR1912996.3831360__1.3831360	147206__GCF_000156215.1_01776
ERR1912996.3831424__1.3831424	821__A0A0P0L952__M097_4235
ERR1912996.3831549__1.3831549	1680__R5GRA4__ERS852382_01548
ERR1912996.3831673__1.3831673	39485__C4Z6K2__ERS852490_00407
ERR1912996.3831793__1.3831793	301302__R5VFU2__xynA1
ERR1912996.3832210__1.3832210	901__B6WVJ8__DHV46_03535
ERR1912996.3832261__1.3832261	74426__rpoC
ERR1912996.3832334__1.3832334	901__B6WTR4__DESPIGER_1248
ERR1912996.3832372__1.3832372	1262882__R5MLP0__BN519_01597
ERR1912996.3832564__1.3832564	45851__D4RWI9__BHV86_05910
ERR1912996.3832802__1.3832802	901__B6WRK3__DESPIG_00694
ERR1912996.3832867__1.3832867	1262936__R7IZD7__BN799_01020
ERR1912996.3832877__1.3832877	357276__A0A0M1W9N4__GV66_05135
ERR1912996.3833018__1.3833018	1263027__R6ZR35__BN699_01038
ERR1912996.3833080__1.3833080	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1912996.3833099__1.3833099	33039__R6P270__sleB_2
ERR1912996.3833226__1.3833226	1680__A0A174BEE7__BSTER_1311
ERR1912996.3833238__1.3833238	1262882__R5MYP2__BN519_00435
ERR1912996.3833320__1.3833320	1897011__A0A1Q6RG62__BHW41_02455
ERR1912996.3833594__1.3833594	1262936__R7J5M6__BN799_00272
ERR1912996.3833618__1.3833618	552398__F4XCQ4__HMPREF0866_01621
ERR1912996.3833909__1.3833909	1680__A0A3E4SB79__BAD_1517
ERR1912996.3834079__1.3834079	301302__R5UL57__ERS852420_00622
ERR1912996.3834191__1.3834191	246787__A0A0P0GCR8__xynD_3
ERR1912996.3834385__1.3834385	1262936__R7J6F9__BN799_00540
ERR1912996.3834640__1.3834640	239935__A0A2N8ITX2__CXT86_11265
ERR1912996.3834846__1.3834846	1680__A0A173Y6N7__yhaH
ERR1912996.3835033__1.3835033	1680__A0A174BEE7__BSTER_1311
ERR1912996.3835155__1.3835155	552398__F4XCQ4__HMPREF0866_01621
ERR1912996.3835218__1.3835218	1262911__R6HLC0__BN557_00578
ERR1912996.3835273__1.3835273	1680__A0A174BEE7__BSTER_1311
ERR1912996.3835262__1.3835262	556259__I0PXW0__BSGG_5187
ERR1912996.3835309__1.3835309	147206__GCF_000156215.1_01775
ERR1912996.3835383__1.3835383	301302__R5UMU6__M72_26821
ERR1912996.3835399__1.3835399	301301__A0A395V4X8__ERS852391_01546
ERR1912996.3835422__1.3835422	853__A0A3E2U7E6__ERS852582_01640
ERR1912996.3835565__1.3835565	2022527__A0A264Y5L2__CHL74_10875
ERR1912996.3835580__1.3835580	1262911__R6GMZ7__BN557_01741
ERR1912996.3835829__1.3835829	216816__B3DNW2__BL171B_07980
ERR1912996.3835978__1.3835978	853__A0A3E2U7E6__ERS852582_01640
ERR1912996.3836098__1.3836098	1262936__R7J6F9__BN799_00540
ERR1912996.3836129__1.3836129	1262911__R6HIV6__BN557_01807
ERR1912996.3836207__1.3836207	45851__D4RY78__BUTYVIB_00783
ERR1912996.3836282__1.3836282	1680__A0A087DHN0__AL0462_1532
ERR1912996.3836344__1.3836344	40518__R5DME2__DXD86_07315
ERR1912996.3836445__1.3836445	1628085__A0A2U1BCR5__C7386_10796
ERR1912996.3836451__1.3836451	1897011__A0A1Q6RE78__BHW41_04770
ERR1912996.3836556__1.3836556	901__B6WPV2__DHV46_04070
ERR1912996.3836572__1.3836572	39485__A0A174YMI9__cph2_5
ERR1912996.3836585__1.3836585	1262936__R7IYJ1__BN799_00810
ERR1912996.3836589__1.3836589	1262936__R7IYJ1__BN799_00810
ERR1912996.3836673__1.3836673	1262936__R7J2D3__BN799_01784
ERR1912996.3836867__1.3836867	1262936__R7IZZ2__BN799_01307
ERR1912996.3836884__1.3836884	45851__D4RYC7__BUTYVIB_00832
ERR1912996.3837027__1.3837027	39486__G1WMI6__DXD18_00590
ERR1912996.3837223__1.3837223	45851__D4RWC6__BHV86_07010
ERR1912996.3837273__1.3837273	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1912996.3837338__1.3837338	74426__rpoC
ERR1912996.3837676__1.3837676	1262924__R7HRR0__BN585_00872
ERR1912996.3838020__1.3838020	45851__D4S0F7__BUTYVIB_01576
ERR1912996.3838164__1.3838164	74426__purL
ERR1912996.3838155__1.3838155	216816__E8MW20__DD674_07905
ERR1912996.3838225__1.3838225	2022527__A0A264YA09__CHL74_03035
ERR1912996.3838271__1.3838271	147206__GCF_000156215.1_01777
ERR1912996.3838366__1.3838366	28111__R5JUK8__NCTC11155_02515
ERR1912996.3838722__1.3838722	45851__D4RYI3__BHV86_01630
ERR1912996.3838987__1.3838987	1628085__A0A2U1AXC9__C7386_1282
ERR1912996.3838978__1.3838978	901__B6WQB0__DHV46_07090
ERR1912996.3839150__1.3839150	820__A0A174VD39__DXD90_12235
ERR1912996.3839379__1.3839379	39485__C4Z389__ERS852490_01920
ERR1912996.3839339__1.3839339	45851__D4S141__BHV86_05760
ERR1912996.3839346__1.3839346	1262936__R7J049__BN799_01347
ERR1912996.3839489__1.3839489	45851__D4S288__BHV86_04325
ERR1912996.3839525__1.3839525	74426__rpoC
ERR1912996.3839590__1.3839590	28111__E5X3N9__NCTC11155_00170
ERR1912996.3839631__1.3839631	74426__nifJ
ERR1912996.3839703__1.3839703	39485__C4Z6J7__ERS852492_02047
ERR1912996.3839766__1.3839766	1680__A0A087DHN0__AL0462_1532
ERR1912996.3839781__1.3839781	1897011__A0A1Q6REV3__BHW41_04080
ERR1912996.3840096__1.3840096	1262936__R7J2B4__BN799_01114
ERR1912996.3840118__1.3840118	74426__nifJ
ERR1912996.3840120__1.3840120	1262936__R7J0W9__BN799_00634
ERR1912996.3840126__1.3840126	1680__A0A374QDL4__LMG18897_0432
ERR1912996.3840209__1.3840209	45851__R5LTE7__BHV86_04805
ERR1912996.3840286__1.3840286	165179__A0A174IHQ2__PREVCOP_05478
ERR1912996.3840295__1.3840295	1897011__A0A1Q6RHX0__BHW41_00740
ERR1912996.3840508__1.3840508	301302__R5VC75__ERS852420_02858
ERR1912996.3841413__1.3841413	1550024__G9RX51__TQ39_04720
ERR1912996.3841629__1.3841629	1262882__R5MIC9__BN519_00834
ERR1912996.3841642__1.3841642	301301__A0A395V8M7__ERS852391_00967
ERR1912996.3841916__1.3841916	301301__A0A395V7X3__RHOM_05050
ERR1912996.3842159__1.3842159	147206__GCF_000156215.1_01777
ERR1912996.3842259__1.3842259	1680__A0A174BEE7__BSTER_1311
ERR1912996.3842394__1.3842394	1262936__R7J6F9__BN799_00540
ERR1912996.3842451__1.3842451	45851__D4RZ86__BHV86_03570
ERR1912996.3842704__1.3842704	239935__A0A2N8HUU6__CXT90_06150
ERR1912996.3842843__1.3842843	901__B6WUY7__DHV46_11425
ERR1912996.3842908__1.3842908	901__B6WWW2__DESPIG_02583
ERR1912996.3842918__1.3842918	301301__A0A395VG51__RHOM_05870
ERR1912996.3842969__1.3842969	39491__A0A395V297__EUR_01010
ERR1912996.3843134__1.3843134	1680__A0A174BEE7__BSTER_1311
ERR1912996.3843342__1.3843342	626940__E8LBR4__BHW43_02255
ERR1912996.3843405__1.3843405	166486__D4KUC9__ERS852572_00957
ERR1912996.3843523__1.3843523	901__B6WTR4__DESPIGER_1248
ERR1912996.3843605__1.3843605	1628085__A0A3E2XY31__C7386_10449
ERR1912996.3843678__1.3843678	1897011__A0A1Q6RGC2__BHW41_02765
ERR1912996.3843710__1.3843710	1897011__A0A1Q6RH29__BHW41_01570
ERR1912996.3844054__1.3844054	901__B6WUI5__DESPIGER_1817
ERR1912996.3844123__1.3844123	1628085__A0A1C6D825__C7386_1061
ERR1912996.3844128__1.3844128	28052__A0A174HF53__ERS852499_00436
ERR1912996.3844139__1.3844139	853__A0A173RZ39__C4N22_01650
ERR1912996.3844346__1.3844346	239935__A0A2N8HH03__CXU09_08875
ERR1912996.3844530__1.3844530	165179__D1PB89__DXC61_08425
ERR1912996.3844706__1.3844706	45851__D4S0T7__BHV86_09275
ERR1912996.3845171__1.3845171	1262936__R7J3D8__BN799_00213
ERR1912996.3845248__1.3845248	292800__A0A096CPP2__yfkN_3
ERR1912996.3845338__1.3845338	1897011__A0A1Q6RDE2__BHW41_05525
ERR1912996.3845402__1.3845402	45851__R5LTQ3__BHV86_02315
ERR1912996.3845437__1.3845437	166486__D4KUL4__pemA
ERR1912996.3845475__1.3845475	1550024__G9RP69__ASJ35_11625
ERR1912996.3845598__1.3845598	626940__E8LE57__HMPREF9443_01128
ERR1912996.3845765__1.3845765	40518__R5DM08__DXD83_06415
ERR1912996.3845854__1.3845854	39491__A0A395V0H3__ERS852417_01192
ERR1912996.3845863__1.3845863	552398__T5S086__HMPREF0866_01580
ERR1912996.3846023__1.3846023	1897011__A0A1Q6RDX0__BHW41_05325
ERR1912996.3846393__1.3846393	1263027__R6ZZ44__BN699_01880
ERR1912996.3846471__1.3846471	901__B6WQD5__DESPIG_00255
ERR1912996.3846659__1.3846659	1262936__R7J158__BN799_01406
ERR1912996.3846699__1.3846699	1550024__G9RPC6__TQ39_05630
ERR1912996.3846670__1.3846670	1262936__R7J354__BN799_00281
ERR1912996.3847096__1.3847096	1262911__R6H0S8__BN557_01079
ERR1912996.3847262__1.3847262	239935__A0A3F3K9J9__DEF40_00940
ERR1912996.3847307__1.3847307	1680__R5GR82__AD0028_0014
ERR1912996.3847424__1.3847424	901__B6WXI1__DESPIGER_1636
ERR1912996.3847547__1.3847547	1897011__A0A1Q6RDV2__BHW41_05400
ERR1912996.3847691__1.3847691	45851__D4S0T7__BHV86_09275
ERR1912996.3848066__1.3848066	45851__D4RXN5__BUTYVIB_00586
ERR1912996.3848079__1.3848079	1262919__R5P6B2__BN465_00960
ERR1912996.3848114__1.3848114	239935__A0A2N8I390__CXU16_10675
ERR1912996.3848102__1.3848102	1262924__R7HQI4__BN585_00500
ERR1912996.3848637__1.3848637	360807__A0A1Q6SXK5__RIL183_06541
ERR1912996.3848644__1.3848644	74426__nifJ
ERR1912996.3848659__1.3848659	1897011__A0A1Q6RH37__BHW41_01795
ERR1912996.3848724__1.3848724	165179__A0A3E5A832__DXC61_13685
ERR1912996.3848855__1.3848855	216816__E5Y0K4__B8809_0128
ERR1912996.3848975__1.3848975	74426__pdxS
ERR1912996.3849024__1.3849024	39485__A0A174Z7G5__EUBELI_01168
ERR1912996.3849388__1.3849388	1262911__R6HH15__BN557_01507
ERR1912996.3849605__1.3849605	1472761__GCA_002159295.1_00927
ERR1912996.3850231__1.3850231	216816__D6ZWI5__B5781_1661
ERR1912996.3850429__1.3850429	1897011__A0A1Q6RJW7__BHW41_00060
ERR1912996.3850592__1.3850592	572010__ydhV
ERR1912996.3850805__1.3850805	901__B6WRI8__DHV46_05150
ERR1912996.3850872__1.3850872	357276__A0A0M1W9N4__GV66_05135
ERR1912996.3850931__1.3850931	301302__R5UKP4__cbiT
ERR1912996.3850965__1.3850965	301302__A0A0M6WWK6__M72_13961
ERR1912996.3851136__1.3851136	360807__C0G0A1__ERS852444_02410
ERR1912996.3851427__1.3851427	39491__A0A173VYV1__DXC13_02710
ERR1912996.3851457__1.3851457	1680__A1A132__B0703_0684
ERR1912996.3851464__1.3851464	1262882__R5MLP0__BN519_01597
ERR1912996.3851696__1.3851696	2022527__A0A264Y5Y7__CHL74_10300
ERR1912996.3851826__1.3851826	1680__R5GRA4__ERS852382_01548
ERR1912996.3852091__1.3852091	552398__F4XCQ4__HMPREF0866_01621
ERR1912996.3852149__1.3852149	1262882__R5MYG7__BN519_00405
ERR1912996.3852338__1.3852338	1628085__A0A2U1B8P6__C7386_11432
ERR1912996.3852384__1.3852384	301302__R5UPN9__M72_25701
ERR1912996.3852412__1.3852412	552398__F4XCR9__HMPREF0866_01636
ERR1912996.3852580__1.3852580	1680__A0A087DHN0__AL0462_1532
ERR1912996.3852912__1.3852912	1680__A0A087DHN0__AL0462_1532
ERR1912996.3852995__1.3852995	1686__B6XSC0__BIFCAT_00127
ERR1912996.3853245__1.3853245	74426__pdxS
ERR1912996.3853305__1.3853305	1262959__R5XZT0__BN680_01126
ERR1912996.3853313__1.3853313	39491__D4JMW8__ERS852497_01971
ERR1912996.3853570__1.3853570	1680__A0A173XYA2__B0703_0121
ERR1912996.3853782__1.3853782	853__A0A173SUU8__CGS54_06840
ERR1912996.3854031__1.3854031	28052__A0A174Z0G5__ERS852499_01843
ERR1912996.3854367__1.3854367	901__B6WR13__DHV46_00815
ERR1912996.3854392__1.3854392	301302__R5UVE7__ERS852420_01292
ERR1912996.3854669__1.3854669	1680__A0A174BEE7__BSTER_1311
ERR1912996.3854659__1.3854659	1262924__R7HRJ9__BN585_00557
ERR1912996.3854862__1.3854862	901__B6WQB0__DHV46_07090
ERR1912996.3855166__1.3855166	901__B6WUI5__DESPIGER_1817
ERR1912996.3855557__1.3855557	1680__A0A2R4G1K8__BBMN23_0315
ERR1912996.3855566__1.3855566	301302__A0A0M6WWK6__M72_13961
ERR1912996.3855691__1.3855691	239935__A0A2N8IEP3__CXT84_03735
ERR1912996.3855798__1.3855798	74426__pdxS
ERR1912996.3856122__1.3856122	1680__A0A374QDL4__LMG18897_0432
ERR1912996.3856149__1.3856149	1262911__R6GS70__BN557_00854
ERR1912996.3856222__1.3856222	1680__A0A087DHN0__AL0462_1532
ERR1912996.3856390__1.3856390	901__B6WPV2__DHV46_04070
ERR1912996.3856399__1.3856399	853__A0A3E2V168__FAEPRAM212_00929
ERR1912996.3857012__1.3857012	1897011__A0A1Q6REW8__BHW41_04435
ERR1912996.3857136__1.3857136	39491__C4ZC33__DXC13_11585
ERR1912996.3857162__1.3857162	100884__E7GFK8__HMPREF9488_03551
ERR1912996.3857428__1.3857428	1262924__R7HMF7__BN585_01507
ERR1912996.3857526__1.3857526	301301__G2T207__cph2_5
ERR1912996.3857762__1.3857762	1628085__A0A374VS54__C7386_101156
ERR1912996.3857794__1.3857794	1262919__R5P9H7__BN465_02339
ERR1912996.3857846__1.3857846	28111__R5JVV2__BACEGG_02950
ERR1912996.3858427__1.3858427	301301__A0A395V4X8__ERS852391_01546
ERR1912996.3858531__1.3858531	29361__B6FKH5__CLONEX_00621
ERR1912996.3858716__1.3858716	1628085__A0A2U1BCR5__C7386_10796
ERR1912996.3859277__1.3859277	301302__A0A0M6WJW1__ERS852420_02245
ERR1912996.3859298__1.3859298	74426__purL
ERR1912996.3859318__1.3859318	901__B6WXG1__DHV46_02130
ERR1912996.3859397__1.3859397	1262889__R7HA49__BN634_00677
ERR1912996.3859588__1.3859588	1262882__R5MQ63__BN519_01173
ERR1912996.3859762__1.3859762	1680__R5GRA4__ERS852382_01548
ERR1912996.3859845__1.3859845	853__A0A3E2V168__FAEPRAM212_00929
ERR1912996.3860205__1.3860205	1262882__R5MEW7__BN519_00010
ERR1912996.3860231__1.3860231	1262924__R7HQB3__BN585_00435
ERR1912996.3860369__1.3860369	2173__A0A1D2WRQ9__METSMIF1_03320
ERR1912996.3860444__1.3860444	901__B6WTQ4__DESPIGER_1255
ERR1912996.3860545__1.3860545	2173__A0A1D2WUJ0__Msm_1370
ERR1912996.3860618__1.3860618	1262936__R7J5X5__BN799_00356
ERR1912996.3860836__1.3860836	1262936__R7IYJ1__BN799_00810
ERR1912996.3861150__1.3861150	1897011__A0A1Q6RF44__BHW41_03065
ERR1912996.3861164__1.3861164	39491__A0A396FQ67__DXB99_07505
ERR1912996.3861660__1.3861660	239935__A0A2N8HAQ1__DEF40_05290
ERR1912996.3861906__1.3861906	818__A0A3E5HPU8__ERS852430_01891
ERR1912996.3862037__1.3862037	28052__A0A174HXN2__ERS852499_00609
ERR1912996.3862150__1.3862150	1262924__R7HN51__BN585_01718
ERR1912996.3862172__1.3862172	1656__F2UYI5__HMPREF0059_01140
ERR1912996.3862369__1.3862369	147206__GCF_000156215.1_00332
ERR1912996.3862394__1.3862394	33039__D4M6R9__truA_4
ERR1912996.3862417__1.3862417	901__B6WXS9__pssA
ERR1912996.3862633__1.3862633	1897011__A0A1Q6RCY0__BHW41_05945
ERR1912996.3862705__1.3862705	301302__R5UMB3__M72_01421
ERR1912996.3862997__1.3862997	1897011__A0A1Q6REW8__BHW41_04435
ERR1912996.3863130__1.3863130	301302__R5UTE0__ERS852420_02625
ERR1912996.3863445__1.3863445	1263027__R6ZTH4__BN699_02133
ERR1912996.3863463__1.3863463	1262882__R5MFR3__BN519_00473
ERR1912996.3863541__1.3863541	39488__C0ET55__tauA
ERR1912996.3863546__1.3863546	1262936__R7J3N4__BN799_00434
ERR1912996.3863686__1.3863686	328814__GCA_004558275.1_01621
ERR1912996.3863889__1.3863889	45851__D4RZC6__BHV86_04730
ERR1912996.3863908__1.3863908	1262936__R7J1V8__BN799_00957
ERR1912996.3864026__1.3864026	1680__A0A374QDL4__LMG18897_0432
ERR1912996.3864157__1.3864157	39485__C4Z355__ERS852490_01971
ERR1912996.3864710__1.3864710	45851__D4S0B1__BHV86_10120
ERR1912996.3865015__1.3865015	1680__R5GKP2__DXD60_06200
ERR1912996.3865184__1.3865184	1262919__R5PRP3__BN465_00924
ERR1912996.3865259__1.3865259	1680__A0A374QDL4__LMG18897_0432
ERR1912996.3865444__1.3865444	301301__A0A395VA65__eutA
ERR1912996.3865470__1.3865470	820__A0A173XIP7__B5G17_16050
ERR1912996.3865594__1.3865594	239935__A0A2N8I1R3__CXU05_06075
ERR1912996.3865817__1.3865817	35833__E5YAY4__HMPREF0179_03355
ERR1912996.3865813__1.3865813	853__A0A3E2V168__FAEPRAM212_00929
ERR1912996.3866012__1.3866012	1628085__A0A374VL33__C7386_102212
ERR1912996.3866015__1.3866015	1262911__R6GS52__BN557_00834
ERR1912996.3866154__1.3866154	1262936__R7J146__BN799_01697
ERR1912996.3866629__1.3866629	821__R7P1Q7__M099_2990
ERR1912996.3866722__1.3866722	1897011__A0A1Q6RI90__BHW41_01230
ERR1912996.3866920__1.3866920	216816__R5MZK3__DPC6320_1630
ERR1912996.3866934__1.3866934	239935__A0A2N8IMD6__CXU03_05585
ERR1912996.3867127__1.3867127	1263107__GCA_000436995.1_00194
ERR1912996.3867606__1.3867606	301302__A0A0M6WKN8__M72_27741
ERR1912996.3868125__1.3868125	1262924__R7HPX8__BN585_00310
ERR1912996.3868245__1.3868245	216816__D6DBD5__DXC32_04335
ERR1912996.3868497__1.3868497	1897011__A0A1Q6RGB6__BHW41_02790
ERR1912996.3868564__1.3868564	74426__nifJ
ERR1912996.3868821__1.3868821	901__B6WR31__DESPIG_00511
ERR1912996.3868867__1.3868867	39485__R5ZRS0__EUBELI_20324
ERR1912996.3868967__1.3868967	301302__R5UQ61__M72_23071
ERR1912996.3869101__1.3869101	1262936__R7IY78__BN799_00717
ERR1912996.3869217__1.3869217	1262911__R6GKS1__BN557_00184
ERR1912996.3869514__1.3869514	1628085__A0A2U1B0V1__C7386_12415
ERR1912996.3869641__1.3869641	901__B6WPS9__DHV46_04165
ERR1912996.3869707__1.3869707	40518__R5DWQ2__DXD93_03810
ERR1912996.3869853__1.3869853	40520__A0A396FSZ4__DXC87_11975
ERR1912996.3869880__1.3869880	1262936__R7J169__BN799_00083
ERR1912996.3870100__1.3870100	39485__C4Z028__ERS852492_00100
ERR1912996.3870404__1.3870404	1897011__A0A1Q6RCY0__BHW41_05945
ERR1912996.3870796__1.3870796	1680__A0A174BEE7__BSTER_1311
ERR1912996.3870944__1.3870944	239935__A0A2N8I368__CXT95_04550
ERR1912996.3871133__1.3871133	74426__nifJ
ERR1912996.3871168__1.3871168	88431__A6BGH9__ERS852408_02691
ERR1912996.3871559__1.3871559	1680__A0A0C2VBJ4__birA
ERR1912996.3871611__1.3871611	2022527__A0A264Y4S4__CHL74_12270
ERR1912996.3871685__1.3871685	338188__R6RY59__BACFIN_08333
ERR1912996.3871696__1.3871696	1262741__R6CT10__BN697_01316
ERR1912996.3871760__1.3871760	1263027__R7A6G1__BN699_00047
ERR1912996.3871832__1.3871832	40518__R5E6K5__speA
ERR1912996.3872218__1.3872218	1262936__R7J358__BN799_01390
ERR1912996.3872284__1.3872284	301302__R5UHX5__M72_14301
ERR1912996.3872449__1.3872449	1897011__A0A1Q6RG59__BHW41_02475
ERR1912996.3872562__1.3872562	1628085__A0A1C6ALV9__C7386_101366
ERR1912996.3872877__1.3872877	572010__hgdC_1
ERR1912996.3872898__1.3872898	1680__A0A087DHN0__AL0462_1532
ERR1912996.3873431__1.3873431	1897011__A0A1Q6RG62__BHW41_02455
ERR1912996.3873447__1.3873447	301302__R5ULT1__ERS852420_02174
ERR1912996.3873792__1.3873792	1680__A7A7Z9__AAX71_05385
ERR1912996.3873842__1.3873842	40518__R5E1J2__DXD93_04070
ERR1912996.3874047__1.3874047	239935__A0A2N8ITW6__CXT91_06265
ERR1912996.3874078__1.3874078	1262882__R5N5J6__BN519_01504
ERR1912996.3874380__1.3874380	1680__A0A0C2VBJ4__birA
ERR1912996.3874344__1.3874344	74426__purL
ERR1912996.3874642__1.3874642	40518__R5DMZ0__DXD83_05610
ERR1912996.3874653__1.3874653	1680__A0A374QDL4__LMG18897_0432
ERR1912996.3875014__1.3875014	1628085__A0A374VPL1__C7386_10315
ERR1912996.3875015__1.3875015	1263027__R6ZTB6__BN699_02053
ERR1912996.3875027__1.3875027	74426__pta
