ERR1913161.22__1.22	1550024__A0A0D8J179__ASJ35_09245
ERR1913161.444527__1.444527	823__A0A174VHT1__DHP27_04775
ERR1913161.445022__1.445022	214856__A0A175A6T5__ERS852447_02658
ERR1913161.445031__1.445031	239935__A0A2N8INZ4__CXU08_03560
ERR1913161.445228__1.445228	47678__R5U558__ERS852558_02232
ERR1913161.445261__1.445261	823__A0A355XLS2__ERS852380_02644
ERR1913161.445302__1.445302	239935__A0A2N8I3Z7__CXU05_10555
ERR1913161.445393__1.445393	1262882__R5MLP5__BN519_01602
ERR1913161.445678__1.445678	106588__A6NUL8__BACCAP_01900
ERR1913161.445769__1.445769	1262869__R7CUK0__BN625_00521
ERR1913161.446019__1.446019	28026__A0A087B7H7__DXD87_03920
ERR1913161.446222__1.446222	239935__A0A2N8IMD6__CXU03_05585
ERR1913161.446229__1.446229	1262882__R5N1R4__BN519_00788
ERR1913161.446193__1.446193	1550024__G9RWG1__ASJ35_03770
ERR1913161.446308__1.446308	821__A0A173XDD3__DXB82_17180
ERR1913161.446359__1.446359	246787__A0A0P0G254__axeA1_2
ERR1913161.446485__1.446485	357276__A0A076ITU4__EL88_22160
ERR1913161.446751__1.446751	1099853__G9S362__NSB1T_03260
ERR1913161.446814__1.446814	1262537__GeneID:16385341
ERR1913161.446896__1.446896	165179__A0A3E5E2S3__DXB80_03455
ERR1913161.447366__1.447366	214856__I3YPQ8__ERS852447_01371
ERR1913161.447485__1.447485	239935__A0A2N8I8X8__B5G29_00185
ERR1913161.447498__1.447498	46503__R6Y8M7__ERS852463_01228
ERR1913161.447682__1.447682	671267__R9IB12__C802_00696
ERR1913161.447685__1.447685	1550024__G9RZN9__ASJ35_05735
ERR1913161.448053__1.448053	1235835__R9LCU2__C814_02677
ERR1913161.448073__1.448073	2173__A5UND4__Msm_1507
ERR1913161.448124__1.448124	572010__nifJ
ERR1913161.448245__1.448245	328814__GCA_004558275.1_01846
ERR1913161.448363__1.448363	328814__GCA_004558275.1_00079
ERR1913161.448416__1.448416	214856__R6Y2Y4__ERS852447_01086
ERR1913161.448775__1.448775	1262882__R5MKV8__BN519_01281
ERR1913161.448854__1.448854	823__A0A355XJ56__DDY96_07685
ERR1913161.448880__1.448880	28118__R6F7J8__Odosp_3206
ERR1913161.449064__1.449064	1262882__R5MGX3__BN519_00046
ERR1913161.449151__1.449151	239935__A0A2N8IG27__CXT85_07805
ERR1913161.449305__1.449305	239935__A0A2N8HQR1__Amuc_0287
ERR1913161.449388__1.449388	357276__I9F3U2__B5F00_20845
ERR1913161.449411__1.449411	1550024__G9RW35__ASJ35_04635
ERR1913161.449551__1.449551	28117__B0MUL5__ALIPUT_00722
ERR1913161.449605__1.449605	1262992__R5D1H8__BN795_00995
ERR1913161.449724__1.449724	28117__R7JJM9__ALIPUT_00662
ERR1913161.449744__1.449744	1897011__A0A1Q6RDE2__BHW41_05525
ERR1913161.449706__1.449706	239935__A0A2N8ITX2__CXT86_11265
ERR1913161.449914__1.449914	2292352__A0A374UNZ9__DXC23_01520
ERR1913161.449922__1.449922	1739406__A0A1S1EDE3__HMPREF2902_04445
ERR1913161.450121__1.450121	821__A0A174WBC9__ERS852556_03145
ERR1913161.450144__1.450144	371601__D6D4G5__DXD80_16235
ERR1913161.450235__1.450235	239935__A0A2N8IEP3__CXT84_03735
ERR1913161.450316__1.450316	28117__B0MUY3__BHV66_00515
ERR1913161.450362__1.450362	1531__A0A0E2HBC9__HMPREF1087_04879
ERR1913161.450450__1.450450	1235835__R9LCU2__C814_02677
ERR1913161.450855__1.450855	102148__E7MMP2__HMPREF9430_00809
ERR1913161.450839__1.450839	1262882__R5MIY9__BN519_01097
ERR1913161.450919__1.450919	28118__F9Z667__NCTC10826_00403
ERR1913161.451045__1.451045	39488__C0EY66__prkC_1
ERR1913161.451311__1.451311	823__A0A174XJM9__CEQ22_007230
ERR1913161.451316__1.451316	239935__A0A2N8I3G2__CXT89_00720
ERR1913161.451467__1.451467	106588__A6P303__BACCAP_04887
ERR1913161.451591__1.451591	47678__A5ZL09__BACCAC_03608
ERR1913161.451748__1.451748	1263005__R6F0K5__BN497_01914
ERR1913161.451760__1.451760	1262882__R5MND9__BN519_00831
ERR1913161.451814__1.451814	1262882__R5MQ68__BN519_01178
ERR1913161.451907__1.451907	1262882__R5MM96__BN519_01545
ERR1913161.451914__1.451914	1262919__R5PF05__BN465_01997
ERR1913161.452126__1.452126	74426__group_1871
ERR1913161.452058__1.452058	823__A0A395YVY3__ERS852513_03204
ERR1913161.452193__1.452193	1034346__A0A3C0DGU2__DBX92_11610
ERR1913161.452581__1.452581	1262882__R5MH82__BN519_00752
ERR1913161.452572__1.452572	1262882__R5MFY4__BN519_00529
ERR1913161.452679__1.452679	820__A0A174R952__DXB48_02570
ERR1913161.452646__1.452646	820__A0A139KH21__DXC80_01780
ERR1913161.452769__1.452769	214856__A0A173W3Y5__ERS852559_02032
ERR1913161.453100__1.453100	1550024__A0A3B9WFC7__ASJ35_09200
ERR1913161.453524__1.453524	1235835__R9LCU2__C814_02677
ERR1913161.453693__1.453693	821__E5UMZ6__BVU_1450
ERR1913161.453783__1.453783	47678__R5U558__ERS852558_02232
ERR1913161.453986__1.453986	28116__F7LBW8__C5Z02_16055
ERR1913161.454021__1.454021	823__A0A395YSW8__CF162_05645
ERR1913161.454329__1.454329	818__R9HBA6__HMPREF2534_04317
ERR1913161.454344__1.454344	214856__I3YPR6__Alfi_2724
ERR1913161.454494__1.454494	1262911__R6GTG0__BN557_01247
ERR1913161.454547__1.454547	28116__I9AKR7__DXA80_22960
ERR1913161.454566__1.454566	214856__R6Z5D0__resA_4
ERR1913161.454501__1.454501	239935__R7DVW2__CXU02_03915
ERR1913161.454620__1.454620	853__A0A2A7B9I6__DW855_13690
ERR1913161.454639__1.454639	2173__A0A1D2WS51__METSMIALI_00230
ERR1913161.454660__1.454660	1897011__A0A1Q6RE22__BHW41_04590
ERR1913161.454694__1.454694	1262882__R5MK82__BN519_00260
ERR1913161.454718__1.454718	39488__C0EY05__EUBHAL_02306
ERR1913161.454919__1.454919	239935__A0A2N8HZW2__A4V05_11120
ERR1913161.454938__1.454938	820__A0A1Y3V743__M093_0235
ERR1913161.455057__1.455057	214856__E4MFP6__ERS852447_01708
ERR1913161.455210__1.455210	28116__E5CCI3__NCTC11153_04275
ERR1913161.455263__1.455263	357276__I9G0T7__BACDOR_04266
ERR1913161.455414__1.455414	239935__A0A2N8I791__CXT99_09415
ERR1913161.455427__1.455427	328814__GCA_004558275.1_02024
ERR1913161.455453__1.455453	47678__A5ZEA3__ERS852558_00257
ERR1913161.455752__1.455752	214856__E4MF20__Alfi_0697
ERR1913161.455758__1.455758	239935__R6IZU4__CXT87_08085
ERR1913161.456093__1.456093	214856__A0A174Z9Y8__ERS852559_00247
ERR1913161.456801__1.456801	1262882__R5MIC9__BN519_00834
ERR1913161.456913__1.456913	1262992__R5DCV6__BN795_00412
ERR1913161.457022__1.457022	552398__F4XHU2__HMPREF0866_03196
ERR1913161.457256__1.457256	47678__R5UPZ8__ERS852494_01752
ERR1913161.457259__1.457259	1262882__R5MYS0__BN519_00284
ERR1913161.457299__1.457299	2173__A0A1D2WV05__BK798_06920
ERR1913161.457473__1.457473	1262882__R5MRS7__BN519_01490
ERR1913161.457594__1.457594	1105031__J1H3W2__HMPREF1141_2783
ERR1913161.457612__1.457612	1683__C4FEV7__Bang102_006035
ERR1913161.457826__1.457826	328814__GCA_004558275.1_02280
ERR1913161.458109__1.458109	387090__S0F7Y3__BACCOPRO_02028
ERR1913161.458185__1.458185	214856__I3YPQ4__Alfi_2712
ERR1913161.458273__1.458273	28116__A0A1Y4PEX5__DXF98_25295
ERR1913161.458286__1.458286	214856__I3YPI7__pepD_1
ERR1913161.458332__1.458332	357276__A0A0K2HDV9__DXD47_02600
ERR1913161.458457__1.458457	239935__R6K0V8__CXT94_02055
ERR1913161.458691__1.458691	1262882__R5MHQ8__BN519_00707
ERR1913161.458700__1.458700	1897011__A0A1Q6RH35__BHW41_01705
ERR1913161.458901__1.458901	28118__F9Z6J0__DHW44_06845
ERR1913161.458875__1.458875	239935__A0A3F3K9J9__DEF40_00940
ERR1913161.459608__1.459608	1550024__G9RYX6__ASJ35_10025
ERR1913161.459651__1.459651	1262992__R5DCV6__BN795_00412
ERR1913161.459669__1.459669	239935__A0A2N8HUU6__CXT90_06150
ERR1913161.459772__1.459772	823__A0A355XEX9__ERS852560_03521
ERR1913161.459808__1.459808	1262882__R5N0Q5__BN519_00642
ERR1913161.459850__1.459850	1703337__A0A2U0U7Q7__C7379_11089
ERR1913161.459842__1.459842	1262869__R7CPH9__BN625_01415
ERR1913161.459890__1.459890	1550024__A0A0D8IY45__ASJ35_05575
ERR1913161.460074__1.460074	357276__A0A076IN30__DXD47_09350
ERR1913161.460421__1.460421	1262882__R5MKW1__BN519_00390
ERR1913161.460591__1.460591	823__A0A174W1A8__panE
ERR1913161.460682__1.460682	818__A0A0P0F525__C799_04575
ERR1913161.460898__1.460898	28117__B0MUL5__ALIPUT_00722
ERR1913161.461040__1.461040	28118__R6FC01__fepE
ERR1913161.461150__1.461150	2173__R7PWI5__rplJ
ERR1913161.461316__1.461316	301301__A0A395V714__evgS
ERR1913161.461320__1.461320	1262882__R5MQ68__BN519_01178
ERR1913161.461633__1.461633	360807__A0A173TV21__RIL183_14191
ERR1913161.461686__1.461686	1550024__G9RPI3__ASJ35_09180
ERR1913161.461758__1.461758	1262869__R7CLN4__BN625_00089
ERR1913161.461922__1.461922	328814__GCA_004558275.1_00294
ERR1913161.461993__1.461993	40518__R5DNY7__RBATCC27255_00367
ERR1913161.462245__1.462245	1235835__R9LCU2__C814_02677
ERR1913161.462325__1.462325	29361__B6FKH5__CLONEX_00621
ERR1913161.462383__1.462383	544645__A0A1Y3W1L7__DXC42_19080
ERR1913161.462530__1.462530	2173__A0A1D2WTR0__METSMIALI_00480
ERR1913161.462629__1.462629	1262882__R5N5W2__BN519_00074
ERR1913161.462987__1.462987	214856__I3YPR5__ERS852447_01364
ERR1913161.463101__1.463101	1034346__A0A3C0DH79__DBX92_13475
ERR1913161.463118__1.463118	1235835__R9LCU2__C814_02677
ERR1913161.463074__1.463074	820__A0A3E4FWC8__DXC91_14635
ERR1913161.463194__1.463194	357276__C3RA36__HMPREF1065_03270
ERR1913161.463646__1.463646	214856__A0A174ZB00__ERS852559_00631
ERR1913161.463744__1.463744	556259__I0PYM3__BSGG_5385
ERR1913161.464325__1.464325	1262882__R5N4D8__BN519_01497
ERR1913161.464407__1.464407	357276__I9FGI3__EL88_12385
ERR1913161.464476__1.464476	328814__GCA_004558275.1_00007
ERR1913161.464452__1.464452	216816__A0A1S2VTC3__BLIC_e00847
ERR1913161.464560__1.464560	39488__A0A374NJ86__mltG
ERR1913161.464778__1.464778	1550024__G9RXA1__TQ39_18810
ERR1913161.465073__1.465073	1262882__R5N5S3__BN519_00085
ERR1913161.465583__1.465583	239935__A0A2N8IL82__CXU02_11740
ERR1913161.465640__1.465640	239935__A0A139TPD4__CXT86_06450
ERR1913161.465884__1.465884	1262869__R7CLN4__BN625_00089
ERR1913161.465986__1.465986	39486__B0G9K3__DXD18_11205
ERR1913161.466002__1.466002	47678__R5UBT0__CGC64_12195
ERR1913161.466092__1.466092	239935__A0A2N8IHY1__CXU06_00035
ERR1913161.466541__1.466541	47678__R5U325__HMPREF1061_03209
ERR1913161.466730__1.466730	47678__A5ZI88__BACCAC_02617
ERR1913161.467153__1.467153	47678__A5ZL09__BACCAC_03608
ERR1913161.467531__1.467531	823__A0A355XFH7__ERS852513_00769
ERR1913161.467640__1.467640	28117__B0MVL5__BHV66_01660
ERR1913161.467867__1.467867	821__E5UY21__C800_02204
ERR1913161.467894__1.467894	239935__A0A2N8HUU6__CXT90_06150
ERR1913161.467856__1.467856	823__A0A355XLQ9__DXC05_02185
ERR1913161.468028__1.468028	1235835__R9LCU2__C814_02677
ERR1913161.468128__1.468128	1262869__R7CSE4__BN625_00586
ERR1913161.468140__1.468140	28117__R7JIJ8__BHV66_01635
ERR1913161.468146__1.468146	1262869__R7CKK9__BN625_00850
ERR1913161.468357__1.468357	39485__A0A174ZTY8__ycfH
ERR1913161.468371__1.468371	1262911__R6H0U7__BN557_01104
ERR1913161.468407__1.468407	1099853__G9S456__NSB1T_03840
ERR1913161.468446__1.468446	239935__A0A2N8I9P4__CXT85_05050
ERR1913161.468473__1.468473	239935__A0A2N8HX65__CXU17_02540
ERR1913161.468491__1.468491	28118__F9Z332__NCTC10826_03194
ERR1913161.468774__1.468774	1262882__R5MSX6__BN519_01697
ERR1913161.468817__1.468817	1262882__R5N1R4__BN519_00788
ERR1913161.469300__1.469300	1262869__R7CKB6__BN625_00834
ERR1913161.469368__1.469368	2173__A0A1D2WTP5__BK798_02785
ERR1913161.470021__1.470021	853__A0A329UEG4__CHR60_00585
ERR1913161.470326__1.470326	239935__A0A2N8IUQ8__CXU09_01665
ERR1913161.470457__1.470457	1262882__R5MGX3__BN519_00046
ERR1913161.470485__1.470485	1550024__G9RTW4__TQ39_08265
ERR1913161.470520__1.470520	74426__rpoB
ERR1913161.470709__1.470709	1262882__R5MRS7__BN519_01490
ERR1913161.470795__1.470795	39485__A0A174ZKZ4__spoIIQ_1
ERR1913161.470975__1.470975	823__A0A355XLQ9__DXC05_02185
ERR1913161.471477__1.471477	821__A6L0C7__ERS852556_03520
ERR1913161.471682__1.471682	2173__A5UJ58__BK798_03985
ERR1913161.471825__1.471825	214856__A0A174ZZS1__ERS852559_01484
ERR1913161.472306__1.472306	821__A0A174NM17__lacZ_6
ERR1913161.472442__1.472442	823__A0A355XF06__B5F32_11480
ERR1913161.472528__1.472528	487175__A0A350CXX6__HMPREF9439_00888
ERR1913161.472541__1.472541	357276__I9FTR0__HMPREF1065_02861
ERR1913161.472696__1.472696	328814__GCA_004558275.1_02030
ERR1913161.472742__1.472742	2173__A0A1D2WRQ9__METSMIF1_03320
ERR1913161.472793__1.472793	1897011__A0A1Q6RH73__BHW41_01885
ERR1913161.472830__1.472830	357276__C3R5A0__B5F00_02960
ERR1913161.473264__1.473264	1297617__A0A0S2W0X1__IB211_00621
ERR1913161.473471__1.473471	28116__A0A1Y4PDJ7__C5Z02_08485
ERR1913161.473639__1.473639	821__A0A395VIK7__BVU_1225
ERR1913161.473911__1.473911	216816__Q8G464__BFS25_05925
ERR1913161.474074__1.474074	1686__B6XSC0__BIFCAT_00127
ERR1913161.474066__1.474066	239935__R6JCH3__CXT95_08205
ERR1913161.474165__1.474165	357276__A0A0M1W4C0__DXD47_07095
ERR1913161.474228__1.474228	1235835__R9LCU2__C814_02677
ERR1913161.474284__1.474284	47678__R5U8S9__DW706_06260
ERR1913161.474349__1.474349	818__A0A0P0FBI1__NCTC10582_00163
ERR1913161.474425__1.474425	28118__F9Z9H9__DF785_03070
ERR1913161.474383__1.474383	301301__A0A395V5B0__ERS852391_02078
ERR1913161.474589__1.474589	1550024__G9RVD5__ASJ35_04350
ERR1913161.474799__1.474799	239935__A0A2N8IUW6__Amuc_1525
ERR1913161.475276__1.475276	214856__I3YPN0__ERS852447_01398
ERR1913161.475416__1.475416	239935__A0A2N8IVK9__CXU08_03750
ERR1913161.475656__1.475656	823__D0T9E4__DHW69_09115
ERR1913161.475726__1.475726	1262882__R5MSQ8__BN519_01647
ERR1913161.476294__1.476294	1262882__R5MS31__BN519_01529
ERR1913161.476306__1.476306	649756__B0P3S8__ywpJ_4
ERR1913161.476307__1.476307	33043__A0A174H5E3__ERS852400_02880
ERR1913161.476275__1.476275	1680__A0A0B5BIU5__BSTER_0145
ERR1913161.476405__1.476405	357276__I9G0T7__BACDOR_04266
ERR1913161.476741__1.476741	214856__R6Z590__ERS852447_01059
ERR1913161.476788__1.476788	1262869__R7CPQ0__BN625_01575
ERR1913161.476885__1.476885	572010__napA
ERR1913161.477101__1.477101	1262869__R7CUK0__BN625_00521
ERR1913161.477058__1.477058	1262882__R5MXW0__BN519_00317
ERR1913161.477307__1.477307	552398__F4XHU2__HMPREF0866_03196
ERR1913161.477382__1.477382	239935__A0A2N8HL50__CXT98_09135
ERR1913161.477394__1.477394	1550024__A0A3B9WJZ9__TQ39_02585
ERR1913161.477532__1.477532	544645__A0A3E4T884__DXC42_09175
ERR1913161.477591__1.477591	328813__A0A1Y3QXE7__B5G41_03065
ERR1913161.477628__1.477628	1262882__R5MSI5__BN519_01596
ERR1913161.477648__1.477648	1262882__R5MSS9__BN519_01662
ERR1913161.477651__1.477651	239935__A0A3F3K9J9__DEF40_00940
ERR1913161.478004__1.478004	239935__A0A139TSG7__CXU17_09600
ERR1913161.478006__1.478006	28116__A0A3A9HTT7__BACOVA_05446
ERR1913161.478247__1.478247	1262869__R7CT15__BN625_01708
ERR1913161.478312__1.478312	239935__A0A2N8HL50__CXT98_09135
ERR1913161.478563__1.478563	2173__A0A1D2WS51__METSMIALI_00230
ERR1913161.478551__1.478551	28116__E5C3L8__DXF98_06270
ERR1913161.478808__1.478808	1262882__R5MNC1__BN519_00818
ERR1913161.479024__1.479024	239935__R6JD78__CXU05_09250
ERR1913161.479078__1.479078	1262882__R5MGJ7__BN519_00652
ERR1913161.479286__1.479286	387090__S0F7Y3__BACCOPRO_02028
ERR1913161.479337__1.479337	239935__A0A2N8IEP3__CXT84_03735
ERR1913161.479521__1.479521	46503__R6X607__HMPREF1060_03545
ERR1913161.479491__1.479491	1262882__R5MHZ2__BN519_00742
ERR1913161.479683__1.479683	410072__C0B8G3__DXD67_01535
ERR1913161.479747__1.479747	47678__R5UZM4__DW706_15680
ERR1913161.479865__1.479865	114527__A0A2S0L4X2__C5Q96_05600
ERR1913161.479888__1.479888	1262869__R7CRJ0__BN625_01726
ERR1913161.480201__1.480201	216816__A0A2N0SME6__BLIF_1881
ERR1913161.480284__1.480284	47678__R5U7P3__DXB67_08985
ERR1913161.480447__1.480447	820__A0A139KH21__DXC80_01780
ERR1913161.480560__1.480560	28117__B0MT86__BHV66_02450
ERR1913161.480664__1.480664	239935__A0A2N8INZ4__CXU08_03560
ERR1913161.480759__1.480759	1262882__R5MYX5__BN519_00333
ERR1913161.480879__1.480879	28117__B0MY40__BHV66_05170
ERR1913161.480889__1.480889	28116__A0A395VSP8__ERS852555_02642
ERR1913161.481143__1.481143	239935__A0A2N8IMC3__CXT96_03840
ERR1913161.481244__1.481244	328814__GCA_004558275.1_02023
ERR1913161.481495__1.481495	328814__GCA_004558275.1_02028
ERR1913161.482010__1.482010	1235835__R9LCU2__C814_02677
ERR1913161.482021__1.482021	239935__R6JFR5__CXT84_04850
ERR1913161.482065__1.482065	33905__A0A0C2Z570__CQR47_0419
ERR1913161.482096__1.482096	1683__C4FGM6__Bang102_000625
ERR1913161.482233__1.482233	823__E1YQ32__DXC05_04185
ERR1913161.482518__1.482518	823__A0A355XF06__B5F32_11480
ERR1913161.482708__1.482708	1262938__R5FS65__BN812_00524
ERR1913161.482744__1.482744	1262911__R6H0U7__BN557_01104
ERR1913161.482904__1.482904	1262882__R5MIC9__BN519_00834
ERR1913161.482910__1.482910	1160721__W0U3P8__RBI_I00386
ERR1913161.482948__1.482948	1262911__R6GR13__BN557_00618
ERR1913161.482958__1.482958	28117__B0MUT8__ALIPUT_00879
ERR1913161.483009__1.483009	216816__A0A2N0SME6__BLIF_1881
ERR1913161.483044__1.483044	239935__A0A2N8IMD6__CXU03_05585
ERR1913161.483083__1.483083	1262882__R5MGJ7__BN519_00652
ERR1913161.483308__1.483308	1897011__A0A1Q6RC30__BHW41_06700
ERR1913161.483340__1.483340	29361__B6FKH5__CLONEX_00621
ERR1913161.483355__1.483355	1333651__W4N8U6__BMOU_0937
ERR1913161.483530__1.483530	328814__GCA_004558275.1_02021
ERR1913161.483615__1.483615	239935__A0A2N8IRW0__A4V05_11620
ERR1913161.483788__1.483788	239935__A0A2N8I1R3__CXU05_06075
ERR1913161.483821__1.483821	1262882__R5MMY3__BN519_00724
ERR1913161.483851__1.483851	818__A0A3E5GYI4__NCTC10582_00013
ERR1913161.484031__1.484031	1262882__R5N3T7__BN519_01188
ERR1913161.484072__1.484072	47678__A5ZF31__DXB67_11050
ERR1913161.484213__1.484213	1299998__GCA_001494635.1_02152
ERR1913161.484240__1.484240	239935__A0A2N8I3G2__CXT89_00720
ERR1913161.484280__1.484280	1262882__R5MMP8__BN519_01654
ERR1913161.484371__1.484371	328814__GCA_004558275.1_01621
ERR1913161.484566__1.484566	823__A0A078TL61__ERS852429_00610
ERR1913161.484765__1.484765	47678__R5UAI1__BACCAC_01922
ERR1913161.484875__1.484875	28117__B0MYW5__ALIPUT_02334
ERR1913161.484920__1.484920	46503__R6X607__HMPREF1060_03545
ERR1913161.485104__1.485104	1262869__R7CUK0__BN625_00521
ERR1913161.485188__1.485188	357276__D1K3K9__EL88_23995
ERR1913161.485257__1.485257	28117__B0MTH2__ALIPUT_00061
ERR1913161.486104__1.486104	1550024__A0A3B9WM87__TQ39_06420
ERR1913161.486161__1.486161	39029__A0A0J6WW00__AB840_08435
ERR1913161.486136__1.486136	214856__I3YPN9__ERS852447_01389
ERR1913161.486262__1.486262	239935__R7DVL7__CXT93_01180
ERR1913161.486263__1.486263	818__A0A0N7I9C8__BT_2965
ERR1913161.486383__1.486383	1263005__R6F190__BN497_00396
ERR1913161.487383__1.487383	328814__GCA_004558275.1_00296
ERR1913161.487515__1.487515	39496__A5Z5I2__EUBVEN_00963
ERR1913161.487524__1.487524	2173__A0A1D2WR01__Msm_0221
ERR1913161.487541__1.487541	239935__A0A2N8J2P6__ADH72_06730
ERR1913161.487618__1.487618	1262882__R5MYP8__BN519_00439
ERR1913161.487798__1.487798	1965662__A0A1Y3S1X6__B5G38_07905
ERR1913161.488039__1.488039	552398__F4XCQ4__HMPREF0866_01621
ERR1913161.488041__1.488041	626933__H1DGX0__HMPREF9449_01506
ERR1913161.488094__1.488094	1150298__A0A174SLE6__mlc_1
ERR1913161.488232__1.488232	239935__A0A139TPD4__CXT86_06450
ERR1913161.488359__1.488359	47678__A5ZLX1__C5Z00_04825
ERR1913161.488399__1.488399	1262882__R5N587__BN519_01643
ERR1913161.488516__1.488516	1796652__tenA_2
ERR1913161.488631__1.488631	671267__R9IEN1__C802_02405
ERR1913161.488582__1.488582	487175__R5EJE4__HMPREF9439_01295
ERR1913161.488846__1.488846	47678__R5UG22__ERS852558_01514
ERR1913161.488910__1.488910	1262882__R5MRT2__BN519_01494
ERR1913161.489485__1.489485	821__A0A174NVL6__NCTC10583_01782
ERR1913161.489524__1.489524	239935__A0A2N8I375__menA
ERR1913161.489543__1.489543	1262992__R5DCL9__BN795_01551
ERR1913161.490004__1.490004	544644__GCA_001915615.1_00956
ERR1913161.490055__1.490055	1262882__R5N5J6__BN519_01504
ERR1913161.490061__1.490061	214856__A0A175A6T5__ERS852447_02658
ERR1913161.490237__1.490237	28118__R6G1Z6__B5F93_09405
ERR1913161.490238__1.490238	328814__GCA_004558275.1_00296
ERR1913161.490308__1.490308	39488__A0A285PT25__EUBHAL_01908
ERR1913161.490311__1.490311	47678__R5UBT0__CGC64_12195
ERR1913161.490573__1.490573	556259__I0PYM3__BSGG_5385
ERR1913161.490574__1.490574	1262882__R5MEK3__BN519_00296
ERR1913161.490580__1.490580	239935__R7DVW2__CXU02_03915
ERR1913161.490591__1.490591	823__A0A073I9P2__CF162_18000
ERR1913161.490597__1.490597	1262869__R7CPH9__BN625_01415
ERR1913161.490643__1.490643	1262911__R6GMZ7__BN557_01741
ERR1913161.490999__1.490999	1262869__R7CPP0__BN625_01332
ERR1913161.491045__1.491045	1262869__R7CRP7__BN625_01723
ERR1913161.491154__1.491154	1262882__R5MRS7__BN519_01490
ERR1913161.491230__1.491230	2173__A0A1D2WRS4__METSMIALI_00521
ERR1913161.491656__1.491656	1297617__A0A2U1CEN0__BIV19_02710
ERR1913161.491634__1.491634	239935__A0A2N8HT18__CXT93_06135
ERR1913161.491801__1.491801	328814__GCA_004558275.1_00035
ERR1913161.491946__1.491946	1262869__R7CSS2__BN625_00473
ERR1913161.492314__1.492314	28117__B0MST6__BHV66_06090
ERR1913161.492471__1.492471	47678__R5UXY0__CGC64_03535
ERR1913161.492761__1.492761	328814__GCA_004558275.1_00043
ERR1913161.493288__1.493288	47678__R5U978__ERS852558_01076
ERR1913161.493410__1.493410	39485__A0A1Q6PHD7__ERS852492_01801
ERR1913161.493440__1.493440	357276__A0A0K2HJA6__DXD47_07320
ERR1913161.493586__1.493586	544645__A0A1Y3VNI5__DXC42_05950
ERR1913161.493684__1.493684	821__A6L0C7__ERS852556_03520
ERR1913161.493952__1.493952	239935__R7DVL7__CXT93_01180
ERR1913161.494139__1.494139	28117__B0MYW7__ALIPUT_02336
ERR1913161.494185__1.494185	823__A6LB63__M095_1847
ERR1913161.494296__1.494296	823__A0A355XKQ8__DHP27_04010
ERR1913161.494380__1.494380	357276__D1JY58__BACDOR_04277
ERR1913161.494407__1.494407	544645__A0A3E4T937__DXC42_08175
ERR1913161.494436__1.494436	1262869__R7CSE4__BN625_00586
ERR1913161.494571__1.494571	239935__A0A2N8HT68__ADH72_00510
ERR1913161.494825__1.494825	2173__A0A1D2WU48__Msm_1454
ERR1913161.494862__1.494862	328814__GCA_004558275.1_00293
ERR1913161.495040__1.495040	40518__R5DX93__DXD93_03055
ERR1913161.495018__1.495018	1965576__A0A1Y4LQD3__B5F19_01500
ERR1913161.495037__1.495037	129861__GeneID:5955699
ERR1913161.495073__1.495073	1262882__R5MYI1__BN519_00416
ERR1913161.495242__1.495242	39488__A0A285PMW6__ERS852450_00808
ERR1913161.495296__1.495296	1262882__R5MM25__BN519_00600
ERR1913161.495466__1.495466	328814__GCA_004558275.1_02294
ERR1913161.495545__1.495545	1262882__R5N3H1__BN519_01121
ERR1913161.495549__1.495549	239935__R6IZU4__CXT87_08085
ERR1913161.495640__1.495640	823__A0A355XKQ8__DHP27_04010
ERR1913161.495698__1.495698	371601__A0A1Y4VA23__SAMN04487924_1246
ERR1913161.495927__1.495927	328814__GCA_004558275.1_00294
ERR1913161.496059__1.496059	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913161.496307__1.496307	818__Q8A0R7__ERS852461_00039
ERR1913161.496348__1.496348	357276__I9F3U2__B5F00_20845
ERR1913161.496476__1.496476	626933__H1DGX0__HMPREF9449_01506
ERR1913161.496612__1.496612	239935__A0A2N8I694__CXU04_06245
ERR1913161.496744__1.496744	357276__I8WBQ9__HMPREF1065_03212
ERR1913161.497107__1.497107	116085__D4J6H3__DW747_13755
ERR1913161.497078__1.497078	28116__A0A139LD88__CUY_2408
ERR1913161.497257__1.497257	1897011__A0A1Q6RE92__BHW41_04980
ERR1913161.497234__1.497234	239935__A0A2N8I9I3__CXU19_12035
ERR1913161.497426__1.497426	1262869__R7CLN4__BN625_00089
ERR1913161.497455__1.497455	47678__R5U7A9__C5Z00_03635
ERR1913161.497476__1.497476	214856__R5UN64__ERS852447_02669
ERR1913161.497762__1.497762	1262869__R7CRN3__BN625_01760
ERR1913161.497777__1.497777	410072__C0B9A6__yvhJ
ERR1913161.497790__1.497790	328814__GCA_004558275.1_02279
ERR1913161.497818__1.497818	239935__A0A2N8ILG3__CXT93_10135
ERR1913161.498058__1.498058	138595__GCF_000468755.1_01252
ERR1913161.498233__1.498233	1262882__A0A356PSJ4__BN519_01180
ERR1913161.498310__1.498310	1965569__A0A1Y4NRW1__B5F07_12915
ERR1913161.498366__1.498366	357276__A0A076IYG1__B5F95_22465
ERR1913161.498519__1.498519	823__D7ILK2__ERS852380_00031
ERR1913161.498712__1.498712	821__A0A174V2F3__NCTC10583_01474
ERR1913161.498742__1.498742	1550024__A0A0W7TQZ0__TQ39_10670
