ERR1913209.41__1.41	39492__D4JTU4__ykfG
ERR1913209.450543__1.450543	573__A0A1D3KI18__AE87_00092
ERR1913209.450611__1.450611	1262911__R6GMD8__BN557_01647
ERR1913209.450579__1.450579	1262882__R5N532__BN519_01420
ERR1913209.450828__1.450828	39492__D4JTG7__EUBSIR_00572
ERR1913209.450988__1.450988	28117__B0MTV3__BHV66_06405
ERR1913209.450884__1.450884	820__A0A1Y3V743__M093_0235
ERR1913209.451125__1.451125	1263000__R5EKG2__BN466_02040
ERR1913209.451186__1.451186	820__A0A3E4PYB0__yejM
ERR1913209.451423__1.451423	1897011__A0A1Q6REW8__BHW41_04435
ERR1913209.451428__1.451428	1262921__R5MFA8__BN473_00594
ERR1913209.451576__1.451576	239935__A0A2N8HUU6__CXT90_06150
ERR1913209.451632__1.451632	28118__F9Z856__macA_2
ERR1913209.451868__1.451868	563769__GeneID:6973157
ERR1913209.451987__1.451987	610243__A0A060QJF7__ASAP_2763
ERR1913209.452087__1.452087	1262882__R5MYP8__BN519_00439
ERR1913209.452115__1.452115	39492__D4JRM4__tap_5
ERR1913209.452191__1.452191	562__A0A377AAV3__CDL32_10800
ERR1913209.452263__1.452263	820__A0A078S569__gmhB
ERR1913209.452243__1.452243	1262882__R5MKV8__BN519_01281
ERR1913209.452428__1.452428	1262882__R5MSQ8__BN519_01647
ERR1913209.452519__1.452519	246787__A0A3D6AWM8__BACCELL_01963
ERR1913209.452523__1.452523	1262921__R5MBU7__BN473_02531
ERR1913209.452818__1.452818	39492__A0A174ZHV5__msbA_2
ERR1913209.452891__1.452891	1262882__R5N3H1__BN519_01121
ERR1913209.452784__1.452784	1262921__R5LMK9__BN473_01331
ERR1913209.453346__1.453346	1262921__R5M3E4__BN473_00712
ERR1913209.453571__1.453571	823__A6LHK0__M090_1297
ERR1913209.453524__1.453524	46503__R6WQ01__PARMER_03826
ERR1913209.453647__1.453647	1262743__R5C054__BN727_01980
ERR1913209.453648__1.453648	1262743__R5C054__BN727_01980
ERR1913209.453691__1.453691	310298__B3JL94__BACCOP_02749
ERR1913209.453735__1.453735	357276__I8WEZ6__BACDOR_02323
ERR1913209.453747__1.453747	1262911__R6H0U7__BN557_01104
ERR1913209.454036__1.454036	562__P0AFH7__oppC
ERR1913209.454186__1.454186	820__A0A173XIP7__B5G17_16050
ERR1913209.454242__1.454242	1262921__R5MBU7__BN473_02531
ERR1913209.454332__1.454332	562__P46855__PU39_09885
ERR1913209.454422__1.454422	28117__B0MWP2__ALIPUT_01468
ERR1913209.454618__1.454618	252393__A0A328TRZ1__ACZ87_00977
ERR1913209.454966__1.454966	820__A7V049__DXB48_04755
ERR1913209.455439__1.455439	674529__R6V7P0__SAMN05444400_102331
ERR1913209.455494__1.455494	46228__V8C989__HMPREF1202_01036
ERR1913209.455506__1.455506	1262882__A0A356PSJ4__BN519_01180
ERR1913209.455530__1.455530	28118__R6FCY1__DER54_07335
ERR1913209.455482__1.455482	10678__GeneID:2777401
ERR1913209.455654__1.455654	39492__D4JT75__EUBSIR_01776
ERR1913209.455834__1.455834	28026__A0A173XWB0__DXD87_06855
ERR1913209.455839__1.455839	1263000__R5EPL0__BN466_00686
ERR1913209.456018__1.456018	39491__A0A395V297__EUR_01010
ERR1913209.456019__1.456019	1896974__A0A1Q6H7S4__BHV77_07555
ERR1913209.456112__1.456112	357276__A0A076IKP7__BACDOR_04239
ERR1913209.456236__1.456236	39492__D4JSU6__dacB_3
ERR1913209.456283__1.456283	214856__A0A174ZLW6__ERS852559_01424
ERR1913209.456528__1.456528	823__A0A395YVY3__ERS852513_03204
ERR1913209.456784__1.456784	1262882__R5MEK3__BN519_00296
ERR1913209.456808__1.456808	246787__R6KQ08__AA416_01934
ERR1913209.456874__1.456874	820__R9I2U8__DXC68_09590
ERR1913209.456951__1.456951	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913209.457003__1.457003	10678__GeneID:2777456
ERR1913209.457044__1.457044	1262922__R6E219__BN487_00678
ERR1913209.457230__1.457230	46228__V8C7P7__HMPREF1202_01523
ERR1913209.457262__1.457262	28117__B0MWZ9__ALIPUT_01735
ERR1913209.457359__1.457359	310298__B3JII2__BACCOP_01694
ERR1913209.457378__1.457378	1262958__R7GU23__BN645_01243
ERR1913209.457520__1.457520	1263000__R5ESM1__BN466_01440
ERR1913209.457569__1.457569	39491__D4JMW8__ERS852497_01971
ERR1913209.457616__1.457616	1263006__R6LU28__BN515_01365
ERR1913209.457653__1.457653	823__A0A355XLT7__HMPREF1075_03402
ERR1913209.457955__1.457955	1263000__R5EFJ5__BN466_01372
ERR1913209.458036__1.458036	46503__K5ZAK9__NCTC13052_03308
ERR1913209.458133__1.458133	39492__D4JTJ1__EUBSIR_01453
ERR1913209.458310__1.458310	1262743__R5C054__BN727_01980
ERR1913209.458378__1.458378	329854__R5MCJ1__DXD57_00165
ERR1913209.458707__1.458707	853__A0A173T6P2__DWZ46_14595
ERR1913209.459138__1.459138	1965537__A0A1Y4WMZ4__B5E42_03830
ERR1913209.459214__1.459214	562__P77294__fimG
ERR1913209.459341__1.459341	1262899__R7JDA9__BN657_00673
ERR1913209.459371__1.459371	853__A0A2A7B1Y7__C7K05_11930
ERR1913209.459433__1.459433	46503__R6WQ01__PARMER_03826
ERR1913209.459447__1.459447	1263000__R5ES99__BN466_01121
ERR1913209.459618__1.459618	563769__GeneID:6973158
ERR1913209.459624__1.459624	454155__F3QU38__HMPREF9442_01709
ERR1913209.459746__1.459746	39492__B0MNQ2__EUBSIR_01459
ERR1913209.459859__1.459859	239935__A0A139TPG3__CXT86_08810
ERR1913209.459847__1.459847	1262882__R5N3T7__BN519_01188
ERR1913209.459883__1.459883	1262744__R6G943__BN744_02084
ERR1913209.460213__1.460213	1262882__R5MGX3__BN519_00046
ERR1913209.460238__1.460238	46228__V8BYB0__HMPREF1202_02063
ERR1913209.460282__1.460282	1262921__R5LMK9__BN473_01331
ERR1913209.460260__1.460260	28026__C0BRQ3__DXC83_08895
ERR1913209.460568__1.460568	1262911__R6GPA3__BN557_00827
ERR1913209.460597__1.460597	10678__GeneID:2777420
ERR1913209.460797__1.460797	239935__A0A2N8HHB6__B5G29_11500
ERR1913209.460855__1.460855	1150298__A0A174B7I7__ERS852535_01258
ERR1913209.460860__1.460860	357276__A0A0K2HDP3__IY41_00705
ERR1913209.461278__1.461278	1262911__R6GLA5__BN557_01456
ERR1913209.461372__1.461372	820__R9I2U8__DXC68_09590
ERR1913209.461377__1.461377	39492__R6RYB8__ERS852540_00322
ERR1913209.461566__1.461566	674529__R6V7P0__SAMN05444400_102331
ERR1913209.461690__1.461690	1262740__R7CVB2__BN666_01237
ERR1913209.461808__1.461808	40518__R5DS68__hcpC
ERR1913209.461870__1.461870	239935__A0A2N8IHY1__CXU06_00035
ERR1913209.462040__1.462040	10678__GeneID:2777434
ERR1913209.462050__1.462050	1147144__GeneID:14182120
ERR1913209.462073__1.462073	292800__A0A174B4M5__ERS852544_02169
ERR1913209.462200__1.462200	573__A0A1D3KKN8__BN427_3653
ERR1913209.462393__1.462393	823__A6LER2__ERS852513_00365
ERR1913209.462645__1.462645	1263000__R5EFJ5__BN466_01372
ERR1913209.462663__1.462663	246787__I8V2S2__BACCELL_02524
ERR1913209.462726__1.462726	458033__GCA_001482755.1_02203
ERR1913209.462780__1.462780	28117__B0MXU0__BHV66_07550
ERR1913209.462785__1.462785	1263000__R5EMZ8__BN466_00707
ERR1913209.462840__1.462840	39491__C4Z9J5__DXB69_02495
ERR1913209.463084__1.463084	1147151__GeneID:14182075
ERR1913209.463187__1.463187	1262882__R5MIC9__BN519_00834
ERR1913209.463566__1.463566	820__A0A374Q1D8__SAMN05444418_112114
ERR1913209.463724__1.463724	1150298__A0A173ZI89__ERS852498_03535
ERR1913209.463844__1.463844	28117__B0MXU6__ALIPUT_01958
ERR1913209.463971__1.463971	1099853__G9S2I3__NSB1T_08715
ERR1913209.464068__1.464068	820__A0A174A6K0__M093_0079
ERR1913209.464073__1.464073	39492__D4JT90__coaE
ERR1913209.464088__1.464088	39492__D4JUD7__EUBSIR_01877
ERR1913209.464147__1.464147	823__A0A395YX30__M090_4590
ERR1913209.464232__1.464232	28026__C0BQA9__BBPC_0402
ERR1913209.464291__1.464291	1262882__R5N0F4__BN519_00593
ERR1913209.464295__1.464295	214856__R6XS46__ERS852559_00812
ERR1913209.464420__1.464420	301302__R5UPH9__M72_00521
ERR1913209.464521__1.464521	853__A0A173TAZ8__DWZ46_14590
ERR1913209.464524__1.464524	1262700__R5XLR7__BN695_01670
ERR1913209.464572__1.464572	246787__R6KIG0__BcellWH2_02358
ERR1913209.464664__1.464664	1262744__R6FRH1__BN744_00384
ERR1913209.464755__1.464755	820__A0A174GYA8__DXB64_07370
ERR1913209.464759__1.464759	817__E4W180__BF638R_4450
ERR1913209.464789__1.464789	28026__A0A174ANJ0__BPS1E_1565
ERR1913209.464832__1.464832	204516__U6RPN2__HMPREF1534_00368
ERR1913209.464865__1.464865	823__A0A355XFH7__ERS852513_00769
ERR1913209.465016__1.465016	28118__F9Z6F1__DER54_08365
ERR1913209.465558__1.465558	454155__F3QS52__HMPREF9442_01007
ERR1913209.465567__1.465567	175950__GeneID:955654
ERR1913209.465578__1.465578	239935__B2UPZ6__CXU03_03800
ERR1913209.465594__1.465594	246787__E2NCX3__HMPREF1062_01637
ERR1913209.465881__1.465881	387661__K5ZQY6__B5F96_11410
ERR1913209.466051__1.466051	626933__H1DGX0__HMPREF9449_01506
ERR1913209.466148__1.466148	28052__R7NHJ5__ERS852499_01501
ERR1913209.466246__1.466246	1262921__R5M5G9__BN473_01282
ERR1913209.466398__1.466398	28117__B0MY34__BHV66_05195
ERR1913209.466602__1.466602	1262918__R5CBG7__BN458_01203
ERR1913209.466636__1.466636	821__A0A0P0LFP6__C5Z04_13890
ERR1913209.466798__1.466798	39492__D4JUR4__ERS852540_01427
ERR1913209.466926__1.466926	1262882__R5MEK3__BN519_00296
ERR1913209.466906__1.466906	39491__A0A395ZDC6__addB
ERR1913209.467018__1.467018	1262882__R5MEN9__BN519_00201
ERR1913209.467216__1.467216	1262882__R5MYP8__BN519_00439
ERR1913209.467730__1.467730	46228__V8BPQ4__HMPREF1202_02321
ERR1913209.467786__1.467786	2022527__A0A264Y3X7__CHL74_13910
ERR1913209.467805__1.467805	40518__A0A373KL92__RBATCC27255_01378
ERR1913209.467884__1.467884	821__A0A173XDD3__DXB82_17180
ERR1913209.468038__1.468038	1262911__R6GTA5__BN557_01337
ERR1913209.468059__1.468059	1262911__R6GY22__BN557_00023
ERR1913209.468363__1.468363	28118__R6F2P2__NCTC10826_02131
ERR1913209.468373__1.468373	1099853__U5CNF1__NSB1T_01130
ERR1913209.468395__1.468395	2026240__rfaH
ERR1913209.468413__1.468413	817__D1JR15__M117_0303
ERR1913209.468644__1.468644	820__A0A374Q1D8__SAMN05444418_112114
ERR1913209.468776__1.468776	1897011__A0A1Q6REP0__BHW41_04040
ERR1913209.468791__1.468791	1099853__G9S8I7__NSB1T_12985
ERR1913209.468864__1.468864	1099853__U5CNF1__NSB1T_01130
ERR1913209.469005__1.469005	10678__GeneID:2777431
ERR1913209.469215__1.469215	239935__B2UL21__CXT98_03395
ERR1913209.469667__1.469667	39492__B0MNU1__ERS852540_02349
ERR1913209.469685__1.469685	630129__A0A087B5Q9__BKAS_1209
ERR1913209.469756__1.469756	1262911__R6HJS5__BN557_00288
ERR1913209.469887__1.469887	39485__C4Z5L8__ERS852490_00665
ERR1913209.469895__1.469895	1262921__R5M5K3__BN473_01395
ERR1913209.470113__1.470113	46503__R6X5E7__PARMER_00245
ERR1913209.470161__1.470161	853__A0A173TAZ8__DWZ46_14590
ERR1913209.470204__1.470204	310298__B3JGJ2__BACCOP_00994
ERR1913209.470458__1.470458	458033__GCA_001482755.1_02203
ERR1913209.470570__1.470570	357276__D1K3K9__EL88_23995
ERR1913209.470627__1.470627	823__A0A174PAQ4__ERS852429_04218
ERR1913209.470630__1.470630	1262958__R7GQW9__BN645_00913
ERR1913209.470718__1.470718	10678__GeneID:2777456
ERR1913209.470733__1.470733	853__A0A173YYY4__DWZ04_09420
ERR1913209.470925__1.470925	128975__GeneID:6030649
ERR1913209.471488__1.471488	564886__GeneID:6973115
ERR1913209.471538__1.471538	246787__R6KQ08__AA416_01934
ERR1913209.471456__1.471456	1262882__R5MHZ2__BN519_00742
ERR1913209.471715__1.471715	357276__I9R994__BACDOR_04044
ERR1913209.471884__1.471884	562__P46855__PU39_09885
ERR1913209.471894__1.471894	1262882__R5MLA4__BN519_01536
ERR1913209.472060__1.472060	10678__GeneID:2777456
ERR1913209.472213__1.472213	853__D4JY61__C4N21_10560
ERR1913209.472359__1.472359	246787__R6KBH9__HMPREF1062_04676
ERR1913209.472396__1.472396	562__P46855__PU39_09885
ERR1913209.472459__1.472459	246787__A0A0P0GCR8__xynD_3
ERR1913209.472504__1.472504	239935__B2UL21__CXT98_03395
ERR1913209.472694__1.472694	1262882__R5N1T9__BN519_00804
ERR1913209.472767__1.472767	29361__B6FKH5__CLONEX_00621
ERR1913209.472740__1.472740	166486__D4KZ45__ROSINTL182_05738
ERR1913209.472917__1.472917	1855371__A0A1U6I4E1__SAMN05216563_103130
ERR1913209.472920__1.472920	1099853__G9S2I3__NSB1T_08715
ERR1913209.472997__1.472997	246787__A0A0P0FSC9__BACCELL_02534
ERR1913209.473144__1.473144	246787__A0A3D6AXI0__AA416_04256
ERR1913209.473400__1.473400	1262944__R7IP88__BN596_01467
ERR1913209.473588__1.473588	1262743__R5C054__BN727_01980
ERR1913209.473618__1.473618	1262911__R6HJS5__BN557_00288
ERR1913209.473729__1.473729	820__A0A174M9V5__M093_0237
ERR1913209.473734__1.473734	1262882__A0A356PSJ4__BN519_01180
ERR1913209.473825__1.473825	310298__B3JLC6__BACCOP_02712
ERR1913209.473801__1.473801	820__A0A374QGD2__ERS852421_02382
ERR1913209.473927__1.473927	562__P23837__phoQ
ERR1913209.473933__1.473933	1099853__U5CE08__NSB1T_14190
ERR1913209.473934__1.473934	239935__A0A2N8IRL2__CXU06_01170
ERR1913209.474434__1.474434	562__P32704__COD56_15900
ERR1913209.474623__1.474623	1262963__R6CBY4__BN718_00134
ERR1913209.474741__1.474741	39492__D4JRZ7__smc
ERR1913209.474742__1.474742	39492__D4JRZ7__smc
ERR1913209.474747__1.474747	1262882__R5MN65__BN519_00771
ERR1913209.474835__1.474835	46503__K5ZX50__dnaG_1
ERR1913209.474957__1.474957	47678__R5U2F6__HMPREF1061_00767
ERR1913209.475101__1.475101	39492__D4JQS6__ykoD
ERR1913209.475374__1.475374	1147151__GeneID:14182075
ERR1913209.475418__1.475418	1262882__R5MZ06__BN519_00492
ERR1913209.475580__1.475580	1262920__R5KZ47__BN467_00758
ERR1913209.475555__1.475555	40518__R5DTJ1__DXD86_03635
ERR1913209.475754__1.475754	357276__I9QPN3__EL88_09245
ERR1913209.476170__1.476170	1262882__R5MHZ2__BN519_00742
ERR1913209.476181__1.476181	1150298__R7JTW4__yvhJ
ERR1913209.476197__1.476197	1099853__U5CHR3__NSB1T_13310
ERR1913209.476393__1.476393	204516__U6R9E7__HMPREF1534_03313
ERR1913209.476486__1.476486	39492__D4MMZ8__ERS852540_01407
ERR1913209.476642__1.476642	39492__D4JU81__xseA
ERR1913209.476667__1.476667	820__A0A3E4FWC8__DXC91_14635
ERR1913209.476738__1.476738	10678__GeneID:2777431
ERR1913209.476770__1.476770	39491__A0A2U2EKL1__ERS852580_00911
ERR1913209.477156__1.477156	301302__R5VGE0__ERS852420_00121
ERR1913209.477397__1.477397	418240__C6JAX8__ERS852478_02355
ERR1913209.478020__1.478020	301302__A0A173RZU9__M72_23561
ERR1913209.478383__1.478383	562__P0ABQ5__COD41_16240
ERR1913209.478288__1.478288	46228__V8CAV6__addA
ERR1913209.478548__1.478548	418240__C6JAZ7__ERS852478_01462
ERR1913209.478574__1.478574	1262882__R5MFK5__BN519_00378
ERR1913209.478854__1.478854	1262958__R7H1L1__BN645_01584
ERR1913209.479185__1.479185	1262882__R5N1R4__BN519_00788
ERR1913209.479495__1.479495	1262882__R5N2A9__BN519_00921
ERR1913209.479715__1.479715	1262882__R5MEN9__BN519_00201
ERR1913209.479762__1.479762	172901__A0A2U1ALA3__C8D82_13242
ERR1913209.479918__1.479918	239935__A0A2N8ILG3__CXT93_10135
ERR1913209.479923__1.479923	1262921__R5LMN0__BN473_01328
ERR1913209.479946__1.479946	28117__B0MU76__ALIPUT_00202
ERR1913209.480059__1.480059	1099853__U5CJQ4__NSB1T_11640
ERR1913209.480188__1.480188	1262921__R5LMK9__BN473_01331
ERR1913209.480490__1.480490	817__R5RPH9__M109_4569
ERR1913209.480678__1.480678	46228__V8C5S1__RUMLAC_02063
ERR1913209.480879__1.480879	39492__D4JSS9__btuF
ERR1913209.480883__1.480883	10678__GeneID:2777415
ERR1913209.481166__1.481166	246787__A0A3D6ARN8__yehU_6
ERR1913209.481283__1.481283	820__A0A374QGD2__ERS852421_02382
ERR1913209.481365__1.481365	10678__GeneID:2777475
ERR1913209.481333__1.481333	328814__GCA_004558275.1_00014
ERR1913209.481535__1.481535	823__A6LEF1__CF162_12695
ERR1913209.481564__1.481564	1262921__R5MBU7__BN473_02531
ERR1913209.481831__1.481831	820__A0A374Q854__HMPREF1073_03281
ERR1913209.481788__1.481788	10678__GeneID:2777418
ERR1913209.482075__1.482075	1262958__R7GU57__BN645_01077
ERR1913209.482194__1.482194	204516__U6R838__HMPREF1534_03867
ERR1913209.482281__1.482281	1262911__R6GY78__BN557_00532
ERR1913209.482283__1.482283	10678__GeneID:2777415
ERR1913209.482315__1.482315	820__E5VA63__DXC80_01025
ERR1913209.482386__1.482386	823__A0A355XKQ8__DHP27_04010
ERR1913209.482772__1.482772	817__A0A015YR67__M130_0551
ERR1913209.483268__1.483268	823__A0A174KUS4__araC_7
ERR1913209.483494__1.483494	564886__GeneID:6973115
ERR1913209.483639__1.483639	1897011__A0A1Q6RF88__BHW41_03295
ERR1913209.483965__1.483965	189722__E0NQU7__HMPREF0658_0548
ERR1913209.484127__1.484127	10678__GeneID:2777473
ERR1913209.484179__1.484179	1262882__R5MLA4__BN519_01536
ERR1913209.484224__1.484224	818__A0A0P0F7K1__ERS852461_02719
ERR1913209.484339__1.484339	1262882__R5MFT7__BN519_00494
ERR1913209.484617__1.484617	244366__A0A0B7GCL1__sucC
ERR1913209.484679__1.484679	39492__D4MJF3__EUBSIR_02248
ERR1913209.485033__1.485033	39492__D4JQS6__ykoD
ERR1913209.485061__1.485061	239935__R6K0V8__CXT94_02055
ERR1913209.485190__1.485190	820__A0A374Q854__HMPREF1073_03281
ERR1913209.485234__1.485234	818__A0A3E5HDU6__C799_04515
ERR1913209.485349__1.485349	28026__C0BRH8__DXA79_08795
ERR1913209.485490__1.485490	28117__R7JJM9__ALIPUT_00662
ERR1913209.485645__1.485645	28052__A0A174LHM7__ERS852451_02351
ERR1913209.485673__1.485673	46228__V8BPH7__RUMLAC_01273
ERR1913209.485709__1.485709	39492__D4JVG7__ERS852540_00946
ERR1913209.485800__1.485800	310298__B3JEV6__BACCOP_00400
ERR1913209.486159__1.486159	239935__A0A2N8I6R6__CXU04_04335
ERR1913209.486132__1.486132	239935__R6JCH3__CXT95_08205
ERR1913209.486262__1.486262	1262882__R5N2U9__BN519_01221
ERR1913209.486425__1.486425	172901__A0A2U1ALK4__C8D82_13132
ERR1913209.486721__1.486721	1262744__R6F7Y4__BN744_00645
ERR1913209.486999__1.486999	128975__GeneID:6030679
ERR1913209.487285__1.487285	1099853__U5CN59__NSB1T_00565
ERR1913209.487427__1.487427	239935__A0A2N8ITG2__Amuc_0335
ERR1913209.487516__1.487516	357276__U6R8F9__DXD47_04035
ERR1913209.487489__1.487489	820__A7UYX8__DXD40_11635
ERR1913209.487559__1.487559	10678__GeneID:2777477
ERR1913209.487624__1.487624	39492__D4JU31__ERS852540_00198
ERR1913209.487695__1.487695	246787__R6KCH8__csbC
ERR1913209.487759__1.487759	823__A0A173TL14__M095_0764
ERR1913209.487788__1.487788	39491__A0A173QT73__alaS_2
ERR1913209.487801__1.487801	820__A0A1T4IYF4__mprA_1
ERR1913209.487768__1.487768	166486__D4KRN2__ERS852572_01816
ERR1913209.488100__1.488100	410072__A0A174BMP0__DXD67_03635
ERR1913209.488102__1.488102	46228__B5CQB8__RUMLAC_01663
ERR1913209.488202__1.488202	28026__A0A267WLP7__DXD35_07115
ERR1913209.488241__1.488241	1147151__GeneID:14182075
ERR1913209.488257__1.488257	310298__B3JK99__BACCOP_02328
ERR1913209.488325__1.488325	823__A0A355XLH0__fepA_1
ERR1913209.488357__1.488357	39492__D4JQS6__ykoD
ERR1913209.488439__1.488439	1262882__R5MYP8__BN519_00439
ERR1913209.488606__1.488606	823__A0A078TL61__ERS852429_00610
ERR1913209.488716__1.488716	1855371__A0A1I2BEE3__SAMN05216563_10687
ERR1913209.488875__1.488875	1262882__R5MND9__BN519_00831
ERR1913209.489029__1.489029	310298__B3JFI7__BACCOP_00636
ERR1913209.489325__1.489325	39485__A0A174ZA72__glgB_1
ERR1913209.489644__1.489644	1262921__R5LTJ9__BN473_02529
ERR1913209.489648__1.489648	1262911__R6GN38__BN557_00620
ERR1913209.489840__1.489840	39492__D4JUJ6__ssuB_2
ERR1913209.489887__1.489887	357276__I8WFU9__BACDOR_02006
ERR1913209.489855__1.489855	1262882__R5MFA5__BN519_00331
ERR1913209.490066__1.490066	820__A0A139KG60__M094_2679
ERR1913209.490041__1.490041	218538__C9LQG5__GCWU000321_01796
ERR1913209.490732__1.490732	28117__B0MZ22__BHV66_04430
ERR1913209.490805__1.490805	1262882__R5MT08__BN519_01706
ERR1913209.490816__1.490816	1263000__R5EMC8__BN466_00317
ERR1913209.490894__1.490894	239935__A0A2N8ITX2__CXT86_11265
ERR1913209.490819__1.490819	1262911__R6H0S8__BN557_01079
ERR1913209.490825__1.490825	1099853__G9S8I7__NSB1T_12985
ERR1913209.491033__1.491033	1262882__R5MZZ3__BN519_00482
ERR1913209.491158__1.491158	28117__B0MY45__ALIPUT_02164
ERR1913209.491242__1.491242	1262882__R5MSX6__BN519_01697
ERR1913209.491682__1.491682	357276__A0A076IXE0__HMPREF1064_04364
ERR1913209.491851__1.491851	46503__A7AGD9__HMPREF1078_01631
ERR1913209.491864__1.491864	823__D7IT19__DHP27_03495
ERR1913209.491865__1.491865	39486__B0G8H8__DXD10_14350
ERR1913209.491831__1.491831	301302__A0A0M6WH46__M72_23101
ERR1913209.491835__1.491835	39485__A0A174ZJ84__EUBELI_00107
ERR1913209.491841__1.491841	562__P77393__PU31_14870
ERR1913209.491843__1.491843	39491__A0A395UZ89__DXB72_12805
ERR1913209.491945__1.491945	706562__GCA_900112995.1_01437
ERR1913209.492069__1.492069	1262882__R5N2A9__BN519_00921
ERR1913209.492357__1.492357	1262911__R6GPA3__BN557_00827
ERR1913209.492647__1.492647	1262882__R5MYX5__BN519_00333
ERR1913209.492915__1.492915	310298__B3JPN8__BACCOP_03837
ERR1913209.492935__1.492935	1262882__R5N3T7__BN519_01188
ERR1913209.493305__1.493305	10678__GeneID:2777418
ERR1913209.493430__1.493430	1262882__R5MLP5__BN519_01602
ERR1913209.493414__1.493414	1262921__R5LTJ9__BN473_02529
ERR1913209.493729__1.493729	1262882__R5N587__BN519_01643
ERR1913209.493977__1.493977	1262882__R5N526__BN519_01603
ERR1913209.493979__1.493979	418240__A0A174C431__ERS852478_01806
ERR1913209.494221__1.494221	28117__B0MTH2__ALIPUT_00061
ERR1913209.494235__1.494235	221029__GeneID:2777078
ERR1913209.494176__1.494176	46228__V8CG89__RUMLAC_00663
ERR1913209.494198__1.494198	1262882__R5N587__BN519_01643
ERR1913209.494292__1.494292	1099853__G9S6U1__NSB1T_01770
ERR1913209.494392__1.494392	39492__D4JUR4__ERS852540_01427
ERR1913209.494411__1.494411	1262882__R5N3H1__BN519_01121
ERR1913209.494571__1.494571	28117__B0MUT8__ALIPUT_00879
ERR1913209.494681__1.494681	28118__F9ZB36__B5F99_17235
ERR1913209.494687__1.494687	28026__A0A267WLP7__DXD35_07115
ERR1913209.494912__1.494912	239935__A0A2N8HPS5__Amuc_0950
ERR1913209.494946__1.494946	40518__R5DUG7__sbcC
ERR1913209.494965__1.494965	214856__A0A173XWQ7__hyaD_1
ERR1913209.495051__1.495051	39491__D4JMW8__ERS852497_01971
ERR1913209.495240__1.495240	820__A0A139K8N1__ERS852554_00951
ERR1913209.495311__1.495311	1150298__A0A174HYM9__ERS852406_01664
ERR1913209.495379__1.495379	1262882__R5N1L4__BN519_00757
ERR1913209.495620__1.495620	1099853__U5CNI5__NSB1T_06225
ERR1913209.495685__1.495685	28026__A0A0A7I510__DXD87_07495
ERR1913209.495696__1.495696	1262882__R5MGI7__BN519_00643
ERR1913209.495780__1.495780	35833__E5Y2U0__HMPREF0179_00454
ERR1913209.495809__1.495809	552398__F4XCR9__HMPREF0866_01636
ERR1913209.496039__1.496039	357276__A0A076IN30__DXD47_09350
ERR1913209.496131__1.496131	46503__A7AB27__DXB85_00430
ERR1913209.496521__1.496521	1150298__A0A174BE63__ERS852406_01048
ERR1913209.497201__1.497201	626933__H1DGX0__HMPREF9449_01506
ERR1913209.497245__1.497245	820__A0A3E4G826__C801_01612
ERR1913209.497315__1.497315	817__A0A0K6C0K7__M138_4527
ERR1913209.497598__1.497598	78257__A0A087CUE0__BSAE_1156
ERR1913209.497617__1.497617	39485__A0A174YVB5__lyc
ERR1913209.497627__1.497627	853__A0A3E2U7E6__ERS852582_01640
ERR1913209.497628__1.497628	853__A0A3E2U7E6__ERS852582_01640
ERR1913209.497712__1.497712	74426__purC
ERR1913209.497767__1.497767	853__D4K7X0__DW905_09540
ERR1913209.497834__1.497834	10678__GeneID:2777397
ERR1913209.497943__1.497943	28117__B0MTW8__ALIPUT_00502
ERR1913209.498046__1.498046	817__Q64RY5__M122_2555
ERR1913209.498116__1.498116	745368__A0A1T4X373__SAMN02745178_01365
ERR1913209.498385__1.498385	1262921__R5LMK9__BN473_01331
ERR1913209.498471__1.498471	39491__A0A395ZG74__licR
ERR1913209.498491__1.498491	172901__A0A2U1AV38__C8D82_1177
ERR1913209.498597__1.498597	1262882__R5MYP8__BN519_00439
ERR1913209.498696__1.498696	823__A0A174PLE5__DXD05_03010
ERR1913209.498898__1.498898	562__Q8XBR9__G770_00628
ERR1913209.499072__1.499072	1150298__A0A174KDX3__ERS852498_01212
ERR1913209.499159__1.499159	239935__A0A2N8IVR0__CXT87_07115
ERR1913209.499208__1.499208	1628085__A0A2U1BFW2__C7386_10288
ERR1913209.499254__1.499254	310298__B3JQJ5__BACCOP_04231
ERR1913209.499277__1.499277	1263000__R5EGY6__BN466_00973
ERR1913209.499749__1.499749	1262882__R5MSP5__BN519_01637
ERR1913209.499822__1.499822	39492__D4JRV7__EUBSIR_01513
ERR1913209.499908__1.499908	246787__A0A108TBH4__BACCELL_02980
ERR1913209.499914__1.499914	357276__A0A0K2HG61__BACDOR_02028
ERR1913209.500994__1.500994	371601__I9AAD2__B5E50_12410
ERR1913209.501217__1.501217	244366__A0A377UFW2__SAMEA3721050_00061
ERR1913209.501255__1.501255	39491__C4ZCH3__EUR_17560
ERR1913209.501288__1.501288	1262882__R5MHZ2__BN519_00742
ERR1913209.501691__1.501691	1262921__R5LTU7__BN473_01717
ERR1913209.501794__1.501794	246787__A0A3D6AXH7__BACCELL_04262
ERR1913209.501873__1.501873	39492__D4JU30__EUBSIR_00838
ERR1913209.501972__1.501972	410072__C0B8D2__DXD67_01675
ERR1913209.501983__1.501983	1262882__R5MYS9__BN519_00290
ERR1913209.501930__1.501930	817__F7LL02__M110_0756
