ERR1913186.42__1.42	1262882__R5N5S3__BN519_00085
ERR1913186.1249228__1.1249228	1263027__R7AXQ2__BN699_01139
ERR1913186.1249560__1.1249560	147206__GCF_000156215.1_01773
ERR1913186.1249833__1.1249833	884684__GCA_002892425.1_01408
ERR1913186.1250217__1.1250217	1262911__R6GY78__BN557_00532
ERR1913186.1250314__1.1250314	1262936__R7J1X7__BN799_01807
ERR1913186.1250345__1.1250345	1897011__A0A1Q6RJ96__BHW41_00350
ERR1913186.1250446__1.1250446	216816__B7GN29__BL72_08765
ERR1913186.1250512__1.1250512	74426__infB
ERR1913186.1250731__1.1250731	1262929__R6F9D0__BN691_00320
ERR1913186.1251044__1.1251044	1680__A0A1X3A7D3__AD0028_1139
ERR1913186.1251291__1.1251291	165179__A0A174SA26__PREVCOP_05758
ERR1913186.1251642__1.1251642	28052__A0A174HF53__ERS852499_00436
ERR1913186.1251647__1.1251647	1262911__R6GQM3__BN557_01245
ERR1913186.1251742__1.1251742	45851__D4S317__BUTYVIB_02469
ERR1913186.1251726__1.1251726	1262936__R7J0Z2__BN799_00650
ERR1913186.1251827__1.1251827	1262882__R5N5H2__BN519_01493
ERR1913186.1251853__1.1251853	310297__B5CZI0__BACPLE_02145
ERR1913186.1252287__1.1252287	239935__A0A2N8J1K0__CXT97_05765
ERR1913186.1252498__1.1252498	1680__A0A087DHN0__AL0462_1532
ERR1913186.1252674__1.1252674	471189__GCA_003340385.1_00365
ERR1913186.1252632__1.1252632	649756__B0P0W3__ERS852571_01929
ERR1913186.1252724__1.1252724	1628085__A0A3E2XZW0__C7386_101386
ERR1913186.1252766__1.1252766	1263027__R7AVU4__BN699_00498
ERR1913186.1252791__1.1252791	165179__A0A3E5A554__DXB80_13805
ERR1913186.1252935__1.1252935	572010__tgt
ERR1913186.1253142__1.1253142	552398__F4XCQ4__HMPREF0866_01621
ERR1913186.1253350__1.1253350	216816__E8MW20__DD674_07905
ERR1913186.1253412__1.1253412	1262936__R7J5J9__BN799_00247
ERR1913186.1253582__1.1253582	1680__A0A087DHN0__AL0462_1532
ERR1913186.1254162__1.1254162	1299998__GCA_001494635.1_01836
ERR1913186.1254170__1.1254170	360807__A0A396AIV6__RIL183_05461
ERR1913186.1254378__1.1254378	45851__D4S1N9__BHV86_08300
ERR1913186.1255152__1.1255152	1235835__R9LCU2__C814_02677
ERR1913186.1255549__1.1255549	1680__R5GZF2__DXC60_01925
ERR1913186.1255793__1.1255793	901__B6WVJ0__BHW59_08380
ERR1913186.1256072__1.1256072	1262936__R7J169__BN799_00083
ERR1913186.1256119__1.1256119	40518__R5DU38__DXD83_06770
ERR1913186.1256189__1.1256189	1897011__A0A1Q6RGB4__BHW41_02795
ERR1913186.1256749__1.1256749	1897011__A0A1Q6RE83__BHW41_04925
ERR1913186.1256939__1.1256939	45851__D4RZF4__BUTYVIB_01220
ERR1913186.1257166__1.1257166	239935__A0A2N8HPS5__Amuc_0950
ERR1913186.1257489__1.1257489	357276__I8WEZ6__BACDOR_02323
ERR1913186.1257906__1.1257906	2022527__A0A264Y5Y7__CHL74_10300
ERR1913186.1258040__1.1258040	2173__A0A1D2WTW4__BK798_02715
ERR1913186.1258111__1.1258111	1262936__R7J5M6__BN799_00272
ERR1913186.1258249__1.1258249	131111__K0YP59__HMPREF9241_01537
ERR1913186.1258283__1.1258283	216816__A0A1V8RHV4__DXD44_06445
ERR1913186.1258365__1.1258365	1550024__G9RYS9__TQ39_01815
ERR1913186.1259039__1.1259039	1680__R5GZJ8__BSTER_1195
ERR1913186.1259222__1.1259222	853__D4JY61__C4N21_10560
ERR1913186.1259346__1.1259346	147206__GCF_000156215.1_01775
ERR1913186.1259412__1.1259412	1628085__A0A3E2Y1H6__C7386_104158
ERR1913186.1259791__1.1259791	39488__A0A173REY4__ecfT_1
ERR1913186.1260017__1.1260017	45851__D4RZF4__BUTYVIB_01220
ERR1913186.1260044__1.1260044	901__B6WVE1__DESPIGER_2036
ERR1913186.1260144__1.1260144	165179__A0A174IHQ2__PREVCOP_05478
ERR1913186.1260201__1.1260201	901__B6WVE0__DESPIG_02056
ERR1913186.1260795__1.1260795	1263000__R5EXT3__BN466_02213
ERR1913186.1261488__1.1261488	40518__R5DZU5__RBL263_00458
ERR1913186.1261716__1.1261716	165179__A0A174SA26__PREVCOP_05758
ERR1913186.1261798__1.1261798	1262936__R7IZC2__BN799_01006
ERR1913186.1261824__1.1261824	301302__R5UV35__M72_02721
ERR1913186.1261837__1.1261837	39491__A0A395ZHW9__DXC13_02590
ERR1913186.1261960__1.1261960	39491__A0A0M6WPN4__DXB69_06325
ERR1913186.1262461__1.1262461	823__A0A355XLH0__fepA_1
ERR1913186.1262702__1.1262702	39486__G1WMX5__HMPREF9457_00476
ERR1913186.1262845__1.1262845	552398__T5S086__HMPREF0866_01580
ERR1913186.1262901__1.1262901	1150298__R7JRU1__degA_3
ERR1913186.1263084__1.1263084	74426__sugC
ERR1913186.1263131__1.1263131	544580__F2V0Z7__BKH16_04660
ERR1913186.1263154__1.1263154	45851__D4RW73__BHV86_06745
ERR1913186.1263376__1.1263376	1262936__R7J354__BN799_00281
ERR1913186.1263396__1.1263396	1262936__R7IZZ2__BN799_01307
ERR1913186.1263634__1.1263634	45851__D4S1B2__BHV86_08920
ERR1913186.1263700__1.1263700	1262911__R6GP58__BN557_00798
ERR1913186.1263891__1.1263891	1680__A0A087DHN0__AL0462_1532
ERR1913186.1263934__1.1263934	147206__GCF_000156215.1_00828
ERR1913186.1264828__1.1264828	1656__F2UY21__HMPREF0059_00975
ERR1913186.1264846__1.1264846	45851__D4RZD5__BUTYVIB_01201
ERR1913186.1264859__1.1264859	901__B6WS58__glk
ERR1913186.1264936__1.1264936	1680__A1A1R1__BIFADO_00076
ERR1913186.1265031__1.1265031	901__B6WQD5__DESPIG_00255
ERR1913186.1265103__1.1265103	216816__A0A2U0BLP0__tsaB
ERR1913186.1265441__1.1265441	147206__GCF_000156215.1_00014
ERR1913186.1265808__1.1265808	823__A0A355XKQ8__DHP27_04010
ERR1913186.1265845__1.1265845	74426__group_1871
ERR1913186.1266518__1.1266518	1897011__A0A1Q6RC34__BHW41_06455
ERR1913186.1266523__1.1266523	100886__E2NSF9__rpoB
ERR1913186.1266471__1.1266471	301302__A0A173T3P5__ERS852420_01836
ERR1913186.1266598__1.1266598	853__A0A174C5M1__CGS58_04460
ERR1913186.1266632__1.1266632	74426__purL
ERR1913186.1267479__1.1267479	1262911__R6HHR1__BN557_01622
ERR1913186.1267568__1.1267568	901__B6WXT8__DESPIGER_1543
ERR1913186.1267681__1.1267681	40518__R5DUU2__yvhJ_2
ERR1913186.1267897__1.1267897	1897011__A0A1Q6RGE1__BHW41_02880
ERR1913186.1268083__1.1268083	1262936__R7J358__BN799_01390
ERR1913186.1268208__1.1268208	1262911__R6GZX7__BN557_00838
ERR1913186.1268662__1.1268662	1680__A0A174BEE7__BSTER_1311
ERR1913186.1268729__1.1268729	1628085__A0A2U1BEP3__C7386_1033
ERR1913186.1269078__1.1269078	1262936__R7J2L3__BN799_01877
ERR1913186.1269112__1.1269112	1680__A1A132__B0703_0684
ERR1913186.1269340__1.1269340	40518__R5DTJ1__DXD86_03635
ERR1913186.1269427__1.1269427	1263027__R7AV02__BN699_02111
ERR1913186.1269460__1.1269460	39491__A0A396FE96__EUR_00280
ERR1913186.1270543__1.1270543	901__B6WXN9__DESPIGER_1568
ERR1913186.1270593__1.1270593	74426__rpoB
ERR1913186.1270649__1.1270649	147206__GCF_000156215.1_01776
ERR1913186.1271024__1.1271024	165179__D1PEQ5__PREVCOP_05711
ERR1913186.1271100__1.1271100	1680__A0A173XYA2__B0703_0121
ERR1913186.1271115__1.1271115	301302__A0A0M6WZT5__M72_18331
ERR1913186.1271352__1.1271352	853__A0A174C5M1__CGS58_04460
ERR1913186.1271411__1.1271411	1655__U1R8I6__BKH33_09970
ERR1913186.1271414__1.1271414	1262992__R5D6G0__BN795_00277
ERR1913186.1271995__1.1271995	216816__D6DBD5__DXC32_04335
ERR1913186.1272065__1.1272065	1262936__R7IYJ1__BN799_00810
ERR1913186.1272258__1.1272258	147207__adhE_1
ERR1913186.1272407__1.1272407	901__B6WS90__DHV46_08165
ERR1913186.1272959__1.1272959	901__B6WXF1__DESPIGER_1660
ERR1913186.1273244__1.1273244	1262924__R7HP98__BN585_02065
ERR1913186.1273471__1.1273471	572010__group_1550
ERR1913186.1273603__1.1273603	901__B6WRB3__DESPIGER_0300
ERR1913186.1273585__1.1273585	1262924__R7HRR0__BN585_00872
ERR1913186.1273801__1.1273801	1262882__R5MSX6__BN519_01697
ERR1913186.1273811__1.1273811	1262924__R7HQB3__BN585_00435
ERR1913186.1273993__1.1273993	39491__C4ZAT2__ERE_28440
ERR1913186.1274021__1.1274021	338188__R6RZG2__kojP_1
ERR1913186.1274429__1.1274429	74426__purL
ERR1913186.1274622__1.1274622	39485__R6AET9__EUBELI_01205
ERR1913186.1274678__1.1274678	820__A0A139K4T0__ERS852510_03146
ERR1913186.1274757__1.1274757	853__A0A3E2U7E6__ERS852582_01640
ERR1913186.1274836__1.1274836	901__B6WQ97__DHV46_07025
ERR1913186.1275080__1.1275080	1897011__A0A1Q6RH29__BHW41_01570
ERR1913186.1275410__1.1275410	1680__A0A0C2YPV2__AL0462_1474
ERR1913186.1275412__1.1275412	552398__F4XCR9__HMPREF0866_01636
ERR1913186.1275426__1.1275426	1680__A0A087DHN0__AL0462_1532
ERR1913186.1275750__1.1275750	74426__purL
ERR1913186.1276059__1.1276059	1262936__R7J169__BN799_00083
ERR1913186.1276017__1.1276017	1680__A0A2R4G1K8__BBMN23_0315
ERR1913186.1276062__1.1276062	74426__purL
ERR1913186.1276320__1.1276320	1680__A0A0C2YPV2__AL0462_1474
ERR1913186.1276342__1.1276342	1262936__R7J0S3__BN799_01459
ERR1913186.1276364__1.1276364	45851__D4S1P9__BUTYVIB_02021
ERR1913186.1276466__1.1276466	40518__R5DU38__DXD83_06770
ERR1913186.1276617__1.1276617	45851__R5LJL1__BHV86_09305
ERR1913186.1276669__1.1276669	1262936__R7J5J9__BN799_00247
ERR1913186.1276749__1.1276749	1680__A0A087DHN0__AL0462_1532
ERR1913186.1277172__1.1277172	166486__D4KUC4__arcB_1
ERR1913186.1277922__1.1277922	1965587__A0A1Y4I0C5__B5F35_09340
ERR1913186.1277996__1.1277996	1262911__R6H1P0__BN557_00940
ERR1913186.1278548__1.1278548	239935__A0A2N8IKW7__pstA
ERR1913186.1278785__1.1278785	301302__R5VG21__M72_16591
ERR1913186.1278803__1.1278803	45851__D4S2U9__BHV86_05685
ERR1913186.1278969__1.1278969	39491__A0A3E4YFT8__DXB69_10940
ERR1913186.1278914__1.1278914	301302__R5UMB9__M72_25011
ERR1913186.1279067__1.1279067	1262761__R6RB22__BN606_01933
ERR1913186.1279212__1.1279212	239935__A0A2N8HT18__CXT93_06135
ERR1913186.1279409__1.1279409	1262936__R7J1I2__BN799_01776
ERR1913186.1279714__1.1279714	1680__A0A174BEE7__BSTER_1311
ERR1913186.1279728__1.1279728	1262741__R6CY53__BN697_00992
ERR1913186.1279783__1.1279783	1262936__R7IZC2__BN799_01006
ERR1913186.1280021__1.1280021	1263107__GCA_000436995.1_00031
ERR1913186.1280086__1.1280086	1897011__A0A1Q6RF49__BHW41_03110
ERR1913186.1280549__1.1280549	901__B6WY04__BHW59_00740
ERR1913186.1280568__1.1280568	39491__A0A396FKI0__DXC13_11560
ERR1913186.1280824__1.1280824	1550024__G9RWW8__TQ39_12140
ERR1913186.1280893__1.1280893	1263006__R6LU28__BN515_01365
ERR1913186.1281725__1.1281725	116085__D4J6U4__DW747_08365
ERR1913186.1281732__1.1281732	823__A0A3E4PAQ2__DDY96_18275
ERR1913186.1281773__1.1281773	901__B6WRL8__epaO
ERR1913186.1281895__1.1281895	360807__A0A0M6WHB7__ERS852444_00092
ERR1913186.1281993__1.1281993	2022527__A0A264YA09__CHL74_03035
ERR1913186.1282045__1.1282045	1680__R5GKP2__DXD60_06200
ERR1913186.1282167__1.1282167	1897011__A0A1Q6RGA3__BHW41_02665
ERR1913186.1282358__1.1282358	1628085__A0A1C6C323__C7386_10747
ERR1913186.1282402__1.1282402	1262936__R7J2J5__BN799_01196
ERR1913186.1282441__1.1282441	1628085__A0A374VKR8__C7386_1272
ERR1913186.1282648__1.1282648	39491__A0A174K265__DXB76_05915
ERR1913186.1282679__1.1282679	301302__R5UTE0__ERS852420_02625
ERR1913186.1282626__1.1282626	2022527__A0A264YCK3__CHL74_00095
ERR1913186.1282831__1.1282831	239935__A0A2N8IMD6__CXU03_05585
ERR1913186.1283082__1.1283082	147207__adhE_1
ERR1913186.1283681__1.1283681	1262936__R7J2G9__BN799_01824
ERR1913186.1283630__1.1283630	39485__C4Z389__ERS852490_01920
ERR1913186.1283637__1.1283637	39488__A0A374NRX1__licR_1
ERR1913186.1283735__1.1283735	901__B6WVN9__DESPIG_02157
ERR1913186.1284081__1.1284081	216816__C5E8I1__yciB
ERR1913186.1284179__1.1284179	1680__A0A076JNH5__DXC60_03835
ERR1913186.1284191__1.1284191	172901__A0A2U1AXN3__C8D82_11568
ERR1913186.1284812__1.1284812	1680__A0A174BEE7__BSTER_1311
ERR1913186.1285195__1.1285195	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913186.1285360__1.1285360	1150298__A0A174MLY5__ERS852498_01797
ERR1913186.1285318__1.1285318	216816__B3DNW2__BL171B_07980
ERR1913186.1285772__1.1285772	1680__A0A087DHN0__AL0462_1532
ERR1913186.1285823__1.1285823	1680__A0A087DHN0__AL0462_1532
ERR1913186.1286149__1.1286149	290054__A0A1T4N7L2__SAMN02745114_01501
ERR1913186.1286573__1.1286573	1262936__R7IYW8__BN799_00842
ERR1913186.1286885__1.1286885	28052__A0A174JQH3__ERS852499_01195
ERR1913186.1287097__1.1287097	147206__GCF_000156215.1_01777
ERR1913186.1287303__1.1287303	1262919__R5PC04__BN465_00249
ERR1913186.1287344__1.1287344	1656__F2UYI5__HMPREF0059_01140
ERR1913186.1287527__1.1287527	1262911__R6GPB1__BN557_00837
ERR1913186.1287546__1.1287546	39491__A0A395ZGU6__ERS852417_01456
ERR1913186.1287617__1.1287617	301302__R5VFQ6__ERS852420_00378
ERR1913186.1287787__1.1287787	301302__R5UH47__M72_02301
ERR1913186.1287990__1.1287990	216816__A0A083X5W4__HMPREF0177_01593
ERR1913186.1288056__1.1288056	216816__E8MVM4__APC1480_1562
ERR1913186.1288193__1.1288193	147206__GCF_000156215.1_01776
ERR1913186.1288312__1.1288312	301302__A0A0M6WJW1__ERS852420_02245
ERR1913186.1288523__1.1288523	901__B6WQH5__DESPIG_00299
ERR1913186.1288584__1.1288584	28052__R7NFJ0__lytR_8
ERR1913186.1288615__1.1288615	1299998__GCA_001494635.1_01836
ERR1913186.1288736__1.1288736	39488__A0A174IFL3__DXD91_00270
ERR1913186.1288894__1.1288894	40518__R5DME2__DXD86_07315
ERR1913186.1289055__1.1289055	901__B6WTQ4__DESPIGER_1255
ERR1913186.1289482__1.1289482	147206__GCF_000156215.1_01771
ERR1913186.1289402__1.1289402	1680__A0A0B5BME4__DXD63_05015
ERR1913186.1289413__1.1289413	1628085__A0A2U1BAW1__C7386_11048
ERR1913186.1289554__1.1289554	216816__A0A133L1E2__ptsP
ERR1913186.1289599__1.1289599	74426__group_4823
ERR1913186.1289845__1.1289845	1262924__R7HPB3__BN585_00488
ERR1913186.1290269__1.1290269	901__B6WXF1__DESPIGER_1660
ERR1913186.1290273__1.1290273	45851__D4RYU0__BHV86_05340
ERR1913186.1290329__1.1290329	1262936__R7IYW6__BN799_00686
ERR1913186.1290468__1.1290468	39485__R5ZSH7__EUBELI_00953
ERR1913186.1290909__1.1290909	357276__A0A0M1VZG8__HMPREF1064_01655
ERR1913186.1291027__1.1291027	1263000__R5ELA0__BN466_02255
ERR1913186.1291602__1.1291602	1680__A0A0C2YPV2__AL0462_1474
ERR1913186.1291783__1.1291783	1262936__R7J1R8__BN799_01841
ERR1913186.1292085__1.1292085	301301__A0A395V7N0__ERS852391_02330
ERR1913186.1292167__1.1292167	1628085__A0A396MGZ2__C7386_12111
ERR1913186.1292192__1.1292192	74426__rpoC
ERR1913186.1292226__1.1292226	1262936__R7IYJ1__BN799_00810
ERR1913186.1292688__1.1292688	1628085__A0A1C6ALV9__C7386_101366
ERR1913186.1292842__1.1292842	1262936__R7IYW6__BN799_00686
ERR1913186.1292859__1.1292859	165179__D1PFV4__PREVCOP_06112
ERR1913186.1293189__1.1293189	1262936__R7J1X7__BN799_01807
ERR1913186.1293243__1.1293243	1262936__R7J0K5__BN799_01232
ERR1913186.1293377__1.1293377	301302__A0A173TWC1__phoR_7
ERR1913186.1293443__1.1293443	45851__D4RYI3__BHV86_01630
ERR1913186.1293578__1.1293578	820__A0A139K024__B5G17_02060
ERR1913186.1293877__1.1293877	1535__G9RWN9__CH238_11575
ERR1913186.1294424__1.1294424	2022527__A0A264YB35__CHL74_00015
ERR1913186.1294584__1.1294584	1262911__R6GT76__BN557_01150
ERR1913186.1294554__1.1294554	1262936__R7IY18__BN799_00607
ERR1913186.1294804__1.1294804	901__A0A1K1LFD7__DHV46_01840
ERR1913186.1294753__1.1294753	1897011__A0A1Q6RDX8__BHW41_05330
ERR1913186.1295340__1.1295340	147206__GCF_000156215.1_01776
ERR1913186.1295750__1.1295750	165179__A0A3E5E189__PREVCOP_06699
ERR1913186.1295803__1.1295803	328814__GCA_004558275.1_02278
ERR1913186.1295976__1.1295976	823__A0A355XIK0__CEQ22_011965
ERR1913186.1296157__1.1296157	1262936__R7IZZ2__BN799_01307
ERR1913186.1296311__1.1296311	1897011__A0A1Q6RCY0__BHW41_05945
ERR1913186.1296584__1.1296584	2022527__A0A264YCK3__CHL74_00095
ERR1913186.1296600__1.1296600	1680__A0A087DHN0__AL0462_1532
ERR1913186.1296928__1.1296928	1262936__R7IY33__BN799_00622
ERR1913186.1297069__1.1297069	1897011__A0A1Q6RIP3__BHW41_00615
ERR1913186.1297988__1.1297988	45851__D4S0P1__BUTYVIB_01660
ERR1913186.1298091__1.1298091	74426__group_1871
ERR1913186.1298224__1.1298224	552398__F4XCQ4__HMPREF0866_01621
ERR1913186.1298373__1.1298373	45851__D4S1J8__BUTYVIB_01969
ERR1913186.1298408__1.1298408	853__A0A173T0Y8__CGS54_07215
ERR1913186.1298556__1.1298556	1262936__R7IY78__BN799_00717
ERR1913186.1298605__1.1298605	1262959__R5XW12__BN680_00372
ERR1913186.1298873__1.1298873	40518__R5DU38__DXD83_06770
ERR1913186.1298880__1.1298880	45851__D4RWC3__BUTYVIB_00254
ERR1913186.1299076__1.1299076	147206__GCF_000156215.1_00014
ERR1913186.1299431__1.1299431	820__A0A3E5E9Y8__DXD90_09110
ERR1913186.1299435__1.1299435	1262936__R7J169__BN799_00083
ERR1913186.1299680__1.1299680	901__B6WQT6__DESPIG_00415
ERR1913186.1299709__1.1299709	45851__D4RXM8__BHV86_03015
ERR1913186.1299767__1.1299767	74426__sigA
ERR1913186.1299813__1.1299813	552398__F4XCQ4__HMPREF0866_01621
ERR1913186.1299837__1.1299837	74426__group_4823
ERR1913186.1299842__1.1299842	1680__A0A0C2VBJ4__birA
ERR1913186.1300195__1.1300195	1262911__R6GS70__BN557_00854
ERR1913186.1300164__1.1300164	74426__nifJ
ERR1913186.1300483__1.1300483	39485__C4Z355__ERS852490_01971
ERR1913186.1300489__1.1300489	901__B6WR27__lnt
ERR1913186.1300741__1.1300741	301302__A0A173TTX1__M72_22141
ERR1913186.1301257__1.1301257	45851__D4RZK8__BUTYVIB_01274
ERR1913186.1301334__1.1301334	310297__B5CUD7__BHV76_11070
ERR1913186.1301693__1.1301693	1262919__R5P777__BN465_01262
ERR1913186.1301754__1.1301754	1628085__A0A2U1BD76__C7386_10691
ERR1913186.1302099__1.1302099	901__B6WXI0__DHV46_02055
ERR1913186.1302141__1.1302141	1263011__R6EI46__BN553_01013
ERR1913186.1302329__1.1302329	147206__GCF_000156215.1_01777
ERR1913186.1302588__1.1302588	301302__R5UNJ6__M72_26701
ERR1913186.1302606__1.1302606	1897011__A0A1Q6RFG3__BHW41_03700
ERR1913186.1302865__1.1302865	147206__GCF_000156215.1_01774
ERR1913186.1302879__1.1302879	1262936__R7IZZ2__BN799_01307
ERR1913186.1303691__1.1303691	1262936__R7IYJ1__BN799_00810
ERR1913186.1303758__1.1303758	147206__GCF_000156215.1_01776
ERR1913186.1304248__1.1304248	2022527__A0A264Y5Y7__CHL74_10300
ERR1913186.1304515__1.1304515	88431__A0A174EMW0__thiD_1
ERR1913186.1304569__1.1304569	1680__A0A174BEE7__BSTER_1311
ERR1913186.1304845__1.1304845	28052__R7NCR8__ERS852499_01142
ERR1913186.1305134__1.1305134	116085__D4J8E0__DW747_09165
ERR1913186.1305240__1.1305240	301302__A0A0M6WF57__M72_22681
ERR1913186.1305507__1.1305507	1262882__R5MS31__BN519_01529
ERR1913186.1305517__1.1305517	1262936__R7J5M9__BN799_00277
ERR1913186.1306163__1.1306163	1262924__R7HLK0__BN585_01496
ERR1913186.1306351__1.1306351	74426__nifJ
ERR1913186.1306485__1.1306485	572010__aspS
ERR1913186.1306628__1.1306628	508460__GCF_000585335.1_00297
ERR1913186.1307007__1.1307007	1262882__R5MPY4__BN519_01128
ERR1913186.1307236__1.1307236	1262936__R7J6M0__BN799_00574
ERR1913186.1307364__1.1307364	572010__lepA
ERR1913186.1307513__1.1307513	394340__dmdA
ERR1913186.1307491__1.1307491	2022527__A0A264Y8U3__CHL74_04860
ERR1913186.1307577__1.1307577	1263006__R6LZM6__BN515_01762
ERR1913186.1307646__1.1307646	216816__E8MFM6__DXC54_08560
ERR1913186.1308078__1.1308078	39491__A0A396FFW0__ERE_10580
ERR1913186.1308246__1.1308246	301302__A0A0M6WBZ5__spr
ERR1913186.1308229__1.1308229	301302__R5VE75__M72_12161
ERR1913186.1308725__1.1308725	1897011__A0A1Q6RC30__BHW41_06700
ERR1913186.1308823__1.1308823	1680__A0A087DHN0__AL0462_1532
ERR1913186.1309066__1.1309066	74426__nifJ
ERR1913186.1309193__1.1309193	357276__A0A0K2HI25__DXD47_04465
ERR1913186.1309763__1.1309763	901__B6WTR4__DESPIGER_1248
ERR1913186.1309818__1.1309818	88431__A0A174G8Q6__ERS852526_02711
ERR1913186.1310144__1.1310144	901__B6WY35__DESPIGER_1461
ERR1913186.1310294__1.1310294	1262882__R5MGX3__BN519_00046
ERR1913186.1310470__1.1310470	410072__C0B733__ERS852525_00482
ERR1913186.1310615__1.1310615	1680__A7A4N3__ERS852382_00779
ERR1913186.1310673__1.1310673	28117__B0MSS1__ALIPUT_00273
ERR1913186.1310689__1.1310689	853__A0A174BZY1__xerD_1
ERR1913186.1310736__1.1310736	1680__A0A087DHN0__AL0462_1532
ERR1913186.1310853__1.1310853	301302__A0A173S436__M72_16191
ERR1913186.1310863__1.1310863	823__A0A073I9P2__CF162_18000
ERR1913186.1311457__1.1311457	74426__group_1871
ERR1913186.1311557__1.1311557	901__B6WQ97__DHV46_07025
ERR1913186.1311717__1.1311717	1262936__R7J146__BN799_01697
ERR1913186.1311775__1.1311775	216816__B3DNW2__BL171B_07980
ERR1913186.1311933__1.1311933	1689__W2VBR1__HMPREF9003_0239
ERR1913186.1312765__1.1312765	1262959__R5XZT0__BN680_01126
ERR1913186.1312848__1.1312848	116085__D4J8Q3__DW747_08750
ERR1913186.1313197__1.1313197	116085__D4J7G1__DW747_10355
ERR1913186.1313404__1.1313404	1897011__A0A1Q6RJU8__BHW41_00020
ERR1913186.1314235__1.1314235	39485__C4Z434__tilS
ERR1913186.1314277__1.1314277	39485__A0A174ZJ84__EUBELI_00107
ERR1913186.1314308__1.1314308	1628085__A0A1C5ZCR8__C7386_10447
ERR1913186.1314684__1.1314684	1680__A0A173XYA2__B0703_0121
ERR1913186.1314695__1.1314695	39491__A0A395ZM93__DXD13_03490
ERR1913186.1314753__1.1314753	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913186.1314832__1.1314832	301301__G2T207__cph2_5
ERR1913186.1315200__1.1315200	1680__A0A087DHN0__AL0462_1532
ERR1913186.1315461__1.1315461	901__B6WX14__mviN
ERR1913186.1315605__1.1315605	901__B6WUN6__DHV46_11020
ERR1913186.1315746__1.1315746	328814__GCA_004558275.1_01002
ERR1913186.1315869__1.1315869	552398__F4XCR9__HMPREF0866_01636
ERR1913186.1315910__1.1315910	1262924__R7HNT3__BN585_00018
ERR1913186.1316261__1.1316261	1263027__R7AVM8__BN699_01088
ERR1913186.1316436__1.1316436	165179__D1PEQ5__PREVCOP_05711
ERR1913186.1316597__1.1316597	1897011__A0A1Q6REU9__BHW41_04345
ERR1913186.1316732__1.1316732	1680__A0A076JNH5__DXC60_03835
ERR1913186.1316851__1.1316851	1262936__R7J2K7__BN799_00229
ERR1913186.1317317__1.1317317	40520__A0A396G1I4__DXB81_08365
ERR1913186.1317378__1.1317378	1680__A0A087DHN0__AL0462_1532
ERR1913186.1317774__1.1317774	1262992__R5DBG3__BN795_01416
ERR1913186.1317747__1.1317747	216816__C2GW26__chb
ERR1913186.1317842__1.1317842	28116__A0A078Q1V5__SAMN05444282_12168
ERR1913186.1317803__1.1317803	39485__A0A174YMC1__recN
ERR1913186.1318064__1.1318064	1262936__R7IYM0__BN799_00052
ERR1913186.1318240__1.1318240	552398__F4XCQ4__HMPREF0866_01621
ERR1913186.1318462__1.1318462	901__B6WPV0__BHW59_02315
ERR1913186.1318881__1.1318881	671266__GCA_004801615.1_00232
ERR1913186.1318971__1.1318971	301302__R5UJR5__M72_06371
ERR1913186.1319132__1.1319132	74426__group_4823
ERR1913186.1319182__1.1319182	74426__purL
ERR1913186.1319279__1.1319279	821__A0A173XDD3__DXB82_17180
ERR1913186.1319607__1.1319607	165179__A0A3E5AAM8__DXB80_10240
ERR1913186.1319932__1.1319932	572010__fusA
ERR1913186.1320329__1.1320329	165179__D1P9T6__PREVCOP_04016
ERR1913186.1320493__1.1320493	1147152__GeneID:14181982
ERR1913186.1320779__1.1320779	1262936__R7J1I2__BN799_01776
ERR1913186.1320812__1.1320812	1680__A0A076JNH5__DXC60_03835
ERR1913186.1320961__1.1320961	1680__A0A076JM61__DXD63_05245
ERR1913186.1321002__1.1321002	239935__A0A3F3K9J9__DEF40_00940
ERR1913186.1320945__1.1320945	2014542__A0A220SSC6__CEK62_19860
ERR1913186.1321283__1.1321283	901__A0A1K1LGQ2__DESPIG_02072
ERR1913186.1321474__1.1321474	74426__gap
ERR1913186.1322030__1.1322030	1262882__R5MMP8__BN519_01654
ERR1913186.1321994__1.1321994	1897011__A0A1Q6RJV2__BHW41_00030
ERR1913186.1322475__1.1322475	1262936__R7J3B1__BN799_00034
ERR1913186.1322918__1.1322918	45851__D4RZ82__BHV86_03550
ERR1913186.1322970__1.1322970	1897011__A0A1Q6RC54__BHW41_06555
ERR1913186.1323111__1.1323111	1680__A0A174BEE7__BSTER_1311
ERR1913186.1323159__1.1323159	147206__GCF_000156215.1_01775
ERR1913186.1323225__1.1323225	74426__group_4823
ERR1913186.1323332__1.1323332	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913186.1323278__1.1323278	46506__B0NM94__HMPREF1181_03250
ERR1913186.1323496__1.1323496	147206__GCF_000156215.1_01776
ERR1913186.1323446__1.1323446	2173__A0A1D2WT40__METSMIALI_00302
ERR1913186.1323693__1.1323693	39485__A0A174ZNW9__luxQ_1
ERR1913186.1323761__1.1323761	74426__infB
ERR1913186.1323803__1.1323803	1262882__R5N4P6__BN519_01346
ERR1913186.1324125__1.1324125	1262911__R6HJS5__BN557_00288
ERR1913186.1324261__1.1324261	360807__A0A173V2S2__phoR_7
