ERR1913260.118__1.118	39488__A0A173UQ83__mutY
ERR1913260.515240__1.515240	39491__C4Z9Y3__ERS852417_01808
ERR1913260.515263__1.515263	853__A0A173T0Y8__CGS54_07215
ERR1913260.515368__1.515368	39491__C4ZCV5__DXB99_11855
ERR1913260.515479__1.515479	216816__C5E8I1__yciB
ERR1913260.515551__1.515551	2173__A0A1D2WTW4__BK798_02715
ERR1913260.515632__1.515632	267818__A0A0R1PCI5__FC94_GL001705
ERR1913260.515966__1.515966	239935__B2URG6__CXU02_00030
ERR1913260.516150__1.516150	853__A8S882__C4N23_07600
ERR1913260.516186__1.516186	40520__A0A174IJ62__DXC87_06795
ERR1913260.516224__1.516224	745368__A0A1T4Y119__SAMN02745178_02629
ERR1913260.516295__1.516295	328813__A0A1Y3QUP2__B5G41_06690
ERR1913260.516397__1.516397	39491__A0A173QT73__alaS_2
ERR1913260.516409__1.516409	267818__A0A0R1P9I4__FC93_GL002148
ERR1913260.516605__1.516605	1680__A0A0C2VBJ4__birA
ERR1913260.516651__1.516651	1263107__GCA_000436995.1_00213
ERR1913260.516784__1.516784	239935__A0A2N8HQY4__CXT99_03170
ERR1913260.516797__1.516797	28117__B0MTV0__BHV66_06395
ERR1913260.516877__1.516877	1680__A0A087DKM6__B0042_0664
ERR1913260.516917__1.516917	823__A0A069S0G2__DXB14_03195
ERR1913260.516934__1.516934	1897011__A0A1Q6RGZ3__BHW41_01455
ERR1913260.516894__1.516894	39491__A0A395V1T9__DXD13_03310
ERR1913260.516956__1.516956	1262848__R6U3I8__BN818_00546
ERR1913260.516998__1.516998	239935__A0A3F3K9J9__DEF40_00940
ERR1913260.517240__1.517240	239935__A0A2N8HH03__CXU09_08875
ERR1913260.517459__1.517459	907__G0VS55__SAMN02910401_00065
ERR1913260.517489__1.517489	214856__R6YC22__ERS852447_01215
ERR1913260.517895__1.517895	28118__F9Z923__B5F93_10455
ERR1913260.517978__1.517978	40518__R5DY73__DXD86_02865
ERR1913260.518041__1.518041	1262848__R6V8K2__BN818_00571
ERR1913260.518241__1.518241	1550024__A0A0D8J112__TQ39_05560
ERR1913260.518211__1.518211	40520__A5ZSL9__DXC87_07025
ERR1913260.518338__1.518338	418240__A0A174L567__ERS852478_01510
ERR1913260.518535__1.518535	239935__A0A139TQT9__Amuc_1197
ERR1913260.518558__1.518558	239935__A0A139TQT9__Amuc_1197
ERR1913260.518561__1.518561	1550024__G9RTE9__ASJ35_09555
ERR1913260.518615__1.518615	1681__I3WKG9__BBJK_01327
ERR1913260.518723__1.518723	1262848__R6U2F0__BN818_00838
ERR1913260.518837__1.518837	818__Q8A3I3__HMPREF2534_00068
ERR1913260.519210__1.519210	239935__A0A2N8ITG2__Amuc_0335
ERR1913260.519245__1.519245	1262848__R6UBZ9__BN818_00113
ERR1913260.519319__1.519319	45851__D4S0C7__BHV86_10030
ERR1913260.519467__1.519467	630129__A0A3E5HJB5__AH68_08040
ERR1913260.519501__1.519501	28118__R6FCN5__Odosp_2070
ERR1913260.519502__1.519502	410072__A0A3E4GPS4__tagA
ERR1913260.519621__1.519621	28111__R5K222__bglX_7
ERR1913260.519658__1.519658	216816__A0A396FVC5__BL71B_00290
ERR1913260.519777__1.519777	1262924__R7HPU8__BN585_00010
ERR1913260.519945__1.519945	239935__A0A2N8IUW6__Amuc_1525
ERR1913260.520048__1.520048	2173__A0A1D2WUH4__METSMIALI_01323
ERR1913260.520075__1.520075	78345__A0A087BJK4__SAMN02745589_1497
ERR1913260.520115__1.520115	357276__I9R994__BACDOR_04044
ERR1913260.520270__1.520270	28025__A0A0L7CWL1__DD694_02930
ERR1913260.520271__1.520271	40518__R5E5I9__yvhJ_2
ERR1913260.520446__1.520446	239935__A0A2N8IVK9__CXU08_03750
ERR1913260.520495__1.520495	39492__B0MP07__ERS852540_02083
ERR1913260.520742__1.520742	1262746__R5SS80__BN750_02125
ERR1913260.520674__1.520674	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1913260.520795__1.520795	454155__F3QXK9__HMPREF9442_02930
ERR1913260.520836__1.520836	410072__C0BAZ4__ERS852574_02324
ERR1913260.520938__1.520938	39491__A0A174A751__DXB69_15525
ERR1913260.521182__1.521182	39491__C4Z9E9__T1815_12341
ERR1913260.521257__1.521257	40520__R7D900__ERS852533_02660
ERR1913260.521337__1.521337	39491__A0A395ZHV7__ykvU
ERR1913260.521587__1.521587	649756__R7C5S2__CL2_01190
ERR1913260.521703__1.521703	1263030__R5CX12__BN705_00275
ERR1913260.521839__1.521839	823__A0A078SYK6__DXB14_02485
ERR1913260.521852__1.521852	239935__A0A139TPG3__CXT86_08810
ERR1913260.521897__1.521897	1262911__R6HJS5__BN557_00288
ERR1913260.521938__1.521938	357276__A0A0M1W9N4__GV66_05135
ERR1913260.522122__1.522122	2173__A0A1D2WRQ9__METSMIF1_03320
ERR1913260.522239__1.522239	1263011__R6DYR2__BN553_01198
ERR1913260.522299__1.522299	40518__R5DQK2__DXD93_03730
ERR1913260.522324__1.522324	1262848__R6U3I8__BN818_00546
ERR1913260.522419__1.522419	2173__A0A1D2WVW7__Msm_0828
ERR1913260.522455__1.522455	39491__A0A395ZKJ0__DXD13_11010
ERR1913260.522556__1.522556	1263011__R6E2T8__BN553_01793
ERR1913260.522791__1.522791	820__A0A1Y3V743__M093_0235
ERR1913260.522736__1.522736	1393034__GCA_001552785.1_00510
ERR1913260.522753__1.522753	40520__A0A395XDY5__ERS852394_00913
ERR1913260.522926__1.522926	239935__B2UQP8__CXU15_01110
ERR1913260.522954__1.522954	40518__R5E6K4__RB5AMG_02070
ERR1913260.523183__1.523183	2173__A5ULV3__Msm_0976
ERR1913260.523263__1.523263	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913260.523409__1.523409	1681__A0A2U0BV43__LMG13195_0306
ERR1913260.523517__1.523517	1262882__R5MNC1__BN519_00818
ERR1913260.523749__1.523749	39491__A0A395ZHW9__DXC13_02590
ERR1913260.524170__1.524170	46228__B5CP96__RUMLAC_01287
ERR1913260.524179__1.524179	40520__A0A396A2X4__RUMOBE_00875
ERR1913260.524254__1.524254	1262911__R6H2J2__BN557_01228
ERR1913260.524238__1.524238	384638__B7AVU0__BACPEC_02840
ERR1913260.524366__1.524366	1550024__A0A0D8J0Y8__ASJ35_08680
ERR1913260.524432__1.524432	820__A7VAR9__ERS852421_00197
ERR1913260.524533__1.524533	216816__D6ZSV1__CE169_00930
ERR1913260.524539__1.524539	39488__A0A173SQY9__minC
ERR1913260.524620__1.524620	1680__A0A076JM61__DXD63_05245
ERR1913260.524664__1.524664	88431__A0A3D0EYE9__rafA
ERR1913260.524667__1.524667	1099853__U5CIZ3__NSB1T_04880
ERR1913260.524731__1.524731	820__A0A139KG60__M094_2679
ERR1913260.524886__1.524886	45851__D4RY78__BUTYVIB_00783
ERR1913260.524909__1.524909	1150298__A0A174LE54__cysA
ERR1913260.524912__1.524912	39491__A0A174K9A3__DXB69_07785
ERR1913260.524977__1.524977	820__A0A174M9V5__M093_0237
ERR1913260.525094__1.525094	239935__A0A2N8INK7__Amuc_0521
ERR1913260.525239__1.525239	78345__A0A087BJK4__SAMN02745589_1497
ERR1913260.525290__1.525290	1897011__A0A1Q6RDG0__BHW41_05600
ERR1913260.525293__1.525293	823__D0T9Q9__M095_2648
ERR1913260.525318__1.525318	1262848__R6U3I8__BN818_00546
ERR1913260.525328__1.525328	45851__D4RWY2__BHV86_07415
ERR1913260.525329__1.525329	45851__D4RWY2__BHV86_07415
ERR1913260.525354__1.525354	45851__D4RYQ1__BHV86_00310
ERR1913260.525412__1.525412	1262848__R6U9D6__BN818_01628
ERR1913260.525444__1.525444	214856__A0A174EJT5__mnmA
ERR1913260.525465__1.525465	1550024__G9RTA6__TQ39_10970
ERR1913260.525503__1.525503	2173__A0A1D2WWF3__METSMIALI_00379
ERR1913260.525509__1.525509	626940__E8LCB1__BHW43_07535
ERR1913260.525606__1.525606	77917__A0A2P8EHG9__NCTC13121_01886
ERR1913260.525534__1.525534	1262848__R6U3I8__BN818_00546
ERR1913260.525748__1.525748	216816__A0A396FRQ5__DD678_01245
ERR1913260.525749__1.525749	216816__A0A396FRQ5__DD678_01245
ERR1913260.525893__1.525893	239935__A0A2N8IMC3__CXT96_03840
ERR1913260.526137__1.526137	301301__A0A395V8C2__rhaR_3
ERR1913260.526272__1.526272	2173__A0A1D2WX19__METSMIF1_03132
ERR1913260.526789__1.526789	239935__A0A2N8IVR0__CXT87_07115
ERR1913260.526767__1.526767	1550024__G9RNN7__TQ39_03420
ERR1913260.526919__1.526919	1262924__R7HQK6__BN585_00186
ERR1913260.526983__1.526983	184870__W1TPJ3__Q618_VCMC00001G1148
ERR1913260.527216__1.527216	907__G0VLK7__SAMN04488492_1145
ERR1913260.527283__1.527283	301302__A0A173UAS4__M72_15061
ERR1913260.527286__1.527286	1381__group_451
ERR1913260.527358__1.527358	820__A0A174QT76__B5G17_18060
ERR1913260.527376__1.527376	39491__A0A174K265__DXB76_05915
ERR1913260.527595__1.527595	1681__A0A2U0BVK5__B0156_0307
ERR1913260.527744__1.527744	1681__A0A292G7V3__BBIF_1776
ERR1913260.527939__1.527939	1262911__R6GT76__BN557_01150
ERR1913260.527972__1.527972	239935__R7E524__CXT91_06180
ERR1913260.528043__1.528043	418240__A0A174QSP2__kinA_1
ERR1913260.528093__1.528093	28117__B0MWC6__BHV66_00965
ERR1913260.528238__1.528238	1550024__A0A3B9WFY5__ASJ35_10340
ERR1913260.528326__1.528326	1680__A0A0B5BKZ3__DXD60_01450
ERR1913260.528404__1.528404	116085__D4J8R9__DW747_08670
ERR1913260.528611__1.528611	1262848__R6UNE2__BN818_01447
ERR1913260.528751__1.528751	239935__A0A139TPG3__CXT86_08810
ERR1913260.528834__1.528834	216816__C5E7T6__B5781_0828
ERR1913260.528835__1.528835	216816__C5E7T6__B5781_0828
ERR1913260.528841__1.528841	338188__A0A174ETX3__ERS852397_01955
ERR1913260.528867__1.528867	39485__A0A174YYW2__benM
ERR1913260.528910__1.528910	1263107__GCA_000436995.1_00101
ERR1913260.528959__1.528959	1262924__R7HPZ6__BN585_00681
ERR1913260.529143__1.529143	28052__R7NAJ8__ERS852451_02374
ERR1913260.529374__1.529374	1262924__R7HTK4__BN585_00496
ERR1913260.529391__1.529391	301301__G2SZJ7__RHOM_00620
ERR1913260.529469__1.529469	239935__A0A139TQT9__Amuc_1197
ERR1913260.529548__1.529548	357276__A6L053__ABI39_04450
ERR1913260.529730__1.529730	1150298__R7JNQ8__ERS852406_00857
ERR1913260.529831__1.529831	626940__E8LCL8__DCQ00_09880
ERR1913260.529865__1.529865	820__R9HP61__DXC91_01090
ERR1913260.530201__1.530201	1897011__A0A1Q6REW8__BHW41_04435
ERR1913260.530285__1.530285	40518__R5E6K5__speA
ERR1913260.530702__1.530702	626940__E8LDB3__prkC
ERR1913260.531058__1.531058	1262848__R6U9X1__BN818_01687
ERR1913260.531274__1.531274	239935__R6JAS2__CXU02_10725
ERR1913260.531334__1.531334	820__A0A3E4W4W5__ERS852554_02179
ERR1913260.531393__1.531393	1262924__R7HQV3__BN585_00017
ERR1913260.531467__1.531467	28117__B0MXR4__BHV66_08025
ERR1913260.531842__1.531842	39492__D4JWX2__accB
ERR1913260.531826__1.531826	820__R9HP61__DXC91_01090
ERR1913260.531913__1.531913	116085__D4J694__DW747_12745
ERR1913260.531934__1.531934	410072__C0BES0__ERS852389_01714
ERR1913260.531956__1.531956	1680__A0A087DLC6__C8077_00815
ERR1913260.532039__1.532039	216816__B7GTP7__BLIC_h02039
ERR1913260.532135__1.532135	1965587__A0A1Y4I0C5__B5F35_09340
ERR1913260.532151__1.532151	1263000__R5EF60__BN466_01316
ERR1913260.532325__1.532325	40520__A0A174LZ30__DXC87_12825
ERR1913260.532188__1.532188	1680__R5GR82__AD0028_0014
ERR1913260.532376__1.532376	1262736__R5Y4U2__BN496_01762
ERR1913260.532567__1.532567	216816__D6DC91__DXC72_07710
ERR1913260.532652__1.532652	2173__A0A1D2WWF3__METSMIALI_00379
ERR1913260.532799__1.532799	216816__C2GUV2__APC1478_0430
ERR1913260.532873__1.532873	1680__A0A174BEE7__BSTER_1311
ERR1913260.533047__1.533047	39491__A0A395ZDC6__addB
ERR1913260.533075__1.533075	1680__A7A7Z9__AAX71_05385
ERR1913260.533079__1.533079	239935__A0A2N8IKW7__pstA
ERR1913260.533248__1.533248	40518__A0A2N0UQR6__RBATCC27255_01177
ERR1913260.533256__1.533256	33043__A0A173YLD4__ERS852575_00535
ERR1913260.533853__1.533853	341694__E0E4Z5__HMPREF0634_0890
ERR1913260.534118__1.534118	1262848__R6U2B6__BN818_00428
ERR1913260.534128__1.534128	1262924__R7HPY0__BN585_01950
ERR1913260.534149__1.534149	239935__R6JAS2__CXU02_10725
ERR1913260.534200__1.534200	45851__D4RZF4__BUTYVIB_01220
ERR1913260.534257__1.534257	33039__D4M6E9__ERS852390_02866
ERR1913260.534335__1.534335	1262924__R7HUI3__BN585_00815
ERR1913260.534364__1.534364	301302__A0A0M6X0D2__cpsB_2
ERR1913260.534474__1.534474	39486__R6TL37__DXD84_12405
ERR1913260.534615__1.534615	1263011__R6DSE4__BN553_00195
ERR1913260.534702__1.534702	39496__A5Z5I2__EUBVEN_00963
ERR1913260.534717__1.534717	357276__I9QBT7__BSEG_03340
ERR1913260.534751__1.534751	239935__A0A2N8I9P4__CXT85_05050
ERR1913260.534839__1.534839	1263107__GCA_000436995.1_00189
ERR1913260.534844__1.534844	239935__A0A2N8I9P4__CXT85_05050
ERR1913260.534931__1.534931	239935__A0A139TQT9__Amuc_1197
ERR1913260.535082__1.535082	40518__A0A373KL92__RBATCC27255_01378
ERR1913260.535326__1.535326	33043__D5HFD3__ybbD
ERR1913260.535414__1.535414	1262848__R6U3I8__BN818_00546
ERR1913260.535550__1.535550	820__A0A3E4VXP2__yesR
ERR1913260.535796__1.535796	1681__A0A2U0BVI9__DD686_07310
ERR1913260.535984__1.535984	39491__A0A396FIZ8__ERE_20410
ERR1913260.536121__1.536121	28117__B0MXL6__ALIPUT_01851
ERR1913260.536142__1.536142	821__A0A173WG51__BVU_2549
ERR1913260.536495__1.536495	1150298__A0A174TDE7__ERS852535_00299
ERR1913260.536672__1.536672	28117__B0MSS9__BHV66_06085
ERR1913260.536757__1.536757	418240__C6JH11__ERS852523_02507
ERR1913260.536976__1.536976	1262882__R5MLA4__BN519_01536
ERR1913260.537014__1.537014	28025__A0A0L7CV42__EN10_08055
ERR1913260.537298__1.537298	39488__C0F0P7__ERS852578_02651
ERR1913260.537489__1.537489	39492__A0A174ZG93__EUBSIR_00254
ERR1913260.537620__1.537620	301301__A0A395V6Z6__ERS852391_00966
ERR1913260.537644__1.537644	45851__D4RYA4__BHV86_02030
ERR1913260.537853__1.537853	239935__A0A139TVJ4__CXT86_02020
ERR1913260.538219__1.538219	28117__B0MWH8__BHV66_01330
ERR1913260.538236__1.538236	28117__B0MYP3__BHV66_04995
ERR1913260.538427__1.538427	39491__A0A396FTE5__ERS852417_01346
ERR1913260.538700__1.538700	1150298__A0A174KW35__cbbX
ERR1913260.538661__1.538661	39491__A0A174K1W6__DXB99_15020
ERR1913260.538719__1.538719	1099853__U5CKR3__NSB1T_08705
ERR1913260.538822__1.538822	28025__D3R3B1__BAAM0483_03040
ERR1913260.539058__1.539058	33043__D5HF29__eglS_1
ERR1913260.539174__1.539174	387661__K5ZS68__PRABACTJOHN_02984
ERR1913260.539193__1.539193	626940__E8LDI1__HMPREF9443_00908
ERR1913260.539212__1.539212	1681__A0A0H3E849__BBJK_01758
ERR1913260.539252__1.539252	357276__A0A076IP73__BACDOR_04237
ERR1913260.539420__1.539420	74426__rpoB
ERR1913260.539557__1.539557	1681__A0A3E4TVE9__HMPREF3196_01855
ERR1913260.539697__1.539697	2173__A0A1D2WXY3__BK798_04185
ERR1913260.539781__1.539781	39488__A0A374N3K6__EHLA_0222
ERR1913260.539888__1.539888	39491__A0A396FPV7__ERS852580_01177
ERR1913260.539904__1.539904	39491__A0A395V5R3__EUBREC_1883
ERR1913260.540112__1.540112	1550024__G9RWW8__TQ39_12140
ERR1913260.540141__1.540141	1550024__A0A0D8IWU5__TQ39_13940
ERR1913260.540165__1.540165	39491__A0A174K265__DXB76_05915
ERR1913260.540214__1.540214	1262882__R5MQ63__BN519_01173
ERR1913260.540409__1.540409	454154__G5SVT0__HMPREF9441_03497
ERR1913260.540456__1.540456	116085__D4JAK3__DW747_10755
ERR1913260.540621__1.540621	45851__D4RYC7__BUTYVIB_00832
ERR1913260.540875__1.540875	712117__F3P8S0__HMPREF9056_01440
ERR1913260.541116__1.541116	1263107__GCA_000436995.1_00210
ERR1913260.541122__1.541122	1681__I3WJE2__DXC50_07465
ERR1913260.541225__1.541225	28052__A0A174YX76__mcp4_5
ERR1913260.541229__1.541229	1262848__R6UQ08__BN818_01621
ERR1913260.541421__1.541421	39491__A0A173TM76__DXB72_10535
ERR1913260.541449__1.541449	33033__A0A0B4S097__NW74_01910
ERR1913260.541697__1.541697	1262848__R6UEX2__BN818_00035
ERR1913260.541700__1.541700	1150298__A0A174SLE6__mlc_1
ERR1913260.541808__1.541808	817__Q64XX5__M126_0821
ERR1913260.541915__1.541915	2173__R7PS55__BK798_05180
ERR1913260.541955__1.541955	1550024__A0A0D8IYM8__ASJ35_18670
ERR1913260.541959__1.541959	28117__B0MXG8__ALIPUT_01814
ERR1913260.541969__1.541969	40518__R5DUU0__DXD93_03985
ERR1913260.542026__1.542026	39491__A0A396FGM9__fliU_1
ERR1913260.542147__1.542147	1262882__R5MFY4__BN519_00529
ERR1913260.542263__1.542263	165179__A0A3E5EBQ2__DXC61_01930
ERR1913260.542296__1.542296	39490__U2PE24__LG34_10000
ERR1913260.542305__1.542305	39491__A0A395ZG74__licR
ERR1913260.542309__1.542309	1262848__R6U1A8__BN818_00676
ERR1913260.542477__1.542477	39491__A0A396FP46__cobD_2
ERR1913260.542589__1.542589	820__I9TWZ7__DXC80_10550
ERR1913260.542693__1.542693	1680__R5GZJ8__BSTER_1195
ERR1913260.542711__1.542711	239935__A0A2N8IF99__lpdA
ERR1913260.542976__1.542976	39491__A0A395ZHH5__ERS852497_02076
ERR1913260.543076__1.543076	39491__A0A396FKI0__DXC13_11560
ERR1913260.543129__1.543129	907__G0VMD0__SAMN02910401_01607
ERR1913260.543387__1.543387	39491__A0A396FI89__DXD95_01300
ERR1913260.543563__1.543563	28117__B0MYW7__ALIPUT_02336
ERR1913260.543653__1.543653	74426__yccM
ERR1913260.543691__1.543691	29361__B6FPC9__CLONEX_01992
ERR1913260.543703__1.543703	40520__R7D6X4__addA
ERR1913260.543900__1.543900	1897011__A0A1Q6RJU7__BHW41_00015
ERR1913260.544015__1.544015	1262736__R5Y9J1__BN496_01345
ERR1913260.544038__1.544038	1150298__A0A174RJU1__gsiA_4
ERR1913260.544404__1.544404	301301__A0A395V8E1__RHOM_11160
ERR1913260.544521__1.544521	33043__A0A173YSY7__tilS
ERR1913260.544526__1.544526	2173__A0A1D2WT40__METSMIALI_00302
ERR1913260.544605__1.544605	301301__G2T3Q2__ERS852391_00522
ERR1913260.544771__1.544771	1263107__GCA_000436995.1_00126
ERR1913260.544707__1.544707	216816__B7GQF4__vapC
ERR1913260.544813__1.544813	216816__C2GSX7__DD678_03555
ERR1913260.544818__1.544818	1262777__R5W803__BN512_00678
ERR1913260.544833__1.544833	853__A0A174AML0__FPR_08640
ERR1913260.544884__1.544884	239935__A0A2N8IG27__CXT85_07805
ERR1913260.545009__1.545009	40518__R5E1J7__RBL236_02062
ERR1913260.545290__1.545290	39492__A0A174ZHV5__msbA_2
ERR1913260.545256__1.545256	39488__A0A285PQW6__EHLA_1294
ERR1913260.545477__1.545477	239935__A0A139TPD4__CXT86_06450
ERR1913260.545562__1.545562	487174__K0WS78__HMPREF9448_02825
ERR1913260.545566__1.545566	1550024__A0A0D8J136__TQ39_12150
ERR1913260.545568__1.545568	45851__D4RXK7__BUTYVIB_00558
ERR1913260.545810__1.545810	1680__A0A3E4SB79__BAD_1517
ERR1913260.546471__1.546471	1681__K2I5X7__BJL93_01655
ERR1913260.546635__1.546635	1897011__A0A1Q6RDJ0__BHW41_05420
ERR1913260.546682__1.546682	1262848__R6UA58__BN818_01710
ERR1913260.546777__1.546777	116085__D4J6V9__DW747_08450
ERR1913260.546899__1.546899	1262924__R7HQD4__BN585_02072
ERR1913260.546868__1.546868	239935__A0A2N8HT18__CXT93_06135
ERR1913260.546968__1.546968	1550024__A0A0D8IZ16__ASJ35_10840
ERR1913260.547290__1.547290	2173__R7PYR7__BK798_01375
ERR1913260.547333__1.547333	28025__A0A0L7CV89__Balat_1383
ERR1913260.547529__1.547529	39485__R5ZT06__EUBELI_20526
ERR1913260.547829__1.547829	33043__A0A174GGF8__dcuS_1
ERR1913260.547845__1.547845	1262848__R6U2B6__BN818_00428
ERR1913260.548064__1.548064	39485__C4Z1W5__ERS852492_01530
ERR1913260.548086__1.548086	418240__A0A173WVP8__acm
ERR1913260.548217__1.548217	328813__A0A1Y3QUP2__B5G41_06690
ERR1913260.548507__1.548507	239935__A0A2N8HB50__CXU17_02615
ERR1913260.548942__1.548942	1262911__R6GQ41__BN557_00435
ERR1913260.548970__1.548970	2173__A0A1D2WTR0__METSMIALI_00480
ERR1913260.549053__1.549053	45851__D4RZ86__BHV86_03570
ERR1913260.549234__1.549234	1680__A0A0B5BL52__ERS852382_00480
ERR1913260.549385__1.549385	626940__E8LC18__BHW43_04640
ERR1913260.549786__1.549786	39491__A0A395UZ82__EUR_31520
ERR1913260.549806__1.549806	239935__A0A2N8IVR0__CXT87_07115
ERR1913260.550018__1.550018	216816__A0A2U0BLP0__tsaB
ERR1913260.550048__1.550048	418240__A0A173X9D3__ERS852478_00421
ERR1913260.550051__1.550051	40520__A0A174IJ62__DXC87_06795
ERR1913260.550137__1.550137	46503__R6WY21__DXB85_01605
ERR1913260.550389__1.550389	28025__D3R3L1__rplK
ERR1913260.550457__1.550457	1262992__R5D4D9__BN795_00562
ERR1913260.550707__1.550707	1655__J3F5C9__BKH06_00540
ERR1913260.550787__1.550787	1681__E4VBF7__DD684_05570
ERR1913260.550789__1.550789	39486__G1WSX8__DXD82_08635
ERR1913260.551169__1.551169	239935__R6K0V8__CXT94_02055
ERR1913260.551282__1.551282	820__A0A374Q4X1__HMPREF2141_02370
ERR1913260.551492__1.551492	1262736__R5YXD5__BN496_01230
ERR1913260.551578__1.551578	216816__D6DCL7__BFS26_02835
ERR1913260.551601__1.551601	820__A0A139K8N1__ERS852554_00951
ERR1913260.551918__1.551918	1150298__A0A174DTK6__ERS852498_00510
ERR1913260.552211__1.552211	40518__R5DVR2__RBL236_00303
ERR1913260.552258__1.552258	1262924__R7HMZ0__BN585_01986
ERR1913260.552247__1.552247	1262992__R5CXM7__BN795_01016
ERR1913260.552361__1.552361	1150298__R7JT48__gsiA_6
ERR1913260.552414__1.552414	1681__A0A286TFH5__LMG13200_1490
ERR1913260.552484__1.552484	357276__A0A076J8M3__ABI39_13695
ERR1913260.552604__1.552604	239935__A0A2N8HT18__CXT93_06135
ERR1913260.552704__1.552704	1262924__R7HSM4__BN585_00913
ERR1913260.552709__1.552709	2173__R7PV46__BK798_00245
ERR1913260.552710__1.552710	239935__R7DVL7__CXT93_01180
ERR1913260.552900__1.552900	28117__B0N007__BHV66_10275
ERR1913260.552917__1.552917	820__A0A139K1Y6__DXB48_02610
ERR1913260.553308__1.553308	1550024__G9RYX6__ASJ35_10025
ERR1913260.553385__1.553385	1680__A7A7Z9__AAX71_05385
ERR1913260.553508__1.553508	1262924__R7HPU8__BN585_00010
ERR1913260.553646__1.553646	1150298__A0A174BE63__ERS852406_01048
ERR1913260.553653__1.553653	1550024__G9RPK6__TQ39_05330
ERR1913260.553700__1.553700	45851__D4S1R9__BHV86_08150
ERR1913260.553861__1.553861	1262736__R5Y4S4__BN496_00323
ERR1913260.554113__1.554113	239935__A0A2N8I5H6__CXT92_05565
ERR1913260.554131__1.554131	239935__A0A2N8I3G2__CXT89_00720
ERR1913260.554445__1.554445	33043__A0A173YPE0__thiD
ERR1913260.554534__1.554534	40518__R5DXW3__DXD86_07900
ERR1913260.554499__1.554499	39492__D4JR58__EUBSIR_02090
ERR1913260.554570__1.554570	39491__A0A396FRE7__EUR_27520
ERR1913260.555019__1.555019	1262882__R5MPL0__BN519_01038
ERR1913260.555062__1.555062	1262848__R6UDU2__BN818_00313
ERR1913260.555129__1.555129	40520__A0A174B4U0__DXD81_01070
ERR1913260.555241__1.555241	39488__A0A374NRX1__licR_1
ERR1913260.555353__1.555353	74426__group_1871
ERR1913260.555395__1.555395	1262848__R6U092__BN818_00195
ERR1913260.555381__1.555381	1680__A0A087DHN0__AL0462_1532
ERR1913260.555430__1.555430	39486__B0G9E4__tilS
ERR1913260.555528__1.555528	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913260.555557__1.555557	1262924__R7HLU6__BN585_01291
ERR1913260.555654__1.555654	239935__B2UQB8__CXT86_01740
ERR1913260.555582__1.555582	1262848__R6UK30__BN818_01639
ERR1913260.555584__1.555584	1262924__R7HNA9__BN585_00137
ERR1913260.555926__1.555926	1495144__A0A0X8V2D1__AR505_1712
ERR1913260.555939__1.555939	1263107__GCA_000436995.1_00136
ERR1913260.555965__1.555965	28117__R7JQW0__ALIPUT_01453
ERR1913260.556016__1.556016	39491__A0A396FS17__envC
ERR1913260.556137__1.556137	1262924__R7HNF7__BN585_01769
ERR1913260.556218__1.556218	74426__rpoB
ERR1913260.556268__1.556268	823__A0A355XFH7__ERS852513_00769
ERR1913260.556342__1.556342	116085__D4J4T4__DW747_02695
ERR1913260.556431__1.556431	40520__R7D900__ERS852533_02660
ERR1913260.556484__1.556484	1099853__G9S6Y8__NSB1T_06345
ERR1913260.556502__1.556502	1263107__GCA_000436995.1_00045
ERR1913260.556572__1.556572	45851__D4RWC1__BHV86_06985
ERR1913260.556690__1.556690	820__A0A374MMF0__HMPREF1073_03811
ERR1913260.557134__1.557134	1680__A0A174BEE7__BSTER_1311
ERR1913260.557582__1.557582	239935__A0A2N8IIB9__CXU04_01970
ERR1913260.558138__1.558138	626940__R6X0Z1__DCQ00_01035
ERR1913260.558475__1.558475	187327__G4Q8D7__ACDG_00525
ERR1913260.558543__1.558543	1262889__R7HDJ0__BN634_01493
ERR1913260.559047__1.559047	39491__A0A396FQV7__T1815_10751
ERR1913260.559068__1.559068	184870__A0A134BLU7__Q618_VCMC00002G0031
ERR1913260.559248__1.559248	28025__A0A0L7BUQ4__Balat_0268
ERR1913260.559254__1.559254	39491__A0A174K9A3__DXB69_07785
ERR1913260.559384__1.559384	1262848__R6U3I8__BN818_00546
ERR1913260.559679__1.559679	1579__A0A3A9Y1G6__CDA67_01359
ERR1913260.559848__1.559848	626940__E8LCB1__BHW43_07535
ERR1913260.559962__1.559962	239935__A0A2N8I9P4__CXT85_05050
ERR1913260.560002__1.560002	418240__R7CMK4__ERS852478_03653
ERR1913260.560117__1.560117	1680__A0A3E4SB79__BAD_1517
ERR1913260.560352__1.560352	1550024__G9RZN9__ASJ35_05735
ERR1913260.560471__1.560471	239935__A0A2N8ITG2__Amuc_0335
ERR1913260.560496__1.560496	1262911__R6H1B2__BN557_00840
ERR1913260.560685__1.560685	28052__A0A174HA30__ERS852451_00216
ERR1913260.560702__1.560702	2173__A0A1D2WVF8__Msm_1030
ERR1913260.560750__1.560750	39491__A0A174K9A3__DXB69_07785
ERR1913260.560812__1.560812	2173__A0A1D2WRY2__Msm_1736
ERR1913260.560931__1.560931	1550024__A0A0D8J0Y8__ASJ35_08680
ERR1913260.561090__1.561090	40520__R7DEU2__ERS852394_00085
