ERR1913319.248__1.248	47678__R5U8S9__DW706_06260
ERR1913319.1710685__1.1710685	39492__D4JTI1__EUBSIR_01463
ERR1913319.1710764__1.1710764	214856__A0A174A0P3__ERS852447_00994
ERR1913319.1710814__1.1710814	239935__R7DVL7__CXT93_01180
ERR1913319.1710874__1.1710874	1262743__R5C054__BN727_01980
ERR1913319.1710924__1.1710924	246787__A0A0P0G254__axeA1_2
ERR1913319.1711146__1.1711146	28117__B0MUL5__ALIPUT_00722
ERR1913319.1711167__1.1711167	214856__A0A174ZEW0__ERS852447_00985
ERR1913319.1711276__1.1711276	821__D4VD59__BHV80_04260
ERR1913319.1711331__1.1711331	820__A0A139KJR5__M093_4469
ERR1913319.1711405__1.1711405	291644__R5JSX2__HMPREF1071_01120
ERR1913319.1711421__1.1711421	291644__I9T2X5__ERS852428_03729
ERR1913319.1711457__1.1711457	820__A0A139KA34__B5G17_05520
ERR1913319.1711528__1.1711528	291644__R5IZM2__HMPREF1071_04522
ERR1913319.1711537__1.1711537	39492__D4JT68__spoIIIE
ERR1913319.1711540__1.1711540	820__R9I324__HMPREF2141_02414
ERR1913319.1711542__1.1711542	328814__GCA_004558275.1_00292
ERR1913319.1711544__1.1711544	820__A0A396EXA7__DXB37_15530
ERR1913319.1711596__1.1711596	39492__D4JRX9__sepF
ERR1913319.1711599__1.1711599	214856__R6Y2Y4__ERS852447_01086
ERR1913319.1711608__1.1711608	1512__G5F8V1__HMPREF9474_00795
ERR1913319.1711631__1.1711631	33043__A0A173WWJ5__ERS852386_00339
ERR1913319.1711845__1.1711845	820__A0A374Q1D8__SAMN05444418_112114
ERR1913319.1711826__1.1711826	820__A0A174Q0F0__DXB48_08080
ERR1913319.1711876__1.1711876	28117__B0MTV0__BHV66_06395
ERR1913319.1712072__1.1712072	239935__A0A2N8IVR0__CXT87_07115
ERR1913319.1712111__1.1712111	214856__A0A174H3U9__ERS852559_00612
ERR1913319.1712267__1.1712267	820__A0A1T4IYF4__mprA_1
ERR1913319.1712383__1.1712383	39496__A5Z5I2__EUBVEN_00963
ERR1913319.1712416__1.1712416	357276__A0A0K2HJA6__DXD47_07320
ERR1913319.1712434__1.1712434	821__A0A174K302__CUU_3129
ERR1913319.1712506__1.1712506	2081702__A0A2S0LQ88__C3V41_10780
ERR1913319.1712725__1.1712725	820__A0A3E4G3J9__ERS852459_02265
ERR1913319.1712734__1.1712734	28117__B0MT73__ALIPUT_00412
ERR1913319.1713128__1.1713128	291644__I8Y2A3__HMPREF1532_03851
ERR1913319.1713231__1.1713231	328814__GCA_004558275.1_00993
ERR1913319.1713334__1.1713334	820__A0A3E4RTP0__C801_01067
ERR1913319.1713409__1.1713409	820__A0A3E4W7J3__DXC07_00330
ERR1913319.1713529__1.1713529	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913319.1713603__1.1713603	39492__D4JWR6__dnaN
ERR1913319.1713626__1.1713626	39492__D4JRX7__EUBSIR_01480
ERR1913319.1713808__1.1713808	239935__R7E524__CXT91_06180
ERR1913319.1713812__1.1713812	214856__R6XKT4__ERS852559_01719
ERR1913319.1713909__1.1713909	246787__R6LGA6__tmoS_11
ERR1913319.1713921__1.1713921	820__A0A174LJB2__HMPREF1072_04112
ERR1913319.1713953__1.1713953	301302__A0A173SUI7__M72_11091
ERR1913319.1714027__1.1714027	28117__R7JMT0__BHV66_05875
ERR1913319.1714210__1.1714210	820__A0A174TRB5__DXD40_11305
ERR1913319.1714941__1.1714941	28117__B0MTW8__ALIPUT_00502
ERR1913319.1714947__1.1714947	1512__E7GKY5__HMPREF9474_01580
ERR1913319.1715054__1.1715054	1262824__R6RNC9__BN719_01996
ERR1913319.1715061__1.1715061	1262746__R5SS80__BN750_02125
ERR1913319.1715195__1.1715195	371601__C3R2J2__ERS852396_04353
ERR1913319.1715379__1.1715379	28117__B0MSS9__BHV66_06085
ERR1913319.1715427__1.1715427	823__A0A395YQ63__B5F32_15335
ERR1913319.1715478__1.1715478	821__A0A0P0L952__M097_4235
ERR1913319.1715583__1.1715583	820__A0A174QT76__B5G17_18060
ERR1913319.1715625__1.1715625	821__A0A173WG51__BVU_2549
ERR1913319.1715649__1.1715649	28052__R7NEM3__fabD
ERR1913319.1715740__1.1715740	821__R6F3Y1__SAMN04487923_104318
ERR1913319.1715764__1.1715764	291644__R5JNC3__HMPREF1071_03576
ERR1913319.1715909__1.1715909	820__A0A3E4VZT7__DXB48_16145
ERR1913319.1716018__1.1716018	291644__R5J7N0__HMPREF1532_02343
ERR1913319.1716059__1.1716059	820__A0A173YYG4__evgS_3
ERR1913319.1716048__1.1716048	820__A7V8C2__ERS852554_01338
ERR1913319.1716222__1.1716222	487174__R5FJY1__DDY40_07045
ERR1913319.1716207__1.1716207	291644__I8Z302__HMPREF1532_01182
ERR1913319.1716374__1.1716374	33043__D5HIV9__pstS_2
ERR1913319.1716520__1.1716520	821__A0A174NVL6__NCTC10583_01782
ERR1913319.1716740__1.1716740	291644__I9T9G0__atsA_3
ERR1913319.1716873__1.1716873	328814__GCA_004558275.1_01331
ERR1913319.1716798__1.1716798	28118__R6F7H1__DF785_12785
ERR1913319.1716804__1.1716804	410072__A0A173YGR9__ERS852389_00952
ERR1913319.1716942__1.1716942	35833__E5Y9S5__HMPREF0179_02943
ERR1913319.1717091__1.1717091	47678__R5U9X5__BACCAC_01339
ERR1913319.1717093__1.1717093	823__A0A395YQ63__B5F32_15335
ERR1913319.1717061__1.1717061	371601__D6D6P1__DXD03_13270
ERR1913319.1717225__1.1717225	820__A0A173W419__DXC68_17760
ERR1913319.1717326__1.1717326	820__R9I3Q7__HMPREF1072_01668
ERR1913319.1717401__1.1717401	820__A0A374Q854__HMPREF1073_03281
ERR1913319.1717433__1.1717433	39492__B0MNL5__phoR_1
ERR1913319.1717564__1.1717564	28117__B0MXL6__ALIPUT_01851
ERR1913319.1717575__1.1717575	328814__GCA_004558275.1_00999
ERR1913319.1718210__1.1718210	357276__I9QBT7__BSEG_03340
ERR1913319.1718270__1.1718270	818__A0A3E5HK02__BSIG_1732
ERR1913319.1718346__1.1718346	820__A0A396EUU8__luxQ_3
ERR1913319.1718313__1.1718313	820__A0A139KEW8__DXB64_06405
ERR1913319.1718385__1.1718385	39492__D4JVW2__EUBSIR_02285
ERR1913319.1718456__1.1718456	39492__D4JS87__EUBSIR_02328
ERR1913319.1718589__1.1718589	204516__U6RFU0__HMPREF1534_02545
ERR1913319.1718810__1.1718810	820__A0A139K1Y6__DXB48_02610
ERR1913319.1718974__1.1718974	39492__D4JVG7__ERS852540_00946
ERR1913319.1718991__1.1718991	291644__I9HRU8__ERS852428_03635
ERR1913319.1719065__1.1719065	1897011__A0A1Q6RE56__BHW41_04765
ERR1913319.1719177__1.1719177	39492__D4JWA3__ERS852540_01332
ERR1913319.1719298__1.1719298	820__A0A1Q6IDS8__chtA
ERR1913319.1719435__1.1719435	214856__A0A174G1M7__ERS852559_00594
ERR1913319.1719445__1.1719445	291644__I9SIM2__evgS_11
ERR1913319.1719523__1.1719523	1262915__R6HDZ3__BN574_00306
ERR1913319.1719584__1.1719584	1512__G5FDT3__ERS852479_02405
ERR1913319.1719620__1.1719620	291644__I9SRU5__HMPREF1532_02538
ERR1913319.1719747__1.1719747	853__A0A173YYY4__DWZ04_09420
ERR1913319.1719759__1.1719759	821__A6L0C7__ERS852556_03520
ERR1913319.1719784__1.1719784	47678__A5ZF31__DXB67_11050
ERR1913319.1719810__1.1719810	823__A0A355XKQ8__DHP27_04010
ERR1913319.1720032__1.1720032	291644__I8YWU4__HMPREF1532_01473
ERR1913319.1720051__1.1720051	487174__K0WXG8__DIT83_09300
ERR1913319.1720216__1.1720216	29361__B6FRT6__CLONEX_02860
ERR1913319.1720286__1.1720286	820__A0A139K1Y6__DXB48_02610
ERR1913319.1720292__1.1720292	820__A0A139KIL9__DXC68_05945
ERR1913319.1720386__1.1720386	39492__D4JR20__trmD
ERR1913319.1720447__1.1720447	820__A0A1Q6IDS8__chtA
ERR1913319.1720507__1.1720507	39492__D4JSB6__ERS852540_00627
ERR1913319.1720604__1.1720604	821__A0A174MBW9__SAMN04487923_10272
ERR1913319.1720617__1.1720617	214856__I3YMC8__ERS852447_02666
ERR1913319.1720780__1.1720780	410072__A0A174DIZ5__ERS852574_01258
ERR1913319.1720844__1.1720844	35833__E5Y6C5__HMPREF0179_01738
ERR1913319.1720851__1.1720851	1897011__A0A1Q6REW8__BHW41_04435
ERR1913319.1721173__1.1721173	214856__I3YMN6__Alfi_1938
ERR1913319.1721420__1.1721420	820__A0A1T4IY80__ERS852554_01621
ERR1913319.1721731__1.1721731	823__A0A078TL61__ERS852429_00610
ERR1913319.1721888__1.1721888	820__A0A1T4IYF4__mprA_1
ERR1913319.1721834__1.1721834	820__A0A139K426__B5G17_09115
ERR1913319.1721835__1.1721835	291644__I8YFE9__HMPREF1071_02973
ERR1913319.1721952__1.1721952	239935__A0A2N8IJI1__B5G29_04615
ERR1913319.1721997__1.1721997	328814__GCA_004558275.1_00987
ERR1913319.1722009__1.1722009	291644__I8Y2A3__HMPREF1532_03851
ERR1913319.1722176__1.1722176	46503__R6Y449__ERS852463_00137
ERR1913319.1722179__1.1722179	28118__F9Z5A4__DHW44_14035
ERR1913319.1722384__1.1722384	1262915__R6IDW0__BN574_00534
ERR1913319.1722390__1.1722390	823__A0A355XF06__B5F32_11480
ERR1913319.1722439__1.1722439	820__A0A3E4FZM1__adaA_2
ERR1913319.1722452__1.1722452	820__A0A139KG60__M094_2679
ERR1913319.1722477__1.1722477	291644__I8Y0K6__HMPREF1532_04085
ERR1913319.1722772__1.1722772	410072__A0A173Y8R3__rng
ERR1913319.1722779__1.1722779	39492__D4JU81__xseA
ERR1913319.1722786__1.1722786	39492__D4JRS7__ERS852540_02076
ERR1913319.1722840__1.1722840	239935__B2URG9__CXU00_11290
ERR1913319.1722847__1.1722847	821__A0A174K302__CUU_3129
ERR1913319.1722858__1.1722858	28117__B0N007__BHV66_10275
ERR1913319.1722886__1.1722886	291644__I8YXS6__HMPREF1071_01285
ERR1913319.1723013__1.1723013	871324__A0A1M6C0H7__SAMN05444350_103243
ERR1913319.1723074__1.1723074	47678__R5UWN2__BACCAC_01649
ERR1913319.1723091__1.1723091	291644__I8Y742__susE
ERR1913319.1723126__1.1723126	214856__I3YMN6__Alfi_1938
ERR1913319.1723202__1.1723202	291644__I8Z4G9__ina_1
ERR1913319.1723305__1.1723305	820__A0A3E4WA06__ERS852554_03404
ERR1913319.1723436__1.1723436	291644__R5JG91__HMPREF1532_01961
ERR1913319.1723599__1.1723599	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913319.1723640__1.1723640	418240__A0A173XM56__ERS852478_01689
ERR1913319.1723850__1.1723850	820__A0A374Q854__HMPREF1073_03281
ERR1913319.1723875__1.1723875	291644__R5JBM4__ERS852428_01237
ERR1913319.1724133__1.1724133	28117__R7JQW0__ALIPUT_01453
ERR1913319.1724220__1.1724220	291644__R5JIM5__HMPREF1071_02931
ERR1913319.1724291__1.1724291	820__A0A174Q0F0__DXB48_08080
ERR1913319.1724299__1.1724299	1263005__R6ET96__BN497_00707
ERR1913319.1724235__1.1724235	853__A0A2A7A4A9__C4N21_14870
ERR1913319.1724344__1.1724344	291644__I9TBC1__ERS852428_01240
ERR1913319.1724506__1.1724506	820__A0A3E4FWC8__DXC91_14635
ERR1913319.1724531__1.1724531	47678__A5ZBL9__C5Z00_18710
ERR1913319.1724673__1.1724673	821__C6Z451__BHV80_04265
ERR1913319.1724731__1.1724731	820__R9I2U8__DXC68_09590
ERR1913319.1724736__1.1724736	28117__B0MT73__ALIPUT_00412
ERR1913319.1724805__1.1724805	39492__B0MP07__ERS852540_02083
ERR1913319.1724853__1.1724853	39492__D4JX87__EUBSIR_00361
ERR1913319.1725117__1.1725117	239935__A0A2N8IXN0__CXT95_01765
ERR1913319.1725278__1.1725278	821__A0A3E4KIM1__M097_3660
ERR1913319.1725283__1.1725283	1150298__A0A173W9F4__ERS852498_02567
ERR1913319.1725524__1.1725524	745368__A0A1T4Y2M2__SAMN02745178_02631
ERR1913319.1725915__1.1725915	46228__V8BLW9__DXD17_14090
ERR1913319.1725989__1.1725989	1150298__A0A174TDE7__ERS852535_00299
ERR1913319.1726193__1.1726193	820__A0A139K4W1__M093_0353
ERR1913319.1726154__1.1726154	239935__R6JWJ7__CXT94_02580
ERR1913319.1726164__1.1726164	35833__E5Y2V2__HMPREF0179_00466
ERR1913319.1726331__1.1726331	820__A0A3E4G3J9__ERS852459_02265
ERR1913319.1726706__1.1726706	214856__A0A174EJT5__mnmA
ERR1913319.1726752__1.1726752	1501391__GCA_000786575.1_00082
ERR1913319.1726851__1.1726851	39492__D4JX05__EUBSIR_01678
ERR1913319.1726954__1.1726954	246787__A0A0P0GCR8__xynD_3
ERR1913319.1727059__1.1727059	328814__GCA_004558275.1_00995
ERR1913319.1727098__1.1727098	820__A0A174Q0F0__DXB48_08080
ERR1913319.1727149__1.1727149	39492__R6RKK9__EUBSIR_02022
ERR1913319.1727313__1.1727313	214856__A0A173ZZ16__umuC_2
ERR1913319.1727331__1.1727331	820__A0A174VD39__DXD90_12235
ERR1913319.1727379__1.1727379	821__A6L0C7__ERS852556_03520
ERR1913319.1727388__1.1727388	239935__A0A2N8I1R3__CXU05_06075
ERR1913319.1727442__1.1727442	239935__A0A2N8I3G2__CXT89_00720
ERR1913319.1727449__1.1727449	820__A0A139JY23__B5G17_06330
ERR1913319.1727503__1.1727503	246787__A0A0P0GJZ5__BcellWH2_01116
ERR1913319.1727562__1.1727562	239935__A0A2N8I3G2__CXT89_00720
ERR1913319.1727656__1.1727656	28116__I9AKR7__DXA80_22960
ERR1913319.1727738__1.1727738	291644__I8Y788__HMPREF1532_02550
ERR1913319.1727749__1.1727749	291644__R5JG66__ERS852428_01236
ERR1913319.1727751__1.1727751	214856__A0A174A1J3__ERS852447_01000
ERR1913319.1728057__1.1728057	823__A0A355XP97__M092_2525
ERR1913319.1728122__1.1728122	39492__D4JUN0__EUBSIR_02705
ERR1913319.1728177__1.1728177	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913319.1728217__1.1728217	1262743__R5C054__BN727_01980
ERR1913319.1728279__1.1728279	437898__GCF_000250875.1_00077
ERR1913319.1728299__1.1728299	823__A0A355XF06__B5F32_11480
ERR1913319.1728400__1.1728400	820__A0A174QT76__B5G17_18060
ERR1913319.1728449__1.1728449	820__R9I324__HMPREF2141_02414
ERR1913319.1728450__1.1728450	820__A0A174QLF0__SAMN05444418_109151
ERR1913319.1728473__1.1728473	246787__A0A0P0GF82__HMPREF1062_02163
ERR1913319.1728507__1.1728507	47678__A5ZI88__BACCAC_02617
ERR1913319.1728635__1.1728635	821__D4VD59__BHV80_04260
ERR1913319.1728706__1.1728706	820__E5VA63__DXC80_01025
ERR1913319.1728801__1.1728801	28117__B0MTY2__BHV66_06485
ERR1913319.1728771__1.1728771	214856__A0A174ZD89__ERS852559_00526
ERR1913319.1728774__1.1728774	329854__R5M6T4__HMPREF2531_03715
ERR1913319.1728877__1.1728877	820__A0A3E4HWJ4__DXD40_05945
ERR1913319.1729030__1.1729030	291644__I9HP97__HMPREF1532_00061
ERR1913319.1728990__1.1728990	821__A0A174NM17__lacZ_6
ERR1913319.1729160__1.1729160	1262824__R6RKD3__BN719_00225
ERR1913319.1729267__1.1729267	239935__A0A2N8IL82__CXU02_11740
ERR1913319.1729385__1.1729385	371601__D6D4P3__BN890_24980
ERR1913319.1729459__1.1729459	820__A0A139KIL9__DXC68_05945
ERR1913319.1729544__1.1729544	291644__I9I2F9__HMPREF1532_01625
ERR1913319.1729611__1.1729611	823__K6AMD2__B5F32_04565
ERR1913319.1729686__1.1729686	39492__D4JW10__pppA
ERR1913319.1729767__1.1729767	47678__A5ZEP5__CGC64_03450
ERR1913319.1729772__1.1729772	544644__GCA_001915615.1_01913
ERR1913319.1729851__1.1729851	820__A0A3E4VZT7__DXB48_16145
ERR1913319.1729808__1.1729808	820__A0A3E4VZY4__ERS852554_01211
ERR1913319.1729978__1.1729978	28118__R6FFY9__DHW44_14630
ERR1913319.1729944__1.1729944	820__A0A174TRB5__DXD40_11305
ERR1913319.1730069__1.1730069	853__A0A2A7AXC8__C4N21_14120
ERR1913319.1730118__1.1730118	246787__A0A108T1Y3__fepA_8
ERR1913319.1730119__1.1730119	820__A0A139KHD8__ERS417307_00569
ERR1913319.1730370__1.1730370	820__A0A174M9V5__M093_0237
ERR1913319.1730522__1.1730522	820__A0A174M9V5__M093_0237
ERR1913319.1730554__1.1730554	47678__R5UXY0__CGC64_03535
ERR1913319.1730577__1.1730577	39492__D4JTH4__ERS852540_00702
ERR1913319.1730681__1.1730681	28117__B0MYI9__BHV66_05415
ERR1913319.1730682__1.1730682	28117__B0MYI9__BHV66_05415
ERR1913319.1730758__1.1730758	328814__GCA_004558275.1_00999
ERR1913319.1730768__1.1730768	820__A0A3E4W984__pssA
ERR1913319.1730943__1.1730943	291644__I8YR49__ERS852428_01188
ERR1913319.1730921__1.1730921	46228__V8C7P7__HMPREF1202_01523
ERR1913319.1731162__1.1731162	246787__R6KBH9__HMPREF1062_04676
ERR1913319.1731164__1.1731164	328814__GCA_004558275.1_00236
ERR1913319.1731223__1.1731223	28116__A0A1G6G9R4__CUY_0131
ERR1913319.1731346__1.1731346	239935__A0A2N8HBM4__CXT85_06270
ERR1913319.1731451__1.1731451	820__A0A173W419__DXC68_17760
ERR1913319.1731585__1.1731585	239935__A0A2N8I1R3__CXU05_06075
ERR1913319.1731625__1.1731625	820__A0A174F696__macB_13
ERR1913319.1731822__1.1731822	39492__D4JT87__clpC
ERR1913319.1732017__1.1732017	291644__R5JSX2__HMPREF1071_01120
ERR1913319.1732232__1.1732232	328814__GCA_004558275.1_00088
ERR1913319.1732243__1.1732243	820__A0A139K2N9__DXB62_12420
ERR1913319.1732439__1.1732439	291644__R5JDR3__HMPREF1071_02272
ERR1913319.1732499__1.1732499	39492__D4JWR6__dnaN
ERR1913319.1732574__1.1732574	239935__A0A2N8HUU6__CXT90_06150
ERR1913319.1732702__1.1732702	239935__A0A2N8IEP3__CXT84_03735
ERR1913319.1732920__1.1732920	291644__I9T317__ERS852428_03619
ERR1913319.1733045__1.1733045	853__A0A3E2V168__FAEPRAM212_00929
ERR1913319.1733095__1.1733095	823__A0A355XN73__DXC05_07000
ERR1913319.1733179__1.1733179	214856__I3YMC8__ERS852447_02666
ERR1913319.1733146__1.1733146	328814__GCA_004558275.1_00235
ERR1913319.1733408__1.1733408	820__A0A139KG60__M094_2679
ERR1913319.1733551__1.1733551	39492__D4JRZ7__smc
ERR1913319.1733678__1.1733678	291644__I8YWL3__HMPREF1532_01571
ERR1913319.1733844__1.1733844	239935__A0A2N8ITX2__CXT86_11265
ERR1913319.1733961__1.1733961	820__A0A174Q0F0__DXB48_08080
ERR1913319.1734188__1.1734188	328814__GCA_004558275.1_01000
ERR1913319.1734289__1.1734289	45851__D4S013__BHV86_10590
ERR1913319.1734441__1.1734441	46228__V8CE24__thiD
ERR1913319.1734498__1.1734498	1501392__A0A0B2JJF4__PU94_09420
ERR1913319.1734485__1.1734485	28117__R7JJM9__ALIPUT_00662
ERR1913319.1734606__1.1734606	820__A0A139KHX1__HMPREF2141_00289
ERR1913319.1734648__1.1734648	28117__B0MXU0__BHV66_07550
ERR1913319.1734657__1.1734657	239935__A0A2N8HT18__CXT93_06135
ERR1913319.1734624__1.1734624	74426__asnS
ERR1913319.1734784__1.1734784	239935__R7E524__CXT91_06180
ERR1913319.1734807__1.1734807	823__A6LHU5__M092_0203
ERR1913319.1734820__1.1734820	39492__A0A174ZL16__EUBSIR_01269
ERR1913319.1734872__1.1734872	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913319.1735298__1.1735298	39492__D4JWJ4__EUBSIR_01090
ERR1913319.1735381__1.1735381	820__A0A3E4RU03__M093_0563
ERR1913319.1735498__1.1735498	328814__GCA_004558275.1_00296
ERR1913319.1735521__1.1735521	39492__R6RT40__prkC_3
ERR1913319.1735554__1.1735554	239935__A0A2N8IUQ8__CXU09_01665
ERR1913319.1735621__1.1735621	239935__A0A2N8HTZ8__CXU09_01270
ERR1913319.1735934__1.1735934	291644__I9SQZ5__ERS852428_01656
ERR1913319.1735984__1.1735984	820__A0A1Y3V743__M093_0235
ERR1913319.1736057__1.1736057	214856__A0A173YDP1__ERS852559_00120
ERR1913319.1736150__1.1736150	820__A0A3E4G493__ERS417307_00253
ERR1913319.1736166__1.1736166	39492__D4JRV7__EUBSIR_01513
ERR1913319.1736211__1.1736211	820__A0A174NUS8__DXC80_12885
ERR1913319.1736279__1.1736279	239935__A0A2N8HBM4__CXT85_06270
ERR1913319.1736506__1.1736506	820__A0A3E4XM43__DXC91_13960
ERR1913319.1736564__1.1736564	328814__GCA_004558275.1_00090
ERR1913319.1736572__1.1736572	246787__A0A0P0GR24__BcellWH2_03263
ERR1913319.1736714__1.1736714	820__A0A174M9V5__M093_0237
ERR1913319.1736772__1.1736772	821__A0A174WBC9__ERS852556_03145
ERR1913319.1736818__1.1736818	39492__D4JT87__clpC
ERR1913319.1736884__1.1736884	239935__A0A2N8I3Z7__CXU05_10555
ERR1913319.1737005__1.1737005	246787__A0A0P0GPH1__HMPREF1062_01913
ERR1913319.1737143__1.1737143	821__E5UY21__C800_02204
ERR1913319.1737105__1.1737105	328814__GCA_004558275.1_00995
ERR1913319.1737345__1.1737345	28117__B0MXG8__ALIPUT_01814
ERR1913319.1737352__1.1737352	820__A0A139KJR5__M093_4469
ERR1913319.1737453__1.1737453	820__R9HVB9__DXC68_17285
ERR1913319.1737494__1.1737494	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913319.1737624__1.1737624	820__A7VAS1__HMPREF2141_03259
ERR1913319.1737792__1.1737792	46503__A7A9R1__DD461_10545
ERR1913319.1737816__1.1737816	39492__D4JT87__clpC
ERR1913319.1737827__1.1737827	291644__I9TEJ3__luxQ_1
ERR1913319.1737879__1.1737879	291644__R5JNC3__HMPREF1071_03576
ERR1913319.1737907__1.1737907	820__A0A374Q8T2__DXB64_16190
ERR1913319.1737943__1.1737943	821__U6RDC2__DXD46_15675
ERR1913319.1738410__1.1738410	820__A0A374MXK3__HMPREF1072_00166
ERR1913319.1738452__1.1738452	820__A0A139KIL9__DXC68_05945
ERR1913319.1738590__1.1738590	820__A0A139JV05__B5G17_18125
ERR1913319.1738598__1.1738598	328814__GCA_004558275.1_00995
ERR1913319.1738854__1.1738854	291644__I9TBY1__HMPREF1532_01991
ERR1913319.1738899__1.1738899	39492__D4JRM9__bglB_2
ERR1913319.1738974__1.1738974	39492__D4JRY3__EUBSIR_01473
ERR1913319.1739034__1.1739034	820__A0A3E4RUC4__DHU98_02635
ERR1913319.1739045__1.1739045	820__A0A139K4T0__ERS852510_03146
ERR1913319.1739107__1.1739107	39485__C4Z028__ERS852492_00100
ERR1913319.1739127__1.1739127	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913319.1739355__1.1739355	820__A0A174DZ97__SAMN05444418_101240
ERR1913319.1739554__1.1739554	291644__I9HP97__HMPREF1532_00061
ERR1913319.1739675__1.1739675	823__A0A174PDQ0__DXC05_08200
ERR1913319.1739870__1.1739870	1686__B6XST0__BCAT_0261
ERR1913319.1739875__1.1739875	33043__A0A173X9G8__ERS852386_00532
ERR1913319.1739912__1.1739912	823__C7XBX3__HMPREF1059_03212
ERR1913319.1739971__1.1739971	360807__A0A173R6V5__ROSEINA2194_00471
ERR1913319.1740014__1.1740014	28117__B0MY40__BHV66_05170
ERR1913319.1740033__1.1740033	820__A0A139K1Y6__DXB48_02610
ERR1913319.1740149__1.1740149	371601__D0TRG1__HMPREF1074_04676
ERR1913319.1740196__1.1740196	291644__I8Y011__HMPREF1071_04228
ERR1913319.1740204__1.1740204	371601__D0TRG1__HMPREF1074_04676
ERR1913319.1740227__1.1740227	821__A0A174JYD3__ERS852457_02610
ERR1913319.1740269__1.1740269	328814__GCA_004558275.1_00993
ERR1913319.1740326__1.1740326	821__A0A3E4KIM1__M097_3660
ERR1913319.1740339__1.1740339	28117__R7JJM9__ALIPUT_00662
ERR1913319.1740355__1.1740355	338188__R6RT73__HMPREF1057_02828
ERR1913319.1740360__1.1740360	820__A0A139KHX1__HMPREF2141_00289
ERR1913319.1740377__1.1740377	821__A0A174WBC9__ERS852556_03145
ERR1913319.1740536__1.1740536	33043__A0A174E9K7__sigF_1
ERR1913319.1740602__1.1740602	246787__R6K756__HMPREF1062_01819
ERR1913319.1740669__1.1740669	39492__D4JS46__EUBSIR_02553
ERR1913319.1740690__1.1740690	291644__I8YWL3__HMPREF1532_01571
ERR1913319.1740895__1.1740895	1897011__A0A1Q6RJV2__BHW41_00030
ERR1913319.1741204__1.1741204	823__A6LB62__B5F32_04550
ERR1913319.1741237__1.1741237	821__A0A395VIK7__BVU_1225
ERR1913319.1741261__1.1741261	39492__D4JR04__phoU
ERR1913319.1741309__1.1741309	821__I9R3W6__DXC16_12455
ERR1913319.1741370__1.1741370	1297617__A0A0S2W2I7__BIV19_00590
ERR1913319.1741467__1.1741467	820__A7VAS1__HMPREF2141_03259
ERR1913319.1741749__1.1741749	28117__B0MUX4__ALIPUT_00911
ERR1913319.1741994__1.1741994	291644__I9SJB6__HMPREF1532_04086
ERR1913319.1742008__1.1742008	820__A0A078S569__gmhB
ERR1913319.1742084__1.1742084	328814__GCA_004558275.1_00018
ERR1913319.1742164__1.1742164	28117__B0MYZ8__BHV66_04535
ERR1913319.1742280__1.1742280	328814__GCA_004558275.1_00035
ERR1913319.1742380__1.1742380	1262743__R5C054__BN727_01980
ERR1913319.1742471__1.1742471	1262915__R6HQV2__BN574_01665
ERR1913319.1742571__1.1742571	214856__I3YPN9__ERS852447_01389
ERR1913319.1742680__1.1742680	821__E5UY21__C800_02204
ERR1913319.1742933__1.1742933	418240__A0A174D0Q2__ERS852478_02068
ERR1913319.1743160__1.1743160	291644__R5JNC3__HMPREF1071_03576
ERR1913319.1743204__1.1743204	820__A0A174A6K0__M093_0079
ERR1913319.1743551__1.1743551	821__A0A0P0LJ37__DXB82_14270
ERR1913319.1743535__1.1743535	28117__B0MY36__BHV66_05185
ERR1913319.1743589__1.1743589	1150298__A0A174APS6__kinA
ERR1913319.1743630__1.1743630	823__D0TBY4__M090_0431
ERR1913319.1743632__1.1743632	39492__D4JT87__clpC
ERR1913319.1743706__1.1743706	46503__R6WYJ8__DXB85_13825
ERR1913319.1743783__1.1743783	820__A0A3E4W9D9__B5G17_12400
ERR1913319.1743853__1.1743853	820__A0A139JRS5__HMPREF1073_04025
ERR1913319.1743862__1.1743862	47678__R5U325__HMPREF1061_03209
ERR1913319.1744125__1.1744125	47678__R5UAI1__BACCAC_01922
ERR1913319.1744240__1.1744240	1262824__R6RVH0__BN719_00011
ERR1913319.1744225__1.1744225	328814__GCA_004558275.1_02280
ERR1913319.1744449__1.1744449	1263109__GCA_000438135.1_01184
ERR1913319.1744451__1.1744451	28117__B0MWH8__BHV66_01330
ERR1913319.1744493__1.1744493	328814__GCA_004558275.1_00986
ERR1913319.1744507__1.1744507	328814__GCA_004558275.1_00293
ERR1913319.1744467__1.1744467	214856__A0A174G1M7__ERS852559_00594
ERR1913319.1744598__1.1744598	820__A0A174M9V5__M093_0237
ERR1913319.1744691__1.1744691	28117__R7JJM9__ALIPUT_00662
ERR1913319.1744758__1.1744758	1262739__R6MVZ8__BN659_00759
ERR1913319.1744964__1.1744964	39492__D4JWG3__EUBSIR_00308
ERR1913319.1745238__1.1745238	820__A0A174F696__macB_13
ERR1913319.1745267__1.1745267	745368__A0A1T4Y746__SAMN02745178_02815
ERR1913319.1745344__1.1745344	28117__B0MTI4__ALIPUT_00084
