ERR1913042.39__1.39	39491__A0A395ZDC6__addB
ERR1913042.759833__1.759833	165179__A0A229I443__DXB80_10950
ERR1913042.759902__1.759902	1262924__R7HQD9__BN585_00129
ERR1913042.759990__1.759990	39491__A0A396FM36__DXB99_00820
ERR1913042.759975__1.759975	39491__A0A173QT73__alaS_2
ERR1913042.760012__1.760012	853__E2ZGD9__C7J97_11715
ERR1913042.760057__1.760057	821__A0A0P0LFP6__C5Z04_13890
ERR1913042.760098__1.760098	165179__D1PHC0__PREVCOP_06640
ERR1913042.760184__1.760184	28117__B0MUR5__BHV66_03900
ERR1913042.760222__1.760222	39491__A0A396FMF1__EUR_28700
ERR1913042.760342__1.760342	28117__B0MWC6__BHV66_00965
ERR1913042.760395__1.760395	165179__A0A229I3Z6__PREVCOP_03666
ERR1913042.760486__1.760486	69974__A0A090FEL8__MPL3365_630008
ERR1913042.760492__1.760492	69974__A0A090FEL8__MPL3365_630008
ERR1913042.760710__1.760710	39485__A0A174YVS4__EUBELI_00620
ERR1913042.760753__1.760753	165179__A0A174IPI3__CFT61_10940
ERR1913042.760758__1.760758	40518__R5DTG5__RBATCC27255_00890
ERR1913042.760783__1.760783	165179__A0A3E5AHY4__CFT61_07675
ERR1913042.760808__1.760808	69974__A0A090FEL8__MPL3365_630008
ERR1913042.760852__1.760852	40518__R5DQJ0__DXD93_03790
ERR1913042.760898__1.760898	1262924__R7HMB7__BN585_01717
ERR1913042.760965__1.760965	28117__B0MST8__ALIPUT_00310
ERR1913042.761144__1.761144	853__A0A2A7B1Y7__C7K05_11930
ERR1913042.761112__1.761112	39485__A0A174Z1T6__sfp
ERR1913042.761253__1.761253	40518__R5DME2__DXD86_07315
ERR1913042.761362__1.761362	165179__A0A3E5A554__DXB80_13805
ERR1913042.761555__1.761555	39485__C4Z0R8__EUBELI_01181
ERR1913042.761563__1.761563	69974__A0A090FEL8__MPL3365_630008
ERR1913042.761730__1.761730	1308__Q5M3L8__CW339_06600
ERR1913042.761867__1.761867	40518__R5DME2__DXD86_07315
ERR1913042.761917__1.761917	165179__D1PHM6__DXC61_06700
ERR1913042.761947__1.761947	84024__A0A174LEU5__cwlC2_2
ERR1913042.761951__1.761951	165179__A0A174IPI3__CFT61_10940
ERR1913042.762005__1.762005	204516__U6RHM5__HMPREF1534_02096
ERR1913042.762163__1.762163	39491__A0A395ZGU6__ERS852417_01456
ERR1913042.762220__1.762220	2293125__A0A374CIC9__DW917_02045
ERR1913042.762296__1.762296	28116__A7LXT4__DXF98_03755
ERR1913042.762384__1.762384	821__D4VC51__M099_1508
ERR1913042.762584__1.762584	28116__A0A1Y4Q112__evgS_13
ERR1913042.762572__1.762572	165179__D1PGU8__PREVCOP_06463
ERR1913042.762671__1.762671	40518__R5E550__aroK
ERR1913042.762838__1.762838	165179__A0A3E5DY64__CFT61_10025
ERR1913042.762860__1.762860	820__A7VAR9__ERS852421_00197
ERR1913042.762953__1.762953	39491__A0A174M1X5__DXB99_18695
ERR1913042.762937__1.762937	1628085__A0A3E2Y1Z4__C7386_12230
ERR1913042.762941__1.762941	28117__B0MXG7__BHV66_08620
ERR1913042.762997__1.762997	1628085__A0A1C6BMM1__C7386_11221
ERR1913042.763047__1.763047	2293125__A0A374CIC9__DW917_02045
ERR1913042.763128__1.763128	69974__A0A090FEL8__MPL3365_630008
ERR1913042.763146__1.763146	40518__R5DUU2__yvhJ_2
ERR1913042.763197__1.763197	39491__A0A395ZHW9__DXC13_02590
ERR1913042.763235__1.763235	165179__A0A229I3Z6__PREVCOP_03666
ERR1913042.763272__1.763272	165179__A0A3E5E8N5__DXC61_13460
ERR1913042.763379__1.763379	165179__A0A3E5EAM5__DXC61_07785
ERR1913042.763432__1.763432	69974__A0A090FEL8__MPL3365_630008
ERR1913042.763501__1.763501	39491__C4Z8S1__DXB76_06750
ERR1913042.763563__1.763563	69974__A0A090FEL8__MPL3365_630008
ERR1913042.763606__1.763606	310298__B3JJX9__BACCOP_02203
ERR1913042.763690__1.763690	310298__B3JK97__BACCOP_02326
ERR1913042.763856__1.763856	204516__U6RM57__HMPREF1534_00757
ERR1913042.763976__1.763976	143393__X8K1L8__ADJ67_01915
ERR1913042.764056__1.764056	487174__R5FJY1__DDY40_07045
ERR1913042.764139__1.764139	39491__A0A395ZEI6__ERE_07950
ERR1913042.764239__1.764239	39492__D4JTU4__ykfG
ERR1913042.764291__1.764291	69974__A0A090FEL8__MPL3365_630008
ERR1913042.764357__1.764357	69974__A0A090FEL8__MPL3365_630008
ERR1913042.764371__1.764371	487175__D9Y8B5__HMPREF9439_02353
ERR1913042.764381__1.764381	69974__A0A090FEL8__MPL3365_630008
ERR1913042.764497__1.764497	69974__A0A090FEL8__MPL3365_630008
ERR1913042.764508__1.764508	165179__A0A3E5A5E5__DXC61_13965
ERR1913042.764698__1.764698	69974__A0A090FEL8__MPL3365_630008
ERR1913042.764764__1.764764	310298__B3JFS5__BACCOP_00726
ERR1913042.764766__1.764766	69974__A0A090FEL8__MPL3365_630008
ERR1913042.764782__1.764782	28116__A0A395VZB9__Bovatus_03205
ERR1913042.764846__1.764846	820__R9I2U8__DXC68_09590
ERR1913042.765057__1.765057	204516__U6R7Y8__HMPREF1534_03942
ERR1913042.765166__1.765166	39485__A0A174ZJ84__EUBELI_00107
ERR1913042.765247__1.765247	165179__A0A3E5DV57__DXB80_11400
ERR1913042.765323__1.765323	1262924__R7HL71__BN585_01341
ERR1913042.765306__1.765306	216816__C2GTH2__CE159_03580
ERR1913042.765525__1.765525	39485__C4Z0S8__hisK
ERR1913042.765570__1.765570	1378168__V2YA11__N510_02528
ERR1913042.765639__1.765639	1262924__R7HQP2__BN585_01509
ERR1913042.765689__1.765689	28116__A0A078Q626__HMPREF1070_02735
ERR1913042.765722__1.765722	69974__A0A090FEL8__MPL3365_630008
ERR1913042.765764__1.765764	69974__A0A090FEL8__MPL3365_630008
ERR1913042.765784__1.765784	820__A0A174M9V5__M093_0237
ERR1913042.765825__1.765825	39491__A0A396FSR4__ERS852580_02287
ERR1913042.765877__1.765877	69974__A0A090FEL8__MPL3365_630008
ERR1913042.765891__1.765891	853__A0A2A7B1Y7__C7K05_11930
ERR1913042.765969__1.765969	165179__A0A3E5A5E5__DXC61_13965
ERR1913042.766024__1.766024	820__A0A139JV05__B5G17_18125
ERR1913042.766103__1.766103	69974__A0A090FEL8__MPL3365_630008
ERR1913042.766215__1.766215	301301__A0A395V821__RHOM_13080
ERR1913042.766208__1.766208	39485__A0A174YTF7__ERS852490_01271
ERR1913042.766361__1.766361	28118__F9Z5M1__NCTC10826_02946
ERR1913042.766424__1.766424	39485__A0A174ZPH7__ERS852490_01992
ERR1913042.766504__1.766504	28118__R6FGS2__DER54_04485
ERR1913042.766588__1.766588	69974__A0A090FEL8__MPL3365_630008
ERR1913042.766646__1.766646	1262948__R7EEL8__BN671_00728
ERR1913042.766869__1.766869	165179__D1PGU8__PREVCOP_06463
ERR1913042.766899__1.766899	39488__A0A285PVA5__ERS852450_01472
ERR1913042.766938__1.766938	487174__K0X6Z7__DDY40_11525
ERR1913042.767000__1.767000	165179__A0A3E5AFJ9__CFT61_15180
ERR1913042.767059__1.767059	1262911__R6GHG8__BN557_01301
ERR1913042.767062__1.767062	310298__B3JK99__BACCOP_02328
ERR1913042.767075__1.767075	821__E5UY21__C800_02204
ERR1913042.767190__1.767190	116085__D4J740__DW747_11625
ERR1913042.767195__1.767195	69974__A0A090FEL8__MPL3365_630008
ERR1913042.767270__1.767270	39485__A0A174YNW2__cph2_3
ERR1913042.767243__1.767243	487173__H1D0W9__HMPREF9453_01257
ERR1913042.767246__1.767246	310298__B3JFK6__BACCOP_00656
ERR1913042.767329__1.767329	1262924__R7HQI4__BN585_00500
ERR1913042.767394__1.767394	88431__A6BFJ3__ERS852408_01680
ERR1913042.767365__1.767365	28117__B0MSS1__ALIPUT_00273
ERR1913042.767374__1.767374	116085__D4J460__DW747_14805
ERR1913042.767493__1.767493	165179__A0A3E5E920__DXB80_11625
ERR1913042.767494__1.767494	310298__B3JGL4__BACCOP_01016
ERR1913042.767541__1.767541	69974__A0A090FEL8__MPL3365_630008
ERR1913042.767553__1.767553	39491__A0A395V1R3__T1815_08181
ERR1913042.767556__1.767556	39491__A0A395V1R3__T1815_08181
ERR1913042.767586__1.767586	1262924__R7HRJ9__BN585_00557
ERR1913042.767685__1.767685	820__A0A173W419__DXC68_17760
ERR1913042.767692__1.767692	39492__D4JU36__cobC_1
ERR1913042.767745__1.767745	1262986__R5ZTC2__BN492_01087
ERR1913042.767774__1.767774	39485__R5ZSI4__ERS852492_00875
ERR1913042.767832__1.767832	69974__A0A090FEL8__MPL3365_630008
ERR1913042.767838__1.767838	310298__B3JQL6__BACCOP_04252
ERR1913042.767849__1.767849	853__A0A2A7A4A9__C4N21_14870
ERR1913042.767886__1.767886	487173__H1D090__HMPREF9453_01028
ERR1913042.768008__1.768008	1262924__R7HNT3__BN585_00018
ERR1913042.768075__1.768075	820__A0A139K5A6__DXB48_12175
ERR1913042.768180__1.768180	165179__A0A3E5EAM5__DXC61_07785
ERR1913042.768370__1.768370	310298__B3JLT9__BACCOP_02886
ERR1913042.768487__1.768487	69974__A0A090FEL8__MPL3365_630008
ERR1913042.768539__1.768539	310298__B3JH76__BACCOP_01230
ERR1913042.768620__1.768620	40518__R5DN55__RBATCC27255_01652
ERR1913042.768653__1.768653	853__A0A173YYY4__DWZ04_09420
ERR1913042.768660__1.768660	165179__A0A229I6N7__DXC61_06720
ERR1913042.768718__1.768718	853__C7H7F5__DWZ46_01780
ERR1913042.768750__1.768750	33038__A0A2N5PW99__DXD36_03540
ERR1913042.768898__1.768898	853__C7H7F5__DWZ46_01780
ERR1913042.768917__1.768917	165179__D1PER3__DXB80_11525
ERR1913042.768956__1.768956	40518__R5DVU7__RBL236_00839
ERR1913042.769057__1.769057	165179__A0A3E5AER8__DXB80_07075
ERR1913042.769073__1.769073	310298__B3JFK5__BACCOP_00655
ERR1913042.769081__1.769081	626930__F3PVE3__HMPREF9446_02721
ERR1913042.769198__1.769198	165179__A0A3E5E9I4__DXB80_09745
ERR1913042.769201__1.769201	28117__B0MT84__ALIPUT_00402
ERR1913042.769220__1.769220	28117__B0MWC6__BHV66_00965
ERR1913042.769221__1.769221	40518__R5E7S2__RBL263_00671
ERR1913042.769350__1.769350	818__A0A3E5HZF3__HMPREF2534_03697
ERR1913042.769511__1.769511	261299__R5X8F9__CLOBAR_02612
ERR1913042.769521__1.769521	821__A0A395UNT8__DXD64_15275
ERR1913042.769560__1.769560	165179__D1PHC0__PREVCOP_06640
ERR1913042.769547__1.769547	69974__A0A090FEL8__MPL3365_630008
ERR1913042.769644__1.769644	39485__A0A174YTF7__ERS852490_01271
ERR1913042.769663__1.769663	706562__GCA_900112995.1_02127
ERR1913042.769723__1.769723	310298__B3JFK6__BACCOP_00656
ERR1913042.769926__1.769926	1262924__R7HNA9__BN585_00137
ERR1913042.769969__1.769969	165179__D1PHC0__PREVCOP_06640
ERR1913042.769981__1.769981	2292284__A0A374V9L1__DXC10_09375
ERR1913042.770030__1.770030	745368__A0A1T4XY03__SAMN02745178_02465
ERR1913042.770211__1.770211	69974__A0A090FEL8__MPL3365_630008
ERR1913042.770212__1.770212	69974__A0A090FEL8__MPL3365_630008
ERR1913042.770216__1.770216	1262911__R6GY22__BN557_00023
ERR1913042.770217__1.770217	853__A0A173T6P2__DWZ46_14595
ERR1913042.770257__1.770257	853__A0A173YYY4__DWZ04_09420
ERR1913042.770316__1.770316	39485__R5ZT20__ERS852490_00975
ERR1913042.770318__1.770318	165179__A0A3E5EB26__CFT61_02800
ERR1913042.770449__1.770449	821__A0A3E4HP25__SAMN04487923_102450
ERR1913042.770634__1.770634	626933__H1DGX0__HMPREF9449_01506
ERR1913042.770680__1.770680	165179__A0A3E5AGH1__DXB80_05820
ERR1913042.770729__1.770729	1262924__R7HQ03__BN585_01295
ERR1913042.770735__1.770735	28117__B0MY82__BHV66_04755
ERR1913042.770866__1.770866	165179__A0A3E5A554__DXB80_13805
ERR1913042.771273__1.771273	28118__F9Z9X9__DF785_11470
ERR1913042.771319__1.771319	204516__U6RFU0__HMPREF1534_02545
ERR1913042.771350__1.771350	165179__A0A3E5AER8__DXB80_07075
ERR1913042.771429__1.771429	706562__GCA_900112995.1_00663
ERR1913042.771473__1.771473	310298__B3JMG0__BACCOP_03099
ERR1913042.771506__1.771506	39485__C4Z0I4__ERS852492_00258
ERR1913042.771555__1.771555	626933__H1DGX0__HMPREF9449_01506
ERR1913042.771726__1.771726	39488__C0F0P7__ERS852578_02651
ERR1913042.771708__1.771708	626933__H1DGX0__HMPREF9449_01506
ERR1913042.771767__1.771767	817__Q64VD4__M113_1792
ERR1913042.771830__1.771830	204516__U6RR05__HMPREF1534_00736
ERR1913042.771867__1.771867	165179__A0A3E5A5E5__DXC61_13965
ERR1913042.771990__1.771990	69974__A0A090FEL8__MPL3365_630008
ERR1913042.772001__1.772001	487175__R5E5Q0__HMPREF9439_01445
ERR1913042.772033__1.772033	39491__D6E4H2__DXB99_00485
ERR1913042.772085__1.772085	310298__B3JNG7__BACCOP_03480
ERR1913042.772172__1.772172	69974__A0A090FEL8__MPL3365_630008
ERR1913042.772444__1.772444	69974__A0A090FEL8__MPL3365_630008
ERR1913042.772424__1.772424	69974__A0A090FEL8__MPL3365_630008
ERR1913042.772429__1.772429	1262924__R7HUR1__BN585_00057
ERR1913042.772735__1.772735	39485__C4Z0F4__ERS852490_00945
ERR1913042.772840__1.772840	820__A0A1T4IY71__HMPREF2141_02402
ERR1913042.772843__1.772843	40518__R5DW64__RBL236_01394
ERR1913042.772829__1.772829	165179__A0A174SA26__PREVCOP_05758
ERR1913042.773032__1.773032	39491__C4Z8S1__DXB76_06750
ERR1913042.773196__1.773196	69974__A0A090FEL8__MPL3365_630008
ERR1913042.773347__1.773347	820__R9I324__HMPREF2141_02414
ERR1913042.773441__1.773441	39485__A0A174YZE2__spoIIE
ERR1913042.773672__1.773672	204516__U6RFB2__HMPREF1534_01733
ERR1913042.773903__1.773903	69974__A0A090FEL8__MPL3365_630008
ERR1913042.773949__1.773949	853__A0A2A7B9I6__DW855_13690
ERR1913042.774011__1.774011	28117__B0MXG8__ALIPUT_01814
ERR1913042.774016__1.774016	69974__A0A090FEL8__MPL3365_630008
ERR1913042.774043__1.774043	69974__A0A090FEL8__MPL3365_630008
ERR1913042.774067__1.774067	165179__D1PGU8__PREVCOP_06463
ERR1913042.774228__1.774228	28117__B0MTH2__ALIPUT_00061
ERR1913042.774437__1.774437	165179__D1PHC0__PREVCOP_06640
ERR1913042.774575__1.774575	39485__C4Z6I9__ERS852492_02038
ERR1913042.774622__1.774622	165179__A0A3E5AGH1__DXB80_05820
ERR1913042.774713__1.774713	69974__A0A090FEL8__MPL3365_630008
ERR1913042.774715__1.774715	165179__A0A3E5AHY4__CFT61_07675
ERR1913042.774777__1.774777	39492__D4JS88__ERS852540_00578
ERR1913042.774850__1.774850	374840__GeneID:2546403
ERR1913042.774860__1.774860	310298__B3JNH4__BACCOP_03487
ERR1913042.774944__1.774944	47678__A5ZEA3__ERS852558_00257
ERR1913042.774988__1.774988	165179__A0A174IPI3__CFT61_10940
ERR1913042.775003__1.775003	69974__A0A090FEL8__MPL3365_630008
ERR1913042.775264__1.775264	1262924__R7HMW0__BN585_01951
ERR1913042.775302__1.775302	39491__A0A396FJJ9__DXB76_11995
ERR1913042.775331__1.775331	69974__A0A090FEL8__MPL3365_630008
ERR1913042.775376__1.775376	1262929__R6F6C8__BN691_01344
ERR1913042.775508__1.775508	204516__U6RH18__HMPREF1534_01847
ERR1913042.775543__1.775543	69974__A0A090FEL8__MPL3365_630008
ERR1913042.775738__1.775738	69974__A0A090FEL8__MPL3365_630008
ERR1913042.775769__1.775769	310298__B3JH67__BACCOP_01223
ERR1913042.775801__1.775801	310298__B3JMG0__BACCOP_03099
ERR1913042.775920__1.775920	69974__A0A090FEL8__MPL3365_630008
ERR1913042.775997__1.775997	487173__H1D0N4__HMPREF9453_01172
ERR1913042.776091__1.776091	165179__A0A229I6N7__DXC61_06720
ERR1913042.776182__1.776182	204516__U6R8I1__HMPREF1534_03341
ERR1913042.776209__1.776209	69974__A0A090FEL8__MPL3365_630008
ERR1913042.776264__1.776264	39485__C4Z6K2__ERS852490_00407
ERR1913042.776341__1.776341	74426__nifJ
ERR1913042.776403__1.776403	487173__H1CXT1__HMPREF9453_00169
ERR1913042.776499__1.776499	1262743__R5C054__BN727_01980
ERR1913042.776552__1.776552	69974__A0A090FEL8__MPL3365_630008
ERR1913042.776596__1.776596	69974__A0A090FEL8__MPL3365_630008
ERR1913042.776669__1.776669	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913042.776625__1.776625	310298__B3JF96__BACCOP_00544
ERR1913042.776698__1.776698	39491__A0A395V6A3__DXB69_00505
ERR1913042.776792__1.776792	69974__A0A090FEL8__MPL3365_630008
ERR1913042.776875__1.776875	69974__A0A090FEL8__MPL3365_630008
ERR1913042.776944__1.776944	165179__D1PCL6__DXB80_13435
ERR1913042.776961__1.776961	301302__A0A0M6WJW1__ERS852420_02245
ERR1913042.777112__1.777112	204516__U6R9H3__HMPREF1534_03348
ERR1913042.777218__1.777218	39485__A0A174YZE2__spoIIE
ERR1913042.777227__1.777227	39491__A0A395ZEN3__DXD95_12655
ERR1913042.777254__1.777254	165179__D1PEQ5__PREVCOP_05711
ERR1913042.777279__1.777279	310297__A0A174A833__DXB87_09380
ERR1913042.777324__1.777324	301301__G2T4K1__RHOM_14310
ERR1913042.777304__1.777304	820__A0A374Q854__HMPREF1073_03281
ERR1913042.777354__1.777354	1262913__R7J951__BN646_01164
ERR1913042.777395__1.777395	487173__H1D020__HMPREF9453_00958
ERR1913042.777451__1.777451	69974__A0A090FEL8__MPL3365_630008
ERR1913042.777492__1.777492	165179__A0A174IPI3__CFT61_10940
ERR1913042.777470__1.777470	69974__A0A090FEL8__MPL3365_630008
ERR1913042.777532__1.777532	165179__D1PCL6__DXB80_13435
ERR1913042.777539__1.777539	165179__A0A3E5A554__DXB80_13805
ERR1913042.777597__1.777597	216816__A0A083X5W4__HMPREF0177_01593
ERR1913042.777666__1.777666	69974__A0A090FEL8__MPL3365_630008
ERR1913042.777687__1.777687	1262913__R7J3X1__BN646_00517
ERR1913042.777787__1.777787	165179__A0A174SA26__PREVCOP_05758
ERR1913042.777905__1.777905	853__A0A173YYY4__DWZ04_09420
ERR1913042.777942__1.777942	310298__B3JED9__BACCOP_00230
ERR1913042.778143__1.778143	310298__B3JNH3__BACCOP_03486
ERR1913042.778201__1.778201	39491__A0A395ZEN3__DXD95_12655
ERR1913042.778334__1.778334	39491__A0A395V5R3__EUBREC_1883
ERR1913042.778424__1.778424	216816__D6DD25__APC1482_1109
ERR1913042.778379__1.778379	39491__A0A396FRE7__EUR_27520
ERR1913042.778449__1.778449	706562__GCA_900112995.1_02127
ERR1913042.778461__1.778461	39483__D4JFB8__HMPREF0367_00606
ERR1913042.778594__1.778594	821__A0A0P0LFP6__C5Z04_13890
ERR1913042.778703__1.778703	165179__D1PHV2__PREVCOP_06822
ERR1913042.778875__1.778875	165179__A0A3E5A5E5__DXC61_13965
ERR1913042.779215__1.779215	28117__B0MWP2__ALIPUT_01468
ERR1913042.779266__1.779266	165179__A0A3E5DY64__CFT61_10025
ERR1913042.779307__1.779307	165179__D1PGU8__PREVCOP_06463
ERR1913042.779461__1.779461	1262924__R7HQD9__BN585_00129
ERR1913042.779493__1.779493	69974__A0A090FEL8__MPL3365_630008
ERR1913042.779540__1.779540	310298__B3JK49__BACCOP_02273
ERR1913042.779573__1.779573	39491__C4ZC33__DXC13_11585
ERR1913042.779575__1.779575	310298__B3JEE8__BACCOP_00239
ERR1913042.779706__1.779706	39491__A0A3E4YFT8__DXB69_10940
ERR1913042.779721__1.779721	40520__R7DAZ6__DXD81_07120
ERR1913042.779767__1.779767	39492__D4JX87__EUBSIR_00361
ERR1913042.779780__1.779780	165179__A0A3E5A5E5__DXC61_13965
ERR1913042.779799__1.779799	40518__R5DW64__RBL236_01394
ERR1913042.779961__1.779961	47678__R5U978__ERS852558_01076
ERR1913042.779982__1.779982	1262924__R7HRT1__BN585_00630
ERR1913042.779997__1.779997	310298__B3JJ24__BACCOP_01886
ERR1913042.780014__1.780014	1262924__R7HQV3__BN585_00017
ERR1913042.780025__1.780025	1262924__R7HRF6__BN585_01735
ERR1913042.780072__1.780072	671267__R9IB12__C802_00696
ERR1913042.780127__1.780127	143393__X8K820__ADJ67_02550
ERR1913042.780106__1.780106	69974__A0A090FEL8__MPL3365_630008
ERR1913042.780230__1.780230	626933__H1DGX0__HMPREF9449_01506
ERR1913042.780350__1.780350	69974__A0A090FEL8__MPL3365_630008
ERR1913042.780304__1.780304	204516__U6R9V8__HMPREF1534_03108
ERR1913042.780370__1.780370	165179__D1PHC0__PREVCOP_06640
ERR1913042.780441__1.780441	712121__L1PHG9__HMPREF9061_01134
ERR1913042.780452__1.780452	165179__A0A229I4J4__proA
ERR1913042.780491__1.780491	410072__A0A174D6E7__ERS852574_01257
ERR1913042.780478__1.780478	204516__U6RFU0__HMPREF1534_02545
ERR1913042.780534__1.780534	69974__A0A090FEL8__MPL3365_630008
ERR1913042.780540__1.780540	28117__B0MUB4__BHV66_01895
ERR1913042.780548__1.780548	39491__A0A396FRE7__EUR_27520
ERR1913042.780660__1.780660	39491__A0A3E4YFT8__DXB69_10940
ERR1913042.780667__1.780667	626933__H1DGX0__HMPREF9449_01506
ERR1913042.780708__1.780708	823__A0A355XFH7__ERS852513_00769
ERR1913042.780738__1.780738	820__A7VAS1__HMPREF2141_03259
ERR1913042.780784__1.780784	216816__U2TWA1__DD678_00805
ERR1913042.780847__1.780847	69974__A0A090FEL8__MPL3365_630008
ERR1913042.780967__1.780967	310298__B3JFQ2__BACCOP_00703
ERR1913042.780972__1.780972	165179__A0A3E5DY64__CFT61_10025
ERR1913042.780988__1.780988	69974__A0A090FEL8__MPL3365_630008
ERR1913042.781130__1.781130	40518__R5DS23__DXD86_01715
ERR1913042.781180__1.781180	310298__B3JGJ2__BACCOP_00994
ERR1913042.781214__1.781214	626933__H1DGX0__HMPREF9449_01506
ERR1913042.781326__1.781326	69974__A0A090FEL8__MPL3365_630008
ERR1913042.781299__1.781299	626933__H1DGX0__HMPREF9449_01506
ERR1913042.781337__1.781337	39485__A0A174ZMD4__ERS852492_01969
ERR1913042.781346__1.781346	69974__A0A090FEL8__MPL3365_630008
ERR1913042.781355__1.781355	69974__A0A090FEL8__MPL3365_630008
ERR1913042.781422__1.781422	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913042.781459__1.781459	165179__A0A3E5EB26__CFT61_02800
ERR1913042.781534__1.781534	204516__U6R7W5__HMPREF1534_03766
ERR1913042.781514__1.781514	39491__A0A395V0H6__ERS852580_02570
ERR1913042.781680__1.781680	165179__A0A174SA26__PREVCOP_05758
ERR1913042.781688__1.781688	69974__A0A090FEL8__MPL3365_630008
ERR1913042.781831__1.781831	39485__A0A174YKY3__EUBELI_00877
ERR1913042.781958__1.781958	165179__A0A3E5AHY4__CFT61_07675
ERR1913042.781970__1.781970	165179__A0A174IPI3__CFT61_10940
ERR1913042.782029__1.782029	29361__B6FRT6__CLONEX_02860
ERR1913042.782099__1.782099	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913042.782081__1.782081	310298__B3JQ37__BACCOP_04069
ERR1913042.782235__1.782235	1262924__R7HRT1__BN585_00630
ERR1913042.782283__1.782283	40518__R5E6U1__yunB
ERR1913042.782365__1.782365	47678__R5U2I4__ERS852558_03712
ERR1913042.782374__1.782374	165179__R6C330__DXC61_04975
ERR1913042.782462__1.782462	2293125__A0A374CIC9__DW917_02045
ERR1913042.782514__1.782514	1262924__R7HRT1__BN585_00630
ERR1913042.782588__1.782588	39491__A0A396FEW6__T1815_18721
ERR1913042.782663__1.782663	69974__A0A090FEL8__MPL3365_630008
ERR1913042.782623__1.782623	626933__H1DGX0__HMPREF9449_01506
ERR1913042.782635__1.782635	1262924__R7HQK6__BN585_00186
ERR1913042.782687__1.782687	165179__W1I4H6__DXB80_13655
ERR1913042.782694__1.782694	310298__B3JH76__BACCOP_01230
ERR1913042.782772__1.782772	487173__H1D1P5__HMPREF9453_01533
ERR1913042.782819__1.782819	69974__A0A090FEL8__MPL3365_630008
ERR1913042.782830__1.782830	706562__GCA_900112995.1_02127
ERR1913042.782834__1.782834	165179__A0A229I1J2__DXB80_03950
ERR1913042.782844__1.782844	626933__H1DGX0__HMPREF9449_01506
ERR1913042.782866__1.782866	820__A0A374Q8T2__DXB64_16190
ERR1913042.782951__1.782951	39485__R6AET9__EUBELI_01205
ERR1913042.782960__1.782960	39488__C0ET55__tauA
ERR1913042.783055__1.783055	310298__B3JK49__BACCOP_02273
ERR1913042.783095__1.783095	39491__A0A395ZF49__DXB69_05290
ERR1913042.783146__1.783146	39491__A0A395V464__EUBREC_1509
ERR1913042.783176__1.783176	69974__A0A090FEL8__MPL3365_630008
ERR1913042.783300__1.783300	1965632__A0A1Y4A6X2__B5F91_11655
ERR1913042.783272__1.783272	1965632__A0A1Y4A853__B5F91_11650
ERR1913042.783389__1.783389	853__A0A2A7B9I6__DW855_13690
ERR1913042.783393__1.783393	39491__A0A395ZHV7__ykvU
ERR1913042.783397__1.783397	69974__A0A090FEL8__MPL3365_630008
ERR1913042.783398__1.783398	821__A0A395UNT8__DXD64_15275
ERR1913042.783478__1.783478	39488__A0A374NVK2__DXD91_03585
ERR1913042.783518__1.783518	820__A0A3E4WCX3__C801_02709
ERR1913042.783719__1.783719	69974__A0A090FEL8__MPL3365_630008
ERR1913042.783761__1.783761	626933__H1DGX0__HMPREF9449_01506
ERR1913042.783834__1.783834	487173__H1CYN8__HMPREF9453_00476
ERR1913042.783901__1.783901	165179__A0A3E5EA43__DXC61_07775
ERR1913042.783998__1.783998	69974__A0A090FEL8__MPL3365_630008
ERR1913042.784112__1.784112	69974__A0A090FEL8__MPL3365_630008
ERR1913042.784139__1.784139	69974__A0A090FEL8__MPL3365_630008
ERR1913042.784276__1.784276	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913042.784500__1.784500	69974__A0A090FEL8__MPL3365_630008
ERR1913042.784539__1.784539	165179__A0A3E5EB26__CFT61_02800
ERR1913042.785048__1.785048	204516__U6RAL8__HMPREF1534_03434
ERR1913042.785085__1.785085	310298__B3JK49__BACCOP_02273
ERR1913042.785111__1.785111	301302__A0A0M6WWS5__M72_14631
ERR1913042.785127__1.785127	1735__B7CC21__EUBIFOR_01746
ERR1913042.785288__1.785288	357276__U6R8F9__DXD47_04035
ERR1913042.785335__1.785335	69974__A0A090FEL8__MPL3365_630008
ERR1913042.785382__1.785382	116085__D4J571__DW747_06990
ERR1913042.785390__1.785390	69974__A0A090FEL8__MPL3365_630008
ERR1913042.785510__1.785510	39491__A0A396FGM9__fliU_1
ERR1913042.785507__1.785507	69974__A0A090FEL8__MPL3365_630008
ERR1913042.785572__1.785572	820__A0A139KG60__M094_2679
ERR1913042.785587__1.785587	1150298__R7JSM7__ERS852535_02465
ERR1913042.785589__1.785589	28116__A0A0J9IIV5__M089_5519
ERR1913042.785657__1.785657	69974__A0A090FEL8__MPL3365_630008
ERR1913042.785690__1.785690	204516__U6REI9__HMPREF1534_02357
ERR1913042.785734__1.785734	1262924__R7HRW7__BN585_01894
ERR1913042.785752__1.785752	820__I9J701__ERS852510_01809
ERR1913042.785928__1.785928	310298__B3JH75__BACCOP_01229
ERR1913042.786073__1.786073	40518__R5DME2__DXD86_07315
ERR1913042.786114__1.786114	165179__A0A3E4SID1__DXB80_01945
ERR1913042.786133__1.786133	853__A0A173TAZ8__DWZ46_14590
