ERR1913301.129__1.129	28118__F9Z8K4__Odosp_0843
ERR1913301.800340__1.800340	40518__R5DUW7__DXD83_02105
ERR1913301.800412__1.800412	166486__D4KYM4__ERS852572_02981
ERR1913301.800502__1.800502	820__A0A139KH21__DXC80_01780
ERR1913301.800700__1.800700	363265__R6F4I0__HMPREF0673_00778
ERR1913301.800709__1.800709	39485__C4Z6V7__walK
ERR1913301.800849__1.800849	363265__R6EWI1__HMPREF0673_01005
ERR1913301.800871__1.800871	1735__B7CC21__EUBIFOR_01746
ERR1913301.801054__1.801054	1262929__R6FRR0__BN691_00154
ERR1913301.801077__1.801077	165179__A0A3E5E920__DXB80_11625
ERR1913301.801163__1.801163	1262929__R6F4F7__BN691_01167
ERR1913301.801164__1.801164	2022527__A0A264Y3X7__CHL74_13910
ERR1913301.801237__1.801237	165179__A0A3E5A832__DXC61_13685
ERR1913301.801267__1.801267	166486__D4L457__ROSINTL182_07087
ERR1913301.801287__1.801287	1262929__R6F825__BN691_00333
ERR1913301.801317__1.801317	301302__R5UK77__M72_08681
ERR1913301.801367__1.801367	1262924__R7HM72__BN585_01169
ERR1913301.801644__1.801644	165179__D1PDT3__PREVCOP_05375
ERR1913301.801975__1.801975	1262929__R6F0A6__BN691_00414
ERR1913301.801982__1.801982	165179__A0A174IHQ2__PREVCOP_05478
ERR1913301.802289__1.802289	564__B7LVH7__VL22_0208320
ERR1913301.802300__1.802300	1262929__R6F053__BN691_00334
ERR1913301.802349__1.802349	2047__E3H1F8__NCTC10917_00666
ERR1913301.802396__1.802396	1501391__GCA_000786575.1_00103
ERR1913301.802500__1.802500	166486__D4KZ14__inlA_1
ERR1913301.802567__1.802567	165179__D1PGJ6__DXC61_07300
ERR1913301.802637__1.802637	363265__R6EW17__HMPREF0673_02095
ERR1913301.802773__1.802773	745368__A0A1T4WPJ1__SAMN02745178_00919
ERR1913301.802861__1.802861	820__A0A174F0C1__nreB
ERR1913301.802817__1.802817	626940__E8LDK5__DCQ00_02560
ERR1913301.802905__1.802905	338188__K5DGQ6__HMPREF1057_00968
ERR1913301.802914__1.802914	360807__C0G083__ROSEINA2194_04432
ERR1913301.802957__1.802957	39485__R5ZVC3__ERS852490_00250
ERR1913301.803358__1.803358	626940__E8LD83__BHW43_05620
ERR1913301.803368__1.803368	823__A0A078TL61__ERS852429_00610
ERR1913301.803456__1.803456	820__A0A1T4IYF4__mprA_1
ERR1913301.803556__1.803556	1262936__R7J0S3__BN799_01459
ERR1913301.803608__1.803608	1501391__GCA_000786575.1_00115
ERR1913301.803565__1.803565	745368__A0A1T4X373__SAMN02745178_01365
ERR1913301.803575__1.803575	1262936__R7J0S3__BN799_01459
ERR1913301.803623__1.803623	454155__F3QX42__HMPREF9442_02776
ERR1913301.803714__1.803714	410072__A0A3E4GT65__ERS852574_02325
ERR1913301.803726__1.803726	458033__GCA_001482755.1_02203
ERR1913301.803731__1.803731	166486__C7GCP5__ROSINTL182_07683
ERR1913301.803736__1.803736	28052__A0A174Z2D5__mcp2_3
ERR1913301.803744__1.803744	360807__A0A1Q6TAV1__ROSEINA2194_00431
ERR1913301.803834__1.803834	626940__E8LGW1__BHW43_07850
ERR1913301.803938__1.803938	1304__T0SPD1__HSISS4_01717
ERR1913301.804119__1.804119	1318__A0A3E4U8W0__trpD
ERR1913301.804260__1.804260	820__A0A139K426__B5G17_09115
ERR1913301.804388__1.804388	39485__R6A1W2__ERS852490_01584
ERR1913301.804469__1.804469	165179__A0A3E5E2V4__PREVCOP_05070
ERR1913301.804488__1.804488	823__A0A395Z066__M091_0663
ERR1913301.804566__1.804566	39492__D4JRM9__bglB_2
ERR1913301.804783__1.804783	1608898__E1W1C5__HMPREF3279_09625
ERR1913301.804888__1.804888	1501391__GCA_000786575.1_00099
ERR1913301.804975__1.804975	1262741__R6CVQ4__BN697_00413
ERR1913301.805117__1.805117	820__A0A174F696__macB_13
ERR1913301.805224__1.805224	166486__D4KWP5__ROSINTL182_06014
ERR1913301.805281__1.805281	1262929__R6FUB1__BN691_00386
ERR1913301.805297__1.805297	745368__A0A1T4Y5S3__SAMN02745178_02736
ERR1913301.805362__1.805362	818__Q8A5L9__BJP75_000955
ERR1913301.805371__1.805371	363265__R6F6E7__HMPREF0673_02119
ERR1913301.805435__1.805435	301302__R5UM41__M72_15921
ERR1913301.805532__1.805532	165179__A0A3E5E4T9__DXB80_08030
ERR1913301.805662__1.805662	626940__E8LG62__HMPREF9443_01863
ERR1913301.805697__1.805697	820__A0A396EUU8__luxQ_3
ERR1913301.805790__1.805790	1897011__A0A1Q6RDG0__BHW41_05600
ERR1913301.805833__1.805833	301302__A0A173TZN3__M72_00321
ERR1913301.805877__1.805877	1262929__R6EW44__BN691_01010
ERR1913301.805886__1.805886	166486__C7GE31__ganB_3
ERR1913301.805888__1.805888	1150298__A0A174SLE6__mlc_1
ERR1913301.805943__1.805943	820__R9HP61__DXC91_01090
ERR1913301.806116__1.806116	165179__D1PDJ4__DXB80_08505
ERR1913301.806187__1.806187	166486__D4L1P3__ERS852572_00760
ERR1913301.806225__1.806225	40518__R5DUG7__sbcC
ERR1913301.806268__1.806268	853__A0A2A7B9I6__DW855_13690
ERR1913301.806455__1.806455	165179__A0A3E5E643__DXB80_06030
ERR1913301.806532__1.806532	357276__I9F327__DXD47_22495
ERR1913301.806629__1.806629	1501391__GCA_000786575.1_00032
ERR1913301.806647__1.806647	166486__D4KUK5__thiM
ERR1913301.806701__1.806701	39492__D4JW25__EUBSIR_02203
ERR1913301.806785__1.806785	165179__R6BQP4__DXC61_02015
ERR1913301.806745__1.806745	84024__A0A174G264__ERS852470_02709
ERR1913301.806799__1.806799	1297617__A0A0S2W8Q5__C7373_1077
ERR1913301.806809__1.806809	28052__A0A174P635__ERS852499_02418
ERR1913301.806886__1.806886	357276__I9R994__BACDOR_04044
ERR1913301.807032__1.807032	165179__A0A3E5A832__DXC61_13685
ERR1913301.807151__1.807151	820__A7V470__HMPREF1072_02076
ERR1913301.807214__1.807214	363265__R6F6E7__HMPREF0673_02119
ERR1913301.807241__1.807241	1262886__R6QCG3__BN563_00145
ERR1913301.807259__1.807259	1263000__R5ETL6__BN466_01607
ERR1913301.807296__1.807296	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913301.807304__1.807304	166486__D4L301__ROSINTL182_06234
ERR1913301.807411__1.807411	1262924__R7HMN2__BN585_01573
ERR1913301.807495__1.807495	1911679__A0A134BR56__VCHSUH03_01130
ERR1913301.807511__1.807511	363265__G6AUD5__HMPREF0673_00225
ERR1913301.807580__1.807580	360807__A0A396A9J5__ROSEINA2194_00828
ERR1913301.807747__1.807747	1897011__A0A1Q6RCU3__BHW41_05920
ERR1913301.807807__1.807807	165179__A0A3E5E643__DXB80_06030
ERR1913301.807904__1.807904	820__A0A3E4WCX3__C801_02709
ERR1913301.808154__1.808154	165179__A0A3E5DX33__PREVCOP_05190
ERR1913301.808231__1.808231	363265__G6AW62__HMPREF0673_00859
ERR1913301.808194__1.808194	820__A0A374QGD2__ERS852421_02382
ERR1913301.808315__1.808315	1262929__R6F7S9__BN691_01792
ERR1913301.808355__1.808355	166486__A0A173RAP7__ROSINTL182_07969
ERR1913301.808438__1.808438	410072__C0B8H9__ERS852481_01810
ERR1913301.808499__1.808499	46503__R6Y8M7__ERS852463_01228
ERR1913301.808619__1.808619	39485__A0A174ZBJ8__speA_2
ERR1913301.808675__1.808675	40518__R5DX31__DXD86_09775
ERR1913301.808821__1.808821	818__A0A0P0FR20__BJP75_022685
ERR1913301.808882__1.808882	165179__A0A3E5DZ45__DXC61_02820
ERR1913301.808886__1.808886	1262929__R6F7M1__BN691_00234
ERR1913301.808970__1.808970	1262936__R7J5X5__BN799_00356
ERR1913301.809141__1.809141	1897011__A0A1Q6REW8__BHW41_04435
ERR1913301.809144__1.809144	1262924__R7HLJ5__BN585_01491
ERR1913301.809187__1.809187	410072__A0A174BWR4__ERS852389_00309
ERR1913301.809263__1.809263	1262929__R6F5I2__BN691_01051
ERR1913301.809278__1.809278	165179__A0A3E5EDS1__DXC61_03115
ERR1913301.809398__1.809398	1262929__R6F6P4__BN691_01423
ERR1913301.809406__1.809406	1262929__R6FAR5__BN691_00788
ERR1913301.809345__1.809345	853__A0A173YYY4__DWZ04_09420
ERR1913301.809361__1.809361	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913301.809437__1.809437	39492__D4JR04__phoU
ERR1913301.809662__1.809662	165179__R6CNX7__DXB80_02200
ERR1913301.809663__1.809663	40518__R5DX93__DXD93_03055
ERR1913301.809716__1.809716	1262929__R6F053__BN691_00334
ERR1913301.809726__1.809726	301302__A0A0M6WKN8__M72_27741
ERR1913301.810011__1.810011	166486__D4KVZ2__cbiT
ERR1913301.810094__1.810094	1262924__R7HRJ9__BN585_00557
ERR1913301.810147__1.810147	820__A0A174F0C1__nreB
ERR1913301.810255__1.810255	820__R9I324__HMPREF2141_02414
ERR1913301.810263__1.810263	363265__R6F4I0__HMPREF0673_00778
ERR1913301.810294__1.810294	165179__A0A3E5E7D5__PREVCOP_03928
ERR1913301.810303__1.810303	301302__A0A173T1J1__M72_18951
ERR1913301.810318__1.810318	39492__D4JTW6__ERS852540_00220
ERR1913301.810474__1.810474	39492__D4JQX3__EUBSIR_01310
ERR1913301.810593__1.810593	820__A7VAR9__ERS852421_00197
ERR1913301.810649__1.810649	360807__C0FMY6__ROSEINA2194_00074
ERR1913301.810612__1.810612	1262929__R6F7S9__BN691_01792
ERR1913301.810621__1.810621	301302__R5V631__ERS852420_03369
ERR1913301.810625__1.810625	410072__A0A173XQG6__ERS852574_01620
ERR1913301.810688__1.810688	39491__A0A173VYV1__DXC13_02710
ERR1913301.810695__1.810695	239935__A0A2N8IVR0__CXT87_07115
ERR1913301.810735__1.810735	1262929__R6EX87__BN691_01422
ERR1913301.810801__1.810801	1262929__R6EV27__BN691_00137
ERR1913301.810814__1.810814	39485__C4Z6V1__ERS852492_02640
ERR1913301.810816__1.810816	1358__T0VND1__BN927_00201
ERR1913301.810824__1.810824	165179__D1PCT4__DXB80_09470
ERR1913301.810975__1.810975	1262924__R7HPS8__BN585_00646
ERR1913301.810952__1.810952	28118__R6F891__NCTC10826_02656
ERR1913301.811187__1.811187	39492__D4JRM9__bglB_2
ERR1913301.811253__1.811253	28052__R7NAP6__ERS852499_01969
ERR1913301.811283__1.811283	166486__D4L3V9__ROSINTL182_07680
ERR1913301.811284__1.811284	1262929__R6FRG9__BN691_01453
ERR1913301.811352__1.811352	1262929__R6EYF9__BN691_01816
ERR1913301.811444__1.811444	39485__A0A174YZE2__spoIIE
ERR1913301.811438__1.811438	39492__D4JRM4__tap_5
ERR1913301.811367__1.811367	410072__A0A174L0Z1__ERS852525_00863
ERR1913301.811582__1.811582	357276__A0A076IXE0__HMPREF1064_04364
ERR1913301.811677__1.811677	39485__A0A175A2T1__EUBELI_02034
ERR1913301.811756__1.811756	39485__C4Z355__ERS852490_01971
ERR1913301.811864__1.811864	1535__A7VYK3__CLOLEP_03680
ERR1913301.811960__1.811960	39492__D4MJF3__EUBSIR_02248
ERR1913301.811987__1.811987	39485__A0A174YVS4__EUBELI_00620
ERR1913301.812049__1.812049	39492__D4JV86__spoIIE
ERR1913301.812005__1.812005	1262929__R6F141__BN691_00686
ERR1913301.812136__1.812136	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913301.812139__1.812139	165179__D1PAR0__DXB80_01190
ERR1913301.812319__1.812319	166486__D4KWM8__ROSINTL182_06037
ERR1913301.812330__1.812330	33039__A0A175A099__cynR_1
ERR1913301.812490__1.812490	1262929__R6FSA0__BN691_01738
ERR1913301.812499__1.812499	820__A0A139KIL9__DXC68_05945
ERR1913301.812587__1.812587	165179__A0A174W369__PREVCOP_04548
ERR1913301.812685__1.812685	40518__R5DYM0__DXD86_08165
ERR1913301.812695__1.812695	39485__A0A174Z4K7__dosC_2
ERR1913301.812709__1.812709	1897011__A0A1Q6RJI3__BHW41_00255
ERR1913301.812792__1.812792	165179__A0A3E5DWQ1__DXB80_06635
ERR1913301.812879__1.812879	1262929__R6F7V9__BN691_01817
ERR1913301.812915__1.812915	165179__A0A229I4J4__proA
ERR1913301.812928__1.812928	1262924__R7HRW7__BN585_01894
ERR1913301.812981__1.812981	39492__D4JSS2__EUBSIR_00553
ERR1913301.813058__1.813058	166486__D4L1P5__ERS852572_00758
ERR1913301.813158__1.813158	1262929__R6FV83__BN691_00675
ERR1913301.813190__1.813190	39492__D4MIY5__EUBSIR_00233
ERR1913301.813408__1.813408	165179__A0A3E5EDS1__DXC61_03115
ERR1913301.813463__1.813463	165179__A0A3E5E9I4__DXB80_09745
ERR1913301.813474__1.813474	39486__B0G928__DORFOR_02790
ERR1913301.813477__1.813477	165179__A0A3E5EAT2__DXC61_07585
ERR1913301.813534__1.813534	39492__D4JU94__ispE
ERR1913301.813624__1.813624	165179__A0A3E5DZ85__PREVCOP_04238
ERR1913301.813675__1.813675	1262929__R6FR28__BN691_01320
ERR1913301.813779__1.813779	649756__E5VJ94__CL2_21810
ERR1913301.814043__1.814043	626940__E8LFF6__BHW43_06155
ERR1913301.814081__1.814081	820__A0A3E4G8F8__ERS852421_01645
ERR1913301.814143__1.814143	166486__A0A1Q6S852__ERS852572_03466
ERR1913301.814258__1.814258	165179__A0A229I1J2__DXB80_03950
ERR1913301.814356__1.814356	823__A0A395YVY3__ERS852513_03204
ERR1913301.814359__1.814359	1262929__R6FAR5__BN691_00788
ERR1913301.814361__1.814361	1262929__R6F7R3__BN691_01777
ERR1913301.814335__1.814335	820__A0A174VD39__DXD90_12235
ERR1913301.814453__1.814453	39485__A0A174Z9M2__yhbU_1
ERR1913301.814543__1.814543	1897011__A0A1Q6RDJ0__BHW41_05420
ERR1913301.814605__1.814605	1262824__R6RM20__BN719_01820
ERR1913301.814612__1.814612	1262929__R6F558__BN691_01421
ERR1913301.814650__1.814650	1262936__R7J299__BN799_01949
ERR1913301.814658__1.814658	28052__A0A174GWB0__amiC
ERR1913301.814679__1.814679	1262924__R7HPY0__BN585_01950
ERR1913301.814789__1.814789	544645__A0A3E4TCP7__DXC42_06585
ERR1913301.814916__1.814916	1262929__R6FV20__BN691_00610
ERR1913301.815099__1.815099	165179__R6C330__DXC61_04975
ERR1913301.815197__1.815197	166486__D4L3K7__ERS852572_00904
ERR1913301.815210__1.815210	166486__D4L3K7__ERS852572_00904
ERR1913301.815179__1.815179	1263000__R5EGY6__BN466_00973
ERR1913301.815391__1.815391	39485__A0A174Z1T6__sfp
ERR1913301.815368__1.815368	1262929__R6ETB4__BN691_00101
ERR1913301.815438__1.815438	626940__E8LFE6__DCQ00_00370
ERR1913301.815552__1.815552	363265__G6AUD5__HMPREF0673_00225
ERR1913301.815649__1.815649	166486__D4L082__yicI_5
ERR1913301.815709__1.815709	820__A0A3E4FWC8__DXC91_14635
ERR1913301.815732__1.815732	46506__R6AC22__HMPREF1181_00516
ERR1913301.815677__1.815677	165179__D1PCL6__DXB80_13435
ERR1913301.815686__1.815686	301302__A0A0M6WJW1__ERS852420_02245
ERR1913301.815848__1.815848	165179__D1PFV4__PREVCOP_06112
ERR1913301.815823__1.815823	39485__A0A174ZBJ8__speA_2
ERR1913301.816079__1.816079	39485__A0A174ZBK4__ERS852490_01585
ERR1913301.816093__1.816093	165179__D1PCL6__DXB80_13435
ERR1913301.816012__1.816012	165179__A0A3E5AER8__DXB80_07075
ERR1913301.816187__1.816187	40518__R5DU92__DXD93_03170
ERR1913301.816208__1.816208	1501391__GCA_000786575.1_00006
ERR1913301.816331__1.816331	1263000__R5EC87__BN466_00713
ERR1913301.816397__1.816397	166486__D4KZI1__ERS852572_00422
ERR1913301.816506__1.816506	1262929__R6FV83__BN691_00675
ERR1913301.816592__1.816592	1262929__R6F825__BN691_00333
ERR1913301.816685__1.816685	165179__A0A3E5DZA5__DXB80_12550
ERR1913301.816702__1.816702	1263044__GCA_000433375.1_03394
ERR1913301.816873__1.816873	1262929__R6F9I6__BN691_00385
ERR1913301.816892__1.816892	853__A0A174CVG7__CGS58_09335
ERR1913301.817050__1.817050	165179__R6BQP4__DXC61_02015
ERR1913301.817056__1.817056	166486__C7GCP5__ROSINTL182_07683
ERR1913301.817075__1.817075	46503__R6XCJ0__PARMER_01847
ERR1913301.817150__1.817150	1262929__R6F558__BN691_01421
ERR1913301.817159__1.817159	1262924__R7HM98__BN585_01697
ERR1913301.817163__1.817163	1608898__A0A1B8QWK8__HMPREF3279_04675
ERR1913301.817200__1.817200	39485__A0A174Z1A6__EUBELI_00220
ERR1913301.817232__1.817232	301301__A0A395VEZ0__mcp4_1
ERR1913301.817417__1.817417	363265__G6AXV1__HMPREF0673_01458
ERR1913301.817396__1.817396	165179__A0A3E5DRF6__DXC61_00200
ERR1913301.817402__1.817402	1323__A0A380LN40__rumA
ERR1913301.817441__1.817441	1263000__R5EWT9__BN466_02076
ERR1913301.817464__1.817464	165179__A0A3E5DRF6__DXC61_00200
ERR1913301.817660__1.817660	165179__D1PGJ6__DXC61_07300
ERR1913301.817663__1.817663	166486__D4KUL4__pemA
ERR1913301.817704__1.817704	165179__R6CNX7__DXB80_02200
ERR1913301.817899__1.817899	410072__A0A173YNZ0__ERS852481_00766
ERR1913301.817915__1.817915	165179__R6XIF8__DXC61_07265
ERR1913301.817995__1.817995	33039__D4LZZ3__psf-1
ERR1913301.818048__1.818048	35833__E5Y8N1__HMPREF0179_02549
ERR1913301.818054__1.818054	1262929__R6F1E4__BN691_00073
ERR1913301.818057__1.818057	28052__R7NB38__ERS852499_00438
ERR1913301.818067__1.818067	363265__G6AUM0__HMPREF0673_00305
ERR1913301.818113__1.818113	1262929__R6EX87__BN691_01422
ERR1913301.818219__1.818219	1262929__R6F7R3__BN691_01777
ERR1913301.818220__1.818220	1911679__A0A3D2WT16__VCHSUH03_09385
ERR1913301.818225__1.818225	39485__C4Z0F4__ERS852490_00945
ERR1913301.818251__1.818251	853__A0A2A7A4A9__C4N21_14870
ERR1913301.818380__1.818380	39492__D4JV70__EUBSIR_01253
ERR1913301.818445__1.818445	1501391__GCA_000786575.1_00071
ERR1913301.818504__1.818504	165179__D1PDF6__DXB80_12430
ERR1913301.818578__1.818578	166486__A0A173VSA0__ROSINTL182_06124
ERR1913301.818698__1.818698	39492__D4JSG7__EUBSIR_01006
ERR1913301.818786__1.818786	1262929__R6F820__BN691_00328
ERR1913301.819007__1.819007	1262929__R6EW63__BN691_01045
ERR1913301.819010__1.819010	1262929__R6F620__BN691_01750
ERR1913301.819103__1.819103	360807__C0FZM4__RIL183_06871
ERR1913301.819236__1.819236	1262929__R6EXK5__BN691_00233
ERR1913301.819299__1.819299	853__A0A173T6P2__DWZ46_14595
ERR1913301.819302__1.819302	853__A0A2A7B9I6__DW855_13690
ERR1913301.819356__1.819356	39492__D4JVX0__udk
ERR1913301.819432__1.819432	357276__B6VXX7__HMPREF1063_02683
ERR1913301.819669__1.819669	1262929__R6F053__BN691_00334
ERR1913301.819738__1.819738	47678__A5ZLX1__C5Z00_04825
ERR1913301.819745__1.819745	818__A0A0P0FI06__BJP75_017205
ERR1913301.819943__1.819943	363265__R6F4I0__HMPREF0673_00778
ERR1913301.819994__1.819994	1262929__R6ETI0__BN691_00865
ERR1913301.820231__1.820231	166486__D4L1L1__ROSINTL182_05277
ERR1913301.820261__1.820261	1897011__A0A1Q6RE67__BHW41_04635
ERR1913301.820387__1.820387	165179__A0A229I1J2__DXB80_03950
ERR1913301.820459__1.820459	165179__A0A3E5DY64__CFT61_10025
ERR1913301.820535__1.820535	1262929__R6EV27__BN691_00137
ERR1913301.820611__1.820611	363265__R6F4I0__HMPREF0673_00778
ERR1913301.820747__1.820747	39492__D4MMN2__EUBSIR_00964
ERR1913301.820905__1.820905	166486__D4KYB5__mcp3_2
ERR1913301.820953__1.820953	853__A0A3E2V168__FAEPRAM212_00929
ERR1913301.821018__1.821018	165179__A0A3E5DZA5__DXB80_12550
ERR1913301.821029__1.821029	1262929__R6F7V9__BN691_01817
ERR1913301.821030__1.821030	1262929__R6EZP7__BN691_00230
ERR1913301.821108__1.821108	363265__R7GTF4__HMPREF0673_02453
ERR1913301.821224__1.821224	1501391__GCA_000786575.1_00016
ERR1913301.821191__1.821191	165179__A0A174IPI3__CFT61_10940
ERR1913301.821199__1.821199	166486__D4L398__ERS852572_03633
ERR1913301.821208__1.821208	626940__E8LCL0__BN587_01660
ERR1913301.821502__1.821502	410072__C0BBP9__ERS852525_00825
ERR1913301.821690__1.821690	33043__D5HHT2__ERS852445_02796
ERR1913301.821893__1.821893	39492__A0A174ZL16__EUBSIR_01269
ERR1913301.821953__1.821953	165179__D1PAJ7__PREVCOP_04222
ERR1913301.821988__1.821988	853__A0A173T0Y8__CGS54_07215
ERR1913301.821937__1.821937	166486__D4KZ27__ROSINTL182_05762
ERR1913301.821946__1.821946	166486__D4L0E1__ypdA_4
ERR1913301.822114__1.822114	1501391__GCA_000786575.1_00109
ERR1913301.822069__1.822069	28052__R7N7V7__hemZ_1
ERR1913301.822155__1.822155	39485__C4Z208__ywiB
ERR1913301.822177__1.822177	454155__F3QTG9__HMPREF9442_01487
ERR1913301.822254__1.822254	820__A0A374Q8T2__DXB64_16190
ERR1913301.822258__1.822258	1262929__R6F053__BN691_00334
ERR1913301.822408__1.822408	165179__A0A3E5AEF7__DXC61_05000
ERR1913301.822461__1.822461	357276__A0A0K2HG61__BACDOR_02028
ERR1913301.822471__1.822471	165179__R6C3K4__PREVCOP_05795
ERR1913301.822569__1.822569	166486__A0A1Q6S8P7__ROSINTL182_06253
ERR1913301.822578__1.822578	28052__R7N8I1__pimB_4
ERR1913301.822898__1.822898	165179__A0A3E5E189__PREVCOP_06699
ERR1913301.822844__1.822844	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913301.823117__1.823117	165179__R6C330__DXC61_04975
ERR1913301.822994__1.822994	165179__A0A174K816__DXB80_12000
ERR1913301.823222__1.823222	165179__D1P8V8__DXC61_01940
ERR1913301.823331__1.823331	1262929__R6FAR5__BN691_00788
ERR1913301.823377__1.823377	165179__R6CNX7__DXB80_02200
ERR1913301.823430__1.823430	818__A0A174N1L6__ERS852511_02039
ERR1913301.823498__1.823498	363265__G6AUD5__HMPREF0673_00225
ERR1913301.823621__1.823621	165179__D1P8Q2__trpF
ERR1913301.823624__1.823624	40518__R5E2R8__nnr_2
ERR1913301.823668__1.823668	1262929__R6FTR6__BN691_00242
ERR1913301.823673__1.823673	853__A0A2A7B9I6__DW855_13690
ERR1913301.823641__1.823641	165179__D1PB89__DXC61_08425
ERR1913301.823919__1.823919	165179__D1PGD2__DXC61_10875
ERR1913301.823951__1.823951	1263107__GCA_000436995.1_00059
ERR1913301.823984__1.823984	626940__E8LGH2__DCQ00_03540
ERR1913301.824077__1.824077	1263107__GCA_000436995.1_00236
ERR1913301.824083__1.824083	1262929__R6FV28__BN691_00620
ERR1913301.824088__1.824088	1262886__R6QAM6__BN563_01696
ERR1913301.824342__1.824342	853__A0A2A7B9I6__DW855_13690
ERR1913301.824364__1.824364	39492__A0A174ZL16__EUBSIR_01269
ERR1913301.824404__1.824404	165179__A0A3E5AER8__DXB80_07075
ERR1913301.824417__1.824417	371601__D0TUU4__BXY_31970
ERR1913301.824508__1.824508	1897011__A0A1Q6RH58__BHW41_01950
ERR1913301.824533__1.824533	165179__D1PEQ5__PREVCOP_05711
ERR1913301.824661__1.824661	1262929__R6EYQ0__BN691_00631
ERR1913301.824810__1.824810	165179__D1PAN5__PREVCOP_04260
ERR1913301.824862__1.824862	1262929__R6EZA2__BN691_02113
ERR1913301.824877__1.824877	165179__A0A3E5AHK7__PREVCOP_04289
ERR1913301.824898__1.824898	165179__D1PES9__DXB80_11585
ERR1913301.824990__1.824990	39492__B0MS79__ERS852540_01394
ERR1913301.825224__1.825224	556259__I0PXW0__BSGG_5187
ERR1913301.825231__1.825231	1262924__R7HLK0__BN585_01496
ERR1913301.825448__1.825448	166486__D4KY84__ERS852572_02606
ERR1913301.825753__1.825753	166486__D4L301__ROSINTL182_06234
ERR1913301.825736__1.825736	301302__A0A0M6W9H8__M72_19621
ERR1913301.825834__1.825834	363265__G6AUD5__HMPREF0673_00225
ERR1913301.825880__1.825880	166486__D4L337__msbA_4
ERR1913301.825911__1.825911	626940__E8LCL7__BN587_01653
ERR1913301.825946__1.825946	1262924__R7HQ03__BN585_01295
ERR1913301.826045__1.826045	410072__R6LKC9__ERS852525_01807
ERR1913301.826081__1.826081	1262929__R6F558__BN691_01421
ERR1913301.826061__1.826061	363265__R6EW17__HMPREF0673_02095
ERR1913301.826123__1.826123	1262886__R6Q7L1__BN563_00804
ERR1913301.826218__1.826218	1262929__R6F573__BN691_00942
ERR1913301.826260__1.826260	1262929__R6F753__BN691_02112
ERR1913301.826305__1.826305	166486__D4KPQ7__ROSINTL182_09065
ERR1913301.826309__1.826309	1262936__R7J420__BN799_00406
ERR1913301.826359__1.826359	165179__A0A229I4J4__proA
ERR1913301.826502__1.826502	39492__R6SA81__EUBSIR_00402
ERR1913301.826560__1.826560	410072__C0B9A6__yvhJ
ERR1913301.826759__1.826759	1262930__R6AVG7__BN693_02115
ERR1913301.827006__1.827006	39492__D4JVX0__udk
ERR1913301.827007__1.827007	1897011__A0A1Q6RJV2__BHW41_00030
ERR1913301.827039__1.827039	1608898__A0A369YM93__HMPREF3279_00190
ERR1913301.827102__1.827102	165179__A0A229I1J2__DXB80_03950
ERR1913301.827171__1.827171	165179__R6CNX7__DXB80_02200
ERR1913301.827271__1.827271	40518__R5E6K4__RB5AMG_02070
ERR1913301.827280__1.827280	1262930__R6AUL9__BN693_02008
ERR1913301.827425__1.827425	39485__A0A174YNF6__lytR_1
ERR1913301.827579__1.827579	46506__B0NSD0__HMPREF1181_00408
ERR1913301.827713__1.827713	853__A0A174UDE9__C4N25_12775
ERR1913301.827687__1.827687	84024__A0A173XBF2__msrR_1
ERR1913301.827701__1.827701	165179__A0A174SR12__DXB80_04410
ERR1913301.827878__1.827878	626940__E8LGD9__cdsA
ERR1913301.827880__1.827880	46506__A0A108TAK3__fepA_3
ERR1913301.827821__1.827821	166486__C7GCP5__ROSINTL182_07683
ERR1913301.827829__1.827829	1661745__A0A0M1GHZ8__ABW51_09420
ERR1913301.827832__1.827832	165179__R6PU83__CFT61_14275
ERR1913301.827995__1.827995	40518__R5E2F3__artQ
ERR1913301.828176__1.828176	1897011__A0A1Q6RH85__BHW41_01750
ERR1913301.828189__1.828189	166486__D4KWR9__dapF_1
ERR1913301.828243__1.828243	40518__R5DZU5__RBL263_00458
ERR1913301.828247__1.828247	165179__A0A3E5EBM5__DXC61_02170
ERR1913301.828303__1.828303	853__A0A174C5M1__CGS58_04460
ERR1913301.828330__1.828330	820__A0A139KJR5__M093_4469
ERR1913301.828426__1.828426	165179__A0A3E5E643__DXB80_06030
ERR1913301.828495__1.828495	166486__A0A1Q6S8P7__ROSINTL182_06253
ERR1913301.828546__1.828546	821__A0A173XDD3__DXB82_17180
ERR1913301.828628__1.828628	33039__D4M0J9__ERS852577_03924
ERR1913301.828715__1.828715	562__P23837__phoQ
ERR1913301.828765__1.828765	1262936__R7J3N4__BN799_00434
ERR1913301.828925__1.828925	1263044__GCA_000433375.1_01139
ERR1913301.829012__1.829012	40518__R5DR39__mreB_2
ERR1913301.829034__1.829034	28052__A0A174P635__ERS852499_02418
ERR1913301.829090__1.829090	39492__D4JWY0__EUBSIR_01648
ERR1913301.829195__1.829195	820__A0A3E4W4Y7__B5G17_02055
ERR1913301.829159__1.829159	166486__D4L337__msbA_4
ERR1913301.829160__1.829160	47678__R5UGC2__ERS852494_02070
ERR1913301.829258__1.829258	165179__D1PCT4__DXB80_09470
