ERR1913261.83__1.83	1150298__A0A174AM35__ERS852498_00645
ERR1913261.694172__1.694172	328814__GCA_004558275.1_00135
ERR1913261.694315__1.694315	1262922__R6EEP0__BN487_01314
ERR1913261.694381__1.694381	1262922__R6E736__BN487_01852
ERR1913261.694483__1.694483	853__C7H7F8__yccM_1
ERR1913261.694543__1.694543	2108523__A0A2P2FCT7__LAWASA_3851
ERR1913261.694765__1.694765	823__D0TCC2__HMPREF1075_01590
ERR1913261.694767__1.694767	487174__K0WV19__HMPREF9448_01820
ERR1913261.694854__1.694854	820__A0A174DZ97__SAMN05444418_101240
ERR1913261.694884__1.694884	39485__A0A174YR79__EUBELI_20418
ERR1913261.695108__1.695108	39491__D6E118__DXB69_05765
ERR1913261.695171__1.695171	1262922__R6E9C2__BN487_00401
ERR1913261.695453__1.695453	328814__GCA_004558275.1_00289
ERR1913261.695542__1.695542	1501391__GCA_000786575.1_00128
ERR1913261.695592__1.695592	376805__F0R8H8__Bacsa_0435
ERR1913261.695668__1.695668	2137880__A0A316P0Z3__DBY21_03285
ERR1913261.695920__1.695920	1262922__R6E5W2__BN487_01361
ERR1913261.696024__1.696024	28117__R7JG17__ALIPUT_01859
ERR1913261.696174__1.696174	1262792__R6YQE3__BN593_00899
ERR1913261.696273__1.696273	823__A0A173RD26__B5F32_03910
ERR1913261.696562__1.696562	39491__D4JIB6__ERS852417_01685
ERR1913261.696592__1.696592	39491__A0A396FJA4__DXB99_05435
ERR1913261.696891__1.696891	1262933__R7PAN0__BN736_00640
ERR1913261.696902__1.696902	823__A0A174DZM1__DDY96_10310
ERR1913261.697115__1.697115	821__D4VD59__BHV80_04260
ERR1913261.697237__1.697237	39491__D6E118__DXB69_05765
ERR1913261.697668__1.697668	39491__A0A395ZGU6__ERS852417_01456
ERR1913261.697686__1.697686	1262922__R6E290__BN487_01114
ERR1913261.697746__1.697746	39491__C4ZHS4__EUR_24420
ERR1913261.698104__1.698104	46228__V8CH54__RUMLAC_00903
ERR1913261.698178__1.698178	823__A6LEF1__CF162_12695
ERR1913261.698562__1.698562	28117__R7JQW0__ALIPUT_01453
ERR1913261.698931__1.698931	1262933__R7PBM6__BN736_01468
ERR1913261.698952__1.698952	39488__A0A173UK14__araC_3
ERR1913261.699080__1.699080	160404__A0A1M6SQD9__B5G26_10420
ERR1913261.699174__1.699174	39491__A0A395V1R3__T1815_08181
ERR1913261.699216__1.699216	28117__B0MTY2__BHV66_06485
ERR1913261.699337__1.699337	39491__A0A396FP46__cobD_2
ERR1913261.699387__1.699387	1099853__U5CKV1__NSB1T_12505
ERR1913261.699538__1.699538	1262922__R6F3E6__BN487_01915
ERR1913261.699552__1.699552	458033__GCA_001482755.1_02203
ERR1913261.699616__1.699616	1262922__R6DZK5__BN487_00713
ERR1913261.699648__1.699648	2108523__A0A2P2FD12__LAWASA_3965
ERR1913261.699726__1.699726	46228__V8BPQ7__HMPREF1202_02326
ERR1913261.699747__1.699747	823__A0A395YRW4__DD466_15895
ERR1913261.699785__1.699785	1263000__R5EUM2__BN466_01747
ERR1913261.699900__1.699900	39491__A0A396FNY7__LD38_16155
ERR1913261.699903__1.699903	39485__A0A175A2T1__EUBELI_02034
ERR1913261.700090__1.700090	46228__V8C484__HMPREF1202_01707
ERR1913261.700099__1.700099	39492__A0A174ZP27__EUBSIR_00033
ERR1913261.700214__1.700214	1262922__R6EE49__BN487_01193
ERR1913261.700481__1.700481	1261__D3MR67__SAMN05660467_01650
ERR1913261.700611__1.700611	1263000__R5EKR4__BN466_01609
ERR1913261.700877__1.700877	328814__GCA_004558275.1_00061
ERR1913261.700982__1.700982	39491__D4JMW8__ERS852497_01971
ERR1913261.701093__1.701093	1262933__R7PBM6__BN736_01468
ERR1913261.701364__1.701364	1150298__A0A174KW35__cbbX
ERR1913261.701342__1.701342	1262933__R7PAN2__BN736_01662
ERR1913261.701540__1.701540	28117__R7JN92__BHV66_00550
ERR1913261.701613__1.701613	39491__A0A395V5L2__ERE_28270
ERR1913261.701683__1.701683	1262922__R6EXS9__BN487_01090
ERR1913261.701686__1.701686	39491__A0A395ZEN3__DXD95_12655
ERR1913261.701730__1.701730	1262933__R7PCN4__BN736_01780
ERR1913261.701987__1.701987	1263000__R5EC87__BN466_00713
ERR1913261.702290__1.702290	357276__I9QBT7__BSEG_03340
ERR1913261.702449__1.702449	821__A0A174WBC9__ERS852556_03145
ERR1913261.702733__1.702733	1263000__R5EI35__BN466_01649
ERR1913261.702837__1.702837	2137880__A0A316NNA8__DBY21_07440
ERR1913261.702868__1.702868	39491__A0A174A751__DXB69_15525
ERR1913261.702875__1.702875	1263000__R5ESM1__BN466_01440
ERR1913261.703708__1.703708	1150298__A0A174GJF6__bglX_2
ERR1913261.704199__1.704199	1262922__R6E682__BN487_01726
ERR1913261.704454__1.704454	338188__A0A174ETX3__ERS852397_01955
ERR1913261.704639__1.704639	823__D7IT19__DHP27_03495
ERR1913261.704815__1.704815	1150298__R7JRJ7__ERS852406_01438
ERR1913261.704942__1.704942	328814__GCA_004558275.1_00035
ERR1913261.705249__1.705249	1262933__R7PCS3__BN736_01852
ERR1913261.705461__1.705461	28117__B0MUB4__BHV66_01895
ERR1913261.705569__1.705569	39491__C4ZC33__DXC13_11585
ERR1913261.705621__1.705621	328814__GCA_004558275.1_00088
ERR1913261.705808__1.705808	820__A0A174KKV6__DXC07_02635
ERR1913261.705876__1.705876	39485__C4Z028__ERS852492_00100
ERR1913261.705988__1.705988	39491__A0A174G6M3__DXD13_14470
ERR1913261.705958__1.705958	1262922__R6E5Q5__BN487_01326
ERR1913261.706029__1.706029	39485__C4Z028__ERS852492_00100
ERR1913261.706082__1.706082	39491__A0A396FJJ9__DXB76_11995
ERR1913261.706387__1.706387	823__A0A355XFH7__ERS852513_00769
ERR1913261.706407__1.706407	418240__A0A173WVP8__acm
ERR1913261.706664__1.706664	1262922__R6DWT1__BN487_00269
ERR1913261.706872__1.706872	168384__C6LDX8__BRYFOR_06827
ERR1913261.707038__1.707038	1262922__R6E2E4__BN487_00734
ERR1913261.707089__1.707089	1150298__R7JUS7__ytlR
ERR1913261.707114__1.707114	160404__A0A1M6S3C5__SAMN02745138_01651
ERR1913261.707164__1.707164	1965576__A0A1Y4LQE5__B5F19_01670
ERR1913261.707551__1.707551	46228__V8BY98__RUMLAC_00452
ERR1913261.707468__1.707468	487174__K0X2Q8__DDY40_04590
ERR1913261.707679__1.707679	1262922__R6E4G3__BN487_01085
ERR1913261.707683__1.707683	39491__A0A395ZBQ4__cph2_2
ERR1913261.707771__1.707771	1262933__R7PEZ3__BN736_00729
ERR1913261.707789__1.707789	39491__A0A395ZM93__DXD13_03490
ERR1913261.707983__1.707983	1262922__R6EF96__BN487_01418
ERR1913261.707993__1.707993	39491__A0A395ZF49__DXB69_05290
ERR1913261.708025__1.708025	823__A0A395YRW4__DD466_15895
ERR1913261.708140__1.708140	39491__C4ZF05__vpr
ERR1913261.708241__1.708241	39491__D4JMW8__ERS852497_01971
ERR1913261.708335__1.708335	2108523__A0A2P2FCI8__LAWASA_3772
ERR1913261.708260__1.708260	1160721__W0U309__BHW50_02320
ERR1913261.708394__1.708394	39491__A0A173TFQ1__rsmF
ERR1913261.708580__1.708580	28117__B0MSS1__ALIPUT_00273
ERR1913261.708739__1.708739	28117__B0MTI4__ALIPUT_00084
ERR1913261.708750__1.708750	44742__A0A0X8JKR9__AXF13_10335
ERR1913261.708793__1.708793	39491__A0A396FS17__envC
ERR1913261.708860__1.708860	1262922__R6ECP0__BN487_01268
ERR1913261.708976__1.708976	28117__B0MY36__BHV66_05185
ERR1913261.709366__1.709366	160404__R7B9D0__SAMN02745138_00296
ERR1913261.709291__1.709291	28117__B0MXG8__ALIPUT_01814
ERR1913261.709318__1.709318	1262933__R7P8L6__BN736_01776
ERR1913261.709624__1.709624	2108523__A0A2P2FCT7__LAWASA_3851
ERR1913261.709799__1.709799	39485__A0A174YMI9__cph2_5
ERR1913261.709870__1.709870	46503__R6Y2Q2__DCY29_15375
ERR1913261.709961__1.709961	39491__A0A395UVM9__DXB76_04540
ERR1913261.710002__1.710002	1262922__R6E5H3__BN487_01250
ERR1913261.710370__1.710370	1965537__A0A1Y4WQ40__B5E42_02845
ERR1913261.710366__1.710366	1965588__A0A1Y4HAA4__B5F36_01610
ERR1913261.710472__1.710472	106588__A6P303__BACCAP_04887
ERR1913261.710534__1.710534	39496__A5Z5I2__EUBVEN_00963
ERR1913261.710543__1.710543	2108523__A0A2P2FCH9__LAWASA_3756
ERR1913261.710567__1.710567	28117__B0MUR5__BHV66_03900
ERR1913261.710765__1.710765	1262933__R7PA35__BN736_00496
ERR1913261.711112__1.711112	39491__C4Z8Y4__ERS852417_00909
ERR1913261.711466__1.711466	1252__K0DC08__C270_07520
ERR1913261.711518__1.711518	39491__A0A396FM36__DXB99_00820
ERR1913261.711550__1.711550	1262922__R6E6U3__BN487_00260
ERR1913261.711530__1.711530	1262933__R7PA55__BN736_01698
ERR1913261.711644__1.711644	360807__A0A0M6X184__ERS852392_03203
ERR1913261.711618__1.711618	1262933__R7PAZ2__BN736_00114
ERR1913261.711797__1.711797	1150298__A0A174SLE6__mlc_1
ERR1913261.711878__1.711878	360807__A0A173R6V5__ROSEINA2194_00471
ERR1913261.711932__1.711932	853__A0A173XRA8__CGS56_09290
ERR1913261.711974__1.711974	853__A8SCP3__C4N26_07960
ERR1913261.711948__1.711948	2033405__A0A2L2WP67__PvtlMGM1_1949
ERR1913261.712171__1.712171	1262922__R6DYA9__BN487_00508
ERR1913261.712453__1.712453	28117__B0MY41__BHV66_05165
ERR1913261.712383__1.712383	1262922__R6EXS9__BN487_01090
ERR1913261.712487__1.712487	821__A0A173XDD3__DXB82_17180
ERR1913261.712754__1.712754	1550024__A0A0D8J3J4__TQ39_01275
ERR1913261.713127__1.713127	1262889__R7HC51__BN634_01378
ERR1913261.713207__1.713207	39491__A0A395UWA3__DXB69_11805
ERR1913261.713322__1.713322	2108523__A0A2P2FCI8__LAWASA_3772
ERR1913261.714043__1.714043	1150298__R7JTW4__yvhJ
ERR1913261.714175__1.714175	446660__GCA_003428235.1_01223
ERR1913261.714470__1.714470	29361__B6FKH5__CLONEX_00621
ERR1913261.714606__1.714606	1465754__A0A1H3WW40__SAMN05444145_10110
ERR1913261.714735__1.714735	239935__A0A139TPD8__CXU12_11015
ERR1913261.715038__1.715038	39491__A0A395UYA6__EUBREC_0408
ERR1913261.715050__1.715050	39491__A0A2U2EK03__ERE_28780
ERR1913261.715064__1.715064	1263000__R5EC87__BN466_00713
ERR1913261.715189__1.715189	39491__C4ZAT2__ERE_28440
ERR1913261.715592__1.715592	28118__R6F5T0__Odosp_2509
ERR1913261.715596__1.715596	1262933__R7PBW4__BN736_01558
ERR1913261.715936__1.715936	28117__B0N007__BHV66_10275
ERR1913261.715955__1.715955	39491__A0A396FPV7__ERS852580_01177
ERR1913261.716009__1.716009	1261__D3MR67__SAMN05660467_01650
ERR1913261.716021__1.716021	39491__A0A396FEV5__EUR_24750
ERR1913261.716027__1.716027	39491__R6UMS6__DXD13_07035
ERR1913261.715969__1.715969	46503__R6X0L4__DXB61_05325
ERR1913261.716205__1.716205	46503__R6WTW1__NCTC13052_03440
ERR1913261.716366__1.716366	39485__C4Z6I9__ERS852492_02038
ERR1913261.716528__1.716528	823__A0A078SYK6__DXB14_02485
ERR1913261.716624__1.716624	28117__B0MST6__BHV66_06090
ERR1913261.716907__1.716907	28117__B0MXL6__ALIPUT_01851
ERR1913261.716941__1.716941	39491__C4ZF05__vpr
ERR1913261.717026__1.717026	2137880__A0A316NXH8__DBY21_03565
ERR1913261.717206__1.717206	328814__GCA_004558275.1_00035
ERR1913261.717183__1.717183	1099853__U5CDR1__NSB1T_05400
ERR1913261.717170__1.717170	39491__A0A396FMF1__EUR_28700
ERR1913261.717307__1.717307	1965537__A0A1Y4WEH0__B5E42_13260
ERR1913261.717391__1.717391	1263000__R5EGP9__BN466_01419
ERR1913261.717400__1.717400	1262922__R6EIW5__BN487_01923
ERR1913261.717703__1.717703	28117__B0MWP2__ALIPUT_01468
ERR1913261.717755__1.717755	1262922__R6E4S1__BN487_00090
ERR1913261.717912__1.717912	39491__A0A395ZG74__licR
ERR1913261.717950__1.717950	214856__I3YMN6__Alfi_1938
ERR1913261.718083__1.718083	160404__R6PQP2__B5G26_02765
ERR1913261.718182__1.718182	28117__B0MU53__ALIPUT_00569
ERR1913261.718203__1.718203	357276__I9QBT7__BSEG_03340
ERR1913261.718484__1.718484	39491__A0A396FKI0__DXC13_11560
ERR1913261.718551__1.718551	1262922__R6E3T0__BN487_00967
ERR1913261.718845__1.718845	28116__F7L4X5__M089_2857
ERR1913261.718912__1.718912	649756__A0A174F5S4__ecfA2
ERR1913261.719010__1.719010	39491__A0A395UYL9__ERS852417_00624
ERR1913261.719066__1.719066	1465754__A0A1H4ALT3__SAMN05444145_10352
ERR1913261.719196__1.719196	39491__A0A395ZHH5__ERS852497_02076
ERR1913261.719197__1.719197	1262922__R6ETB6__BN487_00396
ERR1913261.719199__1.719199	46503__R6Y1Q8__DXB85_01295
ERR1913261.719164__1.719164	301302__A0A173TNM6__luxQ
ERR1913261.719545__1.719545	40518__R5DW64__RBL236_01394
ERR1913261.719635__1.719635	1965629__A0A1Y4BQX5__B5F88_15445
ERR1913261.719785__1.719785	1150298__R7JL35__ERS852498_02809
ERR1913261.719991__1.719991	28117__B0MXL6__ALIPUT_01851
ERR1913261.720083__1.720083	823__A6LH14__B5F32_11640
ERR1913261.720228__1.720228	39491__A0A396FUZ3__phoR_1
ERR1913261.720335__1.720335	853__A0A2A7B9I6__DW855_13690
ERR1913261.720654__1.720654	1262922__R6EAM2__BN487_00919
ERR1913261.720694__1.720694	823__A0A355XKQ8__DHP27_04010
ERR1913261.720766__1.720766	1262933__R7PAB6__BN736_01773
ERR1913261.720774__1.720774	28117__B0MWX3__BHV66_03010
ERR1913261.720829__1.720829	322505__xre_3
ERR1913261.720910__1.720910	823__A0A355XGQ3__prmC
ERR1913261.720933__1.720933	39491__A0A396FIU1__DXC13_07905
ERR1913261.720883__1.720883	1262886__R6QI91__BN563_00800
ERR1913261.720975__1.720975	2108523__A0A2P2FC97__LAWASA_3643
ERR1913261.721028__1.721028	1150298__A0A173ZPH3__rnhA
ERR1913261.721098__1.721098	39491__A0A396FJJ9__DXB76_11995
ERR1913261.721203__1.721203	1262922__R6EE49__BN487_01193
ERR1913261.721213__1.721213	39491__A0A396FIU1__DXC13_07905
ERR1913261.721413__1.721413	487174__R5F3K6__DDY40_04230
ERR1913261.721592__1.721592	2137880__A0A316P262__DBY21_00685
ERR1913261.721653__1.721653	39491__A0A3E4E7C5__DXB69_03255
ERR1913261.721781__1.721781	39491__A0A173TAZ5__DXB99_09520
ERR1913261.721860__1.721860	39485__A0A174Z851__cdaR_1
ERR1913261.721869__1.721869	853__A0A173TAZ8__DWZ46_14590
ERR1913261.721925__1.721925	487174__K0XL60__DDY40_11760
ERR1913261.721962__1.721962	214856__I3YMN6__Alfi_1938
ERR1913261.722065__1.722065	487174__K0X524__DDY40_09270
ERR1913261.722066__1.722066	39496__A5ZA25__EUBVEN_02572
ERR1913261.722109__1.722109	1262922__R6ETB6__BN487_00396
ERR1913261.722222__1.722222	40518__R5E4X1__DXD93_05270
ERR1913261.722304__1.722304	39485__A0A174YMM2__ERS852490_01019
ERR1913261.722568__1.722568	39491__A0A395ZHV7__ykvU
ERR1913261.722644__1.722644	1262922__R6ECX9__BN487_01332
ERR1913261.722922__1.722922	1262922__R6E9U7__BN487_01899
ERR1913261.722924__1.722924	39491__A0A395V464__EUBREC_1509
ERR1913261.723128__1.723128	823__A0A069SAX6__ERS852380_00710
ERR1913261.723156__1.723156	239935__A0A2N8I9I3__CXU19_12035
ERR1913261.723286__1.723286	1965537__A0A1Y4WKU8__B5E42_05475
ERR1913261.723689__1.723689	357276__B6VVS0__HMPREF1064_03951
ERR1913261.723779__1.723779	1262933__R7PC82__BN736_01679
ERR1913261.723978__1.723978	853__A0A174BA00__DW905_01145
ERR1913261.724050__1.724050	1262922__R6EXS9__BN487_01090
ERR1913261.724008__1.724008	823__D7IRG1__NCTC11152_02276
ERR1913261.724013__1.724013	39491__A0A395ZF49__DXB69_05290
ERR1913261.724380__1.724380	1262922__R6E5N1__BN487_01313
ERR1913261.724424__1.724424	823__A0A355XJ56__DDY96_07685
ERR1913261.724457__1.724457	39491__A0A396FQV7__T1815_10751
ERR1913261.724565__1.724565	39491__A0A395UZ89__DXB72_12805
ERR1913261.725005__1.725005	1262922__R6E9U7__BN487_01899
ERR1913261.725122__1.725122	1501391__GCA_000786575.1_00074
ERR1913261.725206__1.725206	28117__B0MWC6__BHV66_00965
ERR1913261.725233__1.725233	1965576__A0A1Y4LUS3__B5F19_01085
ERR1913261.725247__1.725247	1099853__U5CA60__NSB1T_01535
ERR1913261.725522__1.725522	1160721__R6SW83__BHW50_08845
ERR1913261.725728__1.725728	39491__A0A396FRE7__EUR_27520
ERR1913261.725751__1.725751	328814__GCA_004558275.1_00007
ERR1913261.726069__1.726069	418240__A0A173Y587__ERS852523_00316
ERR1913261.726663__1.726663	328814__GCA_004558275.1_00359
ERR1913261.726888__1.726888	853__A0A174C5M1__CGS58_04460
ERR1913261.726894__1.726894	39485__A0A174YMD0__EUBELI_01093
ERR1913261.727035__1.727035	39491__C4ZCH3__EUR_17560
ERR1913261.727147__1.727147	823__K6AMD2__B5F32_04565
ERR1913261.727157__1.727157	301301__A0A395VC12__RHOM_04160
ERR1913261.727396__1.727396	1262922__R6E4W9__BN487_01554
ERR1913261.727695__1.727695	28117__B0MTS2__ALIPUT_00159
ERR1913261.727716__1.727716	214856__A0A174BE12__ERS852559_01398
ERR1913261.728105__1.728105	28117__B0MTH2__ALIPUT_00061
ERR1913261.728152__1.728152	28117__B0MY40__BHV66_05170
ERR1913261.728157__1.728157	2108523__A0A2P2FCF2__LAWASA_3737
ERR1913261.728199__1.728199	28117__B0MWP2__ALIPUT_01468
ERR1913261.728255__1.728255	1262922__R6E5N1__BN487_01313
ERR1913261.728264__1.728264	28118__R6FCU5__B5F99_14335
ERR1913261.728351__1.728351	39491__D4JMW8__ERS852497_01971
ERR1913261.728722__1.728722	39491__C4ZCH3__EUR_17560
ERR1913261.728817__1.728817	46228__B5CP91__RUMLAC_01282
ERR1913261.728834__1.728834	418240__A0A174DPG4__ERS852523_03206
ERR1913261.728906__1.728906	39491__A0A395V464__EUBREC_1509
ERR1913261.728914__1.728914	1262922__R6EXS9__BN487_01090
ERR1913261.728975__1.728975	487174__K0X2Q8__DDY40_04590
ERR1913261.729384__1.729384	39491__C4Z9K7__EUBREC_0050
ERR1913261.729391__1.729391	1262922__R6EBN7__BN487_01095
ERR1913261.729530__1.729530	823__A0A073I748__M096_3057
ERR1913261.729631__1.729631	160404__R6QS78__SAMN02745138_00696
ERR1913261.729657__1.729657	28117__B0MXI8__BHV66_08505
ERR1913261.729689__1.729689	1263000__R5EUM2__BN466_01747
ERR1913261.729753__1.729753	544645__A0A1U7LAX8__DXC42_11245
ERR1913261.730062__1.730062	360807__A0A0M6WIS4__ROSEINA2194_02000
ERR1913261.730209__1.730209	853__A0A2A7B1Y7__C7K05_11930
ERR1913261.730294__1.730294	39491__A0A395ZBW8__DXC13_08840
ERR1913261.730545__1.730545	821__A0A395VMG0__DXC44_18080
ERR1913261.730770__1.730770	1099853__G9S6Y8__NSB1T_06345
ERR1913261.730832__1.730832	39491__C4Z8S1__DXB76_06750
ERR1913261.730983__1.730983	46503__R6Y4M7__HMPREF1078_03269
ERR1913261.731005__1.731005	1150298__A0A174HHW8__yhbU_1
ERR1913261.731200__1.731200	1262922__R6EAM2__BN487_00919
ERR1913261.731352__1.731352	301301__A0A395V700__RHOM_03405
ERR1913261.731434__1.731434	39488__A0A374NJV6__EUBHAL_02710
ERR1913261.731568__1.731568	487174__K0X694__DIT83_09060
ERR1913261.731574__1.731574	823__A6LB62__B5F32_04550
ERR1913261.731735__1.731735	39491__A0A395V2Y7__DXB72_13970
ERR1913261.731805__1.731805	1262922__R6EF96__BN487_01418
ERR1913261.731808__1.731808	39488__A0A173Z3L4__DXD91_07055
ERR1913261.731937__1.731937	39491__D4JMW8__ERS852497_01971
ERR1913261.732003__1.732003	1262933__R7PBM6__BN736_01468
ERR1913261.732037__1.732037	28117__B0MXU0__BHV66_07550
ERR1913261.732049__1.732049	39491__A0A173VD97__DXB69_07350
ERR1913261.732111__1.732111	46503__R6Y2Q2__DCY29_15375
ERR1913261.732115__1.732115	28117__B0MXU0__BHV66_07550
ERR1913261.732184__1.732184	1263000__R5ESM1__BN466_01440
ERR1913261.732324__1.732324	39491__A0A396FJJ9__DXB76_11995
ERR1913261.732529__1.732529	823__A0A395YZ10__NCTC11152_02955
ERR1913261.732651__1.732651	1262922__R6DZZ7__BN487_00771
ERR1913261.732718__1.732718	328814__GCA_004558275.1_00066
ERR1913261.732690__1.732690	1262933__R7PB79__BN736_00852
ERR1913261.732902__1.732902	1262933__R7PDU8__BN736_00041
ERR1913261.732876__1.732876	2108523__A0A2P2FCY3__LAWASA_3926
ERR1913261.732977__1.732977	821__D4VC51__M099_1508
ERR1913261.732983__1.732983	214856__A0A174CRY5__ERS852559_01060
ERR1913261.733036__1.733036	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913261.733205__1.733205	39491__A0A395V0H3__ERS852417_01192
ERR1913261.733239__1.733239	1262922__R6EAM2__BN487_00919
ERR1913261.733309__1.733309	823__D7IRG1__NCTC11152_02276
ERR1913261.733328__1.733328	39491__C4ZGN3__DXB99_14175
ERR1913261.733357__1.733357	1262922__R6E8Y1__BN487_01778
ERR1913261.733475__1.733475	1262922__R6E290__BN487_01114
ERR1913261.733481__1.733481	328814__GCA_004558275.1_00035
ERR1913261.733621__1.733621	1262933__R7PCN5__BN736_00717
ERR1913261.733671__1.733671	853__A0A2J4JL53__CRH10_10795
ERR1913261.734007__1.734007	39491__A0A396FJJ9__DXB76_11995
ERR1913261.734014__1.734014	39491__D6E408__EUBREC_1466
ERR1913261.734025__1.734025	1501391__GCA_000786575.1_00018
ERR1913261.734052__1.734052	39491__A0A395UWA3__DXB69_11805
ERR1913261.734124__1.734124	28117__B0MU76__ALIPUT_00202
ERR1913261.734211__1.734211	1150298__A0A174S2H3__spoIIQ
ERR1913261.734180__1.734180	1263000__R5EKR4__BN466_01609
ERR1913261.734230__1.734230	10680__GeneID:1261099
ERR1913261.734415__1.734415	1263000__R5F0H8__BN466_00254
ERR1913261.734450__1.734450	28117__B0MT86__BHV66_02450
ERR1913261.734591__1.734591	1150298__A0A174HEB6__ypdC_2
ERR1913261.734800__1.734800	1262743__R5C054__BN727_01980
ERR1913261.734896__1.734896	1262933__R7PCY6__BN736_01858
ERR1913261.734998__1.734998	33039__A0A173VTT4__frdB_1
ERR1913261.735355__1.735355	823__D7ILK2__ERS852380_00031
ERR1913261.735476__1.735476	552398__F4X918__HMPREF0866_00864
ERR1913261.735518__1.735518	360807__A0A173WJE3__mcp4_4
ERR1913261.735551__1.735551	28117__B0MTS2__ALIPUT_00159
ERR1913261.735559__1.735559	1263000__R5EBJ1__BN466_00540
ERR1913261.735694__1.735694	487174__K0X2A4__DDY40_04095
ERR1913261.735992__1.735992	821__A0A395VMG0__DXC44_18080
ERR1913261.735994__1.735994	39491__A0A396FP46__cobD_2
ERR1913261.736029__1.736029	39491__A0A395ZBW8__DXC13_08840
ERR1913261.736119__1.736119	821__A0A0P0M2J4__DXD46_10295
ERR1913261.736227__1.736227	39491__D6DXZ8__DXB72_15035
ERR1913261.736231__1.736231	28117__B0MSR5__BHV66_02095
ERR1913261.736323__1.736323	2108523__A0A2P2FCW6__LAWASA_3918
ERR1913261.736339__1.736339	1262933__R7PAM5__BN736_01124
ERR1913261.736350__1.736350	39491__A0A395UZ82__EUR_31520
ERR1913261.736533__1.736533	1262922__R6E5W2__BN487_01361
ERR1913261.736889__1.736889	745368__A0A1T4Y9Q7__SAMN02745178_02874
ERR1913261.736885__1.736885	39491__A0A173RA59__EUR_24800
ERR1913261.736926__1.736926	1262933__R7PBA5__BN736_01379
ERR1913261.736964__1.736964	28117__B0MXR4__BHV66_08025
ERR1913261.737096__1.737096	1262922__R6DXH2__BN487_00387
ERR1913261.737200__1.737200	39491__A0A395UZ89__DXB72_12805
ERR1913261.737354__1.737354	1501391__GCA_000786575.1_00004
ERR1913261.737427__1.737427	1263000__R5EGY6__BN466_00973
ERR1913261.737428__1.737428	384639__GCA_003096855.1_00253
ERR1913261.737470__1.737470	28117__B0MTV3__BHV66_06405
ERR1913261.737689__1.737689	39491__A0A174LTW7__DXD13_08720
ERR1913261.737854__1.737854	1465754__A0A1H4CZN1__SAMN05444145_10583
ERR1913261.737868__1.737868	1965537__A0A1Y4WET0__B5E42_13755
ERR1913261.738042__1.738042	39491__A0A395UZZ5__htpG_1
ERR1913261.738110__1.738110	1262989__R6YRY7__BN815_00276
ERR1913261.738185__1.738185	39485__C4Z028__ERS852492_00100
ERR1913261.738532__1.738532	39491__A0A2U2EK03__ERE_28780
ERR1913261.738634__1.738634	1262933__R7PAS5__BN736_01896
ERR1913261.738763__1.738763	823__A0A174GGT1__queG
ERR1913261.738849__1.738849	1150298__R7JUS5__soxS_1
ERR1913261.739054__1.739054	28117__B0N007__BHV66_10275
ERR1913261.739065__1.739065	1262922__R6E0J0__BN487_00426
ERR1913261.739334__1.739334	39491__A0A174G6M3__DXD13_14470
ERR1913261.739368__1.739368	1262922__R6DYA9__BN487_00508
ERR1913261.739425__1.739425	329854__R5M1Z6__BACINT_04643
ERR1913261.739432__1.739432	823__D7IV95__DXC05_09565
ERR1913261.739455__1.739455	28116__A0A1G8H1M8__DXF98_11065
ERR1913261.739493__1.739493	28117__B0MWC6__BHV66_00965
ERR1913261.739552__1.739552	39491__A0A173VH71__ERS852497_01827
ERR1913261.739635__1.739635	39491__A0A395V464__EUBREC_1509
ERR1913261.740107__1.740107	39491__C4Z8S1__DXB76_06750
ERR1913261.740116__1.740116	40518__R5DW64__RBL236_01394
ERR1913261.740289__1.740289	853__C7H1R8__DW905_06675
ERR1913261.740362__1.740362	28117__B0MTS2__ALIPUT_00159
ERR1913261.740507__1.740507	1501391__GCA_000786575.1_00099
ERR1913261.740559__1.740559	1262922__R6E195__BN487_00989
ERR1913261.740593__1.740593	487174__R5F2W8__HMPREF9448_01730
ERR1913261.740669__1.740669	28117__B0MU76__ALIPUT_00202
ERR1913261.740672__1.740672	328814__GCA_004558275.1_00066
ERR1913261.740779__1.740779	823__A0A174PDQ0__DXC05_08200
ERR1913261.740801__1.740801	28117__R7JJM9__ALIPUT_00662
ERR1913261.740830__1.740830	1262889__R7H993__BN634_00107
ERR1913261.741094__1.741094	39491__A0A395ZEN3__DXD95_12655
ERR1913261.741060__1.741060	40518__R5DS17__RBATCC27255_00416
ERR1913261.741122__1.741122	39491__A0A395V6A3__DXB69_00505
ERR1913261.741269__1.741269	214856__E4MF20__Alfi_0697
ERR1913261.741279__1.741279	1262922__R6EXS9__BN487_01090
ERR1913261.741295__1.741295	1501391__GCA_000786575.1_00055
ERR1913261.741445__1.741445	1262922__R6E9U7__BN487_01899
ERR1913261.741556__1.741556	1262980__R5C0H7__BN814_00054
ERR1913261.741841__1.741841	556259__I0PYM3__BSGG_5385
ERR1913261.741851__1.741851	1262922__R6E5U1__BN487_01344
ERR1913261.741934__1.741934	487174__K0WV19__HMPREF9448_01820
ERR1913261.741982__1.741982	1262922__R6F3P6__BN487_01980
ERR1913261.742055__1.742055	39491__A0A396FEV5__EUR_24750
ERR1913261.742090__1.742090	487174__K0X1D9__HMPREF9448_00919
ERR1913261.742092__1.742092	160404__R6PN47__B5G26_10890
