ERR1913276.154__1.154	1262929__R6EXF7__BN691_00015
ERR1913276.593583__1.593583	214856__A0A174ZEW0__ERS852447_00985
ERR1913276.593592__1.593592	165179__A0A3E5E3D6__DXC61_05750
ERR1913276.593873__1.593873	239935__A0A2N8IYM5__CXT84_05130
ERR1913276.593972__1.593972	46228__B5CPF2__RUMLAC_01345
ERR1913276.594030__1.594030	360807__C0FYZ7__ERS852444_03522
ERR1913276.594277__1.594277	820__A0A139K5A6__DXB48_12175
ERR1913276.594304__1.594304	28117__B0MYW7__ALIPUT_02336
ERR1913276.594369__1.594369	818__A0A0P0F2P7__BT_1771
ERR1913276.594399__1.594399	821__R7P1Q7__M099_2990
ERR1913276.594401__1.594401	487174__R5EXS5__HMPREF9448_02541
ERR1913276.594443__1.594443	823__A0A173TMY6__M096_4753
ERR1913276.594436__1.594436	74426__groL
ERR1913276.594596__1.594596	39492__D4JUS6__accD5
ERR1913276.594610__1.594610	46228__V8BM45__DXD17_14355
ERR1913276.594713__1.594713	1965537__A0A1Y4WLK0__B5E42_08175
ERR1913276.594753__1.594753	1262924__R7HTA4__BN585_00391
ERR1913276.594853__1.594853	1262911__R6GT76__BN557_01150
ERR1913276.594929__1.594929	1628085__A0A3E2XRQ2__C7386_10552
ERR1913276.595600__1.595600	1262948__R7EDA7__BN671_00036
ERR1913276.595751__1.595751	28117__B0MU76__ALIPUT_00202
ERR1913276.595851__1.595851	28117__B0N028__BHV66_05935
ERR1913276.595859__1.595859	1262740__R7CUG5__BN666_01397
ERR1913276.596004__1.596004	239935__A0A2N8J2P6__ADH72_06730
ERR1913276.596145__1.596145	39496__A5Z5I2__EUBVEN_00963
ERR1913276.596402__1.596402	214856__A0A174FWM7__ERS852559_00590
ERR1913276.596610__1.596610	214856__A0A173ZZ16__umuC_2
ERR1913276.596629__1.596629	823__A6LBY1__ERS852380_00510
ERR1913276.596636__1.596636	116085__D4J546__DW747_07135
ERR1913276.596677__1.596677	28117__B0MTV0__BHV66_06395
ERR1913276.596825__1.596825	1680__A0A087DHN0__AL0462_1532
ERR1913276.596779__1.596779	820__A0A374MMF0__HMPREF1073_03811
ERR1913276.596877__1.596877	214856__A0A174A1J3__ERS852447_01000
ERR1913276.597090__1.597090	1262924__R7HKZ9__BN585_01304
ERR1913276.597110__1.597110	33039__A0A174Y8E4__suhB
ERR1913276.597424__1.597424	820__A0A139KA34__B5G17_05520
ERR1913276.597481__1.597481	820__A7V859__ERS852462_00341
ERR1913276.597636__1.597636	28117__B0MY82__BHV66_04755
ERR1913276.597663__1.597663	820__A0A374QGD2__ERS852421_02382
ERR1913276.597670__1.597670	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913276.597784__1.597784	165179__A0A3E5E5L1__DXB80_05980
ERR1913276.598142__1.598142	165179__A0A3E5DX15__DXC61_00345
ERR1913276.598257__1.598257	820__A0A3E4G826__C801_01612
ERR1913276.598306__1.598306	28117__B0MTV0__BHV66_06395
ERR1913276.598460__1.598460	239935__A0A2N8IU45__DEF40_02365
ERR1913276.598643__1.598643	28117__B0MXJ1__BHV66_08445
ERR1913276.598760__1.598760	214856__I3YPQ4__Alfi_2712
ERR1913276.598814__1.598814	74426__purL
ERR1913276.599089__1.599089	357276__A0A174L570__GV66_05720
ERR1913276.599213__1.599213	1550024__A0A3B9WJ68__TQ39_07150
ERR1913276.599379__1.599379	169435__A0A174UBC0__B5F55_11745
ERR1913276.599414__1.599414	39491__A0A396FRK0__ERS852417_00541
ERR1913276.599536__1.599536	239935__A0A2N8ITG2__Amuc_0335
ERR1913276.599605__1.599605	28117__B0MT73__ALIPUT_00412
ERR1913276.599653__1.599653	214856__A0A175A6T5__ERS852447_02658
ERR1913276.599661__1.599661	28117__B0MXX2__ALIPUT_01984
ERR1913276.599765__1.599765	357276__A0A076J726__IY41_15030
ERR1913276.599875__1.599875	1150298__A0A174I6Y0__ERS852498_00576
ERR1913276.600035__1.600035	820__A0A3E5BMG9__DXD40_05130
ERR1913276.600094__1.600094	28117__B0MY36__BHV66_05185
ERR1913276.600264__1.600264	823__D7IT19__DHP27_03495
ERR1913276.600273__1.600273	1550024__G9RPS1__TQ39_05000
ERR1913276.600575__1.600575	28117__B0MXJ1__BHV66_08445
ERR1913276.600614__1.600614	39491__A0A395UZ89__DXB72_12805
ERR1913276.600868__1.600868	28116__A0A1Y4Q112__evgS_13
ERR1913276.601036__1.601036	291645__I8WZT8__HMPREF1068_04327
ERR1913276.601119__1.601119	820__A0A3E4WA06__ERS852554_03404
ERR1913276.601124__1.601124	28117__B0MY41__BHV66_05165
ERR1913276.601619__1.601619	39492__D4JT68__spoIIIE
ERR1913276.601624__1.601624	40518__R5DU92__DXD93_03170
ERR1913276.601794__1.601794	301302__A0A173TYC8__M72_00761
ERR1913276.601798__1.601798	28117__B0MUB3__ALIPUT_00727
ERR1913276.601828__1.601828	1262929__R6F7V9__BN691_01817
ERR1913276.601917__1.601917	28117__B0MTV0__BHV66_06395
ERR1913276.602070__1.602070	28117__B0MTH2__ALIPUT_00061
ERR1913276.602102__1.602102	28117__B0MU76__ALIPUT_00202
ERR1913276.602450__1.602450	853__C7H7F8__yccM_1
ERR1913276.602475__1.602475	626940__E8LEM1__BHW43_06255
ERR1913276.602523__1.602523	28117__R7JIJ8__BHV66_01635
ERR1913276.602839__1.602839	387090__S0F7Y3__BACCOPRO_02028
ERR1913276.603040__1.603040	1633__C2EV54__HMPREF0549_1340
ERR1913276.603221__1.603221	1680__A0A173W5Z2__DXC53_01290
ERR1913276.603379__1.603379	39491__A0A395V464__EUBREC_1509
ERR1913276.603380__1.603380	28117__B0MTV5__BHV66_06415
ERR1913276.603403__1.603403	214856__R5UN64__ERS852447_02669
ERR1913276.603653__1.603653	46228__V8C484__HMPREF1202_01707
ERR1913276.603668__1.603668	853__A0A2A7B1Y7__C7K05_11930
ERR1913276.603875__1.603875	40518__R5DVL2__penA
ERR1913276.603949__1.603949	626940__E8LFE6__DCQ00_00370
ERR1913276.603989__1.603989	1090133__GeneID:14008330
ERR1913276.603992__1.603992	239935__A0A139TVJ4__CXT86_02020
ERR1913276.604357__1.604357	28117__B0MXW9__ALIPUT_01981
ERR1913276.604898__1.604898	28117__B0MTI4__ALIPUT_00084
ERR1913276.605161__1.605161	1263006__R6LRF6__BN515_00540
ERR1913276.605172__1.605172	28117__B0MXG8__ALIPUT_01814
ERR1913276.605266__1.605266	1160721__W0U3Q4__BHW50_08110
ERR1913276.605322__1.605322	291645__I8WZT8__HMPREF1068_04327
ERR1913276.605336__1.605336	357276__I9QPN0__B5F95_09195
ERR1913276.605438__1.605438	820__A0A396EUU8__luxQ_3
ERR1913276.605486__1.605486	626940__E8LCM5__BHW43_00395
ERR1913276.605609__1.605609	818__A0A0P0FBI1__NCTC10582_00163
ERR1913276.605619__1.605619	239935__A0A139TPU7__CXT91_06575
ERR1913276.605674__1.605674	1680__A0A174BEE7__BSTER_1311
ERR1913276.605804__1.605804	821__A0A0P0LH09__ERS852457_03390
ERR1913276.605983__1.605983	39492__D4JTF2__mutS2
ERR1913276.606094__1.606094	214856__A0A175A6T5__ERS852447_02658
ERR1913276.606123__1.606123	1262741__R6CFZ5__BN697_02112
ERR1913276.606344__1.606344	1633__C2EVZ5__HMPREF0549_1631
ERR1913276.606604__1.606604	1150298__A0A174MFX3__ERS852498_01752
ERR1913276.606651__1.606651	1550024__A0A0D8IWE6__ASJ35_08175
ERR1913276.606944__1.606944	820__A0A173YYG4__evgS_3
ERR1913276.607085__1.607085	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913276.607157__1.607157	1262924__R7HKX0__BN585_01279
ERR1913276.607224__1.607224	820__A0A139KIL9__DXC68_05945
ERR1913276.607713__1.607713	40518__R5E1J7__RBL236_02062
ERR1913276.607860__1.607860	820__A0A139KHX1__HMPREF2141_00289
ERR1913276.607993__1.607993	28117__B0MTV0__BHV66_06395
ERR1913276.608010__1.608010	301302__R5UNJ6__M72_26701
ERR1913276.608062__1.608062	214856__A0A174G1M7__ERS852559_00594
ERR1913276.608079__1.608079	39491__A0A396FTE5__ERS852417_01346
ERR1913276.608127__1.608127	1965560__A0A1Y4RJ84__B5E82_10970
ERR1913276.608214__1.608214	78345__A0A087BJK4__SAMN02745589_1497
ERR1913276.608603__1.608603	39492__B0MPL6__EUBSIR_01779
ERR1913276.608708__1.608708	28116__A0A1Y4Q363__Bovatus_00608
ERR1913276.608884__1.608884	28117__B0MY41__BHV66_05165
ERR1913276.609202__1.609202	239935__A0A2N8IU45__DEF40_02365
ERR1913276.609217__1.609217	39491__A0A395ZGU6__ERS852417_01456
ERR1913276.609420__1.609420	28117__B0MXR1__BHV66_08035
ERR1913276.609534__1.609534	28117__B0MWH8__BHV66_01330
ERR1913276.609827__1.609827	357276__I8WBQ9__HMPREF1065_03212
ERR1913276.610281__1.610281	573__A0A1D3U280__BN426_0261
ERR1913276.610353__1.610353	1351__X5NU42__S9S_00983
ERR1913276.610506__1.610506	46228__V8BLW9__DXD17_14090
ERR1913276.610578__1.610578	28117__B0MYW7__ALIPUT_02336
ERR1913276.610653__1.610653	1680__A0A2R4G1K8__BBMN23_0315
ERR1913276.610761__1.610761	357276__A0A076IN30__DXD47_09350
ERR1913276.610743__1.610743	33039__A0A174XLA4__araR
ERR1913276.610924__1.610924	39485__C4Z028__ERS852492_00100
ERR1913276.611159__1.611159	28117__B0N007__BHV66_10275
ERR1913276.611179__1.611179	360807__A0A1Q6T5B1__ERS852444_03147
ERR1913276.611231__1.611231	74426__asnS
ERR1913276.611325__1.611325	39485__R5ZNG4__yerB
ERR1913276.611367__1.611367	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913276.611478__1.611478	818__A0A1H7S810__BJP75_003270
ERR1913276.611483__1.611483	28116__A0A1Y4Q112__evgS_13
ERR1913276.611456__1.611456	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913276.611591__1.611591	214856__A0A174ZEW0__ERS852447_00985
ERR1913276.611660__1.611660	165179__A0A3E5E189__PREVCOP_06699
ERR1913276.611667__1.611667	371601__D7K8P3__SAMN05216250_10395
ERR1913276.611753__1.611753	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913276.611723__1.611723	74426__nifJ
ERR1913276.611804__1.611804	1150298__R7JSS6__ERS852535_01362
ERR1913276.611823__1.611823	360807__A0A1Q6T5B1__ERS852444_03147
ERR1913276.611841__1.611841	214856__A0A174ZEW0__ERS852447_00985
ERR1913276.611917__1.611917	165179__A0A3E5EB26__CFT61_02800
ERR1913276.611891__1.611891	28117__B0MT73__ALIPUT_00412
ERR1913276.611898__1.611898	328814__GCA_004558275.1_01000
ERR1913276.612208__1.612208	246787__A0A3D6AWM8__BACCELL_01963
ERR1913276.612266__1.612266	360807__C0FSM3__ROSEINA2194_01739
ERR1913276.612389__1.612389	33039__D4M1A4__ERS852502_00742
ERR1913276.612588__1.612588	1965576__A0A1Y4LNM3__B5F19_03090
ERR1913276.612570__1.612570	39492__D4JTG7__EUBSIR_00572
ERR1913276.612810__1.612810	357276__A0A076J726__IY41_15030
ERR1913276.612955__1.612955	820__A0A173YYG4__evgS_3
ERR1913276.613009__1.613009	1393034__GCA_001552785.1_00503
ERR1913276.613052__1.613052	818__A0A1H7S810__BJP75_003270
ERR1913276.613111__1.613111	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913276.613179__1.613179	46228__V8CAH7__HMPREF1202_00795
ERR1913276.613261__1.613261	1680__A0A173Y6N7__yhaH
ERR1913276.613244__1.613244	818__A0A174L0X1__NCTC10582_00394
ERR1913276.613342__1.613342	1262929__R6FT48__BN691_02038
ERR1913276.613530__1.613530	626932__G5H9W8__HMPREF9450_01433
ERR1913276.613534__1.613534	360807__A0A1Q6T6D8__yehT_5
ERR1913276.613538__1.613538	1472761__GCA_002159295.1_00660
ERR1913276.613719__1.613719	239935__A0A139TPG3__CXT86_08810
ERR1913276.613732__1.613732	1262911__R6GZX7__BN557_00838
ERR1913276.613897__1.613897	28117__B0MTS2__ALIPUT_00159
ERR1913276.613973__1.613973	818__Q8A112__BT_3859
ERR1913276.614024__1.614024	40520__A5ZRI6__DXC87_12175
ERR1913276.614143__1.614143	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913276.614245__1.614245	1262740__R7CZ43__BN666_02089
ERR1913276.614478__1.614478	820__A0A3E4G3J9__ERS852459_02265
ERR1913276.614561__1.614561	1262537__GeneID:16385341
ERR1913276.614813__1.614813	214856__A0A174A257__ERS852447_01007
ERR1913276.614936__1.614936	818__A0A0N7I9H8__ERS852461_00040
ERR1913276.615095__1.615095	39492__D4JWM0__atpF
ERR1913276.615083__1.615083	745368__A0A1T4X705__SAMN02745178_01472
ERR1913276.615185__1.615185	1262911__R6H2J2__BN557_01228
ERR1913276.615408__1.615408	239935__R7E524__CXT91_06180
ERR1913276.615440__1.615440	820__A0A174QT76__B5G17_18060
ERR1913276.615539__1.615539	387661__K5ZCR9__B5F96_13840
ERR1913276.615613__1.615613	214856__A0A174ZED5__ERS852559_00591
ERR1913276.615776__1.615776	28117__R7JIJ8__BHV66_01635
ERR1913276.616122__1.616122	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913276.616200__1.616200	1550024__A0A3B9WIW5__TQ39_04755
ERR1913276.616547__1.616547	28117__B0MZ50__ALIPUT_02424
ERR1913276.616592__1.616592	552398__F4XCQ4__HMPREF0866_01621
ERR1913276.616647__1.616647	820__A0A3E4G3J9__ERS852459_02265
ERR1913276.616698__1.616698	28117__B0MWC6__BHV66_00965
ERR1913276.616735__1.616735	246787__A0A0P0GG22__BACCELL_01899
ERR1913276.616712__1.616712	1262740__R7CXD2__BN666_01914
ERR1913276.616715__1.616715	387661__K5YL92__PRABACTJOHN_01669
ERR1913276.616819__1.616819	216816__E8MH24__APS65_02760
ERR1913276.616844__1.616844	47678__R5U969__C5Z00_13130
ERR1913276.616781__1.616781	387661__K6AET8__HMPREF1077_00420
ERR1913276.616787__1.616787	818__A0A3E5HWN5__BSIG_3066
ERR1913276.617004__1.617004	28117__B0N028__BHV66_05935
ERR1913276.617008__1.617008	823__E1YR62__HMPREF1059_02331
ERR1913276.617076__1.617076	35833__E5Y2V2__HMPREF0179_00466
ERR1913276.617146__1.617146	817__Q64Q09__DXB79_11395
ERR1913276.617183__1.617183	28117__B0MXG8__ALIPUT_01814
ERR1913276.617212__1.617212	28116__A0A139L6N6__HMPREF2532_02529
ERR1913276.617502__1.617502	487174__K0WYG0__DDY40_00295
ERR1913276.617506__1.617506	214856__R6Z288__ERS852447_00734
ERR1913276.617528__1.617528	1633__C2EV30__HMPREF0549_1316
ERR1913276.617537__1.617537	1150298__A0A174PLY5__ERS852406_01056
ERR1913276.617552__1.617552	820__A0A139K1Y6__DXB48_02610
ERR1913276.617737__1.617737	1680__A7A7Z9__AAX71_05385
ERR1913276.617895__1.617895	853__A8S882__C4N23_07600
ERR1913276.617981__1.617981	853__A0A2A7A628__CGS57_13755
ERR1913276.618022__1.618022	214856__R6XKW1__ERS852559_01141
ERR1913276.618087__1.618087	10742__GeneID:1262491
ERR1913276.618035__1.618035	165179__A0A174W369__PREVCOP_04548
ERR1913276.618192__1.618192	823__A0A078SYK6__DXB14_02485
ERR1913276.618162__1.618162	165179__D1PEZ7__DXC61_06515
ERR1913276.618234__1.618234	1262911__R6H2J2__BN557_01228
ERR1913276.618645__1.618645	47678__R5U3A7__ERS852494_02965
ERR1913276.618650__1.618650	28117__B0MVL5__BHV66_01660
ERR1913276.618753__1.618753	214856__I3YMC8__ERS852447_02666
ERR1913276.619006__1.619006	820__A0A1T4IYF4__mprA_1
ERR1913276.619094__1.619094	28117__B0MWP2__ALIPUT_01468
ERR1913276.619157__1.619157	47678__R5UU25__DXB67_16190
ERR1913276.619358__1.619358	360807__A0A173WYK2__ROSEINA2194_02795
ERR1913276.619365__1.619365	1680__A0A173Y6N7__yhaH
ERR1913276.619372__1.619372	1262924__R7HQB3__BN585_00435
ERR1913276.619445__1.619445	820__A0A174F0C1__nreB
ERR1913276.619627__1.619627	33039__D4M5E1__ERS852577_03873
ERR1913276.619580__1.619580	165179__A0A3E5A5E5__DXC61_13965
ERR1913276.619632__1.619632	216816__D6D9H5__APC1466_0493
ERR1913276.619802__1.619802	33039__D4M1A7__RTO_02350
ERR1913276.619843__1.619843	214856__A0A175A6T5__ERS852447_02658
ERR1913276.620089__1.620089	820__A0A174GK47__ERS852421_00200
ERR1913276.620483__1.620483	113107__E7S9F5__HMPREF9421_0595
ERR1913276.620558__1.620558	1262929__R6F573__BN691_00942
ERR1913276.620665__1.620665	39491__A0A395UZZ5__htpG_1
ERR1913276.620966__1.620966	1550024__A0A0D8IVV4__ASJ35_03610
ERR1913276.621082__1.621082	823__A0A174XJM9__CEQ22_007230
ERR1913276.621329__1.621329	33039__D4M1J4__ERS852390_02215
ERR1913276.621330__1.621330	487174__K0XES7__HMPREF9448_00566
ERR1913276.621494__1.621494	39492__D4JRM4__tap_5
ERR1913276.621668__1.621668	328813__A0A1Y3QZ64__B5G41_14235
ERR1913276.621701__1.621701	74426__infB
ERR1913276.622515__1.622515	214856__I3YMC8__ERS852447_02666
ERR1913276.622532__1.622532	360807__C0FQL8__tipA
ERR1913276.622586__1.622586	214856__A0A174ZB00__ERS852559_00631
ERR1913276.622645__1.622645	214856__A0A174G1M7__ERS852559_00594
ERR1913276.622655__1.622655	1680__A0A2R4G1K8__BBMN23_0315
ERR1913276.622621__1.622621	1262740__R7CVQ9__BN666_01522
ERR1913276.622996__1.622996	39492__D4JWX2__accB
ERR1913276.623116__1.623116	1550024__G9RTN6__TQ39_08170
ERR1913276.623146__1.623146	1680__A0A1X3A951__AL0462_1583
ERR1913276.623210__1.623210	817__Q5LEA1__M126_2047
ERR1913276.623230__1.623230	651609__E6KS38__HMPREF9006_1040
ERR1913276.623445__1.623445	820__A0A139K2N9__DXB62_12420
ERR1913276.623494__1.623494	301302__A0A173RJJ7__ERS852420_00620
ERR1913276.623668__1.623668	328814__GCA_004558275.1_00033
ERR1913276.624319__1.624319	28117__B0MU58__BHV66_05630
ERR1913276.624634__1.624634	214856__R6Z320__ERS852447_02148
ERR1913276.624675__1.624675	39491__A0A396FJJ9__DXB76_11995
ERR1913276.624736__1.624736	74426__nifJ
ERR1913276.624755__1.624755	820__A0A174F0C1__nreB
ERR1913276.624896__1.624896	291645__I8WZT8__HMPREF1068_04327
ERR1913276.624952__1.624952	384638__B7APR0__BACPEC_00666
ERR1913276.625149__1.625149	818__C6ILT7__BSIG_2708
ERR1913276.625155__1.625155	74426__asnS
ERR1913276.625356__1.625356	40518__R5DUU0__DXD93_03985
ERR1913276.625640__1.625640	706562__GCA_900112995.1_02104
ERR1913276.625745__1.625745	817__F7LLX6__M124_1000
ERR1913276.625873__1.625873	28116__A0A078Q626__HMPREF1070_02735
ERR1913276.626063__1.626063	28117__B0N028__BHV66_05935
ERR1913276.626121__1.626121	28117__B0MXU0__BHV66_07550
ERR1913276.626224__1.626224	28117__B0MXG8__ALIPUT_01814
ERR1913276.626410__1.626410	820__A0A174TRB5__DXD40_11305
ERR1913276.626458__1.626458	817__A0A0E2TIP6__M086_3982
ERR1913276.626549__1.626549	410072__C0B9X3__ERS852481_01672
ERR1913276.626683__1.626683	214856__A0A174ZB00__ERS852559_00631
ERR1913276.626685__1.626685	39492__D4JVG1__ERS852540_00951
ERR1913276.626780__1.626780	214856__A0A174A1J3__ERS852447_01000
ERR1913276.626933__1.626933	214856__A0A173ZQY0__ERS852559_00007
ERR1913276.626949__1.626949	28116__F7LC60__AA414_00422
ERR1913276.627068__1.627068	40518__R5E550__aroK
ERR1913276.627206__1.627206	572010__adhR
ERR1913276.627238__1.627238	216816__C5E8I1__yciB
ERR1913276.627586__1.627586	820__A0A174KKV6__DXC07_02635
ERR1913276.627597__1.627597	46228__V8CB66__RUMLAC_02810
ERR1913276.627683__1.627683	357276__A0A0K2HKT7__B5F95_21090
ERR1913276.627730__1.627730	1262989__R6YJL6__BN815_00943
ERR1913276.627741__1.627741	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913276.627754__1.627754	28117__B0MTI4__ALIPUT_00084
ERR1913276.627969__1.627969	28117__B0MSS9__BHV66_06085
ERR1913276.628059__1.628059	820__A0A174QT76__B5G17_18060
ERR1913276.628033__1.628033	1262929__R6F558__BN691_01421
ERR1913276.628156__1.628156	1150298__A0A174RP87__uppP_1
ERR1913276.628421__1.628421	1550024__G9RTD6__TQ39_10825
ERR1913276.628429__1.628429	820__A0A139JY23__B5G17_06330
ERR1913276.628492__1.628492	28117__B0MXU0__BHV66_07550
ERR1913276.628523__1.628523	214856__A0A174EJT5__mnmA
ERR1913276.628791__1.628791	820__A0A174TRB5__DXD40_11305
ERR1913276.628905__1.628905	301302__A0A173TNM6__luxQ
ERR1913276.629019__1.629019	363265__R6F9Q7__HMPREF0673_00179
ERR1913276.629279__1.629279	39492__D4JTF2__mutS2
ERR1913276.629381__1.629381	39491__A0A395UYM9__DXC13_07980
ERR1913276.629770__1.629770	39491__A0A396FVC0__ERE_15900
ERR1913276.629955__1.629955	214856__I3YPP3__Alfi_2701
ERR1913276.630121__1.630121	165179__A0A3E5DZ45__DXC61_02820
ERR1913276.630212__1.630212	214856__R6Y1K2__ERS852447_02306
ERR1913276.630452__1.630452	363265__G6AY47__HMPREF0673_01556
ERR1913276.630449__1.630449	301302__R5UHX5__M72_14301
ERR1913276.630632__1.630632	28117__B0MXJ1__BHV66_08445
ERR1913276.630863__1.630863	1965537__A0A1Y4WJH3__B5E42_10070
ERR1913276.630966__1.630966	820__R9I2U8__DXC68_09590
ERR1913276.630941__1.630941	1680__A0A0C2VBJ4__birA
ERR1913276.630995__1.630995	1262911__R6H174__BN557_01246
ERR1913276.631010__1.631010	1550024__G9RPH0__TQ39_05505
ERR1913276.631277__1.631277	357276__A0A0M1W1I8__ABI39_13620
ERR1913276.631287__1.631287	28117__B0MTV5__BHV66_06415
ERR1913276.631577__1.631577	626932__G5H6Y6__HMPREF9450_00829
ERR1913276.631579__1.631579	74426__rpoC
ERR1913276.631894__1.631894	40518__R5DYM0__DXD86_08165
ERR1913276.631842__1.631842	39492__D4MM10__EUBSIR_01460
ERR1913276.631930__1.631930	1262992__R5CXM7__BN795_01016
ERR1913276.632003__1.632003	28117__B0MT38__BHV66_05995
ERR1913276.632020__1.632020	1550024__G9RXY7__TQ39_00100
ERR1913276.632139__1.632139	446660__GCA_003428235.1_01100
ERR1913276.632378__1.632378	28117__B0MXX2__ALIPUT_01984
ERR1913276.632386__1.632386	310298__B3JFI7__BACCOP_00636
ERR1913276.632420__1.632420	1680__A0A3E4SB79__BAD_1517
ERR1913276.632513__1.632513	1633__C2EVZ5__HMPREF0549_1631
ERR1913276.632608__1.632608	1550024__A0A0D8J3P2__TQ39_00965
ERR1913276.632634__1.632634	46228__V8C3Z1__RUMLAC_02619
ERR1913276.632716__1.632716	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913276.632739__1.632739	165179__A0A3E5E2B6__DXB80_02820
ERR1913276.632798__1.632798	214856__I3YPP9__Alfi_2707
ERR1913276.632849__1.632849	33039__D4M6E9__ERS852390_02866
ERR1913276.632956__1.632956	626940__E8LCB1__BHW43_07535
ERR1913276.633204__1.633204	1680__A0A1E7XZY9__DXC60_05815
ERR1913276.633306__1.633306	818__A0A174V5M6__BT_1963
ERR1913276.633645__1.633645	214856__A0A174A1J3__ERS852447_01000
ERR1913276.633705__1.633705	572010__group_1977
ERR1913276.633847__1.633847	357276__A0A0M1W4C0__DXD47_07095
ERR1913276.634039__1.634039	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913276.633999__1.633999	28117__R7JPX7__BHV66_00900
ERR1913276.634088__1.634088	28117__R7JIJ8__BHV66_01635
ERR1913276.634260__1.634260	39492__B0MP07__ERS852540_02083
ERR1913276.634415__1.634415	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913276.634424__1.634424	820__A0A139K2N9__DXB62_12420
ERR1913276.634452__1.634452	1262924__R7HQ14__BN585_00419
ERR1913276.634637__1.634637	823__A0A395YSW8__CF162_05645
ERR1913276.634662__1.634662	1535__A7VRB1__CLOLEP_01094
ERR1913276.634589__1.634589	46228__B5CP96__RUMLAC_01287
ERR1913276.634687__1.634687	40518__R5DP21__RBATCC27255_00348
ERR1913276.634759__1.634759	1896974__A0A1Q6H018__BHV77_13175
ERR1913276.634869__1.634869	823__D7IT19__DHP27_03495
ERR1913276.635023__1.635023	1263000__R5EKG2__BN466_02040
ERR1913276.635071__1.635071	820__A0A174TRB5__DXD40_11305
ERR1913276.635376__1.635376	820__A0A174RFI5__SAMN05444418_12240
ERR1913276.635677__1.635677	47678__R5UWN2__BACCAC_01649
ERR1913276.635779__1.635779	363265__R6F9Q7__HMPREF0673_00179
ERR1913276.635781__1.635781	1262989__R6XUS2__BN815_00026
ERR1913276.635719__1.635719	39491__A0A396FKI0__DXC13_11560
ERR1913276.635881__1.635881	40518__R5DPI9__DXD83_07375
ERR1913276.636023__1.636023	216816__C2GUV2__APC1478_0430
ERR1913276.636167__1.636167	169435__A0A174RV59__B5F11_12335
ERR1913276.636202__1.636202	357276__C3R9Y0__HMPREF1064_01889
ERR1913276.636204__1.636204	1262911__R6H1D2__BN557_00855
ERR1913276.636214__1.636214	47678__R5U9S9__BACCAC_01855
ERR1913276.636265__1.636265	214856__A0A174FZ29__ERS852559_00600
ERR1913276.636806__1.636806	301301__A0A395V8E1__RHOM_11160
ERR1913276.636959__1.636959	28117__R7JJM9__ALIPUT_00662
ERR1913276.636947__1.636947	1262911__R6H1B2__BN557_00840
ERR1913276.637064__1.637064	214856__I3YPP3__Alfi_2701
ERR1913276.637181__1.637181	28117__B0MVL2__BHV66_01645
ERR1913276.637244__1.637244	46503__R6WWC9__PARMER_03215
ERR1913276.637190__1.637190	47678__R5UES3__CGC64_00760
ERR1913276.637217__1.637217	351676__A0A2D0KSQ6__Xkoz_03831
ERR1913276.637344__1.637344	1463165__A6T4I5__B6I57_03140
ERR1913276.637713__1.637713	1633__C2EUN6__FC58_GL000324
ERR1913276.637896__1.637896	1262989__R6ZEW9__BN815_01033
ERR1913276.637965__1.637965	820__A0A374Q8T2__DXB64_16190
ERR1913276.637996__1.637996	214856__A0A174A1J3__ERS852447_01000
ERR1913276.638054__1.638054	853__A0A174BA00__DW905_01145
ERR1913276.638152__1.638152	817__Q64N43__HMPREF1205_01348
ERR1913276.638261__1.638261	214856__I3YPP3__Alfi_2701
ERR1913276.638310__1.638310	165179__A0A3E5DX33__PREVCOP_05190
ERR1913276.638589__1.638589	74426__yccM
ERR1913276.639254__1.639254	1535__A7VWN8__CH238_02485
ERR1913276.639442__1.639442	820__E5VA63__DXC80_01025
ERR1913276.639508__1.639508	39492__D4JT68__spoIIIE
ERR1913276.639629__1.639629	410072__A0A3E4GLJ0__ERS852481_02689
ERR1913276.639630__1.639630	28116__E5CCI2__M089_3437
ERR1913276.639685__1.639685	487174__K0WUJ5__HMPREF9448_02567
ERR1913276.640074__1.640074	301302__R5VFU2__xynA1
ERR1913276.640102__1.640102	1262911__R6HIV6__BN557_01807
ERR1913276.640380__1.640380	28117__R7JR95__ALIPUT_01367
ERR1913276.640690__1.640690	28117__B0MY40__BHV66_05170
ERR1913276.640797__1.640797	818__A0A1H7K3G1__BSIG_3067
ERR1913276.640800__1.640800	28117__R7JIJ8__BHV66_01635
ERR1913276.641000__1.641000	147206__GCF_000156215.1_01776
ERR1913276.640967__1.640967	1680__A0A087DHN0__AL0462_1532
ERR1913276.641177__1.641177	39485__A0A174ZTY8__ycfH
ERR1913276.641220__1.641220	1680__A0A374QDL4__LMG18897_0432
ERR1913276.641465__1.641465	40518__R5DXP6__DXD83_06110
