ERR1913167.17__1.17	47678__R5U3D5__DW706_05635
ERR1913167.485045__1.485045	1262980__R5C0H7__BN814_00054
ERR1913167.485171__1.485171	40518__R5E4Y8__RBATCC27255_01448
ERR1913167.485252__1.485252	371601__A0A1Y4Q353__CW1_1747
ERR1913167.485516__1.485516	338188__R6S1A3__spsA_1
ERR1913167.485639__1.485639	46503__R6X5E7__PARMER_00245
ERR1913167.485640__1.485640	820__A0A3E4WCC2__lptB_1
ERR1913167.485781__1.485781	454155__F3QXB9__HMPREF9442_02854
ERR1913167.485808__1.485808	88431__A6BGH9__ERS852408_02691
ERR1913167.485893__1.485893	820__A0A3E4FZM1__adaA_2
ERR1913167.486011__1.486011	1262882__R5N3T7__BN519_01188
ERR1913167.486065__1.486065	674529__R6UVG4__DXB21_01250
ERR1913167.486241__1.486241	39492__D4JRL2__ERS852540_01608
ERR1913167.486337__1.486337	820__A0A139KG60__M094_2679
ERR1913167.486341__1.486341	1262980__R5BQV7__BN814_00277
ERR1913167.486473__1.486473	820__A0A173YYG4__evgS_3
ERR1913167.486537__1.486537	820__A0A139K5A6__DXB48_12175
ERR1913167.486615__1.486615	1262882__R5MYX5__BN519_00333
ERR1913167.486627__1.486627	820__A0A139K426__B5G17_09115
ERR1913167.487055__1.487055	1262882__R5N4F5__BN519_01266
ERR1913167.486982__1.486982	820__A0A174EV88__HMPREF1072_01427
ERR1913167.487011__1.487011	1262930__R5ZTC7__BN693_00924
ERR1913167.487078__1.487078	1262882__R5N3T7__BN519_01188
ERR1913167.487080__1.487080	820__A0A3E4PYB0__yejM
ERR1913167.487120__1.487120	360807__A0A396A9J5__ROSEINA2194_00828
ERR1913167.487246__1.487246	818__C6IEU8__BSIG_0269
ERR1913167.487716__1.487716	1262992__R5CWS7__BN795_00754
ERR1913167.487921__1.487921	1262992__R5CYF8__BN795_01273
ERR1913167.487949__1.487949	204516__U6RFB2__HMPREF1534_01733
ERR1913167.487930__1.487930	820__A0A139JUD3__DXC91_19380
ERR1913167.488017__1.488017	1262882__R5N511__BN519_01592
ERR1913167.488045__1.488045	28116__A0A1Y4Q112__evgS_13
ERR1913167.488083__1.488083	820__A7VAR9__ERS852421_00197
ERR1913167.488113__1.488113	1262882__R5MHQ8__BN519_00707
ERR1913167.488144__1.488144	820__A7V8C2__ERS852554_01338
ERR1913167.488177__1.488177	301302__R5VCB8__M72_07901
ERR1913167.488204__1.488204	28117__B0MUL5__ALIPUT_00722
ERR1913167.488336__1.488336	820__R9I3Q7__HMPREF1072_01668
ERR1913167.488394__1.488394	821__A0A0P0M6M0__M097_4734
ERR1913167.488466__1.488466	820__A0A1Y3V743__M093_0235
ERR1913167.488513__1.488513	239935__A0A2N8IRL2__CXU06_01170
ERR1913167.488594__1.488594	820__A0A3E4G2R7__DXC07_00510
ERR1913167.488754__1.488754	338188__A0A174ETX3__ERS852397_01955
ERR1913167.488855__1.488855	1262882__R5MZZ3__BN519_00482
ERR1913167.488912__1.488912	820__A0A139K0J1__HMPREF2141_03205
ERR1913167.488958__1.488958	214856__I3YMC8__ERS852447_02666
ERR1913167.489175__1.489175	487174__K0X694__DIT83_09060
ERR1913167.489204__1.489204	1262882__R5MSS9__BN519_01662
ERR1913167.489231__1.489231	820__A0A174F696__macB_13
ERR1913167.489241__1.489241	1262882__R5N4P6__BN519_01346
ERR1913167.489433__1.489433	820__A0A374Q854__HMPREF1073_03281
ERR1913167.489530__1.489530	820__A0A3E4GA19__SAMN05444418_10562
ERR1913167.489614__1.489614	820__A7V470__HMPREF1072_02076
ERR1913167.489705__1.489705	820__A0A174M9V5__M093_0237
ERR1913167.489620__1.489620	1262882__R5N3H1__BN519_01121
ERR1913167.489738__1.489738	820__A0A3E4GA19__SAMN05444418_10562
ERR1913167.489722__1.489722	674529__A0A174PUY5__SAMN05444400_103201
ERR1913167.489821__1.489821	820__A0A1Q6IDS8__chtA
ERR1913167.489916__1.489916	1262980__R5BMR8__BN814_00052
ERR1913167.489940__1.489940	487173__H1D2L5__HMPREF9453_01853
ERR1913167.489951__1.489951	820__A7VAS1__HMPREF2141_03259
ERR1913167.490059__1.490059	820__A0A3E4W9D9__B5G17_12400
ERR1913167.490073__1.490073	820__A0A173YYG4__evgS_3
ERR1913167.490467__1.490467	823__A6L9W2__DXB14_07905
ERR1913167.490523__1.490523	1262924__R7HRJ9__BN585_00557
ERR1913167.490589__1.490589	1796613__A0A1C7GYD6__A4V03_03700
ERR1913167.490696__1.490696	338188__R6S1A3__spsA_1
ERR1913167.490924__1.490924	1262882__R5N3H1__BN519_01121
ERR1913167.490927__1.490927	626929__R6M5B4__B5F97_02215
ERR1913167.491189__1.491189	820__A0A374QGD2__ERS852421_02382
ERR1913167.491353__1.491353	47678__R5UU99__C5Z00_11925
ERR1913167.491626__1.491626	371601__F7LHU5__B5E52_04280
ERR1913167.491712__1.491712	301302__A0A173T1J1__M72_18951
ERR1913167.491839__1.491839	820__A0A3E4VZY4__ERS852554_01211
ERR1913167.492147__1.492147	1262882__R5N4I8__BN519_01293
ERR1913167.492451__1.492451	1262882__R5MFY4__BN519_00529
ERR1913167.492487__1.492487	1262882__R5N1L4__BN519_00757
ERR1913167.492493__1.492493	1262882__R5MLA4__BN519_01536
ERR1913167.492512__1.492512	1262882__R5MZZ3__BN519_00482
ERR1913167.492740__1.492740	820__A0A174GK47__ERS852421_00200
ERR1913167.492890__1.492890	1796613__A0A1C7GYD6__A4V03_03700
ERR1913167.493336__1.493336	820__A0A139KG04__ERS852459_01249
ERR1913167.493570__1.493570	28117__B0MXD0__ALIPUT_01669
ERR1913167.493644__1.493644	820__A0A3E4W4Y7__B5G17_02055
ERR1913167.493574__1.493574	1262882__R5MHQ8__BN519_00707
ERR1913167.493625__1.493625	820__A0A174A6K0__M093_0079
ERR1913167.494013__1.494013	820__A7V9F9__B5G17_14640
ERR1913167.494016__1.494016	818__A0A174P8N7__BSIG_4141
ERR1913167.494112__1.494112	820__R9I2U8__DXC68_09590
ERR1913167.494468__1.494468	1262924__R7HQ03__BN585_01295
ERR1913167.494475__1.494475	820__A0A174M9V5__M093_0237
ERR1913167.494451__1.494451	33038__A7B5W1__CDL22_11645
ERR1913167.494455__1.494455	28117__B0MTH2__ALIPUT_00061
ERR1913167.494572__1.494572	1262882__R5MRS7__BN519_01490
ERR1913167.494577__1.494577	820__A0A139JUD3__DXC91_19380
ERR1913167.494580__1.494580	371601__A0A395W6D8__BXY_21530
ERR1913167.494609__1.494609	246787__A0A3D6AXJ7__BACCELL_02379
ERR1913167.494620__1.494620	239935__R6JAS2__CXU02_10725
ERR1913167.494746__1.494746	1262882__R5N532__BN519_01420
ERR1913167.494835__1.494835	820__A0A3E4W4Y7__B5G17_02055
ERR1913167.495066__1.495066	820__A0A3E4W9D9__B5G17_12400
ERR1913167.495261__1.495261	1262882__R5MT42__BN519_01729
ERR1913167.495310__1.495310	820__A0A3E4XDK3__ERS852554_03650
ERR1913167.495287__1.495287	820__A7VAR9__ERS852421_00197
ERR1913167.495348__1.495348	246787__A0A3D6AYS8__HMPREF1062_06098
ERR1913167.495359__1.495359	1262882__R5MHZ2__BN519_00742
ERR1913167.495387__1.495387	39492__D4JU56__hemZ
ERR1913167.495388__1.495388	338188__A0A173XHS4__BACFIN_08438
ERR1913167.495406__1.495406	820__A0A3E4W9W8__C801_01069
ERR1913167.495412__1.495412	487174__K0X177__HMPREF9448_00818
ERR1913167.495543__1.495543	28111__E5X120__NCTC11155_02427
ERR1913167.495669__1.495669	820__A0A139K4T0__ERS852510_03146
ERR1913167.495799__1.495799	487173__H1D3F9__HMPREF9453_02142
ERR1913167.495869__1.495869	1262882__R5MY46__BN519_00355
ERR1913167.495902__1.495902	820__A0A174QT76__B5G17_18060
ERR1913167.495933__1.495933	239935__A0A2N8IJI1__B5G29_04615
ERR1913167.495948__1.495948	820__A0A174QLF0__SAMN05444418_109151
ERR1913167.495959__1.495959	239935__A0A139TT05__CXU09_03335
ERR1913167.496116__1.496116	820__A0A3E4PYB0__yejM
ERR1913167.496213__1.496213	820__A0A374Q4X1__HMPREF2141_02370
ERR1913167.496257__1.496257	853__E2ZJT1__C4N23_03535
ERR1913167.496275__1.496275	823__A0A395YQ63__B5F32_15335
ERR1913167.496453__1.496453	301302__R5ULM4__M72_25081
ERR1913167.496462__1.496462	820__A0A173YYG4__evgS_3
ERR1913167.496474__1.496474	1628085__A0A2U1B8P2__C7386_11431
ERR1913167.496528__1.496528	40520__R7D800__DXB81_00095
ERR1913167.496605__1.496605	39491__A0A396FFW0__ERE_10580
ERR1913167.496833__1.496833	820__A0A174CG08__DXB62_13215
ERR1913167.496887__1.496887	820__A0A139KHX1__HMPREF2141_00289
ERR1913167.496895__1.496895	29361__B6FKH5__CLONEX_00621
ERR1913167.496913__1.496913	487174__K0X7X4__DIT83_09125
ERR1913167.496966__1.496966	1262882__R5MJ49__BN519_01124
ERR1913167.496978__1.496978	1150298__A0A174MDR2__ERS852498_01766
ERR1913167.497004__1.497004	1681__A0A286TCN9__LMG13195_0626
ERR1913167.497059__1.497059	246787__A0A0P0G684__cirA_10
ERR1913167.497157__1.497157	39488__A0A374NX32__DXD91_00470
ERR1913167.497130__1.497130	1105171__GeneID:11605488
ERR1913167.497202__1.497202	1262882__R5ML49__BN519_01361
ERR1913167.497224__1.497224	40520__A0A174HHX4__RUMOBE_03561
ERR1913167.497403__1.497403	47678__R5U2X1__ERS852494_00033
ERR1913167.497527__1.497527	820__A0A374Q4X1__HMPREF2141_02370
ERR1913167.497530__1.497530	1262882__R5MK82__BN519_00260
ERR1913167.497593__1.497593	1262882__R5MYI1__BN519_00416
ERR1913167.497908__1.497908	47678__R5U2X1__ERS852494_00033
ERR1913167.498065__1.498065	820__A0A173YYG4__evgS_3
ERR1913167.498098__1.498098	820__A0A396EUU8__luxQ_3
ERR1913167.498108__1.498108	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1913167.498324__1.498324	246787__A0A3D6AYS8__HMPREF1062_06098
ERR1913167.498334__1.498334	820__A0A139KHX1__HMPREF2141_00289
ERR1913167.498525__1.498525	820__R9I3N4__M093_0061
ERR1913167.498601__1.498601	820__A0A174F0C1__nreB
ERR1913167.498640__1.498640	47678__R5U2I4__ERS852558_03712
ERR1913167.498732__1.498732	820__A0A174LJB2__HMPREF1072_04112
ERR1913167.498736__1.498736	820__A0A173YYG4__evgS_3
ERR1913167.498866__1.498866	387090__S0F7Y3__BACCOPRO_02028
ERR1913167.498904__1.498904	1150298__A0A174DQP3__rpe_2
ERR1913167.498908__1.498908	820__A0A139K4T0__ERS852510_03146
ERR1913167.498992__1.498992	544645__A0A3E4TJL2__DXC42_00055
ERR1913167.499018__1.499018	338188__K5CA25__BACFIN_08966
ERR1913167.499033__1.499033	1262882__R5MSP5__BN519_01637
ERR1913167.499107__1.499107	1262882__R5N5D7__BN519_01676
ERR1913167.499223__1.499223	1262882__R5N3H1__BN519_01121
ERR1913167.499188__1.499188	1262882__R5MHZ2__BN519_00742
ERR1913167.499382__1.499382	674529__R6V0V1__DXB21_06395
ERR1913167.499673__1.499673	204516__U6R7Y8__HMPREF1534_03942
ERR1913167.499741__1.499741	674529__R6UPX3__DXB21_06190
ERR1913167.499805__1.499805	1262882__R5N5S3__BN519_00085
ERR1913167.499867__1.499867	1596__A0A087QA69__DXC77_05805
ERR1913167.499952__1.499952	328814__GCA_004558275.1_01621
ERR1913167.499976__1.499976	820__A0A396EUU8__luxQ_3
ERR1913167.500128__1.500128	39491__A0A395ZDC6__addB
ERR1913167.500140__1.500140	820__R9HP61__DXC91_01090
ERR1913167.500232__1.500232	487174__K0WZ94__HMPREF9448_00984
ERR1913167.500236__1.500236	40518__R5DS38__RBL236_00785
ERR1913167.500218__1.500218	1297617__A0A2U1BCD6__C7373_11720
ERR1913167.500268__1.500268	78257__A0A087CUE0__BSAE_1156
ERR1913167.500310__1.500310	820__A0A174DZ97__SAMN05444418_101240
ERR1913167.500346__1.500346	1262924__R7HQB3__BN585_00435
ERR1913167.500422__1.500422	820__A0A139KHX1__HMPREF2141_00289
ERR1913167.500598__1.500598	820__A0A374Q854__HMPREF1073_03281
ERR1913167.500699__1.500699	820__A7VAR9__ERS852421_00197
ERR1913167.500810__1.500810	39492__D4JV38__EUBSIR_01205
ERR1913167.500930__1.500930	820__A0A1Q6IDS8__chtA
ERR1913167.500970__1.500970	820__A0A173WUD7__DXB48_08055
ERR1913167.500973__1.500973	28111__E5WXQ8__NCTC11155_03183
ERR1913167.501003__1.501003	626929__F3PKF4__SAMN05444376_0707
ERR1913167.501155__1.501155	820__A0A139K024__B5G17_02060
ERR1913167.501296__1.501296	47678__R5UXJ2__DW706_08325
ERR1913167.501354__1.501354	1150298__A0A173ZI89__ERS852498_03535
ERR1913167.501442__1.501442	820__R9I324__HMPREF2141_02414
ERR1913167.501373__1.501373	31754__GeneID:921266
ERR1913167.501417__1.501417	544645__A0A3E4TCM9__DXC42_06490
ERR1913167.501462__1.501462	394340__ddhA_1
ERR1913167.501531__1.501531	626929__F3PKG7__SAMN05444376_0720
ERR1913167.501532__1.501532	216816__A0A395XYV2__APC1468_1887
ERR1913167.501725__1.501725	246787__R6K756__HMPREF1062_01819
ERR1913167.501696__1.501696	329854__A0A3E4KRK8__DXK01_03500
ERR1913167.501893__1.501893	821__A0A173WG51__BVU_2549
ERR1913167.502101__1.502101	1262882__R5MM90__BN519_01721
ERR1913167.502170__1.502170	1263044__GCA_000433375.1_01439
ERR1913167.502172__1.502172	1262992__R5D9A6__BN795_00819
ERR1913167.502239__1.502239	1262882__R5MEW7__BN519_00010
ERR1913167.502311__1.502311	39492__D4JV70__EUBSIR_01253
ERR1913167.502611__1.502611	820__A7UYX8__DXD40_11635
ERR1913167.502629__1.502629	360807__A0A0M6WCK5__ROSEINA2194_01361
ERR1913167.502665__1.502665	1262992__R5D1X3__BN795_00176
ERR1913167.502671__1.502671	371601__D7J175__DXD03_05675
ERR1913167.502762__1.502762	338188__A0A174ETX3__ERS852397_01955
ERR1913167.502763__1.502763	820__R9I2U8__DXC68_09590
ERR1913167.502791__1.502791	1150298__A0A174RJU1__gsiA_4
ERR1913167.502813__1.502813	329854__R5MD93__DXD27_17140
ERR1913167.502827__1.502827	1262882__R5N587__BN519_01643
ERR1913167.502954__1.502954	47678__A5ZL09__BACCAC_03608
ERR1913167.503015__1.503015	820__A0A3E4W6P0__gmhA
ERR1913167.503079__1.503079	820__A0A1T4IYF4__mprA_1
ERR1913167.503085__1.503085	820__A0A3E4WA06__ERS852554_03404
ERR1913167.503176__1.503176	823__A0A078TE44__DD466_14830
ERR1913167.503179__1.503179	853__A0A173YYY4__DWZ04_09420
ERR1913167.503222__1.503222	853__A0A174C5M1__CGS58_04460
ERR1913167.503259__1.503259	1262882__R5N4I5__BN519_01288
ERR1913167.503509__1.503509	329854__R7E733__DXD57_00120
ERR1913167.503468__1.503468	1262980__R5BSE9__BN814_02443
ERR1913167.503473__1.503473	39492__D4JU30__EUBSIR_00838
ERR1913167.503606__1.503606	1262882__R5MJM8__BN519_01064
ERR1913167.503856__1.503856	28111__E5WYC1__BACEGG_00354
ERR1913167.503968__1.503968	1263044__GCA_000433375.1_01822
ERR1913167.503978__1.503978	47678__R5U7X8__C5Z00_18270
ERR1913167.503995__1.503995	1262882__R5N5D7__BN519_01676
ERR1913167.503999__1.503999	820__A0A174P0L5__glcK_3
ERR1913167.504005__1.504005	820__A0A139KA34__B5G17_05520
ERR1913167.504081__1.504081	820__A0A139KJR5__M093_4469
ERR1913167.504091__1.504091	820__R9HP61__DXC91_01090
ERR1913167.504056__1.504056	823__A6LBY1__ERS852380_00510
ERR1913167.504236__1.504236	47678__R5U9Z0__HMPREF1061_03210
ERR1913167.504485__1.504485	674529__A0A174P3W4__SAMN05444400_106198
ERR1913167.504504__1.504504	820__A0A1T4IYF4__mprA_1
ERR1913167.504519__1.504519	820__A0A3E4VZY4__ERS852554_01211
ERR1913167.504604__1.504604	338188__K5CK57__ERS852397_02236
ERR1913167.504605__1.504605	1262882__R5MFR3__BN519_00473
ERR1913167.504620__1.504620	820__A0A174CG08__DXB62_13215
ERR1913167.504595__1.504595	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913167.504685__1.504685	818__A0A3E5GXM2__BJP75_025230
ERR1913167.504794__1.504794	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913167.504892__1.504892	1262743__R5C054__BN727_01980
ERR1913167.504849__1.504849	106588__A6P303__BACCAP_04887
ERR1913167.504944__1.504944	820__A0A174CG08__DXB62_13215
ERR1913167.504952__1.504952	204516__U6RFV1__HMPREF1534_02560
ERR1913167.505148__1.505148	2173__R7PS55__BK798_05180
ERR1913167.505214__1.505214	820__A0A3E4VZT7__DXB48_16145
ERR1913167.505297__1.505297	1262882__A0A356PSJ4__BN519_01180
ERR1913167.505361__1.505361	1262882__R5N4P6__BN519_01346
ERR1913167.505398__1.505398	818__Q8A0V7__BSIG_2755
ERR1913167.505414__1.505414	674529__R6V7P0__SAMN05444400_102331
ERR1913167.505510__1.505510	820__A0A174CG08__DXB62_13215
ERR1913167.505530__1.505530	820__A0A374QGD2__ERS852421_02382
ERR1913167.505622__1.505622	820__A0A3E4QZJ7__C801_01798
ERR1913167.505797__1.505797	820__A0A174TRB5__DXD40_11305
ERR1913167.505751__1.505751	1262882__R5MXS6__BN519_00286
ERR1913167.505879__1.505879	820__A0A374Q8T2__DXB64_16190
ERR1913167.505847__1.505847	371601__D7J0R3__SAMN04487924_11751
ERR1913167.505867__1.505867	820__A7VAR9__ERS852421_00197
ERR1913167.506015__1.506015	820__A0A374MMF0__HMPREF1073_03811
ERR1913167.506016__1.506016	1262882__R5MXS6__BN519_00286
ERR1913167.506080__1.506080	239935__A0A2N8HT68__ADH72_00510
ERR1913167.506315__1.506315	820__A0A1T4IYF4__mprA_1
ERR1913167.506279__1.506279	45634__E8JSA5__TW70_00796
ERR1913167.506381__1.506381	1262882__R5MYP8__BN519_00439
ERR1913167.506505__1.506505	329854__R5LW55__DXD57_21020
ERR1913167.506552__1.506552	820__A7VAR9__ERS852421_00197
ERR1913167.506596__1.506596	1150298__A0A174J629__ERS852498_00833
ERR1913167.506635__1.506635	1262924__R7HQ14__BN585_00419
ERR1913167.506822__1.506822	820__A0A139KG04__ERS852459_01249
ERR1913167.506840__1.506840	454155__F3QR48__HMPREF9442_00646
ERR1913167.506911__1.506911	820__A0A3E4VZT7__DXB48_16145
ERR1913167.507109__1.507109	487174__R5ER56__HMPREF9448_02812
ERR1913167.507164__1.507164	818__A0A3E5HHL6__C799_04659
ERR1913167.507136__1.507136	1262882__R5N511__BN519_01592
ERR1913167.507354__1.507354	820__A0A174Q0F0__DXB48_08080
ERR1913167.507379__1.507379	820__A7VAR9__ERS852421_00197
ERR1913167.507388__1.507388	626929__F3PJP7__HMPREF9445_02250
ERR1913167.507620__1.507620	28111__E5X237__NCTC11155_00628
ERR1913167.507688__1.507688	246787__A0A108T4D5__HMPREF1062_06346
ERR1913167.507712__1.507712	820__A0A3E4VXP2__yesR
ERR1913167.507964__1.507964	820__A0A139K2N9__DXB62_12420
ERR1913167.508068__1.508068	246787__A0A0P0GPP9__BACCELL_01902
ERR1913167.508203__1.508203	820__A7VAR9__ERS852421_00197
ERR1913167.508244__1.508244	820__A0A3E4WCC2__lptB_1
ERR1913167.508289__1.508289	1262882__R5ML49__BN519_01361
ERR1913167.508522__1.508522	28117__B0MTH2__ALIPUT_00061
ERR1913167.508868__1.508868	649756__A0A174SER1__HMPREF0369_00070
ERR1913167.508931__1.508931	39492__R6RT40__prkC_3
ERR1913167.508955__1.508955	1150298__R7JSE8__coaX_1
ERR1913167.509258__1.509258	820__A0A173WUD7__DXB48_08055
ERR1913167.509353__1.509353	47678__R5UT83__DW706_09750
ERR1913167.509440__1.509440	39491__C4ZGN3__DXB99_14175
ERR1913167.509472__1.509472	39492__D4MM10__EUBSIR_01460
ERR1913167.509515__1.509515	39486__R6SPW4__DXD84_13185
ERR1913167.509541__1.509541	487173__H1D1M0__HMPREF9453_01508
ERR1913167.509556__1.509556	821__A0A0P0M3U7__DXB90_14325
ERR1913167.509714__1.509714	820__A0A173WUD7__DXB48_08055
ERR1913167.509727__1.509727	820__A0A139K4T0__ERS852510_03146
ERR1913167.509845__1.509845	820__A0A174NUS8__DXC80_12885
ERR1913167.509916__1.509916	820__A0A174G065__DXB62_08975
ERR1913167.509998__1.509998	1262882__R5MEK3__BN519_00296
ERR1913167.510009__1.510009	1262882__R5N526__BN519_01603
ERR1913167.510098__1.510098	487174__K0X429__HMPREF9448_00932
ERR1913167.510380__1.510380	239935__R6JAS2__CXU02_10725
ERR1913167.510412__1.510412	820__A0A3E4WCX3__C801_02709
ERR1913167.510493__1.510493	1263044__GCA_000433375.1_01440
ERR1913167.510499__1.510499	28116__I9ST00__M088_5588
ERR1913167.510585__1.510585	1262882__R5MKI3__BN519_00334
ERR1913167.510590__1.510590	239935__A0A2N8IMC9__CXU09_02095
ERR1913167.510782__1.510782	820__A0A174G065__DXB62_08975
ERR1913167.510890__1.510890	239935__R6JFR5__CXT84_04850
ERR1913167.510976__1.510976	246787__A0A0P0GG59__BcellWH2_02752
ERR1913167.510977__1.510977	1262882__R5MM10__BN519_01679
ERR1913167.511017__1.511017	1150298__A0A174IG30__ERS852535_01135
ERR1913167.511291__1.511291	820__A7V8C2__ERS852554_01338
ERR1913167.511366__1.511366	820__A7V9F9__B5G17_14640
ERR1913167.511418__1.511418	39491__A0A174M1X5__DXB99_18695
ERR1913167.511425__1.511425	301302__R5VCB8__M72_07901
ERR1913167.511485__1.511485	39488__A0A285PP42__cobQ
ERR1913167.511486__1.511486	39488__A0A285PP42__cobQ
ERR1913167.511629__1.511629	820__A0A139K8X8__DXC80_17665
ERR1913167.511631__1.511631	1262882__R5N526__BN519_01603
ERR1913167.511881__1.511881	820__A7UYX8__DXD40_11635
ERR1913167.511858__1.511858	820__A0A3E4QZJ7__C801_01798
ERR1913167.511875__1.511875	1262882__R5MRT2__BN519_01494
ERR1913167.511909__1.511909	301302__A0A0M6WH46__M72_23101
ERR1913167.511991__1.511991	338188__K5CG34__HMPREF1057_01389
ERR1913167.512040__1.512040	820__A0A139K2N9__DXB62_12420
ERR1913167.512207__1.512207	820__R9HP61__DXC91_01090
ERR1913167.512248__1.512248	1262882__R5N0M6__BN519_00794
ERR1913167.512345__1.512345	1262924__R7HUI3__BN585_00815
ERR1913167.512485__1.512485	1550024__G9RNN7__TQ39_03420
ERR1913167.512491__1.512491	1262882__R5MH81__BN519_00748
ERR1913167.512640__1.512640	820__A7V092__hldE
ERR1913167.512762__1.512762	823__A0A355XN36__DXB14_02385
ERR1913167.512838__1.512838	820__A0A139K426__B5G17_09115
ERR1913167.512903__1.512903	853__A8S882__C4N23_07600
ERR1913167.513031__1.513031	39492__D4JR20__trmD
ERR1913167.513131__1.513131	387090__S0F8B2__BACCOPRO_02129
ERR1913167.513147__1.513147	39491__A0A396FS17__envC
ERR1913167.513188__1.513188	820__A7UYX8__DXD40_11635
ERR1913167.513309__1.513309	301302__A0A0M6W9I4__M72_19871
ERR1913167.513324__1.513324	1262882__R5MND9__BN519_00831
ERR1913167.513387__1.513387	1262882__R5MKV8__BN519_01281
ERR1913167.513598__1.513598	674529__R6W4L4__SAMN05444400_105128
ERR1913167.513749__1.513749	292800__A0A174J2N2__ERS852518_00415
ERR1913167.513868__1.513868	28117__B0MXG8__ALIPUT_01814
ERR1913167.513959__1.513959	371601__I9A9L0__BN890_10720
ERR1913167.514007__1.514007	820__A0A3E4WA06__ERS852554_03404
ERR1913167.514054__1.514054	1262882__R5N2A9__BN519_00921
ERR1913167.514186__1.514186	1263044__GCA_000433375.1_02953
ERR1913167.514196__1.514196	820__A0A396CMY7__HMPREF1072_03009
ERR1913167.514329__1.514329	820__A0A1Q6IDS8__chtA
ERR1913167.514364__1.514364	1262882__R5MM25__BN519_00600
ERR1913167.514509__1.514509	357276__I9F327__DXD47_22495
ERR1913167.514575__1.514575	1796613__A0A1C7GYD6__A4V03_03700
ERR1913167.514544__1.514544	820__A0A3E4XM43__DXC91_13960
ERR1913167.514636__1.514636	820__A0A3E4W9D9__B5G17_12400
ERR1913167.514617__1.514617	820__A0A139JY23__B5G17_06330
ERR1913167.514665__1.514665	820__A0A173YYG4__evgS_3
ERR1913167.514801__1.514801	214856__A0A174EQR4__rsmA
ERR1913167.514869__1.514869	239935__A0A2N8HDT1__CXT94_05270
ERR1913167.514887__1.514887	823__A6LB62__B5F32_04550
ERR1913167.514902__1.514902	40518__R5DS23__DXD86_01715
ERR1913167.514934__1.514934	1262882__R5MN65__BN519_00771
ERR1913167.515113__1.515113	820__A7UYG6__M094_0070
ERR1913167.515116__1.515116	39485__C4Z6V1__ERS852492_02640
ERR1913167.515173__1.515173	214856__A0A175A1E6__ERS852447_01907
ERR1913167.515358__1.515358	39491__A0A395ZDC6__addB
ERR1913167.515439__1.515439	239935__A0A139TLF5__CXU18_06685
ERR1913167.515403__1.515403	820__A0A3E4QZJ7__C801_01798
ERR1913167.515412__1.515412	820__A0A374Q854__HMPREF1073_03281
ERR1913167.515540__1.515540	204516__U6R9H3__HMPREF1534_03348
ERR1913167.515627__1.515627	823__A0A355XIK0__CEQ22_011965
ERR1913167.515656__1.515656	291645__I8XR48__HMPREF1068_02104
ERR1913167.515684__1.515684	823__A0A355XKQ8__DHP27_04010
ERR1913167.515692__1.515692	1263044__GCA_000433375.1_01822
ERR1913167.516009__1.516009	820__A0A3E4W9W8__C801_01069
ERR1913167.516093__1.516093	487173__H1D0R8__HMPREF9453_01206
ERR1913167.516278__1.516278	820__A0A396EWL3__ERS417307_03868
ERR1913167.516359__1.516359	820__A0A174EV88__HMPREF1072_01427
ERR1913167.516394__1.516394	46503__R6WWH2__DXB85_00365
ERR1913167.516439__1.516439	487174__R5EXS5__HMPREF9448_02541
ERR1913167.516500__1.516500	820__A0A139K8X8__DXC80_17665
ERR1913167.516586__1.516586	1262882__R5N048__BN519_00502
ERR1913167.516665__1.516665	820__A0A3E4XM43__DXC91_13960
ERR1913167.516692__1.516692	820__A0A3E4W4W5__ERS852554_02179
ERR1913167.516800__1.516800	820__A0A139K4W5__HMPREF2141_02394
ERR1913167.516804__1.516804	820__A0A1T4IY71__HMPREF2141_02402
ERR1913167.516853__1.516853	1262911__R6GTA5__BN557_01337
ERR1913167.516880__1.516880	820__R7E9Z4__DXC68_06065
ERR1913167.516987__1.516987	1262882__R5MF51__BN519_00287
ERR1913167.517044__1.517044	1262882__R5N587__BN519_01643
ERR1913167.517084__1.517084	40518__R5DTG5__RBATCC27255_00890
ERR1913167.517144__1.517144	239935__R6IZU4__CXT87_08085
ERR1913167.517234__1.517234	1262882__R5MYX5__BN519_00333
ERR1913167.517490__1.517490	821__R7P1Q7__M099_2990
ERR1913167.517517__1.517517	239935__A0A2N8IU45__DEF40_02365
ERR1913167.517646__1.517646	1262744__R6FST0__BN744_00381
ERR1913167.517718__1.517718	47678__R5U2W6__CGC64_03455
ERR1913167.517844__1.517844	820__A0A139KH21__DXC80_01780
ERR1913167.517870__1.517870	820__A0A3E4WCX3__C801_02709
ERR1913167.517875__1.517875	820__A0A174LJB2__HMPREF1072_04112
ERR1913167.517915__1.517915	357276__I8WFU9__BACDOR_02006
ERR1913167.517948__1.517948	820__A0A139KH21__DXC80_01780
ERR1913167.518089__1.518089	246787__R6KCH8__csbC
ERR1913167.518092__1.518092	1297617__A0A0S2W1V2__IB211_00824
ERR1913167.518289__1.518289	820__A0A173YYG4__evgS_3
ERR1913167.518320__1.518320	820__A0A139KH21__DXC80_01780
ERR1913167.518384__1.518384	820__A0A374Q351__DXD40_05850
