ERR1913224.352__1.352	853__A0A173RZ39__C4N22_01650
ERR1913224.428294__1.428294	39485__A0A174YJA4__EUBELI_20421
ERR1913224.428635__1.428635	1160721__W0U2H8__BHW50_07775
ERR1913224.428638__1.428638	218538__C9LL79__GCWU000321_00015
ERR1913224.428843__1.428843	1262911__R6GLA5__BN557_01456
ERR1913224.429045__1.429045	1262761__R6QW14__BN606_00877
ERR1913224.429232__1.429232	1501391__GCA_000786575.1_00074
ERR1913224.429345__1.429345	1160721__R6T4W2__RBI_I00237
ERR1913224.429358__1.429358	820__A0A1T4IY80__ERS852554_01621
ERR1913224.429429__1.429429	820__R7E9Z4__DXC68_06065
ERR1913224.429435__1.429435	100886__E2NNV6__CATMIT_00217
ERR1913224.429381__1.429381	821__A0A174RA14__M099_1655
ERR1913224.429673__1.429673	817__D1JR15__M117_0303
ERR1913224.429775__1.429775	1262761__R6R3W1__BN606_01849
ERR1913224.429800__1.429800	820__A0A174CG08__DXB62_13215
ERR1913224.429999__1.429999	28118__F9ZAS2__B5F93_06130
ERR1913224.430125__1.430125	1501391__GCA_000786575.1_00077
ERR1913224.430373__1.430373	2293125__A0A374BUM7__DW917_12980
ERR1913224.430389__1.430389	1501391__GCA_000786575.1_00128
ERR1913224.430413__1.430413	820__A7V9F9__B5G17_14640
ERR1913224.430601__1.430601	28116__A0A3A9HTT7__BACOVA_05446
ERR1913224.430738__1.430738	1262761__R6R763__BN606_01311
ERR1913224.431087__1.431087	1501391__GCA_000786575.1_00028
ERR1913224.431120__1.431120	821__A0A3E4HP25__SAMN04487923_102450
ERR1913224.431153__1.431153	820__E5VA63__DXC80_01025
ERR1913224.431263__1.431263	1262761__R6R2J2__BN606_00943
ERR1913224.431339__1.431339	28116__R6JI94__ERS852555_01222
ERR1913224.431440__1.431440	1262911__R6GQM3__BN557_01245
ERR1913224.431441__1.431441	820__A7V9F9__B5G17_14640
ERR1913224.431791__1.431791	40518__R5DVR2__RBL236_00303
ERR1913224.432357__1.432357	39485__C4Z1Y9__EUBELI_00143
ERR1913224.432477__1.432477	820__A0A3E4RUC4__DHU98_02635
ERR1913224.432448__1.432448	2293125__A0A374BSW4__DW917_13420
ERR1913224.432427__1.432427	2293125__A0A374CFZ2__DW917_03445
ERR1913224.432575__1.432575	853__D4JY61__C4N21_10560
ERR1913224.432843__1.432843	28116__F7L4X5__M089_2857
ERR1913224.432983__1.432983	39492__D4JRV7__EUBSIR_01513
ERR1913224.433059__1.433059	40520__R7D4G0__ERS852533_01128
ERR1913224.433031__1.433031	39485__A0A175A403__EUBELI_20577
ERR1913224.433210__1.433210	1262911__R6GYT4__BN557_00617
ERR1913224.433238__1.433238	1263107__GCA_000436995.1_00126
ERR1913224.433391__1.433391	1262889__R7HC51__BN634_01378
ERR1913224.433425__1.433425	1262911__R6GY22__BN557_00023
ERR1913224.433831__1.433831	33043__A0A173X7L1__ERS852400_00423
ERR1913224.433733__1.433733	817__A0A081TWW5__M141_1211
ERR1913224.433908__1.433908	371601__E5CE41__ERS852396_04351
ERR1913224.434025__1.434025	239935__A0A2N8IXN0__CXT95_01765
ERR1913224.434154__1.434154	418240__C6JDJ1__ERS852478_02876
ERR1913224.434176__1.434176	820__A0A396EWL3__ERS417307_03868
ERR1913224.434218__1.434218	39485__A0A175A403__EUBELI_20577
ERR1913224.434363__1.434363	820__A0A3E4VXP2__yesR
ERR1913224.435037__1.435037	745368__A0A1T4WDF4__SAMN02745178_00415
ERR1913224.435108__1.435108	2293125__A0A374BVX3__DW917_12740
ERR1913224.435215__1.435215	40518__R5DUU2__yvhJ_2
ERR1913224.435235__1.435235	2293125__A0A374BVX3__DW917_12740
ERR1913224.435267__1.435267	1735__B7CCE4__EUBIFOR_01871
ERR1913224.435517__1.435517	1262761__R6QXE4__BN606_02110
ERR1913224.435542__1.435542	10680__GeneID:1261099
ERR1913224.435650__1.435650	1262761__R6R763__BN606_01311
ERR1913224.435829__1.435829	33043__A0A173ZEP9__araC_1
ERR1913224.436096__1.436096	1262911__R6GT76__BN557_01150
ERR1913224.436486__1.436486	821__A0A174AYT0__DXC02_03530
ERR1913224.436836__1.436836	28118__R6FI30__NCTC10826_00479
ERR1913224.436856__1.436856	1262911__R6H2J2__BN557_01228
ERR1913224.436867__1.436867	487174__K0XDZ0__HMPREF9448_02863
ERR1913224.437019__1.437019	999425__K8MNB5__HMPREF9186_01137
ERR1913224.437178__1.437178	39485__R5ZII6__EUBELI_00986
ERR1913224.437527__1.437527	1262942__R7QV68__BN520_01235
ERR1913224.437542__1.437542	1262889__R7HCR1__BN634_01576
ERR1913224.437791__1.437791	823__A0A073I9P2__CF162_18000
ERR1913224.438020__1.438020	1160721__W0U6I8__BHW50_06355
ERR1913224.438112__1.438112	165179__A0A3E5DY64__CFT61_10025
ERR1913224.439123__1.439123	1263006__R6LWP7__BN515_00823
ERR1913224.439357__1.439357	2293125__A0A374C7Q7__DW917_07770
ERR1913224.439470__1.439470	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913224.439603__1.439603	1262911__R6GZX7__BN557_00838
ERR1913224.439688__1.439688	1262911__R6GZX7__BN557_00838
ERR1913224.439654__1.439654	218538__C9LNQ3__GCWU000321_01176
ERR1913224.439770__1.439770	357276__A0A0K2HGB7__HMPREF1064_01580
ERR1913224.439782__1.439782	1262761__R6RML5__BN606_00248
ERR1913224.440284__1.440284	1262761__R6QWS5__BN606_02019
ERR1913224.440456__1.440456	39492__A0A174ZYY6__EUBSIR_02510
ERR1913224.440485__1.440485	821__A0A174WBC9__ERS852556_03145
ERR1913224.440439__1.440439	1262783__R6CTH8__BN558_02345
ERR1913224.440707__1.440707	1262942__R7QX36__BN520_01383
ERR1913224.440773__1.440773	1262889__R7HA79__BN634_01068
ERR1913224.440834__1.440834	2293125__A0A374BVX3__DW917_12740
ERR1913224.441034__1.441034	2293125__A0A374CHT4__DW917_03485
ERR1913224.441116__1.441116	820__A0A139K337__ERS852459_02375
ERR1913224.441152__1.441152	40518__R5DZ88__DXD93_06320
ERR1913224.441372__1.441372	1262889__R7H889__BN634_02048
ERR1913224.441440__1.441440	823__A0A174U5E4__BDI_3390
ERR1913224.441447__1.441447	820__A0A174M9V5__M093_0237
ERR1913224.441634__1.441634	410072__A0A173XQG6__ERS852574_01620
ERR1913224.441596__1.441596	39492__D4JS87__EUBSIR_02328
ERR1913224.441805__1.441805	1263107__GCA_000436995.1_00126
ERR1913224.441829__1.441829	2293125__A0A374C9I8__DW917_06795
ERR1913224.441961__1.441961	39491__R6TQ09__DXC13_03010
ERR1913224.441990__1.441990	820__A0A139K5A6__DXB48_12175
ERR1913224.442255__1.442255	394340__acrC
ERR1913224.442355__1.442355	1501391__GCA_000786575.1_00076
ERR1913224.442856__1.442856	1262761__R6RB22__BN606_01933
ERR1913224.443000__1.443000	39491__A0A396FRE7__EUR_27520
ERR1913224.443439__1.443439	820__A0A174G065__DXB62_08975
ERR1913224.443483__1.443483	626933__H1DGX0__HMPREF9449_01506
ERR1913224.443572__1.443572	1263107__GCA_000436995.1_00140
ERR1913224.443764__1.443764	33039__A0A174Y8E4__suhB
ERR1913224.444150__1.444150	36343__GeneID:1261160
ERR1913224.444167__1.444167	820__A0A139JV05__B5G17_18125
ERR1913224.444206__1.444206	357276__A0A0M1W657__HMPREF1064_04629
ERR1913224.444571__1.444571	820__A0A1Q6IDS8__chtA
ERR1913224.444603__1.444603	820__A0A3E4QZJ7__C801_01798
ERR1913224.444665__1.444665	28116__A0A1Y4PWV4__C5Z02_15015
ERR1913224.444881__1.444881	28116__A0A1Y4Q363__Bovatus_00608
ERR1913224.445008__1.445008	1160721__W0U3Z9__RBI_I00543
ERR1913224.445031__1.445031	1262911__R6H072__BN557_00615
ERR1913224.445242__1.445242	1263107__GCA_000436995.1_00173
ERR1913224.445383__1.445383	2293125__A0A374CFT0__DW917_03440
ERR1913224.445357__1.445357	301301__A0A395V8W4__RHOM_04130
ERR1913224.445664__1.445664	2293125__A0A374C9I8__DW917_06795
ERR1913224.445796__1.445796	384638__B7ANZ4__BACPEC_00398
ERR1913224.446104__1.446104	823__A0A355XKQ8__DHP27_04010
ERR1913224.446437__1.446437	28132__D9RWK7__CEP85_07245
ERR1913224.447117__1.447117	2293125__A0A374CII0__DW917_03470
ERR1913224.447182__1.447182	1262761__R6QJJ2__BN606_00358
ERR1913224.447225__1.447225	39491__A0A395ZG74__licR
ERR1913224.447455__1.447455	165179__A0A3E5DY64__CFT61_10025
ERR1913224.448101__1.448101	823__A0A395YZG9__M092_4358
ERR1913224.448324__1.448324	823__A0A355XLT7__HMPREF1075_03402
ERR1913224.448339__1.448339	301301__G2SZ66__RHOM_00485
ERR1913224.448565__1.448565	28116__A0A1Y4PHM7__DXA80_25130
ERR1913224.448773__1.448773	1262889__R7HEJ5__BN634_01091
ERR1913224.448834__1.448834	1501392__A0A0B2JRR1__PU94_02645
ERR1913224.448805__1.448805	820__A0A173XIP7__B5G17_16050
ERR1913224.448813__1.448813	820__A0A374QGD2__ERS852421_02382
ERR1913224.449162__1.449162	33043__D5HIE6__ERS852445_01796
ERR1913224.449336__1.449336	165179__A0A229I9X5__CFT61_01205
ERR1913224.449337__1.449337	820__A0A139KG60__M094_2679
ERR1913224.449569__1.449569	1263000__R5EC87__BN466_00713
ERR1913224.449632__1.449632	820__A0A078STJ8__DXC68_04690
ERR1913224.449681__1.449681	820__A0A3E4G3J9__ERS852459_02265
ERR1913224.449824__1.449824	1262743__R5C054__BN727_01980
ERR1913224.449896__1.449896	39485__C4Z6F3__EUBELI_20400
ERR1913224.449963__1.449963	357276__B6VYT9__HMPREF1063_05030
ERR1913224.450013__1.450013	820__A0A139KH21__DXC80_01780
ERR1913224.450111__1.450111	820__A0A396EUU8__luxQ_3
ERR1913224.450391__1.450391	39485__C4Z355__ERS852490_01971
ERR1913224.450762__1.450762	1262911__R6GT76__BN557_01150
ERR1913224.450873__1.450873	418240__A0A174G945__ERS852523_01868
ERR1913224.450906__1.450906	2293125__A0A374BUM7__DW917_12980
ERR1913224.451232__1.451232	166486__D4KW59__ERS852572_02363
ERR1913224.451303__1.451303	820__A0A3E4VZY4__ERS852554_01211
ERR1913224.451467__1.451467	1501392__A0A0B2JPC3__PU94_02565
ERR1913224.451470__1.451470	853__C7H1R8__DW905_06675
ERR1913224.451529__1.451529	1501391__GCA_000786575.1_00092
ERR1913224.452022__1.452022	2293125__A0A374C8E6__DW917_07195
ERR1913224.452045__1.452045	853__E2ZGD9__C7J97_11715
ERR1913224.452086__1.452086	820__A0A396EUU8__luxQ_3
ERR1913224.452116__1.452116	820__R9HP61__DXC91_01090
ERR1913224.452178__1.452178	853__A0A174C5M1__CGS58_04460
ERR1913224.452410__1.452410	853__A0A3E2U7E6__ERS852582_01640
ERR1913224.452413__1.452413	2293125__A0A374C4I0__DW917_08630
ERR1913224.452440__1.452440	853__A0A2A7B1Y7__C7K05_11930
ERR1913224.452703__1.452703	1501391__GCA_000786575.1_00025
ERR1913224.452672__1.452672	39485__R5ZSH7__EUBELI_00953
ERR1913224.452732__1.452732	1262761__R6QUP0__BN606_01674
ERR1913224.453250__1.453250	820__A0A1T4IYF4__mprA_1
ERR1913224.453417__1.453417	1262761__R6RML5__BN606_00248
ERR1913224.453573__1.453573	820__A0A139K2N9__DXB62_12420
ERR1913224.453851__1.453851	820__A0A1T4IY71__HMPREF2141_02402
ERR1913224.453884__1.453884	2293125__A0A374BSW4__DW917_13420
ERR1913224.453929__1.453929	165179__R6XLJ7__CFT61_06250
ERR1913224.453943__1.453943	28116__A0A3D2LPA1__CUY_3388
ERR1913224.454148__1.454148	820__A0A139KJR5__M093_4469
ERR1913224.454209__1.454209	1262988__R7N7W1__BN816_00176
ERR1913224.454371__1.454371	1235835__R9LCU2__C814_02677
ERR1913224.454386__1.454386	820__A0A174CG08__DXB62_13215
ERR1913224.454352__1.454352	2293125__A0A374BMF4__DW917_15260
ERR1913224.454514__1.454514	2293125__A0A374BIB7__DW917_16550
ERR1913224.454491__1.454491	2293125__A0A374CFT0__DW917_03440
ERR1913224.454547__1.454547	1262911__R6GR13__BN557_00618
ERR1913224.454761__1.454761	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913224.454798__1.454798	1263000__R5EI35__BN466_01649
ERR1913224.454941__1.454941	1160721__W0U4N8__RBI_I00805
ERR1913224.455172__1.455172	214856__A0A173ZSM1__ERS852447_00944
ERR1913224.455276__1.455276	820__A0A139K2N9__DXB62_12420
ERR1913224.455299__1.455299	820__A0A174F0C1__nreB
ERR1913224.455314__1.455314	165179__A0A3E5E2B6__DXB80_02820
ERR1913224.455350__1.455350	39491__A0A174G6M3__DXD13_14470
ERR1913224.455581__1.455581	1897011__A0A1Q6RDG0__BHW41_05600
ERR1913224.455828__1.455828	1501391__GCA_000786575.1_00032
ERR1913224.455977__1.455977	1160721__W0U2H8__BHW50_07775
ERR1913224.456081__1.456081	1150298__A0A174SLE6__mlc_1
ERR1913224.456224__1.456224	1263107__GCA_000436995.1_00230
ERR1913224.456332__1.456332	1262777__R5VK70__BN512_01781
ERR1913224.456371__1.456371	1262761__R6RXA7__BN606_01380
ERR1913224.456412__1.456412	165179__A0A3E5AER8__DXB80_07075
ERR1913224.456440__1.456440	1160721__W0U3C6__BHW50_11080
ERR1913224.456523__1.456523	1501391__GCA_000786575.1_00035
ERR1913224.456584__1.456584	820__A0A1T4IY80__ERS852554_01621
ERR1913224.456589__1.456589	1262911__R6GR13__BN557_00618
ERR1913224.457366__1.457366	1262911__R6GR13__BN557_00618
ERR1913224.457400__1.457400	166486__D4L334__mcp3_1
ERR1913224.457473__1.457473	820__A0A3E4VXP2__yesR
ERR1913224.457422__1.457422	39485__A0A174ZLH6__EUBELI_01564
ERR1913224.457525__1.457525	2293125__A0A374BSW4__DW917_13420
ERR1913224.457879__1.457879	487174__K0X347__DIT83_07775
ERR1913224.458195__1.458195	165179__A0A229I9X5__CFT61_01205
ERR1913224.458442__1.458442	165179__A0A3E5AHY4__CFT61_07675
ERR1913224.458621__1.458621	39491__A0A395UXH0__EUBREC_0021
ERR1913224.458790__1.458790	2293125__A0A374CIC9__DW917_02045
ERR1913224.458791__1.458791	1150298__A0A174U7I9__ERS852406_02991
ERR1913224.458831__1.458831	487174__K0XES7__HMPREF9448_00566
ERR1913224.459203__1.459203	2293125__A0A374CFW0__DW917_03450
ERR1913224.459356__1.459356	1262948__R7ECS0__BN671_00604
ERR1913224.459448__1.459448	1262761__R6QU88__BN606_01983
ERR1913224.459451__1.459451	820__A0A139KIL9__DXC68_05945
ERR1913224.459608__1.459608	1262988__R7N7L2__BN816_00087
ERR1913224.459776__1.459776	1160721__W0U532__RBI_I00944
ERR1913224.459782__1.459782	1262761__R6QTF1__BN606_01445
ERR1913224.459885__1.459885	1501391__GCA_000786575.1_00068
ERR1913224.459888__1.459888	1263109__GCA_000438135.1_01430
ERR1913224.460325__1.460325	1262911__R6GMD8__BN557_01647
ERR1913224.460386__1.460386	165179__A0A3E5EB26__CFT61_02800
ERR1913224.460565__1.460565	2293125__A0A374BQ34__DW917_14250
ERR1913224.460619__1.460619	820__A0A174NUS8__DXC80_12885
ERR1913224.460669__1.460669	820__A0A174M9V5__M093_0237
ERR1913224.460624__1.460624	820__A0A139K426__B5G17_09115
ERR1913224.460713__1.460713	2293125__A0A374BUM7__DW917_12980
ERR1913224.460934__1.460934	28116__A0A1Y4Q367__ERS852555_04706
ERR1913224.461215__1.461215	2293125__A0A374BSW4__DW917_13420
ERR1913224.461510__1.461510	1262911__R6GTZ0__BN557_01437
ERR1913224.461612__1.461612	820__A0A174B4N2__M093_2531
ERR1913224.461661__1.461661	1262761__R6RP35__BN606_00461
ERR1913224.461646__1.461646	821__A0A396F9T7__M097_3427
ERR1913224.461788__1.461788	2293125__A0A374BSW4__DW917_13420
ERR1913224.461820__1.461820	47678__A5ZEA3__ERS852558_00257
ERR1913224.461915__1.461915	1262736__R5YCY9__BN496_00487
ERR1913224.461893__1.461893	2293125__A0A374C7Q4__DW917_07745
ERR1913224.462080__1.462080	239935__R7DVW2__CXU02_03915
ERR1913224.462183__1.462183	2293125__A0A374BN09__DW917_16245
ERR1913224.462232__1.462232	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913224.462360__1.462360	165179__A0A3E5EB26__CFT61_02800
ERR1913224.462427__1.462427	2293125__A0A374CFU2__DW917_03475
ERR1913224.462435__1.462435	1501391__GCA_000786575.1_00149
ERR1913224.462461__1.462461	820__A7V8C2__ERS852554_01338
ERR1913224.462737__1.462737	40518__R5DUG7__sbcC
ERR1913224.462844__1.462844	820__A7V049__DXB48_04755
ERR1913224.462867__1.462867	322505__xre_3
ERR1913224.463040__1.463040	562__A0A376L0A6__CQA14_19985
ERR1913224.463143__1.463143	165179__A0A229I7F5__DXB80_02650
ERR1913224.463356__1.463356	820__A0A173XIP7__B5G17_16050
ERR1913224.463469__1.463469	39492__D4JR58__EUBSIR_02090
ERR1913224.463588__1.463588	820__A0A174A6K0__M093_0079
ERR1913224.463615__1.463615	165179__A0A174SA26__PREVCOP_05758
ERR1913224.463675__1.463675	1262911__R6H092__BN557_00938
ERR1913224.463691__1.463691	1262761__R6RU22__BN606_01110
ERR1913224.463802__1.463802	2293125__A0A374BRB6__DW917_13815
ERR1913224.464037__1.464037	214856__R6XQX8__ERS852559_02550
ERR1913224.464202__1.464202	1897011__A0A1Q6RE52__BHW41_04690
ERR1913224.464226__1.464226	39491__A0A173U0X0__DXB72_05865
ERR1913224.464539__1.464539	371601__D7J175__DXD03_05675
ERR1913224.464681__1.464681	28116__F7LC60__AA414_00422
ERR1913224.464808__1.464808	1965650__A0A1Y3VAY8__B5G16_09685
ERR1913224.464882__1.464882	820__A7UYG6__M094_0070
ERR1913224.464939__1.464939	2293125__A0A374CFZ2__DW917_03445
ERR1913224.464906__1.464906	46228__B5CKX6__RUMLAC_00090
ERR1913224.465132__1.465132	1150298__R7JL35__ERS852498_02809
ERR1913224.465218__1.465218	853__A0A173YYY4__DWZ04_09420
ERR1913224.465297__1.465297	2293125__A0A374BIB7__DW917_16550
ERR1913224.465353__1.465353	2293125__A0A374CII0__DW917_03470
ERR1913224.465356__1.465356	1150298__R7JSE8__coaX_1
ERR1913224.465384__1.465384	1262911__R6H212__BN557_01031
ERR1913224.465647__1.465647	165179__D1PGU8__PREVCOP_06463
ERR1913224.465686__1.465686	820__A0A374Q854__HMPREF1073_03281
ERR1913224.465949__1.465949	1262911__R6GZ01__BN557_00641
ERR1913224.466224__1.466224	460384__A0A1I0G594__C7256_26025
ERR1913224.466346__1.466346	1501391__GCA_000786575.1_00154
ERR1913224.466529__1.466529	147206__GCF_000156215.1_01776
ERR1913224.466504__1.466504	823__A6L9D3__ERS852560_03374
ERR1913224.466571__1.466571	853__A0A173YYY4__DWZ04_09420
ERR1913224.466585__1.466585	1262761__R6RBJ5__BN606_02022
ERR1913224.466924__1.466924	820__A0A139K0K1__DXB37_05460
ERR1913224.466969__1.466969	1262945__R6YUN7__BN600_01421
ERR1913224.466985__1.466985	1262889__R7HFT7__BN634_01537
ERR1913224.467137__1.467137	384639__GCA_003096855.1_01996
ERR1913224.467354__1.467354	820__A0A139K4T0__ERS852510_03146
ERR1913224.467388__1.467388	1965650__A0A1Y3V5H4__B5G16_12115
ERR1913224.467465__1.467465	1501391__GCA_000786575.1_00071
ERR1913224.467656__1.467656	1262761__R6QS88__BN606_01626
ERR1913224.467757__1.467757	853__A0A173XRA8__CGS56_09290
ERR1913224.467808__1.467808	820__A0A078STJ8__DXC68_04690
ERR1913224.467888__1.467888	1262889__R7HAK5__BN634_00884
ERR1913224.467896__1.467896	418240__C6J7Z2__ERS852478_01924
ERR1913224.468158__1.468158	1262992__R5DH34__BN795_00678
ERR1913224.468233__1.468233	1262783__R6D4I1__BN558_02429
ERR1913224.468274__1.468274	544644__GCA_001915615.1_01914
ERR1913224.468616__1.468616	28116__F7L4X5__M089_2857
ERR1913224.468659__1.468659	820__A0A374Q854__HMPREF1073_03281
ERR1913224.468701__1.468701	820__A0A374MMF0__HMPREF1073_03811
ERR1913224.468812__1.468812	1150298__R7JXH6__mecR1
ERR1913224.468817__1.468817	820__A0A174F696__macB_13
ERR1913224.468999__1.468999	853__A0A3E2U7E6__ERS852582_01640
ERR1913224.469119__1.469119	820__E5VEH7__ERS852459_01300
ERR1913224.469501__1.469501	165179__A0A3E5AHY4__CFT61_07675
ERR1913224.469577__1.469577	28118__F9ZAE1__DF785_04930
ERR1913224.469779__1.469779	165179__A0A174IYW3__DXC61_01235
ERR1913224.469780__1.469780	820__A0A3E4WCC2__lptB_1
ERR1913224.470029__1.470029	823__D7IXG8__ERS852560_01232
ERR1913224.470093__1.470093	1262761__R6R4V4__BN606_00113
ERR1913224.470373__1.470373	1965650__A0A1Y3VGH2__B5G16_02190
ERR1913224.470448__1.470448	1262736__R5YX38__BN496_01145
ERR1913224.470472__1.470472	1262761__R6R840__BN606_01433
ERR1913224.470609__1.470609	1501391__GCA_000786575.1_00149
ERR1913224.470805__1.470805	1262911__R6GNY6__BN557_00004
ERR1913224.470864__1.470864	2293125__A0A374CJ42__DW917_03305
ERR1913224.470923__1.470923	821__A0A3E4WAR6__DXD64_10735
ERR1913224.470930__1.470930	2293125__A0A374C3L4__DW917_09100
ERR1913224.470965__1.470965	28116__E5CCI3__NCTC11153_04275
ERR1913224.471081__1.471081	820__A0A174R952__DXB48_02570
ERR1913224.471344__1.471344	246787__R6KRT7__BACCELL_01801
ERR1913224.471352__1.471352	165179__A0A3E5EB26__CFT61_02800
ERR1913224.471738__1.471738	410072__A0A173SR68__ERS852525_01153
ERR1913224.472054__1.472054	1262911__R6GR13__BN557_00618
ERR1913224.472171__1.472171	1263107__GCA_000436995.1_00097
ERR1913224.472517__1.472517	39485__C4Z355__ERS852490_01971
ERR1913224.472580__1.472580	820__A0A374QGD2__ERS852421_02382
ERR1913224.472781__1.472781	39491__C4Z8Y4__ERS852417_00909
ERR1913224.472855__1.472855	446660__GCA_003428235.1_00689
ERR1913224.472968__1.472968	1262889__R7H6R3__BN634_02192
ERR1913224.473252__1.473252	1262911__R6H174__BN557_01246
ERR1913224.473335__1.473335	2293125__A0A374CFT0__DW917_03440
ERR1913224.473404__1.473404	1262761__R6R2P8__BN606_01616
ERR1913224.473541__1.473541	1147152__GeneID:14181982
ERR1913224.473706__1.473706	820__A0A3E4XM43__DXC91_13960
ERR1913224.473938__1.473938	2293125__A0A374CI55__DW917_03455
ERR1913224.473942__1.473942	28116__A7LXU0__HMPREF1070_00358
ERR1913224.473946__1.473946	1262944__R7IMR1__BN596_01228
ERR1913224.474233__1.474233	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913224.474533__1.474533	239935__R7E524__CXT91_06180
ERR1913224.474596__1.474596	2293125__A0A374CFT0__DW917_03440
ERR1913224.474810__1.474810	820__A0A139KJR5__M093_4469
ERR1913224.475190__1.475190	1703337__A0A2U0U7Q7__C7379_11089
ERR1913224.475328__1.475328	28116__A0A395VSP8__ERS852555_02642
ERR1913224.475711__1.475711	39485__A0A174ZBK4__ERS852490_01585
ERR1913224.475832__1.475832	1262700__R5XBD0__BN695_00459
ERR1913224.475893__1.475893	2293125__A0A374C4C8__DW917_09805
ERR1913224.475957__1.475957	165179__A0A3E5DN34__DXC61_07865
ERR1913224.475976__1.475976	1262942__R7QW43__BN520_01080
ERR1913224.476176__1.476176	46228__V8BLW9__DXD17_14090
ERR1913224.476240__1.476240	1501391__GCA_000786575.1_00110
ERR1913224.476273__1.476273	39492__D4JW25__EUBSIR_02203
ERR1913224.476421__1.476421	387090__S0F7Y3__BACCOPRO_02028
ERR1913224.476431__1.476431	40520__R7DB69__lgt_1
ERR1913224.476551__1.476551	36343__GeneID:1261150
ERR1913224.476603__1.476603	39492__D4JSU6__dacB_3
ERR1913224.476701__1.476701	1150298__R7JMX3__ERS852498_00681
ERR1913224.476726__1.476726	2293125__A0A374C4J1__DW917_09855
ERR1913224.476802__1.476802	1262761__R6R2H8__BN606_00936
ERR1913224.477307__1.477307	820__A0A139K1Y6__DXB48_02610
ERR1913224.477359__1.477359	165179__D1PGU8__PREVCOP_06463
ERR1913224.477523__1.477523	823__A0A174U5E4__BDI_3390
ERR1913224.477548__1.477548	1263107__GCA_000436995.1_00134
ERR1913224.477627__1.477627	239935__A0A2N8HEH9__CXU07_11710
ERR1913224.477815__1.477815	2293125__A0A374CFT0__DW917_03440
ERR1913224.478004__1.478004	46228__B5CLE1__HMPREF1202_01861
ERR1913224.478054__1.478054	47678__R5U7T0__CGC64_00755
ERR1913224.478330__1.478330	28116__A0A1Y4P7B7__M088_2098
ERR1913224.478467__1.478467	28116__A0A395W0G7__NCTC11153_02716
ERR1913224.478613__1.478613	820__A7V049__DXB48_04755
ERR1913224.478751__1.478751	820__A0A139KEW8__DXB64_06405
ERR1913224.478775__1.478775	1501391__GCA_000786575.1_00077
ERR1913224.478888__1.478888	1501391__GCA_000786575.1_00037
ERR1913224.478971__1.478971	1262761__R6QVL2__BN606_00807
ERR1913224.478980__1.478980	820__A0A139KH21__DXC80_01780
ERR1913224.479158__1.479158	1965650__A0A1Y3VCG1__B5G16_07580
ERR1913224.479387__1.479387	165179__A0A229I7F5__DXB80_02650
ERR1913224.479656__1.479656	820__R9I2U8__DXC68_09590
ERR1913224.479727__1.479727	853__A0A2A7B9I6__DW855_13690
ERR1913224.479692__1.479692	1501391__GCA_000786575.1_00087
ERR1913224.479785__1.479785	1262761__R6QUS0__BN606_00152
ERR1913224.480182__1.480182	39485__R5ZVC3__ERS852490_00250
ERR1913224.480399__1.480399	821__A0A174NM17__lacZ_6
ERR1913224.480443__1.480443	2293125__A0A374BUM7__DW917_12980
ERR1913224.480609__1.480609	214856__R6XP73__ERS852447_00886
ERR1913224.480613__1.480613	1263107__GCA_000436995.1_00059
ERR1913224.480841__1.480841	820__A0A3E4WCX3__C801_02709
ERR1913224.480887__1.480887	820__A0A139K0J1__HMPREF2141_03205
ERR1913224.480937__1.480937	84026__C0EGL8__CLOSTMETH_03011
ERR1913224.481349__1.481349	301302__A0A0M6W9N8__tig_2
ERR1913224.481357__1.481357	820__A0A174RFI5__SAMN05444418_12240
ERR1913224.481427__1.481427	33043__D5HGR0__rpfC_2
ERR1913224.481615__1.481615	1262761__R6RU22__BN606_01110
ERR1913224.481877__1.481877	817__A0A395WRC9__CQW37_02759
ERR1913224.482203__1.482203	1501391__GCA_000786575.1_00081
ERR1913224.482237__1.482237	40520__A0A395XDY5__ERS852394_00913
ERR1913224.482372__1.482372	189722__E0NQU7__HMPREF0658_0548
ERR1913224.482449__1.482449	1262777__R5VV74__BN512_00530
ERR1913224.482492__1.482492	820__A0A3E4G8F8__ERS852421_01645
ERR1913224.482548__1.482548	820__A0A174A6K0__M093_0079
ERR1913224.482840__1.482840	820__A0A174R952__DXB48_02570
ERR1913224.482929__1.482929	853__A0A173T6P2__DWZ46_14595
ERR1913224.483245__1.483245	218538__C9LQ77__GCWU000321_01709
ERR1913224.483413__1.483413	214856__A0A174CRY5__ERS852559_01060
ERR1913224.484162__1.484162	1160721__R6T157__BHW50_04000
ERR1913224.484232__1.484232	39492__D4JQU6__ERS852540_02194
ERR1913224.484380__1.484380	39492__D4JS88__ERS852540_00578
ERR1913224.484551__1.484551	301301__A0A395V9P9__ERS852391_00747
ERR1913224.484849__1.484849	1262911__R6GZ01__BN557_00641
ERR1913224.484979__1.484979	1263000__R5EU91__BN466_01432
ERR1913224.485011__1.485011	165179__A0A3E5AHY4__CFT61_07675
ERR1913224.485065__1.485065	556259__E5C7G7__BSGG_0443
ERR1913224.485202__1.485202	165179__D1PCL6__DXB80_13435
ERR1913224.485266__1.485266	410072__A0A174K1W4__apxIB
