ERR1913181.91__1.91	39492__D4MMN2__EUBSIR_00964
ERR1913181.2260012__1.2260012	1262911__R6GPA3__BN557_00827
ERR1913181.2260199__1.2260199	39492__D4JUD7__EUBSIR_01877
ERR1913181.2260289__1.2260289	1407493__GeneID:17503257
ERR1913181.2260329__1.2260329	1262882__R5MH82__BN519_00752
ERR1913181.2260414__1.2260414	1262911__R6GK39__BN557_01755
ERR1913181.2260427__1.2260427	1262948__R7E981__BN671_01814
ERR1913181.2260494__1.2260494	40518__R5E550__aroK
ERR1913181.2260622__1.2260622	1735__B7CD72__EUBIFOR_02151
ERR1913181.2260663__1.2260663	28118__F9ZCN9__DHW44_07820
ERR1913181.2260717__1.2260717	33043__D5HDZ9__ERS852386_00394
ERR1913181.2260770__1.2260770	1262915__R6HBE0__BN574_01103
ERR1913181.2261147__1.2261147	40518__R5DU92__DXD93_03170
ERR1913181.2261151__1.2261151	1160721__W0U3J7__RBI_I00948
ERR1913181.2261302__1.2261302	28117__B0MXR4__BHV66_08025
ERR1913181.2261516__1.2261516	2173__A0A1D2WTT4__BK798_05110
ERR1913181.2261528__1.2261528	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2261620__1.2261620	1262882__R5MKV8__BN519_01281
ERR1913181.2261705__1.2261705	1263107__GCA_000436995.1_00080
ERR1913181.2261690__1.2261690	487174__K0X773__DIT83_07170
ERR1913181.2261714__1.2261714	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2261805__1.2261805	74426__rpoC
ERR1913181.2261928__1.2261928	1501391__GCA_000786575.1_00024
ERR1913181.2261932__1.2261932	1124654__GeneID:3953011
ERR1913181.2261970__1.2261970	1262882__R5MT08__BN519_01706
ERR1913181.2261972__1.2261972	39492__D4JRM4__tap_5
ERR1913181.2262221__1.2262221	33043__D5HH62__ERS852575_00121
ERR1913181.2262392__1.2262392	1262911__R6GUQ4__BN557_01581
ERR1913181.2262420__1.2262420	88431__A6BIL9__ERS852573_01301
ERR1913181.2262430__1.2262430	823__A6LBY1__ERS852380_00510
ERR1913181.2262504__1.2262504	40520__A0A395ZVL9__DXD81_13855
ERR1913181.2262478__1.2262478	301302__A0A0M6WH46__M72_23101
ERR1913181.2262570__1.2262570	10680__GeneID:1261099
ERR1913181.2262915__1.2262915	33043__A0A174EI47__inlJ
ERR1913181.2263334__1.2263334	39488__A0A173SKK4__ERS852578_01024
ERR1913181.2263357__1.2263357	39492__D4JUJ6__ssuB_2
ERR1913181.2263403__1.2263403	33043__A0A174DAG8__dapF
ERR1913181.2263439__1.2263439	33043__A0A173X520__ERS852575_01617
ERR1913181.2263539__1.2263539	418240__A0A174T5R0__yehU_2
ERR1913181.2263543__1.2263543	74426__rpoC
ERR1913181.2263774__1.2263774	28117__B0MZ50__ALIPUT_02424
ERR1913181.2263868__1.2263868	88431__A0A174RFW8__ERS852526_02076
ERR1913181.2263959__1.2263959	374840__GeneID:2546403
ERR1913181.2264134__1.2264134	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2264141__1.2264141	301301__A0A395V4X8__ERS852391_01546
ERR1913181.2264275__1.2264275	39492__B0MM84__lgt
ERR1913181.2264369__1.2264369	33043__D5HF09__ERS852575_02732
ERR1913181.2264326__1.2264326	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2264414__1.2264414	1263000__R5F0H4__BN466_00249
ERR1913181.2264597__1.2264597	1262882__R5N1R4__BN519_00788
ERR1913181.2264652__1.2264652	1262911__R6HP91__BN557_01264
ERR1913181.2264848__1.2264848	1897011__A0A1Q6REU9__BHW41_04345
ERR1913181.2264964__1.2264964	1262911__R6GIY2__BN557_01575
ERR1913181.2265061__1.2265061	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2265199__1.2265199	28117__B0MY82__BHV66_04755
ERR1913181.2265281__1.2265281	1262882__R5N532__BN519_01420
ERR1913181.2265322__1.2265322	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2265391__1.2265391	387661__K6AII0__HMPREF1077_00253
ERR1913181.2265457__1.2265457	33043__A8SWM2__ERS852575_01910
ERR1913181.2265472__1.2265472	47678__A5ZLX1__C5Z00_04825
ERR1913181.2265645__1.2265645	40518__R5DU92__DXD93_03170
ERR1913181.2265703__1.2265703	1628085__A0A3E2Y1Z4__C7386_12230
ERR1913181.2265758__1.2265758	47678__R5V127__HMPREF1061_04334
ERR1913181.2265826__1.2265826	1501391__GCA_000786575.1_00020
ERR1913181.2265814__1.2265814	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2265817__1.2265817	301302__A0A173T3P5__ERS852420_01836
ERR1913181.2265822__1.2265822	1262882__R5MFR3__BN519_00473
ERR1913181.2265943__1.2265943	39492__D4JUP6__ERS852540_01404
ERR1913181.2265874__1.2265874	1262915__R6HCJ7__BN574_00649
ERR1913181.2265875__1.2265875	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2266018__1.2266018	562__A0A376L0A6__CQA14_19985
ERR1913181.2266130__1.2266130	47678__R5U9Z6__HMPREF1061_03205
ERR1913181.2266278__1.2266278	1262911__R6GXH0__BN557_00389
ERR1913181.2266365__1.2266365	47678__R5U978__ERS852558_01076
ERR1913181.2266475__1.2266475	187327__G4Q682__Acin_1672
ERR1913181.2266561__1.2266561	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2266722__1.2266722	33043__A0A173YSY7__tilS
ERR1913181.2266782__1.2266782	487174__K0XLV6__DIT83_00940
ERR1913181.2267326__1.2267326	1160721__R6THG6__RBI_I00012
ERR1913181.2267377__1.2267377	46503__R6Y1Q8__DXB85_01295
ERR1913181.2267465__1.2267465	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2267545__1.2267545	154046__A0A174N370__DXC39_19790
ERR1913181.2267597__1.2267597	33043__A0A173ZZF8__sbp_2
ERR1913181.2267604__1.2267604	1262882__R5MNC1__BN519_00818
ERR1913181.2267802__1.2267802	39492__D4JUR4__ERS852540_01427
ERR1913181.2267860__1.2267860	1262911__R6H174__BN557_01246
ERR1913181.2267924__1.2267924	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2268083__1.2268083	1262882__R5MFR3__BN519_00473
ERR1913181.2268172__1.2268172	1262882__R5MLP0__BN519_01597
ERR1913181.2268180__1.2268180	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2268413__1.2268413	1262882__R5N0F4__BN519_00593
ERR1913181.2268426__1.2268426	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2268440__1.2268440	1262882__R5MY46__BN519_00355
ERR1913181.2268543__1.2268543	40518__R5DY98__mepA_5
ERR1913181.2268552__1.2268552	28117__R7JIY2__BHV66_06465
ERR1913181.2268562__1.2268562	374840__GeneID:2546403
ERR1913181.2268691__1.2268691	853__A0A173RZ39__C4N22_01650
ERR1913181.2268768__1.2268768	1262882__R5N5C3__BN519_01664
ERR1913181.2268948__1.2268948	1262911__R6GXH0__BN557_00389
ERR1913181.2268963__1.2268963	853__A0A2A7B9I6__DW855_13690
ERR1913181.2269035__1.2269035	39496__A5Z5I2__EUBVEN_00963
ERR1913181.2269090__1.2269090	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2269184__1.2269184	33043__D5HH62__ERS852575_00121
ERR1913181.2269302__1.2269302	487175__F3QLF9__HMPREF9439_01778
ERR1913181.2269573__1.2269573	1262915__R6HCN0__BN574_00694
ERR1913181.2269575__1.2269575	1262911__R6GZW9__BN557_00833
ERR1913181.2269588__1.2269588	1262882__R5N2E1__BN519_01117
ERR1913181.2269702__1.2269702	301302__R5UTE0__ERS852420_02625
ERR1913181.2269830__1.2269830	374840__GeneID:2546403
ERR1913181.2269883__1.2269883	1262945__R6YN47__BN600_01557
ERR1913181.2270042__1.2270042	301302__A0A0M6WGI7__M72_20931
ERR1913181.2270057__1.2270057	487174__K0WYC5__HMPREF9448_01493
ERR1913181.2270068__1.2270068	28117__B0MXX2__ALIPUT_01984
ERR1913181.2270174__1.2270174	214856__A0A173W3Y5__ERS852559_02032
ERR1913181.2270266__1.2270266	487174__K0WYG8__HMPREF9448_01522
ERR1913181.2270280__1.2270280	1262882__R5MGI7__BN519_00643
ERR1913181.2270350__1.2270350	1160721__R6UAE5__BHW50_03280
ERR1913181.2270450__1.2270450	40518__R5DLU0__fmt
ERR1913181.2270473__1.2270473	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2270678__1.2270678	39485__C4Z6F3__EUBELI_20400
ERR1913181.2270777__1.2270777	562__P77294__fimG
ERR1913181.2271160__1.2271160	1262911__R6GY78__BN557_00532
ERR1913181.2271183__1.2271183	2292352__A0A374UKT9__DXC23_09375
ERR1913181.2271272__1.2271272	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2271692__1.2271692	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2271732__1.2271732	820__A7VAR9__ERS852421_00197
ERR1913181.2271736__1.2271736	1262882__R5N3H1__BN519_01121
ERR1913181.2271809__1.2271809	562__A0A376L0A6__CQA14_19985
ERR1913181.2271880__1.2271880	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2271914__1.2271914	40518__R5DU92__DXD93_03170
ERR1913181.2271920__1.2271920	1262882__R5N2U9__BN519_01221
ERR1913181.2271956__1.2271956	823__A0A078SYK6__DXB14_02485
ERR1913181.2272005__1.2272005	40518__R5E2U9__RBL263_01292
ERR1913181.2272059__1.2272059	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2272084__1.2272084	1262882__R5N532__BN519_01420
ERR1913181.2272173__1.2272173	33043__A0A173X520__ERS852575_01617
ERR1913181.2272127__1.2272127	10678__GeneID:2777452
ERR1913181.2272240__1.2272240	33043__A0A173YQY3__ERS852445_01438
ERR1913181.2272269__1.2272269	1262882__R5MSS9__BN519_01662
ERR1913181.2272322__1.2272322	214856__R6XKW1__ERS852559_01141
ERR1913181.2272445__1.2272445	1680__A0A3E4SB79__BAD_1517
ERR1913181.2272563__1.2272563	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2272651__1.2272651	1680__A0A0B5BKZ3__DXD60_01450
ERR1913181.2272658__1.2272658	1262882__R5MFK5__BN519_00378
ERR1913181.2272758__1.2272758	1150298__R7JPI7__cotI
ERR1913181.2272833__1.2272833	10678__GeneID:2777481
ERR1913181.2272879__1.2272879	39492__D4JT67__EUBSIR_01784
ERR1913181.2272934__1.2272934	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2273448__1.2273448	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2273616__1.2273616	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2273643__1.2273643	487174__K0WRR5__DDY40_06130
ERR1913181.2273773__1.2273773	116085__D4J8F7__DW747_09065
ERR1913181.2273783__1.2273783	371601__I9AJD5__BN890_44160
ERR1913181.2273856__1.2273856	47678__R5U8Y1__BACCAC_02615
ERR1913181.2273939__1.2273939	189722__E0NQU7__HMPREF0658_0548
ERR1913181.2273996__1.2273996	936548__J1LLT2__HMPREF1136_0384
ERR1913181.2274076__1.2274076	1262882__R5N3T7__BN519_01188
ERR1913181.2274172__1.2274172	1262882__R5MRS7__BN519_01490
ERR1913181.2274161__1.2274161	487174__K0WS78__HMPREF9448_02825
ERR1913181.2274463__1.2274463	39492__D4JW25__EUBSIR_02203
ERR1913181.2274573__1.2274573	1263000__R5EGY6__BN466_00973
ERR1913181.2274587__1.2274587	1124654__GeneID:14005781
ERR1913181.2274589__1.2274589	853__A0A173XRA8__CGS56_09290
ERR1913181.2274631__1.2274631	40520__R7D9Z5__DXD81_01525
ERR1913181.2274680__1.2274680	823__A0A174DZM1__DDY96_10310
ERR1913181.2274685__1.2274685	1262882__R5MIY9__BN519_01097
ERR1913181.2274814__1.2274814	33043__D5HFA1__ERS852400_02183
ERR1913181.2274884__1.2274884	47678__R5U558__ERS852558_02232
ERR1913181.2274939__1.2274939	1550024__G9RWG1__ASJ35_03770
ERR1913181.2275092__1.2275092	47678__R5U7L8__DXB67_16595
ERR1913181.2275124__1.2275124	1150298__R7JTQ3__rne
ERR1913181.2275183__1.2275183	74426__pta
ERR1913181.2275304__1.2275304	821__A0A173XDD3__DXB82_17180
ERR1913181.2275318__1.2275318	1735__B7CE80__EUBIFOR_02524
ERR1913181.2275390__1.2275390	1262824__R6S516__BN719_00505
ERR1913181.2275611__1.2275611	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2275682__1.2275682	626929__F3PIN4__SAMN05444376_2010
ERR1913181.2275838__1.2275838	1262948__R7E9X4__BN671_02033
ERR1913181.2276008__1.2276008	28117__B0MUX4__ALIPUT_00911
ERR1913181.2276130__1.2276130	1160721__R6TIT8__BHW50_03275
ERR1913181.2276175__1.2276175	487174__K0WZP2__DDY40_04000
ERR1913181.2276196__1.2276196	33043__A0A174CV49__ERS852386_02395
ERR1913181.2276199__1.2276199	47678__R5U7X5__ERS852558_01354
ERR1913181.2276237__1.2276237	487174__K0XJ34__DDY40_06890
ERR1913181.2276291__1.2276291	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2276311__1.2276311	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2276522__1.2276522	374840__GeneID:2546403
ERR1913181.2276709__1.2276709	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2276710__1.2276710	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2276829__1.2276829	1262882__R5MMP8__BN519_01654
ERR1913181.2276848__1.2276848	12417__GeneID:1262205
ERR1913181.2276899__1.2276899	47678__R5U978__ERS852558_01076
ERR1913181.2276915__1.2276915	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2277040__1.2277040	1262882__R5MT08__BN519_01706
ERR1913181.2277184__1.2277184	47678__A5ZL09__BACCAC_03608
ERR1913181.2277195__1.2277195	1262882__R5MYI1__BN519_00416
ERR1913181.2277251__1.2277251	1262882__R5MLT4__BN519_01496
ERR1913181.2277322__1.2277322	40518__R5DU38__DXD83_06770
ERR1913181.2277281__1.2277281	47678__R5UER2__CGC64_00710
ERR1913181.2277304__1.2277304	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2277394__1.2277394	1262882__R5MEW7__BN519_00010
ERR1913181.2277504__1.2277504	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2277744__1.2277744	1897011__A0A1Q6RBT0__BHW41_06785
ERR1913181.2277814__1.2277814	374840__GeneID:2546403
ERR1913181.2277947__1.2277947	562__P08371__RW92_04043
ERR1913181.2278166__1.2278166	357276__I8VQA2__HMPREF1065_04183
ERR1913181.2278209__1.2278209	853__A0A173YYY4__DWZ04_09420
ERR1913181.2278186__1.2278186	1262882__R5MYI1__BN519_00416
ERR1913181.2278244__1.2278244	821__A0A0P0LFP6__C5Z04_13890
ERR1913181.2278288__1.2278288	116085__D4J6L8__DW747_08035
ERR1913181.2278303__1.2278303	823__A0A173RD26__B5F32_03910
ERR1913181.2278562__1.2278562	33043__A0A174B6N5__ERS852445_02414
ERR1913181.2278546__1.2278546	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2278668__1.2278668	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2278651__1.2278651	853__C7H1R8__DW905_06675
ERR1913181.2278951__1.2278951	562__P77393__PU31_14870
ERR1913181.2279024__1.2279024	817__Q64XX5__M126_0821
ERR1913181.2279131__1.2279131	28117__B0MY45__ALIPUT_02164
ERR1913181.2279358__1.2279358	39496__A5Z5I2__EUBVEN_00963
ERR1913181.2279642__1.2279642	1262882__R5MNC1__BN519_00818
ERR1913181.2279651__1.2279651	2173__A0A1D2WUC2__METSMIALI_01296
ERR1913181.2279892__1.2279892	374844__GeneID:1260912
ERR1913181.2279902__1.2279902	301302__A0A0M6WXK9__chtA
ERR1913181.2279868__1.2279868	357276__I9FGI3__EL88_12385
ERR1913181.2280058__1.2280058	1262882__R5N3T7__BN519_01188
ERR1913181.2280157__1.2280157	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2280176__1.2280176	47678__R5U978__ERS852558_01076
ERR1913181.2280289__1.2280289	47678__R5U978__ERS852558_01076
ERR1913181.2280417__1.2280417	28117__B0MTV5__BHV66_06415
ERR1913181.2280442__1.2280442	2173__A5ULL1__Msm_0884
ERR1913181.2280636__1.2280636	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2280824__1.2280824	61171__B9Y5T9__HOLDEFILI_01171
ERR1913181.2280794__1.2280794	1262911__R6GT76__BN557_01150
ERR1913181.2280811__1.2280811	214856__A0A173ZSL2__ERS852559_00010
ERR1913181.2280927__1.2280927	1262911__R6GY22__BN557_00023
ERR1913181.2281016__1.2281016	1262882__R5MM10__BN519_01679
ERR1913181.2281134__1.2281134	1262882__R5MZQ5__BN519_00648
ERR1913181.2281214__1.2281214	1262882__R5MZQ5__BN519_00648
ERR1913181.2281378__1.2281378	1263000__R5EK63__BN466_02075
ERR1913181.2281463__1.2281463	1262882__R5ML49__BN519_01361
ERR1913181.2281468__1.2281468	1262882__R5MKL9__BN519_00353
ERR1913181.2281549__1.2281549	28117__B0MXG8__ALIPUT_01814
ERR1913181.2281494__1.2281494	1262882__R5MM69__BN519_00075
ERR1913181.2281554__1.2281554	47678__R5UT79__ERS852558_03890
ERR1913181.2281600__1.2281600	2173__A5UK74__pyrP
ERR1913181.2281934__1.2281934	33043__D5HIK4__ERS852400_01112
ERR1913181.2281994__1.2281994	487174__K0X2W8__HMPREF9448_02611
ERR1913181.2282387__1.2282387	39496__A5Z5I2__EUBVEN_00963
ERR1913181.2282408__1.2282408	33043__A0A173WU55__ganB_2
ERR1913181.2282456__1.2282456	28116__A0A3E5HTL2__SAMN05444282_12366
ERR1913181.2282607__1.2282607	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913181.2282986__1.2282986	1262882__R5N0F4__BN519_00593
ERR1913181.2282962__1.2282962	39492__D4JT87__clpC
ERR1913181.2282965__1.2282965	1262882__R5MEW7__BN519_00010
ERR1913181.2283031__1.2283031	33043__D5HHE4__ERS852445_02332
ERR1913181.2283324__1.2283324	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2283354__1.2283354	410072__A0A173YQW3__dtpT_1
ERR1913181.2283467__1.2283467	33043__A0A173ZDC4__malL_1
ERR1913181.2283512__1.2283512	239935__A0A2N8IQX1__dnaA
ERR1913181.2283635__1.2283635	33043__A0A173X520__ERS852575_01617
ERR1913181.2283640__1.2283640	47678__R5UXY0__CGC64_03535
ERR1913181.2283717__1.2283717	1735__B7C7W3__EUBIFOR_00263
ERR1913181.2284144__1.2284144	40518__R5DLW4__thiN
ERR1913181.2284242__1.2284242	47678__R5UAF6__ERS852494_02966
ERR1913181.2284307__1.2284307	458033__GCA_001482755.1_02203
ERR1913181.2284371__1.2284371	823__A0A355XN73__DXC05_07000
ERR1913181.2284440__1.2284440	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2284417__1.2284417	572010__lepA
ERR1913181.2284490__1.2284490	28116__A7M344__BACOV975_04644
ERR1913181.2284515__1.2284515	88431__A0A174A952__ugpA_1
ERR1913181.2284519__1.2284519	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2284574__1.2284574	1262882__R5MSI7__BN519_01601
ERR1913181.2284715__1.2284715	28117__B0MVL5__BHV66_01660
ERR1913181.2284765__1.2284765	2173__A0A1D2WXH6__METSMIALI_01616
ERR1913181.2284771__1.2284771	33043__D5HIS6__ERS852575_02019
ERR1913181.2284892__1.2284892	1262882__R5MFY4__BN519_00529
ERR1913181.2284969__1.2284969	1262882__R5MRS7__BN519_01490
ERR1913181.2284980__1.2284980	47678__A5ZJ14__ERS852494_02225
ERR1913181.2285078__1.2285078	28116__A0A078QGJ1__AA414_00533
ERR1913181.2285230__1.2285230	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2285300__1.2285300	374844__GeneID:1260912
ERR1913181.2285496__1.2285496	821__C3RB94__DXC03_15585
ERR1913181.2285531__1.2285531	33043__D5HI36__ERS852400_02168
ERR1913181.2285545__1.2285545	28117__B0MY41__BHV66_05165
ERR1913181.2285883__1.2285883	47678__A5ZI88__BACCAC_02617
ERR1913181.2286022__1.2286022	28117__R7JN92__BHV66_00550
ERR1913181.2286074__1.2286074	33043__A0A173W4M0__dnaD
ERR1913181.2286104__1.2286104	33043__A0A173WXS1__ERS852445_00262
ERR1913181.2286285__1.2286285	33043__D5HHY4__luxQ_1
ERR1913181.2286355__1.2286355	1262882__R5N3H1__BN519_01121
ERR1913181.2286546__1.2286546	28116__F7L4X5__M089_2857
ERR1913181.2286692__1.2286692	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2286768__1.2286768	1535__A7VPY7__CLOLEP_00614
ERR1913181.2286844__1.2286844	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2286933__1.2286933	487174__K0WXG8__DIT83_09300
ERR1913181.2287006__1.2287006	47678__R5UPG7__C5Z00_18695
ERR1913181.2287052__1.2287052	1262882__R5MGS8__BN519_00565
ERR1913181.2287199__1.2287199	487174__K0WWT0__DIT83_10190
ERR1913181.2287203__1.2287203	47678__A5ZI88__BACCAC_02617
ERR1913181.2287167__1.2287167	1262882__R5MFK5__BN519_00378
ERR1913181.2287418__1.2287418	40518__R5DY73__DXD86_02865
ERR1913181.2287501__1.2287501	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2287526__1.2287526	1680__A0A174BEE7__BSTER_1311
ERR1913181.2287618__1.2287618	511969__GeneID:3959334
ERR1913181.2287762__1.2287762	1262911__R6GK39__BN557_01755
ERR1913181.2287835__1.2287835	1263000__R5ESM1__BN466_01440
ERR1913181.2287921__1.2287921	1262882__R5MDR8__BN519_00124
ERR1913181.2287936__1.2287936	39488__A0A374NU89__ERS852578_02475
ERR1913181.2287984__1.2287984	1262882__R5MMP8__BN519_01654
ERR1913181.2288010__1.2288010	487174__R5F4K8__HMPREF9448_01532
ERR1913181.2288068__1.2288068	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2288152__1.2288152	10680__GeneID:1261100
ERR1913181.2288435__1.2288435	301302__A0A173S3L8__vpr
ERR1913181.2288584__1.2288584	33043__A0A173QUA9__ERS852400_01795
ERR1913181.2288602__1.2288602	328814__GCA_004558275.1_01570
ERR1913181.2288662__1.2288662	39492__R6RKK9__EUBSIR_02022
ERR1913181.2288712__1.2288712	1262911__R6GUQ4__BN557_01581
ERR1913181.2288727__1.2288727	39492__D4JSD3__EUBSIR_00131
ERR1913181.2288761__1.2288761	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2288933__1.2288933	1262882__R5MFY4__BN519_00529
ERR1913181.2288981__1.2288981	562__P76296__yecT
ERR1913181.2288966__1.2288966	1262882__R5MY46__BN519_00355
ERR1913181.2289012__1.2289012	823__A0A174PAQ4__ERS852429_04218
ERR1913181.2289016__1.2289016	39492__D4JVC7__yfgF
ERR1913181.2289109__1.2289109	39488__C0ERS5__EHLA_2242
ERR1913181.2289164__1.2289164	1263000__R5EU91__BN466_01432
ERR1913181.2289220__1.2289220	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2289407__1.2289407	165179__A0A3E5A5E5__DXC61_13965
ERR1913181.2289473__1.2289473	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2289530__1.2289530	33043__A0A173S5P8__ERS852445_00566
ERR1913181.2289769__1.2289769	39492__D4JT68__spoIIIE
ERR1913181.2289862__1.2289862	39492__D4JRM9__bglB_2
ERR1913181.2289864__1.2289864	820__A0A3E4QZJ7__C801_01798
ERR1913181.2289927__1.2289927	35833__E5Y2V2__HMPREF0179_00466
ERR1913181.2289960__1.2289960	1262882__R5MYX5__BN519_00333
ERR1913181.2289961__1.2289961	1262882__R5MYI1__BN519_00416
ERR1913181.2290020__1.2290020	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2290180__1.2290180	28117__B0MT38__BHV66_05995
ERR1913181.2290335__1.2290335	40518__R5DUU2__yvhJ_2
ERR1913181.2290353__1.2290353	1160721__R6TBU4__BHW50_04080
ERR1913181.2290430__1.2290430	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2290495__1.2290495	357276__B6W5Q7__DXD47_13945
ERR1913181.2290500__1.2290500	39492__D4JTB5__EUBSIR_01720
ERR1913181.2290845__1.2290845	1262911__R6HHR1__BN557_01622
ERR1913181.2290852__1.2290852	1262882__R5MN65__BN519_00771
ERR1913181.2290958__1.2290958	1262882__R5N1L4__BN519_00757
ERR1913181.2291080__1.2291080	1262911__R6GT76__BN557_01150
ERR1913181.2291220__1.2291220	1262915__R6HF80__BN574_01649
ERR1913181.2291306__1.2291306	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2291349__1.2291349	1160721__W0U330__BHW50_08125
ERR1913181.2291361__1.2291361	1262911__R6GW73__BN557_00128
ERR1913181.2291372__1.2291372	214856__A0A174FY07__ERS852447_02457
ERR1913181.2291420__1.2291420	1262824__R6RM20__BN719_01820
ERR1913181.2291537__1.2291537	1653434__A0A150Y5P5__DWW28_14680
ERR1913181.2291628__1.2291628	1262882__R5MEN9__BN519_00201
ERR1913181.2291687__1.2291687	33043__A8SV35__ERS852386_01106
ERR1913181.2291692__1.2291692	47678__A0A174TQR6__CGC64_14735
ERR1913181.2291810__1.2291810	1263006__R6LQB0__BN515_02150
ERR1913181.2291889__1.2291889	39492__D4JRY3__EUBSIR_01473
ERR1913181.2291917__1.2291917	1262882__R5MRS7__BN519_01490
ERR1913181.2292007__1.2292007	410072__C0B8G3__DXD67_01535
ERR1913181.2292058__1.2292058	39492__R6SPM9__pheT
ERR1913181.2292061__1.2292061	1262911__R6HLZ3__BN557_00667
ERR1913181.2292380__1.2292380	487174__K0X9T7__HMPREF9448_00996
ERR1913181.2292425__1.2292425	418240__C6JAJ8__ERS852478_03436
ERR1913181.2292485__1.2292485	39492__D4JT68__spoIIIE
ERR1913181.2292687__1.2292687	1262882__R5MYI1__BN519_00416
ERR1913181.2292710__1.2292710	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2292859__1.2292859	40518__R5DP61__DXD86_06345
ERR1913181.2293077__1.2293077	46503__A7AG59__ERS852463_00349
ERR1913181.2293174__1.2293174	39488__A0A174HDU7__EUBHAL_01339
ERR1913181.2293559__1.2293559	47678__R5UG22__ERS852558_01514
ERR1913181.2293578__1.2293578	40518__R5DYM0__DXD86_08165
ERR1913181.2293954__1.2293954	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2293992__1.2293992	40518__R5DT93__DXD86_08730
ERR1913181.2294160__1.2294160	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2294186__1.2294186	1124654__GeneID:14005780
ERR1913181.2294077__1.2294077	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2294227__1.2294227	1262911__R6GT12__BN557_01070
ERR1913181.2294364__1.2294364	47678__R5USS6__C5Z00_03300
ERR1913181.2294442__1.2294442	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2294485__1.2294485	40518__R5DTJ1__DXD86_03635
ERR1913181.2294519__1.2294519	2173__A5UJ58__BK798_03985
ERR1913181.2294570__1.2294570	10678__GeneID:2777481
ERR1913181.2294571__1.2294571	823__A0A355XEX9__ERS852560_03521
ERR1913181.2294829__1.2294829	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2294936__1.2294936	47678__A5ZL09__BACCAC_03608
ERR1913181.2295021__1.2295021	33043__A0A174E9K7__sigF_1
ERR1913181.2295062__1.2295062	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2295183__1.2295183	40518__R5DX31__DXD86_09775
ERR1913181.2295328__1.2295328	821__A0A174TD86__C800_00949
ERR1913181.2295523__1.2295523	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2295563__1.2295563	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2295793__1.2295793	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2295817__1.2295817	1680__R5GKP2__DXD60_06200
