ERR1913258.46__1.46	1550024__A0A0D8IWM4__TQ39_15635
ERR1913258.385047__1.385047	28025__D3R561__ADH71_001970
ERR1913258.385111__1.385111	147206__GCF_000156215.1_01777
ERR1913258.385301__1.385301	1501392__A0A0B2JIQ7__PU94_04785
ERR1913258.385424__1.385424	1550024__G9RX51__TQ39_04720
ERR1913258.385568__1.385568	853__R6QDR1__C4N27_08170
ERR1913258.385917__1.385917	216816__A0A0A6VML2__DD678_06965
ERR1913258.385857__1.385857	267818__A0A0R1P350__B8W86_07450
ERR1913258.385936__1.385936	1522__E4LSA1__SAMN05216507_10298
ERR1913258.385990__1.385990	239935__R7E524__CXT91_06180
ERR1913258.386084__1.386084	820__A0A174CG08__DXB62_13215
ERR1913258.386184__1.386184	820__A0A3E4VZY4__ERS852554_01211
ERR1913258.386279__1.386279	28117__B0MST6__BHV66_06090
ERR1913258.386303__1.386303	2173__A0A1D2WW41__BK798_07915
ERR1913258.386513__1.386513	821__I9R3W6__DXC16_12455
ERR1913258.387075__1.387075	626940__E8LCB1__BHW43_07535
ERR1913258.387309__1.387309	1550024__A0A0D8J179__ASJ35_09245
ERR1913258.387419__1.387419	1262889__R7HGV8__BN634_01881
ERR1913258.387435__1.387435	39491__A0A395V5R3__EUBREC_1883
ERR1913258.387509__1.387509	116085__D4JA02__DW747_02945
ERR1913258.387592__1.387592	28117__B0MXW9__ALIPUT_01981
ERR1913258.387650__1.387650	76489__A0A1E8EUC5__CLOACE_23150
ERR1913258.387822__1.387822	446660__GCA_003428235.1_00291
ERR1913258.387933__1.387933	1263006__R6LU28__BN515_01365
ERR1913258.387971__1.387971	1681__A0A286T9U4__DD698_01470
ERR1913258.388129__1.388129	40520__A0A396FY90__DXB81_01030
ERR1913258.388450__1.388450	1550024__A0A0D8J0L2__ASJ35_04680
ERR1913258.388690__1.388690	46503__R6X5W5__HMPREF1078_03156
ERR1913258.388768__1.388768	74426__sugC
ERR1913258.388784__1.388784	1680__A7A7Z9__AAX71_05385
ERR1913258.389133__1.389133	28117__B0MWP2__ALIPUT_01468
ERR1913258.389217__1.389217	39485__C4Z5L2__ERS852490_00659
ERR1913258.389463__1.389463	357276__A0A0K2HJA6__DXD47_07320
ERR1913258.389490__1.389490	1262848__R6U3D3__BN818_00931
ERR1913258.389523__1.389523	2173__A0A1D2WW40__BK798_07930
ERR1913258.389557__1.389557	1897011__A0A1Q6RI31__BHW41_00965
ERR1913258.389621__1.389621	1897011__A0A1Q6RDG0__BHW41_05600
ERR1913258.389624__1.389624	1522__G1VMW7__HMPREF1094_03112
ERR1913258.389736__1.389736	74426__infB
ERR1913258.389818__1.389818	821__A0A0P0LNX8__ERS852509_03015
ERR1913258.389807__1.389807	39491__A0A395ZBW8__DXC13_08840
ERR1913258.390020__1.390020	853__A0A174C5M1__CGS58_04460
ERR1913258.390165__1.390165	1681__A0A0H2Q3M0__B0085_1011
ERR1913258.390172__1.390172	357276__A0A076IP73__BACDOR_04237
ERR1913258.390310__1.390310	1263030__R5CX12__BN705_00275
ERR1913258.390333__1.390333	1897011__A0A1Q6RDJ0__BHW41_05420
ERR1913258.390502__1.390502	2173__A0A1D2WSY5__METSMIF1_03017
ERR1913258.390447__1.390447	745368__A0A1T4Y963__SAMN02745178_02859
ERR1913258.390568__1.390568	357276__I8VN30__HMPREF1065_03051
ERR1913258.390965__1.390965	1897011__A0A1Q6RE22__BHW41_04590
ERR1913258.391023__1.391023	745368__A0A1T4XKD6__SAMN02745178_01942
ERR1913258.391580__1.391580	1965650__A0A1Y3VA28__B5G16_11230
ERR1913258.391630__1.391630	1680__A0A174BEE7__BSTER_1311
ERR1913258.391621__1.391621	74426__purL
ERR1913258.391948__1.391948	1680__A0A087DKM6__B0042_0664
ERR1913258.391972__1.391972	1262736__R5Y7T6__BN496_00858
ERR1913258.392030__1.392030	239935__A0A2N8HB50__CXU17_02615
ERR1913258.392101__1.392101	239935__A0A2N8HL50__CXT98_09135
ERR1913258.392198__1.392198	1262911__R6HIV6__BN557_01807
ERR1913258.392429__1.392429	40520__R7D7X1__kinA
ERR1913258.392526__1.392526	564886__GeneID:6973115
ERR1913258.392468__1.392468	1263107__GCA_000436995.1_00020
ERR1913258.392552__1.392552	1262848__R6U092__BN818_00195
ERR1913258.392654__1.392654	502393__GCA_001553005.1_00197
ERR1913258.392663__1.392663	1150298__A0A174GJF6__bglX_2
ERR1913258.392729__1.392729	1262992__R5DBP5__BN795_00200
ERR1913258.392778__1.392778	39488__A0A173RH64__EUBHAL_01712
ERR1913258.392907__1.392907	116085__D4JBM5__DW747_01240
ERR1913258.392944__1.392944	1550024__G9RTN6__TQ39_08170
ERR1913258.393160__1.393160	626929__R6MDM3__B5F24_06470
ERR1913258.393196__1.393196	74426__rpoB
ERR1913258.393241__1.393241	384638__B7APR0__BACPEC_00666
ERR1913258.393243__1.393243	1304__Q9ZI21__SALIVA_0269
ERR1913258.393269__1.393269	1550024__A0A0D8IZK5__TQ39_07980
ERR1913258.393453__1.393453	39492__D4JUN0__EUBSIR_02705
ERR1913258.393476__1.393476	1235835__R9LCU2__C814_02677
ERR1913258.393566__1.393566	418240__C6JFI6__ERS852523_01129
ERR1913258.393691__1.393691	1262848__R6U5H2__BN818_00803
ERR1913258.393764__1.393764	116085__D4JBM5__DW747_01240
ERR1913258.393830__1.393830	1550024__A0A0D8IZK5__TQ39_07980
ERR1913258.393930__1.393930	1680__A1A0V3__C8077_03025
ERR1913258.394071__1.394071	1262911__R6H2J2__BN557_01228
ERR1913258.394139__1.394139	1680__A0A3E4SB79__BAD_1517
ERR1913258.395129__1.395129	239935__A0A139TVJ4__CXT86_02020
ERR1913258.395150__1.395150	39491__A0A395ZHW3__ERS852417_01359
ERR1913258.395249__1.395249	1680__A0A173YLK6__BAD_0868
ERR1913258.395405__1.395405	28117__B0MTI4__ALIPUT_00084
ERR1913258.395425__1.395425	45851__D4S0D7__BUTYVIB_01556
ERR1913258.395889__1.395889	45851__D4RWC8__BHV86_07020
ERR1913258.396088__1.396088	1965650__A0A1Y3VEZ6__B5G16_11190
ERR1913258.396112__1.396112	762212__A0A087A2N3__BBIA_1009
ERR1913258.396128__1.396128	820__A7VAR9__ERS852421_00197
ERR1913258.396147__1.396147	328814__GCA_004558275.1_01847
ERR1913258.396485__1.396485	1680__A0A374QDL4__LMG18897_0432
ERR1913258.396541__1.396541	40520__A0A3E5EH57__ERS852533_00253
ERR1913258.396650__1.396650	446660__GCA_003428235.1_00097
ERR1913258.396671__1.396671	216816__C2GV16__APC1504_1666
ERR1913258.396579__1.396579	28117__B0MUL5__ALIPUT_00722
ERR1913258.396701__1.396701	39485__C4Z1Y9__EUBELI_00143
ERR1913258.396924__1.396924	357276__A0A076J0Y3__IY41_06810
ERR1913258.396960__1.396960	2173__A0A1D2WU54__METSMIALI_00342
ERR1913258.397046__1.397046	2173__A0A1D2WV05__BK798_06920
ERR1913258.397201__1.397201	28117__B0MU58__BHV66_05630
ERR1913258.397366__1.397366	907__R7MV47__SAMN04488492_10520
ERR1913258.397722__1.397722	239935__A0A2N8IJI1__B5G29_04615
ERR1913258.397782__1.397782	1681__A0A0H2PP44__BBTM_02041
ERR1913258.398186__1.398186	39491__D4JMW8__ERS852497_01971
ERR1913258.398191__1.398191	1263107__GCA_000436995.1_00225
ERR1913258.398287__1.398287	1262911__R6GI18__BN557_01377
ERR1913258.398377__1.398377	1262848__R6U9R7__BN818_00481
ERR1913258.398909__1.398909	820__A7VAR9__ERS852421_00197
ERR1913258.399000__1.399000	74426__rpoB
ERR1913258.399075__1.399075	239935__A0A2N8HEH9__CXU07_11710
ERR1913258.399044__1.399044	1680__A0A0B5BL52__ERS852382_00480
ERR1913258.399296__1.399296	74426__rpoC
ERR1913258.399323__1.399323	39485__A0A174ZPH7__ERS852490_01992
ERR1913258.399468__1.399468	39491__C4Z872__LD38_07250
ERR1913258.399472__1.399472	1262848__R6U6Z8__BN818_00176
ERR1913258.399605__1.399605	820__A0A173WUD7__DXB48_08055
ERR1913258.399651__1.399651	28052__A0A174GZE8__ERS852451_00311
ERR1913258.399720__1.399720	39488__A0A173SK21__EUBHAL_00799
ERR1913258.399724__1.399724	28117__B0MXR4__BHV66_08025
ERR1913258.399933__1.399933	1680__A0A087DHN0__AL0462_1532
ERR1913258.400159__1.400159	1262848__R6U3D3__BN818_00931
ERR1913258.400161__1.400161	418240__A0A173XM56__ERS852478_01689
ERR1913258.401010__1.401010	147206__GCF_000156215.1_01775
ERR1913258.401054__1.401054	154046__A0A174LYR8__DXC88_24395
ERR1913258.401185__1.401185	116085__D4J5G5__DW747_05425
ERR1913258.401215__1.401215	1680__R5GRA4__ERS852382_01548
ERR1913258.401219__1.401219	1262924__R7HKX0__BN585_01279
ERR1913258.401373__1.401373	821__C6Z451__BHV80_04265
ERR1913258.401650__1.401650	1550024__A0A0W7TTP8__TQ39_06385
ERR1913258.401726__1.401726	39488__A0A374NKN1__ltaS_2
ERR1913258.402242__1.402242	40518__R5DR72__RBL236_02110
ERR1913258.402309__1.402309	301301__A0A395V8M7__ERS852391_00967
ERR1913258.402284__1.402284	357276__I9QBT4__GV66_09000
ERR1913258.402527__1.402527	1680__A0A173XYA2__B0703_0121
ERR1913258.402528__1.402528	820__A0A139KEW8__DXB64_06405
ERR1913258.402542__1.402542	39492__D4JRV5__acrR_2
ERR1913258.402550__1.402550	671267__R9I8L9__C802_02304
ERR1913258.402555__1.402555	116085__D4J693__DW747_12735
ERR1913258.402831__1.402831	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913258.402832__1.402832	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913258.402937__1.402937	2173__A0A1D2WSN7__Msm_1465
ERR1913258.403126__1.403126	216816__B7GPE8__I118_0062
ERR1913258.403132__1.403132	46228__V8C989__HMPREF1202_01036
ERR1913258.403211__1.403211	2173__A0A1D2WSN7__Msm_1465
ERR1913258.403257__1.403257	1150298__A0A173ZYU8__sipT_2
ERR1913258.403368__1.403368	74426__rpoB
ERR1913258.403369__1.403369	74426__groL
ERR1913258.403716__1.403716	1550024__G9RXH7__TQ39_11565
ERR1913258.403818__1.403818	1550024__A0A3B9WJZ9__TQ39_02585
ERR1913258.403936__1.403936	239935__A0A2N8INK7__Amuc_0521
ERR1913258.404042__1.404042	649756__A0A348YI82__ERS852520_03326
ERR1913258.404061__1.404061	39492__D4JTI1__EUBSIR_01463
ERR1913258.404141__1.404141	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913258.404184__1.404184	116085__D4J7A8__DW747_12000
ERR1913258.404214__1.404214	239935__A0A2N8IMC3__CXT96_03840
ERR1913258.404556__1.404556	1680__R5GMB5__AD0028_1137
ERR1913258.404713__1.404713	45851__D4RZ84__BUTYVIB_01149
ERR1913258.404811__1.404811	1680__R5GRA4__ERS852382_01548
ERR1913258.405001__1.405001	239935__A0A2N8HB50__CXU17_02615
ERR1913258.405182__1.405182	1263107__GCA_000436995.1_00092
ERR1913258.405457__1.405457	39491__C4ZC33__DXC13_11585
ERR1913258.405614__1.405614	2173__A0A1D2WRC1__Msm_0093
ERR1913258.405615__1.405615	1262882__R5MDR8__BN519_00124
ERR1913258.405698__1.405698	745368__A0A1T4XXN7__SAMN02745178_02496
ERR1913258.405885__1.405885	239935__R6JFR5__CXT84_04850
ERR1913258.405943__1.405943	357276__I8VN48__ABI39_07855
ERR1913258.406088__1.406088	820__A0A174M9V5__M093_0237
ERR1913258.406480__1.406480	40520__R7DEU2__ERS852394_00085
ERR1913258.406482__1.406482	1262848__R6U148__BN818_00289
ERR1913258.406526__1.406526	84109__J5VWR6__HMPREF0762_01911
ERR1913258.406769__1.406769	2173__A0A1D2WUC2__METSMIALI_01296
ERR1913258.406806__1.406806	1680__A0A087DHN0__AL0462_1532
ERR1913258.406828__1.406828	1681__E4VBF7__DD684_05570
ERR1913258.406840__1.406840	1262911__R6H2J2__BN557_01228
ERR1913258.406940__1.406940	39491__A0A396FVC0__ERE_15900
ERR1913258.407100__1.407100	745368__A0A1T4XQU7__SAMN02745178_02180
ERR1913258.407391__1.407391	1262924__R7HRE7__BN585_00055
ERR1913258.407543__1.407543	1262736__R5Y314__BN496_01681
ERR1913258.408093__1.408093	216816__A0A396FRQ5__DD678_01245
ERR1913258.408135__1.408135	187327__G4Q4A2__ACDG_01113
ERR1913258.408170__1.408170	216816__A0A061M1M5__HMPREF0177_01046
ERR1913258.408489__1.408489	1262736__R5Y035__BN496_00793
ERR1913258.408601__1.408601	1897011__A0A1Q6RE52__BHW41_04690
ERR1913258.408627__1.408627	28025__D3R6V5__BLC1_1405
ERR1913258.408729__1.408729	820__A0A173W419__DXC68_17760
ERR1913258.408739__1.408739	1262992__R5DBP5__BN795_00200
ERR1913258.408745__1.408745	301301__A0A395V9A0__RHOM_08800
ERR1913258.408961__1.408961	39491__A0A395ZG74__licR
ERR1913258.408991__1.408991	74426__rpoC
ERR1913258.408992__1.408992	1897011__A0A1Q6RC54__BHW41_06555
ERR1913258.409407__1.409407	626929__R6LKK1__B5F24_07400
ERR1913258.409558__1.409558	39491__C4Z9E9__T1815_12341
ERR1913258.409732__1.409732	39491__A0A396FSR4__ERS852580_02287
ERR1913258.409795__1.409795	1897011__A0A1Q6RH12__BHW41_01505
ERR1913258.409808__1.409808	28117__B0MXW9__ALIPUT_01981
ERR1913258.409935__1.409935	1262848__R6U3P5__BN818_00966
ERR1913258.409948__1.409948	1308__V8LZ20__amtB
ERR1913258.409961__1.409961	39491__A0A3E4E7C5__DXB69_03255
ERR1913258.409971__1.409971	28111__E5WTP3__BACEGG_01876
ERR1913258.410058__1.410058	1262848__R6VHL5__BN818_01497
ERR1913258.410219__1.410219	357276__B6W1Y1__BSEG_03960
ERR1913258.410237__1.410237	418240__A0A173XCL4__ERS852523_02725
ERR1913258.410394__1.410394	239935__A0A2N8HDT1__CXT94_05270
ERR1913258.410590__1.410590	820__A0A174QT76__B5G17_18060
ERR1913258.410733__1.410733	187327__G4Q6A3__ACDG_01732
ERR1913258.410760__1.410760	1150298__A0A174PZ15__lytA
ERR1913258.410798__1.410798	1263000__R5EXT3__BN466_02213
ERR1913258.410947__1.410947	1263000__R5EKG2__BN466_02040
ERR1913258.411213__1.411213	357276__A0A0M1W1I8__ABI39_13620
ERR1913258.411568__1.411568	1262924__R7HPU8__BN585_00010
ERR1913258.411716__1.411716	1150298__A0A174HXS4__ERS852498_00503
ERR1913258.411709__1.411709	301301__A0A395V407__ERS852391_02230
ERR1913258.411863__1.411863	2173__A0A1D2WWU1__METSMIALI_01068
ERR1913258.412061__1.412061	39491__A0A395UZ82__EUR_31520
ERR1913258.412082__1.412082	853__A0A174C5M1__CGS58_04460
ERR1913258.412152__1.412152	39491__A0A396FUZ3__phoR_1
ERR1913258.412184__1.412184	39491__C4ZC33__DXC13_11585
ERR1913258.412309__1.412309	216816__A0A396FRQ5__DD678_01245
ERR1913258.412363__1.412363	820__A0A374Q854__HMPREF1073_03281
ERR1913258.412611__1.412611	39491__A0A395ZHW3__ERS852417_01359
ERR1913258.412824__1.412824	820__A0A3E4RU03__M093_0563
ERR1913258.412826__1.412826	1550024__G9RP65__ASJ35_11645
ERR1913258.412858__1.412858	1680__R5GKP2__DXD60_06200
ERR1913258.413320__1.413320	820__A0A174Q0F0__DXB48_08080
ERR1913258.413410__1.413410	239935__A0A139TVJ4__CXT86_02020
ERR1913258.413353__1.413353	1550024__G9RNN5__TQ39_03430
ERR1913258.413389__1.413389	745368__A0A1T4WEV8__SAMN02745178_00491
ERR1913258.413474__1.413474	649756__R7C5S2__CL2_01190
ERR1913258.413699__1.413699	1150298__A0A174BE63__ERS852406_01048
ERR1913258.413726__1.413726	1262848__R6U3I8__BN818_00546
ERR1913258.413875__1.413875	239935__A0A2N8ITX2__CXT86_11265
ERR1913258.414048__1.414048	74426__group_4851
ERR1913258.414053__1.414053	28117__B0MU53__ALIPUT_00569
ERR1913258.414086__1.414086	1262848__R6U9D6__BN818_01628
ERR1913258.414099__1.414099	239935__A0A139TPD4__CXT86_06450
ERR1913258.414199__1.414199	745368__A0A1T4XS74__SAMN02745178_02179
ERR1913258.414442__1.414442	39491__C4Z8S1__DXB76_06750
ERR1913258.414559__1.414559	28111__R5JQQ7__NCTC11155_02278
ERR1913258.414667__1.414667	1680__R5GR82__AD0028_0014
ERR1913258.415179__1.415179	2173__A0A1D2WVH4__METSMIALI_00947
ERR1913258.415317__1.415317	39491__A0A396FIZ8__ERE_20410
ERR1913258.415573__1.415573	39488__A0A174B7Y0__ERS852450_00913
ERR1913258.415646__1.415646	39486__B0G768__DXD10_08260
ERR1913258.415843__1.415843	1862668__GCA_001945525.1_00021
ERR1913258.415994__1.415994	88431__A0A174G8Q6__ERS852526_02711
ERR1913258.415926__1.415926	39491__A0A173TFQ1__rsmF
ERR1913258.416046__1.416046	39491__A0A396FGM9__fliU_1
ERR1913258.416127__1.416127	626932__G5H9W8__HMPREF9450_01433
ERR1913258.416413__1.416413	267818__A0A0R1PD71__B8W86_10315
ERR1913258.416529__1.416529	40518__A0A1C6H8N9__RBATCC27255_01374
ERR1913258.417031__1.417031	1681__E4VB47__IF1010_0583
ERR1913258.417057__1.417057	239935__A0A2N8I8X8__B5G29_00185
ERR1913258.417219__1.417219	1680__A0A087DHN0__AL0462_1532
ERR1913258.417377__1.417377	239935__R6JAS2__CXU02_10725
ERR1913258.417471__1.417471	745368__A0A1T4Y443__SAMN02745178_02724
ERR1913258.417657__1.417657	239935__A0A2N8IEP3__CXT84_03735
ERR1913258.417663__1.417663	239935__A0A2N8HSC0__CXU06_05505
ERR1913258.417829__1.417829	39488__C0EVS1__ERS852450_02297
ERR1913258.417876__1.417876	116085__A0A3E2TMI0__DW747_05170
ERR1913258.418223__1.418223	74426__group_4823
ERR1913258.418268__1.418268	1262911__R6GLG8__BN557_00337
ERR1913258.418471__1.418471	626940__E8LB53__holA
ERR1913258.418601__1.418601	1262848__R6UEX2__BN818_00035
ERR1913258.418672__1.418672	39488__A0A285PTC0__ERS852450_00543
ERR1913258.418867__1.418867	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913258.418984__1.418984	239935__A0A2N8HDT1__CXT94_05270
ERR1913258.419114__1.419114	239935__A0A2N8ITX2__CXT86_11265
ERR1913258.419158__1.419158	39491__A0A0M6WNS5__DXC13_02015
ERR1913258.419284__1.419284	39491__C4Z872__LD38_07250
ERR1913258.419554__1.419554	1262882__R5MNC1__BN519_00818
ERR1913258.420094__1.420094	1550024__A0A0D8J136__TQ39_12150
ERR1913258.420155__1.420155	1550024__G9RT56__TQ39_09200
ERR1913258.420209__1.420209	28025__D3R4U9__BGL50_03720
ERR1913258.420424__1.420424	39491__D4JM76__DXC13_02150
ERR1913258.420452__1.420452	1263011__R6EIF3__BN553_01079
ERR1913258.420623__1.420623	39491__A0A174K1W6__DXB99_15020
ERR1913258.420655__1.420655	1262882__R5MQ63__BN519_01173
ERR1913258.420785__1.420785	239935__A0A2N8HT18__CXT93_06135
ERR1913258.420790__1.420790	1686__B6XTW8__B5782_0877
ERR1913258.420802__1.420802	1262911__R6GR13__BN557_00618
ERR1913258.420836__1.420836	239935__A0A2N8IMC9__CXU09_02095
ERR1913258.420903__1.420903	1262924__R7HUJ5__BN585_00830
ERR1913258.420983__1.420983	1681__A0A286TCN9__LMG13195_0626
ERR1913258.421065__1.421065	74426__purL
ERR1913258.421295__1.421295	40518__R5DVL2__penA
ERR1913258.421344__1.421344	1150298__A0A174HD82__yusO_2
ERR1913258.421394__1.421394	39488__A0A173TAA3__EUBHAL_03220
ERR1913258.421509__1.421509	1150298__A0A174MSM0__toxA_2
ERR1913258.421608__1.421608	820__A7V8C2__ERS852554_01338
ERR1913258.421833__1.421833	39492__D4JVG1__ERS852540_00951
ERR1913258.421864__1.421864	1262848__R6U3I8__BN818_00546
ERR1913258.421965__1.421965	39488__A0A174AJU0__EHLA_0209
ERR1913258.421975__1.421975	28025__A0A0L7CYK2__DD683_02425
ERR1913258.422021__1.422021	1262848__R6U3I8__BN818_00546
ERR1913258.422310__1.422310	239935__A0A139TPU7__CXT91_06575
ERR1913258.422391__1.422391	1550024__G9RTA6__TQ39_10970
ERR1913258.422500__1.422500	239935__A0A2N8HL14__CXT98_09285
ERR1913258.422830__1.422830	1262911__R6GKW2__BN557_01379
ERR1913258.422897__1.422897	301301__A0A395V8T7__ERS852391_01243
ERR1913258.423319__1.423319	39491__A0A174LTW7__DXD13_08720
ERR1913258.423531__1.423531	239935__A0A3F3K9J9__DEF40_00940
ERR1913258.423931__1.423931	1262848__R6V8P9__BN818_00594
ERR1913258.424070__1.424070	116085__D4J7N1__DW747_15135
ERR1913258.424075__1.424075	820__A0A174QLF0__SAMN05444418_109151
ERR1913258.424172__1.424172	28116__A7LS06__HMPREF2532_04668
ERR1913258.424261__1.424261	116085__D4J9V4__DW747_03200
ERR1913258.424311__1.424311	1304__J7TYF2__hk13_3
ERR1913258.424383__1.424383	1262911__R6GYT4__BN557_00617
ERR1913258.424412__1.424412	239935__A0A2N8I694__CXU04_06245
ERR1913258.424584__1.424584	853__C7H7F5__DWZ46_01780
ERR1913258.424641__1.424641	39491__D4JMW8__ERS852497_01971
ERR1913258.424825__1.424825	1262848__R6UBC5__BN818_01849
ERR1913258.424907__1.424907	28025__D3R624__BALAC2494_00068
ERR1913258.425363__1.425363	1262848__R6UBZ9__BN818_00113
ERR1913258.425674__1.425674	28111__R5K5X6__NCTC11155_02508
ERR1913258.425798__1.425798	184870__A0A2I1Y9I8__Q618_VCMC00001G1391
ERR1913258.425826__1.425826	384638__B7APR0__BACPEC_00666
ERR1913258.425951__1.425951	1897011__A0A1Q6RDE2__BHW41_05525
ERR1913258.425999__1.425999	74426__rpoC
ERR1913258.426159__1.426159	40518__R5DMC7__blaR1
ERR1913258.426474__1.426474	1680__A0A087DHN0__AL0462_1532
ERR1913258.426592__1.426592	239935__A0A2N8IUW6__Amuc_1525
ERR1913258.426680__1.426680	820__A7VAR9__ERS852421_00197
ERR1913258.427125__1.427125	1150298__A0A174MFD0__degA_1
ERR1913258.427175__1.427175	1550024__G9RTN6__TQ39_08170
ERR1913258.427322__1.427322	33038__A0A2N5PSF6__CDL27_05770
ERR1913258.427343__1.427343	39492__D4JUY6__ERS852540_01913
ERR1913258.427431__1.427431	1680__A0A076JNH5__DXC60_03835
ERR1913258.427474__1.427474	39491__A0A173TAZ5__DXB99_09520
ERR1913258.427585__1.427585	40520__R7DDC2__DXB81_16115
ERR1913258.427848__1.427848	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913258.427932__1.427932	1262924__R7HU74__BN585_00690
ERR1913258.428263__1.428263	1262882__R5N211__BN519_01033
ERR1913258.428339__1.428339	45851__D4S0P6__BUTYVIB_01665
ERR1913258.428357__1.428357	1263107__GCA_000436995.1_00164
ERR1913258.428403__1.428403	1897011__A0A1Q6RDI4__BHW41_05605
ERR1913258.428438__1.428438	184870__A0A134BP04__Q618_VCMC00001G0494
ERR1913258.428610__1.428610	239935__A0A139TPU7__CXT91_06575
ERR1913258.429009__1.429009	301301__G2SXZ6__RHOM_11570
ERR1913258.429430__1.429430	216816__C2GW26__chb
ERR1913258.429863__1.429863	39491__A0A396FNY7__LD38_16155
ERR1913258.429899__1.429899	1680__R5GZJ8__BSTER_1195
ERR1913258.430104__1.430104	39488__A0A174BSK2__ERS852450_01031
ERR1913258.430171__1.430171	357276__I9FTR0__HMPREF1065_02861
ERR1913258.430367__1.430367	1263107__GCA_000436995.1_00236
ERR1913258.430868__1.430868	1550024__A0A0D8J1R1__ASJ35_08490
ERR1913258.430932__1.430932	39491__A0A396FBR6__DXC13_08575
ERR1913258.430890__1.430890	1897011__A0A1Q6RFA6__BHW41_03080
ERR1913258.431174__1.431174	204516__U6RH18__HMPREF1534_01847
ERR1913258.431205__1.431205	239935__A0A2N8I6R6__CXU04_04335
ERR1913258.431839__1.431839	28111__E5WUU3__HMPREF1016_00520
ERR1913258.431937__1.431937	39491__D4JM76__DXC13_02150
ERR1913258.432191__1.432191	40518__R5E6K5__speA
ERR1913258.432309__1.432309	239935__A0A2N8HHB6__B5G29_11500
ERR1913258.432499__1.432499	1263109__GCA_000438135.1_01590
ERR1913258.432834__1.432834	820__A0A139KEW8__DXB64_06405
ERR1913258.432873__1.432873	45851__D4RZ05__BUTYVIB_01069
ERR1913258.433089__1.433089	1681__A0A0H2PEL3__BBTM_00625
ERR1913258.433211__1.433211	1262924__R7HML0__BN585_01508
ERR1913258.433598__1.433598	1550024__A0A3B9WKW6__TQ39_07780
ERR1913258.433600__1.433600	239935__A0A2N8IKW7__pstA
ERR1913258.433622__1.433622	1550024__G9RP65__ASJ35_11645
ERR1913258.433636__1.433636	2173__A0A1D2WVA1__Msm_0411
ERR1913258.433691__1.433691	28117__R7JIJ8__BHV66_01635
ERR1913258.433670__1.433670	33043__A0A173WXS1__ERS852445_00262
ERR1913258.433719__1.433719	410072__C0BC88__DXD67_11180
ERR1913258.433931__1.433931	116085__D4J571__DW747_06990
ERR1913258.434164__1.434164	2173__A0A1D2WWU1__METSMIALI_01068
ERR1913258.434223__1.434223	246787__A0A0P0GCR8__xynD_3
ERR1913258.434362__1.434362	39491__C4ZF05__vpr
ERR1913258.434463__1.434463	2173__A0A1D2WXL5__BK798_03965
ERR1913258.434432__1.434432	387090__S0F7Y3__BACCOPRO_02028
ERR1913258.434714__1.434714	820__A0A3E4WA06__ERS852554_03404
ERR1913258.434798__1.434798	39491__C4ZHS4__EUR_24420
ERR1913258.434826__1.434826	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913258.434890__1.434890	1681__K2HX38__DD684_04780
ERR1913258.434955__1.434955	39491__D4JMW8__ERS852497_01971
ERR1913258.435230__1.435230	46228__V8BTB9__RUMLAC_01945
ERR1913258.435235__1.435235	357276__I9F327__DXD47_22495
ERR1913258.435239__1.435239	239935__A0A2N8IVR0__CXT87_07115
ERR1913258.435240__1.435240	239935__A0A2N8IVR0__CXT87_07115
ERR1913258.435270__1.435270	454155__F3QQ65__HMPREF9442_00303
ERR1913258.435575__1.435575	1680__A0A087DHN0__AL0462_1532
ERR1913258.435637__1.435637	853__A0A2J4JL53__CRH10_10795
ERR1913258.435719__1.435719	239935__A0A2N8I6R6__CXU04_04335
ERR1913258.435969__1.435969	28117__B0MY40__BHV66_05170
ERR1913258.435981__1.435981	1262848__R6UBZ9__BN818_00113
ERR1913258.436041__1.436041	39491__C4ZF05__vpr
ERR1913258.436100__1.436100	28111__R5K3D9__NCTC11155_02788
ERR1913258.436185__1.436185	2173__A0A1D2WTT4__BK798_05110
ERR1913258.436125__1.436125	745368__A0A1T4Y576__SAMN02745178_02757
ERR1913258.436518__1.436518	371601__R6DWQ9__SAMN04487924_11954
ERR1913258.436637__1.436637	1262848__R6VB39__BN818_00852
ERR1913258.436700__1.436700	239935__A0A2N8IMC3__CXT96_03840
ERR1913258.436727__1.436727	1150298__R7JTW4__yvhJ
ERR1913258.436839__1.436839	39491__D4JMW8__ERS852497_01971
ERR1913258.437166__1.437166	1263000__R5EJ27__BN466_01916
ERR1913258.437309__1.437309	1262848__R6UMA7__BN818_01315
ERR1913258.437267__1.437267	239935__A0A139TPD4__CXT86_06450
ERR1913258.437444__1.437444	1680__A0A173Y6N7__yhaH
ERR1913258.437667__1.437667	40518__R5E304__thiT
ERR1913258.437793__1.437793	1262848__R6U148__BN818_00289
ERR1913258.437896__1.437896	301301__A0A395VD41__RHOM_11540
ERR1913258.437956__1.437956	745368__A0A1T4Y746__SAMN02745178_02815
ERR1913258.437963__1.437963	1897011__A0A1Q6RFG0__BHW41_03665
ERR1913258.437994__1.437994	39488__R5GAY8__EUBHAL_01199
ERR1913258.438066__1.438066	1550024__G9RWR2__TQ39_04385
