ERR1913285.200__1.200	33043__A0A173YEP6__ERS852575_00888
ERR1913285.410844__1.410844	165179__A0A3E5DX15__DXC61_00345
ERR1913285.410874__1.410874	626940__E8LE63__BN587_02212
ERR1913285.411037__1.411037	165179__R6CJG8__DXC61_09290
ERR1913285.411115__1.411115	165179__R6XLJ7__CFT61_06250
ERR1913285.411120__1.411120	47678__A5ZI88__BACCAC_02617
ERR1913285.411316__1.411316	39492__D4JWP8__EUBSIR_00699
ERR1913285.411361__1.411361	39491__A0A174K9A3__DXB69_07785
ERR1913285.411508__1.411508	33043__A0A174GGF8__dcuS_1
ERR1913285.411745__1.411745	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913285.411702__1.411702	39491__A0A395ZEN3__DXD95_12655
ERR1913285.411782__1.411782	28052__R7NAP6__ERS852499_01969
ERR1913285.412094__1.412094	165179__A0A3E5E8N5__DXC61_13460
ERR1913285.412150__1.412150	823__A0A355XGQ3__prmC
ERR1913285.412187__1.412187	1262743__R5C054__BN727_01980
ERR1913285.412374__1.412374	33043__A0A174B7D6__ERS852400_01331
ERR1913285.412393__1.412393	626940__R6X1L5__HMPREF9443_00059
ERR1913285.412433__1.412433	360807__A0A396AF38__RIL183_00781
ERR1913285.412416__1.412416	39491__A0A396FFW0__ERE_10580
ERR1913285.412454__1.412454	1262889__R7HCI8__BN634_01565
ERR1913285.412930__1.412930	165179__A0A3E5EDV6__DXC61_03365
ERR1913285.413257__1.413257	165179__A0A3E5E4P9__DXB80_07930
ERR1913285.413317__1.413317	706562__GCA_900112995.1_01416
ERR1913285.413506__1.413506	165179__R6XIF8__DXC61_07265
ERR1913285.413971__1.413971	165179__D1PGJ6__DXC61_07300
ERR1913285.414015__1.414015	853__E2ZJT1__C4N23_03535
ERR1913285.414054__1.414054	853__A0A173YYY4__DWZ04_09420
ERR1913285.414195__1.414195	33043__D5HIC8__vspIM
ERR1913285.414308__1.414308	328814__GCA_004558275.1_00079
ERR1913285.414328__1.414328	28052__R7NA90__tcyB
ERR1913285.414386__1.414386	165179__R6CJG8__DXC61_09290
ERR1913285.414536__1.414536	936548__J0SK97__HMPREF1136_2080
ERR1913285.414657__1.414657	33043__A0A173XL07__nadD
ERR1913285.414631__1.414631	165179__A0A174SR12__DXB80_04410
ERR1913285.414985__1.414985	165179__A0A174PS14__DXC61_13945
ERR1913285.415022__1.415022	40520__A0A174IER6__ywaD
ERR1913285.415115__1.415115	165179__R6XLJ7__CFT61_06250
ERR1913285.415205__1.415205	165179__D1PCL6__DXB80_13435
ERR1913285.415421__1.415421	74426__rpoB
ERR1913285.415601__1.415601	1263000__R5EMM7__BN466_00616
ERR1913285.415630__1.415630	165179__A0A3E4SEG4__DXC61_11235
ERR1913285.415710__1.415710	239935__R6J5N6__CXT99_10770
ERR1913285.415773__1.415773	745368__A0A1T4WBZ5__SAMN02745178_00335
ERR1913285.415820__1.415820	33043__A0A173ZDC4__malL_1
ERR1913285.415944__1.415944	360807__A0A0M6WKR9__ROSEINA2194_01912
ERR1913285.415972__1.415972	46503__R6X6Y1__DCY29_15600
ERR1913285.415973__1.415973	33043__D5HIS6__ERS852575_02019
ERR1913285.416096__1.416096	33043__D5HEY0__ERS852386_01426
ERR1913285.416143__1.416143	328814__GCA_004558275.1_00289
ERR1913285.416213__1.416213	853__A0A2A7ATM9__DWZ89_13645
ERR1913285.416270__1.416270	165179__A0A3E5AGH1__DXB80_05820
ERR1913285.416337__1.416337	28117__B0MTV0__BHV66_06395
ERR1913285.416397__1.416397	165179__D1PDJ4__DXB80_08505
ERR1913285.416432__1.416432	1262803__R6NKZ1__BN649_00281
ERR1913285.416583__1.416583	820__A0A374MMF0__HMPREF1073_03811
ERR1913285.416678__1.416678	239935__A0A2N8IVR0__CXT87_07115
ERR1913285.416694__1.416694	33043__A0A173WWJ5__ERS852386_00339
ERR1913285.416760__1.416760	1262803__R6N9Q3__BN649_01144
ERR1913285.416915__1.416915	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913285.416987__1.416987	360807__A0A173V2S2__phoR_7
ERR1913285.417111__1.417111	360807__C0FSM3__ROSEINA2194_01739
ERR1913285.417205__1.417205	39491__A0A396FFW0__ERE_10580
ERR1913285.417558__1.417558	239935__A0A139TMG9__CXU07_10650
ERR1913285.417559__1.417559	88431__A0A174G8Q6__ERS852526_02711
ERR1913285.417561__1.417561	116085__D4J678__DW747_12620
ERR1913285.417793__1.417793	165179__A0A229I6N7__DXC61_06720
ERR1913285.417759__1.417759	384639__GCA_003096855.1_01179
ERR1913285.417922__1.417922	706562__GCA_900112995.1_01630
ERR1913285.418048__1.418048	39491__C4ZCH3__EUR_17560
ERR1913285.418127__1.418127	360807__C0G083__ROSEINA2194_04432
ERR1913285.418182__1.418182	745368__A0A1T4WAV4__SAMN02745178_00326
ERR1913285.418249__1.418249	165179__A0A229I9X5__CFT61_01205
ERR1913285.418407__1.418407	165179__A0A3E5EDV6__DXC61_03365
ERR1913285.418493__1.418493	165179__A0A229I9X5__CFT61_01205
ERR1913285.418633__1.418633	165179__A0A3E5DV57__DXB80_11400
ERR1913285.418534__1.418534	853__A0A2A7ATM9__DWZ89_13645
ERR1913285.418539__1.418539	165179__A0A3E5DX15__DXC61_00345
ERR1913285.418773__1.418773	47678__A0A174G5P3__DXB67_14265
ERR1913285.419022__1.419022	187979__A0A173XSR0__ERS852385_00724
ERR1913285.419152__1.419152	853__A0A173T751__C4N24_10280
ERR1913285.419292__1.419292	1897011__A0A1Q6RDX0__BHW41_05325
ERR1913285.419485__1.419485	357276__B6VYT9__HMPREF1063_05030
ERR1913285.419544__1.419544	410072__A0A173S248__ERS852525_02992
ERR1913285.419601__1.419601	1262803__R6NRM2__BN649_01954
ERR1913285.419744__1.419744	39491__C4Z9Y3__ERS852417_01808
ERR1913285.419848__1.419848	165179__R6CNX7__DXB80_02200
ERR1913285.420049__1.420049	1780381__A0A143ZPL3__BN3661_00424
ERR1913285.419996__1.419996	39491__R6TQ09__DXC13_03010
ERR1913285.420255__1.420255	33043__A0A374K1H3__ykoD_2
ERR1913285.420397__1.420397	33043__D5HFZ0__rlmH
ERR1913285.420491__1.420491	33043__A0A173X520__ERS852575_01617
ERR1913285.420523__1.420523	165179__A0A174X1C3__DXB80_12745
ERR1913285.420772__1.420772	187327__G4Q394__ACDG_01705
ERR1913285.420816__1.420816	1263107__GCA_000436995.1_00017
ERR1913285.420920__1.420920	39491__A0A174EQV2__DXB69_10230
ERR1913285.421022__1.421022	47678__R5U3L4__C5Z00_12600
ERR1913285.421060__1.421060	165179__A0A229I6N7__DXC61_06720
ERR1913285.421269__1.421269	1262924__R7HRF6__BN585_01735
ERR1913285.421290__1.421290	1262803__R6NI66__BN649_01917
ERR1913285.421293__1.421293	165179__D1PGU8__PREVCOP_06463
ERR1913285.421465__1.421465	1262992__R5D4D2__BN795_00592
ERR1913285.421646__1.421646	47678__R5UGC2__ERS852494_02070
ERR1913285.421778__1.421778	39491__A0A173RA59__EUR_24800
ERR1913285.421866__1.421866	165179__D1PAJ7__PREVCOP_04222
ERR1913285.422089__1.422089	39491__C4ZD70__LD38_03510
ERR1913285.422167__1.422167	853__A0A173XRA8__CGS56_09290
ERR1913285.422182__1.422182	39492__D4JW10__pppA
ERR1913285.422225__1.422225	28052__A0A174KGM3__ERS852451_01819
ERR1913285.422300__1.422300	47678__A0A3E5B7J9__HMPREF1061_03888
ERR1913285.422439__1.422439	239935__B2UL21__CXT98_03395
ERR1913285.422498__1.422498	39491__A0A173RJ81__DXB76_01570
ERR1913285.422518__1.422518	165179__A0A229I1J2__DXB80_03950
ERR1913285.422663__1.422663	1262924__R7HRI6__BN585_00824
ERR1913285.422724__1.422724	39485__A0A1Q6PH92__cbbX
ERR1913285.422920__1.422920	165179__A0A3E5E3D6__DXC61_05750
ERR1913285.422937__1.422937	1262736__R5YXD5__BN496_01230
ERR1913285.423144__1.423144	357276__I8VQA2__HMPREF1065_04183
ERR1913285.423285__1.423285	147206__GCF_000156215.1_01777
ERR1913285.423313__1.423313	165179__D1PE06__DXC61_05975
ERR1913285.423502__1.423502	28052__A0A174P635__ERS852499_02418
ERR1913285.423756__1.423756	33043__D5HIL5__ERS852445_01761
ERR1913285.423793__1.423793	165179__R6CNX7__DXB80_02200
ERR1913285.423889__1.423889	33043__A0A173X520__ERS852575_01617
ERR1913285.423924__1.423924	165179__D1PCL6__DXB80_13435
ERR1913285.423939__1.423939	165179__A0A3E5AE59__DXC61_12885
ERR1913285.423943__1.423943	39491__A0A395V0X2__EUBREC_3007
ERR1913285.424038__1.424038	165179__R6BQP4__DXC61_02015
ERR1913285.424047__1.424047	239935__B2UPZ6__CXU03_03800
ERR1913285.424167__1.424167	39491__A0A396FKI0__DXC13_11560
ERR1913285.424199__1.424199	39492__D4JWP8__EUBSIR_00699
ERR1913285.424253__1.424253	487174__K0WV96__HMPREF9448_01901
ERR1913285.424274__1.424274	39492__B0MM26__ERS852540_00640
ERR1913285.424334__1.424334	328814__GCA_004558275.1_00985
ERR1913285.424779__1.424779	357276__I8WEZ6__BACDOR_02323
ERR1913285.424920__1.424920	821__A0A174K302__CUU_3129
ERR1913285.425029__1.425029	301302__R5UTG6__M72_25801
ERR1913285.425299__1.425299	1262746__R5SRX1__BN750_02015
ERR1913285.425628__1.425628	165179__D1P9T6__PREVCOP_04016
ERR1913285.425745__1.425745	39492__D4JWA3__ERS852540_01332
ERR1913285.425760__1.425760	88431__A0A173UIQ4__lip2
ERR1913285.425766__1.425766	33043__A0A173ZDC4__malL_1
ERR1913285.425917__1.425917	39491__A0A173SH34__EUR_24920
ERR1913285.425975__1.425975	360807__A0A1Q6T5F1__fliF
ERR1913285.426037__1.426037	28118__R6FGS2__DER54_04485
ERR1913285.426083__1.426083	165179__R6CNX7__DXB80_02200
ERR1913285.426112__1.426112	165179__D1PGD2__DXC61_10875
ERR1913285.426230__1.426230	165179__A0A174UTZ7__DXC61_06705
ERR1913285.426309__1.426309	40518__R5DV58__htrA
ERR1913285.426474__1.426474	39492__D4JT67__EUBSIR_01784
ERR1913285.426713__1.426713	1262743__R5C1N5__BN727_02492
ERR1913285.426822__1.426822	410072__A0A3E4GMX9__yqgN
ERR1913285.426829__1.426829	823__A6LHU5__M092_0203
ERR1913285.426986__1.426986	39491__A0A395ZEN3__DXD95_12655
ERR1913285.427043__1.427043	165179__A0A3E5A554__DXB80_13805
ERR1913285.427145__1.427145	357276__I8WDF1__B5F00_02455
ERR1913285.427398__1.427398	165179__A0A3E5AF88__DXC61_14960
ERR1913285.427424__1.427424	33043__A0A173X7L1__ERS852400_00423
ERR1913285.427741__1.427741	853__A0A174UDE9__C4N25_12775
ERR1913285.427788__1.427788	1262743__R5C564__BN727_01104
ERR1913285.427990__1.427990	2108523__A0A2P2F666__LAWASA_1491
ERR1913285.427916__1.427916	360807__A0A1Q6T3E4__ROSEINA2194_03999
ERR1913285.428024__1.428024	33043__D5HEU4__ftsW_3
ERR1913285.428130__1.428130	165179__R6C5D6__PREVCOP_04658
ERR1913285.428409__1.428409	40518__R5DXI4__DXD86_07420
ERR1913285.428432__1.428432	39491__D6E2U1__EUBREC_3278
ERR1913285.428486__1.428486	29361__B6FRT6__CLONEX_02860
ERR1913285.428605__1.428605	165179__D1P8K1__DXB80_06045
ERR1913285.428843__1.428843	28052__A0A174HY73__ERS852451_01605
ERR1913285.428850__1.428850	552398__F4XCQ4__HMPREF0866_01621
ERR1913285.429018__1.429018	1262924__R7HS06__BN585_01939
ERR1913285.429037__1.429037	165179__A0A3E5E5H1__DXC61_07220
ERR1913285.429061__1.429061	239935__A0A2N8I3Z7__CXU05_10555
ERR1913285.429080__1.429080	165179__A0A3E5EBV0__DXB80_01745
ERR1913285.429119__1.429119	165179__R6C3K4__PREVCOP_05795
ERR1913285.429130__1.429130	328814__GCA_004558275.1_01620
ERR1913285.429132__1.429132	410072__A0A174B9D6__COPCOM_00384
ERR1913285.429150__1.429150	394340__group_866
ERR1913285.429160__1.429160	1262889__R7HCE8__BN634_01718
ERR1913285.429564__1.429564	39488__A0A374NJP4__DXD91_10845
ERR1913285.429570__1.429570	165179__A0A174W369__PREVCOP_04548
ERR1913285.429665__1.429665	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913285.429689__1.429689	649756__D4MX28__ERS852520_02831
ERR1913285.429758__1.429758	410072__A0A174JVM9__COPCOM_00443
ERR1913285.429873__1.429873	165179__A0A174W369__PREVCOP_04548
ERR1913285.430007__1.430007	28052__A0A174JNB2__ERS852499_01122
ERR1913285.430150__1.430150	410072__C0B4V0__ERS852481_02420
ERR1913285.430129__1.430129	239935__R6K0V8__CXT94_02055
ERR1913285.430265__1.430265	357276__A0A1Y3Z6X3__GV66_07715
ERR1913285.430197__1.430197	820__A0A174F0C1__nreB
ERR1913285.430200__1.430200	1262911__R6GPI7__BN557_00907
ERR1913285.430421__1.430421	33043__A0A174GPT0__plsC_2
ERR1913285.430467__1.430467	39492__A0A174ZHV5__msbA_2
ERR1913285.430475__1.430475	39491__A0A174IJH1__DXB76_01865
ERR1913285.430515__1.430515	33043__D5HGR0__rpfC_2
ERR1913285.430516__1.430516	165179__A0A3E5EBM5__DXC61_02170
ERR1913285.430661__1.430661	33043__D5HI09__ERS852575_02656
ERR1913285.430688__1.430688	853__A0A173T751__C4N24_10280
ERR1913285.430754__1.430754	1262803__R6NV39__BN649_01654
ERR1913285.430786__1.430786	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913285.430816__1.430816	33043__A0A173YSY7__tilS
ERR1913285.431124__1.431124	28118__R6FFY9__DHW44_14630
ERR1913285.431193__1.431193	165179__R6CNX7__DXB80_02200
ERR1913285.431270__1.431270	1262911__R6GK39__BN557_01755
ERR1913285.431409__1.431409	2293125__A0A374BMK9__DW917_16190
ERR1913285.431512__1.431512	165179__A0A174W369__PREVCOP_04548
ERR1913285.431527__1.431527	165179__A0A3E5E2C8__folA
ERR1913285.431792__1.431792	818__A0A139K9H8__C5Z03_23905
ERR1913285.431793__1.431793	39491__A0A395ZGU6__ERS852417_01456
ERR1913285.431866__1.431866	1262803__R6P0X6__BN649_00395
ERR1913285.431876__1.431876	33043__D5HJC5__ERS852386_02144
ERR1913285.432143__1.432143	165179__A0A3E5AER8__DXB80_07075
ERR1913285.432292__1.432292	165179__D1P8K1__DXB80_06045
ERR1913285.432303__1.432303	626940__E8LFQ7__BN587_01244
ERR1913285.432431__1.432431	1262924__R7HPC8__BN585_00139
ERR1913285.432489__1.432489	884684__GCA_002892425.1_01408
ERR1913285.432787__1.432787	33043__A0A174CLG4__hemA
ERR1913285.432706__1.432706	204516__U6RFU0__HMPREF1534_02545
ERR1913285.433022__1.433022	40518__R5DYU1__DXD86_01160
ERR1913285.433196__1.433196	165179__D1PDG7__DXB80_11180
ERR1913285.433199__1.433199	40518__R5DWP7__ansA
ERR1913285.433235__1.433235	33043__A8SWZ6__ERS852386_02582
ERR1913285.433250__1.433250	1262803__R6NJY3__BN649_02127
ERR1913285.433390__1.433390	165179__D1P9T6__PREVCOP_04016
ERR1913285.433407__1.433407	39492__D4MIK7__EUBSIR_00676
ERR1913285.433703__1.433703	39491__A0A396FSN2__EUBREC_0707
ERR1913285.433810__1.433810	165179__A0A174W369__PREVCOP_04548
ERR1913285.433987__1.433987	39492__D4JT75__EUBSIR_01776
ERR1913285.433934__1.433934	1160721__R6TAA3__BHW50_03385
ERR1913285.434079__1.434079	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913285.434128__1.434128	165179__R6BQP4__DXC61_02015
ERR1913285.434199__1.434199	853__A0A173XRA8__CGS56_09290
ERR1913285.434238__1.434238	360807__C0FVL5__ERS852392_00391
ERR1913285.434333__1.434333	28117__B0MYI9__BHV66_05415
ERR1913285.434407__1.434407	165179__A0A3E5DRF6__DXC61_00200
ERR1913285.434666__1.434666	1262911__R6HN72__BN557_00911
ERR1913285.434762__1.434762	853__A0A2A7B1Y7__C7K05_11930
ERR1913285.434993__1.434993	820__A0A139K5A6__DXB48_12175
ERR1913285.435062__1.435062	384639__GCA_003096855.1_00971
ERR1913285.435357__1.435357	818__A0A139KQP8__BJP75_006755
ERR1913285.435336__1.435336	39491__A0A395ZDC6__addB
ERR1913285.435417__1.435417	165179__A0A174WGF6__PREVCOP_04095
ERR1913285.435481__1.435481	33043__A0A174AEP1__apr
ERR1913285.435676__1.435676	357276__I9FGI3__EL88_12385
ERR1913285.435874__1.435874	46503__R6X0L4__DXB61_05325
ERR1913285.435978__1.435978	28052__A0A174JNK0__ERS852451_01116
ERR1913285.435983__1.435983	165179__A0A3E5E2S3__DXB80_03455
ERR1913285.436253__1.436253	28117__B0MXJ1__BHV66_08445
ERR1913285.436364__1.436364	165179__D1PE06__DXC61_05975
ERR1913285.436485__1.436485	165179__A0A229I2W6__PREVCOP_04332
ERR1913285.436576__1.436576	1263011__R6E3A4__BN553_01848
ERR1913285.436639__1.436639	33043__A0A173ZZF8__sbp_2
ERR1913285.436673__1.436673	165179__D1PEW8__DXB80_13775
ERR1913285.436708__1.436708	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913285.436822__1.436822	1262743__R5C534__BN727_01046
ERR1913285.436851__1.436851	301302__A0A173S436__M72_16191
ERR1913285.436877__1.436877	165179__D1PE06__DXC61_05975
ERR1913285.436936__1.436936	328814__GCA_004558275.1_00074
ERR1913285.437331__1.437331	39496__A5Z937__EUBVEN_02230
ERR1913285.437244__1.437244	33043__A0A174AEP1__apr
ERR1913285.437376__1.437376	821__A0A3E4WAR6__DXD64_10735
ERR1913285.437525__1.437525	1262803__R6NHJ2__BN649_01811
ERR1913285.437594__1.437594	1965650__A0A1Y3VD26__B5G16_06495
ERR1913285.437759__1.437759	165179__A0A3E5E7D5__PREVCOP_03928
ERR1913285.437800__1.437800	357276__A0A076IN21__BSEG_03078
ERR1913285.437978__1.437978	165179__D1PB89__DXC61_08425
ERR1913285.438003__1.438003	410072__A0A174LZA3__ERS852389_01302
ERR1913285.438020__1.438020	1262746__R5STH4__BN750_02564
ERR1913285.438119__1.438119	46503__R6XDP9__ERS852463_01752
ERR1913285.438197__1.438197	853__A0A3E2U7E6__ERS852582_01640
ERR1913285.438294__1.438294	165179__A0A174SA26__PREVCOP_05758
ERR1913285.438443__1.438443	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913285.438509__1.438509	165179__R6CNX7__DXB80_02200
ERR1913285.438767__1.438767	1796652__ltrA_3
ERR1913285.438749__1.438749	818__Q8A5L9__BJP75_000955
ERR1913285.438850__1.438850	1262911__R6HN87__BN557_00926
ERR1913285.438965__1.438965	28052__A0A174N8X0__ERS852499_02136
ERR1913285.438980__1.438980	357276__I8WEY2__ABI39_04185
ERR1913285.439411__1.439411	165179__W1I4H6__DXB80_13655
ERR1913285.439550__1.439550	165179__A0A3E4SID1__DXB80_01945
ERR1913285.439626__1.439626	626940__R6WP89__BN587_00391
ERR1913285.439761__1.439761	239935__A0A2N8I1R3__CXU05_06075
ERR1913285.439801__1.439801	165179__D1PEW8__DXB80_13775
ERR1913285.439843__1.439843	33043__D5HFZ0__rlmH
ERR1913285.439867__1.439867	165179__D1PDT3__PREVCOP_05375
ERR1913285.439888__1.439888	39490__U2Q312__ERS852448_03061
ERR1913285.440069__1.440069	28117__B0MXG8__ALIPUT_01814
ERR1913285.440097__1.440097	84030__D6DGC4__B5F06_12990
ERR1913285.440367__1.440367	165179__D1PDG7__DXB80_11180
ERR1913285.440408__1.440408	39492__D4JWM0__atpF
ERR1913285.440444__1.440444	165179__A0A3E5AG99__DXB80_04390
ERR1913285.440562__1.440562	165179__A0A3E5E920__DXB80_11625
ERR1913285.440605__1.440605	1262803__R6NIZ0__BN649_00374
ERR1913285.440667__1.440667	165179__D1PCL6__DXB80_13435
ERR1913285.440785__1.440785	1262803__R6NIZ0__BN649_00374
ERR1913285.440854__1.440854	116085__D4J6U8__DW747_08385
ERR1913285.440930__1.440930	338188__C9L1F9__BACFIN_08436
ERR1913285.441122__1.441122	853__A0A173T0Y8__CGS54_07215
ERR1913285.441067__1.441067	39492__A0A3D4MN89__nadD
ERR1913285.441080__1.441080	165179__A0A229I6N7__DXC61_06720
ERR1913285.441231__1.441231	165179__A0A3E5DY64__CFT61_10025
ERR1913285.441355__1.441355	360807__C0FP74__ERS852444_00195
ERR1913285.441312__1.441312	28117__B0MUX4__ALIPUT_00911
ERR1913285.441311__1.441311	40518__R5DSI5__fieF
ERR1913285.441544__1.441544	1263000__R5EKT2__BN466_02168
ERR1913285.441618__1.441618	853__A0A173YYY4__DWZ04_09420
ERR1913285.441622__1.441622	165179__A0A3E5E8N5__DXC61_13460
ERR1913285.441634__1.441634	626940__E8LFF6__BHW43_06155
ERR1913285.441637__1.441637	239935__A0A2N8HHB6__B5G29_11500
ERR1913285.441640__1.441640	39491__A0A396FTE5__ERS852417_01346
ERR1913285.441849__1.441849	39492__D4JWP8__EUBSIR_00699
ERR1913285.442035__1.442035	165179__A0A3E5DZD8__DXB80_09150
ERR1913285.442064__1.442064	33043__A0A174D8D4__ERS852386_02537
ERR1913285.442098__1.442098	239935__A0A139TPD4__CXT86_06450
ERR1913285.442121__1.442121	39491__A0A395ZHW9__DXC13_02590
ERR1913285.442236__1.442236	47678__R5UT83__DW706_09750
ERR1913285.442364__1.442364	410072__C0BF38__DXD67_15395
ERR1913285.442422__1.442422	1262743__R5C9H2__BN727_02240
ERR1913285.442442__1.442442	165179__A0A174W369__PREVCOP_04548
ERR1913285.442477__1.442477	28052__A0A174P635__ERS852499_02418
ERR1913285.442850__1.442850	165179__A0A174MTF2__DXC61_13200
ERR1913285.442992__1.442992	1262992__R5D749__BN795_01063
ERR1913285.443124__1.443124	28052__A0A174MH21__ERS852499_01905
ERR1913285.443138__1.443138	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913285.443428__1.443428	165179__A0A3E4SEG4__DXC61_11235
ERR1913285.443482__1.443482	39491__A0A395V0H6__ERS852580_02570
ERR1913285.443433__1.443433	28052__A0A174NHE1__spoIIIE
ERR1913285.443445__1.443445	165179__W1I4H6__DXB80_13655
ERR1913285.443522__1.443522	853__A0A173XRA8__CGS56_09290
ERR1913285.443545__1.443545	39491__A0A395V464__EUBREC_1509
ERR1913285.443632__1.443632	165179__D1PFV4__PREVCOP_06112
ERR1913285.443638__1.443638	33043__D5HFD3__ybbD
ERR1913285.443700__1.443700	1263107__GCA_000436995.1_00033
ERR1913285.443847__1.443847	28118__R6F7E0__SAMEA44545918_02355
ERR1913285.443807__1.443807	165179__D1PCT4__DXB80_09470
ERR1913285.443827__1.443827	820__A0A174KKV6__DXC07_02635
ERR1913285.443966__1.443966	853__A0A173RZ39__C4N22_01650
ERR1913285.444016__1.444016	40518__R5DZ88__DXD93_06320
ERR1913285.444064__1.444064	165179__D1PCT4__DXB80_09470
ERR1913285.444116__1.444116	33043__D5HIS6__ERS852575_02019
ERR1913285.444287__1.444287	39496__A5Z5I2__EUBVEN_00963
ERR1913285.444394__1.444394	165179__A0A3E4SB80__DXC61_12880
ERR1913285.444483__1.444483	39492__D4JTG7__EUBSIR_00572
ERR1913285.444791__1.444791	360807__A0A1Q6T8A0__mepA_13
ERR1913285.445118__1.445118	40520__A0A3E5EH57__ERS852533_00253
ERR1913285.445564__1.445564	165179__A0A3E4SB80__DXC61_12880
ERR1913285.445673__1.445673	28052__A0A174LZK5__ERS852451_02148
ERR1913285.445674__1.445674	28052__A0A174LZK5__ERS852451_02148
ERR1913285.445934__1.445934	487174__K0WZN5__HMPREF9448_01108
ERR1913285.446123__1.446123	40518__R5DP91__RBL236_00890
ERR1913285.446133__1.446133	40518__R5E2F3__artQ
ERR1913285.446139__1.446139	239935__R6J9Y2__CXT85_07000
ERR1913285.446179__1.446179	40518__R5DU74__RBATCC27255_00707
ERR1913285.446160__1.446160	28052__A0A174I2V6__ERS852499_00643
ERR1913285.446294__1.446294	1897011__A0A1Q6RGA3__BHW41_02665
ERR1913285.446388__1.446388	360807__A0A1Q6T7T2__artP
ERR1913285.446403__1.446403	823__A0A355XLT7__HMPREF1075_03402
ERR1913285.446775__1.446775	28052__A0A174JNB2__ERS852499_01122
ERR1913285.446844__1.446844	1262924__R7HKX0__BN585_01279
ERR1913285.446858__1.446858	165179__D1PGJ6__DXC61_07300
ERR1913285.446863__1.446863	165179__D1PCU4__PREVCOP_05029
ERR1913285.446890__1.446890	39491__A0A395ZDC6__addB
ERR1913285.446896__1.446896	301301__A0A395VFD3__ERS852391_02492
ERR1913285.446939__1.446939	39492__D4JQM9__EUBSIR_00669
ERR1913285.447055__1.447055	28052__A0A174GQI3__ERS852451_00394
ERR1913285.447090__1.447090	165179__A0A3E5E3D6__DXC61_05750
ERR1913285.447124__1.447124	165179__A0A229I1J2__DXB80_03950
ERR1913285.447227__1.447227	239935__A0A2N8I390__CXU16_10675
ERR1913285.447328__1.447328	853__A0A174BA00__DW905_01145
ERR1913285.447343__1.447343	39488__C0F0K5__DXD91_02265
ERR1913285.447348__1.447348	626940__E8LE57__HMPREF9443_01128
ERR1913285.447411__1.447411	100886__A0A174HM39__CATMIT_01357
ERR1913285.447419__1.447419	165179__R6CNX7__DXB80_02200
ERR1913285.447426__1.447426	853__A0A2A7AXC8__C4N21_14120
ERR1913285.447580__1.447580	410072__C0B9G6__ERS852481_03113
ERR1913285.447603__1.447603	165179__D1PES9__DXB80_11585
ERR1913285.447657__1.447657	360807__A0A173UZ94__ssuC_2
ERR1913285.447783__1.447783	40518__R5DVL2__penA
ERR1913285.448145__1.448145	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913285.448219__1.448219	2293125__A0A374CA90__DW917_07695
ERR1913285.448315__1.448315	1780376__A0A143XQT4__BN3659_01658
ERR1913285.448391__1.448391	33043__A0A173WZE5__ERS852386_00374
ERR1913285.448711__1.448711	165179__R6B8D8__DXC61_09245
ERR1913285.448790__1.448790	165179__A0A3E5E189__PREVCOP_06699
ERR1913285.448833__1.448833	165179__A0A174IHQ2__PREVCOP_05478
ERR1913285.448996__1.448996	28117__B0MU57__ALIPUT_00175
ERR1913285.449128__1.449128	360807__A0A0M6X1Y4__ROSEINA2194_02133
ERR1913285.449272__1.449272	165179__D1PCL6__DXB80_13435
ERR1913285.449438__1.449438	33043__A0A173YEP6__ERS852575_00888
ERR1913285.449542__1.449542	39488__R6GBC5__DXD91_06450
ERR1913285.449683__1.449683	239935__A0A2N8ITG2__Amuc_0335
ERR1913285.449690__1.449690	40520__A5ZVE9__ERS852394_01939
ERR1913285.449704__1.449704	165179__R6CJG8__DXC61_09290
ERR1913285.449903__1.449903	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913285.449945__1.449945	165179__R6CNX7__DXB80_02200
ERR1913285.450087__1.450087	28117__B0MXL6__ALIPUT_01851
ERR1913285.450052__1.450052	357276__A0A0M1W657__HMPREF1064_04629
ERR1913285.450143__1.450143	165179__D1PDJ4__DXB80_08505
ERR1913285.450219__1.450219	823__C7XBX3__HMPREF1059_03212
ERR1913285.450259__1.450259	475178__GeneID:6218854
ERR1913285.450306__1.450306	40518__R5DR39__mreB_2
ERR1913285.450543__1.450543	1262889__R7HAZ4__BN634_01288
ERR1913285.450527__1.450527	820__A0A3E4RU03__M093_0563
ERR1913285.451069__1.451069	165179__A0A3E5AER8__DXB80_07075
ERR1913285.451074__1.451074	1262803__R6PTE4__BN649_00829
ERR1913285.451151__1.451151	165179__R6XIF8__DXC61_07265
ERR1913285.451157__1.451157	165179__D1PAJ7__PREVCOP_04222
ERR1913285.451183__1.451183	33043__D5HHY4__luxQ_1
ERR1913285.451201__1.451201	106588__A6NUL8__BACCAP_01900
ERR1913285.451329__1.451329	165179__A0A229I9X5__CFT61_01205
