ERR1913195.27__1.27	292800__G9YWZ8__A4U99_12635
ERR1913195.506442__1.506442	301302__A0A173TYC8__M72_00761
ERR1913195.506462__1.506462	1262929__R6EX87__BN691_01422
ERR1913195.506529__1.506529	410072__A0A3E4GN60__truA
ERR1913195.506541__1.506541	39486__G1WX25__DXD84_13390
ERR1913195.506639__1.506639	301302__A0A0M6X038__M72_18501
ERR1913195.506767__1.506767	165179__D1P9T6__PREVCOP_04016
ERR1913195.506779__1.506779	165179__R6CNX7__DXB80_02200
ERR1913195.507124__1.507124	165179__D1PDT3__PREVCOP_05375
ERR1913195.507387__1.507387	649756__L1PU84__ERS852571_01295
ERR1913195.507421__1.507421	165179__A0A174SA26__PREVCOP_05758
ERR1913195.507851__1.507851	143393__X8K664__HMPREF9092_0038
ERR1913195.507881__1.507881	165179__A0A3E5A6S0__PREVCOP_04351
ERR1913195.508074__1.508074	33043__A0A173YLD4__ERS852575_00535
ERR1913195.508094__1.508094	2293125__A0A374CJ42__DW917_03305
ERR1913195.508112__1.508112	610243__A0A060QJF7__ASAP_2763
ERR1913195.508182__1.508182	1262882__R5N5H2__BN519_01493
ERR1913195.508231__1.508231	165179__A0A174UTZ7__DXC61_06705
ERR1913195.508247__1.508247	165179__A0A229I443__DXB80_10950
ERR1913195.508409__1.508409	33043__A0A174CV49__ERS852386_02395
ERR1913195.508372__1.508372	33043__D5HFD3__ybbD
ERR1913195.508562__1.508562	165179__A0A3E5E4P9__DXB80_07930
ERR1913195.508525__1.508525	301302__A0A0M6WJW1__ERS852420_02245
ERR1913195.508536__1.508536	165179__D1PHV2__PREVCOP_06822
ERR1913195.508580__1.508580	165179__D1P8K1__DXB80_06045
ERR1913195.508614__1.508614	165179__R6CNX7__DXB80_02200
ERR1913195.508623__1.508623	853__A0A174BZY1__xerD_1
ERR1913195.508692__1.508692	301302__A0A173T929__M72_26841
ERR1913195.509085__1.509085	1262911__R6GZ01__BN557_00641
ERR1913195.509154__1.509154	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913195.509344__1.509344	28116__D4WLZ3__C5Z02_24105
ERR1913195.509537__1.509537	820__A0A139K5A6__DXB48_12175
ERR1913195.509545__1.509545	165179__D1PAJ7__PREVCOP_04222
ERR1913195.509689__1.509689	1262882__R5N1T9__BN519_00804
ERR1913195.509716__1.509716	901__B6WUI5__DESPIGER_1817
ERR1913195.509825__1.509825	1262882__R5MRS7__BN519_01490
ERR1913195.509883__1.509883	165179__A0A3E5EB26__CFT61_02800
ERR1913195.509920__1.509920	39488__C0EX25__DXD91_11965
ERR1913195.510090__1.510090	28117__B0MY40__BHV66_05170
ERR1913195.510149__1.510149	649756__B0P476__ERS852475_00941
ERR1913195.510304__1.510304	2022527__A0A264YA42__CHL74_01870
ERR1913195.510352__1.510352	301302__A0A0M6WG68__ERS852420_02421
ERR1913195.510323__1.510323	40518__A0A1C6H8C4__DXD93_02535
ERR1913195.510330__1.510330	165179__A0A3E5AER8__DXB80_07075
ERR1913195.510400__1.510400	1680__A0A087CWH8__ERS852382_00646
ERR1913195.510460__1.510460	165179__D1PAJ7__PREVCOP_04222
ERR1913195.510497__1.510497	1680__A0A076JNH5__DXC60_03835
ERR1913195.510574__1.510574	165179__A0A3E5DRF6__DXC61_00200
ERR1913195.510779__1.510779	1262882__R5N0F4__BN519_00593
ERR1913195.510976__1.510976	39491__C4ZF05__vpr
ERR1913195.511244__1.511244	165179__A0A3E5A832__DXC61_13685
ERR1913195.511217__1.511217	1284775__A0A096A9J4__HMPREF1640_07270
ERR1913195.511224__1.511224	1284775__A0A095Y637__HMPREF1640_07040
ERR1913195.511407__1.511407	165179__A0A3E5E3D6__DXC61_05750
ERR1913195.511445__1.511445	363265__R7H115__HMPREF0673_02883
ERR1913195.511563__1.511563	165179__D1P9T6__PREVCOP_04016
ERR1913195.511743__1.511743	626940__R6X4V5__DCQ00_10410
ERR1913195.511810__1.511810	165179__A0A3E5DWQ1__DXB80_06635
ERR1913195.511880__1.511880	820__A7V780__adaA_3
ERR1913195.512104__1.512104	1358__P0A4N7__CRM88_09405
ERR1913195.512109__1.512109	1262929__R6EZA2__BN691_02113
ERR1913195.512133__1.512133	165179__D1PGU8__PREVCOP_06463
ERR1913195.512146__1.512146	165179__D1PAJ7__PREVCOP_04222
ERR1913195.512235__1.512235	1680__A0A087DLC6__C8077_00815
ERR1913195.512425__1.512425	165179__D1PC26__PREVCOP_04756
ERR1913195.512399__1.512399	165179__A0A3E5A832__DXC61_13685
ERR1913195.512484__1.512484	301302__A0A0M6WTB1__M72_11101
ERR1913195.512756__1.512756	28117__B0MWC6__BHV66_00965
ERR1913195.512909__1.512909	1262930__R6A1J8__BN693_00900
ERR1913195.512920__1.512920	165179__D1PDT3__PREVCOP_05375
ERR1913195.513081__1.513081	40518__R5E4X1__DXD93_05270
ERR1913195.513101__1.513101	33043__A0A374K1H3__ykoD_2
ERR1913195.513274__1.513274	165179__A0A229I2W6__PREVCOP_04332
ERR1913195.513306__1.513306	165179__A0A3E5E4T9__DXB80_08030
ERR1913195.513391__1.513391	1262924__R7HLJ9__BN585_01064
ERR1913195.513410__1.513410	418240__C6JFI7__ERS852523_01130
ERR1913195.513583__1.513583	301302__R5UJW6__ERS852420_01698
ERR1913195.513675__1.513675	39491__A0A396FMT0__EUBREC_3020
ERR1913195.513741__1.513741	363265__R6FQP4__HMPREF0673_00216
ERR1913195.513819__1.513819	165179__A0A3E5DZ85__PREVCOP_04238
ERR1913195.513991__1.513991	165179__D1PEQ5__PREVCOP_05711
ERR1913195.514039__1.514039	33043__D5HF09__ERS852575_02732
ERR1913195.514064__1.514064	1105031__J1H3W2__HMPREF1141_2783
ERR1913195.514071__1.514071	301302__R5UNC5__M72_02681
ERR1913195.514141__1.514141	301302__R5UK77__M72_08681
ERR1913195.514248__1.514248	1262924__R7HRJ9__BN585_00557
ERR1913195.514309__1.514309	823__A0A395YQ63__B5F32_15335
ERR1913195.514317__1.514317	39491__A0A395UWZ1__DXC13_02175
ERR1913195.514323__1.514323	165179__A0A229I4J4__proA
ERR1913195.514449__1.514449	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913195.514556__1.514556	2022527__A0A264YA42__CHL74_01870
ERR1913195.514580__1.514580	165179__R6CNX7__DXB80_02200
ERR1913195.514621__1.514621	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913195.514636__1.514636	40518__R5DUU2__yvhJ_2
ERR1913195.514745__1.514745	165179__D1PB89__DXC61_08425
ERR1913195.514873__1.514873	1262929__R6F7V9__BN691_01817
ERR1913195.515231__1.515231	649756__A0A173SUE5__HMPREF0369_00853
ERR1913195.515201__1.515201	165179__A0A174UI01__DXB80_12165
ERR1913195.515176__1.515176	172901__A0A2U1AW17__C8D82_11641
ERR1913195.515299__1.515299	39491__D4JM76__DXC13_02150
ERR1913195.515330__1.515330	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913195.515336__1.515336	1105031__J1H3W2__HMPREF1141_2783
ERR1913195.515495__1.515495	301302__A0A0M6WSS7__ERS852420_02367
ERR1913195.515647__1.515647	165179__A0A174W369__PREVCOP_04548
ERR1913195.515652__1.515652	1680__A0A173X776__B0070_1318
ERR1913195.515836__1.515836	301302__A0A0M6WH46__M72_23101
ERR1913195.516033__1.516033	165179__A0A3E5AHK7__PREVCOP_04289
ERR1913195.515977__1.515977	301302__R5V5K3__M72_10541
ERR1913195.516125__1.516125	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913195.516128__1.516128	820__A0A3E4RTP0__C801_01067
ERR1913195.516132__1.516132	418240__C6JDJ1__ERS852478_02876
ERR1913195.516180__1.516180	301302__A0A0M6WBZ5__spr
ERR1913195.516159__1.516159	33043__A0A174H1Y6__ERS852575_02698
ERR1913195.516345__1.516345	301302__A0A0M6WMV7__M72_28281
ERR1913195.516418__1.516418	39488__A0A374NJP4__DXD91_10845
ERR1913195.516424__1.516424	165179__A0A229I6N7__DXC61_06720
ERR1913195.516853__1.516853	165179__D1PGD2__DXC61_10875
ERR1913195.516967__1.516967	301302__A0A0M6WB53__mcp4_4
ERR1913195.517070__1.517070	165179__A0A174MTF2__DXC61_13200
ERR1913195.517137__1.517137	33043__A0A174DVD4__prkC_7
ERR1913195.517222__1.517222	165179__A0A3E5ED28__PREVCOP_06655
ERR1913195.517295__1.517295	33043__A0A174B6N5__ERS852445_02414
ERR1913195.517469__1.517469	165179__A0A174W369__PREVCOP_04548
ERR1913195.517433__1.517433	1262930__R6AQF3__BN693_01271
ERR1913195.517435__1.517435	1262929__R6FV20__BN691_00610
ERR1913195.517818__1.517818	39491__A0A173VH71__ERS852497_01827
ERR1913195.517941__1.517941	820__A0A174VD39__DXD90_12235
ERR1913195.517968__1.517968	165179__R6B8D8__DXC61_09245
ERR1913195.518190__1.518190	39488__A0A173REY4__ecfT_1
ERR1913195.518579__1.518579	1262929__R6EZA2__BN691_02113
ERR1913195.518965__1.518965	33039__D4M6R8__bglB_8
ERR1913195.519306__1.519306	1284775__A0A095Y5I6__HMPREF1640_07260
ERR1913195.519350__1.519350	165179__A0A3E5A554__DXB80_13805
ERR1913195.519444__1.519444	165179__D1PGU8__PREVCOP_06463
ERR1913195.519485__1.519485	301302__R5UI99__M72_25591
ERR1913195.519678__1.519678	165179__A0A3E5EB26__CFT61_02800
ERR1913195.519850__1.519850	40518__R5DVH6__DXD86_08955
ERR1913195.520152__1.520152	301302__R5VFU2__xynA1
ERR1913195.520436__1.520436	165179__D1PFV4__PREVCOP_06112
ERR1913195.520737__1.520737	301302__A0A173RZU9__M72_23561
ERR1913195.520813__1.520813	901__B6WXI0__DHV46_02055
ERR1913195.520903__1.520903	33043__A0A173WXS1__ERS852445_00262
ERR1913195.520967__1.520967	301302__A0A173T010__M72_26571
ERR1913195.520968__1.520968	33043__A0A173X520__ERS852575_01617
ERR1913195.521131__1.521131	33039__A0A173VTT4__frdB_1
ERR1913195.521177__1.521177	1262924__R7HU74__BN585_00690
ERR1913195.521187__1.521187	1262929__R6F839__BN691_00353
ERR1913195.521214__1.521214	165179__R6BQP4__DXC61_02015
ERR1913195.521774__1.521774	40518__R5DW64__RBL236_01394
ERR1913195.521813__1.521813	301302__A0A0M6WZT5__M72_18331
ERR1913195.521861__1.521861	165179__A0A3E5AEF7__DXC61_05000
ERR1913195.522107__1.522107	1262882__R5MSS9__BN519_01662
ERR1913195.522121__1.522121	823__A0A174DZM1__DDY96_10310
ERR1913195.522180__1.522180	301302__A0A0M6WCT0__M72_03221
ERR1913195.522193__1.522193	28052__A0A174KUL2__phoR_1
ERR1913195.522303__1.522303	165179__A0A3E5EB26__CFT61_02800
ERR1913195.522359__1.522359	328814__GCA_004558275.1_00062
ERR1913195.522579__1.522579	165179__R6CNX7__DXB80_02200
ERR1913195.522874__1.522874	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913195.522901__1.522901	649756__B0P442__DO83_03915
ERR1913195.523070__1.523070	165179__A0A3E5E7D5__PREVCOP_03928
ERR1913195.523101__1.523101	1262882__R5N1N6__BN519_00968
ERR1913195.523230__1.523230	1262882__R5N3T7__BN519_01188
ERR1913195.523297__1.523297	649756__D4MX84__ERS852520_02352
ERR1913195.523244__1.523244	165179__A0A3E5E2S3__DXB80_03455
ERR1913195.523506__1.523506	33043__D5HFD3__ybbD
ERR1913195.523511__1.523511	165179__A0A3E5EBV0__DXB80_01745
ERR1913195.523535__1.523535	1739406__A0A1S1EKR2__HMPREF2902_07980
ERR1913195.523655__1.523655	165179__A0A3E5E189__PREVCOP_06699
ERR1913195.524039__1.524039	301302__R5VGE0__ERS852420_00121
ERR1913195.524262__1.524262	823__D7ILK2__ERS852380_00031
ERR1913195.524310__1.524310	165179__A0A3E5EBV0__DXB80_01745
ERR1913195.524618__1.524618	165179__A0A3E5E920__DXB80_11625
ERR1913195.524742__1.524742	165179__A0A3E5E189__PREVCOP_06699
ERR1913195.524818__1.524818	165179__A0A174K816__DXB80_12000
ERR1913195.524870__1.524870	165179__D1PEQ5__PREVCOP_05711
ERR1913195.525082__1.525082	165179__R6C3K4__PREVCOP_05795
ERR1913195.525097__1.525097	1284775__A0A096A9J4__HMPREF1640_07270
ERR1913195.525255__1.525255	301302__A0A173T3P5__ERS852420_01836
ERR1913195.525363__1.525363	1262929__R6F8A0__BN691_00413
ERR1913195.525545__1.525545	1262924__R7HQB3__BN585_00435
ERR1913195.525595__1.525595	165179__D1PFV4__PREVCOP_06112
ERR1913195.525644__1.525644	301302__A0A0M6WVL0__celA
ERR1913195.525779__1.525779	33043__A0A174B7D6__ERS852400_01331
ERR1913195.525807__1.525807	1623__E7FRD7__LRB_1049
ERR1913195.525870__1.525870	165179__D1PEW8__DXB80_13775
ERR1913195.526131__1.526131	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913195.526208__1.526208	165179__A0A3E5DV57__DXB80_11400
ERR1913195.526336__1.526336	165179__R6BQP4__DXC61_02015
ERR1913195.526597__1.526597	165179__A0A3E5E2B6__DXB80_02820
ERR1913195.526780__1.526780	1262882__R5MFT7__BN519_00494
ERR1913195.527065__1.527065	820__A0A1T4IY71__HMPREF2141_02402
ERR1913195.527203__1.527203	33043__D5HEE1__ERS852386_01671
ERR1913195.527229__1.527229	165179__R6C3K4__PREVCOP_05795
ERR1913195.527325__1.527325	165179__A0A3E5A5E5__DXC61_13965
ERR1913195.527326__1.527326	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913195.527294__1.527294	328814__GCA_004558275.1_02279
ERR1913195.527568__1.527568	165179__A0A174SA26__PREVCOP_05758
ERR1913195.527661__1.527661	165179__A0A3E5AAM8__DXB80_10240
ERR1913195.527848__1.527848	165179__R6B8D8__DXC61_09245
ERR1913195.528240__1.528240	1262919__R5PMI2__BN465_00447
ERR1913195.528331__1.528331	33043__D5HDY1__cdd
ERR1913195.528290__1.528290	165179__A0A3E5E920__DXB80_11625
ERR1913195.528355__1.528355	745368__A0A1T4WDF4__SAMN02745178_00415
ERR1913195.528449__1.528449	301302__R5UNC5__M72_02681
ERR1913195.528562__1.528562	33043__A0A174AEP1__apr
ERR1913195.528852__1.528852	1262929__R6EXT3__BN691_00303
ERR1913195.528892__1.528892	165179__D1PCU4__PREVCOP_05029
ERR1913195.528990__1.528990	165179__D1PDT3__PREVCOP_05375
ERR1913195.529138__1.529138	301302__R5VE75__M72_12161
ERR1913195.529142__1.529142	1262882__R5N1T9__BN519_00804
ERR1913195.530105__1.530105	165179__D1PGD2__DXC61_10875
ERR1913195.530310__1.530310	165179__D1PE06__DXC61_05975
ERR1913195.530471__1.530471	1262882__R5MYX5__BN519_00333
ERR1913195.530541__1.530541	165179__D1PB89__DXC61_08425
ERR1913195.530831__1.530831	165179__D1PE06__DXC61_05975
ERR1913195.530898__1.530898	301302__A0A173RZU9__M72_23561
ERR1913195.530950__1.530950	33043__A0A174EI47__inlJ
ERR1913195.531031__1.531031	33043__D5HHF5__ERS852386_00025
ERR1913195.531112__1.531112	626940__R6WJ89__HMPREF9443_01234
ERR1913195.531172__1.531172	820__A0A3E4XDK3__ERS852554_03650
ERR1913195.531189__1.531189	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913195.531383__1.531383	1262882__R5MFY4__BN519_00529
ERR1913195.531471__1.531471	165179__A0A174IPI3__CFT61_10940
ERR1913195.531737__1.531737	301302__R5UIY5__M72_17461
ERR1913195.531703__1.531703	40518__R5E0F2__RBATCC27255_01890
ERR1913195.532053__1.532053	1735__B7CBP5__EUBIFOR_01620
ERR1913195.532344__1.532344	328814__GCA_004558275.1_00036
ERR1913195.532848__1.532848	1160721__R6U7U7__cheW1
ERR1913195.533021__1.533021	100886__E2NR50__CATMIT_01053
ERR1913195.533192__1.533192	301302__R5UU15__ERS852420_02998
ERR1913195.533213__1.533213	363265__G6AVR7__HMPREF0673_00706
ERR1913195.533242__1.533242	1284775__A0A095Y4Y3__HMPREF1640_07095
ERR1913195.533318__1.533318	301302__R5VFU2__xynA1
ERR1913195.533366__1.533366	165179__D1PEW8__DXB80_13775
ERR1913195.533615__1.533615	33043__D5HEE1__ERS852386_01671
ERR1913195.533711__1.533711	1262929__R6EX87__BN691_01422
ERR1913195.533718__1.533718	1739406__A0A1S1EJA5__HMPREF2902_08435
ERR1913195.533730__1.533730	165179__A0A3E5E0D5__PREVCOP_04205
ERR1913195.533772__1.533772	626940__E8LC93__DCQ00_09725
ERR1913195.533822__1.533822	1284775__A0A095ZFS6__HMPREF1640_07045
ERR1913195.533735__1.533735	165179__A0A174W369__PREVCOP_04548
ERR1913195.534106__1.534106	1262882__R5MJJ9__BN519_01035
ERR1913195.534275__1.534275	626940__R6X4V5__DCQ00_10410
ERR1913195.534481__1.534481	165179__R6C3K4__PREVCOP_05795
ERR1913195.534562__1.534562	1262882__R5MKU2__BN519_01271
ERR1913195.534906__1.534906	46503__A7AHD3__DXB85_00810
ERR1913195.535122__1.535122	165179__A0A174K816__DXB80_12000
ERR1913195.535506__1.535506	33043__A0A174EI47__inlJ
ERR1913195.535533__1.535533	301302__R5VCB8__M72_07901
ERR1913195.535589__1.535589	301302__A0A173TTX1__M72_22141
ERR1913195.535621__1.535621	214856__A0A174H3U9__ERS852559_00612
ERR1913195.535935__1.535935	1284775__A0A095Y5J4__HMPREF1640_07320
ERR1913195.536131__1.536131	33039__D4M1A4__ERS852502_00742
ERR1913195.536313__1.536313	165179__D1PGJ6__DXC61_07300
ERR1913195.536500__1.536500	1262882__R5MT08__BN519_01706
ERR1913195.536767__1.536767	165179__A0A3E5E2S3__DXB80_03455
ERR1913195.537290__1.537290	165179__A0A3E5AHY4__CFT61_07675
ERR1913195.537300__1.537300	1262929__R6EXT3__BN691_00303
ERR1913195.537305__1.537305	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913195.537440__1.537440	165179__A0A3E5DY64__CFT61_10025
ERR1913195.537840__1.537840	165179__A0A3E5DZD8__DXB80_09150
ERR1913195.538060__1.538060	301302__A0A173UPG6__ERS852420_03127
ERR1913195.538124__1.538124	165179__D1PFV4__PREVCOP_06112
ERR1913195.538397__1.538397	165179__A0A3E4SB80__DXC61_12880
ERR1913195.538406__1.538406	165179__D1PDJ4__DXB80_08505
ERR1913195.538477__1.538477	100886__E2NPD3__ERS852383_04249
ERR1913195.538547__1.538547	626940__E8LE41__DCQ00_06695
ERR1913195.538557__1.538557	1262882__R5N1Z9__BN519_01020
ERR1913195.538641__1.538641	165179__A0A229I3Z6__PREVCOP_03666
ERR1913195.538654__1.538654	40518__R5E2U9__RBL263_01292
ERR1913195.539297__1.539297	363265__G6AZB1__HMPREF0673_01975
ERR1913195.539322__1.539322	1262882__R5N3H1__BN519_01121
ERR1913195.539703__1.539703	301302__R5V7D6__tagA
ERR1913195.539753__1.539753	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913195.539802__1.539802	626940__E8LCG7__DCQ00_01770
ERR1913195.539984__1.539984	901__B6WUH5__DESPIGER_1779
ERR1913195.540236__1.540236	418240__A0A174QTB3__ERS852478_01801
ERR1913195.540293__1.540293	40518__R5DR72__RBL236_02110
ERR1913195.540317__1.540317	1262882__R5MNC1__BN519_00818
ERR1913195.540507__1.540507	165179__A0A174W369__PREVCOP_04548
ERR1913195.540776__1.540776	33039__R6P0F1__ERS852424_02256
ERR1913195.540846__1.540846	165179__D1PES9__DXB80_11585
ERR1913195.540958__1.540958	165179__D1PGU8__PREVCOP_06463
ERR1913195.541012__1.541012	853__A0A2A7B9I6__DW855_13690
ERR1913195.541168__1.541168	301302__A0A173TNM6__luxQ
ERR1913195.541308__1.541308	165179__A0A3E5DWZ6__DXC61_10880
ERR1913195.541355__1.541355	1262746__R5SS80__BN750_02125
ERR1913195.541483__1.541483	1096246__A0A2V3XU36__DFR60_13033
ERR1913195.541566__1.541566	166486__D4L0G5__ROSINTL182_08176
ERR1913195.541652__1.541652	28118__F9ZBV2__NCTC10826_00352
ERR1913195.541894__1.541894	301302__A0A0M6WI31__znuC_2
ERR1913195.542014__1.542014	165179__A0A3E5ED28__PREVCOP_06655
ERR1913195.542087__1.542087	39488__A0A285PVH6__EUBHAL_00530
ERR1913195.542344__1.542344	165179__A0A3E5E189__PREVCOP_06699
ERR1913195.542305__1.542305	165179__D1PB89__DXC61_08425
ERR1913195.542402__1.542402	33043__D5HHT0__ERS852445_02798
ERR1913195.542624__1.542624	301302__A0A173QV75__M72_03601
ERR1913195.542731__1.542731	1284775__A0A095Y649__HMPREF1640_07125
ERR1913195.542971__1.542971	165179__A0A3E5A832__DXC61_13685
ERR1913195.543027__1.543027	1965604__A0A1Y4ERL1__B5F54_16810
ERR1913195.543194__1.543194	1262882__R5MPL0__BN519_01038
ERR1913195.543373__1.543373	165179__A0A174K816__DXB80_12000
ERR1913195.543674__1.543674	33039__A0A174XLA4__araR
ERR1913195.543677__1.543677	1263107__GCA_000436995.1_00142
ERR1913195.544114__1.544114	1262882__R5MT42__BN519_01729
ERR1913195.544146__1.544146	1262882__R5MEK3__BN519_00296
ERR1913195.544151__1.544151	165179__A0A174MTF2__DXC61_13200
ERR1913195.544227__1.544227	363265__G6AY47__HMPREF0673_01556
ERR1913195.544261__1.544261	301302__R5VCU3__cbiK_2
ERR1913195.544477__1.544477	40518__R5E2F3__artQ
ERR1913195.544495__1.544495	2024223__A0A255TFB9__CIL02_01190
ERR1913195.544932__1.544932	301302__R5UNJ6__M72_26701
ERR1913195.544994__1.544994	1262929__R6F7V9__BN691_01817
ERR1913195.545008__1.545008	1262882__R5MGK3__BN519_00655
ERR1913195.545126__1.545126	165179__A0A3E5EBM5__DXC61_02170
ERR1913195.545337__1.545337	165179__D1PE06__DXC61_05975
ERR1913195.545443__1.545443	1299998__GCA_001494635.1_00305
ERR1913195.545472__1.545472	1680__A0A1V8QAM8__BIFADO_02272
ERR1913195.545608__1.545608	165179__A0A174W369__PREVCOP_04548
ERR1913195.545784__1.545784	1263011__R6E160__BN553_01386
ERR1913195.545821__1.545821	1262882__R5MH55__BN519_00725
ERR1913195.545832__1.545832	165179__D1PE06__DXC61_05975
ERR1913195.546218__1.546218	40518__R5DRG6__ylbJ
ERR1913195.546356__1.546356	301302__R5UJB0__M72_12831
ERR1913195.546559__1.546559	33043__D5HI39__baeS_1
ERR1913195.546939__1.546939	649756__L1PXG6__CL2_21620
ERR1913195.547185__1.547185	301302__A0A173UT39__M72_23901
ERR1913195.547490__1.547490	301302__R5V7D6__tagA
ERR1913195.547696__1.547696	165179__D1PAJ7__PREVCOP_04222
ERR1913195.547847__1.547847	626940__E8LC41__BN587_00878
ERR1913195.547956__1.547956	1262929__R6EZA2__BN691_02113
ERR1913195.547983__1.547983	410072__A0A174L0Z1__ERS852525_00863
ERR1913195.548097__1.548097	165179__A0A3E5DV57__DXB80_11400
ERR1913195.548327__1.548327	218139__GCA_002259595.1_01323
ERR1913195.548412__1.548412	165179__A0A174SA26__PREVCOP_05758
ERR1913195.548480__1.548480	1262882__R5MM69__BN519_00075
ERR1913195.548622__1.548622	301302__R5UKP4__cbiT
ERR1913195.548647__1.548647	33039__A0A174ZQJ6__ERS852530_06709
ERR1913195.548738__1.548738	88431__A0A3D0F0E5__ERS852526_03216
ERR1913195.548774__1.548774	1262882__R5MFR3__BN519_00473
ERR1913195.549003__1.549003	165179__D1PDJ4__DXB80_08505
ERR1913195.549194__1.549194	301302__A0A0M6WIU8__M72_26811
ERR1913195.549226__1.549226	410072__A0A173S248__ERS852525_02992
ERR1913195.549380__1.549380	39488__A0A173UR01__ERS852450_02793
ERR1913195.549422__1.549422	165179__D1PCT4__DXB80_09470
ERR1913195.549505__1.549505	165179__A0A174SR12__DXB80_04410
ERR1913195.549824__1.549824	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913195.549835__1.549835	100886__A0A174GQY1__ERS852383_03761
ERR1913195.549856__1.549856	821__C6ZAA5__ERS852556_00403
ERR1913195.549942__1.549942	626940__R6XX39__DCQ00_06610
ERR1913195.549959__1.549959	1262882__R5N1L4__BN519_00757
ERR1913195.550125__1.550125	301302__R5V5K3__M72_10541
ERR1913195.550179__1.550179	301302__R5VFU2__xynA1
ERR1913195.550208__1.550208	301302__A0A0M6X038__M72_18501
ERR1913195.550291__1.550291	626940__A0A3C1IKN9__HMPREF9443_00753
ERR1913195.550237__1.550237	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913195.550377__1.550377	165179__A0A174SA26__PREVCOP_05758
ERR1913195.550486__1.550486	387090__S0F7Y3__BACCOPRO_02028
ERR1913195.550615__1.550615	39488__A0A174GS53__dnaC_1
ERR1913195.550698__1.550698	165179__D1PER3__DXB80_11525
ERR1913195.550794__1.550794	1262929__R6EXT3__BN691_00303
ERR1913195.550968__1.550968	301302__R5V741__M72_13261
ERR1913195.551028__1.551028	649756__A0A173SUE5__HMPREF0369_00853
ERR1913195.551272__1.551272	165179__A0A3E5DWZ6__DXC61_10880
ERR1913195.551319__1.551319	29361__B6FRT6__CLONEX_02860
ERR1913195.551325__1.551325	292800__G9YQ32__ERS852518_04089
ERR1913195.551351__1.551351	165179__D1PGU8__PREVCOP_06463
ERR1913195.551265__1.551265	1358__A0A0V8D2K8__LL275_0072
ERR1913195.551372__1.551372	165179__A0A3E5A554__DXB80_13805
ERR1913195.551494__1.551494	33043__A0A173X520__ERS852575_01617
ERR1913195.551591__1.551591	165179__A0A3E5A554__DXB80_13805
ERR1913195.551593__1.551593	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913195.551758__1.551758	1262924__R7HPX8__BN585_00310
ERR1913195.552261__1.552261	410072__A0A173Y4Y6__ERS852389_02300
ERR1913195.552310__1.552310	301302__A0A173TNM6__luxQ
ERR1913195.552351__1.552351	853__A0A173T0Y8__CGS54_07215
ERR1913195.552518__1.552518	165179__A0A3E5AGH1__DXB80_05820
ERR1913195.552592__1.552592	165179__A0A3E5EB26__CFT61_02800
ERR1913195.552595__1.552595	165179__D1PEZ7__DXC61_06515
ERR1913195.552648__1.552648	165179__D1PFV4__PREVCOP_06112
ERR1913195.552784__1.552784	301302__A0A173T010__M72_26571
ERR1913195.552888__1.552888	1520810__A0A1H5XYJ5__SAMN02910276_02047
ERR1913195.552942__1.552942	40518__R5E1X3__clcA
ERR1913195.552999__1.552999	165179__A0A174W369__PREVCOP_04548
ERR1913195.553157__1.553157	1284775__A0A095Y637__HMPREF1640_07040
ERR1913195.553293__1.553293	357276__A0A1Y3Z6X3__GV66_07715
ERR1913195.553360__1.553360	165179__D1PGU8__PREVCOP_06463
ERR1913195.553630__1.553630	1263000__R5EXT3__BN466_02213
ERR1913195.553808__1.553808	165179__A0A3E5A5E5__DXC61_13965
ERR1913195.553871__1.553871	745368__A0A1T4XV62__SAMN02745178_02335
ERR1913195.553875__1.553875	39496__A5Z7Y8__EUBVEN_01828
ERR1913195.554004__1.554004	166486__D4L1H8__ERS852572_02204
ERR1913195.554005__1.554005	39488__A0A174HDU7__EUBHAL_01339
ERR1913195.554319__1.554319	165179__D1PCT4__DXB80_09470
ERR1913195.554448__1.554448	301302__A0A0M6WJB3__ERS852420_02173
ERR1913195.554486__1.554486	165179__D1PGJ6__DXC61_07300
ERR1913195.554583__1.554583	165179__D1PB89__DXC61_08425
ERR1913195.554785__1.554785	301302__A0A0M6WH46__M72_23101
ERR1913195.554750__1.554750	165179__A0A3E5EAM5__DXC61_07785
ERR1913195.554913__1.554913	901__B6WWB4__DESPIGER_2273
ERR1913195.555058__1.555058	363265__G6AYW2__HMPREF0673_01823
ERR1913195.555120__1.555120	301302__R5V7K8__M72_11711
ERR1913195.555355__1.555355	40518__R5DP61__DXD86_06345
ERR1913195.555424__1.555424	1262929__R6EXK1__BN691_00228
ERR1913195.555444__1.555444	1262882__R5MH55__BN519_00725
