ERR1913287.193__1.193	39492__D4JUJ6__ssuB_2
ERR1913287.532456__1.532456	1262803__R6PRI7__BN649_00531
ERR1913287.532489__1.532489	165179__A0A3E5DX15__DXC61_00345
ERR1913287.532655__1.532655	165179__A0A3E5DN34__DXC61_07865
ERR1913287.532631__1.532631	360807__A0A1Q6T7T2__artP
ERR1913287.532761__1.532761	165179__A0A3E5EDV6__DXC61_03365
ERR1913287.532765__1.532765	39491__A0A396FPV7__ERS852580_01177
ERR1913287.532868__1.532868	39491__A0A395ZHV7__ykvU
ERR1913287.532884__1.532884	28025__D3R7U1__BLC1_0143
ERR1913287.533044__1.533044	1262911__R6HN81__BN557_00921
ERR1913287.533102__1.533102	165179__A0A3E5ED28__PREVCOP_06655
ERR1913287.533243__1.533243	28118__F9ZAK8__NCTC10826_02458
ERR1913287.533236__1.533236	165179__A0A3E5E2S3__DXB80_03455
ERR1913287.533313__1.533313	39492__D4JQS7__ERS852540_01645
ERR1913287.533415__1.533415	853__A0A173T6P2__DWZ46_14595
ERR1913287.533591__1.533591	165179__D1PGU8__PREVCOP_06463
ERR1913287.533702__1.533702	39491__A0A396FQV7__T1815_10751
ERR1913287.533743__1.533743	239935__A0A2N8IRL2__CXU06_01170
ERR1913287.533746__1.533746	458033__GCA_001482755.1_02203
ERR1913287.533782__1.533782	39492__D4JVT0__EUBSIR_00059
ERR1913287.533783__1.533783	39491__A0A174K265__DXB76_05915
ERR1913287.533957__1.533957	39491__A0A174EQV2__DXB69_10230
ERR1913287.533961__1.533961	165179__R6PU83__CFT61_14275
ERR1913287.534036__1.534036	487174__K0WUW8__DDY40_02615
ERR1913287.534042__1.534042	1263000__R5EQL2__BN466_00892
ERR1913287.534076__1.534076	301302__R5UL57__ERS852420_00622
ERR1913287.534869__1.534869	39491__A0A395V1Y4__DXB99_08035
ERR1913287.534983__1.534983	360807__C0FPW0__ROSEINA2194_00763
ERR1913287.535037__1.535037	165179__D1PEZ7__DXC61_06515
ERR1913287.535078__1.535078	39491__A0A395V1R3__T1815_08181
ERR1913287.535135__1.535135	33043__D5HHE4__ERS852445_02332
ERR1913287.535255__1.535255	239935__A0A139TSG7__CXU17_09600
ERR1913287.535294__1.535294	239935__A0A2N8HB50__CXU17_02615
ERR1913287.535319__1.535319	165179__A0A174SA26__PREVCOP_05758
ERR1913287.535398__1.535398	745368__A0A1T4Y9Q7__SAMN02745178_02874
ERR1913287.535445__1.535445	33043__A0A173ZL29__ERS852386_01345
ERR1913287.535485__1.535485	360807__A0A173T236__RIL183_24471
ERR1913287.535836__1.535836	853__A0A2A7ATM9__DWZ89_13645
ERR1913287.535866__1.535866	39491__A0A395ZF49__DXB69_05290
ERR1913287.535868__1.535868	823__A0A355XLH0__fepA_1
ERR1913287.535921__1.535921	33043__A0A173RQ80__ERS852445_02211
ERR1913287.536087__1.536087	28118__R6G1Z6__B5F93_09405
ERR1913287.536109__1.536109	39491__D4JMW8__ERS852497_01971
ERR1913287.536121__1.536121	1897011__A0A1Q6REU8__BHW41_04300
ERR1913287.536132__1.536132	39491__A0A395ZEN3__DXD95_12655
ERR1913287.536712__1.536712	301302__R5UJW6__ERS852420_01698
ERR1913287.536724__1.536724	39491__A0A395UZZ5__htpG_1
ERR1913287.536754__1.536754	28117__B0MYW7__ALIPUT_02336
ERR1913287.536862__1.536862	649756__L1PU84__ERS852571_01295
ERR1913287.536968__1.536968	165179__R6CNX7__DXB80_02200
ERR1913287.537034__1.537034	33043__D5HGZ8__nnr
ERR1913287.537083__1.537083	33043__D5HF09__ERS852575_02732
ERR1913287.537123__1.537123	165179__A0A174SA26__PREVCOP_05758
ERR1913287.537306__1.537306	239935__A0A139TMG9__CXU07_10650
ERR1913287.537439__1.537439	1150298__A0A174SLE6__mlc_1
ERR1913287.537352__1.537352	33043__A0A173WZE5__ERS852386_00374
ERR1913287.537676__1.537676	1262911__R6H074__BN557_00923
ERR1913287.537658__1.537658	33043__A0A173YLD4__ERS852575_00535
ERR1913287.537742__1.537742	40518__R5DR72__RBL236_02110
ERR1913287.537727__1.537727	47678__R5UAY9__DW706_07200
ERR1913287.537971__1.537971	301302__R5VGE0__ERS852420_00121
ERR1913287.538092__1.538092	28052__A0A174PF05__ERS852451_02043
ERR1913287.538093__1.538093	1262924__R7HQN1__BN585_00550
ERR1913287.538129__1.538129	239935__A0A2N8ITW6__CXT91_06265
ERR1913287.538132__1.538132	357276__A0A0M1W1I8__ABI39_13620
ERR1913287.538234__1.538234	360807__A0A1Q6SXK5__RIL183_06541
ERR1913287.538264__1.538264	1965650__A0A1Y3VGF6__B5G16_02135
ERR1913287.538363__1.538363	33043__A0A173X7L1__ERS852400_00423
ERR1913287.538506__1.538506	165179__A0A3E5E6S6__DXB80_07575
ERR1913287.538567__1.538567	165179__A0A229I4J4__proA
ERR1913287.538630__1.538630	165179__A0A3E5E7J5__DXC61_10360
ERR1913287.538752__1.538752	301302__R5UM41__M72_15921
ERR1913287.538821__1.538821	239935__A0A2N8IU45__DEF40_02365
ERR1913287.538944__1.538944	360807__A0A173YJ94__ERS852444_03492
ERR1913287.539065__1.539065	1262803__R6NJY3__BN649_02127
ERR1913287.539287__1.539287	165179__D1PEQ5__PREVCOP_05711
ERR1913287.539383__1.539383	410072__A0A174IQI6__ERS852574_01030
ERR1913287.539509__1.539509	165179__D1P9T6__PREVCOP_04016
ERR1913287.539710__1.539710	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913287.539763__1.539763	28117__B0MWZ9__ALIPUT_01735
ERR1913287.539856__1.539856	1262803__R6NVS3__BN649_00019
ERR1913287.539951__1.539951	165179__A0A3E4SID1__DXB80_01945
ERR1913287.540021__1.540021	165179__A0A3E5AGH1__DXB80_05820
ERR1913287.540066__1.540066	40520__R7DC80__RUMOBE_00153
ERR1913287.540185__1.540185	33043__D5HGZ8__nnr
ERR1913287.540301__1.540301	46503__B7BG40__ERS852463_01623
ERR1913287.540319__1.540319	1628085__A0A374VQ25__C7386_1031
ERR1913287.540380__1.540380	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913287.540382__1.540382	33043__A0A174BZH8__ERS852575_02145
ERR1913287.540451__1.540451	100886__E2NP90__ERS852383_05246
ERR1913287.540459__1.540459	39491__A0A396FKI0__DXC13_11560
ERR1913287.540405__1.540405	301301__A0A395V8E1__RHOM_11160
ERR1913287.540589__1.540589	357276__C3R9Y0__HMPREF1064_01889
ERR1913287.540664__1.540664	39491__D6E118__DXB69_05765
ERR1913287.540799__1.540799	165179__A0A3E5EBV0__DXB80_01745
ERR1913287.540921__1.540921	165179__A0A174W369__PREVCOP_04548
ERR1913287.540905__1.540905	28118__R6F891__NCTC10826_02656
ERR1913287.540979__1.540979	33043__A0A174B7D6__ERS852400_01331
ERR1913287.541007__1.541007	853__A0A3E2U7E6__ERS852582_01640
ERR1913287.541025__1.541025	1263000__R5EZ76__BN466_00319
ERR1913287.541085__1.541085	33043__A8SQU6__ERS852386_01237
ERR1913287.541182__1.541182	239935__A0A2N8IEP3__CXT84_03735
ERR1913287.541241__1.541241	360807__C0FU45__ERS852392_01591
ERR1913287.541338__1.541338	1262803__R6ND41__BN649_01257
ERR1913287.541675__1.541675	1262746__R5SL43__BN750_00182
ERR1913287.541728__1.541728	301302__A0A0M6WK85__M72_28131
ERR1913287.541860__1.541860	1262736__R5Y3T9__BN496_01881
ERR1913287.541911__1.541911	28052__A0A174GQI3__ERS852451_00394
ERR1913287.541933__1.541933	165179__R6C3K4__PREVCOP_05795
ERR1913287.541963__1.541963	165179__A0A174UTZ7__DXC61_06705
ERR1913287.541999__1.541999	239935__A0A2N8IMC3__CXT96_03840
ERR1913287.542186__1.542186	39492__D4JS87__EUBSIR_02328
ERR1913287.542208__1.542208	39492__D4JRZ7__smc
ERR1913287.542241__1.542241	28052__A0A174JFD0__ERS852499_01102
ERR1913287.542242__1.542242	360807__A0A396AJN5__ERS852392_00126
ERR1913287.542377__1.542377	33043__D5HJC5__ERS852386_02144
ERR1913287.542420__1.542420	28117__B0MXG8__ALIPUT_01814
ERR1913287.542560__1.542560	46503__R6Y0Q3__DCY29_15880
ERR1913287.542571__1.542571	853__A0A3E2V168__FAEPRAM212_00929
ERR1913287.542620__1.542620	165179__D1P9T6__PREVCOP_04016
ERR1913287.542742__1.542742	165179__A0A3E4SID1__DXB80_01945
ERR1913287.542791__1.542791	1262924__R7HQ14__BN585_00419
ERR1913287.542838__1.542838	39491__A0A395ZDC6__addB
ERR1913287.542870__1.542870	165179__D1PCU4__PREVCOP_05029
ERR1913287.542872__1.542872	40518__R5DZB3__RB5AMG_01719
ERR1913287.542943__1.542943	33043__A0A173X9G8__ERS852386_00532
ERR1913287.543007__1.543007	1150298__A0A174B7I7__ERS852535_01258
ERR1913287.543105__1.543105	28118__F9Z8J0__DF785_14955
ERR1913287.543348__1.543348	39491__A0A395ZBW8__DXC13_08840
ERR1913287.543463__1.543463	165179__A0A3E5EB26__CFT61_02800
ERR1913287.543483__1.543483	338188__R6RT73__HMPREF1057_02828
ERR1913287.543741__1.543741	820__A0A3E4RUC4__DHU98_02635
ERR1913287.543761__1.543761	821__A0A173XDD3__DXB82_17180
ERR1913287.543892__1.543892	487174__R5EPJ7__HMPREF9448_00444
ERR1913287.543972__1.543972	29361__B6FRT6__CLONEX_02860
ERR1913287.543978__1.543978	821__A0A396F9T7__M097_3427
ERR1913287.543993__1.543993	39491__A0A395ZKJ0__DXD13_11010
ERR1913287.543994__1.543994	410072__A0A173RMJ4__ydfH_1
ERR1913287.544011__1.544011	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913287.544035__1.544035	165179__D1PDG7__DXB80_11180
ERR1913287.544157__1.544157	1262746__R5STH4__BN750_02564
ERR1913287.544222__1.544222	116085__D4J6L8__DW747_08035
ERR1913287.544337__1.544337	1796652__ltrA_3
ERR1913287.544523__1.544523	357276__B6W5Q7__DXD47_13945
ERR1913287.544897__1.544897	39491__C4ZF05__vpr
ERR1913287.545167__1.545167	626940__R6WNN9__BHW43_04575
ERR1913287.545166__1.545166	626940__R6WNN9__BHW43_04575
ERR1913287.545262__1.545262	853__E2ZJT1__C4N23_03535
ERR1913287.545322__1.545322	39486__B0G239__DXD82_09385
ERR1913287.545479__1.545479	1262803__R6NPC3__BN649_00879
ERR1913287.545601__1.545601	165179__D1PC26__PREVCOP_04756
ERR1913287.545623__1.545623	2293125__A0A374CA90__DW917_07695
ERR1913287.545625__1.545625	28118__R6F051__NCTC10826_00301
ERR1913287.545803__1.545803	239935__A0A2N8J2P6__ADH72_06730
ERR1913287.545766__1.545766	338188__K5CL92__BACFIN_07565
ERR1913287.545782__1.545782	165179__A0A3E5E6S6__DXB80_07575
ERR1913287.545847__1.545847	165179__A0A3E5EB26__CFT61_02800
ERR1913287.545967__1.545967	1262746__R5S3Q4__BN750_02016
ERR1913287.546033__1.546033	165179__A0A229I4J4__proA
ERR1913287.546170__1.546170	817__Q64W74__DXD74_13435
ERR1913287.546148__1.546148	1262803__R6NJG8__BN649_00067
ERR1913287.546173__1.546173	33043__A0A174B5C6__acm_3
ERR1913287.546200__1.546200	853__A0A174AML0__FPR_08640
ERR1913287.546260__1.546260	410072__A0A3E4GT65__ERS852574_02325
ERR1913287.546487__1.546487	649756__D4MW50__HMPREF0369_01323
ERR1913287.546644__1.546644	239935__A0A2N8I694__CXU04_06245
ERR1913287.546688__1.546688	39492__D4JQX3__EUBSIR_01310
ERR1913287.546728__1.546728	33043__A0A174EE68__rimP
ERR1913287.546880__1.546880	165179__D1PCY7__DXB80_02765
ERR1913287.546964__1.546964	1262924__R7HMF7__BN585_01507
ERR1913287.547076__1.547076	39491__A0A395UWA3__DXB69_11805
ERR1913287.547100__1.547100	165179__A0A3E5E8N5__DXC61_13460
ERR1913287.547218__1.547218	165179__A0A174UI01__DXB80_12165
ERR1913287.547499__1.547499	40520__A0A174JSI5__ERS852394_00345
ERR1913287.547473__1.547473	239935__A0A139TPD4__CXT86_06450
ERR1913287.547505__1.547505	1262986__R5ZYE0__BN492_00151
ERR1913287.547604__1.547604	357276__A0A076IIL0__EL88_03065
ERR1913287.547576__1.547576	39491__A0A396FGM9__fliU_1
ERR1913287.547674__1.547674	39491__A0A395ZBQ4__cph2_2
ERR1913287.547723__1.547723	100886__E2NRW8__CATMIT_01324
ERR1913287.547745__1.547745	106588__A6NUL8__BACCAP_01900
ERR1913287.547788__1.547788	28052__A0A174MSU9__ERS852499_02010
ERR1913287.547755__1.547755	165179__W1I4H6__DXB80_13655
ERR1913287.547849__1.547849	39491__A0A396FNY7__LD38_16155
ERR1913287.547854__1.547854	239935__A0A3F3K9J9__DEF40_00940
ERR1913287.547925__1.547925	40518__R5DME2__DXD86_07315
ERR1913287.548025__1.548025	165179__A0A3E5EDS1__DXC61_03115
ERR1913287.548089__1.548089	239935__A0A2N8HEH9__CXU07_11710
ERR1913287.548168__1.548168	165179__D1PGU8__PREVCOP_06463
ERR1913287.548423__1.548423	39491__A0A395ZKJ0__DXD13_11010
ERR1913287.548433__1.548433	165179__A0A229I4J4__proA
ERR1913287.548679__1.548679	1628085__A0A2U1BFW2__C7386_10288
ERR1913287.548663__1.548663	28052__R7NCD4__ERS852451_00170
ERR1913287.548750__1.548750	165179__D1PC26__PREVCOP_04756
ERR1913287.548792__1.548792	28117__B0MXR1__BHV66_08035
ERR1913287.548793__1.548793	28117__B0MXR1__BHV66_08035
ERR1913287.548868__1.548868	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913287.548921__1.548921	1263044__GCA_000433375.1_03387
ERR1913287.548942__1.548942	301302__R5UMB3__M72_01421
ERR1913287.549032__1.549032	165179__A0A174SA26__PREVCOP_05758
ERR1913287.549070__1.549070	1262924__R7HPB3__BN585_00488
ERR1913287.549298__1.549298	33043__D5HFA1__ERS852400_02183
ERR1913287.549327__1.549327	1262803__R6NI66__BN649_01917
ERR1913287.549474__1.549474	39491__C4ZCH3__EUR_17560
ERR1913287.549551__1.549551	239935__A0A2N8IVR0__CXT87_07115
ERR1913287.549712__1.549712	39491__A0A395V5R3__EUBREC_1883
ERR1913287.549857__1.549857	39485__A0A174YMD0__EUBELI_01093
ERR1913287.549939__1.549939	1262911__R6GSH8__BN557_00939
ERR1913287.550027__1.550027	28117__B0MWX3__BHV66_03010
ERR1913287.550052__1.550052	360807__C0G083__ROSEINA2194_04432
ERR1913287.550053__1.550053	165179__D1PES9__DXB80_11585
ERR1913287.550122__1.550122	165179__R6XIF8__DXC61_07265
ERR1913287.550180__1.550180	39491__D6E118__DXB69_05765
ERR1913287.550240__1.550240	28117__B0MXR1__BHV66_08035
ERR1913287.550241__1.550241	100886__A0A174GT42__ERS852383_03762
ERR1913287.550253__1.550253	165179__A0A3E5EA83__DXC61_07750
ERR1913287.550417__1.550417	2108523__A0A2P2F6U5__LAWASA_1727
ERR1913287.550452__1.550452	853__D4JY61__C4N21_10560
ERR1913287.550407__1.550407	1262803__R6NTB0__BN649_02169
ERR1913287.550523__1.550523	165179__A0A3E5EB26__CFT61_02800
ERR1913287.550595__1.550595	853__A0A2A7B9I6__DW855_13690
ERR1913287.550691__1.550691	853__A0A2A7AXC8__C4N21_14120
ERR1913287.550731__1.550731	28052__A0A174KY36__mepA_13
ERR1913287.550894__1.550894	649756__A0A173R860__DO83_09130
ERR1913287.550900__1.550900	33043__A8SV35__ERS852386_01106
ERR1913287.550921__1.550921	33043__D5HI50__smf
ERR1913287.551013__1.551013	239935__A0A2N8HB50__CXU17_02615
ERR1913287.551034__1.551034	820__A0A139K5A6__DXB48_12175
ERR1913287.551048__1.551048	165179__D1PE06__DXC61_05975
ERR1913287.551170__1.551170	47678__R5UT79__ERS852558_03890
ERR1913287.551209__1.551209	165179__A0A229I9X5__CFT61_01205
ERR1913287.551216__1.551216	39491__A0A395UWA3__DXB69_11805
ERR1913287.551310__1.551310	239935__A0A2N8IF99__lpdA
ERR1913287.551328__1.551328	853__A0A174C5M1__CGS58_04460
ERR1913287.551367__1.551367	33043__A0A173X520__ERS852575_01617
ERR1913287.551385__1.551385	33043__A8SQU6__ERS852386_01237
ERR1913287.551625__1.551625	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913287.551742__1.551742	165179__W1I4H6__DXB80_13655
ERR1913287.551805__1.551805	165179__A0A3E5AER8__DXB80_07075
ERR1913287.551940__1.551940	165179__D1PE06__DXC61_05975
ERR1913287.551909__1.551909	40520__A0A174GNL5__DXD81_10555
ERR1913287.551959__1.551959	239935__A0A2N8HW65__CXU09_08515
ERR1913287.551998__1.551998	33043__A0A174BZH8__ERS852575_02145
ERR1913287.552012__1.552012	39491__C4ZCV5__DXB99_11855
ERR1913287.552080__1.552080	165179__A0A3E5E4T9__DXB80_08030
ERR1913287.552329__1.552329	853__A0A173TAZ8__DWZ46_14590
ERR1913287.552375__1.552375	40518__R5DLM5__RB5AMG_00422
ERR1913287.552567__1.552567	33039__A0A173VTT4__frdB_1
ERR1913287.552603__1.552603	649756__L1Q497__ERS852571_03051
ERR1913287.552772__1.552772	28132__D9RV83__HMPREF0660_00835
ERR1913287.552900__1.552900	165179__A0A3E5DZD8__DXB80_09150
ERR1913287.552959__1.552959	301301__A0A395V407__ERS852391_02230
ERR1913287.553051__1.553051	28117__B0MYI9__BHV66_05415
ERR1913287.553059__1.553059	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913287.553060__1.553060	28052__A0A174M8X5__ERS852499_01897
ERR1913287.553081__1.553081	33043__D5HHE4__ERS852445_02332
ERR1913287.553179__1.553179	1262803__R6P0X6__BN649_00395
ERR1913287.553361__1.553361	363265__G6AZB1__HMPREF0673_01975
ERR1913287.553655__1.553655	1680__R5GSL8__DXD60_03315
ERR1913287.553734__1.553734	33043__A0A173WCG7__ERS852575_01602
ERR1913287.554143__1.554143	165179__A0A229I9X5__CFT61_01205
ERR1913287.554203__1.554203	28117__B0MSQ3__ALIPUT_00347
ERR1913287.554266__1.554266	39491__A0A395ZG74__licR
ERR1913287.554324__1.554324	40518__R5DYU1__DXD86_01160
ERR1913287.554441__1.554441	40518__R5DM08__DXD83_06415
ERR1913287.554475__1.554475	165179__A0A3E5AI09__DXC61_05815
ERR1913287.554476__1.554476	1262803__R6P1C2__BN649_00451
ERR1913287.554459__1.554459	384639__GCA_003096855.1_01181
ERR1913287.554698__1.554698	39492__D4JUJ6__ssuB_2
ERR1913287.554828__1.554828	165179__A0A3E5E643__DXB80_06030
ERR1913287.555014__1.555014	165179__A0A174XZU8__DXB80_12180
ERR1913287.554974__1.554974	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913287.555043__1.555043	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913287.555099__1.555099	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913287.555154__1.555154	165179__R6BQP4__DXC61_02015
ERR1913287.555136__1.555136	165179__A0A3E5AI09__DXC61_05815
ERR1913287.555237__1.555237	39491__A0A395ZBW8__DXC13_08840
ERR1913287.555311__1.555311	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913287.555390__1.555390	40518__R5DYU1__DXD86_01160
ERR1913287.555405__1.555405	239935__A0A2N8I6R6__CXU04_04335
ERR1913287.555505__1.555505	446660__GCA_003428235.1_01598
ERR1913287.555529__1.555529	39492__D4JSS2__EUBSIR_00553
ERR1913287.555656__1.555656	165179__D1PEW8__DXB80_13775
ERR1913287.555842__1.555842	39491__A0A395ZIT8__EUR_13460
ERR1913287.555974__1.555974	40518__R5E426__DXD93_04485
ERR1913287.556015__1.556015	853__C7H7F5__DWZ46_01780
ERR1913287.556018__1.556018	165179__A0A229I4J4__proA
ERR1913287.556035__1.556035	165179__D1PCT4__DXB80_09470
ERR1913287.556036__1.556036	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913287.556044__1.556044	33043__D5HFA1__ERS852400_02183
ERR1913287.556054__1.556054	33043__A0A174BLU4__ERS852386_02221
ERR1913287.556197__1.556197	649756__L1PU84__ERS852571_01295
ERR1913287.556267__1.556267	165179__A0A3E5AEF7__DXC61_05000
ERR1913287.556469__1.556469	33043__A8SPT5__yfiN_2
ERR1913287.556480__1.556480	47678__R5UMC3__CGC64_08380
ERR1913287.556519__1.556519	33043__A0A174ADZ1__dcuS_1
ERR1913287.556628__1.556628	820__A0A1T4IYF4__mprA_1
ERR1913287.556636__1.556636	165179__A0A3E5EDP4__DXB80_05800
ERR1913287.556708__1.556708	40518__R5DR96__RBATCC27255_01185
ERR1913287.556801__1.556801	33043__D5HJ22__ERS852575_02302
ERR1913287.556889__1.556889	165179__R6CNX7__DXB80_02200
ERR1913287.557024__1.557024	28118__R6FYK4__folK
ERR1913287.557043__1.557043	33043__D5HI39__baeS_1
ERR1913287.557048__1.557048	165179__A0A3E5EBQ2__DXC61_01930
ERR1913287.557334__1.557334	165179__A0A229I2W6__PREVCOP_04332
ERR1913287.557489__1.557489	165179__A0A3E5E920__DXB80_11625
ERR1913287.557592__1.557592	187979__A0A173ZVI7__ptsG_2
ERR1913287.557674__1.557674	165179__A0A3E5DZ45__DXC61_02820
ERR1913287.557857__1.557857	1263000__R5ER71__BN466_00316
ERR1913287.558004__1.558004	165179__D1PEW8__DXB80_13775
ERR1913287.558096__1.558096	239935__A0A2N8I1R3__CXU05_06075
ERR1913287.558406__1.558406	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913287.558519__1.558519	165179__A0A3E5E4P9__DXB80_07930
ERR1913287.558483__1.558483	1628085__A0A2U1BCH3__C7386_10746
ERR1913287.558564__1.558564	1262803__R6PTE4__BN649_00829
ERR1913287.558716__1.558716	165179__D1P8V8__DXC61_01940
ERR1913287.559160__1.559160	28117__B0MU76__ALIPUT_00202
ERR1913287.559391__1.559391	33043__D5HIV9__pstS_2
ERR1913287.559840__1.559840	357276__B6W5Q9__HMPREF1063_03125
ERR1913287.559976__1.559976	165179__A0A3E5DV57__DXB80_11400
ERR1913287.560201__1.560201	46503__R6X275__DD461_10840
ERR1913287.560211__1.560211	301302__A0A173TPA9__M72_14191
ERR1913287.560366__1.560366	328814__GCA_004558275.1_00075
ERR1913287.560637__1.560637	28052__A0A174JFU5__yhbU_1
ERR1913287.560760__1.560760	28052__A0A174I2V6__ERS852499_00643
ERR1913287.560782__1.560782	33043__D5HI05__ERS852400_02760
ERR1913287.560786__1.560786	33043__A0A173XM20__ERS852445_01573
ERR1913287.561005__1.561005	33043__A8SPT5__yfiN_2
ERR1913287.561217__1.561217	74426__rpoC
ERR1913287.561347__1.561347	165179__A0A3E5DZA5__DXB80_12550
ERR1913287.561348__1.561348	360807__A0A1Q6T5B1__ERS852444_03147
ERR1913287.561385__1.561385	165179__D1PGU8__PREVCOP_06463
ERR1913287.561421__1.561421	853__E2ZJT1__C4N23_03535
ERR1913287.561436__1.561436	28052__A0A174IBJ6__luxQ_1
ERR1913287.561480__1.561480	820__A0A174LJB2__HMPREF1072_04112
ERR1913287.561486__1.561486	100886__E2NNP4__CATMIT_00176
ERR1913287.561666__1.561666	39491__A0A396FMF1__EUR_28700
ERR1913287.561633__1.561633	88431__A0A174G8Q6__ERS852526_02711
ERR1913287.561651__1.561651	33043__A0A374K1H3__ykoD_2
ERR1913287.561685__1.561685	147206__GCF_000156215.1_00202
ERR1913287.561856__1.561856	28117__R7JIJ8__BHV66_01635
ERR1913287.562176__1.562176	1262743__R5C0J9__BN727_00193
ERR1913287.562263__1.562263	39491__A0A395ZF49__DXB69_05290
ERR1913287.562270__1.562270	165179__A0A3E5E8N5__DXC61_13460
ERR1913287.562316__1.562316	39485__A0A174ZPJ9__tig_2
ERR1913287.562415__1.562415	39491__A0A0M6WWT1__dus_2
ERR1913287.562484__1.562484	165179__W1I4H6__DXB80_13655
ERR1913287.562577__1.562577	626940__A0A3C1IMH5__HMPREF9443_00013
ERR1913287.562725__1.562725	165179__D1PE06__DXC61_05975
ERR1913287.562729__1.562729	165179__A0A3E5DZ85__PREVCOP_04238
ERR1913287.562665__1.562665	165179__A0A3E5EBV0__DXB80_01745
ERR1913287.562933__1.562933	1262743__R5C054__BN727_01980
ERR1913287.563021__1.563021	165179__D1PCL6__DXB80_13435
ERR1913287.563028__1.563028	165179__A0A3E5E643__DXB80_06030
ERR1913287.563196__1.563196	33039__D4M149__ERS852390_03118
ERR1913287.563197__1.563197	39485__C4Z1Y9__EUBELI_00143
ERR1913287.563336__1.563336	33043__A0A174A481__ERS852400_01067
ERR1913287.563491__1.563491	357276__D1JY58__BACDOR_04277
ERR1913287.563729__1.563729	165179__D1PDT3__PREVCOP_05375
ERR1913287.563835__1.563835	165179__A0A3E5EDP4__DXB80_05800
ERR1913287.563894__1.563894	301302__A0A0M6WTN6__ERS852420_01659
ERR1913287.563906__1.563906	47678__A0A3E5BQM1__DXB67_08970
ERR1913287.563933__1.563933	165179__D1PCT4__DXB80_09470
ERR1913287.564115__1.564115	853__A0A174BZY1__xerD_1
ERR1913287.564277__1.564277	165179__D1PCT4__DXB80_09470
ERR1913287.564291__1.564291	357276__A0A0M1W6X7__HMPREF1065_03898
ERR1913287.564346__1.564346	39491__A0A395ZJZ1__LD38_01870
ERR1913287.564519__1.564519	1262893__R5H704__BN782_00430
ERR1913287.564574__1.564574	165179__R6CNX7__DXB80_02200
ERR1913287.564603__1.564603	165179__A0A3E5A832__DXC61_13685
ERR1913287.564638__1.564638	33043__D5HHT0__ERS852445_02798
ERR1913287.564958__1.564958	239935__A0A2N8I6R6__CXU04_04335
ERR1913287.565058__1.565058	40518__R5DVR2__RBL236_00303
ERR1913287.565131__1.565131	47678__A0A174H7W9__ERS852494_00524
ERR1913287.565195__1.565195	165179__D1PGD2__DXC61_10875
ERR1913287.565236__1.565236	239935__A0A139TPD4__CXT86_06450
ERR1913287.565277__1.565277	28052__R7NCR8__ERS852499_01142
ERR1913287.565376__1.565376	39491__A0A395UWA3__DXB69_11805
ERR1913287.565419__1.565419	1150298__A0A174TDE7__ERS852535_00299
ERR1913287.565452__1.565452	74426__groL
ERR1913287.565563__1.565563	74426__group_4823
ERR1913287.565686__1.565686	33043__D5HHT0__ERS852445_02798
ERR1913287.566021__1.566021	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913287.566108__1.566108	33043__A0A174DSP1__essC_2
ERR1913287.566253__1.566253	820__A0A174CG08__DXB62_13215
ERR1913287.566340__1.566340	357276__B6VW91__BACDOR_01584
ERR1913287.566352__1.566352	165179__A0A3E5E6C5__PREVCOP_03510
ERR1913287.566417__1.566417	1628085__A0A2U1BC68__C7386_10857
ERR1913287.566504__1.566504	338188__A0A1Q6HAT8__HMPREF1057_02069
ERR1913287.566508__1.566508	39485__A0A174ZBJ8__speA_2
ERR1913287.566519__1.566519	28052__R7N9A1__ERS852499_02060
ERR1913287.566522__1.566522	39491__A0A395V0H6__ERS852580_02570
ERR1913287.566634__1.566634	165179__A0A174IYW3__DXC61_01235
ERR1913287.566550__1.566550	165179__A0A229I2W6__PREVCOP_04332
ERR1913287.566904__1.566904	165179__A0A174X1C3__DXB80_12745
ERR1913287.567016__1.567016	165179__A0A3E5E2C8__folA
ERR1913287.567210__1.567210	1150298__A0A174HXS4__ERS852498_00503
ERR1913287.567311__1.567311	853__A0A3E2V168__FAEPRAM212_00929
ERR1913287.567508__1.567508	33043__A0A174BZH6__ERS852400_01477
ERR1913287.567626__1.567626	1263011__R6DWT0__BN553_00469
ERR1913287.567634__1.567634	165179__A0A3E5A5E5__DXC61_13965
ERR1913287.567675__1.567675	100884__E7GFK8__HMPREF9488_03551
ERR1913287.567709__1.567709	745368__A0A1T4Y963__SAMN02745178_02859
ERR1913287.567763__1.567763	301302__A0A0M6WWK6__M72_13961
ERR1913287.568118__1.568118	39491__A0A174K9A3__DXB69_07785
ERR1913287.568123__1.568123	1304__J7TU69__A6J87_07685
