ERR1913225.225__1.225	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913225.609022__1.609022	1150298__R7JTW4__yvhJ
ERR1913225.609174__1.609174	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913225.609106__1.609106	39485__C4Z6K2__ERS852490_00407
ERR1913225.609175__1.609175	384638__B7ANH9__BACPEC_00233
ERR1913225.609396__1.609396	2293125__A0A374BR61__DW917_14880
ERR1913225.609405__1.609405	40518__R5DYU1__DXD86_01160
ERR1913225.609408__1.609408	1262988__R7MZP9__BN816_01364
ERR1913225.609476__1.609476	823__A6LEF1__CF162_12695
ERR1913225.609636__1.609636	1262761__R6QHS8__BN606_00445
ERR1913225.609694__1.609694	2293125__A0A374BUM7__DW917_12980
ERR1913225.609851__1.609851	2293125__A0A374CI55__DW917_03455
ERR1913225.610153__1.610153	1262761__R6R8B3__BN606_01478
ERR1913225.610235__1.610235	820__A0A174QT76__B5G17_18060
ERR1913225.610242__1.610242	39485__A0A174YYW2__benM
ERR1913225.610271__1.610271	1262889__R7HD12__BN634_00607
ERR1913225.610407__1.610407	821__R7P1Q7__M099_2990
ERR1913225.611120__1.611120	2293125__A0A374BQ34__DW917_14250
ERR1913225.611232__1.611232	165179__D1PGU8__PREVCOP_06463
ERR1913225.611247__1.611247	116085__D4J7W6__DW747_05890
ERR1913225.611287__1.611287	1796613__A0A1C7H6N8__ADH74_01350
ERR1913225.611573__1.611573	39485__R5ZVC3__ERS852490_00250
ERR1913225.611580__1.611580	301301__A0A395VAV2__RHOM_03775
ERR1913225.611708__1.611708	165179__D1PGU8__PREVCOP_06463
ERR1913225.611740__1.611740	853__A0A3E2V168__FAEPRAM212_00929
ERR1913225.611841__1.611841	1262761__R6RB66__BN606_01964
ERR1913225.611853__1.611853	2293125__A0A374C955__DW917_08135
ERR1913225.611804__1.611804	166486__D4KZY5__ROSINTL182_07635
ERR1913225.611992__1.611992	820__A0A3E4HWJ4__DXD40_05945
ERR1913225.612082__1.612082	820__A0A3E4G826__C801_01612
ERR1913225.612190__1.612190	458033__GCA_001482755.1_02203
ERR1913225.612333__1.612333	1501391__GCA_000786575.1_00115
ERR1913225.612339__1.612339	2293125__A0A374CC93__DW917_06625
ERR1913225.612288__1.612288	39492__D4JT87__clpC
ERR1913225.612368__1.612368	29361__B6FKH5__CLONEX_00621
ERR1913225.612517__1.612517	384638__B7ANG7__BACPEC_00221
ERR1913225.612524__1.612524	820__A0A174R952__DXB48_02570
ERR1913225.612485__1.612485	1262761__R6RP35__BN606_00461
ERR1913225.612698__1.612698	2293125__A0A374CC93__DW917_06625
ERR1913225.612676__1.612676	820__A0A174FUF0__HMPREF1073_03308
ERR1913225.613043__1.613043	1378168__V2YA11__N510_02528
ERR1913225.613402__1.613402	218538__C9LPD3__GCWU000321_01411
ERR1913225.613406__1.613406	820__A7V8C2__ERS852554_01338
ERR1913225.613637__1.613637	52773__A0A1H1L5W7__ADJ76_05205
ERR1913225.613653__1.613653	1501391__GCA_000786575.1_00106
ERR1913225.613929__1.613929	562__P0ABR8__antA
ERR1913225.614049__1.614049	1262942__R7QZ34__BN520_02027
ERR1913225.614092__1.614092	820__A0A396EUU8__luxQ_3
ERR1913225.614144__1.614144	820__A0A3E4W984__pssA
ERR1913225.614183__1.614183	2293125__A0A374C9I8__DW917_06795
ERR1913225.614281__1.614281	301301__A0A395VFD3__ERS852391_02492
ERR1913225.614432__1.614432	46228__B5CTC0__RUMLAC_02743
ERR1913225.614543__1.614543	820__A0A139JRH8__HMPREF2141_04326
ERR1913225.614734__1.614734	1262761__R6QJQ2__BN606_00751
ERR1913225.614902__1.614902	745368__A0A1T4Y437__SAMN02745178_02934
ERR1913225.615004__1.615004	1262911__R6GSH0__BN557_00934
ERR1913225.615286__1.615286	1262761__R6QU88__BN606_01983
ERR1913225.615290__1.615290	2293125__A0A374C7Q4__DW917_07745
ERR1913225.615324__1.615324	820__A0A139KG04__ERS852459_01249
ERR1913225.615429__1.615429	218538__C9LL79__GCWU000321_00015
ERR1913225.615559__1.615559	820__A0A3E4G493__ERS417307_00253
ERR1913225.616036__1.616036	820__A0A3E4RUC4__DHU98_02635
ERR1913225.616081__1.616081	2293125__A0A374BSW4__DW917_13420
ERR1913225.616372__1.616372	820__A7V049__DXB48_04755
ERR1913225.616393__1.616393	1262911__R6H174__BN557_01246
ERR1913225.616507__1.616507	821__A0A0P0LFP6__C5Z04_13890
ERR1913225.616755__1.616755	820__A0A374QGD2__ERS852421_02382
ERR1913225.616792__1.616792	1501391__GCA_000786575.1_00072
ERR1913225.616800__1.616800	853__A0A3E2U7E6__ERS852582_01640
ERR1913225.617054__1.617054	820__A7V049__DXB48_04755
ERR1913225.617105__1.617105	1262988__R7N3R7__BN816_01427
ERR1913225.617124__1.617124	357276__B6W1J2__BACDOR_03380
ERR1913225.617597__1.617597	28116__D7J6B1__B5F02_07870
ERR1913225.617601__1.617601	165179__A0A3E5AHY4__CFT61_07675
ERR1913225.617612__1.617612	165179__D1P9T6__PREVCOP_04016
ERR1913225.617662__1.617662	39492__D4JUP6__ERS852540_01404
ERR1913225.617831__1.617831	820__A0A174CG08__DXB62_13215
ERR1913225.617857__1.617857	820__A0A3E4W984__pssA
ERR1913225.617970__1.617970	410072__C0BAH4__COPCOM_02077
ERR1913225.618477__1.618477	1263044__GCA_000433375.1_03426
ERR1913225.618639__1.618639	1262777__R5VKT1__BN512_00180
ERR1913225.618646__1.618646	2293125__A0A374C4C8__DW917_09805
ERR1913225.618703__1.618703	246787__A0A0P0GG22__BACCELL_01899
ERR1913225.618795__1.618795	1965604__A0A1Y4EZ77__B5F54_01610
ERR1913225.618810__1.618810	820__A7UYX8__DXD40_11635
ERR1913225.618986__1.618986	1501391__GCA_000786575.1_00071
ERR1913225.619099__1.619099	218538__C9LL79__GCWU000321_00015
ERR1913225.619156__1.619156	1897011__A0A1Q6RI31__BHW41_00965
ERR1913225.619177__1.619177	1262783__R6DEY4__BN558_01158
ERR1913225.619293__1.619293	821__A0A174NM17__lacZ_6
ERR1913225.619328__1.619328	39485__C4Z434__tilS
ERR1913225.619416__1.619416	2293125__A0A374C955__DW917_08135
ERR1913225.619563__1.619563	1262942__R7QWQ5__BN520_01783
ERR1913225.619582__1.619582	357276__I9QBT7__BSEG_03340
ERR1913225.619588__1.619588	384638__B7AN60__BACPEC_00112
ERR1913225.619633__1.619633	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913225.619661__1.619661	33043__A8SPT5__yfiN_2
ERR1913225.619766__1.619766	820__A0A174F0C1__nreB
ERR1913225.619704__1.619704	1262761__R6RMH1__BN606_00005
ERR1913225.619857__1.619857	28118__F9Z4H5__DHW44_02810
ERR1913225.619878__1.619878	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913225.620092__1.620092	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913225.620143__1.620143	820__A0A174DZ97__SAMN05444418_101240
ERR1913225.620098__1.620098	301301__A0A395V8G6__RHOM_11005
ERR1913225.620244__1.620244	1262761__R6R8B3__BN606_01478
ERR1913225.620283__1.620283	820__A0A174R952__DXB48_02570
ERR1913225.620308__1.620308	2293125__A0A374CII0__DW917_03470
ERR1913225.620621__1.620621	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913225.620714__1.620714	1262988__R7N4U5__BN816_00495
ERR1913225.620752__1.620752	1160721__W0U4D5__RBI_I01230
ERR1913225.620843__1.620843	1501391__GCA_000786575.1_00005
ERR1913225.621140__1.621140	28116__A0A395VSP8__ERS852555_02642
ERR1913225.621467__1.621467	1262761__R6QUS0__BN606_00152
ERR1913225.621430__1.621430	1262911__R6GLA5__BN557_01456
ERR1913225.621728__1.621728	820__A0A174B4N2__M093_2531
ERR1913225.621729__1.621729	1501391__GCA_000786575.1_00004
ERR1913225.621847__1.621847	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913225.621814__1.621814	820__A0A174FUF0__HMPREF1073_03308
ERR1913225.621917__1.621917	1981510__A0A2K9P1C7__B9O19_00886
ERR1913225.621926__1.621926	820__A7V049__DXB48_04755
ERR1913225.622000__1.622000	1501391__GCA_000786575.1_00029
ERR1913225.622014__1.622014	2293125__A0A374BVX3__DW917_12740
ERR1913225.622306__1.622306	820__A0A3E4XDK3__ERS852554_03650
ERR1913225.622545__1.622545	1262911__R6GI18__BN557_01377
ERR1913225.622578__1.622578	418240__C6JET3__ERS852478_01564
ERR1913225.622629__1.622629	853__E2ZJT1__C4N23_03535
ERR1913225.622703__1.622703	2293125__A0A374BSW4__DW917_13420
ERR1913225.622759__1.622759	745368__A0A1T4Y2M2__SAMN02745178_02631
ERR1913225.622844__1.622844	1501391__GCA_000786575.1_00081
ERR1913225.622863__1.622863	1501391__GCA_000786575.1_00115
ERR1913225.622904__1.622904	394340__group_3173
ERR1913225.623073__1.623073	820__A7V049__DXB48_04755
ERR1913225.623231__1.623231	1262761__R6RB66__BN606_01964
ERR1913225.623278__1.623278	487174__R5FJH0__DDY40_07055
ERR1913225.623926__1.623926	1262761__R6RUC6__BN606_00092
ERR1913225.624022__1.624022	1262761__R6RU22__BN606_01110
ERR1913225.624150__1.624150	165179__D1PHC0__PREVCOP_06640
ERR1913225.624289__1.624289	1262761__R6QS88__BN606_01626
ERR1913225.624514__1.624514	487174__R5FJY1__DDY40_07045
ERR1913225.624603__1.624603	28116__A7M4E1__NCTC11153_01558
ERR1913225.624959__1.624959	39492__D4JX50__EUBSIR_00410
ERR1913225.624971__1.624971	853__A0A173YYY4__DWZ04_09420
ERR1913225.625185__1.625185	2293125__A0A374BUM7__DW917_12980
ERR1913225.625268__1.625268	1501391__GCA_000786575.1_00017
ERR1913225.625356__1.625356	40518__R5E8B6__RB5AMG_00876
ERR1913225.625688__1.625688	39485__R5ZRT8__gmr_6
ERR1913225.625933__1.625933	1965650__A0A1Y3VKS3__B5G16_06070
ERR1913225.625940__1.625940	1262944__R7ITA3__BN596_02299
ERR1913225.626102__1.626102	820__A0A173XIP7__B5G17_16050
ERR1913225.626046__1.626046	1501391__GCA_000786575.1_00026
ERR1913225.626065__1.626065	1262942__R7QTG9__BN520_01018
ERR1913225.626245__1.626245	357276__I9QBT7__BSEG_03340
ERR1913225.626271__1.626271	853__A0A3E2V168__FAEPRAM212_00929
ERR1913225.626417__1.626417	39485__A0A174YNF6__lytR_1
ERR1913225.626526__1.626526	1262743__R5C054__BN727_01980
ERR1913225.626674__1.626674	820__A0A139K426__B5G17_09115
ERR1913225.627007__1.627007	1160721__R6TC37__BHW50_00820
ERR1913225.627388__1.627388	39485__C4Z058__ERS852492_00130
ERR1913225.627481__1.627481	1262911__R6GT76__BN557_01150
ERR1913225.627578__1.627578	1501391__GCA_000786575.1_00037
ERR1913225.627844__1.627844	357276__A0A076IRZ5__BACDOR_00630
ERR1913225.627823__1.627823	214856__R6Z590__ERS852447_01059
ERR1913225.627936__1.627936	39485__A0A174YW66__ERS852490_03040
ERR1913225.627991__1.627991	29361__B6FKH5__CLONEX_00621
ERR1913225.628192__1.628192	322505__group_105
ERR1913225.628219__1.628219	820__A0A3E4G2R7__DXC07_00510
ERR1913225.628296__1.628296	1262988__R7N4U5__BN816_00495
ERR1913225.628857__1.628857	33043__A0A173ZDC4__malL_1
ERR1913225.628970__1.628970	820__R9I3Q7__HMPREF1072_01668
ERR1913225.629340__1.629340	1262911__R6GW73__BN557_00128
ERR1913225.629369__1.629369	820__A0A1T4IY71__HMPREF2141_02402
ERR1913225.629374__1.629374	39491__C4ZAT2__ERE_28440
ERR1913225.629415__1.629415	2293125__A0A374BRB6__DW917_13815
ERR1913225.629534__1.629534	853__D4JY61__C4N21_10560
ERR1913225.629621__1.629621	29361__B6FRT6__CLONEX_02860
ERR1913225.629813__1.629813	1262944__R7IMR1__BN596_01228
ERR1913225.629859__1.629859	1262824__R6S2B5__BN719_02090
ERR1913225.630202__1.630202	820__A0A374QGD2__ERS852421_02382
ERR1913225.630274__1.630274	2293125__A0A374C4J1__DW917_09855
ERR1913225.630640__1.630640	116085__D4J740__DW747_11625
ERR1913225.630782__1.630782	820__A0A139KHX1__HMPREF2141_00289
ERR1913225.630766__1.630766	165179__D1PCL6__DXB80_13435
ERR1913225.631053__1.631053	2293125__A0A374CFZ2__DW917_03445
ERR1913225.631019__1.631019	820__A0A3E4GE89__DXB48_02565
ERR1913225.631108__1.631108	1262761__R6QR72__BN606_01181
ERR1913225.631250__1.631250	46228__B5CTB8__DXD17_12310
ERR1913225.631409__1.631409	562__P63202__gadW
ERR1913225.631524__1.631524	1262911__R6GMZ7__BN557_01741
ERR1913225.631808__1.631808	165179__A0A3E5AG99__DXB80_04390
ERR1913225.632076__1.632076	820__A0A173XIP7__B5G17_16050
ERR1913225.632067__1.632067	10680__GeneID:1261099
ERR1913225.632234__1.632234	39492__D4JRM9__bglB_2
ERR1913225.632382__1.632382	1262761__R6QTV2__BN606_01879
ERR1913225.632470__1.632470	1262911__R6GLG2__BN557_01501
ERR1913225.632540__1.632540	1262761__R6R840__BN606_01433
ERR1913225.632607__1.632607	28116__A0A078Q1V5__SAMN05444282_12168
ERR1913225.632753__1.632753	1262911__R6GR13__BN557_00618
ERR1913225.632827__1.632827	47678__R5U7T0__CGC64_00755
ERR1913225.633048__1.633048	2293125__A0A374BUM7__DW917_12980
ERR1913225.633447__1.633447	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913225.633636__1.633636	820__A0A174KKV6__DXC07_02635
ERR1913225.633699__1.633699	410072__A0A174AMX4__dacB_1
ERR1913225.633758__1.633758	820__A0A139KIL9__DXC68_05945
ERR1913225.633992__1.633992	820__A0A174LJB2__HMPREF1072_04112
ERR1913225.633997__1.633997	165179__A0A229I7F5__DXB80_02650
ERR1913225.634070__1.634070	820__A0A139KJR5__M093_4469
ERR1913225.634120__1.634120	39496__A5Z5I2__EUBVEN_00963
ERR1913225.634233__1.634233	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913225.634372__1.634372	39485__A0A174YR79__EUBELI_20418
ERR1913225.634402__1.634402	446660__GCA_003428235.1_00331
ERR1913225.634506__1.634506	2293125__A0A374BR61__DW917_14880
ERR1913225.634510__1.634510	1501391__GCA_000786575.1_00085
ERR1913225.634574__1.634574	820__R9I3Q7__HMPREF1072_01668
ERR1913225.634918__1.634918	853__A0A2A7B9I6__DW855_13690
ERR1913225.634933__1.634933	214856__R6Z288__ERS852447_00734
ERR1913225.635036__1.635036	1262942__R7R089__BN520_02195
ERR1913225.635132__1.635132	820__A0A139KG04__ERS852459_01249
ERR1913225.635199__1.635199	371601__E5CE41__ERS852396_04351
ERR1913225.635181__1.635181	2293125__A0A374BZ93__DW917_11205
ERR1913225.635717__1.635717	820__R9I3Q7__HMPREF1072_01668
ERR1913225.636026__1.636026	823__A6LB63__M095_1847
ERR1913225.636014__1.636014	820__A7V9F9__B5G17_14640
ERR1913225.636159__1.636159	821__A0A3E4WAR6__DXD64_10735
ERR1913225.636266__1.636266	218538__C9LL79__GCWU000321_00015
ERR1913225.636284__1.636284	1262988__R7N8H1__BN816_00011
ERR1913225.636377__1.636377	2293125__A0A374CFZ2__DW917_03445
ERR1913225.636642__1.636642	853__A0A3E2U7E6__ERS852582_01640
ERR1913225.636667__1.636667	39490__U2PCP5__HMPREF0373_03001
ERR1913225.636883__1.636883	1262988__R7N3G4__BN816_02057
ERR1913225.636902__1.636902	820__A0A139K5A6__DXB48_12175
ERR1913225.636978__1.636978	1262761__R6RMH1__BN606_00005
ERR1913225.637004__1.637004	820__R9HP61__DXC91_01090
ERR1913225.637019__1.637019	28116__D4WJ30__DHW41_06080
ERR1913225.637089__1.637089	2293125__A0A374CKY3__DW917_01805
ERR1913225.637229__1.637229	820__A0A1Q6IDS8__chtA
ERR1913225.637197__1.637197	1735__B7CBP2__EUBIFOR_01617
ERR1913225.637288__1.637288	1160721__R6TBU4__BHW50_04080
ERR1913225.637261__1.637261	820__A0A3E4QZJ7__C801_01798
ERR1913225.637286__1.637286	2293125__A0A374CFU2__DW917_03475
ERR1913225.637630__1.637630	410072__A0A173WD04__penA_2
ERR1913225.637608__1.637608	2293125__A0A374CI55__DW917_03455
ERR1913225.637926__1.637926	39492__D4JUN0__EUBSIR_02705
ERR1913225.637969__1.637969	1262761__R6R1H3__BN606_00786
ERR1913225.638005__1.638005	1262761__R6RY17__BN606_01538
ERR1913225.638169__1.638169	2293125__A0A374C4J1__DW917_09855
ERR1913225.638242__1.638242	1501391__GCA_000786575.1_00040
ERR1913225.638136__1.638136	853__A0A174CVG7__CGS58_09335
ERR1913225.638292__1.638292	384638__B7ASX7__BACPEC_02185
ERR1913225.638266__1.638266	165179__A0A3E5EB26__CFT61_02800
ERR1913225.638413__1.638413	1262783__R6CXA5__BN558_01495
ERR1913225.638761__1.638761	1262911__R6GN33__BN557_00616
ERR1913225.639052__1.639052	820__R9I324__HMPREF2141_02414
ERR1913225.639337__1.639337	39492__D4JQY4__EUBSIR_01325
ERR1913225.639265__1.639265	1501391__GCA_000786575.1_00129
ERR1913225.639373__1.639373	1263000__R5EJ27__BN466_01916
ERR1913225.639388__1.639388	820__A0A3E4W7J3__DXC07_00330
ERR1913225.639741__1.639741	1262761__R6RY17__BN606_01538
ERR1913225.639753__1.639753	2293125__A0A374BVX3__DW917_12740
ERR1913225.639803__1.639803	2293125__A0A374C9I8__DW917_06795
ERR1913225.639851__1.639851	1262988__R7N5Z7__BN816_02182
ERR1913225.639910__1.639910	853__A0A174BZY1__xerD_1
ERR1913225.639970__1.639970	1262761__R6RNL8__BN606_00387
ERR1913225.640232__1.640232	1262911__R6GY78__BN557_00532
ERR1913225.640238__1.640238	40520__R7D7V1__DXC87_12020
ERR1913225.640505__1.640505	39485__A0A174ZQT9__EUBELI_20278
ERR1913225.640654__1.640654	2293125__A0A374CFW0__DW917_03450
ERR1913225.640671__1.640671	2293125__A0A374BUM7__DW917_12980
ERR1913225.640684__1.640684	39485__A0A174Z8V5__fliU_2
ERR1913225.640732__1.640732	853__A0A173YYY4__DWZ04_09420
ERR1913225.640735__1.640735	165179__A0A3E5AHY4__CFT61_07675
ERR1913225.640801__1.640801	820__A0A3E4W084__BACUNI_04042
ERR1913225.640814__1.640814	820__A0A139KEW8__DXB64_06405
ERR1913225.640824__1.640824	2293125__A0A374C9M9__DW917_08170
ERR1913225.641130__1.641130	1849041__A0A3E2T0T9__DW086_06095
ERR1913225.641633__1.641633	1263107__GCA_000436995.1_00076
ERR1913225.642125__1.642125	853__C7H1R8__DW905_06675
ERR1913225.642171__1.642171	1160721__W0U4N3__BHW50_05270
ERR1913225.642415__1.642415	1263107__GCA_000436995.1_00138
ERR1913225.642448__1.642448	1262761__R6RB22__BN606_01933
ERR1913225.642528__1.642528	282402__F0FAB6__HMPREF9141_2533
ERR1913225.642533__1.642533	820__A0A174GYA8__DXB64_07370
ERR1913225.642710__1.642710	301301__A0A173ZW33__RHOM_02600
ERR1913225.642952__1.642952	821__A0A174NM17__lacZ_6
ERR1913225.643298__1.643298	487174__K0WXG8__DIT83_09300
ERR1913225.643764__1.643764	1262911__R6H092__BN557_00938
ERR1913225.643736__1.643736	2293125__A0A374CFU2__DW917_03475
ERR1913225.643932__1.643932	28118__F9ZAB2__SAMEA44545918_01079
ERR1913225.643933__1.643933	2293125__A0A374CHT4__DW917_03485
ERR1913225.644057__1.644057	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913225.644095__1.644095	1263107__GCA_000436995.1_00133
ERR1913225.644107__1.644107	1262761__R6QRI7__BN606_01503
ERR1913225.644422__1.644422	2293125__A0A374C4C8__DW917_09805
ERR1913225.644484__1.644484	2293125__A0A374CFT0__DW917_03440
ERR1913225.644531__1.644531	39492__D4MMN2__EUBSIR_00964
ERR1913225.644866__1.644866	357276__A0A076IIL0__EL88_03065
ERR1913225.644809__1.644809	820__A7UYG6__M094_0070
ERR1913225.644987__1.644987	1262988__R7N3I4__BN816_01805
ERR1913225.645147__1.645147	1262911__R6H1D2__BN557_00855
ERR1913225.645180__1.645180	820__A0A174VD39__DXD90_12235
ERR1913225.645214__1.645214	214856__R6Y6H8__ERS852447_01719
ERR1913225.645299__1.645299	39486__R6SPW4__DXD84_13185
ERR1913225.645328__1.645328	1262911__R6GYU2__BN557_00621
ERR1913225.645397__1.645397	2293125__A0A374CFU2__DW917_03475
ERR1913225.645709__1.645709	165179__D1PGU8__PREVCOP_06463
ERR1913225.645961__1.645961	821__A0A174V2F3__NCTC10583_01474
ERR1913225.646151__1.646151	39485__C4Z6J9__ERS852492_02049
ERR1913225.646394__1.646394	2293125__A0A374BV30__DW917_13395
ERR1913225.646418__1.646418	1501391__GCA_000786575.1_00117
ERR1913225.646463__1.646463	2293125__A0A374CFZ2__DW917_03445
ERR1913225.646529__1.646529	46228__B5CM12__DXD17_00945
ERR1913225.646625__1.646625	820__R9I324__HMPREF2141_02414
ERR1913225.646637__1.646637	384638__B7APR1__BACPEC_00667
ERR1913225.646672__1.646672	1897011__A0A1Q6RH97__BHW41_01945
ERR1913225.647060__1.647060	40518__R5DYP7__envC
ERR1913225.647330__1.647330	821__C3RB94__DXC03_15585
ERR1913225.647437__1.647437	1501391__GCA_000786575.1_00157
ERR1913225.647534__1.647534	853__A0A2A7A628__CGS57_13755
ERR1913225.647613__1.647613	39485__C4Z1Y9__EUBELI_00143
ERR1913225.647692__1.647692	1262988__R7N2L5__BN816_01804
ERR1913225.647826__1.647826	853__E2ZGD9__C7J97_11715
ERR1913225.647871__1.647871	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913225.647955__1.647955	1262700__R5XC07__BN695_01332
ERR1913225.647998__1.647998	1263107__GCA_000436995.1_00106
ERR1913225.648131__1.648131	821__A0A173XDD3__DXB82_17180
ERR1913225.648248__1.648248	820__A0A3E4WA06__ERS852554_03404
ERR1913225.648358__1.648358	706562__GCA_900112995.1_02230
ERR1913225.648374__1.648374	1262761__R6RY17__BN606_01538
ERR1913225.648549__1.648549	39485__A0A174Z7G5__EUBELI_01168
ERR1913225.648688__1.648688	820__A0A174B4N2__M093_2531
ERR1913225.648885__1.648885	189722__E0NQU7__HMPREF0658_0548
ERR1913225.648951__1.648951	218538__C9LQZ7__GCWU000321_01979
ERR1913225.649034__1.649034	1628085__A0A2U1B3Y8__C7386_12130
ERR1913225.649135__1.649135	1262911__R6H2B5__BN557_01151
ERR1913225.649337__1.649337	39485__A0A174YNF6__lytR_1
ERR1913225.649376__1.649376	2293125__A0A374C4C8__DW917_09805
ERR1913225.649629__1.649629	1262988__R7N521__BN816_01886
ERR1913225.650344__1.650344	1262988__R7N3I4__BN816_01805
ERR1913225.650596__1.650596	1160721__R6TBU4__BHW50_04080
ERR1913225.650684__1.650684	853__A0A174BA00__DW905_01145
ERR1913225.650703__1.650703	2293125__A0A374CC93__DW917_06625
ERR1913225.651058__1.651058	2293125__A0A374C9I8__DW917_06795
ERR1913225.651283__1.651283	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913225.651639__1.651639	1262942__R7R0E3__BN520_00631
ERR1913225.651918__1.651918	2293125__A0A374CFU2__DW917_03475
ERR1913225.651994__1.651994	39485__C4Z1Y9__EUBELI_00143
ERR1913225.652344__1.652344	39491__A0A396FM36__DXB99_00820
ERR1913225.652379__1.652379	1262777__R5VQY2__BN512_00997
ERR1913225.652419__1.652419	1262911__R6H2B5__BN557_01151
ERR1913225.652666__1.652666	2293125__A0A374BQ34__DW917_14250
ERR1913225.652836__1.652836	853__A0A173YYY4__DWZ04_09420
ERR1913225.652846__1.652846	371601__A0A173ZQ83__SAMN04487924_1257
ERR1913225.652967__1.652967	214856__A0A173YE57__ERS852559_00126
ERR1913225.653102__1.653102	820__A0A3E4WCX3__C801_02709
ERR1913225.653195__1.653195	1262761__R6R5Y6__BN606_00217
ERR1913225.653646__1.653646	39485__R5ZT20__ERS852490_00975
ERR1913225.653723__1.653723	1262945__R6YT88__BN600_00074
ERR1913225.653919__1.653919	360807__A0A173R6V5__ROSEINA2194_00471
ERR1913225.654027__1.654027	820__A0A174F0C1__nreB
ERR1913225.654041__1.654041	39485__A0A174ZTY8__ycfH
ERR1913225.654057__1.654057	1262911__R6GP58__BN557_00798
ERR1913225.654109__1.654109	487174__K0X524__DDY40_09270
ERR1913225.654217__1.654217	218538__C9LQ77__GCWU000321_01709
ERR1913225.654278__1.654278	820__R9I2U8__DXC68_09590
ERR1913225.654292__1.654292	1262889__R7H773__BN634_02377
ERR1913225.654326__1.654326	820__A0A1T4IY71__HMPREF2141_02402
ERR1913225.654331__1.654331	1262761__R6RU22__BN606_01110
ERR1913225.654297__1.654297	360807__C0FNJ9__ERS852392_02898
ERR1913225.654311__1.654311	2293125__A0A374C4C8__DW917_09805
ERR1913225.654348__1.654348	1735__B7CDA5__EUBIFOR_02186
ERR1913225.654462__1.654462	820__A0A174CG08__DXB62_13215
ERR1913225.654473__1.654473	282402__F0FB95__HMPREF9141_2862
ERR1913225.654423__1.654423	301301__G2SXB0__RHOM_09565
ERR1913225.654746__1.654746	649756__D4MTX1__DCR88_05080
ERR1913225.654839__1.654839	1262792__R6ZL51__BN593_01721
ERR1913225.655016__1.655016	2293125__A0A374BR61__DW917_14880
ERR1913225.655346__1.655346	2293125__A0A374BQ34__DW917_14250
ERR1913225.655588__1.655588	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913225.655666__1.655666	1735__B7CCQ2__EUBIFOR_01980
ERR1913225.655961__1.655961	1262761__R6RU22__BN606_01110
ERR1913225.656009__1.656009	39491__A0A395ZM93__DXD13_03490
ERR1913225.656050__1.656050	39492__D4JQS7__ERS852540_01645
ERR1913225.656052__1.656052	39485__C4Z6R3__mcp2_1
ERR1913225.656177__1.656177	1262911__R6GLI1__BN557_01518
ERR1913225.656185__1.656185	1735__B7C932__EUBIFOR_00689
ERR1913225.656271__1.656271	544644__GCA_001915615.1_01910
ERR1913225.656393__1.656393	2293125__A0A374CFW0__DW917_03450
ERR1913225.656408__1.656408	820__A0A3E4VXP2__yesR
ERR1913225.656478__1.656478	820__R9I3Q7__HMPREF1072_01668
ERR1913225.656548__1.656548	1965538__A0A1Y4W5L7__B5E43_09895
ERR1913225.656649__1.656649	166486__C7GAX1__ERS852572_03188
ERR1913225.656618__1.656618	33039__D4M5E1__ERS852577_03873
ERR1913225.656792__1.656792	2293125__A0A374CC93__DW917_06625
ERR1913225.656901__1.656901	2293125__A0A374CHT4__DW917_03485
ERR1913225.657006__1.657006	384638__B7APR0__BACPEC_00666
ERR1913225.657248__1.657248	1501391__GCA_000786575.1_00085
ERR1913225.657377__1.657377	301301__A0A395V7P2__ERS852391_05080
ERR1913225.657448__1.657448	2293125__A0A374CFW0__DW917_03450
ERR1913225.657545__1.657545	1262761__R6RP35__BN606_00461
ERR1913225.657702__1.657702	820__A0A174TRB5__DXD40_11305
ERR1913225.657736__1.657736	1263107__GCA_000436995.1_00208
ERR1913225.658089__1.658089	2293125__A0A374C4J1__DW917_09855
ERR1913225.658346__1.658346	1262761__R6R8B3__BN606_01478
ERR1913225.658624__1.658624	1262761__R6R4V4__BN606_00113
ERR1913225.658803__1.658803	1262736__R5Y8Z5__BN496_01182
ERR1913225.658888__1.658888	28116__A0A1Y4PWV4__C5Z02_15015
ERR1913225.658967__1.658967	556259__I0PXW0__BSGG_5187
ERR1913225.659227__1.659227	360807__A0A174F8N1__ERS852444_00648
ERR1913225.659280__1.659280	853__A0A173YYY4__DWZ04_09420
ERR1913225.659364__1.659364	820__A0A174M9V5__M093_0237
ERR1913225.659556__1.659556	2293125__A0A374C9I8__DW917_06795
ERR1913225.659597__1.659597	418240__A0A173XCL4__ERS852523_02725
ERR1913225.659651__1.659651	2293125__A0A374CII0__DW917_03470
