ERR1913246.489__1.489	84030__D6DE34__B5F06_14455
ERR1913246.898364__1.898364	1354__I6T3S7__UAE_02353
ERR1913246.898435__1.898435	10678__GeneID:2777421
ERR1913246.898442__1.898442	418240__A0A173XSX9__ERS852523_01591
ERR1913246.898810__1.898810	1501391__GCA_000786575.1_00054
ERR1913246.898817__1.898817	1262911__R6GSH0__BN557_00934
ERR1913246.898825__1.898825	216816__C2GW26__chb
ERR1913246.898880__1.898880	823__A0A174U5E4__BDI_3390
ERR1913246.898909__1.898909	357276__A0A0K2HJA6__DXD47_07320
ERR1913246.899244__1.899244	10678__GeneID:2777413
ERR1913246.899519__1.899519	562__P64549__K758_00320
ERR1913246.899848__1.899848	136841__A0A335EEE1__PAERUG_P59_Wales_1_VIM_2_09_13_03623
ERR1913246.899928__1.899928	823__C7XA51__BDI_0499
ERR1913246.900006__1.900006	47678__A0A174H7W9__ERS852494_00524
ERR1913246.900171__1.900171	214856__A0A174EQR4__rsmA
ERR1913246.900446__1.900446	216816__A0A087BBV6__BFS26_06210
ERR1913246.900609__1.900609	1147152__GeneID:14181982
ERR1913246.900687__1.900687	10678__GeneID:2777481
ERR1913246.900825__1.900825	10678__GeneID:2777479
ERR1913246.900953__1.900953	1354__I6T5X6__BH731_08805
ERR1913246.901086__1.901086	246787__E2NCX3__HMPREF1062_01637
ERR1913246.901141__1.901141	214856__I3YMN6__Alfi_1938
ERR1913246.901147__1.901147	823__A0A395YVY3__ERS852513_03204
ERR1913246.901163__1.901163	10678__GeneID:2777402
ERR1913246.901401__1.901401	246787__A0A3D6AWM8__BACCELL_01963
ERR1913246.901473__1.901473	1262911__R6GSH8__BN557_00939
ERR1913246.901557__1.901557	360807__A0A396AIC7__ERS852392_01627
ERR1913246.901576__1.901576	1472761__GCA_002159295.1_00731
ERR1913246.901634__1.901634	328814__GCA_004558275.1_02280
ERR1913246.901639__1.901639	47678__R5U9Z0__HMPREF1061_03210
ERR1913246.901656__1.901656	216816__B3DRU6__DPC6323_0992
ERR1913246.901792__1.901792	46503__R6WWH2__DXB85_00365
ERR1913246.901793__1.901793	357276__A0A0M1W9N4__GV66_05135
ERR1913246.901814__1.901814	446660__GCA_003428235.1_01982
ERR1913246.901842__1.901842	562__P23837__phoQ
ERR1913246.901905__1.901905	216816__A0A1S2VTC3__BLIC_e00847
ERR1913246.902102__1.902102	360807__A0A173YFC9__ROSEINA2194_03541
ERR1913246.902130__1.902130	10678__GeneID:2777426
ERR1913246.902139__1.902139	1262911__R6HN87__BN557_00926
ERR1913246.902230__1.902230	1531__A0A0E2HDW8__SAMN05216528_10406
ERR1913246.902392__1.902392	216816__V6XY04__APK78_02285
ERR1913246.902556__1.902556	823__A0A395YY84__DXC05_19515
ERR1913246.902557__1.902557	1262911__R6GXS5__BN557_00160
ERR1913246.902576__1.902576	360807__C0FYV5__comEA
ERR1913246.902650__1.902650	487174__K0X1H0__DDY40_11080
ERR1913246.902666__1.902666	1262911__R6GQM3__BN557_01245
ERR1913246.902853__1.902853	394340__caiA_2
ERR1913246.902975__1.902975	328814__GCA_004558275.1_00025
ERR1913246.903171__1.903171	246787__R6KBH9__HMPREF1062_04676
ERR1913246.903482__1.903482	10678__GeneID:2777454
ERR1913246.903495__1.903495	544644__GCA_001915615.1_00060
ERR1913246.903717__1.903717	562__P52045__CW278_17595
ERR1913246.903780__1.903780	216816__B7GPE8__I118_0062
ERR1913246.903790__1.903790	10678__GeneID:2777482
ERR1913246.903840__1.903840	1550024__A0A3B9WGS9__ASJ35_05050
ERR1913246.903853__1.903853	216816__D6DCL7__BFS26_02835
ERR1913246.903870__1.903870	357276__A0A076IRZ5__BACDOR_00630
ERR1913246.904253__1.904253	487174__K0WWY0__DIT83_10195
ERR1913246.904381__1.904381	216816__B7GQM4__BLIC_f01073
ERR1913246.904585__1.904585	33038__A0A2N5NVQ3__CDL19_02550
ERR1913246.904767__1.904767	357276__A0A076ISJ4__B5F95_19420
ERR1913246.904690__1.904690	357276__I9QBT7__BSEG_03340
ERR1913246.904822__1.904822	246787__A0A3D6AVT6__BACCELL_02130
ERR1913246.904914__1.904914	562__P0ADK7__yibA
ERR1913246.904957__1.904957	10678__GeneID:2777481
ERR1913246.905025__1.905025	28116__R6K4N7__ERS852555_03750
ERR1913246.905214__1.905214	214856__A0A174CRY5__ERS852559_01060
ERR1913246.905112__1.905112	47678__R5U969__C5Z00_13130
ERR1913246.905215__1.905215	1262911__R6GSH8__BN557_00939
ERR1913246.905231__1.905231	10678__GeneID:2777435
ERR1913246.905303__1.905303	823__A0A355XLS2__ERS852380_02644
ERR1913246.905387__1.905387	487174__K0X2Q8__DDY40_04590
ERR1913246.905625__1.905625	1147152__GeneID:14182017
ERR1913246.906034__1.906034	418240__A0A173ZFY9__ERS852478_00591
ERR1913246.905972__1.905972	10678__GeneID:2777456
ERR1913246.906096__1.906096	1262911__R6GUQ4__BN557_01581
ERR1913246.906413__1.906413	1262911__R6HHR1__BN557_01622
ERR1913246.906419__1.906419	169435__A0A3E3IGK4__B5F55_16115
ERR1913246.906560__1.906560	84030__D6DE21__B5F06_10975
ERR1913246.906562__1.906562	214856__R6YC22__ERS852447_01215
ERR1913246.906653__1.906653	1262911__R6H2J2__BN557_01228
ERR1913246.906659__1.906659	216816__C2GUV2__APC1478_0430
ERR1913246.906934__1.906934	216816__C5E8I1__yciB
ERR1913246.907092__1.907092	10678__GeneID:2777481
ERR1913246.907231__1.907231	1501391__GCA_000786575.1_00008
ERR1913246.907240__1.907240	10678__GeneID:2777399
ERR1913246.907256__1.907256	328814__GCA_004558275.1_02280
ERR1913246.907264__1.907264	216816__A0A2N0SME6__BLIF_1881
ERR1913246.907647__1.907647	820__A0A139KG60__M094_2679
ERR1913246.907905__1.907905	10678__GeneID:2777403
ERR1913246.908087__1.908087	10678__GeneID:2777424
ERR1913246.908136__1.908136	418240__C6JH11__ERS852523_02507
ERR1913246.908055__1.908055	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913246.908239__1.908239	10678__GeneID:2777386
ERR1913246.908457__1.908457	10678__GeneID:2777408
ERR1913246.908507__1.908507	1232426__rpoB
ERR1913246.908523__1.908523	10678__GeneID:2777387
ERR1913246.908553__1.908553	1262911__R6GT76__BN557_01150
ERR1913246.908737__1.908737	147206__GCF_000156215.1_00542
ERR1913246.908757__1.908757	1262911__R6H1K1__BN557_00910
ERR1913246.908804__1.908804	214856__R6Z7Q9__ERS852447_02172
ERR1913246.908815__1.908815	544644__GCA_001915615.1_01855
ERR1913246.908818__1.908818	329854__R7E733__DXD57_00120
ERR1913246.908822__1.908822	357276__I8WAB8__B5F00_08100
ERR1913246.909047__1.909047	357276__A0A0K2HKT7__B5F95_21090
ERR1913246.909132__1.909132	28118__R6F5T0__Odosp_2509
ERR1913246.909222__1.909222	487175__R5EEQ9__HMPREF9439_02786
ERR1913246.909234__1.909234	214856__I3YPQ4__Alfi_2712
ERR1913246.909188__1.909188	487174__K0XES7__HMPREF9448_00566
ERR1913246.909453__1.909453	10678__GeneID:2777493
ERR1913246.909762__1.909762	562__A0A376L0A6__CQA14_19985
ERR1913246.909791__1.909791	1262911__R6GUQ4__BN557_01581
ERR1913246.909818__1.909818	1262889__R7HED3__BN634_01717
ERR1913246.909918__1.909918	214856__I3YPQ6__Alfi_2714
ERR1913246.910059__1.910059	508460__GCF_000585335.1_00068
ERR1913246.910113__1.910113	100886__E2NR02__CATMIT_01005
ERR1913246.910170__1.910170	1685__A0A3D8UEL2__DRBB29_0129
ERR1913246.910203__1.910203	821__I9R3W6__DXC16_12455
ERR1913246.910208__1.910208	1550024__G9RXA1__TQ39_18810
ERR1913246.910351__1.910351	432200__GeneID:14182864
ERR1913246.910617__1.910617	246787__R6KBH9__HMPREF1062_04676
ERR1913246.910628__1.910628	47678__R5U325__HMPREF1061_03209
ERR1913246.910711__1.910711	39492__D4JX34__ERS852540_00411
ERR1913246.910672__1.910672	106588__A6P303__BACCAP_04887
ERR1913246.910938__1.910938	214856__I3YPQ0__ERS852447_01379
ERR1913246.911024__1.911024	216816__B3DQ11__APC1466_1528
ERR1913246.911059__1.911059	216816__B3DQ11__APC1466_1528
ERR1913246.911126__1.911126	357276__A0A1Y3ZD00__B5F00_16730
ERR1913246.911285__1.911285	40518__R5DRY6__RB5AMG_00549
ERR1913246.911296__1.911296	10678__GeneID:2777481
ERR1913246.911439__1.911439	1147152__GeneID:14181982
ERR1913246.911487__1.911487	1354__A0A366UKA0__EB45_00591
ERR1913246.911542__1.911542	40518__R5DP61__DXD86_06345
ERR1913246.911546__1.911546	820__A0A139KA34__B5G17_05520
ERR1913246.911638__1.911638	214856__R6XP73__ERS852447_00886
ERR1913246.911774__1.911774	214856__A0A174EJT5__mnmA
ERR1913246.911666__1.911666	1262911__R6H174__BN557_01246
ERR1913246.911857__1.911857	1522__G1VQ13__SAMN05216507_1273
ERR1913246.912094__1.912094	214856__I3YMB7__Alfi_1811
ERR1913246.912225__1.912225	1550024__G9RPI3__ASJ35_09180
ERR1913246.912261__1.912261	1965576__A0A1Y4LNM3__B5F19_03090
ERR1913246.912288__1.912288	1501391__GCA_000786575.1_00068
ERR1913246.912395__1.912395	544645__A0A1Y3W153__DXC42_10830
ERR1913246.912488__1.912488	246787__A0A108T429__BACCELL_00192
ERR1913246.912581__1.912581	40518__R5DNY7__RBATCC27255_00367
ERR1913246.912751__1.912751	100886__E2NVC9__ERS852383_05891
ERR1913246.912949__1.912949	33039__R6PAH6__ERS852577_01830
ERR1913246.912992__1.912992	10678__GeneID:2777410
ERR1913246.913037__1.913037	1685__A0A3D8UEL2__DRBB29_0129
ERR1913246.913061__1.913061	638849__D1Y6R2__HMPREF7215_1090
ERR1913246.913170__1.913170	1393034__GCA_001552785.1_00515
ERR1913246.913334__1.913334	562__A0A376L0A6__CQA14_19985
ERR1913246.913598__1.913598	745368__A0A1T4Y189__SAMN02745178_02637
ERR1913246.913579__1.913579	246787__A0A3D6AQP8__AA416_04153
ERR1913246.913747__1.913747	1501391__GCA_000786575.1_00052
ERR1913246.913790__1.913790	214856__A0A174AYS4__ERS852447_01192
ERR1913246.913818__1.913818	214856__I3YPR5__ERS852447_01364
ERR1913246.913954__1.913954	10678__GeneID:2777408
ERR1913246.914018__1.914018	10678__GeneID:2777481
ERR1913246.914108__1.914108	216816__A0A1V8QFN0__HMPREF1315_0061
ERR1913246.914298__1.914298	216816__E8MVM4__APC1480_1562
ERR1913246.914432__1.914432	136841__A0A2U2XIV7__CSC31_4050
ERR1913246.914436__1.914436	745368__A0A1T4XL12__SAMN02745178_01966
ERR1913246.914865__1.914865	1965660__A0A1Y3SSG6__B5G34_01735
ERR1913246.914969__1.914969	40518__A0A2N0UK36__RBATCC27255_01376
ERR1913246.914984__1.914984	10678__GeneID:2777493
ERR1913246.914987__1.914987	2011081__GeneID:1260706
ERR1913246.915003__1.915003	357276__A0A076IN30__DXD47_09350
ERR1913246.915004__1.915004	1432052__A0A1E3AAQ0__BLA28_02175
ERR1913246.915113__1.915113	1299998__GCA_001494635.1_00464
ERR1913246.915191__1.915191	626932__G5H7L0__HMPREF9450_01053
ERR1913246.915208__1.915208	487174__K0X3H8__HMPREF9448_02822
ERR1913246.915272__1.915272	823__D7IRG1__NCTC11152_02276
ERR1913246.915377__1.915377	418240__A0A173WPF0__spoIIIAE
ERR1913246.915517__1.915517	100886__A0A174KB36__sacY
ERR1913246.915600__1.915600	246787__A0A3D6AWM8__BACCELL_01963
ERR1913246.915607__1.915607	214856__R5UN64__ERS852447_02669
ERR1913246.915683__1.915683	246787__I8V2S2__BACCELL_02524
ERR1913246.915739__1.915739	84030__D4CA31__B5F06_08800
ERR1913246.915910__1.915910	562__P32704__COD56_15900
ERR1913246.915899__1.915899	216816__B7GP87__HMPREF0177_01055
ERR1913246.916121__1.916121	10678__GeneID:2777422
ERR1913246.916213__1.916213	432198__GeneID:14182803
ERR1913246.916226__1.916226	2108523__A0A2P2F3I9__LAWASA_555
ERR1913246.916298__1.916298	10678__GeneID:2777428
ERR1913246.916357__1.916357	1432052__A0A1E3AIZ9__BEI63_20680
ERR1913246.916387__1.916387	47678__R5USS6__C5Z00_03300
ERR1913246.916443__1.916443	1262911__R6GS52__BN557_00834
ERR1913246.916452__1.916452	40518__R5DY98__mepA_5
ERR1913246.916474__1.916474	40518__R5E4X5__RB5AMG_01438
ERR1913246.916595__1.916595	10678__GeneID:2777425
ERR1913246.916696__1.916696	357276__A0A076IN21__BSEG_03078
ERR1913246.916754__1.916754	357276__A0A0M1W1I8__ABI39_13620
ERR1913246.917022__1.917022	745368__A0A1T4XK16__SAMN02745178_01970
ERR1913246.917134__1.917134	357276__I9QPN3__EL88_09245
ERR1913246.917263__1.917263	1262989__R6YIA1__BN815_02268
ERR1913246.917220__1.917220	216816__C2GSX7__DD678_03555
ERR1913246.917496__1.917496	10678__GeneID:2777413
ERR1913246.917667__1.917667	357276__I8WPR6__EL88_06675
ERR1913246.917706__1.917706	88431__A0A3D0EXY5__ERS852526_00139
ERR1913246.917808__1.917808	10678__GeneID:2777422
ERR1913246.917748__1.917748	1550024__A0A0D8IVV4__ASJ35_03610
ERR1913246.917836__1.917836	357276__A0A076INK2__BSEG_04225
ERR1913246.917992__1.917992	418240__A0A174BCX7__ERS852478_02371
ERR1913246.918056__1.918056	545__A0A2X2W303__NCTC10771_03204
ERR1913246.918181__1.918181	357276__I9QBT4__GV66_09000
ERR1913246.918352__1.918352	46503__K5YT67__HMPREF1060_04023
ERR1913246.918501__1.918501	562__A0A377AAV3__CDL32_10800
ERR1913246.918696__1.918696	39492__D4JRZ7__smc
ERR1913246.918869__1.918869	564886__GeneID:6973115
ERR1913246.918955__1.918955	246787__R6KIG0__BcellWH2_02358
ERR1913246.918972__1.918972	562__P77183__CDL50_13955
ERR1913246.919238__1.919238	10678__GeneID:2777415
ERR1913246.919268__1.919268	10678__GeneID:2777460
ERR1913246.919281__1.919281	10678__GeneID:2777456
ERR1913246.919360__1.919360	216816__A0A395XZB7__DXD37_04075
ERR1913246.919372__1.919372	216816__C2GSX7__DD678_03555
ERR1913246.919587__1.919587	10678__GeneID:2777405
ERR1913246.919562__1.919562	216816__Q8G585__APC1473_0508
ERR1913246.919538__1.919538	487174__R5EV44__HMPREF9448_01630
ERR1913246.919810__1.919810	216816__D6ZXD1__APC1461_0104
ERR1913246.919870__1.919870	40518__R5E4V5__RBL263_01242
ERR1913246.919825__1.919825	216816__C2GSX7__DD678_03555
ERR1913246.919918__1.919918	246787__A0A3D6AQP8__AA416_04153
ERR1913246.919883__1.919883	10678__GeneID:2777437
ERR1913246.919891__1.919891	1262911__R6H092__BN557_00938
ERR1913246.919893__1.919893	357276__A0A076INK2__BSEG_04225
ERR1913246.919976__1.919976	216816__C2GSX7__DD678_03555
ERR1913246.920012__1.920012	246787__E2NH87__BcellWH2_04496
ERR1913246.920022__1.920022	216816__A0A061M1M5__HMPREF0177_01046
ERR1913246.920025__1.920025	10678__GeneID:2777455
ERR1913246.920027__1.920027	47678__R5U2F6__HMPREF1061_00767
ERR1913246.920038__1.920038	216816__Q8G585__APC1473_0508
ERR1913246.920047__1.920047	84030__D4MSA3__B5F06_07650
ERR1913246.920085__1.920085	214856__I3YMC8__ERS852447_02666
ERR1913246.920146__1.920146	100886__A0A174MFT0__CATMIT_01349
ERR1913246.920312__1.920312	40518__R5DNI6__RBATCC27255_00844
ERR1913246.920589__1.920589	10678__GeneID:2777479
ERR1913246.920829__1.920829	214856__I3YPQ8__ERS852447_01371
ERR1913246.920802__1.920802	40518__R5DWP7__ansA
ERR1913246.920896__1.920896	10678__GeneID:2777413
ERR1913246.921091__1.921091	214856__A0A174ZLX0__ERS852559_00738
ERR1913246.921154__1.921154	246787__A0A0P0FSC9__BACCELL_02534
ERR1913246.921174__1.921174	1262911__R6GSH0__BN557_00934
ERR1913246.921299__1.921299	1262911__R6HG37__BN557_01341
ERR1913246.921308__1.921308	10678__GeneID:2777426
ERR1913246.921656__1.921656	10678__GeneID:2777479
ERR1913246.921659__1.921659	246787__A0A0P0GPH1__HMPREF1062_01913
ERR1913246.921646__1.921646	39492__B0MNQ2__EUBSIR_01459
ERR1913246.921587__1.921587	626932__G5H9D2__HMPREF9450_02218
ERR1913246.921824__1.921824	563769__GeneID:6972918
ERR1913246.921998__1.921998	10678__GeneID:2777386
ERR1913246.922090__1.922090	28025__A0A0L7CV42__EN10_08055
ERR1913246.922106__1.922106	216816__D6DBD5__DXC32_04335
ERR1913246.922208__1.922208	216816__D6DBD7__BL71B_09615
ERR1913246.922251__1.922251	246787__A0A0P0GUU5__BACCELL_02894
ERR1913246.922599__1.922599	40518__R5E2Z2__DXD93_09295
ERR1913246.922696__1.922696	1147152__GeneID:14181982
ERR1913246.922706__1.922706	1099853__U5CFJ1__NSB1T_13500
ERR1913246.922849__1.922849	28118__R6F7E3__ompH_2
ERR1913246.922983__1.922983	460384__A0A1I0AS27__SAMN05216313_101160
ERR1913246.923004__1.923004	1262911__R6HN72__BN557_00911
ERR1913246.923136__1.923136	745368__A0A1T4Y963__SAMN02745178_02859
ERR1913246.923279__1.923279	1099853__G9S297__NSB1T_13915
ERR1913246.923427__1.923427	357276__A0A076IS26__EL88_15950
ERR1913246.923492__1.923492	10678__GeneID:2777477
ERR1913246.923546__1.923546	214856__R6Y7P0__ERS852447_00307
ERR1913246.923678__1.923678	214856__I3YPP3__Alfi_2701
ERR1913246.923687__1.923687	1262911__R6GNY6__BN557_00004
ERR1913246.923875__1.923875	10678__GeneID:2777424
ERR1913246.923957__1.923957	10678__GeneID:2777478
ERR1913246.924292__1.924292	1472761__GCA_002159295.1_01817
ERR1913246.924380__1.924380	1304__A0A1C7CT42__CYK22_02500
ERR1913246.924456__1.924456	214856__I3YPN9__ERS852447_01389
ERR1913246.924427__1.924427	246787__I8V2S2__BACCELL_02524
ERR1913246.924574__1.924574	1262873__R6W965__BN605_01045
ERR1913246.924649__1.924649	1501391__GCA_000786575.1_00055
ERR1913246.924699__1.924699	40518__R5DUG7__sbcC
ERR1913246.924789__1.924789	1501391__GCA_000786575.1_00028
ERR1913246.924830__1.924830	100886__E2NRR0__CATMIT_01266
ERR1913246.924880__1.924880	47678__A5ZL09__BACCAC_03608
ERR1913246.925034__1.925034	562__A0A377AAV3__CDL32_10800
ERR1913246.925080__1.925080	823__A0A355XLT7__HMPREF1075_03402
ERR1913246.925182__1.925182	1147152__GeneID:14181982
ERR1913246.925330__1.925330	35833__E5Y2U0__HMPREF0179_00454
ERR1913246.925292__1.925292	10678__GeneID:2777403
ERR1913246.925569__1.925569	40518__R5DYP7__envC
ERR1913246.925583__1.925583	1262911__R6HHR1__BN557_01622
ERR1913246.925864__1.925864	418240__C6J9Y8__ERS852478_00235
ERR1913246.925867__1.925867	562__P69229__G746_02312
ERR1913246.925871__1.925871	1501391__GCA_000786575.1_00002
ERR1913246.925955__1.925955	246787__A0A108T1Y3__fepA_8
ERR1913246.926088__1.926088	214856__I3YPP3__Alfi_2701
ERR1913246.926233__1.926233	357276__B6VUQ5__B5F00_10940
ERR1913246.926251__1.926251	216816__V6XY04__APK78_02285
ERR1913246.926365__1.926365	10678__GeneID:2777427
ERR1913246.926474__1.926474	10678__GeneID:2777410
ERR1913246.926576__1.926576	10678__GeneID:2777481
ERR1913246.926589__1.926589	562__P0AF07__motB_2
ERR1913246.926541__1.926541	214856__R6XS46__ERS852559_00812
ERR1913246.926738__1.926738	246787__A0A0P0GNX3__BACCELL_00807
ERR1913246.926924__1.926924	214856__I3YPN3__ERS852447_01395
ERR1913246.926889__1.926889	432201__GeneID:14182722
ERR1913246.926972__1.926972	357276__I9QWD4__DXD47_15075
ERR1913246.927022__1.927022	216816__A0A0A6VPB9__B624_1780
ERR1913246.927361__1.927361	1262911__R6H0U7__BN557_01104
ERR1913246.927556__1.927556	1851568__A0A1B8YKN4__Phpb_01224
ERR1913246.927640__1.927640	2173__A5UNY6__BK798_04575
ERR1913246.927658__1.927658	39492__B0MNQ2__EUBSIR_01459
ERR1913246.927720__1.927720	357276__D1JZM4__HMPREF1065_01278
ERR1913246.927737__1.927737	357276__A0A076IYE6__IY41_04275
ERR1913246.927857__1.927857	40518__R5DR39__mreB_2
ERR1913246.928115__1.928115	216816__A0A2N0SME6__BLIF_1881
ERR1913246.928209__1.928209	1262873__R6WBY4__BN605_01944
ERR1913246.928616__1.928616	40518__R5E304__thiT
ERR1913246.928685__1.928685	1262911__R6H174__BN557_01246
ERR1913246.928821__1.928821	246787__R6K756__HMPREF1062_01819
ERR1913246.929046__1.929046	10678__GeneID:2777431
ERR1913246.929178__1.929178	40518__R5DVV1__RBATCC27255_00999
ERR1913246.929179__1.929179	1262911__R6H074__BN557_00923
ERR1913246.929205__1.929205	1262911__R6HG37__BN557_01341
ERR1913246.929249__1.929249	1262911__R6GKS1__BN557_00184
ERR1913246.929329__1.929329	216816__D6DD25__APC1482_1109
ERR1913246.929365__1.929365	39492__D4JR31__EUBSIR_00106
ERR1913246.929393__1.929393	40518__R5DUG7__sbcC
ERR1913246.929450__1.929450	216816__A0A0A0UDU9__BL1246
ERR1913246.929552__1.929552	1432052__A0A1E3ACI5__BEI64_32415
ERR1913246.929805__1.929805	10678__GeneID:2777452
ERR1913246.929930__1.929930	10678__GeneID:2777471
ERR1913246.930104__1.930104	214856__R5UN64__ERS852447_02669
ERR1913246.930178__1.930178	214856__R6XP73__ERS852447_00886
ERR1913246.930144__1.930144	33039__D4M149__ERS852390_03118
ERR1913246.930163__1.930163	1232426__mfd
ERR1913246.930364__1.930364	1262911__R6GZX7__BN557_00838
ERR1913246.930506__1.930506	10678__GeneID:2777479
ERR1913246.930623__1.930623	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913246.930732__1.930732	357276__A0A0P0M2G3__BACDOR_03913
ERR1913246.930704__1.930704	10678__GeneID:2777494
ERR1913246.930563__1.930563	357276__B6VUQ5__B5F00_10940
ERR1913246.930568__1.930568	10678__GeneID:2777403
ERR1913246.930792__1.930792	47678__R5U8P0__DW706_15950
ERR1913246.930840__1.930840	10678__GeneID:2777481
ERR1913246.930862__1.930862	1531__A0A174HDQ3__HMPREF9467_01916
ERR1913246.931876__1.931876	216816__B7GPE8__I118_0062
ERR1913246.932042__1.932042	1262911__R6GT76__BN557_01150
ERR1913246.932262__1.932262	544644__GCA_001915615.1_01047
ERR1913246.932399__1.932399	216816__D6DCL7__BFS26_02835
ERR1913246.932431__1.932431	1501391__GCA_000786575.1_00081
ERR1913246.932443__1.932443	40518__R5E2F3__artQ
ERR1913246.932587__1.932587	1262911__R6H074__BN557_00923
ERR1913246.932645__1.932645	29361__B6FL62__CLONEX_00858
ERR1913246.932821__1.932821	246787__A0A108T1Y3__fepA_8
ERR1913246.932940__1.932940	216816__C2GW26__chb
ERR1913246.932993__1.932993	1262911__R6GT76__BN557_01150
ERR1913246.933014__1.933014	1099853__R7DCM4__NSB1T_04695
ERR1913246.933105__1.933105	1262911__R6GUQ4__BN557_01581
ERR1913246.933238__1.933238	216816__Q8G464__BFS25_05925
ERR1913246.933463__1.933463	820__A0A173XIP7__B5G17_16050
ERR1913246.933477__1.933477	1262911__R6GSH0__BN557_00934
ERR1913246.933478__1.933478	1550024__G9RWE3__TQ39_04170
ERR1913246.933486__1.933486	216816__A0A2U0BT35__BL1206_1860
ERR1913246.933582__1.933582	216816__C5E9C3__CJO32_03030
ERR1913246.933594__1.933594	357276__A0A076ITU4__EL88_22160
ERR1913246.933617__1.933617	563769__GeneID:6973156
ERR1913246.933669__1.933669	562__P77183__CDL50_13955
ERR1913246.933687__1.933687	10678__GeneID:2777413
ERR1913246.933745__1.933745	10678__GeneID:2777422
ERR1913246.933882__1.933882	10678__GeneID:2777468
ERR1913246.933886__1.933886	1765219__A0A261GBP8__BEUL_0267
ERR1913246.934033__1.934033	216816__B7GP87__HMPREF0177_01055
ERR1913246.934002__1.934002	1965576__A0A1Y4L5L1__B5F19_13760
ERR1913246.934402__1.934402	745368__A0A1T4Y9Q7__SAMN02745178_02874
ERR1913246.934428__1.934428	246787__R6KIG0__BcellWH2_02358
ERR1913246.934495__1.934495	84112__F0HMP2__Elen_3034
ERR1913246.934555__1.934555	214856__R5UN64__ERS852447_02669
ERR1913246.934569__1.934569	100886__E2NNQ5__CATMIT_00187
ERR1913246.934693__1.934693	214856__R6XKW1__ERS852559_01141
ERR1913246.934995__1.934995	214856__I3YPI7__pepD_1
ERR1913246.935577__1.935577	1262911__R6GMH5__BN557_00511
ERR1913246.935629__1.935629	328812__A0A0F5JEK7__ACM15_17805
ERR1913246.935852__1.935852	246787__A0A3D6AXH7__BACCELL_04262
ERR1913246.935935__1.935935	47678__A5ZL09__BACCAC_03608
ERR1913246.936100__1.936100	216816__A0A133L1E2__ptsP
ERR1913246.936103__1.936103	47678__A5ZEA3__ERS852558_00257
ERR1913246.936267__1.936267	820__A0A3E4FWC8__DXC91_14635
ERR1913246.936289__1.936289	214856__A0A174EQR4__rsmA
ERR1913246.936297__1.936297	103807__GeneID:929674
ERR1913246.936444__1.936444	10678__GeneID:2777387
ERR1913246.936456__1.936456	216816__A0A2U0BLP0__tsaB
ERR1913246.936544__1.936544	216816__B7GQM4__BLIC_f01073
ERR1913246.936771__1.936771	328812__A0A0F5JGX7__C803_03618
ERR1913246.936782__1.936782	214856__I3YPP1__Alfi_2699
ERR1913246.936869__1.936869	1262911__R6GZ01__BN557_00641
ERR1913246.936903__1.936903	508460__GCF_000585335.1_00172
ERR1913246.936970__1.936970	823__A0A078TL61__ERS852429_00610
ERR1913246.937183__1.937183	10678__GeneID:2777482
ERR1913246.937228__1.937228	562__P77183__CDL50_13955
ERR1913246.937310__1.937310	1550024__G9RTN6__TQ39_08170
ERR1913246.937336__1.937336	47678__R5U9X5__BACCAC_01339
ERR1913246.937384__1.937384	487175__R5EH71__HMPREF9439_00357
ERR1913246.937593__1.937593	246787__A0A3D6AWJ7__AA416_00506
ERR1913246.937594__1.937594	544644__GCA_001915615.1_01039
ERR1913246.937626__1.937626	487174__K0XL60__DDY40_11760
ERR1913246.937817__1.937817	84030__D4MNX1__B5F06_15415
ERR1913246.937847__1.937847	1262911__R6H074__BN557_00923
ERR1913246.938137__1.938137	10678__GeneID:2777427
ERR1913246.938571__1.938571	214856__R6Y6H8__ERS852447_01719
ERR1913246.938593__1.938593	10678__GeneID:2777481
ERR1913246.938602__1.938602	100886__E2NW10__ERS852383_04483
ERR1913246.938698__1.938698	291645__I8X4G4__HMPREF1068_03645
ERR1913246.938751__1.938751	1965576__A0A1Y4LW31__B5F19_01850
ERR1913246.938811__1.938811	10678__GeneID:2777387
ERR1913246.938885__1.938885	47678__R5U7A9__C5Z00_03635
ERR1913246.938923__1.938923	10678__GeneID:2777494
ERR1913246.939007__1.939007	216816__D6DBD5__DXC32_04335
ERR1913246.939085__1.939085	246787__E2N7F5__AA416_04404
ERR1913246.939153__1.939153	328814__GCA_004558275.1_00066
ERR1913246.939197__1.939197	357276__G5SMD3__BSEG_02959
ERR1913246.939569__1.939569	1472761__GCA_002159295.1_01929
ERR1913246.939647__1.939647	357276__D1JZM4__HMPREF1065_01278
ERR1913246.939752__1.939752	1262911__R6H054__BN557_00908
ERR1913246.939865__1.939865	10678__GeneID:2777424
ERR1913246.940025__1.940025	246787__A0A3D6AWM8__BACCELL_01963
ERR1913246.940047__1.940047	10678__GeneID:2777408
ERR1913246.940178__1.940178	562__P52045__CW278_17595
ERR1913246.940139__1.940139	357276__A0A076IYG1__B5F95_22465
ERR1913246.940473__1.940473	1765219__A0A261GBP8__BEUL_0267
ERR1913246.940629__1.940629	40518__R5E2F3__artQ
ERR1913246.940690__1.940690	10678__GeneID:2777386
ERR1913246.941008__1.941008	1550024__G9RW43__TQ39_06925
