ERR1913280.111__1.111	1262700__R5XM04__BN695_00162
ERR1913280.460558__1.460558	1550024__G9RX78__TQ39_04855
ERR1913280.460597__1.460597	1262700__R5Y8X3__BN695_01271
ERR1913280.460848__1.460848	487174__K0XES7__HMPREF9448_00566
ERR1913280.460900__1.460900	338188__R6RPM1__BACFIN_05401
ERR1913280.460917__1.460917	239935__B2UPZ6__CXU03_03800
ERR1913280.460965__1.460965	28117__B0MTV0__BHV66_06395
ERR1913280.461025__1.461025	40518__R5DLU0__fmt
ERR1913280.461159__1.461159	239935__R6J9Y2__CXT85_07000
ERR1913280.461334__1.461334	821__A0A174NM17__lacZ_6
ERR1913280.461395__1.461395	1263044__GCA_000433375.1_02419
ERR1913280.461611__1.461611	338188__A0A1Q6HJ51__endOF1_2
ERR1913280.461743__1.461743	28117__R7JIJ8__BHV66_01635
ERR1913280.461886__1.461886	1150298__R7JUS7__ytlR
ERR1913280.461994__1.461994	39492__D4JU79__EUBSIR_01975
ERR1913280.462157__1.462157	39492__D4JRV7__EUBSIR_01513
ERR1913280.462284__1.462284	1262736__R5YI45__BN496_00967
ERR1913280.462302__1.462302	360807__A0A173YXM7__RIL183_19241
ERR1913280.462309__1.462309	328814__GCA_004558275.1_00074
ERR1913280.462493__1.462493	239935__A0A139TPG3__CXT86_08810
ERR1913280.462565__1.462565	39492__D4JRM4__tap_5
ERR1913280.463252__1.463252	1262700__R5XTJ6__BN695_00425
ERR1913280.463537__1.463537	820__A7V8C2__ERS852554_01338
ERR1913280.463689__1.463689	39492__D4JUJ6__ssuB_2
ERR1913280.463770__1.463770	1262911__R6GPL1__BN557_00927
ERR1913280.463744__1.463744	357276__I8WEY2__ABI39_04185
ERR1913280.463938__1.463938	1680__A0A0C2YPV2__AL0462_1474
ERR1913280.464078__1.464078	820__A0A374Q4X1__HMPREF2141_02370
ERR1913280.464104__1.464104	674529__A0A174FE49__DXB21_01625
ERR1913280.464138__1.464138	674529__A0A174IB93__SAMN05444400_10956
ERR1913280.464179__1.464179	823__A6LB63__M095_1847
ERR1913280.464201__1.464201	28117__R7JQW0__ALIPUT_01453
ERR1913280.464466__1.464466	28117__R7JIJ8__BHV66_01635
ERR1913280.464492__1.464492	239935__R6JAS2__CXU02_10725
ERR1913280.464615__1.464615	338188__R6SAC6__ERS852397_01653
ERR1913280.464754__1.464754	28117__B0MWP2__ALIPUT_01468
ERR1913280.464835__1.464835	166486__D4L458__ROSINTL182_07088
ERR1913280.464932__1.464932	1262911__R6GTZ4__BN557_01440
ERR1913280.464942__1.464942	820__A0A139KJR5__M093_4469
ERR1913280.464990__1.464990	1262777__R5VV74__BN512_00530
ERR1913280.464996__1.464996	626932__G5H9D2__HMPREF9450_02218
ERR1913280.465185__1.465185	338188__A0A173YWC2__BACFIN_08645
ERR1913280.465213__1.465213	338188__A0A1C7H5S1__HMPREF1057_02183
ERR1913280.465270__1.465270	28117__B0MY40__BHV66_05170
ERR1913280.465327__1.465327	820__A0A174M9V5__M093_0237
ERR1913280.465381__1.465381	820__A0A174FUG6__DXC91_11265
ERR1913280.465544__1.465544	39492__D4JUL4__ERS852540_01381
ERR1913280.465797__1.465797	239935__A0A139TPU7__CXT91_06575
ERR1913280.465780__1.465780	310298__B3JLT1__BACCOP_02878
ERR1913280.465853__1.465853	384638__B7APN3__BACPEC_00639
ERR1913280.465854__1.465854	823__A6L9D3__ERS852560_03374
ERR1913280.466703__1.466703	820__R9HP61__DXC91_01090
ERR1913280.466892__1.466892	39492__D4JTF2__mutS2
ERR1913280.466973__1.466973	301301__A0A395V714__evgS
ERR1913280.467062__1.467062	39491__A0A395ZDC6__addB
ERR1913280.467091__1.467091	39491__A0A396FMF1__EUR_28700
ERR1913280.467124__1.467124	39491__A0A3E4YFT8__DXB69_10940
ERR1913280.467204__1.467204	239935__A0A139TMG9__CXU07_10650
ERR1913280.467336__1.467336	39492__D4JR08__ERS852540_02467
ERR1913280.467340__1.467340	47678__R5USZ3__DXB67_12245
ERR1913280.467409__1.467409	239935__A0A2N8IKW7__pstA
ERR1913280.467635__1.467635	1262700__R5XF05__BN695_01686
ERR1913280.467575__1.467575	1262700__R5Y911__BN695_01316
ERR1913280.467704__1.467704	239935__A0A2N8HBM4__CXT85_06270
ERR1913280.467762__1.467762	39492__D4JTW7__EUBSIR_00859
ERR1913280.467884__1.467884	1262911__R6H0U7__BN557_01104
ERR1913280.468090__1.468090	487174__R5EXS5__HMPREF9448_02541
ERR1913280.468155__1.468155	301301__A0A395V9A0__RHOM_08800
ERR1913280.468466__1.468466	166486__D4KXJ6__ERS852572_00336
ERR1913280.468521__1.468521	1150298__R7JRU1__degA_3
ERR1913280.468523__1.468523	1160721__R6TH97__BHW50_04165
ERR1913280.468907__1.468907	310298__B3JFI7__BACCOP_00636
ERR1913280.468961__1.468961	1897011__A0A1Q6REX8__BHW41_04475
ERR1913280.468983__1.468983	1262911__R6H1M1__BN557_00925
ERR1913280.469028__1.469028	1262889__R7HBS9__BN634_01225
ERR1913280.469163__1.469163	357276__E5UTL1__HMPREF1065_03551
ERR1913280.469231__1.469231	28117__R7JH62__BHV66_05735
ERR1913280.469353__1.469353	387090__S0FCI9__BACCOPRO_03388
ERR1913280.469447__1.469447	1235793__R9KSF0__C809_01679
ERR1913280.469989__1.469989	1262736__R5YX38__BN496_01145
ERR1913280.470022__1.470022	239935__A0A3F3KBB8__CXU16_06755
ERR1913280.470086__1.470086	674529__R6V0V1__DXB21_06395
ERR1913280.470395__1.470395	360807__A0A396AIV6__RIL183_05461
ERR1913280.470428__1.470428	357276__A0A076ITU4__EL88_22160
ERR1913280.470499__1.470499	1263107__GCA_000436995.1_00177
ERR1913280.470521__1.470521	166486__D4KZ24__ROSINTL182_05766
ERR1913280.470889__1.470889	239935__A0A2N8IEP3__CXT84_03735
ERR1913280.471151__1.471151	28117__B0N007__BHV66_10275
ERR1913280.471165__1.471165	28117__R7JPX7__BHV66_00900
ERR1913280.471218__1.471218	40518__R5DYT8__mscS
ERR1913280.471225__1.471225	239935__A0A2N8HT68__ADH72_00510
ERR1913280.471264__1.471264	820__R9I3N4__M093_0061
ERR1913280.471561__1.471561	40518__R5DUG7__sbcC
ERR1913280.471759__1.471759	820__R9I3N4__M093_0061
ERR1913280.472139__1.472139	39491__A0A396FUZ3__phoR_1
ERR1913280.472354__1.472354	47678__A5ZHJ2__DXB67_12405
ERR1913280.472362__1.472362	39492__D4JWL2__ERS852540_01201
ERR1913280.472470__1.472470	39492__D4JTF2__mutS2
ERR1913280.472582__1.472582	28117__R7JN92__BHV66_00550
ERR1913280.472585__1.472585	1262700__R5XCA0__BN695_00029
ERR1913280.472599__1.472599	239935__A0A2N8HTZ8__CXU09_01270
ERR1913280.472609__1.472609	626929__F3PGX9__HMPREF9445_01323
ERR1913280.472752__1.472752	394340__tyrS
ERR1913280.472821__1.472821	820__R9I324__HMPREF2141_02414
ERR1913280.473002__1.473002	39492__R6SPM9__pheT
ERR1913280.473020__1.473020	820__A0A174DZ97__SAMN05444418_101240
ERR1913280.473077__1.473077	1262911__R6GMK4__BN557_00535
ERR1913280.473155__1.473155	820__A0A3E5BMG9__DXD40_05130
ERR1913280.473194__1.473194	239935__A0A2N8HBM4__CXT85_06270
ERR1913280.473258__1.473258	239935__A0A2N8IUQ8__CXU09_01665
ERR1913280.473274__1.473274	823__A0A395YXR9__M091_4086
ERR1913280.473493__1.473493	1150298__A0A174HHW8__yhbU_1
ERR1913280.473578__1.473578	39492__D4JSS2__EUBSIR_00553
ERR1913280.473593__1.473593	820__R9I3Q7__HMPREF1072_01668
ERR1913280.473854__1.473854	1262889__R7HCF8__BN634_00395
ERR1913280.473885__1.473885	39491__A0A173TM76__DXB72_10535
ERR1913280.473971__1.473971	239935__A0A139TPU7__CXT91_06575
ERR1913280.474240__1.474240	28117__R7JIJ8__BHV66_01635
ERR1913280.474485__1.474485	1681__A0A2U0BVI9__DD686_07310
ERR1913280.474420__1.474420	28117__B0MY40__BHV66_05170
ERR1913280.474450__1.474450	1263000__R5EKG2__BN466_02040
ERR1913280.474462__1.474462	1150298__A0A174DQP3__rpe_2
ERR1913280.474630__1.474630	820__A0A173WUD7__DXB48_08055
ERR1913280.474852__1.474852	487174__K0X2W8__HMPREF9448_02611
ERR1913280.474936__1.474936	39491__A0A395UZ82__EUR_31520
ERR1913280.475145__1.475145	338188__A0A1C7H5S1__HMPREF1057_02183
ERR1913280.475305__1.475305	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913280.475397__1.475397	28117__B0MVL2__BHV66_01645
ERR1913280.475486__1.475486	78258__I8UNL8__A200_03389
ERR1913280.475446__1.475446	239935__A0A139TPU7__CXT91_06575
ERR1913280.475521__1.475521	1262911__R6H1D2__BN557_00855
ERR1913280.475574__1.475574	820__A0A139KH21__DXC80_01780
ERR1913280.475846__1.475846	1262911__R6GR13__BN557_00618
ERR1913280.476302__1.476302	820__A0A139JRS5__HMPREF1073_04025
ERR1913280.476381__1.476381	820__A0A3E4RUC4__DHU98_02635
ERR1913280.476645__1.476645	357276__I9R994__BACDOR_04044
ERR1913280.476977__1.476977	301301__G2SZK8__ERS852391_00581
ERR1913280.477178__1.477178	410072__A0A174E1G6__phoR_6
ERR1913280.477207__1.477207	1262889__R7HDN9__BN634_01543
ERR1913280.477234__1.477234	1262911__R6GLG2__BN557_01501
ERR1913280.477295__1.477295	1262736__R5YZ74__BN496_01798
ERR1913280.477308__1.477308	74426__nifJ
ERR1913280.477460__1.477460	301301__A0A395V4S5__RHOM_15770
ERR1913280.477529__1.477529	1262700__R5Y7V8__BN695_00991
ERR1913280.477938__1.477938	39492__D4JVG1__ERS852540_00951
ERR1913280.478285__1.478285	944036__A0A196SHG2__AV274_2891
ERR1913280.478412__1.478412	239935__A0A2N8IMD6__CXU03_05585
ERR1913280.478557__1.478557	487174__K0X773__DIT83_07170
ERR1913280.478606__1.478606	360807__C0FSM3__ROSEINA2194_01739
ERR1913280.478616__1.478616	39491__C4ZF05__vpr
ERR1913280.478781__1.478781	28117__B0MY41__BHV66_05165
ERR1913280.478927__1.478927	458033__GCA_001482755.1_02203
ERR1913280.479347__1.479347	820__A0A174CK74__DXB48_07060
ERR1913280.479390__1.479390	1262889__R7HCF6__BN634_01122
ERR1913280.479459__1.479459	166486__D4KWZ7__cph2_5
ERR1913280.479566__1.479566	820__A0A139KA34__B5G17_05520
ERR1913280.479509__1.479509	674529__R6VF01__DXB21_13480
ERR1913280.479795__1.479795	47678__A5ZEP5__CGC64_03450
ERR1913280.480306__1.480306	357276__C3RA36__HMPREF1065_03270
ERR1913280.480459__1.480459	820__A0A3E4WA06__ERS852554_03404
ERR1913280.480526__1.480526	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913280.480585__1.480585	1150298__R7JUV3__yfnB
ERR1913280.480695__1.480695	338188__A0A174FBN4__BACFIN_09139
ERR1913280.480761__1.480761	820__A0A3E4G3J9__ERS852459_02265
ERR1913280.481018__1.481018	39491__A0A395ZBW8__DXC13_08840
ERR1913280.481324__1.481324	1262889__R7HAY6__BN634_02225
ERR1913280.481699__1.481699	239935__A0A139TSG7__CXU17_09600
ERR1913280.481829__1.481829	39491__A0A396FRK0__ERS852417_00541
ERR1913280.481964__1.481964	1262889__R7HCR1__BN634_01576
ERR1913280.482037__1.482037	39491__A0A396FIZ8__ERE_20410
ERR1913280.482038__1.482038	1262700__R5Y7Q5__BN695_00931
ERR1913280.482106__1.482106	239935__A0A2N8J2P6__ADH72_06730
ERR1913280.482175__1.482175	820__A0A174TRB5__DXD40_11305
ERR1913280.482268__1.482268	1897011__A0A1Q6RCX0__BHW41_05880
ERR1913280.482299__1.482299	1263044__GCA_000433375.1_01861
ERR1913280.482306__1.482306	820__A0A374Q351__DXD40_05850
ERR1913280.482380__1.482380	820__A0A078S4C2__ERS417307_00828
ERR1913280.482541__1.482541	820__A0A139K426__B5G17_09115
ERR1913280.482670__1.482670	261299__W1URY6__ERS852493_01464
ERR1913280.482880__1.482880	552398__F4XHU2__HMPREF0866_03196
ERR1913280.482863__1.482863	29466__D1BN72__HMPREF9323_0813
ERR1913280.482923__1.482923	246787__A0A0P0GNX3__BACCELL_00807
ERR1913280.482966__1.482966	338188__R6RSY7__ERS852397_02418
ERR1913280.483024__1.483024	33039__A0A173VTT4__frdB_1
ERR1913280.483028__1.483028	328814__GCA_004558275.1_00990
ERR1913280.483061__1.483061	39492__B0MM84__lgt
ERR1913280.483176__1.483176	239935__A0A2N8HZW2__A4V05_11120
ERR1913280.483322__1.483322	39491__A0A395V464__EUBREC_1509
ERR1913280.483334__1.483334	2108523__A0A2P2F472__LAWASA_799
ERR1913280.483456__1.483456	820__A0A374Q351__DXD40_05850
ERR1913280.483680__1.483680	1263000__R5EXT3__BN466_02213
ERR1913280.483659__1.483659	1263044__GCA_000433375.1_01145
ERR1913280.483773__1.483773	39491__A0A396FGM9__fliU_1
ERR1913280.483866__1.483866	1263044__GCA_000433375.1_01861
ERR1913280.484003__1.484003	338188__A0A174FX32__BACFIN_08981
ERR1913280.484050__1.484050	820__A7VAR9__ERS852421_00197
ERR1913280.484245__1.484245	387090__S0F7Y3__BACCOPRO_02028
ERR1913280.484323__1.484323	1262889__R7HBH6__BN634_02400
ERR1913280.484482__1.484482	39492__D4JU31__ERS852540_00198
ERR1913280.484537__1.484537	239935__R6J776__CXU07_02355
ERR1913280.484563__1.484563	853__A0A2A6Z8X1__FPR_03410
ERR1913280.484634__1.484634	338188__A0A174FBN4__BACFIN_09139
ERR1913280.484840__1.484840	2173__A0A1D2WSY4__METSMIF1_03317
ERR1913280.484834__1.484834	1262700__R5Y9F5__BN695_01481
ERR1913280.484882__1.484882	39492__D4JR58__EUBSIR_02090
ERR1913280.484941__1.484941	39492__D4MIK7__EUBSIR_00676
ERR1913280.485084__1.485084	239935__A0A2N8I5H6__CXT92_05565
ERR1913280.485058__1.485058	39492__D4JWI6__EUBSIR_01073
ERR1913280.485096__1.485096	823__A0A174PAQ4__ERS852429_04218
ERR1913280.485217__1.485217	239935__A0A2N8IHY1__CXU06_00035
ERR1913280.485239__1.485239	360807__A0A0M6WC24__ERS852444_00338
ERR1913280.485201__1.485201	1150298__A0A174PHI0__ERS852498_00826
ERR1913280.485287__1.485287	820__A0A139KA34__B5G17_05520
ERR1913280.485531__1.485531	821__A0A3E4KIM1__M097_3660
ERR1913280.485642__1.485642	46503__R6X1R0__ERS852463_00596
ERR1913280.485835__1.485835	239935__A0A2N8I3G2__CXT89_00720
ERR1913280.485924__1.485924	28117__B0MT84__ALIPUT_00402
ERR1913280.486058__1.486058	626929__R6LKK1__B5F24_07400
ERR1913280.486031__1.486031	1897011__A0A1Q6RCX0__BHW41_05880
ERR1913280.486249__1.486249	47678__R5UZR6__HMPREF1061_03971
ERR1913280.486259__1.486259	487174__K0X1V7__DIT83_03020
ERR1913280.486270__1.486270	1681__E3EQP9__DXD45_08580
ERR1913280.486484__1.486484	1160721__R6THG6__RBI_I00012
ERR1913280.486516__1.486516	39492__R6RYB8__ERS852540_00322
ERR1913280.486566__1.486566	1681__K2IQE2__uvrD
ERR1913280.486942__1.486942	1262889__R7HCV1__BN634_01227
ERR1913280.487169__1.487169	28117__B0MTI4__ALIPUT_00084
ERR1913280.487177__1.487177	47678__R5U9Z0__HMPREF1061_03210
ERR1913280.487532__1.487532	487174__K0X3A6__HMPREF9448_02725
ERR1913280.487778__1.487778	820__R9I2U8__DXC68_09590
ERR1913280.487808__1.487808	28118__F9ZCN9__DHW44_07820
ERR1913280.487849__1.487849	39485__A0A174YXK1__ERS852490_01547
ERR1913280.487857__1.487857	1263044__GCA_000433375.1_01439
ERR1913280.488220__1.488220	239935__A0A2N8I3G2__CXT89_00720
ERR1913280.488376__1.488376	1262777__R5VQJ8__BN512_00852
ERR1913280.488425__1.488425	357276__A0A076IP73__BACDOR_04237
ERR1913280.488521__1.488521	239935__A0A2N8HT44__CXT84_11035
ERR1913280.488529__1.488529	28117__B0MVL5__BHV66_01660
ERR1913280.488595__1.488595	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913280.488740__1.488740	1550024__G9RXB5__TQ39_17835
ERR1913280.488851__1.488851	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913280.488984__1.488984	1150298__A0A174J629__ERS852498_00833
ERR1913280.489056__1.489056	338188__A0A174GWW7__ERS852397_02491
ERR1913280.489064__1.489064	239935__A0A2N8IVR0__CXT87_07115
ERR1913280.489229__1.489229	166486__D4KNM9__ERS852572_00072
ERR1913280.489396__1.489396	458033__GCA_001482755.1_02203
ERR1913280.489587__1.489587	338188__R6S6X5__BACFIN_08521
ERR1913280.489883__1.489883	239935__R6JAS2__CXU02_10725
ERR1913280.489895__1.489895	1262911__R6H074__BN557_00923
ERR1913280.489950__1.489950	820__A0A374Q8T2__DXB64_16190
ERR1913280.490096__1.490096	39491__D4JM76__DXC13_02150
ERR1913280.490099__1.490099	310298__B3JQJ5__BACCOP_04231
ERR1913280.490073__1.490073	40518__R5DX17__DXD86_01230
ERR1913280.490186__1.490186	674529__A0A174HPT9__SAMN05444400_11358
ERR1913280.490245__1.490245	61171__B9YAI1__HOLDEFILI_02838
ERR1913280.490512__1.490512	820__R7E9Z4__DXC68_06065
ERR1913280.490826__1.490826	360807__A0A0M6X1Y4__ROSEINA2194_02133
ERR1913280.490834__1.490834	823__A0A355XKR1__DHP27_04035
ERR1913280.490917__1.490917	28117__B0MXG8__ALIPUT_01814
ERR1913280.490921__1.490921	1608898__A0A369Z0K6__HMPREF3279_03925
ERR1913280.491065__1.491065	239935__A0A2N8I375__menA
ERR1913280.491092__1.491092	1160721__R6T8U0__atpF
ERR1913280.491164__1.491164	1160721__R6U304__BHW50_05725
ERR1913280.491329__1.491329	1262911__R6H1K1__BN557_00910
ERR1913280.491503__1.491503	820__A0A3E4G8F8__ERS852421_01645
ERR1913280.491604__1.491604	823__A0A174GGT1__queG
ERR1913280.491635__1.491635	28117__R7JLL3__ALIPUT_02219
ERR1913280.491710__1.491710	1262700__R5XDY1__BN695_01269
ERR1913280.491763__1.491763	487174__K0X250__DDY40_03675
ERR1913280.491978__1.491978	1262889__R7HF34__BN634_01261
ERR1913280.491996__1.491996	360807__A0A173WJE3__mcp4_4
ERR1913280.492141__1.492141	1262700__R5XDF3__BN695_01151
ERR1913280.492585__1.492585	1299998__GCA_001494635.1_00484
ERR1913280.492600__1.492600	239935__A0A2N8IUW6__Amuc_1525
ERR1913280.492738__1.492738	1263044__GCA_000433375.1_00678
ERR1913280.492790__1.492790	357276__B6W1J2__BACDOR_03380
ERR1913280.492798__1.492798	820__A0A078S569__gmhB
ERR1913280.492820__1.492820	1262889__R7H9M3__BN634_00850
ERR1913280.492846__1.492846	820__A0A3E4VXP2__yesR
ERR1913280.493117__1.493117	239935__A0A2N8IYM5__CXT84_05130
ERR1913280.493316__1.493316	166486__D4KUE4__ROSINTL182_08606
ERR1913280.493452__1.493452	47678__R5V127__HMPREF1061_04334
ERR1913280.493462__1.493462	39491__A0A174LTW7__DXD13_08720
ERR1913280.493570__1.493570	360807__C0FYL6__ROSEINA2194_03855
ERR1913280.493664__1.493664	820__A0A374QGD2__ERS852421_02382
ERR1913280.493728__1.493728	338188__A0A173WKZ0__BACFIN_07292
ERR1913280.493731__1.493731	823__A0A173V751__DXD05_02690
ERR1913280.493765__1.493765	487174__K0WXG8__DIT83_09300
ERR1913280.493823__1.493823	239935__A0A3F3K9J9__DEF40_00940
ERR1913280.493844__1.493844	39492__D4JX50__EUBSIR_00410
ERR1913280.493982__1.493982	239935__A0A3F3K9J9__DEF40_00940
ERR1913280.494027__1.494027	1262700__R5XK32__BN695_00091
ERR1913280.494129__1.494129	28117__B0MWP2__ALIPUT_01468
ERR1913280.494115__1.494115	338188__A0A174ETX3__ERS852397_01955
ERR1913280.494186__1.494186	39491__A0A395ZHW9__DXC13_02590
ERR1913280.494238__1.494238	820__A0A3E4RU03__M093_0563
ERR1913280.494280__1.494280	39492__R6RYB8__ERS852540_00322
ERR1913280.494437__1.494437	2173__A0A1D2WRQ9__METSMIF1_03320
ERR1913280.494458__1.494458	166486__D4KWN4__ERS852572_01865
ERR1913280.495007__1.495007	239935__A0A139TMG9__CXU07_10650
ERR1913280.495015__1.495015	301301__A0A395V8E1__RHOM_11160
ERR1913280.495267__1.495267	820__A0A396CMY7__HMPREF1072_03009
ERR1913280.495772__1.495772	39491__C4ZAT2__ERE_28440
ERR1913280.495827__1.495827	33025__A0A395JEP7__C8D73_10844
ERR1913280.495833__1.495833	563769__GeneID:6973157
ERR1913280.495836__1.495836	28117__B0MY34__BHV66_05195
ERR1913280.495797__1.495797	387090__S0FCS1__BACCOPRO_01688
ERR1913280.495981__1.495981	360807__A0A173ZAC7__ROSEINA2194_01522
ERR1913280.496421__1.496421	338188__C9KT47__BACFIN_05483
ERR1913280.496646__1.496646	357276__B6W5Q9__HMPREF1063_03125
ERR1913280.496704__1.496704	1262911__R6HN81__BN557_00921
ERR1913280.496872__1.496872	823__A0A355XF06__B5F32_11480
ERR1913280.496906__1.496906	239935__A0A2N8HHB6__B5G29_11500
ERR1913280.496923__1.496923	239935__A0A2N8I3Z7__CXU05_10555
ERR1913280.496885__1.496885	820__A0A173W419__DXC68_17760
ERR1913280.497224__1.497224	239935__A0A2N8IKW7__pstA
ERR1913280.497675__1.497675	820__A0A3E4G3J9__ERS852459_02265
ERR1913280.497710__1.497710	944036__A0A196SKV5__AV274_0621
ERR1913280.497646__1.497646	360807__C0FVL1__ERS852392_00394
ERR1913280.497988__1.497988	39492__D4JR08__ERS852540_02467
ERR1913280.498007__1.498007	556259__I0PXW0__BSGG_5187
ERR1913280.497951__1.497951	357276__I9FRW5__B5F95_21685
ERR1913280.498288__1.498288	820__A0A139KJR5__M093_4469
ERR1913280.498297__1.498297	29466__D1BQH6__Vpar_0100
ERR1913280.498442__1.498442	39492__D4MIK7__EUBSIR_00676
ERR1913280.498537__1.498537	820__A0A174F0C1__nreB
ERR1913280.498932__1.498932	1262700__R5XUF1__BN695_00765
ERR1913280.498955__1.498955	357276__A0A076ISJ4__B5F95_19420
ERR1913280.498971__1.498971	1150298__A0A173ZI89__ERS852498_03535
ERR1913280.499038__1.499038	338188__C9L0Q9__HMPREF1057_02408
ERR1913280.499240__1.499240	1262911__R6GP42__BN557_00222
ERR1913280.499316__1.499316	1262700__R5XDY1__BN695_01269
ERR1913280.499699__1.499699	338188__A0A174FPA3__BACFIN_06857
ERR1913280.499738__1.499738	823__A0A073I9P2__CF162_18000
ERR1913280.499848__1.499848	820__A0A174F0C1__nreB
ERR1913280.499886__1.499886	1150298__A0A174QS63__ERS852406_03087
ERR1913280.499892__1.499892	487174__K0XK83__HMPREF9448_01485
ERR1913280.499972__1.499972	28117__B0MWP2__ALIPUT_01468
ERR1913280.500330__1.500330	357276__I8WPR6__EL88_06675
ERR1913280.500361__1.500361	487174__K0XKD7__HMPREF9448_01550
ERR1913280.500470__1.500470	47678__R5UAY9__DW706_07200
ERR1913280.500521__1.500521	674529__R6V9C9__DXB21_16435
ERR1913280.500425__1.500425	823__A6LBY1__ERS852380_00510
ERR1913280.500610__1.500610	820__A0A173W419__DXC68_17760
ERR1913280.500621__1.500621	820__A0A174G065__DXB62_08975
ERR1913280.500744__1.500744	28117__B0MWH8__BHV66_01330
ERR1913280.500845__1.500845	328814__GCA_004558275.1_00033
ERR1913280.500966__1.500966	338188__R6RY36__BACFIN_08642
ERR1913280.501169__1.501169	239935__A0A2N8ITW6__CXT91_06265
ERR1913280.501248__1.501248	28117__B0MTW8__ALIPUT_00502
ERR1913280.501280__1.501280	39492__D4JR58__EUBSIR_02090
ERR1913280.501347__1.501347	28117__R7JG17__ALIPUT_01859
ERR1913280.501542__1.501542	820__A0A3E5E0T0__ERS852554_00312
ERR1913280.501830__1.501830	216816__D6ZXD1__APC1461_0104
ERR1913280.501866__1.501866	39485__A0A174ZG70__ERS852492_00929
ERR1913280.501964__1.501964	39491__A0A396FFW0__ERE_10580
ERR1913280.502090__1.502090	820__A7VAR9__ERS852421_00197
ERR1913280.502147__1.502147	39492__D4JUN0__EUBSIR_02705
ERR1913280.502525__1.502525	239935__A0A2N8HDT1__CXT94_05270
ERR1913280.502645__1.502645	820__A0A139KG04__ERS852459_01249
ERR1913280.502745__1.502745	1262911__R6H1B2__BN557_00840
ERR1913280.502716__1.502716	35833__E5Y2V2__HMPREF0179_00466
ERR1913280.502890__1.502890	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913280.502971__1.502971	1796613__A0A1C7GYD6__A4V03_03700
ERR1913280.503056__1.503056	1262743__R5C054__BN727_01980
ERR1913280.503160__1.503160	39492__D4JWG6__EUBSIR_00253
ERR1913280.503203__1.503203	33025__A0A395JBB5__C8D73_107104
ERR1913280.503238__1.503238	310298__B3JLT9__BACCOP_02886
ERR1913280.503402__1.503402	39492__D4JVG1__ERS852540_00951
ERR1913280.503675__1.503675	28117__B0MWC6__BHV66_00965
ERR1913280.503816__1.503816	1263044__GCA_000433375.1_03022
ERR1913280.503993__1.503993	1262700__R5XA62__BN695_00032
ERR1913280.504149__1.504149	39492__D4JUT9__ERS852540_01449
ERR1913280.504197__1.504197	1263044__GCA_000433375.1_02753
ERR1913280.504278__1.504278	1262700__R5XLA2__BN695_01463
ERR1913280.504322__1.504322	239935__A0A2N8I1R3__CXU05_06075
ERR1913280.504323__1.504323	239935__A0A2N8HL14__CXT98_09285
ERR1913280.505015__1.505015	28117__B0MXX3__BHV66_07695
ERR1913280.505072__1.505072	28117__B0MST6__BHV66_06090
ERR1913280.505224__1.505224	310297__B5CUD7__BHV76_11070
ERR1913280.505367__1.505367	239935__A0A2N8HT44__CXT84_11035
ERR1913280.505377__1.505377	1263044__GCA_000433375.1_03404
ERR1913280.505471__1.505471	39492__D4MJF3__EUBSIR_02248
ERR1913280.505647__1.505647	239935__A0A139TPD4__CXT86_06450
ERR1913280.505671__1.505671	338188__R6SVZ5__ERS852397_02415
ERR1913280.505852__1.505852	1262911__R6GPI7__BN557_00907
ERR1913280.505853__1.505853	1262911__R6GPI7__BN557_00907
ERR1913280.505918__1.505918	47678__R5U7U0__DW706_12005
ERR1913280.506054__1.506054	1683__C4FCZ1__BIANG_1451
ERR1913280.506057__1.506057	39492__D4JSA4__ERS852540_00596
ERR1913280.506113__1.506113	1680__A0A0B5BL52__ERS852382_00480
ERR1913280.506221__1.506221	357276__A0A076IRX7__HMPREF1064_00526
ERR1913280.506189__1.506189	820__A0A139KH21__DXC80_01780
ERR1913280.506318__1.506318	39485__A0A1Q6PHD7__ERS852492_01801
ERR1913280.506494__1.506494	820__A0A174GYA8__DXB64_07370
ERR1913280.506502__1.506502	246787__R6LCC2__BACCELL_00607
ERR1913280.506571__1.506571	47678__R5U8D1__CGC64_17595
ERR1913280.506620__1.506620	33025__A0A395JEP7__C8D73_10844
ERR1913280.506667__1.506667	239935__A0A2N8J1K0__CXT97_05765
ERR1913280.506705__1.506705	820__R9HUV5__HMPREF2141_02582
ERR1913280.507037__1.507037	301301__G2SX14__RHOM_09085
ERR1913280.507137__1.507137	706562__GCA_900112995.1_00569
ERR1913280.507114__1.507114	1263000__R5EXT3__BN466_02213
ERR1913280.507116__1.507116	360807__C0FSM3__ROSEINA2194_01739
ERR1913280.507243__1.507243	820__A0A139JRH8__HMPREF2141_04326
ERR1913280.507319__1.507319	46503__R6WTW1__NCTC13052_03440
ERR1913280.507429__1.507429	28116__C3QZB5__M088_3811
ERR1913280.507491__1.507491	357276__A0A0K2HMX2__HMPREF1063_03979
ERR1913280.507668__1.507668	239935__A0A2N8I3Z7__CXU05_10555
ERR1913280.507762__1.507762	310297__B5D214__DXD04_07920
