ERR1913060.366__1.366	1262930__R6ACJ7__BN693_00131
ERR1913060.2138299__1.2138299	310298__B3JNR4__BACCOP_03579
ERR1913060.2138351__1.2138351	823__D7IT19__DHP27_03495
ERR1913060.2138381__1.2138381	820__I9J701__ERS852510_01809
ERR1913060.2138494__1.2138494	1262948__R7EBD6__BN671_01768
ERR1913060.2138537__1.2138537	166486__D4L301__ROSINTL182_06234
ERR1913060.2138584__1.2138584	28052__A0A174KY39__ERS852451_01894
ERR1913060.2138720__1.2138720	310298__B3JFK6__BACCOP_00656
ERR1913060.2138771__1.2138771	88431__A0A3D0EZN6__DORLON_02944
ERR1913060.2138875__1.2138875	820__A0A3E4GA19__SAMN05444418_10562
ERR1913060.2138900__1.2138900	301301__A0A173ZW33__RHOM_02600
ERR1913060.2138965__1.2138965	1680__A0A087DHN0__AL0462_1532
ERR1913060.2138934__1.2138934	2293125__A0A374BSW4__DW917_13420
ERR1913060.2139112__1.2139112	410072__C0B9A6__yvhJ
ERR1913060.2139244__1.2139244	33025__A0A395J947__C8D73_11315
ERR1913060.2139272__1.2139272	820__A0A3E4RU03__M093_0563
ERR1913060.2139436__1.2139436	310298__B3JQJ5__BACCOP_04231
ERR1913060.2139465__1.2139465	853__A0A2A6Z8X1__FPR_03410
ERR1913060.2139625__1.2139625	1262930__R6A775__BN693_00822
ERR1913060.2139649__1.2139649	310298__B3JNG7__BACCOP_03480
ERR1913060.2139669__1.2139669	310298__B3JMG0__BACCOP_03099
ERR1913060.2139853__1.2139853	46503__R5DLM3__HMPREF1078_03417
ERR1913060.2139867__1.2139867	2293125__A0A374BUM7__DW917_12980
ERR1913060.2139871__1.2139871	166486__D4L301__ROSINTL182_06234
ERR1913060.2139906__1.2139906	310298__B3JGJ2__BACCOP_00994
ERR1913060.2140053__1.2140053	28116__A0A078Q1V5__SAMN05444282_12168
ERR1913060.2140067__1.2140067	1262911__R6GPC5__BN557_00852
ERR1913060.2140180__1.2140180	165179__A0A174SA26__PREVCOP_05758
ERR1913060.2140255__1.2140255	88431__A6BIP6__DXB16_05510
ERR1913060.2140256__1.2140256	2293125__A0A374BUM7__DW917_12980
ERR1913060.2140308__1.2140308	2293125__A0A374BUM7__DW917_12980
ERR1913060.2140333__1.2140333	2293125__A0A374BUM7__DW917_12980
ERR1913060.2140420__1.2140420	418240__A0A174EIE7__pknG
ERR1913060.2140436__1.2140436	28132__D9RV83__HMPREF0660_00835
ERR1913060.2140496__1.2140496	1099853__G9S6Y8__NSB1T_06345
ERR1913060.2140579__1.2140579	1685__W6EXB4__B31L_1221
ERR1913060.2140722__1.2140722	357276__A0A076IS26__EL88_15950
ERR1913060.2140766__1.2140766	544644__GCA_001915615.1_02266
ERR1913060.2141264__1.2141264	544644__GCA_001915615.1_01910
ERR1913060.2141314__1.2141314	487174__K0X4F7__DDY40_08055
ERR1913060.2141348__1.2141348	1735__B7CC21__EUBIFOR_01746
ERR1913060.2141368__1.2141368	820__A0A173YYG4__evgS_3
ERR1913060.2141566__1.2141566	166486__C7GAX1__ERS852572_03188
ERR1913060.2141790__1.2141790	310298__B3JQJ5__BACCOP_04231
ERR1913060.2141940__1.2141940	165179__A0A3E5EAM5__DXC61_07785
ERR1913060.2142072__1.2142072	823__A0A355XH29__lolE_1
ERR1913060.2142091__1.2142091	310298__B3JQJ5__BACCOP_04231
ERR1913060.2142160__1.2142160	357276__A0A076IS46__BACDOR_03265
ERR1913060.2142201__1.2142201	820__A0A139K4W1__M093_0353
ERR1913060.2142206__1.2142206	166486__D4L457__ROSINTL182_07087
ERR1913060.2142312__1.2142312	310298__B3JNH4__BACCOP_03487
ERR1913060.2142340__1.2142340	166486__A0A173VSA0__ROSINTL182_06124
ERR1913060.2142453__1.2142453	487174__K0WYI1__DDY40_08675
ERR1913060.2142482__1.2142482	338188__A0A174ETX3__ERS852397_01955
ERR1913060.2142648__1.2142648	2293125__A0A374BUM7__DW917_12980
ERR1913060.2142670__1.2142670	166486__R6B4E4__sinR_2
ERR1913060.2142698__1.2142698	39491__A0A396FKG5__DXB76_07455
ERR1913060.2142978__1.2142978	823__A0A078TE44__DD466_14830
ERR1913060.2143066__1.2143066	1099853__G9S4Z9__NSB1T_00210
ERR1913060.2143127__1.2143127	1262930__R6AF63__BN693_02166
ERR1913060.2143138__1.2143138	166486__D4KUK5__thiM
ERR1913060.2143221__1.2143221	28118__R6F984__B5F93_04540
ERR1913060.2143179__1.2143179	46506__A0A108TAK3__fepA_3
ERR1913060.2143245__1.2143245	46503__R6WWC9__PARMER_03215
ERR1913060.2143310__1.2143310	853__A0A2A7A4A9__C4N21_14870
ERR1913060.2143377__1.2143377	46503__K5ZK07__PARMER_03787
ERR1913060.2143956__1.2143956	1262924__R7HTA4__BN585_00391
ERR1913060.2144099__1.2144099	1628085__A0A1C6CQE7__C7386_12126
ERR1913060.2144167__1.2144167	165179__A0A229I7F5__DXB80_02650
ERR1913060.2144275__1.2144275	166486__D4L0Q4__ERS852572_03675
ERR1913060.2144277__1.2144277	2293125__A0A374BV30__DW917_13395
ERR1913060.2144571__1.2144571	88431__A0A174NWK4__DORLON_02346
ERR1913060.2144601__1.2144601	853__A0A2A7B1Y7__C7K05_11930
ERR1913060.2145060__1.2145060	821__A0A396F1N0__M099_1553
ERR1913060.2145119__1.2145119	28118__R6FBE6__DHW44_11635
ERR1913060.2145181__1.2145181	410072__A0A174ND44__ERS852389_01731
ERR1913060.2145280__1.2145280	166486__D4KRN9__ERS852572_01822
ERR1913060.2145305__1.2145305	360807__A0A174EVF2__RIL183_27331
ERR1913060.2145329__1.2145329	166486__A0A173VSP1__ERS852572_03465
ERR1913060.2145332__1.2145332	165179__D1PHC0__PREVCOP_06640
ERR1913060.2145339__1.2145339	821__A0A3E4WAR6__DXD64_10735
ERR1913060.2145380__1.2145380	410072__A0A174D6E7__ERS852574_01257
ERR1913060.2145359__1.2145359	410072__A0A174B9D6__COPCOM_00384
ERR1913060.2145367__1.2145367	310298__B3JI31__BACCOP_01543
ERR1913060.2145780__1.2145780	29361__B6FRT6__CLONEX_02860
ERR1913060.2145896__1.2145896	39488__A0A285PT56__ERS852450_02640
ERR1913060.2145933__1.2145933	1262924__R7HP98__BN585_02065
ERR1913060.2146103__1.2146103	1262930__R6A3C4__BN693_01255
ERR1913060.2146279__1.2146279	371601__A0A139LNL6__ERS852396_04350
ERR1913060.2146331__1.2146331	626933__H1DGX0__HMPREF9449_01506
ERR1913060.2146409__1.2146409	165179__D1PHC0__PREVCOP_06640
ERR1913060.2146439__1.2146439	166486__C7GFD3__ERS852572_00983
ERR1913060.2146458__1.2146458	39488__A0A285PUH7__ERS852450_00520
ERR1913060.2146555__1.2146555	820__A0A396EUU8__luxQ_3
ERR1913060.2146557__1.2146557	818__A0A139KMR0__Btheta7330_03958
ERR1913060.2146570__1.2146570	39488__C0EVS1__ERS852450_02297
ERR1913060.2146611__1.2146611	821__A0A174WBC9__ERS852556_03145
ERR1913060.2147047__1.2147047	165179__D1PGU8__PREVCOP_06463
ERR1913060.2147104__1.2147104	28116__A7LYG5__M089_5828
ERR1913060.2147191__1.2147191	28111__R5K222__bglX_7
ERR1913060.2147275__1.2147275	487174__K0WZU7__HMPREF9448_01154
ERR1913060.2147330__1.2147330	357276__I9RAC4__BSEG_00561
ERR1913060.2147332__1.2147332	33039__A0A173VTT4__frdB_1
ERR1913060.2147351__1.2147351	487174__K0XDZ0__HMPREF9448_02863
ERR1913060.2147354__1.2147354	1262930__R6A1X5__BN693_02075
ERR1913060.2147364__1.2147364	823__A0A355WYX8__CF162_07950
ERR1913060.2147429__1.2147429	1099853__U5C8M9__NSB1T_02745
ERR1913060.2147536__1.2147536	360807__A0A173WE18__prkC_2
ERR1913060.2147613__1.2147613	820__A7V470__HMPREF1072_02076
ERR1913060.2147696__1.2147696	820__A0A3E4W9D9__B5G17_12400
ERR1913060.2147746__1.2147746	360807__A0A0M6X0S9__RIL183_10591
ERR1913060.2147790__1.2147790	820__A0A3E4G8F8__ERS852421_01645
ERR1913060.2147974__1.2147974	487174__K0WZU9__HMPREF9448_01159
ERR1913060.2148049__1.2148049	2293125__A0A374BY09__DW917_11855
ERR1913060.2148107__1.2148107	166486__D4KW59__ERS852572_02363
ERR1913060.2148080__1.2148080	28118__F9ZCN9__DHW44_07820
ERR1913060.2148385__1.2148385	371601__A0A1I4R345__BN891_16250
ERR1913060.2148362__1.2148362	823__D7IV95__DXC05_09565
ERR1913060.2148446__1.2148446	165179__A0A3E5EAM5__DXC61_07785
ERR1913060.2148611__1.2148611	165179__A0A174SA26__PREVCOP_05758
ERR1913060.2148623__1.2148623	818__A0A3E5HDU6__C799_04515
ERR1913060.2148778__1.2148778	418240__A0A173WVP8__acm
ERR1913060.2148857__1.2148857	28116__A0A1Y4PVC6__C5Z02_22085
ERR1913060.2148859__1.2148859	853__A0A3E2U7E6__ERS852582_01640
ERR1913060.2148986__1.2148986	1262930__R6AYA7__BN693_00428
ERR1913060.2149113__1.2149113	33025__A0A395J8P0__C8D73_1144
ERR1913060.2149186__1.2149186	166486__D4KZY4__ERS852572_03347
ERR1913060.2149273__1.2149273	166486__D4KPQ7__ROSINTL182_09065
ERR1913060.2149609__1.2149609	2293125__A0A374BSW4__DW917_13420
ERR1913060.2149621__1.2149621	1680__A0A0B5BME4__DXD63_05015
ERR1913060.2149816__1.2149816	2293125__A0A374BUM7__DW917_12980
ERR1913060.2150131__1.2150131	165179__D1PCL6__DXB80_13435
ERR1913060.2150177__1.2150177	371601__A0A1Y4V1T2__DXD80_18495
ERR1913060.2150243__1.2150243	1303__F0FFY0__ATE34_02205
ERR1913060.2150386__1.2150386	820__A7V470__HMPREF1072_02076
ERR1913060.2150407__1.2150407	166486__D4KW59__ERS852572_02363
ERR1913060.2150734__1.2150734	165179__A0A3E5A5E5__DXC61_13965
ERR1913060.2150939__1.2150939	820__A0A139KHX1__HMPREF2141_00289
ERR1913060.2151028__1.2151028	165179__D1PHC0__PREVCOP_06640
ERR1913060.2151248__1.2151248	166486__A0A1Q6S8P7__ROSINTL182_06253
ERR1913060.2151274__1.2151274	166486__R6AZI2__ydaF
ERR1913060.2151523__1.2151523	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913060.2151677__1.2151677	1262930__R6AB27__BN693_00390
ERR1913060.2151675__1.2151675	823__A0A078SLK0__ERS852513_02755
ERR1913060.2151705__1.2151705	821__A0A3E4WAR6__DXD64_10735
ERR1913060.2151867__1.2151867	39496__A5Z889__EUBVEN_01929
ERR1913060.2151917__1.2151917	310298__B3JFS5__BACCOP_00726
ERR1913060.2151994__1.2151994	166486__A0A173VTG0__ROSINTL182_06283
ERR1913060.2152224__1.2152224	821__A0A0P0LJ37__DXB82_14270
ERR1913060.2152382__1.2152382	823__A0A3E4P9U5__ERS852380_02719
ERR1913060.2152412__1.2152412	166486__D4L1H3__sacC
ERR1913060.2152488__1.2152488	410072__A0A174K1D5__hscC
ERR1913060.2152579__1.2152579	821__A0A0P0M2J4__DXD46_10295
ERR1913060.2152753__1.2152753	649756__L1Q4N9__CL2_26970
ERR1913060.2152860__1.2152860	823__A0A174U5E4__BDI_3390
ERR1913060.2152916__1.2152916	1262930__R6AUX8__BN693_00160
ERR1913060.2152926__1.2152926	2293125__A0A374BY09__DW917_11855
ERR1913060.2153213__1.2153213	853__A0A2A7B1Y7__C7K05_11930
ERR1913060.2153258__1.2153258	649756__D4MXQ3__DO83_00245
ERR1913060.2153369__1.2153369	487174__K0X4Y9__DDY40_09115
ERR1913060.2153423__1.2153423	853__A0A173XRA8__CGS56_09290
ERR1913060.2153448__1.2153448	39491__A0A395ZGU6__ERS852417_01456
ERR1913060.2153454__1.2153454	649756__L1Q4N9__CL2_26970
ERR1913060.2153495__1.2153495	28118__R6F6F1__B5F93_10805
ERR1913060.2153958__1.2153958	821__A0A173XDD3__DXB82_17180
ERR1913060.2153997__1.2153997	410072__A0A173WD04__penA_2
ERR1913060.2154008__1.2154008	2293125__A0A374BSW4__DW917_13420
ERR1913060.2154080__1.2154080	165179__A0A3E5EAM5__DXC61_07785
ERR1913060.2154166__1.2154166	1263044__GCA_000433375.1_00023
ERR1913060.2154171__1.2154171	310298__B3JK49__BACCOP_02273
ERR1913060.2154175__1.2154175	39496__A5Z8D5__EUBVEN_01976
ERR1913060.2154196__1.2154196	1262930__R6A1X5__BN693_02075
ERR1913060.2154212__1.2154212	2293125__A0A374CBD1__DW917_06995
ERR1913060.2154286__1.2154286	410072__A0A174K1W4__apxIB
ERR1913060.2154323__1.2154323	1262992__R5DA18__BN795_01586
ERR1913060.2154342__1.2154342	1262930__R5ZRJ3__BN693_00633
ERR1913060.2154669__1.2154669	74426__pta
ERR1913060.2154703__1.2154703	823__A6LBY1__ERS852380_00510
ERR1913060.2154885__1.2154885	166486__D4KW03__ERS852572_03114
ERR1913060.2154977__1.2154977	820__A0A139KIL9__DXC68_05945
ERR1913060.2155507__1.2155507	1263044__GCA_000433375.1_00023
ERR1913060.2155661__1.2155661	357276__A0A0M1W9N4__GV66_05135
ERR1913060.2155801__1.2155801	626932__G5H6M5__HMPREF9450_00585
ERR1913060.2156015__1.2156015	310298__B3JFK6__BACCOP_00656
ERR1913060.2156228__1.2156228	357276__C3R9Y0__HMPREF1064_01889
ERR1913060.2156350__1.2156350	39488__C0EVS1__ERS852450_02297
ERR1913060.2156435__1.2156435	165179__A0A3E5A5E5__DXC61_13965
ERR1913060.2156438__1.2156438	165179__A0A3E5AHY4__CFT61_07675
ERR1913060.2156517__1.2156517	2293125__A0A374CMK5__DW917_00330
ERR1913060.2156531__1.2156531	410072__A0A174K1D5__hscC
ERR1913060.2156618__1.2156618	823__A0A355XLQ9__DXC05_02185
ERR1913060.2156633__1.2156633	544644__GCA_001915615.1_01040
ERR1913060.2156752__1.2156752	46503__R6WYJ8__DXB85_13825
ERR1913060.2156841__1.2156841	487174__K0X7X4__DIT83_09125
ERR1913060.2156993__1.2156993	649756__B0P1V2__ERS852475_00214
ERR1913060.2157024__1.2157024	165179__A0A3E5AHY4__CFT61_07675
ERR1913060.2157103__1.2157103	823__A0A395YRW4__DD466_15895
ERR1913060.2157349__1.2157349	165179__A0A3E5EAM5__DXC61_07785
ERR1913060.2157391__1.2157391	310298__B3JM32__BACCOP_00571
ERR1913060.2157488__1.2157488	165179__A0A174UTZ7__DXC61_06705
ERR1913060.2157552__1.2157552	166486__D4KUC4__arcB_1
ERR1913060.2157617__1.2157617	2293125__A0A374C8A8__DW917_07550
ERR1913060.2157662__1.2157662	165179__D1PHC0__PREVCOP_06640
ERR1913060.2157746__1.2157746	487174__K0WXI9__HMPREF9448_02340
ERR1913060.2157843__1.2157843	166486__D4KZY5__ROSINTL182_07635
ERR1913060.2157850__1.2157850	853__C7H7F8__yccM_1
ERR1913060.2157966__1.2157966	166486__D4KUC4__arcB_1
ERR1913060.2158029__1.2158029	2293125__A0A374CBD1__DW917_06995
ERR1913060.2158127__1.2158127	1262930__R6A468__BN693_01366
ERR1913060.2158163__1.2158163	310298__B3JQJ5__BACCOP_04231
ERR1913060.2158238__1.2158238	39488__A0A173UQ83__mutY
ERR1913060.2158329__1.2158329	165179__R6XLJ7__CFT61_06250
ERR1913060.2158359__1.2158359	165179__A0A3E5EAM5__DXC61_07785
ERR1913060.2158440__1.2158440	165179__A0A3E5DN34__DXC61_07865
ERR1913060.2158476__1.2158476	165179__A0A3E5EAM5__DXC61_07785
ERR1913060.2158688__1.2158688	418240__A0A174R2N4__ERS852523_02758
ERR1913060.2158690__1.2158690	165179__A0A3E5DY64__CFT61_10025
ERR1913060.2158765__1.2158765	818__A0A174T624__HMPREF2534_01176
ERR1913060.2158792__1.2158792	357276__I9QBT7__BSEG_03340
ERR1913060.2158805__1.2158805	820__A0A174A6K0__M093_0079
ERR1913060.2158810__1.2158810	1262930__R6AY75__BN693_00384
ERR1913060.2158819__1.2158819	818__A0A3E5HE16__C5Z03_22745
ERR1913060.2158904__1.2158904	46503__R6WTW1__NCTC13052_03440
ERR1913060.2158933__1.2158933	46503__B7B776__DXB85_00355
ERR1913060.2159007__1.2159007	166486__D4KZ45__ROSINTL182_05738
ERR1913060.2159079__1.2159079	821__I9R3W6__DXC16_12455
ERR1913060.2159180__1.2159180	166486__D4L1P2__ROSINTL182_05240
ERR1913060.2159270__1.2159270	821__E5UMZ6__BVU_1450
ERR1913060.2159555__1.2159555	1262924__R7HSV3__BN585_00240
ERR1913060.2159620__1.2159620	1262992__R5CXL4__BN795_01001
ERR1913060.2159659__1.2159659	2293125__A0A374BUM7__DW917_12980
ERR1913060.2159853__1.2159853	165179__D1PHC0__PREVCOP_06640
ERR1913060.2159940__1.2159940	2293125__A0A374BN09__DW917_16245
ERR1913060.2159952__1.2159952	410072__A0A3E4GMB7__COPCOM_03357
ERR1913060.2160061__1.2160061	823__A6LH14__B5F32_11640
ERR1913060.2160098__1.2160098	418240__C6JAJ8__ERS852478_03436
ERR1913060.2160159__1.2160159	853__A0A174CVG7__CGS58_09335
ERR1913060.2160242__1.2160242	556259__E5C690__BSGG_1431
ERR1913060.2160444__1.2160444	1262930__R6AUX8__BN693_00160
ERR1913060.2160468__1.2160468	1262924__R7HPZ6__BN585_00681
ERR1913060.2160489__1.2160489	357276__A0A0K2HG61__BACDOR_02028
ERR1913060.2160510__1.2160510	1550024__A0A0D8IY45__ASJ35_05575
ERR1913060.2160948__1.2160948	166486__A0A173T114__ROSINTL182_05085
ERR1913060.2160985__1.2160985	165179__A0A3E5EAM5__DXC61_07785
ERR1913060.2161105__1.2161105	310298__B3JEE8__BACCOP_00239
ERR1913060.2161291__1.2161291	1262930__R5ZZI5__BN693_01682
ERR1913060.2161460__1.2161460	310298__B3JQJ5__BACCOP_04231
ERR1913060.2161551__1.2161551	166486__D4KW38__ERS852572_02341
ERR1913060.2161973__1.2161973	310298__B3JQJ5__BACCOP_04231
ERR1913060.2161985__1.2161985	410072__C0B8H9__ERS852481_01810
ERR1913060.2162304__1.2162304	165179__A0A3E5DY64__CFT61_10025
ERR1913060.2162332__1.2162332	1262992__R5DC96__BN795_01524
ERR1913060.2162342__1.2162342	1735__B7CCF2__EUBIFOR_01879
ERR1913060.2162529__1.2162529	1150298__A0A174MFD0__degA_1
ERR1913060.2162544__1.2162544	1262911__R6GPI7__BN557_00907
ERR1913060.2162645__1.2162645	357276__A0A0P0M2G3__BACDOR_03913
ERR1913060.2162910__1.2162910	1262930__R6AUX8__BN693_00160
ERR1913060.2162993__1.2162993	357276__I9QBT7__BSEG_03340
ERR1913060.2163164__1.2163164	166486__D4KWN4__ERS852572_01865
ERR1913060.2163185__1.2163185	1262746__R5S265__BN750_01952
ERR1913060.2163276__1.2163276	310298__B3JPY4__BACCOP_04016
ERR1913060.2163321__1.2163321	821__A0A396ER29__ERS852457_02298
ERR1913060.2163502__1.2163502	165179__D1PGU8__PREVCOP_06463
ERR1913060.2163739__1.2163739	310298__B3JPY4__BACCOP_04016
ERR1913060.2163819__1.2163819	310298__B3JJG1__BACCOP_02031
ERR1913060.2163867__1.2163867	46503__R5DLM3__HMPREF1078_03417
ERR1913060.2164051__1.2164051	1262930__R5ZVH8__BN693_01324
ERR1913060.2164289__1.2164289	820__A0A396EXA7__DXB37_15530
ERR1913060.2164363__1.2164363	820__A0A3E4GA19__SAMN05444418_10562
ERR1913060.2164414__1.2164414	166486__D4KVI9__comEA
ERR1913060.2164437__1.2164437	820__A0A396EXA7__DXB37_15530
ERR1913060.2164642__1.2164642	820__A0A3E4W4Y7__B5G17_02055
ERR1913060.2164719__1.2164719	544644__GCA_001915615.1_00030
ERR1913060.2164730__1.2164730	165179__A0A229I7F5__DXB80_02650
ERR1913060.2164891__1.2164891	360807__A0A1Q6T542__RIL183_02161
ERR1913060.2164900__1.2164900	39491__A0A395V2Y7__DXB72_13970
ERR1913060.2164985__1.2164985	39486__B0G761__DXB36_00715
ERR1913060.2165011__1.2165011	821__A0A173WG51__BVU_2549
ERR1913060.2165026__1.2165026	410072__A0A173XU61__ykvU
ERR1913060.2165216__1.2165216	165179__A0A3E5AHY4__CFT61_07675
ERR1913060.2165192__1.2165192	310298__B3JQ37__BACCOP_04069
ERR1913060.2165196__1.2165196	371601__D0TKK0__HMPREF1074_02427
ERR1913060.2165381__1.2165381	46503__R6X6Y1__DCY29_15600
ERR1913060.2165555__1.2165555	418240__A0A174EZS5__ERS852523_03370
ERR1913060.2165609__1.2165609	166486__D4KM62__ERS852572_03251
ERR1913060.2165894__1.2165894	166486__C7GAX1__ERS852572_03188
ERR1913060.2165900__1.2165900	2293125__A0A374BSW4__DW917_13420
ERR1913060.2166028__1.2166028	357276__I8VLL2__HMPREF1065_03395
ERR1913060.2166069__1.2166069	2293125__A0A374CBD1__DW917_06995
ERR1913060.2166233__1.2166233	39488__A0A173RGK1__ERS852450_00574
ERR1913060.2166239__1.2166239	310298__B3JKM0__BACCOP_02451
ERR1913060.2166242__1.2166242	28118__F9Z408__NCTC10826_01194
ERR1913060.2166290__1.2166290	46503__A7AG53__DD461_14240
ERR1913060.2166419__1.2166419	2293125__A0A374BSW4__DW917_13420
ERR1913060.2166456__1.2166456	1262924__R7HM98__BN585_01697
ERR1913060.2166568__1.2166568	2293125__A0A374CMK5__DW917_00330
ERR1913060.2166569__1.2166569	1150298__A0A174DU21__toxA_3
ERR1913060.2166604__1.2166604	1263109__GCA_000438135.1_01665
ERR1913060.2166659__1.2166659	820__A0A3E4VXP2__yesR
ERR1913060.2166662__1.2166662	1262992__R5D586__BN795_00723
ERR1913060.2166813__1.2166813	47678__R5U8Y1__BACCAC_02615
ERR1913060.2166867__1.2166867	165179__A0A3E5E8M8__DXB80_11580
ERR1913060.2166932__1.2166932	821__C6ZAA5__ERS852556_00403
ERR1913060.2167050__1.2167050	1262930__R6AY75__BN693_00384
ERR1913060.2167118__1.2167118	166486__D4L3K7__ERS852572_00904
ERR1913060.2167182__1.2167182	28118__F9Z7M2__B5F99_10065
ERR1913060.2167209__1.2167209	820__A0A139K1Y6__DXB48_02610
ERR1913060.2167286__1.2167286	410072__A0A174L0Z1__ERS852525_00863
ERR1913060.2167564__1.2167564	46503__R6X5E7__PARMER_00245
ERR1913060.2167571__1.2167571	1262992__R5DG08__BN795_00475
ERR1913060.2167581__1.2167581	1262930__R5ZXU1__BN693_01352
ERR1913060.2167685__1.2167685	823__A0A355XFH7__ERS852513_00769
ERR1913060.2167763__1.2167763	820__A0A174A6K0__M093_0079
ERR1913060.2167839__1.2167839	818__A0A139L1N9__ERS852430_00647
ERR1913060.2167782__1.2167782	818__D7I7V5__BJP75_001030
ERR1913060.2167924__1.2167924	410072__A0A173R660__ERS852389_00536
ERR1913060.2167930__1.2167930	28116__A0A1Y4Q112__evgS_13
ERR1913060.2168043__1.2168043	371601__C3R2J2__ERS852396_04353
ERR1913060.2168045__1.2168045	853__A0A174BZY1__xerD_1
ERR1913060.2168118__1.2168118	1150298__A0A174S4G4__dacB_1
ERR1913060.2168166__1.2168166	410072__A0A3E4GQ67__sigV_1
ERR1913060.2168574__1.2168574	1535__A7VRB1__CLOLEP_01094
ERR1913060.2168890__1.2168890	310298__B3JK97__BACCOP_02326
ERR1913060.2169000__1.2169000	2293125__A0A374CMK5__DW917_00330
ERR1913060.2169013__1.2169013	853__A0A174C5M1__CGS58_04460
ERR1913060.2169073__1.2169073	357276__A0A076INK2__BSEG_04225
ERR1913060.2169081__1.2169081	1735__A0A0E9EXE5__EUBIFOR_01739
ERR1913060.2169123__1.2169123	821__E5UMZ6__BVU_1450
ERR1913060.2169164__1.2169164	39488__C0EWC5__EHLA_2843
ERR1913060.2169201__1.2169201	820__A7V859__ERS852462_00341
ERR1913060.2169256__1.2169256	820__A0A374MMF0__HMPREF1073_03811
ERR1913060.2169387__1.2169387	33039__A0A174XW11__RTO_07780
ERR1913060.2169398__1.2169398	853__A0A174C5M1__CGS58_04460
ERR1913060.2169486__1.2169486	46506__B0NQN6__AA415_00632
ERR1913060.2169500__1.2169500	165179__R6PNJ9__PREVCOP_04730
ERR1913060.2169532__1.2169532	572010__lepA
ERR1913060.2169606__1.2169606	853__D4KAK8__C4N21_13380
ERR1913060.2169746__1.2169746	28116__I8YA52__M088_0798
ERR1913060.2169798__1.2169798	165179__A0A229I3Z6__PREVCOP_03666
ERR1913060.2169815__1.2169815	357276__I9R994__BACDOR_04044
ERR1913060.2170028__1.2170028	46503__R6Y4M7__HMPREF1078_03269
ERR1913060.2170094__1.2170094	820__A0A174NUS8__DXC80_12885
ERR1913060.2170175__1.2170175	357276__I9QBT4__GV66_09000
ERR1913060.2170178__1.2170178	33039__A0A174P3P0__ERS852424_01681
ERR1913060.2170286__1.2170286	820__A0A139K5E7__DXC68_09550
ERR1913060.2170313__1.2170313	33025__A0A395JF03__C8D73_101684
ERR1913060.2170478__1.2170478	301301__A0A395V4X8__ERS852391_01546
ERR1913060.2170502__1.2170502	487174__K0WZP2__DDY40_04000
ERR1913060.2170652__1.2170652	371601__E5CE41__ERS852396_04351
ERR1913060.2170789__1.2170789	821__A0A173WG51__BVU_2549
ERR1913060.2170920__1.2170920	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913060.2171187__1.2171187	853__A8SB03__C4Q21_07960
ERR1913060.2171221__1.2171221	1262911__R6GPC5__BN557_00852
ERR1913060.2171326__1.2171326	671267__R9ICM6__C802_00589
ERR1913060.2171350__1.2171350	818__A0A174V5M6__BT_1963
ERR1913060.2171403__1.2171403	88431__A0A3D0F0E5__ERS852526_03216
ERR1913060.2171454__1.2171454	1262930__R6A8N0__BN693_02179
ERR1913060.2171578__1.2171578	820__A0A396EUU8__luxQ_3
ERR1913060.2171631__1.2171631	820__A0A139KJR5__M093_4469
ERR1913060.2171743__1.2171743	853__A0A173T6P2__DWZ46_14595
ERR1913060.2172221__1.2172221	357276__A0A0M1W4C0__DXD47_07095
ERR1913060.2172312__1.2172312	820__A0A139KJR5__M093_4469
ERR1913060.2172362__1.2172362	39492__D4JTW6__ERS852540_00220
ERR1913060.2172372__1.2172372	820__A0A139KIL9__DXC68_05945
ERR1913060.2172390__1.2172390	853__A0A173XRA8__CGS56_09290
ERR1913060.2172412__1.2172412	28118__A0A1Y3Y204__NCTC10826_02015
ERR1913060.2172514__1.2172514	357276__I9R994__BACDOR_04044
ERR1913060.2172521__1.2172521	818__A0A1H7S810__BJP75_003270
ERR1913060.2172712__1.2172712	818__A0A0P0F7K1__ERS852461_02719
ERR1913060.2172810__1.2172810	853__A0A2A7A4A9__C4N21_14870
ERR1913060.2173204__1.2173204	165179__D1PGU8__PREVCOP_06463
ERR1913060.2173218__1.2173218	2293125__A0A374BUM7__DW917_12980
ERR1913060.2173227__1.2173227	39486__B0G761__DXB36_00715
ERR1913060.2173309__1.2173309	165179__A0A3E5EAM5__DXC61_07785
ERR1913060.2173390__1.2173390	165179__A0A3E5AER8__DXB80_07075
ERR1913060.2173448__1.2173448	35833__E5YB58__HMPREF0179_03431
ERR1913060.2173651__1.2173651	1262924__R7HRJ9__BN585_00557
ERR1913060.2173821__1.2173821	357276__B6VXX7__HMPREF1063_02683
ERR1913060.2174060__1.2174060	1262930__R6A8Q7__BN693_01064
ERR1913060.2174087__1.2174087	360807__A0A173VUT6__RIL183_10071
ERR1913060.2174183__1.2174183	165179__A0A229I7F5__DXB80_02650
ERR1913060.2174301__1.2174301	1262924__R7HT04__BN585_00021
ERR1913060.2174343__1.2174343	39491__A0A396FJJ9__DXB76_11995
ERR1913060.2174360__1.2174360	1262746__R5SS80__BN750_02125
ERR1913060.2174531__1.2174531	1965632__A0A1Y4A628__B5F91_13735
ERR1913060.2174590__1.2174590	74426__sigA
ERR1913060.2174714__1.2174714	360807__A0A0M6WUG1__ERS852392_00028
