ERR1913217.134__1.134	1624__A0A089QH34__B6U42_07040
ERR1913217.477094__1.477094	239935__A0A2N8IYM5__CXT84_05130
ERR1913217.477130__1.477130	1624__F7QST0__A8C46_07655
ERR1913217.477328__1.477328	74426__purC
ERR1913217.477375__1.477375	1624__A0A1Y3S8E9__LSJ_2116c
ERR1913217.477854__1.477854	39492__D4JRR5__ERS852540_02089
ERR1913217.478112__1.478112	301301__G2SXB0__RHOM_09565
ERR1913217.478224__1.478224	40518__R5E1X3__clcA
ERR1913217.478313__1.478313	884684__GCA_002892425.1_01408
ERR1913217.478359__1.478359	40518__R5E8B6__RB5AMG_00876
ERR1913217.478428__1.478428	40518__R5DZM6__lytR_3
ERR1913217.478525__1.478525	823__A6L9D3__ERS852560_03374
ERR1913217.478577__1.478577	1680__A0A087DHN0__AL0462_1532
ERR1913217.478797__1.478797	1965604__A0A1Y4F344__B5F54_00065
ERR1913217.478798__1.478798	154046__A0A3E4U134__ERS852528_03923
ERR1913217.479085__1.479085	100884__E7GFK8__HMPREF9488_03551
ERR1913217.479092__1.479092	1550024__G9RWW8__TQ39_12140
ERR1913217.479097__1.479097	39492__D4JVG7__ERS852540_00946
ERR1913217.479211__1.479211	239935__A0A2N8HZW2__A4V05_11120
ERR1913217.479298__1.479298	239935__A0A2N8J1K0__CXT97_05765
ERR1913217.479449__1.479449	1550024__A0A0D8J3J4__TQ39_01275
ERR1913217.479452__1.479452	823__A0A355XEX9__ERS852560_03521
ERR1913217.479547__1.479547	671232__U2ZHM3__DK43_00410
ERR1913217.479572__1.479572	357276__A0A076IYE6__IY41_04275
ERR1913217.480075__1.480075	1284775__A0A095Y637__HMPREF1640_07040
ERR1913217.480579__1.480579	820__A7V859__ERS852462_00341
ERR1913217.480743__1.480743	357276__B6VXX7__HMPREF1063_02683
ERR1913217.480805__1.480805	1262911__R6H074__BN557_00923
ERR1913217.480900__1.480900	40520__R7D6X4__addA
ERR1913217.480881__1.480881	239935__R7E524__CXT91_06180
ERR1913217.480960__1.480960	357276__B6W5Q7__DXD47_13945
ERR1913217.480948__1.480948	40518__R5DYP7__envC
ERR1913217.481018__1.481018	552398__F4XCR9__HMPREF0866_01636
ERR1913217.481089__1.481089	239935__A0A2N8HB50__CXU17_02615
ERR1913217.481223__1.481223	1263006__R6LJG8__BN515_01754
ERR1913217.481313__1.481313	1160721__W0U5X6__RBI_I01796
ERR1913217.481286__1.481286	357276__A0A0M1W9N4__GV66_05135
ERR1913217.481416__1.481416	1099853__U5CMJ0__NSB1T_01275
ERR1913217.481429__1.481429	1263006__R6M176__BN515_00274
ERR1913217.481465__1.481465	246787__R6KBH9__HMPREF1062_04676
ERR1913217.481495__1.481495	1550024__G9RXV5__TQ39_13455
ERR1913217.481575__1.481575	1550024__G9RNX0__ASJ35_11770
ERR1913217.481617__1.481617	239935__A0A2N8HUU6__CXT90_06150
ERR1913217.481715__1.481715	818__Q8A335__HMPREF2534_01154
ERR1913217.481873__1.481873	301301__A0A395VCJ3__cbiT
ERR1913217.481971__1.481971	1262911__R6HIJ8__BN557_01742
ERR1913217.482288__1.482288	999425__K8MPX7__HMPREF9186_01023
ERR1913217.482586__1.482586	40518__R5DP21__RBATCC27255_00348
ERR1913217.482627__1.482627	1550024__A0A0D8J3J4__TQ39_01275
ERR1913217.482658__1.482658	301302__A0A0M6WJW1__ERS852420_02245
ERR1913217.482993__1.482993	239935__A0A139TVG9__CXU13_01700
ERR1913217.483113__1.483113	820__A0A139K1Y6__DXB48_02610
ERR1913217.483192__1.483192	820__A0A139K8N1__ERS852554_00951
ERR1913217.483180__1.483180	1304__A0A0Y1W7Q9__NX99_02675
ERR1913217.483242__1.483242	357276__A0A076J726__IY41_15030
ERR1913217.483263__1.483263	239935__A0A2N8I5A2__DEF40_08455
ERR1913217.483442__1.483442	357276__A0A076IS46__BACDOR_03265
ERR1913217.483443__1.483443	820__A0A174B4N2__M093_2531
ERR1913217.483555__1.483555	1550024__G9RWC0__ASJ35_03560
ERR1913217.483768__1.483768	1624__A0A385XLX3__LsR_01407
ERR1913217.483842__1.483842	820__A0A1T4IYF4__mprA_1
ERR1913217.483798__1.483798	357276__A0A0M1W9N4__GV66_05135
ERR1913217.483807__1.483807	820__A0A139K5E7__DXC68_09550
ERR1913217.483877__1.483877	1262911__R6GSH0__BN557_00934
ERR1913217.484103__1.484103	227942__H4GKT1__FC60_GL000170
ERR1913217.484128__1.484128	820__A0A3E4XM43__DXC91_13960
ERR1913217.484236__1.484236	1124654__GeneID:14005780
ERR1913217.484571__1.484571	40518__R5DV58__htrA
ERR1913217.484613__1.484613	1624__Q1WV44__LSJ_0311
ERR1913217.484714__1.484714	820__A0A396EWL3__ERS417307_03868
ERR1913217.484746__1.484746	158787__A0A087D3E8__BBSC_2415
ERR1913217.484673__1.484673	357276__I9R994__BACDOR_04044
ERR1913217.484691__1.484691	357276__B6W1Y5__IY41_11405
ERR1913217.484756__1.484756	820__A0A139K8X8__DXC80_17665
ERR1913217.484823__1.484823	1099853__G9S6N8__NSB1T_13280
ERR1913217.484880__1.484880	1680__A1A2N8__LMG10734_1314
ERR1913217.484983__1.484983	1262911__R6GP58__BN557_00798
ERR1913217.485047__1.485047	820__A0A139KEW8__DXB64_06405
ERR1913217.485228__1.485228	40518__R5DUG7__sbcC
ERR1913217.485251__1.485251	1304__A0A1V0H6X5__CQA85_03155
ERR1913217.485383__1.485383	1680__A0A087DHN0__AL0462_1532
ERR1913217.485540__1.485540	1262992__R5CX23__BN795_00823
ERR1913217.485590__1.485590	1680__A0A0B5BME4__DXD63_05015
ERR1913217.485668__1.485668	227943__C8PA23__FC31_GL000385
ERR1913217.485815__1.485815	1624__A0A385XLN9__B6U57_06820
ERR1913217.485828__1.485828	1262882__R5N1R4__BN519_00788
ERR1913217.485891__1.485891	357276__E5UTL1__HMPREF1065_03551
ERR1913217.486016__1.486016	1358__T0VND1__BN927_00201
ERR1913217.486029__1.486029	301302__R5ULM4__M72_25081
ERR1913217.486148__1.486148	626940__E8LG10__HMPREF9443_01807
ERR1913217.486246__1.486246	246787__A0A0P0G254__axeA1_2
ERR1913217.486189__1.486189	357276__A0A0K2HG61__BACDOR_02028
ERR1913217.486342__1.486342	239935__A0A2N8IRL2__CXU06_01170
ERR1913217.486372__1.486372	1263000__R5EUM2__BN466_01747
ERR1913217.486393__1.486393	820__A0A139K8N1__ERS852554_00951
ERR1913217.486512__1.486512	1262882__R5MJ49__BN519_01124
ERR1913217.486546__1.486546	820__R9I3N4__M093_0061
ERR1913217.486636__1.486636	820__A0A3E4G3J9__ERS852459_02265
ERR1913217.486655__1.486655	1263000__R5EYJ8__BN466_02099
ERR1913217.486847__1.486847	40518__R5DWH8__DXD86_04530
ERR1913217.486865__1.486865	158787__A0A087DJC7__BSCA_0659
ERR1913217.486994__1.486994	1262911__R6H212__BN557_01031
ERR1913217.487220__1.487220	158787__A0A087DGI7__BSCA_0685
ERR1913217.487275__1.487275	1550024__A0A3B9WI73__ASJ35_03410
ERR1913217.487287__1.487287	1550024__A0A3B9WI04__ASJ35_06105
ERR1913217.487312__1.487312	301301__A0A395VBI2__RHOM_00545
ERR1913217.487422__1.487422	1262911__R6HIJ8__BN557_01742
ERR1913217.487522__1.487522	29361__B6FLM7__CLONEX_01049
ERR1913217.487891__1.487891	1550024__A0A3B9WLJ1__TQ39_10125
ERR1913217.488025__1.488025	246787__A0A0P0G372__BcellWH2_03657
ERR1913217.487997__1.487997	1680__A0A0B5BIU5__BSTER_0145
ERR1913217.488050__1.488050	1550024__A0A3B9WE41__ASJ35_03585
ERR1913217.487980__1.487980	1624__A0A385XQ15__LSCP400_16231
ERR1913217.488116__1.488116	1680__A1A2N8__LMG10734_1314
ERR1913217.488097__1.488097	239935__A0A2N8ITW6__CXT91_06265
ERR1913217.488154__1.488154	1263006__R6LTR6__BN515_01217
ERR1913217.488169__1.488169	357276__A0A0P0M2G3__BACDOR_03913
ERR1913217.488257__1.488257	1624__H7G0N5__B6U38_06505
ERR1913217.488382__1.488382	1263006__R6MLE8__BN515_00891
ERR1913217.488391__1.488391	1262924__R7HPU8__BN585_00010
ERR1913217.488462__1.488462	820__A0A139K4W5__HMPREF2141_02394
ERR1913217.488708__1.488708	820__A0A139KG60__M094_2679
ERR1913217.488722__1.488722	1550024__A0A0D8J659__TQ39_00125
ERR1913217.488831__1.488831	40520__D4LUV4__DXB81_08455
ERR1913217.488916__1.488916	1550024__G9RWG5__TQ39_04290
ERR1913217.489060__1.489060	158787__A0A087D7T7__BSCA_1955
ERR1913217.489440__1.489440	820__A0A3E4W6P0__gmhA
ERR1913217.489471__1.489471	823__K6A253__DHP27_13535
ERR1913217.489484__1.489484	394340__group_3267
ERR1913217.489524__1.489524	1262882__R5MQ63__BN519_01173
ERR1913217.489545__1.489545	1624__A0A0F7PRZ8__BHF65_02010
ERR1913217.489551__1.489551	2173__A0A1D2WVH4__METSMIALI_00947
ERR1913217.489710__1.489710	384638__B7AN60__BACPEC_00112
ERR1913217.489723__1.489723	1262911__R6GS52__BN557_00834
ERR1913217.489729__1.489729	301302__A0A173RFF7__yqgN
ERR1913217.489758__1.489758	820__A0A173YYG4__evgS_3
ERR1913217.489789__1.489789	1262992__R5D1T0__BN795_01079
ERR1913217.490153__1.490153	1550024__G9RPP6__ASJ35_08860
ERR1913217.490506__1.490506	1096246__A0A2V3Y5R3__DFR60_106297
ERR1913217.490660__1.490660	1262911__R6H174__BN557_01246
ERR1913217.490661__1.490661	1262911__R6GLA5__BN557_01456
ERR1913217.490714__1.490714	40518__R5E7G3__DXD86_03405
ERR1913217.490828__1.490828	301302__R5V671__M72_27831
ERR1913217.490851__1.490851	1262911__R6GY78__BN557_00532
ERR1913217.490859__1.490859	1263000__R5EKG2__BN466_02040
ERR1913217.490931__1.490931	1124654__GeneID:14005783
ERR1913217.490980__1.490980	820__A0A174QLF0__SAMN05444418_109151
ERR1913217.491010__1.491010	357276__A0A076IR37__DXD47_07890
ERR1913217.491091__1.491091	239935__A0A2N8IMC9__CXU09_02095
ERR1913217.491138__1.491138	1263006__R6MPG9__BN515_01866
ERR1913217.491250__1.491250	28118__F9Z750__Odosp_3044
ERR1913217.491536__1.491536	820__A0A173YYG4__evgS_3
ERR1913217.491641__1.491641	820__A0A3E4PYB0__yejM
ERR1913217.491645__1.491645	671232__A0A0E9FD17__C6A28_07095
ERR1913217.491784__1.491784	1550024__G9RPG8__TQ39_05515
ERR1913217.491805__1.491805	40518__R5DYT8__mscS
ERR1913217.491965__1.491965	239935__R6J776__CXU07_02355
ERR1913217.491984__1.491984	1680__R5GRA4__ERS852382_01548
ERR1913217.492121__1.492121	1550024__G9RTN6__TQ39_08170
ERR1913217.492159__1.492159	357276__A0A076IRZ5__BACDOR_00630
ERR1913217.492511__1.492511	820__A0A139K4W1__M093_0353
ERR1913217.492709__1.492709	239935__A0A2N8IMC3__CXT96_03840
ERR1913217.492866__1.492866	820__A0A3E4XM43__DXC91_13960
ERR1913217.492867__1.492867	820__A0A173WZS4__DXD90_10250
ERR1913217.492983__1.492983	1099853__U5CDU5__NSB1T_05645
ERR1913217.493256__1.493256	1262911__R6H1P0__BN557_00940
ERR1913217.493487__1.493487	1624__A0A0F7PRZ8__BHF65_02010
ERR1913217.493726__1.493726	214856__I3YPQ4__Alfi_2712
ERR1913217.493754__1.493754	39485__A0A174ZLH6__EUBELI_01564
ERR1913217.493763__1.493763	1550024__A0A0W7TR84__TQ39_05305
ERR1913217.493848__1.493848	1309__Q8DW37__SMU70_05631
ERR1913217.493887__1.493887	820__A0A174VD39__DXD90_12235
ERR1913217.493908__1.493908	357276__B6VVS0__HMPREF1064_03951
ERR1913217.493967__1.493967	1262882__R5MXW0__BN519_00317
ERR1913217.493943__1.493943	357276__I9R201__B5F00_01910
ERR1913217.494076__1.494076	1624__Q1WV44__LSJ_0311
ERR1913217.494303__1.494303	556261__F0YZU1__HMPREF0240_02370
ERR1913217.494459__1.494459	820__A7VAR9__ERS852421_00197
ERR1913217.494475__1.494475	357276__I9FTR0__HMPREF1065_02861
ERR1913217.494742__1.494742	1263006__R6LWN3__BN515_00808
ERR1913217.494849__1.494849	39488__A0A285PT56__ERS852450_02640
ERR1913217.494929__1.494929	820__A7UYG6__M094_0070
ERR1913217.494960__1.494960	1550024__A0A0D8J179__ASJ35_09245
ERR1913217.495020__1.495020	1550024__A0A3B9WH35__TQ39_04960
ERR1913217.495021__1.495021	1680__A0A0B5BL52__ERS852382_00480
ERR1913217.495321__1.495321	820__A0A139K0J1__HMPREF2141_03205
ERR1913217.495439__1.495439	1262911__R6H092__BN557_00938
ERR1913217.495605__1.495605	1680__A0A087DHN0__AL0462_1532
ERR1913217.495695__1.495695	154046__D3AF04__CLOSTHATH_02188
ERR1913217.495763__1.495763	1262882__R5MM10__BN519_01679
ERR1913217.495771__1.495771	239935__A0A2N8HH03__CXU09_08875
ERR1913217.495841__1.495841	1263006__R6LJG8__BN515_01754
ERR1913217.495869__1.495869	1262882__R5MFM2__BN519_00460
ERR1913217.496007__1.496007	1550024__A0A3B9WGS9__ASJ35_05050
ERR1913217.496052__1.496052	239935__A0A2N8IUK0__CXU01_07370
ERR1913217.496092__1.496092	1358__A0A166J899__IV65_GL000263
ERR1913217.496268__1.496268	239935__A0A2N8I6R6__CXU04_04335
ERR1913217.496494__1.496494	357276__I9FTR0__HMPREF1065_02861
ERR1913217.496706__1.496706	823__D7IRG1__NCTC11152_02276
ERR1913217.496775__1.496775	1262882__R5N526__BN519_01603
ERR1913217.497263__1.497263	239935__A0A2N8I9P4__CXT85_05050
ERR1913217.497454__1.497454	239935__A0A2N8IU14__ADH72_05655
ERR1913217.497526__1.497526	1681__A0A0H2NPR5__BBBF_1287
ERR1913217.497618__1.497618	246787__R6LGA6__tmoS_11
ERR1913217.497765__1.497765	1624__A0A385XN54__LSGJ_01547
ERR1913217.497986__1.497986	1550024__A0A3B9WDR6__TQ39_19225
ERR1913217.498163__1.498163	1680__A0A3E4SB79__BAD_1517
ERR1913217.498178__1.498178	137732__GCF_000162475.2_00312
ERR1913217.498319__1.498319	1624__A0A385XNP2__A8C49_02350
ERR1913217.498345__1.498345	1624__A0A385XNV3__FC55_GL000164
ERR1913217.498517__1.498517	1262882__R5N4D8__BN519_01497
ERR1913217.498536__1.498536	821__I9R3W6__DXC16_12455
ERR1913217.498542__1.498542	1099853__U5CKR3__NSB1T_08705
ERR1913217.498672__1.498672	823__A0A395YRW4__DD466_15895
ERR1913217.498696__1.498696	1624__A0A2A2X0Z9__B6U57_01585
ERR1913217.498727__1.498727	106588__A6NUL8__BACCAP_01900
ERR1913217.498952__1.498952	301301__A0A395V8K9__RHOM_00130
ERR1913217.499042__1.499042	1680__A0A087DHN0__AL0462_1532
ERR1913217.499115__1.499115	88431__A0A3D0EY52__ERS852573_01763
ERR1913217.499137__1.499137	1550024__G9RWQ7__ASJ35_03880
ERR1913217.499336__1.499336	40518__R5DV58__htrA
ERR1913217.499463__1.499463	1547597__A0A318N893__IE90_11835
ERR1913217.499578__1.499578	2173__A0A1D2WTT4__BK798_05110
ERR1913217.499794__1.499794	40518__R5DS68__hcpC
ERR1913217.499945__1.499945	1262911__R6H1D2__BN557_00855
ERR1913217.499946__1.499946	1160721__R6T5G2__RBI_II00076
ERR1913217.500280__1.500280	1550024__G9RT56__TQ39_09200
ERR1913217.500240__1.500240	357276__I9QBT7__BSEG_03340
ERR1913217.500247__1.500247	820__A7V8C2__ERS852554_01338
ERR1913217.500569__1.500569	246787__A0A108T831__glaB_2
ERR1913217.500600__1.500600	158787__A0A087D366__BBSC_2152
ERR1913217.500692__1.500692	28118__R6F7E0__SAMEA44545918_02355
ERR1913217.500780__1.500780	1680__A0A174BEE7__BSTER_1311
ERR1913217.501082__1.501082	1263006__R6LZM6__BN515_01762
ERR1913217.501099__1.501099	820__A0A139K4W5__HMPREF2141_02394
ERR1913217.501336__1.501336	301301__A0A395VCJ3__cbiT
ERR1913217.501323__1.501323	1262911__R6H1D2__BN557_00855
ERR1913217.501431__1.501431	1206110__GeneID:14498965
ERR1913217.501587__1.501587	357276__A0A076IN21__BSEG_03078
ERR1913217.501626__1.501626	28118__F9Z5L6__Odosp_1662
ERR1913217.501895__1.501895	40520__R7D7X1__kinA
ERR1913217.502048__1.502048	357276__B6W5Q9__HMPREF1063_03125
ERR1913217.502198__1.502198	820__A0A3E4VXP2__yesR
ERR1913217.502222__1.502222	1550024__A0A0W7TQU7__TQ39_10940
ERR1913217.502459__1.502459	820__A0A374QGD2__ERS852421_02382
ERR1913217.502783__1.502783	357276__C3R9Y0__HMPREF1064_01889
ERR1913217.503002__1.503002	820__A0A139KHD8__ERS417307_00569
ERR1913217.503102__1.503102	823__A0A395YVY3__ERS852513_03204
ERR1913217.503041__1.503041	1262911__R6H0U7__BN557_01104
ERR1913217.503061__1.503061	357276__D1K3K9__EL88_23995
ERR1913217.503145__1.503145	1680__A0A174BEE7__BSTER_1311
ERR1913217.503187__1.503187	1318__W1VIP5__HMPREF9626_0938
ERR1913217.503484__1.503484	61171__B9Y2Y0__HOLDEFILI_00155
ERR1913217.503540__1.503540	1550024__G9RT62__ASJ35_10800
ERR1913217.503721__1.503721	357276__I9QWD4__DXD47_15075
ERR1913217.503832__1.503832	820__A0A139KH21__DXC80_01780
ERR1913217.503878__1.503878	1624__A0A1Y3C014__A8C44_09960
ERR1913217.503962__1.503962	1550024__A0A3B9WEL2__TQ39_11090
ERR1913217.503931__1.503931	1262882__R5N1T9__BN519_00804
ERR1913217.503983__1.503983	410072__C0BC38__ERS852574_02017
ERR1913217.504496__1.504496	1262911__R6H1J5__BN557_00905
ERR1913217.504574__1.504574	357276__B6W1Y1__BSEG_03960
ERR1913217.504601__1.504601	1680__A1A0V3__C8077_03025
ERR1913217.504626__1.504626	823__D7ILK2__ERS852380_00031
ERR1913217.504653__1.504653	1262882__R5MYP2__BN519_00435
ERR1913217.504701__1.504701	1263006__R6LTP2__BN515_01199
ERR1913217.504706__1.504706	151538__GeneID:920450
ERR1913217.504734__1.504734	544580__F2V0Z7__BKH16_04660
ERR1913217.504794__1.504794	1675036__A0A344MKN1__ACT01_09605
ERR1913217.504967__1.504967	820__A0A374Q1D8__SAMN05444418_112114
ERR1913217.505010__1.505010	39496__A5Z5I2__EUBVEN_00963
ERR1913217.505040__1.505040	1624__A0A385XPM0__B6U58_04310
ERR1913217.505670__1.505670	820__A0A374Q1D8__SAMN05444418_112114
ERR1913217.505655__1.505655	1262911__R6GPC5__BN557_00852
ERR1913217.505861__1.505861	820__A0A374MXK3__HMPREF1072_00166
ERR1913217.505881__1.505881	2173__A0A1D2WTT4__BK798_05110
ERR1913217.505944__1.505944	1262911__R6GTZ4__BN557_01440
ERR1913217.506112__1.506112	357276__A0A076IP73__BACDOR_04237
ERR1913217.506212__1.506212	853__A0A173YYY4__DWZ04_09420
ERR1913217.506286__1.506286	1624__Q1WTN8__LSGJ_01052
ERR1913217.506316__1.506316	239935__A0A139TVJ4__CXT86_02020
ERR1913217.506551__1.506551	1262882__R5MDR8__BN519_00124
ERR1913217.506627__1.506627	46503__R6X0L4__DXB61_05325
ERR1913217.506708__1.506708	1262882__R5N5C3__BN519_01664
ERR1913217.506857__1.506857	823__A0A174XJM9__CEQ22_007230
ERR1913217.506898__1.506898	1624__F7QS05__CR531_04355
ERR1913217.506998__1.506998	1263006__R6LT05__BN515_01030
ERR1913217.507095__1.507095	1624__A0A385XS10__DB362_03015
ERR1913217.507187__1.507187	1680__A0A0B5BIU5__BSTER_0145
ERR1913217.507253__1.507253	1318__A0A3E4U8W0__trpD
ERR1913217.507366__1.507366	239935__A0A139TPD4__CXT86_06450
ERR1913217.507370__1.507370	820__A0A139KHD8__ERS417307_00569
ERR1913217.507361__1.507361	1624__A0A2A2X5T3__B6U54_04045
ERR1913217.507429__1.507429	1547597__A0A0C3RGG4__IE90_00325
ERR1913217.507386__1.507386	106588__A6NUL8__BACCAP_01900
ERR1913217.507558__1.507558	1262882__R5MYP8__BN519_00439
ERR1913217.507764__1.507764	40520__A0A174EQJ0__DXB81_02710
ERR1913217.507833__1.507833	1550024__G9RPG8__TQ39_05515
ERR1913217.507817__1.507817	40520__R7D5D8__DXD81_09550
ERR1913217.508038__1.508038	1263006__R6LI44__BN515_01329
ERR1913217.508180__1.508180	1262882__R5N3T7__BN519_01188
ERR1913217.508242__1.508242	239935__A0A2N8IU45__DEF40_02365
ERR1913217.508246__1.508246	40518__R5DWQ2__DXD93_03810
ERR1913217.508299__1.508299	821__C6ZAA5__ERS852556_00403
ERR1913217.508309__1.508309	78258__E6K018__A200_02256
ERR1913217.508437__1.508437	1262911__R6GT99__BN557_01335
ERR1913217.508492__1.508492	853__A0A174BZY1__xerD_1
ERR1913217.508754__1.508754	216816__B3DR71__CE159_04070
ERR1913217.508773__1.508773	1681__A0A3E4TVZ7__DD715_06415
ERR1913217.508920__1.508920	1262992__R5D645__BN795_00736
ERR1913217.508933__1.508933	239935__A0A2N8I3Z7__CXU05_10555
ERR1913217.509140__1.509140	1550024__G9RWQ7__ASJ35_03880
ERR1913217.509147__1.509147	239935__A0A2N8HW65__CXU09_08515
ERR1913217.509168__1.509168	544580__A0A1Q8V7D4__BKH22_07990
ERR1913217.509272__1.509272	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913217.509420__1.509420	1263006__R6LXD5__BN515_00461
ERR1913217.509421__1.509421	239935__A0A2N8I9I3__CXU19_12035
ERR1913217.509437__1.509437	1263000__R5EKG2__BN466_02040
ERR1913217.509562__1.509562	239935__B2UL21__CXT98_03395
ERR1913217.509671__1.509671	154046__D3AB33__DXB08_03005
ERR1913217.510123__1.510123	301302__A0A173TZN3__M72_00321
ERR1913217.510155__1.510155	357276__A0A076IS73__GV66_00410
ERR1913217.510170__1.510170	1229751__GeneID:16385092
ERR1913217.510252__1.510252	1358__A0A0B8QXH0__QI18_00620
ERR1913217.510376__1.510376	239935__A0A2N8HS88__CXU19_12255
ERR1913217.510517__1.510517	357276__A0A0M1VZP2__IY41_00605
ERR1913217.510520__1.510520	1263107__GCA_000436995.1_00130
ERR1913217.510976__1.510976	1550024__G9RPK6__TQ39_05330
ERR1913217.511069__1.511069	357276__I9R4T1__IY41_06800
ERR1913217.511357__1.511357	1550024__A0A3B9WJJ2__TQ39_18110
ERR1913217.511515__1.511515	239935__A0A2N8IFA0__CXT92_02050
ERR1913217.511754__1.511754	39488__A0A173SXL5__DXD91_06505
ERR1913217.511726__1.511726	820__A0A139K1Y6__DXB48_02610
ERR1913217.511810__1.511810	301301__A0A395VAD5__RHOM_06975
ERR1913217.511843__1.511843	172901__A0A2U1ARD1__C8D82_12318
ERR1913217.511922__1.511922	820__A0A139KHX1__HMPREF2141_00289
ERR1913217.512078__1.512078	1262963__R6C7W6__BN718_00713
ERR1913217.512114__1.512114	1262911__R6GPI7__BN557_00907
ERR1913217.512411__1.512411	1680__A0A0B5BKZ3__DXD60_01450
ERR1913217.512380__1.512380	1262911__R6H074__BN557_00923
ERR1913217.512302__1.512302	1263006__R6ML98__BN515_00848
ERR1913217.512437__1.512437	1263006__R6LTK0__BN515_01174
ERR1913217.512449__1.512449	1263006__R6LT73__BN515_01094
ERR1913217.512491__1.512491	1262882__R5MLE6__BN519_01423
ERR1913217.512494__1.512494	384638__B7AN60__BACPEC_00112
ERR1913217.512580__1.512580	1263006__R6LX07__BN515_00935
ERR1913217.512691__1.512691	1680__A0A173Y6N7__yhaH
ERR1913217.513030__1.513030	820__A0A174KKV6__DXC07_02635
ERR1913217.513031__1.513031	239935__A0A139TMG9__CXU07_10650
ERR1913217.513085__1.513085	357276__C3R9Y0__HMPREF1064_01889
ERR1913217.513167__1.513167	820__A0A174M9V5__M093_0237
ERR1913217.513246__1.513246	4932__Q06058__FLD1
ERR1913217.513248__1.513248	1624__A0A2A2XAQ8__A8C54_00025
ERR1913217.513365__1.513365	357276__I9FU68__HMPREF1063_00557
ERR1913217.513731__1.513731	1263006__R6LZ17__BN515_01569
ERR1913217.513755__1.513755	88431__A0A3D0EXT6__ERS852423_01007
ERR1913217.514026__1.514026	40518__R5DR96__RBATCC27255_01185
ERR1913217.514093__1.514093	1262882__R5N0C3__BN519_00731
ERR1913217.514102__1.514102	239935__A0A2N8HPS5__Amuc_0950
ERR1913217.514391__1.514391	820__A0A139K4W5__HMPREF2141_02394
ERR1913217.514404__1.514404	820__A0A139K5A6__DXB48_12175
ERR1913217.514500__1.514500	216816__D6D9H5__APC1466_0493
ERR1913217.514464__1.514464	1680__R5GPK0__B0487_0620
ERR1913217.514576__1.514576	239935__A0A2N8I9P4__CXT85_05050
ERR1913217.514642__1.514642	1262882__R5MRT2__BN519_01494
ERR1913217.514670__1.514670	820__A0A174DZ97__SAMN05444418_101240
ERR1913217.514695__1.514695	1262882__R5MYX5__BN519_00333
ERR1913217.514714__1.514714	1624__A0A1V9TK42__DBP89_06320
ERR1913217.514773__1.514773	1550024__A0A0D8IVV4__ASJ35_03610
ERR1913217.514841__1.514841	1111760__A0A1L7LKU2__SRT_15620
ERR1913217.514881__1.514881	1262911__R6GPB5__BN557_00842
ERR1913217.514988__1.514988	2173__A5UNB7__BK798_05290
ERR1913217.515030__1.515030	1624__A0A1V9QQ42__B6U43_06850
ERR1913217.515130__1.515130	1262911__R6GPI7__BN557_00907
ERR1913217.515397__1.515397	1407493__GeneID:17503248
ERR1913217.515402__1.515402	1262882__R5MYP2__BN519_00435
ERR1913217.515591__1.515591	1263006__R6LWF1__BN515_02111
ERR1913217.515837__1.515837	1358__A0A0V8D2K8__LL275_0072
ERR1913217.516426__1.516426	100886__E2NSF9__rpoB
ERR1913217.516394__1.516394	820__A0A396EWL3__ERS417307_03868
ERR1913217.516642__1.516642	1550024__G9RP65__ASJ35_11645
ERR1913217.516928__1.516928	1624__F7QVE1__B6U64_05115
ERR1913217.516988__1.516988	820__A0A174Q0F0__DXB48_08080
ERR1913217.516993__1.516993	239935__A0A139TPD4__CXT86_06450
ERR1913217.517106__1.517106	1358__P0A4N7__CRM88_09405
ERR1913217.517151__1.517151	1099853__R7DHV1__NSB1T_13600
ERR1913217.517250__1.517250	216816__A0A0A6VPB9__B624_1780
ERR1913217.517374__1.517374	1160721__W0U611__BHW50_08625
ERR1913217.517394__1.517394	820__A0A3E4WA06__ERS852554_03404
ERR1913217.517552__1.517552	357276__A0A076INK2__BSEG_04225
ERR1913217.517598__1.517598	301302__A0A0M6W9H8__M72_19621
ERR1913217.517793__1.517793	1160721__W0U2E1__RBI_I00200
ERR1913217.517745__1.517745	301302__R5V7G4__ywtF
ERR1913217.518042__1.518042	357276__A0A076IS73__GV66_00410
ERR1913217.518181__1.518181	214856__R6Y9P5__ERS852559_01811
ERR1913217.518339__1.518339	1262882__R5N211__BN519_01033
ERR1913217.518445__1.518445	1262911__R6HN72__BN557_00911
ERR1913217.518520__1.518520	1262911__R6H1M1__BN557_00925
ERR1913217.518583__1.518583	1624__A0A385XL34__B6U37_06400
ERR1913217.518747__1.518747	1262882__R5MEW7__BN519_00010
ERR1913217.518812__1.518812	33039__D4M4Y2__ERS852390_00147
ERR1913217.518940__1.518940	818__A0A3E5HZF3__HMPREF2534_03697
ERR1913217.519109__1.519109	39486__R6SAM5__DXD50_06550
ERR1913217.519052__1.519052	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913217.519213__1.519213	820__A0A139K9Q2__DXD40_08795
ERR1913217.519555__1.519555	820__I9J701__ERS852510_01809
ERR1913217.519710__1.519710	1624__A0A1D7TPV8__CR249_02810
ERR1913217.520067__1.520067	116085__D4J5M3__DW747_05085
ERR1913217.519991__1.519991	40518__R5DTJ1__DXD86_03635
ERR1913217.520012__1.520012	1550024__G9RWQ7__ASJ35_03880
