ERR1913143.22__1.22	40518__R5DP61__DXD86_06345
ERR1913143.581211__1.581211	239935__A0A2N8ITX2__CXT86_11265
ERR1913143.581371__1.581371	239935__A0A2N8ITG2__Amuc_0335
ERR1913143.581336__1.581336	239935__A0A2N8IL82__CXU02_11740
ERR1913143.581426__1.581426	239935__R7DVW2__CXU02_03915
ERR1913143.581758__1.581758	1262882__R5N1Z9__BN519_01020
ERR1913143.581812__1.581812	239935__A0A139TVJ4__CXT86_02020
ERR1913143.581945__1.581945	239935__A0A2N8HX65__CXU17_02540
ERR1913143.581950__1.581950	1262911__R6H2J2__BN557_01228
ERR1913143.582058__1.582058	239935__B2UPZ6__CXU03_03800
ERR1913143.582163__1.582163	818__D7IK38__ERS852430_03017
ERR1913143.582233__1.582233	47678__R5U3D5__DW706_05635
ERR1913143.582489__1.582489	853__A0A3E2U7E6__ERS852582_01640
ERR1913143.582559__1.582559	818__A0A0P0EV21__NCTC13706_01181
ERR1913143.582686__1.582686	40518__R5E4X5__RB5AMG_01438
ERR1913143.582910__1.582910	47678__R5U9Z0__HMPREF1061_03210
ERR1913143.582965__1.582965	820__A0A174QT76__B5G17_18060
ERR1913143.582985__1.582985	1262882__R5MHZ2__BN519_00742
ERR1913143.583205__1.583205	823__A0A355XKQ8__DHP27_04010
ERR1913143.583241__1.583241	239935__A0A2N8HH03__CXU09_08875
ERR1913143.583400__1.583400	745368__A0A1T4Y963__SAMN02745178_02859
ERR1913143.583428__1.583428	74426__pta
ERR1913143.583601__1.583601	820__A0A3E4WA06__ERS852554_03404
ERR1913143.583655__1.583655	823__A6LEF1__CF162_12695
ERR1913143.583657__1.583657	239935__A0A2N8J1K0__CXT97_05765
ERR1913143.583781__1.583781	357276__A0A076IRV2__BACDOR_02822
ERR1913143.584206__1.584206	1262882__R5MEN9__BN519_00201
ERR1913143.584243__1.584243	239935__A0A2N8HUU6__CXT90_06150
ERR1913143.584257__1.584257	239935__A0A2N8IUK0__CXU01_07370
ERR1913143.584486__1.584486	1262882__R5N0F4__BN519_00593
ERR1913143.584521__1.584521	1262882__R5MZ58__BN519_00525
ERR1913143.584551__1.584551	820__A0A139KHD8__ERS417307_00569
ERR1913143.584642__1.584642	820__A0A174QT76__B5G17_18060
ERR1913143.585012__1.585012	47678__R5UU25__DXB67_16190
ERR1913143.585148__1.585148	823__A0A174JYU9__DER51_02115
ERR1913143.585161__1.585161	47678__R5UV30__C5Z00_12615
ERR1913143.585213__1.585213	820__A0A174CK74__DXB48_07060
ERR1913143.585431__1.585431	40520__R7DCR4__DXB81_00490
ERR1913143.585585__1.585585	47678__R5UUB5__ERS852558_00247
ERR1913143.585626__1.585626	1262980__R5BQV7__BN814_00277
ERR1913143.585776__1.585776	820__A0A3E4G3J9__ERS852459_02265
ERR1913143.585787__1.585787	1501391__GCA_000786575.1_00080
ERR1913143.585873__1.585873	820__A7V470__HMPREF1072_02076
ERR1913143.585919__1.585919	357276__C3R5A0__B5F00_02960
ERR1913143.586126__1.586126	1897011__A0A1Q6RH97__BHW41_01945
ERR1913143.586233__1.586233	820__A0A396EXA7__DXB37_15530
ERR1913143.586252__1.586252	818__Q8A3R2__C799_03293
ERR1913143.586264__1.586264	1501391__GCA_000786575.1_00118
ERR1913143.586531__1.586531	328813__A0A1Y3QYI2__B5G41_07050
ERR1913143.586551__1.586551	1262882__R5MH82__BN519_00752
ERR1913143.586598__1.586598	39492__D4JU81__xseA
ERR1913143.586647__1.586647	28116__A7M0E3__AA414_00536
ERR1913143.586658__1.586658	357276__B6W5Q7__DXD47_13945
ERR1913143.586767__1.586767	1501391__GCA_000786575.1_00081
ERR1913143.586733__1.586733	1262882__R5MZ58__BN519_00525
ERR1913143.586799__1.586799	1501391__GCA_000786575.1_00118
ERR1913143.586960__1.586960	39492__D4JWG3__EUBSIR_00308
ERR1913143.587052__1.587052	820__A0A139K4W5__HMPREF2141_02394
ERR1913143.587120__1.587120	1501391__GCA_000786575.1_00152
ERR1913143.587165__1.587165	1628085__A0A3E2Y053__C7386_101394
ERR1913143.587206__1.587206	103807__GeneID:929698
ERR1913143.587519__1.587519	1262882__R5MLT4__BN519_01496
ERR1913143.587572__1.587572	1263107__GCA_000436995.1_00231
ERR1913143.587651__1.587651	47678__A5ZF31__DXB67_11050
ERR1913143.587908__1.587908	239935__A0A2N8IIB9__CXU04_01970
ERR1913143.588166__1.588166	357276__A0A0K2HI25__DXD47_04465
ERR1913143.588241__1.588241	239935__B2URG9__CXU00_11290
ERR1913143.588303__1.588303	239935__A0A2N8IUU3__CXU18_08060
ERR1913143.588311__1.588311	820__A0A174F0C1__nreB
ERR1913143.588340__1.588340	239935__A0A2N8HMQ8__pgsA
ERR1913143.588472__1.588472	97253__N2A756__C823_05027
ERR1913143.588476__1.588476	33039__D4M325__ERS852390_01663
ERR1913143.588787__1.588787	328813__A0A1Y3QRL5__B5G41_11625
ERR1913143.588762__1.588762	357276__B6VW91__BACDOR_01584
ERR1913143.588999__1.588999	820__A0A3E4VZT7__DXB48_16145
ERR1913143.589143__1.589143	818__A0A0N7I9M6__Btheta7330_00939
ERR1913143.589480__1.589480	1262882__R5MND9__BN519_00831
ERR1913143.589559__1.589559	818__A0A139KQP8__BJP75_006755
ERR1913143.589583__1.589583	1501391__GCA_000786575.1_00136
ERR1913143.589838__1.589838	820__A0A3E4G2R7__DXC07_00510
ERR1913143.589997__1.589997	239935__A0A139TMG9__CXU07_10650
ERR1913143.590148__1.590148	394340__fabF
ERR1913143.590391__1.590391	39496__A5Z3I6__EUBVEN_00232
ERR1913143.590423__1.590423	820__A7VAR9__ERS852421_00197
ERR1913143.590515__1.590515	40518__R5DZ88__DXD93_06320
ERR1913143.590569__1.590569	328813__A0A1Y3QVP6__B5G41_04655
ERR1913143.590640__1.590640	1262911__R6GT76__BN557_01150
ERR1913143.590813__1.590813	820__A0A3E4W4Y7__B5G17_02055
ERR1913143.590876__1.590876	239935__B2UQP8__CXU15_01110
ERR1913143.590901__1.590901	239935__A0A2N8I368__CXT95_04550
ERR1913143.591122__1.591122	239935__A0A2N8I3Z7__CXU05_10555
ERR1913143.591863__1.591863	239935__A0A139TPG3__CXT86_08810
ERR1913143.591816__1.591816	40518__R5DVL2__penA
ERR1913143.591923__1.591923	47678__R5UMC3__CGC64_08380
ERR1913143.592014__1.592014	818__A0A139KMR0__Btheta7330_03958
ERR1913143.592061__1.592061	1501391__GCA_000786575.1_00015
ERR1913143.592225__1.592225	1897011__A0A1Q6RBV8__BHW41_06760
ERR1913143.592419__1.592419	820__A0A139KJR5__M093_4469
ERR1913143.592522__1.592522	239935__A0A2N8HSC0__CXU06_05505
ERR1913143.592447__1.592447	1897011__A0A1Q6RH37__BHW41_01795
ERR1913143.592560__1.592560	100884__E7GBN8__HMPREF9488_02179
ERR1913143.592917__1.592917	239935__A0A2N8HAQ1__DEF40_05290
ERR1913143.592971__1.592971	47678__A5ZHP9__bioD1
ERR1913143.592996__1.592996	239935__A0A2N8IRL2__CXU06_01170
ERR1913143.593326__1.593326	820__A0A174Q0F0__DXB48_08080
ERR1913143.593339__1.593339	410072__A0A174LAX8__DXD67_10655
ERR1913143.593353__1.593353	239935__A0A2N8HT18__CXT93_06135
ERR1913143.593554__1.593554	1262882__R5MNC1__BN519_00818
ERR1913143.593561__1.593561	1262882__R5N3H1__BN519_01121
ERR1913143.593698__1.593698	239935__R6JD78__CXU05_09250
ERR1913143.593763__1.593763	239935__R6JD78__CXU05_09250
ERR1913143.593870__1.593870	165179__A0A3E5A554__DXB80_13805
ERR1913143.593920__1.593920	239935__A0A2N8HT68__ADH72_00510
ERR1913143.594032__1.594032	820__A0A139K4W5__HMPREF2141_02394
ERR1913143.594190__1.594190	820__R9HP61__DXC91_01090
ERR1913143.594209__1.594209	820__A0A139K4W5__HMPREF2141_02394
ERR1913143.594153__1.594153	1262882__R5MYX5__BN519_00333
ERR1913143.594236__1.594236	239935__A0A2N8IMD6__CXU03_05585
ERR1913143.594296__1.594296	1262882__R5MM10__BN519_01679
ERR1913143.594389__1.594389	39492__D4JR04__phoU
ERR1913143.594627__1.594627	820__A7V092__hldE
ERR1913143.594642__1.594642	820__A0A139KIL9__DXC68_05945
ERR1913143.594588__1.594588	47678__R5U2I4__ERS852558_03712
ERR1913143.594729__1.594729	820__A0A173WZS4__DXD90_10250
ERR1913143.594744__1.594744	820__A7V470__HMPREF1072_02076
ERR1913143.594778__1.594778	40518__A0A2N0UK36__RBATCC27255_01376
ERR1913143.594899__1.594899	239935__A0A2N8HUU6__CXT90_06150
ERR1913143.595149__1.595149	46503__R6WX12__DXB85_11560
ERR1913143.595114__1.595114	1262882__R5MEN2__BN519_00200
ERR1913143.595135__1.595135	1262882__R5MHZ2__BN519_00742
ERR1913143.595201__1.595201	1262882__R5MYS9__BN519_00290
ERR1913143.595258__1.595258	357276__I9QBT7__BSEG_03340
ERR1913143.595873__1.595873	239935__A0A139TPG3__CXT86_08810
ERR1913143.595932__1.595932	1501391__GCA_000786575.1_00074
ERR1913143.595946__1.595946	239935__A0A2N8I8X8__B5G29_00185
ERR1913143.595963__1.595963	418240__A0A174S3Z4__ypdA_6
ERR1913143.595984__1.595984	47678__R5U8Y1__BACCAC_02615
ERR1913143.596365__1.596365	40518__R5E328__DXD86_08885
ERR1913143.596425__1.596425	820__R9HXK9__DXB62_08265
ERR1913143.596772__1.596772	239935__A0A2N8J1K0__CXT97_05765
ERR1913143.597001__1.597001	818__Q8A335__HMPREF2534_01154
ERR1913143.597087__1.597087	357276__A0A076IKP2__HMPREF1063_00218
ERR1913143.597329__1.597329	820__A0A3E4VZT7__DXB48_16145
ERR1913143.597533__1.597533	1262882__R5MM90__BN519_01721
ERR1913143.597764__1.597764	33039__D4M379__selB
ERR1913143.597702__1.597702	820__A7VAR9__ERS852421_00197
ERR1913143.597866__1.597866	357276__I9QBT7__BSEG_03340
ERR1913143.598037__1.598037	40518__R5DY98__mepA_5
ERR1913143.598392__1.598392	33039__D4M286__ERS852502_02380
ERR1913143.598476__1.598476	820__A0A3E4FZM1__adaA_2
ERR1913143.598705__1.598705	1262882__R5MJZ7__BN519_01272
ERR1913143.598758__1.598758	1501391__GCA_000786575.1_00034
ERR1913143.598887__1.598887	1501391__GCA_000786575.1_00085
ERR1913143.598986__1.598986	47678__R5U7L8__DXB67_16595
ERR1913143.599038__1.599038	40520__A0A174EQJ0__DXB81_02710
ERR1913143.599229__1.599229	1550024__A0A0D8J301__TQ39_02735
ERR1913143.599436__1.599436	1262882__R5MMP8__BN519_01654
ERR1913143.599639__1.599639	28118__F9Z9X9__DF785_11470
ERR1913143.599987__1.599987	820__A7VAR9__ERS852421_00197
ERR1913143.600270__1.600270	1262882__R5MM10__BN519_01679
ERR1913143.600346__1.600346	2137880__A0A316NUD0__DBY21_06900
ERR1913143.600555__1.600555	1262882__R5MJZ4__BN519_01269
ERR1913143.600557__1.600557	239935__A0A2N8I791__CXT99_09415
ERR1913143.600567__1.600567	239935__A0A139TSG7__CXU17_09600
ERR1913143.600643__1.600643	1160721__W0U274__RBI_I00073
ERR1913143.600819__1.600819	1263000__R5EHB0__BN466_01647
ERR1913143.600998__1.600998	1262743__R5C054__BN727_01980
ERR1913143.601220__1.601220	357276__B6W1Y1__BSEG_03960
ERR1913143.601470__1.601470	820__A0A3E4G493__ERS417307_00253
ERR1913143.601569__1.601569	1262760__R5L4T1__BN758_00546
ERR1913143.601707__1.601707	1897011__A0A1Q6RG48__BHW41_02345
ERR1913143.601798__1.601798	1262882__R5N3T7__BN519_01188
ERR1913143.601905__1.601905	820__A0A396EUU8__luxQ_3
ERR1913143.602079__1.602079	1501391__GCA_000786575.1_00055
ERR1913143.602207__1.602207	1681__I3WGI8__DD715_03705
ERR1913143.602462__1.602462	1160721__R6T344__RBI_I00565
ERR1913143.602509__1.602509	239935__A0A2N8IXN0__CXT95_01765
ERR1913143.602916__1.602916	1501391__GCA_000786575.1_00101
ERR1913143.602987__1.602987	239935__B2UL21__CXT98_03395
ERR1913143.603152__1.603152	239935__A0A2N8HT44__CXT84_11035
ERR1913143.603394__1.603394	1263000__R5ETL6__BN466_01607
ERR1913143.603731__1.603731	39491__A0A395ZGE4__ERS852497_01269
ERR1913143.604198__1.604198	239935__A0A2N8I9P4__CXT85_05050
ERR1913143.604300__1.604300	39492__R6SPM9__pheT
ERR1913143.604387__1.604387	239935__A0A2N8I9P4__CXT85_05050
ERR1913143.604617__1.604617	100884__E7GEN7__HMPREF9488_03179
ERR1913143.604656__1.604656	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913143.604700__1.604700	40518__R5DTH7__DXD83_02405
ERR1913143.604914__1.604914	40518__R5DM08__DXD83_06415
ERR1913143.605164__1.605164	371601__I9AGU6__CW1_2721
ERR1913143.605186__1.605186	1897011__A0A1Q6RJV2__BHW41_00030
ERR1913143.605234__1.605234	820__A0A174A6K0__M093_0079
ERR1913143.605242__1.605242	239935__R7E524__CXT91_06180
ERR1913143.605274__1.605274	357276__I9FRW5__B5F95_21685
ERR1913143.605463__1.605463	820__A0A3E4VXP2__yesR
ERR1913143.605438__1.605438	239935__A0A2N8HH03__CXU09_08875
ERR1913143.605519__1.605519	239935__A0A2N8IRW0__A4V05_11620
ERR1913143.605787__1.605787	239935__R6J776__CXU07_02355
ERR1913143.605793__1.605793	820__A0A078STJ8__DXC68_04690
ERR1913143.605957__1.605957	1501391__GCA_000786575.1_00146
ERR1913143.606429__1.606429	357276__A0A076IXE0__HMPREF1064_04364
ERR1913143.606519__1.606519	357276__I9FRW5__B5F95_21685
ERR1913143.606597__1.606597	1501391__GCA_000786575.1_00025
ERR1913143.606632__1.606632	1263107__GCA_000436995.1_00193
ERR1913143.606634__1.606634	1681__K2IQE2__uvrD
ERR1913143.606913__1.606913	1550024__A0A0W7TQU7__TQ39_10940
ERR1913143.606949__1.606949	1501391__GCA_000786575.1_00072
ERR1913143.606983__1.606983	46503__K5ZAK9__NCTC13052_03308
ERR1913143.607195__1.607195	239935__A0A2N8IMC9__CXU09_02095
ERR1913143.607205__1.607205	818__D7I7V5__BJP75_001030
ERR1913143.607253__1.607253	1263000__R5EEL2__BN466_01100
ERR1913143.607064__1.607064	1232426__arcB
ERR1913143.607287__1.607287	28118__R6FFC1__Odosp_2660
ERR1913143.607385__1.607385	820__A7V470__HMPREF1072_02076
ERR1913143.607530__1.607530	239935__A0A2N8IKW7__pstA
ERR1913143.608114__1.608114	47678__R5UU25__DXB67_16190
ERR1913143.608130__1.608130	745368__A0A1T4Y6I3__SAMN02745178_02753
ERR1913143.608396__1.608396	1501391__GCA_000786575.1_00055
ERR1913143.608434__1.608434	1262882__R5N2U9__BN519_01221
ERR1913143.608664__1.608664	357276__I8WBQ9__HMPREF1065_03212
ERR1913143.608778__1.608778	357276__A0A076ISD9__EL88_07480
ERR1913143.609152__1.609152	239935__A0A2N8I9N0__CXT97_09915
ERR1913143.609350__1.609350	371601__D7J5J8__DXD80_05790
ERR1913143.609352__1.609352	239935__B2URG9__CXU00_11290
ERR1913143.609472__1.609472	239935__A0A2N8HL14__CXT98_09285
ERR1913143.609612__1.609612	820__A0A3E4VZT7__DXB48_16145
ERR1913143.609643__1.609643	394340__gyrB
ERR1913143.609662__1.609662	820__A0A3E4XM43__DXC91_13960
ERR1913143.609717__1.609717	1262882__R5N048__BN519_00502
ERR1913143.609775__1.609775	47678__R5U2W6__CGC64_03455
ERR1913143.609966__1.609966	820__R9HUV5__HMPREF2141_02582
ERR1913143.610541__1.610541	360807__A0A396ACQ8__ROSEINA2194_00690
ERR1913143.610718__1.610718	33039__D4M281__ERS852530_00073
ERR1913143.610730__1.610730	820__A0A3E4G3J9__ERS852459_02265
ERR1913143.610967__1.610967	820__A0A139K8N1__ERS852554_00951
ERR1913143.611186__1.611186	1262882__R5N4D8__BN519_01497
ERR1913143.611468__1.611468	853__A8S882__C4N23_07600
ERR1913143.611420__1.611420	239935__A0A2N8IUW6__Amuc_1525
ERR1913143.611630__1.611630	74426__rpoC
ERR1913143.611674__1.611674	239935__A0A2N8IUU3__CXU18_08060
ERR1913143.611617__1.611617	47678__R5UES3__CGC64_00760
ERR1913143.611618__1.611618	47678__R5UES3__CGC64_00760
ERR1913143.611691__1.611691	39492__D4JWG6__EUBSIR_00253
ERR1913143.611703__1.611703	239935__R6J5N6__CXT99_10770
ERR1913143.611848__1.611848	239935__B2URG9__CXU00_11290
ERR1913143.611868__1.611868	1780376__A0A143XEY2__BN3659_00222
ERR1913143.611929__1.611929	1550024__A0A3B9WFC7__ASJ35_09200
ERR1913143.611988__1.611988	28111__E5WZR2__HMPREF1016_02168
ERR1913143.611999__1.611999	46506__B0NT08__BACSTE_02624
ERR1913143.612320__1.612320	239935__A0A2N8HT44__CXT84_11035
ERR1913143.612295__1.612295	552398__F4XHJ1__HMPREF0866_03095
ERR1913143.612453__1.612453	239935__A0A2N8HPS5__Amuc_0950
ERR1913143.612477__1.612477	1660__A0A2X0U5I1__APY09_04825
ERR1913143.612545__1.612545	1262882__R5MPY4__BN519_01128
ERR1913143.612657__1.612657	1501391__GCA_000786575.1_00146
ERR1913143.612662__1.612662	239935__A0A139TQT9__Amuc_1197
ERR1913143.612705__1.612705	820__A7V092__hldE
ERR1913143.612739__1.612739	1681__A0A0E2ZAJ3__BJL93_03770
ERR1913143.612761__1.612761	2108523__A0A2P2F3V9__LAWASA_688
ERR1913143.612780__1.612780	820__A0A3E4GA19__SAMN05444418_10562
ERR1913143.612830__1.612830	818__A0A0P0F004__SAMN02910322_02925
ERR1913143.612999__1.612999	818__A0A3E5HZF3__HMPREF2534_03697
ERR1913143.613471__1.613471	1262882__R5N0Q5__BN519_00642
ERR1913143.613582__1.613582	39485__C4Z1J7__ERS852490_01574
ERR1913143.614088__1.614088	357276__A0A0M1VXQ9__BSEG_00942
ERR1913143.614176__1.614176	410072__A0A174PW62__DXD67_02115
ERR1913143.614310__1.614310	40518__R5DQW8__sipW_2
ERR1913143.614580__1.614580	239935__A0A2N8IVR0__CXT87_07115
ERR1913143.614594__1.614594	820__A0A3E4G8F8__ERS852421_01645
ERR1913143.614627__1.614627	239935__A0A2N8HW65__CXU09_08515
ERR1913143.614832__1.614832	823__D0TCC2__HMPREF1075_01590
ERR1913143.614836__1.614836	820__A0A3E4VXP2__yesR
ERR1913143.614998__1.614998	853__A0A173YYY4__DWZ04_09420
ERR1913143.615133__1.615133	239935__A0A2N8ILG3__CXT93_10135
ERR1913143.615354__1.615354	1262882__R5MZ06__BN519_00492
ERR1913143.615558__1.615558	244366__A0A0B7GCL1__sucC
ERR1913143.615689__1.615689	357276__B6VT86__IY41_22515
ERR1913143.615902__1.615902	239935__A0A2N8ITX2__CXT86_11265
ERR1913143.615906__1.615906	823__E1YT73__NCTC11152_02675
ERR1913143.616248__1.616248	820__A0A174LJB2__HMPREF1072_04112
ERR1913143.616294__1.616294	820__A7VAS1__HMPREF2141_03259
ERR1913143.616442__1.616442	820__A0A3E4W4Y7__B5G17_02055
ERR1913143.616551__1.616551	1262882__R5MM10__BN519_01679
ERR1913143.616936__1.616936	239935__A0A2N8IRL2__CXU06_01170
ERR1913143.617115__1.617115	239935__R6JD78__CXU05_09250
ERR1913143.617286__1.617286	820__A7VAR9__ERS852421_00197
ERR1913143.617314__1.617314	818__A0A2J6AAA9__NCTC10582_00162
ERR1913143.617466__1.617466	1262882__R5N678__BN519_01604
ERR1913143.617628__1.617628	821__R7P1Q7__M099_2990
ERR1913143.617780__1.617780	39492__D4JWD3__EUBSIR_00151
ERR1913143.617924__1.617924	357276__A0A076IN21__BSEG_03078
ERR1913143.618065__1.618065	1263000__R5EMZ8__BN466_00707
ERR1913143.618070__1.618070	1501391__GCA_000786575.1_00077
ERR1913143.618535__1.618535	39492__D4JRR5__ERS852540_02089
ERR1913143.618577__1.618577	651822__GCA_000210715.1_00753
ERR1913143.618659__1.618659	154046__R5TGD8__DXC39_03060
ERR1913143.618702__1.618702	239935__A0A2N8I3G2__CXT89_00720
ERR1913143.618923__1.618923	1262882__R5MYP8__BN519_00439
ERR1913143.618931__1.618931	47678__R5U8S9__DW706_06260
ERR1913143.619021__1.619021	46506__R6LDN0__HMPREF1181_03103
ERR1913143.619106__1.619106	218538__C9LR41__GCWU000321_00309
ERR1913143.619231__1.619231	357276__A0A0M1VXQ9__BSEG_00942
ERR1913143.619331__1.619331	818__A0A174L0X1__NCTC10582_00394
ERR1913143.619486__1.619486	46506__B0NQN6__AA415_00632
ERR1913143.619646__1.619646	239935__A0A2N8IFA0__CXT92_02050
ERR1913143.619650__1.619650	820__A0A3E4RUC4__DHU98_02635
ERR1913143.619689__1.619689	1262743__R5C054__BN727_01980
ERR1913143.620060__1.620060	239935__A0A2N8I1R3__CXU05_06075
ERR1913143.620074__1.620074	1501391__GCA_000786575.1_00099
ERR1913143.620131__1.620131	820__A7V8C2__ERS852554_01338
ERR1913143.620083__1.620083	214856__I3YMN6__Alfi_1938
ERR1913143.620323__1.620323	239935__A0A2N8IRL2__CXU06_01170
ERR1913143.620361__1.620361	1262882__R5MLP5__BN519_01602
ERR1913143.620386__1.620386	818__A0A3E5HVB7__Btheta7330_02386
ERR1913143.620411__1.620411	818__A0A174TT69__SAMN02910322_02680
ERR1913143.620479__1.620479	239935__A0A2N8IKW7__pstA
ERR1913143.620530__1.620530	820__A0A3E4G826__C801_01612
ERR1913143.620635__1.620635	1262911__R6H2J2__BN557_01228
ERR1913143.620739__1.620739	1501391__GCA_000786575.1_00151
ERR1913143.620720__1.620720	357276__A0A076IYE6__IY41_04275
ERR1913143.620788__1.620788	820__A0A139K4W5__HMPREF2141_02394
ERR1913143.620950__1.620950	357276__D1K526__GV66_17250
ERR1913143.621032__1.621032	357276__B6VT86__IY41_22515
ERR1913143.621139__1.621139	46503__K5ZKR1__dnaB
ERR1913143.621157__1.621157	820__A0A174B4N2__M093_2531
ERR1913143.621258__1.621258	239935__R6IZT7__CXU18_11710
ERR1913143.621325__1.621325	357276__B6VVS0__HMPREF1064_03951
ERR1913143.621464__1.621464	371601__A0A174KGU6__CW3_4554
ERR1913143.621869__1.621869	47678__R5U7T0__CGC64_00755
ERR1913143.621998__1.621998	239935__A0A2N8I7W6__CXT90_04245
ERR1913143.622035__1.622035	410072__C0B686__ERS852481_00939
ERR1913143.622083__1.622083	239935__A0A2N8ITG2__Amuc_0335
ERR1913143.622165__1.622165	820__A0A3E4RU03__M093_0563
ERR1913143.622244__1.622244	357276__A0A076IYE6__IY41_04275
ERR1913143.622521__1.622521	1263000__R5EXT3__BN466_02213
ERR1913143.622581__1.622581	820__A0A396EWL3__ERS417307_03868
ERR1913143.622708__1.622708	239935__B2UPZ6__CXU03_03800
ERR1913143.622714__1.622714	820__A0A1T4IY71__HMPREF2141_02402
ERR1913143.622727__1.622727	39492__A0A175A133__cycB_1
ERR1913143.622731__1.622731	820__A0A174CG08__DXB62_13215
ERR1913143.622791__1.622791	1150298__A0A174LLX0__dhaD
ERR1913143.622814__1.622814	820__R9HP61__DXC91_01090
ERR1913143.622984__1.622984	818__Q8A3R2__C799_03293
ERR1913143.623343__1.623343	239935__A0A2N8IRL2__CXU06_01170
ERR1913143.623627__1.623627	820__A0A3E4HWJ4__DXD40_05945
ERR1913143.623678__1.623678	39491__D4JMW8__ERS852497_01971
ERR1913143.623751__1.623751	1501391__GCA_000786575.1_00074
ERR1913143.624192__1.624192	1262882__R5MJZ4__BN519_01269
ERR1913143.624285__1.624285	46506__B0NUC3__SAMN05444283_1019
ERR1913143.624317__1.624317	1160721__A0A373ML50__RBI_I01893
ERR1913143.624322__1.624322	357276__I9RAC4__BSEG_00561
ERR1913143.624323__1.624323	357276__I9RAC4__BSEG_00561
ERR1913143.624410__1.624410	823__A0A355XLQ9__DXC05_02185
ERR1913143.624495__1.624495	820__A0A174GK47__ERS852421_00200
ERR1913143.624521__1.624521	1262882__R5MRT2__BN519_01494
ERR1913143.624552__1.624552	820__A0A174B4N2__M093_2531
ERR1913143.624601__1.624601	47678__R5U9X5__BACCAC_01339
ERR1913143.624660__1.624660	1262882__R5MIY9__BN519_01097
ERR1913143.624690__1.624690	301301__G2SZJ7__RHOM_00620
ERR1913143.624721__1.624721	357276__C3R9Y0__HMPREF1064_01889
ERR1913143.624748__1.624748	239935__A0A2N8IVR0__CXT87_07115
ERR1913143.624925__1.624925	239935__A0A2N8J1K0__CXT97_05765
ERR1913143.624997__1.624997	818__A0A174SHK6__ERS852511_01161
ERR1913143.625144__1.625144	1160721__W0U436__BHW50_10710
ERR1913143.625068__1.625068	239935__A0A2N8IUE8__CXU20_02935
ERR1913143.625286__1.625286	820__A0A139K426__B5G17_09115
ERR1913143.625304__1.625304	820__A0A174GK47__ERS852421_00200
ERR1913143.625335__1.625335	820__A0A374QGD2__ERS852421_02382
ERR1913143.625336__1.625336	820__A0A3E4FWC8__DXC91_14635
ERR1913143.625351__1.625351	47678__R5U4P2__CGC64_17185
ERR1913143.625414__1.625414	820__I9TWZ7__DXC80_10550
ERR1913143.625471__1.625471	371601__A0A078QBF2__HMPREF1074_01001
ERR1913143.625551__1.625551	47678__R5U969__C5Z00_13130
ERR1913143.625569__1.625569	33039__A0A173U9Q3__ERS852390_00518
ERR1913143.625637__1.625637	74426__nifJ
ERR1913143.625713__1.625713	818__A0A3E5GXM2__BJP75_025230
ERR1913143.625723__1.625723	649756__A0A174F5S4__ecfA2
ERR1913143.625724__1.625724	649756__A0A174F5S4__ecfA2
ERR1913143.625835__1.625835	360807__C0FU45__ERS852392_01591
ERR1913143.625995__1.625995	47678__R5U7U0__DW706_12005
ERR1913143.626007__1.626007	1262882__R5N678__BN519_01604
ERR1913143.626182__1.626182	820__A0A3E4G8F8__ERS852421_01645
ERR1913143.626240__1.626240	239935__A0A2N8I3Z7__CXU05_10555
ERR1913143.626310__1.626310	239935__A0A2N8IVR0__CXT87_07115
ERR1913143.626341__1.626341	47678__R5UU99__C5Z00_11925
ERR1913143.626343__1.626343	47678__R5UER2__CGC64_00710
ERR1913143.626350__1.626350	357276__B6W5Q7__DXD47_13945
ERR1913143.626441__1.626441	46503__R6Y9P8__evgS_3
ERR1913143.626507__1.626507	39492__D4JUL3__nreC_2
ERR1913143.626578__1.626578	1263107__GCA_000436995.1_00015
ERR1913143.626589__1.626589	360807__A0A173T236__RIL183_24471
ERR1913143.626718__1.626718	1105031__J1H3W2__HMPREF1141_2783
ERR1913143.626767__1.626767	1262882__R5N3T7__BN519_01188
ERR1913143.626903__1.626903	410072__A0A173Y4Y6__ERS852389_02300
ERR1913143.627134__1.627134	371601__I9AGU6__CW1_2721
ERR1913143.627320__1.627320	239935__A0A139TPU7__CXT91_06575
ERR1913143.627272__1.627272	100884__E7GEK3__DXB30_07700
ERR1913143.627467__1.627467	1262882__R5MEN9__BN519_00201
ERR1913143.627606__1.627606	39488__C0EX85__ERS852578_02315
ERR1913143.627725__1.627725	1262882__R5N2A9__BN519_00921
ERR1913143.627793__1.627793	820__A0A3E4VXP2__yesR
ERR1913143.627804__1.627804	821__A0A395VIK7__BVU_1225
ERR1913143.627815__1.627815	1262882__R5MYG7__BN519_00405
ERR1913143.627832__1.627832	1262882__R5MYS9__BN519_00290
ERR1913143.628112__1.628112	1965661__A0A1Y3SV45__B5G37_06210
ERR1913143.628121__1.628121	47678__R5U332__C5Z00_16810
ERR1913143.628148__1.628148	820__A0A374QGD2__ERS852421_02382
ERR1913143.628268__1.628268	1550024__G9RQ59__TQ39_14360
ERR1913143.628373__1.628373	47678__R5UTU5__CGC64_07175
ERR1913143.628482__1.628482	33039__D4M398__ERS852530_00575
ERR1913143.628528__1.628528	853__A0A173YYY4__DWZ04_09420
ERR1913143.628549__1.628549	28111__E5WZR2__HMPREF1016_02168
