ERR1913214.431__1.431	821__A0A3E4WAR6__DXD64_10735
ERR1913214.488108__1.488108	204516__U6RDD8__HMPREF1534_02559
ERR1913214.488291__1.488291	357276__I8WAB8__B5F00_08100
ERR1913214.488348__1.488348	239935__A0A2N8ITX2__CXT86_11265
ERR1913214.488503__1.488503	1262935__R5GH94__BN773_00883
ERR1913214.488789__1.488789	46506__S3YBS6__AA415_01011
ERR1913214.489054__1.489054	28111__R5JQQ7__NCTC11155_02278
ERR1913214.489107__1.489107	357276__A0A0M1VZG8__HMPREF1064_01655
ERR1913214.489632__1.489632	1262889__R7HD12__BN634_00607
ERR1913214.489806__1.489806	1262935__R5GHP4__BN773_01210
ERR1913214.489956__1.489956	823__D7ILK2__ERS852380_00031
ERR1913214.490152__1.490152	28117__B0MXG7__BHV66_08620
ERR1913214.490230__1.490230	2293125__A0A374CLA5__DW917_01130
ERR1913214.490276__1.490276	1501391__GCA_000786575.1_00062
ERR1913214.491015__1.491015	487174__K0WV96__HMPREF9448_01901
ERR1913214.491626__1.491626	384638__B7AVU0__BACPEC_02840
ERR1913214.491771__1.491771	820__A0A174CK74__DXB48_07060
ERR1913214.492027__1.492027	214856__I3YPP3__Alfi_2701
ERR1913214.492119__1.492119	39492__D4JWA3__ERS852540_01332
ERR1913214.492233__1.492233	1262935__R5GG37__BN773_00249
ERR1913214.492519__1.492519	821__A0A396F1N0__M099_1553
ERR1913214.492762__1.492762	1262935__R5GH94__BN773_00883
ERR1913214.493027__1.493027	487174__K0X2W8__HMPREF9448_02611
ERR1913214.493421__1.493421	28116__A0A1G6G396__DXD69_22115
ERR1913214.493406__1.493406	328814__GCA_004558275.1_02280
ERR1913214.493762__1.493762	357276__A0A076IN21__BSEG_03078
ERR1913214.493996__1.493996	1262889__R7HD87__BN634_01680
ERR1913214.494003__1.494003	291644__I8Z4G9__ina_1
ERR1913214.494070__1.494070	487174__K0X028__DIT83_00950
ERR1913214.494135__1.494135	1262889__R7HCE8__BN634_01718
ERR1913214.494137__1.494137	487174__K0XH97__HMPREF9448_01909
ERR1913214.494271__1.494271	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913214.494335__1.494335	1263000__R5EXT3__BN466_02213
ERR1913214.494363__1.494363	291644__I8YXS6__HMPREF1071_01285
ERR1913214.494375__1.494375	1547597__A0A0C3MGR5__DMB45_01965
ERR1913214.494597__1.494597	357276__A0A076IRX4__ABI39_13585
ERR1913214.494902__1.494902	1262911__R6H0U7__BN557_01104
ERR1913214.495162__1.495162	823__A0A174V089__BDI_3204
ERR1913214.495217__1.495217	487174__K0X7X4__DIT83_09125
ERR1913214.495443__1.495443	410072__A0A173Y221__spoIIIAE
ERR1913214.495646__1.495646	40518__R5DPE0__DXD86_06515
ERR1913214.495730__1.495730	39491__D4JM76__DXC13_02150
ERR1913214.495990__1.495990	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913214.496153__1.496153	1501391__GCA_000786575.1_00077
ERR1913214.496099__1.496099	357276__I9FU68__HMPREF1063_00557
ERR1913214.496504__1.496504	487174__K0X3L3__DDY40_11345
ERR1913214.496740__1.496740	28117__B0MT86__BHV66_02450
ERR1913214.497023__1.497023	357276__B6VT86__IY41_22515
ERR1913214.497189__1.497189	291644__I8Y788__HMPREF1532_02550
ERR1913214.497293__1.497293	1263000__R5EKG2__BN466_02040
ERR1913214.497765__1.497765	821__E5UY21__C800_02204
ERR1913214.497776__1.497776	292800__G9YVI7__yrrB
ERR1913214.497785__1.497785	2293125__A0A374BV30__DW917_13395
ERR1913214.497907__1.497907	1262886__R6RCF6__BN563_00371
ERR1913214.497937__1.497937	820__A0A3E4W9W8__C801_01069
ERR1913214.498035__1.498035	1263006__R6LWN3__BN515_00808
ERR1913214.498196__1.498196	39492__D4JRM4__tap_5
ERR1913214.498734__1.498734	1263000__R5EKG2__BN466_02040
ERR1913214.498740__1.498740	1262935__R5GEN3__BN773_01757
ERR1913214.498858__1.498858	820__A0A3E4RUC4__DHU98_02635
ERR1913214.499046__1.499046	39492__A0A174ZHV5__msbA_2
ERR1913214.499139__1.499139	820__A0A139K5A6__DXB48_12175
ERR1913214.499527__1.499527	1262886__R6Q673__BN563_00372
ERR1913214.499742__1.499742	357276__A0A076IN30__DXD47_09350
ERR1913214.500392__1.500392	357276__A0A076ISD9__EL88_07480
ERR1913214.500522__1.500522	1262945__R6YRW5__BN600_00530
ERR1913214.500655__1.500655	28111__E5WUE7__BACEGG_02087
ERR1913214.500703__1.500703	2293125__A0A374CJZ2__DW917_00735
ERR1913214.500774__1.500774	28118__R6F2P9__B5F99_13925
ERR1913214.500967__1.500967	1262992__R5D9U9__BN795_01022
ERR1913214.501105__1.501105	39492__D4JRZ7__smc
ERR1913214.501179__1.501179	853__A0A3E2U7E6__ERS852582_01640
ERR1913214.501412__1.501412	820__A0A1T4IY71__HMPREF2141_02402
ERR1913214.501423__1.501423	706562__GCA_900112995.1_02127
ERR1913214.501620__1.501620	1501391__GCA_000786575.1_00108
ERR1913214.501762__1.501762	291644__I9SIM2__evgS_11
ERR1913214.501796__1.501796	487174__R5FN40__HMPREF9448_01366
ERR1913214.502292__1.502292	418240__C6JGZ2__ERS852478_02682
ERR1913214.502588__1.502588	214856__A0A175A6T5__ERS852447_02658
ERR1913214.503254__1.503254	1262889__R7H801__BN634_02373
ERR1913214.503288__1.503288	820__A0A078S4C2__ERS417307_00828
ERR1913214.503298__1.503298	357276__I8WHY2__HMPREF1063_00555
ERR1913214.503471__1.503471	28117__B0MYM2__BHV66_04910
ERR1913214.504095__1.504095	1262911__R6H1D2__BN557_00855
ERR1913214.504133__1.504133	572010__ydhV
ERR1913214.504246__1.504246	1263000__R5EKG2__BN466_02040
ERR1913214.504282__1.504282	821__U6RDC2__DXD46_15675
ERR1913214.504327__1.504327	301301__A0A395V407__ERS852391_02230
ERR1913214.504633__1.504633	823__A0A355XKQ8__DHP27_04010
ERR1913214.504686__1.504686	357276__I9RCD3__IY41_15070
ERR1913214.504694__1.504694	357276__B6W5Q7__DXD47_13945
ERR1913214.505051__1.505051	357276__A0A0M1W657__HMPREF1064_04629
ERR1913214.505167__1.505167	1262911__R6H2J2__BN557_01228
ERR1913214.505247__1.505247	35833__E5Y724__HMPREF0179_01988
ERR1913214.505318__1.505318	291644__I9TER0__HMPREF1532_01526
ERR1913214.505379__1.505379	820__A0A3E4RTP0__C801_01067
ERR1913214.505410__1.505410	40518__R5DYP7__envC
ERR1913214.505413__1.505413	166486__A0A1Q6SG96__ROSINTL182_05330
ERR1913214.506379__1.506379	820__A0A396EUU8__luxQ_3
ERR1913214.506400__1.506400	1262935__R5GU54__BN773_00232
ERR1913214.506432__1.506432	821__A0A174RA14__M099_1655
ERR1913214.506608__1.506608	357276__G5SMD3__BSEG_02959
ERR1913214.506740__1.506740	487174__K0WX28__HMPREF9448_02178
ERR1913214.506883__1.506883	458033__GCA_001482755.1_02203
ERR1913214.507006__1.507006	821__A0A0P0LFP6__C5Z04_13890
ERR1913214.507260__1.507260	1099853__U5CMJ0__NSB1T_01275
ERR1913214.507482__1.507482	820__A7V092__hldE
ERR1913214.507636__1.507636	28117__R7JJM9__ALIPUT_00662
ERR1913214.507675__1.507675	39492__D4JVT0__EUBSIR_00059
ERR1913214.507771__1.507771	1262935__R5GUD0__BN773_00454
ERR1913214.507864__1.507864	40518__R5E550__aroK
ERR1913214.507873__1.507873	410072__C0B785__ERS852574_00808
ERR1913214.507939__1.507939	88431__A0A174RV97__ERS852573_01297
ERR1913214.508017__1.508017	39492__D4JT68__spoIIIE
ERR1913214.508033__1.508033	357276__I9QDB8__B5F95_08105
ERR1913214.508092__1.508092	823__A0A355XH29__lolE_1
ERR1913214.508387__1.508387	821__A0A396F598__CUU_3259
ERR1913214.508451__1.508451	28116__E5C3L0__B5F02_21065
ERR1913214.508636__1.508636	165179__A0A3E5EA43__DXC61_07775
ERR1913214.508760__1.508760	39492__D4JR58__EUBSIR_02090
ERR1913214.508799__1.508799	165179__A0A3E5EA43__DXC61_07775
ERR1913214.509141__1.509141	1262889__R7HGV8__BN634_01881
ERR1913214.509198__1.509198	357276__I8VQA2__HMPREF1065_04183
ERR1913214.509994__1.509994	671267__R9IB12__C802_00696
ERR1913214.510060__1.510060	40520__A0A174M3Q7__DXD81_08640
ERR1913214.510099__1.510099	291644__R5JR56__HMPREF1532_03512
ERR1913214.510193__1.510193	821__A6L0C7__ERS852556_03520
ERR1913214.510238__1.510238	47678__R5U3U1__BACCAC_03593
ERR1913214.510982__1.510982	384638__B7ASI3__BACPEC_02038
ERR1913214.511044__1.511044	823__D0TAX5__HMPREF1075_01064
ERR1913214.511429__1.511429	820__A0A3E4G493__ERS417307_00253
ERR1913214.511583__1.511583	544645__A0A3E4T524__DXC42_10825
ERR1913214.511561__1.511561	47678__A0A174TQR6__CGC64_14735
ERR1913214.511719__1.511719	1262942__R7R1Z5__BN520_00272
ERR1913214.511918__1.511918	291644__R5JQ82__HMPREF1532_01183
ERR1913214.512118__1.512118	818__D7IK38__ERS852430_03017
ERR1913214.512059__1.512059	1262935__R5GH23__BN773_00804
ERR1913214.512269__1.512269	165179__R6PU83__CFT61_14275
ERR1913214.512319__1.512319	1262935__R5GJC7__BN773_01761
ERR1913214.512320__1.512320	823__A0A078TL61__ERS852429_00610
ERR1913214.512364__1.512364	821__A0A396F598__CUU_3259
ERR1913214.512413__1.512413	1099853__U5CNF1__NSB1T_01130
ERR1913214.512669__1.512669	1262935__R5GTR5__BN773_00263
ERR1913214.512700__1.512700	544645__A0A1U7L8T1__DXC42_06325
ERR1913214.513147__1.513147	28117__B0MU58__BHV66_05630
ERR1913214.513364__1.513364	46228__B5CLE1__HMPREF1202_01861
ERR1913214.513610__1.513610	357276__E5UTL1__HMPREF1065_03551
ERR1913214.513916__1.513916	821__A0A396F9T7__M097_3427
ERR1913214.514006__1.514006	1262911__R6H2B5__BN557_01151
ERR1913214.514227__1.514227	291644__I8Y9K6__ERS852428_01745
ERR1913214.514270__1.514270	487174__K0WXI9__HMPREF9448_02340
ERR1913214.514327__1.514327	1263000__R5EXT3__BN466_02213
ERR1913214.514377__1.514377	1262935__R5GR54__BN773_00986
ERR1913214.514395__1.514395	204516__U6RFV1__HMPREF1534_02560
ERR1913214.514958__1.514958	1297617__A0A2U1CEN0__BIV19_02710
ERR1913214.515614__1.515614	1262736__R5YAS8__BN496_01746
ERR1913214.515717__1.515717	1262935__R5GSF1__BN773_01646
ERR1913214.515750__1.515750	853__A0A174BZY1__xerD_1
ERR1913214.515837__1.515837	35833__E5Y2V2__HMPREF0179_00466
ERR1913214.515871__1.515871	28116__A0A1G6G9R4__CUY_0131
ERR1913214.515957__1.515957	28116__A0A1G6G396__DXD69_22115
ERR1913214.516035__1.516035	820__A0A139K5A6__DXB48_12175
ERR1913214.516229__1.516229	28118__R6FHC4__NCTC10826_00338
ERR1913214.516364__1.516364	43675__D2NTF6__RM6536_1715
ERR1913214.516393__1.516393	820__A0A139K5A6__DXB48_12175
ERR1913214.516419__1.516419	820__A0A374Q854__HMPREF1073_03281
ERR1913214.516421__1.516421	1262935__R5GG03__BN773_00437
ERR1913214.516569__1.516569	357276__I9FTR0__HMPREF1065_02861
ERR1913214.516610__1.516610	291644__I8Y011__HMPREF1071_04228
ERR1913214.516693__1.516693	821__A0A3E4HP25__SAMN04487923_102450
ERR1913214.516620__1.516620	2293125__A0A374C5Y6__DW917_09105
ERR1913214.516622__1.516622	47678__R5U325__HMPREF1061_03209
ERR1913214.516792__1.516792	46503__R6WTN6__PARMER_00136
ERR1913214.516853__1.516853	745368__A0A1T4Y7V7__SAMN02745178_02833
ERR1913214.516878__1.516878	28117__B0MZ22__BHV66_04430
ERR1913214.517255__1.517255	357276__A0A174L570__GV66_05720
ERR1913214.517424__1.517424	357276__A0A076IS26__EL88_15950
ERR1913214.518007__1.518007	1262935__R5GGB5__BN773_00347
ERR1913214.518156__1.518156	371601__I9UNU3__DXD03_06250
ERR1913214.518193__1.518193	357276__A0A0K2HHN3__GV66_08845
ERR1913214.518432__1.518432	204516__U6R7W5__HMPREF1534_03766
ERR1913214.518614__1.518614	1262935__R5GHA4__BN773_00035
ERR1913214.518643__1.518643	1897011__A0A1Q6RBR9__BHW41_06830
ERR1913214.518816__1.518816	357276__I9FTR0__HMPREF1065_02861
ERR1913214.518903__1.518903	1235835__R9LCU2__C814_02677
ERR1913214.519085__1.519085	823__A6LB62__B5F32_04550
ERR1913214.519573__1.519573	28117__B0MXR1__BHV66_08035
ERR1913214.519598__1.519598	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913214.519703__1.519703	357276__B6W1Y1__BSEG_03960
ERR1913214.519811__1.519811	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913214.519868__1.519868	1501391__GCA_000786575.1_00028
ERR1913214.520203__1.520203	357276__I8VQA2__HMPREF1065_04183
ERR1913214.520686__1.520686	328814__GCA_004558275.1_01846
ERR1913214.520697__1.520697	1160721__W0U2W0__BHW50_02075
ERR1913214.520873__1.520873	820__A0A173WZS4__DXD90_10250
ERR1913214.521014__1.521014	454155__F3QY50__HMPREF9442_03142
ERR1913214.521106__1.521106	47678__A5ZJ14__ERS852494_02225
ERR1913214.521172__1.521172	821__A0A3E4HP25__SAMN04487923_102450
ERR1913214.521322__1.521322	39491__A0A174EQV2__DXB69_10230
ERR1913214.521393__1.521393	487174__K0WTW4__DDY40_12630
ERR1913214.521674__1.521674	1263000__R5EKR4__BN466_01609
ERR1913214.521862__1.521862	291644__R5JQ82__HMPREF1532_01183
ERR1913214.522161__1.522161	820__A7V092__hldE
ERR1913214.522279__1.522279	28117__B0MVL2__BHV66_01645
ERR1913214.522611__1.522611	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913214.522905__1.522905	1318__A0A3E4U8W0__trpD
ERR1913214.522906__1.522906	1472761__GCA_002159295.1_00660
ERR1913214.523172__1.523172	39492__A0A174ZHV5__msbA_2
ERR1913214.523196__1.523196	2293125__A0A374C671__DW917_09135
ERR1913214.523433__1.523433	357276__I9RAC4__BSEG_00561
ERR1913214.523533__1.523533	39491__D4JMW8__ERS852497_01971
ERR1913214.523644__1.523644	1262911__R6GKX4__BN557_01388
ERR1913214.524545__1.524545	291644__I9TJP2__ERS852428_00842
ERR1913214.524978__1.524978	818__A0A3E5HVB7__Btheta7330_02386
ERR1913214.525242__1.525242	165179__A0A229I3Z6__PREVCOP_03666
ERR1913214.525682__1.525682	454155__F3QX42__HMPREF9442_02776
ERR1913214.525969__1.525969	487174__K0XKD7__HMPREF9448_01550
ERR1913214.526208__1.526208	853__A0A2A7B1Y7__C7K05_11930
ERR1913214.526732__1.526732	1501391__GCA_000786575.1_00087
ERR1913214.527080__1.527080	1501391__GCA_000786575.1_00061
ERR1913214.527088__1.527088	820__A0A3E4WA06__ERS852554_03404
ERR1913214.527342__1.527342	1262825__R5E1G0__BN724_01308
ERR1913214.527364__1.527364	487174__K0WUJ8__DIT83_08050
ERR1913214.527367__1.527367	357276__I9FGI3__EL88_12385
ERR1913214.527463__1.527463	1262911__R6GPC5__BN557_00852
ERR1913214.527587__1.527587	820__A0A174M9V5__M093_0237
ERR1913214.527673__1.527673	454154__G5SLP5__HMPREF9441_00264
ERR1913214.527720__1.527720	820__A0A1Y3V743__M093_0235
ERR1913214.528523__1.528523	28116__A0A1Y4PTX5__SAMN05192582_104017
ERR1913214.528628__1.528628	820__A0A3E4W984__pssA
ERR1913214.528672__1.528672	2293125__A0A374C671__DW917_09135
ERR1913214.528678__1.528678	214856__I3YPP9__Alfi_2707
ERR1913214.528722__1.528722	39492__D4JR58__EUBSIR_02090
ERR1913214.528794__1.528794	487174__R5FN40__HMPREF9448_01366
ERR1913214.528903__1.528903	454155__F3QX17__HMPREF9442_02751
ERR1913214.529056__1.529056	1262886__R6QNZ2__BN563_00672
ERR1913214.529108__1.529108	46506__B0NRJ1__DXC41_14065
ERR1913214.529566__1.529566	40518__R5DUG7__sbcC
ERR1913214.529637__1.529637	39492__D4JUS6__accD5
ERR1913214.529693__1.529693	28111__E5WUH3__BACEGG_02112
ERR1913214.529732__1.529732	821__A0A173WG51__BVU_2549
ERR1913214.529766__1.529766	371601__A0A1H4CLA7__ERS852396_03474
ERR1913214.529794__1.529794	28118__R6FET8__DHW44_06635
ERR1913214.530064__1.530064	1263044__GCA_000433375.1_03426
ERR1913214.530075__1.530075	454155__F3QX32__HMPREF9442_02766
ERR1913214.530533__1.530533	357276__I9F327__DXD47_22495
ERR1913214.530512__1.530512	328814__GCA_004558275.1_00041
ERR1913214.531123__1.531123	410072__C0BC38__ERS852574_02017
ERR1913214.531139__1.531139	28117__B0MY34__BHV66_05195
ERR1913214.531426__1.531426	1547597__A0A0C3R5F9__BA92_07630
ERR1913214.531506__1.531506	28111__E5WZR2__HMPREF1016_02168
ERR1913214.531705__1.531705	1262935__R5GLG4__BN773_00617
ERR1913214.531878__1.531878	820__A7V9F9__B5G17_14640
ERR1913214.531880__1.531880	40518__R5E4E8__phoR_4
ERR1913214.532241__1.532241	28117__B0MXW9__ALIPUT_01981
ERR1913214.532556__1.532556	28117__B0MTI4__ALIPUT_00084
ERR1913214.532599__1.532599	310298__B3JQJ5__BACCOP_04231
ERR1913214.532647__1.532647	821__C6ZAA5__ERS852556_00403
ERR1913214.532786__1.532786	818__A0A0P0F2P7__BT_1771
ERR1913214.532788__1.532788	1262911__R6GPC5__BN557_00852
ERR1913214.532993__1.532993	39492__B0MPL6__EUBSIR_01779
ERR1913214.533250__1.533250	371601__A0A1H4EI15__SAMN05216250_1169
ERR1913214.533365__1.533365	820__A0A3E4VXP2__yesR
ERR1913214.533386__1.533386	204516__U6R8I1__HMPREF1534_03341
ERR1913214.533443__1.533443	47678__A5ZHL2__DXB67_12495
ERR1913214.533452__1.533452	1262889__R7HCL5__BN634_01590
ERR1913214.533776__1.533776	28111__R5K5V1__NCTC11155_02461
ERR1913214.533835__1.533835	28117__B0MXU6__ALIPUT_01958
ERR1913214.533839__1.533839	1547597__A0A0C3NK89__BA92_01830
ERR1913214.534098__1.534098	410072__A0A173XQG6__ERS852574_01620
ERR1913214.534256__1.534256	165179__A0A3E5DWZ6__DXC61_10880
ERR1913214.534453__1.534453	46506__A0A120A3P8__SAMN05444283_1172
ERR1913214.534473__1.534473	1262935__R5GKU2__BN773_00436
ERR1913214.534859__1.534859	39491__D6E4H2__DXB99_00485
ERR1913214.534930__1.534930	165179__A0A174SA26__PREVCOP_05758
ERR1913214.534933__1.534933	1780376__A0A143XSC4__BN3659_01663
ERR1913214.534994__1.534994	936548__J0SLP8__HMPREF1136_1577
ERR1913214.535373__1.535373	46228__V8CC14__HMPREF1202_00614
ERR1913214.535462__1.535462	487174__K0WYC5__HMPREF9448_01493
ERR1913214.536053__1.536053	820__A7VAR9__ERS852421_00197
ERR1913214.536111__1.536111	823__A0A355XF06__B5F32_11480
ERR1913214.536184__1.536184	1262935__R5GEC6__BN773_01664
ERR1913214.536425__1.536425	39491__C4Z872__LD38_07250
ERR1913214.536433__1.536433	1685__A0A3D8UEL2__DRBB29_0129
ERR1913214.536523__1.536523	28117__B0MTV0__BHV66_06395
ERR1913214.536533__1.536533	214856__I3YMB7__Alfi_1811
ERR1913214.536782__1.536782	1550024__A0A3B9WKW6__TQ39_07780
ERR1913214.536850__1.536850	1262935__R5GT62__BN773_01738
ERR1913214.536911__1.536911	1262886__R6QN23__BN563_00445
ERR1913214.536987__1.536987	1262935__R5GDU9__BN773_01301
ERR1913214.537345__1.537345	2293125__A0A374BSW4__DW917_13420
ERR1913214.537537__1.537537	1628085__A0A2U1BGQ7__C7386_101108
ERR1913214.537555__1.537555	821__A0A174AYT0__DXC02_03530
ERR1913214.537740__1.537740	328814__GCA_004558275.1_00025
ERR1913214.537883__1.537883	454155__F3QS51__HMPREF9442_01006
ERR1913214.538127__1.538127	820__A0A174P0L5__glcK_3
ERR1913214.538204__1.538204	357276__A0A174L570__GV66_05720
ERR1913214.538353__1.538353	818__A0A174LEN9__BJP75_006595
ERR1913214.538370__1.538370	204516__U6R9H3__HMPREF1534_03348
ERR1913214.538671__1.538671	1897011__A0A1Q6RDE2__BHW41_05525
ERR1913214.538791__1.538791	46228__V8C7P7__HMPREF1202_01523
ERR1913214.538861__1.538861	821__A0A0P0M3U7__DXB90_14325
ERR1913214.539423__1.539423	1262935__R5GSC2__BN773_01435
ERR1913214.539518__1.539518	291644__I9HP97__HMPREF1532_00061
ERR1913214.539594__1.539594	1262935__R5GH23__BN773_00804
ERR1913214.539598__1.539598	371601__A0A1Y4VA23__SAMN04487924_1246
ERR1913214.539703__1.539703	823__A6LEF3__ERS852560_01356
ERR1913214.539710__1.539710	246787__A0A108T4D5__HMPREF1062_06346
ERR1913214.539711__1.539711	821__A0A3E4WAR6__DXD64_10735
ERR1913214.539725__1.539725	818__A0A174P8N7__BSIG_4141
ERR1913214.539802__1.539802	46503__R6X8Q3__fepA_2
ERR1913214.539978__1.539978	28118__F9ZCN1__B5F99_10605
ERR1913214.540278__1.540278	1262935__R5GM63__BN773_00882
ERR1913214.540442__1.540442	35833__E5YB59__HMPREF0179_03432
ERR1913214.540705__1.540705	39492__D4JTW6__ERS852540_00220
ERR1913214.541231__1.541231	28117__R7JJM9__ALIPUT_00662
ERR1913214.541565__1.541565	1262935__R5GHJ3__BN773_01150
ERR1913214.541704__1.541704	823__A0A395YZ10__NCTC11152_02955
ERR1913214.541741__1.541741	487174__K0XF08__DDY40_09050
ERR1913214.542229__1.542229	821__A0A0P0LH09__ERS852457_03390
ERR1913214.542898__1.542898	1262935__R5GH94__BN773_00883
ERR1913214.542973__1.542973	1262935__R5GH41__BN773_00979
ERR1913214.543005__1.543005	1262882__R5MKX3__BN519_00395
ERR1913214.543416__1.543416	818__A0A3E5HN77__HMPREF2534_00072
ERR1913214.543672__1.543672	39492__A0A174ZG93__EUBSIR_00254
ERR1913214.543709__1.543709	821__A0A174RA14__M099_1655
ERR1913214.544266__1.544266	820__A0A174A6K0__M093_0079
ERR1913214.544440__1.544440	357276__C3R9Y0__HMPREF1064_01889
ERR1913214.545198__1.545198	40518__A0A2N0UQR6__RBATCC27255_01177
ERR1913214.545328__1.545328	46228__B5CMW7__DXD17_11810
ERR1913214.545549__1.545549	40518__R5DZ16__DXD86_01455
ERR1913214.545812__1.545812	1262889__R7HEJ5__BN634_01091
ERR1913214.545919__1.545919	328814__GCA_004558275.1_00018
ERR1913214.546367__1.546367	823__D0TC25__B5F32_04575
ERR1913214.546574__1.546574	46228__B5CTC0__RUMLAC_02743
ERR1913214.546898__1.546898	853__A0A174BA00__DW905_01145
ERR1913214.547044__1.547044	46228__V8BLW9__DXD17_14090
ERR1913214.547109__1.547109	1262911__R6H2J2__BN557_01228
ERR1913214.547178__1.547178	291644__I8YYM8__HMPREF1532_01562
ERR1913214.547117__1.547117	1262935__R5GCM2__BN773_01053
ERR1913214.547118__1.547118	357276__A0A0M1W1I8__ABI39_13620
ERR1913214.547138__1.547138	487174__K0XA48__DDY40_03955
ERR1913214.547383__1.547383	820__A0A174F0C1__nreB
ERR1913214.547387__1.547387	46228__V8C4S2__HMPREF1202_01829
ERR1913214.547613__1.547613	487174__K0XKD7__HMPREF9448_01550
ERR1913214.547780__1.547780	357276__B6W5Q9__HMPREF1063_03125
ERR1913214.547822__1.547822	821__A0A0P0L8F8__ERS852509_03705
ERR1913214.547744__1.547744	1501391__GCA_000786575.1_00055
ERR1913214.547756__1.547756	821__E5UY21__C800_02204
ERR1913214.548261__1.548261	291644__I9SIM2__evgS_11
ERR1913214.548568__1.548568	1262825__R5EAZ3__BN724_00826
ERR1913214.548658__1.548658	820__A0A374Q854__HMPREF1073_03281
ERR1913214.548768__1.548768	358743__G5HST5__HMPREF9469_05647
ERR1913214.548961__1.548961	291644__I9I0P6__HMPREF1532_01982
ERR1913214.549022__1.549022	35833__S2KT27__HMPREF0179_05324
ERR1913214.549076__1.549076	1262886__R6QHD5__BN563_00547
ERR1913214.549308__1.549308	821__A0A173XDD3__DXB82_17180
ERR1913214.549521__1.549521	28111__E5WWI8__HMPREF1016_01036
ERR1913214.549642__1.549642	46228__V8C4T8__RUMLAC_02058
ERR1913214.549648__1.549648	552398__F4XCR9__HMPREF0866_01636
ERR1913214.549694__1.549694	46506__S3YVF9__BACSTE_02487
ERR1913214.549740__1.549740	39492__D4JVG1__ERS852540_00951
ERR1913214.550155__1.550155	357276__B6W1J2__BACDOR_03380
ERR1913214.550470__1.550470	853__C7H1R8__DW905_06675
ERR1913214.550880__1.550880	823__A0A355XIK0__CEQ22_011965
ERR1913214.550933__1.550933	39492__D4JT75__EUBSIR_01776
ERR1913214.550960__1.550960	1263000__R5EXF8__BN466_01942
ERR1913214.551087__1.551087	28118__R6FC01__fepE
ERR1913214.551172__1.551172	46228__V8CAV6__addA
ERR1913214.551588__1.551588	1262889__R7HA41__BN634_01028
ERR1913214.551687__1.551687	487174__K0XER9__DDY40_08885
ERR1913214.551743__1.551743	2293125__A0A374C5Y6__DW917_09105
ERR1913214.552051__1.552051	39492__R6RYB8__ERS852540_00322
ERR1913214.552141__1.552141	357276__A0A0K2HF54__HMPREF1063_03537
ERR1913214.552423__1.552423	1262935__R5GSZ0__BN773_01827
ERR1913214.552526__1.552526	357276__A0A0K2HI25__DXD47_04465
ERR1913214.552571__1.552571	823__A0A174PDQ0__DXC05_08200
ERR1913214.552711__1.552711	39488__C0EX25__DXD91_11965
ERR1913214.552840__1.552840	823__A6L930__DDY96_14995
ERR1913214.553047__1.553047	1262888__R6PRN7__BN582_01239
ERR1913214.553184__1.553184	1262736__R5YCY9__BN496_00487
ERR1913214.553200__1.553200	1796613__A0A1C7GYD6__A4V03_03700
ERR1913214.553630__1.553630	1262935__R5GVL3__BN773_00865
ERR1913214.553757__1.553757	823__A0A174JYU9__DER51_02115
ERR1913214.553735__1.553735	1262935__R5GHA4__BN773_00035
ERR1913214.553836__1.553836	487174__K0X694__DIT83_09060
ERR1913214.554233__1.554233	46503__A7ADV9__ERS852463_01504
ERR1913214.554270__1.554270	1262736__R5Y6X9__BN496_00558
ERR1913214.554303__1.554303	46228__V8C4T8__RUMLAC_02058
ERR1913214.554365__1.554365	2173__A0A1D2WTP5__BK798_02785
ERR1913214.554570__1.554570	2173__A5UJ55__METSMIF1_03396
ERR1913214.554986__1.554986	1262935__R5GFW3__BN773_00404
ERR1913214.555739__1.555739	1628085__A0A1C6CQE7__C7386_12126
ERR1913214.555917__1.555917	1262911__R6H2B5__BN557_01151
ERR1913214.556187__1.556187	357276__A0A0K2HDP3__IY41_00705
ERR1913214.556217__1.556217	1262935__R5GF26__BN773_01700
ERR1913214.556302__1.556302	214856__A0A174EQR4__rsmA
ERR1913214.556715__1.556715	301301__A0A395VAZ8__RHOM_11660
ERR1913214.556802__1.556802	39492__D4JWY1__rnfA_1
ERR1913214.556822__1.556822	820__A0A396EUU8__luxQ_3
ERR1913214.556989__1.556989	357276__C3REQ8__GV66_09740
ERR1913214.557391__1.557391	291644__I9SJI5__HMPREF1532_03725
ERR1913214.557443__1.557443	1262935__R5GUE2__BN773_00325
ERR1913214.557712__1.557712	2108523__A0A2P2F4W7__LAWASA_1054
ERR1913214.557982__1.557982	46503__R6Y449__ERS852463_00137
ERR1913214.558107__1.558107	821__A0A396F598__CUU_3259
ERR1913214.558230__1.558230	487174__K0WVG2__DDY40_00285
ERR1913214.558350__1.558350	40518__R5DU52__RB5AMG_02245
ERR1913214.558450__1.558450	823__A0A173VS36__M091_4727
ERR1913214.558534__1.558534	1262935__R5GG00__BN773_00204
ERR1913214.558548__1.558548	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913214.559032__1.559032	2108523__A0A2P2F8A7__LAWASA_2275
