ERR1913174.31__1.31	209880__A0A1G5WTG1__SAMN02910343_01605
ERR1913174.418926__1.418926	357276__U6R8F9__DXD47_04035
ERR1913174.419069__1.419069	820__A0A139K5A6__DXB48_12175
ERR1913174.419207__1.419207	626933__H1DGX0__HMPREF9449_01506
ERR1913174.419247__1.419247	820__A0A174TRB5__DXD40_11305
ERR1913174.419287__1.419287	487174__R5FJH0__DDY40_07055
ERR1913174.419303__1.419303	357276__I8WPR6__EL88_06675
ERR1913174.419513__1.419513	552398__T5S086__HMPREF0866_01580
ERR1913174.419525__1.419525	357276__A0A0K2HDP3__IY41_00705
ERR1913174.419831__1.419831	357276__B6W5Q7__DXD47_13945
ERR1913174.419878__1.419878	39486__B0G2S4__DXD10_16540
ERR1913174.419960__1.419960	1262992__R5DE88__BN795_00202
ERR1913174.420083__1.420083	40518__R5DUU2__yvhJ_2
ERR1913174.420066__1.420066	204516__U6RNE3__HMPREF1534_00331
ERR1913174.420181__1.420181	357276__A0A076IXE0__HMPREF1064_04364
ERR1913174.420237__1.420237	1628085__A0A374VKR8__C7386_1272
ERR1913174.420276__1.420276	28117__B0MXD0__ALIPUT_01669
ERR1913174.420371__1.420371	166486__D4KXE5__ERS852572_01168
ERR1913174.420453__1.420453	820__A0A3E4QZJ7__C801_01798
ERR1913174.420466__1.420466	818__C6IEU8__BSIG_0269
ERR1913174.420479__1.420479	821__A0A174NVL6__NCTC10583_01782
ERR1913174.420488__1.420488	357276__I9R994__BACDOR_04044
ERR1913174.420917__1.420917	39491__C4ZF05__vpr
ERR1913174.420976__1.420976	166486__C7GFB3__ERS852572_03826
ERR1913174.421153__1.421153	357276__E5UTL1__HMPREF1065_03551
ERR1913174.421172__1.421172	239935__A0A2N8I3G2__CXT89_00720
ERR1913174.421219__1.421219	357276__A0A0M1W1I8__ABI39_13620
ERR1913174.421309__1.421309	387090__S0F7Y3__BACCOPRO_02028
ERR1913174.421364__1.421364	28117__R7JPX7__BHV66_00900
ERR1913174.421568__1.421568	357276__B6W1Y1__BSEG_03960
ERR1913174.422002__1.422002	357276__D1K3K9__EL88_23995
ERR1913174.422108__1.422108	40518__A0A2N0UK36__RBATCC27255_01376
ERR1913174.422216__1.422216	214856__A0A173ZQY0__ERS852559_00007
ERR1913174.422226__1.422226	246787__R6KQ08__AA416_01934
ERR1913174.422244__1.422244	239935__A0A2N8HAQ1__DEF40_05290
ERR1913174.422284__1.422284	39491__A0A395UWA3__DXB69_11805
ERR1913174.422383__1.422383	371601__F7LA63__HMPREF1074_04288
ERR1913174.422496__1.422496	853__A0A3E2U7E6__ERS852582_01640
ERR1913174.422510__1.422510	556259__E5C7H8__BSGG_0454
ERR1913174.422609__1.422609	357276__I9RCD3__IY41_15070
ERR1913174.422631__1.422631	371601__A0A1H4ANE8__SAMN05216250_10552
ERR1913174.422784__1.422784	360807__A0A173WYK2__ROSEINA2194_02795
ERR1913174.422714__1.422714	40518__R5DZC6__mreC
ERR1913174.422932__1.422932	820__A0A3E4XDK3__ERS852554_03650
ERR1913174.423086__1.423086	371601__D6CXF8__DXD80_06045
ERR1913174.423133__1.423133	820__R9I3N4__M093_0061
ERR1913174.423155__1.423155	818__A0A174VIU7__ERS852557_03640
ERR1913174.423162__1.423162	357276__B6VW91__BACDOR_01584
ERR1913174.423234__1.423234	357276__B6W5Q7__DXD47_13945
ERR1913174.423509__1.423509	820__R9I3Q7__HMPREF1072_01668
ERR1913174.423525__1.423525	820__A0A3E4XM43__DXC91_13960
ERR1913174.423646__1.423646	28116__A7M0E3__AA414_00536
ERR1913174.423820__1.423820	357276__A0A076IN21__BSEG_03078
ERR1913174.423845__1.423845	357276__B6VT86__IY41_22515
ERR1913174.424003__1.424003	357276__B6W5Q7__DXD47_13945
ERR1913174.424009__1.424009	371601__D6D2M1__CW1_3199
ERR1913174.424014__1.424014	39491__A0A2U2EKL1__ERS852580_00911
ERR1913174.424105__1.424105	40518__R5E6K5__speA
ERR1913174.424150__1.424150	357276__B6VW91__BACDOR_01584
ERR1913174.424180__1.424180	818__A0A1H7S810__BJP75_003270
ERR1913174.424222__1.424222	357276__I8WBQ9__HMPREF1065_03212
ERR1913174.424239__1.424239	204516__U6R9E7__HMPREF1534_03313
ERR1913174.424380__1.424380	246787__R6K756__HMPREF1062_01819
ERR1913174.424402__1.424402	40518__R5DME2__DXD86_07315
ERR1913174.424405__1.424405	818__A0A0P0FLN9__NCTC13706_01794
ERR1913174.424428__1.424428	745368__A0A1T4Y437__SAMN02745178_02934
ERR1913174.424482__1.424482	823__A0A355XJ56__DDY96_07685
ERR1913174.424524__1.424524	39491__C4ZHS4__EUR_24420
ERR1913174.424637__1.424637	823__A0A355WYX8__CF162_07950
ERR1913174.424646__1.424646	820__A0A174LJB2__HMPREF1072_04112
ERR1913174.424675__1.424675	160404__A0A1Y3TT09__SAMN02745138_03131
ERR1913174.424681__1.424681	823__D7IUM6__M091_1082
ERR1913174.424687__1.424687	823__A6LEF1__CF162_12695
ERR1913174.424694__1.424694	28117__B0MWP2__ALIPUT_01468
ERR1913174.424697__1.424697	357276__B6W5Q9__HMPREF1063_03125
ERR1913174.424745__1.424745	246787__A0A0P0GV75__HMPREF1062_00095
ERR1913174.424748__1.424748	246787__A0A108T429__BACCELL_00192
ERR1913174.425002__1.425002	820__R9I324__HMPREF2141_02414
ERR1913174.425034__1.425034	39486__B0G7K1__HMPREF9457_01526
ERR1913174.425199__1.425199	357276__A0A0K2HDV9__DXD47_02600
ERR1913174.425150__1.425150	28116__I9TDA4__BACOV975_03134
ERR1913174.425472__1.425472	823__A0A073I748__M096_3057
ERR1913174.425498__1.425498	626929__F3PJ28__B5F24_03465
ERR1913174.425621__1.425621	820__A0A3E4VZY4__ERS852554_01211
ERR1913174.425623__1.425623	204516__U6RAM4__HMPREF1534_03439
ERR1913174.425730__1.425730	820__A0A139K4T0__ERS852510_03146
ERR1913174.425805__1.425805	28117__B0MU57__ALIPUT_00175
ERR1913174.426053__1.426053	371601__I9A9L7__CW1_3649
ERR1913174.426081__1.426081	820__A0A374Q854__HMPREF1073_03281
ERR1913174.426116__1.426116	821__A0A174NVL6__NCTC10583_01782
ERR1913174.426139__1.426139	39491__C4ZAT2__ERE_28440
ERR1913174.426229__1.426229	1262992__R5DBL4__BN795_01435
ERR1913174.426289__1.426289	487174__K0WV13__DIT83_10890
ERR1913174.426314__1.426314	410072__A0A173XQG6__ERS852574_01620
ERR1913174.426316__1.426316	33039__D4LZZ3__psf-1
ERR1913174.426276__1.426276	357276__I8WC65__EL88_00520
ERR1913174.426496__1.426496	329854__R7E733__DXD57_00120
ERR1913174.426581__1.426581	39486__B0G4W7__DXD50_05105
ERR1913174.426664__1.426664	28117__B0N007__BHV66_10275
ERR1913174.426681__1.426681	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913174.426741__1.426741	818__A0A174VV39__BT_3492
ERR1913174.426765__1.426765	823__A6LBY1__ERS852380_00510
ERR1913174.426886__1.426886	357276__A0A076IS26__EL88_15950
ERR1913174.427079__1.427079	671267__R9HYS1__C802_04097
ERR1913174.427154__1.427154	28116__A0A078Q626__HMPREF1070_02735
ERR1913174.427189__1.427189	33038__A0A396GES8__CDL19_08885
ERR1913174.427249__1.427249	821__A0A3E4WAR6__DXD64_10735
ERR1913174.427290__1.427290	39496__A5Z8C5__EUBVEN_01966
ERR1913174.427317__1.427317	357276__E5UTL1__HMPREF1065_03551
ERR1913174.427638__1.427638	820__A0A374MXK3__HMPREF1072_00166
ERR1913174.427719__1.427719	820__A0A174G065__DXB62_08975
ERR1913174.427752__1.427752	820__A0A173WZS4__DXD90_10250
ERR1913174.427827__1.427827	649756__B0P1V9__CL2_10750
ERR1913174.427896__1.427896	1262746__R5S759__BN750_00759
ERR1913174.427931__1.427931	204516__U6R9E7__HMPREF1534_03313
ERR1913174.427988__1.427988	28117__B0MYI9__BHV66_05415
ERR1913174.428019__1.428019	39486__B0G9K3__DXD18_11205
ERR1913174.428032__1.428032	357276__I8WEZ6__BACDOR_02323
ERR1913174.428055__1.428055	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913174.428058__1.428058	745368__A0A1T4XKD6__SAMN02745178_01942
ERR1913174.428285__1.428285	39486__B0G542__DXB36_08545
ERR1913174.428466__1.428466	239935__R7DVL7__CXT93_01180
ERR1913174.428630__1.428630	74426__purL
ERR1913174.428677__1.428677	246787__A0A3D6B2C7__BcellWH2_03259
ERR1913174.428783__1.428783	357276__A0A076ISD9__EL88_07480
ERR1913174.428918__1.428918	820__R9I324__HMPREF2141_02414
ERR1913174.428919__1.428919	820__A0A173YYG4__evgS_3
ERR1913174.428927__1.428927	820__A0A3E4WCX3__C801_02709
ERR1913174.429015__1.429015	357276__I8WBQ9__HMPREF1065_03212
ERR1913174.429188__1.429188	823__A6LFW2__M095_1860
ERR1913174.429201__1.429201	74426__nrdD
ERR1913174.429267__1.429267	745368__A0A1T4XXN7__SAMN02745178_02496
ERR1913174.429396__1.429396	39491__A0A395V0E5__ERE_31370
ERR1913174.429461__1.429461	357276__A0A076IRX7__HMPREF1064_00526
ERR1913174.429612__1.429612	28117__B0MWZ9__ALIPUT_01735
ERR1913174.429691__1.429691	820__R9I2U8__DXC68_09590
ERR1913174.429715__1.429715	820__R9HVB9__DXC68_17285
ERR1913174.429838__1.429838	40518__R5E2R8__nnr_2
ERR1913174.429913__1.429913	853__A0A173T751__C4N24_10280
ERR1913174.429979__1.429979	166486__D4L2C5__ERS852572_01688
ERR1913174.430048__1.430048	1262911__R6HN81__BN557_00921
ERR1913174.430091__1.430091	820__A0A3E4RU03__M093_0563
ERR1913174.430154__1.430154	246787__R6KIG0__BcellWH2_02358
ERR1913174.430362__1.430362	901__B6WTW8__DESPIGER_1202
ERR1913174.430499__1.430499	1150298__R7JUV3__yfnB
ERR1913174.430512__1.430512	357276__A0A076J8M3__ABI39_13695
ERR1913174.430737__1.430737	39491__A0A395V0H3__ERS852417_01192
ERR1913174.430806__1.430806	292800__A0A174UQD2__B5F52_18205
ERR1913174.430824__1.430824	357276__A0A0K2HDV9__DXD47_02600
ERR1913174.430870__1.430870	239935__A0A2N8HHB6__B5G29_11500
ERR1913174.430931__1.430931	246787__A0A0P0FVC6__BACCELL_03671
ERR1913174.430964__1.430964	820__A7V092__hldE
ERR1913174.430973__1.430973	40518__R5DTW7__phoU
ERR1913174.431003__1.431003	821__I9R3W6__DXC16_12455
ERR1913174.431166__1.431166	39486__G1WPY4__DXD82_02995
ERR1913174.431215__1.431215	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1913174.431233__1.431233	357276__C3RA36__HMPREF1065_03270
ERR1913174.431333__1.431333	823__D0TC25__B5F32_04575
ERR1913174.431486__1.431486	418240__A0A174FAS2__btr_1
ERR1913174.431686__1.431686	552398__F4XHM9__HMPREF0866_03133
ERR1913174.431873__1.431873	357276__I8WBQ9__HMPREF1065_03212
ERR1913174.431894__1.431894	204516__U6RDD8__HMPREF1534_02559
ERR1913174.431935__1.431935	371601__A0A078QBF2__HMPREF1074_01001
ERR1913174.431957__1.431957	357276__A0A076INK2__BSEG_04225
ERR1913174.432023__1.432023	204516__U6R9E7__HMPREF1534_03313
ERR1913174.432053__1.432053	28117__B0MYM2__BHV66_04910
ERR1913174.432060__1.432060	357276__I8WBQ9__HMPREF1065_03212
ERR1913174.432063__1.432063	39491__A0A2U2EI54__DXD95_12010
ERR1913174.432074__1.432074	487174__K0X694__DIT83_09060
ERR1913174.432412__1.432412	116085__D4J460__DW747_14805
ERR1913174.432539__1.432539	39491__A0A395ZDC6__addB
ERR1913174.432596__1.432596	28117__B0MTV3__BHV66_06405
ERR1913174.432731__1.432731	28116__A7M0W7__SAMN05444282_11172
ERR1913174.432753__1.432753	39486__B0GA02__HMPREF9457_02273
ERR1913174.432780__1.432780	1897011__A0A1Q6RJW7__BHW41_00060
ERR1913174.432861__1.432861	357276__A0A076IRZ5__BACDOR_00630
ERR1913174.432918__1.432918	47678__R5U7X8__C5Z00_18270
ERR1913174.432934__1.432934	820__A0A173YYG4__evgS_3
ERR1913174.432938__1.432938	33039__D4LYZ5__ERS852390_01248
ERR1913174.432948__1.432948	357276__D1JYA3__BSEG_00395
ERR1913174.432975__1.432975	1262803__R6N9Q3__BN649_01144
ERR1913174.433214__1.433214	39491__A0A174EQV2__DXB69_10230
ERR1913174.433520__1.433520	823__A0A3E4P9U5__ERS852380_02719
ERR1913174.433575__1.433575	1262743__R5C054__BN727_01980
ERR1913174.433578__1.433578	820__A0A396EUU8__luxQ_3
ERR1913174.433689__1.433689	820__A0A078S4C2__ERS417307_00828
ERR1913174.433726__1.433726	384638__B7APR0__BACPEC_00666
ERR1913174.433768__1.433768	239935__A0A139TVH7__CXU22_00215
ERR1913174.433736__1.433736	357276__I9QXD4__IY41_00345
ERR1913174.433855__1.433855	39491__A0A174K1W6__DXB99_15020
ERR1913174.433882__1.433882	160404__A0A1M6YB15__SAMN02745138_02966
ERR1913174.434030__1.434030	1262911__R6GS70__BN557_00854
ERR1913174.434040__1.434040	28117__R7JIJ8__BHV66_01635
ERR1913174.434081__1.434081	820__A0A3E4GA19__SAMN05444418_10562
ERR1913174.434083__1.434083	649756__R5Z9G3__ERS852571_02234
ERR1913174.434162__1.434162	40518__R5E4X1__DXD93_05270
ERR1913174.434462__1.434462	626929__R6M5Q4__HMPREF9445_00529
ERR1913174.434431__1.434431	1262911__R6GT76__BN557_01150
ERR1913174.434487__1.434487	28117__R7JIJ8__BHV66_01635
ERR1913174.434544__1.434544	820__A0A139JY23__B5G17_06330
ERR1913174.434583__1.434583	33038__A7B614__CDL24_02540
ERR1913174.434601__1.434601	116085__D4J4J5__DW747_14035
ERR1913174.434644__1.434644	246787__R6LGB3__BcellWH2_02361
ERR1913174.434712__1.434712	28116__A0A3D2LWY1__ERS852555_01619
ERR1913174.434744__1.434744	820__A0A3E4GA19__SAMN05444418_10562
ERR1913174.434771__1.434771	28117__B0MTW8__ALIPUT_00502
ERR1913174.435028__1.435028	446660__GCA_003428235.1_01930
ERR1913174.435049__1.435049	357276__B6W5Q7__DXD47_13945
ERR1913174.435124__1.435124	626929__R6M5B4__B5F97_02215
ERR1913174.435395__1.435395	820__A7V8C2__ERS852554_01338
ERR1913174.435407__1.435407	39486__G1WMX5__HMPREF9457_00476
ERR1913174.435364__1.435364	360807__A0A173WJE3__mcp4_4
ERR1913174.435472__1.435472	671267__R9HYS1__C802_04097
ERR1913174.435501__1.435501	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913174.435789__1.435789	39491__A0A173VH71__ERS852497_01827
ERR1913174.436300__1.436300	47678__A5ZI88__BACCAC_02617
ERR1913174.436387__1.436387	40518__R5DWQ2__DXD93_03810
ERR1913174.436393__1.436393	823__A0A073I9P2__CF162_18000
ERR1913174.436428__1.436428	39491__A0A395UYM9__DXC13_07980
ERR1913174.436477__1.436477	823__A6LEF1__CF162_12695
ERR1913174.436544__1.436544	823__A0A355XEX9__ERS852560_03521
ERR1913174.436584__1.436584	818__A0A3E5HDU6__C799_04515
ERR1913174.436803__1.436803	239935__B2UPZ6__CXU03_03800
ERR1913174.436822__1.436822	357276__I9R994__BACDOR_04044
ERR1913174.436886__1.436886	818__Q8AAE0__Btheta7330_02023
ERR1913174.436961__1.436961	39491__A0A395ZL98__DXB99_00620
ERR1913174.436975__1.436975	214856__A0A174ZD89__ERS852559_00526
ERR1913174.437061__1.437061	820__A0A3E4G3J9__ERS852459_02265
ERR1913174.437106__1.437106	1262746__R5S771__BN750_00769
ERR1913174.437110__1.437110	823__A0A174KUS4__araC_7
ERR1913174.437191__1.437191	239935__A0A2N8IRW0__A4V05_11620
ERR1913174.437326__1.437326	823__A0A395YVY3__ERS852513_03204
ERR1913174.437335__1.437335	357276__A0A076IYE6__IY41_04275
ERR1913174.437444__1.437444	39486__B0G9E4__tilS
ERR1913174.437370__1.437370	820__A0A139JY23__B5G17_06330
ERR1913174.437475__1.437475	1262992__R5D637__BN795_00221
ERR1913174.437528__1.437528	823__A0A355XIK0__CEQ22_011965
ERR1913174.437800__1.437800	357276__A0A0M1VZG8__HMPREF1064_01655
ERR1913174.437966__1.437966	820__A0A139KJR5__M093_4469
ERR1913174.438172__1.438172	823__A0A078TL61__ERS852429_00610
ERR1913174.438258__1.438258	823__A6LHJ7__ERS852380_00253
ERR1913174.438423__1.438423	39491__A0A395V5R3__EUBREC_1883
ERR1913174.438630__1.438630	239935__R6J4Y4__CXU17_09810
ERR1913174.438697__1.438697	216816__C5E9A6__mutT4
ERR1913174.438712__1.438712	820__A0A3E4VXP2__yesR
ERR1913174.438752__1.438752	820__A0A3E4W984__pssA
ERR1913174.438808__1.438808	158787__A0A087DG80__BSCA_1742
ERR1913174.438901__1.438901	246787__A0A3D6AWM8__BACCELL_01963
ERR1913174.439039__1.439039	820__A0A374Q4X1__HMPREF2141_02370
ERR1913174.439175__1.439175	360807__A0A173WYK2__ROSEINA2194_02795
ERR1913174.439197__1.439197	853__D4K7X0__DW905_09540
ERR1913174.439257__1.439257	823__E1YR62__HMPREF1059_02331
ERR1913174.439273__1.439273	820__A0A174F696__macB_13
ERR1913174.439352__1.439352	357276__A0A076IN30__DXD47_09350
ERR1913174.439355__1.439355	40518__R5E4V5__RBL263_01242
ERR1913174.439374__1.439374	394340__nifJ
ERR1913174.439393__1.439393	820__A0A174QLF0__SAMN05444418_109151
ERR1913174.439590__1.439590	418240__C6JFI6__ERS852523_01129
ERR1913174.439786__1.439786	371601__D4WBK5__BN891_3970
ERR1913174.439946__1.439946	33039__A0A174ZX07__dapE_1
ERR1913174.440047__1.440047	371601__C3QEU5__ERS852396_01058
ERR1913174.440122__1.440122	2108523__A0A2P2F8G3__LAWASA_2336
ERR1913174.440153__1.440153	39491__A0A395UWA3__DXB69_11805
ERR1913174.440208__1.440208	357276__I9R002__HMPREF1064_01826
ERR1913174.440274__1.440274	39491__A0A395ZG96__DXB69_15120
ERR1913174.440302__1.440302	818__A0A139K1T6__SAMN05216253_11033
ERR1913174.440373__1.440373	357276__I9QBT4__GV66_09000
ERR1913174.440399__1.440399	39491__D6E558__DXB69_00810
ERR1913174.440496__1.440496	818__A0A3E5GY47__SAMN02910322_02002
ERR1913174.440565__1.440565	357276__A0A0M1VZG8__HMPREF1064_01655
ERR1913174.440506__1.440506	360807__A0A0M6WIL3__ERS852444_01365
ERR1913174.440568__1.440568	28111__E5X0Y0__HMPREF1016_02598
ERR1913174.440671__1.440671	204516__U6RDD8__HMPREF1534_02559
ERR1913174.440906__1.440906	1628085__A0A1C6D825__C7386_1061
ERR1913174.440958__1.440958	39486__B0G7N0__DXC93_07990
ERR1913174.440963__1.440963	39491__A0A396FFW0__ERE_10580
ERR1913174.441135__1.441135	820__A7V8C2__ERS852554_01338
ERR1913174.441152__1.441152	626933__H1DGX0__HMPREF9449_01506
ERR1913174.441302__1.441302	820__A0A3E5E0T0__ERS852554_00312
ERR1913174.441562__1.441562	1150298__A0A174QSP7__ERS852406_03088
ERR1913174.441572__1.441572	47678__R5U8S9__DW706_06260
ERR1913174.441578__1.441578	820__A0A3E4W980__M093_3873
ERR1913174.441722__1.441722	820__A0A139K4T0__ERS852510_03146
ERR1913174.441953__1.441953	418240__A0A174SJB0__toxA_3
ERR1913174.441965__1.441965	820__A0A3E4G8F8__ERS852421_01645
ERR1913174.441976__1.441976	820__A0A174QLF0__SAMN05444418_109151
ERR1913174.442061__1.442061	820__A0A1T4IYF4__mprA_1
ERR1913174.442069__1.442069	357276__I8WBQ9__HMPREF1065_03212
ERR1913174.442073__1.442073	820__A0A174R952__DXB48_02570
ERR1913174.442386__1.442386	357276__B6W1J2__BACDOR_03380
ERR1913174.442442__1.442442	820__A0A3E4RUC4__DHU98_02635
ERR1913174.442508__1.442508	301301__G2SZM1__RHOM_00740
ERR1913174.442540__1.442540	1262992__R5DBL4__BN795_01435
ERR1913174.442609__1.442609	33039__A0A174XW11__RTO_07780
ERR1913174.442646__1.442646	360807__A0A0M6WZV0__ERS852392_03150
ERR1913174.442681__1.442681	820__R9HVB9__DXC68_17285
ERR1913174.442735__1.442735	820__A0A3E4WCX3__C801_02709
ERR1913174.442736__1.442736	853__A0A173XRA8__CGS56_09290
ERR1913174.442767__1.442767	47678__R5UPG7__C5Z00_18695
ERR1913174.442796__1.442796	39486__G1WPY4__DXD82_02995
ERR1913174.442936__1.442936	820__A0A139KIL9__DXC68_05945
ERR1913174.443001__1.443001	39491__A0A395ZM93__DXD13_03490
ERR1913174.443010__1.443010	1796613__A0A1C7H6N8__ADH74_01350
ERR1913174.443021__1.443021	1550024__A0A0W7TVR8__ASJ35_01140
ERR1913174.443055__1.443055	1262746__R5SS80__BN750_02125
ERR1913174.443057__1.443057	820__A0A374Q8T2__DXB64_16190
ERR1913174.443105__1.443105	357276__A0A076ISD9__EL88_07480
ERR1913174.443295__1.443295	823__A0A174JYU9__DER51_02115
ERR1913174.443379__1.443379	853__A8SCP3__C4N26_07960
ERR1913174.443512__1.443512	818__A0A0P0F2P7__BT_1771
ERR1913174.443557__1.443557	371601__C3QVE5__CW1_1049
ERR1913174.443593__1.443593	820__A0A3E4G3J9__ERS852459_02265
ERR1913174.443636__1.443636	853__A0A2A7B9I6__DW855_13690
ERR1913174.443621__1.443621	820__A0A174F696__macB_13
ERR1913174.443728__1.443728	818__D7I7V5__BJP75_001030
ERR1913174.443771__1.443771	357276__A0A076IN21__BSEG_03078
ERR1913174.443779__1.443779	39491__A0A395ZGU6__ERS852417_01456
ERR1913174.443829__1.443829	820__A0A174M9V5__M093_0237
ERR1913174.443921__1.443921	820__A0A174Q0F0__DXB48_08080
ERR1913174.443936__1.443936	853__A0A173YYY4__DWZ04_09420
ERR1913174.444100__1.444100	39491__A0A395UWZ1__DXC13_02175
ERR1913174.444135__1.444135	1262992__R5D749__BN795_01063
ERR1913174.444158__1.444158	39491__A0A174LTW7__DXD13_08720
ERR1913174.444171__1.444171	820__I9TWZ7__DXC80_10550
ERR1913174.444452__1.444452	357276__A0A076IRX4__ABI39_13585
ERR1913174.444527__1.444527	552398__F4XCR9__HMPREF0866_01636
ERR1913174.444697__1.444697	820__A0A174CG08__DXB62_13215
ERR1913174.444701__1.444701	1262992__R5DDC9__BN795_00492
ERR1913174.444724__1.444724	820__A0A3E4QZJ7__C801_01798
ERR1913174.444738__1.444738	1262992__R5D749__BN795_01063
ERR1913174.444841__1.444841	1262886__R6RCC2__BN563_00326
ERR1913174.444921__1.444921	357276__I9QWD4__DXD47_15075
ERR1913174.445018__1.445018	820__A0A3E4XM43__DXC91_13960
ERR1913174.445357__1.445357	239935__A0A2N8HHB6__B5G29_11500
ERR1913174.445524__1.445524	47678__A0A3E5BQM1__DXB67_08970
ERR1913174.445632__1.445632	820__A0A374Q854__HMPREF1073_03281
ERR1913174.445715__1.445715	706562__GCA_900112995.1_00572
ERR1913174.445723__1.445723	1262911__R6GW73__BN557_00128
ERR1913174.445725__1.445725	28117__B0MT73__ALIPUT_00412
ERR1913174.445701__1.445701	1150298__R7JRJ7__ERS852406_01438
ERR1913174.446185__1.446185	820__A0A173WUD7__DXB48_08055
ERR1913174.446218__1.446218	28117__R7JMT0__BHV66_05875
ERR1913174.446325__1.446325	166486__A0A173V5I7__ERS852572_02640
ERR1913174.446306__1.446306	47678__R5UPG7__C5Z00_18695
ERR1913174.446310__1.446310	821__R6F3Y1__SAMN04487923_104318
ERR1913174.446316__1.446316	820__A0A139KEW8__DXB64_06405
ERR1913174.446378__1.446378	357276__A0A0P0M2G3__BACDOR_03913
ERR1913174.446410__1.446410	820__A0A174EV88__HMPREF1072_01427
ERR1913174.446438__1.446438	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913174.446468__1.446468	820__A0A174R952__DXB48_02570
ERR1913174.446506__1.446506	246787__A0A0P0GG22__BACCELL_01899
ERR1913174.446536__1.446536	357276__E5UTL1__HMPREF1065_03551
ERR1913174.446556__1.446556	371601__D7J857__B5E52_13185
ERR1913174.446564__1.446564	820__A0A139K4W5__HMPREF2141_02394
ERR1913174.446581__1.446581	820__A0A174QT76__B5G17_18060
ERR1913174.446653__1.446653	410072__A0A173XQG6__ERS852574_01620
ERR1913174.446721__1.446721	239935__A0A2N8IMC9__CXU09_02095
ERR1913174.446822__1.446822	204516__U6R9E7__HMPREF1534_03313
ERR1913174.446941__1.446941	246787__A0A108T1Y3__fepA_8
ERR1913174.446983__1.446983	820__A0A139KJ23__celCCA
ERR1913174.447272__1.447272	40518__R5E1X3__clcA
ERR1913174.447353__1.447353	1150298__A0A174DX06__ERS852498_00491
ERR1913174.447432__1.447432	47678__R5UG22__ERS852558_01514
ERR1913174.447514__1.447514	310298__B3JQJ5__BACCOP_04231
ERR1913174.447551__1.447551	820__A0A3E4WCX3__C801_02709
ERR1913174.447560__1.447560	853__A0A2A7B9I6__DW855_13690
ERR1913174.447602__1.447602	454155__F3QTU9__HMPREF9442_01618
ERR1913174.447721__1.447721	357276__I8WML9__DXD47_10570
ERR1913174.447687__1.447687	820__A7V470__HMPREF1072_02076
ERR1913174.447728__1.447728	820__A0A078S4C2__ERS417307_00828
ERR1913174.447777__1.447777	28116__A7LS06__HMPREF2532_04668
ERR1913174.448118__1.448118	40518__R5DLJ7__lytR_4
ERR1913174.448144__1.448144	1262992__R5D046__BN795_01532
ERR1913174.448192__1.448192	357276__B6VYT9__HMPREF1063_05030
ERR1913174.448280__1.448280	820__A0A174CG08__DXB62_13215
ERR1913174.448497__1.448497	239935__R6IYQ1__CXU15_06450
ERR1913174.448574__1.448574	47678__R5UU25__DXB67_16190
ERR1913174.448564__1.448564	544645__A0A3E4T484__DXC42_11405
ERR1913174.448616__1.448616	357276__A0A0K2HDV9__DXD47_02600
ERR1913174.448666__1.448666	823__A0A174WTX5__DD466_11965
ERR1913174.448694__1.448694	39488__A0A173RSC6__ERS852450_01530
ERR1913174.448757__1.448757	246787__A0A0P0GR24__BcellWH2_03263
ERR1913174.448778__1.448778	39491__C4Z9D4__DXD95_00055
ERR1913174.448862__1.448862	39491__A0A173VD97__DXB69_07350
ERR1913174.448879__1.448879	357276__B6W1Y1__BSEG_03960
ERR1913174.448884__1.448884	291645__I8WZT8__HMPREF1068_04327
ERR1913174.448949__1.448949	823__D0TBY4__M090_0431
ERR1913174.448992__1.448992	39491__A0A173SH34__EUR_24920
ERR1913174.449072__1.449072	28116__D7J6A7__NCTC11153_02798
ERR1913174.449089__1.449089	371601__F7LHU5__B5E52_04280
ERR1913174.449152__1.449152	28117__B0MSS1__ALIPUT_00273
ERR1913174.449196__1.449196	357276__I8VQA2__HMPREF1065_04183
ERR1913174.449231__1.449231	820__A7V470__HMPREF1072_02076
ERR1913174.449245__1.449245	28117__R7JPX7__BHV66_00900
ERR1913174.449265__1.449265	820__A0A173WUD7__DXB48_08055
ERR1913174.449366__1.449366	454154__G5SME1__HMPREF9441_00516
ERR1913174.449456__1.449456	820__A0A174A6K0__M093_0079
ERR1913174.449719__1.449719	39491__A0A395V297__EUR_01010
ERR1913174.449863__1.449863	853__A0A3E2V168__FAEPRAM212_00929
ERR1913174.449923__1.449923	246787__A0A3D6AS39__ina
ERR1913174.449976__1.449976	1263076__GCA_000437615.1_00039
ERR1913174.450740__1.450740	39486__B0G7B0__DXC93_14415
ERR1913174.450894__1.450894	371601__D7J4G5__DXD80_07740
ERR1913174.450899__1.450899	820__A0A173YYG4__evgS_3
ERR1913174.450913__1.450913	160404__R6PWC9__SAMN02745138_00464
ERR1913174.450831__1.450831	820__A0A139KJ23__celCCA
ERR1913174.451015__1.451015	28117__B0MVL5__BHV66_01660
ERR1913174.451034__1.451034	820__A0A396EWL3__ERS417307_03868
ERR1913174.451125__1.451125	820__A0A139K1Y6__DXB48_02610
