ERR1913312.55__1.55	357276__A0A076IXE0__HMPREF1064_04364
ERR1913312.975415__1.975415	214856__R6Y8K1__ERS852447_02509
ERR1913312.975515__1.975515	292800__A0A174V3E4__ydgI
ERR1913312.975560__1.975560	1262913__R7JGB9__BN646_02147
ERR1913312.975565__1.975565	1262882__R5MSP5__BN519_01637
ERR1913312.975676__1.975676	46228__B5CP96__RUMLAC_01287
ERR1913312.975637__1.975637	1262882__R5MIQ8__BN519_01036
ERR1913312.975703__1.975703	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913312.975844__1.975844	46228__V8C6B2__DXD17_09805
ERR1913312.975886__1.975886	823__K6AS99__ERS852429_01856
ERR1913312.975890__1.975890	1150298__A0A174S4G4__dacB_1
ERR1913312.975957__1.975957	239935__A0A2N8HT44__CXT84_11035
ERR1913312.976016__1.976016	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913312.976026__1.976026	1263044__GCA_000433375.1_03425
ERR1913312.976047__1.976047	214856__R6XS46__ERS852559_00812
ERR1913312.976125__1.976125	1262882__R5N2E1__BN519_01117
ERR1913312.976229__1.976229	214856__A0A174ZEF7__mboIIM_1
ERR1913312.976237__1.976237	239935__A0A139TPG3__CXT86_08810
ERR1913312.976267__1.976267	821__I9R3W6__DXC16_12455
ERR1913312.976320__1.976320	821__A0A174V2F3__NCTC10583_01474
ERR1913312.976295__1.976295	371601__D6CXF7__BN891_50120
ERR1913312.976311__1.976311	2108523__A0A2P2F6D0__LAWASA_1569
ERR1913312.976536__1.976536	39492__D4JRY3__EUBSIR_01473
ERR1913312.976748__1.976748	820__A0A3E4G3J9__ERS852459_02265
ERR1913312.976864__1.976864	214856__A0A174FY71__ERS852559_01033
ERR1913312.976951__1.976951	214856__I3YMC8__ERS852447_02666
ERR1913312.977018__1.977018	357276__A0A076J8M3__ABI39_13695
ERR1913312.977140__1.977140	39492__D4JUP6__ERS852540_01404
ERR1913312.977516__1.977516	1262882__R5N3T7__BN519_01188
ERR1913312.977611__1.977611	1262924__R7HMZ4__BN585_01629
ERR1913312.977739__1.977739	1262913__R7JEY4__BN646_02004
ERR1913312.977928__1.977928	1735__B7CEC3__EUBIFOR_02567
ERR1913312.977936__1.977936	46228__V8CBX9__HMPREF1202_00568
ERR1913312.977998__1.977998	1262824__R6SU72__BN719_02581
ERR1913312.978078__1.978078	218538__C9LNQ3__GCWU000321_01176
ERR1913312.978094__1.978094	39492__D4JUR4__ERS852540_01427
ERR1913312.978133__1.978133	1150298__A0A174R4D7__tmpC_2
ERR1913312.978121__1.978121	820__R9I3Q7__HMPREF1072_01668
ERR1913312.978166__1.978166	1297617__A0A0S2W146__IB211_00701
ERR1913312.978211__1.978211	46503__B7BG40__ERS852463_01623
ERR1913312.978262__1.978262	328814__GCA_004558275.1_00035
ERR1913312.978232__1.978232	39492__D4MIY5__EUBSIR_00233
ERR1913312.978235__1.978235	1262882__R5MKV8__BN519_01281
ERR1913312.978247__1.978247	1262986__R5ZW93__BN492_01240
ERR1913312.978279__1.978279	88431__A0A173WD09__zntR_1
ERR1913312.978396__1.978396	544645__A0A3E4T484__DXC42_11405
ERR1913312.978472__1.978472	292800__A0A174P641__tap_4
ERR1913312.978509__1.978509	39491__A0A395V0E5__ERE_31370
ERR1913312.978599__1.978599	39492__D4JRX7__EUBSIR_01480
ERR1913312.978688__1.978688	214856__A0A174ZEW0__ERS852447_00985
ERR1913312.978708__1.978708	47678__A5ZI88__BACCAC_02617
ERR1913312.978710__1.978710	853__A0A174BA00__DW905_01145
ERR1913312.978824__1.978824	1262882__R5MJ49__BN519_01124
ERR1913312.978988__1.978988	1262882__R5MYP8__BN519_00439
ERR1913312.979064__1.979064	39492__D4JTG7__EUBSIR_00572
ERR1913312.979113__1.979113	1680__R5GPK0__B0487_0620
ERR1913312.979156__1.979156	40518__R5DR72__RBL236_02110
ERR1913312.979082__1.979082	371601__C3QR34__DXD03_22980
ERR1913312.979320__1.979320	1262919__R5P5Y8__BN465_01244
ERR1913312.979391__1.979391	46228__B5CR74__HMPREF1202_02190
ERR1913312.979623__1.979623	39491__A0A396FNY7__LD38_16155
ERR1913312.979829__1.979829	649756__D4MY23__ERS852571_00200
ERR1913312.979921__1.979921	39491__C4ZEW3__T1815_18241
ERR1913312.979950__1.979950	1261__D3MR67__SAMN05660467_01650
ERR1913312.980118__1.980118	246787__A0A3D6AQP8__AA416_04153
ERR1913312.980121__1.980121	1262913__R7JDS4__BN646_01864
ERR1913312.980124__1.980124	40518__R5E1J7__RBL236_02062
ERR1913312.980142__1.980142	1262882__R5MM90__BN519_01721
ERR1913312.980367__1.980367	1262924__R7HQD9__BN585_00129
ERR1913312.980407__1.980407	1262992__R5D1Y3__BN795_00199
ERR1913312.980428__1.980428	418240__A0A174LMP5__dnaN_1
ERR1913312.980431__1.980431	292800__A0A1C7FI72__ERS852504_01815
ERR1913312.980684__1.980684	39491__D6E555__DXB99_06765
ERR1913312.980681__1.980681	39492__D4JSU6__dacB_3
ERR1913312.980788__1.980788	357276__A0A076J0Y3__IY41_06810
ERR1913312.980856__1.980856	239935__A0A2N8HDT1__CXT94_05270
ERR1913312.981813__1.981813	626932__G5H9Q7__HMPREF9450_01372
ERR1913312.981934__1.981934	1262913__R7J670__BN646_00736
ERR1913312.982034__1.982034	1262882__R5N526__BN519_01603
ERR1913312.982055__1.982055	1262948__R7EDA7__BN671_00036
ERR1913312.982073__1.982073	1897011__A0A1Q6RFI5__BHW41_03555
ERR1913312.982483__1.982483	28116__I9AKR7__DXA80_22960
ERR1913312.982485__1.982485	166486__A0A173VTG0__ROSINTL182_06283
ERR1913312.982595__1.982595	166486__C7GAX1__ERS852572_03188
ERR1913312.982625__1.982625	1262889__R7HA08__BN634_00271
ERR1913312.982734__1.982734	28116__A0A3D2LPA1__CUY_3388
ERR1913312.982821__1.982821	446660__GCA_003428235.1_01822
ERR1913312.982834__1.982834	214856__I3YMC8__ERS852447_02666
ERR1913312.982835__1.982835	246787__I9QX02__HMPREF1062_01641
ERR1913312.982843__1.982843	246787__I9QX02__HMPREF1062_01641
ERR1913312.982861__1.982861	1262882__R5MH62__BN519_00734
ERR1913312.982974__1.982974	39492__D4JRZ7__smc
ERR1913312.983118__1.983118	46228__B5CPV4__DXD17_07415
ERR1913312.983093__1.983093	371601__I9AAD2__B5E50_12410
ERR1913312.983095__1.983095	46228__B5CPV4__DXD17_07415
ERR1913312.983101__1.983101	39492__D4JSU6__dacB_3
ERR1913312.983139__1.983139	1262924__R7HQV3__BN585_00017
ERR1913312.983072__1.983072	1262924__R7HRJ9__BN585_00557
ERR1913312.983090__1.983090	1262882__R5MIY9__BN519_01097
ERR1913312.983226__1.983226	40518__R5DM08__DXD83_06415
ERR1913312.983309__1.983309	1262989__R6YQ01__BN815_01878
ERR1913312.983353__1.983353	360807__A0A174C9G9__ERS852392_02115
ERR1913312.983429__1.983429	214856__A0A173XIZ3__ERS852559_00434
ERR1913312.983685__1.983685	1262913__R7JIX8__BN646_02491
ERR1913312.983694__1.983694	46228__B5CQI6__RUMLAC_01732
ERR1913312.983703__1.983703	1262882__R5N3H1__BN519_01121
ERR1913312.983871__1.983871	1262992__R5CYZ3__BN795_01363
ERR1913312.983879__1.983879	46228__B5CPT8__RUMLAC_01482
ERR1913312.983882__1.983882	39492__D4JU36__cobC_1
ERR1913312.983964__1.983964	487174__K0XA11__DDY40_03585
ERR1913312.984015__1.984015	29361__B6FLM7__CLONEX_01049
ERR1913312.984179__1.984179	371601__I9UPT6__B5E50_12390
ERR1913312.984385__1.984385	1263005__R6F182__BN497_00721
ERR1913312.984479__1.984479	214856__R6Y6H8__ERS852447_01719
ERR1913312.984567__1.984567	39491__A0A173RJ81__DXB76_01570
ERR1913312.984741__1.984741	214856__A0A174FWM7__ERS852559_00590
ERR1913312.984892__1.984892	28116__A7LXT7__HMPREF1070_00356
ERR1913312.985076__1.985076	39492__D4MMN2__EUBSIR_00964
ERR1913312.985100__1.985100	39492__D4JUD7__EUBSIR_01877
ERR1913312.985443__1.985443	40518__R5DLM5__RB5AMG_00422
ERR1913312.985509__1.985509	1262924__R7HLJ5__BN585_01491
ERR1913312.985609__1.985609	214856__A0A174FY07__ERS852447_02457
ERR1913312.985686__1.985686	418240__A0A174AX68__ERS852478_00844
ERR1913312.985722__1.985722	1262882__R5MEW7__BN519_00010
ERR1913312.985878__1.985878	1262924__R7HM17__BN585_01318
ERR1913312.985961__1.985961	410072__A0A173YNZ0__ERS852481_00766
ERR1913312.986082__1.986082	246787__R6K756__HMPREF1062_01819
ERR1913312.986059__1.986059	39492__D4MN06__EUBSIR_02672
ERR1913312.986067__1.986067	1262882__R5MIC9__BN519_00834
ERR1913312.986147__1.986147	39492__D4JS87__EUBSIR_02328
ERR1913312.986204__1.986204	214856__A0A174H3U9__ERS852559_00612
ERR1913312.986231__1.986231	39485__A0A174ZNW9__luxQ_1
ERR1913312.986422__1.986422	1262882__R5MQW1__BN519_01295
ERR1913312.986485__1.986485	40518__R5E1J7__RBL236_02062
ERR1913312.986538__1.986538	39492__D4JT87__clpC
ERR1913312.986601__1.986601	39491__A0A395ZDC6__addB
ERR1913312.986740__1.986740	1150298__A0A174S2H3__spoIIQ
ERR1913312.986837__1.986837	487175__R6A8J0__HMPREF9439_01209
ERR1913312.986785__1.986785	28116__A0A1Y4PHM7__DXA80_25130
ERR1913312.987086__1.987086	39492__D4JQL8__ywpJ
ERR1913312.987087__1.987087	218538__C9LNQ3__GCWU000321_01176
ERR1913312.986996__1.986996	2108523__A0A2P2FCT7__LAWASA_3851
ERR1913312.987163__1.987163	1262882__R5MFN3__BN519_00392
ERR1913312.987145__1.987145	39492__D4JVN3__spsA
ERR1913312.987299__1.987299	39491__A0A395ZDC6__addB
ERR1913312.987351__1.987351	39485__A0A174YQX9__ERS852490_00864
ERR1913312.987485__1.987485	218538__C9LPE5__GCWU000321_01424
ERR1913312.987502__1.987502	1262913__R7JGU5__BN646_02158
ERR1913312.987596__1.987596	1262924__R7HM17__BN585_01318
ERR1913312.987660__1.987660	166486__D4L456__rpfG_10
ERR1913312.987665__1.987665	246787__R6KIG0__BcellWH2_02358
ERR1913312.987691__1.987691	39492__A0A174ZG93__EUBSIR_00254
ERR1913312.987814__1.987814	40518__R5DU74__RBATCC27255_00707
ERR1913312.987841__1.987841	39492__D4JTG7__EUBSIR_00572
ERR1913312.987850__1.987850	1262882__R5MFY4__BN519_00529
ERR1913312.987916__1.987916	46503__R6X5I4__ERS852463_01136
ERR1913312.988005__1.988005	39492__B0MP07__ERS852540_02083
ERR1913312.988072__1.988072	166486__D4KZY5__ROSINTL182_07635
ERR1913312.988076__1.988076	820__A0A139JY23__B5G17_06330
ERR1913312.988143__1.988143	39492__D4JQL8__ywpJ
ERR1913312.988213__1.988213	39492__D4JX50__EUBSIR_00410
ERR1913312.988216__1.988216	1965576__A0A1Y4L1T8__B5F19_14890
ERR1913312.988362__1.988362	1262882__R5MGK3__BN519_00655
ERR1913312.988454__1.988454	246787__A0A3D6AVT6__BACCELL_02130
ERR1913312.988464__1.988464	46228__B5CSZ7__HMPREF1202_01559
ERR1913312.988572__1.988572	371601__G1UK36__HMPREF1074_03496
ERR1913312.988667__1.988667	246787__R6KDR9__BcellWH2_02360
ERR1913312.988689__1.988689	818__E5C5U7__SAMN05216253_101163
ERR1913312.988758__1.988758	214856__A0A174EQR4__rsmA
ERR1913312.988860__1.988860	357276__A0A076J726__IY41_15030
ERR1913312.989016__1.989016	1262992__R5D224__BN795_00203
ERR1913312.989020__1.989020	301301__A0A395V6H4__ydfH_3
ERR1913312.989189__1.989189	820__A0A3E5BMG9__DXD40_05130
ERR1913312.989168__1.989168	1262882__R5N5C3__BN519_01664
ERR1913312.989259__1.989259	1262882__R5MH55__BN519_00725
ERR1913312.989458__1.989458	821__A0A3E4WAR6__DXD64_10735
ERR1913312.989685__1.989685	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913312.989717__1.989717	1262913__R7JMY4__BN646_00248
ERR1913312.989723__1.989723	1262913__R7JKR8__BN646_02592
ERR1913312.989771__1.989771	46503__A7AH78__DD461_04085
ERR1913312.989801__1.989801	39491__A0A395V0H3__ERS852417_01192
ERR1913312.989805__1.989805	1262913__R7JQL8__BN646_00411
ERR1913312.989762__1.989762	357276__A0A0M1W9N4__GV66_05135
ERR1913312.989867__1.989867	371601__G1UK36__HMPREF1074_03496
ERR1913312.989923__1.989923	39492__D4JUR4__ERS852540_01427
ERR1913312.989944__1.989944	39491__A0A395ZDC6__addB
ERR1913312.990172__1.990172	239935__R6JFR5__CXT84_04850
ERR1913312.990188__1.990188	246787__A0A0P0GG22__BACCELL_01899
ERR1913312.990232__1.990232	39492__D4JR58__EUBSIR_02090
ERR1913312.990247__1.990247	214856__R6XS46__ERS852559_00812
ERR1913312.990444__1.990444	1150298__A0A174S4G4__dacB_1
ERR1913312.990517__1.990517	39492__A0A174ZHV5__msbA_2
ERR1913312.990649__1.990649	487175__R5E1Y3__HMPREF9439_02586
ERR1913312.990714__1.990714	39491__D4JMW8__ERS852497_01971
ERR1913312.990746__1.990746	39492__D4JSU6__dacB_3
ERR1913312.990927__1.990927	239935__B2URG6__CXU02_00030
ERR1913312.990957__1.990957	39492__R6RYB8__ERS852540_00322
ERR1913312.991013__1.991013	1262924__R7HQX0__BN585_00307
ERR1913312.991024__1.991024	1262882__R5MFM2__BN519_00460
ERR1913312.991071__1.991071	40520__R7D9Z5__DXD81_01525
ERR1913312.991098__1.991098	301302__A0A173TSN3__ERS852420_02365
ERR1913312.991232__1.991232	39491__C4ZD70__LD38_03510
ERR1913312.991217__1.991217	1262743__R5C054__BN727_01980
ERR1913312.991327__1.991327	1262992__R5D3R1__BN795_01492
ERR1913312.991399__1.991399	166486__D4KX00__ROSINTL182_07577
ERR1913312.991425__1.991425	649756__A0A173RGN8__DO83_04830
ERR1913312.991433__1.991433	40518__R5DZ16__DXD86_01455
ERR1913312.991438__1.991438	39491__C4ZCH3__EUR_17560
ERR1913312.991706__1.991706	821__A0A0P0M2J4__DXD46_10295
ERR1913312.991792__1.991792	1965576__A0A1Y4L1T8__B5F19_14890
ERR1913312.991973__1.991973	1150298__A0A174I6Y0__ERS852498_00576
ERR1913312.992006__1.992006	301301__A0A395VDQ5__RHOM_08975
ERR1913312.992027__1.992027	1262992__R5D9A6__BN795_00819
ERR1913312.992080__1.992080	853__A0A174BZY1__xerD_1
ERR1913312.992102__1.992102	871324__A0A1M6KRZ5__SAMN05444350_14031
ERR1913312.992182__1.992182	214856__A0A174A1J3__ERS852447_01000
ERR1913312.992208__1.992208	39491__A0A395ZE48__DXB76_02395
ERR1913312.992314__1.992314	39491__A0A173QT73__alaS_2
ERR1913312.992360__1.992360	39491__A0A395ZE48__DXB76_02395
ERR1913312.992372__1.992372	39491__A0A395UVM9__DXB76_04540
ERR1913312.992577__1.992577	39492__A0A174ZHV5__msbA_2
ERR1913312.992690__1.992690	1262882__R5MYI1__BN519_00416
ERR1913312.992787__1.992787	39492__D4JV70__EUBSIR_01253
ERR1913312.992821__1.992821	823__A6LC27__DXB14_11470
ERR1913312.992871__1.992871	1150298__A0A174LKY6__ERS852535_00447
ERR1913312.992902__1.992902	39492__D4MM10__EUBSIR_01460
ERR1913312.992933__1.992933	1262882__R5MIQ8__BN519_01036
ERR1913312.992916__1.992916	1262992__R5CZ75__BN795_01422
ERR1913312.992953__1.992953	360807__A0A174EVF2__RIL183_27331
ERR1913312.993112__1.993112	40518__R5DVL2__penA
ERR1913312.993180__1.993180	1262913__R7JDP2__BN646_01793
ERR1913312.993293__1.993293	28116__A0A139KS89__HMPREF2532_04387
ERR1913312.993316__1.993316	384638__B7APR1__BACPEC_00667
ERR1913312.993396__1.993396	28116__D4WPD7__HMPREF1069_02183
ERR1913312.993511__1.993511	246787__I9EAB0__BACCELL_00131
ERR1913312.993598__1.993598	357276__I8VLL2__HMPREF1065_03395
ERR1913312.993614__1.993614	329854__R5LZK1__DXD27_00590
ERR1913312.993631__1.993631	1262913__R7JHX2__BN646_02311
ERR1913312.993763__1.993763	357276__A0A076IYE6__IY41_04275
ERR1913312.993770__1.993770	166486__D4KXE5__ERS852572_01168
ERR1913312.993870__1.993870	39492__D4JUS6__accD5
ERR1913312.993826__1.993826	1262913__R7JIT0__BN646_02465
ERR1913312.993994__1.993994	821__A0A395UNT8__DXD64_15275
ERR1913312.993999__1.993999	39492__D4JVC7__yfgF
ERR1913312.994094__1.994094	853__A0A2A7B9I6__DW855_13690
ERR1913312.994165__1.994165	28118__R6FA80__DHW44_06470
ERR1913312.994223__1.994223	39492__D4JWX2__accB
ERR1913312.994237__1.994237	246787__A0A0P0G372__BcellWH2_03657
ERR1913312.994527__1.994527	357276__I9FU68__HMPREF1063_00557
ERR1913312.994500__1.994500	39491__A0A395ZDC6__addB
ERR1913312.994542__1.994542	39492__D4JWL2__ERS852540_01201
ERR1913312.994673__1.994673	39492__D4JQS6__ykoD
ERR1913312.994674__1.994674	1262992__R5D1Y3__BN795_00199
ERR1913312.994735__1.994735	1262882__R5MK82__BN519_00260
ERR1913312.994745__1.994745	820__A0A174CK74__DXB48_07060
ERR1913312.994780__1.994780	39492__D4JQS6__ykoD
ERR1913312.994916__1.994916	1263005__R6EZM8__BN497_01947
ERR1913312.995013__1.995013	39492__A0A174ZHV5__msbA_2
ERR1913312.995015__1.995015	39486__B0G542__DXB36_08545
ERR1913312.995198__1.995198	371601__A0A1Y4Q353__CW1_1747
ERR1913312.995231__1.995231	1262924__R7HRR0__BN585_00872
ERR1913312.995516__1.995516	1262882__R5MJ49__BN519_01124
ERR1913312.995599__1.995599	46503__R6WYJ8__DXB85_13825
ERR1913312.995605__1.995605	1262913__R7JB76__BN646_01467
ERR1913312.995660__1.995660	28116__A0A1Y4Q114__DXF98_00470
ERR1913312.995710__1.995710	39491__A0A395UZ89__DXB72_12805
ERR1913312.995787__1.995787	214856__A0A174ZLY7__ERS852447_02456
ERR1913312.995796__1.995796	360807__C0FPV5__ERS852444_03160
ERR1913312.995943__1.995943	39492__D4JWR6__dnaN
ERR1913312.996008__1.996008	1150298__A0A174E950__ERS852498_02096
ERR1913312.996226__1.996226	1262882__R5MHQ8__BN519_00707
ERR1913312.996242__1.996242	301301__A0A395VAV8__ERS852391_02437
ERR1913312.996298__1.996298	39492__D4JT87__clpC
ERR1913312.996314__1.996314	74426__rpoB
ERR1913312.996371__1.996371	1628085__A0A2U1B0A9__C7386_12412
ERR1913312.996442__1.996442	39492__D4JVN3__spsA
ERR1913312.996478__1.996478	371601__F7LYI1__BN891_45470
ERR1913312.996629__1.996629	39492__D4JUD7__EUBSIR_01877
ERR1913312.996649__1.996649	1735__B7CCS4__EUBIFOR_02002
ERR1913312.996671__1.996671	102148__E7MMA3__HMPREF9430_00703
ERR1913312.996699__1.996699	1262913__R7JCU2__BN646_01689
ERR1913312.996783__1.996783	1150298__A0A174APS6__kinA
ERR1913312.996806__1.996806	328814__GCA_004558275.1_00994
ERR1913312.996868__1.996868	1680__A0A174BEE7__BSTER_1311
ERR1913312.997015__1.997015	39486__R6SFA1__DXC93_11325
ERR1913312.997107__1.997107	239935__A0A2N8ITW6__CXT91_06265
ERR1913312.997272__1.997272	357276__I8WPR6__EL88_06675
ERR1913312.997291__1.997291	46228__V8BK04__HMPREF1202_02705
ERR1913312.997335__1.997335	39492__D4JTF5__ybeY
ERR1913312.997392__1.997392	328814__GCA_004558275.1_01000
ERR1913312.997397__1.997397	35833__E5Y6Z2__HMPREF0179_01956
ERR1913312.997485__1.997485	39492__D4JSB6__ERS852540_00627
ERR1913312.997488__1.997488	1262882__R5MSX6__BN519_01697
ERR1913312.997493__1.997493	39491__C4Z9Y3__ERS852417_01808
ERR1913312.997495__1.997495	214856__A0A174G1M7__ERS852559_00594
ERR1913312.997672__1.997672	487175__R5E5C4__HMPREF9439_00381
ERR1913312.997679__1.997679	39492__D4JSS9__btuF
ERR1913312.997685__1.997685	39491__A0A395ZHH5__ERS852497_02076
ERR1913312.997653__1.997653	1262924__R7HU74__BN585_00690
ERR1913312.997932__1.997932	166486__C7GCP5__ROSINTL182_07683
ERR1913312.998174__1.998174	39492__D4JV38__EUBSIR_01205
ERR1913312.998185__1.998185	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913312.998194__1.998194	1262882__R5MPY4__BN519_01128
ERR1913312.998204__1.998204	39492__D4JVN3__spsA
ERR1913312.998220__1.998220	166486__D4KXA3__ROSINTL182_05894
ERR1913312.998379__1.998379	39491__C4ZAT2__ERE_28440
ERR1913312.998411__1.998411	39488__A0A174CKH9__EUBHAL_00342
ERR1913312.998577__1.998577	39492__D4JVC7__yfgF
ERR1913312.998578__1.998578	1262913__R7JGU5__BN646_02158
ERR1913312.998686__1.998686	1263000__R5EXT3__BN466_02213
ERR1913312.998705__1.998705	39492__D4JU30__EUBSIR_00838
ERR1913312.998735__1.998735	418240__C6J8A2__ERS852478_02512
ERR1913312.998838__1.998838	39492__D4JSS2__EUBSIR_00553
ERR1913312.998922__1.998922	39491__C4Z9J5__DXB69_02495
ERR1913312.999006__1.999006	544645__A0A3E4TK28__DXC42_00040
ERR1913312.999013__1.999013	357276__A0A076IKP7__BACDOR_04239
ERR1913312.999044__1.999044	239935__A0A139TPD4__CXT86_06450
ERR1913312.999121__1.999121	1550024__G9RXI8__TQ39_11495
ERR1913312.999229__1.999229	39488__A0A173UIN4__EUBHAL_00539
ERR1913312.999274__1.999274	46503__A0A3E4ZQ73__ERS852463_01043
ERR1913312.999413__1.999413	357276__I9RCD3__IY41_15070
ERR1913312.999452__1.999452	39492__D4JTF2__mutS2
ERR1913312.999568__1.999568	1897011__A0A1Q6RH85__BHW41_01750
ERR1913312.999561__1.999561	1262913__R7JGU2__BN646_02213
ERR1913312.999741__1.999741	338188__A0A174ETX3__ERS852397_01955
ERR1913312.999921__1.999921	1150298__A0A173W9F4__ERS852498_02567
ERR1913312.1000037__1.1000037	39492__D4JRZ7__smc
ERR1913312.1000119__1.1000119	28116__A0A078Q1V5__SAMN05444282_12168
ERR1913312.1000367__1.1000367	40518__R5DXI4__DXD86_07420
ERR1913312.1000404__1.1000404	1262882__R5MT42__BN519_01729
ERR1913312.1000423__1.1000423	40518__R5E5W1__RBL263_01034
ERR1913312.1000490__1.1000490	1262913__R7JGU5__BN646_02158
ERR1913312.1000565__1.1000565	1262924__R7HT04__BN585_00021
ERR1913312.1000739__1.1000739	1262882__R5N532__BN519_01420
ERR1913312.1000765__1.1000765	301301__G2T3Q2__ERS852391_00522
ERR1913312.1000851__1.1000851	214856__A0A174ZB00__ERS852559_00631
ERR1913312.1000879__1.1000879	40518__R5DY98__mepA_5
ERR1913312.1000904__1.1000904	28116__A0A1Y4PDJ7__C5Z02_08485
ERR1913312.1000996__1.1000996	371601__A0A174ER12__HMPREF1074_02637
ERR1913312.1001171__1.1001171	1262989__R6ZEW9__BN815_01033
ERR1913312.1001178__1.1001178	1262882__R5N5D7__BN519_01676
ERR1913312.1001185__1.1001185	1262924__R7HTK4__BN585_00496
ERR1913312.1001284__1.1001284	821__I9R3W6__DXC16_12455
ERR1913312.1001298__1.1001298	1262924__R7HQX0__BN585_00307
ERR1913312.1001408__1.1001408	649756__B0P3S8__ywpJ_4
ERR1913312.1001455__1.1001455	1262924__R7HQ14__BN585_00419
ERR1913312.1001484__1.1001484	1262889__R7HEJ5__BN634_01091
ERR1913312.1001537__1.1001537	39492__D4JS06__ERS852540_02297
ERR1913312.1001576__1.1001576	1262882__R5MRS7__BN519_01490
ERR1913312.1001731__1.1001731	1262924__R7HUR1__BN585_00057
ERR1913312.1001717__1.1001717	1262986__R6AU20__BN492_00182
ERR1913312.1001722__1.1001722	28116__A0A1Y4Q112__evgS_13
ERR1913312.1001750__1.1001750	1262882__R5MM25__BN519_00600
ERR1913312.1001842__1.1001842	649756__A0A173SZT1__ftsW_3
ERR1913312.1001858__1.1001858	1262882__R5MEI8__BN519_00283
ERR1913312.1001943__1.1001943	246787__A0A3D6AS39__ina
ERR1913312.1001926__1.1001926	39492__A0A174ZL16__EUBSIR_01269
ERR1913312.1002027__1.1002027	1262924__R7HUR1__BN585_00057
ERR1913312.1002073__1.1002073	39492__D4JTL0__EUBSIR_01428
ERR1913312.1002196__1.1002196	301301__A0A395VAT7__dhaS_1
ERR1913312.1002313__1.1002313	40518__R5DR72__RBL236_02110
ERR1913312.1002492__1.1002492	39492__R6RYB8__ERS852540_00322
ERR1913312.1002511__1.1002511	1628085__A0A3E2Y1Z4__C7386_12230
ERR1913312.1002513__1.1002513	1262924__R7HQK6__BN585_00186
ERR1913312.1002599__1.1002599	39491__A0A396FF17__EUR_31400
ERR1913312.1002638__1.1002638	371601__D6CWZ8__CW3_1356
ERR1913312.1002823__1.1002823	1262882__R5MEM1__BN519_00313
ERR1913312.1002859__1.1002859	418240__A0A173XCL4__ERS852523_02725
ERR1913312.1002860__1.1002860	1150298__A0A174L2G3__ERS852498_01371
ERR1913312.1003006__1.1003006	40518__R5DW64__RBL236_01394
ERR1913312.1003081__1.1003081	214856__A0A174H3U9__ERS852559_00612
ERR1913312.1003086__1.1003086	1262924__R7HMN2__BN585_01573
ERR1913312.1003154__1.1003154	820__A0A174A6K0__M093_0079
ERR1913312.1003241__1.1003241	28116__A0A1G6G9R4__CUY_0131
ERR1913312.1003297__1.1003297	39491__A0A0M6WWT1__dus_2
ERR1913312.1003350__1.1003350	35833__E5Y717__HMPREF0179_01981
ERR1913312.1003397__1.1003397	39491__A0A395ZF49__DXB69_05290
ERR1913312.1003421__1.1003421	40518__R5DR72__RBL236_02110
ERR1913312.1003478__1.1003478	39492__D4JQY4__EUBSIR_01325
ERR1913312.1003503__1.1003503	1547__H1AGU5__DW242_00825
ERR1913312.1003630__1.1003630	216816__A0A0M0VLZ8__BLIC_h02110
ERR1913312.1003800__1.1003800	39492__D4JQS7__ERS852540_01645
ERR1913312.1003988__1.1003988	1262882__R5MGX3__BN519_00046
ERR1913312.1003993__1.1003993	487175__F3QLT8__HMPREF9439_01911
ERR1913312.1004009__1.1004009	1262777__R5VT20__BN512_01657
ERR1913312.1004047__1.1004047	1262924__R7HRE7__BN585_00055
ERR1913312.1004225__1.1004225	301302__A0A0M6WF57__M72_22681
ERR1913312.1004317__1.1004317	1262913__R7JF95__BN646_01945
ERR1913312.1004399__1.1004399	1150298__R7JSE8__coaX_1
ERR1913312.1004463__1.1004463	39492__D4JS87__EUBSIR_02328
ERR1913312.1004489__1.1004489	166486__A0A1Q6S8P7__ROSINTL182_06253
ERR1913312.1004519__1.1004519	1262882__R5N211__BN519_01033
ERR1913312.1004536__1.1004536	39492__D4JRV7__EUBSIR_01513
ERR1913312.1004599__1.1004599	28116__I8YA52__M088_0798
ERR1913312.1004611__1.1004611	1263005__R6F0R0__BN497_00282
ERR1913312.1004658__1.1004658	28116__I9SW74__BACOVA_04237
ERR1913312.1004667__1.1004667	1262924__R7HQD9__BN585_00129
ERR1913312.1004820__1.1004820	46228__V8CB03__HMPREF1202_00647
ERR1913312.1004940__1.1004940	39491__A0A395ZDC6__addB
ERR1913312.1004943__1.1004943	823__D7IV95__DXC05_09565
ERR1913312.1004999__1.1004999	239935__A0A3F3K9J9__DEF40_00940
ERR1913312.1005194__1.1005194	1262882__R5MYP8__BN519_00439
ERR1913312.1005204__1.1005204	39492__D4MIK7__EUBSIR_00676
ERR1913312.1005216__1.1005216	1150298__R7JUW7__ERS852406_02089
ERR1913312.1005246__1.1005246	39492__D4MIY5__EUBSIR_00233
ERR1913312.1005334__1.1005334	1262924__R7HP98__BN585_02065
ERR1913312.1005502__1.1005502	1262882__R5MSI7__BN519_01601
ERR1913312.1005540__1.1005540	166486__D4KRN2__ERS852572_01816
