ERR1913265.120__1.120	1150298__R7JPB1__corA
ERR1913265.1086853__1.1086853	1628085__A0A2U1B8P2__C7386_11431
ERR1913265.1086929__1.1086929	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1913265.1086965__1.1086965	28118__F9ZCN2__DF785_09230
ERR1913265.1087030__1.1087030	357276__A0A076ISJ4__B5F95_19420
ERR1913265.1087267__1.1087267	310297__B5CUF3__DXB87_07245
ERR1913265.1087304__1.1087304	328813__A0A1Y3QQ66__B5G41_14240
ERR1913265.1087305__1.1087305	100886__E2NP44__aroD
ERR1913265.1087447__1.1087447	214856__A0A174FWM7__ERS852559_00590
ERR1913265.1087543__1.1087543	821__A0A0P0M3U7__DXB90_14325
ERR1913265.1087673__1.1087673	40518__R5DZC6__mreC
ERR1913265.1087635__1.1087635	310298__B3JED9__BACCOP_00230
ERR1913265.1087793__1.1087793	820__A0A174R952__DXB48_02570
ERR1913265.1087806__1.1087806	328813__A0A1Y3QQ66__B5G41_14240
ERR1913265.1087903__1.1087903	1304__A0A0Y1V0J7__CQA85_06265
ERR1913265.1088185__1.1088185	39491__A0A396FF66__DXD95_01810
ERR1913265.1088363__1.1088363	853__A0A174C5M1__CGS58_04460
ERR1913265.1088372__1.1088372	310298__B3JKM0__BACCOP_02451
ERR1913265.1088405__1.1088405	100886__A0A174HGR4__pepD
ERR1913265.1088480__1.1088480	1304__F8LL79__CYK22_09535
ERR1913265.1088595__1.1088595	745368__A0A1T4WPJ1__SAMN02745178_00919
ERR1913265.1088666__1.1088666	853__A0A173YYY4__DWZ04_09420
ERR1913265.1088685__1.1088685	47678__A5ZL09__BACCAC_03608
ERR1913265.1088800__1.1088800	40518__R5DTP7__DXD83_02415
ERR1913265.1088883__1.1088883	1263006__R6LU28__BN515_01365
ERR1913265.1088945__1.1088945	820__A0A1Q6IDS8__chtA
ERR1913265.1088960__1.1088960	853__A0A173YYY4__DWZ04_09420
ERR1913265.1089042__1.1089042	214856__A0A173YE57__ERS852559_00126
ERR1913265.1089087__1.1089087	357276__D1JYA3__BSEG_00395
ERR1913265.1089204__1.1089204	1680__A0A087DLC6__C8077_00815
ERR1913265.1089239__1.1089239	471189__GCA_003340385.1_00002
ERR1913265.1089289__1.1089289	40518__R5DR39__mreB_2
ERR1913265.1089321__1.1089321	823__A0A174EFT7__luxQ_5
ERR1913265.1089342__1.1089342	28117__B0MWP2__ALIPUT_01468
ERR1913265.1089399__1.1089399	40518__R5E670__DXD93_06195
ERR1913265.1089422__1.1089422	1150298__A0A174KZR5__ERS852498_01375
ERR1913265.1089427__1.1089427	216816__D6DBD5__DXC32_04335
ERR1913265.1089682__1.1089682	28117__R7JJM9__ALIPUT_00662
ERR1913265.1089886__1.1089886	310298__B3JQC6__BACCOP_04084
ERR1913265.1089916__1.1089916	310298__B3JNH3__BACCOP_03486
ERR1913265.1089999__1.1089999	1262911__R6HN81__BN557_00921
ERR1913265.1090127__1.1090127	1680__A0A173XYA2__B0703_0121
ERR1913265.1090161__1.1090161	39491__A0A395UZ82__EUR_31520
ERR1913265.1090245__1.1090245	1680__A0A174BEE7__BSTER_1311
ERR1913265.1090250__1.1090250	35833__E5Y2U0__HMPREF0179_00454
ERR1913265.1090304__1.1090304	39491__A0A396FUZ3__phoR_1
ERR1913265.1090362__1.1090362	216816__C2GV16__APC1504_1666
ERR1913265.1090395__1.1090395	1686__B6XTQ6__BIFCAT_00534
ERR1913265.1090506__1.1090506	1262743__R5C054__BN727_01980
ERR1913265.1090619__1.1090619	1680__A1A1R1__BIFADO_00076
ERR1913265.1090622__1.1090622	1680__A0A173XYA2__B0703_0121
ERR1913265.1090709__1.1090709	33043__D5HIS6__ERS852575_02019
ERR1913265.1090745__1.1090745	33043__D5HF43__ERS852445_00477
ERR1913265.1090757__1.1090757	853__A0A173YYY4__DWZ04_09420
ERR1913265.1090880__1.1090880	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913265.1090884__1.1090884	39485__C4Z355__ERS852490_01971
ERR1913265.1090891__1.1090891	291644__I8YXS6__HMPREF1071_01285
ERR1913265.1091004__1.1091004	216816__C2GSX7__DD678_03555
ERR1913265.1091050__1.1091050	1686__B6XVK7__BIFCAT_01236
ERR1913265.1091109__1.1091109	1796613__A0A1C7H6N8__ADH74_01350
ERR1913265.1091222__1.1091222	360807__A0A396AF38__RIL183_00781
ERR1913265.1091335__1.1091335	1680__A0A076JNS9__BIFADO_02309
ERR1913265.1091535__1.1091535	40518__R5DNY7__RBATCC27255_00367
ERR1913265.1091578__1.1091578	1150298__A0A174BC67__ERS852498_00837
ERR1913265.1091619__1.1091619	40518__R5DX93__DXD93_03055
ERR1913265.1091668__1.1091668	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913265.1091712__1.1091712	1263109__GCA_000438135.1_01435
ERR1913265.1091713__1.1091713	853__A0A174C5M1__CGS58_04460
ERR1913265.1091807__1.1091807	853__A0A174C5M1__CGS58_04460
ERR1913265.1091882__1.1091882	1628085__A0A2U1B4W6__C7386_11942
ERR1913265.1091916__1.1091916	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913265.1091919__1.1091919	487174__K0X250__DDY40_03675
ERR1913265.1092042__1.1092042	39491__A0A395V5R3__EUBREC_1883
ERR1913265.1092224__1.1092224	39491__A0A395ZDC6__addB
ERR1913265.1092422__1.1092422	40519__U2MCQ8__RUMCAL_00556
ERR1913265.1092444__1.1092444	310298__B3JJX9__BACCOP_02203
ERR1913265.1092561__1.1092561	39491__A0A396FF66__DXD95_01810
ERR1913265.1092677__1.1092677	28117__B0MWP2__ALIPUT_01468
ERR1913265.1092687__1.1092687	820__A0A139KH21__DXC80_01780
ERR1913265.1092785__1.1092785	853__E2ZGD9__C7J97_11715
ERR1913265.1092794__1.1092794	1150298__A0A174M5S6__ERS852498_01656
ERR1913265.1092801__1.1092801	33043__A0A173X520__ERS852575_01617
ERR1913265.1092829__1.1092829	853__A8S882__C4N23_07600
ERR1913265.1092865__1.1092865	1897011__A0A1Q6RFI5__BHW41_03555
ERR1913265.1092940__1.1092940	1680__A1A0V3__C8077_03025
ERR1913265.1092973__1.1092973	1150298__R7JXH6__mecR1
ERR1913265.1093089__1.1093089	853__A0A2A7AXC8__C4N21_14120
ERR1913265.1093077__1.1093077	40518__R5DP21__RBATCC27255_00348
ERR1913265.1093079__1.1093079	1680__A0A087DLC6__C8077_00815
ERR1913265.1093183__1.1093183	853__A0A329UEG4__CHR60_00585
ERR1913265.1093244__1.1093244	820__A7V049__DXB48_04755
ERR1913265.1093648__1.1093648	40518__R5DUG7__sbcC
ERR1913265.1093799__1.1093799	821__A0A0P0M6M0__M097_4734
ERR1913265.1094026__1.1094026	214856__A0A174FWM7__ERS852559_00590
ERR1913265.1094203__1.1094203	40518__R5DP61__DXD86_06345
ERR1913265.1094138__1.1094138	1150298__R7JUS5__soxS_1
ERR1913265.1094282__1.1094282	28116__A0A1G8P076__AA414_01051
ERR1913265.1094349__1.1094349	33043__A0A173YLD4__ERS852575_00535
ERR1913265.1094462__1.1094462	823__A0A3E4PAQ2__DDY96_18275
ERR1913265.1094593__1.1094593	821__A0A173WG51__BVU_2549
ERR1913265.1094638__1.1094638	39491__A0A395UVM9__DXB76_04540
ERR1913265.1094649__1.1094649	1351__A0A2Z6BGQ8__CUT03_10810
ERR1913265.1094681__1.1094681	40518__R5DZ88__DXD93_06320
ERR1913265.1094805__1.1094805	1680__R5GRA4__ERS852382_01548
ERR1913265.1094784__1.1094784	28117__B0MXG8__ALIPUT_01814
ERR1913265.1094789__1.1094789	214856__A0A174EQR4__rsmA
ERR1913265.1094927__1.1094927	1685__A0A2X0Z9D6__CYJ38_03705
ERR1913265.1094978__1.1094978	1628085__A0A1C6BMM1__C7386_11221
ERR1913265.1095018__1.1095018	1304__J7THB8__A6J87_02295
ERR1913265.1095080__1.1095080	1263109__GCA_000438135.1_00835
ERR1913265.1095148__1.1095148	39491__A0A395V5R3__EUBREC_1883
ERR1913265.1095150__1.1095150	1304__J7TU64__CYK22_02490
ERR1913265.1095156__1.1095156	40518__R5DVX3__RBL263_01584
ERR1913265.1095186__1.1095186	853__A0A174BA00__DW905_01145
ERR1913265.1095215__1.1095215	556259__I0PXW0__BSGG_5187
ERR1913265.1095349__1.1095349	40518__R5DS17__RBATCC27255_00416
ERR1913265.1095472__1.1095472	28118__R6F891__NCTC10826_02656
ERR1913265.1095562__1.1095562	1150298__R7JU23__ERS852498_02342
ERR1913265.1095617__1.1095617	40518__R5DU38__DXD83_06770
ERR1913265.1095633__1.1095633	28117__B0MTW8__ALIPUT_00502
ERR1913265.1095685__1.1095685	216816__A0A2U0BLP0__tsaB
ERR1913265.1095800__1.1095800	394340__dnaE
ERR1913265.1095977__1.1095977	853__A0A174AML0__FPR_08640
ERR1913265.1096161__1.1096161	33043__A0A173WTR4__ERS852386_00324
ERR1913265.1096295__1.1096295	40518__R5DTG5__RBATCC27255_00890
ERR1913265.1096348__1.1096348	40518__R5DR39__mreB_2
ERR1913265.1096353__1.1096353	1263109__GCA_000438135.1_00605
ERR1913265.1096360__1.1096360	821__A0A174JYD3__ERS852457_02610
ERR1913265.1096320__1.1096320	40518__R5DZM6__lytR_3
ERR1913265.1096421__1.1096421	487175__A0A3D3SJG1__HMPREF9439_01263
ERR1913265.1096485__1.1096485	40518__R5DSI5__fieF
ERR1913265.1096464__1.1096464	28117__B0MTY2__BHV66_06485
ERR1913265.1096473__1.1096473	40518__R5DUG7__sbcC
ERR1913265.1096476__1.1096476	28118__F9ZCN2__DF785_09230
ERR1913265.1096478__1.1096478	116085__D4JBM5__DW747_01240
ERR1913265.1096710__1.1096710	853__A0A173RZ39__C4N22_01650
ERR1913265.1097124__1.1097124	28117__B0MUX4__ALIPUT_00911
ERR1913265.1097211__1.1097211	40518__R5DX17__DXD86_01230
ERR1913265.1097217__1.1097217	28117__B0MY40__BHV66_05170
ERR1913265.1097540__1.1097540	820__A0A1T4IYF4__mprA_1
ERR1913265.1097585__1.1097585	39491__A0A395ZDC6__addB
ERR1913265.1097628__1.1097628	853__A0A174BZY1__xerD_1
ERR1913265.1097670__1.1097670	33043__A0A173X520__ERS852575_01617
ERR1913265.1097684__1.1097684	28117__R7JJM9__ALIPUT_00662
ERR1913265.1097856__1.1097856	1680__A0A0C2YPV2__AL0462_1474
ERR1913265.1097919__1.1097919	39492__D4JUR4__ERS852540_01427
ERR1913265.1098014__1.1098014	556259__E5C6L5__BSGG_0298
ERR1913265.1098045__1.1098045	820__A0A174I980__gldH
ERR1913265.1098072__1.1098072	1150298__A0A174DU21__toxA_3
ERR1913265.1098183__1.1098183	28117__B0MY40__BHV66_05170
ERR1913265.1098312__1.1098312	853__E2ZGD9__C7J97_11715
ERR1913265.1098371__1.1098371	1263109__GCA_000438135.1_00973
ERR1913265.1098431__1.1098431	33043__A0A174ADZ1__dcuS_1
ERR1913265.1098546__1.1098546	823__A0A174LWY0__lepB
ERR1913265.1098627__1.1098627	310298__B3JMG0__BACCOP_03099
ERR1913265.1098706__1.1098706	310298__B3JJX9__BACCOP_02203
ERR1913265.1098735__1.1098735	301301__G2T3Q2__ERS852391_00522
ERR1913265.1098959__1.1098959	28117__B0MUL5__ALIPUT_00722
ERR1913265.1099045__1.1099045	357276__A0A076IKP7__BACDOR_04239
ERR1913265.1099094__1.1099094	28116__F7L4N5__BACOVA_00137
ERR1913265.1099161__1.1099161	39491__D6DXZ8__DXB72_15035
ERR1913265.1099174__1.1099174	40518__R5E282__DXD86_08940
ERR1913265.1099464__1.1099464	46506__B0NUC3__SAMN05444283_1019
ERR1913265.1099546__1.1099546	487174__K0WX70__DDY40_01710
ERR1913265.1099742__1.1099742	40518__R5DS38__RBL236_00785
ERR1913265.1099838__1.1099838	1304__F8HDB1__CYK22_03350
ERR1913265.1099878__1.1099878	1686__B6XVK4__BBCT_1416
ERR1913265.1099924__1.1099924	1262992__R5CY89__BN795_01227
ERR1913265.1099976__1.1099976	823__A0A174KUS4__araC_7
ERR1913265.1100087__1.1100087	1150298__R7JTG8__smf
ERR1913265.1100374__1.1100374	40518__R5DXW3__DXD86_07900
ERR1913265.1100439__1.1100439	216816__V6XY04__APK78_02285
ERR1913265.1100550__1.1100550	39491__C4ZCV7__ERE_23110
ERR1913265.1100566__1.1100566	40518__R5DXI4__DXD86_07420
ERR1913265.1100597__1.1100597	40518__R5E4Y8__RBATCC27255_01448
ERR1913265.1100833__1.1100833	39491__C4ZGN3__DXB99_14175
ERR1913265.1101329__1.1101329	40518__R5DTH7__DXD83_02405
ERR1913265.1101505__1.1101505	39491__A0A174EQV2__DXB69_10230
ERR1913265.1101597__1.1101597	905__D2RLF8__SAMN05216495_11750
ERR1913265.1101626__1.1101626	47678__A0A3E5BQM1__DXB67_08970
ERR1913265.1101630__1.1101630	1680__A0A173Y6N7__yhaH
ERR1913265.1101861__1.1101861	853__A0A2A7B1Y7__C7K05_11930
ERR1913265.1102149__1.1102149	28117__B0MVL5__BHV66_01660
ERR1913265.1102178__1.1102178	1150298__A0A174KDX3__ERS852498_01212
ERR1913265.1102427__1.1102427	214856__A0A174H3U9__ERS852559_00612
ERR1913265.1102501__1.1102501	39491__C4Z9E9__T1815_12341
ERR1913265.1102445__1.1102445	214856__A0A174FWM7__ERS852559_00590
ERR1913265.1102558__1.1102558	40518__R5DTH7__DXD83_02405
ERR1913265.1102649__1.1102649	1262911__R6H1P0__BN557_00940
ERR1913265.1102711__1.1102711	328813__A0A1Y3QZ64__B5G41_14235
ERR1913265.1102785__1.1102785	853__A0A3E2U7E6__ERS852582_01640
ERR1913265.1102905__1.1102905	28139__A0A379MUK5__xerD_3
ERR1913265.1102910__1.1102910	33043__A0A173QUA9__ERS852400_01795
ERR1913265.1102986__1.1102986	310298__B3JMG0__BACCOP_03099
ERR1913265.1102939__1.1102939	28117__B0MYA9__BHV66_07790
ERR1913265.1103186__1.1103186	28117__B0MY40__BHV66_05170
ERR1913265.1103253__1.1103253	1262538__GeneID:16384854
ERR1913265.1103255__1.1103255	40520__R7DCV6__ERS852394_02102
ERR1913265.1103263__1.1103263	821__A0A396F9T7__M097_3427
ERR1913265.1103429__1.1103429	39491__R6TQ09__DXC13_03010
ERR1913265.1103509__1.1103509	214856__A0A174ZTW9__ERS852447_01287
ERR1913265.1103574__1.1103574	40518__R5E6K4__RB5AMG_02070
ERR1913265.1103604__1.1103604	28117__B0MXD0__ALIPUT_01669
ERR1913265.1103674__1.1103674	1263109__GCA_000438135.1_01430
ERR1913265.1103781__1.1103781	28117__B0MU57__ALIPUT_00175
ERR1913265.1103854__1.1103854	40518__R5DLM5__RB5AMG_00422
ERR1913265.1103893__1.1103893	33043__A8SQU6__ERS852386_01237
ERR1913265.1103933__1.1103933	1680__A1A132__B0703_0684
ERR1913265.1104043__1.1104043	33043__A0A173WWJ5__ERS852386_00339
ERR1913265.1104062__1.1104062	1262992__R5DAK8__BN795_01248
ERR1913265.1104375__1.1104375	1304__A0A1V0GL68__CGZ74_06870
ERR1913265.1104395__1.1104395	905__D2RNT0__Acfer_0300
ERR1913265.1104403__1.1104403	40518__R5DMC7__blaR1
ERR1913265.1104593__1.1104593	1150298__A0A174HDJ7__ERS852535_00590
ERR1913265.1104701__1.1104701	1680__A0A174BEE7__BSTER_1311
ERR1913265.1104706__1.1104706	291644__R5JAW4__HMPREF1071_01744
ERR1913265.1104826__1.1104826	371601__D0TLK9__BN890_11250
ERR1913265.1104908__1.1104908	1304__F8LL78__A6J87_06705
ERR1913265.1104952__1.1104952	853__A0A173TAZ8__DWZ46_14590
ERR1913265.1105108__1.1105108	821__A0A174WBC9__ERS852556_03145
ERR1913265.1105270__1.1105270	28117__B0MY40__BHV66_05170
ERR1913265.1105262__1.1105262	74426__pflB_2
ERR1913265.1105560__1.1105560	40518__A0A2N0UK36__RBATCC27255_01376
ERR1913265.1105644__1.1105644	40518__R5DXH2__DXD83_10135
ERR1913265.1105711__1.1105711	1686__B6XVK7__BIFCAT_01236
ERR1913265.1105755__1.1105755	552398__T5S086__HMPREF0866_01580
ERR1913265.1105826__1.1105826	40518__R5E2R8__nnr_2
ERR1913265.1105919__1.1105919	1304__A0A0F3HE04__A6J87_01575
ERR1913265.1106055__1.1106055	40518__A0A373KL92__RBATCC27255_01378
ERR1913265.1106033__1.1106033	487174__K0WV96__HMPREF9448_01901
ERR1913265.1105996__1.1105996	214856__A0A175A6T5__ERS852447_02658
ERR1913265.1106004__1.1106004	1232426__uvrA_2
ERR1913265.1106056__1.1106056	310298__B3JFQ2__BACCOP_00703
ERR1913265.1106065__1.1106065	820__A0A174CG08__DXB62_13215
ERR1913265.1106220__1.1106220	214856__A0A174EJT5__mnmA
ERR1913265.1106241__1.1106241	1304__J7TU64__CYK22_02490
ERR1913265.1106320__1.1106320	1262911__R6GPM2__BN557_00937
ERR1913265.1106455__1.1106455	328813__A0A1Y3R1R9__B5G41_09475
ERR1913265.1106568__1.1106568	39491__A0A396FMF1__EUR_28700
ERR1913265.1106608__1.1106608	214856__A0A174EJT5__mnmA
ERR1913265.1106657__1.1106657	649756__B0NZZ8__DO83_09740
ERR1913265.1106833__1.1106833	1680__A0A0C2YPV2__AL0462_1474
ERR1913265.1106854__1.1106854	216816__R5MZK3__DPC6320_1630
ERR1913265.1106855__1.1106855	1318__A0A3E4U7U7__HMPREF1195_01751
ERR1913265.1106917__1.1106917	214856__A0A173ZQY0__ERS852559_00007
ERR1913265.1107247__1.1107247	40518__R5E4E8__phoR_4
ERR1913265.1107271__1.1107271	905__D2RN14__Acfer_2088
ERR1913265.1107329__1.1107329	40518__R5E5W1__RBL263_01034
ERR1913265.1107331__1.1107331	1680__R5GPK0__B0487_0620
ERR1913265.1107513__1.1107513	28117__B0MWC6__BHV66_00965
ERR1913265.1107576__1.1107576	821__A0A174RA14__M099_1655
ERR1913265.1107765__1.1107765	40518__R5DU92__DXD93_03170
ERR1913265.1107846__1.1107846	176090__A0A0A0DF29__SSIN_1565
ERR1913265.1107896__1.1107896	28117__B0MWC6__BHV66_00965
ERR1913265.1108042__1.1108042	214856__A0A174ZTW9__ERS852447_01287
ERR1913265.1108059__1.1108059	40518__R5DQW8__sipW_2
ERR1913265.1108135__1.1108135	88431__A6BFJ3__ERS852408_01680
ERR1913265.1108181__1.1108181	214856__R6Z5D0__resA_4
ERR1913265.1108202__1.1108202	28118__A0A1Y3Y204__NCTC10826_02015
ERR1913265.1108484__1.1108484	1150298__A0A174DQP3__rpe_2
ERR1913265.1108502__1.1108502	1262736__R5Y4B3__BN496_02066
ERR1913265.1108557__1.1108557	1304__F8LL13__SSALIVM18_08411
ERR1913265.1108615__1.1108615	28117__B0MTY2__BHV66_06485
ERR1913265.1108713__1.1108713	820__E5VA63__DXC80_01025
ERR1913265.1108872__1.1108872	39491__A0A395UXH0__EUBREC_0021
ERR1913265.1108936__1.1108936	1262992__R5DE88__BN795_00202
ERR1913265.1109038__1.1109038	1150298__R7JNQ8__ERS852406_00857
ERR1913265.1109053__1.1109053	1150298__R7JXH6__mecR1
ERR1913265.1109311__1.1109311	40518__R5DPA7__RBATCC27255_01319
ERR1913265.1109328__1.1109328	40520__R7D2W9__DXB81_15890
ERR1913265.1109341__1.1109341	1686__B6XVK6__BBCT_1418
ERR1913265.1109351__1.1109351	33043__A0A173YLD4__ERS852575_00535
ERR1913265.1109420__1.1109420	39488__A0A173ZWK0__EHLA_2903
ERR1913265.1109481__1.1109481	40518__R5DU52__RB5AMG_02245
ERR1913265.1109537__1.1109537	28117__B0MTV0__BHV66_06395
ERR1913265.1109564__1.1109564	78535__A0A380M958__NCTC1080_01999
ERR1913265.1109787__1.1109787	821__A0A173WG51__BVU_2549
ERR1913265.1109855__1.1109855	40519__U2MCQ8__RUMCAL_00556
ERR1913265.1109901__1.1109901	33043__D5HI09__ERS852575_02656
ERR1913265.1109955__1.1109955	33043__A0A173X5R2__ERS852445_01329
ERR1913265.1109986__1.1109986	214856__A0A174ZLX0__ERS852559_00738
ERR1913265.1110000__1.1110000	1965631__A0A1Y4A7Y2__B5F90_10005
ERR1913265.1110097__1.1110097	310298__B3JFK5__BACCOP_00655
ERR1913265.1110239__1.1110239	1263109__GCA_000438135.1_00482
ERR1913265.1110441__1.1110441	39491__A0A395ZGE4__ERS852497_01269
ERR1913265.1110568__1.1110568	1680__A0A0C2VBJ4__birA
ERR1913265.1110728__1.1110728	39491__A0A0M6WLC7__ERS852497_00640
ERR1913265.1110772__1.1110772	39491__A0A174M1X5__DXB99_18695
ERR1913265.1110935__1.1110935	853__A0A2A7B9I6__DW855_13690
ERR1913265.1110946__1.1110946	1262992__R5D645__BN795_00736
ERR1913265.1111015__1.1111015	28117__B0MWX3__BHV66_03010
ERR1913265.1111089__1.1111089	820__A7V470__HMPREF1072_02076
ERR1913265.1111182__1.1111182	33039__A0A173VTT4__frdB_1
ERR1913265.1111244__1.1111244	39491__A0A396FM36__DXB99_00820
ERR1913265.1111308__1.1111308	853__D4JY61__C4N21_10560
ERR1913265.1111364__1.1111364	40518__R5E6X5__sbcD
ERR1913265.1111480__1.1111480	328813__A0A1Y3QRL5__B5G41_11625
ERR1913265.1111507__1.1111507	216816__A0A1V8RHV4__DXD44_06445
ERR1913265.1111669__1.1111669	214856__I3YMC8__ERS852447_02666
ERR1913265.1111823__1.1111823	487174__K0XG34__HMPREF9448_02234
ERR1913265.1111827__1.1111827	214856__A0A174A0P3__ERS852447_00994
ERR1913265.1111829__1.1111829	40519__U2MCQ8__RUMCAL_00556
ERR1913265.1111833__1.1111833	1680__A0A374QDL4__LMG18897_0432
ERR1913265.1111880__1.1111880	1680__A0A1E7Y0K2__DXC59_05185
ERR1913265.1111899__1.1111899	39491__A0A396FPV7__ERS852580_01177
ERR1913265.1111937__1.1111937	216816__A0A133LQN7__BL15B_00780
ERR1913265.1112104__1.1112104	310298__B3JJX9__BACCOP_02203
ERR1913265.1112238__1.1112238	218538__C9LQG6__GCWU000321_01798
ERR1913265.1112279__1.1112279	40518__R5DP61__DXD86_06345
ERR1913265.1112309__1.1112309	310298__B3JFK6__BACCOP_00656
ERR1913265.1112388__1.1112388	820__A0A174QT76__B5G17_18060
ERR1913265.1112344__1.1112344	46506__A0A108TBL0__BACSTE_01998
ERR1913265.1112442__1.1112442	1150298__A0A174K7D2__ERS852498_01147
ERR1913265.1112456__1.1112456	1304__A0A074J0C2__V471_05910
ERR1913265.1112480__1.1112480	40518__R5E4E8__phoR_4
ERR1913265.1112684__1.1112684	40518__R5E500__RBL263_01193
ERR1913265.1112698__1.1112698	28117__B0MXG8__ALIPUT_01814
ERR1913265.1112753__1.1112753	39491__A0A395ZBW8__DXC13_08840
ERR1913265.1112926__1.1112926	1150298__R7JTH7__ERS852498_00177
ERR1913265.1112946__1.1112946	246787__R6KQ08__AA416_01934
ERR1913265.1113037__1.1113037	39491__A0A395ZJZ1__LD38_01870
ERR1913265.1113228__1.1113228	291644__I9TEJ3__luxQ_1
ERR1913265.1113326__1.1113326	39491__C4Z9K7__EUBREC_0050
ERR1913265.1113334__1.1113334	823__A6LHK0__M090_1297
ERR1913265.1113438__1.1113438	394340__padG
ERR1913265.1113778__1.1113778	216816__A0A087BBV6__BFS26_06210
ERR1913265.1113832__1.1113832	40518__R5E5W1__RBL263_01034
ERR1913265.1113836__1.1113836	40518__R5DX93__DXD93_03055
ERR1913265.1113959__1.1113959	40518__R5E500__RBL263_01193
ERR1913265.1114172__1.1114172	28117__B0MST8__ALIPUT_00310
ERR1913265.1114207__1.1114207	1262992__R5D6G0__BN795_00277
ERR1913265.1114209__1.1114209	1235835__R9LCU2__C814_02677
ERR1913265.1114212__1.1114212	410072__C0BAJ3__ERS852574_01527
ERR1913265.1114355__1.1114355	820__A0A3E4RU03__M093_0563
ERR1913265.1114368__1.1114368	310298__B3JI31__BACCOP_01543
ERR1913265.1114394__1.1114394	39486__G1WW54__DXB12_08440
ERR1913265.1114414__1.1114414	28117__B0MST6__BHV66_06090
ERR1913265.1114468__1.1114468	823__A0A395YRW4__DD466_15895
ERR1913265.1114521__1.1114521	28117__B0MTV0__BHV66_06395
ERR1913265.1114536__1.1114536	821__A0A0P0L8F8__ERS852509_03705
ERR1913265.1114547__1.1114547	1304__T0SPD1__HSISS4_01717
ERR1913265.1114652__1.1114652	40518__R5DP21__RBATCC27255_00348
ERR1913265.1114797__1.1114797	853__A0A2A7B1Y7__C7K05_11930
ERR1913265.1115045__1.1115045	33043__A0A174DVD4__prkC_7
ERR1913265.1115270__1.1115270	1150298__A0A174GQV8__ERS852406_02454
ERR1913265.1115276__1.1115276	39491__A0A395ZHV7__ykvU
ERR1913265.1115303__1.1115303	905__D2RMC5__SAMN05216495_12512
ERR1913265.1115416__1.1115416	40518__R5DP21__RBATCC27255_00348
ERR1913265.1115456__1.1115456	487174__K0XRP0__DDY40_09260
ERR1913265.1115488__1.1115488	820__A0A139KH21__DXC80_01780
ERR1913265.1115499__1.1115499	218538__C9LQG6__GCWU000321_01798
ERR1913265.1115541__1.1115541	357276__I9R994__BACDOR_04044
ERR1913265.1115547__1.1115547	1680__A0A0C2YNK5__BADO_0780
ERR1913265.1115597__1.1115597	33043__D5HEU4__ftsW_3
ERR1913265.1115670__1.1115670	214856__A0A174EQR4__rsmA
ERR1913265.1115820__1.1115820	1150298__A0A174QAL8__ERS852498_02570
ERR1913265.1115779__1.1115779	1262911__R6HN87__BN557_00926
ERR1913265.1115975__1.1115975	40518__R5E550__aroK
ERR1913265.1116127__1.1116127	1680__A0A1E7Y0K2__DXC59_05185
ERR1913265.1116150__1.1116150	853__A0A2A7B9I6__DW855_13690
ERR1913265.1116387__1.1116387	39491__A0A0M6WLC7__ERS852497_00640
ERR1913265.1116406__1.1116406	1680__A0A174BEE7__BSTER_1311
ERR1913265.1116423__1.1116423	487174__K0XRP0__DDY40_09260
ERR1913265.1116451__1.1116451	1550024__G9RUM6__TQ39_16565
ERR1913265.1116574__1.1116574	487175__D9Y8N2__HMPREF9439_01198
ERR1913265.1116741__1.1116741	214856__R6XTZ7__ERS852447_02314
ERR1913265.1116883__1.1116883	40518__R5DP21__RBATCC27255_00348
ERR1913265.1116859__1.1116859	33043__D5HIS6__ERS852575_02019
ERR1913265.1116831__1.1116831	1263109__GCA_000438135.1_01595
ERR1913265.1116971__1.1116971	39491__A0A173TM76__DXB72_10535
ERR1913265.1116976__1.1116976	853__A0A174BZY1__xerD_1
ERR1913265.1116998__1.1116998	28116__A0A078Q626__HMPREF1070_02735
ERR1913265.1117043__1.1117043	40518__A0A2N0UK36__RBATCC27255_01376
ERR1913265.1117056__1.1117056	40518__R5E4V5__RBL263_01242
ERR1913265.1117072__1.1117072	310298__B3JK49__BACCOP_02273
ERR1913265.1117200__1.1117200	1689__W2VIE9__HMPREF0168_1642
ERR1913265.1117347__1.1117347	1550024__G9RVU1__TQ39_06560
ERR1913265.1117372__1.1117372	573__A0A377XJQ7__CBL57_13755
ERR1913265.1117379__1.1117379	820__A0A174R952__DXB48_02570
ERR1913265.1117394__1.1117394	88431__A0A174G8Q6__ERS852526_02711
ERR1913265.1117444__1.1117444	1150298__R7JL35__ERS852498_02809
ERR1913265.1117806__1.1117806	40518__R5E5W1__RBL263_01034
ERR1913265.1117807__1.1117807	28117__B0MTY2__BHV66_06485
ERR1913265.1118004__1.1118004	410072__C0B543__DXD67_15070
ERR1913265.1117988__1.1117988	40518__R5E6X1__DXD83_01720
ERR1913265.1118054__1.1118054	821__A0A174WBC9__ERS852556_03145
ERR1913265.1118060__1.1118060	28117__B0MZ50__ALIPUT_02424
ERR1913265.1118062__1.1118062	1304__F8LK78__STRSA0001_0840
ERR1913265.1118130__1.1118130	1150298__A0A174Q6Q0__ERS852406_00063
