ERR1913243.162__1.162	487174__K0WZN5__HMPREF9448_01108
ERR1913243.416932__1.416932	39488__A0A173RDQ1__EUBHAL_02348
ERR1913243.417163__1.417163	40518__R5E4E8__phoR_4
ERR1913243.417223__1.417223	821__E5UY21__C800_02204
ERR1913243.417276__1.417276	821__A0A0P0M2J4__DXD46_10295
ERR1913243.417336__1.417336	1262882__R5MSI5__BN519_01596
ERR1913243.417362__1.417362	328814__GCA_004558275.1_01620
ERR1913243.417371__1.417371	745368__A0A1T4WAV4__SAMN02745178_00326
ERR1913243.417834__1.417834	1263006__R6LU28__BN515_01365
ERR1913243.418404__1.418404	823__D0TGE9__ERS852429_03294
ERR1913243.418354__1.418354	649756__B0P1J9__ERS852425_02604
ERR1913243.418654__1.418654	821__E5UPR6__SAMN04487923_101768
ERR1913243.419501__1.419501	1262882__R5MGK3__BN519_00655
ERR1913243.419922__1.419922	39492__D4JT56__lepB
ERR1913243.420037__1.420037	1262882__R5N511__BN519_01592
ERR1913243.420131__1.420131	820__A0A3E4W4Y7__B5G17_02055
ERR1913243.420338__1.420338	40518__R5DSI5__fieF
ERR1913243.420389__1.420389	1263086__GCA_000431395.1_00295
ERR1913243.420442__1.420442	46506__S3YVT5__BACSTE_02352
ERR1913243.420679__1.420679	39492__D4JVC7__yfgF
ERR1913243.420858__1.420858	671267__R9IB12__C802_00696
ERR1913243.421131__1.421131	1262882__R5MKV8__BN519_01281
ERR1913243.421156__1.421156	1262882__R5MDR8__BN519_00124
ERR1913243.421483__1.421483	40518__R5DRY6__RB5AMG_00549
ERR1913243.421633__1.421633	2173__A0A1D2WR01__Msm_0221
ERR1913243.421777__1.421777	487174__R5ER56__HMPREF9448_02812
ERR1913243.421785__1.421785	1262739__R6M9P7__BN659_01903
ERR1913243.421822__1.421822	1262882__R5MKI3__BN519_00334
ERR1913243.421829__1.421829	28116__E5C5U2__HMPREF2532_02418
ERR1913243.421939__1.421939	40518__R5DTG5__RBATCC27255_00890
ERR1913243.421981__1.421981	28117__B0MYI9__BHV66_05415
ERR1913243.422184__1.422184	821__U6RDC2__DXD46_15675
ERR1913243.422292__1.422292	821__A0A174NM17__lacZ_6
ERR1913243.422432__1.422432	40518__R5DVR2__RBL236_00303
ERR1913243.422621__1.422621	1099853__G9S6S5__NSB1T_01700
ERR1913243.422728__1.422728	1262882__R5MM96__BN519_01545
ERR1913243.422764__1.422764	310298__B3JFI7__BACCOP_00636
ERR1913243.422862__1.422862	33039__D4M4L0__ERS852577_02891
ERR1913243.423065__1.423065	1263107__GCA_000436995.1_00122
ERR1913243.423089__1.423089	1262882__R5MM69__BN519_00075
ERR1913243.423126__1.423126	1262882__R5MHQ8__BN519_00707
ERR1913243.423267__1.423267	821__D4VD59__BHV80_04260
ERR1913243.423278__1.423278	487174__K0X835__DIT83_09510
ERR1913243.423384__1.423384	1501391__GCA_000786575.1_00058
ERR1913243.423495__1.423495	158847__H3KA41__B5F82_09250
ERR1913243.423639__1.423639	39492__D4JTW6__ERS852540_00220
ERR1913243.423629__1.423629	1262882__R5ML49__BN519_01361
ERR1913243.423882__1.423882	40518__R5DU52__RB5AMG_02245
ERR1913243.424133__1.424133	239935__A0A2N8I694__CXU04_06245
ERR1913243.424364__1.424364	246787__A0A0P0GPH1__HMPREF1062_01913
ERR1913243.424541__1.424541	1262882__R5MYG7__BN519_00405
ERR1913243.424515__1.424515	821__A0A395UNT8__DXD64_15275
ERR1913243.424654__1.424654	40518__R5DP21__RBATCC27255_00348
ERR1913243.424769__1.424769	28117__R7JMT0__BHV66_05875
ERR1913243.424896__1.424896	28117__B0MY40__BHV66_05170
ERR1913243.425091__1.425091	246787__R6KBH9__HMPREF1062_04676
ERR1913243.425129__1.425129	40518__R5DP61__DXD86_06345
ERR1913243.425249__1.425249	40518__A0A1C6H8N9__RBATCC27255_01374
ERR1913243.425276__1.425276	40518__R5DZB1__DXD83_08840
ERR1913243.425278__1.425278	1262882__R5N1T9__BN519_00804
ERR1913243.425726__1.425726	40518__R5DVR2__RBL236_00303
ERR1913243.425839__1.425839	1262882__R5N5C3__BN519_01664
ERR1913243.426050__1.426050	328814__GCA_004558275.1_00101
ERR1913243.426749__1.426749	1262882__R5N3T7__BN519_01188
ERR1913243.426766__1.426766	1262992__R5DCM8__BN795_01561
ERR1913243.426934__1.426934	40518__R5DYT8__mscS
ERR1913243.427023__1.427023	165179__A0A3E5E2S3__DXB80_03455
ERR1913243.427048__1.427048	40518__R5E4X5__RB5AMG_01438
ERR1913243.427110__1.427110	40518__R5DXW3__DXD86_07900
ERR1913243.427121__1.427121	246787__A0A3D6AXU9__BACCELL_01366
ERR1913243.427242__1.427242	39492__D4JRM9__bglB_2
ERR1913243.427309__1.427309	821__E5UPR6__SAMN04487923_101768
ERR1913243.427448__1.427448	487174__K0XA11__DDY40_03585
ERR1913243.427461__1.427461	40518__R5DY98__mepA_5
ERR1913243.427524__1.427524	1262882__R5MFT7__BN519_00494
ERR1913243.427591__1.427591	40518__R5DTJ1__DXD86_03635
ERR1913243.427684__1.427684	1262882__R5MM90__BN519_01721
ERR1913243.427687__1.427687	338188__A0A174GXA9__bglX_10
ERR1913243.427766__1.427766	39492__D4JS87__EUBSIR_02328
ERR1913243.427811__1.427811	1262882__R5N4P6__BN519_01346
ERR1913243.427999__1.427999	214856__I3YMC8__ERS852447_02666
ERR1913243.428081__1.428081	384638__B7APR1__BACPEC_00667
ERR1913243.428125__1.428125	745368__A0A1T4WBJ5__SAMN02745178_00329
ERR1913243.428165__1.428165	39492__B0MPL6__EUBSIR_01779
ERR1913243.428398__1.428398	39492__D4JQS7__ERS852540_01645
ERR1913243.428405__1.428405	823__A0A173UDF6__CEQ22_003270
ERR1913243.428610__1.428610	40518__R5E1J7__RBL236_02062
ERR1913243.428643__1.428643	328814__GCA_004558275.1_00035
ERR1913243.429034__1.429034	40518__R5DVL2__penA
ERR1913243.429269__1.429269	1628085__A0A1C5ZZM0__C7386_1133
ERR1913243.429333__1.429333	40518__R5DUU0__DXD93_03985
ERR1913243.429384__1.429384	40518__R5DXW3__DXD86_07900
ERR1913243.429528__1.429528	39492__D4JQY4__EUBSIR_01325
ERR1913243.429915__1.429915	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1913243.429988__1.429988	39488__A0A173SQY9__minC
ERR1913243.430031__1.430031	821__A0A174NM17__lacZ_6
ERR1913243.430069__1.430069	39492__D4JX34__ERS852540_00411
ERR1913243.430392__1.430392	1262882__A0A356PSJ4__BN519_01180
ERR1913243.430415__1.430415	40518__R5DZB3__RB5AMG_01719
ERR1913243.430445__1.430445	246787__A0A0P0GR24__BcellWH2_03263
ERR1913243.430509__1.430509	2292352__A0A374UQJ9__DXC23_03560
ERR1913243.430667__1.430667	371601__D7K8P3__SAMN05216250_10395
ERR1913243.430743__1.430743	33039__A0A174YA68__ribU
ERR1913243.430917__1.430917	1262882__R5MND9__BN519_00831
ERR1913243.431097__1.431097	2292352__A0A374UNM0__DXC23_01660
ERR1913243.431104__1.431104	39492__A0A174ZP27__EUBSIR_00033
ERR1913243.431106__1.431106	239935__A0A139TVJ4__CXT86_02020
ERR1913243.431321__1.431321	39492__D4JV86__spoIIE
ERR1913243.431387__1.431387	39492__D4JV86__spoIIE
ERR1913243.431625__1.431625	821__D4VD59__BHV80_04260
ERR1913243.431697__1.431697	1550024__G9RWG1__ASJ35_03770
ERR1913243.431728__1.431728	1262882__R5MIC9__BN519_00834
ERR1913243.432054__1.432054	39492__D4JRV7__EUBSIR_01513
ERR1913243.432380__1.432380	246787__A0A139L268__BcellWH2_03192
ERR1913243.432503__1.432503	2173__A0A1D2WSY5__METSMIF1_03017
ERR1913243.432925__1.432925	40518__R5DV58__htrA
ERR1913243.432949__1.432949	39492__D4JSA4__ERS852540_00596
ERR1913243.433249__1.433249	239935__A0A2N8J2P6__ADH72_06730
ERR1913243.433431__1.433431	40518__R5E7G3__DXD86_03405
ERR1913243.433726__1.433726	39492__D4JSU6__dacB_3
ERR1913243.433850__1.433850	1262992__R5CY89__BN795_01227
ERR1913243.433911__1.433911	40518__R5DVX3__RBL263_01584
ERR1913243.433930__1.433930	239935__A0A2N8HTZ8__CXU09_01270
ERR1913243.434154__1.434154	100884__E7GBE2__DXB30_08740
ERR1913243.434168__1.434168	40518__R5DSI5__fieF
ERR1913243.434221__1.434221	2292352__A0A374UQJ9__DXC23_03560
ERR1913243.434196__1.434196	418240__A0A173XCL4__ERS852523_02725
ERR1913243.434204__1.434204	40518__R5E4X5__RB5AMG_01438
ERR1913243.434279__1.434279	28116__A0A1Y4PDJ7__C5Z02_08485
ERR1913243.434383__1.434383	487174__K0WVG2__DDY40_00285
ERR1913243.434460__1.434460	40518__R5DSI5__fieF
ERR1913243.434687__1.434687	410072__A0A173XQG6__ERS852574_01620
ERR1913243.434654__1.434654	39492__D4JWY7__EUBSIR_01655
ERR1913243.434754__1.434754	39492__D4JVZ6__truB
ERR1913243.434714__1.434714	39492__D4JWG6__EUBSIR_00253
ERR1913243.434794__1.434794	328814__GCA_004558275.1_00059
ERR1913243.434859__1.434859	39492__B0MS79__ERS852540_01394
ERR1913243.434860__1.434860	239935__A0A2N8IUW6__Amuc_1525
ERR1913243.434930__1.434930	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913243.434939__1.434939	39488__C0EXE9__ERS852578_02128
ERR1913243.434979__1.434979	46506__A0A108TBL0__BACSTE_01998
ERR1913243.434993__1.434993	1262882__R5MT08__BN519_01706
ERR1913243.435250__1.435250	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913243.435435__1.435435	1262882__R5MGX3__BN519_00046
ERR1913243.435660__1.435660	1262882__R5N3H1__BN519_01121
ERR1913243.435870__1.435870	1262882__R5MZ41__BN519_00356
ERR1913243.435997__1.435997	40518__R5DQJ0__DXD93_03790
ERR1913243.436022__1.436022	328814__GCA_004558275.1_00007
ERR1913243.436099__1.436099	1262882__R5MDR8__BN519_00124
ERR1913243.436135__1.436135	40518__R5E1J2__DXD93_04070
ERR1913243.436342__1.436342	487174__R5FJY1__DDY40_07045
ERR1913243.436308__1.436308	1262848__R6U8I0__BN818_01131
ERR1913243.436312__1.436312	820__A0A3E4XM43__DXC91_13960
ERR1913243.436374__1.436374	2173__R7PXA1__Msm_1180
ERR1913243.436418__1.436418	239935__A0A2N8ITW6__CXT91_06265
ERR1913243.436423__1.436423	853__E2ZJT1__C4N23_03535
ERR1913243.436769__1.436769	28117__B0MTH2__ALIPUT_00061
ERR1913243.436809__1.436809	246787__A0A0N7IFC5__HMPREF1062_01960
ERR1913243.436976__1.436976	166486__D4KYW5__ROSINTL182_05595
ERR1913243.437035__1.437035	328814__GCA_004558275.1_00033
ERR1913243.437081__1.437081	823__E1YV41__BDI_1376
ERR1913243.437182__1.437182	40518__R5E6K5__speA
ERR1913243.437288__1.437288	292800__H1C6M9__ERS852518_00105
ERR1913243.437318__1.437318	40518__R5DZE2__DXD86_07400
ERR1913243.437365__1.437365	1897011__A0A1Q6RI31__BHW41_00965
ERR1913243.437506__1.437506	487174__K0WXI5__DDY40_07185
ERR1913243.437510__1.437510	487174__K0WZ94__HMPREF9448_00984
ERR1913243.437629__1.437629	328814__GCA_004558275.1_00993
ERR1913243.437737__1.437737	357276__B6VYT9__HMPREF1063_05030
ERR1913243.437858__1.437858	471189__GCA_003340385.1_00321
ERR1913243.437861__1.437861	246787__R6KBH9__HMPREF1062_04676
ERR1913243.437882__1.437882	301302__A0A173UN64__manA_2
ERR1913243.437982__1.437982	1262882__R5MFY4__BN519_00529
ERR1913243.438153__1.438153	40518__R5E4X1__DXD93_05270
ERR1913243.438197__1.438197	40518__R5DV58__htrA
ERR1913243.438207__1.438207	2108523__A0A2P2FCY8__LAWASA_3942
ERR1913243.438939__1.438939	39492__D4JVG1__ERS852540_00951
ERR1913243.439052__1.439052	1262882__R5MYP8__BN519_00439
ERR1913243.439028__1.439028	820__A0A174M9V5__M093_0237
ERR1913243.439037__1.439037	328814__GCA_004558275.1_01005
ERR1913243.439166__1.439166	239935__A0A2N8HT68__ADH72_00510
ERR1913243.439284__1.439284	1262756__R5WR80__BN568_01634
ERR1913243.439519__1.439519	39492__D4JQL8__ywpJ
ERR1913243.439540__1.439540	39492__D4JVG1__ERS852540_00951
ERR1913243.439873__1.439873	2173__A0A1D2WXC5__METSMIALI_01265
ERR1913243.439954__1.439954	40518__R5DZ16__DXD86_01455
ERR1913243.440198__1.440198	446660__GCA_003428235.1_01040
ERR1913243.440405__1.440405	1262882__R5N2U9__BN519_01221
ERR1913243.440516__1.440516	471189__GCA_003340385.1_00744
ERR1913243.440682__1.440682	371601__F7LHU5__B5E52_04280
ERR1913243.440784__1.440784	1501391__GCA_000786575.1_00017
ERR1913243.440890__1.440890	1263086__GCA_000431395.1_00591
ERR1913243.441034__1.441034	821__D4VD59__BHV80_04260
ERR1913243.441371__1.441371	328814__GCA_004558275.1_00033
ERR1913243.441685__1.441685	28116__A0A1G6G396__DXD69_22115
ERR1913243.441880__1.441880	328814__GCA_004558275.1_00998
ERR1913243.442106__1.442106	239935__A0A2N8INK7__Amuc_0521
ERR1913243.442263__1.442263	28117__B0MWP2__ALIPUT_01468
ERR1913243.442295__1.442295	471189__GCA_003340385.1_00717
ERR1913243.442396__1.442396	1262882__R5N5W2__BN519_00074
ERR1913243.442559__1.442559	169435__A0A174U716__DXC40_13975
ERR1913243.442637__1.442637	301302__A0A0M6WTB1__M72_11101
ERR1913243.442769__1.442769	40518__R5DU74__RBATCC27255_00707
ERR1913243.442868__1.442868	40518__R5E642__RBATCC27255_00729
ERR1913243.443215__1.443215	1501391__GCA_000786575.1_00146
ERR1913243.443372__1.443372	39492__D4JSU6__dacB_3
ERR1913243.443433__1.443433	39492__A0A174ZP27__EUBSIR_00033
ERR1913243.443469__1.443469	28117__B0MUB3__ALIPUT_00727
ERR1913243.443835__1.443835	40518__R5DXW3__DXD86_07900
ERR1913243.443971__1.443971	28116__A0A1Y4PTX5__SAMN05192582_104017
ERR1913243.443984__1.443984	28116__A0A1Y4PHM7__DXA80_25130
ERR1913243.444180__1.444180	487174__K0XES7__HMPREF9448_00566
ERR1913243.444674__1.444674	40518__R5DR39__mreB_2
ERR1913243.445176__1.445176	820__A0A139K0J1__HMPREF2141_03205
ERR1913243.445458__1.445458	1263086__GCA_000431395.1_00702
ERR1913243.445493__1.445493	239935__A0A2N8IKW7__pstA
ERR1913243.445674__1.445674	204516__U6R921__HMPREF1534_03932
ERR1913243.445802__1.445802	544644__GCA_001915615.1_02043
ERR1913243.445737__1.445737	28117__B0MWP2__ALIPUT_01468
ERR1913243.445741__1.445741	1262882__R5MRS7__BN519_01490
ERR1913243.445869__1.445869	626932__G5H4Z7__HMPREF9450_00007
ERR1913243.446085__1.446085	28118__R6FX99__Odosp_1660
ERR1913243.446212__1.446212	821__A0A0P0M5Z6__BVU_0429
ERR1913243.446333__1.446333	357276__C3R9Y0__HMPREF1064_01889
ERR1913243.446445__1.446445	2292352__A0A374UNS4__DXC23_05055
ERR1913243.446467__1.446467	820__A0A374Q854__HMPREF1073_03281
ERR1913243.446559__1.446559	239935__A0A2N8J1K0__CXT97_05765
ERR1913243.446744__1.446744	471189__GCA_003340385.1_00050
ERR1913243.446782__1.446782	39492__R6SPM9__pheT
ERR1913243.446879__1.446879	33039__D4M6E9__ERS852390_02866
ERR1913243.447059__1.447059	1262882__R5MM10__BN519_01679
ERR1913243.447099__1.447099	40518__R5E7G3__DXD86_03405
ERR1913243.447466__1.447466	40518__R5DVL2__penA
ERR1913243.447547__1.447547	40518__R5DNY7__RBATCC27255_00367
ERR1913243.447558__1.447558	1262882__R5MRS7__BN519_01490
ERR1913243.447494__1.447494	1262882__R5MFY4__BN519_00529
ERR1913243.447502__1.447502	1262882__R5MT08__BN519_01706
ERR1913243.447927__1.447927	39486__B0G7R1__DXD10_04295
ERR1913243.447937__1.447937	1262882__R5ML49__BN519_01361
ERR1913243.447948__1.447948	2292352__A0A374URH1__DXC23_03540
ERR1913243.448183__1.448183	437897__H3KB93__DXD38_10025
ERR1913243.448224__1.448224	40518__R5DUG7__sbcC
ERR1913243.448344__1.448344	46506__B0NPY3__BACSTE_02000
ERR1913243.448676__1.448676	1262882__R5MH55__BN519_00725
ERR1913243.448699__1.448699	1263107__GCA_000436995.1_00181
ERR1913243.448706__1.448706	1535__A7VTE8__CH238_00020
ERR1913243.448712__1.448712	246787__R6KQ08__AA416_01934
ERR1913243.448833__1.448833	1262882__R5N0J9__BN519_00773
ERR1913243.448846__1.448846	40518__R5DV58__htrA
ERR1913243.448979__1.448979	40518__R5E1J2__DXD93_04070
ERR1913243.448994__1.448994	39492__D4MIK7__EUBSIR_00676
ERR1913243.449112__1.449112	88431__A0A3D0F0I7__DORLON_00967
ERR1913243.449184__1.449184	1262882__R5MM96__BN519_01545
ERR1913243.449179__1.449179	1262882__R5MMP8__BN519_01654
ERR1913243.449671__1.449671	1262882__R5MSX6__BN519_01697
ERR1913243.449875__1.449875	28116__I8Y7V6__HMPREF1017_02728
ERR1913243.449876__1.449876	28116__I8Y7V6__HMPREF1017_02728
ERR1913243.450125__1.450125	39492__D4JTK2__EUBSIR_01439
ERR1913243.450202__1.450202	649756__A0A173SZT1__ftsW_3
ERR1913243.450856__1.450856	823__A0A355XKQ8__DHP27_04010
ERR1913243.450887__1.450887	1262882__R5MM69__BN519_00075
ERR1913243.450918__1.450918	46503__K5ZX50__dnaG_1
ERR1913243.451014__1.451014	39492__D4MIY5__EUBSIR_00233
ERR1913243.451228__1.451228	39491__A0A396FMF1__EUR_28700
ERR1913243.451430__1.451430	1262886__R6QS75__BN563_01599
ERR1913243.451540__1.451540	40518__R5DXI4__DXD86_07420
ERR1913243.451581__1.451581	820__A0A174EV88__HMPREF1072_01427
ERR1913243.451703__1.451703	820__A0A374Q854__HMPREF1073_03281
ERR1913243.451742__1.451742	1262882__R5N0C3__BN519_00731
ERR1913243.451792__1.451792	471189__GCA_003340385.1_00242
ERR1913243.451872__1.451872	649756__B0NZZ8__DO83_09740
ERR1913243.451842__1.451842	28117__B0MUB3__ALIPUT_00727
ERR1913243.451851__1.451851	1262882__R5N5C3__BN519_01664
ERR1913243.451853__1.451853	40518__R5DUG7__sbcC
ERR1913243.451949__1.451949	239935__A0A2N8HPS5__Amuc_0950
ERR1913243.452023__1.452023	35833__E5Y8F3__HMPREF0179_02471
ERR1913243.452081__1.452081	820__A7V470__HMPREF1072_02076
ERR1913243.452197__1.452197	39492__D4JQS6__ykoD
ERR1913243.452344__1.452344	1262882__R5MSI7__BN519_01601
ERR1913243.452637__1.452637	437897__H3K6F1__DXD38_07260
ERR1913243.452735__1.452735	1262882__R5N1L4__BN519_00757
ERR1913243.452785__1.452785	2173__A0A1D2WRI1__BK798_01230
ERR1913243.453059__1.453059	40518__R5DW64__RBL236_01394
ERR1913243.453127__1.453127	1235793__R9KS08__C809_01872
ERR1913243.453237__1.453237	40518__R5E4V5__RBL263_01242
ERR1913243.453314__1.453314	471189__GCA_003340385.1_00197
ERR1913243.453423__1.453423	28117__B0MWP2__ALIPUT_01468
ERR1913243.453633__1.453633	40518__R5E6X1__DXD83_01720
ERR1913243.453737__1.453737	1262882__R5MH81__BN519_00748
ERR1913243.454041__1.454041	74426__sugC
ERR1913243.454063__1.454063	35833__S2KT27__HMPREF0179_05324
ERR1913243.454268__1.454268	1535__A7VTN9__CLOLEP_01932
ERR1913243.454431__1.454431	39492__D4JR58__EUBSIR_02090
ERR1913243.454435__1.454435	1262882__R5N1T9__BN519_00804
ERR1913243.454489__1.454489	46506__A0A108TCV1__AA415_00106
ERR1913243.454511__1.454511	1535__A7VNP6__CH238_14995
ERR1913243.454548__1.454548	820__A0A3E5E0T0__ERS852554_00312
ERR1913243.454580__1.454580	46503__A7AH78__DD461_04085
ERR1913243.454597__1.454597	1262882__R5N526__BN519_01603
ERR1913243.454660__1.454660	40518__R5DYT8__mscS
ERR1913243.454681__1.454681	88431__A6BG03__ERS852408_01790
ERR1913243.455091__1.455091	39496__A5Z6L0__EUBVEN_01343
ERR1913243.455205__1.455205	1262882__R5N3H1__BN519_01121
ERR1913243.455286__1.455286	28117__B0MWX3__BHV66_03010
ERR1913243.455389__1.455389	214856__I3YMC8__ERS852447_02666
ERR1913243.455391__1.455391	40518__R5DWH8__DXD86_04530
ERR1913243.455397__1.455397	821__A6L0C7__ERS852556_03520
ERR1913243.455793__1.455793	239935__A0A2N8I6R6__CXU04_04335
ERR1913243.455827__1.455827	471189__GCA_003340385.1_00244
ERR1913243.455967__1.455967	88431__A0A174LB13__ERS852573_00606
ERR1913243.456152__1.456152	39492__D4JQM9__EUBSIR_00669
ERR1913243.456268__1.456268	1262882__R5N5S3__BN519_00085
ERR1913243.456348__1.456348	106588__A6P303__BACCAP_04887
ERR1913243.456724__1.456724	40518__R5DNY7__RBATCC27255_00367
ERR1913243.456729__1.456729	328814__GCA_004558275.1_00073
ERR1913243.456731__1.456731	239935__A0A2N8IVK9__CXU08_03750
ERR1913243.456758__1.456758	28117__B0MWP2__ALIPUT_01468
ERR1913243.457147__1.457147	39492__D4JRX7__EUBSIR_01480
ERR1913243.457227__1.457227	239935__A0A2N8IG27__CXT85_07805
ERR1913243.457362__1.457362	487174__K0XL60__DDY40_11760
ERR1913243.457405__1.457405	28117__B0MT84__ALIPUT_00402
ERR1913243.457440__1.457440	39492__D4JQL8__ywpJ
ERR1913243.457475__1.457475	39492__D4JUD7__EUBSIR_01877
ERR1913243.457528__1.457528	39492__D4JS06__ERS852540_02297
ERR1913243.457533__1.457533	39492__D4JSG7__EUBSIR_01006
ERR1913243.457607__1.457607	40518__R5DQD6__DXD83_09060
ERR1913243.457646__1.457646	1263000__R5EKG2__BN466_02040
ERR1913243.457753__1.457753	40518__R5DP91__RBL236_00890
ERR1913243.457796__1.457796	187327__G4Q6A8__csn2
ERR1913243.458506__1.458506	239935__A0A2N8J2P6__ADH72_06730
ERR1913243.458628__1.458628	40518__R5E8B6__RB5AMG_00876
ERR1913243.458798__1.458798	40518__R5DQJ0__DXD93_03790
ERR1913243.458883__1.458883	328814__GCA_004558275.1_00072
ERR1913243.459316__1.459316	39492__D4JW10__pppA
ERR1913243.459474__1.459474	39488__A0A174HCB2__ERS852450_02287
ERR1913243.459477__1.459477	40518__R5E2Z2__DXD93_09295
ERR1913243.459655__1.459655	40518__R5DV58__htrA
ERR1913243.459763__1.459763	552398__F4XCQ4__HMPREF0866_01621
ERR1913243.459800__1.459800	821__A0A396F598__CUU_3259
ERR1913243.459773__1.459773	1547__H1AIY7__DXB93_02065
ERR1913243.459849__1.459849	328814__GCA_004558275.1_00078
ERR1913243.459865__1.459865	28116__A0A1Y4Q112__evgS_13
ERR1913243.459925__1.459925	204516__U6R9H3__HMPREF1534_03348
ERR1913243.460003__1.460003	1262882__R5N1R4__BN519_00788
ERR1913243.460036__1.460036	88431__A0A3D0F0I7__DORLON_00967
ERR1913243.460046__1.460046	1501391__GCA_000786575.1_00131
ERR1913243.460128__1.460128	821__E5UY21__C800_02204
ERR1913243.460188__1.460188	328814__GCA_004558275.1_00066
ERR1913243.460450__1.460450	39492__D4JWT3__ERS852540_00301
ERR1913243.460525__1.460525	239935__A0A2N8I6R6__CXU04_04335
ERR1913243.460632__1.460632	28117__B0MVL5__BHV66_01660
ERR1913243.460647__1.460647	1263000__R5EFA7__BN466_01197
ERR1913243.460735__1.460735	626933__H1DGX0__HMPREF9449_01506
ERR1913243.460765__1.460765	239935__A0A139TMG9__CXU07_10650
ERR1913243.460924__1.460924	40518__R5DUG7__sbcC
ERR1913243.461082__1.461082	246787__A0A0P0FV02__AA416_03728
ERR1913243.461389__1.461389	214856__I3YMN6__Alfi_1938
ERR1913243.461412__1.461412	301302__A0A0M6WB53__mcp4_4
ERR1913243.461483__1.461483	821__D4VD59__BHV80_04260
ERR1913243.461663__1.461663	40518__R5E4X5__RB5AMG_01438
ERR1913243.461854__1.461854	39492__D4JSU6__dacB_3
ERR1913243.461928__1.461928	39492__D4JU56__hemZ
ERR1913243.463008__1.463008	40520__A0A174HHX4__RUMOBE_03561
ERR1913243.463088__1.463088	166486__D4KUC4__arcB_1
ERR1913243.463094__1.463094	1262882__R5N4P6__BN519_01346
ERR1913243.463119__1.463119	239935__A0A2N8HT44__CXT84_11035
ERR1913243.463131__1.463131	40520__A5ZY33__DXC87_11790
ERR1913243.463187__1.463187	40520__A0A174M3Q7__DXD81_08640
ERR1913243.463196__1.463196	1262882__R5N4D8__BN519_01497
ERR1913243.463281__1.463281	204516__U6R7W5__HMPREF1534_03766
ERR1913243.463542__1.463542	328814__GCA_004558275.1_00067
ERR1913243.463623__1.463623	338188__A0A174ETX3__ERS852397_01955
ERR1913243.464183__1.464183	328814__GCA_004558275.1_00072
ERR1913243.464184__1.464184	1262882__A0A356PSJ4__BN519_01180
ERR1913243.464259__1.464259	169435__A0A174TM04__B5F10_11015
ERR1913243.464361__1.464361	328814__GCA_004558275.1_01004
ERR1913243.464374__1.464374	239935__A0A2N8INZ4__CXU08_03560
ERR1913243.464697__1.464697	40520__R7D341__RUMOBE_03081
ERR1913243.464721__1.464721	40518__R5DU38__DXD83_06770
ERR1913243.464805__1.464805	1262882__R5MPY4__BN519_01128
ERR1913243.465100__1.465100	28117__B0MUL5__ALIPUT_00722
ERR1913243.465157__1.465157	39492__D4JWL2__ERS852540_01201
ERR1913243.465189__1.465189	40518__R5E2F3__artQ
ERR1913243.465297__1.465297	328814__GCA_004558275.1_00076
ERR1913243.465664__1.465664	28118__F9Z5M3__B5F93_14990
ERR1913243.465747__1.465747	853__A0A173XRA8__CGS56_09290
ERR1913243.466307__1.466307	261299__B0A6G3__CLOBAR_00173
ERR1913243.466332__1.466332	40518__R5E642__RBATCC27255_00729
ERR1913243.466356__1.466356	40518__R5DLM5__RB5AMG_00422
ERR1913243.466560__1.466560	246787__E2N7F5__AA416_04404
ERR1913243.466525__1.466525	40518__R5DUU8__DXD86_08440
ERR1913243.466618__1.466618	39492__D4JXA0__ERS852540_02538
ERR1913243.466584__1.466584	39492__D4JTF5__ybeY
ERR1913243.466739__1.466739	204516__U6RA51__HMPREF1534_03959
ERR1913243.466857__1.466857	1550024__A0A3B9WKM9__ASJ35_18565
ERR1913243.467094__1.467094	1042156__F7V3A8__HipB
ERR1913243.467303__1.467303	328814__GCA_004558275.1_00985
ERR1913243.467328__1.467328	40518__R5DUW7__DXD83_02105
ERR1913243.467371__1.467371	239935__A0A2N8HQR1__Amuc_0287
ERR1913243.467540__1.467540	40518__R5DU52__RB5AMG_02245
ERR1913243.467683__1.467683	301302__R5VFW5__M72_26781
ERR1913243.467675__1.467675	1262882__R5MEN9__BN519_00201
ERR1913243.467851__1.467851	246787__A0A0P0GNB7__xyl4
ERR1913243.467877__1.467877	239935__A0A2N8I3G2__CXT89_00720
ERR1913243.467960__1.467960	40518__R5DR96__RBATCC27255_01185
ERR1913243.467966__1.467966	1263107__GCA_000436995.1_00131
ERR1913243.468086__1.468086	39492__D4JR58__EUBSIR_02090
ERR1913243.468163__1.468163	40518__R5DLM5__RB5AMG_00422
ERR1913243.468269__1.468269	39492__B0MS79__ERS852540_01394
ERR1913243.468290__1.468290	328814__GCA_004558275.1_00059
ERR1913243.468299__1.468299	1501391__GCA_000786575.1_00021
ERR1913243.468343__1.468343	821__A0A173XDD3__DXB82_17180
ERR1913243.468407__1.468407	39492__D4JV86__spoIIE
ERR1913243.468410__1.468410	239935__R6J776__CXU07_02355
ERR1913243.468536__1.468536	2292352__A0A374UNU9__DXC23_01235
ERR1913243.468573__1.468573	329854__R5LZK1__DXD27_00590
ERR1913243.468607__1.468607	1262882__R5MLP5__BN519_01602
