ERR1913247.224__1.224	100886__E2NQ59__ERS852383_05954
ERR1913247.1061887__1.1061887	1263076__GCA_000437615.1_00158
ERR1913247.1062003__1.1062003	562__P76296__yecT
ERR1913247.1062226__1.1062226	418240__A0A173XCL4__ERS852523_02725
ERR1913247.1062428__1.1062428	47678__R5U7T0__CGC64_00755
ERR1913247.1062475__1.1062475	106588__A6NYZ2__BACCAP_03441
ERR1913247.1062504__1.1062504	328814__GCA_004558275.1_00296
ERR1913247.1062711__1.1062711	357276__B6W5Q7__DXD47_13945
ERR1913247.1062831__1.1062831	1147152__GeneID:14181982
ERR1913247.1062857__1.1062857	39492__D4JT87__clpC
ERR1913247.1062858__1.1062858	1501391__GCA_000786575.1_00028
ERR1913247.1062912__1.1062912	246787__R6LGB3__BcellWH2_02361
ERR1913247.1062952__1.1062952	562__P76656__CD803_05075
ERR1913247.1063151__1.1063151	1262911__R6GPM2__BN557_00937
ERR1913247.1063128__1.1063128	28116__A0A1Y4PHJ3__HMPREF1070_05178
ERR1913247.1063182__1.1063182	47678__R5UMC3__CGC64_08380
ERR1913247.1063223__1.1063223	246787__A0A3D6B182__HMPREF1062_00600
ERR1913247.1063256__1.1063256	1262873__R6WUQ9__BN605_01227
ERR1913247.1063342__1.1063342	328814__GCA_004558275.1_00061
ERR1913247.1063415__1.1063415	216816__B3DRU6__DPC6323_0992
ERR1913247.1063540__1.1063540	40518__R5E6K4__RB5AMG_02070
ERR1913247.1063699__1.1063699	2173__A0A1D2WSN7__Msm_1465
ERR1913247.1063701__1.1063701	214856__A0A173YXX1__ERS852559_01651
ERR1913247.1063657__1.1063657	1262911__R6HJT1__BN557_00291
ERR1913247.1063708__1.1063708	1501391__GCA_000786575.1_00016
ERR1913247.1063718__1.1063718	563769__GeneID:6972918
ERR1913247.1063971__1.1063971	418240__A0A173ZFY9__ERS852478_00591
ERR1913247.1064057__1.1064057	1262911__R6H212__BN557_01031
ERR1913247.1064060__1.1064060	10678__GeneID:2777434
ERR1913247.1063984__1.1063984	357276__I9FRW5__B5F95_21685
ERR1913247.1064136__1.1064136	216816__A0A396FVC5__BL71B_00290
ERR1913247.1064347__1.1064347	10678__GeneID:2777454
ERR1913247.1064580__1.1064580	1262911__R6GZX7__BN557_00838
ERR1913247.1064626__1.1064626	1501391__GCA_000786575.1_00138
ERR1913247.1064602__1.1064602	1304__J7TGU8__Ssal_02017
ERR1913247.1064749__1.1064749	214856__R6Z288__ERS852447_00734
ERR1913247.1064956__1.1064956	216816__A0A396FRQ5__DD678_01245
ERR1913247.1065267__1.1065267	1550024__G9RWW8__TQ39_12140
ERR1913247.1065317__1.1065317	28118__F9Z5M4__B5F93_14995
ERR1913247.1065542__1.1065542	10678__GeneID:2777408
ERR1913247.1065697__1.1065697	216816__D6DBD5__DXC32_04335
ERR1913247.1065804__1.1065804	216816__E5Y0K4__B8809_0128
ERR1913247.1066127__1.1066127	418240__C6JEJ0__ERS852478_00752
ERR1913247.1066241__1.1066241	1262911__R6H054__BN557_00908
ERR1913247.1066258__1.1066258	10678__GeneID:2777493
ERR1913247.1066312__1.1066312	1262911__R6H1K1__BN557_00910
ERR1913247.1066336__1.1066336	216816__A0A1V8QFN0__HMPREF1315_0061
ERR1913247.1066343__1.1066343	1501391__GCA_000786575.1_00137
ERR1913247.1066394__1.1066394	10868__GeneID:1261859
ERR1913247.1066554__1.1066554	357276__A0A1Y4PPG2__B5F95_02305
ERR1913247.1066683__1.1066683	216816__A0A2U0BLP0__tsaB
ERR1913247.1066862__1.1066862	562__P46855__PU39_09885
ERR1913247.1066913__1.1066913	562__P75859__AML60_03870
ERR1913247.1066894__1.1066894	10678__GeneID:2777381
ERR1913247.1067027__1.1067027	418240__A0A173WSQ7__ERS852478_01153
ERR1913247.1066995__1.1066995	1262889__R7H9T7__BN634_00025
ERR1913247.1067181__1.1067181	216816__A0A2U0BT35__BL1206_1860
ERR1913247.1067203__1.1067203	216816__B3DQ11__APC1466_1528
ERR1913247.1067275__1.1067275	823__E1YT73__NCTC11152_02675
ERR1913247.1067402__1.1067402	357276__A0A076IS26__EL88_15950
ERR1913247.1067567__1.1067567	1262873__R6WFX9__BN605_01661
ERR1913247.1067516__1.1067516	357276__A0A076IXE0__HMPREF1064_04364
ERR1913247.1067633__1.1067633	40518__R5DU92__DXD93_03170
ERR1913247.1067762__1.1067762	10678__GeneID:2777482
ERR1913247.1067978__1.1067978	1965576__A0A1Y4L5L1__B5F19_13760
ERR1913247.1068096__1.1068096	216816__A0A0S2MI06__pepV
ERR1913247.1068336__1.1068336	562__P08371__RW92_04043
ERR1913247.1068669__1.1068669	246787__A0A0P0GIA4__AA416_04405
ERR1913247.1068754__1.1068754	47678__R5UMC3__CGC64_08380
ERR1913247.1069057__1.1069057	84030__D6DJ92__B5F06_11330
ERR1913247.1069166__1.1069166	2108523__A0A2P2F472__LAWASA_799
ERR1913247.1069068__1.1069068	2173__A0A1D2WT96__BK798_08100
ERR1913247.1069070__1.1069070	216816__D6DC91__DXC72_07710
ERR1913247.1069215__1.1069215	418240__R7CEI8__ERS852523_02541
ERR1913247.1069283__1.1069283	1262911__R6GQM3__BN557_01245
ERR1913247.1069243__1.1069243	487174__K0X3H8__HMPREF9448_02822
ERR1913247.1069404__1.1069404	544644__GCA_001915615.1_00057
ERR1913247.1069508__1.1069508	40518__R5DNY7__RBATCC27255_00367
ERR1913247.1069522__1.1069522	322505__group_69
ERR1913247.1069641__1.1069641	40518__R5DQD6__DXD83_09060
ERR1913247.1069658__1.1069658	33039__A0A174YCL2__ERS852424_00029
ERR1913247.1069665__1.1069665	10678__GeneID:2777420
ERR1913247.1069720__1.1069720	10678__GeneID:2777404
ERR1913247.1069947__1.1069947	1432052__A0A1E3ABI2__BEI63_16840
ERR1913247.1069990__1.1069990	1262911__R6GQM3__BN557_01245
ERR1913247.1070137__1.1070137	40518__R5DV66__DXD83_04215
ERR1913247.1070104__1.1070104	35833__E5YBQ8__HMPREF0179_03632
ERR1913247.1070303__1.1070303	357276__A0A076J8D4__HMPREF1064_00553
ERR1913247.1070325__1.1070325	216816__C5E7T6__B5781_0828
ERR1913247.1070422__1.1070422	1943580__A0A1V4AL24__B0D78_04740
ERR1913247.1070435__1.1070435	2173__A0A1D2WRQ9__METSMIF1_03320
ERR1913247.1070450__1.1070450	357276__I9QBT7__BSEG_03340
ERR1913247.1070613__1.1070613	40518__R5E6K5__speA
ERR1913247.1070751__1.1070751	1683__C4FFP8__BIFANG_03162
ERR1913247.1070765__1.1070765	216816__C2GUV2__APC1478_0430
ERR1913247.1070963__1.1070963	10678__GeneID:2777403
ERR1913247.1071123__1.1071123	1263000__R5EKG2__BN466_02040
ERR1913247.1071279__1.1071279	169435__A0A174RH98__ERS852551_02114
ERR1913247.1071404__1.1071404	328813__A0A1Y3QQ66__B5G41_14240
ERR1913247.1071449__1.1071449	10678__GeneID:2777418
ERR1913247.1071568__1.1071568	487174__K0WZU9__HMPREF9448_01159
ERR1913247.1071649__1.1071649	33038__A7B6J7__CDL19_09220
ERR1913247.1071712__1.1071712	246787__A0A3D6AZF8__BACCELL_02529
ERR1913247.1071761__1.1071761	214856__R5UN64__ERS852447_02669
ERR1913247.1072072__1.1072072	216816__A0A2U0BT35__BL1206_1860
ERR1913247.1072076__1.1072076	216816__E8MH24__APS65_02760
ERR1913247.1072101__1.1072101	216816__A0A061M1M5__HMPREF0177_01046
ERR1913247.1071999__1.1071999	328814__GCA_004558275.1_00034
ERR1913247.1072370__1.1072370	216816__A0A061M1M5__HMPREF0177_01046
ERR1913247.1072386__1.1072386	562__P23837__phoQ
ERR1913247.1072392__1.1072392	214856__R6XUN2__rcsC_1
ERR1913247.1072638__1.1072638	246787__R6LCL3__AA416_03522
ERR1913247.1072665__1.1072665	1262911__R6GMK4__BN557_00535
ERR1913247.1072828__1.1072828	218139__GCA_002259595.1_01049
ERR1913247.1072887__1.1072887	291645__I8XVH1__HMPREF1068_00126
ERR1913247.1072967__1.1072967	1262911__R6H0U7__BN557_01104
ERR1913247.1073158__1.1073158	357276__B6W1Y1__BSEG_03960
ERR1913247.1073264__1.1073264	39492__D4JT90__coaE
ERR1913247.1073309__1.1073309	84030__D6DE21__B5F06_10975
ERR1913247.1073367__1.1073367	246787__A0A0P0GLJ1__BcellWH2_01674
ERR1913247.1073569__1.1073569	487174__K0X2W8__HMPREF9448_02611
ERR1913247.1073675__1.1073675	40518__R5DQW8__sipW_2
ERR1913247.1073784__1.1073784	1262911__R6GY22__BN557_00023
ERR1913247.1074028__1.1074028	246787__E2N7F5__AA416_04404
ERR1913247.1074054__1.1074054	216816__C5E8I1__yciB
ERR1913247.1074197__1.1074197	28116__A0A1Y4PHM7__DXA80_25130
ERR1913247.1074247__1.1074247	154046__A0A174LST6__DXC39_13805
ERR1913247.1074641__1.1074641	823__A0A395YQ63__B5F32_15335
ERR1913247.1074718__1.1074718	214856__A0A174CRY5__ERS852559_01060
ERR1913247.1074817__1.1074817	432200__GeneID:14182864
ERR1913247.1074939__1.1074939	10678__GeneID:2777397
ERR1913247.1074991__1.1074991	216816__E8MVM4__APC1480_1562
ERR1913247.1075118__1.1075118	418240__A0A174U9H0__folP
ERR1913247.1075212__1.1075212	216816__B3DNW2__BL171B_07980
ERR1913247.1075308__1.1075308	10678__GeneID:2777386
ERR1913247.1075459__1.1075459	10678__GeneID:2777479
ERR1913247.1075501__1.1075501	418240__C6JD47__ERS852523_00908
ERR1913247.1075641__1.1075641	1262700__R5XM04__BN695_00162
ERR1913247.1075749__1.1075749	552398__F4XH38__HMPREF0866_02939
ERR1913247.1075751__1.1075751	10678__GeneID:2777405
ERR1913247.1075774__1.1075774	562__P0ADK7__yibA
ERR1913247.1075963__1.1075963	216816__Q8G585__APC1473_0508
ERR1913247.1076100__1.1076100	216816__C5E8I1__yciB
ERR1913247.1076175__1.1076175	216816__A0A133L1E2__ptsP
ERR1913247.1076178__1.1076178	246787__A0A108THP8__HMPREF1062_03171
ERR1913247.1076150__1.1076150	10678__GeneID:2777493
ERR1913247.1076349__1.1076349	214856__R6XUN2__rcsC_1
ERR1913247.1076526__1.1076526	28117__B0MU57__ALIPUT_00175
ERR1913247.1076659__1.1076659	40518__R5DME2__DXD86_07315
ERR1913247.1076638__1.1076638	418240__A0A174AX68__ERS852478_00844
ERR1913247.1076736__1.1076736	216816__E8MH24__APS65_02760
ERR1913247.1076793__1.1076793	487174__K0X1V7__DIT83_03020
ERR1913247.1076794__1.1076794	216816__A0A395XZB7__DXD37_04075
ERR1913247.1076876__1.1076876	33038__F7JUE7__CDL26_12120
ERR1913247.1076926__1.1076926	28116__A0A078QGJ1__AA414_00533
ERR1913247.1077296__1.1077296	10678__GeneID:2777456
ERR1913247.1077357__1.1077357	357276__I9G0T7__BACDOR_04266
ERR1913247.1077366__1.1077366	1943580__A0A1V4AL58__B0D78_03390
ERR1913247.1077455__1.1077455	214856__A0A174EQR4__rsmA
ERR1913247.1077619__1.1077619	216816__B7GPE8__I118_0062
ERR1913247.1077755__1.1077755	28118__F9ZCH4__kfoC_2
ERR1913247.1077783__1.1077783	1501391__GCA_000786575.1_00124
ERR1913247.1077831__1.1077831	214856__I3YMC8__ERS852447_02666
ERR1913247.1077912__1.1077912	100886__A0A174GT42__ERS852383_03762
ERR1913247.1078015__1.1078015	562__P0AEK1__CR916_15790
ERR1913247.1078149__1.1078149	246787__A0A0P0FS62__HMPREF1062_05447
ERR1913247.1078219__1.1078219	216816__B7GPH6__DXC74_08225
ERR1913247.1078266__1.1078266	10678__GeneID:2777426
ERR1913247.1078426__1.1078426	1262911__R6GMH5__BN557_00511
ERR1913247.1078427__1.1078427	384639__GCA_003096855.1_00253
ERR1913247.1078413__1.1078413	246787__A0A3D6B2C7__BcellWH2_03259
ERR1913247.1078494__1.1078494	10678__GeneID:2777494
ERR1913247.1078661__1.1078661	33038__A0A396G387__HMPREF1201_01180
ERR1913247.1078670__1.1078670	100886__E2NR34__ERS852383_04208
ERR1913247.1078772__1.1078772	357276__A0A0M1W4C0__DXD47_07095
ERR1913247.1078801__1.1078801	214856__R6XS02__ERS852447_01685
ERR1913247.1079046__1.1079046	10678__GeneID:2777415
ERR1913247.1079609__1.1079609	745368__A0A1T4Y576__SAMN02745178_02757
ERR1913247.1079844__1.1079844	10678__GeneID:2777480
ERR1913247.1080037__1.1080037	1262911__R6GT76__BN557_01150
ERR1913247.1080068__1.1080068	1262911__R6GT76__BN557_01150
ERR1913247.1080024__1.1080024	820__A0A174FUG6__DXC91_11265
ERR1913247.1080162__1.1080162	1304__F8HCG1__SSALIVM18_03556
ERR1913247.1080194__1.1080194	216816__B3DQ11__APC1466_1528
ERR1913247.1080440__1.1080440	40518__R5E2U9__RBL263_01292
ERR1913247.1080540__1.1080540	216816__B3DNW2__BL171B_07980
ERR1913247.1080559__1.1080559	1943580__A0A3A9HNJ9__B0D78_10250
ERR1913247.1080572__1.1080572	1262911__R6GT99__BN557_01335
ERR1913247.1080727__1.1080727	562__A0A0E1LDD5__B9N12_14240
ERR1913247.1080853__1.1080853	544645__A0A1U7LFJ1__DXC42_14695
ERR1913247.1080911__1.1080911	246787__A0A3D6AWM8__BACCELL_01963
ERR1913247.1080796__1.1080796	40518__R5DTH7__DXD83_02405
ERR1913247.1080985__1.1080985	214856__R6XTZ7__ERS852447_02314
ERR1913247.1081025__1.1081025	216816__A0A395XZB7__DXD37_04075
ERR1913247.1081135__1.1081135	216816__D6DBD7__BL71B_09615
ERR1913247.1081228__1.1081228	214856__I3YPQ4__Alfi_2712
ERR1913247.1081279__1.1081279	28118__F9Z408__NCTC10826_01194
ERR1913247.1081500__1.1081500	564886__GeneID:6973115
ERR1913247.1081559__1.1081559	10678__GeneID:2777403
ERR1913247.1081625__1.1081625	292800__A0A174LIV0__HMPREF0372_01538
ERR1913247.1082077__1.1082077	78257__A0A087CUE0__BSAE_1156
ERR1913247.1082130__1.1082130	100886__E2NP90__ERS852383_05246
ERR1913247.1082215__1.1082215	1261__D3MR67__SAMN05660467_01650
ERR1913247.1082242__1.1082242	1630166__A0A261FKV3__BMYO_1116
ERR1913247.1082335__1.1082335	1262873__R6XJJ5__BN605_02050
ERR1913247.1082475__1.1082475	1262911__R6GKS1__BN557_00184
ERR1913247.1082597__1.1082597	357276__I9QBT4__GV66_09000
ERR1913247.1082657__1.1082657	10678__GeneID:2777413
ERR1913247.1082731__1.1082731	1262889__R7H8I0__BN634_00208
ERR1913247.1082825__1.1082825	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913247.1082899__1.1082899	214856__A0A174CRY5__ERS852559_01060
ERR1913247.1082959__1.1082959	626932__G5H4Z9__HMPREF9450_00009
ERR1913247.1083138__1.1083138	246787__R6LGB3__BcellWH2_02361
ERR1913247.1083223__1.1083223	2173__A0A1D2WS10__METSMIALI_00345
ERR1913247.1083583__1.1083583	47678__A5ZL09__BACCAC_03608
ERR1913247.1083584__1.1083584	47678__A5ZL09__BACCAC_03608
ERR1913247.1083865__1.1083865	1550024__G9RXY7__TQ39_00100
ERR1913247.1084275__1.1084275	246787__A0A0P0GF82__HMPREF1062_02163
ERR1913247.1084354__1.1084354	1124654__GeneID:14005780
ERR1913247.1084379__1.1084379	10678__GeneID:2777488
ERR1913247.1084477__1.1084477	357276__I9QXD4__IY41_00345
ERR1913247.1084586__1.1084586	1262744__R6FST0__BN744_00381
ERR1913247.1084609__1.1084609	40518__R5E6K4__RB5AMG_02070
ERR1913247.1084616__1.1084616	246787__A0A3D6AU53__AA416_01665
ERR1913247.1084771__1.1084771	10678__GeneID:2777449
ERR1913247.1085030__1.1085030	39491__D6E118__DXB69_05765
ERR1913247.1085096__1.1085096	328814__GCA_004558275.1_00292
ERR1913247.1085260__1.1085260	1262911__R6GIB9__BN557_01439
ERR1913247.1085409__1.1085409	1501391__GCA_000786575.1_00057
ERR1913247.1085418__1.1085418	357276__I8VLL2__HMPREF1065_03395
ERR1913247.1085672__1.1085672	562__A0A376L0A6__CQA14_19985
ERR1913247.1085732__1.1085732	216816__C2GSX7__DD678_03555
ERR1913247.1086203__1.1086203	10678__GeneID:2777414
ERR1913247.1086206__1.1086206	1531__A0A174HDQ3__HMPREF9467_01916
ERR1913247.1086261__1.1086261	214856__I3YMN6__Alfi_1938
ERR1913247.1086302__1.1086302	1262911__R6GSH8__BN557_00939
ERR1913247.1086348__1.1086348	2173__A0A1D2WUQ6__METSMIF1_02304
ERR1913247.1086421__1.1086421	40518__R5E1J7__RBL236_02062
ERR1913247.1086838__1.1086838	10678__GeneID:2777474
ERR1913247.1086911__1.1086911	40518__R5DUG7__sbcC
ERR1913247.1087036__1.1087036	214856__A0A174EQR4__rsmA
ERR1913247.1087067__1.1087067	246787__A0A0P0GPH1__HMPREF1062_01913
ERR1913247.1087183__1.1087183	10678__GeneID:2777385
ERR1913247.1087249__1.1087249	10678__GeneID:2777437
ERR1913247.1087252__1.1087252	1262911__R6H074__BN557_00923
ERR1913247.1087403__1.1087403	544645__A0A1U7LAX1__DXC42_11235
ERR1913247.1087916__1.1087916	1262873__R6WUB4__BN605_01058
ERR1913247.1087936__1.1087936	1472761__GCA_002159295.1_01930
ERR1913247.1087945__1.1087945	328812__A0A0F5JBL9__HMPREF1535_02673
ERR1913247.1087946__1.1087946	100886__E2NTX6__macB_18
ERR1913247.1087989__1.1087989	10678__GeneID:2777413
ERR1913247.1087949__1.1087949	357276__A0A076IYG1__B5F95_22465
ERR1913247.1087953__1.1087953	357276__A0A076IYG1__B5F95_22465
ERR1913247.1088181__1.1088181	357276__A0A0K2HJA6__DXD47_07320
ERR1913247.1088278__1.1088278	10678__GeneID:2777485
ERR1913247.1088314__1.1088314	214856__R6Z5D0__resA_4
ERR1913247.1088355__1.1088355	1262911__R6H2J2__BN557_01228
ERR1913247.1088426__1.1088426	246787__R6LCL3__AA416_03522
ERR1913247.1088431__1.1088431	626932__G5H6N6__HMPREF9450_00596
ERR1913247.1088638__1.1088638	487174__K0WUJ5__HMPREF9448_02567
ERR1913247.1088716__1.1088716	216816__Q8G6X1__DD674_00140
ERR1913247.1088858__1.1088858	246787__A0A0P0GET5__AA416_04410
ERR1913247.1088881__1.1088881	10678__GeneID:2777387
ERR1913247.1088927__1.1088927	216816__D6DCL7__BFS26_02835
ERR1913247.1089000__1.1089000	33039__R6P0F1__ERS852424_02256
ERR1913247.1089210__1.1089210	47678__R5UER2__CGC64_00710
ERR1913247.1089268__1.1089268	1262911__R6H2J2__BN557_01228
ERR1913247.1089493__1.1089493	214856__R6XTZ7__ERS852447_02314
ERR1913247.1089528__1.1089528	10678__GeneID:2777444
ERR1913247.1089560__1.1089560	487174__K0X4F7__DDY40_08055
ERR1913247.1089646__1.1089646	246787__A0A3D6ARE5__HMPREF1062_01788
ERR1913247.1089678__1.1089678	1262911__R6GXH0__BN557_00389
ERR1913247.1089742__1.1089742	214856__I3YPN9__ERS852447_01389
ERR1913247.1089766__1.1089766	357276__A0A076IYG1__B5F95_22465
ERR1913247.1089811__1.1089811	100886__A0A174H497__ERS852383_03913
ERR1913247.1089819__1.1089819	39486__A0A3E4M8R7__mobB
ERR1913247.1090049__1.1090049	357276__I9QPN0__B5F95_09195
ERR1913247.1090074__1.1090074	40518__R5E6X5__sbcD
ERR1913247.1090222__1.1090222	1501391__GCA_000786575.1_00064
ERR1913247.1090378__1.1090378	418240__A0A173YA50__ERS852478_00137
ERR1913247.1090423__1.1090423	216816__C2GV16__APC1504_1666
ERR1913247.1090507__1.1090507	216816__E8MW20__DD674_07905
ERR1913247.1090511__1.1090511	357276__B6VXX7__HMPREF1063_02683
ERR1913247.1090468__1.1090468	47678__R5U7P3__DXB67_08985
ERR1913247.1090559__1.1090559	214856__R6YC22__ERS852447_01215
ERR1913247.1090628__1.1090628	2173__A0A1D2WVF8__Msm_1030
ERR1913247.1090629__1.1090629	2173__R7PTP8__METSMIF1_02137
ERR1913247.1090759__1.1090759	10678__GeneID:2777393
ERR1913247.1090788__1.1090788	1432052__A0A1E3AIZ9__BEI63_20680
ERR1913247.1090796__1.1090796	216816__V6XY04__APK78_02285
ERR1913247.1090801__1.1090801	418240__C6J7Z2__ERS852478_01924
ERR1913247.1090827__1.1090827	100886__E2NNQ5__CATMIT_00187
ERR1913247.1090856__1.1090856	214856__R6Z3P8__ERS852559_01737
ERR1913247.1091077__1.1091077	1965629__A0A1Y4B8Y3__B5F88_18835
ERR1913247.1091161__1.1091161	216816__A0A2U0BLP0__tsaB
ERR1913247.1091251__1.1091251	84112__C8WMI2__Elen_2729
ERR1913247.1091254__1.1091254	357276__A0A1Y3Z3W0__IY41_20500
ERR1913247.1091319__1.1091319	418240__C6J9W6__ERS852523_00370
ERR1913247.1091363__1.1091363	328814__GCA_004558275.1_00033
ERR1913247.1092228__1.1092228	1262873__R6XPQ5__BN605_01658
ERR1913247.1092627__1.1092627	84030__D6DK33__B5F06_00810
ERR1913247.1092770__1.1092770	40518__R5DUJ5__DXD83_01635
ERR1913247.1093028__1.1093028	1262911__R6H0U7__BN557_01104
ERR1913247.1093136__1.1093136	1501391__GCA_000786575.1_00076
ERR1913247.1093497__1.1093497	460384__A0A2T3EXD4__SAMN05216313_12387
ERR1913247.1093529__1.1093529	1262911__R6GMH5__BN557_00511
ERR1913247.1093887__1.1093887	1232426__rpoB
ERR1913247.1094363__1.1094363	33038__A7B5U7__CDL18_11280
ERR1913247.1094708__1.1094708	1262992__R5CXM8__BN795_01024
ERR1913247.1094775__1.1094775	1550024__G9RP65__ASJ35_11645
ERR1913247.1094916__1.1094916	821__A0A0P0M2J4__DXD46_10295
ERR1913247.1094976__1.1094976	1203556__S2ZG38__HMPREF1478_00987
ERR1913247.1095169__1.1095169	1147152__GeneID:14181982
ERR1913247.1095033__1.1095033	214856__I3YPQ3__Alfi_2711
ERR1913247.1095038__1.1095038	10678__GeneID:2777482
ERR1913247.1095121__1.1095121	1262889__R7HA74__BN634_01063
ERR1913247.1095183__1.1095183	562__Q8XBR9__G770_00628
ERR1913247.1095589__1.1095589	10678__GeneID:2777395
ERR1913247.1095722__1.1095722	10678__GeneID:2777425
ERR1913247.1095794__1.1095794	1501391__GCA_000786575.1_00087
ERR1913247.1095918__1.1095918	216816__E8MH24__APS65_02760
ERR1913247.1096137__1.1096137	626932__G5HA68__HMPREF9450_01533
ERR1913247.1096286__1.1096286	432201__GeneID:14182722
ERR1913247.1096439__1.1096439	216816__A0A133L1E2__ptsP
ERR1913247.1096631__1.1096631	28116__A0A139L3C0__C5Z02_05550
ERR1913247.1096641__1.1096641	100886__A0A174GV62__CATMIT_00996
ERR1913247.1097062__1.1097062	544644__GCA_001915615.1_00059
ERR1913247.1097068__1.1097068	745368__A0A1T4Y6I3__SAMN02745178_02753
ERR1913247.1097090__1.1097090	100886__R7GNA5__ERS852383_05535
ERR1913247.1097132__1.1097132	562__P76296__yecT
ERR1913247.1097217__1.1097217	1124654__GeneID:14005780
ERR1913247.1097218__1.1097218	216816__A0A0M0VK23__BLGT_09805
ERR1913247.1097321__1.1097321	544644__GCA_001915615.1_02293
ERR1913247.1097349__1.1097349	216816__B3DNW2__BL171B_07980
ERR1913247.1097955__1.1097955	1262911__R6GS52__BN557_00834
ERR1913247.1098022__1.1098022	1262889__R7HBI6__BN634_00794
ERR1913247.1098315__1.1098315	10678__GeneID:2777382
ERR1913247.1098500__1.1098500	1472761__GCA_002159295.1_01929
ERR1913247.1098539__1.1098539	630129__A0A087ATC6__BKAS_1964
ERR1913247.1098640__1.1098640	246787__R6K756__HMPREF1062_01819
ERR1913247.1098995__1.1098995	328814__GCA_004558275.1_00293
ERR1913247.1099073__1.1099073	216816__A0A396FRQ5__DD678_01245
ERR1913247.1099241__1.1099241	40518__R5DXH2__DXD83_10135
ERR1913247.1099337__1.1099337	1501391__GCA_000786575.1_00014
ERR1913247.1099583__1.1099583	1656__F2UZL4__HMPREF0059_01888
ERR1913247.1099514__1.1099514	33038__A0A2N5NXH5__CDL27_14300
ERR1913247.1099593__1.1099593	1501391__GCA_000786575.1_00032
ERR1913247.1099837__1.1099837	40518__R5DVL2__penA
ERR1913247.1100347__1.1100347	216816__C2GTV6__AS143_01355
ERR1913247.1100294__1.1100294	216816__B3DNW2__BL171B_07980
ERR1913247.1100429__1.1100429	47678__A0A174H7W9__ERS852494_00524
ERR1913247.1100933__1.1100933	357276__A0A076IRX4__ABI39_13585
ERR1913247.1101060__1.1101060	46503__R6Y4M7__HMPREF1078_03269
ERR1913247.1101116__1.1101116	1262889__R7HBQ2__BN634_01539
ERR1913247.1101145__1.1101145	1501391__GCA_000786575.1_00062
ERR1913247.1101186__1.1101186	1501391__GCA_000786575.1_00041
ERR1913247.1101358__1.1101358	563769__GeneID:6973158
ERR1913247.1101364__1.1101364	40518__R5E4X1__DXD93_05270
ERR1913247.1101328__1.1101328	10678__GeneID:2777453
ERR1913247.1101270__1.1101270	214856__I3YK71__ERS852559_02472
ERR1913247.1101283__1.1101283	10678__GeneID:2777480
ERR1913247.1101553__1.1101553	357276__I8VN30__HMPREF1065_03051
ERR1913247.1101775__1.1101775	1965576__A0A1Y4LK62__B5F19_04800
ERR1913247.1101787__1.1101787	33039__A0A173V4G5__ERS852577_02906
ERR1913247.1101857__1.1101857	216816__B7GPH6__DXC74_08225
ERR1913247.1101893__1.1101893	818__C6IIW4__dapH_1
ERR1913247.1102027__1.1102027	10678__GeneID:2777421
ERR1913247.1102084__1.1102084	10678__GeneID:2777435
ERR1913247.1102097__1.1102097	1262911__R6HN87__BN557_00926
ERR1913247.1102129__1.1102129	357276__I8WBQ9__HMPREF1065_03212
ERR1913247.1102199__1.1102199	216816__D6DAZ0__DXD28_02040
ERR1913247.1102203__1.1102203	214856__I3YPR5__ERS852447_01364
ERR1913247.1102592__1.1102592	246787__A0A0P0GUU5__BACCELL_02894
ERR1913247.1102797__1.1102797	10678__GeneID:2777402
ERR1913247.1102809__1.1102809	40518__R5DZB3__RB5AMG_01719
ERR1913247.1102842__1.1102842	1624__A0A385XPV1__B6U38_03440
ERR1913247.1103019__1.1103019	216816__Q8G464__BFS25_05925
ERR1913247.1102990__1.1102990	47678__R5UZM4__DW706_15680
ERR1913247.1102960__1.1102960	246787__A0A0P0GPP9__BACCELL_01902
ERR1913247.1103102__1.1103102	357276__A0A0M1W1I8__ABI39_13620
ERR1913247.1103187__1.1103187	357276__I9FGI3__EL88_12385
ERR1913247.1103213__1.1103213	1647455__GeneID:7205473
ERR1913247.1103415__1.1103415	357276__A0A0M1W657__HMPREF1064_04629
ERR1913247.1103479__1.1103479	1147152__GeneID:14181982
ERR1913247.1103725__1.1103725	357276__I9F327__DXD47_22495
ERR1913247.1103814__1.1103814	214856__I3YPN0__ERS852447_01398
ERR1913247.1104040__1.1104040	1501391__GCA_000786575.1_00028
ERR1913247.1104006__1.1104006	1262911__R6GTZ0__BN557_01437
ERR1913247.1104060__1.1104060	28116__I9JM49__NCTC11153_01044
ERR1913247.1104076__1.1104076	84030__D6DH89__B5F06_08080
ERR1913247.1104127__1.1104127	1501391__GCA_000786575.1_00038
ERR1913247.1104165__1.1104165	40518__R5DQN7__DXD93_03540
ERR1913247.1104296__1.1104296	216816__B7GPE8__I118_0062
ERR1913247.1104395__1.1104395	100886__A0A174LP26__CATMIT_01220
ERR1913247.1104579__1.1104579	1550024__A0A3B9WFC7__ASJ35_09200
ERR1913247.1104693__1.1104693	10678__GeneID:2777406
ERR1913247.1104896__1.1104896	47678__A5ZL09__BACCAC_03608
ERR1913247.1104835__1.1104835	357276__C3R5A0__B5F00_02960
ERR1913247.1105059__1.1105059	10678__GeneID:2777447
ERR1913247.1105489__1.1105489	214856__R6XUN2__rcsC_1
ERR1913247.1105775__1.1105775	216816__C2GTV6__AS143_01355
