ERR1913252.674__1.674	1262924__R7HST1__BN585_00215
ERR1913252.1188187__1.1188187	1263107__GCA_000436995.1_00138
ERR1913252.1188407__1.1188407	328814__GCA_004558275.1_00059
ERR1913252.1188653__1.1188653	2293125__A0A374BY09__DW917_11855
ERR1913252.1188946__1.1188946	1262992__R5D733__BN795_00375
ERR1913252.1188970__1.1188970	310298__B3JFK5__BACCOP_00655
ERR1913252.1188920__1.1188920	821__A0A174TD86__C800_00949
ERR1913252.1189216__1.1189216	328814__GCA_004558275.1_00997
ERR1913252.1189239__1.1189239	1099853__U5CD68__NSB1T_05535
ERR1913252.1189459__1.1189459	818__A0A3E5HPU8__ERS852430_01891
ERR1913252.1189500__1.1189500	820__A0A173XIP7__B5G17_16050
ERR1913252.1189524__1.1189524	820__A0A139KHX1__HMPREF2141_00289
ERR1913252.1189541__1.1189541	823__A0A174VHT1__DHP27_04775
ERR1913252.1189604__1.1189604	487174__K0X393__DDY40_02525
ERR1913252.1189572__1.1189572	357276__I9RAC4__BSEG_00561
ERR1913252.1190182__1.1190182	357276__I9F327__DXD47_22495
ERR1913252.1190211__1.1190211	544644__GCA_001915615.1_01402
ERR1913252.1190212__1.1190212	166486__D4KZ24__ROSINTL182_05766
ERR1913252.1190504__1.1190504	74426__nifJ
ERR1913252.1190649__1.1190649	853__C7H1R8__DW905_06675
ERR1913252.1190751__1.1190751	418240__A0A173XT66__ERS852478_00742
ERR1913252.1190942__1.1190942	166486__D4KUC4__arcB_1
ERR1913252.1191114__1.1191114	821__A0A173WG51__BVU_2549
ERR1913252.1191276__1.1191276	2293125__A0A374BSW4__DW917_13420
ERR1913252.1191282__1.1191282	410072__C0B4I4__COPCOM_00043
ERR1913252.1191476__1.1191476	1099853__R7DHR0__NSB1T_08950
ERR1913252.1191644__1.1191644	1965632__A0A1Y4A628__B5F91_13735
ERR1913252.1191907__1.1191907	1262930__R6AB27__BN693_00390
ERR1913252.1192118__1.1192118	1262992__R5D3X7__BN795_00539
ERR1913252.1192249__1.1192249	310298__B3JNR4__BACCOP_03579
ERR1913252.1192296__1.1192296	823__A0A355XN73__DXC05_07000
ERR1913252.1192356__1.1192356	818__D7I7V5__BJP75_001030
ERR1913252.1192925__1.1192925	1150298__A0A174APS6__kinA
ERR1913252.1192883__1.1192883	820__A0A3E4WA06__ERS852554_03404
ERR1913252.1193199__1.1193199	1735__B7CEC3__EUBIFOR_02567
ERR1913252.1193262__1.1193262	166486__D4KYC3__ROSINTL182_05485
ERR1913252.1193437__1.1193437	487174__K0WV96__HMPREF9448_01901
ERR1913252.1193589__1.1193589	28118__F9Z751__DHW44_02965
ERR1913252.1193714__1.1193714	310298__B3JNG7__BACCOP_03480
ERR1913252.1193738__1.1193738	360807__A0A1Q6T8W5__ROSEINA2194_03072
ERR1913252.1193818__1.1193818	1262924__R7HPX8__BN585_00310
ERR1913252.1193849__1.1193849	823__C7XA51__BDI_0499
ERR1913252.1193927__1.1193927	821__I9R3W6__DXC16_12455
ERR1913252.1193943__1.1193943	310298__B3JQJ5__BACCOP_04231
ERR1913252.1194351__1.1194351	310298__B3JMG0__BACCOP_03099
ERR1913252.1194494__1.1194494	1703337__A0A2U0TJK6__C7379_1361
ERR1913252.1194453__1.1194453	1262930__R6AQM8__BN693_01323
ERR1913252.1194530__1.1194530	820__A0A3E4W084__BACUNI_04042
ERR1913252.1194578__1.1194578	853__A0A3E2U7E6__ERS852582_01640
ERR1913252.1194895__1.1194895	1262948__R7E9X4__BN671_02033
ERR1913252.1195231__1.1195231	74426__group_1871
ERR1913252.1195475__1.1195475	1262924__R7HKX0__BN585_01279
ERR1913252.1195570__1.1195570	1232426__hgdC_1
ERR1913252.1195756__1.1195756	1150298__A0A174PZ15__lytA
ERR1913252.1196111__1.1196111	1304__J7TU64__CYK22_02490
ERR1913252.1196201__1.1196201	820__A0A3E4RU03__M093_0563
ERR1913252.1196613__1.1196613	165179__D1PHC0__PREVCOP_06640
ERR1913252.1196674__1.1196674	1262930__R6AUX8__BN693_00160
ERR1913252.1196878__1.1196878	1262930__R5ZV69__BN693_01268
ERR1913252.1196945__1.1196945	357276__D1JYA0__EL88_06560
ERR1913252.1197057__1.1197057	165179__D1PGU8__PREVCOP_06463
ERR1913252.1197313__1.1197313	165179__A0A3E5AAM8__DXB80_10240
ERR1913252.1197496__1.1197496	853__A0A173YYY4__DWZ04_09420
ERR1913252.1197500__1.1197500	821__I9R3W6__DXC16_12455
ERR1913252.1197706__1.1197706	2293125__A0A374BUM7__DW917_12980
ERR1913252.1197652__1.1197652	74426__rpoC
ERR1913252.1197765__1.1197765	1680__A0A1E7XZY9__DXC60_05815
ERR1913252.1197898__1.1197898	853__A8S882__C4N23_07600
ERR1913252.1198130__1.1198130	1735__B7CEC3__EUBIFOR_02567
ERR1913252.1198208__1.1198208	821__A0A395UNT8__DXD64_15275
ERR1913252.1198177__1.1198177	487174__K0X4Y9__DDY40_09115
ERR1913252.1198308__1.1198308	166486__D4KX00__ROSINTL182_07577
ERR1913252.1198522__1.1198522	28118__F9Z4Q7__DER54_08070
ERR1913252.1198589__1.1198589	357276__B6W1J2__BACDOR_03380
ERR1913252.1198769__1.1198769	820__A0A3E5E0T0__ERS852554_00312
ERR1913252.1198774__1.1198774	821__A0A0P0M2J4__DXD46_10295
ERR1913252.1198840__1.1198840	1262930__R6AQL4__BN693_01311
ERR1913252.1198984__1.1198984	818__A0A139KKJ5__Btheta7330_00072
ERR1913252.1199183__1.1199183	39496__A5Z3I6__EUBVEN_00232
ERR1913252.1199246__1.1199246	165179__A0A3E5EAM5__DXC61_07785
ERR1913252.1199567__1.1199567	165179__D1PGU8__PREVCOP_06463
ERR1913252.1199626__1.1199626	818__A0A0P0F391__BJP75_009470
ERR1913252.1199705__1.1199705	2293125__A0A374C9I8__DW917_06795
ERR1913252.1199777__1.1199777	2293125__A0A374BMK9__DW917_16190
ERR1913252.1199968__1.1199968	387661__K6ACM8__HMPREF1077_00750
ERR1913252.1200056__1.1200056	2293125__A0A374BSW4__DW917_13420
ERR1913252.1200158__1.1200158	1150298__A0A174MFX3__ERS852498_01752
ERR1913252.1200206__1.1200206	357276__A0A0P0M2G3__BACDOR_03913
ERR1913252.1200173__1.1200173	823__A6LB62__B5F32_04550
ERR1913252.1200180__1.1200180	1263044__GCA_000433375.1_03386
ERR1913252.1200255__1.1200255	165179__R6XLJ7__CFT61_06250
ERR1913252.1200277__1.1200277	39491__A0A395UYA6__EUBREC_0408
ERR1913252.1200438__1.1200438	165179__A0A3E5AER8__DXB80_07075
ERR1913252.1200443__1.1200443	357276__A0A0M1W6X7__HMPREF1065_03898
ERR1913252.1200462__1.1200462	310298__B3JGL4__BACCOP_01016
ERR1913252.1200760__1.1200760	387661__K5ZFR2__B5F96_11430
ERR1913252.1200914__1.1200914	821__I9R3W6__DXC16_12455
ERR1913252.1200923__1.1200923	165179__D1PGU8__PREVCOP_06463
ERR1913252.1201520__1.1201520	626932__G5H6Y6__HMPREF9450_00829
ERR1913252.1201532__1.1201532	310298__B3JLT9__BACCOP_02886
ERR1913252.1201629__1.1201629	1262930__R6A6G2__BN693_00683
ERR1913252.1201644__1.1201644	310298__B3JI31__BACCOP_01543
ERR1913252.1201766__1.1201766	2293125__A0A374BUM7__DW917_12980
ERR1913252.1201904__1.1201904	487174__K0WZN5__HMPREF9448_01108
ERR1913252.1202098__1.1202098	821__A0A174WBC9__ERS852556_03145
ERR1913252.1202126__1.1202126	204516__U6RFV1__HMPREF1534_02560
ERR1913252.1202290__1.1202290	410072__A0A3E4GPR9__ERS852481_01341
ERR1913252.1202298__1.1202298	310298__B3JLT9__BACCOP_02886
ERR1913252.1202463__1.1202463	301301__A0A395VAM3__yfiN_2
ERR1913252.1202777__1.1202777	821__A0A174NM17__lacZ_6
ERR1913252.1202881__1.1202881	820__A0A3E4W4Y7__B5G17_02055
ERR1913252.1203165__1.1203165	487174__K0WUZ1__DIT83_10815
ERR1913252.1203226__1.1203226	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913252.1203295__1.1203295	2293125__A0A374CMK5__DW917_00330
ERR1913252.1203499__1.1203499	1262992__R5CY03__BN795_01148
ERR1913252.1203561__1.1203561	1262911__R6HG22__BN557_01336
ERR1913252.1203676__1.1203676	821__I9R3W6__DXC16_12455
ERR1913252.1203627__1.1203627	166486__D4L082__yicI_5
ERR1913252.1203881__1.1203881	1262915__R6HNH6__BN574_00898
ERR1913252.1203936__1.1203936	384638__B7APN3__BACPEC_00639
ERR1913252.1203985__1.1203985	454154__G5SVN0__HMPREF9441_03447
ERR1913252.1204015__1.1204015	33039__D4M281__ERS852530_00073
ERR1913252.1204316__1.1204316	821__I9R3W6__DXC16_12455
ERR1913252.1204562__1.1204562	1099853__G9S127__NSB1T_01845
ERR1913252.1204588__1.1204588	820__A7VAR9__ERS852421_00197
ERR1913252.1204836__1.1204836	1628085__A0A2U1BEZ3__C7386_103130
ERR1913252.1204844__1.1204844	39488__C0ESJ6__EUBHAL_00369
ERR1913252.1204959__1.1204959	823__D7IPM3__DER51_17585
ERR1913252.1205481__1.1205481	820__A0A174GYA8__DXB64_07370
ERR1913252.1205499__1.1205499	823__A0A078S9Y4__M096_1441
ERR1913252.1205675__1.1205675	310298__B3JQJ5__BACCOP_04231
ERR1913252.1206040__1.1206040	1262911__R6GPL1__BN557_00927
ERR1913252.1206108__1.1206108	165179__A0A3E5EAM5__DXC61_07785
ERR1913252.1206209__1.1206209	487174__K0WWT0__DIT83_10190
ERR1913252.1206210__1.1206210	820__A0A173WUD7__DXB48_08055
ERR1913252.1206297__1.1206297	823__A0A355XLS2__ERS852380_02644
ERR1913252.1206482__1.1206482	33039__A0A174XLA4__araR
ERR1913252.1206528__1.1206528	820__A0A173YYG4__evgS_3
ERR1913252.1206740__1.1206740	821__A6L0C7__ERS852556_03520
ERR1913252.1206889__1.1206889	46506__A0A3E4UIV1__DXC34_17755
ERR1913252.1206895__1.1206895	1262924__R7HMZ4__BN585_01629
ERR1913252.1206971__1.1206971	357276__E5UTL1__HMPREF1065_03551
ERR1913252.1207303__1.1207303	384638__B7AVU0__BACPEC_02840
ERR1913252.1207281__1.1207281	357276__I8WAB8__B5F00_08100
ERR1913252.1207234__1.1207234	853__A0A2A6Z8X1__FPR_03410
ERR1913252.1207689__1.1207689	216816__B3DRU6__DPC6323_0992
ERR1913252.1207825__1.1207825	310298__B3JI31__BACCOP_01543
ERR1913252.1207960__1.1207960	544644__GCA_001915615.1_01749
ERR1913252.1208117__1.1208117	1262992__R5D6H6__BN795_00284
ERR1913252.1208133__1.1208133	853__A0A2A7B9I6__DW855_13690
ERR1913252.1208137__1.1208137	1262930__R5ZWP2__BN693_01542
ERR1913252.1208018__1.1208018	28118__F9Z751__DHW44_02965
ERR1913252.1208426__1.1208426	1680__A0A174BEE7__BSTER_1311
ERR1913252.1208478__1.1208478	2293125__A0A374C8A8__DW917_07550
ERR1913252.1208579__1.1208579	853__A0A174C5M1__CGS58_04460
ERR1913252.1208620__1.1208620	46503__A7AG59__ERS852463_00349
ERR1913252.1208644__1.1208644	418240__A0A174L567__ERS852478_01510
ERR1913252.1208695__1.1208695	39496__A5Z8T3__EUBVEN_02125
ERR1913252.1208700__1.1208700	1262930__R5ZWP2__BN693_01542
ERR1913252.1208845__1.1208845	1262889__R7HBQ2__BN634_01539
ERR1913252.1209038__1.1209038	1739309__A0A081PYG7__HMPREF2805_02745
ERR1913252.1209067__1.1209067	310298__B3JGJ2__BACCOP_00994
ERR1913252.1209215__1.1209215	88431__A0A3D0EWY9__ERS852423_01238
ERR1913252.1209229__1.1209229	1262992__R5CY03__BN795_01148
ERR1913252.1209280__1.1209280	818__A0A0P0FR20__BJP75_022685
ERR1913252.1209458__1.1209458	218538__C9LPF0__GCWU000321_01429
ERR1913252.1209492__1.1209492	338188__A0A174ETX3__ERS852397_01955
ERR1913252.1209724__1.1209724	46503__R6WQ01__PARMER_03826
ERR1913252.1209823__1.1209823	820__A0A139KA34__B5G17_05520
ERR1913252.1210399__1.1210399	165179__A0A174UTZ7__DXC61_06705
ERR1913252.1210462__1.1210462	28116__A0A139LD88__CUY_2408
ERR1913252.1210521__1.1210521	820__R9HP61__DXC91_01090
ERR1913252.1210983__1.1210983	39488__A0A174CKH9__EUBHAL_00342
ERR1913252.1211068__1.1211068	1262783__R6D1Z2__BN558_00296
ERR1913252.1211192__1.1211192	310298__B3JJG1__BACCOP_02031
ERR1913252.1211258__1.1211258	884684__GCA_002892425.1_01408
ERR1913252.1211490__1.1211490	818__A0A0N7IB02__BT_3500
ERR1913252.1211552__1.1211552	2108523__A0A2P2F6V3__LAWASA_1735
ERR1913252.1211791__1.1211791	147206__GCF_000156215.1_01108
ERR1913252.1211799__1.1211799	166486__D4KV78__aroA
ERR1913252.1212112__1.1212112	166486__D4KZA5__ERS852572_03317
ERR1913252.1212333__1.1212333	2293125__A0A374BY09__DW917_11855
ERR1913252.1212354__1.1212354	166486__A0A173T114__ROSINTL182_05085
ERR1913252.1212360__1.1212360	165179__A0A229I7F5__DXB80_02650
ERR1913252.1212409__1.1212409	165179__A0A3E5ED28__PREVCOP_06655
ERR1913252.1212735__1.1212735	166486__D4KUE6__ROSINTL182_08604
ERR1913252.1212817__1.1212817	1262992__R5DBL4__BN795_01435
ERR1913252.1212913__1.1212913	853__A0A173XRA8__CGS56_09290
ERR1913252.1213049__1.1213049	28111__E5WWI4__HMPREF1016_01032
ERR1913252.1213136__1.1213136	1262992__R5D1Y3__BN795_00199
ERR1913252.1213319__1.1213319	1262992__R5DEQ5__BN795_00722
ERR1913252.1213366__1.1213366	28116__A0A1Y4PUF8__DXF98_07610
ERR1913252.1213423__1.1213423	301301__G2T5S1__gsiA_1
ERR1913252.1213855__1.1213855	1099853__U5CKU4__NSB1T_00755
ERR1913252.1214054__1.1214054	46503__R6WYJ8__DXB85_13825
ERR1913252.1214087__1.1214087	418240__C6JEJ0__ERS852478_00752
ERR1913252.1214141__1.1214141	853__A0A3E2V168__FAEPRAM212_00929
ERR1913252.1214676__1.1214676	165179__A0A3E5EAM5__DXC61_07785
ERR1913252.1214717__1.1214717	33025__A0A395J947__C8D73_11315
ERR1913252.1214797__1.1214797	649756__A0A174J035__DO83_03925
ERR1913252.1215036__1.1215036	166486__D4KZ71__ERS852572_01500
ERR1913252.1215051__1.1215051	310298__B3JLT9__BACCOP_02886
ERR1913252.1215139__1.1215139	88431__A0A174GCE2__ERS852423_01397
ERR1913252.1215384__1.1215384	310298__B3JPY4__BACCOP_04016
ERR1913252.1215423__1.1215423	35833__E5Y2B5__HMPREF0179_00325
ERR1913252.1215557__1.1215557	88431__A0A174G8Q6__ERS852526_02711
ERR1913252.1215626__1.1215626	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913252.1215603__1.1215603	820__A0A174M9V5__M093_0237
ERR1913252.1215683__1.1215683	28118__F9Z759__B5F93_05180
ERR1913252.1215700__1.1215700	357276__C3R5C9__HMPREF1063_00213
ERR1913252.1215740__1.1215740	487174__K0X429__HMPREF9448_00932
ERR1913252.1216140__1.1216140	165179__A0A229I3Z6__PREVCOP_03666
ERR1913252.1216222__1.1216222	1262930__R6A8N0__BN693_02179
ERR1913252.1216889__1.1216889	46503__K5ZAK9__NCTC13052_03308
ERR1913252.1216959__1.1216959	821__A0A0P0LNX8__ERS852509_03015
ERR1913252.1216864__1.1216864	823__D0TDY6__DHP27_09090
ERR1913252.1216911__1.1216911	165179__R6B8D8__DXC61_09245
ERR1913252.1217105__1.1217105	1262930__R5ZXR2__BN693_01728
ERR1913252.1217261__1.1217261	487174__K0XDZ0__HMPREF9448_02863
ERR1913252.1217395__1.1217395	1735__B7CD72__EUBIFOR_02151
ERR1913252.1217724__1.1217724	410072__C0B9A1__COPCOM_01727
ERR1913252.1217750__1.1217750	823__A6LFW2__M095_1860
ERR1913252.1217987__1.1217987	28116__A0A1Y4PWE4__M089_4352
ERR1913252.1218034__1.1218034	853__A0A173XRA8__CGS56_09290
ERR1913252.1218098__1.1218098	1262930__R6AY75__BN693_00384
ERR1913252.1218481__1.1218481	357276__A0A0M1W6X7__HMPREF1065_03898
ERR1913252.1218451__1.1218451	33025__A0A395JIJ9__C8D73_101350
ERR1913252.1218496__1.1218496	821__I9R3W6__DXC16_12455
ERR1913252.1218605__1.1218605	1262889__R7HAN4__BN634_02105
ERR1913252.1218564__1.1218564	33039__D4M6R8__bglB_8
ERR1913252.1218586__1.1218586	821__U6RDC2__DXD46_15675
ERR1913252.1218693__1.1218693	357276__A0A0K2HDP3__IY41_00705
ERR1913252.1218735__1.1218735	301301__A0A395V8I9__ERS852391_04231
ERR1913252.1218796__1.1218796	820__A0A139KJR5__M093_4469
ERR1913252.1218823__1.1218823	357276__A0A0M1VYB8__HMPREF1063_02104
ERR1913252.1219078__1.1219078	820__R9I324__HMPREF2141_02414
ERR1913252.1219141__1.1219141	28118__F9ZCN2__DF785_09230
ERR1913252.1219298__1.1219298	371601__G1UK36__HMPREF1074_03496
ERR1913252.1219370__1.1219370	166486__D4KWV3__ROSINTL182_07514
ERR1913252.1219384__1.1219384	2022527__A0A264Y8R9__CHL74_05250
ERR1913252.1219656__1.1219656	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913252.1219719__1.1219719	821__A6L0C7__ERS852556_03520
ERR1913252.1219765__1.1219765	28118__F9Z3U6__B5F99_03365
ERR1913252.1219857__1.1219857	116085__D4J6A3__cls
ERR1913252.1219976__1.1219976	310298__B3JGL4__BACCOP_01016
ERR1913252.1220158__1.1220158	28118__F9Z6D0__DHW44_12795
ERR1913252.1220232__1.1220232	301301__G2T4K1__RHOM_14310
ERR1913252.1220377__1.1220377	88431__A0A3D0EY52__ERS852573_01763
ERR1913252.1220545__1.1220545	2293125__A0A374BLR6__DW917_15555
ERR1913252.1220745__1.1220745	821__A0A174NSU0__BVU_3144
ERR1913252.1220778__1.1220778	823__A0A395YRW4__DD466_15895
ERR1913252.1220882__1.1220882	371601__D6D2M1__CW1_3199
ERR1913252.1220965__1.1220965	2293125__A0A374BUM7__DW917_12980
ERR1913252.1221002__1.1221002	820__A0A3E4RUC4__DHU98_02635
ERR1913252.1221195__1.1221195	487174__K0XA48__DDY40_03955
ERR1913252.1221204__1.1221204	310298__B3JJ24__BACCOP_01886
ERR1913252.1221813__1.1221813	1262924__R7HPS8__BN585_00646
ERR1913252.1222089__1.1222089	28111__R5K5Y3__BACEGG_03205
ERR1913252.1222777__1.1222777	649756__A0A173UBD8__ytpA
ERR1913252.1222819__1.1222819	46503__R6WY21__DXB85_01605
ERR1913252.1222896__1.1222896	410072__A0A174DFS8__ERS852574_01251
ERR1913252.1223157__1.1223157	2293125__A0A374CMK5__DW917_00330
ERR1913252.1223200__1.1223200	410072__A0A174J5N8__sbcC
ERR1913252.1223452__1.1223452	821__A0A0P0M2J4__DXD46_10295
ERR1913252.1223722__1.1223722	28118__R6F390__ypdA_1
ERR1913252.1223954__1.1223954	357276__A0A1Y4PPG2__B5F95_02305
ERR1913252.1224175__1.1224175	310298__B3JQJ5__BACCOP_04231
ERR1913252.1224194__1.1224194	410072__C0B9G6__ERS852481_03113
ERR1913252.1224306__1.1224306	46503__B7BG40__ERS852463_01623
ERR1913252.1224772__1.1224772	853__D4JY61__C4N21_10560
ERR1913252.1224793__1.1224793	46503__R6WSB3__DCY29_07745
ERR1913252.1224992__1.1224992	1150298__A0A174DQP3__rpe_2
ERR1913252.1225017__1.1225017	1262911__R6H1P0__BN557_00940
ERR1913252.1225030__1.1225030	166486__D4KZY5__ROSINTL182_07635
ERR1913252.1225047__1.1225047	821__I9R3W6__DXC16_12455
ERR1913252.1225191__1.1225191	165179__D1PGU8__PREVCOP_06463
ERR1913252.1225194__1.1225194	1262930__R5ZWP2__BN693_01542
ERR1913252.1225388__1.1225388	310298__B3JQR0__BACCOP_04272
ERR1913252.1225394__1.1225394	310298__B3JPR1__BACCOP_03861
ERR1913252.1225446__1.1225446	46503__A7AH78__DD461_04085
ERR1913252.1225453__1.1225453	2293125__A0A374BSW4__DW917_13420
ERR1913252.1225655__1.1225655	218538__C9LPF0__GCWU000321_01429
ERR1913252.1225658__1.1225658	418240__A0A174T5R0__yehU_2
ERR1913252.1225807__1.1225807	360807__A0A0M6WDI8__RIL183_01921
ERR1913252.1225814__1.1225814	487174__K0X028__DIT83_00950
ERR1913252.1225953__1.1225953	821__A0A395VIK7__BVU_1225
ERR1913252.1226071__1.1226071	818__A0A174SHK6__ERS852511_01161
ERR1913252.1226406__1.1226406	1262992__R5DGC6__BN795_00540
ERR1913252.1226851__1.1226851	33025__A0A395JBU5__C8D73_10423
ERR1913252.1226828__1.1226828	1262924__R7HTW9__BN585_00609
ERR1913252.1226806__1.1226806	1262930__R6A468__BN693_01366
ERR1913252.1227066__1.1227066	818__A0A3E5HNS1__BSIG_0465
ERR1913252.1227030__1.1227030	28118__F9Z7M2__B5F99_10065
ERR1913252.1227458__1.1227458	384638__B7APR1__BACPEC_00667
ERR1913252.1227522__1.1227522	357276__A0A076IN30__DXD47_09350
ERR1913252.1227963__1.1227963	853__A0A174C5M1__CGS58_04460
ERR1913252.1228045__1.1228045	371601__D6CWZ8__CW3_1356
ERR1913252.1228304__1.1228304	10678__GeneID:2777413
ERR1913252.1228385__1.1228385	310298__B3JFI7__BACCOP_00636
ERR1913252.1228713__1.1228713	357276__I9FRW5__B5F95_21685
ERR1913252.1228886__1.1228886	39486__R6S4F3__DXD84_10345
ERR1913252.1229181__1.1229181	821__A6KZK3__ERS852457_04265
ERR1913252.1229246__1.1229246	328814__GCA_004558275.1_00093
ERR1913252.1229314__1.1229314	820__A0A3E4XM43__DXC91_13960
ERR1913252.1229361__1.1229361	310298__B3JFQ2__BACCOP_00703
ERR1913252.1229365__1.1229365	487174__R5FJY1__DDY40_07045
ERR1913252.1229457__1.1229457	823__A0A174UI22__CF162_13840
ERR1913252.1229535__1.1229535	1308__G6EPE2__Y018_01915
ERR1913252.1229609__1.1229609	544644__GCA_001915615.1_01912
ERR1913252.1229795__1.1229795	853__A0A2A7B9I6__DW855_13690
ERR1913252.1230207__1.1230207	853__A0A173RZ39__C4N22_01650
ERR1913252.1230836__1.1230836	1628085__A0A374VPP0__C7386_11442
ERR1913252.1230963__1.1230963	626930__F3PYU5__HMPREF9446_03903
ERR1913252.1231325__1.1231325	821__A6L0C7__ERS852556_03520
ERR1913252.1231337__1.1231337	853__A0A174CVG7__CGS58_09335
ERR1913252.1231441__1.1231441	1735__B7CCQ4__EUBIFOR_01982
ERR1913252.1231809__1.1231809	1262930__R5ZRJ3__BN693_00633
ERR1913252.1231785__1.1231785	853__A0A173XRA8__CGS56_09290
ERR1913252.1231926__1.1231926	1262930__R5ZVH8__BN693_01324
ERR1913252.1232011__1.1232011	28116__I8YA52__M088_0798
ERR1913252.1232122__1.1232122	2293125__A0A374BUM7__DW917_12980
ERR1913252.1232188__1.1232188	165179__D1PHC0__PREVCOP_06640
ERR1913252.1232288__1.1232288	1262930__R6ALR2__BN693_00077
ERR1913252.1232225__1.1232225	2293125__A0A374CBD1__DW917_06995
ERR1913252.1232228__1.1232228	1263107__GCA_000436995.1_00097
ERR1913252.1232306__1.1232306	1262743__R5C054__BN727_01980
ERR1913252.1232448__1.1232448	46503__K5ZX50__dnaG_1
ERR1913252.1232517__1.1232517	1262930__R6A2Z0__BN693_02280
ERR1913252.1232540__1.1232540	165179__A0A3E5DY64__CFT61_10025
ERR1913252.1232595__1.1232595	310298__B3JFK5__BACCOP_00655
ERR1913252.1232867__1.1232867	823__A0A355XNV2__DXB14_15920
ERR1913252.1232887__1.1232887	410072__A0A174GUH9__ERS852481_02532
ERR1913252.1233184__1.1233184	40520__A0A174IER6__ywaD
ERR1913252.1233347__1.1233347	310298__B3JJ24__BACCOP_01886
ERR1913252.1233629__1.1233629	1150298__A0A174PXR1__ERS852406_02747
ERR1913252.1233775__1.1233775	33025__A0A395JB30__C8D73_1034
ERR1913252.1233929__1.1233929	821__A0A0P0LNX8__ERS852509_03015
ERR1913252.1233947__1.1233947	2293125__A0A374BSW4__DW917_13420
ERR1913252.1234113__1.1234113	165179__A0A3E5AAM8__DXB80_10240
ERR1913252.1234221__1.1234221	1735__B7CC21__EUBIFOR_01746
ERR1913252.1234406__1.1234406	165179__D1PHD6__DXC61_03380
ERR1913252.1234709__1.1234709	626933__H1DGX0__HMPREF9449_01506
ERR1913252.1235035__1.1235035	410072__A0A173WD04__penA_2
ERR1913252.1235109__1.1235109	544644__GCA_001915615.1_02237
ERR1913252.1235169__1.1235169	28118__F9Z7M2__B5F99_10065
ERR1913252.1235177__1.1235177	166486__D4L458__ROSINTL182_07088
ERR1913252.1235253__1.1235253	166486__D4L1H3__sacC
ERR1913252.1235412__1.1235412	821__D4VD59__BHV80_04260
ERR1913252.1235457__1.1235457	166486__D4L284__ERS852572_01651
ERR1913252.1235658__1.1235658	853__D4JY61__C4N21_10560
ERR1913252.1235737__1.1235737	1262930__R6AX81__BN693_00293
ERR1913252.1235797__1.1235797	165179__D1PHC0__PREVCOP_06640
ERR1913252.1235888__1.1235888	2293125__A0A374BN09__DW917_16245
ERR1913252.1236162__1.1236162	2293125__A0A374BSW4__DW917_13420
ERR1913252.1236192__1.1236192	28116__I9ST00__M088_5588
ERR1913252.1236221__1.1236221	28111__E5WV21__NCTC11155_01580
ERR1913252.1236301__1.1236301	818__E5C5U7__SAMN05216253_101163
ERR1913252.1236324__1.1236324	1262930__R6ADH9__BN693_01876
ERR1913252.1236325__1.1236325	821__A0A174NM17__lacZ_6
ERR1913252.1236666__1.1236666	821__A0A173XDD3__DXB82_17180
ERR1913252.1236709__1.1236709	310298__B3JQJ5__BACCOP_04231
ERR1913252.1236775__1.1236775	33039__D4M1A7__RTO_02350
ERR1913252.1236861__1.1236861	166486__D4L1H3__sacC
ERR1913252.1236986__1.1236986	165179__A0A3E5A6S0__PREVCOP_04351
ERR1913252.1237061__1.1237061	28118__F9ZB50__Odosp_2374
ERR1913252.1237244__1.1237244	357276__A0A076IS73__GV66_00410
ERR1913252.1237210__1.1237210	46503__R6WYJ8__DXB85_13825
ERR1913252.1237308__1.1237308	1262992__R5DCU3__BN795_00404
ERR1913252.1237312__1.1237312	387661__K5ZS68__PRABACTJOHN_02984
ERR1913252.1237423__1.1237423	853__A0A2A6Z8X1__FPR_03410
ERR1913252.1237430__1.1237430	487174__K0WXG8__DIT83_09300
ERR1913252.1237450__1.1237450	820__A0A3E5E0T0__ERS852554_00312
ERR1913252.1237500__1.1237500	1262739__R6M9P7__BN659_01903
ERR1913252.1238065__1.1238065	310298__B3JPD1__BACCOP_02317
ERR1913252.1238101__1.1238101	818__Q8A3I3__HMPREF2534_00068
ERR1913252.1238249__1.1238249	165179__A0A229I7F5__DXB80_02650
ERR1913252.1238300__1.1238300	418240__A0A173Y587__ERS852523_00316
ERR1913252.1238805__1.1238805	823__A6LEP0__M091_1976
ERR1913252.1238982__1.1238982	165179__A0A3E5A5E5__DXC61_13965
ERR1913252.1239045__1.1239045	165179__A0A174SA26__PREVCOP_05758
ERR1913252.1239077__1.1239077	165179__A0A3E5A5E5__DXC61_13965
ERR1913252.1239263__1.1239263	1965631__A0A1Y4AC02__B5F90_09970
ERR1913252.1239351__1.1239351	823__A0A355XKQ8__DHP27_04010
ERR1913252.1239402__1.1239402	818__A0A0P0F7K1__ERS852461_02719
ERR1913252.1239433__1.1239433	204516__U6RFV1__HMPREF1534_02560
ERR1913252.1239552__1.1239552	116085__D4J6M2__cobT
ERR1913252.1239554__1.1239554	310298__B3JFK5__BACCOP_00655
ERR1913252.1239641__1.1239641	33025__A0A395J947__C8D73_11315
ERR1913252.1239772__1.1239772	310298__B3JED9__BACCOP_00230
