ERR1913315.80__1.80	649756__L1Q8X1__DCR88_03995
ERR1913315.450421__1.450421	820__A7V470__HMPREF1072_02076
ERR1913315.450543__1.450543	572010__nrdD
ERR1913315.450654__1.450654	820__A0A3E4WA06__ERS852554_03404
ERR1913315.450678__1.450678	28117__B0MTW8__ALIPUT_00502
ERR1913315.450716__1.450716	820__A0A396EWL3__ERS417307_03868
ERR1913315.450846__1.450846	820__A0A374QGD2__ERS852421_02382
ERR1913315.450858__1.450858	187327__U2VKS6__Acin_2226
ERR1913315.450911__1.450911	1150298__R7JXH6__mecR1
ERR1913315.450943__1.450943	40518__R5DRG6__ylbJ
ERR1913315.451036__1.451036	292800__A0A174T130__HMPREF9460_00060
ERR1913315.451039__1.451039	39486__R6S4F3__DXD84_10345
ERR1913315.451043__1.451043	821__A0A173WG51__BVU_2549
ERR1913315.451097__1.451097	28117__B0MYI9__BHV66_05415
ERR1913315.451133__1.451133	820__A0A078STJ8__DXC68_04690
ERR1913315.451214__1.451214	216816__A0A0A6VPB9__B624_1780
ERR1913315.451465__1.451465	28117__B0MUB4__BHV66_01895
ERR1913315.451467__1.451467	487174__K0WXG8__DIT83_09300
ERR1913315.451492__1.451492	292800__A0A1C7FM16__ERS852544_03863
ERR1913315.451597__1.451597	1680__A0A173XYA2__B0703_0121
ERR1913315.451652__1.451652	187327__G4Q2R0__ACDG_01369
ERR1913315.451781__1.451781	39488__A0A285PPV7__DXD91_14610
ERR1913315.451818__1.451818	556259__E5C445__BSGG_0931
ERR1913315.451830__1.451830	1150298__R7JTQ3__rne
ERR1913315.451904__1.451904	1262746__R5SS80__BN750_02125
ERR1913315.451974__1.451974	820__A0A173XIP7__B5G17_16050
ERR1913315.452008__1.452008	1680__A1A0V3__C8077_03025
ERR1913315.452106__1.452106	1160721__R6T2Y3__RBI_II00189
ERR1913315.452082__1.452082	328813__A0A1Y3QVP6__B5G41_04655
ERR1913315.452132__1.452132	1603888__A0A133SFZ8__HMPREF3201_01866
ERR1913315.452221__1.452221	28116__A0A1H4GBQ8__HMPREF1017_04241
ERR1913315.452412__1.452412	40518__R5E7S2__RBL263_00671
ERR1913315.452454__1.452454	74426__rpoC
ERR1913315.452576__1.452576	820__A7VAS1__HMPREF2141_03259
ERR1913315.452599__1.452599	357276__A0A076ISJ4__B5F95_19420
ERR1913315.452749__1.452749	246787__A0A0P0GDM7__BcellWH2_03148
ERR1913315.452754__1.452754	301302__A0A173TWC1__phoR_7
ERR1913315.452871__1.452871	292800__A0A174UQR1__HMPREF9460_02453
ERR1913315.452924__1.452924	46506__B0NRJ1__DXC41_14065
ERR1913315.452947__1.452947	333367__C0D2D2__CLOSTASPAR_03422
ERR1913315.452951__1.452951	40520__A0A174IJ62__DXC87_06795
ERR1913315.452958__1.452958	1263044__GCA_000433375.1_00023
ERR1913315.453004__1.453004	40518__R5DZC6__mreC
ERR1913315.453023__1.453023	820__R9I3Q7__HMPREF1072_01668
ERR1913315.453029__1.453029	187327__G4Q2V4__Acin_1541
ERR1913315.453045__1.453045	371601__A0A1H4AKU1__BXY_45200
ERR1913315.453190__1.453190	820__A0A139K426__B5G17_09115
ERR1913315.453295__1.453295	187327__G4Q2R6__Acin_2204
ERR1913315.453272__1.453272	820__A0A3E4VZT7__DXB48_16145
ERR1913315.453373__1.453373	40518__R5DLU0__fmt
ERR1913315.453463__1.453463	40518__R5DZC6__mreC
ERR1913315.453477__1.453477	1550024__G9RWW8__TQ39_12140
ERR1913315.453495__1.453495	28116__F7LC60__AA414_00422
ERR1913315.453582__1.453582	216816__Q8G464__BFS25_05925
ERR1913315.453697__1.453697	820__A0A139JV05__B5G17_18125
ERR1913315.453751__1.453751	47678__A5ZHL2__DXB67_12495
ERR1913315.453913__1.453913	40520__A0A395XBB9__DXC87_14010
ERR1913315.453927__1.453927	823__A0A355XKQ8__DHP27_04010
ERR1913315.453934__1.453934	187327__G4Q3P7__Acin_0528
ERR1913315.453936__1.453936	820__A7V9F9__B5G17_14640
ERR1913315.453991__1.453991	821__A0A0P0M3U7__DXB90_14325
ERR1913315.454050__1.454050	387090__S0F7Y3__BACCOPRO_02028
ERR1913315.454068__1.454068	823__A6L9D3__ERS852560_03374
ERR1913315.454235__1.454235	1262869__R7CRP7__BN625_01723
ERR1913315.454240__1.454240	820__A7VAR9__ERS852421_00197
ERR1913315.454305__1.454305	1262756__R5WV60__BN568_00630
ERR1913315.454321__1.454321	820__A0A078STJ8__DXC68_04690
ERR1913315.454326__1.454326	487174__R5F016__DDY40_05675
ERR1913315.454437__1.454437	1628085__A0A3E2Y0W2__C7386_10871
ERR1913315.454442__1.454442	1680__A0A087DHN0__AL0462_1532
ERR1913315.454549__1.454549	1776081__A0A1B8WSQ5__A0U42_03000
ERR1913315.454577__1.454577	1150298__R7JUV3__yfnB
ERR1913315.454605__1.454605	187327__G4Q7M4__ACDG_01826
ERR1913315.454667__1.454667	820__A0A174GYA8__DXB64_07370
ERR1913315.454690__1.454690	487174__K0WYG0__DDY40_00295
ERR1913315.454775__1.454775	2108523__A0A2P2F8K1__LAWASA_2323
ERR1913315.454843__1.454843	39491__A0A0M6WLC7__ERS852497_00640
ERR1913315.454904__1.454904	166486__D4L1H3__sacC
ERR1913315.454867__1.454867	818__A0A3E5HWN5__BSIG_3066
ERR1913315.455048__1.455048	820__A0A139KHX1__HMPREF2141_00289
ERR1913315.455094__1.455094	187327__U2VKS6__Acin_2226
ERR1913315.455232__1.455232	556259__E5CDQ6__BSGG_3921
ERR1913315.455253__1.455253	40518__R5DZB3__RB5AMG_01719
ERR1913315.455301__1.455301	626929__F3PJ28__B5F24_03465
ERR1913315.455314__1.455314	1680__A0A174BEE7__BSTER_1311
ERR1913315.455328__1.455328	649756__D4MXW9__ERS852520_02286
ERR1913315.455364__1.455364	187327__G4Q2J3__ACDG_01696
ERR1913315.455467__1.455467	820__A0A3E4FZM1__adaA_2
ERR1913315.455478__1.455478	88431__A0A3D0EY52__ERS852573_01763
ERR1913315.455508__1.455508	39488__A0A374NTX6__DXD91_03400
ERR1913315.455515__1.455515	1680__A0A1X2ZKM8__B5789_0981
ERR1913315.455629__1.455629	820__R9I3Q7__HMPREF1072_01668
ERR1913315.455647__1.455647	1680__A0A0C2VBJ4__birA
ERR1913315.455685__1.455685	1780376__A0A143XEY2__BN3659_00222
ERR1913315.455812__1.455812	1680__A0A1X2ZKM8__B5789_0981
ERR1913315.455824__1.455824	187327__G4Q3J1__ACDG_01977
ERR1913315.455829__1.455829	821__A0A174WBC9__ERS852556_03145
ERR1913315.455841__1.455841	40518__R5DU38__DXD83_06770
ERR1913315.455903__1.455903	1689__D2Q6N2__SAMN05192536_1570
ERR1913315.455933__1.455933	40518__R5DUG7__sbcC
ERR1913315.456007__1.456007	28116__A0A1Y4PWN5__M088_3731
ERR1913315.456033__1.456033	40518__R5DZM6__lytR_3
ERR1913315.456143__1.456143	40518__R5E6K4__RB5AMG_02070
ERR1913315.456214__1.456214	820__A0A173W419__DXC68_17760
ERR1913315.456246__1.456246	40518__R5DP21__RBATCC27255_00348
ERR1913315.456306__1.456306	46506__S3YS03__DXC34_03445
ERR1913315.456349__1.456349	487174__K0WTW4__DDY40_12630
ERR1913315.456418__1.456418	1796613__A0A1C7H6N8__ADH74_01350
ERR1913315.456426__1.456426	28116__A0A1Y4Q112__evgS_13
ERR1913315.456522__1.456522	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913315.456711__1.456711	649756__B0NYW1__DCR88_01045
ERR1913315.457031__1.457031	818__A0A3E5HY51__rpfC_2
ERR1913315.457037__1.457037	28116__A0A078Q626__HMPREF1070_02735
ERR1913315.457173__1.457173	820__A0A3E4WCX3__C801_02709
ERR1913315.457200__1.457200	301302__A0A173TWC1__phoR_7
ERR1913315.457257__1.457257	216816__E8MW20__DD674_07905
ERR1913315.457431__1.457431	820__A0A374Q8T2__DXB64_16190
ERR1913315.457390__1.457390	1150298__A0A174R4D7__tmpC_2
ERR1913315.457457__1.457457	28117__B0MY40__BHV66_05170
ERR1913315.457473__1.457473	47678__R5U9Z0__HMPREF1061_03210
ERR1913315.457508__1.457508	1262869__R7CVG2__BN625_00790
ERR1913315.457668__1.457668	820__A0A139K8N1__ERS852554_00951
ERR1913315.457638__1.457638	1150298__A0A174K7D2__ERS852498_01147
ERR1913315.457640__1.457640	820__A0A3E4VZT7__DXB48_16145
ERR1913315.457753__1.457753	820__A0A3E4PYB0__yejM
ERR1913315.457756__1.457756	821__D4VD59__BHV80_04260
ERR1913315.457767__1.457767	1150298__A0A174E950__ERS852498_02096
ERR1913315.457899__1.457899	1776081__A0A1B8WUM0__A0U42_09530
ERR1913315.458179__1.458179	626929__F3PIV6__B5F24_03810
ERR1913315.458315__1.458315	820__A0A3E5BMG9__DXD40_05130
ERR1913315.458361__1.458361	1796613__A0A1C7H6N8__ADH74_01350
ERR1913315.458487__1.458487	187327__G4Q682__Acin_1672
ERR1913315.458698__1.458698	39491__A0A395ZHV7__ykvU
ERR1913315.458861__1.458861	821__A0A174JYD3__ERS852457_02610
ERR1913315.458917__1.458917	820__A0A396CMY7__HMPREF1072_03009
ERR1913315.458988__1.458988	823__E1YV41__BDI_1376
ERR1913315.459044__1.459044	820__R9I324__HMPREF2141_02414
ERR1913315.459063__1.459063	820__A0A3E5E0T0__ERS852554_00312
ERR1913315.459116__1.459116	821__I9R3W6__DXC16_12455
ERR1913315.459159__1.459159	626929__F3PE25__B5F97_01770
ERR1913315.459348__1.459348	821__A0A174WBC9__ERS852556_03145
ERR1913315.459471__1.459471	823__A0A395Z066__M091_0663
ERR1913315.459532__1.459532	820__A7VAS1__HMPREF2141_03259
ERR1913315.459563__1.459563	820__A0A3E4WA06__ERS852554_03404
ERR1913315.459673__1.459673	823__A6LHU5__M092_0203
ERR1913315.459742__1.459742	28117__R7JPX7__BHV66_00900
ERR1913315.459762__1.459762	74426__pflB_2
ERR1913315.459793__1.459793	418240__C6JGL2__ERS852523_00030
ERR1913315.459821__1.459821	820__A0A139KJ23__celCCA
ERR1913315.459894__1.459894	820__A0A173WZS4__DXD90_10250
ERR1913315.460041__1.460041	246787__A0A0P0GCR8__xynD_3
ERR1913315.460058__1.460058	820__A0A174R952__DXB48_02570
ERR1913315.460136__1.460136	39491__A0A395V464__EUBREC_1509
ERR1913315.460252__1.460252	40518__R5DZ88__DXD93_06320
ERR1913315.460362__1.460362	823__A0A173W8N5__ERS852513_00780
ERR1913315.460368__1.460368	357276__A0A076IS26__EL88_15950
ERR1913315.460457__1.460457	1603888__A0A133SHY1__HMPREF3201_01284
ERR1913315.460471__1.460471	820__A0A3E4G826__C801_01612
ERR1913315.460649__1.460649	820__A0A174QT76__B5G17_18060
ERR1913315.460657__1.460657	310298__B3JII2__BACCOP_01694
ERR1913315.460948__1.460948	818__E5C5U7__SAMN05216253_101163
ERR1913315.460992__1.460992	28117__R7JJM9__ALIPUT_00662
ERR1913315.461088__1.461088	47678__A5ZI88__BACCAC_02617
ERR1913315.461097__1.461097	820__A0A3E4W9W8__C801_01069
ERR1913315.461134__1.461134	39491__A0A396FNY7__LD38_16155
ERR1913315.461232__1.461232	187327__G4Q682__Acin_1672
ERR1913315.461430__1.461430	39496__A5Z5I2__EUBVEN_00963
ERR1913315.461467__1.461467	1680__A0A0C2YPV2__AL0462_1474
ERR1913315.461490__1.461490	40518__R5DUU2__yvhJ_2
ERR1913315.461607__1.461607	28117__B0MTH2__ALIPUT_00061
ERR1913315.461636__1.461636	823__A0A355XJ56__DDY96_07685
ERR1913315.461638__1.461638	28116__A0A1Y4Q114__DXF98_00470
ERR1913315.461729__1.461729	820__A0A174QLF0__SAMN05444418_109151
ERR1913315.461749__1.461749	1776081__A0A1B8WUB7__A0U42_09535
ERR1913315.461852__1.461852	820__A0A3E4G2R7__DXC07_00510
ERR1913315.461934__1.461934	626929__F3PLF4__HMPREF9445_03185
ERR1913315.462074__1.462074	1680__A0A087DHN0__AL0462_1532
ERR1913315.462117__1.462117	28052__A0A174NHE1__spoIIIE
ERR1913315.462128__1.462128	246787__A0A0P0GUU5__BACCELL_02894
ERR1913315.462308__1.462308	1680__A0A174BEE7__BSTER_1311
ERR1913315.462290__1.462290	40518__R5DQN7__DXD93_03540
ERR1913315.462565__1.462565	820__A0A174DZ97__SAMN05444418_101240
ERR1913315.462587__1.462587	40518__A0A1C6H8N9__RBATCC27255_01374
ERR1913315.462603__1.462603	28116__R6DIL2__DXD69_10970
ERR1913315.462614__1.462614	40518__R5DTG5__RBATCC27255_00890
ERR1913315.462616__1.462616	820__A0A139K1Y6__DXB48_02610
ERR1913315.462771__1.462771	818__A0A0N7I9M6__Btheta7330_00939
ERR1913315.462888__1.462888	820__A0A3E4G3J9__ERS852459_02265
ERR1913315.462922__1.462922	626929__A0A1Y4JTW9__B5F97_02770
ERR1913315.463094__1.463094	40518__R5E5W1__RBL263_01034
ERR1913315.463200__1.463200	187327__G4Q560__ACDG_01931
ERR1913315.463487__1.463487	187327__G4Q7M4__ACDG_01826
ERR1913315.463600__1.463600	818__A0A396E023__ERS852430_02808
ERR1913315.463746__1.463746	823__D7IUM6__M091_1082
ERR1913315.463895__1.463895	821__E5UPR6__SAMN04487923_101768
ERR1913315.463852__1.463852	28116__A0A139L3C0__C5Z02_05550
ERR1913315.463931__1.463931	820__A0A374Q1D8__SAMN05444418_112114
ERR1913315.463941__1.463941	357276__B6W1J2__BACDOR_03380
ERR1913315.464009__1.464009	821__D4V4X2__DXC16_18525
ERR1913315.464079__1.464079	187327__G4Q3J1__ACDG_01977
ERR1913315.464088__1.464088	820__A0A174G065__DXB62_08975
ERR1913315.464221__1.464221	821__A0A078R9Y9__M097_2119
ERR1913315.464308__1.464308	88431__A0A174UTT9__clcA
ERR1913315.464317__1.464317	820__A0A174FUF0__HMPREF1073_03308
ERR1913315.464405__1.464405	74426__group_1871
ERR1913315.464676__1.464676	820__A0A174F0C1__nreB
ERR1913315.464718__1.464718	47678__A5ZF31__DXB67_11050
ERR1913315.464707__1.464707	1776081__A0A1B8WX80__A0U42_05350
ERR1913315.464761__1.464761	187327__G4Q446__ACDG_01775
ERR1913315.464852__1.464852	40518__R5E1J7__RBL236_02062
ERR1913315.464934__1.464934	40518__A0A1C6H8C4__DXD93_02535
ERR1913315.465057__1.465057	28116__A0A1Y4P7B7__M088_2098
ERR1913315.465106__1.465106	47678__R5UPZ8__ERS852494_01752
ERR1913315.465168__1.465168	47678__R5V127__HMPREF1061_04334
ERR1913315.465440__1.465440	39491__A0A395ZHW9__DXC13_02590
ERR1913315.465534__1.465534	28116__A0A1H4GBQ8__HMPREF1017_04241
ERR1913315.465658__1.465658	820__I9TWZ7__DXC80_10550
ERR1913315.465875__1.465875	556259__E5C8S0__BSGG_1769
ERR1913315.465902__1.465902	28116__A0A078Q626__HMPREF1070_02735
ERR1913315.465784__1.465784	292800__G9YTT2__HMPREF0372_02944
ERR1913315.465917__1.465917	61171__B9Y5T9__HOLDEFILI_01171
ERR1913315.466016__1.466016	74426__nifJ
ERR1913315.466131__1.466131	187327__G4Q3B5__arcB
ERR1913315.466149__1.466149	820__A7V470__HMPREF1072_02076
ERR1913315.466245__1.466245	1263044__GCA_000433375.1_00023
ERR1913315.466301__1.466301	216816__B7GQM4__BLIC_f01073
ERR1913315.466352__1.466352	820__A0A396CMY7__HMPREF1072_03009
ERR1913315.466370__1.466370	40518__R5DTJ1__DXD86_03635
ERR1913315.466443__1.466443	820__A0A174A6K0__M093_0079
ERR1913315.466450__1.466450	246618__M4RG38__BPORC_0326
ERR1913315.466664__1.466664	47678__A5ZF31__DXB67_11050
ERR1913315.466711__1.466711	39491__A0A396FMF1__EUR_28700
ERR1913315.466715__1.466715	28116__A0A1Y4Q363__Bovatus_00608
ERR1913315.466723__1.466723	821__D4VD59__BHV80_04260
ERR1913315.466815__1.466815	40518__R5DTJ1__DXD86_03635
ERR1913315.466852__1.466852	821__A0A395VMG0__DXC44_18080
ERR1913315.466922__1.466922	884684__GCA_002892425.1_01408
ERR1913315.466977__1.466977	40518__R5DTW7__phoU
ERR1913315.467000__1.467000	820__A0A139KHX1__HMPREF2141_00289
ERR1913315.467038__1.467038	39491__A0A395UZL1__DXB76_05950
ERR1913315.467069__1.467069	246787__A0A3D6AXJ7__BACCELL_02379
ERR1913315.467096__1.467096	1262954__R7FF88__BN611_00437
ERR1913315.467202__1.467202	301302__A0A0M6WH46__M72_23101
ERR1913315.467220__1.467220	216816__Q8G585__APC1473_0508
ERR1913315.467281__1.467281	1262869__R7CNN0__BN625_01419
ERR1913315.467359__1.467359	820__A0A173W419__DXC68_17760
ERR1913315.467440__1.467440	820__A0A174TRB5__DXD40_11305
ERR1913315.467503__1.467503	216816__Q8G4X6__DXD52_09895
ERR1913315.467512__1.467512	820__A7V092__hldE
ERR1913315.467550__1.467550	820__A0A139KHX1__HMPREF2141_00289
ERR1913315.467574__1.467574	39491__A0A174K9A3__DXB69_07785
ERR1913315.467586__1.467586	820__A0A3E4QZJ7__C801_01798
ERR1913315.467615__1.467615	40518__R5DXI4__DXD86_07420
ERR1913315.467826__1.467826	821__A0A173XDD3__DXB82_17180
ERR1913315.467958__1.467958	40518__R5DVV1__RBATCC27255_00999
ERR1913315.468071__1.468071	820__A0A139K4W1__M093_0353
ERR1913315.468126__1.468126	357276__I8WFU9__BACDOR_02006
ERR1913315.468212__1.468212	40518__R5DYU1__DXD86_01160
ERR1913315.468260__1.468260	1263044__GCA_000433375.1_00023
ERR1913315.468239__1.468239	214856__R6XNE7__ERS852447_02267
ERR1913315.468313__1.468313	820__A7UYX8__DXD40_11635
ERR1913315.468328__1.468328	371601__C3R2J2__ERS852396_04353
ERR1913315.468330__1.468330	556259__I0PYM3__BSGG_5385
ERR1913315.468391__1.468391	301302__R5UVE7__ERS852420_01292
ERR1913315.468450__1.468450	818__A0A3E5HHE1__Btheta7330_00796
ERR1913315.468517__1.468517	1680__A7A7Z9__AAX71_05385
ERR1913315.468519__1.468519	820__A0A3E4VZT7__DXB48_16145
ERR1913315.468584__1.468584	821__A0A0P0L8F8__ERS852509_03705
ERR1913315.468632__1.468632	818__A0A139K9H8__C5Z03_23905
ERR1913315.468727__1.468727	28117__B0MXD0__ALIPUT_01669
ERR1913315.468767__1.468767	1308__A0A2U2M532__Y018_04695
ERR1913315.468810__1.468810	47678__R5UPZ8__ERS852494_01752
ERR1913315.468927__1.468927	1776081__A0A1B8WUT1__A0U42_08955
ERR1913315.468949__1.468949	820__A7UYX8__DXD40_11635
ERR1913315.468969__1.468969	820__A0A3E4VXP2__yesR
ERR1913315.469100__1.469100	40518__R5E2F3__artQ
ERR1913315.469125__1.469125	853__E2ZJT1__C4N23_03535
ERR1913315.469176__1.469176	820__A0A374QGD2__ERS852421_02382
ERR1913315.469227__1.469227	28116__F7L4X5__M089_2857
ERR1913315.469234__1.469234	1150298__A0A174DPC6__ERS852535_01374
ERR1913315.469265__1.469265	187327__G4Q4A5__ACDG_01070
ERR1913315.469325__1.469325	821__A0A3E4WAR6__DXD64_10735
ERR1913315.469367__1.469367	1680__A7A2Y2__NCTC11814_00537
ERR1913315.469502__1.469502	820__A0A174CK74__DXB48_07060
ERR1913315.469555__1.469555	1262911__R6GSH8__BN557_00939
ERR1913315.469574__1.469574	821__D4VC51__M099_1508
ERR1913315.469594__1.469594	821__R6F3Y1__SAMN04487923_104318
ERR1913315.469682__1.469682	1776081__A0A1B8WT11__A0U42_02585
ERR1913315.469756__1.469756	39496__A5ZAD6__EUBVEN_02683
ERR1913315.469965__1.469965	821__A0A3E4KIM1__M097_3660
ERR1913315.469967__1.469967	820__A0A374Q854__HMPREF1073_03281
ERR1913315.469961__1.469961	487174__K0XLV6__DIT83_00940
ERR1913315.470106__1.470106	214856__I3YPP9__Alfi_2707
ERR1913315.470149__1.470149	169435__B0P8N8__ERS852551_00085
ERR1913315.470190__1.470190	39488__A0A174CKH9__EUBHAL_00342
ERR1913315.470229__1.470229	40520__A0A395XAI7__DXB81_16005
ERR1913315.470298__1.470298	301302__R5VFW5__M72_26781
ERR1913315.470386__1.470386	1776081__A0A1B8WVB9__A0U42_08750
ERR1913315.470394__1.470394	40518__A0A373KL92__RBATCC27255_01378
ERR1913315.470398__1.470398	28116__F7L4X5__M089_2857
ERR1913315.470496__1.470496	820__R9I324__HMPREF2141_02414
ERR1913315.470632__1.470632	28116__A0A3E5HUC8__DHW41_21025
ERR1913315.470644__1.470644	820__A0A3E4G826__C801_01612
ERR1913315.470619__1.470619	821__A0A0P0M3U7__DXB90_14325
ERR1913315.470804__1.470804	818__Q8A335__HMPREF2534_01154
ERR1913315.470931__1.470931	820__R9HP61__DXC91_01090
ERR1913315.470959__1.470959	1628085__A0A2U1BCY4__C7386_10635
ERR1913315.471020__1.471020	818__Q8AAE0__Btheta7330_02023
ERR1913315.471080__1.471080	820__A0A374Q4X1__HMPREF2141_02370
ERR1913315.471146__1.471146	328813__A0A1Y3QQH7__B5G41_13925
ERR1913315.471499__1.471499	39488__A0A285Q0V4__paaK_1
ERR1913315.471568__1.471568	187327__U2VMS3__ACDG_00972
ERR1913315.471627__1.471627	821__A0A173XDD3__DXB82_17180
ERR1913315.471635__1.471635	556259__E5C8S0__BSGG_1769
ERR1913315.471593__1.471593	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913315.471811__1.471811	418240__A0A174MZV1__ERS852523_01489
ERR1913315.471840__1.471840	46506__B0NT08__BACSTE_02624
ERR1913315.471941__1.471941	820__A0A174QLF0__SAMN05444418_109151
ERR1913315.471970__1.471970	821__A0A174NSU0__BVU_3144
ERR1913315.471991__1.471991	28116__A0A1H4GBQ8__HMPREF1017_04241
ERR1913315.471996__1.471996	821__A0A3E4HP25__SAMN04487923_102450
ERR1913315.472017__1.472017	1550024__A0A3B9WFL2__ASJ35_03875
ERR1913315.472182__1.472182	187327__U2U4L1__Acin_2007
ERR1913315.472190__1.472190	821__A0A173XDD3__DXB82_17180
ERR1913315.472288__1.472288	1262869__R7CQK4__BN625_01693
ERR1913315.472304__1.472304	169435__A0A174LBQ1__ANACOL_01081
ERR1913315.472325__1.472325	820__A0A3E4XDK3__ERS852554_03650
ERR1913315.472393__1.472393	328813__A0A1Y3QZ24__B5G41_08040
ERR1913315.472427__1.472427	820__A0A139KG60__M094_2679
ERR1913315.472524__1.472524	820__A7V470__HMPREF1072_02076
ERR1913315.472551__1.472551	820__A7V9F9__B5G17_14640
ERR1913315.472595__1.472595	28116__I9ST00__M088_5588
ERR1913315.472607__1.472607	246787__A0A3D6AWJ7__AA416_00506
ERR1913315.472612__1.472612	187327__G4Q720__ACDG_00890
ERR1913315.472642__1.472642	820__A0A174R952__DXB48_02570
ERR1913315.472752__1.472752	821__A0A395UNT8__DXD64_15275
ERR1913315.472796__1.472796	1680__R5GRA4__ERS852382_01548
ERR1913315.472759__1.472759	821__A0A396F9T7__M097_3427
ERR1913315.472766__1.472766	1680__R5GRA4__ERS852382_01548
ERR1913315.472871__1.472871	820__A0A374Q854__HMPREF1073_03281
ERR1913315.472921__1.472921	487174__K0X068__DDY40_07105
ERR1913315.473180__1.473180	28116__A7LS02__DXF98_24100
ERR1913315.473213__1.473213	818__R7KV41__Btheta7330_04616
ERR1913315.473254__1.473254	821__A0A3E4KIM1__M097_3660
ERR1913315.473394__1.473394	820__A0A3E4VXP2__yesR
ERR1913315.473444__1.473444	1150298__A0A174FT27__ERS852535_01803
ERR1913315.473530__1.473530	39486__B0G950__DXD50_13080
ERR1913315.473646__1.473646	1655__J2ZRV2__HMPREF1129_2537
ERR1913315.473835__1.473835	74426__thrZ
ERR1913315.473895__1.473895	823__D7IUM6__M091_1082
ERR1913315.474069__1.474069	187327__G4Q2J7__ACDG_01693
ERR1913315.474179__1.474179	28116__D7K2E0__endOF2_3
ERR1913315.474376__1.474376	246787__I8V2S2__BACCELL_02524
ERR1913315.474442__1.474442	47678__R5U558__ERS852558_02232
ERR1913315.474415__1.474415	387090__S0F8B2__BACCOPRO_02129
ERR1913315.474492__1.474492	1776081__A0A1B8WVK5__A0U42_01140
ERR1913315.474504__1.474504	35833__E5Y5K9__HMPREF0179_01472
ERR1913315.474615__1.474615	820__A0A174M9V5__M093_0237
ERR1913315.474672__1.474672	39486__B0G2J6__DXB12_13190
ERR1913315.474729__1.474729	40518__R5DXW3__DXD86_07900
ERR1913315.474792__1.474792	820__A0A3E4QZJ7__C801_01798
ERR1913315.474843__1.474843	821__A0A0P0L952__M097_4235
ERR1913315.474902__1.474902	823__C7XA51__BDI_0499
ERR1913315.474975__1.474975	820__A0A174LJB2__HMPREF1072_04112
ERR1913315.474984__1.474984	387090__S0F8B2__BACCOPRO_02129
ERR1913315.475140__1.475140	818__A0A1H7X9X1__SAMN02910322_04797
ERR1913315.475556__1.475556	187327__G4Q5W8__Acin_0015
ERR1913315.475561__1.475561	301302__A0A173S3L8__vpr
ERR1913315.475771__1.475771	301302__R5VF67__M72_01841
ERR1913315.475807__1.475807	820__I9J701__ERS852510_01809
ERR1913315.475812__1.475812	820__A0A174TRB5__DXD40_11305
ERR1913315.475896__1.475896	40518__R5DZC6__mreC
ERR1913315.475898__1.475898	28116__F7L4N5__BACOVA_00137
ERR1913315.475925__1.475925	820__A0A3E4VXP2__yesR
ERR1913315.475951__1.475951	821__A0A174JYD3__ERS852457_02610
ERR1913315.476078__1.476078	820__A0A3E4WA06__ERS852554_03404
ERR1913315.476177__1.476177	820__A0A3E4VZY4__ERS852554_01211
ERR1913315.476218__1.476218	820__A0A174LJB2__HMPREF1072_04112
ERR1913315.476371__1.476371	820__A7V092__hldE
ERR1913315.476472__1.476472	487174__K0WZ94__HMPREF9448_00984
ERR1913315.476654__1.476654	214856__R6XKW1__ERS852559_01141
ERR1913315.476709__1.476709	39491__A0A395UYA6__EUBREC_0408
ERR1913315.476717__1.476717	40518__R5DLJ7__lytR_4
ERR1913315.476735__1.476735	820__A0A374Q854__HMPREF1073_03281
ERR1913315.476904__1.476904	40520__R7DD10__glgB
ERR1913315.476935__1.476935	1680__R5GRA4__ERS852382_01548
ERR1913315.476970__1.476970	823__A0A355XKR1__DHP27_04035
ERR1913315.477012__1.477012	820__A7UYX8__DXD40_11635
ERR1913315.477119__1.477119	28117__B0MXW9__ALIPUT_01981
ERR1913315.477136__1.477136	820__A0A174FUF0__HMPREF1073_03308
ERR1913315.477154__1.477154	487174__K0WUM9__HMPREF9448_02608
ERR1913315.477063__1.477063	820__A0A139KA34__B5G17_05520
ERR1913315.477254__1.477254	28116__D4WPD7__HMPREF1069_02183
ERR1913315.477377__1.477377	818__A0A174P8N7__BSIG_4141
ERR1913315.477717__1.477717	820__A7V9F9__B5G17_14640
ERR1913315.477772__1.477772	820__A0A374Q351__DXD40_05850
ERR1913315.477830__1.477830	1297617__A0A2U1CCT8__BIV19_01510
ERR1913315.477935__1.477935	187327__G4Q7A0__ACDG_00618
ERR1913315.477996__1.477996	1776081__A0A1B8WVQ9__A0U42_08120
ERR1913315.478019__1.478019	301301__A0A395V8E1__RHOM_11160
ERR1913315.478155__1.478155	147206__GCF_000156215.1_01297
ERR1913315.478204__1.478204	820__A0A3E4G2R7__DXC07_00510
ERR1913315.478412__1.478412	820__A0A174TRB5__DXD40_11305
ERR1913315.478334__1.478334	28116__E5C3L0__B5F02_21065
ERR1913315.478489__1.478489	556259__E5C7L7__BSGG_1676
ERR1913315.478767__1.478767	28117__B0MWP2__ALIPUT_01468
ERR1913315.478738__1.478738	820__A0A3E4RUC4__DHU98_02635
ERR1913315.478819__1.478819	40518__R5DSI5__fieF
ERR1913315.478822__1.478822	39488__A0A174JH77__EUBHAL_03278
ERR1913315.478867__1.478867	28118__F9Z9Z7__B5F99_12650
ERR1913315.478871__1.478871	820__A0A139KHD8__ERS417307_00569
