ERR1913048.648__1.648	166486__D4KZH8__ERS852572_00419
ERR1913048.4077238__1.4077238	147206__GCF_000156215.1_01775
ERR1913048.4077315__1.4077315	1501391__GCA_000786575.1_00115
ERR1913048.4077333__1.4077333	820__A0A174FUF0__HMPREF1073_03308
ERR1913048.4077540__1.4077540	328814__GCA_004558275.1_02167
ERR1913048.4077948__1.4077948	28117__B0MTV3__BHV66_06405
ERR1913048.4078185__1.4078185	88431__A0A174KC10__ERS852423_00293
ERR1913048.4078602__1.4078602	1262927__R7EX56__BN677_00089
ERR1913048.4078699__1.4078699	1262927__R7EX56__BN677_00089
ERR1913048.4078750__1.4078750	29361__B6FKH5__CLONEX_00621
ERR1913048.4078874__1.4078874	1472761__GCA_002159295.1_00660
ERR1913048.4079185__1.4079185	901__B6WXH2__DESPIGER_1643
ERR1913048.4079271__1.4079271	301301__A0A395V957__RHOM_14115
ERR1913048.4079446__1.4079446	328814__GCA_004558275.1_00290
ERR1913048.4079455__1.4079455	1262927__R7EX56__BN677_00089
ERR1913048.4080215__1.4080215	1263000__R5EGY6__BN466_00973
ERR1913048.4080293__1.4080293	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913048.4080985__1.4080985	901__B6WQB0__DHV46_07090
ERR1913048.4081459__1.4081459	820__A0A139KEW8__DXB64_06405
ERR1913048.4081503__1.4081503	901__B6WVE0__DESPIG_02056
ERR1913048.4081696__1.4081696	1262743__R5C9G8__BN727_01341
ERR1913048.4081956__1.4081956	853__A8SB03__C4Q21_07960
ERR1913048.4082003__1.4082003	1262911__R6GZX7__BN557_00838
ERR1913048.4082208__1.4082208	901__B6WXH2__DESPIGER_1643
ERR1913048.4082312__1.4082312	166486__D4KWT3__ROSINTL182_05973
ERR1913048.4082502__1.4082502	357276__A0A076ITU4__EL88_22160
ERR1913048.4082766__1.4082766	1262927__R7EX56__BN677_00089
ERR1913048.4082814__1.4082814	1262927__R7EX56__BN677_00089
ERR1913048.4082857__1.4082857	901__B6WY92__DESPIG_03073
ERR1913048.4083762__1.4083762	1628085__A0A2U1BAW1__C7386_11048
ERR1913048.4084166__1.4084166	2108523__A0A2P2F4H9__LAWASA_905
ERR1913048.4084748__1.4084748	853__E2ZGD9__C7J97_11715
ERR1913048.4084734__1.4084734	28117__B0MWH8__BHV66_01330
ERR1913048.4084976__1.4084976	328814__GCA_004558275.1_00056
ERR1913048.4085169__1.4085169	410072__A0A3E4GT65__ERS852574_02325
ERR1913048.4085438__1.4085438	28052__R7NEJ4__ERS852451_01746
ERR1913048.4085715__1.4085715	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1913048.4085920__1.4085920	1897011__A0A1Q6RE22__BHW41_04590
ERR1913048.4085992__1.4085992	1550024__A0A3B9WKW6__TQ39_07780
ERR1913048.4086041__1.4086041	901__B6WRB3__DESPIGER_0300
ERR1913048.4086058__1.4086058	901__B6WSK7__DESPIGER_0721
ERR1913048.4086297__1.4086297	214856__I3YPQ3__Alfi_2711
ERR1913048.4086537__1.4086537	1263000__R5EET9__BN466_01245
ERR1913048.4086793__1.4086793	853__A0A3E2U7E6__ERS852582_01640
ERR1913048.4086961__1.4086961	1262927__R7EX56__BN677_00089
ERR1913048.4087224__1.4087224	46228__B5CKT3__RUMLAC_00047
ERR1913048.4087587__1.4087587	147206__GCF_000156215.1_01774
ERR1913048.4087841__1.4087841	853__A0A3E2V168__FAEPRAM212_00929
ERR1913048.4088129__1.4088129	1263000__R5EQI3__BN466_00125
ERR1913048.4088348__1.4088348	745368__A0A1T4XL98__SAMN02745178_01986
ERR1913048.4088498__1.4088498	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913048.4088527__1.4088527	853__A0A173T751__C4N24_10280
ERR1913048.4088558__1.4088558	446660__GCA_003428235.1_00331
ERR1913048.4088643__1.4088643	1150298__A0A174MLY5__ERS852498_01797
ERR1913048.4088753__1.4088753	1262777__R5VM31__BN512_00609
ERR1913048.4088948__1.4088948	674529__R6UY37__SAMN05444400_12650
ERR1913048.4088936__1.4088936	446660__GCA_003428235.1_00878
ERR1913048.4089073__1.4089073	1501391__GCA_000786575.1_00026
ERR1913048.4089111__1.4089111	821__A0A395US34__C5Z04_18975
ERR1913048.4089175__1.4089175	74426__pta
ERR1913048.4089177__1.4089177	74426__rpoC
ERR1913048.4089827__1.4089827	901__B6WTX7__DESPIGER_1193
ERR1913048.4089975__1.4089975	1897011__A0A1Q6RIP7__BHW41_00530
ERR1913048.4090150__1.4090150	1897011__A0A1Q6RGG6__BHW41_02770
ERR1913048.4090208__1.4090208	901__B6WXI0__DHV46_02055
ERR1913048.4090285__1.4090285	853__A0A3E2U7E6__ERS852582_01640
ERR1913048.4090290__1.4090290	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913048.4090372__1.4090372	40520__R7D610__ERS852533_02951
ERR1913048.4090471__1.4090471	1897011__A0A1Q6RFG0__BHW41_03665
ERR1913048.4090694__1.4090694	216816__C2GV16__APC1504_1666
ERR1913048.4091880__1.4091880	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913048.4091999__1.4091999	1263000__R5EC87__BN466_00713
ERR1913048.4091941__1.4091941	1262927__R7EX56__BN677_00089
ERR1913048.4092076__1.4092076	387661__B7B704__B5F96_16210
ERR1913048.4092132__1.4092132	1897011__A0A1Q6RH12__BHW41_01505
ERR1913048.4092101__1.4092101	1262927__R7EX56__BN677_00089
ERR1913048.4092211__1.4092211	1262927__R7EX56__BN677_00089
ERR1913048.4092222__1.4092222	1262911__R6GLF4__BN557_01493
ERR1913048.4092371__1.4092371	901__B6WXF1__DESPIGER_1660
ERR1913048.4092377__1.4092377	376805__F0QZX4__Bacsa_0543
ERR1913048.4092435__1.4092435	1262927__R7EX56__BN677_00089
ERR1913048.4092583__1.4092583	936548__J0SVZ6__HMPREF1136_0748
ERR1913048.4092650__1.4092650	28117__B0MY34__BHV66_05195
ERR1913048.4092763__1.4092763	214856__A0A173Z1B0__ERS852447_00765
ERR1913048.4092817__1.4092817	216816__V6XY04__APK78_02285
ERR1913048.4093078__1.4093078	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913048.4093080__1.4093080	901__B6WVE0__DESPIG_02056
ERR1913048.4093187__1.4093187	853__A0A174C5M1__CGS58_04460
ERR1913048.4093289__1.4093289	1262927__R7EX56__BN677_00089
ERR1913048.4093476__1.4093476	1262927__R7EX56__BN677_00089
ERR1913048.4093482__1.4093482	1897011__A0A1Q6RJI3__BHW41_00255
ERR1913048.4093773__1.4093773	901__B6WTX7__DESPIGER_1193
ERR1913048.4093907__1.4093907	376805__F0R0I7__Bacsa_0627
ERR1913048.4093926__1.4093926	310298__B3JQJ5__BACCOP_04231
ERR1913048.4094116__1.4094116	821__E5UPR6__SAMN04487923_101768
ERR1913048.4094239__1.4094239	487174__R5G1E8__DIT83_00510
ERR1913048.4094461__1.4094461	901__B6WTX7__DESPIGER_1193
ERR1913048.4094568__1.4094568	1897011__A0A1Q6REX0__BHW41_04225
ERR1913048.4094605__1.4094605	1501391__GCA_000786575.1_00092
ERR1913048.4094675__1.4094675	821__A0A0P0LJ37__DXB82_14270
ERR1913048.4095005__1.4095005	1262992__R5CY03__BN795_01148
ERR1913048.4095017__1.4095017	901__B6WX14__mviN
ERR1913048.4095049__1.4095049	745368__A0A1T4Y8U9__SAMN02745178_02851
ERR1913048.4095471__1.4095471	853__A0A3E2U7E6__ERS852582_01640
ERR1913048.4095481__1.4095481	360807__A0A0M6WCK5__ROSEINA2194_01361
ERR1913048.4095720__1.4095720	1897011__A0A1Q6RD70__BHW41_05845
ERR1913048.4095963__1.4095963	1897011__A0A1Q6RFH2__BHW41_03500
ERR1913048.4096029__1.4096029	28117__R7JPX7__BHV66_00900
ERR1913048.4096099__1.4096099	745368__A0A1T4X705__SAMN02745178_01472
ERR1913048.4096369__1.4096369	901__B6WR27__lnt
ERR1913048.4096459__1.4096459	28117__B0MU57__ALIPUT_00175
ERR1913048.4096553__1.4096553	901__B6WWB4__DESPIGER_2273
ERR1913048.4096643__1.4096643	1262911__R6HI44__BN557_01691
ERR1913048.4096839__1.4096839	1897011__A0A1Q6REX7__BHW41_04490
ERR1913048.4096875__1.4096875	33025__A0A395J8M7__C8D73_11411
ERR1913048.4097055__1.4097055	301301__A0A395V8E1__RHOM_11160
ERR1913048.4097571__1.4097571	28117__B0MTV0__BHV66_06395
ERR1913048.4098156__1.4098156	28052__R6JVH3__ERS852499_00454
ERR1913048.4098177__1.4098177	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913048.4098182__1.4098182	166486__D4KZP0__ERS852572_00486
ERR1913048.4098362__1.4098362	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913048.4098890__1.4098890	1262927__R7EX56__BN677_00089
ERR1913048.4099381__1.4099381	1897011__A0A1Q6RGG6__BHW41_02770
ERR1913048.4099574__1.4099574	901__A0A1K1LF78__DESPIGER_1556
ERR1913048.4099542__1.4099542	901__B6WVE0__DESPIG_02056
ERR1913048.4099741__1.4099741	821__A0A395UNT8__DXD64_15275
ERR1913048.4099818__1.4099818	626929__F3PIQ8__B5F24_04010
ERR1913048.4100620__1.4100620	1262927__R7EX56__BN677_00089
ERR1913048.4100789__1.4100789	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913048.4100821__1.4100821	28117__B0MXW9__ALIPUT_01981
ERR1913048.4101191__1.4101191	901__B6WVN3__DHV46_02690
ERR1913048.4101450__1.4101450	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1913048.4101753__1.4101753	1262886__R6Q6Q1__BN563_00546
ERR1913048.4102256__1.4102256	1263000__R5EGY6__BN466_00973
ERR1913048.4102697__1.4102697	853__D4K7X0__DW905_09540
ERR1913048.4102794__1.4102794	147206__GCF_000156215.1_01108
ERR1913048.4102966__1.4102966	28117__B0MVL5__BHV66_01660
ERR1913048.4103106__1.4103106	28117__B0MXW9__ALIPUT_01981
ERR1913048.4103231__1.4103231	1262927__R7EX56__BN677_00089
ERR1913048.4103203__1.4103203	901__B6WVE0__DESPIG_02056
ERR1913048.4103480__1.4103480	1262927__R7EX56__BN677_00089
ERR1913048.4103797__1.4103797	901__B6WUH5__DESPIGER_1779
ERR1913048.4104193__1.4104193	901__B6WXH1__DESPIGER_1644
ERR1913048.4104196__1.4104196	853__A0A2A7B9I6__DW855_13690
ERR1913048.4104180__1.4104180	1262927__R7EX56__BN677_00089
ERR1913048.4104279__1.4104279	853__A0A2A7B9I6__DW855_13690
ERR1913048.4104286__1.4104286	360807__A0A174F8N1__ERS852444_00648
ERR1913048.4104483__1.4104483	901__B6WXI1__DESPIGER_1636
ERR1913048.4104619__1.4104619	1262927__R7EX56__BN677_00089
ERR1913048.4104583__1.4104583	166486__D4KW03__ERS852572_03114
ERR1913048.4104789__1.4104789	471189__GCA_003340385.1_00167
ERR1913048.4104990__1.4104990	1897011__A0A1Q6RHB1__BHW41_01830
ERR1913048.4105083__1.4105083	1263000__R5EWT9__BN466_02076
ERR1913048.4105202__1.4105202	1262911__R6H1D2__BN557_00855
ERR1913048.4105586__1.4105586	853__A0A3E2U7E6__ERS852582_01640
ERR1913048.4105662__1.4105662	28118__F9ZCN9__DHW44_07820
ERR1913048.4105710__1.4105710	1262911__R6GP58__BN557_00798
ERR1913048.4106030__1.4106030	1263000__R5EXF8__BN466_01942
ERR1913048.4106165__1.4106165	214856__A0A173YXX1__ERS852559_01651
ERR1913048.4106196__1.4106196	1262927__R7EX56__BN677_00089
ERR1913048.4106286__1.4106286	216816__C2GW26__chb
ERR1913048.4107009__1.4107009	1262927__R7EX56__BN677_00089
ERR1913048.4107219__1.4107219	1263000__R5EUM2__BN466_01747
ERR1913048.4107310__1.4107310	901__B6WV45__DESPIGER_1962
ERR1913048.4107845__1.4107845	1263000__R5EGY6__BN466_00973
ERR1913048.4107886__1.4107886	487174__K0X789__DIT83_10440
ERR1913048.4108163__1.4108163	853__A0A3E2V168__FAEPRAM212_00929
ERR1913048.4108444__1.4108444	1262927__R7EX56__BN677_00089
ERR1913048.4108496__1.4108496	246787__R6LGB3__BcellWH2_02361
ERR1913048.4108657__1.4108657	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1913048.4108744__1.4108744	572010__hgdC_1
ERR1913048.4109010__1.4109010	357276__A0A0M1W657__HMPREF1064_04629
ERR1913048.4109053__1.4109053	821__A0A0P0LFP6__C5Z04_13890
ERR1913048.4109155__1.4109155	901__B6WTQ4__DESPIGER_1255
ERR1913048.4109336__1.4109336	820__A7V859__ERS852462_00341
ERR1913048.4109472__1.4109472	1263000__R5ESM1__BN466_01440
ERR1913048.4109701__1.4109701	853__A0A174C5M1__CGS58_04460
ERR1913048.4109847__1.4109847	1263000__R5EKG2__BN466_02040
ERR1913048.4109909__1.4109909	1897011__A0A1Q6RDG0__BHW41_05600
ERR1913048.4110227__1.4110227	1897011__A0A1Q6RIA0__BHW41_01275
ERR1913048.4110241__1.4110241	166486__C7GAX1__ERS852572_03188
ERR1913048.4110279__1.4110279	376805__F0QZX4__Bacsa_0543
ERR1913048.4110472__1.4110472	1262927__R7EX56__BN677_00089
ERR1913048.4110796__1.4110796	46228__V8CE19__DXD17_01950
ERR1913048.4111322__1.4111322	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913048.4111473__1.4111473	1897011__A0A1Q6REZ1__BHW41_04525
ERR1913048.4111481__1.4111481	1262911__R6H0U7__BN557_01104
ERR1913048.4111579__1.4111579	28117__B0MTS2__ALIPUT_00159
ERR1913048.4111691__1.4111691	214856__A0A174CRY5__ERS852559_01060
ERR1913048.4111773__1.4111773	1660__A0A0V8RRB7__ACTODO_01534
ERR1913048.4112153__1.4112153	46228__B5CN43__DXD17_14210
ERR1913048.4112197__1.4112197	1263044__GCA_000433375.1_00653
ERR1913048.4112881__1.4112881	901__B6WWW5__DESPIGER_2454
ERR1913048.4113210__1.4113210	1262927__R7EX56__BN677_00089
ERR1913048.4113315__1.4113315	28117__R7JJM9__ALIPUT_00662
ERR1913048.4113968__1.4113968	745368__A0A1T4XL98__SAMN02745178_01986
ERR1913048.4113984__1.4113984	1897011__A0A1Q6RD95__BHW41_05725
ERR1913048.4114181__1.4114181	1796613__A0A1C7GZG2__ADH74_03485
ERR1913048.4114260__1.4114260	487174__K0WYG0__DDY40_00295
ERR1913048.4114386__1.4114386	292800__A0A174RYT6__HMPREF9460_02288
ERR1913048.4114503__1.4114503	901__B6WX14__mviN
ERR1913048.4114579__1.4114579	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913048.4114877__1.4114877	1262927__R7EX56__BN677_00089
ERR1913048.4115063__1.4115063	901__B6WTW8__DESPIGER_1202
ERR1913048.4115235__1.4115235	47678__R5UES7__sipS
ERR1913048.4115769__1.4115769	818__R7KLE6__BJP75_004275
ERR1913048.4115782__1.4115782	487174__K0XA68__DDY40_04135
ERR1913048.4115910__1.4115910	290054__A0A1T4NGJ6__SAMN02745114_01599
ERR1913048.4115958__1.4115958	901__B6WXF1__DESPIGER_1660
ERR1913048.4116041__1.4116041	216816__B3DNW2__BL171B_07980
ERR1913048.4116232__1.4116232	1897011__A0A1Q6RHX0__BHW41_00740
ERR1913048.4116329__1.4116329	214856__R6Y1K2__ERS852447_02306
ERR1913048.4116455__1.4116455	166486__D4KZP0__ERS852572_00486
ERR1913048.4116729__1.4116729	853__A0A3E2U7E6__ERS852582_01640
ERR1913048.4116945__1.4116945	1262927__R7EX56__BN677_00089
ERR1913048.4117360__1.4117360	1203556__S2ZF80__HMPREF1478_00680
ERR1913048.4117569__1.4117569	1263044__GCA_000433375.1_00652
ERR1913048.4117749__1.4117749	821__A0A397WGD6__M098_0084
ERR1913048.4117784__1.4117784	853__A0A329UEG4__CHR60_00585
ERR1913048.4117956__1.4117956	820__A0A174NUS8__DXC80_12885
ERR1913048.4118130__1.4118130	2108523__A0A2P2F666__LAWASA_1491
ERR1913048.4118559__1.4118559	820__A0A139K4T0__ERS852510_03146
ERR1913048.4118502__1.4118502	301301__A0A395V957__RHOM_14115
ERR1913048.4118692__1.4118692	1262927__R7EX56__BN677_00089
ERR1913048.4119344__1.4119344	901__B6WUN6__DHV46_11020
ERR1913048.4119468__1.4119468	28117__B0MTV3__BHV66_06405
ERR1913048.4119481__1.4119481	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913048.4119483__1.4119483	487174__K0X1D9__HMPREF9448_00919
ERR1913048.4119578__1.4119578	446660__GCA_003428235.1_00687
ERR1913048.4120507__1.4120507	901__B6WQH5__DESPIG_00299
ERR1913048.4121167__1.4121167	1262927__R7EX56__BN677_00089
ERR1913048.4121600__1.4121600	853__A8SB03__C4Q21_07960
ERR1913048.4121763__1.4121763	1262927__R7EX56__BN677_00089
ERR1913048.4121830__1.4121830	47678__A5ZEA3__ERS852558_00257
ERR1913048.4122101__1.4122101	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913048.4122121__1.4122121	1262927__R7EX56__BN677_00089
ERR1913048.4122134__1.4122134	1897011__A0A1Q6REU8__BHW41_04300
ERR1913048.4122291__1.4122291	821__A0A0P0LFP6__C5Z04_13890
ERR1913048.4122792__1.4122792	820__A0A174M9V5__M093_0237
ERR1913048.4123153__1.4123153	901__B6WTQ4__DESPIGER_1255
ERR1913048.4123329__1.4123329	1262911__R6GUQ4__BN557_01581
ERR1913048.4123484__1.4123484	901__B6WTQ4__DESPIGER_1255
ERR1913048.4123635__1.4123635	1263000__R5EC87__BN466_00713
ERR1913048.4123748__1.4123748	821__A0A0P0M405__DXC02_15075
ERR1913048.4123949__1.4123949	745368__A0A1T4XVH8__SAMN02745178_02336
ERR1913048.4123961__1.4123961	1262911__R6H0U7__BN557_01104
ERR1913048.4124041__1.4124041	901__A0A1K1LG50__DESPIG_01817
ERR1913048.4124533__1.4124533	166486__D4KWZ7__cph2_5
ERR1913048.4124746__1.4124746	745368__A0A1T4WPN5__SAMN02745178_00931
ERR1913048.4124841__1.4124841	745368__A0A1T4XQT6__SAMN02745178_02143
ERR1913048.4124988__1.4124988	853__A0A3E2U7E6__ERS852582_01640
ERR1913048.4125115__1.4125115	901__B6WUN6__DHV46_11020
ERR1913048.4125159__1.4125159	1263000__R5EU91__BN466_01432
ERR1913048.4125235__1.4125235	394340__nifJ
ERR1913048.4125442__1.4125442	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913048.4126292__1.4126292	853__A0A3E2U7E6__ERS852582_01640
ERR1913048.4126984__1.4126984	214856__R6Y1K2__ERS852447_02306
ERR1913048.4127041__1.4127041	301301__A0A395VC27__adaA_5
ERR1913048.4127319__1.4127319	47678__R5U9M8__CGC64_07665
ERR1913048.4127421__1.4127421	1263000__R5EGY7__BN466_01478
ERR1913048.4127491__1.4127491	166486__R6B4E4__sinR_2
ERR1913048.4127543__1.4127543	853__A0A174BZY1__xerD_1
ERR1913048.4127548__1.4127548	169435__A0A174LBQ1__ANACOL_01081
ERR1913048.4127567__1.4127567	1897011__A0A1Q6RC30__BHW41_06700
ERR1913048.4127797__1.4127797	214856__A0A174EQR4__rsmA
ERR1913048.4128140__1.4128140	166486__D4L082__yicI_5
ERR1913048.4128526__1.4128526	1263000__R5EGY6__BN466_00973
ERR1913048.4129110__1.4129110	901__B6WQ97__DHV46_07025
ERR1913048.4129150__1.4129150	28117__B0MVL5__BHV66_01660
ERR1913048.4129336__1.4129336	1262927__R7EX56__BN677_00089
ERR1913048.4129432__1.4129432	1897011__A0A1Q6RHB1__BHW41_01830
ERR1913048.4129561__1.4129561	394340__dnaE
ERR1913048.4129715__1.4129715	820__A0A174GYA8__DXB64_07370
ERR1913048.4129827__1.4129827	1263000__R5EGY6__BN466_00973
ERR1913048.4129991__1.4129991	901__B6WXI1__DESPIGER_1636
ERR1913048.4130055__1.4130055	1262927__R7EX56__BN677_00089
ERR1913048.4130146__1.4130146	39496__A5Z5I2__EUBVEN_00963
ERR1913048.4130211__1.4130211	328814__GCA_004558275.1_00296
ERR1913048.4130541__1.4130541	901__A0A1K1LFD7__DHV46_01840
ERR1913048.4130621__1.4130621	1262911__R6GY78__BN557_00532
ERR1913048.4130815__1.4130815	901__B6WUH5__DESPIGER_1779
ERR1913048.4131126__1.4131126	1262989__R6ZEW9__BN815_01033
ERR1913048.4131247__1.4131247	147206__GCF_000156215.1_01777
ERR1913048.4131439__1.4131439	28117__B0MY41__BHV66_05165
ERR1913048.4131726__1.4131726	1262927__R7EX56__BN677_00089
ERR1913048.4131796__1.4131796	1501391__GCA_000786575.1_00075
ERR1913048.4131956__1.4131956	1262927__R7EX56__BN677_00089
ERR1913048.4132191__1.4132191	39488__A0A174DGL6__EUBHAL_03262
ERR1913048.4132171__1.4132171	853__A0A3E2U7E6__ERS852582_01640
ERR1913048.4132682__1.4132682	853__A0A3E2V168__FAEPRAM212_00929
ERR1913048.4132880__1.4132880	1897011__A0A1Q6RH61__BHW41_01970
ERR1913048.4133111__1.4133111	39491__A0A395ZGE4__ERS852497_01269
ERR1913048.4133206__1.4133206	1262989__R6Y7N9__BN815_01311
ERR1913048.4133302__1.4133302	1501391__GCA_000786575.1_00073
ERR1913048.4133604__1.4133604	446660__GCA_003428235.1_01598
ERR1913048.4133713__1.4133713	39485__A0A174YVL0__xynZ_2
ERR1913048.4134224__1.4134224	853__A0A3E2U7E6__ERS852582_01640
ERR1913048.4134386__1.4134386	39485__A0A175A273__plsX_2
ERR1913048.4134408__1.4134408	1263044__GCA_000433375.1_00678
ERR1913048.4134759__1.4134759	46228__B5CNQ2__HMPREF1202_00124
ERR1913048.4135471__1.4135471	328814__GCA_004558275.1_00293
ERR1913048.4135586__1.4135586	28116__R6JI94__ERS852555_01222
ERR1913048.4135921__1.4135921	853__A0A3E2U7E6__ERS852582_01640
ERR1913048.4136302__1.4136302	901__B6WUG8__DHV46_10540
ERR1913048.4136401__1.4136401	46228__B5CTE5__HMPREF1202_00334
ERR1913048.4136543__1.4136543	745368__A0A1T4Y9Q7__SAMN02745178_02874
ERR1913048.4136765__1.4136765	853__A8SCP3__C4N26_07960
ERR1913048.4136956__1.4136956	47678__R5UXY0__CGC64_03535
ERR1913048.4137270__1.4137270	853__A0A174UDE9__C4N25_12775
ERR1913048.4137258__1.4137258	1262927__R7EX56__BN677_00089
ERR1913048.4137646__1.4137646	1263000__R5EGY6__BN466_00973
ERR1913048.4138077__1.4138077	901__B6WYC3__DESPIG_03104
ERR1913048.4138228__1.4138228	901__B6WXF1__DESPIGER_1660
ERR1913048.4138622__1.4138622	166486__D4KWT3__ROSINTL182_05973
ERR1913048.4138648__1.4138648	360807__A0A1Q6T5F1__fliF
ERR1913048.4138736__1.4138736	166486__D4KZC1__btr_1
ERR1913048.4138797__1.4138797	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913048.4139031__1.4139031	821__A0A0P0L8F8__ERS852509_03705
ERR1913048.4139191__1.4139191	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913048.4139205__1.4139205	166486__D4L3D1__ERS852572_03371
ERR1913048.4139287__1.4139287	360807__A0A1Q6T5F1__fliF
ERR1913048.4139661__1.4139661	39485__A0A174YVB5__lyc
ERR1913048.4140095__1.4140095	46228__V8C7P7__HMPREF1202_01523
ERR1913048.4140127__1.4140127	823__D7IUM6__M091_1082
ERR1913048.4140179__1.4140179	166486__D4L255__mcp4_5
ERR1913048.4140355__1.4140355	821__A0A396F1N0__M099_1553
ERR1913048.4140412__1.4140412	901__B6WQ97__DHV46_07025
ERR1913048.4140483__1.4140483	936548__J0SMW4__HMPREF1136_1836
ERR1913048.4140679__1.4140679	166486__D4L1P3__ERS852572_00760
ERR1913048.4140794__1.4140794	147206__GCF_000156215.1_01774
ERR1913048.4140873__1.4140873	853__A0A2A6Z8X1__FPR_03410
ERR1913048.4141107__1.4141107	328814__GCA_004558275.1_00025
ERR1913048.4141228__1.4141228	39485__A0A175A403__EUBELI_20577
ERR1913048.4141234__1.4141234	901__B6WUH5__DESPIGER_1779
ERR1913048.4141236__1.4141236	853__A0A3E2V168__FAEPRAM212_00929
ERR1913048.4141241__1.4141241	39488__A0A173TCD3__lytR_1
ERR1913048.4141852__1.4141852	901__A0A1K1LF78__DESPIGER_1556
ERR1913048.4141821__1.4141821	1263000__R5EFA7__BN466_01197
ERR1913048.4141910__1.4141910	745368__A0A1T4XTU3__SAMN02745178_02321
ERR1913048.4142192__1.4142192	853__A0A3E2V168__FAEPRAM212_00929
ERR1913048.4142515__1.4142515	166486__D4L457__ROSINTL182_07087
ERR1913048.4142549__1.4142549	1263000__R5EET9__BN466_01245
ERR1913048.4142740__1.4142740	214856__I3YPI7__pepD_1
ERR1913048.4142812__1.4142812	147206__GCF_000156215.1_01776
ERR1913048.4142996__1.4142996	61171__B9Y5T8__HOLDEFILI_01170
ERR1913048.4143144__1.4143144	1262927__R7EX56__BN677_00089
ERR1913048.4143207__1.4143207	901__A0A1K1LG50__DESPIG_01817
ERR1913048.4143696__1.4143696	1262927__R7EX56__BN677_00089
ERR1913048.4143682__1.4143682	74426__group_4823
ERR1913048.4144199__1.4144199	2108523__A0A2P2F586__LAWASA_1166
ERR1913048.4144510__1.4144510	46503__K5ZX50__dnaG_1
ERR1913048.4144568__1.4144568	1262743__R5C9G8__BN727_01341
ERR1913048.4145290__1.4145290	29361__B6FKH5__CLONEX_00621
ERR1913048.4145332__1.4145332	901__B6WUI5__DESPIGER_1817
ERR1913048.4145344__1.4145344	28117__B0MXU0__BHV66_07550
ERR1913048.4145533__1.4145533	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1913048.4145637__1.4145637	328814__GCA_004558275.1_00290
ERR1913048.4146189__1.4146189	147206__GCF_000156215.1_01777
ERR1913048.4146409__1.4146409	1897011__A0A1Q6RHX0__BHW41_00740
ERR1913048.4146376__1.4146376	216816__A0A087BBV6__BFS26_06210
ERR1913048.4146424__1.4146424	328814__GCA_004558275.1_00293
ERR1913048.4146459__1.4146459	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913048.4146799__1.4146799	410072__A0A174EHQ6__ERS852481_02629
ERR1913048.4146820__1.4146820	544645__A0A3E4TA01__DXC42_07540
ERR1913048.4146993__1.4146993	1897011__A0A1Q6RDX0__BHW41_05325
ERR1913048.4147033__1.4147033	901__B6WVR4__DESPIGER_2125
ERR1913048.4147290__1.4147290	1150298__R7JRK4__ERS852406_01648
ERR1913048.4147274__1.4147274	901__B6WR15__DESPIGER_0142
ERR1913048.4147603__1.4147603	360807__A0A396AFY2__ERS852444_00427
ERR1913048.4147842__1.4147842	1263000__R5EXT3__BN466_02213
ERR1913048.4147900__1.4147900	853__A0A174C5M1__CGS58_04460
ERR1913048.4148041__1.4148041	360807__A0A0M6WIS4__ROSEINA2194_02000
ERR1913048.4148204__1.4148204	1262911__R6HHR1__BN557_01622
ERR1913048.4148266__1.4148266	1263000__R5EPJ2__BN466_00954
ERR1913048.4148466__1.4148466	166486__D4KJ39__ERS852572_02622
ERR1913048.4148929__1.4148929	460384__A0A1I0FN94__C7256_12665
ERR1913048.4148900__1.4148900	74426__purL
ERR1913048.4149019__1.4149019	28117__R7JJM9__ALIPUT_00662
ERR1913048.4149028__1.4149028	901__A0A1K1LGQ2__DESPIG_02072
ERR1913048.4149057__1.4149057	28117__B0MTS2__ALIPUT_00159
ERR1913048.4149142__1.4149142	901__B6WR31__DESPIG_00511
ERR1913048.4149613__1.4149613	1262927__R7EX56__BN677_00089
ERR1913048.4149985__1.4149985	853__A0A173RZ39__C4N22_01650
ERR1913048.4150164__1.4150164	292800__G9YVI7__yrrB
ERR1913048.4150242__1.4150242	745368__A0A1T4XQT6__SAMN02745178_02143
ERR1913048.4150313__1.4150313	901__B6WVE1__DESPIGER_2036
ERR1913048.4150957__1.4150957	1263000__R5EUG9__BN466_01476
