ERR1912995.212__1.212	301302__A0A173RZU9__M72_23561
ERR1912995.4447702__1.4447702	28111__E5WVI9__BACEGG_03583
ERR1912995.4447816__1.4447816	1262936__R7J354__BN799_00281
ERR1912995.4447966__1.4447966	216816__A0A2U0BLP0__tsaB
ERR1912995.4448271__1.4448271	1262911__R6GZX7__BN557_00838
ERR1912995.4448249__1.4448249	28052__R7N9Y1__spoIIE
ERR1912995.4448258__1.4448258	74426__groL
ERR1912995.4448322__1.4448322	487174__K0XKD7__HMPREF9448_01550
ERR1912995.4448769__1.4448769	39485__A0A174YTF7__ERS852490_01271
ERR1912995.4448736__1.4448736	1680__A7A7Z9__AAX71_05385
ERR1912995.4449204__1.4449204	1680__R5GRA4__ERS852382_01548
ERR1912995.4449371__1.4449371	2022527__A0A264Y8G4__CHL74_05770
ERR1912995.4449393__1.4449393	1897011__A0A1Q6RGX0__BHW41_01465
ERR1912995.4449547__1.4449547	39488__A0A173RXS4__ribF
ERR1912995.4449584__1.4449584	572010__rpoB
ERR1912995.4449601__1.4449601	45851__D4S0B1__BHV86_10120
ERR1912995.4449809__1.4449809	74426__rpoB
ERR1912995.4449878__1.4449878	39488__A0A174KVU1__EUBHAL_00302
ERR1912995.4449953__1.4449953	901__B6WR34__DHV46_00895
ERR1912995.4450074__1.4450074	239935__R6JFR5__CXT84_04850
ERR1912995.4450157__1.4450157	301302__R5VF67__M72_01841
ERR1912995.4450361__1.4450361	1680__A7A7Z9__AAX71_05385
ERR1912995.4450368__1.4450368	901__B6WUL1__DESPIG_01755
ERR1912995.4450350__1.4450350	131111__A0A0E9GAK3__CYJ25_07270
ERR1912995.4450375__1.4450375	239935__A0A2N8HL50__CXT98_09135
ERR1912995.4450602__1.4450602	1628085__A0A2U1BCH3__C7386_10746
ERR1912995.4450754__1.4450754	74426__purL
ERR1912995.4450770__1.4450770	2022527__A0A264YB77__CHL74_00090
ERR1912995.4450952__1.4450952	706562__GCA_900112995.1_00063
ERR1912995.4451043__1.4451043	1550024__G9RZ99__TQ39_02720
ERR1912995.4451464__1.4451464	1680__A0A174BEE7__BSTER_1311
ERR1912995.4451514__1.4451514	1680__A0A087DHN0__AL0462_1532
ERR1912995.4451604__1.4451604	901__B6WUH5__DESPIGER_1779
ERR1912995.4451613__1.4451613	820__A0A139K5A6__DXB48_12175
ERR1912995.4451690__1.4451690	301302__A0A173RYX5__ERS852420_00973
ERR1912995.4451752__1.4451752	508460__GCF_000585335.1_00264
ERR1912995.4451768__1.4451768	1262992__R5D303__BN795_01389
ERR1912995.4452057__1.4452057	1262882__R5MFK5__BN519_00378
ERR1912995.4452107__1.4452107	901__B6WPV2__DHV46_04070
ERR1912995.4452520__1.4452520	1550024__G9RW08__ASJ35_03155
ERR1912995.4452523__1.4452523	901__B6WXA0__aroE
ERR1912995.4452712__1.4452712	1689__W2VBL1__HMPREF9003_1410
ERR1912995.4453053__1.4453053	1262911__R6HG37__BN557_01341
ERR1912995.4453622__1.4453622	1680__A0A374QDL4__LMG18897_0432
ERR1912995.4453593__1.4453593	1262882__R5MMD8__BN519_01576
ERR1912995.4453770__1.4453770	1262936__R7IY78__BN799_00717
ERR1912995.4453776__1.4453776	1897011__A0A1Q6RE92__BHW41_04980
ERR1912995.4453791__1.4453791	1299998__GCA_001494635.1_00422
ERR1912995.4454084__1.4454084	45851__D4RYC5__BHV86_01930
ERR1912995.4454126__1.4454126	1262936__R7J0N1__BN799_01252
ERR1912995.4454368__1.4454368	39491__A0A173VYV1__DXC13_02710
ERR1912995.4454673__1.4454673	301302__R5UPH9__M72_00521
ERR1912995.4454674__1.4454674	1262936__R7J299__BN799_01949
ERR1912995.4454776__1.4454776	45851__D4RYK6__BHV86_00465
ERR1912995.4454974__1.4454974	1263027__R6ZI69__BN699_00845
ERR1912995.4454962__1.4454962	901__B6WQD5__DESPIG_00255
ERR1912995.4455481__1.4455481	1262936__R7J146__BN799_01697
ERR1912995.4455556__1.4455556	1262936__R7J360__BN799_00345
ERR1912995.4455703__1.4455703	39485__C4Z6J9__ERS852492_02049
ERR1912995.4455906__1.4455906	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1912995.4455944__1.4455944	901__B6WTS6__DESPIG_01483
ERR1912995.4456097__1.4456097	649756__A0A348YI82__ERS852520_03326
ERR1912995.4456653__1.4456653	28025__A0A0L7BUQ4__Balat_0268
ERR1912995.4456767__1.4456767	1262911__R6HG37__BN557_01341
ERR1912995.4456781__1.4456781	853__A0A3E2V168__FAEPRAM212_00929
ERR1912995.4456820__1.4456820	100884__E7GFK8__HMPREF9488_03551
ERR1912995.4456823__1.4456823	246787__A0A3D6AXJ7__BACCELL_02379
ERR1912995.4456857__1.4456857	45851__D4RXA4__BUTYVIB_00455
ERR1912995.4456893__1.4456893	1262882__R5MEK3__BN519_00296
ERR1912995.4457420__1.4457420	74426__group_4823
ERR1912995.4457670__1.4457670	301302__R5V5K3__M72_10541
ERR1912995.4457888__1.4457888	165179__D1PDT3__PREVCOP_05375
ERR1912995.4458248__1.4458248	820__A0A3E4QZJ7__C801_01798
ERR1912995.4458510__1.4458510	45851__R5LYV2__BHV86_00590
ERR1912995.4458635__1.4458635	1262936__R7IZZ2__BN799_01307
ERR1912995.4458645__1.4458645	1299998__GCA_001494635.1_00296
ERR1912995.4458803__1.4458803	147206__GCF_000156215.1_01777
ERR1912995.4458845__1.4458845	1262919__R5P6R9__BN465_01120
ERR1912995.4458907__1.4458907	1680__A0A087CWH8__ERS852382_00646
ERR1912995.4458908__1.4458908	572010__fusA
ERR1912995.4459046__1.4459046	301302__A0A0M6WJW1__ERS852420_02245
ERR1912995.4459060__1.4459060	572010__fusA
ERR1912995.4459073__1.4459073	216816__E8MW20__DD674_07905
ERR1912995.4459167__1.4459167	45851__R5LYV2__BHV86_00590
ERR1912995.4459267__1.4459267	147206__GCF_000156215.1_01777
ERR1912995.4459325__1.4459325	147207__adhE_1
ERR1912995.4459565__1.4459565	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1912995.4459584__1.4459584	1263000__R5EXT3__BN466_02213
ERR1912995.4459683__1.4459683	301302__R5UTE0__ERS852420_02625
ERR1912995.4459739__1.4459739	1680__A0A173XYA2__B0703_0121
ERR1912995.4459761__1.4459761	418240__A0A174UBH5__ERS852478_01387
ERR1912995.4459807__1.4459807	1680__A0A174BEE7__BSTER_1311
ERR1912995.4459955__1.4459955	1262911__R6GQM3__BN557_01245
ERR1912995.4459959__1.4459959	1262936__R7J3N4__BN799_00434
ERR1912995.4460664__1.4460664	39488__A0A173ZWK0__EHLA_2903
ERR1912995.4460873__1.4460873	28111__E5WUX3__HMPREF1016_00550
ERR1912995.4460879__1.4460879	901__B6WRL8__epaO
ERR1912995.4460906__1.4460906	165179__A0A3E5EBY9__CFT61_01220
ERR1912995.4461089__1.4461089	1550024__A0A0D8J1R1__ASJ35_08490
ERR1912995.4461146__1.4461146	901__B6WXK8__DESPIG_02835
ERR1912995.4461224__1.4461224	1262936__R7J420__BN799_00406
ERR1912995.4461869__1.4461869	1897011__A0A1Q6RHZ2__BHW41_00730
ERR1912995.4461963__1.4461963	901__A0A1K1LGQ2__DESPIG_02072
ERR1912995.4461986__1.4461986	901__B6WXF1__DESPIGER_1660
ERR1912995.4461992__1.4461992	1262924__R7HL71__BN585_01341
ERR1912995.4462467__1.4462467	301302__R5UMB3__M72_01421
ERR1912995.4462602__1.4462602	853__A0A2A7ATM9__DWZ89_13645
ERR1912995.4462612__1.4462612	45851__D4S1E0__BUTYVIB_01910
ERR1912995.4462940__1.4462940	471189__GCA_003340385.1_00704
ERR1912995.4463019__1.4463019	823__A0A173W1W2__M095_4076
ERR1912995.4463206__1.4463206	239935__A0A2N8ITX2__CXT86_11265
ERR1912995.4463267__1.4463267	901__B6WXI1__DESPIGER_1636
ERR1912995.4463306__1.4463306	165179__D1PDJ4__DXB80_08505
ERR1912995.4463413__1.4463413	1897011__A0A1Q6RDL4__BHW41_05540
ERR1912995.4463661__1.4463661	1262936__R7IYJ1__BN799_00810
ERR1912995.4463662__1.4463662	1262936__R7IYJ1__BN799_00810
ERR1912995.4463750__1.4463750	1897011__A0A1Q6REW8__BHW41_04435
ERR1912995.4463759__1.4463759	1262911__R6H2B5__BN557_01151
ERR1912995.4463831__1.4463831	45851__D4RWC6__BHV86_07010
ERR1912995.4463908__1.4463908	1262936__R7IY41__BN799_00608
ERR1912995.4463944__1.4463944	1897011__A0A1Q6RG62__BHW41_02455
ERR1912995.4464139__1.4464139	28117__R7JIJ8__BHV66_01635
ERR1912995.4464232__1.4464232	1628085__A0A374VV54__C7386_11332
ERR1912995.4464452__1.4464452	301302__A0A173UT39__M72_23901
ERR1912995.4464613__1.4464613	1262936__R7J354__BN799_00281
ERR1912995.4464807__1.4464807	1680__A0A087DHN0__AL0462_1532
ERR1912995.4464857__1.4464857	61171__B9Y5T8__HOLDEFILI_01170
ERR1912995.4464908__1.4464908	1262741__R6CZZ8__BN697_00602
ERR1912995.4465146__1.4465146	901__B6WUN9__DESPIGER_1850
ERR1912995.4465208__1.4465208	28111__R5JQQ7__NCTC11155_02278
ERR1912995.4465233__1.4465233	1150298__A0A174QSN4__rpoD
ERR1912995.4465619__1.4465619	1897011__A0A1Q6REX8__BHW41_04475
ERR1912995.4465625__1.4465625	1262911__R6H2J2__BN557_01228
ERR1912995.4465835__1.4465835	301302__R5UPH9__M72_00521
ERR1912995.4466003__1.4466003	1263027__R7AV02__BN699_02111
ERR1912995.4466025__1.4466025	216816__C5E9A6__mutT4
ERR1912995.4466028__1.4466028	39488__A0A173UQ83__mutY
ERR1912995.4466144__1.4466144	1262936__R7J146__BN799_01697
ERR1912995.4466179__1.4466179	1897011__A0A1Q6RG48__BHW41_02345
ERR1912995.4466256__1.4466256	301302__A0A0M6X038__M72_18501
ERR1912995.4466396__1.4466396	1680__A0A087DHN0__AL0462_1532
ERR1912995.4466553__1.4466553	820__A0A139K8N1__ERS852554_00951
ERR1912995.4466642__1.4466642	1262911__R6GJ95__BN557_01617
ERR1912995.4466712__1.4466712	39485__A0A174ZQ05__EUBELI_01606
ERR1912995.4466848__1.4466848	1263000__R5EXT3__BN466_02213
ERR1912995.4467123__1.4467123	2108523__A0A2P2F586__LAWASA_1166
ERR1912995.4467288__1.4467288	508460__GCF_000585335.1_00257
ERR1912995.4467380__1.4467380	40518__R5DZB3__RB5AMG_01719
ERR1912995.4467416__1.4467416	1262936__R7J1T7__BN799_01864
ERR1912995.4467971__1.4467971	45851__D4S200__BHV86_07815
ERR1912995.4467997__1.4467997	39491__A0A2U2EKL1__ERS852580_00911
ERR1912995.4468115__1.4468115	1262992__R5DCN3__BN795_00359
ERR1912995.4468416__1.4468416	1680__A0A1X3A951__AL0462_1583
ERR1912995.4468764__1.4468764	1897011__A0A1Q6RHZ2__BHW41_00730
ERR1912995.4468851__1.4468851	28052__R7N6Q7__rafA
ERR1912995.4468916__1.4468916	853__E2ZJT1__C4N23_03535
ERR1912995.4468959__1.4468959	39488__A0A173UK14__araC_3
ERR1912995.4468967__1.4468967	45851__D4S317__BUTYVIB_02469
ERR1912995.4469020__1.4469020	1262911__R6H1D2__BN557_00855
ERR1912995.4469083__1.4469083	1262936__R7IYH4__BN799_00795
ERR1912995.4469087__1.4469087	1262911__R6HLR5__BN557_00628
ERR1912995.4469132__1.4469132	1897011__A0A1Q6RHX0__BHW41_00740
ERR1912995.4469529__1.4469529	74426__rpoC
ERR1912995.4469565__1.4469565	820__A0A139JV05__B5G17_18125
ERR1912995.4469693__1.4469693	74426__sigA
ERR1912995.4469961__1.4469961	901__B6WXH1__DESPIGER_1644
ERR1912995.4470091__1.4470091	853__A0A173RZ39__C4N22_01650
ERR1912995.4470161__1.4470161	394340__group_3267
ERR1912995.4470203__1.4470203	45851__D4RYQ1__BHV86_00310
ERR1912995.4470631__1.4470631	552398__T5S086__HMPREF0866_01580
ERR1912995.4470805__1.4470805	901__B6WUI5__DESPIGER_1817
ERR1912995.4471450__1.4471450	39491__R6TQ09__DXC13_03010
ERR1912995.4471474__1.4471474	1262882__R5MQ68__BN519_01178
ERR1912995.4471636__1.4471636	45851__D4S1E0__BUTYVIB_01910
ERR1912995.4472143__1.4472143	45851__D4RWZ9__murF
ERR1912995.4472188__1.4472188	216816__B3DNW2__BL171B_07980
ERR1912995.4472819__1.4472819	2022527__A0A264Y5L2__CHL74_10875
ERR1912995.4472893__1.4472893	301301__A0A395V928__RHOM_04950
ERR1912995.4472946__1.4472946	1262911__R6GQM3__BN557_01245
ERR1912995.4473115__1.4473115	1263000__R5EXT3__BN466_02213
ERR1912995.4473125__1.4473125	1680__A0A087DHN0__AL0462_1532
ERR1912995.4473174__1.4473174	821__A0A395UNT8__DXD64_15275
ERR1912995.4473202__1.4473202	1680__A0A087DHN0__AL0462_1532
ERR1912995.4473264__1.4473264	1262924__R7HPZ6__BN585_00681
ERR1912995.4473267__1.4473267	165179__D1PCT4__DXB80_09470
ERR1912995.4473318__1.4473318	1550024__G9RW08__ASJ35_03155
ERR1912995.4473321__1.4473321	147206__GCF_000156215.1_00014
ERR1912995.4473352__1.4473352	1262936__R7J0N1__BN799_01252
ERR1912995.4473402__1.4473402	1232426__clpB
ERR1912995.4473466__1.4473466	384638__B7ARU3__BACPEC_01797
ERR1912995.4473483__1.4473483	45851__D4S141__BHV86_05760
ERR1912995.4473503__1.4473503	1262882__R5MZ41__BN519_00356
ERR1912995.4473936__1.4473936	901__B6WTQ4__DESPIGER_1255
ERR1912995.4474392__1.4474392	147206__GCF_000156215.1_01776
ERR1912995.4474402__1.4474402	147206__GCF_000156215.1_00014
ERR1912995.4474774__1.4474774	45851__D4RWY2__BHV86_07415
ERR1912995.4475009__1.4475009	39491__A0A395ZDC6__addB
ERR1912995.4475166__1.4475166	301301__A0A395V3C0__mcpC_6
ERR1912995.4475396__1.4475396	45851__D4RW43__BUTYVIB_00173
ERR1912995.4475638__1.4475638	147206__GCF_000156215.1_01775
ERR1912995.4475701__1.4475701	1262936__R7J5J9__BN799_00247
ERR1912995.4475801__1.4475801	1680__A0A0B5BIU5__BSTER_0145
ERR1912995.4475932__1.4475932	45851__D4RW73__BHV86_06745
ERR1912995.4475962__1.4475962	1262936__R7J0Q9__BN799_01513
ERR1912995.4475972__1.4475972	1680__A0A374QDL4__LMG18897_0432
ERR1912995.4476003__1.4476003	1897011__A0A1Q6RH29__BHW41_01570
ERR1912995.4476020__1.4476020	166486__A0A173VSA0__ROSINTL182_06124
ERR1912995.4476294__1.4476294	301302__A0A0M6WB53__mcp4_4
ERR1912995.4477194__1.4477194	328814__GCA_004558275.1_00073
ERR1912995.4477251__1.4477251	1262936__R7IZD7__BN799_01020
ERR1912995.4477285__1.4477285	901__B6WVN9__DESPIG_02157
ERR1912995.4477296__1.4477296	1897011__A0A1Q6RC34__BHW41_06455
ERR1912995.4477325__1.4477325	147206__GCF_000156215.1_01773
ERR1912995.4477340__1.4477340	1262882__R5N4P6__BN519_01346
ERR1912995.4477358__1.4477358	216816__B3DNW2__BL171B_07980
ERR1912995.4477686__1.4477686	301301__G2SX14__RHOM_09085
ERR1912995.4477812__1.4477812	1262936__R7J169__BN799_00083
ERR1912995.4477919__1.4477919	1263027__R7AXQ2__BN699_01139
ERR1912995.4478032__1.4478032	1262911__R6GS52__BN557_00834
ERR1912995.4478088__1.4478088	1263011__R6E5J3__BN553_00409
ERR1912995.4478263__1.4478263	1680__A0A087DHN0__AL0462_1532
ERR1912995.4478458__1.4478458	901__B6WYC9__DHV46_00060
ERR1912995.4478609__1.4478609	1262936__R7J169__BN799_00083
ERR1912995.4478638__1.4478638	1262911__R6GS52__BN557_00834
ERR1912995.4478938__1.4478938	45851__D4RWJ0__BHV86_05915
ERR1912995.4478940__1.4478940	1150298__A0A174CCD5__ERS852406_01310
ERR1912995.4479082__1.4479082	1680__A0A174BEE7__BSTER_1311
ERR1912995.4479124__1.4479124	1262936__R7J172__BN799_01663
ERR1912995.4479264__1.4479264	165179__A0A3E5EB26__CFT61_02800
ERR1912995.4479487__1.4479487	1262936__R7J420__BN799_00406
ERR1912995.4479780__1.4479780	1628085__A0A2U1B0V1__C7386_12415
ERR1912995.4479802__1.4479802	45851__D4S0B1__BHV86_10120
ERR1912995.4479831__1.4479831	239935__A0A2N8J2P6__ADH72_06730
ERR1912995.4479995__1.4479995	216816__F9XZU5__BBL306_1935
ERR1912995.4480097__1.4480097	216816__D6DC91__DXC72_07710
ERR1912995.4480774__1.4480774	301302__A0A173RZU9__M72_23561
ERR1912995.4480914__1.4480914	1680__A0A087DHN0__AL0462_1532
ERR1912995.4480981__1.4480981	40518__R5DXI4__DXD86_07420
ERR1912995.4481203__1.4481203	1680__A0A173W5Z2__DXC53_01290
ERR1912995.4481536__1.4481536	1472761__GCA_002159295.1_00927
ERR1912995.4481717__1.4481717	1262936__R7J1R1__BN799_00897
ERR1912995.4481808__1.4481808	901__B6WUF4__DESPIG_01712
ERR1912995.4481861__1.4481861	1262992__R5DC38__BN795_00276
ERR1912995.4482067__1.4482067	147206__GCF_000156215.1_01775
ERR1912995.4482113__1.4482113	39496__A5Z5I2__EUBVEN_00963
ERR1912995.4482242__1.4482242	745368__A0A1T4Y119__SAMN02745178_02629
ERR1912995.4482364__1.4482364	853__A0A3E2U7E6__ERS852582_01640
ERR1912995.4482440__1.4482440	2033405__A0A2L2WP67__PvtlMGM1_1949
ERR1912995.4482569__1.4482569	853__A0A173RZ39__C4N22_01650
ERR1912995.4482570__1.4482570	45851__D4S330__BHV86_03650
ERR1912995.4482589__1.4482589	1263027__R7A0N9__BN699_02367
ERR1912995.4482973__1.4482973	1299998__GCA_001494635.1_00345
ERR1912995.4482990__1.4482990	1262936__R7J0K5__BN799_01232
ERR1912995.4483392__1.4483392	301301__A0A395VG30__RHOM_05975
ERR1912995.4483873__1.4483873	39485__R5ZZA6__ERS852490_00168
ERR1912995.4483913__1.4483913	1680__A0A2R4G1K8__BBMN23_0315
ERR1912995.4483954__1.4483954	28111__R5JPF7__BACEGG_02051
ERR1912995.4484174__1.4484174	1628085__A0A2U1BFT1__C7386_102103
ERR1912995.4484184__1.4484184	74426__purL
ERR1912995.4484283__1.4484283	1680__R5GSL8__DXD60_03315
ERR1912995.4484390__1.4484390	216816__B3DNW2__BL171B_07980
ERR1912995.4484582__1.4484582	301302__A0A173TNM6__luxQ
ERR1912995.4485556__1.4485556	853__A0A173RZ39__C4N22_01650
ERR1912995.4485752__1.4485752	1262911__R6H2J2__BN557_01228
ERR1912995.4485797__1.4485797	1680__R5GRA4__ERS852382_01548
ERR1912995.4485835__1.4485835	2022527__A0A264Y8G4__CHL74_05770
ERR1912995.4485891__1.4485891	1262936__R7J1E6__BN799_01664
ERR1912995.4485961__1.4485961	1680__A0A087DHN0__AL0462_1532
ERR1912995.4486025__1.4486025	1262936__R7J0V7__BN799_01561
ERR1912995.4486067__1.4486067	1628085__A0A374VPL1__C7386_10315
ERR1912995.4486082__1.4486082	471189__GCA_003340385.1_00065
ERR1912995.4486137__1.4486137	1263006__R6LU28__BN515_01365
ERR1912995.4486827__1.4486827	1262924__R7HQ14__BN585_00419
ERR1912995.4486840__1.4486840	1897011__A0A1Q6RG37__BHW41_02405
ERR1912995.4486879__1.4486879	471189__GCA_003340385.1_00565
ERR1912995.4486894__1.4486894	1680__A0A374QDL4__LMG18897_0432
ERR1912995.4487462__1.4487462	1680__A0A173W5Z2__DXC53_01290
ERR1912995.4487469__1.4487469	901__B6WTT7__DESPIG_01494
ERR1912995.4487518__1.4487518	1263000__R5EXT3__BN466_02213
ERR1912995.4487521__1.4487521	1262882__R5MEK3__BN519_00296
ERR1912995.4488061__1.4488061	301302__A0A0M6WJB3__ERS852420_02173
ERR1912995.4488134__1.4488134	1262816__R6C849__BN687_01155
ERR1912995.4488353__1.4488353	853__A0A3E2U7E6__ERS852582_01640
ERR1912995.4488422__1.4488422	1628085__A0A2U1BGK0__C7386_10145
ERR1912995.4488490__1.4488490	39491__A0A395ZHW9__DXC13_02590
ERR1912995.4488617__1.4488617	1297617__A0A0S2W1V2__IB211_00824
ERR1912995.4488704__1.4488704	1262882__R5N3T7__BN519_01188
ERR1912995.4488791__1.4488791	301302__R5V631__ERS852420_03369
ERR1912995.4489178__1.4489178	1680__A1A1R1__BIFADO_00076
ERR1912995.4489339__1.4489339	1262929__R6EU13__BN691_01043
ERR1912995.4489404__1.4489404	1680__A0A174BEE7__BSTER_1311
ERR1912995.4489713__1.4489713	384639__GCA_003096855.1_00972
ERR1912995.4489872__1.4489872	1262959__R5XX28__BN680_00745
ERR1912995.4490179__1.4490179	630129__A0A087B617__BKAS_1320
ERR1912995.4490246__1.4490246	1263006__R6LU28__BN515_01365
ERR1912995.4490320__1.4490320	166486__D4L334__mcp3_1
ERR1912995.4490335__1.4490335	1262936__R7J5X5__BN799_00356
ERR1912995.4490653__1.4490653	1897011__A0A1Q6REW8__BHW41_04435
ERR1912995.4490781__1.4490781	39485__A0A1Q6PHD7__ERS852492_01801
ERR1912995.4490840__1.4490840	1262911__R6H0J9__BN557_01024
ERR1912995.4490863__1.4490863	1262924__R7HQS1__BN585_00657
ERR1912995.4490968__1.4490968	1628085__A0A2U1BH64__C7386_101226
ERR1912995.4490975__1.4490975	45851__D4S0C7__BHV86_10030
ERR1912995.4491049__1.4491049	74426__nifJ
ERR1912995.4491170__1.4491170	216816__Q8G4X6__DXD52_09895
ERR1912995.4491264__1.4491264	901__B6WXH2__DESPIGER_1643
ERR1912995.4491625__1.4491625	1262936__R7J3L8__BN799_00414
ERR1912995.4492006__1.4492006	301302__A0A0M6WF57__M72_22681
ERR1912995.4492074__1.4492074	45851__D4S2F2__BHV86_00830
ERR1912995.4492066__1.4492066	147206__GCF_000156215.1_01776
ERR1912995.4492386__1.4492386	1680__R5GKP2__DXD60_06200
ERR1912995.4492357__1.4492357	1262936__R7J1I2__BN799_01776
ERR1912995.4492450__1.4492450	45851__D4S080__BHV86_10275
ERR1912995.4492499__1.4492499	853__A0A173RZ39__C4N22_01650
ERR1912995.4492511__1.4492511	1262882__R5MSX6__BN519_01697
ERR1912995.4492610__1.4492610	1262882__R5N1N6__BN519_00968
ERR1912995.4493148__1.4493148	1897011__A0A1Q6RDB1__BHW41_05850
ERR1912995.4493212__1.4493212	45851__D4RYI3__BHV86_01630
ERR1912995.4493287__1.4493287	40518__R5E642__RBATCC27255_00729
ERR1912995.4493663__1.4493663	45851__D4S1R9__BHV86_08150
ERR1912995.4493853__1.4493853	74426__nifJ
ERR1912995.4493978__1.4493978	301302__A0A0M6WF57__M72_22681
ERR1912995.4494108__1.4494108	853__A0A2A7B1Y7__C7K05_11930
ERR1912995.4494252__1.4494252	172901__A0A2U1BA70__C8D82_102145
ERR1912995.4494331__1.4494331	1262924__R7HMZ4__BN585_01629
ERR1912995.4494560__1.4494560	1680__A0A374QDL4__LMG18897_0432
ERR1912995.4494950__1.4494950	46503__R6X5I4__ERS852463_01136
ERR1912995.4495175__1.4495175	28052__R7NAJ8__ERS852451_02374
ERR1912995.4495291__1.4495291	39485__C4Z390__EUBELI_01689
ERR1912995.4495293__1.4495293	28052__A0A174Z0G5__ERS852499_01843
ERR1912995.4495318__1.4495318	1897011__A0A1Q6RJU8__BHW41_00020
ERR1912995.4495419__1.4495419	1262911__R6GMD8__BN557_01647
ERR1912995.4495462__1.4495462	1262936__R7J1E6__BN799_01664
ERR1912995.4495499__1.4495499	1262911__R6H2J2__BN557_01228
ERR1912995.4495715__1.4495715	1262882__R5MMD8__BN519_01576
ERR1912995.4495721__1.4495721	901__B6WWB4__DESPIGER_2273
ERR1912995.4495791__1.4495791	74426__group_4823
ERR1912995.4496079__1.4496079	301302__A0A173TYC8__M72_00761
ERR1912995.4496146__1.4496146	45851__R5LTQ3__BHV86_02315
ERR1912995.4496790__1.4496790	45851__D4S1R7__BUTYVIB_02039
ERR1912995.4496843__1.4496843	2022527__A0A264Y4B7__CHL74_13115
ERR1912995.4497158__1.4497158	216816__D6DCQ7__HMPREF1312_1623
ERR1912995.4497324__1.4497324	74426__thrZ
ERR1912995.4497498__1.4497498	301302__A0A0M6WWK6__M72_13961
ERR1912995.4497880__1.4497880	1262992__R5DEQ5__BN795_00722
ERR1912995.4497947__1.4497947	1263000__R5EXT3__BN466_02213
ERR1912995.4497964__1.4497964	1628085__A0A1C6BMM1__C7386_11221
ERR1912995.4498064__1.4498064	2022527__A0A264YAJ7__CHL74_00810
ERR1912995.4498226__1.4498226	216816__V6XWW6__RY67_1738
ERR1912995.4498348__1.4498348	1263000__R5EXT3__BN466_02213
ERR1912995.4498430__1.4498430	1262936__R7IZC2__BN799_01006
ERR1912995.4498414__1.4498414	1262936__R7J1Q2__BN799_01767
ERR1912995.4499318__1.4499318	1262919__R5PFE6__BN465_02118
ERR1912995.4499402__1.4499402	901__B6WVN9__DESPIG_02157
ERR1912995.4499435__1.4499435	1262936__R7J2N8__BN799_01236
ERR1912995.4499576__1.4499576	1897011__A0A1Q6RG95__BHW41_02720
ERR1912995.4499869__1.4499869	1680__A0A0C2VBJ4__birA
ERR1912995.4500287__1.4500287	40518__R5DUG7__sbcC
ERR1912995.4500428__1.4500428	40518__R5DV58__htrA
ERR1912995.4500552__1.4500552	28052__R7NCD4__ERS852451_00170
ERR1912995.4500556__1.4500556	40518__R5DVX3__RBL263_01584
ERR1912995.4501046__1.4501046	39485__A0A174ZA72__glgB_1
ERR1912995.4501152__1.4501152	384638__B7APR1__BACPEC_00667
ERR1912995.4501180__1.4501180	45851__D4RY55__BHV86_05010
ERR1912995.4501460__1.4501460	165179__A0A3E4SID1__DXB80_01945
ERR1912995.4501720__1.4501720	1263027__R7AVU4__BN699_00498
ERR1912995.4501776__1.4501776	147206__GCF_000156215.1_01777
ERR1912995.4502019__1.4502019	2022527__A0A264YAP7__CHL74_01035
ERR1912995.4502572__1.4502572	1680__A0A374QDL4__LMG18897_0432
ERR1912995.4502642__1.4502642	74426__nifJ
ERR1912995.4502750__1.4502750	45851__D4RW43__BUTYVIB_00173
ERR1912995.4502936__1.4502936	28116__A0A078Q626__HMPREF1070_02735
ERR1912995.4503044__1.4503044	1680__A1A1R1__BIFADO_00076
ERR1912995.4503086__1.4503086	1262936__R7IZZ2__BN799_01307
ERR1912995.4503217__1.4503217	2022527__A0A264Y5H7__CHL74_10790
ERR1912995.4503311__1.4503311	1680__A0A087DHN0__AL0462_1532
ERR1912995.4503480__1.4503480	552398__T5S086__HMPREF0866_01580
ERR1912995.4503960__1.4503960	216816__V6XY04__APK78_02285
ERR1912995.4503978__1.4503978	357276__I9QBT7__BSEG_03340
ERR1912995.4504086__1.4504086	1150298__A0A174KDB8__psd
ERR1912995.4504088__1.4504088	2173__A5ULL1__Msm_0884
ERR1912995.4504134__1.4504134	1262936__R7J0K5__BN799_01232
ERR1912995.4504273__1.4504273	1262936__R7J420__BN799_00406
ERR1912995.4504388__1.4504388	572010__hgdC_1
ERR1912995.4504538__1.4504538	39485__A0A174Z7G5__EUBELI_01168
ERR1912995.4504976__1.4504976	457421__C5ERC0__CBFG_04276
ERR1912995.4504977__1.4504977	74426__argF
ERR1912995.4505089__1.4505089	1262936__R7IYJ1__BN799_00810
ERR1912995.4505135__1.4505135	1262882__R5MFM2__BN519_00460
ERR1912995.4505331__1.4505331	1628085__A0A3E2XZQ1__C7386_101439
ERR1912995.4505364__1.4505364	100884__E7GFK3__DXB26_14415
ERR1912995.4505312__1.4505312	1262882__R5MFM2__BN519_00460
ERR1912995.4505316__1.4505316	1897011__A0A1Q6RE52__BHW41_04690
ERR1912995.4505414__1.4505414	45851__D4RW43__BUTYVIB_00173
ERR1912995.4505422__1.4505422	1628085__A0A1C5ZCR8__C7386_10447
