ERR1913233.21__1.21	204516__U6RJY4__HMPREF1534_01494
ERR1913233.92016__1.92016	165179__R6PNJ9__PREVCOP_04730
ERR1913233.92043__1.92043	40518__R5DME2__DXD86_07315
ERR1913233.92292__1.92292	310298__B3JED9__BACCOP_00230
ERR1913233.92297__1.92297	69974__A0A090FEL8__MPL3365_630008
ERR1913233.92393__1.92393	39488__C0ESJ2__DXD91_14695
ERR1913233.92745__1.92745	853__D4JY61__C4N21_10560
ERR1913233.92863__1.92863	40518__R5E6Y7__DXD83_08230
ERR1913233.92878__1.92878	1965646__A0A1Y3W8B8__B5G10_11420
ERR1913233.92965__1.92965	371601__A0A1H4AKU1__BXY_45200
ERR1913233.93109__1.93109	39485__C4Z0R8__EUBELI_01181
ERR1913233.93198__1.93198	410072__C0BC38__ERS852574_02017
ERR1913233.93310__1.93310	853__A0A2A7AXC8__C4N21_14120
ERR1913233.93410__1.93410	165179__A0A3E5AHY4__CFT61_07675
ERR1913233.93453__1.93453	371601__C3QR34__DXD03_22980
ERR1913233.93574__1.93574	1235835__R9LCU2__C814_02677
ERR1913233.93605__1.93605	310298__B3JH76__BACCOP_01230
ERR1913233.93949__1.93949	204516__U6RFV1__HMPREF1534_02560
ERR1913233.94143__1.94143	820__A0A139KJ23__celCCA
ERR1913233.94235__1.94235	471189__GCA_003340385.1_00387
ERR1913233.94370__1.94370	1735__B7CDQ5__EUBIFOR_02338
ERR1913233.94386__1.94386	28118__F9Z8Y8__B5F99_07140
ERR1913233.94735__1.94735	328814__GCA_004558275.1_00236
ERR1913233.94867__1.94867	1262924__R7HUG0__BN585_00790
ERR1913233.95041__1.95041	165179__A0A3E5DN34__DXC61_07865
ERR1913233.95183__1.95183	204516__U6R8I1__HMPREF1534_03341
ERR1913233.95293__1.95293	1680__A0A0B5BHY4__DXD63_03525
ERR1913233.95387__1.95387	310298__B3JK97__BACCOP_02326
ERR1913233.95392__1.95392	165179__D1PHD6__DXC61_03380
ERR1913233.95395__1.95395	204516__U6RDX3__HMPREF1534_02093
ERR1913233.95583__1.95583	1680__A0A087DHN0__AL0462_1532
ERR1913233.95614__1.95614	820__A0A139K426__B5G17_09115
ERR1913233.95741__1.95741	1262924__R7HQ73__BN585_02030
ERR1913233.95987__1.95987	39491__A0A396FI89__DXD95_01300
ERR1913233.96091__1.96091	39485__A0A174ZNW9__luxQ_1
ERR1913233.96102__1.96102	216816__A0A061M1M5__HMPREF0177_01046
ERR1913233.96174__1.96174	410072__C0BDA3__DXD67_12185
ERR1913233.96279__1.96279	165179__A0A3E5E9I4__DXB80_09745
ERR1913233.96282__1.96282	69974__A0A090FEL8__MPL3365_630008
ERR1913233.96342__1.96342	552398__F4XCR9__HMPREF0866_01636
ERR1913233.96357__1.96357	1262924__R7HMZ4__BN585_01629
ERR1913233.96471__1.96471	165179__A0A3E5EB26__CFT61_02800
ERR1913233.96610__1.96610	39492__B0MNL5__phoR_1
ERR1913233.96695__1.96695	40518__R5E1J7__RBL236_02062
ERR1913233.96701__1.96701	204516__U6RR96__HMPREF1534_00277
ERR1913233.96883__1.96883	28116__D7K2E0__endOF2_3
ERR1913233.96884__1.96884	165179__A0A174SA26__PREVCOP_05758
ERR1913233.97180__1.97180	487173__H1CXT1__HMPREF9453_00169
ERR1913233.97212__1.97212	165179__A0A3E5EA43__DXC61_07775
ERR1913233.97356__1.97356	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913233.97367__1.97367	165179__A0A3E5DY64__CFT61_10025
ERR1913233.97373__1.97373	28117__R7JJM9__ALIPUT_00662
ERR1913233.97333__1.97333	165179__A0A3E5EB26__CFT61_02800
ERR1913233.97447__1.97447	1323__A0A3E3E0K6__pkn_1
ERR1913233.97517__1.97517	204516__U6R989__HMPREF1534_03109
ERR1913233.97825__1.97825	165179__A0A229I4J4__proA
ERR1913233.97927__1.97927	310298__B3JH75__BACCOP_01229
ERR1913233.97933__1.97933	410072__A0A174LZA3__ERS852389_01302
ERR1913233.97993__1.97993	310298__B3JM32__BACCOP_00571
ERR1913233.98025__1.98025	165179__A0A174IPI3__CFT61_10940
ERR1913233.98173__1.98173	69974__A0A090FEL8__MPL3365_630008
ERR1913233.98198__1.98198	33038__F7JT04__CDL21_01120
ERR1913233.98340__1.98340	69974__A0A090FEL8__MPL3365_630008
ERR1913233.98432__1.98432	1262924__R7HQD9__BN585_00129
ERR1913233.98549__1.98549	39491__A0A396FP46__cobD_2
ERR1913233.98599__1.98599	28118__F9Z667__NCTC10826_00403
ERR1913233.98603__1.98603	165179__D1PGU8__PREVCOP_06463
ERR1913233.98621__1.98621	328814__GCA_004558275.1_00078
ERR1913233.98584__1.98584	147206__GCF_000156215.1_01776
ERR1913233.98586__1.98586	165179__A0A3E5EAM5__DXC61_07785
ERR1913233.98670__1.98670	301302__A0A0M6WYL6__ERS852420_02628
ERR1913233.98730__1.98730	165179__A0A174IPI3__CFT61_10940
ERR1913233.99171__1.99171	69974__A0A090FEL8__MPL3365_630008
ERR1913233.99273__1.99273	853__A0A173SUU8__CGS54_06840
ERR1913233.99337__1.99337	1262911__R6GPB1__BN557_00837
ERR1913233.99624__1.99624	74426__purC
ERR1913233.99701__1.99701	216816__D6ZXY6__BL105A_0298
ERR1913233.99822__1.99822	1263005__R6ESF5__BN497_01052
ERR1913233.99827__1.99827	261299__R5Y4V6__addA
ERR1913233.99809__1.99809	39485__A0A174Z9M2__yhbU_1
ERR1913233.99819__1.99819	301301__A0A395V4S5__RHOM_15770
ERR1913233.99900__1.99900	853__A0A173YYY4__DWZ04_09420
ERR1913233.99936__1.99936	165179__R6PU83__CFT61_14275
ERR1913233.99937__1.99937	818__A0A139JVX2__ERS852557_01101
ERR1913233.100032__1.100032	40518__R5DVH6__DXD86_08955
ERR1913233.100144__1.100144	28117__B0MY40__BHV66_05170
ERR1913233.100255__1.100255	165179__A0A3E5AGH1__DXB80_05820
ERR1913233.100308__1.100308	39485__A0A174Z9M2__yhbU_1
ERR1913233.100599__1.100599	310298__B3JED9__BACCOP_00230
ERR1913233.100682__1.100682	69974__A0A090FEL8__MPL3365_630008
ERR1913233.100744__1.100744	28117__B0MU58__BHV66_05630
ERR1913233.101004__1.101004	69974__A0A090FEL8__MPL3365_630008
ERR1913233.101080__1.101080	69974__A0A090FEL8__MPL3365_630008
ERR1913233.101247__1.101247	69974__A0A090FEL8__MPL3365_630008
ERR1913233.101494__1.101494	1262924__R7HQD9__BN585_00129
ERR1913233.101558__1.101558	853__E2ZGD9__C7J97_11715
ERR1913233.101609__1.101609	821__A0A0P0M2J4__DXD46_10295
ERR1913233.101864__1.101864	310298__B3JK97__BACCOP_02326
ERR1913233.102097__1.102097	1262929__R6EYU3__BN691_00676
ERR1913233.102267__1.102267	853__A0A329UEG4__CHR60_00585
ERR1913233.102250__1.102250	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913233.102362__1.102362	626933__H1DGX0__HMPREF9449_01506
ERR1913233.102484__1.102484	1897011__A0A1Q6RET2__BHW41_04000
ERR1913233.102625__1.102625	301301__A0A395V407__ERS852391_02230
ERR1913233.102655__1.102655	214856__A0A175A6T5__ERS852447_02658
ERR1913233.102656__1.102656	1262924__R7HQ14__BN585_00419
ERR1913233.102768__1.102768	626933__H1DGX0__HMPREF9449_01506
ERR1913233.102881__1.102881	626933__H1DGX0__HMPREF9449_01506
ERR1913233.102965__1.102965	487173__H1D1P5__HMPREF9453_01533
ERR1913233.103007__1.103007	39491__A0A395ZDC6__addB
ERR1913233.103092__1.103092	28117__B0MT73__ALIPUT_00412
ERR1913233.103273__1.103273	626933__H1DGX0__HMPREF9449_01506
ERR1913233.103348__1.103348	39492__D4JWX2__accB
ERR1913233.103487__1.103487	69974__A0A090FEL8__MPL3365_630008
ERR1913233.103577__1.103577	823__A0A173V751__DXD05_02690
ERR1913233.103845__1.103845	39491__A0A395UZ89__DXB72_12805
ERR1913233.103824__1.103824	853__A0A2A7B1Y7__C7K05_11930
ERR1913233.103930__1.103930	28118__F9Z587__Odosp_2804
ERR1913233.103968__1.103968	69974__A0A090FEL8__MPL3365_630008
ERR1913233.103977__1.103977	853__A0A329UEG4__CHR60_00585
ERR1913233.104166__1.104166	1262924__R7HN51__BN585_01718
ERR1913233.104332__1.104332	39485__C4Z355__ERS852490_01971
ERR1913233.104423__1.104423	418240__A0A173YEF7__ERS852478_00090
ERR1913233.104631__1.104631	39485__C4Z6J7__ERS852492_02047
ERR1913233.104653__1.104653	69974__A0A090FEL8__MPL3365_630008
ERR1913233.104737__1.104737	39491__A0A395V0E5__ERE_31370
ERR1913233.104775__1.104775	165179__D1PHC0__PREVCOP_06640
ERR1913233.104953__1.104953	1160721__R6UAE5__BHW50_03280
ERR1913233.105196__1.105196	487174__R5FMM3__DDY40_00820
ERR1913233.105240__1.105240	165179__D1PHD6__DXC61_03380
ERR1913233.105284__1.105284	69974__A0A090FEL8__MPL3365_630008
ERR1913233.105266__1.105266	487174__K0XQM6__HMPREF9448_00330
ERR1913233.105396__1.105396	1263107__GCA_000436995.1_00058
ERR1913233.105571__1.105571	1262924__R7HU74__BN585_00690
ERR1913233.105592__1.105592	371601__D6CXF7__BN891_50120
ERR1913233.105632__1.105632	165179__A0A3E5AHY4__CFT61_07675
ERR1913233.105633__1.105633	47678__A5ZI88__BACCAC_02617
ERR1913233.105971__1.105971	165179__A0A3E5AGH1__DXB80_05820
ERR1913233.105912__1.105912	28118__F9Z4Q7__DER54_08070
ERR1913233.105999__1.105999	204516__U6RGV4__HMPREF1534_01764
ERR1913233.106138__1.106138	28117__B0MTS2__ALIPUT_00159
ERR1913233.106152__1.106152	626933__H1DGX0__HMPREF9449_01506
ERR1913233.106201__1.106201	69974__A0A090FEL8__MPL3365_630008
ERR1913233.106262__1.106262	69974__A0A090FEL8__MPL3365_630008
ERR1913233.106278__1.106278	39485__C4Z5L2__ERS852490_00659
ERR1913233.106312__1.106312	69974__A0A090FEL8__MPL3365_630008
ERR1913233.106550__1.106550	820__A7UYX8__DXD40_11635
ERR1913233.106554__1.106554	39485__A0A174ZPH7__ERS852490_01992
ERR1913233.106592__1.106592	39485__A0A174YMI9__cph2_5
ERR1913233.106693__1.106693	39491__A0A174EQV2__DXB69_10230
ERR1913233.106820__1.106820	47678__R5UME6__BACCAC_01239
ERR1913233.106857__1.106857	69974__A0A090FEL8__MPL3365_630008
ERR1913233.106943__1.106943	1262911__R6HI44__BN557_01691
ERR1913233.106946__1.106946	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913233.107018__1.107018	69974__A0A090FEL8__MPL3365_630008
ERR1913233.107186__1.107186	410072__C0B556__DXD67_15015
ERR1913233.107201__1.107201	29361__B6FRT6__CLONEX_02860
ERR1913233.107317__1.107317	40518__R5DLU0__fmt
ERR1913233.107591__1.107591	301301__A0A395V8G6__RHOM_11005
ERR1913233.107626__1.107626	487173__H1D1P5__HMPREF9453_01533
ERR1913233.107719__1.107719	39485__A0A174ZG70__ERS852492_00929
ERR1913233.107694__1.107694	1897011__A0A1Q6RIF5__BHW41_01365
ERR1913233.107810__1.107810	28116__A0A1Y4PNX5__DXF98_26515
ERR1913233.107811__1.107811	1262924__R7HRJ9__BN585_00557
ERR1913233.108130__1.108130	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913233.108141__1.108141	487173__H1D020__HMPREF9453_00958
ERR1913233.108212__1.108212	410072__A0A174A5E2__dtpT
ERR1913233.108393__1.108393	69974__A0A090FEL8__MPL3365_630008
ERR1913233.108455__1.108455	165179__A0A3E5EA43__DXC61_07775
ERR1913233.108457__1.108457	204516__U6RDX3__HMPREF1534_02093
ERR1913233.108511__1.108511	39491__A0A395UZ82__EUR_31520
ERR1913233.108594__1.108594	69974__A0A090FEL8__MPL3365_630008
ERR1913233.108609__1.108609	1680__R5GRA4__ERS852382_01548
ERR1913233.108687__1.108687	69974__A0A090FEL8__MPL3365_630008
ERR1913233.108740__1.108740	2293125__A0A374CIC9__DW917_02045
ERR1913233.108854__1.108854	1262924__R7HQB3__BN585_00435
ERR1913233.108891__1.108891	28117__B0MTW8__ALIPUT_00502
ERR1913233.109020__1.109020	821__A0A0P0M405__DXC02_15075
ERR1913233.109027__1.109027	853__A0A173YYY4__DWZ04_09420
ERR1913233.109122__1.109122	310298__B3JH76__BACCOP_01230
ERR1913233.109157__1.109157	39492__D4JQP0__ypeB
ERR1913233.109291__1.109291	28116__R6K4H5__NCTC11153_04693
ERR1913233.109222__1.109222	47678__R5UAF6__ERS852494_02966
ERR1913233.109427__1.109427	28117__B0MUL5__ALIPUT_00722
ERR1913233.109429__1.109429	853__A0A173YYY4__DWZ04_09420
ERR1913233.109465__1.109465	626933__H1DGX0__HMPREF9449_01506
ERR1913233.109634__1.109634	820__A0A174F696__macB_13
ERR1913233.109767__1.109767	165179__A0A3E4SB95__DXC61_13455
ERR1913233.109825__1.109825	1262911__R6GPM2__BN557_00937
ERR1913233.109826__1.109826	626933__H1DGX0__HMPREF9449_01506
ERR1913233.110068__1.110068	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913233.110095__1.110095	69974__A0A090FEL8__MPL3365_630008
ERR1913233.110232__1.110232	1262911__R6GPM2__BN557_00937
ERR1913233.110378__1.110378	216816__A0A087AWM6__APK78_00765
ERR1913233.110284__1.110284	39491__A0A395V0E5__ERE_31370
ERR1913233.110414__1.110414	487173__H1D0E0__HMPREF9453_01078
ERR1913233.110575__1.110575	216816__D6ZXD1__APC1461_0104
ERR1913233.110614__1.110614	820__A0A3E4W9W8__C801_01069
ERR1913233.110638__1.110638	69974__A0A090FEL8__MPL3365_630008
ERR1913233.110720__1.110720	40518__R5DZE2__DXD86_07400
ERR1913233.110841__1.110841	165179__A0A229I7F5__DXB80_02650
ERR1913233.110867__1.110867	204516__U6RDD8__HMPREF1534_02559
ERR1913233.110971__1.110971	69974__A0A090FEL8__MPL3365_630008
ERR1913233.110999__1.110999	69974__A0A090FEL8__MPL3365_630008
ERR1913233.111154__1.111154	28118__R6FAT1__DHW44_00720
ERR1913233.111454__1.111454	204516__U6RFB2__HMPREF1534_01733
ERR1913233.111614__1.111614	28117__B0N028__BHV66_05935
ERR1913233.111971__1.111971	165179__D1PGU8__PREVCOP_06463
ERR1913233.112106__1.112106	28117__B0MY41__BHV66_05165
ERR1913233.112245__1.112245	165179__D1PCL6__DXB80_13435
ERR1913233.112446__1.112446	371601__A0A174ATP8__SAMN05216250_11646
ERR1913233.112433__1.112433	165179__R6C330__DXC61_04975
ERR1913233.112630__1.112630	39496__A5Z5I2__EUBVEN_00963
ERR1913233.112759__1.112759	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913233.112972__1.112972	626932__G5H9U8__HMPREF9450_01413
ERR1913233.113073__1.113073	69974__A0A090FEL8__MPL3365_630008
ERR1913233.113189__1.113189	310298__B3JFS5__BACCOP_00726
ERR1913233.113428__1.113428	28117__R7JIY2__BHV66_06465
ERR1913233.113834__1.113834	40520__A0A395X4V2__C4886_02700
ERR1913233.114000__1.114000	1796652__group_1831
ERR1913233.114098__1.114098	69974__A0A090FEL8__MPL3365_630008
ERR1913233.114158__1.114158	853__A0A173YYY4__DWZ04_09420
ERR1913233.114219__1.114219	28117__R7JH62__BHV66_05735
ERR1913233.114411__1.114411	2293125__A0A374CIC9__DW917_02045
ERR1913233.114412__1.114412	165179__A0A3E5AGH1__DXB80_05820
ERR1913233.114626__1.114626	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913233.114735__1.114735	28118__F9ZB36__B5F99_17235
ERR1913233.114845__1.114845	69974__A0A090FEL8__MPL3365_630008
ERR1913233.115006__1.115006	626933__H1DGX0__HMPREF9449_01506
ERR1913233.115256__1.115256	40520__R7D7W1__DXB81_08070
ERR1913233.115408__1.115408	39485__R5ZT06__EUBELI_20526
ERR1913233.115607__1.115607	69974__A0A090FEL8__MPL3365_630008
ERR1913233.115710__1.115710	820__A0A3E4WA06__ERS852554_03404
ERR1913233.115723__1.115723	69974__A0A090FEL8__MPL3365_630008
ERR1913233.115835__1.115835	1262924__R7HTW2__BN585_00604
ERR1913233.115911__1.115911	310298__B3JF96__BACCOP_00544
ERR1913233.116070__1.116070	487173__H1D1S1__HMPREF9453_01559
ERR1913233.116233__1.116233	39491__D6E4H2__DXB99_00485
ERR1913233.116247__1.116247	69974__A0A090FEL8__MPL3365_630008
ERR1913233.116271__1.116271	69974__A0A090FEL8__MPL3365_630008
ERR1913233.116422__1.116422	1463165__A6TC48__DP204_07400
ERR1913233.116587__1.116587	853__A0A329UEG4__CHR60_00585
ERR1913233.116599__1.116599	301301__A0A395V8E1__RHOM_11160
ERR1913233.117003__1.117003	39488__A0A285PP42__cobQ
ERR1913233.117077__1.117077	69974__A0A090FEL8__MPL3365_630008
ERR1913233.117082__1.117082	165179__A0A3E5EB26__CFT61_02800
ERR1913233.117172__1.117172	853__A0A174UDE9__C4N25_12775
ERR1913233.117243__1.117243	39485__A0A174Z851__cdaR_1
ERR1913233.117319__1.117319	40518__R5DME2__DXD86_07315
ERR1913233.117501__1.117501	853__C7H1R8__DW905_06675
ERR1913233.117504__1.117504	69974__A0A090FEL8__MPL3365_630008
ERR1913233.117559__1.117559	853__A0A174BA00__DW905_01145
ERR1913233.117650__1.117650	28117__B0MXX2__ALIPUT_01984
ERR1913233.117743__1.117743	1262913__R7J951__BN646_01164
ERR1913233.117711__1.117711	165179__D1PGU8__PREVCOP_06463
ERR1913233.117848__1.117848	820__A0A3E4G8F8__ERS852421_01645
ERR1913233.117808__1.117808	626933__H1DGX0__HMPREF9449_01506
ERR1913233.117809__1.117809	820__A0A1T4IYF4__mprA_1
ERR1913233.117820__1.117820	853__E2ZJT1__C4N23_03535
ERR1913233.117877__1.117877	310298__B3JGJ2__BACCOP_00994
ERR1913233.118096__1.118096	487173__H1D2K8__HMPREF9453_01846
ERR1913233.118164__1.118164	884684__GCA_002892425.1_01416
ERR1913233.118344__1.118344	28117__B0MWX3__BHV66_03010
ERR1913233.118410__1.118410	40518__R5DV58__htrA
ERR1913233.118453__1.118453	39485__A0A174YTF7__ERS852490_01271
ERR1913233.118754__1.118754	1150298__A0A174RCG4__ERS852498_01381
ERR1913233.118978__1.118978	69974__A0A090FEL8__MPL3365_630008
ERR1913233.119057__1.119057	818__R7KP04__C5Z03_18665
ERR1913233.119126__1.119126	204516__U6R9E6__HMPREF1534_03149
ERR1913233.119117__1.119117	69974__A0A090FEL8__MPL3365_630008
ERR1913233.119178__1.119178	487173__H1D020__HMPREF9453_00958
ERR1913233.119310__1.119310	165179__A0A3E5EB26__CFT61_02800
ERR1913233.119330__1.119330	39491__A0A173RA59__EUR_24800
ERR1913233.119506__1.119506	1263109__GCA_000438135.1_01430
ERR1913233.119562__1.119562	216816__A0A2U0BT35__BL1206_1860
ERR1913233.119649__1.119649	216816__Q8G4D7__DD721_10575
ERR1913233.119616__1.119616	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913233.119754__1.119754	33039__A0A174YJ10__ERS852502_01829
ERR1913233.119758__1.119758	40518__R5E2F3__artQ
ERR1913233.119798__1.119798	165179__D1PCL6__DXB80_13435
ERR1913233.119903__1.119903	853__A0A2A7B9I6__DW855_13690
ERR1913233.119924__1.119924	853__A0A173T0Y8__CGS54_07215
ERR1913233.120241__1.120241	69974__A0A090FEL8__MPL3365_630008
ERR1913233.120257__1.120257	165179__A0A174IPI3__CFT61_10940
ERR1913233.120414__1.120414	69974__A0A090FEL8__MPL3365_630008
ERR1913233.120418__1.120418	1262924__R7HPU8__BN585_00010
ERR1913233.120462__1.120462	310298__B3JM32__BACCOP_00571
ERR1913233.120435__1.120435	39485__A0A174YR79__EUBELI_20418
ERR1913233.120818__1.120818	28117__R7JIJ8__BHV66_01635
ERR1913233.120887__1.120887	39491__A0A396FIU1__DXC13_07905
ERR1913233.121117__1.121117	165179__D1PCL6__DXB80_13435
ERR1913233.121263__1.121263	39491__R6UMS6__DXD13_07035
ERR1913233.121269__1.121269	204516__U6RFB2__HMPREF1534_01733
ERR1913233.121430__1.121430	745368__A0A1T4Y443__SAMN02745178_02724
ERR1913233.121502__1.121502	216816__A0A0A1GSN4__DVB78_03875
ERR1913233.121512__1.121512	69974__A0A090FEL8__MPL3365_630008
ERR1913233.121524__1.121524	154288__A0A174BQM8__ERS852422_01959
ERR1913233.121641__1.121641	28117__B0MTY2__BHV66_06485
ERR1913233.121698__1.121698	204516__U6RR96__HMPREF1534_00277
ERR1913233.121773__1.121773	165179__A0A229I6N7__DXC61_06720
ERR1913233.121842__1.121842	69974__A0A090FEL8__MPL3365_630008
ERR1913233.121895__1.121895	69974__A0A090FEL8__MPL3365_630008
ERR1913233.121977__1.121977	820__A7V092__hldE
ERR1913233.122495__1.122495	40518__R5DYU1__DXD86_01160
ERR1913233.122496__1.122496	853__A0A174C5M1__CGS58_04460
ERR1913233.122590__1.122590	487173__H1D1P5__HMPREF9453_01533
ERR1913233.122624__1.122624	853__A0A3E2U7E6__ERS852582_01640
ERR1913233.122688__1.122688	47678__A5ZJ14__ERS852494_02225
ERR1913233.122840__1.122840	39491__C4ZCH3__EUR_17560
ERR1913233.123022__1.123022	165179__D1PGU8__PREVCOP_06463
ERR1913233.123068__1.123068	1262924__R7HPY0__BN585_01950
ERR1913233.123069__1.123069	69974__A0A090FEL8__MPL3365_630008
ERR1913233.123169__1.123169	28116__A0A1G6G5G9__SAMN05192581_101892
ERR1913233.123435__1.123435	69974__A0A090FEL8__MPL3365_630008
ERR1913233.123442__1.123442	626933__H1DGX0__HMPREF9449_01506
ERR1913233.123762__1.123762	28116__I9JM49__NCTC11153_01044
ERR1913233.123977__1.123977	853__E2ZGD9__C7J97_11715
ERR1913233.124058__1.124058	1262924__R7HSF6__BN585_00844
ERR1913233.124111__1.124111	1680__A0A173Y6N7__yhaH
ERR1913233.124299__1.124299	69974__A0A090FEL8__MPL3365_630008
ERR1913233.124385__1.124385	28117__B0MWX3__BHV66_03010
ERR1913233.124395__1.124395	69974__A0A090FEL8__MPL3365_630008
ERR1913233.124489__1.124489	165179__D1PHM6__DXC61_06700
ERR1913233.124747__1.124747	216816__A0A0S2MI06__pepV
ERR1913233.124749__1.124749	853__A0A174C5M1__CGS58_04460
ERR1913233.124810__1.124810	165179__D1PER3__DXB80_11525
ERR1913233.125084__1.125084	39491__C4ZCH3__EUR_17560
ERR1913233.125092__1.125092	626930__F3PVE3__HMPREF9446_02721
ERR1913233.125199__1.125199	1550024__G9RXB5__TQ39_17835
ERR1913233.125565__1.125565	69974__A0A090FEL8__MPL3365_630008
ERR1913233.125731__1.125731	487173__H1D1P4__HMPREF9453_01532
ERR1913233.125738__1.125738	39492__D4JR58__EUBSIR_02090
ERR1913233.125848__1.125848	69974__A0A090FEL8__MPL3365_630008
ERR1913233.126064__1.126064	28118__R6FBE6__DHW44_11635
ERR1913233.126090__1.126090	626933__H1DGX0__HMPREF9449_01506
ERR1913233.126107__1.126107	1262992__R5DDC9__BN795_00492
ERR1913233.126353__1.126353	69974__A0A090FEL8__MPL3365_630008
ERR1913233.126434__1.126434	626933__H1DGX0__HMPREF9449_01506
ERR1913233.126448__1.126448	40518__R5DR72__RBL236_02110
ERR1913233.126545__1.126545	28116__E5CEE4__SAMN05444282_12363
ERR1913233.126676__1.126676	301302__R5UJW6__ERS852420_01698
ERR1913233.126730__1.126730	165179__A0A229I6N7__DXC61_06720
ERR1913233.126848__1.126848	2293125__A0A374CIC9__DW917_02045
ERR1913233.126953__1.126953	28118__R6G2E8__DHW44_05790
ERR1913233.126931__1.126931	28116__I9JM49__NCTC11153_01044
ERR1913233.127209__1.127209	820__E5VA63__DXC80_01025
ERR1913233.127277__1.127277	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913233.127311__1.127311	2293125__A0A374CIC9__DW917_02045
ERR1913233.127427__1.127427	165179__A0A3E5AGH1__DXB80_05820
ERR1913233.127714__1.127714	39491__A0A395V0H3__ERS852417_01192
ERR1913233.127742__1.127742	853__E2ZJT1__C4N23_03535
ERR1913233.127828__1.127828	310298__B3JJX9__BACCOP_02203
ERR1913233.127884__1.127884	165179__R6XIF8__DXC61_07265
ERR1913233.128014__1.128014	204516__U6RN30__HMPREF1534_00370
ERR1913233.128128__1.128128	1308__A0A110ZT72__CV716_00080
ERR1913233.128134__1.128134	69974__A0A090FEL8__MPL3365_630008
ERR1913233.128300__1.128300	39492__D4MJF3__EUBSIR_02248
ERR1913233.128376__1.128376	39492__D4JWY5__rpe
ERR1913233.128339__1.128339	853__A0A2A7B9I6__DW855_13690
ERR1913233.128435__1.128435	165179__D1PHD6__DXC61_03380
ERR1913233.128504__1.128504	69974__A0A090FEL8__MPL3365_630008
ERR1913233.128550__1.128550	853__A0A2A7A4A9__C4N21_14870
ERR1913233.128623__1.128623	1262924__R7HPG6__BN585_00099
ERR1913233.128654__1.128654	310298__B3JK97__BACCOP_02326
ERR1913233.128845__1.128845	74426__pflB_2
ERR1913233.128909__1.128909	165179__A0A3E5EA43__DXC61_07775
ERR1913233.128860__1.128860	1262944__R7IPT5__BN596_00855
ERR1913233.128875__1.128875	204516__U6R9E7__HMPREF1534_03313
ERR1913233.129068__1.129068	40518__R5DUG7__sbcC
ERR1913233.129171__1.129171	1739406__E6KU03__HMPREF2902_07960
ERR1913233.129491__1.129491	1262992__R5CWT5__BN795_00747
ERR1913233.129628__1.129628	39491__A0A173TAZ5__DXB99_09520
ERR1913233.129714__1.129714	39485__A0A174Z9M2__yhbU_1
ERR1913233.129736__1.129736	40518__R5DUG7__sbcC
ERR1913233.129817__1.129817	165179__A0A3E5A554__DXB80_13805
ERR1913233.129886__1.129886	165179__D1PCL6__DXB80_13435
ERR1913233.129991__1.129991	310298__B3JFI7__BACCOP_00636
ERR1913233.129992__1.129992	165179__A0A3E5EAM5__DXC61_07785
ERR1913233.130077__1.130077	410072__A0A173S248__ERS852525_02992
ERR1913233.130108__1.130108	204516__U6RFV1__HMPREF1534_02560
ERR1913233.130212__1.130212	69974__A0A090FEL8__MPL3365_630008
ERR1913233.130243__1.130243	487174__K0WX28__HMPREF9448_02178
ERR1913233.130258__1.130258	165179__D1PGU8__PREVCOP_06463
ERR1913233.130329__1.130329	216816__E8MW20__DD674_07905
ERR1913233.130451__1.130451	310298__B3JFK5__BACCOP_00655
ERR1913233.130480__1.130480	69974__A0A090FEL8__MPL3365_630008
ERR1913233.130628__1.130628	28116__C3R0H4__DXD69_00155
ERR1913233.130629__1.130629	310298__B3JMG0__BACCOP_03099
ERR1913233.130646__1.130646	69974__A0A090FEL8__MPL3365_630008
ERR1913233.130661__1.130661	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913233.130736__1.130736	820__A0A3E4VZT7__DXB48_16145
ERR1913233.130875__1.130875	69974__A0A090FEL8__MPL3365_630008
ERR1913233.130941__1.130941	853__A0A2A7B9I6__DW855_13690
ERR1913233.130954__1.130954	165179__A0A3E5EA43__DXC61_07775
ERR1913233.131108__1.131108	820__A0A3E4VXP2__yesR
ERR1913233.131298__1.131298	1628085__A0A2U1BCE8__C7386_10723
ERR1913233.131288__1.131288	310298__B3JKM0__BACCOP_02451
ERR1913233.131422__1.131422	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913233.131366__1.131366	820__A0A173W419__DXC68_17760
ERR1913233.131452__1.131452	821__U6RDC2__DXD46_15675
ERR1913233.131501__1.131501	39485__R5ZT20__ERS852490_00975
ERR1913233.131513__1.131513	374840__GeneID:2546403
ERR1913233.131542__1.131542	69974__A0A090FEL8__MPL3365_630008
ERR1913233.131609__1.131609	39491__A0A396FP46__cobD_2
ERR1913233.131611__1.131611	204516__U6R9H3__HMPREF1534_03348
ERR1913233.131677__1.131677	310298__B3JJG1__BACCOP_02031
