ERR1913185.233__1.233	487174__K0WYG8__HMPREF9448_01522
ERR1913185.1197924__1.1197924	47678__R5U3V5__DW706_14455
ERR1913185.1198037__1.1198037	818__A0A3E5GXM2__BJP75_025230
ERR1913185.1198091__1.1198091	1262911__R6GZ01__BN557_00641
ERR1913185.1198233__1.1198233	1680__R5GR82__AD0028_0014
ERR1913185.1198237__1.1198237	1262911__R6HIV6__BN557_01807
ERR1913185.1198245__1.1198245	820__A0A139K1Y6__DXB48_02610
ERR1913185.1198417__1.1198417	39491__A0A395ZBQ4__cph2_2
ERR1913185.1198418__1.1198418	487174__R5EUJ8__DDY40_00460
ERR1913185.1198502__1.1198502	301302__A0A173T010__M72_26571
ERR1913185.1198588__1.1198588	187327__R6M966__Acin_0193
ERR1913185.1198624__1.1198624	1535__A7VRW8__CH238_12795
ERR1913185.1198675__1.1198675	46506__S3YS03__DXC34_03445
ERR1913185.1198834__1.1198834	1262986__R5ZUP0__BN492_01284
ERR1913185.1198936__1.1198936	28117__R7JJM9__ALIPUT_00662
ERR1913185.1198901__1.1198901	39492__A0A3D4MN89__nadD
ERR1913185.1198962__1.1198962	487174__K0WV13__DIT83_10890
ERR1913185.1198975__1.1198975	1680__A0A0B5BL52__ERS852382_00480
ERR1913185.1199121__1.1199121	823__A0A355XLQ9__DXC05_02185
ERR1913185.1199224__1.1199224	187327__R6MTJ8__Acin_0940
ERR1913185.1199264__1.1199264	1262882__R5MRT2__BN519_01494
ERR1913185.1199457__1.1199457	39483__D4JF77__B5G15_08015
ERR1913185.1199475__1.1199475	1680__A0A0B5BIU5__BSTER_0145
ERR1913185.1199560__1.1199560	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913185.1199606__1.1199606	487174__R5FMM3__DDY40_00820
ERR1913185.1199689__1.1199689	301302__R5ULT1__ERS852420_02174
ERR1913185.1199744__1.1199744	1262882__R5MRS7__BN519_01490
ERR1913185.1199759__1.1199759	1262954__R7FE89__BN611_00291
ERR1913185.1199802__1.1199802	39491__A0A395ZGE4__ERS852497_01269
ERR1913185.1199917__1.1199917	820__A0A3E4W4Y7__B5G17_02055
ERR1913185.1199928__1.1199928	1897011__A0A1Q6RCL1__BHW41_06190
ERR1913185.1199950__1.1199950	74426__nifJ
ERR1913185.1199983__1.1199983	487174__R5FJH0__DDY40_07055
ERR1913185.1200095__1.1200095	39491__C4Z9D4__DXD95_00055
ERR1913185.1200117__1.1200117	384639__GCA_003096855.1_00995
ERR1913185.1200118__1.1200118	821__U6RDC2__DXD46_15675
ERR1913185.1200121__1.1200121	39491__A0A396FPV7__ERS852580_01177
ERR1913185.1200202__1.1200202	39483__D4JCP4__B5F14_02780
ERR1913185.1200241__1.1200241	100886__E2NUH9__CATMIT_02260
ERR1913185.1200260__1.1200260	100886__A0A174KEC0__CATMIT_00757
ERR1913185.1200309__1.1200309	357276__I8WML9__DXD47_10570
ERR1913185.1200382__1.1200382	357276__I9QBT7__BSEG_03340
ERR1913185.1200414__1.1200414	40518__R5DZC6__mreC
ERR1913185.1200443__1.1200443	823__A0A073I5R7__cloSI
ERR1913185.1200546__1.1200546	39491__A0A395UYM9__DXC13_07980
ERR1913185.1200707__1.1200707	821__A0A396ER29__ERS852457_02298
ERR1913185.1200761__1.1200761	47678__A5ZI88__BACCAC_02617
ERR1913185.1200858__1.1200858	1262882__R5MLP5__BN519_01602
ERR1913185.1200874__1.1200874	1160721__W0U1Y5__BHW50_01965
ERR1913185.1200951__1.1200951	820__A0A3E4PYB0__yejM
ERR1913185.1200968__1.1200968	40518__R5DV58__htrA
ERR1913185.1201061__1.1201061	1680__A0A173Y6N7__yhaH
ERR1913185.1201084__1.1201084	823__A6LHJ7__ERS852380_00253
ERR1913185.1201113__1.1201113	46506__B0NRL7__arlS
ERR1913185.1201147__1.1201147	46503__K5ZLB1__DD461_01070
ERR1913185.1201164__1.1201164	820__A0A374Q854__HMPREF1073_03281
ERR1913185.1201217__1.1201217	74426__rpoC
ERR1913185.1201267__1.1201267	357276__I8WFU9__BACDOR_02006
ERR1913185.1201314__1.1201314	39491__A0A395V5R3__EUBREC_1883
ERR1913185.1201332__1.1201332	907__S7HS10__SAMN04488492_1154
ERR1913185.1201362__1.1201362	907__S7HRR9__AZ49_10695
ERR1913185.1201437__1.1201437	1160721__R6U304__BHW50_05725
ERR1913185.1201447__1.1201447	907__G0VQG8__C6362_01330
ERR1913185.1201469__1.1201469	820__A0A174F0C1__nreB
ERR1913185.1201528__1.1201528	46506__B0NM04__DXC41_13195
ERR1913185.1201515__1.1201515	39491__C4ZF05__vpr
ERR1913185.1201887__1.1201887	1262882__R5MLP5__BN519_01602
ERR1913185.1201977__1.1201977	28117__B0MTH2__ALIPUT_00061
ERR1913185.1201913__1.1201913	47678__R5U2H9__DXB67_10685
ERR1913185.1202164__1.1202164	204516__U6RAM4__HMPREF1534_03439
ERR1913185.1202147__1.1202147	28111__R5K5Y3__BACEGG_03205
ERR1913185.1202231__1.1202231	187327__G4Q7P5__ACDG_00844
ERR1913185.1202326__1.1202326	1262882__R5MEW7__BN519_00010
ERR1913185.1202411__1.1202411	187327__G4Q7V3__ACDG_00549
ERR1913185.1202568__1.1202568	187327__G4Q2R6__Acin_2204
ERR1913185.1202594__1.1202594	1680__R5GMB5__AD0028_1137
ERR1913185.1202707__1.1202707	39491__A0A396FEW6__T1815_18721
ERR1913185.1202727__1.1202727	74426__groL
ERR1913185.1202952__1.1202952	410072__A0A3E4GQ67__sigV_1
ERR1913185.1203199__1.1203199	820__A7V470__HMPREF1072_02076
ERR1913185.1203228__1.1203228	357276__B6W5Q9__HMPREF1063_03125
ERR1913185.1203263__1.1203263	46506__A0A108TBL0__BACSTE_01998
ERR1913185.1203301__1.1203301	820__A0A174G065__DXB62_08975
ERR1913185.1203409__1.1203409	1262803__R6NL95__BN649_00814
ERR1913185.1203442__1.1203442	39491__A0A0M6WNS5__DXC13_02015
ERR1913185.1203615__1.1203615	626929__F3PJ28__B5F24_03465
ERR1913185.1203623__1.1203623	100886__A0A174HWV3__CATMIT_01864
ERR1913185.1203596__1.1203596	74426__asnS
ERR1913185.1203739__1.1203739	39491__A0A395ZG74__licR
ERR1913185.1204004__1.1204004	1262986__R5ZW93__BN492_01240
ERR1913185.1204028__1.1204028	40518__R5E6K5__speA
ERR1913185.1204093__1.1204093	46506__A0A108TAK3__fepA_3
ERR1913185.1204179__1.1204179	1262986__R6A124__BN492_00244
ERR1913185.1204251__1.1204251	487174__K0X4F7__DDY40_08055
ERR1913185.1204286__1.1204286	907__A0A269TDA3__MELS_0888
ERR1913185.1204337__1.1204337	1681__A0A0H3EEP4__DD698_00060
ERR1913185.1204395__1.1204395	39483__D4JEJ7__B5F14_03220
ERR1913185.1204432__1.1204432	1262882__R5MFM2__BN519_00460
ERR1913185.1204457__1.1204457	820__A0A3E4RUC4__DHU98_02635
ERR1913185.1204531__1.1204531	487174__R5G1E8__DIT83_00510
ERR1913185.1204533__1.1204533	1304__A0A1V0GJ48__SALIVB_1571
ERR1913185.1204635__1.1204635	39491__A0A396FSK3__ERS852417_00383
ERR1913185.1204679__1.1204679	39491__D4JMW8__ERS852497_01971
ERR1913185.1204684__1.1204684	39491__A0A396FMF1__EUR_28700
ERR1913185.1204756__1.1204756	46506__A0A108TDB0__DXC34_12240
ERR1913185.1204779__1.1204779	907__G0VM45__JY94_02560
ERR1913185.1204794__1.1204794	187327__G4Q4X8__ACDG_00099
ERR1913185.1204866__1.1204866	301302__A0A173UT39__M72_23901
ERR1913185.1204902__1.1204902	1680__A0A173XYA2__B0703_0121
ERR1913185.1204872__1.1204872	39491__A0A173U130__ERE_16110
ERR1913185.1205153__1.1205153	1160721__R6SZN5__BHW50_07705
ERR1913185.1205366__1.1205366	454155__F3QQI3__HMPREF9442_00425
ERR1913185.1205405__1.1205405	46506__B0NT08__BACSTE_02624
ERR1913185.1205529__1.1205529	1262882__R5ML49__BN519_01361
ERR1913185.1205594__1.1205594	39491__C4Z9K0__DXD95_07445
ERR1913185.1205609__1.1205609	301302__A0A0M6WJW1__ERS852420_02245
ERR1913185.1205562__1.1205562	39486__R6S7Q3__DXD84_03220
ERR1913185.1205692__1.1205692	410072__A0A174DJM1__DXD67_05275
ERR1913185.1205733__1.1205733	46506__S3YU07__AA415_02597
ERR1913185.1205814__1.1205814	357276__A0A076IXE0__HMPREF1064_04364
ERR1913185.1206104__1.1206104	907__G0VRQ3__CJO36_00330
ERR1913185.1206198__1.1206198	1262882__R5N3H1__BN519_01121
ERR1913185.1206216__1.1206216	1262882__R5MZ06__BN519_00492
ERR1913185.1206241__1.1206241	1680__A0A087DLC6__C8077_00815
ERR1913185.1206244__1.1206244	1160721__W0U8E3__BHW50_10005
ERR1913185.1206300__1.1206300	39491__C4ZAT2__ERE_28440
ERR1913185.1206465__1.1206465	1262986__R5ZUP0__BN492_01284
ERR1913185.1206556__1.1206556	214856__A0A174EQR4__rsmA
ERR1913185.1206625__1.1206625	1150298__A0A174HYM9__ERS852406_01664
ERR1913185.1206666__1.1206666	1262986__R5ZU84__BN492_00934
ERR1913185.1206692__1.1206692	1680__A0A3E4SB79__BAD_1517
ERR1913185.1206789__1.1206789	1262882__R5MT42__BN519_01729
ERR1913185.1206914__1.1206914	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913185.1206919__1.1206919	28052__A0A174HXG0__galK_3
ERR1913185.1206922__1.1206922	1262882__R5MS31__BN519_01529
ERR1913185.1207088__1.1207088	39486__R6SD05__HMPREF9457_00371
ERR1913185.1207347__1.1207347	820__A0A1Y3V743__M093_0235
ERR1913185.1207330__1.1207330	46503__A7AH78__DD461_04085
ERR1913185.1207369__1.1207369	821__A0A396F9T7__M097_3427
ERR1913185.1207454__1.1207454	853__C7H7F5__DWZ46_01780
ERR1913185.1207569__1.1207569	28118__F9ZCH6__DHW44_07090
ERR1913185.1207591__1.1207591	1262882__R5MGX3__BN519_00046
ERR1913185.1207671__1.1207671	40518__R5DQW8__sipW_2
ERR1913185.1207775__1.1207775	28117__B0MY82__BHV66_04755
ERR1913185.1207990__1.1207990	1680__A0A087DHN0__AL0462_1532
ERR1913185.1208171__1.1208171	28117__B0MU58__BHV66_05630
ERR1913185.1208185__1.1208185	821__A0A174AYT0__DXC02_03530
ERR1913185.1208219__1.1208219	1262986__R5EHS0__BN492_00243
ERR1913185.1208233__1.1208233	39491__C4Z9K7__EUBREC_0050
ERR1913185.1208456__1.1208456	1262882__R5MY46__BN519_00355
ERR1913185.1208538__1.1208538	821__A6L0C7__ERS852556_03520
ERR1913185.1208608__1.1208608	1263000__R5EFA7__BN466_01197
ERR1913185.1208720__1.1208720	907__G0VNC6__JY94_03720
ERR1913185.1208758__1.1208758	1262986__R5ZVE5__BN492_01100
ERR1913185.1208819__1.1208819	46506__B0NM94__HMPREF1181_03250
ERR1913185.1208880__1.1208880	1263000__R5EGP9__BN466_01419
ERR1913185.1208835__1.1208835	745368__A0A1T4Y963__SAMN02745178_02859
ERR1913185.1208890__1.1208890	39029__A0A0J6ZKV8__BSR42_11625
ERR1913185.1208917__1.1208917	39491__A0A395UZZ5__htpG_1
ERR1913185.1208956__1.1208956	1150298__A0A174QSP7__ERS852406_03088
ERR1913185.1209009__1.1209009	821__A0A174WBC9__ERS852556_03145
ERR1913185.1209014__1.1209014	46506__B0NU77__AA415_02810
ERR1913185.1209124__1.1209124	46503__R6Y9P8__evgS_3
ERR1913185.1209135__1.1209135	218538__C9LQG6__GCWU000321_01798
ERR1913185.1209186__1.1209186	454155__F3QX42__HMPREF9442_02776
ERR1913185.1209205__1.1209205	39483__D4JEF9__HMPREF0367_00420
ERR1913185.1209250__1.1209250	410072__C0BAS6__ERS852481_01274
ERR1913185.1209276__1.1209276	1262882__R5N5H2__BN519_01493
ERR1913185.1209293__1.1209293	28111__E5WVZ4__NCTC11155_02635
ERR1913185.1209396__1.1209396	39492__A0A174Z2N0__EUBSIR_01615
ERR1913185.1209403__1.1209403	46506__R6AEP1__HMPREF1181_01415
ERR1913185.1209570__1.1209570	1262911__R6HJS5__BN557_00288
ERR1913185.1209615__1.1209615	1680__A0A374QDL4__LMG18897_0432
ERR1913185.1209643__1.1209643	46506__A0A108TAK3__fepA_3
ERR1913185.1209683__1.1209683	1262911__R6GTN3__BN557_01365
ERR1913185.1209809__1.1209809	1681__I3WKG9__BBJK_01327
ERR1913185.1209815__1.1209815	39491__A0A173U130__ERE_16110
ERR1913185.1209850__1.1209850	39491__A0A174LTW7__DXD13_08720
ERR1913185.1210024__1.1210024	28025__A0A315S196__U723_06095
ERR1913185.1210054__1.1210054	820__A0A173XIP7__B5G17_16050
ERR1913185.1210131__1.1210131	1262882__R5MZZ3__BN519_00482
ERR1913185.1210244__1.1210244	1965604__A0A1Y4EU04__B5F54_04550
ERR1913185.1210308__1.1210308	46506__R6A5T2__DXC41_10795
ERR1913185.1210373__1.1210373	907__S7IWM4__AZ49_00345
ERR1913185.1210422__1.1210422	40518__R5DUU2__yvhJ_2
ERR1913185.1210434__1.1210434	39491__A0A174LTW7__DXD13_08720
ERR1913185.1210478__1.1210478	1262882__R5ML49__BN519_01361
ERR1913185.1210464__1.1210464	39491__R6TQ09__DXC13_03010
ERR1913185.1210606__1.1210606	1262882__R5MFR3__BN519_00473
ERR1913185.1210607__1.1210607	39491__A0A395V0H3__ERS852417_01192
ERR1913185.1210671__1.1210671	46506__A0A108TDB0__DXC34_12240
ERR1913185.1210644__1.1210644	1262792__R6YW87__BN593_00883
ERR1913185.1210774__1.1210774	46506__R6A5T2__DXC41_10795
ERR1913185.1211194__1.1211194	410072__A0A173SHF2__COPCOM_03201
ERR1913185.1211282__1.1211282	214856__A0A174A0P3__ERS852447_00994
ERR1913185.1211458__1.1211458	1680__R5GKP2__DXD60_06200
ERR1913185.1211556__1.1211556	487174__R5FJY1__DDY40_07045
ERR1913185.1211637__1.1211637	1550024__G9RT62__ASJ35_10800
ERR1913185.1211843__1.1211843	1262882__R5MH82__BN519_00752
ERR1913185.1211866__1.1211866	1262882__R5N3T7__BN519_01188
ERR1913185.1211801__1.1211801	1262954__R7FAZ7__BN611_01116
ERR1913185.1211930__1.1211930	1262911__R6HN81__BN557_00921
ERR1913185.1211934__1.1211934	40518__R5DTP7__DXD83_02415
ERR1913185.1211986__1.1211986	1150298__R7JU97__ERS852498_02579
ERR1913185.1212168__1.1212168	907__A0A2S0M5P1__AZ49_01645
ERR1913185.1212178__1.1212178	47678__R5U7X8__C5Z00_18270
ERR1913185.1212184__1.1212184	1262882__R5MS31__BN519_01529
ERR1913185.1212258__1.1212258	820__I9A4U7__DHU98_12785
ERR1913185.1212261__1.1212261	1262882__R5N5S3__BN519_00085
ERR1913185.1212551__1.1212551	1262882__R5MT08__BN519_01706
ERR1913185.1212657__1.1212657	39491__A0A396FUZ3__phoR_1
ERR1913185.1212694__1.1212694	454154__G5SWP7__HMPREF9441_03820
ERR1913185.1212865__1.1212865	46503__R6X6L7__HMPREF1060_00291
ERR1913185.1213083__1.1213083	853__A0A173T8T3__DW882_06555
ERR1913185.1213129__1.1213129	39491__A0A396FIU1__DXC13_07905
ERR1913185.1213281__1.1213281	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913185.1213336__1.1213336	357276__A0A076IRZ5__BACDOR_00630
ERR1913185.1213338__1.1213338	1150298__A0A174DX06__ERS852498_00491
ERR1913185.1213489__1.1213489	1262882__R5MND9__BN519_00831
ERR1913185.1213624__1.1213624	40518__R5DVQ2__DXD93_00365
ERR1913185.1213626__1.1213626	28111__E5WZR2__HMPREF1016_02168
ERR1913185.1213670__1.1213670	820__A0A173YYG4__evgS_3
ERR1913185.1213819__1.1213819	1262882__R5MIC9__BN519_00834
ERR1913185.1213859__1.1213859	39491__A0A395ZG74__licR
ERR1913185.1213984__1.1213984	1262882__R5MYX5__BN519_00333
ERR1913185.1214214__1.1214214	2173__A0A1D2WUQ6__METSMIF1_02304
ERR1913185.1214230__1.1214230	39491__A0A174K1W6__DXB99_15020
ERR1913185.1214281__1.1214281	1680__A0A3E4SB79__BAD_1517
ERR1913185.1214293__1.1214293	106588__A6NWG1__BACCAP_02555
ERR1913185.1214376__1.1214376	562__P63202__gadW
ERR1913185.1214563__1.1214563	1262911__R6GXS5__BN557_00160
ERR1913185.1214744__1.1214744	39491__A0A396FSN2__EUBREC_0707
ERR1913185.1214814__1.1214814	1150298__R7JPB1__corA
ERR1913185.1214898__1.1214898	1262882__R5N5C3__BN519_01664
ERR1913185.1214966__1.1214966	1680__A0A076JNH5__DXC60_03835
ERR1913185.1214975__1.1214975	1262882__R5MJM8__BN519_01064
ERR1913185.1214989__1.1214989	1262911__R6GHG8__BN557_01301
ERR1913185.1215183__1.1215183	46506__B0NP81__SAMN05444283_10688
ERR1913185.1215241__1.1215241	1262954__R7FFU5__BN611_00800
ERR1913185.1215299__1.1215299	823__A0A174U5E4__BDI_3390
ERR1913185.1215442__1.1215442	487174__K0WV96__HMPREF9448_01901
ERR1913185.1215596__1.1215596	39491__C4Z9E9__T1815_12341
ERR1913185.1215655__1.1215655	39491__A0A173U0X0__DXB72_05865
ERR1913185.1215712__1.1215712	1262882__R5MND9__BN519_00831
ERR1913185.1215796__1.1215796	28025__D3R3L1__rplK
ERR1913185.1215839__1.1215839	40518__R5DZB3__RB5AMG_01719
ERR1913185.1216206__1.1216206	907__A0A1M6T0V3__C6Y28_00180
ERR1913185.1216257__1.1216257	28111__E5WZR2__HMPREF1016_02168
ERR1913185.1216299__1.1216299	46506__R6B8Z4__SAMN05444283_11711
ERR1913185.1216308__1.1216308	187327__G4Q7J0__ACDG_00809
ERR1913185.1216326__1.1216326	28117__R7JPX7__BHV66_00900
ERR1913185.1216346__1.1216346	1262954__R7FDU5__BN611_02234
ERR1913185.1216602__1.1216602	1160721__R6SW95__BHW50_08895
ERR1913185.1216630__1.1216630	39491__A0A395UZZ5__htpG_1
ERR1913185.1216664__1.1216664	1160721__R6SW95__BHW50_08895
ERR1913185.1216699__1.1216699	907__G0VRQ3__CJO36_00330
ERR1913185.1216806__1.1216806	39491__A0A395UZ82__EUR_31520
ERR1913185.1216896__1.1216896	1262882__R5MFY4__BN519_00529
ERR1913185.1216869__1.1216869	39491__C4ZCH3__EUR_17560
ERR1913185.1217007__1.1217007	1262882__R5N0J9__BN519_00773
ERR1913185.1217071__1.1217071	214856__A0A174G9T6__ERS852447_02535
ERR1913185.1217206__1.1217206	1262882__R5N2U9__BN519_01221
ERR1913185.1217267__1.1217267	46506__A0A108TAK3__fepA_3
ERR1913185.1217332__1.1217332	39485__C4Z1Y9__EUBELI_00143
ERR1913185.1217297__1.1217297	39486__B0G759__DXB36_00705
ERR1913185.1217301__1.1217301	40518__R5DU92__DXD93_03170
ERR1913185.1217476__1.1217476	907__A0A269TDA3__MELS_0888
ERR1913185.1217477__1.1217477	1262882__R5MRS7__BN519_01490
ERR1913185.1217573__1.1217573	214856__A0A174H3U9__ERS852559_00612
ERR1913185.1217514__1.1217514	39492__D4JSA4__ERS852540_00596
ERR1913185.1217608__1.1217608	46506__A0A3E4USX2__BACSTE_03107
ERR1913185.1217729__1.1217729	39496__A5Z8F6__EUBVEN_01996
ERR1913185.1217738__1.1217738	1262911__R6H054__BN557_00908
ERR1913185.1217746__1.1217746	1262882__R5MM25__BN519_00600
ERR1913185.1217769__1.1217769	40518__R5DVL2__penA
ERR1913185.1217799__1.1217799	1681__E4VBF7__DD684_05570
ERR1913185.1217800__1.1217800	46506__A0A108TDB0__DXC34_12240
ERR1913185.1217877__1.1217877	187327__G4Q6G7__Acin_2262
ERR1913185.1218350__1.1218350	1262882__R5MSX6__BN519_01697
ERR1913185.1218435__1.1218435	457421__C5ERC0__CBFG_04276
ERR1913185.1218453__1.1218453	39491__A0A395ZL98__DXB99_00620
ERR1913185.1218495__1.1218495	46506__B0NRL5__DXC34_10445
ERR1913185.1218564__1.1218564	46503__R6XAG6__DXB85_14995
ERR1913185.1218707__1.1218707	28117__B0MT86__BHV66_02450
ERR1913185.1218686__1.1218686	88431__A0A174IEH2__DXB16_05910
ERR1913185.1218766__1.1218766	39491__A0A395UXH0__EUBREC_0021
ERR1913185.1219163__1.1219163	1262882__R5MSX6__BN519_01697
ERR1913185.1219383__1.1219383	1262986__R5ZTC2__BN492_01087
ERR1913185.1219431__1.1219431	216816__E8MVM4__APC1480_1562
ERR1913185.1219407__1.1219407	1680__A0A087DHN0__AL0462_1532
ERR1913185.1219614__1.1219614	39491__A0A174K9A3__DXB69_07785
ERR1913185.1219662__1.1219662	40518__R5DP21__RBATCC27255_00348
ERR1913185.1219702__1.1219702	28117__B0MYM2__BHV66_04910
ERR1913185.1219743__1.1219743	907__R7MWA0__C6Y28_03250
ERR1913185.1219818__1.1219818	301301__A0A395VAL3__mcp2_2
ERR1913185.1219935__1.1219935	487174__K0X3U2__DIT83_02455
ERR1913185.1219983__1.1219983	39491__A0A174EQV2__DXB69_10230
ERR1913185.1220185__1.1220185	46506__B0NRL4__HMPREF1181_00205
ERR1913185.1220171__1.1220171	907__G0VRL0__C6Y28_11320
ERR1913185.1220336__1.1220336	328813__A0A1Y3R1R9__B5G41_09475
ERR1913185.1220491__1.1220491	28116__A0A3E5HUC8__DHW41_21025
ERR1913185.1220572__1.1220572	39491__A0A395V397__EUR_09960
ERR1913185.1220693__1.1220693	39483__U2PQ60__B5G15_04870
ERR1913185.1220771__1.1220771	1262882__R5MIC9__BN519_00834
ERR1913185.1220733__1.1220733	626932__G5HAF0__HMPREF9450_01615
ERR1913185.1220812__1.1220812	39491__A0A395ZHW3__ERS852417_01359
ERR1913185.1220891__1.1220891	28117__B0N007__BHV66_10275
ERR1913185.1220898__1.1220898	46503__K5ZKR1__dnaB
ERR1913185.1221000__1.1221000	907__G0VRU3__AZ49_08335
ERR1913185.1221045__1.1221045	820__A0A3E4GA19__SAMN05444418_10562
ERR1913185.1221104__1.1221104	74426__groL
ERR1913185.1221132__1.1221132	39491__A0A395UVM9__DXB76_04540
ERR1913185.1221139__1.1221139	53443__R5BWH2__calB
ERR1913185.1221206__1.1221206	820__A0A3E4GA19__SAMN05444418_10562
ERR1913185.1221291__1.1221291	820__R9I324__HMPREF2141_02414
ERR1913185.1221377__1.1221377	1680__A0A3E4SB79__BAD_1517
ERR1913185.1221519__1.1221519	357276__B6W5Q9__HMPREF1063_03125
ERR1913185.1221690__1.1221690	187327__G4Q682__Acin_1672
ERR1913185.1221660__1.1221660	39491__A0A395UYM9__DXC13_07980
ERR1913185.1221714__1.1221714	39491__A0A396FNY7__LD38_16155
ERR1913185.1222136__1.1222136	147206__GCF_000156215.1_01776
ERR1913185.1222227__1.1222227	907__G0VLE2__CJO36_05875
ERR1913185.1222457__1.1222457	1262882__R5MMD8__BN519_01576
ERR1913185.1222480__1.1222480	1680__A0A3E4SB79__BAD_1517
ERR1913185.1222489__1.1222489	46506__S3YBS6__AA415_01011
ERR1913185.1222743__1.1222743	39491__D4JMW8__ERS852497_01971
ERR1913185.1222755__1.1222755	39491__A0A395V464__EUBREC_1509
ERR1913185.1222838__1.1222838	1262989__R6YKP4__BN815_01063
ERR1913185.1222798__1.1222798	1680__A0A0B5BKZ3__DXD60_01450
ERR1913185.1222809__1.1222809	371601__I9A9L0__BN890_10720
ERR1913185.1222883__1.1222883	1262882__R5MM90__BN519_01721
ERR1913185.1222982__1.1222982	39491__D4JM76__DXC13_02150
ERR1913185.1223272__1.1223272	820__A0A174QLF0__SAMN05444418_109151
ERR1913185.1223276__1.1223276	214856__R6YD52__ERS852447_02171
ERR1913185.1223355__1.1223355	28117__B0MY36__BHV66_05185
ERR1913185.1223399__1.1223399	853__A0A173XRA8__CGS56_09290
ERR1913185.1223375__1.1223375	28117__B0MXX2__ALIPUT_01984
ERR1913185.1223377__1.1223377	820__A0A139JV05__B5G17_18125
ERR1913185.1223449__1.1223449	1262986__R6AUH5__BN492_00246
ERR1913185.1223725__1.1223725	39491__A0A174K9A3__DXB69_07785
ERR1913185.1223782__1.1223782	1262911__R6GPL1__BN557_00927
ERR1913185.1223922__1.1223922	292800__A0A174R932__ERS852518_02126
ERR1913185.1224009__1.1224009	39491__A0A395V397__EUR_09960
ERR1913185.1224011__1.1224011	214856__A0A174ZEW0__ERS852447_00985
ERR1913185.1224019__1.1224019	487174__K0WYI1__DDY40_08675
ERR1913185.1224096__1.1224096	1262986__R5ZWR2__BN492_01638
ERR1913185.1224214__1.1224214	39491__A0A395ZDC6__addB
ERR1913185.1224217__1.1224217	39491__A0A174EQV2__DXB69_10230
ERR1913185.1224241__1.1224241	46506__B0NPF6__BACSTE_01357
ERR1913185.1224348__1.1224348	1263107__GCA_000436995.1_00112
ERR1913185.1224525__1.1224525	1262986__R6AQW4__BN492_00061
ERR1913185.1224598__1.1224598	1150298__A0A174Q6Q0__ERS852406_00063
ERR1913185.1224610__1.1224610	1262911__R6GPB1__BN557_00837
ERR1913185.1224702__1.1224702	100886__E2NR49__ERS852383_03877
ERR1913185.1224673__1.1224673	1680__A0A076JM61__DXD63_05245
ERR1913185.1224684__1.1224684	1262954__R7FDM0__BN611_02159
ERR1913185.1224778__1.1224778	1262911__R6HI44__BN557_01691
ERR1913185.1224862__1.1224862	39483__D4JDT1__HMPREF0367_01249
ERR1913185.1224913__1.1224913	39491__A0A174K1W6__DXB99_15020
ERR1913185.1224963__1.1224963	821__A0A396F598__CUU_3259
ERR1913185.1225077__1.1225077	1262882__R5N4P6__BN519_01346
ERR1913185.1225110__1.1225110	1262882__R5MJJ3__BN519_01027
ERR1913185.1225117__1.1225117	907__G0VPQ1__AZ49_11950
ERR1913185.1225126__1.1225126	418240__R7CMR9__yehU_7
ERR1913185.1225160__1.1225160	1681__A0A292FUY6__DD684_00535
ERR1913185.1225191__1.1225191	853__A0A3E2U7E6__ERS852582_01640
ERR1913185.1225202__1.1225202	39491__A0A395UZZ5__htpG_1
ERR1913185.1225217__1.1225217	853__A0A174AML0__FPR_08640
ERR1913185.1225475__1.1225475	46506__S3YVT5__BACSTE_02352
ERR1913185.1225515__1.1225515	39483__D4JFQ9__B5F14_03745
ERR1913185.1225522__1.1225522	46506__A0A108TCU0__etk
ERR1913185.1225559__1.1225559	33039__A0A3D0EY88__ERS852390_03120
ERR1913185.1225589__1.1225589	820__I9TWZ7__DXC80_10550
ERR1913185.1225718__1.1225718	384638__B7ASI3__BACPEC_02038
ERR1913185.1225810__1.1225810	147206__GCF_000156215.1_01387
ERR1913185.1225976__1.1225976	39491__C4Z9D4__DXD95_00055
ERR1913185.1226002__1.1226002	1681__D4QAP5__CJD48_05740
ERR1913185.1226004__1.1226004	39491__A0A395V0H3__ERS852417_01192
ERR1913185.1226180__1.1226180	39485__A0A175A403__EUBELI_20577
ERR1913185.1226283__1.1226283	410072__C0B9G6__ERS852481_03113
ERR1913185.1226388__1.1226388	216816__A0A0A1GSN4__DVB78_03875
ERR1913185.1226449__1.1226449	39483__D4JFT5__B5G15_06455
ERR1913185.1226411__1.1226411	820__A0A374Q351__DXD40_05850
ERR1913185.1226412__1.1226412	40518__R5E1X3__clcA
ERR1913185.1226673__1.1226673	1262882__R5MLA4__BN519_01536
ERR1913185.1226763__1.1226763	371601__I9UPW7__BN890_25900
ERR1913185.1226989__1.1226989	1262911__R6HN72__BN557_00911
ERR1913185.1227097__1.1227097	487174__K0X7X4__DIT83_09125
ERR1913185.1227142__1.1227142	39491__A0A174K9A3__DXB69_07785
ERR1913185.1227297__1.1227297	39491__R6TQ09__DXC13_03010
ERR1913185.1227312__1.1227312	820__A0A3E4WA06__ERS852554_03404
ERR1913185.1227356__1.1227356	410072__C0B9A1__COPCOM_01727
ERR1913185.1227373__1.1227373	418240__A0A174EIE7__pknG
