ERR1913259.103__1.103	745368__A0A1T4XU57__SAMN02745178_02337
ERR1913259.434659__1.434659	1150298__A0A174PC05__ERS852498_00682
ERR1913259.434777__1.434777	820__A0A174QT76__B5G17_18060
ERR1913259.434785__1.434785	2173__A0A1D2WXH6__METSMIALI_01616
ERR1913259.434787__1.434787	39491__C4ZC33__DXC13_11585
ERR1913259.434878__1.434878	1897011__A0A1Q6REW8__BHW41_04435
ERR1913259.434980__1.434980	1262924__R7HRJ9__BN585_00557
ERR1913259.435027__1.435027	39491__C4ZHS4__EUR_24420
ERR1913259.435141__1.435141	239935__A0A2N8J1K0__CXT97_05765
ERR1913259.435108__1.435108	853__A0A173RZ39__C4N22_01650
ERR1913259.435205__1.435205	39491__A0A174LTW7__DXD13_08720
ERR1913259.435402__1.435402	454155__F3QTG9__HMPREF9442_01487
ERR1913259.435410__1.435410	821__A0A3E4WAR6__DXD64_10735
ERR1913259.435422__1.435422	1680__R5GSL8__DXD60_03315
ERR1913259.435425__1.435425	40520__A0A396A2X4__RUMOBE_00875
ERR1913259.435590__1.435590	357276__A0A0M1W1I8__ABI39_13620
ERR1913259.435634__1.435634	301301__G2T5Z5__RHOM_15985
ERR1913259.435690__1.435690	28025__D3R3A6__DD702_08765
ERR1913259.435764__1.435764	907__S7HRZ2__SAMN04488492_10881
ERR1913259.435877__1.435877	239935__A0A2N8I9P4__CXT85_05050
ERR1913259.435925__1.435925	239935__R7E524__CXT91_06180
ERR1913259.436036__1.436036	454155__F3QTI7__HMPREF9442_01505
ERR1913259.436258__1.436258	626940__E8LCB1__BHW43_07535
ERR1913259.436499__1.436499	239935__A0A2N8IVR0__CXT87_07115
ERR1913259.436593__1.436593	1680__R5GR82__AD0028_0014
ERR1913259.436907__1.436907	1150298__A0A174PLY5__ERS852406_01056
ERR1913259.437178__1.437178	386414__A0A098YU72__HMPREF9019_0433
ERR1913259.437358__1.437358	147206__GCF_000156215.1_01777
ERR1913259.437421__1.437421	1262911__R6HHR1__BN557_01622
ERR1913259.437742__1.437742	28116__A0A0J9FH50__BACOVA_00317
ERR1913259.437744__1.437744	151535__GeneID:920276
ERR1913259.438321__1.438321	239935__A0A2N8HPS5__Amuc_0950
ERR1913259.438352__1.438352	301301__A0A395V9P9__ERS852391_00747
ERR1913259.438364__1.438364	357276__I8VN48__ABI39_07855
ERR1913259.438375__1.438375	33039__A0A173VSH9__ERS852530_05439
ERR1913259.438522__1.438522	239935__A0A2N8IVK9__CXU08_03750
ERR1913259.438851__1.438851	649756__A0A173ZZA2__ERS852571_01882
ERR1913259.438958__1.438958	246787__A0A3D6AYV2__BcellWH2_03647
ERR1913259.438981__1.438981	39491__A0A174K1W6__DXB99_15020
ERR1913259.439208__1.439208	1262739__R6MVZ8__BN659_00759
ERR1913259.439284__1.439284	357276__A0A076ISD9__EL88_07480
ERR1913259.439307__1.439307	1262924__R7HL71__BN585_01341
ERR1913259.439314__1.439314	46503__R6X0F0__DD461_05620
ERR1913259.439369__1.439369	301302__R5VFU2__xynA1
ERR1913259.439692__1.439692	1680__R5GRA4__ERS852382_01548
ERR1913259.439811__1.439811	216816__C2GW26__chb
ERR1913259.439957__1.439957	301301__A0A395V9V0__RHOM_01245
ERR1913259.439966__1.439966	1150298__A0A174N5I7__ERS852498_01953
ERR1913259.439986__1.439986	1150298__A0A174PHI0__ERS852498_00826
ERR1913259.440006__1.440006	1308__Q5M5Z8__STACADC2_0257
ERR1913259.440027__1.440027	1680__A0A374QDL4__LMG18897_0432
ERR1913259.440060__1.440060	1262848__R6U3D3__BN818_00931
ERR1913259.440269__1.440269	626940__E8LE18__BN587_01026
ERR1913259.440426__1.440426	1262942__R7QWC6__BN520_00967
ERR1913259.440438__1.440438	1897011__A0A1Q6RDX8__BHW41_05330
ERR1913259.440714__1.440714	357276__B6W5Q7__DXD47_13945
ERR1913259.440732__1.440732	33043__A0A173YEP6__ERS852575_00888
ERR1913259.440874__1.440874	2173__A0A1D2WWE0__METSMIF1_03349
ERR1913259.441017__1.441017	1262882__R5N3T7__BN519_01188
ERR1913259.441144__1.441144	239935__A0A3F3K9J9__DEF40_00940
ERR1913259.441150__1.441150	39491__A0A396FNY7__LD38_16155
ERR1913259.441287__1.441287	1680__A0A087DHN0__AL0462_1532
ERR1913259.441218__1.441218	39491__A0A395ZG74__licR
ERR1913259.441430__1.441430	1262911__R6H2J2__BN557_01228
ERR1913259.441819__1.441819	418240__A0A173XCL4__ERS852523_02725
ERR1913259.441933__1.441933	1550024__A0A0D8IY45__ASJ35_05575
ERR1913259.441897__1.441897	216816__V6XY04__APK78_02285
ERR1913259.441919__1.441919	39488__A0A173RXS4__ribF
ERR1913259.442005__1.442005	39488__A0A285PQV2__ERS852450_01290
ERR1913259.442309__1.442309	239935__A0A2N8HTZ8__CXU09_01270
ERR1913259.442363__1.442363	1897011__A0A1Q6RE76__BHW41_04850
ERR1913259.442428__1.442428	1263011__R6DZH6__BN553_01379
ERR1913259.442502__1.442502	1680__A0A076JNH5__DXC60_03835
ERR1913259.442531__1.442531	907__G0VS49__AZ49_07820
ERR1913259.442981__1.442981	74426__sugC
ERR1913259.443034__1.443034	39491__A0A395ZBW8__DXC13_08840
ERR1913259.443039__1.443039	301301__A0A395V9S1__RHOM_03365
ERR1913259.443190__1.443190	1262848__R6UEX2__BN818_00035
ERR1913259.443165__1.443165	40518__R5DZB1__DXD83_08840
ERR1913259.443222__1.443222	1680__R5GZJ8__BSTER_1195
ERR1913259.443224__1.443224	1550024__A0A0D8J0Y8__ASJ35_08680
ERR1913259.443427__1.443427	78345__A0A087BJN2__BMERY_1596
ERR1913259.443682__1.443682	239935__R6J9N8__CXT96_07990
ERR1913259.443765__1.443765	40518__R5E4X1__DXD93_05270
ERR1913259.443766__1.443766	1550024__G9RNX5__ASJ35_11740
ERR1913259.443774__1.443774	28025__A0A315RYU0__DD702_05255
ERR1913259.443825__1.443825	39491__A0A173QT73__alaS_2
ERR1913259.443904__1.443904	39486__B0G9K3__DXD18_11205
ERR1913259.443832__1.443832	1681__A0A0H3E849__BBJK_01758
ERR1913259.444352__1.444352	638849__D1Y6N1__HMPREF7215_0967
ERR1913259.444618__1.444618	39491__A0A0M6WLC7__ERS852497_00640
ERR1913259.444695__1.444695	1680__A1A2N8__LMG10734_1314
ERR1913259.444707__1.444707	39491__A0A396FRK0__ERS852417_00541
ERR1913259.444727__1.444727	39496__A5Z6U7__EUBVEN_01430
ERR1913259.444786__1.444786	216816__B3DU85__APC1504_0160
ERR1913259.444998__1.444998	1262848__R6UBZ9__BN818_00113
ERR1913259.445009__1.445009	28111__R5JQQ7__NCTC11155_02278
ERR1913259.445034__1.445034	74426__nifJ
ERR1913259.445089__1.445089	823__A0A174UR44__M095_2641
ERR1913259.445101__1.445101	184870__A0A134BJH7__Q618_VCMC00001G0860
ERR1913259.445208__1.445208	1550024__G9RZ52__TQ39_02420
ERR1913259.445257__1.445257	45851__D4S1R9__BHV86_08150
ERR1913259.445494__1.445494	1965570__A0A1Y4N845__B5F08_09365
ERR1913259.445618__1.445618	39488__A0A173SMQ7__EUBHAL_00819
ERR1913259.445642__1.445642	40520__A0A174IJ62__DXC87_06795
ERR1913259.445710__1.445710	2173__A0A1D2WTT4__BK798_05110
ERR1913259.445721__1.445721	216816__A0A087BBV6__BFS26_06210
ERR1913259.445985__1.445985	552398__F4XHN7__HMPREF0866_03141
ERR1913259.446027__1.446027	1550024__A0A0D8IYY8__TQ39_09180
ERR1913259.446161__1.446161	1653434__A0A3E3K3W9__DW008_05465
ERR1913259.446209__1.446209	40518__R5DME2__DXD86_07315
ERR1913259.446231__1.446231	74426__purL
ERR1913259.446348__1.446348	28117__B0MUL5__ALIPUT_00722
ERR1913259.446390__1.446390	1262848__R6UGY8__BN818_01296
ERR1913259.446583__1.446583	216816__C2GW26__chb
ERR1913259.446590__1.446590	40518__R5DN55__RBATCC27255_01652
ERR1913259.446620__1.446620	239935__R7E524__CXT91_06180
ERR1913259.446726__1.446726	28117__B0MYW5__ALIPUT_02334
ERR1913259.446835__1.446835	28117__B0MUX4__ALIPUT_00911
ERR1913259.447052__1.447052	626929__R6MD77__SAMN05444376_2510
ERR1913259.447217__1.447217	1681__E4VBF7__DD684_05570
ERR1913259.447229__1.447229	2173__A0A1D2WST6__METSMIALI_00213
ERR1913259.447585__1.447585	626929__F3PHU1__B5F97_12630
ERR1913259.447588__1.447588	649756__L1PU84__ERS852571_01295
ERR1913259.447833__1.447833	74426__rplS
ERR1913259.448085__1.448085	2173__A5UK74__pyrP
ERR1913259.448096__1.448096	853__D4K7X0__DW905_09540
ERR1913259.448106__1.448106	1262911__R6H2B5__BN557_01151
ERR1913259.448213__1.448213	1680__A0A374QDL4__LMG18897_0432
ERR1913259.448217__1.448217	1262911__R6GTZ4__BN557_01440
ERR1913259.448226__1.448226	301302__A0A173UPG6__ERS852420_03127
ERR1913259.448266__1.448266	1262924__R7HU74__BN585_00690
ERR1913259.448584__1.448584	116085__D4J6U8__DW747_08385
ERR1913259.448665__1.448665	45851__D4RYU3__BUTYVIB_01007
ERR1913259.449078__1.449078	239935__A0A2N8IKW7__pstA
ERR1913259.449186__1.449186	28025__A0A0L7BUQ4__Balat_0268
ERR1913259.449322__1.449322	216816__D6DAZ0__DXD28_02040
ERR1913259.449459__1.449459	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913259.449581__1.449581	39491__A0A395ZGU6__ERS852417_01456
ERR1913259.449657__1.449657	184870__W1TNZ7__Q618_VCMC00001G0807
ERR1913259.450775__1.450775	187327__G4Q6P7__ACDG_01266
ERR1913259.450842__1.450842	239935__A0A2N8HT44__CXT84_11035
ERR1913259.450937__1.450937	116085__D4JAP5__DW747_11495
ERR1913259.450986__1.450986	1550024__G9RY06__TQ39_00225
ERR1913259.451091__1.451091	39491__C4ZHS4__EUR_24420
ERR1913259.451127__1.451127	1197717__A0A1B2I2P5__BED41_03600
ERR1913259.451143__1.451143	651822__GCA_000210715.1_00753
ERR1913259.451323__1.451323	1897011__A0A1Q6RH58__BHW41_01950
ERR1913259.451637__1.451637	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913259.451928__1.451928	116085__D4J693__DW747_12735
ERR1913259.452025__1.452025	74426__rpoB
ERR1913259.452100__1.452100	301302__A0A0M6WVU2__M72_13551
ERR1913259.452139__1.452139	39485__A0A175A023__yhhT
ERR1913259.452168__1.452168	745368__A0A1T4XQZ9__SAMN02745178_02185
ERR1913259.452338__1.452338	907__R7MUC0__SAMN02910401_00961
ERR1913259.452414__1.452414	39488__A0A173U8N3__yhbU_1
ERR1913259.452417__1.452417	1262736__R5Y7T6__BN496_00858
ERR1913259.452490__1.452490	1262848__R6UBC5__BN818_01849
ERR1913259.452515__1.452515	1262911__R6HLC0__BN557_00578
ERR1913259.452892__1.452892	626940__E8LBE7__BN587_01102
ERR1913259.453158__1.453158	301301__A0A395V8E1__RHOM_11160
ERR1913259.453191__1.453191	239935__R6K0V8__CXT94_02055
ERR1913259.453328__1.453328	1263011__R6DSE4__BN553_00195
ERR1913259.453366__1.453366	1263107__GCA_000436995.1_00103
ERR1913259.453557__1.453557	39491__D6E4H2__DXB99_00485
ERR1913259.453989__1.453989	572010__fusA
ERR1913259.454141__1.454141	745368__A0A1T4WEV8__SAMN02745178_00491
ERR1913259.454273__1.454273	39485__A0A174ZJ84__EUBELI_00107
ERR1913259.454576__1.454576	1550024__G9RX51__TQ39_04720
ERR1913259.454677__1.454677	626929__F3PIZ9__B5F24_03600
ERR1913259.454697__1.454697	1680__R5GSL8__DXD60_03315
ERR1913259.454736__1.454736	820__A0A174A6K0__M093_0079
ERR1913259.454893__1.454893	1550024__G9RWW8__TQ39_12140
ERR1913259.455198__1.455198	1680__A7A2Y2__NCTC11814_00537
ERR1913259.455223__1.455223	216816__A0A087BBV6__BFS26_06210
ERR1913259.455232__1.455232	1550024__A0A0W7TTG8__TQ39_11315
ERR1913259.455263__1.455263	28025__D3R5W6__BAA6_1120
ERR1913259.455359__1.455359	1262924__R7HRJ9__BN585_00557
ERR1913259.455442__1.455442	357276__B6W5Q9__HMPREF1063_03125
ERR1913259.455559__1.455559	76489__A0A1E8EUC5__CLOACE_23150
ERR1913259.455700__1.455700	820__A0A3E4WCX3__C801_02709
ERR1913259.455701__1.455701	820__A0A3E4WCX3__C801_02709
ERR1913259.455777__1.455777	1263011__R6EMB0__BN553_01865
ERR1913259.455812__1.455812	39491__C4Z9E9__T1815_12341
ERR1913259.455811__1.455811	39491__C4Z9E9__T1815_12341
ERR1913259.456143__1.456143	40518__R5DXI4__DXD86_07420
ERR1913259.456158__1.456158	39491__A0A173VYV1__DXC13_02710
ERR1913259.456328__1.456328	239935__R6JD78__CXU05_09250
ERR1913259.456355__1.456355	74426__gap
ERR1913259.456609__1.456609	301302__R5UKP4__cbiT
ERR1913259.456775__1.456775	1680__A0A374QDL4__LMG18897_0432
ERR1913259.456800__1.456800	301301__A0A395V4S5__RHOM_15770
ERR1913259.456801__1.456801	301301__A0A395V4S5__RHOM_15770
ERR1913259.456868__1.456868	1262924__R7HU74__BN585_00690
ERR1913259.456900__1.456900	1681__A0A1V8R046__AYW85_06770
ERR1913259.456936__1.456936	1681__E4VBF7__DD684_05570
ERR1913259.457024__1.457024	1150298__R7JT16__ERS852498_00500
ERR1913259.457112__1.457112	1262911__R6GI18__BN557_01377
ERR1913259.457247__1.457247	1680__A0A374QDL4__LMG18897_0432
ERR1913259.457303__1.457303	39491__A0A395UUN5__EUBREC_0291
ERR1913259.457309__1.457309	39492__A0A174ZP27__EUBSIR_00033
ERR1913259.457436__1.457436	239935__A0A2N8IU45__DEF40_02365
ERR1913259.457519__1.457519	147206__GCF_000156215.1_01297
ERR1913259.457500__1.457500	239935__R6JAS2__CXU02_10725
ERR1913259.457696__1.457696	1262942__R7QUX7__BN520_00660
ERR1913259.457801__1.457801	33039__R6P0F1__ERS852424_02256
ERR1913259.457899__1.457899	239935__A0A2N8I3Z7__CXU05_10555
ERR1913259.457915__1.457915	39488__A0A285PMW6__ERS852450_00808
ERR1913259.457942__1.457942	74426__sufB
ERR1913259.457946__1.457946	1680__A0A173Y6N7__yhaH
ERR1913259.457993__1.457993	572010__group_1842
ERR1913259.458026__1.458026	1262911__R6GUE9__BN557_01306
ERR1913259.458108__1.458108	246787__E2N7F5__AA416_04404
ERR1913259.458217__1.458217	1897011__A0A1Q6RF88__BHW41_03295
ERR1913259.458259__1.458259	39491__C4Z872__LD38_07250
ERR1913259.458326__1.458326	1680__R5GSL8__DXD60_03315
ERR1913259.458500__1.458500	357276__A0A076J726__IY41_15030
ERR1913259.458573__1.458573	1680__A0A174BEE7__BSTER_1311
ERR1913259.458575__1.458575	418240__A0A173XSX9__ERS852523_01591
ERR1913259.458743__1.458743	40518__R5E1X3__clcA
ERR1913259.458820__1.458820	88431__A0A3D0EYE9__rafA
ERR1913259.458825__1.458825	239935__A0A2N8I9P4__CXT85_05050
ERR1913259.459043__1.459043	39491__A0A396FNY7__LD38_16155
ERR1913259.459218__1.459218	88431__A0A3D0EZN6__DORLON_02944
ERR1913259.459237__1.459237	39491__A0A395ZHW3__ERS852417_01359
ERR1913259.459438__1.459438	39491__A0A395V5R3__EUBREC_1883
ERR1913259.459591__1.459591	39491__A0A395V1Y4__DXB99_08035
ERR1913259.459716__1.459716	28117__B0MVL5__BHV66_01660
ERR1913259.459920__1.459920	28052__A0A174M8X5__ERS852499_01897
ERR1913259.459923__1.459923	1262911__R6GPG6__BN557_00329
ERR1913259.460107__1.460107	1262882__R5MGK3__BN519_00655
ERR1913259.460220__1.460220	1263107__GCA_000436995.1_00133
ERR1913259.460387__1.460387	74426__group_4823
ERR1913259.460533__1.460533	418240__A0A174R660__rluD_1
ERR1913259.461134__1.461134	45851__D4RYR7__BHV86_05495
ERR1913259.461182__1.461182	1739341__A0A0A8KXZ1__HMPREF2837_09900
ERR1913259.461372__1.461372	40520__A0A174GNL5__DXD81_10555
ERR1913259.461620__1.461620	239935__A0A2N8HEH9__CXU07_11710
ERR1913259.461624__1.461624	1262761__R6RU22__BN606_01110
ERR1913259.461654__1.461654	216816__B3DNW2__BL171B_07980
ERR1913259.461862__1.461862	1550024__A0A3B9WFL2__ASJ35_03875
ERR1913259.461925__1.461925	1550024__A0A3B9WI73__ASJ35_03410
ERR1913259.461932__1.461932	1262736__R5YWX2__BN496_01074
ERR1913259.462334__1.462334	1262882__R5MSS9__BN519_01662
ERR1913259.462385__1.462385	552398__F4XCR9__HMPREF0866_01636
ERR1913259.462386__1.462386	552398__F4XCR9__HMPREF0866_01636
ERR1913259.462644__1.462644	39491__C4ZGN3__DXB99_14175
ERR1913259.462758__1.462758	394340__tufA
ERR1913259.463009__1.463009	239935__A0A2N8HT44__CXT84_11035
ERR1913259.463036__1.463036	39491__A0A174EQV2__DXB69_10230
ERR1913259.463100__1.463100	39491__A0A396FKG5__DXB76_07455
ERR1913259.463056__1.463056	1262848__R6UBK6__BN818_00686
ERR1913259.463227__1.463227	2173__R7PV46__BK798_00245
ERR1913259.463495__1.463495	39491__A0A396FFW0__ERE_10580
ERR1913259.463704__1.463704	1681__A0A133KP67__BBB_1587
ERR1913259.463826__1.463826	1263107__GCA_000436995.1_00142
ERR1913259.464103__1.464103	74426__asnS
ERR1913259.464220__1.464220	239935__A0A2N8HZW2__A4V05_11120
ERR1913259.464631__1.464631	418240__R7CMK4__ERS852478_03653
ERR1913259.464954__1.464954	239935__A0A2N8I1R3__CXU05_06075
ERR1913259.465086__1.465086	418240__C6JFD7__ERS852523_02475
ERR1913259.465170__1.465170	907__G0VM45__JY94_02560
ERR1913259.465266__1.465266	239935__A0A2N8I6R6__CXU04_04335
ERR1913259.465444__1.465444	1681__A0A0H3E8L0__DXD31_03505
ERR1913259.465469__1.465469	1318__A0A0F3H7C3__lepB
ERR1913259.465634__1.465634	239935__R6JCH3__CXT95_08205
ERR1913259.465646__1.465646	39485__A0A174YVL0__xynZ_2
ERR1913259.465773__1.465773	371601__I9AJD5__BN890_44160
ERR1913259.465855__1.465855	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913259.465832__1.465832	1550024__A0A3B9WFL2__ASJ35_03875
ERR1913259.466026__1.466026	239935__R7E524__CXT91_06180
ERR1913259.466027__1.466027	239935__R7E524__CXT91_06180
ERR1913259.466132__1.466132	216816__D6DAZ0__DXD28_02040
ERR1913259.466233__1.466233	239935__A0A2N8I8X8__B5G29_00185
ERR1913259.466262__1.466262	1681__A0A0H2P0H2__IF232_0799
ERR1913259.466364__1.466364	357276__I9R994__BACDOR_04044
ERR1913259.466370__1.466370	246787__R6KCH8__csbC
ERR1913259.466786__1.466786	239935__A0A2N8IVK9__CXU08_03750
ERR1913259.466859__1.466859	1776045__A0A0U5J7K7__BN3456_00132
ERR1913259.467418__1.467418	1262924__R7HU74__BN585_00690
ERR1913259.467389__1.467389	39491__C4Z9E9__T1815_12341
ERR1913259.467544__1.467544	39491__A0A396FQV7__T1815_10751
ERR1913259.467592__1.467592	1897011__A0A1Q6RGZ3__BHW41_01455
ERR1913259.467794__1.467794	39491__A0A395V1R3__T1815_08181
ERR1913259.467876__1.467876	239935__A0A2N8HB50__CXU17_02615
ERR1913259.468141__1.468141	1680__R5GR82__AD0028_0014
ERR1913259.468359__1.468359	357276__A0A0K2HKT7__B5F95_21090
ERR1913259.468551__1.468551	33043__A0A173X520__ERS852575_01617
ERR1913259.468989__1.468989	39486__B0G7S5__DXD50_04355
ERR1913259.469133__1.469133	40518__R5DNI6__RBATCC27255_00844
ERR1913259.469228__1.469228	28025__A0A0L7CWM5__BALAC2494_00678
ERR1913259.469283__1.469283	1262848__R6TZN4__BN818_00122
ERR1913259.469362__1.469362	39491__A0A174K9A3__DXB69_07785
ERR1913259.470046__1.470046	1150298__R7JUW7__ERS852406_02089
ERR1913259.470106__1.470106	1550024__A0A0W7TUB9__TQ39_04420
ERR1913259.470359__1.470359	1897011__A0A1Q6RDJ0__BHW41_05420
ERR1913259.470364__1.470364	39491__A0A395ZF49__DXB69_05290
ERR1913259.470441__1.470441	40518__R5DR96__RBATCC27255_01185
ERR1913259.470463__1.470463	853__A0A174BZY1__xerD_1
ERR1913259.470465__1.470465	1681__A0A0M4LK35__LMG13200_0631
ERR1913259.470478__1.470478	1897011__A0A1Q6RGE1__BHW41_02880
ERR1913259.470574__1.470574	1550024__A0A0D8IY45__ASJ35_05575
ERR1913259.470815__1.470815	821__A0A174WBC9__ERS852556_03145
ERR1913259.470832__1.470832	239935__A0A139TTZ7__CXU14_07900
ERR1913259.470871__1.470871	1680__A0A173XYA2__B0703_0121
ERR1913259.470877__1.470877	39496__A5Z5I2__EUBVEN_00963
ERR1913259.470919__1.470919	1680__A0A174BEE7__BSTER_1311
ERR1913259.471041__1.471041	357276__B6W5Q9__HMPREF1063_03125
ERR1913259.471111__1.471111	116085__D4J8E0__DW747_09165
ERR1913259.471204__1.471204	745368__A0A1T4WPJ1__SAMN02745178_00919
ERR1913259.471351__1.471351	1262882__R5MFA5__BN519_00331
ERR1913259.471629__1.471629	820__A0A174M9V5__M093_0237
ERR1913259.471911__1.471911	39491__A0A395ZDC6__addB
ERR1913259.471932__1.471932	820__A0A173YYG4__evgS_3
ERR1913259.471959__1.471959	301301__A0A395V747__ERS852391_01535
ERR1913259.472025__1.472025	39491__A0A395ZG74__licR
ERR1913259.472130__1.472130	1262736__R5Y3F9__BN496_01794
ERR1913259.472296__1.472296	1550024__G9RWE3__TQ39_04170
ERR1913259.472410__1.472410	1262924__R7HQB3__BN585_00435
ERR1913259.472499__1.472499	216816__B3DP82__DVB78_09640
ERR1913259.472678__1.472678	2173__A0A1D2WU48__Msm_1454
ERR1913259.472687__1.472687	239935__A0A2N8HTZ8__CXU09_01270
ERR1913259.472732__1.472732	471189__GCA_003340385.1_00061
ERR1913259.472999__1.472999	40520__A0A395ZYQ3__RUMOBE_02371
ERR1913259.472973__1.472973	39491__A0A395UZ82__EUR_31520
ERR1913259.472979__1.472979	1680__A0A173W9E6__C8077_07070
ERR1913259.473045__1.473045	1262911__R6GT99__BN557_01335
ERR1913259.473058__1.473058	2173__A0A1D2WU54__METSMIALI_00342
ERR1913259.473311__1.473311	1628085__A0A1C5YAJ9__C7386_10197
ERR1913259.473411__1.473411	1550024__A0A0D8IVV4__ASJ35_03610
ERR1913259.473420__1.473420	418240__A0A173XCL4__ERS852523_02725
ERR1913259.473490__1.473490	1681__A0A0H3EAZ2__DD686_05555
ERR1913259.473503__1.473503	39491__A0A396FF66__DXD95_01810
ERR1913259.473653__1.473653	357276__B6W5Q9__HMPREF1063_03125
ERR1913259.473725__1.473725	239935__B2UQB8__CXT86_01740
ERR1913259.473749__1.473749	357276__A0A076J0Y3__IY41_06810
ERR1913259.473956__1.473956	1681__A0A0E2ZCN8__DXD31_01560
ERR1913259.473999__1.473999	239935__A0A2N8IUQ8__CXU09_01665
ERR1913259.474246__1.474246	40520__A0A174FIC2__DXD81_07000
ERR1913259.474276__1.474276	1472761__GCA_002159295.1_01584
ERR1913259.474289__1.474289	216816__A0A396FVC5__BL71B_00290
ERR1913259.474582__1.474582	1262848__R6U4C5__BN818_01040
ERR1913259.474630__1.474630	1680__A0A174BEE7__BSTER_1311
ERR1913259.474856__1.474856	1308__A0A2U2M5Q0__CV716_04760
ERR1913259.474949__1.474949	239935__A0A2N8HT44__CXT84_11035
ERR1913259.474986__1.474986	410072__A0A173XQG6__ERS852574_01620
ERR1913259.475255__1.475255	239935__R7E524__CXT91_06180
ERR1913259.475542__1.475542	357276__I8WAB8__B5F00_08100
ERR1913259.475600__1.475600	2173__A0A1D2WRY2__Msm_1736
ERR1913259.475632__1.475632	1150298__A0A174LLX0__dhaD
ERR1913259.475666__1.475666	1681__E4VCD3__BIFI_0514
ERR1913259.475707__1.475707	39492__D4JWB3__EUBSIR_00040
ERR1913259.476246__1.476246	1703337__A0A2U0U7Q7__C7379_11089
ERR1913259.476350__1.476350	28111__E5X3P5__HMPREF1016_03553
ERR1913259.476484__1.476484	239935__A0A139TVJ4__CXT86_02020
ERR1913259.476777__1.476777	39492__D4JRV7__EUBSIR_01513
ERR1913259.476813__1.476813	1262924__R7HMF7__BN585_01507
ERR1913259.477133__1.477133	39491__D6DXZ8__DXB72_15035
ERR1913259.477260__1.477260	357276__I8VQA2__HMPREF1065_04183
ERR1913259.477312__1.477312	28025__D3R7Q6__Balac_0120
ERR1913259.477448__1.477448	39491__R6TQ09__DXC13_03010
ERR1913259.477453__1.477453	239935__A0A2N8I3G2__CXT89_00720
ERR1913259.477586__1.477586	239935__R7DVW2__CXU02_03915
ERR1913259.477818__1.477818	1150298__R7JU97__ERS852498_02579
ERR1913259.477871__1.477871	418240__A0A173XR73__ERS852478_00400
ERR1913259.478112__1.478112	1150298__A0A174HYM9__ERS852406_01664
ERR1913259.478118__1.478118	1262848__R6UGM0__BN818_00635
ERR1913259.478123__1.478123	1263107__GCA_000436995.1_00142
ERR1913259.478282__1.478282	1262736__R5Y1K8__BN496_00775
ERR1913259.478357__1.478357	1680__A0A076JM61__DXD63_05245
ERR1913259.478476__1.478476	1550024__G9RZG0__ASJ35_05540
ERR1913259.478639__1.478639	239935__A0A2N8HT44__CXT84_11035
ERR1913259.478752__1.478752	357276__A0A1Y3Z6X3__GV66_07715
ERR1913259.479001__1.479001	28025__A0A0L7BUQ4__Balat_0268
ERR1913259.479076__1.479076	39488__A0A173U8N3__yhbU_1
ERR1913259.479330__1.479330	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913259.479603__1.479603	907__G0VRJ9__SAMN04488492_101228
ERR1913259.479685__1.479685	239935__A0A2N8IRL2__CXU06_01170
ERR1913259.479669__1.479669	267818__A0A0R1PNH5__B8W86_10335
ERR1913259.479750__1.479750	39491__C4ZAT2__ERE_28440
ERR1913259.479751__1.479751	1262848__R6V8P9__BN818_00594
ERR1913259.479761__1.479761	39491__A0A395ZGE4__ERS852497_01269
ERR1913259.479874__1.479874	745368__A0A1T4XU57__SAMN02745178_02337
ERR1913259.479967__1.479967	28025__D3R793__BAAM0483_01585
ERR1913259.480122__1.480122	39491__C4Z872__LD38_07250
ERR1913259.480317__1.480317	216816__A0A0M0VK23__BLGT_09805
ERR1913259.480436__1.480436	1262848__R6U3I8__BN818_00546
ERR1913259.480612__1.480612	74426__rpoC
ERR1913259.480705__1.480705	357276__I8WEZ6__BACDOR_02323
ERR1913259.480992__1.480992	116085__D4JBE4__DW747_01960
ERR1913259.481058__1.481058	1263000__R5ETL6__BN466_01607
ERR1913259.481103__1.481103	239935__A0A2N8IKW7__pstA
ERR1913259.481120__1.481120	74426__group_1871
ERR1913259.481251__1.481251	39491__A0A395ZE48__DXB76_02395
ERR1913259.481371__1.481371	239935__B2UQP8__CXU15_01110
ERR1913259.481659__1.481659	39491__A0A174LTW7__DXD13_08720
ERR1913259.481710__1.481710	2173__A0A1D2WSY5__METSMIF1_03017
ERR1913259.481761__1.481761	1680__A0A1E7XZY9__DXC60_05815
ERR1913259.481832__1.481832	28117__B0MWC6__BHV66_00965
ERR1913259.481991__1.481991	39491__A0A395ZKJ0__DXD13_11010
ERR1913259.482000__1.482000	301301__A0A395VG51__RHOM_05870
ERR1913259.482302__1.482302	1680__A0A174BEE7__BSTER_1311
ERR1913259.482413__1.482413	820__A0A3E4QZJ7__C801_01798
ERR1913259.482375__1.482375	357276__A0A076INK2__BSEG_04225
ERR1913259.482564__1.482564	1680__R5GKP2__DXD60_06200
ERR1913259.482623__1.482623	40520__R7D6X4__addA
ERR1913259.482682__1.482682	1262848__R6V8J8__BN818_00569
ERR1913259.482798__1.482798	820__A0A396CMY7__HMPREF1072_03009
ERR1913259.482870__1.482870	820__A0A139JRS5__HMPREF1073_04025
