ERR1913271.7__1.7	1628085__A0A396QTT4__C7386_103139
ERR1913271.390567__1.390567	1628085__A0A2U1BGN2__C7386_10147
ERR1913271.390576__1.390576	1628085__A0A2U1B8P6__C7386_11432
ERR1913271.390610__1.390610	166486__D4KWZ7__cph2_5
ERR1913271.390967__1.390967	166486__D4L082__yicI_5
ERR1913271.390933__1.390933	818__E5C5U7__SAMN05216253_101163
ERR1913271.390937__1.390937	1304__J7SI29__DL08_08910
ERR1913271.391034__1.391034	28116__A0A139KS89__HMPREF2532_04387
ERR1913271.391607__1.391607	166486__D4KZP0__ERS852572_00486
ERR1913271.391617__1.391617	166486__D4L457__ROSINTL182_07087
ERR1913271.391748__1.391748	33038__A0A2N5NXH5__CDL27_14300
ERR1913271.391824__1.391824	216816__Q8G464__BFS25_05925
ERR1913271.391976__1.391976	166486__A0A173VSP1__ERS852572_03465
ERR1913271.391996__1.391996	821__A0A173XDD3__DXB82_17180
ERR1913271.392099__1.392099	166486__D4L337__msbA_4
ERR1913271.392119__1.392119	166486__D4L334__mcp3_1
ERR1913271.392142__1.392142	817__K1FR66__M075_3803
ERR1913271.392405__1.392405	166486__D4L1D8__ROSINTL182_06455
ERR1913271.392398__1.392398	821__A0A396EVC9__DXB90_03525
ERR1913271.392704__1.392704	39488__A0A174DBY3__DXD91_08835
ERR1913271.392820__1.392820	166486__D4L2T9__lytM
ERR1913271.393115__1.393115	817__Q64VX6__M085_5191
ERR1913271.393129__1.393129	818__A0A139KMC9__C799_02694
ERR1913271.393164__1.393164	1235793__R9KSF0__C809_01679
ERR1913271.393255__1.393255	166486__D4KWN0__ERS852572_00733
ERR1913271.393317__1.393317	214856__A0A174FWM7__ERS852559_00590
ERR1913271.393381__1.393381	28117__B0MYI9__BHV66_05415
ERR1913271.393493__1.393493	166486__D4KY48__gmr_5
ERR1913271.393609__1.393609	208479__R5F7H9__HMPREF1085_04485
ERR1913271.393750__1.393750	818__D7I7V5__BJP75_001030
ERR1913271.393813__1.393813	28117__B0MXI8__BHV66_08505
ERR1913271.393980__1.393980	1262992__R5D3R1__BN795_01492
ERR1913271.393942__1.393942	166486__D4KZI1__ERS852572_00422
ERR1913271.394212__1.394212	357276__I9QBT7__BSEG_03340
ERR1913271.394463__1.394463	817__A0A081UA45__M112_0802
ERR1913271.394610__1.394610	166486__A0A173VSA0__ROSINTL182_06124
ERR1913271.394555__1.394555	28117__R7JPX7__BHV66_00900
ERR1913271.394799__1.394799	818__A0A174VV39__BT_3492
ERR1913271.394854__1.394854	166486__A0A173T114__ROSINTL182_05085
ERR1913271.394928__1.394928	166486__A0A173VTG0__ROSINTL182_06283
ERR1913271.394939__1.394939	821__A0A174JYD3__ERS852457_02610
ERR1913271.395238__1.395238	821__A0A174JYD3__ERS852457_02610
ERR1913271.395297__1.395297	818__A0A0P0FI06__BJP75_017205
ERR1913271.395317__1.395317	487174__K0WV96__HMPREF9448_01901
ERR1913271.395355__1.395355	818__A0A3E5HHE1__Btheta7330_00796
ERR1913271.395393__1.395393	166486__A0A173T114__ROSINTL182_05085
ERR1913271.395648__1.395648	29361__B6FRT6__CLONEX_02860
ERR1913271.395717__1.395717	817__A0A2M9USR2__CQW36_03433
ERR1913271.395794__1.395794	166486__D4KZC1__btr_1
ERR1913271.395827__1.395827	28117__B0MYM2__BHV66_04910
ERR1913271.395829__1.395829	821__R6F3Y1__SAMN04487923_104318
ERR1913271.396026__1.396026	821__A0A396F9T7__M097_3427
ERR1913271.396084__1.396084	28117__B0MXR4__BHV66_08025
ERR1913271.396307__1.396307	214856__A0A174FY07__ERS852447_02457
ERR1913271.396427__1.396427	853__A0A2A7B9I6__DW855_13690
ERR1913271.396490__1.396490	218538__C9LM13__csm4
ERR1913271.396459__1.396459	166486__D4L1P5__ERS852572_00758
ERR1913271.396567__1.396567	28117__B0MY82__BHV66_04755
ERR1913271.396603__1.396603	166486__D4L2C3__ERS852572_01686
ERR1913271.396918__1.396918	166486__D4KZC1__btr_1
ERR1913271.396941__1.396941	1628085__A0A396QCK7__C7386_10670
ERR1913271.397031__1.397031	817__K1FR66__M075_3803
ERR1913271.397036__1.397036	166486__D4L337__msbA_4
ERR1913271.397081__1.397081	821__A0A0P0M4G3__M099_3092
ERR1913271.397102__1.397102	28116__A7LS06__HMPREF2532_04668
ERR1913271.397105__1.397105	28116__F7LC60__AA414_00422
ERR1913271.397356__1.397356	28118__F9Z3J9__B5F93_07500
ERR1913271.397539__1.397539	649756__E5VJS7__mecR1_3
ERR1913271.397500__1.397500	166486__D4KJ71__ERS852572_03479
ERR1913271.397725__1.397725	28116__D4WLZ3__C5Z02_24105
ERR1913271.397873__1.397873	214856__A0A174FX52__yddM
ERR1913271.398161__1.398161	28117__B0N007__BHV66_10275
ERR1913271.398226__1.398226	218538__C9LPF0__GCWU000321_01429
ERR1913271.398190__1.398190	818__Q8A0V7__BSIG_2755
ERR1913271.398352__1.398352	28117__B0MTS2__ALIPUT_00159
ERR1913271.398542__1.398542	1262899__R7JA93__BN657_00208
ERR1913271.398668__1.398668	556259__I0PXW0__BSGG_5187
ERR1913271.398694__1.398694	28118__F9Z9X9__DF785_11470
ERR1913271.398858__1.398858	821__A6L0C7__ERS852556_03520
ERR1913271.398957__1.398957	166486__D4KZ45__ROSINTL182_05738
ERR1913271.398919__1.398919	166486__D4KWM9__ROSINTL182_06036
ERR1913271.399186__1.399186	39485__A0A174ZBK4__ERS852490_01585
ERR1913271.399260__1.399260	821__A0A0P0M3U7__DXB90_14325
ERR1913271.399509__1.399509	649756__A0A173R860__DO83_09130
ERR1913271.399656__1.399656	28117__B0MY40__BHV66_05170
ERR1913271.399769__1.399769	1628085__A0A2U1B8P6__C7386_11432
ERR1913271.399939__1.399939	166486__D4KV78__aroA
ERR1913271.399971__1.399971	1262992__R5DA07__BN795_01576
ERR1913271.400056__1.400056	821__E5UMZ6__BVU_1450
ERR1913271.400097__1.400097	853__A0A2A7B1Y7__C7K05_11930
ERR1913271.400274__1.400274	166486__D4KJ71__ERS852572_03479
ERR1913271.400407__1.400407	28117__R7JG17__ALIPUT_01859
ERR1913271.400915__1.400915	166486__A0A1Q6SG96__ROSINTL182_05330
ERR1913271.400878__1.400878	166486__D4KZF9__ROSINTL182_08499
ERR1913271.400882__1.400882	166486__C7GCP5__ROSINTL182_07683
ERR1913271.401036__1.401036	28117__B0MXR1__BHV66_08035
ERR1913271.401132__1.401132	218538__C9LPN3__GCWU000321_01513
ERR1913271.401330__1.401330	166486__D4KXA6__ROSINTL182_05897
ERR1913271.401333__1.401333	166486__D4KUE4__ROSINTL182_08606
ERR1913271.401344__1.401344	208479__A8RP18__HMPREF1085_04904
ERR1913271.401405__1.401405	1262882__R5MRS7__BN519_01490
ERR1913271.401549__1.401549	28117__B0MVL5__BHV66_01660
ERR1913271.401550__1.401550	487174__K0X3E9__DDY40_04905
ERR1913271.401924__1.401924	328814__GCA_004558275.1_01745
ERR1913271.402178__1.402178	166486__A0A173V5I7__ERS852572_02640
ERR1913271.402179__1.402179	853__A0A3E2V168__FAEPRAM212_00929
ERR1913271.402491__1.402491	166486__D4KQG8__ERS852572_02379
ERR1913271.402844__1.402844	239935__A0A2N8IF99__lpdA
ERR1913271.402862__1.402862	28118__F9ZBZ0__DHW44_07740
ERR1913271.402916__1.402916	166486__D4KZ14__inlA_1
ERR1913271.403193__1.403193	649756__D4MU45__ERS852425_01466
ERR1913271.403250__1.403250	1263109__GCA_000438135.1_00733
ERR1913271.403612__1.403612	1262992__R5D2Z2__BN795_00316
ERR1913271.403910__1.403910	33038__A0A2N5NQ00__HMPREF1201_01708
ERR1913271.403941__1.403941	384638__B7AVU0__BACPEC_02840
ERR1913271.403983__1.403983	817__A0A396C3S8__CQW36_02929
ERR1913271.403993__1.403993	166486__D4KZF9__ROSINTL182_08499
ERR1913271.404235__1.404235	1150298__A0A174LKY6__ERS852535_00447
ERR1913271.404263__1.404263	1150298__R7JSS6__ERS852535_01362
ERR1913271.404834__1.404834	214856__A0A174ZEF7__mboIIM_1
ERR1913271.404838__1.404838	556259__E5CDJ3__BSGG_3516
ERR1913271.404927__1.404927	166486__D4L457__ROSINTL182_07087
ERR1913271.405377__1.405377	818__A0A174WSX6__Btheta7330_01915
ERR1913271.405461__1.405461	166486__A0A173RAP7__ROSINTL182_07969
ERR1913271.405528__1.405528	1262992__R5DDC9__BN795_00492
ERR1913271.405572__1.405572	61171__B9Y5T8__HOLDEFILI_01170
ERR1913271.405913__1.405913	671267__R9ICM6__C802_00589
ERR1913271.405879__1.405879	817__K1FR66__M075_3803
ERR1913271.405887__1.405887	1262893__R5H7Y7__BN782_00665
ERR1913271.405966__1.405966	28117__B0MXQ6__ALIPUT_01917
ERR1913271.406025__1.406025	1150298__A0A174EA00__ERS852406_01720
ERR1913271.406093__1.406093	166486__D4L0Q4__ERS852572_03675
ERR1913271.406130__1.406130	28117__B0MTY2__BHV66_06485
ERR1913271.406235__1.406235	821__A0A396EVC9__DXB90_03525
ERR1913271.406253__1.406253	106588__A6P303__BACCAP_04887
ERR1913271.406366__1.406366	39485__A0A174YNW2__cph2_3
ERR1913271.406843__1.406843	1262899__R7J846__BN657_01795
ERR1913271.406850__1.406850	818__A0A3E5HN77__HMPREF2534_00072
ERR1913271.406931__1.406931	821__A0A174V2F3__NCTC10583_01474
ERR1913271.406961__1.406961	821__A0A173XDD3__DXB82_17180
ERR1913271.406964__1.406964	853__A0A174C5M1__CGS58_04460
ERR1913271.407058__1.407058	487174__K0X429__HMPREF9448_00932
ERR1913271.407074__1.407074	821__A0A174V2F3__NCTC10583_01474
ERR1913271.407284__1.407284	1262992__R5DH03__BN795_00664
ERR1913271.407569__1.407569	817__A0A396EMA4__M108_0298
ERR1913271.407626__1.407626	39485__C4Z2I5__ERS852492_02214
ERR1913271.407776__1.407776	292800__U2BU47__ERS852544_01880
ERR1913271.407914__1.407914	1262992__R5CX54__BN795_00843
ERR1913271.407871__1.407871	214856__A0A174A0R8__ERS852447_00998
ERR1913271.407951__1.407951	1965604__A0A1Y4EJN3__B5F54_16620
ERR1913271.408110__1.408110	39496__A5Z5I2__EUBVEN_00963
ERR1913271.408237__1.408237	166486__D4KZ45__ROSINTL182_05738
ERR1913271.408250__1.408250	216816__C5E9C3__CJO32_03030
ERR1913271.408304__1.408304	216816__C2GTH2__CE159_03580
ERR1913271.408322__1.408322	218538__C9LPF0__GCWU000321_01429
ERR1913271.408336__1.408336	166486__D4L1D0__ROSINTL182_06446
ERR1913271.408587__1.408587	1262888__R6QEP0__BN582_00774
ERR1913271.408566__1.408566	166486__D4KWT3__ROSINTL182_05973
ERR1913271.408680__1.408680	208479__N9XIU7__CGC65_19335
ERR1913271.408754__1.408754	28118__F9ZAB2__SAMEA44545918_01079
ERR1913271.408963__1.408963	1262992__R5D1X3__BN795_00176
ERR1913271.409010__1.409010	371601__A0A1H4EI15__SAMN05216250_1169
ERR1913271.409087__1.409087	166486__D4KZ14__inlA_1
ERR1913271.409101__1.409101	853__A0A329UEG4__CHR60_00585
ERR1913271.409170__1.409170	853__A0A3E2V168__FAEPRAM212_00929
ERR1913271.409371__1.409371	818__A0A1H7TGM1__BJP75_010615
ERR1913271.409324__1.409324	214856__A0A174H3U9__ERS852559_00612
ERR1913271.409382__1.409382	853__A0A2A7B9I6__DW855_13690
ERR1913271.409527__1.409527	1263107__GCA_000436995.1_00018
ERR1913271.409598__1.409598	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913271.409774__1.409774	1302__A0A1V0H086__NCTC7865_00396
ERR1913271.409904__1.409904	214856__A0A174A0P3__ERS852447_00994
ERR1913271.410104__1.410104	818__Q8A0V7__BSIG_2755
ERR1913271.410128__1.410128	853__A0A174BZY1__xerD_1
ERR1913271.410136__1.410136	818__A0A174RX04__BJP75_008800
ERR1913271.410284__1.410284	166486__R6AZI2__ydaF
ERR1913271.410292__1.410292	818__A0A3E5HNS1__BSIG_0465
ERR1913271.410315__1.410315	817__F7LVE5__HMPREF1066_03880
ERR1913271.410436__1.410436	28117__B0MT84__ALIPUT_00402
ERR1913271.410754__1.410754	216816__C2GV16__APC1504_1666
ERR1913271.410982__1.410982	166486__D4KXK8__xynB_1
ERR1913271.411394__1.411394	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913271.411502__1.411502	28117__B0MU76__ALIPUT_00202
ERR1913271.411521__1.411521	817__A0A0E2SQU5__M067_3544
ERR1913271.411593__1.411593	1262992__R5D4Q0__BN795_01630
ERR1913271.411635__1.411635	28117__B0MTV3__BHV66_06405
ERR1913271.411676__1.411676	28116__I9JM49__NCTC11153_01044
ERR1913271.411728__1.411728	1262744__R6FST0__BN744_00381
ERR1913271.411763__1.411763	166486__D4L458__ROSINTL182_07088
ERR1913271.411849__1.411849	818__A0A139L1N9__ERS852430_00647
ERR1913271.411984__1.411984	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913271.412193__1.412193	28116__R6JIR4__DXA80_14190
ERR1913271.412152__1.412152	166486__A0A173VSA0__ROSINTL182_06124
ERR1913271.412138__1.412138	357276__I9QBT7__BSEG_03340
ERR1913271.412378__1.412378	172901__A0A2U1ALK4__C8D82_13132
ERR1913271.412384__1.412384	818__Q8A0R7__ERS852461_00039
ERR1913271.412413__1.412413	218538__C9LPF0__GCWU000321_01429
ERR1913271.412487__1.412487	487174__K0X1D9__HMPREF9448_00919
ERR1913271.412524__1.412524	39485__C4Z0S8__hisK
ERR1913271.412671__1.412671	1263109__GCA_000438135.1_00482
ERR1913271.412737__1.412737	821__A0A174AYT0__DXC02_03530
ERR1913271.413142__1.413142	818__A0A2J6AAG0__C5Z03_04510
ERR1913271.413354__1.413354	818__R7KVH8__SAMN02910322_00597
ERR1913271.413478__1.413478	853__A0A174C5M1__CGS58_04460
ERR1913271.413493__1.413493	28117__B0MYI9__BHV66_05415
ERR1913271.414148__1.414148	216816__A0A133LQN7__BL15B_00780
ERR1913271.414267__1.414267	166486__D4KZ24__ROSINTL182_05766
ERR1913271.414423__1.414423	166486__D4KYM4__ERS852572_02981
ERR1913271.414514__1.414514	649756__A0A173SZT9__ptsG_1
ERR1913271.414614__1.414614	817__A0A0E2TD90__BWP07_06930
ERR1913271.414643__1.414643	818__A0A3E5HXH0__NCTC13706_02166
ERR1913271.414644__1.414644	214856__A0A174FWM7__ERS852559_00590
ERR1913271.414736__1.414736	166486__D4L082__yicI_5
ERR1913271.414817__1.414817	28116__E5C3L0__B5F02_21065
ERR1913271.414976__1.414976	1262992__R5D9A6__BN795_00819
ERR1913271.415206__1.415206	39485__A0A174Z501__EUBELI_00678
ERR1913271.415140__1.415140	487174__K0WUW8__DDY40_02615
ERR1913271.415513__1.415513	649756__D4MUP2__atpH_2
ERR1913271.415517__1.415517	74426__nifJ
ERR1913271.415518__1.415518	166486__D4KJ71__ERS852572_03479
ERR1913271.415536__1.415536	821__A0A174RA14__M099_1655
ERR1913271.415708__1.415708	166486__D4KYM4__ERS852572_02981
ERR1913271.415827__1.415827	1628085__A0A2U1BCV0__C7386_1063
ERR1913271.416007__1.416007	253839__D9VQ27__SSNG_03091
ERR1913271.416159__1.416159	853__A0A3E2U7E6__ERS852582_01640
ERR1913271.416268__1.416268	39485__A0A174ZNZ2__ERS852492_02345
ERR1913271.416339__1.416339	817__A0A0E2SZV3__M087_0730
ERR1913271.416357__1.416357	458033__GCA_001482755.1_02203
ERR1913271.416535__1.416535	160404__A0A1M6V2D4__SAMN02745138_02297
ERR1913271.416562__1.416562	166486__A0A173T114__ROSINTL182_05085
ERR1913271.416586__1.416586	166486__D4KWV3__ROSINTL182_07514
ERR1913271.416757__1.416757	214856__A0A174A257__ERS852447_01007
ERR1913271.417016__1.417016	292800__A0A1C7FN51__B5F52_17075
ERR1913271.417151__1.417151	817__A0A396EMA4__M108_0298
ERR1913271.417162__1.417162	166486__D4KUK5__thiM
ERR1913271.417304__1.417304	214856__A0A174ZB00__ERS852559_00631
ERR1913271.417362__1.417362	649756__D4MV02__CL2_23590
ERR1913271.417404__1.417404	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913271.417503__1.417503	821__A0A396F9T7__M097_3427
ERR1913271.417611__1.417611	821__A0A0P0LJ37__DXB82_14270
ERR1913271.417709__1.417709	166486__D4KPQ7__ROSINTL182_09065
ERR1913271.417900__1.417900	818__Q89ZX6__ERS852511_03600
ERR1913271.418144__1.418144	239935__A0A2N8I693__CXU17_08410
ERR1913271.418263__1.418263	821__A0A395US34__C5Z04_18975
ERR1913271.418388__1.418388	28117__R7JN92__BHV66_00550
ERR1913271.418583__1.418583	28117__R7JPX7__BHV66_00900
ERR1913271.418920__1.418920	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913271.419078__1.419078	39485__A0A174Z1A6__EUBELI_00220
ERR1913271.419293__1.419293	218538__C9LPF0__GCWU000321_01429
ERR1913271.419242__1.419242	818__R7KP04__C5Z03_18665
ERR1913271.419368__1.419368	166486__A0A173V5I7__ERS852572_02640
ERR1913271.419372__1.419372	1232426__sugC_1
ERR1913271.419704__1.419704	28116__A0A1Y4PWN5__M088_3731
ERR1913271.419897__1.419897	649756__A0A174L4G4__cls_1
ERR1913271.419958__1.419958	166486__D4L337__msbA_4
ERR1913271.420024__1.420024	166486__D4KZW9__degS
ERR1913271.420025__1.420025	817__A0A396C3S8__CQW36_02929
ERR1913271.420096__1.420096	28116__A7M344__BACOV975_04644
ERR1913271.420148__1.420148	166486__A0A173V5I7__ERS852572_02640
ERR1913271.420756__1.420756	61171__B9Y2L8__HOLDEFILI_00043
ERR1913271.420674__1.420674	28116__D7K7K3__SAMN05192581_103348
ERR1913271.421082__1.421082	1150298__A0A174SLE6__mlc_1
ERR1913271.421186__1.421186	1965604__A0A1Y4F093__B5F54_11590
ERR1913271.421313__1.421313	39485__C4Z0S8__hisK
ERR1913271.421319__1.421319	817__Q64UC5__M139_2208
ERR1913271.421372__1.421372	39485__A0A174ZNW9__luxQ_1
ERR1913271.421374__1.421374	1262992__R5DAK8__BN795_01248
ERR1913271.421502__1.421502	649756__B0NZZ8__DO83_09740
ERR1913271.421524__1.421524	1608898__A0A1B8QZS5__HMPREF3279_04950
ERR1913271.421562__1.421562	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913271.421535__1.421535	39485__A0A174YZZ2__ERS852492_00215
ERR1913271.421775__1.421775	166486__D4L457__ROSINTL182_07087
ERR1913271.421800__1.421800	1262992__R5D2Z2__BN795_00316
ERR1913271.421810__1.421810	649756__D4MZI8__ERS852387_00933
ERR1913271.421868__1.421868	1235790__S0J8L6__C805_00148
ERR1913271.421914__1.421914	214856__A0A174ZLY7__ERS852447_02456
ERR1913271.421993__1.421993	218538__C9LPN3__GCWU000321_01513
ERR1913271.422040__1.422040	28116__R6JIR4__DXA80_14190
ERR1913271.422245__1.422245	817__A0A396EEF1__HMPREF2533_00532
ERR1913271.422567__1.422567	166486__D4KWN0__ERS852572_00733
ERR1913271.422529__1.422529	1304__A0A074JJW4__RSSL_00707
ERR1913271.422618__1.422618	166486__A0A1Q6SCR5__ROSINTL182_05686
ERR1913271.422640__1.422640	821__C3RB94__DXC03_15585
ERR1913271.422712__1.422712	166486__D4KPQ7__ROSINTL182_09065
ERR1913271.422766__1.422766	166486__D4L1D0__ROSINTL182_06446
ERR1913271.422866__1.422866	818__A0A174RFL1__ERS852511_03380
ERR1913271.422924__1.422924	556259__E5C445__BSGG_0931
ERR1913271.422947__1.422947	166486__D4KV38__ROSINTL182_06841
ERR1913271.422952__1.422952	166486__D4L3K7__ERS852572_00904
ERR1913271.422967__1.422967	821__A6L0C7__ERS852556_03520
ERR1913271.422989__1.422989	821__D4V4X2__DXC16_18525
ERR1913271.423211__1.423211	358743__G5HH24__HMPREF9469_01943
ERR1913271.423260__1.423260	28118__R6FH70__NCTC10826_02742
ERR1913271.423694__1.423694	28117__B0MYI9__BHV66_05415
ERR1913271.423788__1.423788	1262899__R7J4N7__BN657_01221
ERR1913271.423759__1.423759	1262888__R6PFM4__BN582_00334
ERR1913271.423955__1.423955	166486__A0A173T114__ROSINTL182_05085
ERR1913271.423910__1.423910	166486__D4KZ45__ROSINTL182_05738
ERR1913271.424053__1.424053	1263109__GCA_000438135.1_01118
ERR1913271.424370__1.424370	818__A0A139K9H8__C5Z03_23905
ERR1913271.424519__1.424519	28117__B0MXW9__ALIPUT_01981
ERR1913271.424763__1.424763	821__A0A174NM17__lacZ_6
ERR1913271.424814__1.424814	817__Q5LF48__M109_1766
ERR1913271.424837__1.424837	817__Q64W73__M108_1440
ERR1913271.424869__1.424869	166486__D4KUK5__thiM
ERR1913271.425036__1.425036	214856__A0A174H3U9__ERS852559_00612
ERR1913271.425044__1.425044	821__A0A174K302__CUU_3129
ERR1913271.425090__1.425090	817__Q64ZX9__M067_0167
ERR1913271.425223__1.425223	216816__A0A133L1E2__ptsP
ERR1913271.425371__1.425371	821__A0A0P0M2J4__DXD46_10295
ERR1913271.425426__1.425426	1262536__GeneID:16385454
ERR1913271.425532__1.425532	817__D1JRG3__M076_0507
ERR1913271.425549__1.425549	28117__B0MXG8__ALIPUT_01814
ERR1913271.425593__1.425593	28117__B0MU76__ALIPUT_00202
ERR1913271.425679__1.425679	28118__F9ZCN2__DF785_09230
ERR1913271.425892__1.425892	216816__B7GQF0__CE170_00160
ERR1913271.425971__1.425971	821__A0A0P0LH09__ERS852457_03390
ERR1913271.426240__1.426240	166486__D4KRN2__ERS852572_01816
ERR1913271.426769__1.426769	218538__C9LQU3__GCWU000321_01925
ERR1913271.426825__1.426825	1735__B7C7Q2__EUBIFOR_00200
ERR1913271.426828__1.426828	853__A0A174UDE9__C4N25_12775
ERR1913271.426986__1.426986	1150298__R7JRK4__ERS852406_01648
ERR1913271.427055__1.427055	166486__D4KUC4__arcB_1
ERR1913271.427033__1.427033	214856__A0A174ZB00__ERS852559_00631
ERR1913271.427194__1.427194	39490__U2PT08__LG34_00355
ERR1913271.427372__1.427372	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913271.427430__1.427430	166486__D4L2C5__ERS852572_01688
ERR1913271.427687__1.427687	853__C7H1R8__DW905_06675
ERR1913271.427793__1.427793	166486__D4KVZ2__cbiT
ERR1913271.427877__1.427877	28117__B0N007__BHV66_10275
ERR1913271.427941__1.427941	818__C6IEU8__BSIG_0269
ERR1913271.428397__1.428397	166486__D4KXA3__ROSINTL182_05894
ERR1913271.428425__1.428425	166486__D4KUE4__ROSINTL182_08606
ERR1913271.428482__1.428482	166486__D4KWZ7__cph2_5
ERR1913271.428487__1.428487	214856__A0A173ZPR4__ERS852447_00928
ERR1913271.428999__1.428999	649756__B0P0D0__ERS852571_02742
ERR1913271.429093__1.429093	1262992__R5DCG2__BN795_00315
ERR1913271.429165__1.429165	818__A0A139KQP8__BJP75_006755
ERR1913271.429935__1.429935	166486__D4L2C3__ERS852572_01686
ERR1913271.430025__1.430025	818__A0A3E5HY51__rpfC_2
ERR1913271.430087__1.430087	821__A0A3E4HP25__SAMN04487923_102450
ERR1913271.430218__1.430218	166486__A0A173V5I7__ERS852572_02640
ERR1913271.430264__1.430264	166486__D4L458__ROSINTL182_07088
ERR1913271.430311__1.430311	1531__R6KLE6__HMPREF1087_02904
ERR1913271.430416__1.430416	214856__A0A173ZSM1__ERS852447_00944
ERR1913271.430547__1.430547	328814__GCA_004558275.1_01743
ERR1913271.430637__1.430637	1262743__R5C054__BN727_01980
ERR1913271.430678__1.430678	166486__D4KVZ2__cbiT
ERR1913271.430731__1.430731	818__A0A174VV39__BT_3492
ERR1913271.430928__1.430928	818__E5C5U7__SAMN05216253_101163
ERR1913271.431263__1.431263	487174__K0WTW4__DDY40_12630
ERR1913271.431290__1.431290	817__E4W180__BF638R_4450
ERR1913271.431389__1.431389	39485__A0A174ZNZ2__ERS852492_02345
ERR1913271.431416__1.431416	216816__A0A0S2MI06__pepV
ERR1913271.431771__1.431771	649756__B0P3X0__DCR88_11535
ERR1913271.432053__1.432053	853__A0A2A7B1Y7__C7K05_11930
ERR1913271.432071__1.432071	166486__D4KZP0__ERS852572_00486
ERR1913271.432356__1.432356	1262992__R5D070__BN795_00072
ERR1913271.432677__1.432677	821__A0A0P0M405__DXC02_15075
ERR1913271.432932__1.432932	166486__D4L402__ROSINTL182_05182
ERR1913271.433022__1.433022	818__A0A1H7S810__BJP75_003270
ERR1913271.433063__1.433063	1262992__R5DG08__BN795_00475
ERR1913271.433085__1.433085	28117__B0MST8__ALIPUT_00310
ERR1913271.433102__1.433102	487174__K0X694__DIT83_09060
ERR1913271.433532__1.433532	853__A0A3E2V168__FAEPRAM212_00929
ERR1913271.433871__1.433871	1262899__R7J6U8__BN657_01620
ERR1913271.434011__1.434011	216816__C2GUV2__APC1478_0430
ERR1913271.434081__1.434081	39485__A0A174ZNW9__luxQ_1
ERR1913271.434048__1.434048	39485__A0A174YWE7__EUBELI_00979
ERR1913271.434183__1.434183	166486__D4L1D8__ROSINTL182_06455
ERR1913271.434405__1.434405	166486__D4KUC4__arcB_1
ERR1913271.434508__1.434508	853__A0A173TAZ8__DWZ46_14590
ERR1913271.434761__1.434761	29361__B6FRT6__CLONEX_02860
ERR1913271.434769__1.434769	818__A0A0P0FC49__C799_02008
ERR1913271.435030__1.435030	818__A0A139K7W4__ERS852511_00771
ERR1913271.434998__1.434998	1262873__R6WIF6__BN605_02142
ERR1913271.435116__1.435116	745368__A0A1T4XXN7__SAMN02745178_02496
ERR1913271.435212__1.435212	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913271.435388__1.435388	218538__C9LQ77__GCWU000321_01709
ERR1913271.435484__1.435484	39485__A0A174Z9M2__yhbU_1
ERR1913271.435529__1.435529	853__E2ZGD9__C7J97_11715
ERR1913271.435606__1.435606	458033__GCA_001482755.1_02203
ERR1913271.435658__1.435658	166486__D4KVZ0__ERS852572_03130
ERR1913271.435733__1.435733	487174__K0X2W8__HMPREF9448_02611
ERR1913271.435763__1.435763	28117__B0MTH2__ALIPUT_00061
ERR1913271.435826__1.435826	818__R7KZU1__ERS852430_01306
ERR1913271.435969__1.435969	166486__D4KYM4__ERS852572_02981
ERR1913271.436063__1.436063	556259__I0PYM3__BSGG_5385
ERR1913271.436064__1.436064	1262882__R5N1N6__BN519_00968
ERR1913271.436069__1.436069	166486__D4KZC1__btr_1
ERR1913271.436205__1.436205	166486__D4KYW5__ROSINTL182_05595
ERR1913271.436209__1.436209	166486__R6AY46__ROSINTL182_06128
ERR1913271.436237__1.436237	216816__Q8G464__BFS25_05925
ERR1913271.436244__1.436244	28117__B0MST8__ALIPUT_00310
ERR1913271.436392__1.436392	649756__B0P1Y8__ERS852571_00196
ERR1913271.436306__1.436306	1735__B7CDP2__carA
ERR1913271.436341__1.436341	166486__D4L0J8__ROSINTL182_08089
ERR1913271.436511__1.436511	1735__B7CE32__EUBIFOR_02474
ERR1913271.436532__1.436532	28116__E5C458__BACOV975_02730
ERR1913271.436693__1.436693	166486__D4KZ78__ROSINTL182_05698
ERR1913271.436848__1.436848	1735__B7C8P1__EUBIFOR_00545
ERR1913271.436862__1.436862	853__C7H7F8__yccM_1
ERR1913271.436881__1.436881	818__A0A3E5H5M0__SAMN05216253_12081
ERR1913271.436980__1.436980	166486__D4KUC4__arcB_1
ERR1913271.437068__1.437068	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913271.437136__1.437136	166486__D4KWT3__ROSINTL182_05973
ERR1913271.437233__1.437233	649756__D4MZ13__DCR88_08760
ERR1913271.437614__1.437614	371601__G1UK36__HMPREF1074_03496
ERR1913271.437841__1.437841	853__A0A173XRA8__CGS56_09290
ERR1913271.437864__1.437864	818__D7I7V5__BJP75_001030
ERR1913271.438119__1.438119	556259__E5C7G5__BSGG_0441
