ERR1913199.530__1.530	544645__A0A3E4TGD2__DXC42_03440
ERR1913199.993772__1.993772	47678__A5ZEA3__ERS852558_00257
ERR1913199.993778__1.993778	821__U6RDC2__DXD46_15675
ERR1913199.993924__1.993924	454155__F3QYB1__HMPREF9442_03204
ERR1913199.993947__1.993947	821__D4VD59__BHV80_04260
ERR1913199.993957__1.993957	1628085__A0A2U1BC68__C7386_10857
ERR1913199.994220__1.994220	310298__B3JQJ5__BACCOP_04231
ERR1913199.994232__1.994232	216816__C2GUV2__APC1478_0430
ERR1913199.994298__1.994298	853__A0A173YYY4__DWZ04_09420
ERR1913199.994335__1.994335	371601__I9UPW7__BN890_25900
ERR1913199.994390__1.994390	357276__C3RA36__HMPREF1065_03270
ERR1913199.994391__1.994391	46503__R6Y9P8__evgS_3
ERR1913199.994455__1.994455	1262921__R5M9Y3__BN473_02321
ERR1913199.994569__1.994569	410072__A0A3E4GRE0__DXD67_07105
ERR1913199.994560__1.994560	820__A0A174GK47__ERS852421_00200
ERR1913199.994624__1.994624	821__A0A174JYD3__ERS852457_02610
ERR1913199.994725__1.994725	47678__A5ZI88__BACCAC_02617
ERR1913199.994727__1.994727	360807__A0A396AF38__RIL183_00781
ERR1913199.994733__1.994733	820__A0A374Q854__HMPREF1073_03281
ERR1913199.994911__1.994911	823__D7IXG8__ERS852560_01232
ERR1913199.994989__1.994989	357276__I9QBT4__GV66_09000
ERR1913199.994968__1.994968	39490__U2Q0B0__LG34_01570
ERR1913199.995139__1.995139	357276__A0A076ISJ4__B5F95_19420
ERR1913199.995173__1.995173	1262921__R5MCS7__BN473_00014
ERR1913199.995177__1.995177	649756__B0P1Y8__ERS852571_00196
ERR1913199.995296__1.995296	47678__R5UWN2__BACCAC_01649
ERR1913199.995298__1.995298	1262920__R5KD76__BN467_01465
ERR1913199.995390__1.995390	301302__R5UMB3__M72_01421
ERR1913199.995468__1.995468	853__A0A329UEG4__CHR60_00585
ERR1913199.995517__1.995517	166486__D4KZP0__ERS852572_00486
ERR1913199.995542__1.995542	301302__R5UTE0__ERS852420_02625
ERR1913199.995519__1.995519	818__A0A174VDI6__BSIG_1023
ERR1913199.995539__1.995539	166486__A0A173VTG0__ROSINTL182_06283
ERR1913199.995591__1.995591	410072__A0A173XU61__ykvU
ERR1913199.995581__1.995581	1735__A0A395WAL9__EUBIFOR_01618
ERR1913199.995668__1.995668	1628085__A0A1C5YNW1__C7386_101221
ERR1913199.995710__1.995710	821__A0A174K302__CUU_3129
ERR1913199.995715__1.995715	552398__F4XCQ4__HMPREF0866_01621
ERR1913199.995691__1.995691	46503__R6Y4M7__HMPREF1078_03269
ERR1913199.995743__1.995743	47678__A5ZB44__C5Z00_17730
ERR1913199.995744__1.995744	821__A0A173XDD3__DXB82_17180
ERR1913199.995755__1.995755	820__A0A3E4VZT7__DXB48_16145
ERR1913199.995760__1.995760	1262746__R5SRY0__BN750_01341
ERR1913199.995769__1.995769	310298__B3JQJ5__BACCOP_04231
ERR1913199.995845__1.995845	216816__A0A0M0VK23__BLGT_09805
ERR1913199.995816__1.995816	820__A0A174VD39__DXD90_12235
ERR1913199.995878__1.995878	820__A0A3E4W980__M093_3873
ERR1913199.995880__1.995880	39491__A0A173QT73__alaS_2
ERR1913199.995938__1.995938	166486__D4KPQ7__ROSINTL182_09065
ERR1913199.996056__1.996056	216816__F9XZU5__BBL306_1935
ERR1913199.996073__1.996073	357276__B6VVS0__HMPREF1064_03951
ERR1913199.996214__1.996214	820__R9I2U8__DXC68_09590
ERR1913199.996383__1.996383	357276__A0A076J9V8__BACDOR_01395
ERR1913199.996363__1.996363	301302__R5UJW6__ERS852420_01698
ERR1913199.996417__1.996417	853__A0A174C5M1__CGS58_04460
ERR1913199.996427__1.996427	39490__U2NW65__phoR_2
ERR1913199.996495__1.996495	33039__D4M0U3__ERS852577_02211
ERR1913199.996782__1.996782	821__C6ZAA5__ERS852556_00403
ERR1913199.996792__1.996792	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913199.997053__1.997053	387090__S0F3Z2__BACCOPRO_00057
ERR1913199.997109__1.997109	39491__C4Z9K7__EUBREC_0050
ERR1913199.997425__1.997425	1680__A0A3E4SB79__BAD_1517
ERR1913199.997476__1.997476	301302__A0A173SJJ1__ERS852420_01411
ERR1913199.997682__1.997682	47678__R5UA23__C5Z00_15610
ERR1913199.997741__1.997741	166486__D4L2T9__lytM
ERR1913199.997872__1.997872	1680__A0A087DHN0__AL0462_1532
ERR1913199.997856__1.997856	357276__I9QBT7__BSEG_03340
ERR1913199.997865__1.997865	853__C7H7F5__DWZ46_01780
ERR1913199.997866__1.997866	820__A0A139KHD8__ERS417307_00569
ERR1913199.997923__1.997923	821__A0A0P0LJ37__DXB82_14270
ERR1913199.997947__1.997947	821__R9HFW2__DXD01_00365
ERR1913199.998122__1.998122	47678__R5V127__HMPREF1061_04334
ERR1913199.998161__1.998161	418240__A0A174NZX7__tagF_1
ERR1913199.998242__1.998242	1299998__GCA_001494635.1_01799
ERR1913199.998290__1.998290	329854__B3C9R7__DXD57_13140
ERR1913199.998334__1.998334	166486__A0A173VTG0__ROSINTL182_06283
ERR1913199.998404__1.998404	820__A0A173WUD7__DXB48_08055
ERR1913199.998452__1.998452	853__A0A2A7B1Y7__C7K05_11930
ERR1913199.998480__1.998480	357276__A0A0M1W657__HMPREF1064_04629
ERR1913199.998481__1.998481	301302__A0A173TYC8__M72_00761
ERR1913199.998483__1.998483	821__A0A3E4KIM1__M097_3660
ERR1913199.998521__1.998521	820__A0A374MMF0__HMPREF1073_03811
ERR1913199.998559__1.998559	46503__R6X0P0__DXB61_03855
ERR1913199.998568__1.998568	214856__A0A174G9T6__ERS852447_02535
ERR1913199.998632__1.998632	410072__A0A174J5N8__sbcC
ERR1913199.998794__1.998794	745368__A0A1T4XTU3__SAMN02745178_02321
ERR1913199.998823__1.998823	310298__B3JQJ5__BACCOP_04231
ERR1913199.998828__1.998828	823__A6LBY1__ERS852380_00510
ERR1913199.998830__1.998830	371601__A0A1C7H1Z9__BN890_35950
ERR1913199.998952__1.998952	821__I9R3W6__DXC16_12455
ERR1913199.998959__1.998959	47678__R5UG22__ERS852558_01514
ERR1913199.999051__1.999051	216816__A0A061M1M5__HMPREF0177_01046
ERR1913199.999077__1.999077	74426__group_1088
ERR1913199.999435__1.999435	47678__R5U3L4__C5Z00_12600
ERR1913199.999613__1.999613	371601__F7LA63__HMPREF1074_04288
ERR1913199.999665__1.999665	357276__A0A0K2HDP3__IY41_00705
ERR1913199.999794__1.999794	360807__A0A173R6V5__ROSEINA2194_00471
ERR1913199.999800__1.999800	46503__K5ZM81__DCY29_16460
ERR1913199.999935__1.999935	357276__A0A076IRZ5__BACDOR_00630
ERR1913199.999946__1.999946	33039__D4M0U9__mucD
ERR1913199.1000065__1.1000065	301302__A0A173RFF7__yqgN
ERR1913199.1000178__1.1000178	387090__S0F6G1__BACCOPRO_00685
ERR1913199.1000254__1.1000254	818__C6IEV5__ERS852430_00644
ERR1913199.1000312__1.1000312	418240__A0A174K0L7__cysA_1
ERR1913199.1000315__1.1000315	28118__F9ZC62__DF785_13495
ERR1913199.1000335__1.1000335	39488__A0A285PP42__cobQ
ERR1913199.1000408__1.1000408	820__A0A173YYG4__evgS_3
ERR1913199.1000480__1.1000480	823__A0A355XFH7__ERS852513_00769
ERR1913199.1000516__1.1000516	820__A0A139K4W5__HMPREF2141_02394
ERR1913199.1000574__1.1000574	823__A0A173TL14__M095_0764
ERR1913199.1000653__1.1000653	28116__C3QMW5__M089_4133
ERR1913199.1000699__1.1000699	820__A0A173XIP7__B5G17_16050
ERR1913199.1000739__1.1000739	1150298__A0A174PA84__sigM
ERR1913199.1000871__1.1000871	28116__A0A3D2LWY1__ERS852555_01619
ERR1913199.1000909__1.1000909	820__A0A3E4G3J9__ERS852459_02265
ERR1913199.1001014__1.1001014	39486__R6TL37__DXD84_12405
ERR1913199.1001213__1.1001213	1628085__A0A396MGZ2__C7386_12111
ERR1913199.1001427__1.1001427	1262743__R5C054__BN727_01980
ERR1913199.1001458__1.1001458	357276__A0A076IS26__EL88_15950
ERR1913199.1001462__1.1001462	821__A0A0P0LH09__ERS852457_03390
ERR1913199.1001656__1.1001656	418240__A0A173YIF6__ypdA_1
ERR1913199.1001707__1.1001707	28052__R7NCD4__ERS852451_00170
ERR1913199.1001669__1.1001669	820__A0A396EWL3__ERS417307_03868
ERR1913199.1001811__1.1001811	28116__A7LS02__DXF98_24100
ERR1913199.1001877__1.1001877	384639__GCA_003096855.1_00632
ERR1913199.1001879__1.1001879	360807__A0A173XR05__RIL183_10401
ERR1913199.1001986__1.1001986	1628085__A0A396MGZ2__C7386_12111
ERR1913199.1002004__1.1002004	820__A0A174CG08__DXB62_13215
ERR1913199.1002067__1.1002067	820__A0A3E4VZT7__DXB48_16145
ERR1913199.1002338__1.1002338	820__R9I2U8__DXC68_09590
ERR1913199.1002392__1.1002392	39488__C0ESJ6__EUBHAL_00369
ERR1913199.1002504__1.1002504	1235835__R9LCU2__C814_02677
ERR1913199.1002782__1.1002782	301302__R5VCB8__M72_07901
ERR1913199.1002787__1.1002787	166486__D4L1H3__sacC
ERR1913199.1002895__1.1002895	821__A0A395VIK7__BVU_1225
ERR1913199.1002973__1.1002973	823__A0A174VHT1__DHP27_04775
ERR1913199.1003011__1.1003011	310298__B3JQJ5__BACCOP_04231
ERR1913199.1003020__1.1003020	46503__R6X8Q3__fepA_2
ERR1913199.1003024__1.1003024	357276__A0A076J726__IY41_15030
ERR1913199.1003099__1.1003099	357276__D1K3K9__EL88_23995
ERR1913199.1003141__1.1003141	1628085__A0A396QC65__C7386_101113
ERR1913199.1003211__1.1003211	821__I9R3W6__DXC16_12455
ERR1913199.1003340__1.1003340	853__A0A174C5M1__CGS58_04460
ERR1913199.1003448__1.1003448	357276__I9R4T1__IY41_06800
ERR1913199.1003508__1.1003508	39490__A0A173QWQ2__bga
ERR1913199.1003551__1.1003551	745368__A0A1T4WEV8__SAMN02745178_00491
ERR1913199.1003590__1.1003590	821__A0A174ALF2__BvMPK_3016
ERR1913199.1003597__1.1003597	820__A0A174G065__DXB62_08975
ERR1913199.1003652__1.1003652	216816__E8MVM4__APC1480_1562
ERR1913199.1003606__1.1003606	43675__D2NPQ3__CO690_04465
ERR1913199.1004135__1.1004135	410072__A0A174ND44__ERS852389_01731
ERR1913199.1004204__1.1004204	821__A0A3E4HP25__SAMN04487923_102450
ERR1913199.1004206__1.1004206	853__A0A174BA00__DW905_01145
ERR1913199.1004246__1.1004246	47678__A5ZI88__BACCAC_02617
ERR1913199.1004298__1.1004298	1150298__R7JTQ3__rne
ERR1913199.1004346__1.1004346	360807__C0FPW0__ROSEINA2194_00763
ERR1913199.1004422__1.1004422	410072__A0A173WZ94__DXD67_05780
ERR1913199.1004470__1.1004470	39491__A0A395ZHV7__ykvU
ERR1913199.1004527__1.1004527	47678__R5USZ3__DXB67_12245
ERR1913199.1004536__1.1004536	821__A0A396F1N0__M099_1553
ERR1913199.1004554__1.1004554	357276__A0A174L570__GV66_05720
ERR1913199.1004566__1.1004566	310297__R5VAF2__DXC17_13935
ERR1913199.1004642__1.1004642	301302__A0A173SCU7__M72_12871
ERR1913199.1004695__1.1004695	360807__C0FY61__ERS852444_00016
ERR1913199.1004754__1.1004754	301302__A0A0M6WSS7__ERS852420_02367
ERR1913199.1004769__1.1004769	1735__B7CBP5__EUBIFOR_01620
ERR1913199.1004829__1.1004829	821__U6RDC2__DXD46_15675
ERR1913199.1004904__1.1004904	39492__B0MN61__epsF_2
ERR1913199.1004906__1.1004906	820__A0A174LJB2__HMPREF1072_04112
ERR1913199.1004924__1.1004924	821__E5UY21__C800_02204
ERR1913199.1004868__1.1004868	821__A0A174NSU0__BVU_3144
ERR1913199.1004962__1.1004962	39488__A0A374NVK2__DXD91_03585
ERR1913199.1004986__1.1004986	821__A0A395UNT8__DXD64_15275
ERR1913199.1005071__1.1005071	33039__D4M6R8__bglB_8
ERR1913199.1005140__1.1005140	166486__D4KUC4__arcB_1
ERR1913199.1005274__1.1005274	357276__I9FRW5__B5F95_21685
ERR1913199.1005298__1.1005298	301302__R5VGE0__ERS852420_00121
ERR1913199.1005416__1.1005416	818__A0A174TXD9__C799_03229
ERR1913199.1005513__1.1005513	821__A0A396F1N0__M099_1553
ERR1913199.1005516__1.1005516	40518__R5E6X5__sbcD
ERR1913199.1005548__1.1005548	47678__R5USS6__C5Z00_03300
ERR1913199.1005533__1.1005533	39488__A0A285PUH7__ERS852450_00520
ERR1913199.1005572__1.1005572	360807__A0A396AFY2__ERS852444_00427
ERR1913199.1005759__1.1005759	74426__group_4823
ERR1913199.1005864__1.1005864	853__C7H7F8__yccM_1
ERR1913199.1005888__1.1005888	357276__I8WFU9__BACDOR_02006
ERR1913199.1005901__1.1005901	47678__A5ZEP5__CGC64_03450
ERR1913199.1005963__1.1005963	820__A0A139KIL9__DXC68_05945
ERR1913199.1006049__1.1006049	820__A0A174TRB5__DXD40_11305
ERR1913199.1006058__1.1006058	820__A0A174RFI5__SAMN05444418_12240
ERR1913199.1006093__1.1006093	1680__A0A087DLC6__C8077_00815
ERR1913199.1006306__1.1006306	360807__A0A1Q6T9R3__ERS852392_02666
ERR1913199.1006309__1.1006309	487174__K0WV13__DIT83_10890
ERR1913199.1006390__1.1006390	47678__R5U9Z0__HMPREF1061_03210
ERR1913199.1006612__1.1006612	216816__A0A087BBV6__BFS26_06210
ERR1913199.1006709__1.1006709	821__A0A395UNT8__DXD64_15275
ERR1913199.1006805__1.1006805	1628085__A0A1C6CQE7__C7386_12126
ERR1913199.1006931__1.1006931	39491__A0A173TAZ5__DXB99_09520
ERR1913199.1006940__1.1006940	33905__A0A0C2Z570__CQR47_0419
ERR1913199.1006983__1.1006983	1628085__A0A396QC65__C7386_101113
ERR1913199.1007057__1.1007057	310298__B3JMA0__BACCOP_03051
ERR1913199.1007119__1.1007119	216816__D6DC09__BLIC_a02334
ERR1913199.1007154__1.1007154	301302__R5UMB9__M72_25011
ERR1913199.1007172__1.1007172	371601__A0A173ZG72__SAMN04487924_11442
ERR1913199.1007341__1.1007341	387090__S0F470__BACCOPRO_00167
ERR1913199.1007343__1.1007343	166486__D4L458__ROSINTL182_07088
ERR1913199.1007410__1.1007410	166486__C7GCP5__ROSINTL182_07683
ERR1913199.1007476__1.1007476	166486__D4KZ71__ERS852572_01500
ERR1913199.1007505__1.1007505	821__E5UY21__C800_02204
ERR1913199.1007561__1.1007561	818__A0A3E5HVB7__Btheta7330_02386
ERR1913199.1007627__1.1007627	166486__D4KVZ2__cbiT
ERR1913199.1007601__1.1007601	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913199.1007667__1.1007667	487174__K0WRZ5__HMPREF9448_02826
ERR1913199.1007967__1.1007967	853__A0A173YYY4__DWZ04_09420
ERR1913199.1008076__1.1008076	1150298__A0A174QRU8__ERS852498_00962
ERR1913199.1008143__1.1008143	39491__C4ZHS4__EUR_24420
ERR1913199.1008261__1.1008261	33039__A0A174RPY3__ERS852390_00818
ERR1913199.1008303__1.1008303	1262746__R5SS80__BN750_02125
ERR1913199.1008418__1.1008418	47678__A5ZF31__DXB67_11050
ERR1913199.1008561__1.1008561	74426__nrdD
ERR1913199.1008630__1.1008630	649756__D4MVE0__HMPREF0369_02014
ERR1913199.1008632__1.1008632	820__A0A174G065__DXB62_08975
ERR1913199.1008768__1.1008768	166486__D4L2C3__ERS852572_01686
ERR1913199.1008826__1.1008826	1680__R5GR82__AD0028_0014
ERR1913199.1009011__1.1009011	820__A0A3E4W4Y7__B5G17_02055
ERR1913199.1009013__1.1009013	820__A0A174RFI5__SAMN05444418_12240
ERR1913199.1009026__1.1009026	47678__I9ECI0__HMPREF1061_03742
ERR1913199.1009210__1.1009210	39491__D6E118__DXB69_05765
ERR1913199.1009218__1.1009218	745368__A0A1T4Y963__SAMN02745178_02859
ERR1913199.1009245__1.1009245	357276__A0A076J8M3__ABI39_13695
ERR1913199.1009265__1.1009265	357276__D1K3K9__EL88_23995
ERR1913199.1009610__1.1009610	357276__D1JZM4__HMPREF1065_01278
ERR1913199.1009615__1.1009615	745368__A0A1T4WPJ1__SAMN02745178_00919
ERR1913199.1009686__1.1009686	74426__groL
ERR1913199.1009733__1.1009733	301302__A0A173TNM6__luxQ
ERR1913199.1009791__1.1009791	1680__A0A1X3A951__AL0462_1583
ERR1913199.1009951__1.1009951	820__A0A173YYG4__evgS_3
ERR1913199.1009968__1.1009968	360807__A0A173VDL4__dosC_2
ERR1913199.1010111__1.1010111	821__A0A395VIK7__BVU_1225
ERR1913199.1010176__1.1010176	39488__A0A173SK21__EUBHAL_00799
ERR1913199.1010273__1.1010273	853__A0A174UDE9__C4N25_12775
ERR1913199.1010305__1.1010305	218538__C9LNQ3__GCWU000321_01176
ERR1913199.1010386__1.1010386	46503__R6X0F0__DD461_05620
ERR1913199.1010464__1.1010464	39492__D4JSB6__ERS852540_00627
ERR1913199.1010454__1.1010454	821__A6L0C7__ERS852556_03520
ERR1913199.1010580__1.1010580	301302__A0A173SJJ1__ERS852420_01411
ERR1913199.1010666__1.1010666	357276__D1JYA3__BSEG_00395
ERR1913199.1010738__1.1010738	371601__I9A9L7__CW1_3649
ERR1913199.1010825__1.1010825	216816__B3DRU6__DPC6323_0992
ERR1913199.1010992__1.1010992	28116__C3QQN3__CUY_4207
ERR1913199.1011027__1.1011027	214856__I3YMN6__Alfi_1938
ERR1913199.1011094__1.1011094	166486__D4L0E1__ypdA_4
ERR1913199.1011287__1.1011287	1262743__R5C054__BN727_01980
ERR1913199.1011343__1.1011343	216816__B3DNW2__BL171B_07980
ERR1913199.1011387__1.1011387	818__A0A174WSX6__Btheta7330_01915
ERR1913199.1011451__1.1011451	360807__A0A173SE91__murR
ERR1913199.1011589__1.1011589	1262921__R5MIP0__BN473_01045
ERR1913199.1011735__1.1011735	821__A0A0P0L8F8__ERS852509_03705
ERR1913199.1011868__1.1011868	166486__R6B4E4__sinR_2
ERR1913199.1012077__1.1012077	821__A0A0P0M2J4__DXD46_10295
ERR1913199.1012085__1.1012085	821__R9HFW2__DXD01_00365
ERR1913199.1012190__1.1012190	39491__A0A396FF66__DXD95_01810
ERR1913199.1012246__1.1012246	39491__A0A395V397__EUR_09960
ERR1913199.1012267__1.1012267	1739491__J1DK07__HMPREF2987_07410
ERR1913199.1012352__1.1012352	360807__A0A174EVF2__RIL183_27331
ERR1913199.1012360__1.1012360	166486__D4L334__mcp3_1
ERR1913199.1012376__1.1012376	820__A0A174EV88__HMPREF1072_01427
ERR1913199.1012519__1.1012519	166486__D4L284__ERS852572_01651
ERR1913199.1012562__1.1012562	47678__R5U2F6__HMPREF1061_00767
ERR1913199.1012575__1.1012575	820__A0A139JUD3__DXC91_19380
ERR1913199.1012621__1.1012621	166486__A0A173VSA0__ROSINTL182_06124
ERR1913199.1012624__1.1012624	74426__nrdD
ERR1913199.1012626__1.1012626	820__A0A3E4W7J3__DXC07_00330
ERR1913199.1012695__1.1012695	216816__C5E9A6__mutT4
ERR1913199.1012902__1.1012902	47678__R5UME6__BACCAC_01239
ERR1913199.1012870__1.1012870	823__A0A174DZM1__DDY96_10310
ERR1913199.1012965__1.1012965	1680__A0A087DLC6__C8077_00815
ERR1913199.1013254__1.1013254	823__A0A395YZG9__M092_4358
ERR1913199.1013292__1.1013292	39492__D4JTW7__EUBSIR_00859
ERR1913199.1013318__1.1013318	301302__R5UKF2__M72_19701
ERR1913199.1013799__1.1013799	818__A0A1H7L4U6__BSIG_3287
ERR1913199.1013826__1.1013826	39492__D4JSG7__EUBSIR_01006
ERR1913199.1013892__1.1013892	28026__A0A174CDN1__DXC83_09100
ERR1913199.1013908__1.1013908	821__A6L0C7__ERS852556_03520
ERR1913199.1013981__1.1013981	310298__B3JFI7__BACCOP_00636
ERR1913199.1013999__1.1013999	47678__R5U8Y1__BACCAC_02615
ERR1913199.1014030__1.1014030	387090__S0F8F6__BACCOPRO_01915
ERR1913199.1014111__1.1014111	387090__S0FA01__BACCOPRO_02772
ERR1913199.1014262__1.1014262	166486__D4L458__ROSINTL182_07088
ERR1913199.1014556__1.1014556	820__A0A139KG60__M094_2679
ERR1913199.1014665__1.1014665	387090__S0F421__BACCOPRO_00166
ERR1913199.1014679__1.1014679	821__A0A3E4KIM1__M097_3660
ERR1913199.1014768__1.1014768	1735__B7CEC3__EUBIFOR_02567
ERR1913199.1014765__1.1014765	216816__A0A0S2ML20__B5780_2007
ERR1913199.1014766__1.1014766	1680__A0A0C2VBJ4__birA
ERR1913199.1014810__1.1014810	387661__B7B704__B5F96_16210
ERR1913199.1014878__1.1014878	410072__A0A3E4GT65__ERS852574_02325
ERR1913199.1014915__1.1014915	1262739__R6MRD4__BN659_02013
ERR1913199.1014927__1.1014927	33039__D4M4L7__ripA
ERR1913199.1015057__1.1015057	820__A0A174CK74__DXB48_07060
ERR1913199.1015190__1.1015190	47678__R5UPZ8__ERS852494_01752
ERR1913199.1015261__1.1015261	216816__B7GQ29__APC1465_1199
ERR1913199.1015486__1.1015486	820__R9I324__HMPREF2141_02414
ERR1913199.1015573__1.1015573	218538__C9LNQ3__GCWU000321_01176
ERR1913199.1015732__1.1015732	28116__D4WPD7__HMPREF1069_02183
ERR1913199.1015894__1.1015894	821__A0A3E4HP25__SAMN04487923_102450
ERR1913199.1016030__1.1016030	821__A0A173XDD3__DXB82_17180
ERR1913199.1016200__1.1016200	821__A0A396F9T7__M097_3427
ERR1913199.1016400__1.1016400	853__C7H7F5__DWZ46_01780
ERR1913199.1016723__1.1016723	821__A0A395UNT8__DXD64_15275
ERR1913199.1016773__1.1016773	166486__D4L1P5__ERS852572_00758
ERR1913199.1016744__1.1016744	387090__S0FCI9__BACCOPRO_03388
ERR1913199.1016897__1.1016897	820__A0A3E4WCC2__lptB_1
ERR1913199.1016932__1.1016932	820__A0A139K1Y6__DXB48_02610
ERR1913199.1016920__1.1016920	820__A0A139K5E7__DXC68_09550
ERR1913199.1017102__1.1017102	820__A0A173YYG4__evgS_3
ERR1913199.1017277__1.1017277	1628085__A0A2U1BC41__C7386_10839
ERR1913199.1017360__1.1017360	820__A7V470__HMPREF1072_02076
ERR1913199.1017378__1.1017378	74426__rpoB
ERR1913199.1017606__1.1017606	387661__K6AET8__HMPREF1077_00420
ERR1913199.1017573__1.1017573	1897011__A0A1Q6RIF5__BHW41_01365
ERR1913199.1017582__1.1017582	853__A0A2A7B1Y7__C7K05_11930
ERR1913199.1017591__1.1017591	47678__R5UUS9__ERS852558_01432
ERR1913199.1017683__1.1017683	47678__A5ZBL9__C5Z00_18710
ERR1913199.1017712__1.1017712	1628085__A0A2U1B935__C7386_11439
ERR1913199.1017791__1.1017791	821__A0A174AYT0__DXC02_03530
ERR1913199.1017916__1.1017916	1262743__R5C054__BN727_01980
ERR1913199.1017969__1.1017969	360807__A0A0M6WAF4__ERS852392_02663
ERR1913199.1018055__1.1018055	39496__A5Z7Y6__EUBVEN_01827
ERR1913199.1018100__1.1018100	39491__A0A396FRE7__EUR_27520
ERR1913199.1018330__1.1018330	820__A0A174M9V5__M093_0237
ERR1913199.1018454__1.1018454	821__A0A174WBC9__ERS852556_03145
ERR1913199.1018475__1.1018475	410072__A0A174HCW3__ERS852574_00529
ERR1913199.1018487__1.1018487	820__A0A078S569__gmhB
ERR1913199.1018537__1.1018537	821__R9HFW2__DXD01_00365
ERR1913199.1018697__1.1018697	853__A8SCP3__C4N26_07960
ERR1913199.1018869__1.1018869	47678__R5U2F6__HMPREF1061_00767
ERR1913199.1018977__1.1018977	823__A6LDT7__CEQ22_002595
ERR1913199.1018983__1.1018983	821__A6L0C7__ERS852556_03520
ERR1913199.1019226__1.1019226	820__A0A174M9V5__M093_0237
ERR1913199.1019330__1.1019330	821__A0A174ALF2__BvMPK_3016
ERR1913199.1019426__1.1019426	821__A0A174AYT0__DXC02_03530
ERR1913199.1019498__1.1019498	821__A0A0P0M2J4__DXD46_10295
ERR1913199.1019741__1.1019741	821__A0A3E4KIM1__M097_3660
ERR1913199.1019759__1.1019759	291645__I8XPK0__HMPREF1068_01554
ERR1913199.1020050__1.1020050	39486__G1WPN2__DORFOR_01095
ERR1913199.1019965__1.1019965	39496__A5ZAI0__EUBVEN_02727
ERR1913199.1020097__1.1020097	1262739__R6MRD4__BN659_02013
ERR1913199.1020224__1.1020224	301302__R5ULQ3__ERS852420_02626
ERR1913199.1020286__1.1020286	820__A0A173YYG4__evgS_3
ERR1913199.1020487__1.1020487	821__A0A173XDD3__DXB82_17180
ERR1913199.1020523__1.1020523	46503__K5YT67__HMPREF1060_04023
ERR1913199.1020563__1.1020563	47678__A5ZEA3__ERS852558_00257
ERR1913199.1020591__1.1020591	1735__B7CEC3__EUBIFOR_02567
ERR1913199.1020624__1.1020624	360807__A0A173T4V2__ROSEINA2194_02477
ERR1913199.1020770__1.1020770	47678__R5UA23__C5Z00_15610
ERR1913199.1020775__1.1020775	1680__A0A0C2YPV2__AL0462_1474
ERR1913199.1020806__1.1020806	821__A0A0P0LNX8__ERS852509_03015
ERR1913199.1020815__1.1020815	823__A0A355XH29__lolE_1
ERR1913199.1020924__1.1020924	410072__A0A174DEZ0__COPCOM_01936
ERR1913199.1021131__1.1021131	1263000__R5EXT3__BN466_02213
ERR1913199.1021446__1.1021446	821__A0A397WGD6__M098_0084
ERR1913199.1021489__1.1021489	39496__A5Z8Q7__EUBVEN_02099
ERR1913199.1021569__1.1021569	357276__C3RDQ5__HMPREF1065_03827
ERR1913199.1021599__1.1021599	818__A0A139K9H8__C5Z03_23905
ERR1913199.1021638__1.1021638	387090__S0FAH6__BACCOPRO_02588
ERR1913199.1021763__1.1021763	820__A0A174TRB5__DXD40_11305
ERR1913199.1021959__1.1021959	1735__B7CCE4__EUBIFOR_01871
ERR1913199.1021962__1.1021962	216816__A0A1V8QFN0__HMPREF1315_0061
ERR1913199.1022098__1.1022098	47678__R5U8Y1__BACCAC_02615
ERR1913199.1022063__1.1022063	47678__R5UAF6__ERS852494_02966
ERR1913199.1022150__1.1022150	1685__A0A3D8UEL2__DRBB29_0129
ERR1913199.1022224__1.1022224	820__A0A1Y3V743__M093_0235
ERR1913199.1022225__1.1022225	39488__A0A173U8N3__yhbU_1
ERR1913199.1022180__1.1022180	821__A0A0P0M3U7__DXB90_14325
ERR1913199.1022255__1.1022255	33039__D4M6I1__nadB_2
ERR1913199.1022412__1.1022412	821__A0A396F598__CUU_3259
ERR1913199.1022428__1.1022428	39491__A0A395ZM93__DXD13_03490
ERR1913199.1022509__1.1022509	46503__R6X0L4__DXB61_05325
ERR1913199.1022558__1.1022558	357276__A0A076J8D4__HMPREF1064_00553
ERR1913199.1022673__1.1022673	47678__R5U7X8__C5Z00_18270
ERR1913199.1022678__1.1022678	301302__R5V5K3__M72_10541
ERR1913199.1022749__1.1022749	357276__I9FTR0__HMPREF1065_02861
ERR1913199.1022940__1.1022940	357276__A0A076ITH2__BSEG_03273
ERR1913199.1022909__1.1022909	820__A0A3E4RUC4__DHU98_02635
ERR1913199.1023140__1.1023140	853__C7H7F5__DWZ46_01780
ERR1913199.1023326__1.1023326	357276__E5UTL1__HMPREF1065_03551
ERR1913199.1023437__1.1023437	853__A0A3E2V168__FAEPRAM212_00929
ERR1913199.1023521__1.1023521	823__A0A355XIK0__CEQ22_011965
ERR1913199.1023529__1.1023529	820__A0A374Q1D8__SAMN05444418_112114
ERR1913199.1023556__1.1023556	821__E5UY21__C800_02204
ERR1913199.1023692__1.1023692	1150298__A0A174RJ10__ERS852535_00223
ERR1913199.1023740__1.1023740	39496__A5Z7Y8__EUBVEN_01828
ERR1913199.1023875__1.1023875	1308__V8LQF4__ADU38_1886
