ERR1913196.134__1.134	301302__R5UIY5__M72_17461
ERR1913196.459731__1.459731	165179__A0A229I7F5__DXB80_02650
ERR1913196.459850__1.459850	165179__A0A3E5E2S3__DXB80_03455
ERR1913196.460144__1.460144	165179__A0A3E5A554__DXB80_13805
ERR1913196.460351__1.460351	166486__D4L457__ROSINTL182_07087
ERR1913196.460632__1.460632	40518__A0A1C6H8N9__RBATCC27255_01374
ERR1913196.460872__1.460872	33039__D4M6I1__nadB_2
ERR1913196.460999__1.460999	2024223__A0A255TFB9__CIL02_01190
ERR1913196.461303__1.461303	39488__R6GBC5__DXD91_06450
ERR1913196.461351__1.461351	165179__A0A3E5AER8__DXB80_07075
ERR1913196.461530__1.461530	165179__A0A174W369__PREVCOP_04548
ERR1913196.461896__1.461896	40518__R5DVV1__RBATCC27255_00999
ERR1913196.461968__1.461968	626940__E8LG36__BN587_00913
ERR1913196.462210__1.462210	165179__D1PHV2__PREVCOP_06822
ERR1913196.462164__1.462164	301302__A0A173T010__M72_26571
ERR1913196.462447__1.462447	745368__A0A1T4XVH8__SAMN02745178_02336
ERR1913196.462502__1.462502	1262882__R5MF51__BN519_00287
ERR1913196.462590__1.462590	1284775__A0A095Y5G0__HMPREF1640_07060
ERR1913196.462560__1.462560	216816__A0A133LQN7__BL15B_00780
ERR1913196.462719__1.462719	39488__A0A285PQE3__DXD91_00180
ERR1913196.462865__1.462865	165179__A0A3E5EA83__DXC61_07750
ERR1913196.462834__1.462834	363265__R6F6E7__HMPREF0673_02119
ERR1913196.462951__1.462951	165179__R6C3K4__PREVCOP_05795
ERR1913196.463145__1.463145	626940__R6X4V5__DCQ00_10410
ERR1913196.463188__1.463188	1262929__R6F558__BN691_01421
ERR1913196.463202__1.463202	853__A0A2A7B1Y7__C7K05_11930
ERR1913196.463256__1.463256	46503__R6X6L7__HMPREF1060_00291
ERR1913196.463261__1.463261	165179__A0A3E5A5E5__DXC61_13965
ERR1913196.463436__1.463436	33039__R6P0F1__ERS852424_02256
ERR1913196.463440__1.463440	1160721__W0U3P2__RBI_I00640
ERR1913196.463456__1.463456	745368__A0A1T4XV62__SAMN02745178_02335
ERR1913196.463610__1.463610	165179__A0A229I740__DXC61_10430
ERR1913196.463954__1.463954	1262882__R5MSQ8__BN519_01647
ERR1913196.464003__1.464003	301302__R5UNJ6__M72_26701
ERR1913196.464154__1.464154	1262882__R5MGX3__BN519_00046
ERR1913196.464201__1.464201	165179__A0A3E4SEG4__DXC61_11235
ERR1913196.464293__1.464293	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913196.464402__1.464402	28118__R6FHQ8__B5F93_15555
ERR1913196.464591__1.464591	1262919__R5PMG4__BN465_00428
ERR1913196.464665__1.464665	1262929__R6FUB1__BN691_00386
ERR1913196.464698__1.464698	706562__GCA_900112995.1_01428
ERR1913196.464800__1.464800	1262929__R6EYQ0__BN691_00631
ERR1913196.464961__1.464961	165179__A0A3E5DWZ6__DXC61_10880
ERR1913196.464986__1.464986	33043__D5HJB7__ERS852400_01485
ERR1913196.465022__1.465022	100886__A0A174KNJ2__ERS852383_05320
ERR1913196.465023__1.465023	544645__A0A1U7L9U1__DXC42_00420
ERR1913196.465096__1.465096	301302__R5VE75__M72_12161
ERR1913196.465423__1.465423	39491__A0A395ZHW9__DXC13_02590
ERR1913196.465669__1.465669	165179__A0A174W369__PREVCOP_04548
ERR1913196.465773__1.465773	1262882__R5N532__BN519_01420
ERR1913196.465902__1.465902	1262924__R7HRJ9__BN585_00557
ERR1913196.466249__1.466249	165179__A0A3E5E189__PREVCOP_06699
ERR1913196.466272__1.466272	165179__A0A3E5AER8__DXB80_07075
ERR1913196.466323__1.466323	649756__A0A173UQJ7__ERS852475_02472
ERR1913196.466335__1.466335	301302__R5VGE0__ERS852420_00121
ERR1913196.466349__1.466349	301302__A0A0M6WTN6__ERS852420_01659
ERR1913196.466421__1.466421	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913196.466452__1.466452	165179__D1PES9__DXB80_11585
ERR1913196.466603__1.466603	338188__A0A1Q6HA80__ERS852397_00522
ERR1913196.467439__1.467439	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1913196.467502__1.467502	1262924__R7HLJ9__BN585_01064
ERR1913196.467576__1.467576	165179__A0A174SA26__PREVCOP_05758
ERR1913196.467693__1.467693	363265__R6F6E7__HMPREF0673_02119
ERR1913196.467702__1.467702	1262882__R5MJZ7__BN519_01272
ERR1913196.467729__1.467729	1262882__R5MLA4__BN519_01536
ERR1913196.468037__1.468037	33043__A0A174BBC4__ERS852575_02261
ERR1913196.468324__1.468324	360807__A0A173WJE3__mcp4_4
ERR1913196.468343__1.468343	2293125__A0A374C955__DW917_08135
ERR1913196.468515__1.468515	165179__A0A174SA26__PREVCOP_05758
ERR1913196.468617__1.468617	165179__A0A3E5A554__DXB80_13805
ERR1913196.469006__1.469006	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913196.469330__1.469330	2293125__A0A374BUJ0__DW917_13495
ERR1913196.469481__1.469481	301302__R5UU15__ERS852420_02998
ERR1913196.469697__1.469697	165179__A0A3E5EA43__DXC61_07775
ERR1913196.469973__1.469973	165179__A0A3E5E2S3__DXB80_03455
ERR1913196.470116__1.470116	165179__A0A3E5DY64__CFT61_10025
ERR1913196.470526__1.470526	301302__R5UKP4__cbiT
ERR1913196.470655__1.470655	33043__A0A174DVD4__prkC_7
ERR1913196.471119__1.471119	2293125__A0A374BSW4__DW917_13420
ERR1913196.471309__1.471309	165179__A0A3E5AG99__DXB80_04390
ERR1913196.471410__1.471410	649756__A0A173UBD8__ytpA
ERR1913196.471491__1.471491	165179__A0A174W369__PREVCOP_04548
ERR1913196.471446__1.471446	1262882__R5MEK3__BN519_00296
ERR1913196.471510__1.471510	165179__A0A3E5AGH1__DXB80_05820
ERR1913196.471525__1.471525	33043__D5HEL7__ERS852400_00347
ERR1913196.471680__1.471680	40518__R5DQD6__DXD83_09060
ERR1913196.471719__1.471719	165179__A0A3E5E4T9__DXB80_08030
ERR1913196.471841__1.471841	166486__A0A173RAP7__ROSINTL182_07969
ERR1913196.472035__1.472035	1262882__R5MF58__BN519_00393
ERR1913196.472303__1.472303	1262882__R5N3H1__BN519_01121
ERR1913196.472472__1.472472	40518__R5DZ16__DXD86_01455
ERR1913196.472914__1.472914	1262882__R5MRS7__BN519_01490
ERR1913196.472952__1.472952	1262924__R7HPS8__BN585_00646
ERR1913196.473040__1.473040	165179__A0A3E5E920__DXB80_11625
ERR1913196.473074__1.473074	1262882__R5ML49__BN519_01361
ERR1913196.473106__1.473106	165179__A0A3E5EA43__DXC61_07775
ERR1913196.473497__1.473497	165179__D1PGD2__DXC61_10875
ERR1913196.473617__1.473617	165179__A0A229I1J2__DXB80_03950
ERR1913196.473765__1.473765	165179__A0A174SA26__PREVCOP_05758
ERR1913196.473775__1.473775	363265__R6EW17__HMPREF0673_02095
ERR1913196.473779__1.473779	165179__D1PHV2__PREVCOP_06822
ERR1913196.473859__1.473859	2022527__A0A264YA42__CHL74_01870
ERR1913196.473909__1.473909	328814__GCA_004558275.1_02278
ERR1913196.474186__1.474186	301302__A0A0M6WV88__dhaS_2
ERR1913196.474152__1.474152	39488__A0A285PT25__EUBHAL_01908
ERR1913196.474268__1.474268	360807__A0A0M6WZV0__ERS852392_03150
ERR1913196.474373__1.474373	301302__R5UKP4__cbiT
ERR1913196.474397__1.474397	1550024__G9RWQ7__ASJ35_03880
ERR1913196.474445__1.474445	1535__A7VTE8__CH238_00020
ERR1913196.474570__1.474570	165179__D1PDG7__DXB80_11180
ERR1913196.474540__1.474540	165179__A0A174W369__PREVCOP_04548
ERR1913196.474649__1.474649	1262882__R5MFK5__BN519_00378
ERR1913196.474721__1.474721	214856__A0A174ZED5__ERS852559_00591
ERR1913196.474919__1.474919	28118__A0A1Y3Y204__NCTC10826_02015
ERR1913196.475047__1.475047	138595__GCF_000468755.1_01421
ERR1913196.475052__1.475052	33043__A8SPT5__yfiN_2
ERR1913196.474979__1.474979	165179__D1PAJ7__PREVCOP_04222
ERR1913196.475162__1.475162	33043__D5HH34__ERS852386_00170
ERR1913196.475323__1.475323	1262911__R6GS52__BN557_00834
ERR1913196.475401__1.475401	39488__A0A173RH64__EUBHAL_01712
ERR1913196.475427__1.475427	165179__R6B8D8__DXC61_09245
ERR1913196.475723__1.475723	28116__D7K2E0__endOF2_3
ERR1913196.475965__1.475965	165179__A0A3E5E643__DXB80_06030
ERR1913196.475888__1.475888	165179__A0A174SA26__PREVCOP_05758
ERR1913196.475907__1.475907	214856__A0A174G1M7__ERS852559_00594
ERR1913196.476022__1.476022	823__A0A174XJM9__CEQ22_007230
ERR1913196.476094__1.476094	39491__A0A395UZL1__DXB76_05950
ERR1913196.476131__1.476131	165179__D1PGU8__PREVCOP_06463
ERR1913196.476547__1.476547	823__A0A395YZ10__NCTC11152_02955
ERR1913196.476482__1.476482	165179__A0A3E5E5L1__DXB80_05980
ERR1913196.476484__1.476484	33043__A0A174AEP1__apr
ERR1913196.476818__1.476818	901__B6WTQ4__DESPIGER_1255
ERR1913196.477153__1.477153	100886__A0A174HWV3__CATMIT_01864
ERR1913196.477235__1.477235	165179__A0A3E5A5E5__DXC61_13965
ERR1913196.477387__1.477387	1304__D0EMA3__CKU37_11015
ERR1913196.477419__1.477419	626940__E8LD43__DCQ00_06340
ERR1913196.477476__1.477476	1262882__R5MJJ9__BN519_01035
ERR1913196.477537__1.477537	301302__R5VCU3__cbiK_2
ERR1913196.477879__1.477879	165179__D1PDJ4__DXB80_08505
ERR1913196.477925__1.477925	626940__E8LDM4__mreC
ERR1913196.478294__1.478294	165179__A0A174SA26__PREVCOP_05758
ERR1913196.478302__1.478302	165179__A0A3E5DWZ6__DXC61_10880
ERR1913196.478432__1.478432	165179__A0A174W369__PREVCOP_04548
ERR1913196.478632__1.478632	1262882__R5MLP0__BN519_01597
ERR1913196.478684__1.478684	1262929__R6F0P0__BN691_00563
ERR1913196.478687__1.478687	33039__A0A3D0EY88__ERS852390_03120
ERR1913196.478751__1.478751	1284775__A0A095Y5J4__HMPREF1640_07320
ERR1913196.478780__1.478780	1262882__R5N3T7__BN519_01188
ERR1913196.478832__1.478832	1262882__R5MFY4__BN519_00529
ERR1913196.478838__1.478838	165179__R6CJG8__DXC61_09290
ERR1913196.479081__1.479081	165179__A0A3E5E2S3__DXB80_03455
ERR1913196.479277__1.479277	165179__D1PDT3__PREVCOP_05375
ERR1913196.479311__1.479311	39488__A0A374NJ86__mltG
ERR1913196.479415__1.479415	40518__R5E282__DXD86_08940
ERR1913196.479482__1.479482	40518__R5DR96__RBATCC27255_01185
ERR1913196.479551__1.479551	165179__A0A229I1J2__DXB80_03950
ERR1913196.479766__1.479766	626940__R6WNR3__DCQ00_05790
ERR1913196.479955__1.479955	166486__D4KZ45__ROSINTL182_05738
ERR1913196.479986__1.479986	363265__R6FQP4__HMPREF0673_00216
ERR1913196.480011__1.480011	165179__R6C3K4__PREVCOP_05795
ERR1913196.480169__1.480169	165179__A0A174UTZ7__DXC61_06705
ERR1913196.480069__1.480069	33043__D5HFA1__ERS852400_02183
ERR1913196.480538__1.480538	33043__A0A173ZZ54__ERS852400_00193
ERR1913196.480545__1.480545	33043__A0A174B5C6__acm_3
ERR1913196.480953__1.480953	165179__R6C3K4__PREVCOP_05795
ERR1913196.481083__1.481083	165179__A0A3E5E920__DXB80_11625
ERR1913196.481090__1.481090	1262882__R5N211__BN519_01033
ERR1913196.481433__1.481433	165179__A0A3E4SB80__DXC61_12880
ERR1913196.481514__1.481514	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913196.481575__1.481575	2024223__A0A255TFB9__CIL02_01190
ERR1913196.481657__1.481657	165179__D1PGJ6__DXC61_07300
ERR1913196.481895__1.481895	33043__A0A173YUV6__ERS852386_00507
ERR1913196.481988__1.481988	301302__A0A173T010__M72_26571
ERR1913196.482012__1.482012	165179__A0A3E5EA43__DXC61_07775
ERR1913196.482371__1.482371	1284775__A0A095ZFV3__HMPREF1640_07245
ERR1913196.482576__1.482576	165179__A0A3E5A554__DXB80_13805
ERR1913196.482675__1.482675	165179__D1PGU8__PREVCOP_06463
ERR1913196.482913__1.482913	301302__R5UKE6__M72_05651
ERR1913196.482999__1.482999	165179__D1PES9__DXB80_11585
ERR1913196.483090__1.483090	487173__H1CXZ3__HMPREF9453_00231
ERR1913196.483206__1.483206	214856__A0A174FZ29__ERS852559_00600
ERR1913196.483256__1.483256	165179__A0A3E5DZA5__DXB80_12550
ERR1913196.483317__1.483317	165179__A0A229I3Z6__PREVCOP_03666
ERR1913196.483332__1.483332	649756__A0A174FNS3__trkA
ERR1913196.483483__1.483483	301302__R5UKP4__cbiT
ERR1913196.483563__1.483563	1628085__A0A374VP93__C7386_10150
ERR1913196.483592__1.483592	100886__E2NQ04__CATMIT_00655
ERR1913196.483899__1.483899	165179__A0A229I6N7__DXC61_06720
ERR1913196.484215__1.484215	172042__U7V4I2__HMPREF1324_0249
ERR1913196.484394__1.484394	165179__A0A3E5EAM5__DXC61_07785
ERR1913196.484336__1.484336	1262929__R6F5I2__BN691_01051
ERR1913196.484358__1.484358	301302__R5UV35__M72_02721
ERR1913196.484497__1.484497	165179__A0A3E5E9I4__DXB80_09745
ERR1913196.484700__1.484700	626940__A0A1Q6R3R5__BHW43_07895
ERR1913196.484720__1.484720	39491__A0A395ZHV7__ykvU
ERR1913196.484909__1.484909	165179__D1PFV4__PREVCOP_06112
ERR1913196.484925__1.484925	301302__R5VFU2__xynA1
ERR1913196.484970__1.484970	301302__A0A0M6WIU8__M72_26811
ERR1913196.485000__1.485000	28118__F9Z6F1__DER54_08365
ERR1913196.485363__1.485363	1262882__R5MMP8__BN519_01654
ERR1913196.485534__1.485534	214856__A0A174FY07__ERS852447_02457
ERR1913196.485550__1.485550	165179__A0A174IYW3__DXC61_01235
ERR1913196.485937__1.485937	1284775__A0A095Y637__HMPREF1640_07040
ERR1913196.486082__1.486082	1262930__R5ZWP2__BN693_01542
ERR1913196.486168__1.486168	165179__R6BQP4__DXC61_02015
ERR1913196.486224__1.486224	165179__R6BQP4__DXC61_02015
ERR1913196.486347__1.486347	301302__R5UU15__ERS852420_02998
ERR1913196.486372__1.486372	165179__R6CNX7__DXB80_02200
ERR1913196.486429__1.486429	39490__A0A173SEG7__HMPREF0373_01168
ERR1913196.486438__1.486438	626940__E8LCL0__BN587_01660
ERR1913196.486534__1.486534	165179__A0A3E5AEF7__DXC61_05000
ERR1913196.486535__1.486535	33043__A0A174AEP1__apr
ERR1913196.486700__1.486700	40518__R5DV58__htrA
ERR1913196.486847__1.486847	1313__D6ZNJ6__galE_1
ERR1913196.486887__1.486887	1262924__R7HLJ5__BN585_01491
ERR1913196.486927__1.486927	165179__D1PHV2__PREVCOP_06822
ERR1913196.487041__1.487041	649756__A0A348YI82__ERS852520_03326
ERR1913196.487079__1.487079	39486__B0G4W7__DXD50_05105
ERR1913196.487164__1.487164	1680__A0A1X2ZFB6__AD0028_0856
ERR1913196.487270__1.487270	2022527__A0A264Y834__CHL74_06340
ERR1913196.487373__1.487373	1262929__R6F573__BN691_00942
ERR1913196.487440__1.487440	39488__A0A173RU01__EUBHAL_00881
ERR1913196.487561__1.487561	745368__A0A1T4XU57__SAMN02745178_02337
ERR1913196.487590__1.487590	292800__G9YLK8__ERS852504_01820
ERR1913196.487698__1.487698	165179__R6XIF8__DXC61_07265
ERR1913196.487830__1.487830	2173__A0A1D2WSY5__METSMIF1_03017
ERR1913196.487923__1.487923	1262882__R5N211__BN519_01033
ERR1913196.488008__1.488008	165179__D1PCT4__DXB80_09470
ERR1913196.488291__1.488291	1262882__R5MND9__BN519_00831
ERR1913196.488585__1.488585	39486__R6SN36__HMPREF9457_00956
ERR1913196.488731__1.488731	165179__A0A174PS14__DXC61_13945
ERR1913196.488705__1.488705	166486__D4L0Q4__ERS852572_03675
ERR1913196.488841__1.488841	165179__D1P9T6__PREVCOP_04016
ERR1913196.488880__1.488880	301302__A0A0M6WBZ5__spr
ERR1913196.489036__1.489036	1284775__A0A095Y5G0__HMPREF1640_07060
ERR1913196.489037__1.489037	165179__A0A3E5DV57__DXB80_11400
ERR1913196.489055__1.489055	165179__A0A3E5AER8__DXB80_07075
ERR1913196.489142__1.489142	165179__A0A174W369__PREVCOP_04548
ERR1913196.489232__1.489232	33043__A0A173SQ62__ERS852575_01610
ERR1913196.489254__1.489254	301302__A0A0M6W9I4__M72_19871
ERR1913196.489276__1.489276	33039__D4M1V6__bioA
ERR1913196.489306__1.489306	165179__A0A3E5AAM8__DXB80_10240
ERR1913196.489335__1.489335	2022527__A0A264YA42__CHL74_01870
ERR1913196.489394__1.489394	1262929__R6F4F7__BN691_01167
ERR1913196.489422__1.489422	165179__R6CNX7__DXB80_02200
ERR1913196.489552__1.489552	33039__D4M398__ERS852530_00575
ERR1913196.489847__1.489847	301302__A0A0M6WTN6__ERS852420_01659
ERR1913196.489892__1.489892	239935__B2URG6__CXU02_00030
ERR1913196.489898__1.489898	2173__A0A1D2WST6__METSMIALI_00213
ERR1913196.490254__1.490254	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913196.490263__1.490263	1262882__R5MIY9__BN519_01097
ERR1913196.490377__1.490377	1686__A0A1X2YT39__BIFCAT_00301
ERR1913196.490401__1.490401	165179__A0A174W369__PREVCOP_04548
ERR1913196.490412__1.490412	1297617__A0A0S2W6X9__C7373_105213
ERR1913196.490450__1.490450	39488__A0A174DGL6__EUBHAL_03262
ERR1913196.490453__1.490453	165179__A0A3E5A554__DXB80_13805
ERR1913196.490944__1.490944	165179__A0A3E5AER8__DXB80_07075
ERR1913196.491147__1.491147	39488__C0EY05__EUBHAL_02306
ERR1913196.491148__1.491148	363265__R7H219__HMPREF0673_01818
ERR1913196.491352__1.491352	165179__D1PES9__DXB80_11585
ERR1913196.491392__1.491392	853__A0A3E2U7E6__ERS852582_01640
ERR1913196.491550__1.491550	1318__K8MU13__TZ97_01856
ERR1913196.491514__1.491514	1680__R5GSL8__DXD60_03315
ERR1913196.491645__1.491645	165179__A0A174IYW3__DXC61_01235
ERR1913196.491714__1.491714	165179__A0A174WRI9__DXB80_04870
ERR1913196.491822__1.491822	166486__R6B4E4__sinR_2
ERR1913196.491748__1.491748	1262882__R5N3A4__BN519_01270
ERR1913196.491895__1.491895	165179__A0A174SA26__PREVCOP_05758
ERR1913196.492000__1.492000	39488__A0A374NRX1__licR_1
ERR1913196.492180__1.492180	68892__J0YJA8__HMPREF1124_1016
ERR1913196.492224__1.492224	165179__A0A3E5EA43__DXC61_07775
ERR1913196.492437__1.492437	301302__A0A173SCU7__M72_12871
ERR1913196.492688__1.492688	165179__D1PCL6__DXB80_13435
ERR1913196.492801__1.492801	165179__A0A174SA26__PREVCOP_05758
ERR1913196.492905__1.492905	301302__A0A0M6WYM9__ERS852420_02669
ERR1913196.492943__1.492943	626940__R6XX39__DCQ00_06610
ERR1913196.493333__1.493333	165179__A0A3E5DR10__DXC61_03505
ERR1913196.493389__1.493389	165179__A0A3E5E0D5__PREVCOP_04205
ERR1913196.493402__1.493402	165179__A0A174NK27__PREVCOP_06433
ERR1913196.493493__1.493493	1262924__R7HRE7__BN585_00055
ERR1913196.493799__1.493799	363265__R7H1Q3__HMPREF0673_02409
ERR1913196.493813__1.493813	74426__purL
ERR1913196.493892__1.493892	165179__A0A229I3Z6__PREVCOP_03666
ERR1913196.493939__1.493939	301302__A0A0M6WCT0__M72_03221
ERR1913196.493940__1.493940	33039__A0A173U4W1__ERS852502_00464
ERR1913196.494205__1.494205	165179__A0A3E5EDP4__DXB80_05800
ERR1913196.494253__1.494253	165179__A0A3E5E4P9__DXB80_07930
ERR1913196.494338__1.494338	292800__A0A1C7FRR6__A4U99_16870
ERR1913196.494803__1.494803	301302__R5UK77__M72_08681
ERR1913196.494963__1.494963	39491__A0A396FBR6__DXC13_08575
ERR1913196.495111__1.495111	147206__GCF_000156215.1_01777
ERR1913196.495195__1.495195	1284775__A0A095Y5J4__HMPREF1640_07320
ERR1913196.495232__1.495232	165179__D1PAJ7__PREVCOP_04222
ERR1913196.495432__1.495432	821__A0A3E4KIM1__M097_3660
ERR1913196.495947__1.495947	165179__A0A3E5DX15__DXC61_00345
ERR1913196.495950__1.495950	165179__D1PCU4__PREVCOP_05029
ERR1913196.495898__1.495898	165179__A0A3E5E189__PREVCOP_06699
ERR1913196.496004__1.496004	165179__A0A3E5DY64__CFT61_10025
ERR1913196.496203__1.496203	360807__A0A0M6WLX3__RIL183_21751
ERR1913196.496287__1.496287	100886__E2NPA5__CATMIT_00396
ERR1913196.496434__1.496434	165179__A0A229I3Z6__PREVCOP_03666
ERR1913196.496645__1.496645	301302__A0A0M6W9I4__M72_19871
ERR1913196.496651__1.496651	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913196.496705__1.496705	301302__R5UK77__M72_08681
ERR1913196.496728__1.496728	1262929__R6F141__BN691_00686
ERR1913196.496946__1.496946	1262929__R6F839__BN691_00353
ERR1913196.496932__1.496932	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913196.497097__1.497097	165179__A0A3E5E3D6__DXC61_05750
ERR1913196.497205__1.497205	165179__A0A3E5EA43__DXC61_07775
ERR1913196.497260__1.497260	1150298__A0A174SLE6__mlc_1
ERR1913196.497514__1.497514	1262929__R6F9D0__BN691_00320
ERR1913196.497480__1.497480	165179__A0A3E5EA43__DXC61_07775
ERR1913196.497563__1.497563	853__A0A3E2U7E6__ERS852582_01640
ERR1913196.497858__1.497858	1262924__R7HQ14__BN585_00419
ERR1913196.497833__1.497833	165179__A0A174SA26__PREVCOP_05758
ERR1913196.498000__1.498000	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913196.497959__1.497959	165179__D1PDJ4__DXB80_08505
ERR1913196.498159__1.498159	33043__D5HI36__ERS852400_02168
ERR1913196.498289__1.498289	165179__D1PCT4__DXB80_09470
ERR1913196.498439__1.498439	1284775__A0A095Y5F5__HMPREF1640_07020
ERR1913196.498558__1.498558	301302__A0A173T3P5__ERS852420_01836
ERR1913196.498768__1.498768	165179__A0A3E5E2B6__DXB80_02820
ERR1913196.499048__1.499048	165179__D1PCT4__DXB80_09470
ERR1913196.499081__1.499081	39491__A0A395V5R3__EUBREC_1883
ERR1913196.499361__1.499361	1262929__R6FRG9__BN691_01453
ERR1913196.499328__1.499328	1304__A0A1W5ZCY0__CKU37_03270
ERR1913196.499480__1.499480	360807__C0G0B4__ERS852444_02399
ERR1913196.499537__1.499537	301302__R5VFU2__xynA1
ERR1913196.500069__1.500069	301302__A0A0M6WB53__mcp4_4
ERR1913196.500320__1.500320	165179__D1P9T6__PREVCOP_04016
ERR1913196.500416__1.500416	40518__R5DLJ7__lytR_4
ERR1913196.500570__1.500570	745368__A0A1T4X705__SAMN02745178_01472
ERR1913196.500648__1.500648	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913196.500658__1.500658	363265__G6AZM6__HMPREF0673_02093
ERR1913196.500938__1.500938	1263109__GCA_000438135.1_00941
ERR1913196.501013__1.501013	901__B6WUV2__DESPIGER_1904
ERR1913196.501064__1.501064	357276__I9QBT7__BSEG_03340
ERR1913196.501182__1.501182	33043__D5HFA1__ERS852400_02183
ERR1913196.501319__1.501319	1262929__R6FRG9__BN691_01453
ERR1913196.501692__1.501692	165179__A0A3E5DX15__DXC61_00345
ERR1913196.502053__1.502053	165179__A0A3E5DWZ6__DXC61_10880
ERR1913196.502182__1.502182	165179__D1PD99__PREVCOP_05186
ERR1913196.502322__1.502322	165179__R6BQP4__DXC61_02015
ERR1913196.502548__1.502548	1284775__A0A095Y5F5__HMPREF1640_07020
ERR1913196.502604__1.502604	1262924__R7HRT1__BN585_00630
ERR1913196.502618__1.502618	40518__R5DUU0__DXD93_03985
ERR1913196.502681__1.502681	1262929__R6EZ86__BN691_00765
ERR1913196.502793__1.502793	40518__R5DV58__htrA
ERR1913196.503168__1.503168	165179__D1PFV4__PREVCOP_06112
ERR1913196.503567__1.503567	1262882__R5MFT7__BN519_00494
ERR1913196.503586__1.503586	165179__A0A174SA26__PREVCOP_05758
ERR1913196.503781__1.503781	301302__A0A173T248__M72_19091
ERR1913196.503840__1.503840	165179__A0A174W369__PREVCOP_04548
ERR1913196.504023__1.504023	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913196.504024__1.504024	1965604__A0A1Y4ERL1__B5F54_16810
ERR1913196.504128__1.504128	165179__A0A174SA26__PREVCOP_05758
ERR1913196.504206__1.504206	301302__A0A0M6WWK6__M72_13961
ERR1913196.504223__1.504223	239935__R6IZU4__CXT87_08085
ERR1913196.504333__1.504333	301302__A0A0M6WKN8__M72_27741
ERR1913196.504624__1.504624	43675__D2NR60__CYK05_02045
ERR1913196.504638__1.504638	165179__A0A229I3Z6__PREVCOP_03666
ERR1913196.504846__1.504846	165179__A0A174IHQ2__PREVCOP_05478
ERR1913196.504923__1.504923	165179__A0A174IPI3__CFT61_10940
ERR1913196.505255__1.505255	165179__A0A174NK27__PREVCOP_06433
ERR1913196.505318__1.505318	33039__D4M0U9__mucD
ERR1913196.505319__1.505319	165179__A0A3E5DZD8__DXB80_09150
ERR1913196.505384__1.505384	1262882__R5N1L4__BN519_00757
ERR1913196.505415__1.505415	1262882__R5MKU2__BN519_01271
ERR1913196.505435__1.505435	1262929__R6EV93__BN691_01445
ERR1913196.505604__1.505604	1262882__R5MMP8__BN519_01654
ERR1913196.505773__1.505773	165179__R6CNX7__DXB80_02200
ERR1913196.505786__1.505786	33043__D5HIS6__ERS852575_02019
ERR1913196.505960__1.505960	28111__E5WYC1__BACEGG_00354
ERR1913196.506058__1.506058	40518__R5DYU1__DXD86_01160
ERR1913196.506573__1.506573	165179__A0A3E5DZ45__DXC61_02820
ERR1913196.506591__1.506591	40518__R5DS17__RBATCC27255_00416
ERR1913196.506627__1.506627	165179__A0A3E5DWZ6__DXC61_10880
ERR1913196.507000__1.507000	165179__A0A3E5EAM5__DXC61_07785
ERR1913196.507172__1.507172	39491__D4JMW8__ERS852497_01971
ERR1913196.507177__1.507177	165179__A0A3E5DRF6__DXC61_00200
ERR1913196.507263__1.507263	165179__A0A229I443__DXB80_10950
ERR1913196.507316__1.507316	165179__A0A174W369__PREVCOP_04548
ERR1913196.507707__1.507707	165179__R6PNJ9__PREVCOP_04730
ERR1913196.508103__1.508103	165179__A0A3E5A832__DXC61_13685
ERR1913196.508113__1.508113	1262924__R7HRI6__BN585_00824
ERR1913196.508441__1.508441	165179__A0A174K816__DXB80_12000
ERR1913196.508761__1.508761	165179__A0A3E5DN34__DXC61_07865
ERR1913196.508887__1.508887	165179__A0A174MTF2__DXC61_13200
ERR1913196.508945__1.508945	165179__A0A174SA26__PREVCOP_05758
ERR1913196.508959__1.508959	40518__R5DU38__DXD83_06770
ERR1913196.509047__1.509047	39491__A0A173SH34__EUR_24920
ERR1913196.509112__1.509112	1284775__A0A096A9F7__HMPREF1640_07000
ERR1913196.509216__1.509216	1535__A7VYJ7__CLOLEP_03675
ERR1913196.509177__1.509177	1262929__R6FV28__BN691_00620
ERR1913196.509330__1.509330	626940__E8LE59__HMPREF9443_01130
ERR1913196.509651__1.509651	33039__D4M281__ERS852530_00073
ERR1913196.509715__1.509715	1262882__R5MKV8__BN519_01281
ERR1913196.509820__1.509820	28116__A7LYG5__M089_5828
ERR1913196.509901__1.509901	28052__A0A174P635__ERS852499_02418
ERR1913196.510063__1.510063	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913196.510415__1.510415	562__P23837__phoQ
ERR1913196.510532__1.510532	853__A0A173YYY4__DWZ04_09420
ERR1913196.510596__1.510596	39488__A0A285PP42__cobQ
