ERR1913062.179__1.179	33039__D4M2F6__RTO_06900
ERR1913062.2682892__1.2682892	820__A0A3E4VXP2__yesR
ERR1913062.2683202__1.2683202	2293125__A0A374CMK5__DW917_00330
ERR1913062.2683211__1.2683211	301301__A0A395V8E1__RHOM_11160
ERR1913062.2683370__1.2683370	28052__R7NBF1__yycG_1
ERR1913062.2683450__1.2683450	2293125__A0A374BSW4__DW917_13420
ERR1913062.2683502__1.2683502	357276__I9R994__BACDOR_04044
ERR1913062.2683564__1.2683564	1150298__R7JUS2__ERS852498_02193
ERR1913062.2683627__1.2683627	33039__D4M281__ERS852530_00073
ERR1913062.2683676__1.2683676	39488__C0ET99__ERS852578_00102
ERR1913062.2683767__1.2683767	2293125__A0A374BSW4__DW917_13420
ERR1913062.2683818__1.2683818	47678__A5ZI88__BACCAC_02617
ERR1913062.2683783__1.2683783	46503__A7AG53__DD461_14240
ERR1913062.2683942__1.2683942	1262992__R5D6G0__BN795_00277
ERR1913062.2684004__1.2684004	1262930__R5ZXL8__BN693_01321
ERR1913062.2684076__1.2684076	371601__I9ALH7__DXD80_15875
ERR1913062.2684089__1.2684089	310298__B3JJG1__BACCOP_02031
ERR1913062.2684198__1.2684198	165179__A0A3E5AHY4__CFT61_07675
ERR1913062.2684304__1.2684304	1262930__R6A2C3__BN693_02165
ERR1913062.2684451__1.2684451	204516__U6REI9__HMPREF1534_02357
ERR1913062.2684582__1.2684582	1099853__U5CFD2__NSB1T_03705
ERR1913062.2684642__1.2684642	310298__B3JEE8__BACCOP_00239
ERR1913062.2684687__1.2684687	2293125__A0A374BSW4__DW917_13420
ERR1913062.2685069__1.2685069	1262911__R6HN81__BN557_00921
ERR1913062.2685073__1.2685073	1262924__R7HU74__BN585_00690
ERR1913062.2685093__1.2685093	338188__A0A174ETX3__ERS852397_01955
ERR1913062.2685198__1.2685198	821__A0A174V2F3__NCTC10583_01474
ERR1913062.2685215__1.2685215	1262930__R6A1N0__BN693_00917
ERR1913062.2685414__1.2685414	544644__GCA_001915615.1_02237
ERR1913062.2685451__1.2685451	216816__B7GQM4__BLIC_f01073
ERR1913062.2685473__1.2685473	818__A0A139K1T6__SAMN05216253_11033
ERR1913062.2685537__1.2685537	818__D7IK38__ERS852430_03017
ERR1913062.2685594__1.2685594	1262930__R6A8N0__BN693_02179
ERR1913062.2685699__1.2685699	166486__D4L0E1__ypdA_4
ERR1913062.2685959__1.2685959	166486__A0A173T114__ROSINTL182_05085
ERR1913062.2686077__1.2686077	818__A0A0P0F004__SAMN02910322_02925
ERR1913062.2686134__1.2686134	1263044__GCA_000433375.1_03385
ERR1913062.2686247__1.2686247	410072__A0A174A5E2__dtpT
ERR1913062.2686338__1.2686338	823__A0A355XP97__M092_2525
ERR1913062.2686560__1.2686560	544645__A0A373UZ25__DXC42_17170
ERR1913062.2686657__1.2686657	2293125__A0A374BSW4__DW917_13420
ERR1913062.2686773__1.2686773	853__A0A173XRA8__CGS56_09290
ERR1913062.2686760__1.2686760	410072__A0A174HCW3__ERS852574_00529
ERR1913062.2686764__1.2686764	360807__A0A173V2S2__phoR_7
ERR1913062.2687045__1.2687045	2293125__A0A374BUM7__DW917_12980
ERR1913062.2687168__1.2687168	357276__A0A076INK2__BSEG_04225
ERR1913062.2687151__1.2687151	853__D4KAK8__C4N21_13380
ERR1913062.2687385__1.2687385	292800__A0A174XBF3__ERS852504_03492
ERR1913062.2687404__1.2687404	487174__K0XJ34__DDY40_06890
ERR1913062.2687821__1.2687821	357276__B6VYT9__HMPREF1063_05030
ERR1913062.2687794__1.2687794	357276__A0A1Y3Z6X3__GV66_07715
ERR1913062.2687989__1.2687989	853__A0A173XRA8__CGS56_09290
ERR1913062.2688093__1.2688093	165179__A0A3E5AHY4__CFT61_07675
ERR1913062.2688246__1.2688246	487174__K0X079__DIT83_00640
ERR1913062.2688267__1.2688267	1099853__U5CHL3__NSB1T_13030
ERR1913062.2688401__1.2688401	853__A0A2A7A4A9__C4N21_14870
ERR1913062.2688433__1.2688433	1262992__R5DDC9__BN795_00492
ERR1913062.2688497__1.2688497	1262930__R6A468__BN693_01366
ERR1913062.2688514__1.2688514	357276__C3R9Y0__HMPREF1064_01889
ERR1913062.2688614__1.2688614	418240__C6J8M5__yiaD
ERR1913062.2688623__1.2688623	357276__G5SMD3__BSEG_02959
ERR1913062.2688713__1.2688713	1796613__A0A1C7GYE7__ADH74_04570
ERR1913062.2688820__1.2688820	88431__A0A174G8Q6__ERS852526_02711
ERR1913062.2688831__1.2688831	853__A0A174AML0__FPR_08640
ERR1913062.2688982__1.2688982	410072__A0A173SJX0__ytpA
ERR1913062.2689053__1.2689053	1263044__GCA_000433375.1_00023
ERR1913062.2689139__1.2689139	46503__R6X0R5__DXB85_12380
ERR1913062.2689244__1.2689244	166486__D4KW38__ERS852572_02341
ERR1913062.2689337__1.2689337	821__A0A3E4HP25__SAMN04487923_102450
ERR1913062.2689456__1.2689456	33025__A0A395JIJ9__C8D73_101350
ERR1913062.2689474__1.2689474	1796613__A0A1C7H300__A4V03_17350
ERR1913062.2689594__1.2689594	357276__I9FRW5__B5F95_21685
ERR1913062.2690350__1.2690350	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913062.2690544__1.2690544	28118__F9ZAE1__DF785_04930
ERR1913062.2690595__1.2690595	418240__A0A173XQZ4__yusO
ERR1913062.2690626__1.2690626	821__A0A0P0M2J4__DXD46_10295
ERR1913062.2690658__1.2690658	820__A7V092__hldE
ERR1913062.2690699__1.2690699	39488__A0A173UR01__ERS852450_02793
ERR1913062.2690877__1.2690877	2293125__A0A374BSW4__DW917_13420
ERR1913062.2691383__1.2691383	39491__A0A0M6WPN4__DXB69_06325
ERR1913062.2691407__1.2691407	1262930__R6A6B2__BN693_00668
ERR1913062.2691439__1.2691439	310298__B3JEE8__BACCOP_00239
ERR1913062.2691524__1.2691524	39496__A5Z8T5__EUBVEN_02127
ERR1913062.2691791__1.2691791	357276__D1K3K9__EL88_23995
ERR1913062.2691899__1.2691899	2293125__A0A374BSW4__DW917_13420
ERR1913062.2692057__1.2692057	165179__D1PGU8__PREVCOP_06463
ERR1913062.2692095__1.2692095	39496__A5Z7Y0__EUBVEN_01820
ERR1913062.2692362__1.2692362	165179__A0A229I3Z6__PREVCOP_03666
ERR1913062.2692453__1.2692453	301301__G2SZ82__RHOM_00970
ERR1913062.2692466__1.2692466	820__A0A174CK74__DXB48_07060
ERR1913062.2692472__1.2692472	821__D4VD59__BHV80_04260
ERR1913062.2692517__1.2692517	853__A0A174C5M1__CGS58_04460
ERR1913062.2692599__1.2692599	820__R9I324__HMPREF2141_02414
ERR1913062.2692678__1.2692678	823__A0A174U5E4__BDI_3390
ERR1913062.2692685__1.2692685	823__A0A395YRE1__DXC05_20005
ERR1913062.2692813__1.2692813	1262930__R5ZVG4__BN693_00969
ERR1913062.2692832__1.2692832	2293125__A0A374BSW4__DW917_13420
ERR1913062.2693000__1.2693000	39488__C0F0P7__ERS852578_02651
ERR1913062.2693057__1.2693057	818__A0A3E5HGN6__Btheta7330_00798
ERR1913062.2693138__1.2693138	28111__E5X120__NCTC11155_02427
ERR1913062.2693424__1.2693424	360807__A0A0M6WUG1__ERS852392_00028
ERR1913062.2693438__1.2693438	418240__C6J8B6__ERS852523_03677
ERR1913062.2693485__1.2693485	310298__B3JED9__BACCOP_00230
ERR1913062.2693818__1.2693818	2293125__A0A374CBD1__DW917_06995
ERR1913062.2693869__1.2693869	821__R7P1Q7__M099_2990
ERR1913062.2693888__1.2693888	853__A0A3E2U7E6__ERS852582_01640
ERR1913062.2693898__1.2693898	820__A0A174NUS8__DXC80_12885
ERR1913062.2693903__1.2693903	166486__D4KZF9__ROSINTL182_08499
ERR1913062.2694016__1.2694016	820__A7VAR9__ERS852421_00197
ERR1913062.2694127__1.2694127	544644__GCA_001915615.1_01049
ERR1913062.2694358__1.2694358	357276__A0A076IYG1__B5F95_22465
ERR1913062.2694415__1.2694415	410072__C0BC63__ERS852525_02815
ERR1913062.2694705__1.2694705	1262930__R6A2C3__BN693_02165
ERR1913062.2694708__1.2694708	1262948__R7EG47__BN671_01193
ERR1913062.2694774__1.2694774	165179__A0A229I2W6__PREVCOP_04332
ERR1913062.2694787__1.2694787	39488__A0A173SSM6__EUBHAL_01799
ERR1913062.2694767__1.2694767	487174__K0XH97__HMPREF9448_01909
ERR1913062.2694820__1.2694820	823__A0A174DZM1__DDY96_10310
ERR1913062.2694927__1.2694927	166486__D4KW03__ERS852572_03114
ERR1913062.2695006__1.2695006	418240__A0A174FAS2__btr_1
ERR1913062.2695078__1.2695078	820__A0A173W419__DXC68_17760
ERR1913062.2695163__1.2695163	2293125__A0A374BSW4__DW917_13420
ERR1913062.2695415__1.2695415	357276__A0A0M1VXQ9__BSEG_00942
ERR1913062.2695666__1.2695666	165179__D1PHC0__PREVCOP_06640
ERR1913062.2695679__1.2695679	371601__A0A1C7H1Z9__BN890_35950
ERR1913062.2695919__1.2695919	360807__A0A173WE18__prkC_2
ERR1913062.2695931__1.2695931	165179__D1PGU8__PREVCOP_06463
ERR1913062.2695939__1.2695939	706562__GCA_900112995.1_01419
ERR1913062.2695988__1.2695988	2293125__A0A374BSW4__DW917_13420
ERR1913062.2695995__1.2695995	2293125__A0A374BUM7__DW917_12980
ERR1913062.2696205__1.2696205	853__A0A174CVG7__CGS58_09335
ERR1913062.2696253__1.2696253	360807__A0A396AF38__RIL183_00781
ERR1913062.2696309__1.2696309	487174__R5F4K8__HMPREF9448_01532
ERR1913062.2696385__1.2696385	166486__D4KXA6__ROSINTL182_05897
ERR1913062.2696522__1.2696522	166486__D4KUT4__ERS852572_01421
ERR1913062.2696598__1.2696598	165179__R6B8D8__DXC61_09245
ERR1913062.2696601__1.2696601	1034346__A0A2V2F5Y5__DBX92_12090
ERR1913062.2696630__1.2696630	39488__C0EVS1__ERS852450_02297
ERR1913062.2696730__1.2696730	1150298__A0A174GDE8__ERS852535_00119
ERR1913062.2696783__1.2696783	2293125__A0A374BSW4__DW917_13420
ERR1913062.2696790__1.2696790	165179__D1PGU8__PREVCOP_06463
ERR1913062.2696832__1.2696832	166486__D4L2C5__ERS852572_01688
ERR1913062.2697003__1.2697003	357276__B6W5Q9__HMPREF1063_03125
ERR1913062.2697241__1.2697241	39496__A5Z6R6__EUBVEN_01399
ERR1913062.2697411__1.2697411	1099853__U5CMJ0__NSB1T_01275
ERR1913062.2697434__1.2697434	1263044__GCA_000433375.1_00023
ERR1913062.2697501__1.2697501	1262930__R6AYG5__BN693_00491
ERR1913062.2697712__1.2697712	2293125__A0A374BY09__DW917_11855
ERR1913062.2697717__1.2697717	818__A0A139K9H8__C5Z03_23905
ERR1913062.2697753__1.2697753	853__A0A173T6P2__DWZ46_14595
ERR1913062.2697887__1.2697887	821__A0A395UNT8__DXD64_15275
ERR1913062.2697865__1.2697865	1262930__R6AHR6__BN693_00452
ERR1913062.2697868__1.2697868	626933__H1DGX0__HMPREF9449_01506
ERR1913062.2697870__1.2697870	821__A0A395VIK7__BVU_1225
ERR1913062.2697882__1.2697882	165179__D1PHC0__PREVCOP_06640
ERR1913062.2698064__1.2698064	28118__F9Z7U8__DF785_12305
ERR1913062.2698261__1.2698261	821__A0A174T998__DXB82_10860
ERR1913062.2698478__1.2698478	40520__A0A395X2X5__C4886_03165
ERR1913062.2698521__1.2698521	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913062.2698566__1.2698566	165179__A0A3E5DN34__DXC61_07865
ERR1913062.2698780__1.2698780	166486__D4L1P2__ROSINTL182_05240
ERR1913062.2698768__1.2698768	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1913062.2698769__1.2698769	166486__D4KWZ7__cph2_5
ERR1913062.2698865__1.2698865	626933__H1DGX0__HMPREF9449_01506
ERR1913062.2698907__1.2698907	310298__B3JQJ5__BACCOP_04231
ERR1913062.2699013__1.2699013	2293125__A0A374BUM7__DW917_12980
ERR1913062.2699095__1.2699095	820__A0A374Q8T2__DXB64_16190
ERR1913062.2699096__1.2699096	626932__G5H9Q9__HMPREF9450_01374
ERR1913062.2699239__1.2699239	820__A0A174DZ97__SAMN05444418_101240
ERR1913062.2699328__1.2699328	166486__D4KX18__ROSINTL182_07596
ERR1913062.2699455__1.2699455	46506__S3YU07__AA415_02597
ERR1913062.2699633__1.2699633	78257__A0A087CUE0__BSAE_1156
ERR1913062.2699739__1.2699739	39496__A5Z937__EUBVEN_02230
ERR1913062.2699816__1.2699816	165179__A0A174UTZ7__DXC61_06705
ERR1913062.2699910__1.2699910	818__A0A1H7S810__BJP75_003270
ERR1913062.2700336__1.2700336	165179__A0A3E5AER8__DXB80_07075
ERR1913062.2700682__1.2700682	357276__C3R9Y0__HMPREF1064_01889
ERR1913062.2700751__1.2700751	46503__A7ADV9__ERS852463_01504
ERR1913062.2700808__1.2700808	46503__A7ADV9__ERS852463_01504
ERR1913062.2700915__1.2700915	410072__A0A3E4GLJ0__ERS852481_02689
ERR1913062.2700932__1.2700932	40520__A0A3E5A422__RUMOBE_00654
ERR1913062.2700973__1.2700973	820__A0A173WUD7__DXB48_08055
ERR1913062.2701036__1.2701036	166486__D4KVI9__comEA
ERR1913062.2700989__1.2700989	853__A0A173YYY4__DWZ04_09420
ERR1913062.2701071__1.2701071	823__A6LHK0__M090_1297
ERR1913062.2701113__1.2701113	1262743__R5C054__BN727_01980
ERR1913062.2701219__1.2701219	1735__B7CD84__EUBIFOR_02163
ERR1913062.2701308__1.2701308	2293125__A0A374BUM7__DW917_12980
ERR1913062.2701312__1.2701312	165179__D1PHC0__PREVCOP_06640
ERR1913062.2701626__1.2701626	165179__A0A3E5AER8__DXB80_07075
ERR1913062.2701686__1.2701686	1262992__R5D1U8__BN795_00158
ERR1913062.2701713__1.2701713	28118__F9Z5U0__sfp
ERR1913062.2701722__1.2701722	88431__R7FUI2__ERS852423_02700
ERR1913062.2701752__1.2701752	853__A0A173YYY4__DWZ04_09420
ERR1913062.2701900__1.2701900	33039__D4M1V6__bioA
ERR1913062.2702022__1.2702022	310298__B3JK49__BACCOP_02273
ERR1913062.2702139__1.2702139	821__A6L0C7__ERS852556_03520
ERR1913062.2702134__1.2702134	39486__R6RY39__DXD82_07230
ERR1913062.2702187__1.2702187	820__A0A174TRB5__DXD40_11305
ERR1913062.2702237__1.2702237	1262911__R6HIJ8__BN557_01742
ERR1913062.2702368__1.2702368	165179__A0A3E5AER8__DXB80_07075
ERR1913062.2702413__1.2702413	1262930__R6AQM8__BN693_01323
ERR1913062.2702475__1.2702475	821__A0A0P0M405__DXC02_15075
ERR1913062.2702612__1.2702612	823__A0A355WYX8__CF162_07950
ERR1913062.2702681__1.2702681	821__E5UY21__C800_02204
ERR1913062.2702761__1.2702761	39496__A5Z612__EUBVEN_01144
ERR1913062.2702865__1.2702865	821__A0A174NM17__lacZ_6
ERR1913062.2702815__1.2702815	853__C7H7F5__DWZ46_01780
ERR1913062.2702920__1.2702920	818__A0A174L0X1__NCTC10582_00394
ERR1913062.2702997__1.2702997	820__A0A1T4IYF4__mprA_1
ERR1913062.2703506__1.2703506	2293125__A0A374BSW4__DW917_13420
ERR1913062.2703791__1.2703791	1262930__R6AUX8__BN693_00160
ERR1913062.2703797__1.2703797	166486__D4L284__ERS852572_01651
ERR1913062.2704080__1.2704080	418240__C6JAJ8__ERS852478_03436
ERR1913062.2704130__1.2704130	821__A0A395UNT8__DXD64_15275
ERR1913062.2704227__1.2704227	165179__A0A3E5AER8__DXB80_07075
ERR1913062.2704265__1.2704265	357276__A0A076J726__IY41_15030
ERR1913062.2704356__1.2704356	28052__R7NBF1__yycG_1
ERR1913062.2704511__1.2704511	1262948__R7E9L8__BN671_01965
ERR1913062.2704732__1.2704732	33025__A0A395JDV3__C8D73_101685
ERR1913062.2704691__1.2704691	39496__A5Z5I2__EUBVEN_00963
ERR1913062.2704817__1.2704817	1099853__G9S1Y4__NSB1T_08325
ERR1913062.2704961__1.2704961	310298__B3JQJ5__BACCOP_04231
ERR1913062.2704988__1.2704988	165179__A0A174IPI3__CFT61_10940
ERR1913062.2705069__1.2705069	820__A0A174KKV6__DXC07_02635
ERR1913062.2705254__1.2705254	166486__D4L2T9__lytM
ERR1913062.2705391__1.2705391	820__R9I3Q7__HMPREF1072_01668
ERR1913062.2705444__1.2705444	310298__B3JFK6__BACCOP_00656
ERR1913062.2705564__1.2705564	28118__R6F891__NCTC10826_02656
ERR1913062.2705574__1.2705574	823__A0A355XKR1__DHP27_04035
ERR1913062.2705632__1.2705632	165179__A0A3E5AHY4__CFT61_07675
ERR1913062.2705643__1.2705643	166486__D4KY48__gmr_5
ERR1913062.2705718__1.2705718	823__A0A078TL61__ERS852429_00610
ERR1913062.2705763__1.2705763	1150298__A0A174R918__ERS852535_01749
ERR1913062.2705779__1.2705779	1150298__A0A174RL88__ERS852535_00196
ERR1913062.2705821__1.2705821	357276__E5UTL1__HMPREF1065_03551
ERR1913062.2705963__1.2705963	821__A0A174NM17__lacZ_6
ERR1913062.2706022__1.2706022	310298__B3JLC6__BACCOP_02712
ERR1913062.2706257__1.2706257	1262930__R6AYC4__BN693_00448
ERR1913062.2706493__1.2706493	357276__I8WPR6__EL88_06675
ERR1913062.2706557__1.2706557	360807__A0A1Q6T7T2__artP
ERR1913062.2707243__1.2707243	357276__I9G0T7__BACDOR_04266
ERR1913062.2707337__1.2707337	357276__A0A0K2HI25__DXD47_04465
ERR1913062.2707355__1.2707355	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913062.2707364__1.2707364	1262948__R7EDZ4__BN671_00895
ERR1913062.2707577__1.2707577	165179__D1PDF6__DXB80_12430
ERR1913062.2707651__1.2707651	310298__B3JED9__BACCOP_00230
ERR1913062.2707893__1.2707893	357276__C3RA36__HMPREF1065_03270
ERR1913062.2708082__1.2708082	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913062.2708176__1.2708176	2293125__A0A374BY09__DW917_11855
ERR1913062.2708374__1.2708374	360807__A0A1Q6TAH8__RIL183_11271
ERR1913062.2708395__1.2708395	572010__lepA
ERR1913062.2708406__1.2708406	820__A0A139KHX1__HMPREF2141_00289
ERR1913062.2708525__1.2708525	46506__B0NU72__DXC41_00075
ERR1913062.2708547__1.2708547	28118__F9Z857__DER54_07670
ERR1913062.2708590__1.2708590	166486__D4KZY5__ROSINTL182_07635
ERR1913062.2708830__1.2708830	1262930__R6AQM8__BN693_01323
ERR1913062.2708877__1.2708877	1150298__A0A174KMK7__rluD_3
ERR1913062.2708923__1.2708923	1680__A0A374QDL4__LMG18897_0432
ERR1913062.2709074__1.2709074	820__A0A139K4T0__ERS852510_03146
ERR1913062.2709089__1.2709089	1262739__R6M9P7__BN659_01903
ERR1913062.2709185__1.2709185	165179__D1PCL6__DXB80_13435
ERR1913062.2709337__1.2709337	2293125__A0A374BUM7__DW917_12980
ERR1913062.2709453__1.2709453	28117__B0MU57__ALIPUT_00175
ERR1913062.2709422__1.2709422	823__D0T9Q9__M095_2648
ERR1913062.2709427__1.2709427	1262930__R6ALR2__BN693_00077
ERR1913062.2709535__1.2709535	823__D7IUM6__M091_1082
ERR1913062.2709545__1.2709545	301301__A0A173ZW33__RHOM_02600
ERR1913062.2709563__1.2709563	820__A0A3E4XM43__DXC91_13960
ERR1913062.2709626__1.2709626	821__A0A0P0L8F8__ERS852509_03705
ERR1913062.2709719__1.2709719	166486__D4KPQ7__ROSINTL182_09065
ERR1913062.2709931__1.2709931	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913062.2709933__1.2709933	2293125__A0A374BSW4__DW917_13420
ERR1913062.2710038__1.2710038	28116__I8YA52__M088_0798
ERR1913062.2710303__1.2710303	166486__C7GAX1__ERS852572_03188
ERR1913062.2710304__1.2710304	384638__B7APR1__BACPEC_00667
ERR1913062.2710315__1.2710315	821__A0A395UNT8__DXD64_15275
ERR1913062.2710486__1.2710486	2293125__A0A374BY09__DW917_11855
ERR1913062.2710533__1.2710533	310298__B3JLT9__BACCOP_02886
ERR1913062.2710535__1.2710535	310298__B3JNR4__BACCOP_03579
ERR1913062.2711132__1.2711132	853__A0A2A7B9I6__DW855_13690
ERR1913062.2711316__1.2711316	39488__A0A173SKK4__ERS852578_01024
ERR1913062.2711431__1.2711431	410072__A0A173XQG6__ERS852574_01620
ERR1913062.2711561__1.2711561	166486__D4L255__mcp4_5
ERR1913062.2711748__1.2711748	2293125__A0A374BUM7__DW917_12980
ERR1913062.2711753__1.2711753	1262930__R6AYC4__BN693_00448
ERR1913062.2712081__1.2712081	853__A0A329UEG4__CHR60_00585
ERR1913062.2712084__1.2712084	1150298__A0A174KDB8__psd
ERR1913062.2712205__1.2712205	572010__nrdD
ERR1913062.2712266__1.2712266	818__A0A1H7S810__BJP75_003270
ERR1913062.2712291__1.2712291	671267__R9I7B5__C802_04018
ERR1913062.2712306__1.2712306	1262924__R7HRR0__BN585_00872
ERR1913062.2712338__1.2712338	1262930__R6A1N0__BN693_00917
ERR1913062.2712369__1.2712369	823__A0A078SYK6__DXB14_02485
ERR1913062.2712375__1.2712375	371601__I9AGH0__BN890_47500
ERR1913062.2712417__1.2712417	1262930__R6A2C3__BN693_02165
ERR1913062.2712524__1.2712524	2293125__A0A374BUM7__DW917_12980
ERR1913062.2712528__1.2712528	821__A0A174AYT0__DXC02_03530
ERR1913062.2712541__1.2712541	821__A0A395UNT8__DXD64_15275
ERR1913062.2712594__1.2712594	2293125__A0A374C9I8__DW917_06795
ERR1913062.2712685__1.2712685	1735__B7CCS4__EUBIFOR_02002
ERR1913062.2712783__1.2712783	544644__GCA_001915615.1_02268
ERR1913062.2713052__1.2713052	165179__R6PNJ9__PREVCOP_04730
ERR1913062.2713107__1.2713107	1262930__R5ZXL8__BN693_01321
ERR1913062.2713195__1.2713195	820__R9HXK9__DXB62_08265
ERR1913062.2713201__1.2713201	2293125__A0A374BUM7__DW917_12980
ERR1913062.2713217__1.2713217	357276__I9R4T1__IY41_06800
ERR1913062.2713227__1.2713227	1262930__R6A468__BN693_01366
ERR1913062.2713283__1.2713283	39488__A0A285PT25__EUBHAL_01908
ERR1913062.2713267__1.2713267	2293125__A0A374CCM7__DW917_05375
ERR1913062.2713272__1.2713272	1262930__R6A254__BN693_01006
ERR1913062.2713420__1.2713420	1262930__R6AX81__BN693_00293
ERR1913062.2713580__1.2713580	487174__R5F5Z4__DIT83_00635
ERR1913062.2713738__1.2713738	357276__I9RCD3__IY41_15070
ERR1913062.2713782__1.2713782	1262924__R7HSV3__BN585_00240
ERR1913062.2713853__1.2713853	166486__D4L457__ROSINTL182_07087
ERR1913062.2714058__1.2714058	28052__R7NBF1__yycG_1
ERR1913062.2714093__1.2714093	821__E5UY21__C800_02204
ERR1913062.2714134__1.2714134	357276__A0A076IYG1__B5F95_22465
ERR1913062.2714108__1.2714108	821__A0A396EVC9__DXB90_03525
ERR1913062.2714122__1.2714122	418240__C6J887__ERS852523_03392
ERR1913062.2714217__1.2714217	853__A0A174BZY1__xerD_1
ERR1913062.2714307__1.2714307	39486__A0A3E4M8R7__mobB
ERR1913062.2714440__1.2714440	821__A0A174NM17__lacZ_6
ERR1913062.2714516__1.2714516	853__A0A173XRA8__CGS56_09290
ERR1913062.2714568__1.2714568	165179__A0A3E5DN34__DXC61_07865
ERR1913062.2714676__1.2714676	823__A0A395YQ63__B5F32_15335
ERR1913062.2714703__1.2714703	2293125__A0A374BUM7__DW917_12980
ERR1913062.2714965__1.2714965	28118__F9Z759__B5F93_05180
ERR1913062.2715227__1.2715227	165179__D1PGU8__PREVCOP_06463
ERR1913062.2715266__1.2715266	357276__A0A076IS73__GV66_00410
ERR1913062.2715292__1.2715292	166486__D4KVZ2__cbiT
ERR1913062.2715340__1.2715340	166486__D4L3V9__ROSINTL182_07680
ERR1913062.2715473__1.2715473	487174__K0XH97__HMPREF9448_01909
ERR1913062.2715502__1.2715502	310298__B3JQJ5__BACCOP_04231
ERR1913062.2715610__1.2715610	39496__A5Z866__EUBVEN_01906
ERR1913062.2715878__1.2715878	166486__D4L2T9__lytM
ERR1913062.2715950__1.2715950	820__A0A139K8N1__ERS852554_00951
ERR1913062.2716016__1.2716016	820__A0A139KH21__DXC80_01780
ERR1913062.2716439__1.2716439	165179__D1PGU8__PREVCOP_06463
ERR1913062.2716575__1.2716575	821__A0A174NVL6__NCTC10583_01782
ERR1913062.2716638__1.2716638	357276__A0A076J726__IY41_15030
ERR1913062.2716646__1.2716646	1262948__R7EA06__BN671_01316
ERR1913062.2716661__1.2716661	410072__C0BC38__ERS852574_02017
ERR1913062.2716662__1.2716662	310298__B3JNG7__BACCOP_03480
ERR1913062.2716739__1.2716739	820__A7V859__ERS852462_00341
ERR1913062.2717333__1.2717333	626929__F3PGY0__SAMN05444376_1243
ERR1913062.2717425__1.2717425	28118__R6F7H1__DF785_12785
ERR1913062.2717545__1.2717545	2293125__A0A374BUM7__DW917_12980
ERR1913062.2717938__1.2717938	218538__C9LR41__GCWU000321_00309
ERR1913062.2718028__1.2718028	853__A0A2A7A628__CGS57_13755
ERR1913062.2718157__1.2718157	820__R9I3Q7__HMPREF1072_01668
ERR1913062.2718172__1.2718172	166486__D4KZ95__ERS852572_03327
ERR1913062.2718436__1.2718436	1262911__R6GI18__BN557_01377
ERR1913062.2718527__1.2718527	544644__GCA_001915615.1_02344
ERR1913062.2718528__1.2718528	544644__GCA_001915615.1_02344
ERR1913062.2718549__1.2718549	165179__D1PHC0__PREVCOP_06640
ERR1913062.2718721__1.2718721	2293125__A0A374BSW4__DW917_13420
ERR1913062.2718829__1.2718829	39496__A5Z6F8__EUBVEN_01291
ERR1913062.2719019__1.2719019	820__A0A174GK47__ERS852421_00200
ERR1913062.2719068__1.2719068	2293125__A0A374BMK9__DW917_16190
ERR1913062.2719107__1.2719107	1735__B7CCQ4__EUBIFOR_01982
ERR1913062.2719362__1.2719362	310298__B3JQL6__BACCOP_04252
ERR1913062.2719550__1.2719550	310298__B3JK49__BACCOP_02273
ERR1913062.2719583__1.2719583	1262930__R6AS47__BN693_01577
ERR1913062.2719848__1.2719848	1262992__R5DA18__BN795_01586
ERR1913062.2719851__1.2719851	39491__A0A174IJH1__DXB76_01865
ERR1913062.2719925__1.2719925	39488__A0A285PUH7__ERS852450_00520
ERR1913062.2719974__1.2719974	165179__A0A229I3Z6__PREVCOP_03666
ERR1913062.2720103__1.2720103	39486__B0G472__DXD50_08450
ERR1913062.2720267__1.2720267	1262930__R6A0F8__BN693_00680
ERR1913062.2720325__1.2720325	1262930__R6AQF3__BN693_01271
ERR1913062.2720407__1.2720407	166486__D4KRN9__ERS852572_01822
ERR1913062.2720507__1.2720507	39488__A0A374MV67__DXD91_15895
ERR1913062.2720508__1.2720508	39488__A0A374MV67__DXD91_15895
ERR1913062.2720644__1.2720644	33038__A0A2N5NWR8__CDL18_14140
ERR1913062.2720784__1.2720784	2293125__A0A374BSW4__DW917_13420
ERR1913062.2720916__1.2720916	165179__A0A229I4J4__proA
ERR1913062.2720963__1.2720963	166486__A0A173T114__ROSINTL182_05085
ERR1913062.2721007__1.2721007	626933__H1DGX0__HMPREF9449_01506
ERR1913062.2721267__1.2721267	853__A0A3E2U7E6__ERS852582_01640
ERR1913062.2721856__1.2721856	166486__D4L2C3__ERS852572_01686
ERR1913062.2721881__1.2721881	818__A0A174LFW3__C5Z03_04710
ERR1913062.2721894__1.2721894	2293125__A0A374BSW4__DW917_13420
ERR1913062.2722142__1.2722142	204516__U6RGN8__HMPREF1534_01465
ERR1913062.2722187__1.2722187	165179__A0A174SA26__PREVCOP_05758
ERR1913062.2722247__1.2722247	28116__A0A1Y4Q112__evgS_13
ERR1913062.2722271__1.2722271	39486__B0G7N0__DXC93_07990
