ERR1913155.341__1.341	387661__R5DFX1__PRABACTJOHN_01199
ERR1913155.1247141__1.1247141	823__A0A355XH29__lolE_1
ERR1913155.1247242__1.1247242	40518__R5DSI5__fieF
ERR1913155.1247269__1.1247269	1262886__R6QHZ9__BN563_00710
ERR1913155.1247342__1.1247342	1262886__R6QH57__BN563_00493
ERR1913155.1247350__1.1247350	301302__A0A0M6WMV7__M72_28281
ERR1913155.1247419__1.1247419	39492__D4JUD9__EUBSIR_01875
ERR1913155.1247484__1.1247484	745368__A0A1T4Y0J9__SAMN02745178_02604
ERR1913155.1247502__1.1247502	853__A0A174BZY1__xerD_1
ERR1913155.1247559__1.1247559	39491__A0A174IJH1__DXB76_01865
ERR1913155.1247618__1.1247618	1150298__A0A174KDB8__psd
ERR1913155.1247712__1.1247712	301302__A0A0M6WTN6__ERS852420_01659
ERR1913155.1247832__1.1247832	1262911__R6GY22__BN557_00023
ERR1913155.1247886__1.1247886	116085__D4J6L8__DW747_08035
ERR1913155.1248008__1.1248008	216816__A0A396FVC5__BL71B_00290
ERR1913155.1248163__1.1248163	39491__A0A2U2EK03__ERE_28780
ERR1913155.1248226__1.1248226	33025__A0A395JED3__C8D73_101461
ERR1913155.1248301__1.1248301	820__A7VAR9__ERS852421_00197
ERR1913155.1248410__1.1248410	28117__B0MY40__BHV66_05170
ERR1913155.1248561__1.1248561	371601__A0A174AWE7__BXY_28850
ERR1913155.1248595__1.1248595	40518__R5DVR2__RBL236_00303
ERR1913155.1248608__1.1248608	301301__A0A395V8K9__RHOM_00130
ERR1913155.1248629__1.1248629	371601__A0A1H4AUL8__BXY_43960
ERR1913155.1249017__1.1249017	301302__R5VFU2__xynA1
ERR1913155.1249152__1.1249152	33043__D5HEK8__lytR_1
ERR1913155.1249202__1.1249202	40518__R5E6Y7__DXD83_08230
ERR1913155.1249209__1.1249209	33043__D5HHE4__ERS852445_02332
ERR1913155.1249270__1.1249270	572010__napA
ERR1913155.1249455__1.1249455	1105031__J1H3W2__HMPREF1141_2783
ERR1913155.1249691__1.1249691	360807__A0A0M6WR80__RIL183_05221
ERR1913155.1249923__1.1249923	2173__R7PXA1__Msm_1180
ERR1913155.1250151__1.1250151	1262911__R6GI18__BN557_01377
ERR1913155.1250236__1.1250236	40518__R5DW64__RBL236_01394
ERR1913155.1250344__1.1250344	39496__A5Z5I2__EUBVEN_00963
ERR1913155.1250386__1.1250386	820__A0A374Q8T2__DXB64_16190
ERR1913155.1250502__1.1250502	301302__R5V5K3__M72_10541
ERR1913155.1250692__1.1250692	46503__B7B776__DXB85_00355
ERR1913155.1250791__1.1250791	454155__F3QTM3__HMPREF9442_01541
ERR1913155.1250939__1.1250939	40518__R5DYF6__RBL263_01812
ERR1913155.1251137__1.1251137	301302__R5VFU2__xynA1
ERR1913155.1251434__1.1251434	820__A0A3E4XDK3__ERS852554_03650
ERR1913155.1251395__1.1251395	823__A0A355XEX9__ERS852560_03521
ERR1913155.1251409__1.1251409	216816__A0A396FVC5__BL71B_00290
ERR1913155.1251527__1.1251527	40518__R5E282__DXD86_08940
ERR1913155.1251551__1.1251551	39491__A0A173QT73__alaS_2
ERR1913155.1251588__1.1251588	28116__A0A1Y4Q112__evgS_13
ERR1913155.1251671__1.1251671	28052__R7NCQ8__ERS852499_02306
ERR1913155.1251706__1.1251706	338188__C9L1Z5__ERS852397_00647
ERR1913155.1251695__1.1251695	301302__R5VGE0__ERS852420_00121
ERR1913155.1251806__1.1251806	1262743__R5C054__BN727_01980
ERR1913155.1251866__1.1251866	28111__R5K222__bglX_7
ERR1913155.1251876__1.1251876	1262886__R6RCC2__BN563_00326
ERR1913155.1251912__1.1251912	820__A0A3E4W9W8__C801_01069
ERR1913155.1251967__1.1251967	301302__A0A0M6WCE2__M72_20161
ERR1913155.1252104__1.1252104	360807__A0A1Q6T5B1__ERS852444_03147
ERR1913155.1252349__1.1252349	1150298__A0A174RJ10__ERS852535_00223
ERR1913155.1252356__1.1252356	147206__GCF_000156215.1_01821
ERR1913155.1252372__1.1252372	762212__A0A087A2N3__BBIA_1009
ERR1913155.1252743__1.1252743	301302__A0A0M6WIU8__M72_26811
ERR1913155.1252769__1.1252769	821__A6L0C7__ERS852556_03520
ERR1913155.1252885__1.1252885	820__A7V859__ERS852462_00341
ERR1913155.1253031__1.1253031	39491__A0A395V464__EUBREC_1509
ERR1913155.1253069__1.1253069	246787__E2N7G0__resA_6
ERR1913155.1253187__1.1253187	100886__A0A174HSH4__CATMIT_02717
ERR1913155.1253442__1.1253442	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913155.1253483__1.1253483	88431__A0A3E5GJ50__DORLON_02273
ERR1913155.1253512__1.1253512	544645__A0A3E4TJQ9__DXC42_00310
ERR1913155.1253618__1.1253618	301302__A0A0M6WJW1__ERS852420_02245
ERR1913155.1253701__1.1253701	292800__A0A174U3S2__mleN_3
ERR1913155.1253739__1.1253739	28117__B0MVL5__BHV66_01660
ERR1913155.1253770__1.1253770	820__A0A374QGD2__ERS852421_02382
ERR1913155.1253852__1.1253852	410072__A0A3E4GP91__COPCOM_03835
ERR1913155.1253902__1.1253902	820__A7VAR9__ERS852421_00197
ERR1913155.1253944__1.1253944	39491__A0A174M1X5__DXB99_18695
ERR1913155.1253972__1.1253972	189722__E0NQU7__HMPREF0658_0548
ERR1913155.1254046__1.1254046	39491__A0A396FJJ9__DXB76_11995
ERR1913155.1254015__1.1254015	823__A0A174PLE5__DXD05_03010
ERR1913155.1254108__1.1254108	821__A0A174MBW9__SAMN04487923_10272
ERR1913155.1254145__1.1254145	40518__R5E6K4__RB5AMG_02070
ERR1913155.1254340__1.1254340	820__I9J701__ERS852510_01809
ERR1913155.1254406__1.1254406	357276__A0A0P0M2G3__BACDOR_03913
ERR1913155.1254431__1.1254431	40518__R5E6N4__DXD93_01325
ERR1913155.1254469__1.1254469	1150298__R7JTX5__ERS852535_01291
ERR1913155.1254542__1.1254542	820__A0A139KJR5__M093_4469
ERR1913155.1254613__1.1254613	40518__A0A1C6H8N9__RBATCC27255_01374
ERR1913155.1254552__1.1254552	39492__D4JR31__EUBSIR_00106
ERR1913155.1254769__1.1254769	40518__R5E6K5__speA
ERR1913155.1254857__1.1254857	338188__R6RV06__HMPREF1057_00250
ERR1913155.1254970__1.1254970	820__A0A3E4W4Y7__B5G17_02055
ERR1913155.1255038__1.1255038	40518__R5DY73__DXD86_02865
ERR1913155.1255042__1.1255042	820__A0A374MMF0__HMPREF1073_03811
ERR1913155.1255063__1.1255063	40518__R5E1J2__DXD93_04070
ERR1913155.1255072__1.1255072	28111__R5JUK8__NCTC11155_02515
ERR1913155.1255110__1.1255110	28116__F7L8I3__M089_1421
ERR1913155.1255166__1.1255166	47678__R5U9Z0__HMPREF1061_03210
ERR1913155.1255181__1.1255181	820__A7V8C2__ERS852554_01338
ERR1913155.1255284__1.1255284	853__A0A173T751__C4N24_10280
ERR1913155.1255230__1.1255230	820__A0A374QGD2__ERS852421_02382
ERR1913155.1255307__1.1255307	246787__A0A0P0GG22__BACCELL_01899
ERR1913155.1255344__1.1255344	418240__C6J8B6__ERS852523_03677
ERR1913155.1255378__1.1255378	1262886__R6QRM1__BN563_01480
ERR1913155.1255444__1.1255444	1262886__R6RDI4__BN563_00643
ERR1913155.1255541__1.1255541	1150298__A0A174IG30__ERS852535_01135
ERR1913155.1255692__1.1255692	823__A0A355XKQ8__DHP27_04010
ERR1913155.1255682__1.1255682	40518__R5DY98__mepA_5
ERR1913155.1255772__1.1255772	1262743__R5C054__BN727_01980
ERR1913155.1255775__1.1255775	39492__D4JR58__EUBSIR_02090
ERR1913155.1255829__1.1255829	821__A0A174WBC9__ERS852556_03145
ERR1913155.1255881__1.1255881	40518__R5DQJ0__DXD93_03790
ERR1913155.1256045__1.1256045	820__A0A3E4W4Y7__B5G17_02055
ERR1913155.1256124__1.1256124	100884__E7GES5__HMPREF9488_03217
ERR1913155.1256177__1.1256177	46228__B5CN49__HMPREF1202_00029
ERR1913155.1256202__1.1256202	47678__R5U8P0__DW706_15950
ERR1913155.1256228__1.1256228	820__A0A174R952__DXB48_02570
ERR1913155.1256350__1.1256350	1150298__A0A174EA00__ERS852406_01720
ERR1913155.1256356__1.1256356	1262886__R6RCF6__BN563_00371
ERR1913155.1256477__1.1256477	40518__R5DTG5__RBATCC27255_00890
ERR1913155.1256478__1.1256478	39491__D6E2U1__EUBREC_3278
ERR1913155.1256537__1.1256537	47678__R5UUD7__bga_1
ERR1913155.1256544__1.1256544	39491__A0A395V5R3__EUBREC_1883
ERR1913155.1256493__1.1256493	360807__A0A396ADE9__ROSEINA2194_02917
ERR1913155.1256588__1.1256588	1263044__GCA_000433375.1_01140
ERR1913155.1256558__1.1256558	33043__D5HHY4__luxQ_1
ERR1913155.1256563__1.1256563	823__A6LFW2__M095_1860
ERR1913155.1256905__1.1256905	40518__R5E6X1__DXD83_01720
ERR1913155.1256968__1.1256968	1262911__R6H2J2__BN557_01228
ERR1913155.1257014__1.1257014	40518__R5DSI5__fieF
ERR1913155.1257041__1.1257041	40518__R5DVR2__RBL236_00303
ERR1913155.1257085__1.1257085	46503__R6WTN6__PARMER_00136
ERR1913155.1257107__1.1257107	40518__R5E1J7__RBL236_02062
ERR1913155.1257141__1.1257141	301302__A0A0M6WTN6__ERS852420_01659
ERR1913155.1257221__1.1257221	28118__F9ZCN1__B5F99_10605
ERR1913155.1257305__1.1257305	1150298__A0A174MFX3__ERS852498_01752
ERR1913155.1257369__1.1257369	301302__A0A0M6W9N8__tig_2
ERR1913155.1257444__1.1257444	40518__R5DZI2__DXD93_06940
ERR1913155.1257549__1.1257549	46228__V8CG89__RUMLAC_00663
ERR1913155.1257880__1.1257880	47678__R5UXJ2__DW706_08325
ERR1913155.1257999__1.1257999	301302__R5UJB0__M72_12831
ERR1913155.1258014__1.1258014	1628085__A0A1C5YAJ9__C7386_10197
ERR1913155.1258097__1.1258097	46506__A0A108TAK3__fepA_3
ERR1913155.1258159__1.1258159	360807__A0A1Q6T9R3__ERS852392_02666
ERR1913155.1258229__1.1258229	1703337__A0A2U0U7Q7__C7379_11089
ERR1913155.1258294__1.1258294	39491__D6DXZ8__DXB72_15035
ERR1913155.1258281__1.1258281	39492__D4JRZ7__smc
ERR1913155.1258367__1.1258367	100886__E2NWG2__CATMIT_02957
ERR1913155.1258351__1.1258351	40518__R5DZB3__RB5AMG_01719
ERR1913155.1258478__1.1258478	100886__E2NPD3__ERS852383_04249
ERR1913155.1258536__1.1258536	28111__E5WZI3__NCTC11155_00586
ERR1913155.1258560__1.1258560	454155__F3QS51__HMPREF9442_01006
ERR1913155.1258565__1.1258565	216816__C2GUV2__APC1478_0430
ERR1913155.1258585__1.1258585	39491__A0A174K9A3__DXB69_07785
ERR1913155.1258694__1.1258694	1680__A0A173Y6N7__yhaH
ERR1913155.1258837__1.1258837	706562__GCA_900112995.1_01875
ERR1913155.1258889__1.1258889	40518__R5DX17__DXD86_01230
ERR1913155.1258896__1.1258896	301302__R5V631__ERS852420_03369
ERR1913155.1258985__1.1258985	46503__K5ZKR1__dnaB
ERR1913155.1259014__1.1259014	33043__D5HIA8__ERS852575_01867
ERR1913155.1259088__1.1259088	46503__R6X3F9__DCY29_09585
ERR1913155.1259182__1.1259182	1150298__A0A174HHW8__yhbU_1
ERR1913155.1259273__1.1259273	39492__A0A174ZG93__EUBSIR_00254
ERR1913155.1259407__1.1259407	410072__C0BD90__rpoD
ERR1913155.1259499__1.1259499	28111__E5WUE9__NCTC11155_01729
ERR1913155.1259503__1.1259503	40518__R5E8B6__RB5AMG_00876
ERR1913155.1259520__1.1259520	1262886__R6QPP8__BN563_00924
ERR1913155.1259528__1.1259528	33025__A0A395JEP7__C8D73_10844
ERR1913155.1259610__1.1259610	823__D7IT19__DHP27_03495
ERR1913155.1259730__1.1259730	39492__B0MM84__lgt
ERR1913155.1259771__1.1259771	40518__R5E6U1__yunB
ERR1913155.1259776__1.1259776	1897011__A0A1Q6RBY8__BHW41_06910
ERR1913155.1259781__1.1259781	28116__I8YA52__M088_0798
ERR1913155.1259787__1.1259787	671267__R9I6R0__C802_02914
ERR1913155.1259870__1.1259870	387661__B7B994__HMPREF1077_03140
ERR1913155.1259891__1.1259891	33043__A0A174B6N5__ERS852445_02414
ERR1913155.1260033__1.1260033	1150298__A0A174N5I7__ERS852498_01953
ERR1913155.1260210__1.1260210	239935__A0A2N8IAY7__CXU13_02935
ERR1913155.1260240__1.1260240	823__E1YT73__NCTC11152_02675
ERR1913155.1260242__1.1260242	39492__D4JSS2__EUBSIR_00553
ERR1913155.1260311__1.1260311	820__A7V092__hldE
ERR1913155.1260380__1.1260380	46506__A0A3E4TL81__HMPREF1181_01022
ERR1913155.1260374__1.1260374	1262886__R6REM1__BN563_00995
ERR1913155.1260445__1.1260445	820__A0A1Y3V743__M093_0235
ERR1913155.1260621__1.1260621	820__A0A3E4W6P0__gmhA
ERR1913155.1260684__1.1260684	47678__R5U8P0__DW706_15950
ERR1913155.1260689__1.1260689	1262886__R6QHT9__BN563_00630
ERR1913155.1260690__1.1260690	33043__D5HHE4__ERS852445_02332
ERR1913155.1260646__1.1260646	410072__A0A174K1D5__hscC
ERR1913155.1260781__1.1260781	39491__A0A395UZ89__DXB72_12805
ERR1913155.1260785__1.1260785	46503__R6WX12__DXB85_11560
ERR1913155.1260758__1.1260758	46503__R6Y1Q8__DXB85_01295
ERR1913155.1260850__1.1260850	40518__R5DV66__DXD83_04215
ERR1913155.1261035__1.1261035	301302__A0A173RJJ7__ERS852420_00620
ERR1913155.1261176__1.1261176	820__A0A139K1Y6__DXB48_02610
ERR1913155.1261117__1.1261117	1333651__W4NC27__BMOU_0027
ERR1913155.1261477__1.1261477	46503__K5ZKR1__dnaB
ERR1913155.1261648__1.1261648	823__A0A173UDF6__CEQ22_003270
ERR1913155.1261685__1.1261685	821__A0A0P0LH09__ERS852457_03390
ERR1913155.1261688__1.1261688	46228__B5CM12__DXD17_00945
ERR1913155.1261734__1.1261734	301302__R5UMB3__M72_01421
ERR1913155.1261846__1.1261846	39491__A0A395UWA3__DXB69_11805
ERR1913155.1261886__1.1261886	28052__A0A174JFU5__yhbU_1
ERR1913155.1261894__1.1261894	1628085__A0A396MGZ2__C7386_12111
ERR1913155.1262030__1.1262030	88431__A0A174G8Q6__ERS852526_02711
ERR1913155.1262092__1.1262092	46503__K6A7H7__DCY29_03460
ERR1913155.1262117__1.1262117	40518__R5DYU1__DXD86_01160
ERR1913155.1262200__1.1262200	821__A0A174MBW9__SAMN04487923_10272
ERR1913155.1262264__1.1262264	1150298__A0A174KZR5__ERS852498_01375
ERR1913155.1262278__1.1262278	301302__R5UMB3__M72_01421
ERR1913155.1262328__1.1262328	216816__B7GP87__HMPREF0177_01055
ERR1913155.1262329__1.1262329	28111__E5WUU3__HMPREF1016_00520
ERR1913155.1262323__1.1262323	823__A0A355XJT5__ERS852429_03504
ERR1913155.1262429__1.1262429	301302__A0A0M6WU48__M72_10411
ERR1913155.1262523__1.1262523	301302__A0A0M6WH46__M72_23101
ERR1913155.1262663__1.1262663	1262743__R5C054__BN727_01980
ERR1913155.1262784__1.1262784	47678__R5UV30__C5Z00_12615
ERR1913155.1262793__1.1262793	820__A7V9F9__B5G17_14640
ERR1913155.1262798__1.1262798	40518__R5DX31__DXD86_09775
ERR1913155.1262811__1.1262811	46228__V8C7M2__RUMLAC_01453
ERR1913155.1262957__1.1262957	40518__R5DV58__htrA
ERR1913155.1263054__1.1263054	1262886__R6QAM6__BN563_01696
ERR1913155.1263186__1.1263186	204516__U6RDD8__HMPREF1534_02559
ERR1913155.1263207__1.1263207	1262911__R6GZ01__BN557_00641
ERR1913155.1263213__1.1263213	1680__R5GSL8__DXD60_03315
ERR1913155.1263277__1.1263277	820__A0A078STJ8__DXC68_04690
ERR1913155.1263322__1.1263322	40518__R5E5I9__yvhJ_2
ERR1913155.1263415__1.1263415	47678__A0A3E5BQM1__DXB67_08970
ERR1913155.1263438__1.1263438	649756__R7BXQ5__HMPREF0369_01797
ERR1913155.1263488__1.1263488	33043__A0A174ADZ1__dcuS_1
ERR1913155.1263533__1.1263533	33043__D5HIL8__ERS852386_02009
ERR1913155.1263650__1.1263650	338188__R6RPM5__bglX_6
ERR1913155.1263771__1.1263771	39486__G1WPN2__DORFOR_01095
ERR1913155.1263775__1.1263775	28117__R7JQW0__ALIPUT_01453
ERR1913155.1263915__1.1263915	40518__R5DME2__DXD86_07315
ERR1913155.1263926__1.1263926	884684__GCA_002892425.1_01408
ERR1913155.1263977__1.1263977	100886__A0A174HSH4__CATMIT_02717
ERR1913155.1264015__1.1264015	820__A0A3E4W984__pssA
ERR1913155.1264048__1.1264048	301302__R5V7G4__ywtF
ERR1913155.1264073__1.1264073	216816__U2TWA1__DD678_00805
ERR1913155.1264122__1.1264122	239935__A0A2N8HB50__CXU17_02615
ERR1913155.1264196__1.1264196	821__D4VC51__M099_1508
ERR1913155.1264261__1.1264261	46503__K5ZAK9__NCTC13052_03308
ERR1913155.1264368__1.1264368	1160721__W0U8E3__BHW50_10005
ERR1913155.1264354__1.1264354	1150298__A0A174RL88__ERS852535_00196
ERR1913155.1264458__1.1264458	626933__H1DGX0__HMPREF9449_01506
ERR1913155.1264404__1.1264404	47678__A5ZEX0__DW706_08045
ERR1913155.1264645__1.1264645	487174__K0XKB7__DDY40_03475
ERR1913155.1264715__1.1264715	39496__A5Z3I6__EUBVEN_00232
ERR1913155.1264820__1.1264820	821__A0A173XDD3__DXB82_17180
ERR1913155.1264840__1.1264840	820__A0A396EXA7__DXB37_15530
ERR1913155.1264905__1.1264905	301302__A0A173SUI7__M72_11091
ERR1913155.1265011__1.1265011	292800__A0A174SE17__dppA_5
ERR1913155.1265058__1.1265058	328814__GCA_004558275.1_00100
ERR1913155.1265354__1.1265354	1262886__R6QJR0__BN563_01268
ERR1913155.1265504__1.1265504	649756__A0A174RGG7__senX3_2
ERR1913155.1265546__1.1265546	1263000__R5EXT3__BN466_02213
ERR1913155.1265618__1.1265618	556259__E5C6L5__BSGG_0298
ERR1913155.1265586__1.1265586	39491__A0A396FPV7__ERS852580_01177
ERR1913155.1265695__1.1265695	2292352__A0A374UKS3__DXC23_09270
ERR1913155.1265713__1.1265713	820__A0A139JRH8__HMPREF2141_04326
ERR1913155.1265779__1.1265779	39488__A0A374NKN1__ltaS_2
ERR1913155.1265799__1.1265799	823__A0A395YRW4__DD466_15895
ERR1913155.1265846__1.1265846	820__A0A3E4VXP2__yesR
ERR1913155.1265851__1.1265851	820__A0A3E4PYB0__yejM
ERR1913155.1265883__1.1265883	301302__A0A0M6W9N8__tig_2
ERR1913155.1265892__1.1265892	821__E5UPR6__SAMN04487923_101768
ERR1913155.1265984__1.1265984	338188__R6RPM5__bglX_6
ERR1913155.1266146__1.1266146	47678__R5UUD7__bga_1
ERR1913155.1266221__1.1266221	28117__B0MY40__BHV66_05170
ERR1913155.1266254__1.1266254	360807__A0A1Q6T7T2__artP
ERR1913155.1266347__1.1266347	46503__R6Y4M7__HMPREF1078_03269
ERR1913155.1266364__1.1266364	820__A0A396EUV1__B5G17_06465
ERR1913155.1266337__1.1266337	88431__A0A174IEH2__DXB16_05910
ERR1913155.1266427__1.1266427	1262824__R6S1J4__BN719_01997
ERR1913155.1266466__1.1266466	40518__R5E670__DXD93_06195
ERR1913155.1266519__1.1266519	1262886__R6QCX3__BN563_01618
ERR1913155.1266630__1.1266630	823__A0A174EFT7__luxQ_5
ERR1913155.1266645__1.1266645	216816__A0A0A1GS44__BBG7_0558
ERR1913155.1266655__1.1266655	1680__A0A0C2YPV2__AL0462_1474
ERR1913155.1266695__1.1266695	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913155.1266813__1.1266813	28117__B0MYI9__BHV66_05415
ERR1913155.1266875__1.1266875	28117__B0MU53__ALIPUT_00569
ERR1913155.1266958__1.1266958	40518__R5DW64__RBL236_01394
ERR1913155.1267086__1.1267086	28111__E5WYC3__NCTC11155_03517
ERR1913155.1267275__1.1267275	1262924__R7HQ14__BN585_00419
ERR1913155.1267218__1.1267218	33043__A0A173YUV6__ERS852386_00507
ERR1913155.1267245__1.1267245	1150298__A0A174SLE6__mlc_1
ERR1913155.1267251__1.1267251	216816__Q8G4X6__DXD52_09895
ERR1913155.1267255__1.1267255	40518__R5DUG7__sbcC
ERR1913155.1267309__1.1267309	820__R9I2U8__DXC68_09590
ERR1913155.1267776__1.1267776	40518__R5DZM6__lytR_3
ERR1913155.1267924__1.1267924	1262911__R6H2J2__BN557_01228
ERR1913155.1267889__1.1267889	1150298__R7JPI7__cotI
ERR1913155.1268017__1.1268017	1262911__R6H0U7__BN557_01104
ERR1913155.1268046__1.1268046	328814__GCA_004558275.1_00079
ERR1913155.1268134__1.1268134	821__A0A174NSU0__BVU_3144
ERR1913155.1268482__1.1268482	357276__A0A076IYG1__B5F95_22465
ERR1913155.1268619__1.1268619	1150298__A0A174HHW8__yhbU_1
ERR1913155.1268750__1.1268750	1150298__A0A174KML4__hisK
ERR1913155.1268795__1.1268795	1262886__R6QKS8__BN563_01572
ERR1913155.1268872__1.1268872	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913155.1268943__1.1268943	39491__A0A2U2EK03__ERE_28780
ERR1913155.1269024__1.1269024	1262911__R6H2J2__BN557_01228
ERR1913155.1269128__1.1269128	1150298__R7JRK4__ERS852406_01648
ERR1913155.1269420__1.1269420	216816__A0A0S2MCH0__AYW81_04880
ERR1913155.1269481__1.1269481	820__A0A174P0L5__glcK_3
ERR1913155.1269452__1.1269452	853__A0A173XRA8__CGS56_09290
ERR1913155.1269522__1.1269522	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913155.1269685__1.1269685	39492__D4JRV5__acrR_2
ERR1913155.1269668__1.1269668	39492__A0A174ZG93__EUBSIR_00254
ERR1913155.1269810__1.1269810	46503__R6Y4M7__HMPREF1078_03269
ERR1913155.1269929__1.1269929	1262924__R7HQD9__BN585_00129
ERR1913155.1269878__1.1269878	823__A6LFW2__M095_1860
ERR1913155.1269862__1.1269862	40518__R5DVQ2__DXD93_00365
ERR1913155.1269981__1.1269981	39492__D4JQX3__EUBSIR_01310
ERR1913155.1270046__1.1270046	39492__D4JU49__ERS852540_00175
ERR1913155.1270139__1.1270139	28117__B0MY45__ALIPUT_02164
ERR1913155.1270226__1.1270226	28111__E5WUE7__BACEGG_02087
ERR1913155.1270319__1.1270319	88431__A0A174LBC0__DORLON_00105
ERR1913155.1270397__1.1270397	820__A0A3E4VXP2__yesR
ERR1913155.1270445__1.1270445	301302__A0A173TEJ2__M72_09031
ERR1913155.1270482__1.1270482	454154__G5SWP7__HMPREF9441_03820
ERR1913155.1270467__1.1270467	1263044__GCA_000433375.1_01149
ERR1913155.1270557__1.1270557	40518__R5E8B6__RB5AMG_00876
ERR1913155.1270637__1.1270637	33043__A0A173ZL29__ERS852386_01345
ERR1913155.1270931__1.1270931	1263000__R5EXT3__BN466_02213
ERR1913155.1270980__1.1270980	33025__A0A395JED3__C8D73_101461
ERR1913155.1271149__1.1271149	33025__A0A395JF58__C8D73_101275
ERR1913155.1271156__1.1271156	820__A0A174B4N2__M093_2531
ERR1913155.1271173__1.1271173	216816__A0A0A6VPB9__B624_1780
ERR1913155.1271330__1.1271330	40518__R5DWH8__DXD86_04530
ERR1913155.1271427__1.1271427	204516__U6RAM4__HMPREF1534_03439
ERR1913155.1271511__1.1271511	61171__B9Y5U6__HOLDEFILI_01178
ERR1913155.1271678__1.1271678	28111__B0NT39__NCTC11155_02876
ERR1913155.1271656__1.1271656	1150298__A0A174IG30__ERS852535_01135
ERR1913155.1271729__1.1271729	88431__A0A173XSN2__ERS852526_00723
ERR1913155.1271794__1.1271794	40518__R5DTP7__DXD83_02415
ERR1913155.1271900__1.1271900	2292352__A0A374UKS3__DXC23_09270
ERR1913155.1271876__1.1271876	301302__R5VFU2__xynA1
ERR1913155.1271879__1.1271879	39492__D4JV86__spoIIE
ERR1913155.1271928__1.1271928	40518__R5DYM0__DXD86_08165
ERR1913155.1272033__1.1272033	246787__R6LGB3__BcellWH2_02361
ERR1913155.1272070__1.1272070	40518__R5E7G3__DXD86_03405
ERR1913155.1272117__1.1272117	74426__asnS
ERR1913155.1272160__1.1272160	28117__B0MVL5__BHV66_01660
ERR1913155.1272249__1.1272249	40518__R5E8B6__RB5AMG_00876
ERR1913155.1272278__1.1272278	47678__R5U9M8__CGC64_07665
ERR1913155.1272517__1.1272517	39491__A0A396FKG5__DXB76_07455
ERR1913155.1272585__1.1272585	28116__A0A1G6G396__DXD69_22115
ERR1913155.1272587__1.1272587	821__A0A173XDD3__DXB82_17180
ERR1913155.1272920__1.1272920	823__A0A174UR44__M095_2641
ERR1913155.1272971__1.1272971	820__A0A3E4GA19__SAMN05444418_10562
ERR1913155.1273042__1.1273042	1262911__R6H174__BN557_01246
ERR1913155.1273106__1.1273106	563769__GeneID:6973141
ERR1913155.1273191__1.1273191	1150298__A0A174DTK6__ERS852498_00510
ERR1913155.1273263__1.1273263	1150298__A0A174DTK6__ERS852498_00510
ERR1913155.1273424__1.1273424	410072__A0A174K1W4__apxIB
ERR1913155.1273461__1.1273461	166486__D4KU79__ROSINTL182_06970
ERR1913155.1273555__1.1273555	216816__C5E9N8__DD678_02795
ERR1913155.1273564__1.1273564	820__A0A396EUV1__B5G17_06465
ERR1913155.1273727__1.1273727	1262753__R5B890__BN813_02145
ERR1913155.1273779__1.1273779	40518__R5DME2__DXD86_07315
ERR1913155.1273883__1.1273883	338188__A0A174EU88__BACFIN_08820
ERR1913155.1274217__1.1274217	46503__R6X0R5__DXB85_12380
ERR1913155.1274410__1.1274410	39491__D4JMW8__ERS852497_01971
ERR1913155.1274459__1.1274459	39491__A0A395ZDC6__addB
ERR1913155.1274449__1.1274449	28117__B0MUY3__BHV66_00515
ERR1913155.1274646__1.1274646	1263107__GCA_000436995.1_00140
ERR1913155.1274750__1.1274750	820__A0A3E4FWC8__DXC91_14635
ERR1913155.1274820__1.1274820	820__A0A3E5E9Y8__DXD90_09110
ERR1913155.1274927__1.1274927	1262911__R6GT76__BN557_01150
ERR1913155.1274938__1.1274938	46503__R6Y449__ERS852463_00137
ERR1913155.1275145__1.1275145	823__A0A174U5E4__BDI_3390
ERR1913155.1275189__1.1275189	100886__A0A174M9X7__CATMIT_00555
ERR1913155.1275211__1.1275211	28116__A0A1Y4PTX5__SAMN05192582_104017
ERR1913155.1275284__1.1275284	821__A0A395US34__C5Z04_18975
ERR1913155.1275365__1.1275365	1262886__R6QMR0__BN563_00320
ERR1913155.1275345__1.1275345	40518__R5DYT8__mscS
ERR1913155.1275423__1.1275423	410072__C0B4V0__ERS852481_02420
ERR1913155.1275445__1.1275445	39491__A0A395V1T9__DXD13_03310
ERR1913155.1275507__1.1275507	216816__C2GSX7__DD678_03555
ERR1913155.1275672__1.1275672	46228__V8CC10__RUMLAC_01472
ERR1913155.1275715__1.1275715	39491__A0A395V1Y4__DXB99_08035
ERR1913155.1275789__1.1275789	1150298__A0A174GH24__ERS852406_02992
ERR1913155.1275897__1.1275897	46503__R6WQ01__PARMER_03826
ERR1913155.1275989__1.1275989	1262911__R6GMK4__BN557_00535
ERR1913155.1276040__1.1276040	338188__R6RTT3__apeB
ERR1913155.1276090__1.1276090	1150298__A0A174N5I7__ERS852498_01953
ERR1913155.1276206__1.1276206	853__A0A174C5M1__CGS58_04460
ERR1913155.1276265__1.1276265	301302__R5V4M3__ERS852420_01171
ERR1913155.1276418__1.1276418	706562__GCA_900112995.1_01884
ERR1913155.1276469__1.1276469	360807__C0FPW0__ROSEINA2194_00763
ERR1913155.1276589__1.1276589	1628085__A0A396MGZ2__C7386_12111
