ERR1913249.568__1.568	1680__A0A374QDL4__LMG18897_0432
ERR1913249.736544__1.736544	1680__A0A087CWH8__ERS852382_00646
ERR1913249.736549__1.736549	239935__A0A2N8ITG2__Amuc_0335
ERR1913249.736574__1.736574	1262869__R7CNN0__BN625_01419
ERR1913249.736588__1.736588	239935__A0A2N8HPS5__Amuc_0950
ERR1913249.736703__1.736703	1262911__R6GR13__BN557_00618
ERR1913249.736858__1.736858	40518__R5DVL2__penA
ERR1913249.736896__1.736896	28117__B0MY34__BHV66_05195
ERR1913249.736923__1.736923	572010__hgdC_1
ERR1913249.737157__1.737157	1150298__A0A174RJU1__gsiA_4
ERR1913249.737220__1.737220	28117__B0MYI9__BHV66_05415
ERR1913249.737363__1.737363	239935__A0A139TT05__CXU09_03335
ERR1913249.737416__1.737416	239935__B2UNC5__B5G29_07685
ERR1913249.737487__1.737487	1550024__A0A0D8IZK5__TQ39_07980
ERR1913249.737518__1.737518	239935__R7E524__CXT91_06180
ERR1913249.737530__1.737530	28117__B0MT84__ALIPUT_00402
ERR1913249.737594__1.737594	33043__A0A174D8D4__ERS852386_02537
ERR1913249.737673__1.737673	821__A0A173XDD3__DXB82_17180
ERR1913249.737731__1.737731	1262989__R6Y5A1__BN815_00202
ERR1913249.737922__1.737922	853__A0A174C5M1__CGS58_04460
ERR1913249.738375__1.738375	239935__A0A2N8HT44__CXT84_11035
ERR1913249.738415__1.738415	1297617__A0A0S2W326__IB211_01371c
ERR1913249.738440__1.738440	239935__A0A2N8HUU6__CXT90_06150
ERR1913249.738923__1.738923	1550024__A0A0D8J0K7__TQ39_06245
ERR1913249.739002__1.739002	817__A0A396EMA4__M108_0298
ERR1913249.739241__1.739241	820__R7E9Z4__DXC68_06065
ERR1913249.739435__1.739435	820__A0A3E4QZJ7__C801_01798
ERR1913249.739459__1.739459	820__A0A139KHX1__HMPREF2141_00289
ERR1913249.739494__1.739494	572010__hgdC_1
ERR1913249.739534__1.739534	239935__A0A2N8IVR0__CXT87_07115
ERR1913249.739572__1.739572	239935__A0A2N8IYM5__CXT84_05130
ERR1913249.739863__1.739863	1262911__R6GZ01__BN557_00641
ERR1913249.739882__1.739882	1262911__R6GZ01__BN557_00641
ERR1913249.739913__1.739913	28117__B0MTH2__ALIPUT_00061
ERR1913249.739923__1.739923	328814__GCA_004558275.1_02279
ERR1913249.739994__1.739994	28117__B0MU57__ALIPUT_00175
ERR1913249.739972__1.739972	28117__B0MUY3__BHV66_00515
ERR1913249.740574__1.740574	820__A7UYX8__DXD40_11635
ERR1913249.740576__1.740576	216816__A0A395XZB7__DXD37_04075
ERR1913249.740778__1.740778	1550024__G9RZG0__ASJ35_05540
ERR1913249.741135__1.741135	853__A0A174C5M1__CGS58_04460
ERR1913249.741209__1.741209	1680__R5GZJ8__BSTER_1195
ERR1913249.741254__1.741254	1550024__A0A0D8J3J4__TQ39_01275
ERR1913249.741260__1.741260	1681__A0A0H2PGZ6__DXD34_05075
ERR1913249.741356__1.741356	239935__A0A2N8HTZ8__CXU09_01270
ERR1913249.741537__1.741537	1263000__R5EI35__BN466_01649
ERR1913249.741559__1.741559	216816__A0A0A0UDU9__BL1246
ERR1913249.741990__1.741990	44742__A0A109W3J6__AXF13_08895
ERR1913249.742114__1.742114	820__R9I2U8__DXC68_09590
ERR1913249.742268__1.742268	239935__A0A2N8IMD6__CXU03_05585
ERR1913249.742344__1.742344	239935__A0A2N8INK7__Amuc_0521
ERR1913249.742522__1.742522	1150298__A0A174T452__kfoC_3
ERR1913249.742608__1.742608	357276__B6W1Y1__BSEG_03960
ERR1913249.742757__1.742757	216816__C2GUV2__APC1478_0430
ERR1913249.742904__1.742904	239935__A0A2N8ITG2__Amuc_0335
ERR1913249.743116__1.743116	821__A0A396F9T7__M097_3427
ERR1913249.743304__1.743304	1680__A0A2R4G1K8__BBMN23_0315
ERR1913249.743373__1.743373	853__A0A173YYY4__DWZ04_09420
ERR1913249.743481__1.743481	74426__nrdD
ERR1913249.743452__1.743452	1262911__R6H2J2__BN557_01228
ERR1913249.743599__1.743599	46503__K5ZBF7__DD461_15285
ERR1913249.743734__1.743734	2041044__A0A2A5T8P9__CPZ25_16795
ERR1913249.743801__1.743801	823__A0A395YY84__DXC05_19515
ERR1913249.743974__1.743974	1680__R5GR82__AD0028_0014
ERR1913249.744073__1.744073	239935__B2URG6__CXU02_00030
ERR1913249.744163__1.744163	28117__B0MTS2__ALIPUT_00159
ERR1913249.744660__1.744660	820__A0A3E4WCX3__C801_02709
ERR1913249.744762__1.744762	239935__A0A2N8HBP0__CXT94_04450
ERR1913249.744813__1.744813	1681__A0A0H2NPR5__BBBF_1287
ERR1913249.745174__1.745174	1550024__A0A0W7TN76__ASJ35_14555
ERR1913249.745446__1.745446	239935__A0A2N8HMQ8__pgsA
ERR1913249.745611__1.745611	820__R9HUV5__HMPREF2141_02582
ERR1913249.745629__1.745629	1680__R5GR82__AD0028_0014
ERR1913249.745682__1.745682	1297617__A0A0S2W319__C7373_102437
ERR1913249.745771__1.745771	1262911__R6GT76__BN557_01150
ERR1913249.746002__1.746002	239935__A0A2N8I3G2__CXT89_00720
ERR1913249.746117__1.746117	1263000__R5EKG2__BN466_02040
ERR1913249.746130__1.746130	216816__E8MVM4__APC1480_1562
ERR1913249.746307__1.746307	1680__A0A173W5Z2__DXC53_01290
ERR1913249.746367__1.746367	1105031__J1H3W2__HMPREF1141_2783
ERR1913249.746432__1.746432	239935__A0A2N8I1R3__CXU05_06075
ERR1913249.746449__1.746449	487174__K0X3H8__HMPREF9448_02822
ERR1913249.746560__1.746560	28117__B0MSL1__BHV66_06710
ERR1913249.746629__1.746629	239935__A0A2N8ITW6__CXT91_06265
ERR1913249.746653__1.746653	1150298__A0A174CCD5__ERS852406_01310
ERR1913249.746955__1.746955	239935__A0A2N8HUU6__CXT90_06150
ERR1913249.747139__1.747139	1150298__R7JPI7__cotI
ERR1913249.747298__1.747298	1550024__G9RW08__ASJ35_03155
ERR1913249.747470__1.747470	239935__A0A139TQT9__Amuc_1197
ERR1913249.747592__1.747592	1262911__R6GZX7__BN557_00838
ERR1913249.748085__1.748085	214856__R6YD52__ERS852447_02171
ERR1913249.748120__1.748120	239935__R6IZT7__CXU18_11710
ERR1913249.748531__1.748531	820__A0A173W419__DXC68_17760
ERR1913249.748675__1.748675	1680__A0A0C2YPV2__AL0462_1474
ERR1913249.748772__1.748772	28117__B0MY40__BHV66_05170
ERR1913249.748878__1.748878	239935__A0A139TSG7__CXU17_09600
ERR1913249.748978__1.748978	216816__C2GUV2__APC1478_0430
ERR1913249.749013__1.749013	239935__A0A2N8IRW0__A4V05_11620
ERR1913249.749104__1.749104	216816__A0A087BBV6__BFS26_06210
ERR1913249.749529__1.749529	1333651__W4N8U6__BMOU_0937
ERR1913249.749602__1.749602	28117__B0MXU0__BHV66_07550
ERR1913249.749604__1.749604	239935__A0A2N8IQU3__CXU22_05890
ERR1913249.749633__1.749633	1965629__A0A1Y4B8Y3__B5F88_18835
ERR1913249.749636__1.749636	1263006__R6MQA3__BN515_02104
ERR1913249.749693__1.749693	239935__A0A2N8IMD6__CXU03_05585
ERR1913249.749925__1.749925	239935__R6JAS2__CXU02_10725
ERR1913249.749999__1.749999	1262911__R6H174__BN557_01246
ERR1913249.750279__1.750279	239935__A0A2N8IHY1__CXU06_00035
ERR1913249.750481__1.750481	820__A0A173WUD7__DXB48_08055
ERR1913249.750550__1.750550	239935__A0A2N8J2P6__ADH72_06730
ERR1913249.750669__1.750669	328814__GCA_004558275.1_00056
ERR1913249.750706__1.750706	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913249.750713__1.750713	1550024__A0A0W7TQZ0__TQ39_10670
ERR1913249.750902__1.750902	239935__A0A2N8I368__CXT95_04550
ERR1913249.751062__1.751062	817__A0A1C0WMB3__HMPREF1203_03976
ERR1913249.751345__1.751345	817__Q64PG5__M084_3388
ERR1913249.751773__1.751773	216816__C5E9C3__CJO32_03030
ERR1913249.751809__1.751809	1680__A0A0C2YNK5__BADO_0780
ERR1913249.751889__1.751889	28117__B0MTY2__BHV66_06485
ERR1913249.752180__1.752180	239935__A0A139TQT9__Amuc_1197
ERR1913249.752354__1.752354	357276__I9QBT7__BSEG_03340
ERR1913249.752720__1.752720	239935__A0A139TVJ4__CXT86_02020
ERR1913249.752918__1.752918	239935__A0A2N8HL50__CXT98_09135
ERR1913249.753081__1.753081	853__A0A3E2U7E6__ERS852582_01640
ERR1913249.753101__1.753101	216816__B7GQ29__APC1465_1199
ERR1913249.753202__1.753202	239935__A0A2N8HUU6__CXT90_06150
ERR1913249.753244__1.753244	214856__A0A175A6T5__ERS852447_02658
ERR1913249.753475__1.753475	239935__A0A2N8IHY1__CXU06_00035
ERR1913249.753772__1.753772	239935__A0A2N8IIB9__CXU04_01970
ERR1913249.753847__1.753847	1550024__G9RZN9__ASJ35_05735
ERR1913249.753904__1.753904	239935__A0A2N8HT44__CXT84_11035
ERR1913249.754003__1.754003	214856__R6Y7P0__ERS852447_00307
ERR1913249.754156__1.754156	239935__A0A139TQT9__Amuc_1197
ERR1913249.754135__1.754135	1262869__R7CN64__BN625_01154
ERR1913249.754962__1.754962	28117__B0MY40__BHV66_05170
ERR1913249.755068__1.755068	1550024__G9RW08__ASJ35_03155
ERR1913249.755254__1.755254	239935__A0A2N8I5H6__CXT92_05565
ERR1913249.755637__1.755637	1550024__G9RWC0__ASJ35_03560
ERR1913249.755639__1.755639	239935__A0A2N8I368__CXT95_04550
ERR1913249.755824__1.755824	74426__thrZ
ERR1913249.755832__1.755832	487174__K0X1D9__HMPREF9448_00919
ERR1913249.755970__1.755970	853__A0A173YYY4__DWZ04_09420
ERR1913249.756263__1.756263	1680__A0A174BEE7__BSTER_1311
ERR1913249.756295__1.756295	2108523__A0A2P2F8F2__LAWASA_2325
ERR1913249.756368__1.756368	35833__E5Y2V2__HMPREF0179_00466
ERR1913249.756386__1.756386	239935__A0A2N8I5A2__DEF40_08455
ERR1913249.756489__1.756489	239935__A0A2N8I1R3__CXU05_06075
ERR1913249.756729__1.756729	47678__R5USR9__HMPREF1061_01404
ERR1913249.756914__1.756914	1965576__A0A1Y4LFI5__B5F19_08625
ERR1913249.756945__1.756945	1262911__R6GMH5__BN557_00511
ERR1913249.757105__1.757105	216816__A0A133L1E2__ptsP
ERR1913249.757036__1.757036	1262992__R5CXM7__BN795_01016
ERR1913249.757132__1.757132	239935__A0A2N8IRL2__CXU06_01170
ERR1913249.757207__1.757207	239935__A0A2N8HZW2__A4V05_11120
ERR1913249.757390__1.757390	853__A0A174UDE9__C4N25_12775
ERR1913249.757451__1.757451	853__A0A174C5M1__CGS58_04460
ERR1913249.757509__1.757509	1680__A7A2Y2__NCTC11814_00537
ERR1913249.757707__1.757707	239935__A0A2N8ITX2__CXT86_11265
ERR1913249.758049__1.758049	1262989__R6YB09__BN815_02223
ERR1913249.758157__1.758157	1124654__GeneID:14005750
ERR1913249.758287__1.758287	1681__I3WJE2__DXC50_07465
ERR1913249.758408__1.758408	1680__A7A7Z9__AAX71_05385
ERR1913249.758760__1.758760	1262911__R6GPB1__BN557_00837
ERR1913249.758994__1.758994	239935__A0A2N8HDT1__CXT94_05270
ERR1913249.759332__1.759332	106588__A6P303__BACCAP_04887
ERR1913249.759433__1.759433	853__A0A3E2U7E6__ERS852582_01640
ERR1913249.759515__1.759515	1262911__R6GMZ7__BN557_01741
ERR1913249.760259__1.760259	820__A0A174CG08__DXB62_13215
ERR1913249.761035__1.761035	28117__B0MT84__ALIPUT_00402
ERR1913249.761356__1.761356	1150298__A0A174RJU1__gsiA_4
ERR1913249.761458__1.761458	239935__A0A139TQT9__Amuc_1197
ERR1913249.761491__1.761491	239935__A0A3F3K9J9__DEF40_00940
ERR1913249.761783__1.761783	817__Q64W74__DXD74_13435
ERR1913249.761850__1.761850	310297__B5CXJ7__DXB87_06645
ERR1913249.762071__1.762071	239935__R6JD78__CXU05_09250
ERR1913249.762500__1.762500	239935__A0A2N8I3G2__CXT89_00720
ERR1913249.762748__1.762748	239935__A0A2N8HT44__CXT84_11035
ERR1913249.763552__1.763552	216816__B3DPC3__CE169_06855
ERR1913249.763709__1.763709	1680__A1A132__B0703_0684
ERR1913249.764039__1.764039	1550024__A0A3B9WIA4__TQ39_14495
ERR1913249.764371__1.764371	1262911__R6GR13__BN557_00618
ERR1913249.764335__1.764335	239935__A0A2N8ITG2__Amuc_0335
ERR1913249.764572__1.764572	239935__A0A2N8J2P6__ADH72_06730
ERR1913249.764589__1.764589	853__A0A3E2U7E6__ERS852582_01640
ERR1913249.764625__1.764625	1150298__A0A174PA84__sigM
ERR1913249.764794__1.764794	853__A0A173T0Y8__CGS54_07215
ERR1913249.764838__1.764838	39492__D4JSS2__EUBSIR_00553
ERR1913249.764861__1.764861	216816__A0A3D8U0T6__BN57_1990
ERR1913249.765059__1.765059	239935__A0A2N8I791__CXT99_09415
ERR1913249.765139__1.765139	817__A0A2K9GW57__M072_1458
ERR1913249.765217__1.765217	1262911__R6GHG8__BN557_01301
ERR1913249.765302__1.765302	853__A0A174C5M1__CGS58_04460
ERR1913249.765313__1.765313	853__A0A174BA00__DW905_01145
ERR1913249.765539__1.765539	116085__D4J5M8__DW747_05055
ERR1913249.765600__1.765600	28117__B0MUL5__ALIPUT_00722
ERR1913249.765668__1.765668	239935__A0A2N8HB50__CXU17_02615
ERR1913249.765679__1.765679	239935__A0A2N8HUU6__CXT90_06150
ERR1913249.765958__1.765958	1550024__A0A3B9WKW6__TQ39_07780
ERR1913249.765959__1.765959	239935__A0A2N8HH03__CXU09_08875
ERR1913249.766018__1.766018	214856__R6XTZ7__ERS852447_02314
ERR1913249.766348__1.766348	817__A0A2K9GW57__M072_1458
ERR1913249.766304__1.766304	74426__rpoC
ERR1913249.766370__1.766370	1550024__A0A0D8IU01__TQ39_19670
ERR1913249.766431__1.766431	239935__A0A139TPD4__CXT86_06450
ERR1913249.766664__1.766664	239935__A0A139TPD4__CXT86_06450
ERR1913249.767035__1.767035	1263006__R6MQA3__BN515_02104
ERR1913249.767071__1.767071	28117__R7JJM9__ALIPUT_00662
ERR1913249.767145__1.767145	1263000__R5EXT3__BN466_02213
ERR1913249.767509__1.767509	1501391__GCA_000786575.1_00134
ERR1913249.767538__1.767538	239935__A0A2N8IRL2__CXU06_01170
ERR1913249.768242__1.768242	216816__B7GTR6__BLD_0992
ERR1913249.768310__1.768310	1550024__G9RYX6__ASJ35_10025
ERR1913249.768629__1.768629	239935__A0A2N8IMD6__CXU03_05585
ERR1913249.769108__1.769108	239935__R7DVL7__CXT93_01180
ERR1913249.769179__1.769179	1897011__A0A1Q6RIQ9__BHW41_00470
ERR1913249.769230__1.769230	28117__B0N028__BHV66_05935
ERR1913249.769252__1.769252	239935__A0A2N8ITX2__CXT86_11265
ERR1913249.769272__1.769272	239935__A0A2N8IRH4__CXT92_05605
ERR1913249.770031__1.770031	1628085__A0A2U1BGX7__C7386_101149
ERR1913249.769934__1.769934	239935__A0A2N8I375__menA
ERR1913249.770183__1.770183	239935__A0A2N8HHY4__DEF40_10850
ERR1913249.770464__1.770464	1262992__R5D1Y3__BN795_00199
ERR1913249.770706__1.770706	820__A0A3E4RUC4__DHU98_02635
ERR1913249.770748__1.770748	1501391__GCA_000786575.1_00104
ERR1913249.770982__1.770982	1550024__G9RNN4__ASJ35_08335
ERR1913249.771237__1.771237	1262911__R6GS70__BN557_00854
ERR1913249.771252__1.771252	1550024__A0A0D8IU01__TQ39_19670
ERR1913249.771349__1.771349	239935__A0A2N8HPS5__Amuc_0950
ERR1913249.771437__1.771437	1681__A0A0H2PRA3__DXC55_01735
ERR1913249.771561__1.771561	239935__A0A2N8IKW7__pstA
ERR1913249.771742__1.771742	1680__A0A0C2YNK5__BADO_0780
ERR1913249.771790__1.771790	239935__A0A2N8IL82__CXU02_11740
ERR1913249.771802__1.771802	239935__A0A2N8IV82__CXT99_06735
ERR1913249.771804__1.771804	1550024__A0A0D8IVV4__ASJ35_03610
ERR1913249.772266__1.772266	239935__R6J776__CXU07_02355
ERR1913249.772473__1.772473	1680__A0A0C2YPV2__AL0462_1474
ERR1913249.772634__1.772634	239935__A0A2N8I1R3__CXU05_06075
ERR1913249.772826__1.772826	239935__R6J9N8__CXT96_07990
ERR1913249.772836__1.772836	239935__A0A2N8INK7__Amuc_0521
ERR1913249.772948__1.772948	239935__A0A2N8IKW7__pstA
ERR1913249.773087__1.773087	239935__A0A2N8INZ4__CXU08_03560
ERR1913249.773181__1.773181	1680__A1A0V3__C8077_03025
ERR1913249.773308__1.773308	214856__R6Z5D0__resA_4
ERR1913249.773375__1.773375	74426__nifJ
ERR1913249.773404__1.773404	33043__D5HIC8__vspIM
ERR1913249.773410__1.773410	239935__R7E524__CXT91_06180
ERR1913249.773582__1.773582	239935__A0A2N8I375__menA
ERR1913249.773600__1.773600	239935__A0A2N8HHY4__DEF40_10850
ERR1913249.773697__1.773697	28117__B0MYI9__BHV66_05415
ERR1913249.774225__1.774225	853__A0A2A7B1Y7__C7K05_11930
ERR1913249.774490__1.774490	1550024__A0A3B9WFC7__ASJ35_09200
ERR1913249.774531__1.774531	214856__I3YPI7__pepD_1
ERR1913249.774569__1.774569	239935__A0A2N8J2P6__ADH72_06730
ERR1913249.774585__1.774585	74426__rpoB
ERR1913249.774762__1.774762	1965604__A0A1Y4EP83__B5F54_11720
ERR1913249.775446__1.775446	239935__A0A2N8INZ4__CXU08_03560
ERR1913249.775603__1.775603	28117__B0MZ22__BHV66_04430
ERR1913249.775832__1.775832	239935__A0A2N8IVR0__CXT87_07115
ERR1913249.775971__1.775971	28117__B0MTH2__ALIPUT_00061
ERR1913249.775926__1.775926	239935__A0A2N8HUU6__CXT90_06150
ERR1913249.776023__1.776023	239935__R6K0V8__CXT94_02055
ERR1913249.776065__1.776065	820__A0A3E4GA19__SAMN05444418_10562
ERR1913249.776173__1.776173	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913249.776226__1.776226	239935__A0A2N8IL82__CXU02_11740
ERR1913249.776509__1.776509	1550024__G9RT56__TQ39_09200
ERR1913249.776576__1.776576	239935__A0A139TPD4__CXT86_06450
ERR1913249.777373__1.777373	1550024__A0A3B9WLJ1__TQ39_10125
ERR1913249.777580__1.777580	28117__B0MU57__ALIPUT_00175
ERR1913249.778026__1.778026	216816__A0A087BBV6__BFS26_06210
ERR1913249.777987__1.777987	239935__A0A2N8HHY4__DEF40_10850
ERR1913249.778006__1.778006	216816__B3DPC3__CE169_06855
ERR1913249.777967__1.777967	40518__R5DR72__RBL236_02110
ERR1913249.778205__1.778205	216816__E8MW20__DD674_07905
ERR1913249.778385__1.778385	239935__A0A2N8HUU6__CXT90_06150
ERR1913249.778852__1.778852	239935__A0A139TPG3__CXT86_08810
ERR1913249.779018__1.779018	239935__B2UQP8__CXU15_01110
ERR1913249.779137__1.779137	239935__A0A2N8HUU6__CXT90_06150
ERR1913249.779257__1.779257	574930__A0A0F5J852__DXB27_18255
ERR1913249.779592__1.779592	817__Q64RY5__M122_2555
ERR1913249.779807__1.779807	357276__I8WPR6__EL88_06675
ERR1913249.779828__1.779828	1262911__R6H2J2__BN557_01228
ERR1913249.779853__1.779853	40518__R5E1J2__DXD93_04070
ERR1913249.779996__1.779996	1550024__A0A0W7TSP5__ASJ35_06140
ERR1913249.780162__1.780162	871324__A0A1M6JCB7__SAMN05444350_12840
ERR1913249.780179__1.780179	1550024__A0A3B9WKW6__TQ39_07780
ERR1913249.780414__1.780414	239935__A0A2N8I390__CXU16_10675
ERR1913249.780683__1.780683	216816__A0A087BBV6__BFS26_06210
ERR1913249.780831__1.780831	1262945__R6YTV0__BN600_01131
ERR1913249.781744__1.781744	1262911__R6H2B5__BN557_01151
ERR1913249.781948__1.781948	239935__A0A2N8IHY1__CXU06_00035
ERR1913249.781996__1.781996	1680__A0A3E4SB79__BAD_1517
ERR1913249.782064__1.782064	29361__B6FKH5__CLONEX_00621
ERR1913249.782065__1.782065	28117__B0MY34__BHV66_05195
ERR1913249.782770__1.782770	239935__A0A139TQT9__Amuc_1197
ERR1913249.782852__1.782852	487174__K0WUJ5__HMPREF9448_02567
ERR1913249.783299__1.783299	28118__F9Z750__Odosp_3044
ERR1913249.783316__1.783316	853__D4JY61__C4N21_10560
ERR1913249.783348__1.783348	239935__A0A2N8IRH4__CXT92_05605
ERR1913249.783351__1.783351	823__A6LHK0__M090_1297
ERR1913249.783453__1.783453	820__A0A174CK74__DXB48_07060
ERR1913249.783573__1.783573	817__A0A1C0WFC5__M112_2994
ERR1913249.783795__1.783795	745368__A0A1T4Y963__SAMN02745178_02859
ERR1913249.783857__1.783857	239935__A0A2N8HPX2__CXT90_09930
ERR1913249.783927__1.783927	28117__B0MT86__BHV66_02450
ERR1913249.783930__1.783930	28117__B0MTI4__ALIPUT_00084
ERR1913249.784137__1.784137	387090__S0F7Y3__BACCOPRO_02028
ERR1913249.784139__1.784139	817__A0A0E2SS13__DXA81_19780
ERR1913249.784087__1.784087	239935__A0A139TT05__CXU09_03335
ERR1913249.784408__1.784408	853__E2ZGD9__C7J97_11715
ERR1913249.784789__1.784789	216816__A0A2U0BLP0__tsaB
ERR1913249.784888__1.784888	239935__A0A139TMG9__CXU07_10650
ERR1913249.785015__1.785015	35833__E5Y2B5__HMPREF0179_00325
ERR1913249.785023__1.785023	239935__A0A2N8IUW6__Amuc_1525
ERR1913249.785028__1.785028	239935__A0A139TPG3__CXT86_08810
ERR1913249.785421__1.785421	239935__R7DVW2__CXU02_03915
ERR1913249.785511__1.785511	239935__A0A2N8HM32__CXT85_08075
ERR1913249.785596__1.785596	239935__A0A2N8I7W6__CXT90_04245
ERR1913249.785630__1.785630	1680__A1A0V3__C8077_03025
ERR1913249.785717__1.785717	1262911__R6GQM3__BN557_01245
ERR1913249.785776__1.785776	239935__A0A2N8I3G2__CXT89_00720
ERR1913249.785795__1.785795	239935__B2UPZ6__CXU03_03800
ERR1913249.785904__1.785904	239935__R6J9Y2__CXT85_07000
ERR1913249.785972__1.785972	329854__R5MCA7__DXD57_10010
ERR1913249.786065__1.786065	239935__A0A2N8HPX2__CXT90_09930
ERR1913249.786085__1.786085	1232426__hgdC_1
ERR1913249.786223__1.786223	239935__A0A2N8HDT1__CXT94_05270
ERR1913249.786328__1.786328	239935__A0A2N8HPS5__Amuc_0950
ERR1913249.786743__1.786743	239935__A0A139TPU7__CXT91_06575
ERR1913249.786816__1.786816	239935__A0A2N8INZ4__CXU08_03560
ERR1913249.786902__1.786902	239935__A0A2N8I7W6__CXT90_04245
ERR1913249.787035__1.787035	239935__A0A2N8I3G2__CXT89_00720
ERR1913249.787157__1.787157	239935__R6JWJ7__CXT94_02580
ERR1913249.787270__1.787270	1262911__R6HIV6__BN557_01807
ERR1913249.787318__1.787318	28117__B0MWZ9__ALIPUT_01735
ERR1913249.787333__1.787333	239935__A0A2N8IU45__DEF40_02365
ERR1913249.787538__1.787538	387090__S0F7Y3__BACCOPRO_02028
ERR1913249.787539__1.787539	28117__B0MTH2__ALIPUT_00061
ERR1913249.788255__1.788255	1550024__A0A0D8J179__ASJ35_09245
ERR1913249.788302__1.788302	1680__A0A174BEE7__BSTER_1311
ERR1913249.788388__1.788388	1680__A0A174BEE7__BSTER_1311
ERR1913249.788715__1.788715	853__A0A174C5M1__CGS58_04460
ERR1913249.788734__1.788734	853__A0A2J4JL53__CRH10_10795
ERR1913249.788842__1.788842	823__K6A718__CEQ22_003390
ERR1913249.789078__1.789078	487174__K0XES7__HMPREF9448_00566
ERR1913249.789086__1.789086	823__K6AMD2__B5F32_04565
ERR1913249.789409__1.789409	239935__A0A139TPG3__CXT86_08810
ERR1913249.789423__1.789423	239935__R7E524__CXT91_06180
ERR1913249.789484__1.789484	239935__A0A139TT05__CXU09_03335
ERR1913249.789715__1.789715	28117__B0MXG8__ALIPUT_01814
ERR1913249.789829__1.789829	820__A0A174M9V5__M093_0237
ERR1913249.790446__1.790446	28117__B0MYI9__BHV66_05415
ERR1913249.790642__1.790642	239935__A0A2N8IZ16__CXT84_05850
ERR1913249.791038__1.791038	29361__B6FKH5__CLONEX_00621
ERR1913249.791131__1.791131	216816__A0A0S2MI06__pepV
ERR1913249.791228__1.791228	853__A0A173T0Y8__CGS54_07215
ERR1913249.791455__1.791455	239935__A0A2N8IUQ8__CXU09_01665
ERR1913249.791475__1.791475	1262911__R6GHG8__BN557_01301
ERR1913249.791641__1.791641	239935__A0A2N8IHY1__CXU06_00035
ERR1913249.791903__1.791903	1150298__A0A174DU21__toxA_3
ERR1913249.791917__1.791917	562__P23837__phoQ
ERR1913249.792026__1.792026	239935__A0A2N8IMC9__CXU09_02095
ERR1913249.792232__1.792232	216816__B3DQ11__APC1466_1528
ERR1913249.792363__1.792363	820__A0A139K1Y6__DXB48_02610
ERR1913249.792704__1.792704	239935__A0A2N8IRW0__A4V05_11620
ERR1913249.792705__1.792705	328814__GCA_004558275.1_00391
ERR1913249.792651__1.792651	216816__A0A061M1M5__HMPREF0177_01046
ERR1913249.792836__1.792836	1262869__R7CPN9__BN625_01440
ERR1913249.792880__1.792880	1550024__A0A0D8J3J4__TQ39_01275
ERR1913249.793285__1.793285	292800__A0A174RE33__HMPREF0372_03363
ERR1913249.793341__1.793341	239935__A0A139TPD4__CXT86_06450
ERR1913249.793376__1.793376	239935__A0A2N8IL82__CXU02_11740
ERR1913249.793457__1.793457	239935__A0A139TQT9__Amuc_1197
ERR1913249.793473__1.793473	239935__A0A2N8IMD6__CXU03_05585
ERR1913249.793764__1.793764	239935__A0A139TPU7__CXT91_06575
ERR1913249.793853__1.793853	1680__A0A174BEE7__BSTER_1311
ERR1913249.793877__1.793877	239935__A0A139TVJ4__CXT86_02020
ERR1913249.793987__1.793987	1262992__R5D546__BN795_00726
ERR1913249.794252__1.794252	853__A0A2A7B9I6__DW855_13690
ERR1913249.794460__1.794460	1262911__R6GZW9__BN557_00833
ERR1913249.794433__1.794433	239935__A0A2N8I3G2__CXT89_00720
ERR1913249.794924__1.794924	328814__GCA_004558275.1_01742
ERR1913249.795050__1.795050	216816__A0A1D7MV89__EK5BL_04715
ERR1913249.795125__1.795125	1680__A0A087DHN0__AL0462_1532
ERR1913249.795312__1.795312	28117__B0MY40__BHV66_05170
ERR1913249.795370__1.795370	239935__A0A2N8IVR0__CXT87_07115
ERR1913249.795404__1.795404	1262992__R5D3X7__BN795_00539
ERR1913249.795498__1.795498	562__A0A376L0A6__CQA14_19985
ERR1913249.795436__1.795436	239935__A0A2N8IRW0__A4V05_11620
ERR1913249.795445__1.795445	1263000__R5EMW8__BN466_00256
ERR1913249.796231__1.796231	1550024__G9RP69__ASJ35_11625
ERR1913249.796161__1.796161	28117__B0MWX3__BHV66_03010
ERR1913249.796206__1.796206	1550024__G9RQ11__ASJ35_08685
ERR1913249.796268__1.796268	239935__A0A2N8HEH9__CXU07_11710
ERR1913249.796362__1.796362	292800__A0A096DG10__HMPREF9460_01046
ERR1913249.796495__1.796495	1550024__A0A3B9WIB6__TQ39_08435
ERR1913249.796558__1.796558	39492__D4JW25__EUBSIR_02203
ERR1913249.796656__1.796656	239935__A0A2N8IMC3__CXT96_03840
ERR1913249.796667__1.796667	239935__A0A2N8I5A2__DEF40_08455
ERR1913249.796683__1.796683	820__A7V092__hldE
ERR1913249.796701__1.796701	1501391__GCA_000786575.1_00113
ERR1913249.796824__1.796824	239935__A0A139TPD4__CXT86_06450
ERR1913249.796829__1.796829	1501391__GCA_000786575.1_00084
ERR1913249.796830__1.796830	239935__A0A139TPD8__CXU12_11015
ERR1913249.796922__1.796922	239935__A0A2N8HPS5__Amuc_0950
ERR1913249.796928__1.796928	820__R9HUV5__HMPREF2141_02582
