ERR1913283.120__1.120	820__A0A139K426__B5G17_09115
ERR1913283.448671__1.448671	39488__R6GWX1__EUBHAL_01710
ERR1913283.448812__1.448812	39491__A0A396FEV5__EUR_24750
ERR1913283.449425__1.449425	1472761__GCA_002159295.1_00660
ERR1913283.449441__1.449441	39491__C4ZHS4__EUR_24420
ERR1913283.449603__1.449603	338188__C9KT88__ERS852397_01691
ERR1913283.449568__1.449568	745368__A0A1T4XKD6__SAMN02745178_01942
ERR1913283.449700__1.449700	239935__A0A2N8IZ16__CXT84_05850
ERR1913283.449753__1.449753	745368__A0A1T4XY03__SAMN02745178_02465
ERR1913283.449755__1.449755	823__A0A395YXR9__M091_4086
ERR1913283.449853__1.449853	239935__A0A2N8J2P6__ADH72_06730
ERR1913283.450014__1.450014	338188__A0A173XK96__BACFIN_08439
ERR1913283.450205__1.450205	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913283.450368__1.450368	39491__A0A0M6WWT1__dus_2
ERR1913283.450395__1.450395	671267__R9IB12__C802_00696
ERR1913283.450429__1.450429	310297__R6ZR16__DXB87_17250
ERR1913283.451364__1.451364	1262911__R6GXH0__BN557_00389
ERR1913283.451503__1.451503	39491__A0A395ZM93__DXD13_03490
ERR1913283.451808__1.451808	1262736__R5Y3F9__BN496_01794
ERR1913283.452377__1.452377	47678__R5U2W6__CGC64_03455
ERR1913283.452647__1.452647	820__A0A174M9V5__M093_0237
ERR1913283.452951__1.452951	1263044__GCA_000433375.1_01136
ERR1913283.452953__1.452953	853__A0A2A7B9I6__DW855_13690
ERR1913283.453205__1.453205	820__A0A139KIL9__DXC68_05945
ERR1913283.453266__1.453266	28117__B0MYP3__BHV66_04995
ERR1913283.453645__1.453645	239935__A0A2N8HAQ1__DEF40_05290
ERR1913283.453606__1.453606	88431__A0A174JYP5__DORLON_02789
ERR1913283.453938__1.453938	39492__D4JUS6__accD5
ERR1913283.454133__1.454133	239935__A0A139TMD2__CXU18_02250
ERR1913283.454416__1.454416	78448__A0A087CKJ5__BPULL_1097
ERR1913283.454544__1.454544	239935__A0A139TMG9__CXU07_10650
ERR1913283.454916__1.454916	544645__A0A3E4SW24__DXC42_17195
ERR1913283.455495__1.455495	1262889__R7H7F9__BN634_02079
ERR1913283.455880__1.455880	1262736__R5YW03__BN496_00822
ERR1913283.456008__1.456008	166486__D4KXB5__ROSINTL182_05909
ERR1913283.455939__1.455939	39491__A0A395ZEN3__DXD95_12655
ERR1913283.456056__1.456056	39492__A0A174ZG93__EUBSIR_00254
ERR1913283.456148__1.456148	166486__D4L0L1__ROSINTL182_08075
ERR1913283.456168__1.456168	239935__A0A2N8IRW0__A4V05_11620
ERR1913283.456287__1.456287	28117__B0MWZ9__ALIPUT_01735
ERR1913283.456508__1.456508	820__A0A139KHX1__HMPREF2141_00289
ERR1913283.456474__1.456474	1263044__GCA_000433375.1_00351
ERR1913283.456594__1.456594	246787__R6KBH9__HMPREF1062_04676
ERR1913283.456604__1.456604	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913283.456831__1.456831	116085__D4JAK5__DW747_10745
ERR1913283.457006__1.457006	1263000__R5EKG2__BN466_02040
ERR1913283.457007__1.457007	820__A0A3E4W9W8__C801_01069
ERR1913283.457216__1.457216	1262700__R5XJD5__BN695_00033
ERR1913283.457534__1.457534	33025__A0A395JBA6__C8D73_1039
ERR1913283.457535__1.457535	820__A0A3E4W4Y7__B5G17_02055
ERR1913283.457937__1.457937	39492__D4JR20__trmD
ERR1913283.458009__1.458009	847__C3XBS4__OFBG_01678
ERR1913283.458304__1.458304	823__A0A395YRX4__ERS852513_03444
ERR1913283.458325__1.458325	47678__R5U325__HMPREF1061_03209
ERR1913283.458460__1.458460	1262700__R5X8Q0__BN695_00340
ERR1913283.458523__1.458523	40520__A0A174HSN4__ltaS1_2
ERR1913283.458550__1.458550	674529__A0A174I0V6__DXB21_05415
ERR1913283.458623__1.458623	823__K6A718__CEQ22_003390
ERR1913283.458718__1.458718	239935__A0A139TPU7__CXT91_06575
ERR1913283.459048__1.459048	817__A0A396EMA4__M108_0298
ERR1913283.459254__1.459254	360807__C0G0A1__ERS852444_02410
ERR1913283.459229__1.459229	1262911__R6GIK0__BN557_01516
ERR1913283.459398__1.459398	39492__A0A174Z2N0__EUBSIR_01615
ERR1913283.459431__1.459431	357276__A0A076IN21__BSEG_03078
ERR1913283.459562__1.459562	1150298__A0A174MFX3__ERS852498_01752
ERR1913283.459603__1.459603	1160721__R6TGH1__BHW50_05060
ERR1913283.459697__1.459697	820__A0A174A6K0__M093_0079
ERR1913283.460025__1.460025	28118__F9Z750__Odosp_3044
ERR1913283.460188__1.460188	218538__C9LQ77__GCWU000321_01709
ERR1913283.460257__1.460257	1683__C4FFS5__BBAG_1056
ERR1913283.460577__1.460577	40518__R5DYM0__DXD86_08165
ERR1913283.460609__1.460609	1160721__R6TAA3__BHW50_03385
ERR1913283.460701__1.460701	239935__A0A2N8IIB9__CXU04_01970
ERR1913283.460871__1.460871	28117__B0MXG8__ALIPUT_01814
ERR1913283.460892__1.460892	39491__A0A396FNY7__LD38_16155
ERR1913283.461040__1.461040	1262700__R5XM04__BN695_00162
ERR1913283.461073__1.461073	214856__I3YMN6__Alfi_1938
ERR1913283.461129__1.461129	1263044__GCA_000433375.1_03387
ERR1913283.461257__1.461257	1262911__R6GPA3__BN557_00827
ERR1913283.461212__1.461212	166486__D4L1H8__ERS852572_02204
ERR1913283.461332__1.461332	1262700__R5XEQ4__BN695_01576
ERR1913283.461338__1.461338	820__A0A3E4VXP2__yesR
ERR1913283.461415__1.461415	40518__R5DUW7__DXD83_02105
ERR1913283.461452__1.461452	39492__D4JTF2__mutS2
ERR1913283.461575__1.461575	39491__A0A174K9A3__DXB69_07785
ERR1913283.461821__1.461821	820__A0A3E4FZM1__adaA_2
ERR1913283.461824__1.461824	28117__B0MWC6__BHV66_00965
ERR1913283.461866__1.461866	820__A0A139KJR5__M093_4469
ERR1913283.461872__1.461872	40518__R5DYU1__DXD86_01160
ERR1913283.462253__1.462253	1160721__R6T157__BHW50_04000
ERR1913283.462256__1.462256	1160721__R6TBU4__BHW50_04080
ERR1913283.462362__1.462362	820__A0A174A6K0__M093_0079
ERR1913283.462572__1.462572	1262911__R6GKS1__BN557_00184
ERR1913283.462727__1.462727	357276__B6VXX7__HMPREF1063_02683
ERR1913283.462795__1.462795	246787__R6KQ08__AA416_01934
ERR1913283.462969__1.462969	239935__A0A2N8ITW6__CXT91_06265
ERR1913283.463142__1.463142	28117__B0MXG8__ALIPUT_01814
ERR1913283.463151__1.463151	33025__A0A395JA92__C8D73_108100
ERR1913283.463214__1.463214	239935__R7E524__CXT91_06180
ERR1913283.463471__1.463471	46503__R6WY21__DXB85_01605
ERR1913283.463673__1.463673	39491__A0A174K9A3__DXB69_07785
ERR1913283.463700__1.463700	1262736__R5Y8Z5__BN496_01182
ERR1913283.463833__1.463833	338188__R6RPM5__bglX_6
ERR1913283.463846__1.463846	674529__A0A174EXC1__DXB21_01255
ERR1913283.463935__1.463935	2173__A0A1D2WRY2__Msm_1736
ERR1913283.464018__1.464018	47678__R5U978__ERS852558_01076
ERR1913283.464088__1.464088	310298__B3JFI7__BACCOP_00636
ERR1913283.464282__1.464282	820__A7V049__DXB48_04755
ERR1913283.464350__1.464350	1550024__A0A0D8IZ65__TQ39_09425
ERR1913283.464367__1.464367	357276__A0A076IRX7__HMPREF1064_00526
ERR1913283.464451__1.464451	147206__GCF_000156215.1_01108
ERR1913283.464654__1.464654	823__A0A355XLT7__HMPREF1075_03402
ERR1913283.464836__1.464836	40518__R5DP61__DXD86_06345
ERR1913283.464847__1.464847	745368__A0A1T4Y178__SAMN02745178_02628
ERR1913283.464860__1.464860	1262700__R5XCS8__BN695_01594
ERR1913283.465120__1.465120	562__P23837__phoQ
ERR1913283.465232__1.465232	46503__K5ZBF7__DD461_15285
ERR1913283.465396__1.465396	46503__K5ZBF7__DD461_15285
ERR1913283.465407__1.465407	820__A0A3E4RU03__M093_0563
ERR1913283.465457__1.465457	360807__A0A173VD35__suhB
ERR1913283.465597__1.465597	1160721__R6TH82__BHW50_00835
ERR1913283.465711__1.465711	357276__I8WEY2__ABI39_04185
ERR1913283.465796__1.465796	47678__R5UD76__BACCAC_01373
ERR1913283.465902__1.465902	487174__K0WXG8__DIT83_09300
ERR1913283.465941__1.465941	246787__A0A0P0GDM7__BcellWH2_03148
ERR1913283.465964__1.465964	329854__R5M596__BACINT_00973
ERR1913283.466024__1.466024	39491__A0A395ZG74__licR
ERR1913283.466122__1.466122	1683__C4FGL3__BIFANG_03487
ERR1913283.466311__1.466311	28117__B0MXX3__BHV66_07695
ERR1913283.466619__1.466619	853__A0A173XRA8__CGS56_09290
ERR1913283.466657__1.466657	487174__K0WZU9__HMPREF9448_01159
ERR1913283.466972__1.466972	40518__R5DZM6__lytR_3
ERR1913283.466983__1.466983	1262736__R5YWX2__BN496_01074
ERR1913283.467386__1.467386	487174__R5EUJ8__DDY40_00460
ERR1913283.467655__1.467655	28117__B0MUX4__ALIPUT_00911
ERR1913283.467765__1.467765	239935__A0A2N8HT44__CXT84_11035
ERR1913283.468094__1.468094	166486__D4L3V9__ROSINTL182_07680
ERR1913283.468170__1.468170	360807__A0A0M6X1Y4__ROSEINA2194_02133
ERR1913283.468464__1.468464	28117__B0MY40__BHV66_05170
ERR1913283.468661__1.468661	39492__D4JR08__ERS852540_02467
ERR1913283.468680__1.468680	28117__B0N007__BHV66_10275
ERR1913283.468758__1.468758	40518__R5E4X5__RB5AMG_01438
ERR1913283.468843__1.468843	338188__A0A173ZJ94__BACFIN_06122
ERR1913283.468919__1.468919	28117__B0MT84__ALIPUT_00402
ERR1913283.469190__1.469190	823__A6LEF3__ERS852560_01356
ERR1913283.469224__1.469224	357276__A0A0K2HG61__BACDOR_02028
ERR1913283.469517__1.469517	39491__A0A396FS17__envC
ERR1913283.469669__1.469669	33025__A0A395JBU5__C8D73_10423
ERR1913283.469762__1.469762	820__A0A3E4G826__C801_01612
ERR1913283.469945__1.469945	39492__D4JR58__EUBSIR_02090
ERR1913283.470155__1.470155	28117__B0MTI4__ALIPUT_00084
ERR1913283.470337__1.470337	246787__R6LCL3__AA416_03522
ERR1913283.470568__1.470568	357276__I8WAB8__B5F00_08100
ERR1913283.470690__1.470690	820__A0A3E4FZM1__adaA_2
ERR1913283.470738__1.470738	1150298__A0A174HHW8__yhbU_1
ERR1913283.470812__1.470812	626929__F3PGX4__B5F97_10765
ERR1913283.471322__1.471322	39491__C4ZAT2__ERE_28440
ERR1913283.471496__1.471496	983706__A0A087CNP1__BREU_2273
ERR1913283.471615__1.471615	39488__A0A285PQP4__DXD91_02025
ERR1913283.471745__1.471745	823__A6LEF1__CF162_12695
ERR1913283.471796__1.471796	1160721__W0U3Q4__BHW50_08110
ERR1913283.471807__1.471807	239935__A0A2N8ITX2__CXT86_11265
ERR1913283.471930__1.471930	820__A0A139KJ23__celCCA
ERR1913283.472283__1.472283	820__A0A174F0C1__nreB
ERR1913283.472305__1.472305	40518__R5DUU2__yvhJ_2
ERR1913283.472360__1.472360	39491__A0A395ZHV7__ykvU
ERR1913283.472502__1.472502	1262911__R6H2J2__BN557_01228
ERR1913283.472727__1.472727	1262743__R5C054__BN727_01980
ERR1913283.472747__1.472747	338188__C9KT46__BACFIN_05482
ERR1913283.472804__1.472804	820__A0A396CMY7__HMPREF1072_03009
ERR1913283.472899__1.472899	1263044__GCA_000433375.1_01441
ERR1913283.472869__1.472869	1150298__A0A174J629__ERS852498_00833
ERR1913283.473299__1.473299	820__A0A174F696__macB_13
ERR1913283.473657__1.473657	39492__D4JRZ7__smc
ERR1913283.473864__1.473864	166486__C7GFD3__ERS852572_00983
ERR1913283.474100__1.474100	239935__R6IZT7__CXU18_11710
ERR1913283.474149__1.474149	47678__R5UUB1__DXB67_02860
ERR1913283.474160__1.474160	1263044__GCA_000433375.1_03394
ERR1913283.474235__1.474235	1263044__GCA_000433375.1_00652
ERR1913283.474323__1.474323	39492__D4JRZ7__smc
ERR1913283.474325__1.474325	47678__R5U878__ERS852494_03300
ERR1913283.474694__1.474694	28117__B0MWP2__ALIPUT_01468
ERR1913283.474865__1.474865	1680__A0A374QDL4__LMG18897_0432
ERR1913283.475093__1.475093	40518__R5DV58__htrA
ERR1913283.475300__1.475300	39492__D4JS06__ERS852540_02297
ERR1913283.475479__1.475479	40518__R5E1X3__clcA
ERR1913283.475642__1.475642	1628085__A0A374VSS7__C7386_101299
ERR1913283.476265__1.476265	166486__D4KZW9__degS
ERR1913283.476449__1.476449	1262911__R6H1J5__BN557_00905
ERR1913283.476534__1.476534	338188__R6S5J0__HMPREF1057_01983
ERR1913283.476704__1.476704	1160721__R6TH82__BHW50_00835
ERR1913283.476837__1.476837	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913283.477101__1.477101	74426__rpoB
ERR1913283.477160__1.477160	820__A0A374Q8T2__DXB64_16190
ERR1913283.477184__1.477184	39491__A0A395UZL1__DXB76_05950
ERR1913283.477340__1.477340	820__A0A139K8N1__ERS852554_00951
ERR1913283.477522__1.477522	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913283.478025__1.478025	820__A0A1Y3V743__M093_0235
ERR1913283.478140__1.478140	823__A0A355XLH0__fepA_1
ERR1913283.478291__1.478291	823__A0A073IAS1__M091_0201
ERR1913283.478729__1.478729	818__A0A0N7I9H8__ERS852461_00040
ERR1913283.478868__1.478868	239935__A0A139TPD4__CXT86_06450
ERR1913283.478871__1.478871	1262992__R5D0H1__BN795_01569
ERR1913283.479044__1.479044	357276__B6W1J2__BACDOR_03380
ERR1913283.479236__1.479236	39492__D4JUN0__EUBSIR_02705
ERR1913283.479493__1.479493	1262889__R7HD84__BN634_01675
ERR1913283.479652__1.479652	1262911__R6GPM2__BN557_00937
ERR1913283.479802__1.479802	338188__A0A1C7H5S1__HMPREF1057_02183
ERR1913283.479941__1.479941	239935__A0A2N8HUU6__CXT90_06150
ERR1913283.480320__1.480320	239935__R6JWJ7__CXT94_02580
ERR1913283.480490__1.480490	820__A0A3E4RU03__M093_0563
ERR1913283.480565__1.480565	39491__A0A396FRE7__EUR_27520
ERR1913283.480702__1.480702	823__D7IV95__DXC05_09565
ERR1913283.480870__1.480870	39491__A0A396FMF1__EUR_28700
ERR1913283.480818__1.480818	357276__A0A076IYG1__B5F95_22465
ERR1913283.480837__1.480837	239935__A0A2N8I694__CXU04_06245
ERR1913283.481024__1.481024	1262743__R5C054__BN727_01980
ERR1913283.481100__1.481100	46503__R6X5I4__ERS852463_01136
ERR1913283.481125__1.481125	671267__R9HYS1__C802_04097
ERR1913283.481175__1.481175	820__A0A174F696__macB_13
ERR1913283.481400__1.481400	28117__B0MUL5__ALIPUT_00722
ERR1913283.481662__1.481662	820__A0A139KJ23__celCCA
ERR1913283.482042__1.482042	47678__R5U878__ERS852494_03300
ERR1913283.482148__1.482148	1262700__R5XM04__BN695_00162
ERR1913283.482181__1.482181	1262700__R5XT56__BN695_00308
ERR1913283.482228__1.482228	39492__D4JS88__ERS852540_00578
ERR1913283.482308__1.482308	626932__G5HAK0__HMPREF9450_01665
ERR1913283.482339__1.482339	610243__A0A060QJF7__ASAP_2763
ERR1913283.482579__1.482579	28117__B0MYI9__BHV66_05415
ERR1913283.482584__1.482584	35833__E5Y5Y1__HMPREF0179_01594
ERR1913283.482630__1.482630	39491__A0A395ZE48__DXB76_02395
ERR1913283.482879__1.482879	33039__A0A174ZCB2__ERS852577_04014
ERR1913283.482921__1.482921	410072__A0A173XQG6__ERS852574_01620
ERR1913283.483012__1.483012	338188__A0A1Q6HAT8__HMPREF1057_02069
ERR1913283.483121__1.483121	487174__R5EP60__DIT83_09045
ERR1913283.483569__1.483569	47678__R5UA23__C5Z00_15610
ERR1913283.483911__1.483911	28118__R6FCJ1__mro_4
ERR1913283.483963__1.483963	239935__A0A2N8J1K0__CXT97_05765
ERR1913283.483970__1.483970	823__A0A174PAQ4__ERS852429_04218
ERR1913283.484007__1.484007	338188__K5CPU8__BACFIN_06494
ERR1913283.484014__1.484014	39491__A0A395ZHV7__ykvU
ERR1913283.484120__1.484120	28117__B0MY40__BHV66_05170
ERR1913283.484077__1.484077	239935__A0A2N8I1R3__CXU05_06075
ERR1913283.484218__1.484218	239935__R6J4Y4__CXU17_09810
ERR1913283.484290__1.484290	39492__D4JR20__trmD
ERR1913283.484573__1.484573	487174__K0WRI1__DIT83_06780
ERR1913283.484614__1.484614	823__A6LEQ6__DXB14_05705
ERR1913283.484790__1.484790	28116__C3QZB5__M088_3811
ERR1913283.484879__1.484879	156456__G9YIG0__HMPREF0080_01452
ERR1913283.484908__1.484908	357276__A0A0M1W6X7__HMPREF1065_03898
ERR1913283.484964__1.484964	301301__G2SX00__RHOM_09015
ERR1913283.485059__1.485059	1262777__R5VMT6__BN512_00611
ERR1913283.485160__1.485160	706562__GCA_900112995.1_01419
ERR1913283.485176__1.485176	47678__R5U9S9__BACCAC_01855
ERR1913283.485308__1.485308	1262889__R7HGV8__BN634_01881
ERR1913283.485313__1.485313	28117__B0MTS2__ALIPUT_00159
ERR1913283.485980__1.485980	39492__D4MMN2__EUBSIR_00964
ERR1913283.485989__1.485989	1262911__R6GKS1__BN557_00184
ERR1913283.486039__1.486039	1262911__R6GR13__BN557_00618
ERR1913283.486052__1.486052	246787__A0A0P0GG22__BACCELL_01899
ERR1913283.486187__1.486187	28117__B0MUY3__BHV66_00515
ERR1913283.486382__1.486382	487174__K0X4L2__pgl
ERR1913283.486403__1.486403	40518__R5DVR2__RBL236_00303
ERR1913283.486625__1.486625	1262700__R5XEQ4__BN695_01576
ERR1913283.486761__1.486761	39491__A0A396FUZ3__phoR_1
ERR1913283.486855__1.486855	28117__B0MSS9__BHV66_06085
ERR1913283.486985__1.486985	47678__R5UAF6__ERS852494_02966
ERR1913283.487075__1.487075	610243__A0A060QJF7__ASAP_2763
ERR1913283.487213__1.487213	39491__A0A396FVC0__ERE_15900
ERR1913283.487272__1.487272	823__A0A355XKR1__DHP27_04035
ERR1913283.487372__1.487372	39491__A0A396FUZ3__phoR_1
ERR1913283.487346__1.487346	1262700__R5XBP1__BN695_00589
ERR1913283.487657__1.487657	1262911__R6GII0__BN557_01496
ERR1913283.488097__1.488097	47678__R5U8Y1__BACCAC_02615
ERR1913283.488037__1.488037	487174__K0WV96__HMPREF9448_01901
ERR1913283.488174__1.488174	239935__A0A2N8IIB9__CXU04_01970
ERR1913283.488210__1.488210	39492__D4JWD3__EUBSIR_00151
ERR1913283.488232__1.488232	28117__B0MY41__BHV66_05165
ERR1913283.488297__1.488297	853__A0A173XRA8__CGS56_09290
ERR1913283.488339__1.488339	360807__A0A173R6V5__ROSEINA2194_00471
ERR1913283.488638__1.488638	853__E2ZGD9__C7J97_11715
ERR1913283.488950__1.488950	820__A0A3E4W084__BACUNI_04042
ERR1913283.488975__1.488975	40518__R5DQJ0__DXD93_03790
ERR1913283.489011__1.489011	1262700__R5X9S4__BN695_00717
ERR1913283.489514__1.489514	39491__A0A395V464__EUBREC_1509
ERR1913283.489681__1.489681	328814__GCA_004558275.1_00992
ERR1913283.489795__1.489795	28116__A7LS06__HMPREF2532_04668
ERR1913283.490006__1.490006	1681__A0A0H3E849__BBJK_01758
ERR1913283.490021__1.490021	487174__K0WS78__HMPREF9448_02825
ERR1913283.490056__1.490056	1550024__A0A0D8IVV4__ASJ35_03610
ERR1913283.490122__1.490122	1262945__R6YNE4__BN600_01653
ERR1913283.490161__1.490161	28117__B0MT38__BHV66_05995
ERR1913283.490345__1.490345	487174__K0XDI7__DIT83_12065
ERR1913283.490314__1.490314	853__A0A173SUU8__CGS54_06840
ERR1913283.490262__1.490262	1262700__R5X9S4__BN695_00717
ERR1913283.490279__1.490279	338188__K5CPU8__BACFIN_06494
ERR1913283.490388__1.490388	39492__D4JS06__ERS852540_02297
ERR1913283.490415__1.490415	239935__A0A2N8IVR0__CXT87_07115
ERR1913283.490461__1.490461	47678__R5UD76__BACCAC_01373
ERR1913283.490497__1.490497	338188__R6S0J1__BACFIN_08786
ERR1913283.490541__1.490541	853__E2ZGD9__C7J97_11715
ERR1913283.490716__1.490716	820__A0A139JRS5__HMPREF1073_04025
ERR1913283.490905__1.490905	239935__A0A2N8ITG2__Amuc_0335
ERR1913283.490920__1.490920	394340__rplF
ERR1913283.491096__1.491096	39491__A0A395ZEN3__DXD95_12655
ERR1913283.491105__1.491105	301301__A0A395VC12__RHOM_04160
ERR1913283.491140__1.491140	1262911__R6GVG8__BN557_01498
ERR1913283.491183__1.491183	820__A0A3E4VXP2__yesR
ERR1913283.491750__1.491750	47678__A0A3E5BQM1__DXB67_08970
ERR1913283.491775__1.491775	166486__D4L3D1__ERS852572_03371
ERR1913283.491848__1.491848	884684__GCA_002892425.1_01408
ERR1913283.492354__1.492354	166486__R6AY46__ROSINTL182_06128
ERR1913283.492371__1.492371	820__A0A173YYG4__evgS_3
ERR1913283.492841__1.492841	166486__D4KZY5__ROSINTL182_07635
ERR1913283.492948__1.492948	39491__C4ZF05__vpr
ERR1913283.493068__1.493068	544645__A0A1Y3VSG8__DXC42_08680
ERR1913283.493280__1.493280	823__A0A355XEX9__ERS852560_03521
ERR1913283.493380__1.493380	239935__R6K0V8__CXT94_02055
ERR1913283.493448__1.493448	239935__A0A2N8HZW2__A4V05_11120
ERR1913283.493868__1.493868	357276__B6W5Q7__DXD47_13945
ERR1913283.493894__1.493894	871324__A0A1M6HHE1__SAMN05444350_11871
ERR1913283.494014__1.494014	39488__C0F0P7__ERS852578_02651
ERR1913283.494131__1.494131	239935__A0A2N8IRW0__A4V05_11620
ERR1913283.494288__1.494288	338188__R6RY59__BACFIN_08333
ERR1913283.494449__1.494449	371601__A0A139LNL6__ERS852396_04350
ERR1913283.494543__1.494543	39492__D4JTF2__mutS2
ERR1913283.494712__1.494712	820__A0A3E4G826__C801_01612
ERR1913283.494663__1.494663	742723__F3BCN0__HMPREF9477_01700
ERR1913283.494736__1.494736	39491__A0A395V297__EUR_01010
ERR1913283.494948__1.494948	1262911__R6GLF4__BN557_01493
ERR1913283.494993__1.494993	820__A0A174F0C1__nreB
ERR1913283.495051__1.495051	1262911__R6H2J2__BN557_01228
ERR1913283.495052__1.495052	626932__G5H7L0__HMPREF9450_01053
ERR1913283.495062__1.495062	1262700__R5Y691__BN695_00466
ERR1913283.495151__1.495151	28117__B0N007__BHV66_10275
ERR1913283.495226__1.495226	820__R9I324__HMPREF2141_02414
ERR1913283.495389__1.495389	28117__B0MT84__ALIPUT_00402
ERR1913283.495515__1.495515	1262911__R6GSH0__BN557_00934
ERR1913283.495750__1.495750	39491__A0A396FFW0__ERE_10580
ERR1913283.495798__1.495798	823__A0A395YRX4__ERS852513_03444
ERR1913283.495952__1.495952	1262911__R6GVI7__BN557_01515
ERR1913283.495981__1.495981	1262911__R6GSH8__BN557_00939
ERR1913283.496125__1.496125	39491__A0A395UZ82__EUR_31520
ERR1913283.496477__1.496477	40518__A0A2N0UK36__RBATCC27255_01376
ERR1913283.496480__1.496480	820__A0A3E4RU03__M093_0563
ERR1913283.496642__1.496642	328814__GCA_004558275.1_00073
ERR1913283.496759__1.496759	1262700__R5XKZ2__BN695_01353
ERR1913283.496810__1.496810	301301__A0A395V7G5__RHOM_16755
ERR1913283.497032__1.497032	360807__A0A0M6X0M8__ERS852444_00740
ERR1913283.497112__1.497112	1262945__R6YM76__BN600_01248
ERR1913283.497307__1.497307	209880__A0A1G5VZM9__SAMN02910343_00996
ERR1913283.497517__1.497517	674529__R6V9C9__DXB21_16435
ERR1913283.497640__1.497640	853__E2ZGD9__C7J97_11715
ERR1913283.497668__1.497668	214856__R6Z5D0__resA_4
ERR1913283.497753__1.497753	1681__K2IQE2__uvrD
ERR1913283.497765__1.497765	360807__A0A1Q6SXK5__RIL183_06541
ERR1913283.497843__1.497843	1150298__R7JUS2__ERS852498_02193
ERR1913283.498011__1.498011	820__A0A173YYG4__evgS_3
ERR1913283.498067__1.498067	218538__C9LNQ3__GCWU000321_01176
ERR1913283.498115__1.498115	166486__D4KZ24__ROSINTL182_05766
ERR1913283.498105__1.498105	357276__A0A0M1W657__HMPREF1064_04629
ERR1913283.498195__1.498195	820__A0A1Q6IDS8__chtA
ERR1913283.498258__1.498258	39492__D4JWL2__ERS852540_01201
ERR1913283.498381__1.498381	1263044__GCA_000433375.1_01143
ERR1913283.498452__1.498452	39491__A0A0M6WWT1__dus_2
ERR1913283.498512__1.498512	47678__R5U3L4__C5Z00_12600
ERR1913283.498686__1.498686	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913283.498688__1.498688	28116__A0A1Y4PWZ5__DXF98_14885
ERR1913283.498729__1.498729	1263044__GCA_000433375.1_01147
ERR1913283.498812__1.498812	487174__R5F2W8__HMPREF9448_01730
ERR1913283.498816__1.498816	28117__R7JIJ8__BHV66_01635
ERR1913283.498942__1.498942	1680__A1A1R1__BIFADO_00076
ERR1913283.498953__1.498953	39492__D4JW10__pppA
ERR1913283.498964__1.498964	360807__A0A1Q6TDQ5__ROSEINA2194_04225
ERR1913283.499326__1.499326	823__A0A174PLE5__DXD05_03010
ERR1913283.499654__1.499654	214851__D1PN40__SUBVAR_05755
ERR1913283.499767__1.499767	28117__B0MY34__BHV66_05195
ERR1913283.500098__1.500098	823__A0A073I9P2__CF162_18000
ERR1913283.500138__1.500138	338188__R6RWS7__HMPREF1057_00911
ERR1913283.500713__1.500713	1262911__R6H2J2__BN557_01228
ERR1913283.500886__1.500886	239935__A0A2N8HB50__CXU17_02615
ERR1913283.500983__1.500983	39491__A0A395ZF49__DXB69_05290
ERR1913283.501039__1.501039	46503__B7B776__DXB85_00355
ERR1913283.501074__1.501074	1263107__GCA_000436995.1_00222
ERR1913283.501122__1.501122	40518__R5DVR2__RBL236_00303
ERR1913283.501157__1.501157	487174__W0ES49__HMPREF9448_00709
ERR1913283.501238__1.501238	360807__A0A0M6WBB8__ROSEINA2194_00909
ERR1913283.501247__1.501247	2108523__A0A2P2F6V3__LAWASA_1735
ERR1913283.501342__1.501342	1160721__W0U1Y5__BHW50_01965
ERR1913283.501405__1.501405	1681__E4V837__BBNG_00326
ERR1913283.501623__1.501623	338188__A0A174GJJ1__ERS852397_02405
ERR1913283.501776__1.501776	1262700__R5Y9F5__BN695_01481
ERR1913283.501784__1.501784	1262777__R5WCP3__BN512_01073
ERR1913283.501945__1.501945	39492__D4JWY7__EUBSIR_01655
ERR1913283.502015__1.502015	1262700__R5XJU2__BN695_00943
ERR1913283.502215__1.502215	61171__B9Y5T9__HOLDEFILI_01171
ERR1913283.502285__1.502285	239935__A0A2N8IVK9__CXU08_03750
ERR1913283.502386__1.502386	40518__R5DNI6__RBATCC27255_00844
ERR1913283.502422__1.502422	823__E1YT73__NCTC11152_02675
ERR1913283.502620__1.502620	1262889__R7H927__BN634_00660
ERR1913283.502621__1.502621	820__A0A3E4RU03__M093_0563
ERR1913283.502639__1.502639	239935__R6IZU4__CXT87_08085
ERR1913283.502663__1.502663	28117__B0N007__BHV66_10275
ERR1913283.502751__1.502751	39492__D4JRZ7__smc
ERR1913283.502796__1.502796	1262911__R6H054__BN557_00908
ERR1913283.503006__1.503006	39491__A0A395V5R3__EUBREC_1883
ERR1913283.503021__1.503021	39492__D4JS87__EUBSIR_02328
ERR1913283.503193__1.503193	2108523__A0A2P2F8A7__LAWASA_2275
ERR1913283.503378__1.503378	820__A0A374MMF0__HMPREF1073_03811
ERR1913283.503353__1.503353	487174__K0X250__DDY40_03675
ERR1913283.503534__1.503534	39492__D4JQS6__ykoD
ERR1913283.503588__1.503588	745368__A0A1T4Y576__SAMN02745178_02757
ERR1913283.503692__1.503692	39491__A0A174IJH1__DXB76_01865
