ERR1913168.436__1.436	360807__A0A0M6WZJ4__ERS852392_03439
ERR1913168.720513__1.720513	360807__A0A1Q6TCY9__ERS852444_01883
ERR1913168.720616__1.720616	329854__B3CFY5__DXD57_10960
ERR1913168.720718__1.720718	33038__A0A2N5NWR8__CDL18_14140
ERR1913168.720823__1.720823	165179__A0A229I3Z6__PREVCOP_03666
ERR1913168.720937__1.720937	33038__A0A2N5PXI0__C5Y99_10810
ERR1913168.720966__1.720966	39485__C4Z1W5__ERS852492_01530
ERR1913168.721822__1.721822	821__A0A396F1N0__M099_1553
ERR1913168.722296__1.722296	301301__A0A395V8M7__ERS852391_00967
ERR1913168.722382__1.722382	165179__D1PAV8__DXB80_13055
ERR1913168.722672__1.722672	360807__A0A1Q6T9R3__ERS852392_02666
ERR1913168.722953__1.722953	1263000__R5EAZ0__BN466_00537
ERR1913168.722927__1.722927	39485__C4Z5L2__ERS852490_00659
ERR1913168.723015__1.723015	357276__A0A0K2HF54__HMPREF1063_03537
ERR1913168.723087__1.723087	1262743__R5C054__BN727_01980
ERR1913168.723412__1.723412	33038__A0A3E4KA66__CDL24_01305
ERR1913168.723427__1.723427	33038__A7B6J7__CDL19_09220
ERR1913168.723397__1.723397	552398__F4XCR9__HMPREF0866_01636
ERR1913168.723453__1.723453	360807__A0A0M6WAF4__ERS852392_02663
ERR1913168.723874__1.723874	329854__A0A3E4KRK8__DXK01_03500
ERR1913168.724005__1.724005	2292352__A0A374UKZ5__DXC23_11285
ERR1913168.724038__1.724038	821__A0A174MBW9__SAMN04487923_10272
ERR1913168.724409__1.724409	823__A6LER2__ERS852513_00365
ERR1913168.724344__1.724344	1262911__R6GQM3__BN557_01245
ERR1913168.724526__1.724526	394340__typA
ERR1913168.724771__1.724771	2292352__A0A374UL49__DXC23_11310
ERR1913168.724851__1.724851	150055__A0A2X3VJY6__SLUDD06_01586
ERR1913168.724881__1.724881	820__A0A3E4HWJ4__DXD40_05945
ERR1913168.725135__1.725135	821__A0A0P0M2J4__DXD46_10295
ERR1913168.725263__1.725263	446660__GCA_003428235.1_01544
ERR1913168.725308__1.725308	487174__K0X694__DIT83_09060
ERR1913168.725366__1.725366	853__A0A3E2U7E6__ERS852582_01640
ERR1913168.725541__1.725541	649756__B0P1V2__ERS852475_00214
ERR1913168.725580__1.725580	74426__nifJ
ERR1913168.725794__1.725794	329854__A0A3E4IQD7__BACINT_01717
ERR1913168.726170__1.726170	821__A0A395UNT8__DXD64_15275
ERR1913168.726358__1.726358	329854__R5M4V3__DXK01_22225
ERR1913168.726692__1.726692	33038__A0A2N5NNN0__HMPREF1201_02166
ERR1913168.726807__1.726807	821__D4V4X2__DXC16_18525
ERR1913168.726905__1.726905	360807__A0A0M6X184__ERS852392_03203
ERR1913168.726908__1.726908	33038__A7B5U7__CDL18_11280
ERR1913168.726921__1.726921	301301__G2T0P1__RHOM_03005
ERR1913168.727246__1.727246	301302__R5V671__M72_27831
ERR1913168.727220__1.727220	2292352__A0A374UKZ5__DXC23_11285
ERR1913168.727295__1.727295	39485__A0A174YIY1__cheY_1
ERR1913168.727356__1.727356	33038__A0A396G9G9__CDL21_03070
ERR1913168.727663__1.727663	329854__A0A3E4IJ77__DXD57_12945
ERR1913168.727731__1.727731	301301__G2SX83__RHOM_09430
ERR1913168.728030__1.728030	820__I9A4U7__DHU98_12785
ERR1913168.728164__1.728164	328814__GCA_004558275.1_00073
ERR1913168.728241__1.728241	487174__K0XG81__HMPREF9448_02274
ERR1913168.728406__1.728406	328814__GCA_004558275.1_00292
ERR1913168.728719__1.728719	821__A0A174NM17__lacZ_6
ERR1913168.728739__1.728739	28117__B0MY45__ALIPUT_02164
ERR1913168.728822__1.728822	28117__B0MYI9__BHV66_05415
ERR1913168.728975__1.728975	2292352__A0A374UIX0__DXC23_12260
ERR1913168.729192__1.729192	239935__A0A2N8I9I3__CXU19_12035
ERR1913168.729230__1.729230	821__A0A0P0L952__M097_4235
ERR1913168.729490__1.729490	384639__GCA_003096855.1_01176
ERR1913168.729590__1.729590	821__A0A396F9T7__M097_3427
ERR1913168.729606__1.729606	329854__R5MKT2__DXD57_07820
ERR1913168.729650__1.729650	552398__F4XCQ4__HMPREF0866_01621
ERR1913168.729742__1.729742	329854__R5MCA7__DXD57_10010
ERR1913168.729901__1.729901	821__U6RDC2__DXD46_15675
ERR1913168.729914__1.729914	820__A0A3E4WCX3__C801_02709
ERR1913168.730017__1.730017	649756__A0A174B2V7__ERS852475_01064
ERR1913168.730103__1.730103	28117__B0MXL6__ALIPUT_01851
ERR1913168.730056__1.730056	501571__R8VUS8__B5F15_04195
ERR1913168.730138__1.730138	1160721__W0U811__RBI_II00162
ERR1913168.730146__1.730146	28052__A0A174IE05__ypdA_2
ERR1913168.730314__1.730314	165179__A0A3E5AGH1__DXB80_05820
ERR1913168.730640__1.730640	1897011__A0A1Q6RD70__BHW41_05845
ERR1913168.730683__1.730683	1160721__A0A1C6CMR2__BHW50_00085
ERR1913168.730729__1.730729	649756__D4MTX1__DCR88_05080
ERR1913168.730808__1.730808	1965538__A0A1Y4W145__B5E43_13055
ERR1913168.730818__1.730818	33038__A0A2N5Q1T9__ERS852409_01319
ERR1913168.730857__1.730857	39492__D4JQS6__ykoD
ERR1913168.730919__1.730919	214856__A0A174H3U9__ERS852559_00612
ERR1913168.730940__1.730940	329854__B3C9R7__DXD57_13140
ERR1913168.731029__1.731029	301302__R5UQW7__ERS852420_02102
ERR1913168.731100__1.731100	1160721__W0U7T4__BHW50_09645
ERR1913168.731074__1.731074	31971__A8RBG3__dapA
ERR1913168.731226__1.731226	357276__A0A0K2HFA1__HMPREF1065_02962
ERR1913168.731232__1.731232	821__A0A174NM17__lacZ_6
ERR1913168.731255__1.731255	39485__R5ZRT8__gmr_6
ERR1913168.731625__1.731625	39485__A0A174YKY3__EUBELI_00877
ERR1913168.731704__1.731704	10680__GeneID:1261092
ERR1913168.731767__1.731767	33038__A0A2N5NVA0__CDL24_11780
ERR1913168.731821__1.731821	301301__A0A395V9S1__RHOM_03365
ERR1913168.732079__1.732079	2292352__A0A374UJE7__DXC23_11305
ERR1913168.732149__1.732149	544644__GCA_001915615.1_01797
ERR1913168.732189__1.732189	28052__A0A174M373__speA_2
ERR1913168.732190__1.732190	1262988__R7N8P2__BN816_00013
ERR1913168.732216__1.732216	357276__I9R4T1__IY41_06800
ERR1913168.732676__1.732676	301302__A0A0M6WF57__M72_22681
ERR1913168.732678__1.732678	329854__R5LW55__DXD57_21020
ERR1913168.732971__1.732971	33038__A0A2N5NNJ7__CDL26_12635
ERR1913168.733311__1.733311	821__A0A397WGD6__M098_0084
ERR1913168.733340__1.733340	214856__I3YMN6__Alfi_1938
ERR1913168.733638__1.733638	387090__S0F8B2__BACCOPRO_02129
ERR1913168.734039__1.734039	328814__GCA_004558275.1_00036
ERR1913168.734178__1.734178	28117__B0MUR5__BHV66_03900
ERR1913168.734330__1.734330	292800__A0A174RGQ5__HMPREF0372_03387
ERR1913168.734345__1.734345	821__I9R3W6__DXC16_12455
ERR1913168.734384__1.734384	487174__K0XH97__HMPREF9448_01909
ERR1913168.734467__1.734467	40518__R5DU28__DXD86_07960
ERR1913168.734482__1.734482	821__U6RDC2__DXD46_15675
ERR1913168.734504__1.734504	33038__A0A2N5PW99__DXD36_03540
ERR1913168.734815__1.734815	246787__A0A0P0G254__axeA1_2
ERR1913168.734828__1.734828	328814__GCA_004558275.1_00035
ERR1913168.734957__1.734957	1263000__R5ENT6__BN466_00877
ERR1913168.735027__1.735027	301301__G2T2X5__ERS852391_00403
ERR1913168.735065__1.735065	487174__K0XIX0__DDY40_06625
ERR1913168.735335__1.735335	821__A0A3E4WAR6__DXD64_10735
ERR1913168.735428__1.735428	1160721__W0U3Q4__BHW50_08110
ERR1913168.735465__1.735465	328814__GCA_004558275.1_00835
ERR1913168.735469__1.735469	39492__D4JSA4__ERS852540_00596
ERR1913168.735708__1.735708	214856__A0A174FY71__ERS852559_01033
ERR1913168.735946__1.735946	1160721__W0U4D5__RBI_I01230
ERR1913168.736111__1.736111	28116__D7K7K3__SAMN05192581_103348
ERR1913168.736174__1.736174	28052__R7NBE1__ERS852499_01798
ERR1913168.736218__1.736218	39485__A0A174Z551__glnL
ERR1913168.736303__1.736303	33038__A0A2N5NVC1__CDL18_09740
ERR1913168.736313__1.736313	39485__C4Z028__ERS852492_00100
ERR1913168.736397__1.736397	33038__A0A2N5NNN0__HMPREF1201_02166
ERR1913168.736456__1.736456	487175__F3QKH5__HMPREF9439_01434
ERR1913168.736835__1.736835	820__A7V9F9__B5G17_14640
ERR1913168.736886__1.736886	239935__A0A2N8HAQ1__DEF40_05290
ERR1913168.736937__1.736937	329854__R7E733__DXD57_00120
ERR1913168.737031__1.737031	28052__A0A174NHE1__spoIIIE
ERR1913168.737255__1.737255	821__A0A0P0M3U7__DXB90_14325
ERR1913168.737366__1.737366	214856__A0A174G1M7__ERS852559_00594
ERR1913168.737905__1.737905	301302__R5ULQ3__ERS852420_02626
ERR1913168.738170__1.738170	329854__A0A3E4IPA9__BACINT_02342
ERR1913168.738214__1.738214	562__P26458__cydB
ERR1913168.738472__1.738472	329854__A0A3E4IA10__DXD57_17005
ERR1913168.738834__1.738834	28117__B0MXU6__ALIPUT_01958
ERR1913168.738886__1.738886	384638__B7APR1__BACPEC_00667
ERR1913168.739172__1.739172	40519__U2MCQ8__RUMCAL_00556
ERR1913168.739223__1.739223	33038__A0A2N5PW99__DXD36_03540
ERR1913168.739915__1.739915	394340__ppdK
ERR1913168.739925__1.739925	821__D4VD59__BHV80_04260
ERR1913168.739985__1.739985	165179__A0A174UTZ7__DXC61_06705
ERR1913168.740468__1.740468	214856__A0A174A1J3__ERS852447_01000
ERR1913168.740678__1.740678	33025__A0A395JB55__C8D73_104122
ERR1913168.740931__1.740931	328814__GCA_004558275.1_01621
ERR1913168.741033__1.741033	1776045__A0A0U5J7K7__BN3456_00132
ERR1913168.741242__1.741242	39485__A0A175A023__yhhT
ERR1913168.741271__1.741271	39485__A0A174YMD0__EUBELI_01093
ERR1913168.741360__1.741360	360807__C0FPV8__RIL183_29891
ERR1913168.741373__1.741373	360807__C0FVT5__RIL183_27241
ERR1913168.741514__1.741514	1150298__A0A174SLE6__mlc_1
ERR1913168.741722__1.741722	1263000__R5EI25__BN466_01781
ERR1913168.741772__1.741772	28052__R7NCE8__cph2_1
ERR1913168.741850__1.741850	649756__E5VJ94__CL2_21810
ERR1913168.742136__1.742136	820__A7V470__HMPREF1072_02076
ERR1913168.742355__1.742355	1160721__W0U8M9__RBI_II00386
ERR1913168.742380__1.742380	28116__A0A1G8P076__AA414_01051
ERR1913168.742818__1.742818	1150298__R7JUS2__ERS852498_02193
ERR1913168.742859__1.742859	487174__K0X4V9__DDY40_12220
ERR1913168.743272__1.743272	2173__A0A1D2WW38__METSMIF1_03111
ERR1913168.743385__1.743385	821__A0A3E4HP25__SAMN04487923_102450
ERR1913168.743727__1.743727	328814__GCA_004558275.1_00289
ERR1913168.743850__1.743850	39496__A5Z3G7__EUBVEN_00213
ERR1913168.743910__1.743910	338188__A0A174ETX3__ERS852397_01955
ERR1913168.743930__1.743930	39485__A0A174ZQT9__EUBELI_20278
ERR1913168.744015__1.744015	360807__C0FXX7__ERS852392_02700
ERR1913168.744147__1.744147	821__A0A395UNT8__DXD64_15275
ERR1913168.744255__1.744255	1263000__R5EAZ0__BN466_00537
ERR1913168.744703__1.744703	487174__K0XG34__HMPREF9448_02234
ERR1913168.744721__1.744721	1550024__G9RX51__TQ39_04720
ERR1913168.744985__1.744985	328814__GCA_004558275.1_00033
ERR1913168.745075__1.745075	821__A0A396F598__CUU_3259
ERR1913168.745454__1.745454	329854__R5M4R4__DXD57_00330
ERR1913168.745465__1.745465	33039__D4M1J4__ERS852390_02215
ERR1913168.745474__1.745474	33038__F7JZ41__CCY17_00135
ERR1913168.745551__1.745551	818__Q8A2L4__Btheta7330_05011
ERR1913168.745626__1.745626	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913168.745730__1.745730	1720294__U2CYP6__DWY69_00600
ERR1913168.745785__1.745785	29361__B6FQ81__CLONEX_02300
ERR1913168.745825__1.745825	820__A0A139KJ23__celCCA
ERR1913168.746140__1.746140	446660__GCA_003428235.1_02156
ERR1913168.746103__1.746103	820__A0A3E4G826__C801_01612
ERR1913168.746199__1.746199	2108523__A0A2P2F8F2__LAWASA_2325
ERR1913168.746275__1.746275	329854__A0A3E4KPG4__DXD27_21195
ERR1913168.746264__1.746264	2173__A0A1D2WRQ9__METSMIF1_03320
ERR1913168.746393__1.746393	820__A0A174F696__macB_13
ERR1913168.746474__1.746474	28117__B0MUB4__BHV66_01895
ERR1913168.746423__1.746423	357276__I8VN48__ABI39_07855
ERR1913168.746515__1.746515	1263000__R5EGY6__BN466_00973
ERR1913168.746567__1.746567	39485__A0A174ZPH7__ERS852490_01992
ERR1913168.746642__1.746642	33038__A0A2N5P3M1__DXD36_15590
ERR1913168.746732__1.746732	39492__D4JVG7__ERS852540_00946
ERR1913168.746923__1.746923	39492__D4JRM9__bglB_2
ERR1913168.747184__1.747184	360807__A0A1Q6T542__RIL183_02161
ERR1913168.747263__1.747263	329854__R5MM66__DXD27_21515
ERR1913168.747400__1.747400	821__A0A0P0L952__M097_4235
ERR1913168.747459__1.747459	39485__C4Z0T2__ykvU
ERR1913168.747466__1.747466	292800__A0A174WEZ4__HMPREF9460_03559
ERR1913168.747541__1.747541	291645__I8WZT8__HMPREF1068_04327
ERR1913168.747580__1.747580	360807__A0A174F8N1__ERS852444_00648
ERR1913168.747870__1.747870	328814__GCA_004558275.1_00290
ERR1913168.748426__1.748426	1262989__R6YI19__BN815_02193
ERR1913168.748450__1.748450	301301__A0A395V7N0__ERS852391_02330
ERR1913168.748512__1.748512	1150298__A0A174B7I7__ERS852535_01258
ERR1913168.748571__1.748571	328814__GCA_004558275.1_00291
ERR1913168.748696__1.748696	40519__U2MCQ8__RUMCAL_00556
ERR1913168.748710__1.748710	28116__A0A078Q626__HMPREF1070_02735
ERR1913168.748836__1.748836	28052__R7NAV8__ERS852451_01869
ERR1913168.748903__1.748903	28116__A0A078Q1V5__SAMN05444282_12168
ERR1913168.749043__1.749043	165179__A0A229I4J4__proA
ERR1913168.749179__1.749179	552398__F4XCR9__HMPREF0866_01636
ERR1913168.749239__1.749239	239935__A0A2N8HDT1__CXT94_05270
ERR1913168.749317__1.749317	360807__A0A173R6V5__ROSEINA2194_00471
ERR1913168.749483__1.749483	329854__R5MKJ2__DXD27_16110
ERR1913168.749507__1.749507	552398__F4XCQ4__HMPREF0866_01621
ERR1913168.749902__1.749902	626933__H1DGX0__HMPREF9449_01506
ERR1913168.750090__1.750090	239935__R6J9N8__CXT96_07990
ERR1913168.750306__1.750306	33038__A0A2N5P2X7__CDL26_06080
ERR1913168.750425__1.750425	1262824__R6RM58__BN719_02447
ERR1913168.750648__1.750648	1262921__R5M1D5__BN473_00043
ERR1913168.750736__1.750736	371601__D4WBK5__BN891_3970
ERR1913168.750908__1.750908	552398__F4XCQ4__HMPREF0866_01621
ERR1913168.751179__1.751179	360807__C0FVL1__ERS852392_00394
ERR1913168.751450__1.751450	1262921__R5LMK9__BN473_01331
ERR1913168.751508__1.751508	2173__A0A1D2WSY5__METSMIF1_03017
ERR1913168.751892__1.751892	33038__A0A2N5P0D0__CDL18_07990
ERR1913168.751907__1.751907	33038__A0A396G7D8__asnB
ERR1913168.751979__1.751979	2292352__A0A374UJE7__DXC23_11305
ERR1913168.752225__1.752225	28052__A0A174I4I1__ERS852499_00646
ERR1913168.752478__1.752478	214856__R6XRA1__vatD_3
ERR1913168.752553__1.752553	1160721__R6SW95__BHW50_08895
ERR1913168.752507__1.752507	1897011__A0A1Q6RE47__BHW41_04715
ERR1913168.752628__1.752628	1897011__A0A1Q6RH35__BHW41_01705
ERR1913168.752780__1.752780	33038__A0A3E4VAW9__CDL19_05110
ERR1913168.752792__1.752792	2173__A0A1D2WU59__Msm_1444
ERR1913168.753033__1.753033	418240__C6JFK4__ERS852523_01172
ERR1913168.753138__1.753138	818__A0A0P0F4D0__BT_2503
ERR1913168.753176__1.753176	33038__A0A2N5PRF0__CDL25_01605
ERR1913168.753513__1.753513	33038__F7JT04__CDL21_01120
ERR1913168.753742__1.753742	28052__R7N8I1__pimB_4
ERR1913168.754078__1.754078	501571__R8W450__SAMN02745978_00857
ERR1913168.754192__1.754192	28116__D7J6A7__NCTC11153_02798
ERR1913168.754257__1.754257	33038__A0A2N5Q1T9__ERS852409_01319
ERR1913168.754288__1.754288	552398__F4XCR9__HMPREF0866_01636
ERR1913168.754698__1.754698	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913168.754734__1.754734	39485__C4Z1Y6__EUBELI_00140
ERR1913168.754924__1.754924	357276__B6W1J2__BACDOR_03380
ERR1913168.754906__1.754906	1262986__R6AQA2__BN492_01373
ERR1913168.754957__1.754957	552398__F4XCR9__HMPREF0866_01636
ERR1913168.755058__1.755058	239935__A0A2N8IMD6__CXU03_05585
ERR1913168.755423__1.755423	329854__R5LT64__BACINT_03703
ERR1913168.755501__1.755501	28052__A0A174KUL2__phoR_1
ERR1913168.756088__1.756088	239935__A0A2N8HBM4__CXT85_06270
ERR1913168.756119__1.756119	823__A0A3E4PAQ2__DDY96_18275
ERR1913168.756614__1.756614	214856__R5UN64__ERS852447_02669
ERR1913168.757020__1.757020	853__C7H7F5__DWZ46_01780
ERR1913168.757059__1.757059	1262992__R5CY89__BN795_01227
ERR1913168.757208__1.757208	40519__U2MCQ8__RUMCAL_00556
ERR1913168.757305__1.757305	1262988__R7N8H1__BN816_00011
ERR1913168.757338__1.757338	28052__A0A174HXG0__galK_3
ERR1913168.757595__1.757595	33038__A0A2N5PAB2__CDL21_14440
ERR1913168.757745__1.757745	821__U6RDC2__DXD46_15675
ERR1913168.757883__1.757883	552398__F4XCQ4__HMPREF0866_01621
ERR1913168.758055__1.758055	487174__K0WRR5__DDY40_06130
ERR1913168.758271__1.758271	821__A0A396EVC9__DXB90_03525
ERR1913168.758459__1.758459	371601__D7J857__B5E52_13185
ERR1913168.758604__1.758604	29361__B6FTW9__CLONEX_03597
ERR1913168.758693__1.758693	1550024__G9RZN9__ASJ35_05735
ERR1913168.758708__1.758708	552398__F4XAK9__HMPREF0866_00327
ERR1913168.758816__1.758816	28118__F9Z3U6__B5F99_03365
ERR1913168.758942__1.758942	33038__F7K1D5__CDL23_09565
ERR1913168.759145__1.759145	28052__A0A174JFU5__yhbU_1
ERR1913168.759231__1.759231	501571__R8VTS9__HMPREF1526_02187
ERR1913168.759251__1.759251	552398__F4XCQ4__HMPREF0866_01621
ERR1913168.759310__1.759310	1263044__GCA_000433375.1_03282
ERR1913168.759551__1.759551	33038__A0A2N5NUB0__CCY17_12840
ERR1913168.759740__1.759740	40519__U2MCQ8__RUMCAL_00556
ERR1913168.759845__1.759845	29361__B6FQ81__CLONEX_02300
ERR1913168.760008__1.760008	329854__A0A3E4KPG4__DXD27_21195
ERR1913168.760057__1.760057	28117__B0MSS1__ALIPUT_00273
ERR1913168.760324__1.760324	28052__A0A174JFI2__ERS852451_01072
ERR1913168.760381__1.760381	562__A0A377AAV3__CDL32_10800
ERR1913168.760713__1.760713	165179__D1PCL6__DXB80_13435
ERR1913168.760988__1.760988	292800__G9YSF9__ERS852504_03368
ERR1913168.761270__1.761270	33038__A7B0X0__CDL26_06830
ERR1913168.761318__1.761318	28052__R7NBF2__ERS852451_02191
ERR1913168.761513__1.761513	292800__A0A174NIK9__rbsC_3
ERR1913168.761701__1.761701	821__A0A0P0LNX8__ERS852509_03015
ERR1913168.761703__1.761703	301301__A0A395VAV8__ERS852391_02437
ERR1913168.761866__1.761866	33038__A0A2N5NWR8__CDL18_14140
ERR1913168.762127__1.762127	706562__GCA_900112995.1_02104
ERR1913168.762129__1.762129	329854__A0A3E4KPG4__DXD27_21195
ERR1913168.762694__1.762694	564886__GeneID:6973115
ERR1913168.762798__1.762798	552398__F4XCQ4__HMPREF0866_01621
ERR1913168.762875__1.762875	301301__A0A395V407__ERS852391_02230
ERR1913168.762933__1.762933	820__R9I2U8__DXC68_09590
ERR1913168.762964__1.762964	821__A0A396F598__CUU_3259
ERR1913168.763036__1.763036	239935__A0A2N8I368__CXT95_04550
ERR1913168.763066__1.763066	2292352__A0A374UJE7__DXC23_11305
ERR1913168.763130__1.763130	329854__R5M1Z6__BACINT_04643
ERR1913168.763196__1.763196	33038__A7AYC4__CDL21_13075
ERR1913168.763580__1.763580	821__E5UPR6__SAMN04487923_101768
ERR1913168.763632__1.763632	820__A0A3E4VXP2__yesR
ERR1913168.763638__1.763638	1335__A0A2X3Y8C3__SAMN05216415_1279
ERR1913168.763688__1.763688	2292352__A0A374UNM1__DXC23_01675
ERR1913168.763735__1.763735	460384__A0A2T3FDA5__SAMN05216313_14119
ERR1913168.763825__1.763825	1263000__R5ECL2__BN466_00920
ERR1913168.763801__1.763801	1263000__R5EDV4__BN466_01097
ERR1913168.763954__1.763954	33038__A0A2N5NWR8__CDL18_14140
ERR1913168.764036__1.764036	821__A0A3E4KIM1__M097_3660
ERR1913168.764140__1.764140	88431__A0A3D0F0I7__DORLON_00967
ERR1913168.764196__1.764196	39486__B0G8E4__HMPREF9457_00475
ERR1913168.764391__1.764391	33038__A0A396G851__tig
ERR1913168.764613__1.764613	28052__A0A174IP79__gmr_4
ERR1913168.764809__1.764809	292800__A0A174GSG7__glcK
ERR1913168.764917__1.764917	371601__A0A1H4CLA7__ERS852396_03474
ERR1913168.765189__1.765189	39485__A0A1Q6PHD7__ERS852492_01801
ERR1913168.765284__1.765284	487174__K0X694__DIT83_09060
ERR1913168.765396__1.765396	1318__A0A3E4U8W0__trpD
ERR1913168.765493__1.765493	2173__A0A1D2WWF3__METSMIALI_00379
ERR1913168.765559__1.765559	1680__A0A087DLC6__C8077_00815
ERR1913168.765609__1.765609	1262988__R7N3Z1__BN816_00044
ERR1913168.765671__1.765671	301301__G2T1C2__RHOM_06165
ERR1913168.765923__1.765923	329854__A0A3E4ILU6__BACINT_00653
ERR1913168.765986__1.765986	821__A6L0C7__ERS852556_03520
ERR1913168.766265__1.766265	40519__U2MCQ8__RUMCAL_00556
ERR1913168.766278__1.766278	301301__A0A395V8E1__RHOM_11160
ERR1913168.766436__1.766436	28116__A0A1Y4PWN5__M088_3731
ERR1913168.766555__1.766555	556259__I0PYJ6__BSGG_5210
ERR1913168.766574__1.766574	820__A0A139KH21__DXC80_01780
ERR1913168.766887__1.766887	246787__R6LGA6__tmoS_11
ERR1913168.767361__1.767361	821__A0A3E4HP25__SAMN04487923_102450
ERR1913168.767520__1.767520	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913168.767539__1.767539	208479__A8RIR9__CLOBOL_00765
ERR1913168.767584__1.767584	1160721__W0U5X6__RBI_I01796
ERR1913168.767932__1.767932	328814__GCA_004558275.1_01620
ERR1913168.768059__1.768059	2292352__A0A374UKA6__DXC23_10805
ERR1913168.768284__1.768284	165179__D1PHD6__DXC61_03380
ERR1913168.768344__1.768344	671267__R9IB12__C802_00696
ERR1913168.768384__1.768384	40519__U2MCQ8__RUMCAL_00556
ERR1913168.768406__1.768406	552398__F4XCQ4__HMPREF0866_01621
ERR1913168.768489__1.768489	562__A0A0E1LDD5__B9N12_14240
ERR1913168.768492__1.768492	487174__K0WTW4__DDY40_12630
ERR1913168.768510__1.768510	165179__D1PES9__DXB80_11585
ERR1913168.768613__1.768613	39485__C4Z0S8__hisK
ERR1913168.768631__1.768631	552398__T5S086__HMPREF0866_01580
ERR1913168.768873__1.768873	552398__F4XCQ4__HMPREF0866_01621
ERR1913168.768949__1.768949	33038__A0A2N5NWR8__CDL18_14140
ERR1913168.768984__1.768984	214856__I3YMC8__ERS852447_02666
ERR1913168.769006__1.769006	820__A0A3E4WA06__ERS852554_03404
ERR1913168.769157__1.769157	214856__A0A174A1J3__ERS852447_01000
ERR1913168.769292__1.769292	1263000__R5EKR4__BN466_01609
ERR1913168.769413__1.769413	261299__W1ULJ2__nadE_2
ERR1913168.769624__1.769624	329854__R5LY77__DXD27_05730
ERR1913168.769817__1.769817	821__E5UY21__C800_02204
ERR1913168.769988__1.769988	33038__A0A2N5NWR8__CDL18_14140
ERR1913168.770155__1.770155	706562__GCA_900112995.1_01428
ERR1913168.770366__1.770366	820__A0A3E4FZM1__adaA_2
ERR1913168.770771__1.770771	301302__A0A0M6WB38__ERS852420_00286
ERR1913168.770781__1.770781	239935__R7E524__CXT91_06180
ERR1913168.770794__1.770794	28052__A0A174HF53__ERS852499_00436
ERR1913168.770795__1.770795	487174__K0WZN5__HMPREF9448_01108
ERR1913168.770846__1.770846	706562__GCA_900112995.1_01415
ERR1913168.770819__1.770819	357276__A0A076IIL0__EL88_03065
ERR1913168.770966__1.770966	246787__R6KCH8__csbC
ERR1913168.771302__1.771302	552398__F4XCQ4__HMPREF0866_01621
ERR1913168.771365__1.771365	165179__A0A3E5E189__PREVCOP_06699
ERR1913168.771372__1.771372	33038__A0A2N5NWR8__CDL18_14140
ERR1913168.771413__1.771413	329854__R7DQV0__DXD57_13335
ERR1913168.771739__1.771739	487174__K0X522__DDY40_12660
ERR1913168.771792__1.771792	329854__R5MCT6__BACINT_04189
ERR1913168.771839__1.771839	214856__I3YMC8__ERS852447_02666
ERR1913168.772207__1.772207	823__A0A355XKR1__DHP27_04035
ERR1913168.772226__1.772226	562__P77183__CDL50_13955
ERR1913168.772284__1.772284	28052__A0A174JFU5__yhbU_1
ERR1913168.772460__1.772460	33025__A0A395JB55__C8D73_104122
ERR1913168.772533__1.772533	552398__F4XCR9__HMPREF0866_01636
ERR1913168.772886__1.772886	820__A0A374Q854__HMPREF1073_03281
ERR1913168.773058__1.773058	487174__K0XKB7__DDY40_03475
ERR1913168.773146__1.773146	821__A0A3E4WAR6__DXD64_10735
ERR1913168.773283__1.773283	165179__A0A3E5AER8__DXB80_07075
ERR1913168.773334__1.773334	1105031__J1H3W2__HMPREF1141_2783
ERR1913168.773358__1.773358	301301__G2SZ66__RHOM_00485
ERR1913168.773344__1.773344	239935__A0A2N8HT68__ADH72_00510
ERR1913168.773853__1.773853	33038__A0A2N5NTT9__ERS852409_01418
ERR1913168.774129__1.774129	328814__GCA_004558275.1_00014
ERR1913168.774195__1.774195	28052__A0A174KNE1__ptsI_2
ERR1913168.774228__1.774228	28052__A0A174K6D6__ERS852451_01708
ERR1913168.774626__1.774626	384638__B7AT21__BACPEC_01289
ERR1913168.774717__1.774717	28052__R7NAP6__ERS852499_01969
ERR1913168.774695__1.774695	649756__D4MXW9__ERS852520_02286
ERR1913168.774821__1.774821	29361__B6FRT6__CLONEX_02860
ERR1913168.774896__1.774896	329854__R5MCA8__DXD57_18415
ERR1913168.774989__1.774989	301301__A0A395VFD3__ERS852391_02492
ERR1913168.775158__1.775158	329854__B3CDQ4__BACINT_02322
ERR1913168.775235__1.775235	33038__A0A2N5NPD5__CCY17_06280
ERR1913168.775494__1.775494	28052__R7NCE0__ERS852499_00449
ERR1913168.775631__1.775631	292800__G9YMA2__HMPREF0372_00623
ERR1913168.775672__1.775672	821__A0A395VLM8__BvMPK_3650
ERR1913168.775740__1.775740	214856__A0A174FWM7__ERS852559_00590
ERR1913168.776090__1.776090	357276__A0A076INK2__BSEG_04225
ERR1913168.776197__1.776197	165179__A0A3E5AHY4__CFT61_07675
ERR1913168.776343__1.776343	562__C6EBU6__ESQG_00710
ERR1913168.776485__1.776485	33038__A0A2N5Q375__RUMGNA_00645
ERR1913168.777094__1.777094	821__D4VD59__BHV80_04260
ERR1913168.777136__1.777136	33038__F7JUE7__CDL26_12120
ERR1913168.777371__1.777371	387090__S0F7Y3__BACCOPRO_02028
