ERR1913166.89__1.89	1262743__R5C7C5__BN727_00596
ERR1913166.369831__1.369831	310298__B3JQJ5__BACCOP_04231
ERR1913166.369970__1.369970	39492__D4JU56__hemZ
ERR1913166.370078__1.370078	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913166.370242__1.370242	1262882__R5N3H1__BN519_01121
ERR1913166.370182__1.370182	820__A0A174A6K0__M093_0079
ERR1913166.370255__1.370255	338188__A0A174GWW7__ERS852397_02491
ERR1913166.370386__1.370386	820__R9HP61__DXC91_01090
ERR1913166.370522__1.370522	338188__A0A174K390__pnuC
ERR1913166.370555__1.370555	820__A0A1T4IYF4__mprA_1
ERR1913166.370605__1.370605	820__A0A139KG04__ERS852459_01249
ERR1913166.370675__1.370675	1262882__R5MSS9__BN519_01662
ERR1913166.370725__1.370725	47678__R5U7L8__DXB67_16595
ERR1913166.370783__1.370783	1262882__R5MM90__BN519_01721
ERR1913166.370854__1.370854	28116__A0A139LF77__HMPREF2532_01174
ERR1913166.370932__1.370932	239935__R6J776__CXU07_02355
ERR1913166.370978__1.370978	820__R9HXK9__DXB62_08265
ERR1913166.371080__1.371080	357276__I8WPR6__EL88_06675
ERR1913166.371083__1.371083	1262743__R5C7B5__BN727_00586
ERR1913166.371249__1.371249	458033__GCA_001482755.1_02203
ERR1913166.371500__1.371500	28111__E5WZR2__HMPREF1016_02168
ERR1913166.371579__1.371579	1262882__R5MM90__BN519_01721
ERR1913166.371778__1.371778	1262743__R5C054__BN727_01980
ERR1913166.371788__1.371788	39492__D4JRV7__EUBSIR_01513
ERR1913166.371944__1.371944	1262882__R5MGK3__BN519_00655
ERR1913166.372006__1.372006	820__A0A374Q854__HMPREF1073_03281
ERR1913166.371978__1.371978	820__A0A174A6K0__M093_0079
ERR1913166.372149__1.372149	1150298__R7JTQ3__rne
ERR1913166.372263__1.372263	1262882__R5MY46__BN519_00355
ERR1913166.372379__1.372379	46503__A7A9H8__DD461_05910
ERR1913166.372494__1.372494	820__A7V092__hldE
ERR1913166.372816__1.372816	39492__D4JT56__lepB
ERR1913166.372833__1.372833	1262882__R5MQ63__BN519_01173
ERR1913166.372857__1.372857	1262882__R5N4I8__BN519_01293
ERR1913166.372908__1.372908	820__A7V470__HMPREF1072_02076
ERR1913166.373036__1.373036	28117__B0MXW9__ALIPUT_01981
ERR1913166.373091__1.373091	28117__B0MSQ3__ALIPUT_00347
ERR1913166.373110__1.373110	820__A7V9F9__B5G17_14640
ERR1913166.373221__1.373221	1150298__A0A174DSD1__dacB_3
ERR1913166.373393__1.373393	239935__R6JCH3__CXT95_08205
ERR1913166.373394__1.373394	1150298__A0A174RP87__uppP_1
ERR1913166.373454__1.373454	487174__K0XKD7__HMPREF9448_01550
ERR1913166.373578__1.373578	239935__A0A2N8IUQ8__CXU09_01665
ERR1913166.373628__1.373628	820__A0A3E4QZJ7__C801_01798
ERR1913166.373671__1.373671	820__A7V470__HMPREF1072_02076
ERR1913166.373729__1.373729	1297617__A0A2U1CDC7__C7373_103221
ERR1913166.373936__1.373936	820__A0A174GYA8__DXB64_07370
ERR1913166.373963__1.373963	301301__A0A174GNJ2__RHOM_05610
ERR1913166.374016__1.374016	820__A0A3E4W984__pssA
ERR1913166.374125__1.374125	820__A0A1Q6IDS8__chtA
ERR1913166.374228__1.374228	820__A0A174Q0F0__DXB48_08080
ERR1913166.374238__1.374238	820__I9A4U7__DHU98_12785
ERR1913166.374195__1.374195	820__A0A374Q1D8__SAMN05444418_112114
ERR1913166.374274__1.374274	204516__U6RFB2__HMPREF1534_01733
ERR1913166.374299__1.374299	626930__F3PTZ1__HMPREF9446_02211
ERR1913166.374347__1.374347	487174__R5F3K6__DDY40_04230
ERR1913166.374466__1.374466	1262743__R5C7B5__BN727_00586
ERR1913166.374578__1.374578	1358__Q9CE00__yvdE
ERR1913166.374586__1.374586	820__A0A139KHX1__HMPREF2141_00289
ERR1913166.374606__1.374606	823__C7X996__DD466_12595
ERR1913166.374774__1.374774	310298__B3JFI7__BACCOP_00636
ERR1913166.374948__1.374948	820__A0A3E4G2R7__DXC07_00510
ERR1913166.375079__1.375079	820__A0A1T4IY71__HMPREF2141_02402
ERR1913166.375081__1.375081	1160721__W0U8M9__RBI_II00386
ERR1913166.375056__1.375056	1262992__R5DGC6__BN795_00540
ERR1913166.375157__1.375157	820__A0A174M9V5__M093_0237
ERR1913166.375198__1.375198	820__A0A139KEW8__DXB64_06405
ERR1913166.375204__1.375204	246787__A0A108T1Y3__fepA_8
ERR1913166.375267__1.375267	820__A0A139KJR5__M093_4469
ERR1913166.375369__1.375369	820__A7V092__hldE
ERR1913166.375296__1.375296	338188__A0A174GXA9__bglX_10
ERR1913166.375520__1.375520	39491__A0A395ZHW9__DXC13_02590
ERR1913166.375445__1.375445	28117__B0MTH2__ALIPUT_00061
ERR1913166.375576__1.375576	820__A0A174M9V5__M093_0237
ERR1913166.375564__1.375564	28111__E5X121__BACEGG_03113
ERR1913166.375768__1.375768	820__A0A174F696__macB_13
ERR1913166.375959__1.375959	487174__K0XG34__HMPREF9448_02234
ERR1913166.376012__1.376012	820__A0A3E4IGA7__DXD40_07110
ERR1913166.376108__1.376108	820__A0A3E4QZJ7__C801_01798
ERR1913166.376122__1.376122	371601__F7LA63__HMPREF1074_04288
ERR1913166.376164__1.376164	2108523__A0A2P2F472__LAWASA_799
ERR1913166.376178__1.376178	820__A0A174Q0F0__DXB48_08080
ERR1913166.376251__1.376251	820__A0A139K4W5__HMPREF2141_02394
ERR1913166.376429__1.376429	1262882__R5MS31__BN519_01529
ERR1913166.376464__1.376464	821__A0A174WBC9__ERS852556_03145
ERR1913166.376689__1.376689	39492__D4JSS9__btuF
ERR1913166.376784__1.376784	821__A0A174NM17__lacZ_6
ERR1913166.376973__1.376973	39492__D4JWI6__EUBSIR_01073
ERR1913166.376978__1.376978	39491__A0A396FF17__EUR_31400
ERR1913166.377109__1.377109	1262882__R5MFT7__BN519_00494
ERR1913166.377144__1.377144	410072__A0A174B9D6__COPCOM_00384
ERR1913166.377208__1.377208	46506__A0A108T991__AA415_01433
ERR1913166.377458__1.377458	28111__R5JRR0__NCTC11155_01063
ERR1913166.377649__1.377649	239935__R7DVL7__CXT93_01180
ERR1913166.377614__1.377614	454154__G5SNM5__HMPREF9441_00956
ERR1913166.377617__1.377617	33039__A0A173VTT4__frdB_1
ERR1913166.377619__1.377619	1262924__R7HQD9__BN585_00129
ERR1913166.377687__1.377687	820__A0A174CK74__DXB48_07060
ERR1913166.377737__1.377737	47678__R5U3A7__ERS852494_02965
ERR1913166.377915__1.377915	338188__C9L2Z0__HMPREF1057_03240
ERR1913166.378082__1.378082	820__A7V470__HMPREF1072_02076
ERR1913166.378251__1.378251	820__A7UYX8__DXD40_11635
ERR1913166.378309__1.378309	28117__B0MYI9__BHV66_05415
ERR1913166.378697__1.378697	1262882__R5MFT7__BN519_00494
ERR1913166.378727__1.378727	820__A7V780__adaA_3
ERR1913166.378755__1.378755	820__A7V859__ERS852462_00341
ERR1913166.378973__1.378973	1796613__A0A1C7H0F7__ADH74_00160
ERR1913166.378976__1.378976	820__A0A139JRS5__HMPREF1073_04025
ERR1913166.379080__1.379080	1304__T0T9N5__CQA85_09935
ERR1913166.379130__1.379130	1262882__R5MYI1__BN519_00416
ERR1913166.379096__1.379096	338188__C9L2Y9__BACFIN_08971
ERR1913166.379299__1.379299	820__A0A139KHX1__HMPREF2141_00289
ERR1913166.379474__1.379474	556259__I0PXW0__BSGG_5187
ERR1913166.379587__1.379587	329854__A0A3E4IPA9__BACINT_02342
ERR1913166.379700__1.379700	820__A7V470__HMPREF1072_02076
ERR1913166.379667__1.379667	1262924__R7HLJ5__BN585_01491
ERR1913166.379780__1.379780	820__E5VEH7__ERS852459_01300
ERR1913166.379814__1.379814	301302__A0A0M6WV71__ERS852420_01279
ERR1913166.380001__1.380001	820__A0A3E4XM43__DXC91_13960
ERR1913166.380012__1.380012	820__A0A174Q0F0__DXB48_08080
ERR1913166.380310__1.380310	1550024__A0A0D8IYB1__TQ39_12130
ERR1913166.380331__1.380331	204516__U6R7Y8__HMPREF1534_03942
ERR1913166.380688__1.380688	39485__A0A174YNV0__cheW_1
ERR1913166.380790__1.380790	820__A0A3E4WCX3__C801_02709
ERR1913166.381055__1.381055	820__A0A3E4PYB0__yejM
ERR1913166.381075__1.381075	820__A0A3E4VXP2__yesR
ERR1913166.381282__1.381282	820__A0A139K9Q2__DXD40_08795
ERR1913166.381578__1.381578	820__A0A174F696__macB_13
ERR1913166.381773__1.381773	454154__G5SWP7__HMPREF9441_03820
ERR1913166.381782__1.381782	239935__A0A2N8ILG3__CXT93_10135
ERR1913166.381871__1.381871	823__K6A253__DHP27_13535
ERR1913166.381938__1.381938	338188__A0A174GWW7__ERS852397_02491
ERR1913166.381972__1.381972	39492__D4JSG7__EUBSIR_01006
ERR1913166.382008__1.382008	820__A0A3E4W9D9__B5G17_12400
ERR1913166.382056__1.382056	239935__B2UQP8__CXU15_01110
ERR1913166.382086__1.382086	820__A7UYX8__DXD40_11635
ERR1913166.382414__1.382414	823__A0A174MNW4__M091_0199
ERR1913166.382436__1.382436	1262882__R5MIC9__BN519_00834
ERR1913166.382530__1.382530	371601__D6CXF7__BN891_50120
ERR1913166.382582__1.382582	357276__A0A0K2HJA6__DXD47_07320
ERR1913166.382726__1.382726	820__A0A3E4VXP2__yesR
ERR1913166.382909__1.382909	820__A0A3E4VXP2__yesR
ERR1913166.382916__1.382916	487173__H1D1P5__HMPREF9453_01533
ERR1913166.382963__1.382963	820__A0A3E4WA06__ERS852554_03404
ERR1913166.383168__1.383168	487174__R5ER56__HMPREF9448_02812
ERR1913166.383263__1.383263	1262980__R5BM52__BN814_00030
ERR1913166.383433__1.383433	28111__E5X121__BACEGG_03113
ERR1913166.383619__1.383619	820__A0A174F696__macB_13
ERR1913166.383640__1.383640	820__R9HVB9__DXC68_17285
ERR1913166.383721__1.383721	1262882__R5MHQ8__BN519_00707
ERR1913166.383907__1.383907	820__A0A174TRB5__DXD40_11305
ERR1913166.383850__1.383850	446660__GCA_003428235.1_00344
ERR1913166.383975__1.383975	853__E2ZGD9__C7J97_11715
ERR1913166.384026__1.384026	820__A0A139KH21__DXC80_01780
ERR1913166.384228__1.384228	40518__R5E4X1__DXD93_05270
ERR1913166.384265__1.384265	820__A0A3E4G493__ERS417307_00253
ERR1913166.384345__1.384345	820__A0A173YYG4__evgS_3
ERR1913166.384551__1.384551	1262882__R5MND9__BN519_00831
ERR1913166.384571__1.384571	204516__U6REI9__HMPREF1534_02357
ERR1913166.384586__1.384586	820__A0A374Q854__HMPREF1073_03281
ERR1913166.384760__1.384760	371601__I9A9L0__BN890_10720
ERR1913166.384852__1.384852	1297617__A0A0S2W855__BIV19_10465
ERR1913166.384892__1.384892	674529__A0A174PUY5__SAMN05444400_103201
ERR1913166.385010__1.385010	820__A0A3E4XM43__DXC91_13960
ERR1913166.385091__1.385091	544645__A0A1U7LFJ1__DXC42_14695
ERR1913166.385169__1.385169	40518__R5DVX3__RBL263_01584
ERR1913166.385184__1.385184	820__A0A174M9V5__M093_0237
ERR1913166.385273__1.385273	820__R9I3Q7__HMPREF1072_01668
ERR1913166.385358__1.385358	820__A0A174TRB5__DXD40_11305
ERR1913166.385489__1.385489	338188__C9KYW9__ERS852397_01315
ERR1913166.385569__1.385569	328814__GCA_004558275.1_00072
ERR1913166.385580__1.385580	820__R7E9Z4__DXC68_06065
ERR1913166.385618__1.385618	39491__D4JMW8__ERS852497_01971
ERR1913166.385654__1.385654	820__A0A174F0C1__nreB
ERR1913166.385662__1.385662	820__A0A1T4IY71__HMPREF2141_02402
ERR1913166.385722__1.385722	1796613__A0A3A9BMY9__ADH74_00150
ERR1913166.385739__1.385739	1262882__R5MH82__BN519_00752
ERR1913166.385790__1.385790	820__A0A174G065__DXB62_08975
ERR1913166.385862__1.385862	338188__R6S8N0__BACFIN_06127
ERR1913166.385832__1.385832	239935__R6J9Y2__CXT85_07000
ERR1913166.385903__1.385903	820__A0A078STJ8__DXC68_04690
ERR1913166.385960__1.385960	28117__B0MXU6__ALIPUT_01958
ERR1913166.385990__1.385990	338188__R6RV06__HMPREF1057_00250
ERR1913166.385939__1.385939	371601__D7J175__DXD03_05675
ERR1913166.386060__1.386060	454155__F3QUC1__HMPREF9442_01791
ERR1913166.386106__1.386106	821__A0A174WBC9__ERS852556_03145
ERR1913166.386159__1.386159	1262992__R5DH34__BN795_00678
ERR1913166.386230__1.386230	39492__D4JSS2__EUBSIR_00553
ERR1913166.386281__1.386281	387090__S0F8B2__BACCOPRO_02129
ERR1913166.386336__1.386336	674529__R6V9C9__DXB21_16435
ERR1913166.386375__1.386375	1262882__R5MZ06__BN519_00492
ERR1913166.386383__1.386383	820__A0A3E4IBC1__M094_0628
ERR1913166.386464__1.386464	1550024__A0A0D8J0K7__TQ39_06245
ERR1913166.386624__1.386624	820__A0A139K0J1__HMPREF2141_03205
ERR1913166.386763__1.386763	820__A7UYX8__DXD40_11635
ERR1913166.386808__1.386808	820__A0A3E4IGA7__DXD40_07110
ERR1913166.386867__1.386867	47678__R5UZR1__CGC64_00800
ERR1913166.386884__1.386884	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913166.386897__1.386897	106588__A6NUL8__BACCAP_01900
ERR1913166.386941__1.386941	487174__R5EUJ8__DDY40_00460
ERR1913166.387010__1.387010	544645__A0A1U7L806__DXC42_13525
ERR1913166.387161__1.387161	214856__R6Y0B9__ERS852559_00164
ERR1913166.387079__1.387079	28111__E5WUE9__NCTC11155_01729
ERR1913166.387221__1.387221	821__A0A396F1N0__M099_1553
ERR1913166.387355__1.387355	1150298__R7JUX4__ERS852535_02669
ERR1913166.387705__1.387705	820__A0A139KH21__DXC80_01780
ERR1913166.387740__1.387740	820__A0A139KEW8__DXB64_06405
ERR1913166.387753__1.387753	820__A0A1Q6IDS8__chtA
ERR1913166.387823__1.387823	47678__R5U3L4__C5Z00_12600
ERR1913166.387870__1.387870	338188__A0A174ETX3__ERS852397_01955
ERR1913166.387948__1.387948	820__A0A3E4FZM1__adaA_2
ERR1913166.387979__1.387979	1262882__R5MYI1__BN519_00416
ERR1913166.387990__1.387990	357276__I9QWN0__ABI39_00335
ERR1913166.388145__1.388145	823__A0A073I9P2__CF162_18000
ERR1913166.388188__1.388188	820__A7V859__ERS852462_00341
ERR1913166.388414__1.388414	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1913166.388347__1.388347	487174__K0WWT0__DIT83_10190
ERR1913166.388438__1.388438	1262992__R5D3X7__BN795_00539
ERR1913166.388556__1.388556	39492__D4JSU6__dacB_3
ERR1913166.388561__1.388561	454155__F3QTI7__HMPREF9442_01505
ERR1913166.388770__1.388770	239935__A0A2N8HTZ8__CXU09_01270
ERR1913166.388793__1.388793	820__A0A3E4VXP2__yesR
ERR1913166.389043__1.389043	1262882__R5MYS9__BN519_00290
ERR1913166.389083__1.389083	1262882__R5MIC9__BN519_00834
ERR1913166.389263__1.389263	820__A0A078STJ8__DXC68_04690
ERR1913166.389270__1.389270	214856__A0A174Z5D7__ERS852447_00499
ERR1913166.389372__1.389372	1262989__R6YF14__BN815_00533
ERR1913166.389418__1.389418	820__A0A174M9V5__M093_0237
ERR1913166.389465__1.389465	1262882__A0A356PSJ4__BN519_01180
ERR1913166.389421__1.389421	1262882__R5MMD8__BN519_01576
ERR1913166.389601__1.389601	39492__R6SA81__EUBSIR_00402
ERR1913166.389872__1.389872	39492__D4JR20__trmD
ERR1913166.390373__1.390373	47678__R5U558__ERS852558_02232
ERR1913166.390354__1.390354	239935__A0A3F3K9J9__DEF40_00940
ERR1913166.390413__1.390413	39492__D4JQY4__EUBSIR_01325
ERR1913166.390423__1.390423	674529__R6V7P0__SAMN05444400_102331
ERR1913166.390607__1.390607	410072__C0BF38__DXD67_15395
ERR1913166.390735__1.390735	820__A7VAS1__HMPREF2141_03259
ERR1913166.390804__1.390804	387090__S0F7Y3__BACCOPRO_02028
ERR1913166.390834__1.390834	28111__R5K5Y3__BACEGG_03205
ERR1913166.391072__1.391072	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1913166.391073__1.391073	1550024__A0A3B9WEL2__TQ39_11090
ERR1913166.391075__1.391075	1262882__R5N4D8__BN519_01497
ERR1913166.391111__1.391111	338188__A0A1Q6HJ51__endOF1_2
ERR1913166.391151__1.391151	820__A0A3E4FZM1__adaA_2
ERR1913166.391156__1.391156	1796613__A0A1C7GYD6__A4V03_03700
ERR1913166.391197__1.391197	329854__R7DLP0__DXD27_18335
ERR1913166.391198__1.391198	329854__R7DLP0__DXD27_18335
ERR1913166.391233__1.391233	239935__A0A2N8IVR0__CXT87_07115
ERR1913166.391359__1.391359	1262746__R5SS80__BN750_02125
ERR1913166.391366__1.391366	820__R9HXK9__DXB62_08265
ERR1913166.391520__1.391520	204516__U6RN30__HMPREF1534_00370
ERR1913166.391718__1.391718	1105171__GeneID:11605488
ERR1913166.391866__1.391866	239935__A0A2N8HH03__CXU09_08875
ERR1913166.391868__1.391868	820__A0A174CG08__DXB62_13215
ERR1913166.391813__1.391813	1262980__R5BZQ1__BN814_00049
ERR1913166.391911__1.391911	1262882__R5N532__BN519_01420
ERR1913166.391946__1.391946	1262882__R5MYX5__BN519_00333
ERR1913166.392285__1.392285	820__A0A3E4RUC4__DHU98_02635
ERR1913166.392356__1.392356	204516__U6R7Y8__HMPREF1534_03942
ERR1913166.392348__1.392348	204516__U6R8I1__HMPREF1534_03341
ERR1913166.392526__1.392526	487174__K0X1D9__HMPREF9448_00919
ERR1913166.392582__1.392582	1262882__R5MHQ8__BN519_00707
ERR1913166.392821__1.392821	820__A0A1T4IYF4__mprA_1
ERR1913166.392941__1.392941	1262911__R6H2J2__BN557_01228
ERR1913166.392963__1.392963	487174__K0X524__DDY40_09270
ERR1913166.392995__1.392995	1262882__R5MT42__BN519_01729
ERR1913166.393318__1.393318	820__A0A3E4VZY4__ERS852554_01211
ERR1913166.393340__1.393340	821__C6ZAA5__ERS852556_00403
ERR1913166.393360__1.393360	820__A0A139KHX1__HMPREF2141_00289
ERR1913166.393493__1.393493	1262882__R5MHZ2__BN519_00742
ERR1913166.393566__1.393566	820__A0A3E4FWC8__DXC91_14635
ERR1913166.393579__1.393579	820__A0A174F0C1__nreB
ERR1913166.393622__1.393622	204516__U6R8I1__HMPREF1534_03341
ERR1913166.393671__1.393671	40518__R5E175__RB5AMG_00757
ERR1913166.393812__1.393812	1262882__R5MEN9__BN519_00201
ERR1913166.393922__1.393922	371601__F7M0X2__BN890_46510
ERR1913166.393891__1.393891	310298__B3JQJ5__BACCOP_04231
ERR1913166.393983__1.393983	329854__A0A3E4IPA9__BACINT_02342
ERR1913166.394005__1.394005	371601__A0A3E4NKK5__B5E52_17685
ERR1913166.394104__1.394104	820__A0A174QLF0__SAMN05444418_109151
ERR1913166.394105__1.394105	820__A0A174QLF0__SAMN05444418_109151
ERR1913166.394271__1.394271	1262882__R5MF51__BN519_00287
ERR1913166.394446__1.394446	820__A0A139K4T0__ERS852510_03146
ERR1913166.394481__1.394481	204516__U6R7Y8__HMPREF1534_03942
ERR1913166.394494__1.394494	40518__R5E6K5__speA
ERR1913166.394587__1.394587	74426__group_4808
ERR1913166.394602__1.394602	204516__U6R9E6__HMPREF1534_03149
ERR1913166.394677__1.394677	1550024__G9RXY7__TQ39_00100
ERR1913166.394884__1.394884	820__A7VAS1__HMPREF2141_03259
ERR1913166.394956__1.394956	818__A0A0N7I9H8__ERS852461_00040
ERR1913166.395229__1.395229	329854__A0A3E4IQD7__BACINT_01717
ERR1913166.395237__1.395237	1262882__R5MN65__BN519_00771
ERR1913166.395318__1.395318	820__A0A374QGD2__ERS852421_02382
ERR1913166.395485__1.395485	1262882__R5MKV8__BN519_01281
ERR1913166.395465__1.395465	820__A0A1Q6IDS8__chtA
ERR1913166.395620__1.395620	204516__U6RFB2__HMPREF1534_01733
ERR1913166.395681__1.395681	1550024__G9RWD3__ASJ35_03625
ERR1913166.395732__1.395732	28116__A0A1Y4Q112__evgS_13
ERR1913166.395755__1.395755	35833__E5YAA4__HMPREF0179_03124
ERR1913166.395763__1.395763	820__A0A396EUU8__luxQ_3
ERR1913166.395943__1.395943	39485__A0A174YW66__ERS852490_03040
ERR1913166.395989__1.395989	487174__K0XA48__DDY40_03955
ERR1913166.396140__1.396140	487174__K0X694__DIT83_09060
ERR1913166.396225__1.396225	39485__C4Z355__ERS852490_01971
ERR1913166.396236__1.396236	820__A0A139K9Q2__DXD40_08795
ERR1913166.396250__1.396250	853__A0A2A7B9I6__DW855_13690
ERR1913166.396398__1.396398	820__A0A396CMY7__HMPREF1072_03009
ERR1913166.396344__1.396344	1262743__R5C3K9__BN727_00605
ERR1913166.396429__1.396429	820__R9I3Q7__HMPREF1072_01668
ERR1913166.396452__1.396452	1262882__R5MKV8__BN519_01281
ERR1913166.396490__1.396490	39492__D4JVG1__ERS852540_00951
ERR1913166.396670__1.396670	820__A0A396EXA7__DXB37_15530
ERR1913166.396692__1.396692	1262882__R5MHZ2__BN519_00742
ERR1913166.397004__1.397004	487174__R5FN40__HMPREF9448_01366
ERR1913166.397016__1.397016	1262882__R5MND9__BN519_00831
ERR1913166.397062__1.397062	820__A0A396EUU8__luxQ_3
ERR1913166.397135__1.397135	823__A0A395YRX4__ERS852513_03444
ERR1913166.397455__1.397455	46503__R6X0L4__DXB61_05325
ERR1913166.397541__1.397541	28116__A0A078Q626__HMPREF1070_02735
ERR1913166.397554__1.397554	820__A0A174CG08__DXB62_13215
ERR1913166.398051__1.398051	820__A0A174G065__DXB62_08975
ERR1913166.398099__1.398099	820__A0A1T4IYF4__mprA_1
ERR1913166.398277__1.398277	35833__S2KTV4__HMPREF0179_05216
ERR1913166.398308__1.398308	823__A0A173W404__DHP27_04905
ERR1913166.398937__1.398937	820__A0A173YYG4__evgS_3
ERR1913166.399073__1.399073	820__R9I3Q7__HMPREF1072_01668
ERR1913166.399444__1.399444	1262882__R5MRT2__BN519_01494
ERR1913166.399501__1.399501	820__A0A139K4T0__ERS852510_03146
ERR1913166.399502__1.399502	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913166.399548__1.399548	820__R9I3N4__M093_0061
ERR1913166.399596__1.399596	820__A0A174KKV6__DXC07_02635
ERR1913166.399622__1.399622	1262882__R5MFA5__BN519_00331
ERR1913166.399758__1.399758	46503__A7AGD9__HMPREF1078_01631
ERR1913166.399825__1.399825	820__A7V8C2__ERS852554_01338
ERR1913166.399945__1.399945	821__A0A0P0M2J4__DXD46_10295
ERR1913166.400073__1.400073	820__A7UYG6__M094_0070
ERR1913166.400319__1.400319	820__A7VAR9__ERS852421_00197
ERR1913166.400432__1.400432	246787__R6KBH9__HMPREF1062_04676
ERR1913166.400502__1.400502	820__A0A174QLF0__SAMN05444418_109151
ERR1913166.400601__1.400601	820__A0A174A6K0__M093_0079
ERR1913166.400627__1.400627	820__A7V470__HMPREF1072_02076
ERR1913166.400739__1.400739	820__A0A139KH21__DXC80_01780
ERR1913166.400922__1.400922	39492__D4JTH4__ERS852540_00702
ERR1913166.400947__1.400947	1262882__R5MY46__BN519_00355
ERR1913166.400996__1.400996	1263044__GCA_000433375.1_01404
ERR1913166.401087__1.401087	820__A0A174EV88__HMPREF1072_01427
ERR1913166.401109__1.401109	239935__A0A2N8IU14__ADH72_05655
ERR1913166.401158__1.401158	820__A0A1Y3V743__M093_0235
ERR1913166.401296__1.401296	820__A0A139KHX1__HMPREF2141_00289
ERR1913166.401320__1.401320	1262746__R5SS80__BN750_02125
ERR1913166.401340__1.401340	820__A0A396EUU8__luxQ_3
ERR1913166.401375__1.401375	820__A0A396EUU8__luxQ_3
ERR1913166.401515__1.401515	1262924__R7HKZ9__BN585_01304
ERR1913166.401694__1.401694	39492__D4JQY4__EUBSIR_01325
ERR1913166.401658__1.401658	204516__U6RNE3__HMPREF1534_00331
ERR1913166.401785__1.401785	820__A7UYG6__M094_0070
ERR1913166.401826__1.401826	1680__A0A087DSA4__B5789_0495
ERR1913166.401774__1.401774	28118__F9Z5A4__DHW44_14035
ERR1913166.401897__1.401897	487173__H1D1P4__HMPREF9453_01532
ERR1913166.401939__1.401939	1262882__R5MRT2__BN519_01494
ERR1913166.401996__1.401996	820__A7V9F9__B5G17_14640
ERR1913166.402010__1.402010	820__A0A3E4VZY4__ERS852554_01211
ERR1913166.402033__1.402033	46503__A7AG53__DD461_14240
ERR1913166.402374__1.402374	674529__A0A174EXC1__DXB21_01255
ERR1913166.402621__1.402621	818__A0A0N7I9H8__ERS852461_00040
ERR1913166.402676__1.402676	46503__A0A3E4ZQ73__ERS852463_01043
ERR1913166.402703__1.402703	1262882__R5MGS8__BN519_00565
ERR1913166.402775__1.402775	1262882__R5MHZ2__BN519_00742
ERR1913166.402842__1.402842	100884__E7GCJ1__DXB30_02400
ERR1913166.402853__1.402853	1262924__R7HQX0__BN585_00307
ERR1913166.403407__1.403407	329854__B3C6W9__DXD27_08895
ERR1913166.403424__1.403424	820__A0A3E4PYB0__yejM
ERR1913166.403472__1.403472	40518__R5DXI4__DXD86_07420
ERR1913166.403546__1.403546	820__A0A139KHX1__HMPREF2141_00289
ERR1913166.403592__1.403592	28111__R5K5V1__NCTC11155_02461
ERR1913166.404267__1.404267	1262980__R5BZQ1__BN814_00049
ERR1913166.404392__1.404392	820__A0A3E4WCX3__C801_02709
ERR1913166.404560__1.404560	820__A0A173YYG4__evgS_3
ERR1913166.404619__1.404619	47678__R5U4P2__CGC64_17185
ERR1913166.404723__1.404723	1262882__R5N1T9__BN519_00804
ERR1913166.404745__1.404745	47678__A5ZF31__DXB67_11050
ERR1913166.404764__1.404764	329854__R5M1Z2__DXD57_10480
ERR1913166.404799__1.404799	674529__R6W4Y1__SAMN05444400_11574
ERR1913166.404948__1.404948	454154__G5SPR9__HMPREF9441_01352
ERR1913166.404995__1.404995	1262911__R6HG22__BN557_01336
ERR1913166.405040__1.405040	820__A0A374MMF0__HMPREF1073_03811
ERR1913166.405395__1.405395	674529__A0A174K9D7__SAMN05444400_1164
ERR1913166.405527__1.405527	246787__E2N7G0__resA_6
ERR1913166.405619__1.405619	1262924__R7HQD9__BN585_00129
ERR1913166.405669__1.405669	1780381__A0A143ZVW4__BN3661_01482
ERR1913166.405632__1.405632	28116__A0A078Q626__HMPREF1070_02735
ERR1913166.405711__1.405711	820__A0A374Q854__HMPREF1073_03281
ERR1913166.406126__1.406126	820__E5VEH7__ERS852459_01300
ERR1913166.406530__1.406530	820__A0A173W419__DXC68_17760
ERR1913166.406641__1.406641	1262743__R5C7D3__BN727_00606
ERR1913166.406688__1.406688	820__R9I3Q7__HMPREF1072_01668
ERR1913166.406815__1.406815	820__A0A139K8N1__ERS852554_00951
ERR1913166.407029__1.407029	204516__U6R9H3__HMPREF1534_03348
ERR1913166.407036__1.407036	1262882__R5MJ49__BN519_01124
ERR1913166.407022__1.407022	1150298__A0A174IG30__ERS852535_01135
ERR1913166.407059__1.407059	1262992__R5DBS7__BN795_00217
ERR1913166.407119__1.407119	820__A0A174CG08__DXB62_13215
ERR1913166.407143__1.407143	310298__B3JQJ5__BACCOP_04231
ERR1913166.407178__1.407178	1150298__R7JRK4__ERS852406_01648
ERR1913166.407191__1.407191	28116__A0A078Q7C2__DHW41_14520
ERR1913166.407407__1.407407	1262924__R7HQB3__BN585_00435
ERR1913166.407506__1.407506	820__A0A3E4QZJ7__C801_01798
ERR1913166.407866__1.407866	40518__R5DN55__RBATCC27255_01652
ERR1913166.407769__1.407769	820__A0A396EWL3__ERS417307_03868
ERR1913166.408203__1.408203	820__A7VAR9__ERS852421_00197
ERR1913166.408217__1.408217	820__A0A1T4IYF4__mprA_1
