ERR1912964.104__1.104	1680__A0A087DKM6__B0042_0664
ERR1912964.2499931__1.2499931	1161942__corC_3
ERR1912964.2500055__1.2500055	944036__A0A196S4S6__AV274_6233
ERR1912964.2500075__1.2500075	1735__B7CDQ1__EUBIFOR_02334
ERR1912964.2500209__1.2500209	853__A0A2J4JL53__CRH10_10795
ERR1912964.2500469__1.2500469	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1912964.2500476__1.2500476	165179__A0A174IYW3__DXC61_01235
ERR1912964.2500519__1.2500519	239935__A0A2N8HUU6__CXT90_06150
ERR1912964.2500669__1.2500669	901__B6WV59__feoB
ERR1912964.2500884__1.2500884	33043__A0A173YYE7__ERS852445_00670
ERR1912964.2501017__1.2501017	301301__G2SZ66__RHOM_00485
ERR1912964.2501176__1.2501176	239935__A0A139TQT9__Amuc_1197
ERR1912964.2501352__1.2501352	33043__D5HHE4__ERS852445_02332
ERR1912964.2501474__1.2501474	40518__R5E2R8__nnr_2
ERR1912964.2501802__1.2501802	1897011__A0A1Q6RE52__BHW41_04690
ERR1912964.2502060__1.2502060	1680__A0A087DLC6__C8077_00815
ERR1912964.2502150__1.2502150	1150298__A0A174K7D2__ERS852498_01147
ERR1912964.2502159__1.2502159	853__A0A173XRA8__CGS56_09290
ERR1912964.2502300__1.2502300	1262761__R6RU22__BN606_01110
ERR1912964.2502327__1.2502327	1150298__R7JPI7__cotI
ERR1912964.2502570__1.2502570	33043__A0A174CV49__ERS852386_02395
ERR1912964.2502616__1.2502616	610243__A0A060QJF7__ASAP_2763
ERR1912964.2502664__1.2502664	165179__A0A3E5E9I4__DXB80_09745
ERR1912964.2502934__1.2502934	1897011__A0A1Q6RE52__BHW41_04690
ERR1912964.2503299__1.2503299	1262915__R6HPP4__BN574_00486
ERR1912964.2503489__1.2503489	853__A0A2A7B1Y7__C7K05_11930
ERR1912964.2503525__1.2503525	239935__A0A2N8ITG2__Amuc_0335
ERR1912964.2503677__1.2503677	165179__A0A3E5E189__PREVCOP_06699
ERR1912964.2503742__1.2503742	33043__A0A174B7D6__ERS852400_01331
ERR1912964.2503751__1.2503751	901__B6WW58__DHV46_03340
ERR1912964.2503815__1.2503815	239935__A0A2N8IMC3__CXT96_03840
ERR1912964.2503896__1.2503896	1262761__R6QVL2__BN606_00807
ERR1912964.2503982__1.2503982	1680__R5GRA4__ERS852382_01548
ERR1912964.2503994__1.2503994	1263000__R5EMC8__BN466_00317
ERR1912964.2504018__1.2504018	1262761__R6QU78__BN606_01972
ERR1912964.2504184__1.2504184	821__E5UY21__C800_02204
ERR1912964.2504270__1.2504270	1263000__R5EGY6__BN466_00973
ERR1912964.2504439__1.2504439	33043__A0A173QUA9__ERS852400_01795
ERR1912964.2504676__1.2504676	1897011__A0A1Q6RJV1__BHW41_00035
ERR1912964.2504802__1.2504802	1680__A0A087DHN0__AL0462_1532
ERR1912964.2504855__1.2504855	1235835__R9LCU2__C814_02677
ERR1912964.2504898__1.2504898	1263027__R7AUM6__BN699_01826
ERR1912964.2504926__1.2504926	165179__D1P8V8__DXC61_01940
ERR1912964.2505001__1.2505001	1262869__R7CPR8__BN625_01586
ERR1912964.2505033__1.2505033	33043__A0A174CPX4__ERS852386_02360
ERR1912964.2505337__1.2505337	239935__A0A2N8IRW0__A4V05_11620
ERR1912964.2505405__1.2505405	33043__D5HFA1__ERS852400_02183
ERR1912964.2505658__1.2505658	820__A0A174F696__macB_13
ERR1912964.2505673__1.2505673	301302__R5UK77__M72_08681
ERR1912964.2506075__1.2506075	384638__B7APN3__BACPEC_00639
ERR1912964.2506102__1.2506102	74426__thrZ
ERR1912964.2506258__1.2506258	1680__A0A374QDL4__LMG18897_0432
ERR1912964.2506354__1.2506354	1262761__R6RU22__BN606_01110
ERR1912964.2506527__1.2506527	1262761__R6R1G2__BN606_01397
ERR1912964.2506573__1.2506573	28117__B0MY40__BHV66_05170
ERR1912964.2506859__1.2506859	1297617__A0A0S2W6K9__C7373_1053
ERR1912964.2506867__1.2506867	1262911__R6H0U7__BN557_01104
ERR1912964.2507245__1.2507245	39485__C4Z6V1__ERS852492_02640
ERR1912964.2507332__1.2507332	292800__A0A174RYT6__HMPREF9460_02288
ERR1912964.2507358__1.2507358	1262989__R6ZDI0__BN815_00876
ERR1912964.2507426__1.2507426	216816__B7GPE8__I118_0062
ERR1912964.2507667__1.2507667	33043__A0A174B7D6__ERS852400_01331
ERR1912964.2507809__1.2507809	630129__A0A087AXF3__BBKW_0099
ERR1912964.2507888__1.2507888	1680__R5GSL8__DXD60_03315
ERR1912964.2507972__1.2507972	33043__A0A173WTV6__ERS852400_02153
ERR1912964.2508050__1.2508050	1304__J7SI54__NCTC7366_00129
ERR1912964.2508182__1.2508182	823__A0A395YZ10__NCTC11152_02955
ERR1912964.2508446__1.2508446	1897011__A0A1Q6RDX8__BHW41_05330
ERR1912964.2508458__1.2508458	33043__D5HF50__ERS852386_02415
ERR1912964.2508824__1.2508824	552398__F4XHI7__HMPREF0866_03091
ERR1912964.2508853__1.2508853	239935__A0A2N8HBM4__CXT85_06270
ERR1912964.2508999__1.2508999	239935__A0A2N8HBP0__CXT94_04450
ERR1912964.2509056__1.2509056	1262761__R6RPK4__BN606_00541
ERR1912964.2509040__1.2509040	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1912964.2509131__1.2509131	853__A8SB03__C4Q21_07960
ERR1912964.2509226__1.2509226	33043__D5HIC8__vspIM
ERR1912964.2509221__1.2509221	1262761__R6QR72__BN606_01181
ERR1912964.2509427__1.2509427	820__E5VEH7__ERS852459_01300
ERR1912964.2509697__1.2509697	239935__A0A139TPU7__CXT91_06575
ERR1912964.2509853__1.2509853	33043__D5HIV9__pstS_2
ERR1912964.2509906__1.2509906	1262825__R5EAF0__BN724_01054
ERR1912964.2509974__1.2509974	33043__A0A173ZZ54__ERS852400_00193
ERR1912964.2509936__1.2509936	239935__A0A2N8HBP0__CXT94_04450
ERR1912964.2509940__1.2509940	239935__B2UPZ6__CXU03_03800
ERR1912964.2510205__1.2510205	165179__W1I4H6__DXB80_13655
ERR1912964.2510334__1.2510334	239935__A0A2N8ITW6__CXT91_06265
ERR1912964.2510542__1.2510542	165179__A0A3E5EAM8__PREVCOP_03872
ERR1912964.2510629__1.2510629	33043__D5HJ22__ERS852575_02302
ERR1912964.2510806__1.2510806	239935__A0A2N8J1K0__CXT97_05765
ERR1912964.2510923__1.2510923	853__A0A173YYY4__DWZ04_09420
ERR1912964.2510954__1.2510954	33043__D5HEL7__ERS852400_00347
ERR1912964.2510992__1.2510992	901__B6WUN6__DHV46_11020
ERR1912964.2511142__1.2511142	1262961__R6E698__BN710_01517
ERR1912964.2511188__1.2511188	944036__A0A196SB73__AV274_4767
ERR1912964.2511302__1.2511302	33043__A0A173WTR4__ERS852386_00324
ERR1912964.2511329__1.2511329	820__A0A3E4W9D9__B5G17_12400
ERR1912964.2511423__1.2511423	165179__A0A174XZU8__DXB80_12180
ERR1912964.2511550__1.2511550	1262761__R6QU88__BN606_01983
ERR1912964.2511592__1.2511592	1262761__R6R744__BN606_01303
ERR1912964.2511789__1.2511789	33043__A0A173YYE7__ERS852445_00670
ERR1912964.2511975__1.2511975	1262761__R6RU22__BN606_01110
ERR1912964.2512064__1.2512064	1235835__R9LCU2__C814_02677
ERR1912964.2512276__1.2512276	820__A0A174KKV6__DXC07_02635
ERR1912964.2512377__1.2512377	901__B6WTX7__DESPIGER_1193
ERR1912964.2512586__1.2512586	165179__A0A3E4SDC8__PREVCOP_05706
ERR1912964.2512679__1.2512679	33043__A0A173X520__ERS852575_01617
ERR1912964.2512704__1.2512704	239935__A0A2N8HS88__CXU19_12255
ERR1912964.2512719__1.2512719	762211__A0A087DH98__BSTEL_1561
ERR1912964.2512844__1.2512844	1680__R5GZJ8__BSTER_1195
ERR1912964.2512929__1.2512929	853__A0A174BZY1__xerD_1
ERR1912964.2512962__1.2512962	239935__A0A2N8I5H6__CXT92_05565
ERR1912964.2513053__1.2513053	853__A0A173T6P2__DWZ46_14595
ERR1912964.2513104__1.2513104	1262869__R7CTK7__BN625_00203
ERR1912964.2513125__1.2513125	239935__R7E524__CXT91_06180
ERR1912964.2513237__1.2513237	33043__A0A173WU55__ganB_2
ERR1912964.2513493__1.2513493	239935__A0A2N8HZW2__A4V05_11120
ERR1912964.2513577__1.2513577	1262927__R7F051__BN677_01539
ERR1912964.2513929__1.2513929	1262761__R6QMI9__BN606_00798
ERR1912964.2514249__1.2514249	901__A0A1K1LFD7__DHV46_01840
ERR1912964.2514270__1.2514270	239935__A0A2N8IMC3__CXT96_03840
ERR1912964.2514351__1.2514351	901__B6WQM5__cobM
ERR1912964.2514369__1.2514369	1897011__A0A1Q6RG59__BHW41_02475
ERR1912964.2514486__1.2514486	28117__R7JJM9__ALIPUT_00662
ERR1912964.2514551__1.2514551	572010__pnp
ERR1912964.2514566__1.2514566	1161942__celE_3
ERR1912964.2514741__1.2514741	1472761__GCA_002159295.1_00744
ERR1912964.2514916__1.2514916	239935__B2UNC5__B5G29_07685
ERR1912964.2514920__1.2514920	384638__B7ARA6__BACPEC_01216
ERR1912964.2514958__1.2514958	1262986__R6A7E7__BN492_00251
ERR1912964.2515040__1.2515040	1263000__R5ETL6__BN466_01607
ERR1912964.2515052__1.2515052	1161942__capA
ERR1912964.2515079__1.2515079	147206__GCF_000156215.1_01920
ERR1912964.2515097__1.2515097	33043__D5HFD3__ybbD
ERR1912964.2515190__1.2515190	39485__A0A175A403__EUBELI_20577
ERR1912964.2515302__1.2515302	33043__A0A173S5P8__ERS852445_00566
ERR1912964.2515699__1.2515699	239935__A0A2N8IU14__ADH72_05655
ERR1912964.2515710__1.2515710	1263000__R5EU91__BN466_01432
ERR1912964.2515711__1.2515711	1262761__R6R744__BN606_01303
ERR1912964.2515870__1.2515870	239935__A0A2N8IXN0__CXT95_01765
ERR1912964.2516047__1.2516047	1263000__R5EXT3__BN466_02213
ERR1912964.2516113__1.2516113	147206__GCF_000156215.1_01777
ERR1912964.2516281__1.2516281	239935__A0A2N8HHY4__DEF40_10850
ERR1912964.2516324__1.2516324	1262911__R6GHG8__BN557_01301
ERR1912964.2516339__1.2516339	40518__R5DZC6__mreC
ERR1912964.2516425__1.2516425	310297__B5CUD7__BHV76_11070
ERR1912964.2516667__1.2516667	745368__A0A1T4Y963__SAMN02745178_02859
ERR1912964.2516764__1.2516764	384639__GCA_003096855.1_00973
ERR1912964.2516793__1.2516793	239935__A0A2N8IU45__DEF40_02365
ERR1912964.2516884__1.2516884	165179__R6CNX7__DXB80_02200
ERR1912964.2516964__1.2516964	1520815__A0A1I3NYV4__SAMN02910435_01437
ERR1912964.2517028__1.2517028	165179__A0A229I2W6__PREVCOP_04332
ERR1912964.2517293__1.2517293	239935__A0A2N8IQU3__CXU22_05890
ERR1912964.2517569__1.2517569	1161942__colA
ERR1912964.2517644__1.2517644	246787__A0A3D6B2C7__BcellWH2_03259
ERR1912964.2517683__1.2517683	1262761__R6RNL8__BN606_00387
ERR1912964.2517844__1.2517844	165179__A0A3E5DX15__DXC61_00345
ERR1912964.2517900__1.2517900	1680__A0A2R4G1K8__BBMN23_0315
ERR1912964.2517954__1.2517954	33043__D5HI50__smf
ERR1912964.2518114__1.2518114	33043__A0A3A6J8T3__yvhJ
ERR1912964.2518199__1.2518199	165179__A0A3E5DWQ1__DXB80_06635
ERR1912964.2518204__1.2518204	214856__R6Y6H8__ERS852447_01719
ERR1912964.2518276__1.2518276	78346__A0A087D3Y1__BRUM_1576
ERR1912964.2518334__1.2518334	292800__G9YVI7__yrrB
ERR1912964.2518847__1.2518847	1897011__A0A1Q6RFH2__BHW41_03500
ERR1912964.2518958__1.2518958	1263027__R6ZKH6__BN699_02129
ERR1912964.2518991__1.2518991	239935__A0A2N8IUW6__Amuc_1525
ERR1912964.2519066__1.2519066	165179__A0A3E5A832__DXC61_13685
ERR1912964.2519110__1.2519110	239935__A0A139TMG9__CXU07_10650
ERR1912964.2519222__1.2519222	328814__GCA_004558275.1_00056
ERR1912964.2519727__1.2519727	165179__A0A3E5E8N5__DXC61_13460
ERR1912964.2520026__1.2520026	1263000__R5EET9__BN466_01245
ERR1912964.2520159__1.2520159	1897011__A0A1Q6RDV6__BHW41_05295
ERR1912964.2520267__1.2520267	33043__A0A174H1B6__ERS852575_02702
ERR1912964.2520337__1.2520337	1161942__celI_5
ERR1912964.2520426__1.2520426	1262911__R6H1D2__BN557_00855
ERR1912964.2520491__1.2520491	239935__A0A2N8I3G2__CXT89_00720
ERR1912964.2520673__1.2520673	33043__D5HHZ6__ERS852386_02725
ERR1912964.2520849__1.2520849	853__C7H1R8__DW905_06675
ERR1912964.2520926__1.2520926	35833__S2KTV4__HMPREF0179_05216
ERR1912964.2521657__1.2521657	28116__F7L4X5__M089_2857
ERR1912964.2521718__1.2521718	33043__A0A173XM20__ERS852445_01573
ERR1912964.2521870__1.2521870	360807__A0A173VD35__suhB
ERR1912964.2522474__1.2522474	246787__A0A0P0GK12__BcellWH2_04154
ERR1912964.2522506__1.2522506	239935__A0A2N8HAQ1__DEF40_05290
ERR1912964.2522762__1.2522762	239935__A0A139TQT9__Amuc_1197
ERR1912964.2522901__1.2522901	74426__rpoC
ERR1912964.2522996__1.2522996	487174__K0X1V7__DIT83_03020
ERR1912964.2523197__1.2523197	328814__GCA_004558275.1_00288
ERR1912964.2523592__1.2523592	239935__A0A2N8I6R6__CXU04_04335
ERR1912964.2523656__1.2523656	1680__A0A087DLC6__C8077_00815
ERR1912964.2523815__1.2523815	1262911__R6GT99__BN557_01335
ERR1912964.2523976__1.2523976	1262911__R6GT99__BN557_01335
ERR1912964.2524059__1.2524059	853__A0A174C5M1__CGS58_04460
ERR1912964.2524085__1.2524085	246787__A0A139L268__BcellWH2_03192
ERR1912964.2524320__1.2524320	33043__D5HFE3__lacR
ERR1912964.2524446__1.2524446	853__A0A3E2V168__FAEPRAM212_00929
ERR1912964.2524473__1.2524473	74426__nifJ
ERR1912964.2524516__1.2524516	88431__A6BJD4__DXB16_02900
ERR1912964.2524553__1.2524553	33043__D5HI09__ERS852575_02656
ERR1912964.2524781__1.2524781	301301__A0A395VC27__adaA_5
ERR1912964.2524798__1.2524798	33043__A0A173WU55__ganB_2
ERR1912964.2524854__1.2524854	901__A0A1K1LGQ2__DESPIG_02072
ERR1912964.2524869__1.2524869	165179__R6CNX7__DXB80_02200
ERR1912964.2524873__1.2524873	33043__A0A174EE68__rimP
ERR1912964.2524886__1.2524886	1680__A0A2R4G1K8__BBMN23_0315
ERR1912964.2525051__1.2525051	165179__D1PDF6__DXB80_12430
ERR1912964.2525155__1.2525155	165179__A0A229I740__DXC61_10430
ERR1912964.2525295__1.2525295	1161942__cadA_1
ERR1912964.2525352__1.2525352	1262945__R6YTV0__BN600_01131
ERR1912964.2525525__1.2525525	301302__A0A0M6WVU2__M72_13551
ERR1912964.2525609__1.2525609	853__D4JY61__C4N21_10560
ERR1912964.2525641__1.2525641	33043__A0A173WZE5__ERS852386_00374
ERR1912964.2525663__1.2525663	310297__R5VWM0__DXB87_05840
ERR1912964.2525704__1.2525704	901__B6WR27__lnt
ERR1912964.2525711__1.2525711	853__A0A173YYY4__DWZ04_09420
ERR1912964.2525803__1.2525803	1262992__R5DDW9__BN795_00572
ERR1912964.2525814__1.2525814	1262761__R6QS33__BN606_00308
ERR1912964.2526024__1.2526024	1680__A0A2R4G1K8__BBMN23_0315
ERR1912964.2526252__1.2526252	33043__A0A173X520__ERS852575_01617
ERR1912964.2526408__1.2526408	1262945__R6YL13__BN600_00850
ERR1912964.2526652__1.2526652	28117__B0MYI9__BHV66_05415
ERR1912964.2526826__1.2526826	33043__A8SPT5__yfiN_2
ERR1912964.2526995__1.2526995	239935__A0A2N8HT44__CXT84_11035
ERR1912964.2527019__1.2527019	165179__A0A3E5DZD8__DXB80_09150
ERR1912964.2527193__1.2527193	239935__A0A2N8HH03__CXU09_08875
ERR1912964.2527335__1.2527335	1965604__A0A1Y4F2L1__B5F54_04645
ERR1912964.2527356__1.2527356	165179__D1PE06__DXC61_05975
ERR1912964.2527645__1.2527645	165179__A0A174XZU8__DXB80_12180
ERR1912964.2527690__1.2527690	1897011__A0A1Q6RE78__BHW41_04770
ERR1912964.2527771__1.2527771	33043__D5HIS6__ERS852575_02019
ERR1912964.2527892__1.2527892	239935__A0A2N8I6R6__CXU04_04335
ERR1912964.2528135__1.2528135	28117__R7JPX7__BHV66_00900
ERR1912964.2528322__1.2528322	239935__A0A2N8ITW6__CXT91_06265
ERR1912964.2528344__1.2528344	944036__A0A196SA43__AV274_5341
ERR1912964.2528456__1.2528456	1680__A0A3E4SB79__BAD_1517
ERR1912964.2528658__1.2528658	310297__B5CWQ0__DXB87_14670
ERR1912964.2528875__1.2528875	745368__A0A1T4XQZ9__SAMN02745178_02185
ERR1912964.2528921__1.2528921	1680__A0A0B5BIU5__BSTER_0145
ERR1912964.2528963__1.2528963	853__A0A174BZY1__xerD_1
ERR1912964.2529113__1.2529113	1262869__R7CNN0__BN625_01419
ERR1912964.2529190__1.2529190	1262915__R6HPJ0__BN574_00421
ERR1912964.2529219__1.2529219	1550024__G9RQ11__ASJ35_08685
ERR1912964.2529295__1.2529295	40518__R5DPA7__RBATCC27255_01319
ERR1912964.2529300__1.2529300	1680__A0A173W5Z2__DXC53_01290
ERR1912964.2529433__1.2529433	301302__A0A0M6X0D2__cpsB_2
ERR1912964.2529456__1.2529456	901__B6WQ99__BHW59_02695
ERR1912964.2529466__1.2529466	239935__B2UQB8__CXT86_01740
ERR1912964.2529516__1.2529516	33043__A0A174D8D4__ERS852386_02537
ERR1912964.2529620__1.2529620	1680__A0A2R4G1K8__BBMN23_0315
ERR1912964.2529666__1.2529666	384638__B7ANZ3__BACPEC_00397
ERR1912964.2529676__1.2529676	28117__B0MXR4__BHV66_08025
ERR1912964.2529746__1.2529746	1262761__R6QUS0__BN606_00152
ERR1912964.2529848__1.2529848	853__C7H1R8__DW905_06675
ERR1912964.2529885__1.2529885	1383__GCA_001438885.1_00783
ERR1912964.2530237__1.2530237	166486__D4KYW5__ROSINTL182_05595
ERR1912964.2530291__1.2530291	1262869__R7CPD0__BN625_00137
ERR1912964.2530788__1.2530788	165179__A0A3E5DY64__CFT61_10025
ERR1912964.2530894__1.2530894	1235835__R9LCU2__C814_02677
ERR1912964.2531387__1.2531387	28026__B6XU26__DXC75_05385
ERR1912964.2531414__1.2531414	29361__B6FLM7__CLONEX_01049
ERR1912964.2531453__1.2531453	239935__A0A2N8HT18__CXT93_06135
ERR1912964.2531603__1.2531603	1262869__R7CRY6__BN625_00452
ERR1912964.2531635__1.2531635	1161942__atpA_2
ERR1912964.2531651__1.2531651	33043__A8SPT5__yfiN_2
ERR1912964.2531885__1.2531885	165179__A0A229I740__DXC61_10430
ERR1912964.2532080__1.2532080	239935__A0A2N8IU14__ADH72_05655
ERR1912964.2532227__1.2532227	1680__A0A173W5Z2__DXC53_01290
ERR1912964.2532276__1.2532276	1235835__R9LCU2__C814_02677
ERR1912964.2532453__1.2532453	239935__A0A2N8HPS5__Amuc_0950
ERR1912964.2532564__1.2532564	1262700__R5XC07__BN695_01332
ERR1912964.2532609__1.2532609	33043__D5HEU4__ftsW_3
ERR1912964.2532828__1.2532828	165179__A0A3E4SB80__DXC61_12880
ERR1912964.2533199__1.2533199	328814__GCA_004558275.1_00076
ERR1912964.2533703__1.2533703	1161942__colA
ERR1912964.2534124__1.2534124	1897011__A0A1Q6RBY6__BHW41_06440
ERR1912964.2534262__1.2534262	55565__G9PD71__CJ186_03635
ERR1912964.2534268__1.2534268	216816__D6DD25__APC1482_1109
ERR1912964.2534395__1.2534395	901__B6WXN9__DESPIGER_1568
ERR1912964.2534812__1.2534812	1897011__A0A1Q6REL5__BHW41_03885
ERR1912964.2534912__1.2534912	1263044__GCA_000433375.1_01143
ERR1912964.2534922__1.2534922	239935__A0A2N8HDT1__CXT94_05270
ERR1912964.2535052__1.2535052	1550024__G9RTW4__TQ39_08265
ERR1912964.2535082__1.2535082	1262961__R6ELH5__BN710_01000
ERR1912964.2535238__1.2535238	33043__D5HHT0__ERS852445_02798
ERR1912964.2535216__1.2535216	1550024__G9RTW4__TQ39_08265
ERR1912964.2535309__1.2535309	239935__A0A2N8ITX2__CXT86_11265
ERR1912964.2535333__1.2535333	745368__A0A1T4WDF4__SAMN02745178_00415
ERR1912964.2535438__1.2535438	1262761__R6RBJ5__BN606_02022
ERR1912964.2535591__1.2535591	820__A0A3E4GA19__SAMN05444418_10562
ERR1912964.2535617__1.2535617	46503__R6WQY8__HMPREF1078_01285
ERR1912964.2535676__1.2535676	239935__A0A2N8IVR0__CXT87_07115
ERR1912964.2535777__1.2535777	674529__R6VF01__DXB21_13480
ERR1912964.2535902__1.2535902	1262915__R6HFW1__BN574_00201
ERR1912964.2535931__1.2535931	1262761__R6QUM5__BN606_02048
ERR1912964.2536043__1.2536043	1161942__alr
ERR1912964.2536187__1.2536187	1262761__R6R2J2__BN606_00943
ERR1912964.2536290__1.2536290	1263000__R5EQY7__BN466_01150
ERR1912964.2536413__1.2536413	239935__A0A2N8IRW0__A4V05_11620
ERR1912964.2536433__1.2536433	1550024__A0A0W7TQI9__ASJ35_10050
ERR1912964.2536690__1.2536690	291644__I8YWR0__HMPREF1071_01375
ERR1912964.2536944__1.2536944	1680__A0A173Y6N7__yhaH
ERR1912964.2536996__1.2536996	165179__A0A174SA26__PREVCOP_05758
ERR1912964.2537143__1.2537143	820__A0A174I980__gldH
ERR1912964.2537458__1.2537458	239935__A0A2N8HUU6__CXT90_06150
ERR1912964.2537427__1.2537427	820__A0A3E4XM43__DXC91_13960
ERR1912964.2537527__1.2537527	901__B6WPV3__DESPIGER_1124
ERR1912964.2537622__1.2537622	853__A0A174C5M1__CGS58_04460
ERR1912964.2537721__1.2537721	1262761__R6QYZ5__BN606_00402
ERR1912964.2537849__1.2537849	1680__A0A087DKM6__B0042_0664
ERR1912964.2538026__1.2538026	239935__A0A2N8IUW6__Amuc_1525
ERR1912964.2538116__1.2538116	1150298__A0A174TF64__ERS852406_00108
ERR1912964.2538136__1.2538136	239935__A0A2N8I368__CXT95_04550
ERR1912964.2538165__1.2538165	33043__A0A174BLU4__ERS852386_02221
ERR1912964.2538304__1.2538304	1535__A7VQE3__CH238_12130
ERR1912964.2538702__1.2538702	823__A0A174PLE5__DXD05_03010
ERR1912964.2538905__1.2538905	46506__S3YU07__AA415_02597
ERR1912964.2538954__1.2538954	1262961__R6E0C8__BN710_00049
ERR1912964.2539127__1.2539127	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1912964.2539128__1.2539128	165179__D1PDJ4__DXB80_08505
ERR1912964.2539621__1.2539621	1262761__R6RU22__BN606_01110
ERR1912964.2539714__1.2539714	33043__A0A173YSY7__tilS
ERR1912964.2539791__1.2539791	1263044__GCA_000433375.1_01728
ERR1912964.2539838__1.2539838	310298__B3JQJ5__BACCOP_04231
ERR1912964.2539916__1.2539916	328814__GCA_004558275.1_00993
ERR1912964.2539956__1.2539956	33043__A8SQU6__ERS852386_01237
ERR1912964.2540067__1.2540067	821__A0A396F598__CUU_3259
ERR1912964.2540161__1.2540161	33043__A8SWL7__ERS852386_02506
ERR1912964.2540296__1.2540296	820__A0A174LJB2__HMPREF1072_04112
ERR1912964.2540461__1.2540461	216816__C2GUV2__APC1478_0430
ERR1912964.2540511__1.2540511	853__A0A174C5M1__CGS58_04460
ERR1912964.2540598__1.2540598	384638__B7AUT8__BACPEC_02486
ERR1912964.2540663__1.2540663	818__A0A0P0F7K1__ERS852461_02719
ERR1912964.2540649__1.2540649	33043__A0A173YQY3__ERS852445_01438
ERR1912964.2540697__1.2540697	853__A0A174C5M1__CGS58_04460
ERR1912964.2540930__1.2540930	239935__A0A139TQT9__Amuc_1197
ERR1912964.2540981__1.2540981	39492__D4JQY4__EUBSIR_01325
ERR1912964.2541072__1.2541072	33043__A0A173X520__ERS852575_01617
ERR1912964.2541160__1.2541160	1161942__alsT_1
ERR1912964.2541469__1.2541469	1263027__R6ZI16__BN699_01371
ERR1912964.2541490__1.2541490	165179__D1PC26__PREVCOP_04756
ERR1912964.2541640__1.2541640	1680__A7A8N9__BBMN23_1271
ERR1912964.2541890__1.2541890	33043__A0A173WXS1__ERS852445_00262
ERR1912964.2541979__1.2541979	74426__nrdD
ERR1912964.2542166__1.2542166	239935__A0A2N8I3G2__CXT89_00720
ERR1912964.2542252__1.2542252	820__A0A396CMY7__HMPREF1072_03009
ERR1912964.2542235__1.2542235	1680__A7A7Z9__AAX71_05385
ERR1912964.2542574__1.2542574	33043__D5HDF1__ERS852386_02231
ERR1912964.2542560__1.2542560	74426__nifJ
ERR1912964.2542571__1.2542571	216816__C5E8I1__yciB
ERR1912964.2542639__1.2542639	1161942__corC_3
ERR1912964.2542825__1.2542825	1262961__R6E1C5__BN710_01058
ERR1912964.2542918__1.2542918	28117__B0MTI4__ALIPUT_00084
ERR1912964.2543036__1.2543036	239935__B2UQB8__CXT86_01740
ERR1912964.2543179__1.2543179	820__A0A3E5E0T0__ERS852554_00312
ERR1912964.2543150__1.2543150	28117__B0MTI4__ALIPUT_00084
ERR1912964.2543234__1.2543234	33043__A0A174H1B6__ERS852575_02702
ERR1912964.2543276__1.2543276	1262761__R6QND0__BN606_00112
ERR1912964.2543394__1.2543394	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1912964.2543830__1.2543830	1965604__A0A1Y4F2L1__B5F54_04645
ERR1912964.2544030__1.2544030	1262761__R6QVL2__BN606_00807
ERR1912964.2544117__1.2544117	1263027__R7A314__BN699_00650
ERR1912964.2544197__1.2544197	901__B6WVN9__DESPIG_02157
ERR1912964.2544198__1.2544198	1262869__R7CM75__BN625_00831
ERR1912964.2544235__1.2544235	1262915__R6HDU8__BN574_01115
ERR1912964.2544375__1.2544375	239935__A0A139TPG3__CXT86_08810
ERR1912964.2544553__1.2544553	310297__R5W5U2__DXC17_08125
ERR1912964.2544529__1.2544529	1262961__R6E0C8__BN710_00049
ERR1912964.2544647__1.2544647	239935__A0A139TPD4__CXT86_06450
ERR1912964.2544851__1.2544851	1680__A1A132__B0703_0684
ERR1912964.2544905__1.2544905	853__A0A3E2U7E6__ERS852582_01640
ERR1912964.2544947__1.2544947	1550024__A0A3B9WKW6__TQ39_07780
ERR1912964.2544984__1.2544984	33043__A8SWM2__ERS852575_01910
ERR1912964.2545028__1.2545028	1680__A0A0C2VBJ4__birA
ERR1912964.2545084__1.2545084	39485__R5ZNG4__yerB
ERR1912964.2545097__1.2545097	165179__A0A3E5DRF6__DXC61_00200
ERR1912964.2545125__1.2545125	74426__nrdD
ERR1912964.2545235__1.2545235	820__A0A3E4G2R7__DXC07_00510
ERR1912964.2545314__1.2545314	1897011__A0A1Q6RC30__BHW41_06700
ERR1912964.2545358__1.2545358	1680__R5GR82__AD0028_0014
ERR1912964.2545369__1.2545369	172901__A0A2U1ALG8__C8D82_13225
ERR1912964.2545448__1.2545448	165179__A0A3E5E2S3__DXB80_03455
ERR1912964.2545547__1.2545547	239935__A0A2N8I5H6__CXT92_05565
ERR1912964.2545743__1.2545743	853__A8S882__C4N23_07600
ERR1912964.2545834__1.2545834	1161942__bioB
ERR1912964.2546110__1.2546110	820__A0A139K337__ERS852459_02375
ERR1912964.2546230__1.2546230	1263000__R5ESM1__BN466_01440
ERR1912964.2546240__1.2546240	33043__D5HIS6__ERS852575_02019
ERR1912964.2546455__1.2546455	40518__R5DV58__htrA
ERR1912964.2546807__1.2546807	853__A0A2A7B9I6__DW855_13690
ERR1912964.2546756__1.2546756	745368__A0A1T4Y7V7__SAMN02745178_02833
ERR1912964.2547020__1.2547020	165179__A0A3E5EB26__CFT61_02800
