ERR1913306.253__1.253	821__A0A396F9T7__M097_3427
ERR1913306.499352__1.499352	165179__W1I4H6__DXB80_13655
ERR1913306.499407__1.499407	823__A0A355XKQ8__DHP27_04010
ERR1913306.499478__1.499478	1262911__R6GS52__BN557_00834
ERR1913306.499855__1.499855	165179__D1PEW8__DXB80_13775
ERR1913306.499860__1.499860	40518__R5DUG7__sbcC
ERR1913306.500101__1.500101	823__A0A174VHT1__DHP27_04775
ERR1913306.500270__1.500270	1501391__GCA_000786575.1_00097
ERR1913306.500598__1.500598	1150298__A0A174FT27__ERS852535_01803
ERR1913306.500846__1.500846	33043__A0A174BPV6__ERS852445_01773
ERR1913306.501108__1.501108	820__A0A3E4IGA7__DXD40_07110
ERR1913306.501139__1.501139	1262889__R7H9H9__BN634_02436
ERR1913306.501334__1.501334	40518__R5E4X5__RB5AMG_01438
ERR1913306.501389__1.501389	823__A0A395YRW4__DD466_15895
ERR1913306.501617__1.501617	1501391__GCA_000786575.1_00079
ERR1913306.501777__1.501777	165179__A0A3E5AER8__DXB80_07075
ERR1913306.501673__1.501673	1501391__GCA_000786575.1_00113
ERR1913306.502026__1.502026	46228__V8C4T8__RUMLAC_02058
ERR1913306.502109__1.502109	33043__A0A173X520__ERS852575_01617
ERR1913306.502180__1.502180	214856__A0A175A6T5__ERS852447_02658
ERR1913306.502405__1.502405	165179__A0A3E5EBM5__DXC61_02170
ERR1913306.502489__1.502489	165179__A0A3E5EDV6__DXC61_03365
ERR1913306.502496__1.502496	39485__R5ZRT8__gmr_6
ERR1913306.502990__1.502990	165179__R6CNX7__DXB80_02200
ERR1913306.503255__1.503255	33043__A0A3A6J8T3__yvhJ
ERR1913306.503407__1.503407	33043__A0A173W4C0__ERS852575_01486
ERR1913306.503418__1.503418	165179__A0A174IPI3__CFT61_10940
ERR1913306.503505__1.503505	165179__R6XIF8__DXC61_07265
ERR1913306.503541__1.503541	823__A0A173W404__DHP27_04905
ERR1913306.503571__1.503571	165179__A0A3E5EB26__CFT61_02800
ERR1913306.503595__1.503595	33043__D5HHT2__ERS852445_02796
ERR1913306.503599__1.503599	33043__A0A174DSP1__essC_2
ERR1913306.503850__1.503850	33043__D5HEE1__ERS852386_01671
ERR1913306.503878__1.503878	821__A0A0P0L8F8__ERS852509_03705
ERR1913306.503917__1.503917	291644__I8YIG3__ERS852428_02427
ERR1913306.503938__1.503938	821__A0A174MBW9__SAMN04487923_10272
ERR1913306.503946__1.503946	884684__GCA_002892425.1_01408
ERR1913306.503952__1.503952	165179__D1PCU4__PREVCOP_05029
ERR1913306.504070__1.504070	33043__A0A174EI47__inlJ
ERR1913306.504184__1.504184	165179__A0A174NK27__PREVCOP_06433
ERR1913306.504246__1.504246	33043__A0A173ZEP9__araC_1
ERR1913306.504322__1.504322	33043__A0A374K1H3__ykoD_2
ERR1913306.504335__1.504335	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913306.504379__1.504379	33043__D5HIL8__ERS852386_02009
ERR1913306.504426__1.504426	1262911__R6GKS1__BN557_00184
ERR1913306.504456__1.504456	820__A0A3E5E0T0__ERS852554_00312
ERR1913306.504560__1.504560	39488__A0A173RH64__EUBHAL_01712
ERR1913306.504563__1.504563	1501391__GCA_000786575.1_00115
ERR1913306.504660__1.504660	338188__C9L0Q9__HMPREF1057_02408
ERR1913306.504670__1.504670	33043__D5HIS6__ERS852575_02019
ERR1913306.504912__1.504912	46228__V8C484__HMPREF1202_01707
ERR1913306.504942__1.504942	853__A0A173XRA8__CGS56_09290
ERR1913306.505077__1.505077	1965631__A0A1Y4AIV0__B5F90_04660
ERR1913306.505085__1.505085	165179__A0A3E5AE59__DXC61_12885
ERR1913306.505166__1.505166	165179__A0A3E5EB26__CFT61_02800
ERR1913306.505351__1.505351	165179__A0A229I9X5__CFT61_01205
ERR1913306.505450__1.505450	165179__D1PE06__DXC61_05975
ERR1913306.505516__1.505516	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913306.505600__1.505600	1262959__R5XW12__BN680_00372
ERR1913306.505606__1.505606	33043__A0A173YLD4__ERS852575_00535
ERR1913306.505729__1.505729	28118__F9ZCB1__Odosp_1317
ERR1913306.505752__1.505752	33043__A0A174CPX4__ERS852386_02360
ERR1913306.505756__1.505756	1897011__A0A1Q6RF49__BHW41_03110
ERR1913306.505760__1.505760	291644__I9TBA1__HMPREF1532_01959
ERR1913306.505846__1.505846	39485__A0A174Z851__cdaR_1
ERR1913306.506179__1.506179	1501391__GCA_000786575.1_00006
ERR1913306.506197__1.506197	33043__A0A174A3W6__ERS852445_00349
ERR1913306.506323__1.506323	329854__A0A3E4KRK8__DXK01_03500
ERR1913306.506409__1.506409	33043__D5HEU4__ftsW_3
ERR1913306.506517__1.506517	165179__A0A174MTF2__DXC61_13200
ERR1913306.506546__1.506546	820__A0A078S4C2__ERS417307_00828
ERR1913306.506633__1.506633	39485__C4Z6V7__walK
ERR1913306.506887__1.506887	291644__I9TA29__HMPREF1532_02081
ERR1913306.507118__1.507118	165179__A0A229I1J2__DXB80_03950
ERR1913306.507265__1.507265	1501391__GCA_000786575.1_00007
ERR1913306.507653__1.507653	33043__D5HFA0__glfT2
ERR1913306.507884__1.507884	626940__E8LBE7__BN587_01102
ERR1913306.508018__1.508018	28117__B0MWC6__BHV66_00965
ERR1913306.508078__1.508078	1897011__A0A1Q6RCY9__BHW41_06000
ERR1913306.508130__1.508130	821__A0A396F1N0__M099_1553
ERR1913306.508092__1.508092	165179__A0A174PS14__DXC61_13945
ERR1913306.508138__1.508138	1501391__GCA_000786575.1_00076
ERR1913306.508372__1.508372	626940__R6X1L5__HMPREF9443_00059
ERR1913306.508496__1.508496	165179__R6CJG8__DXC61_09290
ERR1913306.508774__1.508774	33043__A0A173X520__ERS852575_01617
ERR1913306.508883__1.508883	360807__A0A0M6X1Y4__ROSEINA2194_02133
ERR1913306.509028__1.509028	1501391__GCA_000786575.1_00006
ERR1913306.509168__1.509168	39485__R5ZSI4__ERS852492_00875
ERR1913306.509287__1.509287	33043__A0A173WTV6__ERS852400_02153
ERR1913306.509347__1.509347	818__A0A139KMR0__Btheta7330_03958
ERR1913306.509495__1.509495	39485__C4Z5L8__ERS852490_00665
ERR1913306.509519__1.509519	33043__D5HI36__ERS852400_02168
ERR1913306.509650__1.509650	216816__C5E8I1__yciB
ERR1913306.509720__1.509720	2173__A0A1D2WV05__BK798_06920
ERR1913306.509773__1.509773	1965604__A0A1Y4EQF6__B5F54_11875
ERR1913306.509786__1.509786	1263000__R5EV67__BN466_01611
ERR1913306.509792__1.509792	165179__D1PAJ7__PREVCOP_04222
ERR1913306.510016__1.510016	1501391__GCA_000786575.1_00074
ERR1913306.510040__1.510040	39485__A0A174Z9M2__yhbU_1
ERR1913306.510073__1.510073	2173__A0A1D2WSY5__METSMIF1_03017
ERR1913306.510278__1.510278	165179__D1P9T6__PREVCOP_04016
ERR1913306.510292__1.510292	1501391__GCA_000786575.1_00082
ERR1913306.510533__1.510533	165179__A0A3E5EBM5__DXC61_02170
ERR1913306.510853__1.510853	246787__R6KBH9__HMPREF1062_04676
ERR1913306.510880__1.510880	853__A0A173T0Y8__CGS54_07215
ERR1913306.510918__1.510918	1262889__R7HCE8__BN634_01718
ERR1913306.510947__1.510947	626940__E8LER3__HMPREF9443_01347
ERR1913306.511133__1.511133	1262959__R5YGY6__BN680_01546
ERR1913306.511240__1.511240	35833__E5YB06__HMPREF0179_03378
ERR1913306.511415__1.511415	823__A6LB63__M095_1847
ERR1913306.511489__1.511489	29361__B6FT65__CLONEX_03342
ERR1913306.511645__1.511645	33043__A0A173X520__ERS852575_01617
ERR1913306.511779__1.511779	357276__A0A0M1VZG8__HMPREF1064_01655
ERR1913306.511900__1.511900	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913306.511973__1.511973	165179__A0A3E5E189__PREVCOP_06699
ERR1913306.512144__1.512144	1262911__R6GN99__BN557_01784
ERR1913306.512180__1.512180	1262911__R6HJT1__BN557_00291
ERR1913306.512302__1.512302	1501391__GCA_000786575.1_00069
ERR1913306.512280__1.512280	823__A0A073I748__M096_3057
ERR1913306.512393__1.512393	165179__A0A3E5E8M8__DXB80_11580
ERR1913306.512399__1.512399	165179__A0A3E4SEG4__DXC61_11235
ERR1913306.512551__1.512551	291644__R5JG91__HMPREF1532_01961
ERR1913306.512634__1.512634	28117__B0MY40__BHV66_05170
ERR1913306.512801__1.512801	46228__V8BLW9__DXD17_14090
ERR1913306.512906__1.512906	40520__A5ZSL9__DXC87_07025
ERR1913306.513009__1.513009	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913306.513056__1.513056	1628085__A0A374VPP0__C7386_11442
ERR1913306.513088__1.513088	1262911__R6GPB1__BN557_00837
ERR1913306.513135__1.513135	544645__A0A1U7LEV8__DXC42_08315
ERR1913306.513182__1.513182	28118__R6F045__B5F99_10560
ERR1913306.513209__1.513209	626940__E8LFF6__BHW43_06155
ERR1913306.513542__1.513542	33043__A0A174BZH6__ERS852400_01477
ERR1913306.513586__1.513586	165179__A0A3E5E8N5__DXC61_13460
ERR1913306.513619__1.513619	33043__A0A174DSP1__essC_2
ERR1913306.513683__1.513683	820__R9HP61__DXC91_01090
ERR1913306.513743__1.513743	40518__R5DUU8__DXD86_08440
ERR1913306.513860__1.513860	33039__A0A174XW11__RTO_07780
ERR1913306.513917__1.513917	2293125__A0A374BIB7__DW917_16550
ERR1913306.514117__1.514117	165179__A0A229I4J4__proA
ERR1913306.514166__1.514166	820__A0A374Q854__HMPREF1073_03281
ERR1913306.514202__1.514202	821__E5UY21__C800_02204
ERR1913306.514350__1.514350	33043__A0A173YEP6__ERS852575_00888
ERR1913306.514355__1.514355	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913306.514267__1.514267	165179__A0A3E5DX15__DXC61_00345
ERR1913306.514387__1.514387	291644__I9T2X9__HMPREF1071_02431
ERR1913306.514714__1.514714	1262889__R7HAA8__BN634_00776
ERR1913306.514726__1.514726	165179__A0A3E5EBY9__CFT61_01220
ERR1913306.515043__1.515043	33043__D5HH34__ERS852386_00170
ERR1913306.515051__1.515051	1501391__GCA_000786575.1_00084
ERR1913306.515062__1.515062	216816__D6DBD5__DXC32_04335
ERR1913306.515273__1.515273	818__A0A139KDV3__HMPREF2534_02467
ERR1913306.515592__1.515592	301302__A0A173SJJ1__ERS852420_01411
ERR1913306.515748__1.515748	165179__A0A3E5DWZ6__DXC61_10880
ERR1913306.515937__1.515937	165179__A0A3E5EA83__DXC61_07750
ERR1913306.516035__1.516035	820__A0A174M9V5__M093_0237
ERR1913306.516228__1.516228	2049043__A0A316MJA0__DBY37_13525
ERR1913306.516253__1.516253	165179__D1PD99__PREVCOP_05186
ERR1913306.516413__1.516413	357276__A0A076IRX7__HMPREF1064_00526
ERR1913306.516510__1.516510	165179__A0A3E5AE59__DXC61_12885
ERR1913306.516816__1.516816	2137880__A0A316P0Z3__DBY21_03285
ERR1913306.517123__1.517123	33039__D4M378__cysL_1
ERR1913306.517500__1.517500	820__A0A139K2N9__DXB62_12420
ERR1913306.517528__1.517528	165179__D1PCT4__DXB80_09470
ERR1913306.517581__1.517581	1262959__R5YFN8__BN680_01122
ERR1913306.517748__1.517748	165179__D1PEW8__DXB80_13775
ERR1913306.517844__1.517844	1262736__R5Y5X7__BN496_00238
ERR1913306.518035__1.518035	46228__V8BL71__DXD17_11775
ERR1913306.518039__1.518039	165179__A0A3E5DN34__DXC61_07865
ERR1913306.518116__1.518116	40518__R5DRY6__RB5AMG_00549
ERR1913306.518427__1.518427	165179__D1PB89__DXC61_08425
ERR1913306.518441__1.518441	165179__R6C5D6__PREVCOP_04658
ERR1913306.518628__1.518628	1262911__R6GN33__BN557_00616
ERR1913306.518671__1.518671	454154__G5STE3__HMPREF9441_02646
ERR1913306.518756__1.518756	165179__D1PCT4__DXB80_09470
ERR1913306.518984__1.518984	1263000__R5ES99__BN466_01121
ERR1913306.519043__1.519043	165179__A0A3E5E4T9__DXB80_08030
ERR1913306.519342__1.519342	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913306.519270__1.519270	90410__GeneID:1258526
ERR1913306.519309__1.519309	28117__B0MYA9__BHV66_07790
ERR1913306.519502__1.519502	626940__R6WNR3__DCQ00_05790
ERR1913306.519552__1.519552	165179__A0A3E5E5L1__DXB80_05980
ERR1913306.519685__1.519685	33043__D5HIL5__ERS852445_01761
ERR1913306.519657__1.519657	39485__A0A1Q6PG30__ERS852492_00010
ERR1913306.519809__1.519809	33039__R6P9A7__ERS852424_01559
ERR1913306.519883__1.519883	820__I9A4U7__DHU98_12785
ERR1913306.519967__1.519967	33039__A0A173VXR3__ERS852577_04630
ERR1913306.520077__1.520077	853__C7H1R8__DW905_06675
ERR1913306.520297__1.520297	165179__A0A3E5EB26__CFT61_02800
ERR1913306.520411__1.520411	301301__A0A395VEV6__RHOM_05260
ERR1913306.520495__1.520495	1897011__A0A1Q6RHX0__BHW41_00740
ERR1913306.520637__1.520637	544645__A0A3E4TGA7__DXC42_05280
ERR1913306.520598__1.520598	28117__B0MZ50__ALIPUT_02424
ERR1913306.520779__1.520779	165179__A0A3E5EB26__CFT61_02800
ERR1913306.521091__1.521091	33043__D5HHY4__luxQ_1
ERR1913306.521277__1.521277	33043__A0A174EI47__inlJ
ERR1913306.521443__1.521443	820__A0A173W419__DXC68_17760
ERR1913306.521556__1.521556	2173__A0A1D2WUJ0__Msm_1370
ERR1913306.522339__1.522339	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913306.522449__1.522449	823__A0A174U5E4__BDI_3390
ERR1913306.522904__1.522904	1501391__GCA_000786575.1_00158
ERR1913306.523151__1.523151	2173__A0A1D2WT01__BK798_04470
ERR1913306.523229__1.523229	46228__V8CG89__RUMLAC_00663
ERR1913306.523427__1.523427	1501391__GCA_000786575.1_00149
ERR1913306.523525__1.523525	165179__D1P8Q2__trpF
ERR1913306.523528__1.523528	1262736__R5YX38__BN496_01145
ERR1913306.523662__1.523662	165179__A0A174XZU8__DXB80_12180
ERR1913306.523775__1.523775	40518__R5DUU8__DXD86_08440
ERR1913306.523868__1.523868	1501391__GCA_000786575.1_00074
ERR1913306.524120__1.524120	165179__A0A3E5DWZ6__DXC61_10880
ERR1913306.524347__1.524347	28117__B0MUR5__BHV66_03900
ERR1913306.524709__1.524709	1535__A7VUI7__CH238_07265
ERR1913306.524815__1.524815	33043__D5HDB6__sipT_2
ERR1913306.524814__1.524814	39485__A0A174ZPH7__ERS852490_01992
ERR1913306.525063__1.525063	2049043__A0A316NHC0__DBY37_01435
ERR1913306.525220__1.525220	165179__D1PEW8__DXB80_13775
ERR1913306.525830__1.525830	46228__V8C5S1__RUMLAC_02063
ERR1913306.526571__1.526571	165179__A0A3E5E643__DXB80_06030
ERR1913306.526660__1.526660	28117__B0MWP2__ALIPUT_01468
ERR1913306.526691__1.526691	823__A0A355XLH0__fepA_1
ERR1913306.526918__1.526918	165179__D1PGJ6__DXC61_07300
ERR1913306.527004__1.527004	1501391__GCA_000786575.1_00146
ERR1913306.527193__1.527193	165179__D1PCT4__DXB80_09470
ERR1913306.527308__1.527308	33043__D5HGK4__ERS852445_01371
ERR1913306.527252__1.527252	35833__E5Y1W3__HMPREF0179_00172
ERR1913306.527400__1.527400	165179__D1PGU8__PREVCOP_06463
ERR1913306.527630__1.527630	1262959__R5YR45__BN680_00099
ERR1913306.527715__1.527715	46228__B5CTC0__RUMLAC_02743
ERR1913306.527871__1.527871	823__A0A174VBJ5__M091_5021
ERR1913306.528023__1.528023	823__K6AS99__ERS852429_01856
ERR1913306.528000__1.528000	165179__R6C5D6__PREVCOP_04658
ERR1913306.528258__1.528258	33043__D5HEF6__ERS852445_00180
ERR1913306.528286__1.528286	33043__D5HFZ0__rlmH
ERR1913306.528318__1.528318	46228__B5CL07__DXD17_04190
ERR1913306.528461__1.528461	46228__V8C3Q5__DXD17_04230
ERR1913306.528487__1.528487	2137880__A0A316NXH8__DBY21_03565
ERR1913306.528560__1.528560	820__A0A139KIL9__DXC68_05945
ERR1913306.528804__1.528804	165179__R6XIF8__DXC61_07265
ERR1913306.528847__1.528847	165179__A0A174W369__PREVCOP_04548
ERR1913306.528868__1.528868	2293125__A0A374BSV3__DW917_13360
ERR1913306.528972__1.528972	2049043__A0A316N0V6__DBY37_02380
ERR1913306.529227__1.529227	1299998__GCA_001494635.1_00312
ERR1913306.529421__1.529421	165179__D1P8K1__DXB80_06045
ERR1913306.529404__1.529404	33043__A0A174H5E3__ERS852400_02880
ERR1913306.529554__1.529554	1262959__R5XUW0__BN680_01859
ERR1913306.529741__1.529741	33043__D5HH62__ERS852575_00121
ERR1913306.529748__1.529748	74426__nifJ
ERR1913306.529954__1.529954	454154__G5ST90__HMPREF9441_02591
ERR1913306.530031__1.530031	853__A0A173T6P2__DWZ46_14595
ERR1913306.530099__1.530099	46228__V8CAV6__addA
ERR1913306.530215__1.530215	165179__A0A3E5ED28__PREVCOP_06655
ERR1913306.530288__1.530288	820__A0A139K5A6__DXB48_12175
ERR1913306.530416__1.530416	1897011__A0A1Q6RJ96__BHW41_00350
ERR1913306.530387__1.530387	40518__R5E4V5__RBL263_01242
ERR1913306.530391__1.530391	1099853__R7DEQ7__NSB1T_12415
ERR1913306.530481__1.530481	165179__D1PE06__DXC61_05975
ERR1913306.530522__1.530522	39485__A0A174YTF8__EUBELI_20448
ERR1913306.530527__1.530527	165179__D1PEQ5__PREVCOP_05711
ERR1913306.530568__1.530568	1262911__R6HJS5__BN557_00288
ERR1913306.530715__1.530715	35833__E5Y6S3__HMPREF0179_01886
ERR1913306.530872__1.530872	165179__A0A3E5AEF7__DXC61_05000
ERR1913306.531366__1.531366	28117__B0MZ14__ALIPUT_02383
ERR1913306.531494__1.531494	329854__R5M2W2__DXD57_07845
ERR1913306.532163__1.532163	165179__D1PCT4__DXB80_09470
ERR1913306.532202__1.532202	291644__I9I2F9__HMPREF1532_01625
ERR1913306.532387__1.532387	649756__B0P3S8__ywpJ_4
ERR1913306.532411__1.532411	39485__A0A174YVS4__EUBELI_00620
ERR1913306.532524__1.532524	165179__R6C5D6__PREVCOP_04658
ERR1913306.532540__1.532540	1099853__U5CFD2__NSB1T_03705
ERR1913306.532826__1.532826	33043__D5HI09__ERS852575_02656
ERR1913306.532852__1.532852	884684__GCA_002892425.1_01408
ERR1913306.532874__1.532874	823__A0A355XLQ9__DXC05_02185
ERR1913306.533258__1.533258	39485__C4Z2I5__ERS852492_02214
ERR1913306.533460__1.533460	46228__V8CD18__DXD17_11645
ERR1913306.533589__1.533589	46228__B5CNB4__RUMLAC_00950
ERR1913306.533938__1.533938	823__A6L930__DDY96_14995
ERR1913306.534000__1.534000	28118__F9ZAB4__B5F93_06270
ERR1913306.534047__1.534047	28117__B0MWC6__BHV66_00965
ERR1913306.534052__1.534052	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913306.534167__1.534167	2049043__A0A316MRE8__DBY37_08150
ERR1913306.534541__1.534541	1501391__GCA_000786575.1_00130
ERR1913306.534799__1.534799	39485__C4Z6V7__walK
ERR1913306.534864__1.534864	165179__A0A3E5E2S3__DXB80_03455
ERR1913306.534924__1.534924	40518__R5DXI4__DXD86_07420
ERR1913306.534928__1.534928	165179__A0A3E5E6S6__DXB80_07575
ERR1913306.535148__1.535148	1501391__GCA_000786575.1_00139
ERR1913306.535151__1.535151	818__A0A0P0F2P7__BT_1771
ERR1913306.535350__1.535350	165179__A0A3E5A832__DXC61_13685
ERR1913306.535365__1.535365	626940__R6X0Z1__DCQ00_01035
ERR1913306.535883__1.535883	33043__A0A173ZEP9__araC_1
ERR1913306.536025__1.536025	1501391__GCA_000786575.1_00125
ERR1913306.536050__1.536050	165179__A0A3E5AFJ9__CFT61_15180
ERR1913306.536269__1.536269	165179__D1PDG7__DXB80_11180
ERR1913306.536275__1.536275	47678__A5ZEA3__ERS852558_00257
ERR1913306.536719__1.536719	165179__A0A3E5A554__DXB80_13805
ERR1913306.536659__1.536659	165179__A0A174K816__DXB80_12000
ERR1913306.537281__1.537281	165179__A0A3E5AI09__DXC61_05815
ERR1913306.537355__1.537355	100884__E7GFK8__HMPREF9488_03551
ERR1913306.537329__1.537329	1262959__R5XWL8__BN680_00082
ERR1913306.537509__1.537509	460384__A0A1I0AS27__SAMN05216313_101160
ERR1913306.537622__1.537622	28117__B0MUR5__BHV66_03900
ERR1913306.537645__1.537645	165179__A0A174W369__PREVCOP_04548
ERR1913306.537810__1.537810	165179__A0A3E5E4P9__DXB80_07930
ERR1913306.537891__1.537891	291644__I8YXS6__HMPREF1071_01285
ERR1913306.537917__1.537917	46228__B5CTE4__DXD17_12795
ERR1913306.537950__1.537950	1262911__R6GZX7__BN557_00838
ERR1913306.538391__1.538391	33043__A0A173ZDC4__malL_1
ERR1913306.538578__1.538578	33043__D5HH62__ERS852575_00121
ERR1913306.538667__1.538667	28117__B0MU76__ALIPUT_00202
ERR1913306.538843__1.538843	39491__R6TNE2__LD38_07270
ERR1913306.539046__1.539046	823__A0A355XF06__B5F32_11480
ERR1913306.539048__1.539048	626940__E8LDB3__prkC
ERR1913306.539019__1.539019	1263107__GCA_000436995.1_00189
ERR1913306.539191__1.539191	165179__R6XIF8__DXC61_07265
ERR1913306.539227__1.539227	33043__D5HJB7__ERS852400_01485
ERR1913306.539238__1.539238	165179__A0A3E5AHK7__PREVCOP_04289
ERR1913306.539375__1.539375	204516__U6RAM4__HMPREF1534_03439
ERR1913306.539381__1.539381	165179__A0A3E5AER8__DXB80_07075
ERR1913306.539578__1.539578	28117__B0N007__BHV66_10275
ERR1913306.539504__1.539504	165179__D1PEW8__DXB80_13775
ERR1913306.539690__1.539690	1501391__GCA_000786575.1_00096
ERR1913306.539892__1.539892	818__Q8A3A6__Btheta7330_00071
ERR1913306.539938__1.539938	165179__A0A174W369__PREVCOP_04548
ERR1913306.539986__1.539986	28117__B0MWC6__BHV66_00965
ERR1913306.540005__1.540005	165179__D1PAN5__PREVCOP_04260
ERR1913306.540274__1.540274	853__A0A2A7B9I6__DW855_13690
ERR1913306.540523__1.540523	165179__A0A3E5AGH1__DXB80_05820
ERR1913306.540651__1.540651	28117__B0MTV3__BHV66_06405
ERR1913306.540875__1.540875	33043__D5HFD3__ybbD
ERR1913306.541187__1.541187	1501391__GCA_000786575.1_00036
ERR1913306.541443__1.541443	301302__R5UL57__ERS852420_00622
ERR1913306.541476__1.541476	821__A0A174ALF2__BvMPK_3016
ERR1913306.541694__1.541694	39485__R5ZNS8__rsmG
ERR1913306.541719__1.541719	33043__D5HHE4__ERS852445_02332
ERR1913306.541877__1.541877	46228__V8BSG0__RUMLAC_01955
ERR1913306.541961__1.541961	28117__B0MZ50__ALIPUT_02424
ERR1913306.541981__1.541981	165179__D1PDJ4__DXB80_08505
ERR1913306.541929__1.541929	384638__B7AT14__BACPEC_01282
ERR1913306.542064__1.542064	329854__R5LZ68__BACINT_01603
ERR1913306.542165__1.542165	371601__E5CE41__ERS852396_04351
ERR1913306.542293__1.542293	165179__A0A174WRI9__DXB80_04870
ERR1913306.542315__1.542315	853__E2ZGD9__C7J97_11715
ERR1913306.542348__1.542348	165179__R6CJG8__DXC61_09290
ERR1913306.542833__1.542833	1535__A7VXT7__CLOLEP_03413
ERR1913306.542952__1.542952	1263000__R5EK63__BN466_02075
ERR1913306.542929__1.542929	165179__D1PAN5__PREVCOP_04260
ERR1913306.543245__1.543245	820__A0A174R952__DXB48_02570
ERR1913306.543408__1.543408	33043__A0A173XM20__ERS852445_01573
ERR1913306.543631__1.543631	39485__C4Z058__ERS852492_00130
ERR1913306.543767__1.543767	46228__B5CTE4__DXD17_12795
ERR1913306.543879__1.543879	1262959__R5YSA1__BN680_00535
ERR1913306.543960__1.543960	1965631__A0A1Y4AIV0__B5F90_04660
ERR1913306.544081__1.544081	165179__A0A3E5E0D5__PREVCOP_04205
ERR1913306.544204__1.544204	823__A0A355XKQ8__DHP27_04010
ERR1913306.544241__1.544241	28118__F9Z4Y7__DF785_06945
ERR1913306.544287__1.544287	1263000__R5EFA7__BN466_01197
ERR1913306.544502__1.544502	1263006__R6LMI6__BN515_01248
ERR1913306.544628__1.544628	216816__Q8G5T7__HMPREF0175_0394
ERR1913306.544651__1.544651	1501391__GCA_000786575.1_00038
ERR1913306.544972__1.544972	33043__D5HIS6__ERS852575_02019
ERR1913306.545033__1.545033	853__A0A174AML0__FPR_08640
ERR1913306.545047__1.545047	820__I9TWZ7__DXC80_10550
ERR1913306.545162__1.545162	165179__A0A3E5E8N5__DXC61_13460
ERR1913306.545272__1.545272	818__A0A174VV39__BT_3492
ERR1913306.545332__1.545332	33043__D5HFA1__ERS852400_02183
ERR1913306.545493__1.545493	216816__C2GV16__APC1504_1666
ERR1913306.545587__1.545587	1501391__GCA_000786575.1_00072
ERR1913306.545590__1.545590	28118__F9Z667__NCTC10826_00403
ERR1913306.545595__1.545595	1150298__A0A174LTU2__recX
ERR1913306.545630__1.545630	626940__R6X1L5__HMPREF9443_00059
ERR1913306.545631__1.545631	39485__A0A174ZBK4__ERS852490_01585
ERR1913306.545702__1.545702	820__A0A139KJ23__celCCA
ERR1913306.545987__1.545987	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913306.546095__1.546095	40518__R5DPE0__DXD86_06515
ERR1913306.546207__1.546207	853__A0A2J4JL53__CRH10_10795
ERR1913306.546255__1.546255	46228__V8CE19__DXD17_01950
ERR1913306.546297__1.546297	853__A0A2A7B1Y7__C7K05_11930
ERR1913306.546322__1.546322	39485__A0A1Q6PHM3__ERS852490_03067
ERR1913306.546573__1.546573	40518__R5DU52__RB5AMG_02245
ERR1913306.546880__1.546880	820__A0A3E4IBC1__M094_0628
ERR1913306.546920__1.546920	544645__A0A3E4TEK2__DXC42_06710
ERR1913306.547199__1.547199	301302__R5UUM8__ganB_1
ERR1913306.547170__1.547170	165179__A0A229I1J2__DXB80_03950
ERR1913306.547441__1.547441	165179__A0A174SR12__DXB80_04410
ERR1913306.547559__1.547559	1535__A7VNH0__CLOLEP_00095
ERR1913306.547578__1.547578	626940__R6X1L5__HMPREF9443_00059
ERR1913306.547735__1.547735	1262736__R5Y5F6__BN496_00551
ERR1913306.547672__1.547672	165179__A0A174SR12__DXB80_04410
ERR1913306.547864__1.547864	818__A0A0P0FI06__BJP75_017205
ERR1913306.547931__1.547931	165179__A0A3E5AE59__DXC61_12885
ERR1913306.547952__1.547952	165179__A0A3E5AER8__DXB80_07075
ERR1913306.548035__1.548035	165179__D1PE06__DXC61_05975
ERR1913306.548685__1.548685	357276__I9R002__HMPREF1064_01826
ERR1913306.548775__1.548775	165179__D1PE06__DXC61_05975
ERR1913306.549045__1.549045	28117__B0MUB4__BHV66_01895
ERR1913306.549046__1.549046	1862668__GCA_001945525.1_00031
ERR1913306.549146__1.549146	28116__A0A0J9IIV5__M089_5519
ERR1913306.549227__1.549227	853__A8SCP3__C4N26_07960
ERR1913306.549476__1.549476	28117__B0MSL1__BHV66_06710
ERR1913306.549589__1.549589	165179__A0A174XZU8__DXB80_12180
ERR1913306.549648__1.549648	310298__B3JQJ5__BACCOP_04231
ERR1913306.549678__1.549678	1680__R5GRA4__ERS852382_01548
ERR1913306.549788__1.549788	165179__A0A3E5DY64__CFT61_10025
ERR1913306.549846__1.549846	626940__E8LFV6__DCQ00_05640
ERR1913306.551277__1.551277	1304__Q55242__V471_04485
ERR1913306.551453__1.551453	33043__A0A174BBC4__ERS852575_02261
ERR1913306.551598__1.551598	1501391__GCA_000786575.1_00103
ERR1913306.551672__1.551672	853__A0A2A6Z8X1__FPR_03410
ERR1913306.551833__1.551833	165179__A0A174XZU8__DXB80_12180
ERR1913306.552036__1.552036	39485__A0A174Z1A6__EUBELI_00220
