ERR1913205.32__1.32	649756__D4MXW8__gpr
ERR1913205.534109__1.534109	410072__C0BAJ3__ERS852574_01527
ERR1913205.534211__1.534211	214856__I3YMN6__Alfi_1938
ERR1913205.534323__1.534323	1262882__R5MJJ9__BN519_01035
ERR1913205.534339__1.534339	214856__R6XKW1__ERS852559_01141
ERR1913205.534372__1.534372	487174__K0X068__DDY40_07105
ERR1913205.534426__1.534426	214856__R6Z288__ERS852447_00734
ERR1913205.534747__1.534747	214856__I3YPP1__Alfi_2699
ERR1913205.534756__1.534756	239935__A0A2N8I9P4__CXT85_05050
ERR1913205.534761__1.534761	1262882__R5N3H1__BN519_01121
ERR1913205.535044__1.535044	214856__R6XQX8__ERS852559_02550
ERR1913205.535149__1.535149	239935__A0A139TT05__CXU09_03335
ERR1913205.535205__1.535205	47678__R5USS6__C5Z00_03300
ERR1913205.535498__1.535498	1262882__R5MGI7__BN519_00643
ERR1913205.535568__1.535568	214856__I3YPR5__ERS852447_01364
ERR1913205.535687__1.535687	487174__K0X1V7__DIT83_03020
ERR1913205.535801__1.535801	1262882__R5MXW0__BN519_00317
ERR1913205.535809__1.535809	214856__R6Z3P8__ERS852559_01737
ERR1913205.535815__1.535815	214856__I3YPR6__Alfi_2724
ERR1913205.535864__1.535864	214856__I3YMN6__Alfi_1938
ERR1913205.535919__1.535919	1262882__R5MYI1__BN519_00416
ERR1913205.536151__1.536151	214856__I3YPQ0__ERS852447_01379
ERR1913205.536186__1.536186	239935__R6JWJ7__CXT94_02580
ERR1913205.536256__1.536256	214856__R6Z7Q9__ERS852447_02172
ERR1913205.536335__1.536335	649756__D4MY23__ERS852571_00200
ERR1913205.536339__1.536339	214856__I3YPP3__Alfi_2701
ERR1913205.536389__1.536389	239935__A0A139TPU7__CXT91_06575
ERR1913205.536436__1.536436	214856__R5UN64__ERS852447_02669
ERR1913205.536472__1.536472	39492__D4JR31__EUBSIR_00106
ERR1913205.536601__1.536601	301302__A0A173UN64__manA_2
ERR1913205.536887__1.536887	214856__A0A174CRY5__ERS852559_01060
ERR1913205.536961__1.536961	214856__R6YD52__ERS852447_02171
ERR1913205.537014__1.537014	39488__C0ET99__ERS852578_00102
ERR1913205.537398__1.537398	214856__R6Y7P0__ERS852447_00307
ERR1913205.537584__1.537584	214856__R6YD52__ERS852447_02171
ERR1913205.537974__1.537974	214856__A0A173W3Y5__ERS852559_02032
ERR1913205.538171__1.538171	487174__R5F2W8__HMPREF9448_01730
ERR1913205.538250__1.538250	1262882__R5MMP8__BN519_01654
ERR1913205.538460__1.538460	214856__A0A174EJT5__mnmA
ERR1913205.538525__1.538525	47678__R5UZM4__DW706_15680
ERR1913205.538869__1.538869	1501391__GCA_000786575.1_00131
ERR1913205.538882__1.538882	204516__U6R9E7__HMPREF1534_03313
ERR1913205.538959__1.538959	239935__A0A2N8I6R6__CXU04_04335
ERR1913205.539145__1.539145	39486__B0G932__DXD84_11630
ERR1913205.539478__1.539478	214856__I3YPP9__Alfi_2707
ERR1913205.539599__1.539599	487174__K0WUM9__HMPREF9448_02608
ERR1913205.539602__1.539602	1262882__R5MF58__BN519_00393
ERR1913205.539672__1.539672	28118__F9Z587__Odosp_2804
ERR1913205.539710__1.539710	487174__K0X7X4__DIT83_09125
ERR1913205.539848__1.539848	214856__D4IMT6__Alfi_1830
ERR1913205.539904__1.539904	818__A0A139KMC9__C799_02694
ERR1913205.539988__1.539988	214856__A0A173YXX1__ERS852559_01651
ERR1913205.540415__1.540415	1262882__R5MKL9__BN519_00353
ERR1913205.540374__1.540374	1965538__A0A1Y4W3Y5__B5E43_12125
ERR1913205.540535__1.540535	28117__B0MYZ8__BHV66_04535
ERR1913205.540589__1.540589	1262882__R5MFY4__BN519_00529
ERR1913205.540704__1.540704	29361__B6FKH5__CLONEX_00621
ERR1913205.540757__1.540757	328813__A0A1Y3QQ66__B5G41_14240
ERR1913205.540804__1.540804	214856__I3YPQ8__ERS852447_01371
ERR1913205.540823__1.540823	410072__C0BES0__ERS852389_01714
ERR1913205.540855__1.540855	214856__R6Y9P5__ERS852559_01811
ERR1913205.540983__1.540983	214856__A0A174H6R3__ERS852447_02809
ERR1913205.541011__1.541011	1262882__A0A356PSJ4__BN519_01180
ERR1913205.541084__1.541084	1262882__R5MYI1__BN519_00416
ERR1913205.541230__1.541230	821__A0A396F9T7__M097_3427
ERR1913205.541346__1.541346	1501391__GCA_000786575.1_00135
ERR1913205.541381__1.541381	1501391__GCA_000786575.1_00119
ERR1913205.541423__1.541423	301302__A0A173SCU7__M72_12871
ERR1913205.541553__1.541553	214856__I3YMN6__Alfi_1938
ERR1913205.541743__1.541743	1262882__R5N4D8__BN519_01497
ERR1913205.542094__1.542094	214856__I3YPN3__ERS852447_01395
ERR1913205.542158__1.542158	214856__I3YPQ0__ERS852447_01379
ERR1913205.542181__1.542181	1150298__A0A174HG99__ERS852498_00387
ERR1913205.542214__1.542214	214856__R6XUN2__rcsC_1
ERR1913205.542321__1.542321	214856__I3YPQ8__ERS852447_01371
ERR1913205.542324__1.542324	214856__I3YMC8__ERS852447_02666
ERR1913205.542370__1.542370	239935__A0A2N8ITX2__CXT86_11265
ERR1913205.542423__1.542423	1262882__R5MKV8__BN519_01281
ERR1913205.542513__1.542513	239935__A0A139TMG9__CXU07_10650
ERR1913205.542881__1.542881	214856__I3YPN9__ERS852447_01389
ERR1913205.543101__1.543101	214856__I3YPP0__ERS852447_01388
ERR1913205.543250__1.543250	214856__A0A173Z1B0__ERS852447_00765
ERR1913205.543359__1.543359	1262882__R5MYP8__BN519_00439
ERR1913205.543382__1.543382	487174__K0X353__DIT83_07800
ERR1913205.543531__1.543531	214856__I3YPN0__ERS852447_01398
ERR1913205.543730__1.543730	214856__A0A174FY71__ERS852559_01033
ERR1913205.543732__1.543732	214856__R6Z590__ERS852447_01059
ERR1913205.543980__1.543980	214856__R6Y6H8__ERS852447_01719
ERR1913205.544263__1.544263	1262882__R5N3H1__BN519_01121
ERR1913205.544405__1.544405	214856__I3YMN6__Alfi_1938
ERR1913205.544563__1.544563	487174__K0X1V7__DIT83_03020
ERR1913205.544549__1.544549	1501391__GCA_000786575.1_00048
ERR1913205.544596__1.544596	39492__D4JTJ1__EUBSIR_01453
ERR1913205.544667__1.544667	301302__A0A173RJJ7__ERS852420_00620
ERR1913205.544662__1.544662	239935__A0A2N8I694__CXU04_06245
ERR1913205.544723__1.544723	1262882__R5MLP0__BN519_01597
ERR1913205.544841__1.544841	214856__R6YD52__ERS852447_02171
ERR1913205.544816__1.544816	239935__A0A139TPD4__CXT86_06450
ERR1913205.544890__1.544890	1262882__R5MZZ3__BN519_00482
ERR1913205.545071__1.545071	1262882__R5N4P6__BN519_01346
ERR1913205.545111__1.545111	214856__I3YPQ6__Alfi_2714
ERR1913205.545114__1.545114	1150298__A0A174RP87__uppP_1
ERR1913205.545175__1.545175	214856__D4IMT6__Alfi_1830
ERR1913205.545340__1.545340	1262882__R5N1Z9__BN519_01020
ERR1913205.545350__1.545350	214856__A0A174EQR4__rsmA
ERR1913205.545464__1.545464	214856__R6XUN2__rcsC_1
ERR1913205.545557__1.545557	301302__A0A0M6W9I4__M72_19871
ERR1913205.545561__1.545561	1262744__R6FST0__BN744_00381
ERR1913205.545603__1.545603	47678__R5UAI1__BACCAC_01922
ERR1913205.545661__1.545661	1501391__GCA_000786575.1_00015
ERR1913205.545814__1.545814	487174__K0XH97__HMPREF9448_01909
ERR1913205.545916__1.545916	487174__K0X5B1__DDY40_01695
ERR1913205.545986__1.545986	214856__I3YPP9__Alfi_2707
ERR1913205.545959__1.545959	1262882__R5MYP2__BN519_00435
ERR1913205.545981__1.545981	47678__A0A3E5BQM1__DXB67_08970
ERR1913205.545982__1.545982	487174__K0XER9__DDY40_08885
ERR1913205.546211__1.546211	47678__R5U3D5__DW706_05635
ERR1913205.546548__1.546548	214856__A0A173Z1B0__ERS852447_00765
ERR1913205.546596__1.546596	821__A0A395UNT8__DXD64_15275
ERR1913205.547233__1.547233	39492__D4JUP6__ERS852540_01404
ERR1913205.547266__1.547266	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913205.547292__1.547292	39485__C4Z028__ERS852492_00100
ERR1913205.547310__1.547310	214856__I3YPR6__Alfi_2724
ERR1913205.547395__1.547395	487174__K0XES7__HMPREF9448_00566
ERR1913205.547515__1.547515	1262882__R5MJZ4__BN519_01269
ERR1913205.547573__1.547573	818__A0A1H7L4U6__BSIG_3287
ERR1913205.547583__1.547583	214856__R6Y1K2__ERS852447_02306
ERR1913205.547662__1.547662	214856__R5UN64__ERS852447_02669
ERR1913205.547703__1.547703	1160721__W0U3Q4__BHW50_08110
ERR1913205.547829__1.547829	214856__R6Y9P5__ERS852559_01811
ERR1913205.547907__1.547907	214856__A0A175A6T5__ERS852447_02658
ERR1913205.547985__1.547985	214856__A0A174ZLW6__ERS852559_01424
ERR1913205.548055__1.548055	1262882__R5N526__BN519_01603
ERR1913205.548205__1.548205	1501391__GCA_000786575.1_00113
ERR1913205.548553__1.548553	214856__I3YMC8__ERS852447_02666
ERR1913205.548638__1.548638	1261__D3MR67__SAMN05660467_01650
ERR1913205.548720__1.548720	1965604__A0A1Y4EYQ2__B5F54_00715
ERR1913205.548808__1.548808	214856__R6YD52__ERS852447_02171
ERR1913205.548811__1.548811	1501391__GCA_000786575.1_00021
ERR1913205.548839__1.548839	239935__R6JCH3__CXT95_08205
ERR1913205.549140__1.549140	47678__R5U3A7__ERS852494_02965
ERR1913205.549174__1.549174	47678__R5UXY0__CGC64_03535
ERR1913205.549250__1.549250	214856__I3YMB7__Alfi_1811
ERR1913205.549382__1.549382	1150298__A0A174Q6Q0__ERS852406_00063
ERR1913205.549689__1.549689	214856__I3YPP3__Alfi_2701
ERR1913205.549773__1.549773	214856__A0A173YXX1__ERS852559_01651
ERR1913205.549806__1.549806	1262882__R5MSI7__BN519_01601
ERR1913205.549834__1.549834	214856__R5UN64__ERS852447_02669
ERR1913205.549934__1.549934	214856__R6Z590__ERS852447_01059
ERR1913205.550370__1.550370	47678__R5UGC2__ERS852494_02070
ERR1913205.550518__1.550518	818__A0A3E5HGN6__Btheta7330_00798
ERR1913205.550549__1.550549	214856__I3YPP0__ERS852447_01388
ERR1913205.550558__1.550558	214856__A0A174CRY5__ERS852559_01060
ERR1913205.550560__1.550560	214856__I3YPI7__pepD_1
ERR1913205.550609__1.550609	214856__I3YPN5__Alfi_2693
ERR1913205.550837__1.550837	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913205.550985__1.550985	649756__B0NWS2__CL2_06980
ERR1913205.551353__1.551353	239935__A0A2N8HH03__CXU09_08875
ERR1913205.551324__1.551324	1501391__GCA_000786575.1_00083
ERR1913205.551523__1.551523	1150298__A0A174Q3G7__hyaD_2
ERR1913205.551743__1.551743	214856__R6Y2Y4__ERS852447_01086
ERR1913205.551959__1.551959	1235835__R9LCU2__C814_02677
ERR1913205.552016__1.552016	1262882__R5N0C3__BN519_00731
ERR1913205.552241__1.552241	239935__R6J4Y4__CXU17_09810
ERR1913205.552362__1.552362	328814__GCA_004558275.1_00989
ERR1913205.552408__1.552408	1262882__R5MGX3__BN519_00046
ERR1913205.552410__1.552410	214856__R6Y8K1__ERS852447_02509
ERR1913205.552753__1.552753	371601__I9UVJ1__BN890_47510
ERR1913205.553002__1.553002	1501391__GCA_000786575.1_00067
ERR1913205.553108__1.553108	214856__I3YPP3__Alfi_2701
ERR1913205.553526__1.553526	214856__R6Y2Y4__ERS852447_01086
ERR1913205.553862__1.553862	301302__A0A173S3L8__vpr
ERR1913205.553883__1.553883	487174__K0X353__DIT83_07800
ERR1913205.553919__1.553919	47678__R5U558__ERS852558_02232
ERR1913205.554000__1.554000	239935__A0A2N8I8X8__B5G29_00185
ERR1913205.554102__1.554102	214856__I3YPQ4__Alfi_2712
ERR1913205.554132__1.554132	328814__GCA_004558275.1_01822
ERR1913205.554296__1.554296	487174__K0WZN5__HMPREF9448_01108
ERR1913205.554568__1.554568	239935__A0A2N8IVR0__CXT87_07115
ERR1913205.554664__1.554664	214856__R6XUN2__rcsC_1
ERR1913205.554680__1.554680	39492__D4JQL8__ywpJ
ERR1913205.554683__1.554683	239935__A0A2N8IYM5__CXT84_05130
ERR1913205.554747__1.554747	39492__D4JS87__EUBSIR_02328
ERR1913205.554948__1.554948	214856__R5UN64__ERS852447_02669
ERR1913205.554960__1.554960	301302__A0A173T929__M72_26841
ERR1913205.555100__1.555100	1262989__R6YGB8__BN815_00667
ERR1913205.555253__1.555253	239935__A0A2N8HHB6__B5G29_11500
ERR1913205.555293__1.555293	301302__A0A0M6WPV4__M72_29701
ERR1913205.555401__1.555401	301302__A0A173TWC1__phoR_7
ERR1913205.555522__1.555522	328813__A0A1Y3QZ64__B5G41_14235
ERR1913205.555543__1.555543	1262882__R5MRS7__BN519_01490
ERR1913205.555626__1.555626	1262882__R5MYS0__BN519_00284
ERR1913205.555789__1.555789	1262911__R6GZX7__BN557_00838
ERR1913205.555821__1.555821	214856__R5UN64__ERS852447_02669
ERR1913205.556168__1.556168	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913205.556338__1.556338	1501391__GCA_000786575.1_00060
ERR1913205.556344__1.556344	1262882__R5MSX6__BN519_01697
ERR1913205.556419__1.556419	818__A0A174VIU7__ERS852557_03640
ERR1913205.556573__1.556573	1897011__A0A1Q6REW8__BHW41_04435
ERR1913205.556676__1.556676	1262911__R6GKS1__BN557_00184
ERR1913205.556681__1.556681	214856__R6Z288__ERS852447_00734
ERR1913205.556733__1.556733	39492__R6SPM9__pheT
ERR1913205.556915__1.556915	239935__A0A2N8IHY1__CXU06_00035
ERR1913205.557050__1.557050	47678__A5ZL09__BACCAC_03608
ERR1913205.557123__1.557123	1262882__R5MF43__BN519_00282
ERR1913205.557180__1.557180	1965604__A0A1Y4EWV6__B5F54_09335
ERR1913205.557402__1.557402	1262882__R5N5J6__BN519_01504
ERR1913205.557407__1.557407	214856__I3YPP9__Alfi_2707
ERR1913205.557429__1.557429	214856__R6XS46__ERS852559_00812
ERR1913205.557838__1.557838	214856__I3YPP9__Alfi_2707
ERR1913205.557807__1.557807	818__Q8A3R2__C799_03293
ERR1913205.557917__1.557917	214856__I3YPP9__Alfi_2707
ERR1913205.557963__1.557963	214856__R6XNE7__ERS852447_02267
ERR1913205.558211__1.558211	1262882__R5N4F5__BN519_01266
ERR1913205.558196__1.558196	301302__A0A0M6WPV4__M72_29701
ERR1913205.558202__1.558202	214856__R6Y6H8__ERS852447_01719
ERR1913205.558272__1.558272	214856__R6Z288__ERS852447_00734
ERR1913205.558553__1.558553	821__D4VD59__BHV80_04260
ERR1913205.558623__1.558623	214856__R6Y8K1__ERS852447_02509
ERR1913205.558642__1.558642	214856__A0A174ZLX0__ERS852559_00738
ERR1913205.558912__1.558912	39492__D4MIK7__EUBSIR_00676
ERR1913205.558952__1.558952	39492__D4JUP6__ERS852540_01404
ERR1913205.559032__1.559032	1262882__R5MJM8__BN519_01064
ERR1913205.559112__1.559112	487174__K0WZ94__HMPREF9448_00984
ERR1913205.559413__1.559413	47678__R5UST1__ERS852558_03505
ERR1913205.559488__1.559488	1262882__R5N3T7__BN519_01188
ERR1913205.559528__1.559528	214856__I3YPQ6__Alfi_2714
ERR1913205.559530__1.559530	239935__A0A2N8HL14__CXT98_09285
ERR1913205.559551__1.559551	28118__F9Z7M2__B5F99_10065
ERR1913205.559575__1.559575	214856__R6Z590__ERS852447_01059
ERR1913205.559707__1.559707	649756__B0NYW1__DCR88_01045
ERR1913205.559859__1.559859	39496__A5Z5I2__EUBVEN_00963
ERR1913205.560039__1.560039	1262882__R5MJJ9__BN519_01035
ERR1913205.560159__1.560159	239935__A0A2N8IVK9__CXU08_03750
ERR1913205.560277__1.560277	216816__A0A396FRQ5__DD678_01245
ERR1913205.560294__1.560294	214856__I3YPQ4__Alfi_2712
ERR1913205.560677__1.560677	328813__A0A1Y3QQ66__B5G41_14240
ERR1913205.560892__1.560892	239935__A0A2N8I8X8__B5G29_00185
ERR1913205.561075__1.561075	106588__A6NUL8__BACCAP_01900
ERR1913205.561360__1.561360	214856__A0A174ZLW6__ERS852559_01424
ERR1913205.561508__1.561508	1150298__A0A173ZI89__ERS852498_03535
ERR1913205.561552__1.561552	1501391__GCA_000786575.1_00016
ERR1913205.561561__1.561561	239935__A0A2N8I5H6__CXT92_05565
ERR1913205.561608__1.561608	410072__A0A3E4GRP6__DXD67_05285
ERR1913205.561615__1.561615	310298__B3JQJ5__BACCOP_04231
ERR1913205.561761__1.561761	649756__E5VMQ9__prkC_2
ERR1913205.561901__1.561901	214856__I3YMC8__ERS852447_02666
ERR1913205.561933__1.561933	214856__R6Z590__ERS852447_01059
ERR1913205.562053__1.562053	214856__R6Y9P5__ERS852559_01811
ERR1913205.562090__1.562090	214856__A0A174EJT5__mnmA
ERR1913205.562123__1.562123	214856__R6Z288__ERS852447_00734
ERR1913205.562185__1.562185	214856__A0A174CRY5__ERS852559_01060
ERR1913205.562536__1.562536	214856__I3YPR2__Alfi_2720
ERR1913205.562566__1.562566	1262882__R5MIY9__BN519_01097
ERR1913205.562631__1.562631	239935__A0A139TVJ4__CXT86_02020
ERR1913205.562820__1.562820	214856__R6Y9P5__ERS852559_01811
ERR1913205.562918__1.562918	239935__R6J5N6__CXT99_10770
ERR1913205.562955__1.562955	39485__A0A174ZAI7__outO
ERR1913205.563070__1.563070	214856__I3YPP0__ERS852447_01388
ERR1913205.563098__1.563098	239935__R6JCH3__CXT95_08205
ERR1913205.563138__1.563138	214856__A0A174CRY5__ERS852559_01060
ERR1913205.563319__1.563319	1501391__GCA_000786575.1_00035
ERR1913205.563453__1.563453	47678__R5U9M8__CGC64_07665
ERR1913205.563541__1.563541	239935__A0A2N8I3Z7__CXU05_10555
ERR1913205.563662__1.563662	1262882__R5N1Z9__BN519_01020
ERR1913205.563706__1.563706	33025__A0A395J947__C8D73_11315
ERR1913205.563711__1.563711	1262882__R5MT08__BN519_01706
ERR1913205.563810__1.563810	239935__A0A2N8IL82__CXU02_11740
ERR1913205.563970__1.563970	1501391__GCA_000786575.1_00058
ERR1913205.563998__1.563998	556259__E5C6L5__BSGG_0298
ERR1913205.563999__1.563999	556259__E5C6L5__BSGG_0298
ERR1913205.564222__1.564222	214856__A0A174EJT5__mnmA
ERR1913205.564283__1.564283	1262882__R5MLA4__BN519_01536
ERR1913205.564373__1.564373	47678__A0A174VGP6__HMPREF1061_01625
ERR1913205.564473__1.564473	214856__A0A174EQR4__rsmA
ERR1913205.564579__1.564579	1262882__R5MJZ4__BN519_01269
ERR1913205.564637__1.564637	214856__A0A174CRY5__ERS852559_01060
ERR1913205.564722__1.564722	239935__A0A2N8HT44__CXT84_11035
ERR1913205.564817__1.564817	189722__E0NQU7__HMPREF0658_0548
ERR1913205.564895__1.564895	818__A0A1H7TGM1__BJP75_010615
ERR1913205.565053__1.565053	214856__A0A173YXX1__ERS852559_01651
ERR1913205.565104__1.565104	214856__A0A174ZLW6__ERS852559_01424
ERR1913205.565291__1.565291	214856__R6Y2Y4__ERS852447_01086
ERR1913205.565395__1.565395	214856__R6Z320__ERS852447_02148
ERR1913205.565513__1.565513	214856__I3YPR2__Alfi_2720
ERR1913205.565664__1.565664	239935__A0A2N8IKW7__pstA
ERR1913205.566249__1.566249	214856__I3YPR6__Alfi_2724
ERR1913205.566300__1.566300	214856__A0A174EQR4__rsmA
ERR1913205.566423__1.566423	214856__I3YPI7__pepD_1
ERR1913205.566436__1.566436	292800__G9YSG9__HMPREF0372_02476
ERR1913205.566605__1.566605	301302__R5V4M3__ERS852420_01171
ERR1913205.566959__1.566959	818__A0A174VV39__BT_3492
ERR1913205.566937__1.566937	214856__A0A173YXX1__ERS852559_01651
ERR1913205.567056__1.567056	29347__B0NJX6__CLOSCI_03817
ERR1913205.567081__1.567081	214856__I3YPN3__ERS852447_01395
ERR1913205.567112__1.567112	1501391__GCA_000786575.1_00072
ERR1913205.567126__1.567126	214856__I3YPR5__ERS852447_01364
ERR1913205.567215__1.567215	410072__A0A174AMX4__dacB_1
ERR1913205.567340__1.567340	239935__A0A2N8IMC9__CXU09_02095
ERR1913205.567543__1.567543	239935__A0A2N8HUU6__CXT90_06150
ERR1913205.567709__1.567709	39492__D4JRV7__EUBSIR_01513
ERR1913205.567713__1.567713	1262882__R5MF58__BN519_00393
ERR1913205.567831__1.567831	487174__K0XG34__HMPREF9448_02234
ERR1913205.568075__1.568075	214856__I3YMB7__Alfi_1811
ERR1913205.568120__1.568120	487174__K0WT60__DDY40_05170
ERR1913205.568189__1.568189	214856__R6YD52__ERS852447_02171
ERR1913205.568219__1.568219	487174__K0WWT0__DIT83_10190
ERR1913205.568228__1.568228	214856__I3YPN9__ERS852447_01389
ERR1913205.568229__1.568229	214856__A0A174ZLW6__ERS852559_01424
ERR1913205.568233__1.568233	214856__R6Z4Q8__ERS852447_00885
ERR1913205.568340__1.568340	214856__A0A174H6R3__ERS852447_02809
ERR1913205.568353__1.568353	214856__R6Y8K1__ERS852447_02509
ERR1913205.568385__1.568385	2108523__A0A2P2F3W3__LAWASA_692
ERR1913205.568389__1.568389	214856__A0A174CRY5__ERS852559_01060
ERR1913205.568409__1.568409	239935__A0A2N8HHB6__B5G29_11500
ERR1913205.568410__1.568410	39492__D4JS06__ERS852540_02297
ERR1913205.568476__1.568476	214856__I3YPN5__Alfi_2693
ERR1913205.568461__1.568461	410072__A0A173XQG6__ERS852574_01620
ERR1913205.568518__1.568518	214856__A0A174CRY5__ERS852559_01060
ERR1913205.568704__1.568704	1535__A7VRY8__CLOLEP_01325
ERR1913205.569047__1.569047	214856__R6XP73__ERS852447_00886
ERR1913205.569069__1.569069	1235835__R9LCU2__C814_02677
ERR1913205.569330__1.569330	1262882__R5MPL0__BN519_01038
ERR1913205.569358__1.569358	328813__A0A1Y3QZ64__B5G41_14235
ERR1913205.569398__1.569398	239935__A0A2N8IUW6__Amuc_1525
ERR1913205.569507__1.569507	214856__A0A174ZLW6__ERS852559_01424
ERR1913205.569591__1.569591	1150298__A0A174M5S6__ERS852498_01656
ERR1913205.569632__1.569632	487174__R5EUJ8__DDY40_00460
ERR1913205.569823__1.569823	214856__I3YPP9__Alfi_2707
ERR1913205.569786__1.569786	1501391__GCA_000786575.1_00018
ERR1913205.569981__1.569981	239935__A0A2N8I791__CXT99_09415
ERR1913205.569923__1.569923	214856__R6XTZ7__ERS852447_02314
ERR1913205.570275__1.570275	487174__K0WUW8__DDY40_02615
ERR1913205.570470__1.570470	1262882__R5N3H1__BN519_01121
ERR1913205.570503__1.570503	1262882__R5N1R4__BN519_00788
ERR1913205.570588__1.570588	39492__D4JRM9__bglB_2
ERR1913205.570810__1.570810	214856__I3YPQ0__ERS852447_01379
ERR1913205.570880__1.570880	239935__A0A139TT05__CXU09_03335
ERR1913205.570985__1.570985	214856__R6YD52__ERS852447_02171
ERR1913205.570944__1.570944	1262882__R5MM10__BN519_01679
ERR1913205.571256__1.571256	821__A0A395US34__C5Z04_18975
ERR1913205.571483__1.571483	214856__R6Z7Q9__ERS852447_02172
ERR1913205.571491__1.571491	214856__I3YMC8__ERS852447_02666
ERR1913205.571717__1.571717	214856__R6XS46__ERS852559_00812
ERR1913205.571687__1.571687	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913205.572076__1.572076	239935__A0A2N8HT18__CXT93_06135
ERR1913205.572251__1.572251	487174__K0X6Z7__DDY40_11525
ERR1913205.572323__1.572323	239935__A0A2N8ITX2__CXT86_11265
ERR1913205.572380__1.572380	1262882__R5N048__BN519_00502
ERR1913205.572414__1.572414	214856__A0A173YXX1__ERS852559_01651
ERR1913205.572709__1.572709	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913205.573076__1.573076	214856__I3YMC8__ERS852447_02666
ERR1913205.573170__1.573170	239935__R6JAS2__CXU02_10725
ERR1913205.573208__1.573208	214856__A0A174CRY5__ERS852559_01060
ERR1913205.573314__1.573314	47678__R5UER2__CGC64_00710
ERR1913205.573324__1.573324	1262882__R5N345__BN519_01034
ERR1913205.573560__1.573560	214856__R6YD52__ERS852447_02171
ERR1913205.573732__1.573732	1262882__R5MJZ4__BN519_01269
ERR1913205.573774__1.573774	487174__K0X429__HMPREF9448_00932
ERR1913205.573904__1.573904	818__A0A139K7W4__ERS852511_00771
ERR1913205.574117__1.574117	214856__A0A174ZLW6__ERS852559_01424
ERR1913205.574133__1.574133	1262777__R5VQY2__BN512_00997
ERR1913205.574274__1.574274	821__A0A3E4XY72__NCTC10583_01067
ERR1913205.574284__1.574284	1262882__R5N211__BN519_01033
ERR1913205.574463__1.574463	458033__GCA_001482755.1_02203
ERR1913205.574616__1.574616	1262882__R5N1T9__BN519_00804
ERR1913205.574718__1.574718	214856__R6XP73__ERS852447_00886
ERR1913205.574695__1.574695	1262882__R5N1T9__BN519_00804
ERR1913205.574747__1.574747	214856__R6XQX8__ERS852559_02550
ERR1913205.574940__1.574940	214856__I3YMN6__Alfi_1938
ERR1913205.574921__1.574921	1262882__R5MYX5__BN519_00333
ERR1913205.574887__1.574887	1262882__R5MRS7__BN519_01490
ERR1913205.574861__1.574861	239935__A0A2N8IZ16__CXT84_05850
ERR1913205.575200__1.575200	1262882__R5MQ68__BN519_01178
ERR1913205.575127__1.575127	214856__I3YMN6__Alfi_1938
ERR1913205.575157__1.575157	28118__F9Z7S2__DF785_12600
ERR1913205.575209__1.575209	214856__R6Y6H8__ERS852447_01719
ERR1913205.575276__1.575276	214856__R6Y6H8__ERS852447_01719
ERR1913205.575426__1.575426	214856__I3YPR6__Alfi_2724
ERR1913205.575444__1.575444	214856__R6XTZ7__ERS852447_02314
ERR1913205.575498__1.575498	239935__A0A2N8IVR0__CXT87_07115
ERR1913205.575605__1.575605	1262882__R5MKU2__BN519_01271
ERR1913205.575723__1.575723	239935__A0A139TPG3__CXT86_08810
ERR1913205.575882__1.575882	214856__R6XYY8__ERS852447_01722
ERR1913205.576024__1.576024	487174__K0WZU9__HMPREF9448_01159
ERR1913205.576133__1.576133	1501391__GCA_000786575.1_00079
ERR1913205.576138__1.576138	487174__K0X3L3__DDY40_11345
ERR1913205.576294__1.576294	1262882__R5MYX5__BN519_00333
ERR1913205.576387__1.576387	649756__A0A173S8W9__DCR88_01065
ERR1913205.576469__1.576469	821__A0A396F598__CUU_3259
ERR1913205.576943__1.576943	214856__R6YC22__ERS852447_01215
ERR1913205.577173__1.577173	626932__G5H6W0__HMPREF9450_00670
ERR1913205.577315__1.577315	214856__I3YMB7__Alfi_1811
ERR1913205.577604__1.577604	1262882__R5MKV8__BN519_01281
ERR1913205.577671__1.577671	214856__I3YMC8__ERS852447_02666
ERR1913205.577673__1.577673	214856__A0A173YXX1__ERS852559_01651
ERR1913205.577895__1.577895	165179__R6C3K4__PREVCOP_05795
ERR1913205.577907__1.577907	214856__I3YPQ6__Alfi_2714
ERR1913205.577970__1.577970	1262882__R5MXW0__BN519_00317
ERR1913205.578017__1.578017	214856__I3YMB7__Alfi_1811
ERR1913205.578131__1.578131	1262882__R5N1L4__BN519_00757
ERR1913205.578142__1.578142	1262882__R5N004__BN519_00490
ERR1913205.578173__1.578173	1501391__GCA_000786575.1_00017
ERR1913205.578298__1.578298	1501391__GCA_000786575.1_00059
ERR1913205.578381__1.578381	39492__D4JWL2__ERS852540_01201
ERR1913205.578385__1.578385	328813__A0A1Y3QXE7__B5G41_03065
ERR1913205.578695__1.578695	214856__R6XQX8__ERS852559_02550
ERR1913205.578755__1.578755	214856__I3YPI7__pepD_1
ERR1913205.579008__1.579008	239935__R6IZT7__CXU18_11710
ERR1913205.579131__1.579131	214856__A0A175A6T5__ERS852447_02658
ERR1913205.579171__1.579171	1262882__R5MM90__BN519_01721
