ERR1913221.832__1.832	33043__A0A173X520__ERS852575_01617
ERR1913221.1135047__1.1135047	1262825__R5E4H7__BN724_01665
ERR1913221.1135177__1.1135177	1262930__R6AST5__BN693_01722
ERR1913221.1135193__1.1135193	33043__D5HFX2__ERS852445_02161
ERR1913221.1135604__1.1135604	28116__A0A139L6N6__HMPREF2532_02529
ERR1913221.1135653__1.1135653	45851__D4RWJ0__BHV86_05915
ERR1913221.1135801__1.1135801	165179__D1PEW8__DXB80_13775
ERR1913221.1135938__1.1135938	853__E2ZJT1__C4N23_03535
ERR1913221.1135994__1.1135994	1262825__R5E090__BN724_01145
ERR1913221.1136416__1.1136416	39491__C4ZHS4__EUR_24420
ERR1913221.1136438__1.1136438	1262761__R6RU22__BN606_01110
ERR1913221.1136823__1.1136823	1262886__R6QH06__BN563_00448
ERR1913221.1136853__1.1136853	45851__D4S1R9__BHV86_08150
ERR1913221.1136954__1.1136954	45851__D4S1R9__BHV86_08150
ERR1913221.1136927__1.1136927	45851__D4RWN6__BUTYVIB_00072
ERR1913221.1136993__1.1136993	39485__A0A174Z551__glnL
ERR1913221.1137077__1.1137077	45851__D4RYD1__ytvI
ERR1913221.1137175__1.1137175	45851__D4S0T7__BHV86_09275
ERR1913221.1137218__1.1137218	165179__A0A3E5A832__DXC61_13685
ERR1913221.1137391__1.1137391	1262886__R6QJF6__BN563_01169
ERR1913221.1137473__1.1137473	1262761__R6QUM5__BN606_02048
ERR1913221.1138027__1.1138027	357276__A0A0M1W657__HMPREF1064_04629
ERR1913221.1138237__1.1138237	165179__A0A174SR12__DXB80_04410
ERR1913221.1138403__1.1138403	384638__B7APN3__BACPEC_00639
ERR1913221.1138432__1.1138432	1547597__A0A318N2U3__IE90_04590
ERR1913221.1138495__1.1138495	39488__A0A285PT16__EHLA_2140
ERR1913221.1138571__1.1138571	1262911__R6H1D2__BN557_00855
ERR1913221.1138686__1.1138686	45851__D4RZD5__BUTYVIB_01201
ERR1913221.1138702__1.1138702	458033__GCA_001482755.1_02203
ERR1913221.1138875__1.1138875	1262760__R5LAS3__BN758_00722
ERR1913221.1138958__1.1138958	33043__D5HEU4__ftsW_3
ERR1913221.1139267__1.1139267	821__D4VD59__BHV80_04260
ERR1913221.1139477__1.1139477	165179__A0A229I9X5__CFT61_01205
ERR1913221.1139640__1.1139640	45851__D4RWN6__BUTYVIB_00072
ERR1913221.1139686__1.1139686	45851__D4RW33__ylbJ
ERR1913221.1139840__1.1139840	45851__D4S1I1__BHV86_08605
ERR1913221.1140126__1.1140126	45851__D4S031__BHV86_10500
ERR1913221.1140206__1.1140206	1262761__R6QJJ2__BN606_00358
ERR1913221.1140409__1.1140409	45851__D4RYI3__BHV86_01630
ERR1913221.1140842__1.1140842	45851__R5LVD9__BHV86_05140
ERR1913221.1141091__1.1141091	45851__D4RZ69__BUTYVIB_01134
ERR1913221.1141101__1.1141101	1262882__R5N4D8__BN519_01497
ERR1913221.1141234__1.1141234	1262930__R6A254__BN693_01006
ERR1913221.1141317__1.1141317	165179__A0A229I6N7__DXC61_06720
ERR1913221.1141643__1.1141643	33043__D5HGK4__ERS852445_01371
ERR1913221.1141802__1.1141802	39485__A0A174YZZ2__ERS852492_00215
ERR1913221.1141884__1.1141884	1262761__R6QUM5__BN606_02048
ERR1913221.1141906__1.1141906	1284775__A0A096A9J4__HMPREF1640_07270
ERR1913221.1142089__1.1142089	2173__A0A1D2WTR0__METSMIALI_00480
ERR1913221.1142254__1.1142254	39492__D4JW10__pppA
ERR1913221.1142327__1.1142327	45851__D4RZ69__BUTYVIB_01134
ERR1913221.1142421__1.1142421	45851__D4RWJ7__BHV86_05950
ERR1913221.1142451__1.1142451	45851__D4S080__BHV86_10275
ERR1913221.1142543__1.1142543	853__E2ZGD9__C7J97_11715
ERR1913221.1142758__1.1142758	39491__A0A395ZBW8__DXC13_08840
ERR1913221.1142764__1.1142764	39485__A0A174YKY3__EUBELI_00877
ERR1913221.1143006__1.1143006	39485__A0A1Q6PHD7__ERS852492_01801
ERR1913221.1143082__1.1143082	1262760__R5L7U3__BN758_01171
ERR1913221.1143088__1.1143088	1262825__R5EAZ2__BN724_01131
ERR1913221.1143293__1.1143293	1262741__R6DA30__BN697_01397
ERR1913221.1143558__1.1143558	1262760__R5LS15__BN758_01474
ERR1913221.1143640__1.1143640	39491__A0A173QT73__alaS_2
ERR1913221.1143697__1.1143697	1150298__A0A174DQT6__ERS852498_00506
ERR1913221.1143700__1.1143700	45851__D4RWI2__BHV86_07325
ERR1913221.1143756__1.1143756	45851__D4RWC5__BHV86_07005
ERR1913221.1143899__1.1143899	853__C7H7F5__DWZ46_01780
ERR1913221.1144021__1.1144021	45851__D4S2U9__BHV86_05685
ERR1913221.1144097__1.1144097	165179__A0A3E5A5E5__DXC61_13965
ERR1913221.1144291__1.1144291	1262761__R6QQ60__BN606_01316
ERR1913221.1144324__1.1144324	2173__A5UL11__BK798_00645
ERR1913221.1144350__1.1144350	384638__B7APN3__BACPEC_00639
ERR1913221.1144638__1.1144638	853__A0A173T751__C4N24_10280
ERR1913221.1144801__1.1144801	45851__D4S0F7__BUTYVIB_01576
ERR1913221.1144896__1.1144896	39485__C4Z6J7__ERS852492_02047
ERR1913221.1145087__1.1145087	821__A0A395UNT8__DXD64_15275
ERR1913221.1145251__1.1145251	45851__D4RZA1__rimI
ERR1913221.1145597__1.1145597	572010__group_1842
ERR1913221.1145695__1.1145695	357276__B6W1J2__BACDOR_03380
ERR1913221.1145787__1.1145787	45851__D4S1E0__BUTYVIB_01910
ERR1913221.1145882__1.1145882	39485__A0A174YNW2__cph2_3
ERR1913221.1145884__1.1145884	39485__A0A174YZZ2__ERS852492_00215
ERR1913221.1146152__1.1146152	39485__A0A174YMI9__cph2_5
ERR1913221.1146174__1.1146174	1262760__R5LFS9__BN758_01687
ERR1913221.1146253__1.1146253	45851__D4S2U9__BHV86_05685
ERR1913221.1146560__1.1146560	100886__A0A174M9X7__CATMIT_00555
ERR1913221.1146569__1.1146569	39485__A0A174YTF8__EUBELI_20448
ERR1913221.1146736__1.1146736	45851__D4RWC8__BHV86_07020
ERR1913221.1146839__1.1146839	1262961__R6DYA6__BN710_00447
ERR1913221.1147267__1.1147267	165179__A0A3E5EBY9__CFT61_01220
ERR1913221.1147339__1.1147339	1735__B7CE14__EUBIFOR_02449
ERR1913221.1147531__1.1147531	33039__D4M5E1__ERS852577_03873
ERR1913221.1147717__1.1147717	1262760__R5LQ81__BN758_01147
ERR1913221.1148045__1.1148045	45851__D4S2F2__BHV86_00830
ERR1913221.1148068__1.1148068	2173__R7PT68__Msm_0886
ERR1913221.1148191__1.1148191	745368__A0A1T4XBZ7__SAMN02745178_01676
ERR1913221.1148332__1.1148332	33043__D5HHE4__ERS852445_02332
ERR1913221.1148591__1.1148591	1262911__R6GPB5__BN557_00842
ERR1913221.1148621__1.1148621	33043__A0A173WXS1__ERS852445_00262
ERR1913221.1148665__1.1148665	1262882__R5MFK5__BN519_00378
ERR1913221.1148737__1.1148737	239935__B2UNF6__CXU17_03450
ERR1913221.1148760__1.1148760	39485__R5ZPP8__EUBELI_20334
ERR1913221.1148922__1.1148922	45851__R5LRK0__BUTYVIB_00520
ERR1913221.1148933__1.1148933	1897011__A0A1Q6RHD3__BHW41_02220
ERR1913221.1148949__1.1148949	45851__D4S0Q4__lepB
ERR1913221.1148965__1.1148965	45851__D4RZ82__BHV86_03550
ERR1913221.1149129__1.1149129	39485__A0A174ZLH6__EUBELI_01564
ERR1913221.1149293__1.1149293	853__A0A174C5M1__CGS58_04460
ERR1913221.1149297__1.1149297	45851__D4RXC9__BUTYVIB_00480
ERR1913221.1149426__1.1149426	39485__A0A174Z851__cdaR_1
ERR1913221.1150020__1.1150020	1262882__R5N5J6__BN519_01504
ERR1913221.1150077__1.1150077	33043__D5HGZ8__nnr
ERR1913221.1150081__1.1150081	1262961__R6EH58__BN710_00506
ERR1913221.1150145__1.1150145	165179__D1PCT4__DXB80_09470
ERR1913221.1150188__1.1150188	45851__D4S0T7__BHV86_09275
ERR1913221.1150322__1.1150322	1262825__R5EGZ8__BN724_01767
ERR1913221.1150324__1.1150324	1262886__R6QP39__BN563_00737
ERR1913221.1150356__1.1150356	1262825__R5E8F5__BN724_02070
ERR1913221.1150617__1.1150617	626940__E8LC93__DCQ00_09725
ERR1913221.1150604__1.1150604	45851__D4RWC8__BHV86_07020
ERR1913221.1150557__1.1150557	45851__D4RYA4__BHV86_02030
ERR1913221.1150805__1.1150805	45851__D4S2F2__BHV86_00830
ERR1913221.1151428__1.1151428	39491__A0A395ZE48__DXB76_02395
ERR1913221.1151553__1.1151553	544645__A0A3E4TG71__DXC42_03425
ERR1913221.1151787__1.1151787	1263107__GCA_000436995.1_00014
ERR1913221.1151809__1.1151809	1262958__R7H3S4__BN645_00399
ERR1913221.1151945__1.1151945	45851__D4RZ86__BHV86_03570
ERR1913221.1151971__1.1151971	39492__D4JR04__phoU
ERR1913221.1152887__1.1152887	1262911__R6GPM2__BN557_00937
ERR1913221.1152943__1.1152943	45851__D4RYG8__BUTYVIB_00874
ERR1913221.1153003__1.1153003	165179__A0A3E5AGH1__DXB80_05820
ERR1913221.1153073__1.1153073	187979__A0A173WIS8__ERS852385_00261
ERR1913221.1153147__1.1153147	165179__A0A3E5E4T9__DXB80_08030
ERR1913221.1153211__1.1153211	1680__A0A087DLC6__C8077_00815
ERR1913221.1153259__1.1153259	45851__R5LRK0__BUTYVIB_00520
ERR1913221.1153280__1.1153280	820__A0A139KIL9__DXC68_05945
ERR1913221.1153297__1.1153297	1262825__R5ECD5__BN724_02213
ERR1913221.1153347__1.1153347	1262911__R6H2J2__BN557_01228
ERR1913221.1153412__1.1153412	33043__A0A173YYE7__ERS852445_00670
ERR1913221.1153972__1.1153972	1263000__R5ER71__BN466_00316
ERR1913221.1154023__1.1154023	384638__B7APN3__BACPEC_00639
ERR1913221.1154034__1.1154034	1262777__R5VKL1__BN512_01959
ERR1913221.1154211__1.1154211	39485__C4Z0I4__ERS852492_00258
ERR1913221.1154234__1.1154234	165179__A0A3E5E4P9__DXB80_07930
ERR1913221.1154280__1.1154280	45851__D4RZ82__BHV86_03550
ERR1913221.1154411__1.1154411	39485__C4Z6K2__ERS852490_00407
ERR1913221.1154600__1.1154600	45851__D4RWN7__BHV86_06150
ERR1913221.1154607__1.1154607	28111__E5WVI9__BACEGG_03583
ERR1913221.1154661__1.1154661	33043__D5HGR0__rpfC_2
ERR1913221.1154999__1.1154999	100886__E2NUY7__ERS852383_04727
ERR1913221.1155006__1.1155006	45851__D4RYG8__BUTYVIB_00874
ERR1913221.1154978__1.1154978	2033405__A0A2L2WP67__PvtlMGM1_1949
ERR1913221.1155542__1.1155542	1262761__R6QRP2__BN606_00241
ERR1913221.1155903__1.1155903	1262761__R6R2P8__BN606_01616
ERR1913221.1155939__1.1155939	1263006__R6LVB9__BN515_01765
ERR1913221.1155948__1.1155948	165179__D1PHD6__DXC61_03380
ERR1913221.1156169__1.1156169	458033__GCA_001482755.1_02203
ERR1913221.1156320__1.1156320	1262911__R6GPB5__BN557_00842
ERR1913221.1156325__1.1156325	28117__B0MYM2__BHV66_04910
ERR1913221.1156495__1.1156495	45851__D4RW33__ylbJ
ERR1913221.1156843__1.1156843	39485__A0A174ZPH7__ERS852490_01992
ERR1913221.1156967__1.1156967	28118__F9ZBL4__NCTC10826_02348
ERR1913221.1157067__1.1157067	45851__D4RZF4__BUTYVIB_01220
ERR1913221.1157081__1.1157081	165179__A0A174W369__PREVCOP_04548
ERR1913221.1157134__1.1157134	2173__A0A1D2WTP5__BK798_02785
ERR1913221.1157185__1.1157185	165179__R6BQP4__DXC61_02015
ERR1913221.1157265__1.1157265	45851__D4RYC5__BHV86_01930
ERR1913221.1157365__1.1157365	706562__GCA_900112995.1_00664
ERR1913221.1157396__1.1157396	2173__A5ULL1__Msm_0884
ERR1913221.1157432__1.1157432	1262882__R5N587__BN519_01643
ERR1913221.1157441__1.1157441	28118__F9Z4Q7__DER54_08070
ERR1913221.1157449__1.1157449	45851__D4S2F3__BUTYVIB_02275
ERR1913221.1157479__1.1157479	45851__D4RWR5__BHV86_06295
ERR1913221.1157695__1.1157695	45851__D4S0F7__BUTYVIB_01576
ERR1913221.1157808__1.1157808	1150298__R7JUS2__ERS852498_02193
ERR1913221.1157999__1.1157999	45851__D4S200__BHV86_07815
ERR1913221.1158021__1.1158021	1263005__R6EQK0__BN497_01623
ERR1913221.1158115__1.1158115	39485__R6AET9__EUBELI_01205
ERR1913221.1158606__1.1158606	39491__A0A396FFW0__ERE_10580
ERR1913221.1158922__1.1158922	1262760__R5M0C0__BN758_00437
ERR1913221.1159075__1.1159075	33039__R6P0F1__ERS852424_02256
ERR1913221.1159085__1.1159085	39485__R5ZRT8__gmr_6
ERR1913221.1159682__1.1159682	88431__A0A174G8Q6__ERS852526_02711
ERR1913221.1159803__1.1159803	45851__R5LL35__BUTYVIB_01928
ERR1913221.1160058__1.1160058	418240__A0A174SJB0__toxA_3
ERR1913221.1160095__1.1160095	2173__A5UNY6__BK798_04575
ERR1913221.1160462__1.1160462	165179__A0A3E5E7J5__DXC61_10360
ERR1913221.1160483__1.1160483	39485__R5ZPP8__EUBELI_20334
ERR1913221.1160561__1.1160561	2022527__A0A264YAY9__CHL74_01555
ERR1913221.1160568__1.1160568	165179__A0A3E5A832__DXC61_13685
ERR1913221.1160726__1.1160726	2022527__A0A264YAY9__CHL74_01555
ERR1913221.1160728__1.1160728	1262959__R5XVI8__BN680_00158
ERR1913221.1161402__1.1161402	1262882__R5MIW5__BN519_00945
ERR1913221.1161384__1.1161384	821__A0A174JYD3__ERS852457_02610
ERR1913221.1161572__1.1161572	165179__A0A229I740__DXC61_10430
ERR1913221.1161971__1.1161971	1262882__R5MHQ8__BN519_00707
ERR1913221.1162021__1.1162021	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913221.1162092__1.1162092	45851__R5LJL1__BHV86_09305
ERR1913221.1162123__1.1162123	39486__B0G7C0__DXD10_08735
ERR1913221.1162348__1.1162348	45851__D4RZA1__rimI
ERR1913221.1162374__1.1162374	39491__A0A396FSN2__EUBREC_0707
ERR1913221.1162558__1.1162558	39485__R5ZII6__EUBELI_00986
ERR1913221.1162956__1.1162956	39485__A0A174ZPH7__ERS852490_01992
ERR1913221.1162928__1.1162928	45851__D4RWC5__BHV86_07005
ERR1913221.1162998__1.1162998	301302__R5UMN4__M72_24341
ERR1913221.1163295__1.1163295	745368__A0A1T4Y7W7__SAMN02745178_02825
ERR1913221.1163414__1.1163414	45851__D4RWZ9__murF
ERR1913221.1163447__1.1163447	1262825__R5E7H3__BN724_01638
ERR1913221.1163574__1.1163574	1263107__GCA_000436995.1_00210
ERR1913221.1163638__1.1163638	1262882__R5N1T9__BN519_00804
ERR1913221.1163777__1.1163777	821__A0A174K302__CUU_3129
ERR1913221.1164108__1.1164108	33043__D5HHF5__ERS852386_00025
ERR1913221.1164321__1.1164321	39485__A0A174ZA72__glgB_1
ERR1913221.1164370__1.1164370	45851__D4RZ82__BHV86_03550
ERR1913221.1164484__1.1164484	45851__D4S0Q4__lepB
ERR1913221.1164492__1.1164492	218139__GCA_002259595.1_00966
ERR1913221.1164524__1.1164524	45851__D4RZ86__BHV86_03570
ERR1913221.1164561__1.1164561	45851__D4RYI3__BHV86_01630
ERR1913221.1164713__1.1164713	1263006__R6LND6__BN515_01578
ERR1913221.1164931__1.1164931	165179__A0A3E5E920__DXB80_11625
ERR1913221.1164966__1.1164966	100886__A0A174HM39__CATMIT_01357
ERR1913221.1165010__1.1165010	2173__A0A1D2WTP5__BK798_02785
ERR1913221.1165450__1.1165450	1262911__R6H2J2__BN557_01228
ERR1913221.1165431__1.1165431	100886__A0A174JPG5__CATMIT_00078
ERR1913221.1165500__1.1165500	1262825__R5EER7__BN724_00148
ERR1913221.1165538__1.1165538	1262961__R6E2Q9__BN710_01022
ERR1913221.1165702__1.1165702	1262922__R6E8I4__BN487_00257
ERR1913221.1165774__1.1165774	45851__D4RW36__BUTYVIB_00166
ERR1913221.1165797__1.1165797	1263107__GCA_000436995.1_00147
ERR1913221.1165843__1.1165843	418240__A0A174VMW5__ERS852478_01082
ERR1913221.1165894__1.1165894	39485__A0A174YU30__ERS852492_02057
ERR1913221.1165949__1.1165949	818__A0A3E5GX69__NCTC13706_00796
ERR1913221.1165959__1.1165959	45851__D4RZ40__BHV86_03390
ERR1913221.1166287__1.1166287	1262886__R6QCG3__BN563_00145
ERR1913221.1166442__1.1166442	1262760__R5LWF0__BN758_02075
ERR1913221.1166494__1.1166494	45851__D4RWN6__BUTYVIB_00072
ERR1913221.1166513__1.1166513	1262911__R6GY78__BN557_00532
ERR1913221.1166593__1.1166593	39485__A0A1Q6PGI3__ERS852492_02967
ERR1913221.1166725__1.1166725	853__C7H7F8__yccM_1
ERR1913221.1166782__1.1166782	1263006__R6MPG9__BN515_01866
ERR1913221.1166791__1.1166791	33043__D5HI50__smf
ERR1913221.1166862__1.1166862	39485__C4Z0K2__ERS852490_00991
ERR1913221.1166817__1.1166817	1262958__R7GY92__BN645_01668
ERR1913221.1166911__1.1166911	39485__A0A174YTW2__EUBELI_20520
ERR1913221.1167577__1.1167577	28116__E5CHV5__B5F02_08530
ERR1913221.1167933__1.1167933	745368__A0A1T4XU57__SAMN02745178_02337
ERR1913221.1168043__1.1168043	165179__D1P9T6__PREVCOP_04016
ERR1913221.1168138__1.1168138	39485__A0A174YWE7__EUBELI_00979
ERR1913221.1168154__1.1168154	1547597__A0A0C3RGB5__BA92_05965
ERR1913221.1168156__1.1168156	1263006__R6LS76__BN515_00750
ERR1913221.1168182__1.1168182	39485__A0A174ZPH7__ERS852490_01992
ERR1913221.1168495__1.1168495	39485__C4Z028__ERS852492_00100
ERR1913221.1168601__1.1168601	39485__A0A174YMI9__cph2_5
ERR1913221.1168613__1.1168613	1262886__R6QNU3__BN563_00612
ERR1913221.1168679__1.1168679	47678__R5UT83__DW706_09750
ERR1913221.1168645__1.1168645	165179__D1PE06__DXC61_05975
ERR1913221.1168750__1.1168750	39485__C4Z0G6__spoIVB
ERR1913221.1168934__1.1168934	572010__tgt
ERR1913221.1169185__1.1169185	1262992__R5CXM7__BN795_01016
ERR1913221.1169193__1.1169193	45851__D4S0P6__BUTYVIB_01665
ERR1913221.1169473__1.1169473	1262825__R5E7C9__BN724_01626
ERR1913221.1169693__1.1169693	61171__B9Y5T8__HOLDEFILI_01170
ERR1913221.1169753__1.1169753	33043__A0A173W9Y8__ERS852575_00062
ERR1913221.1169982__1.1169982	384638__B7ASI3__BACPEC_02038
ERR1913221.1170296__1.1170296	39485__A0A174YMI9__cph2_5
ERR1913221.1170338__1.1170338	1262882__R5MM10__BN519_01679
ERR1913221.1170351__1.1170351	131111__K0Z2B9__CYJ25_03155
ERR1913221.1170373__1.1170373	1262882__R5MS31__BN519_01529
ERR1913221.1170484__1.1170484	45851__R5LRY3__BUTYVIB_01906
ERR1913221.1170542__1.1170542	39485__A0A175A023__yhhT
ERR1913221.1170770__1.1170770	45851__D4RZK8__BUTYVIB_01274
ERR1913221.1170828__1.1170828	45851__D4RW73__BHV86_06745
ERR1913221.1171271__1.1171271	301302__A0A173TTX1__M72_22141
ERR1913221.1171627__1.1171627	301302__A0A0M6W9I4__M72_19871
ERR1913221.1172189__1.1172189	1262825__R5E8D2__BN724_02151
ERR1913221.1172388__1.1172388	2022527__A0A264Y4M8__CHL74_12675
ERR1913221.1172477__1.1172477	45851__D4RY08__BUTYVIB_00711
ERR1913221.1172588__1.1172588	165179__D1PCY7__DXB80_02765
ERR1913221.1172802__1.1172802	1501391__GCA_000786575.1_00096
ERR1913221.1172977__1.1172977	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913221.1173138__1.1173138	1262825__R5EIY5__BN724_01999
ERR1913221.1173155__1.1173155	100886__E2NQS0__CATMIT_00923
ERR1913221.1173348__1.1173348	45851__D4S0Q4__lepB
ERR1913221.1173358__1.1173358	45851__D4RWN7__BHV86_06150
ERR1913221.1173359__1.1173359	45851__R5LYV2__BHV86_00590
ERR1913221.1173406__1.1173406	33043__D5HEL7__ERS852400_00347
ERR1913221.1173497__1.1173497	39485__C4Z2X2__ERS852492_01808
ERR1913221.1173621__1.1173621	45851__D4RYS4__BHV86_05460
ERR1913221.1173648__1.1173648	821__A0A0P0L8F8__ERS852509_03705
ERR1913221.1173723__1.1173723	45851__D4RWZ9__murF
ERR1913221.1173798__1.1173798	74426__nifJ
ERR1913221.1174039__1.1174039	154288__A0A174V053__btr_1
ERR1913221.1174314__1.1174314	745368__A0A1T4XVH8__SAMN02745178_02336
ERR1913221.1174410__1.1174410	745368__A0A1T4XVH8__SAMN02745178_02336
ERR1913221.1174766__1.1174766	165179__A0A3E5E4P9__DXB80_07930
ERR1913221.1174773__1.1174773	1262760__R5LR70__BN758_01365
ERR1913221.1174808__1.1174808	45851__D4S2J5__BUTYVIB_02317
ERR1913221.1174833__1.1174833	165179__A0A3E5DR10__DXC61_03505
ERR1913221.1174869__1.1174869	45851__D4S0P6__BUTYVIB_01665
ERR1913221.1174976__1.1174976	45851__D4RYB8__BHV86_01965
ERR1913221.1175012__1.1175012	45851__R5LL35__BUTYVIB_01928
ERR1913221.1175191__1.1175191	1262761__R6QYZ5__BN606_00402
ERR1913221.1175494__1.1175494	45851__D4S2F3__BUTYVIB_02275
ERR1913221.1175662__1.1175662	39491__A0A395V5R3__EUBREC_1883
ERR1913221.1175679__1.1175679	39485__A0A174YTX0__mro
ERR1913221.1175800__1.1175800	216816__E8MH24__APS65_02760
ERR1913221.1175842__1.1175842	165179__A0A3E4SEG4__DXC61_11235
ERR1913221.1175853__1.1175853	45851__D4S069__spoIVA
ERR1913221.1175904__1.1175904	45851__D4RZF5__BUTYVIB_01221
ERR1913221.1176113__1.1176113	39492__A0A174ZHV5__msbA_2
ERR1913221.1176139__1.1176139	1262882__R5MSS9__BN519_01662
ERR1913221.1176247__1.1176247	820__A0A3E4PYB0__yejM
ERR1913221.1176300__1.1176300	1042156__F7V3A8__HipB
ERR1913221.1176322__1.1176322	39485__R6A1W2__ERS852490_01584
ERR1913221.1176463__1.1176463	45851__D4RWS3__BUTYVIB_00110
ERR1913221.1176751__1.1176751	45851__D4RWC6__BHV86_07010
ERR1913221.1176891__1.1176891	1262886__R6QBN3__BN563_01269
ERR1913221.1177272__1.1177272	45851__D4S1A8__BHV86_08940
ERR1913221.1177386__1.1177386	1262929__R6EZP7__BN691_00230
ERR1913221.1177413__1.1177413	1262825__R5E1G0__BN724_01308
ERR1913221.1177775__1.1177775	39485__A0A174YSS6__trxB_2
ERR1913221.1177901__1.1177901	45851__D4RX43__BUTYVIB_00394
ERR1913221.1177967__1.1177967	33043__A0A173YYE7__ERS852445_00670
ERR1913221.1178016__1.1178016	1263006__R6MLA8__BN515_00853
ERR1913221.1178101__1.1178101	1262761__R6QWS5__BN606_02019
ERR1913221.1178204__1.1178204	45851__D4RWC5__BHV86_07005
ERR1913221.1178294__1.1178294	28118__F9Z750__Odosp_3044
ERR1913221.1178463__1.1178463	1262825__R5E0Q5__BN724_01182
ERR1913221.1178509__1.1178509	1262961__R6DN84__BN710_00209
ERR1913221.1178519__1.1178519	1262882__R5MEN9__BN519_00201
ERR1913221.1178558__1.1178558	1262961__R6DWA0__BN710_00347
ERR1913221.1178652__1.1178652	165179__A0A174WGF6__PREVCOP_04095
ERR1913221.1178676__1.1178676	33043__D5HH72__ERS852445_02265
ERR1913221.1178785__1.1178785	333367__C0D2L2__CLOSTASPAR_03501
ERR1913221.1178905__1.1178905	1262959__R5XZZ3__BN680_01211
ERR1913221.1178822__1.1178822	39485__A0A175A403__EUBELI_20577
ERR1913221.1179023__1.1179023	165179__A0A3E5E0D5__PREVCOP_04205
ERR1913221.1179225__1.1179225	821__A0A174V2F3__NCTC10583_01474
ERR1913221.1179368__1.1179368	1297617__A0A0S2W6L4__BIV19_07985
ERR1913221.1179445__1.1179445	45851__D4RXN5__BUTYVIB_00586
ERR1913221.1179567__1.1179567	39485__A0A174YZE2__spoIIE
ERR1913221.1179619__1.1179619	116085__A0A3E2TMI0__DW747_05170
ERR1913221.1179853__1.1179853	39491__D6E4H2__DXB99_00485
ERR1913221.1179904__1.1179904	1262825__R5DYW1__BN724_00868
ERR1913221.1179962__1.1179962	853__A0A173YYY4__DWZ04_09420
ERR1913221.1180055__1.1180055	165179__A0A3E5AGH1__DXB80_05820
ERR1913221.1180133__1.1180133	45851__D4RYU3__BUTYVIB_01007
ERR1913221.1180459__1.1180459	821__D4VD59__BHV80_04260
ERR1913221.1180507__1.1180507	821__U6RDC2__DXD46_15675
ERR1913221.1180752__1.1180752	1150298__A0A174HHW8__yhbU_1
ERR1913221.1180803__1.1180803	1263006__R6LMI6__BN515_01248
ERR1913221.1180914__1.1180914	45851__D4S069__spoIVA
ERR1913221.1181039__1.1181039	853__A8S882__C4N23_07600
ERR1913221.1181192__1.1181192	2033405__A0A2L2WP67__PvtlMGM1_1949
ERR1913221.1181377__1.1181377	88431__A0A3D0EYE9__rafA
ERR1913221.1181625__1.1181625	1262886__R6QHF8__BN563_00567
ERR1913221.1181689__1.1181689	45851__D4RYC4__BHV86_01935
ERR1913221.1181728__1.1181728	1262911__R6H1D2__BN557_00855
ERR1913221.1181811__1.1181811	853__A0A3E2U7E6__ERS852582_01640
ERR1913221.1181815__1.1181815	853__A0A2A7B1Y7__C7K05_11930
ERR1913221.1181995__1.1181995	1262882__R5MPY4__BN519_01128
ERR1913221.1182346__1.1182346	1262761__R6QM05__BN606_00047
ERR1913221.1182470__1.1182470	165179__A0A3E5DWZ6__DXC61_10880
ERR1913221.1182645__1.1182645	39491__A0A174EQV2__DXB69_10230
ERR1913221.1182615__1.1182615	165179__D1PCY7__DXB80_02765
ERR1913221.1182711__1.1182711	1262924__R7HQB3__BN585_00435
ERR1913221.1182819__1.1182819	45851__D4S140__BUTYVIB_01810
ERR1913221.1182892__1.1182892	1263006__R6MMN2__BN515_01202
ERR1913221.1183054__1.1183054	45851__D4RZK8__BUTYVIB_01274
ERR1913221.1183085__1.1183085	1262825__R5EAZ3__BN724_00826
ERR1913221.1183153__1.1183153	1262959__R5Y383__BN680_00338
ERR1913221.1183267__1.1183267	1262761__R6QND7__BN606_00927
ERR1913221.1183368__1.1183368	45851__D4S0F7__BUTYVIB_01576
ERR1913221.1183425__1.1183425	1262760__R5LA23__BN758_00598
ERR1913221.1183454__1.1183454	1262911__R6HMT5__BN557_00797
ERR1913221.1183594__1.1183594	39491__A0A174LTW7__DXD13_08720
ERR1913221.1183649__1.1183649	39485__R6A1W2__ERS852490_01584
ERR1913221.1183696__1.1183696	572010__lepA
ERR1913221.1183746__1.1183746	1263000__R5EXT3__BN466_02213
ERR1913221.1183845__1.1183845	45851__D4S0C7__BHV86_10030
ERR1913221.1183846__1.1183846	39485__C4Z1Y9__EUBELI_00143
ERR1913221.1183999__1.1183999	2022527__A0A264YCN5__CHL74_00255
ERR1913221.1184071__1.1184071	165179__A0A3E5EBM5__DXC61_02170
ERR1913221.1184173__1.1184173	45851__D4RZ86__BHV86_03570
ERR1913221.1184300__1.1184300	246787__A0A3D6AQP8__AA416_04153
ERR1913221.1184312__1.1184312	45851__R5LVD9__BHV86_05140
ERR1913221.1184419__1.1184419	39485__A0A174YYW2__benM
ERR1913221.1184596__1.1184596	45851__D4S0D7__BUTYVIB_01556
ERR1913221.1184697__1.1184697	39485__C4Z028__ERS852492_00100
ERR1913221.1184721__1.1184721	1263006__R6LK25__BN515_01963
ERR1913221.1184756__1.1184756	1262886__R6Q9D7__BN563_00573
ERR1913221.1185146__1.1185146	39485__A0A174ZBK4__ERS852490_01585
