ERR1913040.45__1.45	1965560__A0A1Y4RFR5__B5E82_15700
ERR1913040.1074243__1.1074243	310298__B3JNR4__BACCOP_03579
ERR1913040.1074300__1.1074300	165179__A0A229I7F5__DXB80_02650
ERR1913040.1074361__1.1074361	165179__A0A3E5A554__DXB80_13805
ERR1913040.1074466__1.1074466	165179__A0A174SA26__PREVCOP_05758
ERR1913040.1074534__1.1074534	165179__A0A3E5DV57__DXB80_11400
ERR1913040.1074561__1.1074561	1262924__R7HPU8__BN585_00010
ERR1913040.1074599__1.1074599	39485__A0A174YVS4__EUBELI_00620
ERR1913040.1074640__1.1074640	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1074655__1.1074655	1160721__R6TBX7__BHW50_00205
ERR1913040.1074851__1.1074851	1323__A0A3E3E735__DXC78_05050
ERR1913040.1075378__1.1075378	28117__B0MSL1__BHV66_06710
ERR1913040.1075454__1.1075454	1262992__R5CYF8__BN795_01273
ERR1913040.1075567__1.1075567	301302__R5ULT1__ERS852420_02174
ERR1913040.1075625__1.1075625	1262924__R7HU74__BN585_00690
ERR1913040.1075727__1.1075727	165179__A0A3E5DY64__CFT61_10025
ERR1913040.1075765__1.1075765	165179__D1PHM6__DXC61_06700
ERR1913040.1075808__1.1075808	28116__A7M344__BACOV975_04644
ERR1913040.1075813__1.1075813	204516__U6RGN8__HMPREF1534_01465
ERR1913040.1075964__1.1075964	165179__A0A3E5AHY4__CFT61_07675
ERR1913040.1075990__1.1075990	165179__A0A3E5E4T9__DXB80_08030
ERR1913040.1075996__1.1075996	74426__rpoC
ERR1913040.1076008__1.1076008	1262913__R7J494__BN646_00505
ERR1913040.1076055__1.1076055	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1076148__1.1076148	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1076196__1.1076196	28118__F9Z759__B5F93_05180
ERR1913040.1076207__1.1076207	1262924__R7HU74__BN585_00690
ERR1913040.1076273__1.1076273	74426__rpoC
ERR1913040.1076312__1.1076312	28118__F9Z408__NCTC10826_01194
ERR1913040.1076413__1.1076413	28117__B0MXD0__ALIPUT_01669
ERR1913040.1076465__1.1076465	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1076946__1.1076946	821__A0A396EVC9__DXB90_03525
ERR1913040.1077054__1.1077054	204516__U6RJY4__HMPREF1534_01494
ERR1913040.1077099__1.1077099	165179__A0A3E5AHY4__CFT61_07675
ERR1913040.1077130__1.1077130	853__A0A173T0Y8__CGS54_07215
ERR1913040.1077190__1.1077190	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1077242__1.1077242	310298__B3JK99__BACCOP_02328
ERR1913040.1077268__1.1077268	301301__A0A395V7P2__ERS852391_05080
ERR1913040.1077342__1.1077342	39491__A0A395V5L2__ERE_28270
ERR1913040.1077388__1.1077388	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1077456__1.1077456	487173__H1D1M0__HMPREF9453_01508
ERR1913040.1077538__1.1077538	165179__D1PGU8__PREVCOP_06463
ERR1913040.1077539__1.1077539	1263109__GCA_000438135.1_00299
ERR1913040.1077559__1.1077559	1150298__A0A174SLE6__mlc_1
ERR1913040.1077647__1.1077647	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1077717__1.1077717	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1077787__1.1077787	1160721__W0U1Y8__BHW50_02040
ERR1913040.1077837__1.1077837	204516__U6R7Y8__HMPREF1534_03942
ERR1913040.1077849__1.1077849	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1077932__1.1077932	1262924__R7HMW0__BN585_01951
ERR1913040.1077962__1.1077962	39485__A0A174YVL0__xynZ_2
ERR1913040.1078011__1.1078011	29361__B6FRT6__CLONEX_02860
ERR1913040.1078051__1.1078051	40518__R5DZB1__DXD83_08840
ERR1913040.1078134__1.1078134	39491__A0A396FBR6__DXC13_08575
ERR1913040.1078191__1.1078191	216816__B7GPH6__DXC74_08225
ERR1913040.1078224__1.1078224	310298__B3JH76__BACCOP_01230
ERR1913040.1078255__1.1078255	204516__U6RFV1__HMPREF1534_02560
ERR1913040.1078327__1.1078327	1323__A0A380LM56__DXC78_02480
ERR1913040.1078471__1.1078471	1262929__R6F6C8__BN691_01344
ERR1913040.1078490__1.1078490	1308__A0A1J0HRX1__DID82_04505
ERR1913040.1078849__1.1078849	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1078914__1.1078914	487173__H1D020__HMPREF9453_00958
ERR1913040.1079046__1.1079046	165179__A0A3E5EAM5__DXC61_07785
ERR1913040.1079349__1.1079349	360807__A0A0M6X0S9__RIL183_10591
ERR1913040.1079365__1.1079365	47678__A5ZEA3__ERS852558_00257
ERR1913040.1079447__1.1079447	39492__D4JV38__EUBSIR_01205
ERR1913040.1079544__1.1079544	1262743__R5C3A8__BN727_00457
ERR1913040.1079663__1.1079663	39491__A0A395V1Y4__DXB99_08035
ERR1913040.1079748__1.1079748	310298__B3JK99__BACCOP_02328
ERR1913040.1079873__1.1079873	165179__A0A3E5E4T9__DXB80_08030
ERR1913040.1079883__1.1079883	28116__A0A395VZB9__Bovatus_03205
ERR1913040.1080034__1.1080034	310298__B3JNH3__BACCOP_03486
ERR1913040.1080021__1.1080021	165179__A0A174IPI3__CFT61_10940
ERR1913040.1080152__1.1080152	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1080191__1.1080191	204516__U6RGN8__HMPREF1534_01465
ERR1913040.1080220__1.1080220	165179__A0A174SA26__PREVCOP_05758
ERR1913040.1080228__1.1080228	39491__R6TQ09__DXC13_03010
ERR1913040.1080239__1.1080239	1965632__A0A1Y4A628__B5F91_13735
ERR1913040.1080253__1.1080253	39492__A0A174ZP27__EUBSIR_00033
ERR1913040.1080263__1.1080263	40518__R5E304__thiT
ERR1913040.1080266__1.1080266	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1080321__1.1080321	1262924__R7HLJ5__BN585_01491
ERR1913040.1080371__1.1080371	165179__A0A3E5EB26__CFT61_02800
ERR1913040.1080474__1.1080474	39485__A0A174ZNZ2__ERS852492_02345
ERR1913040.1080487__1.1080487	39485__R6AET9__EUBELI_01205
ERR1913040.1080504__1.1080504	74426__purC
ERR1913040.1080599__1.1080599	1262913__R7J556__BN646_00655
ERR1913040.1080733__1.1080733	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1080853__1.1080853	626933__H1DGX0__HMPREF9449_01506
ERR1913040.1080964__1.1080964	39485__C4Z6J9__ERS852492_02049
ERR1913040.1081034__1.1081034	39485__R5ZX10__ERS852492_02330
ERR1913040.1081134__1.1081134	1965632__A0A1Y4A6X2__B5F91_11655
ERR1913040.1081528__1.1081528	204516__U6R9E6__HMPREF1534_03149
ERR1913040.1081579__1.1081579	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1081643__1.1081643	39491__R6TNE7__T1815_09811
ERR1913040.1081661__1.1081661	39491__A0A395UYL9__ERS852417_00624
ERR1913040.1081697__1.1081697	821__A0A395UNT8__DXD64_15275
ERR1913040.1081772__1.1081772	39491__A0A395ZG96__DXB69_15120
ERR1913040.1081774__1.1081774	39485__C4Z0T2__ykvU
ERR1913040.1081821__1.1081821	28117__B0MU76__ALIPUT_00202
ERR1913040.1081910__1.1081910	204516__U6REI9__HMPREF1534_02357
ERR1913040.1081916__1.1081916	39485__A0A174YNW2__cph2_3
ERR1913040.1081919__1.1081919	1262924__R7HPX8__BN585_00310
ERR1913040.1081955__1.1081955	1235835__R9LCU2__C814_02677
ERR1913040.1082022__1.1082022	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1082043__1.1082043	165179__A0A3E5EAM5__DXC61_07785
ERR1913040.1082083__1.1082083	165179__A0A229I7F5__DXB80_02650
ERR1913040.1082114__1.1082114	165179__A0A3E5EA83__DXC61_07750
ERR1913040.1082124__1.1082124	1262924__R7HUR1__BN585_00057
ERR1913040.1082145__1.1082145	39491__A0A396FE96__EUR_00280
ERR1913040.1082200__1.1082200	39491__A0A395ZHW9__DXC13_02590
ERR1913040.1082297__1.1082297	820__A0A174A6K0__M093_0079
ERR1913040.1082377__1.1082377	39492__D4JT87__clpC
ERR1913040.1082450__1.1082450	1735__B7CE08__EUBIFOR_02443
ERR1913040.1082478__1.1082478	165179__A0A3E5EA43__DXC61_07775
ERR1913040.1082527__1.1082527	165179__D1PCL6__DXB80_13435
ERR1913040.1082636__1.1082636	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913040.1082794__1.1082794	39491__A0A3E4E7C5__DXB69_03255
ERR1913040.1082832__1.1082832	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1082958__1.1082958	371601__A0A1H4GXQ8__CW1_1432
ERR1913040.1083109__1.1083109	74426__purL
ERR1913040.1083141__1.1083141	261299__B0AC93__CLOBAR_01993
ERR1913040.1083148__1.1083148	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1083321__1.1083321	204516__U6R838__HMPREF1534_03867
ERR1913040.1083363__1.1083363	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1083400__1.1083400	626933__H1DGX0__HMPREF9449_01506
ERR1913040.1083445__1.1083445	165179__A0A3E5AHY4__CFT61_07675
ERR1913040.1083477__1.1083477	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1083503__1.1083503	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1083558__1.1083558	165179__A0A229I7F5__DXB80_02650
ERR1913040.1083603__1.1083603	1262992__R5D1H8__BN795_00995
ERR1913040.1083683__1.1083683	39491__A0A396FFW0__ERE_10580
ERR1913040.1083704__1.1083704	204516__U6RFV1__HMPREF1534_02560
ERR1913040.1083723__1.1083723	40518__R5DR96__RBATCC27255_01185
ERR1913040.1083767__1.1083767	487173__H1D020__HMPREF9453_00958
ERR1913040.1083842__1.1083842	40518__R5DU92__DXD93_03170
ERR1913040.1083933__1.1083933	39491__C4ZAT2__ERE_28440
ERR1913040.1083948__1.1083948	165179__D1PGU8__PREVCOP_06463
ERR1913040.1084155__1.1084155	626930__F3PVE3__HMPREF9446_02721
ERR1913040.1084163__1.1084163	28117__B0MXX2__ALIPUT_01984
ERR1913040.1084202__1.1084202	2293125__A0A374CIC9__DW917_02045
ERR1913040.1084206__1.1084206	310298__B3JFK5__BACCOP_00655
ERR1913040.1084364__1.1084364	165179__A0A3E5EAM5__DXC61_07785
ERR1913040.1084394__1.1084394	216816__A0A395XYV2__APC1468_1887
ERR1913040.1084545__1.1084545	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1084584__1.1084584	216816__A0A396FVC5__BL71B_00290
ERR1913040.1084671__1.1084671	214856__R6Z288__ERS852447_00734
ERR1913040.1084963__1.1084963	2108523__A0A2P2FEH2__LAWASA_4478
ERR1913040.1085037__1.1085037	28116__A0A395VZB9__Bovatus_03205
ERR1913040.1085094__1.1085094	1262992__R5DFJ8__BN795_00399
ERR1913040.1085099__1.1085099	39485__R6AET9__EUBELI_01205
ERR1913040.1085211__1.1085211	88431__A0A173XSN2__ERS852526_00723
ERR1913040.1085216__1.1085216	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1085261__1.1085261	1262924__R7HUJ5__BN585_00830
ERR1913040.1085299__1.1085299	204516__U6R9E7__HMPREF1534_03313
ERR1913040.1085313__1.1085313	216816__A0A0M0VKE6__BL0626
ERR1913040.1085441__1.1085441	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913040.1085475__1.1085475	39485__A0A174YTF7__ERS852490_01271
ERR1913040.1085499__1.1085499	39491__A0A0M6WNS5__DXC13_02015
ERR1913040.1085604__1.1085604	39485__C4Z6F3__EUBELI_20400
ERR1913040.1085663__1.1085663	39485__A0A174YJA4__EUBELI_20421
ERR1913040.1085653__1.1085653	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1085705__1.1085705	39491__D4JMW8__ERS852497_01971
ERR1913040.1085747__1.1085747	1897011__A0A1Q6RIC6__BHW41_01345
ERR1913040.1085861__1.1085861	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1085898__1.1085898	371601__A0A174ATP8__SAMN05216250_11646
ERR1913040.1085926__1.1085926	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1085996__1.1085996	853__A0A2A7B9I6__DW855_13690
ERR1913040.1086113__1.1086113	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1086252__1.1086252	310298__B3JFK5__BACCOP_00655
ERR1913040.1086311__1.1086311	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1086362__1.1086362	1897011__A0A1Q6RI93__BHW41_01175
ERR1913040.1086370__1.1086370	39485__A0A175A2T1__EUBELI_02034
ERR1913040.1086467__1.1086467	292800__A0A1C7FN63__ERS852544_00989
ERR1913040.1086474__1.1086474	165179__A0A3E5AAM8__DXB80_10240
ERR1913040.1086516__1.1086516	39488__A0A285PQP4__DXD91_02025
ERR1913040.1086523__1.1086523	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1086565__1.1086565	214856__A0A174G0N0__ERS852447_02436
ERR1913040.1086684__1.1086684	310298__B3JK49__BACCOP_02273
ERR1913040.1086762__1.1086762	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1086815__1.1086815	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1086817__1.1086817	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1086917__1.1086917	310298__B3JFS5__BACCOP_00726
ERR1913040.1086952__1.1086952	40518__R5DRG6__ylbJ
ERR1913040.1087029__1.1087029	649756__B0P4Q3__ERS852425_01640
ERR1913040.1087172__1.1087172	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1087677__1.1087677	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913040.1087693__1.1087693	28139__A0A379ND44__NCTC11190_02421
ERR1913040.1087787__1.1087787	165179__A0A3E5AAM8__DXB80_10240
ERR1913040.1087915__1.1087915	204516__U6RFU0__HMPREF1534_02545
ERR1913040.1088116__1.1088116	487173__H1D0R8__HMPREF9453_01206
ERR1913040.1088179__1.1088179	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1088280__1.1088280	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1088345__1.1088345	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1088364__1.1088364	2293125__A0A374CIC9__DW917_02045
ERR1913040.1088398__1.1088398	39485__R5ZX10__ERS852492_02330
ERR1913040.1088428__1.1088428	165179__A0A3E5EA43__DXC61_07775
ERR1913040.1088526__1.1088526	310298__B3JGL4__BACCOP_01016
ERR1913040.1088535__1.1088535	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1088599__1.1088599	1680__A0A087DHN0__AL0462_1532
ERR1913040.1088607__1.1088607	28117__B0MTW8__ALIPUT_00502
ERR1913040.1088661__1.1088661	1262929__R6EYU3__BN691_00676
ERR1913040.1088620__1.1088620	820__A0A174M9V5__M093_0237
ERR1913040.1088680__1.1088680	853__A0A173YYY4__DWZ04_09420
ERR1913040.1088719__1.1088719	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1088731__1.1088731	39491__A0A173U0X0__DXB72_05865
ERR1913040.1088773__1.1088773	165179__R6PU83__CFT61_14275
ERR1913040.1088803__1.1088803	301301__G2T4K1__RHOM_14310
ERR1913040.1088813__1.1088813	28117__B0MTY2__BHV66_06485
ERR1913040.1088865__1.1088865	39485__C4Z2I5__ERS852492_02214
ERR1913040.1088893__1.1088893	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1088944__1.1088944	28117__B0MUB4__BHV66_01895
ERR1913040.1088973__1.1088973	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1089071__1.1089071	39485__R5ZRT8__gmr_6
ERR1913040.1089113__1.1089113	28117__B0MUY3__BHV66_00515
ERR1913040.1089262__1.1089262	487173__H1CZE5__HMPREF9453_00738
ERR1913040.1089317__1.1089317	853__A0A2A7B1Y7__C7K05_11930
ERR1913040.1089320__1.1089320	39485__C4Z355__ERS852490_01971
ERR1913040.1089386__1.1089386	310298__B3JNH3__BACCOP_03486
ERR1913040.1089643__1.1089643	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1089644__1.1089644	39485__C4Z6Z5__EUBELI_20593
ERR1913040.1089741__1.1089741	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1089718__1.1089718	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1089845__1.1089845	39491__A0A174IJH1__DXB76_01865
ERR1913040.1089885__1.1089885	39483__D4JER1__HMPREF0367_00646
ERR1913040.1090016__1.1090016	853__E2ZJT1__C4N23_03535
ERR1913040.1090126__1.1090126	165179__A0A3E5AER8__DXB80_07075
ERR1913040.1090179__1.1090179	40518__R5DQJ0__DXD93_03790
ERR1913040.1090184__1.1090184	1262911__R6H2J2__BN557_01228
ERR1913040.1090214__1.1090214	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1090272__1.1090272	28118__F9Z7M2__B5F99_10065
ERR1913040.1090320__1.1090320	28116__D7J6B1__B5F02_07870
ERR1913040.1090321__1.1090321	2293125__A0A374CIC9__DW917_02045
ERR1913040.1090394__1.1090394	820__A7UYX8__DXD40_11635
ERR1913040.1090506__1.1090506	310298__B3JPN8__BACCOP_03837
ERR1913040.1090587__1.1090587	820__A0A3E4WCX3__C801_02709
ERR1913040.1090622__1.1090622	102148__E7MLQ2__HMPREF9430_00465
ERR1913040.1090645__1.1090645	165179__A0A3E5A554__DXB80_13805
ERR1913040.1090697__1.1090697	853__A0A174BA00__DW905_01145
ERR1913040.1090707__1.1090707	39491__A0A0M6WNS5__DXC13_02015
ERR1913040.1090663__1.1090663	818__A0A0N7IB02__BT_3500
ERR1913040.1090717__1.1090717	28116__A0A078Q1V5__SAMN05444282_12168
ERR1913040.1090876__1.1090876	33039__D4M379__selB
ERR1913040.1090883__1.1090883	39485__A0A174YSU1__ERS852492_00576
ERR1913040.1090953__1.1090953	165179__A0A3E5AGH1__DXB80_05820
ERR1913040.1090999__1.1090999	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1091051__1.1091051	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1091077__1.1091077	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913040.1091129__1.1091129	1897011__A0A1Q6REU8__BHW41_04300
ERR1913040.1091133__1.1091133	1262992__R5DDW9__BN795_00572
ERR1913040.1091135__1.1091135	818__C6IJ08__BJP75_000645
ERR1913040.1091538__1.1091538	1262929__R6EYU3__BN691_00676
ERR1913040.1091573__1.1091573	1262924__R7HQD9__BN585_00129
ERR1913040.1091582__1.1091582	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1091659__1.1091659	301301__A0A395VD41__RHOM_11540
ERR1913040.1091809__1.1091809	2293125__A0A374CIC9__DW917_02045
ERR1913040.1091778__1.1091778	410072__C0BES0__ERS852389_01714
ERR1913040.1091834__1.1091834	487173__H1CY24__HMPREF9453_00262
ERR1913040.1092068__1.1092068	1308__V8LS64__stu1670
ERR1913040.1092114__1.1092114	1262924__R7HMN2__BN585_01573
ERR1913040.1092128__1.1092128	310298__B3JGJ2__BACCOP_00994
ERR1913040.1092230__1.1092230	310298__B3JH76__BACCOP_01230
ERR1913040.1092268__1.1092268	165179__A0A3E5DZ45__DXC61_02820
ERR1913040.1092290__1.1092290	1262924__R7HML0__BN585_01508
ERR1913040.1092339__1.1092339	261299__B0AA67__CLOBAR_01530
ERR1913040.1092355__1.1092355	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1092371__1.1092371	626933__H1DGX0__HMPREF9449_01506
ERR1913040.1092380__1.1092380	28117__B0MTY2__BHV66_06485
ERR1913040.1092472__1.1092472	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1092504__1.1092504	165179__R6C330__DXC61_04975
ERR1913040.1092536__1.1092536	310298__B3JFI7__BACCOP_00636
ERR1913040.1092732__1.1092732	39485__C4Z6V1__ERS852492_02640
ERR1913040.1092819__1.1092819	1262924__R7HNF7__BN585_01769
ERR1913040.1092822__1.1092822	301302__A0A0M6WH46__M72_23101
ERR1913040.1092865__1.1092865	39491__A0A395UYM9__DXC13_07980
ERR1913040.1093008__1.1093008	204516__U6RFU0__HMPREF1534_02545
ERR1913040.1093025__1.1093025	33039__A0A173VNF2__truB
ERR1913040.1093082__1.1093082	40518__R5DY98__mepA_5
ERR1913040.1093145__1.1093145	310298__B3JPY4__BACCOP_04016
ERR1913040.1093206__1.1093206	165179__D1PER3__DXB80_11525
ERR1913040.1093262__1.1093262	28026__C0BTQ4__DXC75_02895
ERR1913040.1093432__1.1093432	1262924__R7HT26__BN585_00306
ERR1913040.1093557__1.1093557	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1093633__1.1093633	28117__B0MY40__BHV66_05170
ERR1913040.1093656__1.1093656	165179__A0A3E5EB26__CFT61_02800
ERR1913040.1093692__1.1093692	28117__B0MWC6__BHV66_00965
ERR1913040.1093818__1.1093818	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1093836__1.1093836	821__A0A0P0M3U7__DXB90_14325
ERR1913040.1093994__1.1093994	165179__A0A3E5DN34__DXC61_07865
ERR1913040.1094103__1.1094103	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1094229__1.1094229	820__A0A174F0C1__nreB
ERR1913040.1094578__1.1094578	310298__B3JMG0__BACCOP_03099
ERR1913040.1094612__1.1094612	261299__B0AC93__CLOBAR_01993
ERR1913040.1094746__1.1094746	165179__A0A3E5E189__PREVCOP_06699
ERR1913040.1094965__1.1094965	28117__B0MUY3__BHV66_00515
ERR1913040.1094993__1.1094993	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913040.1095064__1.1095064	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1095314__1.1095314	310298__B3JNH3__BACCOP_03486
ERR1913040.1095459__1.1095459	216816__V6XWW6__RY67_1738
ERR1913040.1095435__1.1095435	1262746__R5SS80__BN750_02125
ERR1913040.1095563__1.1095563	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1095514__1.1095514	39488__A0A174BS94__DXD91_16570
ERR1913040.1095565__1.1095565	40520__A0A174NUP5__DXC87_01375
ERR1913040.1095716__1.1095716	1323__A0A380LLA3__DXC78_10125
ERR1913040.1095764__1.1095764	1262924__R7HQK6__BN585_00186
ERR1913040.1095780__1.1095780	853__A0A2A7B1Y7__C7K05_11930
ERR1913040.1095895__1.1095895	47678__A5ZL09__BACCAC_03608
ERR1913040.1095927__1.1095927	626933__H1DGX0__HMPREF9449_01506
ERR1913040.1095971__1.1095971	39491__A0A395V0H3__ERS852417_01192
ERR1913040.1095998__1.1095998	28117__B0MTW8__ALIPUT_00502
ERR1913040.1096004__1.1096004	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1096007__1.1096007	820__A0A174F696__macB_13
ERR1913040.1096113__1.1096113	39491__A0A174G6M3__DXD13_14470
ERR1913040.1096090__1.1096090	47678__R5U3L4__C5Z00_12600
ERR1913040.1096175__1.1096175	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1096191__1.1096191	310298__B3JH76__BACCOP_01230
ERR1913040.1096137__1.1096137	1323__A0A380LJ72__DXC78_07030
ERR1913040.1096194__1.1096194	165179__A0A3E5EAM5__DXC61_07785
ERR1913040.1096262__1.1096262	39491__A0A395ZF49__DXB69_05290
ERR1913040.1096333__1.1096333	165179__D1PHV2__PREVCOP_06822
ERR1913040.1096383__1.1096383	39485__A0A174YZZ2__ERS852492_00215
ERR1913040.1096488__1.1096488	626933__H1DGX0__HMPREF9449_01506
ERR1913040.1096542__1.1096542	310298__B3JNG7__BACCOP_03480
ERR1913040.1096555__1.1096555	39491__A0A395V5R3__EUBREC_1883
ERR1913040.1096576__1.1096576	1735__B7C9S1__EUBIFOR_00931
ERR1913040.1096601__1.1096601	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1096619__1.1096619	2293125__A0A374BLR6__DW917_15555
ERR1913040.1096685__1.1096685	165179__A0A3E5EAM5__DXC61_07785
ERR1913040.1096687__1.1096687	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913040.1096723__1.1096723	1262911__R6GPI7__BN557_00907
ERR1913040.1096729__1.1096729	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1096787__1.1096787	410072__C0BEV2__ERS852525_03010
ERR1913040.1096806__1.1096806	165179__A0A3E5E189__PREVCOP_06699
ERR1913040.1096887__1.1096887	39491__A0A2U2EK03__ERE_28780
ERR1913040.1096897__1.1096897	1150298__A0A174N5I7__ERS852498_01953
ERR1913040.1096901__1.1096901	39491__D6DXZ8__DXB72_15035
ERR1913040.1096973__1.1096973	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1096991__1.1096991	165179__A0A3E5DN34__DXC61_07865
ERR1913040.1097019__1.1097019	39485__A0A174ZBJ8__speA_2
ERR1913040.1097044__1.1097044	626933__H1DGX0__HMPREF9449_01506
ERR1913040.1097144__1.1097144	47678__A5ZJ80__BACCAC_02965
ERR1913040.1097227__1.1097227	28117__R7JIJ8__BHV66_01635
ERR1913040.1097355__1.1097355	28117__B0MY41__BHV66_05165
ERR1913040.1097412__1.1097412	40518__R5E426__DXD93_04485
ERR1913040.1097460__1.1097460	28117__B0MXG8__ALIPUT_01814
ERR1913040.1097473__1.1097473	487175__D9Y2B5__HMPREF9439_00822
ERR1913040.1097476__1.1097476	40518__R5DYU1__DXD86_01160
ERR1913040.1097483__1.1097483	487173__H1D020__HMPREF9453_00958
ERR1913040.1097794__1.1097794	102148__E7MQH0__HMPREF9430_01806
ERR1913040.1097814__1.1097814	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1097919__1.1097919	820__A0A139KIL9__DXC68_05945
ERR1913040.1097908__1.1097908	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1098023__1.1098023	47678__A5ZEP4__DXB67_14045
ERR1913040.1098055__1.1098055	216816__A0A061M1M5__HMPREF0177_01046
ERR1913040.1098096__1.1098096	39485__A0A174ZJ13__ssuB
ERR1913040.1098147__1.1098147	39485__R5ZT06__EUBELI_20526
ERR1913040.1098251__1.1098251	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1098282__1.1098282	310298__B3JQC6__BACCOP_04084
ERR1913040.1098299__1.1098299	310298__B3JGJ2__BACCOP_00994
ERR1913040.1098494__1.1098494	39491__C4Z872__LD38_07250
ERR1913040.1098525__1.1098525	204516__U6RF58__HMPREF1534_02095
ERR1913040.1098553__1.1098553	310298__B3JFH4__BACCOP_00624
ERR1913040.1098563__1.1098563	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1098695__1.1098695	214856__A0A175A6T5__ERS852447_02658
ERR1913040.1098966__1.1098966	360807__A0A1Q6TCY9__ERS852444_01883
ERR1913040.1099087__1.1099087	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1099163__1.1099163	39491__A0A396FI89__DXD95_01300
ERR1913040.1099331__1.1099331	165179__A0A3E5E4T9__DXB80_08030
ERR1913040.1099336__1.1099336	1262929__R6F6C8__BN691_01344
ERR1913040.1099381__1.1099381	28118__F9Z857__DER54_07670
ERR1913040.1099489__1.1099489	165179__A0A174IPI3__CFT61_10940
ERR1913040.1099495__1.1099495	310298__B3JMZ2__BACCOP_03297
ERR1913040.1099514__1.1099514	853__A0A3E2V168__FAEPRAM212_00929
ERR1913040.1099524__1.1099524	40518__R5E5W1__RBL263_01034
ERR1913040.1099529__1.1099529	165179__A0A3E5AG99__DXB80_04390
ERR1913040.1099707__1.1099707	88431__A6BDF9__ERS852573_01553
ERR1913040.1099879__1.1099879	820__A0A174GYA8__DXB64_07370
ERR1913040.1099925__1.1099925	39485__R6AJT3__EUBELI_01178
ERR1913040.1099932__1.1099932	33038__F7JT04__CDL21_01120
ERR1913040.1100057__1.1100057	671267__R9I7B5__C802_04018
ERR1913040.1100082__1.1100082	820__A0A174LJB2__HMPREF1072_04112
