ERR1913022.106__1.106	454154__G5SMG6__HMPREF9441_00541
ERR1913022.2804917__1.2804917	88431__A0A174UTT9__clcA
ERR1913022.2805398__1.2805398	246787__R6K756__HMPREF1062_01819
ERR1913022.2805409__1.2805409	1262743__R5C054__BN727_01980
ERR1913022.2805442__1.2805442	1262825__R5EJK4__BN724_02191
ERR1913022.2805456__1.2805456	2293125__A0A374CMH5__DW917_00750
ERR1913022.2805644__1.2805644	28116__F7M1Q5__CUY_1584
ERR1913022.2805910__1.2805910	28111__E5X428__HMPREF1016_03686
ERR1913022.2806103__1.2806103	823__A6LHK0__M090_1297
ERR1913022.2806112__1.2806112	357276__A0A076IRZ5__BACDOR_00630
ERR1913022.2806175__1.2806175	2317__A0A1D2WHD5__Msp_1551
ERR1913022.2806343__1.2806343	165179__A0A3E5EAM5__DXC61_07785
ERR1913022.2806400__1.2806400	28116__A7LUQ0__CUY_2205
ERR1913022.2806680__1.2806680	291644__I8Y6B7__HMPREF1532_02902
ERR1913022.2806717__1.2806717	487174__K0XER9__DDY40_08885
ERR1913022.2807023__1.2807023	821__A0A3E4WAR6__DXD64_10735
ERR1913022.2807181__1.2807181	204516__U6RFV1__HMPREF1534_02560
ERR1913022.2807240__1.2807240	1262935__R5GIS0__BN773_01547
ERR1913022.2807420__1.2807420	357276__I9QWD4__DXD47_15075
ERR1913022.2807451__1.2807451	357276__I9R4T1__IY41_06800
ERR1913022.2807618__1.2807618	291644__R5JAW4__HMPREF1071_01744
ERR1913022.2807648__1.2807648	1262825__R5EHP5__BN724_01707
ERR1913022.2807757__1.2807757	357276__I9F327__DXD47_22495
ERR1913022.2807967__1.2807967	291644__I9T2X5__ERS852428_03729
ERR1913022.2808203__1.2808203	1262935__R5GIC8__BN773_01423
ERR1913022.2808616__1.2808616	821__C3RB94__DXC03_15585
ERR1913022.2808586__1.2808586	1262889__R7HB69__BN634_01104
ERR1913022.2808769__1.2808769	357276__I8WDF1__B5F00_02455
ERR1913022.2808881__1.2808881	166486__D4KVX6__ROSINTL182_06735
ERR1913022.2808864__1.2808864	357276__A0A0K2HDV9__DXD47_02600
ERR1913022.2809055__1.2809055	39492__A0A174ZG93__EUBSIR_00254
ERR1913022.2809085__1.2809085	357276__D1K3K9__EL88_23995
ERR1913022.2809337__1.2809337	39488__R6GBC5__DXD91_06450
ERR1913022.2809342__1.2809342	487174__K0X347__DIT83_07775
ERR1913022.2809326__1.2809326	823__C7XBX3__HMPREF1059_03212
ERR1913022.2809388__1.2809388	39492__D4JT87__clpC
ERR1913022.2809515__1.2809515	28118__F9ZCN2__DF785_09230
ERR1913022.2809564__1.2809564	1547597__A0A318N2Y2__IE90_04585
ERR1913022.2809582__1.2809582	2293125__A0A374C5Y6__DW917_09105
ERR1913022.2809791__1.2809791	39486__B0G7N0__DXC93_07990
ERR1913022.2809851__1.2809851	165179__A0A3E5EA43__DXC61_07775
ERR1913022.2809854__1.2809854	357276__A0A076IXE0__HMPREF1064_04364
ERR1913022.2809857__1.2809857	454155__F3QQI8__HMPREF9442_00430
ERR1913022.2809877__1.2809877	165179__A0A229I7F5__DXB80_02650
ERR1913022.2809936__1.2809936	28111__E5WUE9__NCTC11155_01729
ERR1913022.2810096__1.2810096	357276__B6W1J2__BACDOR_03380
ERR1913022.2810161__1.2810161	246787__A0A3D6ARN8__yehU_6
ERR1913022.2810573__1.2810573	1262825__R5E0J0__BN724_01159
ERR1913022.2810545__1.2810545	454155__G5SQF3__HMPREF9442_01149
ERR1913022.2810580__1.2810580	357276__A0A174L570__GV66_05720
ERR1913022.2810633__1.2810633	821__A0A3E4XY72__NCTC10583_01067
ERR1913022.2810693__1.2810693	357276__I8WAB8__B5F00_08100
ERR1913022.2810879__1.2810879	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913022.2811026__1.2811026	46228__V8BYB0__HMPREF1202_02063
ERR1913022.2811075__1.2811075	204516__U6R9E6__HMPREF1534_03149
ERR1913022.2811312__1.2811312	823__A0A395Z066__M091_0663
ERR1913022.2811320__1.2811320	487174__R5EXS5__HMPREF9448_02541
ERR1913022.2811738__1.2811738	1262886__R6QIV0__BN563_00982
ERR1913022.2811862__1.2811862	357276__A0A0M1W9N4__GV66_05135
ERR1913022.2812190__1.2812190	649756__A0A173S795__DO83_12945
ERR1913022.2812745__1.2812745	40518__R5DYU1__DXD86_01160
ERR1913022.2812755__1.2812755	1150298__A0A174BP05__murAA
ERR1913022.2812963__1.2812963	28118__R6EZY7__B5F99_12680
ERR1913022.2813049__1.2813049	1262935__R5GDG4__BN773_01363
ERR1913022.2813218__1.2813218	46228__V8CB03__HMPREF1202_00647
ERR1913022.2813269__1.2813269	291644__R5JR56__HMPREF1532_03512
ERR1913022.2813519__1.2813519	357276__A0A076IRX7__HMPREF1064_00526
ERR1913022.2813574__1.2813574	46228__V8BPH3__RUMLAC_01268
ERR1913022.2813635__1.2813635	357276__A0A0K2HDP3__IY41_00705
ERR1913022.2813674__1.2813674	2173__A0A1D2WSN7__Msm_1465
ERR1913022.2813733__1.2813733	1262889__R7HBY1__BN634_01290
ERR1913022.2813794__1.2813794	2293125__A0A374C5Y6__DW917_09105
ERR1913022.2813861__1.2813861	820__A0A3E4WA06__ERS852554_03404
ERR1913022.2813962__1.2813962	165179__A0A3E5EA43__DXC61_07775
ERR1913022.2814106__1.2814106	46506__B0NUC3__SAMN05444283_1019
ERR1913022.2814150__1.2814150	357276__I9R994__BACDOR_04044
ERR1913022.2814338__1.2814338	1262889__R7HC51__BN634_01378
ERR1913022.2814468__1.2814468	214856__R5UN64__ERS852447_02669
ERR1913022.2814653__1.2814653	39491__C4ZF05__vpr
ERR1913022.2815033__1.2815033	291644__I8YKM2__HMPREF1532_00428
ERR1913022.2815273__1.2815273	410072__C0B8G3__DXD67_01535
ERR1913022.2815396__1.2815396	39486__B0G973__atpH
ERR1913022.2815475__1.2815475	821__U6RDC2__DXD46_15675
ERR1913022.2815881__1.2815881	1262935__R5GUT3__BN773_00488
ERR1913022.2815838__1.2815838	1262935__R5GRK6__BN773_01192
ERR1913022.2815977__1.2815977	246787__A0A3D6AWR4__HMPREF1062_04729
ERR1913022.2816431__1.2816431	357276__A0A0K2HI25__DXD47_04465
ERR1913022.2816453__1.2816453	28118__F9Z857__DER54_07670
ERR1913022.2816566__1.2816566	46228__V8CB66__RUMLAC_02810
ERR1913022.2816873__1.2816873	820__A0A3E4VZT7__DXB48_16145
ERR1913022.2816966__1.2816966	28052__A0A174MH21__ERS852499_01905
ERR1913022.2816933__1.2816933	821__C6Z451__BHV80_04265
ERR1913022.2816944__1.2816944	39492__D4JUS6__accD5
ERR1913022.2817181__1.2817181	821__A0A174NM17__lacZ_6
ERR1913022.2817248__1.2817248	487173__H1CXZ3__HMPREF9453_00231
ERR1913022.2817262__1.2817262	46228__B5CPX5__RUMLAC_01520
ERR1913022.2817398__1.2817398	165179__A0A229I7F5__DXB80_02650
ERR1913022.2817451__1.2817451	2173__A0A1D2WR01__Msm_0221
ERR1913022.2817549__1.2817549	357276__A0A076IXE0__HMPREF1064_04364
ERR1913022.2817616__1.2817616	165179__A0A174SA26__PREVCOP_05758
ERR1913022.2817743__1.2817743	1262886__R6QIL5__BN563_00897
ERR1913022.2818010__1.2818010	821__A6L0C7__ERS852556_03520
ERR1913022.2818046__1.2818046	204516__U6RN30__HMPREF1534_00370
ERR1913022.2818361__1.2818361	357276__C3RDQ5__HMPREF1065_03827
ERR1913022.2818417__1.2818417	1628085__A0A2U1BCJ0__C7386_10767
ERR1913022.2818492__1.2818492	1262825__R5E7C9__BN724_01626
ERR1913022.2818586__1.2818586	1262889__R7HAQ6__BN634_02130
ERR1913022.2818662__1.2818662	1262886__R6QAC3__BN563_01576
ERR1913022.2818678__1.2818678	357276__A0A076IXE0__HMPREF1064_04364
ERR1913022.2818768__1.2818768	46228__V8BQP5__HMPREF1202_02378
ERR1913022.2818942__1.2818942	1262958__R7H1L1__BN645_01584
ERR1913022.2818978__1.2818978	2293125__A0A374BSW4__DW917_13420
ERR1913022.2818991__1.2818991	371601__F7LA63__HMPREF1074_04288
ERR1913022.2819002__1.2819002	1262958__R7H4G5__BN645_01898
ERR1913022.2819134__1.2819134	1550024__A0A0D8J3F2__ASJ35_12800
ERR1913022.2819211__1.2819211	357276__A0A076J8M3__ABI39_13695
ERR1913022.2819254__1.2819254	487175__R5E6U7__HMPREF9439_00748
ERR1913022.2819379__1.2819379	454155__G5SQL6__HMPREF9442_02543
ERR1913022.2819389__1.2819389	357276__A0A0M1W4C0__DXD47_07095
ERR1913022.2819429__1.2819429	1262889__R7HD81__BN634_00648
ERR1913022.2819410__1.2819410	1262945__R6YRW5__BN600_00530
ERR1913022.2819814__1.2819814	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913022.2819902__1.2819902	357276__I8VLL2__HMPREF1065_03395
ERR1913022.2819976__1.2819976	1262935__R5GIS0__BN773_01547
ERR1913022.2819979__1.2819979	1262935__R5GIL8__BN773_01483
ERR1913022.2820146__1.2820146	39492__D4JUP6__ERS852540_01404
ERR1913022.2820258__1.2820258	999425__K8MN02__HMPREF9186_02094
ERR1913022.2820396__1.2820396	823__A0A355XLT7__HMPREF1075_03402
ERR1913022.2820607__1.2820607	357276__A0A0K2HHN3__GV66_08845
ERR1913022.2820960__1.2820960	40518__R5DUU0__DXD93_03985
ERR1913022.2820962__1.2820962	28116__R6JI94__ERS852555_01222
ERR1913022.2821093__1.2821093	28117__B0MUX4__ALIPUT_00911
ERR1913022.2821404__1.2821404	46506__R6B8Z4__SAMN05444283_11711
ERR1913022.2821395__1.2821395	47678__A5ZHP9__bioD1
ERR1913022.2821737__1.2821737	46503__R6Y837__PARMER_03866
ERR1913022.2822010__1.2822010	28118__F9Z923__B5F93_10455
ERR1913022.2822118__1.2822118	28116__C3QSX8__SAMN05444282_101331
ERR1913022.2822135__1.2822135	165179__A0A229I7F5__DXB80_02650
ERR1913022.2822533__1.2822533	204516__U6RAM4__HMPREF1534_03439
ERR1913022.2822625__1.2822625	357276__A0A0M1W4C0__DXD47_07095
ERR1913022.2822692__1.2822692	39492__D4JVG1__ERS852540_00951
ERR1913022.2822782__1.2822782	357276__B6W5Q9__HMPREF1063_03125
ERR1913022.2822830__1.2822830	1262935__R5GUD0__BN773_00454
ERR1913022.2823026__1.2823026	1262886__R6QCG3__BN563_00145
ERR1913022.2823298__1.2823298	39492__D4JR58__EUBSIR_02090
ERR1913022.2823370__1.2823370	818__A0A3E5HHE1__Btheta7330_00796
ERR1913022.2823761__1.2823761	165179__A0A3E5DWZ6__DXC61_10880
ERR1913022.2823797__1.2823797	1262825__R5EER7__BN724_00148
ERR1913022.2824051__1.2824051	291644__I8Z037__ERS852428_00495
ERR1913022.2824272__1.2824272	823__A6LBY1__ERS852380_00510
ERR1913022.2824390__1.2824390	1262935__R5GGV4__BN773_00937
ERR1913022.2824467__1.2824467	1262935__R5GM63__BN773_00882
ERR1913022.2824521__1.2824521	39491__A0A395UWA3__DXB69_11805
ERR1913022.2824575__1.2824575	357276__D1K3K9__EL88_23995
ERR1913022.2824696__1.2824696	28116__A0A139KS89__HMPREF2532_04387
ERR1913022.2824777__1.2824777	552398__F4XHU2__HMPREF0866_03196
ERR1913022.2825025__1.2825025	1262911__R6GPM2__BN557_00937
ERR1913022.2825039__1.2825039	821__A0A395UNT8__DXD64_15275
ERR1913022.2825159__1.2825159	246787__R6KIG0__BcellWH2_02358
ERR1913022.2825220__1.2825220	204516__U6RDD8__HMPREF1534_02559
ERR1913022.2825275__1.2825275	1262889__R7HA74__BN634_01063
ERR1913022.2825319__1.2825319	1099853__U5CNT6__NSB1T_08800
ERR1913022.2825688__1.2825688	2293125__A0A374C3L4__DW917_09100
ERR1913022.2825960__1.2825960	2293125__A0A374C5Y6__DW917_09105
ERR1913022.2825980__1.2825980	1263044__GCA_000433375.1_03429
ERR1913022.2826050__1.2826050	291644__I8YWL3__HMPREF1532_01571
ERR1913022.2826098__1.2826098	821__C6ZAA5__ERS852556_00403
ERR1913022.2826135__1.2826135	1263000__R5EKG2__BN466_02040
ERR1913022.2826301__1.2826301	357276__A0A076J9V8__BACDOR_01395
ERR1913022.2826494__1.2826494	204516__U6REI9__HMPREF1534_02357
ERR1913022.2826521__1.2826521	2293125__A0A374C3L4__DW917_09100
ERR1913022.2826758__1.2826758	28117__B0MYZ8__BHV66_04535
ERR1913022.2826801__1.2826801	46228__V8BLW9__DXD17_14090
ERR1913022.2826905__1.2826905	1262958__R7GUZ7__BN645_01334
ERR1913022.2827298__1.2827298	487174__K0WWY0__DIT83_10195
ERR1913022.2827266__1.2827266	46228__V8CE19__DXD17_01950
ERR1913022.2827369__1.2827369	28111__R5JUK8__NCTC11155_02515
ERR1913022.2827386__1.2827386	1262886__R6QS75__BN563_01599
ERR1913022.2827389__1.2827389	1262911__R6GPB5__BN557_00842
ERR1913022.2827629__1.2827629	46228__B5CQX4__RUMLAC_01871
ERR1913022.2827676__1.2827676	39491__A0A396FEW6__T1815_18721
ERR1913022.2827797__1.2827797	487174__K0WV13__DIT83_10890
ERR1913022.2827875__1.2827875	2108523__A0A2P2F3V9__LAWASA_688
ERR1913022.2828084__1.2828084	39492__D4JV38__EUBSIR_01205
ERR1913022.2828103__1.2828103	821__A0A174NM17__lacZ_6
ERR1913022.2828107__1.2828107	821__A0A174WBC9__ERS852556_03145
ERR1913022.2828129__1.2828129	40520__R7D9K2__DXC87_04105
ERR1913022.2828222__1.2828222	487174__K0X694__DIT83_09060
ERR1913022.2828257__1.2828257	291644__R5JG91__HMPREF1532_01961
ERR1913022.2828227__1.2828227	821__A0A396F598__CUU_3259
ERR1913022.2828447__1.2828447	204516__U6RFV1__HMPREF1534_02560
ERR1913022.2828566__1.2828566	357276__I9QBT7__BSEG_03340
ERR1913022.2828570__1.2828570	204516__U6RFU0__HMPREF1534_02545
ERR1913022.2828585__1.2828585	28116__A7LS06__HMPREF2532_04668
ERR1913022.2828687__1.2828687	28111__R5JTT9__BACEGG_01644
ERR1913022.2828695__1.2828695	1262889__R7H9A4__BN634_00112
ERR1913022.2828773__1.2828773	487173__H1CXZ3__HMPREF9453_00231
ERR1913022.2828848__1.2828848	214856__A0A174BE12__ERS852559_01398
ERR1913022.2829040__1.2829040	28117__B0MTY2__BHV66_06485
ERR1913022.2829071__1.2829071	28111__R5K5X6__NCTC11155_02508
ERR1913022.2829093__1.2829093	820__R9HP61__DXC91_01090
ERR1913022.2829152__1.2829152	28117__R7JIY2__BHV66_06465
ERR1913022.2829339__1.2829339	357276__I9QBT7__BSEG_03340
ERR1913022.2829344__1.2829344	1501391__GCA_000786575.1_00105
ERR1913022.2829444__1.2829444	28118__F9Z5A4__DHW44_14035
ERR1913022.2829488__1.2829488	291644__I8YR49__ERS852428_01188
ERR1913022.2829744__1.2829744	39496__A5Z5I2__EUBVEN_00963
ERR1913022.2829872__1.2829872	357276__I9RAC4__BSEG_00561
ERR1913022.2829967__1.2829967	1262935__R5GG00__BN773_00204
ERR1913022.2830072__1.2830072	357276__A0A076IS46__BACDOR_03265
ERR1913022.2830240__1.2830240	357276__A0A0K2HDP3__IY41_00705
ERR1913022.2830503__1.2830503	357276__A0A076IYG1__B5F95_22465
ERR1913022.2830576__1.2830576	40518__R5DW64__RBL236_01394
ERR1913022.2830717__1.2830717	823__A0A173W8N5__ERS852513_00780
ERR1913022.2830861__1.2830861	357276__I9R994__BACDOR_04044
ERR1913022.2830863__1.2830863	823__A0A174U5E4__BDI_3390
ERR1913022.2830976__1.2830976	357276__A0A076ITH2__BSEG_03273
ERR1913022.2831017__1.2831017	246787__R6KRT7__BACCELL_01801
ERR1913022.2831026__1.2831026	35833__E5Y8N1__HMPREF0179_02549
ERR1913022.2831291__1.2831291	821__A0A395UNT8__DXD64_15275
ERR1913022.2831390__1.2831390	165179__A0A229I7F5__DXB80_02650
ERR1913022.2831546__1.2831546	39486__B0G7S3__HMPREF9457_01465
ERR1913022.2831558__1.2831558	1547597__A0A0C3RFQ7__DMB45_02255
ERR1913022.2831614__1.2831614	821__A0A3E4WAR6__DXD64_10735
ERR1913022.2831743__1.2831743	820__A7V9F9__B5G17_14640
ERR1913022.2831759__1.2831759	28111__R5K5Y0__NCTC11155_03071
ERR1913022.2832060__1.2832060	47678__R5U7L8__DXB67_16595
ERR1913022.2832116__1.2832116	2173__R7PWI5__rplJ
ERR1913022.2832127__1.2832127	1262825__R5E9W7__BN724_00536
ERR1913022.2832463__1.2832463	291644__I8YWL3__HMPREF1532_01571
ERR1913022.2832534__1.2832534	821__E5UMZ6__BVU_1450
ERR1913022.2832552__1.2832552	28111__R5K5V1__NCTC11155_02461
ERR1913022.2832753__1.2832753	204516__U6RFV1__HMPREF1534_02560
ERR1913022.2832755__1.2832755	1318__I1ZKQ5__CYK20_09200
ERR1913022.2832710__1.2832710	46228__B5CSA1__HMPREF1202_00678
ERR1913022.2832785__1.2832785	165179__A0A229I3Z6__PREVCOP_03666
ERR1913022.2833094__1.2833094	357276__I8WDF1__B5F00_02455
ERR1913022.2833112__1.2833112	357276__A0A076IYE6__IY41_04275
ERR1913022.2833165__1.2833165	291644__I8Y2A3__HMPREF1532_03851
ERR1913022.2833235__1.2833235	357276__A0A076INR8__EL88_12300
ERR1913022.2833345__1.2833345	1263000__R5EMW8__BN466_00256
ERR1913022.2833309__1.2833309	821__A6L0C7__ERS852556_03520
ERR1913022.2833322__1.2833322	823__A0A355XF06__B5F32_11480
ERR1913022.2833395__1.2833395	487174__K0WUM9__HMPREF9448_02608
ERR1913022.2833519__1.2833519	820__A0A139K9Q2__DXD40_08795
ERR1913022.2833657__1.2833657	821__A0A3E4KIM1__M097_3660
ERR1913022.2833685__1.2833685	1262886__R6QHT9__BN563_00630
ERR1913022.2834089__1.2834089	28117__B0MXG8__ALIPUT_01814
ERR1913022.2834095__1.2834095	357276__A0A076ITH2__BSEG_03273
ERR1913022.2834100__1.2834100	39492__D4JWX2__accB
ERR1913022.2834133__1.2834133	28116__A0A1G8P076__AA414_01051
ERR1913022.2834262__1.2834262	28118__F9Z7M2__B5F99_10065
ERR1913022.2834284__1.2834284	165179__A0A3E5EA43__DXC61_07775
ERR1913022.2834381__1.2834381	46228__V8CCW7__DXD17_07330
ERR1913022.2834651__1.2834651	1547597__A0A0C3R522__IE90_04575
ERR1913022.2834612__1.2834612	46503__R6X5I4__ERS852463_01136
ERR1913022.2834710__1.2834710	1262886__R6QR12__BN563_01295
ERR1913022.2834769__1.2834769	39491__C4ZCV7__ERE_23110
ERR1913022.2834921__1.2834921	1262886__R6QJR0__BN563_01268
ERR1913022.2834913__1.2834913	487174__K0X7X4__DIT83_09125
ERR1913022.2835020__1.2835020	1262886__R6QML7__BN563_00260
ERR1913022.2835021__1.2835021	1262886__R6QML7__BN563_00260
ERR1913022.2835268__1.2835268	357276__A0A076J8M3__ABI39_13695
ERR1913022.2835447__1.2835447	371601__C3QME2__CW1_3650
ERR1913022.2835486__1.2835486	291644__I8Z2C6__HMPREF1071_00595
ERR1913022.2835668__1.2835668	821__A6L0C7__ERS852556_03520
ERR1913022.2835747__1.2835747	821__A0A0P0LNX8__ERS852509_03015
ERR1913022.2835780__1.2835780	28117__B0MT73__ALIPUT_00412
ERR1913022.2835864__1.2835864	291644__I8YKM2__HMPREF1532_00428
ERR1913022.2835875__1.2835875	821__A0A174NM17__lacZ_6
ERR1913022.2835969__1.2835969	556259__I0PXW0__BSGG_5187
ERR1913022.2836073__1.2836073	820__A0A174KKV6__DXC07_02635
ERR1913022.2836164__1.2836164	46228__V8BPB0__HMPREF1202_02451
ERR1913022.2836238__1.2836238	291644__I9TBA1__HMPREF1532_01959
ERR1913022.2836439__1.2836439	823__A6LC27__DXB14_11470
ERR1913022.2836484__1.2836484	410072__A0A173Y4Y6__ERS852389_02300
ERR1913022.2836516__1.2836516	357276__I9QBT7__BSEG_03340
ERR1913022.2836632__1.2836632	2293125__A0A374BSW4__DW917_13420
ERR1913022.2836678__1.2836678	1262889__R7H889__BN634_02048
ERR1913022.2836908__1.2836908	46228__V8BY98__RUMLAC_00452
ERR1913022.2836960__1.2836960	291644__R5JR56__HMPREF1532_03512
ERR1913022.2837143__1.2837143	821__A0A174WBC9__ERS852556_03145
ERR1913022.2837151__1.2837151	1262886__R6QAI4__BN563_00898
ERR1913022.2837257__1.2837257	820__A0A174TRB5__DXD40_11305
ERR1913022.2838085__1.2838085	28117__R7JJM9__ALIPUT_00662
ERR1913022.2838187__1.2838187	1965631__A0A1Y4AD81__B5F90_07705
ERR1913022.2838302__1.2838302	821__D4VD59__BHV80_04260
ERR1913022.2838534__1.2838534	1262935__R5GG37__BN773_00249
ERR1913022.2838589__1.2838589	165179__A0A174SA26__PREVCOP_05758
ERR1913022.2838757__1.2838757	818__A0A139K2A0__SAMN02910322_00898
ERR1913022.2838760__1.2838760	39492__B0MM84__lgt
ERR1913022.2838719__1.2838719	821__D4VD59__BHV80_04260
ERR1913022.2838721__1.2838721	40518__R5DYU1__DXD86_01160
ERR1913022.2838895__1.2838895	1262886__R6QPN8__BN563_00914
ERR1913022.2838943__1.2838943	418240__A0A174VMW5__ERS852478_01082
ERR1913022.2839086__1.2839086	1262889__R7HBI6__BN634_00794
ERR1913022.2839267__1.2839267	821__A0A0P0M405__DXC02_15075
ERR1913022.2839328__1.2839328	823__A6LBY1__ERS852380_00510
ERR1913022.2839590__1.2839590	357276__I9QWD4__DXD47_15075
ERR1913022.2839671__1.2839671	1262889__R7HAE5__BN634_02047
ERR1913022.2839774__1.2839774	556259__I0PXW0__BSGG_5187
ERR1913022.2839868__1.2839868	821__E5UMZ6__BVU_1450
ERR1913022.2839932__1.2839932	47678__R5UUD7__bga_1
ERR1913022.2840215__1.2840215	33039__A0A173VTT4__frdB_1
ERR1913022.2840235__1.2840235	820__A0A174QT76__B5G17_18060
ERR1913022.2840303__1.2840303	28118__F9ZBY3__Odosp_3561
ERR1913022.2840326__1.2840326	2293125__A0A374BMK9__DW917_16190
ERR1913022.2840613__1.2840613	40518__R5DZ88__DXD93_06320
ERR1913022.2840624__1.2840624	556259__I0PXW0__BSGG_5187
ERR1913022.2840984__1.2840984	239935__A0A2N8ITW6__CXT91_06265
ERR1913022.2841082__1.2841082	239935__A0A2N8IMC3__CXT96_03840
ERR1913022.2841172__1.2841172	46503__R6Y9P8__evgS_3
ERR1913022.2841376__1.2841376	46506__B0NUC3__SAMN05444283_1019
ERR1913022.2841480__1.2841480	357276__B6VYT9__HMPREF1063_05030
ERR1913022.2841669__1.2841669	1547597__A0A0C3MEK8__BA92_07620
ERR1913022.2841822__1.2841822	1262825__R5E298__BN724_00847
ERR1913022.2842010__1.2842010	46228__V8CHJ4__RUMLAC_00753
ERR1913022.2842306__1.2842306	820__A0A374Q854__HMPREF1073_03281
ERR1913022.2842348__1.2842348	357276__A0A0M1W6X7__HMPREF1065_03898
ERR1913022.2842481__1.2842481	1262889__R7HCF6__BN634_01122
ERR1913022.2842512__1.2842512	357276__I8WC65__EL88_00520
ERR1913022.2842573__1.2842573	39488__C0EYJ6__ERS852578_01971
ERR1913022.2842984__1.2842984	820__A0A174CK74__DXB48_07060
ERR1913022.2843074__1.2843074	1262886__R6RDI4__BN563_00643
ERR1913022.2843264__1.2843264	357276__B6W1Y1__BSEG_03960
ERR1913022.2843353__1.2843353	291644__R5JUY5__HMPREF1071_00941
ERR1913022.2843430__1.2843430	1897011__A0A1Q6RI45__BHW41_00970
ERR1913022.2843588__1.2843588	246787__A0A108T429__BACCELL_00192
ERR1913022.2843669__1.2843669	823__A0A174LDE8__M096_3277
ERR1913022.2843680__1.2843680	820__A0A3E4FZM1__adaA_2
ERR1913022.2843719__1.2843719	291644__I9SWB4__HMPREF1071_03184
ERR1913022.2843745__1.2843745	1262736__R5Y8Z5__BN496_01182
ERR1913022.2843922__1.2843922	2293125__A0A374C5Y6__DW917_09105
ERR1913022.2844002__1.2844002	1262935__R5GF37__BN773_01715
ERR1913022.2844063__1.2844063	1262935__R5GG37__BN773_00249
ERR1913022.2844108__1.2844108	165179__A0A3E5DWZ6__DXC61_10880
ERR1913022.2844233__1.2844233	821__A0A174JYD3__ERS852457_02610
ERR1913022.2844250__1.2844250	1547597__A0A0C3RDP4__BA92_09395
ERR1913022.2844270__1.2844270	357276__A0A174L570__GV66_05720
ERR1913022.2844321__1.2844321	1150298__A0A174SLE6__mlc_1
ERR1913022.2844408__1.2844408	458033__GCA_001482755.1_02203
ERR1913022.2844519__1.2844519	357276__A0A076IRV2__BACDOR_02822
ERR1913022.2844592__1.2844592	371601__A0A1Y4Q353__CW1_1747
ERR1913022.2844657__1.2844657	487174__K0WV13__DIT83_10890
ERR1913022.2844664__1.2844664	357276__B6W5Q7__DXD47_13945
ERR1913022.2844807__1.2844807	820__A0A139K0J1__HMPREF2141_03205
ERR1913022.2844928__1.2844928	820__A0A3E4VZY4__ERS852554_01211
ERR1913022.2844946__1.2844946	1262886__R6QNM3__BN563_00033
ERR1913022.2845133__1.2845133	1262935__R5GVF6__BN773_00033
ERR1913022.2845194__1.2845194	39492__D4JRV7__EUBSIR_01513
ERR1913022.2845331__1.2845331	46228__V8BYF1__HMPREF1202_02029
ERR1913022.2845369__1.2845369	821__I9R3W6__DXC16_12455
ERR1913022.2845414__1.2845414	40518__R5DX93__DXD93_03055
ERR1913022.2845494__1.2845494	40519__U2MCQ8__RUMCAL_00556
ERR1913022.2845622__1.2845622	28117__R7JH62__BHV66_05735
ERR1913022.2845984__1.2845984	2173__A0A1D2WTT4__BK798_05110
ERR1913022.2846059__1.2846059	371601__A0A174GPX4__BN890_15170
ERR1913022.2846060__1.2846060	357276__B6W5Q9__HMPREF1063_03125
ERR1913022.2846103__1.2846103	39492__D4JR58__EUBSIR_02090
ERR1913022.2846286__1.2846286	1263000__R5EUM2__BN466_01747
ERR1913022.2846474__1.2846474	1150298__A0A174Q6Q0__ERS852406_00063
ERR1913022.2846517__1.2846517	821__R9HFW2__DXD01_00365
ERR1913022.2846565__1.2846565	823__A6L9W2__DXB14_07905
ERR1913022.2846610__1.2846610	823__A0A395YY84__DXC05_19515
ERR1913022.2846705__1.2846705	39492__D4JR20__trmD
ERR1913022.2846809__1.2846809	823__A0A355XLS2__ERS852380_02644
ERR1913022.2847134__1.2847134	1262958__R7GR59__BN645_00956
ERR1913022.2847179__1.2847179	454155__F3QT57__HMPREF9442_01374
ERR1913022.2847189__1.2847189	310298__B3JFI7__BACCOP_00636
ERR1913022.2847300__1.2847300	821__A0A174AYT0__DXC02_03530
ERR1913022.2847313__1.2847313	487174__K0WRZ5__HMPREF9448_02826
ERR1913022.2847454__1.2847454	1262886__R6QAM6__BN563_01696
ERR1913022.2847745__1.2847745	39492__A0A175A133__cycB_1
ERR1913022.2847803__1.2847803	46228__V8BL81__DXD17_11825
ERR1913022.2847861__1.2847861	291644__I9TJP2__ERS852428_00842
ERR1913022.2848005__1.2848005	821__A0A0P0M3U7__DXB90_14325
ERR1913022.2848196__1.2848196	384638__B7APR1__BACPEC_00667
ERR1913022.2848405__1.2848405	1262911__R6GPC5__BN557_00852
ERR1913022.2848612__1.2848612	47678__R5U948__ERS852494_02962
ERR1913022.2848672__1.2848672	357276__A0A0M1VZG8__HMPREF1064_01655
ERR1913022.2848752__1.2848752	418240__A0A173YA50__ERS852478_00137
ERR1913022.2848783__1.2848783	1263000__R5EMZ8__BN466_00707
ERR1913022.2848902__1.2848902	1262886__R6QJR0__BN563_01268
ERR1913022.2849075__1.2849075	357276__A0A076IS73__GV66_00410
ERR1913022.2849271__1.2849271	40518__R5DYU1__DXD86_01160
ERR1913022.2849321__1.2849321	1262935__R5GSF1__BN773_01646
ERR1913022.2849401__1.2849401	357276__E5UTL1__HMPREF1065_03551
