ERR1913163.20__1.20	47678__R5UU99__C5Z00_11925
ERR1913163.3702048__1.3702048	28111__E5X0X9__HMPREF1016_02597
ERR1913163.3702057__1.3702057	745368__A0A1T4Y6M3__SAMN02745178_02754
ERR1913163.3702070__1.3702070	1550024__G9RNN5__TQ39_03430
ERR1913163.3702201__1.3702201	487175__R5E1I8__HMPREF9439_00724
ERR1913163.3702220__1.3702220	292800__H1CMV7__B5F52_10350
ERR1913163.3702247__1.3702247	820__A0A139JY23__B5G17_06330
ERR1913163.3702330__1.3702330	28116__E5CH94__NCTC11153_03344
ERR1913163.3702492__1.3702492	820__A0A174Q0F0__DXB48_08080
ERR1913163.3702507__1.3702507	1262924__R7HQ73__BN585_02030
ERR1913163.3702677__1.3702677	820__A0A374QGD2__ERS852421_02382
ERR1913163.3702690__1.3702690	69974__A0A090FEL8__MPL3365_630008
ERR1913163.3702751__1.3702751	671267__R9I7B5__C802_04018
ERR1913163.3702752__1.3702752	821__R9HFW2__DXD01_00365
ERR1913163.3702857__1.3702857	357276__B6W1J2__BACDOR_03380
ERR1913163.3702897__1.3702897	214856__I3YPR5__ERS852447_01364
ERR1913163.3703022__1.3703022	544644__GCA_001915615.1_00036
ERR1913163.3703133__1.3703133	820__A0A374QGD2__ERS852421_02382
ERR1913163.3703158__1.3703158	374840__GeneID:2546403
ERR1913163.3703163__1.3703163	821__C6Z087__DXB90_00750
ERR1913163.3703666__1.3703666	820__A0A139K4T0__ERS852510_03146
ERR1913163.3703733__1.3703733	820__A0A174CG08__DXB62_13215
ERR1913163.3703723__1.3703723	338188__A0A174ETX3__ERS852397_01955
ERR1913163.3703777__1.3703777	214856__R6XS02__ERS852447_01685
ERR1913163.3703907__1.3703907	820__A0A174KKV6__DXC07_02635
ERR1913163.3704051__1.3704051	1112008__GeneID:12978580
ERR1913163.3704059__1.3704059	1112008__GeneID:10324215
ERR1913163.3704243__1.3704243	820__A7V470__HMPREF1072_02076
ERR1913163.3704440__1.3704440	821__A0A0P0M2J4__DXD46_10295
ERR1913163.3704459__1.3704459	214856__I3YPR5__ERS852447_01364
ERR1913163.3704552__1.3704552	47678__R5U6J0__ERS852558_00310
ERR1913163.3704605__1.3704605	821__A0A174NM17__lacZ_6
ERR1913163.3704618__1.3704618	820__A0A396CMY7__HMPREF1072_03009
ERR1913163.3704783__1.3704783	1550024__G9RXA1__TQ39_18810
ERR1913163.3704822__1.3704822	821__E5UY21__C800_02204
ERR1913163.3704852__1.3704852	28111__R5K5Y0__NCTC11155_03071
ERR1913163.3704911__1.3704911	291645__I8XNB5__HMPREF1068_01124
ERR1913163.3704917__1.3704917	28116__A7LXU0__HMPREF1070_00358
ERR1913163.3705044__1.3705044	28111__E5WYC3__NCTC11155_03517
ERR1913163.3705049__1.3705049	820__A0A173WZS4__DXD90_10250
ERR1913163.3705169__1.3705169	1112008__GeneID:12978700
ERR1913163.3705201__1.3705201	214856__I3YPN0__ERS852447_01398
ERR1913163.3705207__1.3705207	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913163.3705241__1.3705241	214856__I3YMC8__ERS852447_02666
ERR1913163.3705307__1.3705307	820__A0A174M9V5__M093_0237
ERR1913163.3705385__1.3705385	1550024__A0A0D8J3F2__ASJ35_12800
ERR1913163.3705494__1.3705494	374840__GeneID:2546403
ERR1913163.3705635__1.3705635	818__A0A3E5HE16__C5Z03_22745
ERR1913163.3705796__1.3705796	821__A0A396F598__CUU_3259
ERR1913163.3705952__1.3705952	28111__E5WYP5__BACEGG_00185
ERR1913163.3705981__1.3705981	820__A7VAS1__HMPREF2141_03259
ERR1913163.3706044__1.3706044	47678__R5U2W6__CGC64_03455
ERR1913163.3706056__1.3706056	214856__R6Z4Q8__ERS852447_00885
ERR1913163.3706295__1.3706295	820__A0A174GK47__ERS852421_00200
ERR1913163.3706326__1.3706326	246787__R6KQ08__AA416_01934
ERR1913163.3706660__1.3706660	821__A0A173XDD3__DXB82_17180
ERR1913163.3706931__1.3706931	556259__E5C8S0__BSGG_1769
ERR1913163.3707035__1.3707035	544644__GCA_001915615.1_00036
ERR1913163.3707051__1.3707051	821__A0A078R9Y9__M097_2119
ERR1913163.3707276__1.3707276	214856__I3YPN9__ERS852447_01389
ERR1913163.3707290__1.3707290	46506__B0NUC3__SAMN05444283_1019
ERR1913163.3707370__1.3707370	357276__B6W1J2__BACDOR_03380
ERR1913163.3707373__1.3707373	28111__R5JPB6__NCTC11155_02514
ERR1913163.3707401__1.3707401	33039__D4M6R8__bglB_8
ERR1913163.3707409__1.3707409	820__A0A3E4GA19__SAMN05444418_10562
ERR1913163.3707497__1.3707497	820__A0A174CK74__DXB48_07060
ERR1913163.3707512__1.3707512	1262924__R7HT04__BN585_00021
ERR1913163.3707538__1.3707538	821__A6L0C7__ERS852556_03520
ERR1913163.3707576__1.3707576	823__D0TBY4__M090_0431
ERR1913163.3707589__1.3707589	1550024__A0A0D8IU01__TQ39_19670
ERR1913163.3708016__1.3708016	818__A0A139K023__trxA_3
ERR1913163.3708024__1.3708024	820__A0A174M9V5__M093_0237
ERR1913163.3708131__1.3708131	28111__R5K3D9__NCTC11155_02788
ERR1913163.3708236__1.3708236	745368__A0A1T4Y6I3__SAMN02745178_02753
ERR1913163.3708321__1.3708321	820__A0A139K426__B5G17_09115
ERR1913163.3708367__1.3708367	28111__E5WUX1__HMPREF1016_00548
ERR1913163.3708452__1.3708452	820__A0A174Q0F0__DXB48_08080
ERR1913163.3708487__1.3708487	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913163.3708770__1.3708770	1550024__A0A0D8IYM8__ASJ35_18670
ERR1913163.3708809__1.3708809	820__A0A174CG08__DXB62_13215
ERR1913163.3708904__1.3708904	820__A0A139KHX1__HMPREF2141_00289
ERR1913163.3708926__1.3708926	69974__A0A090FEL8__MPL3365_630008
ERR1913163.3708957__1.3708957	821__A0A395UNT8__DXD64_15275
ERR1913163.3708988__1.3708988	28111__E5WUU3__HMPREF1016_00520
ERR1913163.3709042__1.3709042	28111__R5K222__bglX_7
ERR1913163.3709135__1.3709135	821__R7P1Q7__M099_2990
ERR1913163.3709097__1.3709097	820__A7VAR9__ERS852421_00197
ERR1913163.3709234__1.3709234	820__A0A174DZ97__SAMN05444418_101240
ERR1913163.3709373__1.3709373	214856__I3YPP9__Alfi_2707
ERR1913163.3709337__1.3709337	820__A0A3E4RUC4__DHU98_02635
ERR1913163.3709414__1.3709414	820__A0A174F0C1__nreB
ERR1913163.3709536__1.3709536	214856__A0A174ZER9__ERS852559_00614
ERR1913163.3709747__1.3709747	292800__A0A174W622__ADH75_01915
ERR1913163.3709841__1.3709841	47678__R5UFW6__ERS852558_01575
ERR1913163.3710004__1.3710004	28111__E5WYC8__BACEGG_00347
ERR1913163.3710157__1.3710157	28111__E5WWI8__HMPREF1016_01036
ERR1913163.3710245__1.3710245	823__A0A355XFH7__ERS852513_00769
ERR1913163.3710291__1.3710291	1796652__ltrA_3
ERR1913163.3710340__1.3710340	28116__E5C3L0__B5F02_21065
ERR1913163.3710380__1.3710380	1262924__R7HRR0__BN585_00872
ERR1913163.3710400__1.3710400	374844__GeneID:1260912
ERR1913163.3710418__1.3710418	28111__E5X205__NCTC11155_00661
ERR1913163.3710553__1.3710553	69974__A0A090FEL8__MPL3365_630008
ERR1913163.3710555__1.3710555	28111__R5JSC9__HMPREF1016_01677
ERR1913163.3710581__1.3710581	820__A0A174Q0F0__DXB48_08080
ERR1913163.3710760__1.3710760	28116__C3QN68__BACOVA_04250
ERR1913163.3710900__1.3710900	487175__F3QJ64__HMPREF9439_00964
ERR1913163.3710995__1.3710995	338188__A0A174ETX3__ERS852397_01955
ERR1913163.3711004__1.3711004	214856__A0A174AYS4__ERS852447_01192
ERR1913163.3711015__1.3711015	46506__A0A120A0V1__DXC41_00280
ERR1913163.3711019__1.3711019	46506__A0A120A3P8__SAMN05444283_1172
ERR1913163.3711081__1.3711081	820__A0A139K5A6__DXB48_12175
ERR1913163.3711134__1.3711134	28111__E5X123__BACEGG_03115
ERR1913163.3711147__1.3711147	292800__H1CMV7__B5F52_10350
ERR1913163.3711174__1.3711174	511969__GeneID:3959334
ERR1913163.3711175__1.3711175	544644__GCA_001915615.1_01914
ERR1913163.3711264__1.3711264	28111__E5WUH3__BACEGG_02112
ERR1913163.3711517__1.3711517	374840__GeneID:2546403
ERR1913163.3711578__1.3711578	1262924__R7HQI4__BN585_00500
ERR1913163.3711847__1.3711847	292800__A0A174V8M0__A4U99_15280
ERR1913163.3711895__1.3711895	28111__R5JVV2__BACEGG_02950
ERR1913163.3712042__1.3712042	28116__C3QVY2__SAMN05444282_12234
ERR1913163.3712150__1.3712150	820__A0A174M9V5__M093_0237
ERR1913163.3712217__1.3712217	28111__R5K5Y0__NCTC11155_03071
ERR1913163.3712265__1.3712265	387090__S0F7Y3__BACCOPRO_02028
ERR1913163.3712290__1.3712290	818__A0A396EBF0__ERS852430_00820
ERR1913163.3712433__1.3712433	374840__GeneID:2546403
ERR1913163.3712499__1.3712499	820__A0A139KG04__ERS852459_01249
ERR1913163.3712676__1.3712676	292800__A0A1C7FN63__ERS852544_00989
ERR1913163.3712713__1.3712713	821__A0A0P0M2J4__DXD46_10295
ERR1913163.3712767__1.3712767	821__A0A174RA14__M099_1655
ERR1913163.3712794__1.3712794	28111__E5WYY8__HMPREF1016_01893
ERR1913163.3712885__1.3712885	28116__A7LS06__HMPREF2532_04668
ERR1913163.3712969__1.3712969	745368__A0A1T4XL12__SAMN02745178_01966
ERR1913163.3713157__1.3713157	47678__R5UXY0__CGC64_03535
ERR1913163.3713180__1.3713180	47678__A5ZEA3__ERS852558_00257
ERR1913163.3713314__1.3713314	818__A0A174RFL1__ERS852511_03380
ERR1913163.3713358__1.3713358	214856__I3YPP3__Alfi_2701
ERR1913163.3713362__1.3713362	28116__F7L8I3__M089_1421
ERR1913163.3713408__1.3713408	28111__E5WYC8__BACEGG_00347
ERR1913163.3713529__1.3713529	820__A0A139KHX1__HMPREF2141_00289
ERR1913163.3713663__1.3713663	28111__E5X124__NCTC11155_02431
ERR1913163.3713740__1.3713740	1261__D3MR67__SAMN05660467_01650
ERR1913163.3713813__1.3713813	47678__R5U9Z0__HMPREF1061_03210
ERR1913163.3714004__1.3714004	39490__A0A2V1JQ25__LG34_11235
ERR1913163.3714393__1.3714393	28111__E5WYC1__BACEGG_00354
ERR1913163.3714480__1.3714480	47678__R5U9S9__BACCAC_01855
ERR1913163.3714567__1.3714567	292800__G9YX54__A4U99_08800
ERR1913163.3714864__1.3714864	1112008__GeneID:10324215
ERR1913163.3715086__1.3715086	357276__I8WEY2__ABI39_04185
ERR1913163.3715194__1.3715194	820__A0A139KJR5__M093_4469
ERR1913163.3715277__1.3715277	387090__S0F7Y3__BACCOPRO_02028
ERR1913163.3715285__1.3715285	28111__E5WYP5__BACEGG_00185
ERR1913163.3715322__1.3715322	189722__E0NQU7__HMPREF0658_0548
ERR1913163.3715417__1.3715417	47678__R5UER2__CGC64_00710
ERR1913163.3715570__1.3715570	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913163.3715576__1.3715576	1472761__GCA_002159295.1_00731
ERR1913163.3715764__1.3715764	818__A0A0P0F391__BJP75_009470
ERR1913163.3715981__1.3715981	46506__S3YGB4__DXC41_06355
ERR1913163.3716024__1.3716024	820__A0A139K4T0__ERS852510_03146
ERR1913163.3716267__1.3716267	28111__R5K5Y3__BACEGG_03205
ERR1913163.3716283__1.3716283	820__A0A139K5A6__DXB48_12175
ERR1913163.3716342__1.3716342	820__A0A139JUD3__DXC91_19380
ERR1913163.3716376__1.3716376	820__A0A3E4VZT7__DXB48_16145
ERR1913163.3716529__1.3716529	820__A0A3E4GA19__SAMN05444418_10562
ERR1913163.3716720__1.3716720	28111__R5K3D9__NCTC11155_02788
ERR1913163.3716763__1.3716763	544644__GCA_001915615.1_02268
ERR1913163.3716840__1.3716840	47678__R5U2W6__CGC64_03455
ERR1913163.3716970__1.3716970	821__A0A3E4HP25__SAMN04487923_102450
ERR1913163.3716980__1.3716980	820__R9HP61__DXC91_01090
ERR1913163.3717010__1.3717010	28111__R5K222__bglX_7
ERR1913163.3717082__1.3717082	371601__A0A1C7H1Z9__BN890_35950
ERR1913163.3717129__1.3717129	563769__GeneID:6973141
ERR1913163.3717218__1.3717218	28111__E5WYC8__BACEGG_00347
ERR1913163.3717262__1.3717262	47678__A5ZF31__DXB67_11050
ERR1913163.3717476__1.3717476	28111__E5WYC8__BACEGG_00347
ERR1913163.3717498__1.3717498	977927__GeneID:10324129
ERR1913163.3717829__1.3717829	28111__E5WUE9__NCTC11155_01729
ERR1913163.3717831__1.3717831	292800__H1CMV7__B5F52_10350
ERR1913163.3717926__1.3717926	28111__R5JQQ7__NCTC11155_02278
ERR1913163.3718083__1.3718083	374840__GeneID:2546403
ERR1913163.3718269__1.3718269	1550024__A0A0W7TNX6__ASJ35_13710
ERR1913163.3718338__1.3718338	28111__E5WYP5__BACEGG_00185
ERR1913163.3718391__1.3718391	820__A0A374Q854__HMPREF1073_03281
ERR1913163.3718490__1.3718490	821__A0A396F598__CUU_3259
ERR1913163.3718552__1.3718552	1550024__A0A3B9WEG3__ASJ35_04505
ERR1913163.3718585__1.3718585	28111__E5X1H4__HMPREF1016_02781
ERR1913163.3718944__1.3718944	820__A0A374QGD2__ERS852421_02382
ERR1913163.3718966__1.3718966	214856__R6YD52__ERS852447_02171
ERR1913163.3719076__1.3719076	1262986__R5ZZY1__BN492_00394
ERR1913163.3719124__1.3719124	1099853__R7DMW0__NSB1T_11540
ERR1913163.3719131__1.3719131	28116__F7L4N5__BACOVA_00137
ERR1913163.3719147__1.3719147	28116__A7LXT4__DXF98_03755
ERR1913163.3719196__1.3719196	28111__E5WYC3__NCTC11155_03517
ERR1913163.3719255__1.3719255	823__D7IT19__DHP27_03495
ERR1913163.3719355__1.3719355	820__A0A374Q854__HMPREF1073_03281
ERR1913163.3719525__1.3719525	820__R9HP61__DXC91_01090
ERR1913163.3719548__1.3719548	820__A0A374Q1D8__SAMN05444418_112114
ERR1913163.3719550__1.3719550	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913163.3719664__1.3719664	820__A0A174CG08__DXB62_13215
ERR1913163.3719672__1.3719672	745368__A0A1T4Y9Q7__SAMN02745178_02874
ERR1913163.3719745__1.3719745	1112008__GeneID:10324215
ERR1913163.3719844__1.3719844	47678__R5U2W6__CGC64_03455
ERR1913163.3719948__1.3719948	28111__R5JN40__HMPREF1016_01803
ERR1913163.3720036__1.3720036	46506__A0A108TCU0__etk
ERR1913163.3720022__1.3720022	626932__G5H9U8__HMPREF9450_01413
ERR1913163.3720061__1.3720061	821__A0A174NM17__lacZ_6
ERR1913163.3720103__1.3720103	69974__A0A090FEL8__MPL3365_630008
ERR1913163.3720154__1.3720154	821__A0A3E4WAR6__DXD64_10735
ERR1913163.3720178__1.3720178	821__A0A3E4HP25__SAMN04487923_102450
ERR1913163.3720425__1.3720425	820__A0A174P0L5__glcK_3
ERR1913163.3720446__1.3720446	28111__E5WVR8__NCTC11155_02792
ERR1913163.3720375__1.3720375	28116__F7L4X5__M089_2857
ERR1913163.3720496__1.3720496	1262986__A0A350CXI8__BN492_00074
ERR1913163.3720816__1.3720816	28111__R5K222__bglX_7
ERR1913163.3720819__1.3720819	745368__A0A1T4XQU7__SAMN02745178_02180
ERR1913163.3720889__1.3720889	818__A0A3E5HWN5__BSIG_3066
ERR1913163.3720894__1.3720894	820__A0A3E5E0T0__ERS852554_00312
ERR1913163.3720979__1.3720979	28116__E5C3L0__B5F02_21065
ERR1913163.3721264__1.3721264	487175__R5E7P2__HMPREF9439_00873
ERR1913163.3721324__1.3721324	556259__I0PYM3__BSGG_5385
ERR1913163.3721503__1.3721503	28111__R5JN40__HMPREF1016_01803
ERR1913163.3721520__1.3721520	387090__S0F8B2__BACCOPRO_02129
ERR1913163.3721604__1.3721604	214856__R6XKT4__ERS852559_01719
ERR1913163.3721645__1.3721645	1550024__G9RWG1__ASJ35_03770
ERR1913163.3721719__1.3721719	820__A0A174QLF0__SAMN05444418_109151
ERR1913163.3721871__1.3721871	47678__A5ZBL9__C5Z00_18710
ERR1913163.3721950__1.3721950	28111__E5X333__NCTC11155_03016
ERR1913163.3721975__1.3721975	821__A0A3E4KIM1__M097_3660
ERR1913163.3721989__1.3721989	820__A0A173XIP7__B5G17_16050
ERR1913163.3722111__1.3722111	28111__E5X237__NCTC11155_00628
ERR1913163.3722296__1.3722296	820__A0A139JY23__B5G17_06330
ERR1913163.3722311__1.3722311	821__A6L0C7__ERS852556_03520
ERR1913163.3722371__1.3722371	821__A0A396F598__CUU_3259
ERR1913163.3722408__1.3722408	1965537__A0A1Y4WET0__B5E42_13755
ERR1913163.3722415__1.3722415	1099853__G9S433__NSB1T_07535
ERR1913163.3722486__1.3722486	39491__A0A173QT73__alaS_2
ERR1913163.3722635__1.3722635	821__A0A3E4KIM1__M097_3660
ERR1913163.3722748__1.3722748	818__A0A0P0F525__C799_04575
ERR1913163.3722800__1.3722800	820__R9I3Q7__HMPREF1072_01668
ERR1913163.3722877__1.3722877	1308__A0A2X3WPE2__CDA68_01375
ERR1913163.3722968__1.3722968	28116__A7M019__HMPREF1070_01109
ERR1913163.3723163__1.3723163	1550024__A0A0D8IVV4__ASJ35_03610
ERR1913163.3723199__1.3723199	28111__E5X3F5__BACEGG_02868
ERR1913163.3723292__1.3723292	820__A0A1T4IYF4__mprA_1
ERR1913163.3723710__1.3723710	820__R9I324__HMPREF2141_02414
ERR1913163.3723727__1.3723727	291645__I8XBS7__HMPREF1068_03197
ERR1913163.3723734__1.3723734	214856__R6XYY8__ERS852447_01722
ERR1913163.3723776__1.3723776	820__A0A174QLF0__SAMN05444418_109151
ERR1913163.3723886__1.3723886	745368__A0A1T4WEV8__SAMN02745178_00491
ERR1913163.3723982__1.3723982	821__A0A396F598__CUU_3259
ERR1913163.3723997__1.3723997	820__A0A139KG04__ERS852459_01249
ERR1913163.3724064__1.3724064	28111__E5WUE9__NCTC11155_01729
ERR1913163.3724122__1.3724122	820__A0A374MXK3__HMPREF1072_00166
ERR1913163.3724136__1.3724136	292800__G9YLK8__ERS852504_01820
ERR1913163.3724156__1.3724156	821__A0A174RA14__M099_1655
ERR1913163.3724280__1.3724280	820__A7V470__HMPREF1072_02076
ERR1913163.3724298__1.3724298	820__A0A396EUU8__luxQ_3
ERR1913163.3724304__1.3724304	818__A0A1H7L4U6__BSIG_3287
ERR1913163.3724350__1.3724350	28111__E5WUE9__NCTC11155_01729
ERR1913163.3724369__1.3724369	820__A0A3E4G826__C801_01612
ERR1913163.3724429__1.3724429	28116__A7M344__BACOV975_04644
ERR1913163.3724493__1.3724493	28116__A0A078Q626__HMPREF1070_02735
ERR1913163.3724617__1.3724617	544644__GCA_001915615.1_00463
ERR1913163.3724647__1.3724647	1262744__R6FST0__BN744_00381
ERR1913163.3724599__1.3724599	820__A0A174KKV6__DXC07_02635
ERR1913163.3724632__1.3724632	47678__R5UAY9__DW706_07200
ERR1913163.3724759__1.3724759	28111__E5X237__NCTC11155_00628
ERR1913163.3725057__1.3725057	820__A0A3E4WCC2__lptB_1
ERR1913163.3725257__1.3725257	454154__G5ST56__HMPREF9441_02556
ERR1913163.3725263__1.3725263	28118__F9ZA35__DER54_10915
ERR1913163.3725322__1.3725322	10726__GeneID:2777617
ERR1913163.3725333__1.3725333	820__A0A173WZS4__DXD90_10250
ERR1913163.3725448__1.3725448	292800__A0A174N232__ADH75_10840
ERR1913163.3725747__1.3725747	818__A0A174Q773__SAMN02910322_03683
ERR1913163.3725810__1.3725810	820__A0A139KJ23__celCCA
ERR1913163.3725858__1.3725858	214856__R6Z590__ERS852447_01059
ERR1913163.3725917__1.3725917	1262924__R7HRJ9__BN585_00557
ERR1913163.3726077__1.3726077	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913163.3726138__1.3726138	204516__U6RAM4__HMPREF1534_03439
ERR1913163.3726209__1.3726209	1262924__R7HM17__BN585_01318
ERR1913163.3726303__1.3726303	1262924__R7HM98__BN585_01697
ERR1913163.3726334__1.3726334	28111__E5WYP5__BACEGG_00185
ERR1913163.3726357__1.3726357	626929__F3PM80__HMPREF9445_02977
ERR1913163.3726391__1.3726391	28111__E5WVR8__NCTC11155_02792
ERR1913163.3726420__1.3726420	28111__E5X119__NCTC11155_02426
ERR1913163.3726488__1.3726488	820__A0A174Q0F0__DXB48_08080
ERR1913163.3726577__1.3726577	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913163.3726668__1.3726668	47678__A5ZHP9__bioD1
ERR1913163.3726702__1.3726702	28111__E5WYC3__NCTC11155_03517
ERR1913163.3726684__1.3726684	214856__I3YPP3__Alfi_2701
ERR1913163.3726748__1.3726748	214856__R6Z186__ERS852447_00718
ERR1913163.3726783__1.3726783	47678__A5ZG68__ERS852494_02968
ERR1913163.3726801__1.3726801	820__A0A374QGD2__ERS852421_02382
ERR1913163.3726805__1.3726805	28111__E5WYC3__NCTC11155_03517
ERR1913163.3727231__1.3727231	820__R9I3Q7__HMPREF1072_01668
ERR1913163.3727453__1.3727453	1550024__A0A0W7TVN4__ASJ35_01120
ERR1913163.3727563__1.3727563	28118__F9Z8Y7__DHW44_02235
ERR1913163.3727872__1.3727872	357276__I8VLL2__HMPREF1065_03395
ERR1913163.3727911__1.3727911	1262743__R5C054__BN727_01980
ERR1913163.3727919__1.3727919	487175__R5E5C4__HMPREF9439_00381
ERR1913163.3728147__1.3728147	28111__R5JN40__HMPREF1016_01803
ERR1913163.3728148__1.3728148	28111__R5K222__bglX_7
ERR1913163.3728172__1.3728172	28116__A0A0J9IIV5__M089_5519
ERR1913163.3728319__1.3728319	47678__R5UT79__ERS852558_03890
ERR1913163.3728464__1.3728464	1150298__R7JND0__ERS852498_02814
ERR1913163.3728512__1.3728512	821__A0A078R9Y9__M097_2119
ERR1913163.3728598__1.3728598	1550024__A0A0D8IYM8__ASJ35_18670
ERR1913163.3728611__1.3728611	292800__A0A1C7FMP9__ADH75_14350
ERR1913163.3728663__1.3728663	28111__E5X119__NCTC11155_02426
ERR1913163.3728882__1.3728882	28111__R5JPB6__NCTC11155_02514
ERR1913163.3728961__1.3728961	820__A0A1T4IYF4__mprA_1
ERR1913163.3729078__1.3729078	69974__A0A090FEL8__MPL3365_630008
ERR1913163.3729110__1.3729110	820__A0A3E4VZT7__DXB48_16145
ERR1913163.3729118__1.3729118	47678__R5UT79__ERS852558_03890
ERR1913163.3729217__1.3729217	28111__E5WVZ4__NCTC11155_02635
ERR1913163.3729286__1.3729286	487175__F3QK43__HMPREF9439_01300
ERR1913163.3729454__1.3729454	28111__E5WUE9__NCTC11155_01729
ERR1913163.3729434__1.3729434	823__A0A174VHT1__DHP27_04775
ERR1913163.3729540__1.3729540	821__A0A173WG51__BVU_2549
ERR1913163.3729570__1.3729570	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913163.3729588__1.3729588	821__E5UMZ6__BVU_1450
ERR1913163.3729611__1.3729611	820__A0A3E4W984__pssA
ERR1913163.3729953__1.3729953	69974__A0A090FEL8__MPL3365_630008
ERR1913163.3730042__1.3730042	292800__H1C6M9__ERS852518_00105
ERR1913163.3730110__1.3730110	47678__R5UXY0__CGC64_03535
ERR1913163.3730190__1.3730190	292800__A0A174DY95__HMPREF0372_02254
ERR1913163.3730239__1.3730239	10726__GeneID:2777626
ERR1913163.3730374__1.3730374	821__D4VD59__BHV80_04260
ERR1913163.3730390__1.3730390	69974__A0A090FEL8__MPL3365_630008
ERR1913163.3730440__1.3730440	28116__F7L4N5__BACOVA_00137
ERR1913163.3730425__1.3730425	46506__B0NM94__HMPREF1181_03250
ERR1913163.3730427__1.3730427	1550024__A0A3B9WGS9__ASJ35_05050
ERR1913163.3730582__1.3730582	820__A0A3E4VZY4__ERS852554_01211
ERR1913163.3730728__1.3730728	246787__R6KQ08__AA416_01934
ERR1913163.3730747__1.3730747	1262924__R7HRJ9__BN585_00557
ERR1913163.3730804__1.3730804	626933__H1DGX0__HMPREF9449_01506
ERR1913163.3730890__1.3730890	28111__E5WUX1__HMPREF1016_00548
ERR1913163.3730990__1.3730990	511969__GeneID:3959334
ERR1913163.3731015__1.3731015	28111__R5JN40__HMPREF1016_01803
ERR1913163.3731021__1.3731021	820__A7UYX8__DXD40_11635
ERR1913163.3731030__1.3731030	28116__A0A1Y4PEX5__DXF98_25295
ERR1913163.3731044__1.3731044	1262924__R7HQD9__BN585_00129
ERR1913163.3731190__1.3731190	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913163.3731196__1.3731196	292800__A0A174NR23__ADH75_11365
ERR1913163.3731297__1.3731297	28116__A0A1Y4Q112__evgS_13
ERR1913163.3731349__1.3731349	28111__E5X121__BACEGG_03113
ERR1913163.3731458__1.3731458	28111__E5WYC3__NCTC11155_03517
ERR1913163.3731548__1.3731548	374844__GeneID:1260912
ERR1913163.3731747__1.3731747	28111__E5WVZ4__NCTC11155_02635
ERR1913163.3731938__1.3731938	745368__A0A1T4YBA4__SAMN02745178_02873
ERR1913163.3731941__1.3731941	818__A0A0P0F4D0__BT_2503
ERR1913163.3732138__1.3732138	47678__R5U8Y1__BACCAC_02615
ERR1913163.3732161__1.3732161	69974__A0A090FEL8__MPL3365_630008
ERR1913163.3732270__1.3732270	28111__E5WUU3__HMPREF1016_00520
ERR1913163.3732376__1.3732376	820__A0A139K8N1__ERS852554_00951
ERR1913163.3732495__1.3732495	214856__I3YPQ0__ERS852447_01379
ERR1913163.3732462__1.3732462	28111__E5WYC8__BACEGG_00347
ERR1913163.3732620__1.3732620	292800__A0A174Y0J1__HMPREF0372_03035
ERR1913163.3732708__1.3732708	487175__R5EJE4__HMPREF9439_01295
ERR1913163.3732739__1.3732739	1112008__GeneID:2777554
ERR1913163.3732759__1.3732759	28111__R5JN40__HMPREF1016_01803
ERR1913163.3732775__1.3732775	357276__A0A076INR8__EL88_12300
ERR1913163.3732829__1.3732829	28111__E5WYP5__BACEGG_00185
ERR1913163.3732918__1.3732918	821__A0A173WG51__BVU_2549
ERR1913163.3732937__1.3732937	821__A0A396F9T7__M097_3427
ERR1913163.3733070__1.3733070	544644__GCA_001915615.1_01853
ERR1913163.3733084__1.3733084	374840__GeneID:2546403
ERR1913163.3733303__1.3733303	820__A0A374QGD2__ERS852421_02382
ERR1913163.3733564__1.3733564	821__A0A174WBC9__ERS852556_03145
ERR1913163.3733543__1.3733543	28111__E5WVR8__NCTC11155_02792
ERR1913163.3733635__1.3733635	47678__R5U2W6__CGC64_03455
ERR1913163.3733676__1.3733676	626933__H1DGX0__HMPREF9449_01506
ERR1913163.3733775__1.3733775	820__A0A3E4VXP2__yesR
ERR1913163.3733800__1.3733800	46506__B0NU77__AA415_02810
ERR1913163.3733808__1.3733808	821__E5UY21__C800_02204
ERR1913163.3733812__1.3733812	10678__GeneID:2777473
ERR1913163.3733836__1.3733836	820__A0A078S569__gmhB
ERR1913163.3733957__1.3733957	745368__A0A1T4Y6I3__SAMN02745178_02753
ERR1913163.3733915__1.3733915	28111__R5K5Y0__NCTC11155_03071
ERR1913163.3733935__1.3733935	357276__A0A0M1W657__HMPREF1064_04629
ERR1913163.3733938__1.3733938	189722__E0NQU7__HMPREF0658_0548
ERR1913163.3734107__1.3734107	820__A0A374Q854__HMPREF1073_03281
ERR1913163.3734074__1.3734074	28111__E5X333__NCTC11155_03016
ERR1913163.3734203__1.3734203	47678__R5U8Y1__BACCAC_02615
ERR1913163.3734234__1.3734234	818__A0A0N7I9H8__ERS852461_00040
ERR1913163.3734452__1.3734452	820__A0A374QGD2__ERS852421_02382
ERR1913163.3734509__1.3734509	47678__R5UER2__CGC64_00710
