ERR1913291.5__1.5	823__A0A174W1A8__panE
ERR1913291.472951__1.472951	820__A0A3E4W7J3__DXC07_00330
ERR1913291.473020__1.473020	820__A0A3E4GE89__DXB48_02565
ERR1913291.473144__1.473144	821__A0A396F1N0__M099_1553
ERR1913291.473289__1.473289	556259__I0PYJ6__BSGG_5210
ERR1913291.473776__1.473776	821__A6L0C7__ERS852556_03520
ERR1913291.473763__1.473763	292800__G9YUU2__ERS852518_01397
ERR1913291.473820__1.473820	1150298__A0A174M5S6__ERS852498_01656
ERR1913291.474090__1.474090	28116__E5CHV5__B5F02_08530
ERR1913291.474132__1.474132	821__A0A395US34__C5Z04_18975
ERR1913291.474152__1.474152	1550024__G9RNN7__TQ39_03420
ERR1913291.474170__1.474170	820__A0A3E4WA06__ERS852554_03404
ERR1913291.474185__1.474185	39491__A0A396FS17__envC
ERR1913291.474188__1.474188	821__A0A174NM17__lacZ_6
ERR1913291.474421__1.474421	28116__A0A3E5HUC8__DHW41_21025
ERR1913291.474481__1.474481	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913291.474819__1.474819	820__A0A174LJB2__HMPREF1072_04112
ERR1913291.474825__1.474825	28116__A0A078Q626__HMPREF1070_02735
ERR1913291.474968__1.474968	821__A0A396EVC9__DXB90_03525
ERR1913291.475044__1.475044	817__D1JR62__M110_0404
ERR1913291.475123__1.475123	823__A0A173UDF6__CEQ22_003270
ERR1913291.475154__1.475154	39492__D4JT87__clpC
ERR1913291.475232__1.475232	246787__A0A0P0GPH1__HMPREF1062_01913
ERR1913291.475237__1.475237	1262882__R5MQ68__BN519_01178
ERR1913291.475192__1.475192	821__A0A0P0M6M0__M097_4734
ERR1913291.475418__1.475418	823__A0A355XFH7__ERS852513_00769
ERR1913291.475432__1.475432	39492__B0MP07__ERS852540_02083
ERR1913291.475577__1.475577	28116__R6JIR4__DXA80_14190
ERR1913291.475821__1.475821	823__A0A174U5E4__BDI_3390
ERR1913291.475943__1.475943	821__E5UPR6__SAMN04487923_101768
ERR1913291.475985__1.475985	338188__A0A174ETX3__ERS852397_01955
ERR1913291.476079__1.476079	823__A0A173TMY6__M096_4753
ERR1913291.476208__1.476208	1150298__R7JU97__ERS852498_02579
ERR1913291.476286__1.476286	166486__A0A173T114__ROSINTL182_05085
ERR1913291.476375__1.476375	28116__A0A1Y4PIA6__BACOV975_04529
ERR1913291.476379__1.476379	371601__E5CE41__ERS852396_04351
ERR1913291.476416__1.476416	1150298__A0A174U8I6__ERS852535_02809
ERR1913291.476625__1.476625	820__A0A374Q4X1__HMPREF2141_02370
ERR1913291.476655__1.476655	671267__R9IB12__C802_00696
ERR1913291.476718__1.476718	487174__K0WV19__HMPREF9448_01820
ERR1913291.476779__1.476779	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913291.477083__1.477083	39492__R6SPM9__pheT
ERR1913291.477126__1.477126	28118__F9Z8Y8__B5F99_07140
ERR1913291.477215__1.477215	246787__R6KK25__HMPREF1062_01860
ERR1913291.477554__1.477554	28117__B0MSL1__BHV66_06710
ERR1913291.477555__1.477555	28117__R7JJM9__ALIPUT_00662
ERR1913291.477650__1.477650	1262992__R5D4X3__BN795_00699
ERR1913291.477725__1.477725	246787__A0A108T429__BACCELL_00192
ERR1913291.477926__1.477926	28116__C3QZB5__M088_3811
ERR1913291.478093__1.478093	853__E2ZGD9__C7J97_11715
ERR1913291.478232__1.478232	39492__D4JWI6__EUBSIR_01073
ERR1913291.478312__1.478312	28116__A0A1Y4PTX5__SAMN05192582_104017
ERR1913291.478388__1.478388	28116__A7M344__BACOV975_04644
ERR1913291.478348__1.478348	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913291.478544__1.478544	28116__A0A1H4GBQ8__HMPREF1017_04241
ERR1913291.478634__1.478634	28116__A0A1Y4PHM7__DXA80_25130
ERR1913291.478768__1.478768	28116__A0A078Q626__HMPREF1070_02735
ERR1913291.478921__1.478921	28116__A7LYG5__M089_5828
ERR1913291.478943__1.478943	28116__F7M1Q5__CUY_1584
ERR1913291.478903__1.478903	1262911__R6GPM2__BN557_00937
ERR1913291.478912__1.478912	820__A0A174QT76__B5G17_18060
ERR1913291.479167__1.479167	410072__C0B801__mucD
ERR1913291.479250__1.479250	39492__D4JWT3__ERS852540_00301
ERR1913291.479257__1.479257	28116__A7LXU0__HMPREF1070_00358
ERR1913291.479315__1.479315	28116__F7L4X5__M089_2857
ERR1913291.479332__1.479332	246787__A0A0P0G372__BcellWH2_03657
ERR1913291.479364__1.479364	28116__C3QVY2__SAMN05444282_12234
ERR1913291.479379__1.479379	821__A0A174NM17__lacZ_6
ERR1913291.479546__1.479546	357276__A0A0M1W9N4__GV66_05135
ERR1913291.479635__1.479635	39492__D4MMN2__EUBSIR_00964
ERR1913291.479745__1.479745	357276__B6W1J2__BACDOR_03380
ERR1913291.479719__1.479719	820__R9I324__HMPREF2141_02414
ERR1913291.479793__1.479793	487174__R5F016__DDY40_05675
ERR1913291.479860__1.479860	1262911__R6H1J5__BN557_00905
ERR1913291.479837__1.479837	214856__A0A175A6T5__ERS852447_02658
ERR1913291.480013__1.480013	556259__E5C690__BSGG_1431
ERR1913291.480046__1.480046	556259__I0PXW0__BSGG_5187
ERR1913291.480186__1.480186	246787__A0A120A2E7__HMPREF1062_06329
ERR1913291.480234__1.480234	817__A0A396EMA4__M108_0298
ERR1913291.480309__1.480309	820__A0A174M9V5__M093_0237
ERR1913291.480367__1.480367	556259__I0PYM3__BSGG_5385
ERR1913291.480767__1.480767	817__A0A395WMP7__M107_2481
ERR1913291.480984__1.480984	28116__R6JIR4__DXA80_14190
ERR1913291.480965__1.480965	28117__B0MXG8__ALIPUT_01814
ERR1913291.481193__1.481193	39491__A0A396FJJ9__DXB76_11995
ERR1913291.481284__1.481284	820__A0A173YYG4__evgS_3
ERR1913291.481238__1.481238	338188__A0A174ETX3__ERS852397_01955
ERR1913291.481289__1.481289	28116__E5CH94__NCTC11153_03344
ERR1913291.481462__1.481462	28116__A7M0H0__DXA80_15290
ERR1913291.481648__1.481648	371601__A0A1H4AKU1__BXY_45200
ERR1913291.481660__1.481660	28116__A7M4E1__NCTC11153_01558
ERR1913291.481940__1.481940	338188__A0A1C7H5S1__HMPREF1057_02183
ERR1913291.481957__1.481957	301301__G2SX83__RHOM_09430
ERR1913291.482149__1.482149	820__A0A174QLF0__SAMN05444418_109151
ERR1913291.482134__1.482134	418240__A0A173XSX9__ERS852523_01591
ERR1913291.482165__1.482165	823__A6LGI3__DXB14_09215
ERR1913291.482334__1.482334	371601__A0A1H4EI15__SAMN05216250_1169
ERR1913291.482437__1.482437	1262743__R5C054__BN727_01980
ERR1913291.482563__1.482563	338188__C9L067__ERS852397_00004
ERR1913291.482667__1.482667	821__A0A174V2F3__NCTC10583_01474
ERR1913291.482732__1.482732	28116__A0A395W017__HMPREF1017_03721
ERR1913291.482813__1.482813	28116__A0A1Y4PEX5__DXF98_25295
ERR1913291.482819__1.482819	821__A0A0P0M4G3__M099_3092
ERR1913291.482852__1.482852	28116__A0A1Y4PDJ7__C5Z02_08485
ERR1913291.482940__1.482940	821__A0A174JYD3__ERS852457_02610
ERR1913291.482866__1.482866	28116__A0A1Y4PVG6__Bovatus_02664
ERR1913291.482982__1.482982	39492__D4JX40__EUBSIR_00020
ERR1913291.483019__1.483019	821__A0A174RA14__M099_1655
ERR1913291.483318__1.483318	820__R7E9Z4__DXC68_06065
ERR1913291.483426__1.483426	1262743__R5C054__BN727_01980
ERR1913291.483473__1.483473	853__A0A3E2U7E6__ERS852582_01640
ERR1913291.483393__1.483393	28116__A0A395VZB9__Bovatus_03205
ERR1913291.483399__1.483399	310298__B3JQJ5__BACCOP_04231
ERR1913291.483616__1.483616	820__R9I324__HMPREF2141_02414
ERR1913291.483847__1.483847	28116__A0A3A9HTT7__BACOVA_05446
ERR1913291.483868__1.483868	166486__D4KWP5__ROSINTL182_06014
ERR1913291.484088__1.484088	33025__A0A395J8P0__C8D73_1144
ERR1913291.484134__1.484134	821__A0A173WG51__BVU_2549
ERR1913291.484433__1.484433	28116__A0A1Y4PDJ7__C5Z02_08485
ERR1913291.484482__1.484482	28116__A7M018__M089_5540
ERR1913291.484573__1.484573	1897011__A0A1Q6RJY0__BHW41_00040
ERR1913291.484561__1.484561	214856__I3YMN6__Alfi_1938
ERR1913291.484644__1.484644	818__A0A1H7TGM1__BJP75_010615
ERR1913291.484738__1.484738	28116__I9T1P7__BACOV975_02228
ERR1913291.484883__1.484883	823__D7IW29__DXD05_13365
ERR1913291.485049__1.485049	817__D1JX61__NCTC9343_01164
ERR1913291.485070__1.485070	821__A0A0P0LQT3__DXC03_05050
ERR1913291.485080__1.485080	28116__A0A1H4GBQ8__HMPREF1017_04241
ERR1913291.485297__1.485297	371601__C3R2J2__ERS852396_04353
ERR1913291.485315__1.485315	371601__A0A139LNM1__SAMN05216250_15312
ERR1913291.485333__1.485333	28118__F9ZBL4__NCTC10826_02348
ERR1913291.485345__1.485345	357276__A0A0M1W9N4__GV66_05135
ERR1913291.485464__1.485464	371601__A0A1H4AKU1__BXY_45200
ERR1913291.485695__1.485695	28116__A0A1G6G5G9__SAMN05192581_101892
ERR1913291.485837__1.485837	823__A0A173RD26__B5F32_03910
ERR1913291.485906__1.485906	214856__R6XS46__ERS852559_00812
ERR1913291.486131__1.486131	246787__A0A0P0G684__cirA_10
ERR1913291.486280__1.486280	820__A0A3E5BMG9__DXD40_05130
ERR1913291.486514__1.486514	823__A0A355XKQ8__DHP27_04010
ERR1913291.486546__1.486546	246787__A0A3D6AQP8__AA416_04153
ERR1913291.486658__1.486658	821__D4VC51__M099_1508
ERR1913291.486665__1.486665	817__E1WSY2__CQW38_02197
ERR1913291.486828__1.486828	39492__D4JQM9__EUBSIR_00669
ERR1913291.486902__1.486902	39492__A0A174ZYY6__EUBSIR_02510
ERR1913291.486950__1.486950	28116__A7M018__M089_5540
ERR1913291.487075__1.487075	28118__F9Z751__DHW44_02965
ERR1913291.487225__1.487225	1472761__GCA_002159295.1_00744
ERR1913291.487280__1.487280	1897011__A0A1Q6RDJ0__BHW41_05420
ERR1913291.487272__1.487272	28116__A0A1G6G9R4__CUY_0131
ERR1913291.487494__1.487494	821__E5UY21__C800_02204
ERR1913291.487551__1.487551	28116__A0A1G8H1M8__DXF98_11065
ERR1913291.487552__1.487552	1262992__R5CXL4__BN795_01001
ERR1913291.487567__1.487567	1150298__R7JSE8__coaX_1
ERR1913291.487628__1.487628	556259__I0PYM3__BSGG_5385
ERR1913291.487632__1.487632	28116__I9T1P7__BACOV975_02228
ERR1913291.487842__1.487842	28116__A0A1Y4Q114__DXF98_00470
ERR1913291.488125__1.488125	246787__A0A3D6AS39__ina
ERR1913291.488337__1.488337	556259__I0PXW0__BSGG_5187
ERR1913291.488498__1.488498	817__Q64W68__M125_1923
ERR1913291.488564__1.488564	28116__I8YA52__M088_0798
ERR1913291.488645__1.488645	1897011__A0A1Q6RJW7__BHW41_00060
ERR1913291.488880__1.488880	371601__D6CXF8__DXD80_06045
ERR1913291.488893__1.488893	818__A0A139KDW2__HMPREF2534_02537
ERR1913291.488809__1.488809	39492__D4JQU6__ERS852540_02194
ERR1913291.488819__1.488819	823__A0A173UDF6__CEQ22_003270
ERR1913291.488940__1.488940	290054__A0A1T4NGJ6__SAMN02745114_01599
ERR1913291.488980__1.488980	820__A0A173YYG4__evgS_3
ERR1913291.489061__1.489061	1262743__R5C054__BN727_01980
ERR1913291.489071__1.489071	39492__D4JSB6__ERS852540_00627
ERR1913291.489218__1.489218	28116__A0A395W0G7__NCTC11153_02716
ERR1913291.489301__1.489301	165179__A0A174IHQ2__PREVCOP_05478
ERR1913291.489385__1.489385	39492__D4JQS6__ykoD
ERR1913291.489530__1.489530	328814__GCA_004558275.1_00293
ERR1913291.489594__1.489594	28116__E5CH94__NCTC11153_03344
ERR1913291.489716__1.489716	28118__F9ZCN9__DHW44_07820
ERR1913291.489654__1.489654	823__A0A355XH29__lolE_1
ERR1913291.489807__1.489807	28118__R6F891__NCTC10826_02656
ERR1913291.489822__1.489822	214856__R6XP73__ERS852447_00886
ERR1913291.489881__1.489881	28117__B0MUX7__ALIPUT_00918
ERR1913291.489899__1.489899	338188__A0A174ETX3__ERS852397_01955
ERR1913291.489919__1.489919	39491__A0A395V5R3__EUBREC_1883
ERR1913291.489945__1.489945	556259__I0PXW0__BSGG_5187
ERR1913291.490010__1.490010	39492__D4JV86__spoIIE
ERR1913291.490106__1.490106	28118__F9Z408__NCTC10826_01194
ERR1913291.490408__1.490408	820__A0A173WZS4__DXD90_10250
ERR1913291.490332__1.490332	214856__R6Y8K1__ERS852447_02509
ERR1913291.490668__1.490668	821__A0A395UNT8__DXD64_15275
ERR1913291.490673__1.490673	28116__A0A3A9HSJ8__DXD69_15065
ERR1913291.490695__1.490695	28116__A0A1G6G396__DXD69_22115
ERR1913291.490733__1.490733	821__A6L0C7__ERS852556_03520
ERR1913291.490734__1.490734	28116__A0A395VSP8__ERS852555_02642
ERR1913291.490849__1.490849	2108523__A0A2P2F5Z3__LAWASA_1439
ERR1913291.490955__1.490955	166486__D4KZ27__ROSINTL182_05762
ERR1913291.490984__1.490984	823__A0A3E4PAQ2__DDY96_18275
ERR1913291.491049__1.491049	28116__A0A3D2LPA1__CUY_3388
ERR1913291.491146__1.491146	39492__R6SPM9__pheT
ERR1913291.491157__1.491157	28117__B0MWP2__ALIPUT_01468
ERR1913291.491186__1.491186	28116__I8YA07__C5Z02_15915
ERR1913291.491252__1.491252	487174__R5FN40__HMPREF9448_01366
ERR1913291.491360__1.491360	418240__A0A173X9D3__ERS852478_00421
ERR1913291.491664__1.491664	28118__F9ZCN2__DF785_09230
ERR1913291.491734__1.491734	39492__D4JRR5__ERS852540_02089
ERR1913291.491877__1.491877	821__E5UY21__C800_02204
ERR1913291.491942__1.491942	371601__C3R2J2__ERS852396_04353
ERR1913291.492128__1.492128	556259__I0PYM3__BSGG_5385
ERR1913291.492153__1.492153	556259__I0PXW0__BSGG_5187
ERR1913291.492190__1.492190	28116__A0A395VSP8__ERS852555_02642
ERR1913291.492331__1.492331	821__A0A0P0M405__DXC02_15075
ERR1913291.492362__1.492362	28116__A0A1G8P076__AA414_01051
ERR1913291.492572__1.492572	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913291.492774__1.492774	818__Q8A0V7__BSIG_2755
ERR1913291.492832__1.492832	28116__A7M4E1__NCTC11153_01558
ERR1913291.492913__1.492913	166486__D4KPQ7__ROSINTL182_09065
ERR1913291.493017__1.493017	310298__B3JFI7__BACCOP_00636
ERR1913291.493222__1.493222	556259__E5C9G2__BSGG_2011
ERR1913291.493264__1.493264	28116__A7LS02__DXF98_24100
ERR1913291.493435__1.493435	28116__I9ST00__M088_5588
ERR1913291.493577__1.493577	821__A0A174K302__CUU_3129
ERR1913291.493649__1.493649	166486__A0A173V5I7__ERS852572_02640
ERR1913291.493904__1.493904	39491__A0A396FVC0__ERE_15900
ERR1913291.493953__1.493953	817__Q64VX6__M085_5191
ERR1913291.494072__1.494072	28116__E5C3L8__DXF98_06270
ERR1913291.494155__1.494155	28116__I9ST00__M088_5588
ERR1913291.494195__1.494195	1628085__A0A3E2XY31__C7386_10449
ERR1913291.494196__1.494196	246787__A0A120A560__BACCELL_01375
ERR1913291.494529__1.494529	821__A0A396F9T7__M097_3427
ERR1913291.494606__1.494606	28116__A0A395VSP8__ERS852555_02642
ERR1913291.494642__1.494642	28118__F9ZC62__DF785_13495
ERR1913291.494655__1.494655	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913291.494685__1.494685	823__A0A3E4PAQ2__DDY96_18275
ERR1913291.494708__1.494708	28116__A0A0J9IIV5__M089_5519
ERR1913291.494717__1.494717	214856__I3YPI7__pepD_1
ERR1913291.494784__1.494784	1262882__R5MGK3__BN519_00655
ERR1913291.494994__1.494994	28116__A7LS06__HMPREF2532_04668
ERR1913291.495167__1.495167	556259__I0PXW0__BSGG_5187
ERR1913291.495378__1.495378	357276__A0A0M1W9N4__GV66_05135
ERR1913291.495414__1.495414	745368__A0A1T4Y7W7__SAMN02745178_02825
ERR1913291.495481__1.495481	39488__C0ES56__DXD91_10565
ERR1913291.495582__1.495582	28116__F7M1Q5__CUY_1584
ERR1913291.495625__1.495625	246787__A0A108T429__BACCELL_00192
ERR1913291.495750__1.495750	28116__A0A1G8H1M8__DXF98_11065
ERR1913291.495836__1.495836	39491__A0A396FUZ3__phoR_1
ERR1913291.495873__1.495873	823__A0A355XIK0__CEQ22_011965
ERR1913291.496067__1.496067	28116__A0A139LKF7__DXA80_16100
ERR1913291.496098__1.496098	28116__I9JM49__NCTC11153_01044
ERR1913291.496118__1.496118	28116__A0A1Y4PH15__DXA80_17985
ERR1913291.496157__1.496157	28116__A0A1Y4Q112__evgS_13
ERR1913291.496161__1.496161	357276__I9QBT7__BSEG_03340
ERR1913291.496328__1.496328	28116__A0A1Y4Q119__DXD69_10975
ERR1913291.496288__1.496288	357276__I9QBT7__BSEG_03340
ERR1913291.496573__1.496573	357276__B6VYT9__HMPREF1063_05030
ERR1913291.496666__1.496666	371601__F7LA63__HMPREF1074_04288
ERR1913291.496738__1.496738	371601__A0A1H4AKU1__BXY_45200
ERR1913291.496886__1.496886	28116__R6JIR4__DXA80_14190
ERR1913291.496915__1.496915	28116__F7LEX0__CUY_5042
ERR1913291.497299__1.497299	1150298__A0A174Q6Q0__ERS852406_00063
ERR1913291.497540__1.497540	28116__A0A1Y4PDJ7__C5Z02_08485
ERR1913291.497574__1.497574	39492__R6SA81__EUBSIR_00402
ERR1913291.497607__1.497607	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913291.497718__1.497718	371601__F7LA63__HMPREF1074_04288
ERR1913291.497906__1.497906	821__A0A174WBC9__ERS852556_03145
ERR1913291.497828__1.497828	671267__R9IB12__C802_00696
ERR1913291.497868__1.497868	28116__A0A1Y4PH15__DXA80_17985
ERR1913291.498011__1.498011	28116__A0A3A9HTT7__BACOVA_05446
ERR1913291.498153__1.498153	1897011__A0A1Q6RE92__BHW41_04980
ERR1913291.498392__1.498392	28116__A0A1Y4PWV4__C5Z02_15015
ERR1913291.498407__1.498407	39488__A0A173URJ8__misCB
ERR1913291.498561__1.498561	39492__D4JWJ4__EUBSIR_01090
ERR1913291.498657__1.498657	1262882__R5N004__BN519_00490
ERR1913291.498729__1.498729	28116__D7J6A7__NCTC11153_02798
ERR1913291.498802__1.498802	39485__A0A174YSS6__trxB_2
ERR1913291.498812__1.498812	39491__D6E118__DXB69_05765
ERR1913291.498934__1.498934	1381__group_451
ERR1913291.499227__1.499227	28116__A0A1Y4P6Z8__HMPREF1069_04439
ERR1913291.499325__1.499325	360807__C0FNG2__RIL183_23021
ERR1913291.499422__1.499422	246787__A0A0P0GJZ5__BcellWH2_01116
ERR1913291.499476__1.499476	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913291.499519__1.499519	821__A0A3E4WAR6__DXD64_10735
ERR1913291.499578__1.499578	28116__E5CEE4__SAMN05444282_12363
ERR1913291.499581__1.499581	2108523__A0A2P2F5J6__LAWASA_1285
ERR1913291.499619__1.499619	28116__A0A1H4GBQ8__HMPREF1017_04241
ERR1913291.499654__1.499654	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913291.499774__1.499774	36343__GeneID:1261150
ERR1913291.499796__1.499796	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913291.499800__1.499800	821__A0A3E4WAR6__DXD64_10735
ERR1913291.499940__1.499940	214856__R6XUN2__rcsC_1
ERR1913291.500331__1.500331	328814__GCA_004558275.1_00079
ERR1913291.500431__1.500431	246787__A0A3D6ARC7__BACCELL_03328
ERR1913291.500580__1.500580	28116__A0A078Q626__HMPREF1070_02735
ERR1913291.500752__1.500752	39491__A0A396FKI0__DXC13_11560
ERR1913291.500801__1.500801	28116__D6D0T8__DXA80_14760
ERR1913291.500884__1.500884	39496__A5Z5I2__EUBVEN_00963
ERR1913291.501113__1.501113	1262743__R5C054__BN727_01980
ERR1913291.501104__1.501104	487174__K0WUM9__HMPREF9448_02608
ERR1913291.501439__1.501439	246787__A0A108T831__glaB_2
ERR1913291.501452__1.501452	28116__I8YA52__M088_0798
ERR1913291.501706__1.501706	28116__A0A1Y4PEX5__DXF98_25295
ERR1913291.501713__1.501713	33025__A0A395JBN6__C8D73_10630
ERR1913291.501742__1.501742	28116__E5C3L0__B5F02_21065
ERR1913291.501870__1.501870	674529__R6UPX3__DXB21_06190
ERR1913291.502071__1.502071	39492__D4JTI1__EUBSIR_01463
ERR1913291.502160__1.502160	28116__I9ST00__M088_5588
ERR1913291.502208__1.502208	2108523__A0A2P2F5J6__LAWASA_1285
ERR1913291.502299__1.502299	28116__D4WLZ3__C5Z02_24105
ERR1913291.502274__1.502274	820__A0A174TRB5__DXD40_11305
ERR1913291.502379__1.502379	28116__A0A3D2LPA1__CUY_3388
ERR1913291.502388__1.502388	246787__A0A0P0FTH5__HMPREF1062_06328
ERR1913291.502446__1.502446	28116__R6K4H5__NCTC11153_04693
ERR1913291.502958__1.502958	556259__E5C690__BSGG_1431
ERR1913291.503004__1.503004	28116__I8YA07__C5Z02_15915
ERR1913291.503008__1.503008	820__A0A174CG08__DXB62_13215
ERR1913291.503060__1.503060	674529__R6V187__DXB21_21665
ERR1913291.503125__1.503125	328814__GCA_004558275.1_00018
ERR1913291.503183__1.503183	1262743__R5C054__BN727_01980
ERR1913291.503164__1.503164	28116__A0A396DFW5__C5Z02_07010
ERR1913291.503263__1.503263	28116__A7LYG5__M089_5828
ERR1913291.503446__1.503446	1150298__R7JTX5__ERS852535_01291
ERR1913291.503593__1.503593	1262882__R5MFT7__BN519_00494
ERR1913291.503732__1.503732	745368__A0A1T4XIY7__SAMN02745178_01914
ERR1913291.503833__1.503833	821__R6F3Y1__SAMN04487923_104318
ERR1913291.503892__1.503892	39492__D4JSG7__EUBSIR_01006
ERR1913291.503914__1.503914	674529__R6W6H9__SAMN05444400_109129
ERR1913291.503943__1.503943	821__A0A174NM17__lacZ_6
ERR1913291.504011__1.504011	28116__D7K2E0__endOF2_3
ERR1913291.504071__1.504071	33025__A0A395J8M7__C8D73_11411
ERR1913291.504086__1.504086	410072__A0A173Y221__spoIIIAE
ERR1913291.504233__1.504233	1150298__A0A174Q6Q0__ERS852406_00063
ERR1913291.504229__1.504229	371601__G1UK36__HMPREF1074_03496
ERR1913291.504271__1.504271	328814__GCA_004558275.1_00290
ERR1913291.504287__1.504287	821__E5UY21__C800_02204
ERR1913291.504299__1.504299	246787__A0A108T791__BcellWH2_04418
ERR1913291.504454__1.504454	556259__I0PYM3__BSGG_5385
ERR1913291.504420__1.504420	28118__F9Z8J0__DF785_14955
ERR1913291.504536__1.504536	39492__D4JWT3__ERS852540_00301
ERR1913291.504561__1.504561	823__A0A355XF06__B5F32_11480
ERR1913291.504575__1.504575	371601__C3QXN6__ERS852396_01055
ERR1913291.504711__1.504711	28116__A0A3D2LWY1__ERS852555_01619
ERR1913291.504866__1.504866	823__A6LEP0__M091_1976
ERR1913291.504939__1.504939	674529__R6UW30__SAMN05444400_107160
ERR1913291.504940__1.504940	39492__D4JRZ7__smc
ERR1913291.505135__1.505135	371601__G1UK36__HMPREF1074_03496
ERR1913291.505339__1.505339	821__E5UMZ6__BVU_1450
ERR1913291.505341__1.505341	821__A0A174NM17__lacZ_6
ERR1913291.505350__1.505350	818__A0A139KY34__ERS852461_03898
ERR1913291.505404__1.505404	821__A0A3E4KIM1__M097_3660
ERR1913291.505454__1.505454	28116__E5C5U2__HMPREF2532_02418
ERR1913291.505554__1.505554	28116__I9TDA4__BACOV975_03134
ERR1913291.505607__1.505607	1099853__U5CD68__NSB1T_05535
ERR1913291.505609__1.505609	246787__A0A0P0GET5__AA416_04410
ERR1913291.505642__1.505642	28116__A0A395VZB9__Bovatus_03205
ERR1913291.505709__1.505709	39492__D4JQS7__ERS852540_01645
ERR1913291.505718__1.505718	360807__A0A1Q6TCY9__ERS852444_01883
ERR1913291.505724__1.505724	823__A0A078SYK6__DXB14_02485
ERR1913291.505766__1.505766	216816__C2GSX7__DD678_03555
ERR1913291.506132__1.506132	820__A7V049__DXB48_04755
ERR1913291.506137__1.506137	820__R9I3Q7__HMPREF1072_01668
ERR1913291.506300__1.506300	28116__A0A078Q7C2__DHW41_14520
ERR1913291.506384__1.506384	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913291.506417__1.506417	28116__R6DIL2__DXD69_10970
ERR1913291.506433__1.506433	821__A0A396F9T7__M097_3427
ERR1913291.506438__1.506438	820__A0A174TRB5__DXD40_11305
ERR1913291.506463__1.506463	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913291.506720__1.506720	28116__D7K7K3__SAMN05192581_103348
ERR1913291.506638__1.506638	820__A0A174CG08__DXB62_13215
ERR1913291.506640__1.506640	1262882__R5MZ58__BN519_00525
ERR1913291.507079__1.507079	360807__A0A0M6WIS4__ROSEINA2194_02000
ERR1913291.507206__1.507206	328814__GCA_004558275.1_00073
ERR1913291.507430__1.507430	821__A0A396F9T7__M097_3427
ERR1913291.507410__1.507410	853__A0A173YYY4__DWZ04_09420
ERR1913291.507411__1.507411	28116__A0A3D2LPA1__CUY_3388
ERR1913291.507750__1.507750	821__A0A174V2F3__NCTC10583_01474
ERR1913291.507953__1.507953	1262743__R5C054__BN727_01980
ERR1913291.508072__1.508072	239935__A0A2N8IEP3__CXT84_03735
ERR1913291.508378__1.508378	371601__G1UK36__HMPREF1074_03496
ERR1913291.508342__1.508342	338188__R6RT73__HMPREF1057_02828
ERR1913291.508445__1.508445	821__E5UMZ6__BVU_1450
ERR1913291.508576__1.508576	1262882__R5MRT2__BN519_01494
ERR1913291.508585__1.508585	28116__C3QVY2__SAMN05444282_12234
ERR1913291.508638__1.508638	556259__E5C8S0__BSGG_1769
ERR1913291.508646__1.508646	821__A0A174NM17__lacZ_6
ERR1913291.508762__1.508762	28116__A7LS02__DXF98_24100
ERR1913291.508859__1.508859	821__A0A174JYD3__ERS852457_02610
ERR1913291.508946__1.508946	28116__A0A1G6G396__DXD69_22115
ERR1913291.508989__1.508989	28116__C3QVY2__SAMN05444282_12234
ERR1913291.509070__1.509070	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913291.509031__1.509031	246787__A0A0P0GCR8__xynD_3
ERR1913291.509231__1.509231	246787__A0A3D6ARN8__yehU_6
ERR1913291.509304__1.509304	487174__K0X488__HMPREF9448_00323
ERR1913291.509402__1.509402	28116__A7LSB9__DXF98_11950
ERR1913291.509536__1.509536	357276__B6W1J2__BACDOR_03380
ERR1913291.509586__1.509586	39492__D4JT90__coaE
ERR1913291.509603__1.509603	28116__A0A1Y4PVG3__imd
ERR1913291.509681__1.509681	39491__C4ZCV5__DXB99_11855
ERR1913291.509657__1.509657	28116__A0A1Y4PWE4__M089_4352
ERR1913291.509662__1.509662	1150298__A0A174N5I7__ERS852498_01953
ERR1913291.509730__1.509730	166486__D4KUC4__arcB_1
ERR1913291.509795__1.509795	28116__A0A1Y4PHM7__DXA80_25130
ERR1913291.509809__1.509809	33025__A0A395J910__C8D73_11128
ERR1913291.509862__1.509862	28139__A0A379MUK5__xerD_3
ERR1913291.509884__1.509884	39492__D4JTF2__mutS2
ERR1913291.510121__1.510121	817__A0A0E2SZL0__M100_0905
ERR1913291.510187__1.510187	204516__U6RAM4__HMPREF1534_03439
ERR1913291.510189__1.510189	1263044__GCA_000433375.1_03550
ERR1913291.510252__1.510252	552398__F4XCR9__HMPREF0866_01636
ERR1913291.510259__1.510259	820__A0A3E4W7J3__DXC07_00330
ERR1913291.510201__1.510201	246787__A0A3D6AXU9__BACCELL_01366
