ERR1913279.29__1.29	363265__G6AYV3__HMPREF0673_01814
ERR1913279.513533__1.513533	1550024__G9RZ52__TQ39_02420
ERR1913279.513608__1.513608	745368__A0A1T4XHM8__SAMN02745178_01848
ERR1913279.513843__1.513843	387090__S0FBK4__BACCOPRO_01365
ERR1913279.513957__1.513957	28117__B0N007__BHV66_10275
ERR1913279.514049__1.514049	626932__G5H6M5__HMPREF9450_00585
ERR1913279.514051__1.514051	626940__R6X4V5__DCQ00_10410
ERR1913279.514095__1.514095	1680__A0A174BEE7__BSTER_1311
ERR1913279.514318__1.514318	214856__A0A174ZLY7__ERS852447_02456
ERR1913279.514348__1.514348	374840__GeneID:2546403
ERR1913279.514438__1.514438	1150298__R7JPI7__cotI
ERR1913279.514566__1.514566	626932__G5H617__HMPREF9450_00377
ERR1913279.514640__1.514640	28117__R7JLL3__ALIPUT_02219
ERR1913279.514983__1.514983	820__A7V092__hldE
ERR1913279.515013__1.515013	28117__B0MU57__ALIPUT_00175
ERR1913279.515014__1.515014	1262911__R6H0S8__BN557_01079
ERR1913279.515106__1.515106	39492__D4JX87__EUBSIR_00361
ERR1913279.515158__1.515158	35833__E5Y934__HMPREF0179_02702
ERR1913279.515339__1.515339	1550024__G9RUM6__TQ39_16565
ERR1913279.515373__1.515373	33039__A0A174YCL2__ERS852424_00029
ERR1913279.515743__1.515743	28117__B0MUX7__ALIPUT_00918
ERR1913279.515792__1.515792	1680__A0A1X2ZKM8__B5789_0981
ERR1913279.516066__1.516066	39491__A0A395ZJZ1__LD38_01870
ERR1913279.516073__1.516073	33039__D4M149__ERS852390_03118
ERR1913279.516224__1.516224	818__Q8A3I3__HMPREF2534_00068
ERR1913279.516548__1.516548	74426__thrZ
ERR1913279.516683__1.516683	301302__R5UTG6__M72_25801
ERR1913279.516702__1.516702	357276__A0A0K2HDV9__DXD47_02600
ERR1913279.516735__1.516735	28116__I9SW74__BACOVA_04237
ERR1913279.516816__1.516816	291645__I8WZT8__HMPREF1068_04327
ERR1913279.516865__1.516865	2058152__A0A285B964__KOSB73_390004
ERR1913279.516910__1.516910	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913279.516975__1.516975	28117__B0MXU6__ALIPUT_01958
ERR1913279.517006__1.517006	301302__R5VGE0__ERS852420_00121
ERR1913279.517129__1.517129	214856__A0A174ZLY7__ERS852447_02456
ERR1913279.517583__1.517583	817__A0A081UA45__M112_0802
ERR1913279.517701__1.517701	823__A6LHK0__M090_1297
ERR1913279.517884__1.517884	821__D4VD59__BHV80_04260
ERR1913279.517841__1.517841	33039__D4M6E9__ERS852390_02866
ERR1913279.517993__1.517993	40518__R5E7G3__DXD86_03405
ERR1913279.518244__1.518244	817__A0A0E2TEJ6__DXD74_00265
ERR1913279.518358__1.518358	239935__A0A2N8HHB6__B5G29_11500
ERR1913279.518389__1.518389	165179__A0A3E5AHK7__PREVCOP_04289
ERR1913279.518466__1.518466	820__A0A3E4VZY4__ERS852554_01211
ERR1913279.518667__1.518667	328814__GCA_004558275.1_01002
ERR1913279.518818__1.518818	78535__E6J204__NCTC1080_01272
ERR1913279.518866__1.518866	820__A0A174M9V5__M093_0237
ERR1913279.519137__1.519137	357276__A0A076IKP7__BACDOR_04239
ERR1913279.519416__1.519416	418240__C6JHP9__ERS852478_02092
ERR1913279.519501__1.519501	1680__R5GR82__AD0028_0014
ERR1913279.519668__1.519668	28117__B0MUX4__ALIPUT_00911
ERR1913279.519672__1.519672	1796613__A0A1C7GYD6__A4V03_03700
ERR1913279.519866__1.519866	39485__A0A174ZA72__glgB_1
ERR1913279.520079__1.520079	33039__A0A174XW11__RTO_07780
ERR1913279.520169__1.520169	74426__thrZ
ERR1913279.520214__1.520214	1263006__R6LGA5__BN515_00076
ERR1913279.520248__1.520248	1262929__R6FSA0__BN691_01738
ERR1913279.520274__1.520274	626932__G5H5L6__HMPREF9450_00226
ERR1913279.520375__1.520375	301302__A0A0M6WZT5__M72_18331
ERR1913279.520339__1.520339	1550024__A0A0D8IY45__ASJ35_05575
ERR1913279.520491__1.520491	360807__A0A173T236__RIL183_24471
ERR1913279.520782__1.520782	1685__A0A0M4M1P9__B2258_1025
ERR1913279.520759__1.520759	1680__R5GZJ8__BSTER_1195
ERR1913279.520945__1.520945	1263000__R5EC30__BN466_00683
ERR1913279.520947__1.520947	33039__D4M5E1__ERS852577_03873
ERR1913279.521065__1.521065	33039__D4M325__ERS852390_01663
ERR1913279.521314__1.521314	28117__B0MU53__ALIPUT_00569
ERR1913279.521437__1.521437	1680__A0A3E4SB79__BAD_1517
ERR1913279.521566__1.521566	410072__C0BBP9__ERS852525_00825
ERR1913279.521678__1.521678	39492__D4JSU6__dacB_3
ERR1913279.521834__1.521834	46503__R6WX12__DXB85_11560
ERR1913279.521932__1.521932	165179__D1P9T6__PREVCOP_04016
ERR1913279.521882__1.521882	216816__A0A1S2VTC3__BLIC_e00847
ERR1913279.521877__1.521877	39492__D4MN06__EUBSIR_02672
ERR1913279.522033__1.522033	239935__A0A2N8IRL2__CXU06_01170
ERR1913279.522234__1.522234	820__R9I2U8__DXC68_09590
ERR1913279.522256__1.522256	823__A0A395YXR9__M091_4086
ERR1913279.522363__1.522363	214856__A0A174A257__ERS852447_01007
ERR1913279.522368__1.522368	39492__D4JQP0__ypeB
ERR1913279.522370__1.522370	820__R7E9Z4__DXC68_06065
ERR1913279.522497__1.522497	626940__E8LGB7__BN587_02010
ERR1913279.522513__1.522513	165179__A0A3E5E8N5__DXC61_13460
ERR1913279.522554__1.522554	28116__I9TDA4__BACOV975_03134
ERR1913279.522557__1.522557	214856__A0A175A6T5__ERS852447_02658
ERR1913279.522757__1.522757	214856__I3YPR5__ERS852447_01364
ERR1913279.522764__1.522764	39492__D4JR58__EUBSIR_02090
ERR1913279.522830__1.522830	363265__R6FPM1__HMPREF0673_01826
ERR1913279.523085__1.523085	214856__I3YPR6__Alfi_2724
ERR1913279.523073__1.523073	39485__A0A174YTF8__EUBELI_20448
ERR1913279.523285__1.523285	818__A0A0N7IB02__BT_3500
ERR1913279.523316__1.523316	39485__A0A1Q6PHD7__ERS852492_01801
ERR1913279.523431__1.523431	74426__thrZ
ERR1913279.523493__1.523493	823__A0A173TMY6__M096_4753
ERR1913279.523657__1.523657	40518__R5DV58__htrA
ERR1913279.523711__1.523711	40518__R5DVR2__RBL236_00303
ERR1913279.523789__1.523789	214856__A0A174ZEW0__ERS852447_00985
ERR1913279.523924__1.523924	820__A0A139K4T0__ERS852510_03146
ERR1913279.524053__1.524053	214856__R6XKT4__ERS852559_01719
ERR1913279.524087__1.524087	357276__D1JZM4__HMPREF1065_01278
ERR1913279.524115__1.524115	820__A0A374Q854__HMPREF1073_03281
ERR1913279.524434__1.524434	820__A0A3E4QZJ7__C801_01798
ERR1913279.524561__1.524561	74426__group_4823
ERR1913279.524642__1.524642	39496__A5Z5I2__EUBVEN_00963
ERR1913279.524700__1.524700	820__A0A174TRB5__DXD40_11305
ERR1913279.524815__1.524815	820__R9I2U8__DXC68_09590
ERR1913279.524894__1.524894	1393034__GCA_001552785.1_00728
ERR1913279.524851__1.524851	74426__rpoB
ERR1913279.524969__1.524969	28117__B0MTY2__BHV66_06485
ERR1913279.525298__1.525298	165179__A0A3E5DRA5__PREVCOP_06668
ERR1913279.525404__1.525404	39492__R6RYB8__ERS852540_00322
ERR1913279.525597__1.525597	820__A0A139K024__B5G17_02060
ERR1913279.525804__1.525804	28117__R7JIJ8__BHV66_01635
ERR1913279.525820__1.525820	39491__A0A395V1R3__T1815_08181
ERR1913279.525941__1.525941	818__R7KP04__C5Z03_18665
ERR1913279.526075__1.526075	1965604__A0A1Y4EP83__B5F54_11720
ERR1913279.526250__1.526250	573__A0A0E1CA10__CN260_05965
ERR1913279.526291__1.526291	165179__A0A174UTZ7__DXC61_06705
ERR1913279.526542__1.526542	39491__A0A173TAZ5__DXB99_09520
ERR1913279.526780__1.526780	626940__E8LGH5__BHW43_03625
ERR1913279.526803__1.526803	1262911__R6GY22__BN557_00023
ERR1913279.526972__1.526972	820__A0A174QLF0__SAMN05444418_109151
ERR1913279.527199__1.527199	1550024__A0A0D8J230__TQ39_04480
ERR1913279.527249__1.527249	374840__GeneID:2546403
ERR1913279.527381__1.527381	28117__B0MYI9__BHV66_05415
ERR1913279.527538__1.527538	1550024__A0A0D8IY45__ASJ35_05575
ERR1913279.527630__1.527630	671232__E6J3D1__CYK09_02140
ERR1913279.527731__1.527731	47678__A5ZEX0__DW706_08045
ERR1913279.527740__1.527740	853__A0A3E2U7E6__ERS852582_01640
ERR1913279.527798__1.527798	1235835__R9LCU2__C814_02677
ERR1913279.528341__1.528341	28117__B0N007__BHV66_10275
ERR1913279.528360__1.528360	446660__GCA_003428235.1_00249
ERR1913279.528374__1.528374	74426__gap
ERR1913279.528405__1.528405	820__A0A139K8N1__ERS852554_00951
ERR1913279.528496__1.528496	1262948__R7EH74__BN671_00077
ERR1913279.528558__1.528558	28117__R7JIJ8__BHV66_01635
ERR1913279.528902__1.528902	214856__A0A174Z2J8__ERS852447_00942
ERR1913279.528977__1.528977	214856__I3YPR6__Alfi_2724
ERR1913279.529266__1.529266	214856__A0A174FWM7__ERS852559_00590
ERR1913279.529372__1.529372	239935__A0A2N8IRW0__A4V05_11620
ERR1913279.529376__1.529376	651822__GCA_000210715.1_00753
ERR1913279.529524__1.529524	214856__A0A173YJS4__xerD_3
ERR1913279.529625__1.529625	357276__A0A0K2HDP3__IY41_00705
ERR1913279.529783__1.529783	46228__V8C7M2__RUMLAC_01453
ERR1913279.529799__1.529799	387661__K6ACM8__HMPREF1077_00750
ERR1913279.529930__1.529930	1680__R5GRA4__ERS852382_01548
ERR1913279.530272__1.530272	446660__GCA_003428235.1_01642
ERR1913279.530278__1.530278	39492__D4JQL8__ywpJ
ERR1913279.530633__1.530633	1965631__A0A1Y4A7Z5__B5F90_10000
ERR1913279.530903__1.530903	820__A0A3E4W984__pssA
ERR1913279.530913__1.530913	214856__A0A174ZLY7__ERS852447_02456
ERR1913279.531046__1.531046	820__R9I2U8__DXC68_09590
ERR1913279.531187__1.531187	1550024__A0A0D8J659__TQ39_00125
ERR1913279.531188__1.531188	823__K6AS99__ERS852429_01856
ERR1913279.531354__1.531354	1897011__A0A1Q6RC34__BHW41_06455
ERR1913279.531659__1.531659	28117__B0N007__BHV66_10275
ERR1913279.531716__1.531716	823__A0A395YZ10__NCTC11152_02955
ERR1913279.531835__1.531835	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913279.531884__1.531884	28116__A7LS06__HMPREF2532_04668
ERR1913279.531995__1.531995	823__K6APS3__DDY96_02400
ERR1913279.532024__1.532024	28117__B0MU53__ALIPUT_00569
ERR1913279.532034__1.532034	820__A0A3E4RUC4__DHU98_02635
ERR1913279.532040__1.532040	820__A0A173XIP7__B5G17_16050
ERR1913279.532047__1.532047	116085__D4JC63__DW747_00205
ERR1913279.532147__1.532147	301302__R5UMU6__M72_26821
ERR1913279.532153__1.532153	39486__G1WN57__DORFOR_02477
ERR1913279.532190__1.532190	1680__R5GRA4__ERS852382_01548
ERR1913279.532122__1.532122	1262988__R7N4U5__BN816_00495
ERR1913279.532647__1.532647	328814__GCA_004558275.1_00995
ERR1913279.532656__1.532656	214856__A0A174ZLW6__ERS852559_01424
ERR1913279.532717__1.532717	28117__R7JPX7__BHV66_00900
ERR1913279.532773__1.532773	820__A0A174FUF0__HMPREF1073_03308
ERR1913279.532897__1.532897	820__A0A374Q4X1__HMPREF2141_02370
ERR1913279.532791__1.532791	820__A0A174CG08__DXB62_13215
ERR1913279.532838__1.532838	47678__R5UMP1__CGC64_03365
ERR1913279.532848__1.532848	39492__D4MIX3__ERS852540_01230
ERR1913279.533046__1.533046	1550024__A0A3B9WIA4__TQ39_14495
ERR1913279.533269__1.533269	40518__R5DUW7__DXD83_02105
ERR1913279.533319__1.533319	817__A0A395WHI5__M113_3549
ERR1913279.533279__1.533279	820__A0A174R952__DXB48_02570
ERR1913279.533357__1.533357	820__A0A174FUF0__HMPREF1073_03308
ERR1913279.533510__1.533510	1550024__G9RWE3__TQ39_04170
ERR1913279.533577__1.533577	244366__A0A0B7GCL1__sucC
ERR1913279.533601__1.533601	74426__thrZ
ERR1913279.533749__1.533749	165179__R6PU83__CFT61_14275
ERR1913279.533888__1.533888	1160721__R6SW95__BHW50_08895
ERR1913279.533892__1.533892	165179__W1I4H6__DXB80_13655
ERR1913279.533831__1.533831	239935__A0A2N8HQR1__Amuc_0287
ERR1913279.534016__1.534016	33039__A0A173VXR3__ERS852577_04630
ERR1913279.534074__1.534074	1150298__A0A174PHI0__ERS852498_00826
ERR1913279.534087__1.534087	214856__A0A173YXX1__ERS852559_01651
ERR1913279.534400__1.534400	820__A0A174GYA8__DXB64_07370
ERR1913279.534520__1.534520	823__A0A174MNW4__M091_0199
ERR1913279.534469__1.534469	820__A0A3E5BMG9__DXD40_05130
ERR1913279.534541__1.534541	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913279.534721__1.534721	820__A0A139K337__ERS852459_02375
ERR1913279.534867__1.534867	626932__G5H833__HMPREF9450_01093
ERR1913279.534921__1.534921	28117__B0MUT8__ALIPUT_00879
ERR1913279.534956__1.534956	745368__A0A1T4X705__SAMN02745178_01472
ERR1913279.535190__1.535190	40518__R5DUU2__yvhJ_2
ERR1913279.535228__1.535228	214856__I3YPP9__Alfi_2707
ERR1913279.535679__1.535679	853__A0A2A6Z8X1__FPR_03410
ERR1913279.535686__1.535686	39492__D4MMZ8__ERS852540_01407
ERR1913279.535747__1.535747	626932__G5H897__HMPREF9450_01157
ERR1913279.535750__1.535750	357276__B6VW91__BACDOR_01584
ERR1913279.535781__1.535781	165179__R6XIF8__DXC61_07265
ERR1913279.535895__1.535895	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913279.536151__1.536151	1262989__R6XZS6__BN815_00506
ERR1913279.536171__1.536171	39491__A0A173SH34__EUR_24920
ERR1913279.536252__1.536252	40518__R5E6K4__RB5AMG_02070
ERR1913279.536402__1.536402	28116__F7LEX0__CUY_5042
ERR1913279.536976__1.536976	214856__A0A174ZEF7__mboIIM_1
ERR1913279.537093__1.537093	214856__R6XUN2__rcsC_1
ERR1913279.537264__1.537264	626932__G5H6M5__HMPREF9450_00585
ERR1913279.537386__1.537386	1735__B7CCE4__EUBIFOR_01871
ERR1913279.537547__1.537547	214856__A0A174ZED5__ERS852559_00591
ERR1913279.537564__1.537564	214856__A0A174FY71__ERS852559_01033
ERR1913279.537514__1.537514	214856__A0A174A0P3__ERS852447_00994
ERR1913279.538010__1.538010	357276__C3RDQ5__HMPREF1065_03827
ERR1913279.537980__1.537980	487174__K0XL60__DDY40_11760
ERR1913279.538223__1.538223	626940__E8LCM1__HMPREF9443_00590
ERR1913279.538347__1.538347	74426__pflB_2
ERR1913279.538411__1.538411	357276__A0A076J726__IY41_15030
ERR1913279.538481__1.538481	106588__A6NVP7__BACCAP_02290
ERR1913279.538512__1.538512	147206__GCF_000156215.1_01777
ERR1913279.538532__1.538532	823__A0A174XJM9__CEQ22_007230
ERR1913279.538566__1.538566	74426__rpoC
ERR1913279.538638__1.538638	214856__A0A174CRY5__ERS852559_01060
ERR1913279.538733__1.538733	818__D7IK38__ERS852430_03017
ERR1913279.538736__1.538736	39496__A5Z5I2__EUBVEN_00963
ERR1913279.538898__1.538898	1680__A0A1X3A951__AL0462_1583
ERR1913279.538921__1.538921	410072__A0A3E4GPD6__DXD67_10205
ERR1913279.539301__1.539301	28117__B0MTH2__ALIPUT_00061
ERR1913279.539634__1.539634	820__A0A3E4G3J9__ERS852459_02265
ERR1913279.539714__1.539714	84030__D6DLL5__B5F06_09095
ERR1913279.539840__1.539840	214856__R6XUN2__rcsC_1
ERR1913279.540024__1.540024	1550024__G9RNN5__TQ39_03430
ERR1913279.540130__1.540130	487174__K0X7X4__DIT83_09125
ERR1913279.540191__1.540191	46228__V8C484__HMPREF1202_01707
ERR1913279.540280__1.540280	1680__A0A374QDL4__LMG18897_0432
ERR1913279.540309__1.540309	1262911__R6GY22__BN557_00023
ERR1913279.540338__1.540338	1262929__R6EZP7__BN691_00230
ERR1913279.540514__1.540514	40518__R5DU92__DXD93_03170
ERR1913279.540601__1.540601	28117__B0MTY2__BHV66_06485
ERR1913279.540788__1.540788	1463165__A0A0C7KKQ5__CWN03_05450
ERR1913279.540853__1.540853	626932__G5H517__HMPREF9450_00027
ERR1913279.540916__1.540916	572010__aspS
ERR1913279.541296__1.541296	165179__D1PE06__DXC61_05975
ERR1913279.541373__1.541373	84112__C8WKI5__Elen_0301
ERR1913279.541587__1.541587	239935__A0A139TPG3__CXT86_08810
ERR1913279.541633__1.541633	1262924__R7HQK6__BN585_00186
ERR1913279.541662__1.541662	817__E4W1I5__HMPREF1203_03977
ERR1913279.541905__1.541905	363265__G6B1Q3__HMPREF0673_02828
ERR1913279.542014__1.542014	33043__A0A174GPT0__plsC_2
ERR1913279.542177__1.542177	820__A0A374Q854__HMPREF1073_03281
ERR1913279.542295__1.542295	572010__hgdC_1
ERR1913279.542407__1.542407	28117__B0MY40__BHV66_05170
ERR1913279.542366__1.542366	387661__K5ZT71__B5F96_05370
ERR1913279.542378__1.542378	39492__D4JUD7__EUBSIR_01877
ERR1913279.542427__1.542427	214856__A0A173ZZ16__umuC_2
ERR1913279.542481__1.542481	74426__gap
ERR1913279.542617__1.542617	820__A0A174DZ97__SAMN05444418_101240
ERR1913279.543033__1.543033	823__A0A355XFH7__ERS852513_00769
ERR1913279.543043__1.543043	74426__pflB_2
ERR1913279.543052__1.543052	39492__D4JR43__ERS852540_02379
ERR1913279.543081__1.543081	853__A0A2A7B1Y7__C7K05_11930
ERR1913279.543205__1.543205	39492__R6RYB8__ERS852540_00322
ERR1913279.543392__1.543392	28117__R7JIJ8__BHV66_01635
ERR1913279.543402__1.543402	2293125__A0A374BR61__DW917_14880
ERR1913279.543564__1.543564	458033__GCA_001482755.1_02203
ERR1913279.543578__1.543578	817__D1JR62__M110_0404
ERR1913279.543779__1.543779	28117__R7JPX7__BHV66_00900
ERR1913279.543916__1.543916	165179__A0A3E5E920__DXB80_11625
ERR1913279.543925__1.543925	239935__A0A2N8IRL2__CXU06_01170
ERR1913279.543954__1.543954	39491__A0A174M1X5__DXB99_18695
ERR1913279.544016__1.544016	821__A0A3E4WAR6__DXD64_10735
ERR1913279.544227__1.544227	1550024__A0A0W7TQZ0__TQ39_10670
ERR1913279.544449__1.544449	47678__R5USS6__C5Z00_03300
ERR1913279.544506__1.544506	39491__A0A396FJJ9__DXB76_11995
ERR1913279.544529__1.544529	246787__R6KQ08__AA416_01934
ERR1913279.544538__1.544538	1262911__R6GMK4__BN557_00535
ERR1913279.544539__1.544539	1262911__R6GMK4__BN557_00535
ERR1913279.544565__1.544565	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913279.544795__1.544795	823__E1YRQ7__M095_0737
ERR1913279.544882__1.544882	239935__A0A2N8I7W6__CXT90_04245
ERR1913279.544814__1.544814	214856__A0A174ZLY7__ERS852447_02456
ERR1913279.544848__1.544848	39492__D4JT87__clpC
ERR1913279.544850__1.544850	28117__B0MSS1__ALIPUT_00273
ERR1913279.544921__1.544921	1263000__R5EXT3__BN466_02213
ERR1913279.545177__1.545177	28117__B0MUX4__ALIPUT_00911
ERR1913279.545247__1.545247	39492__D4JTJ1__EUBSIR_01453
ERR1913279.545358__1.545358	1262736__R5Y3F9__BN496_01794
ERR1913279.545394__1.545394	147206__GCF_000156215.1_01774
ERR1913279.545524__1.545524	40518__R5DS38__RBL236_00785
ERR1913279.545525__1.545525	39492__D4JS46__EUBSIR_02553
ERR1913279.545536__1.545536	818__A0A0P0F7K1__ERS852461_02719
ERR1913279.545637__1.545637	1262929__R6EXI8__BN691_01531
ERR1913279.545832__1.545832	1780381__A0A143ZSQ5__BN3661_01406
ERR1913279.545944__1.545944	40518__R5DM08__DXD83_06415
ERR1913279.546003__1.546003	301302__A0A173UN64__manA_2
ERR1913279.546258__1.546258	853__A0A2A7B1Y7__C7K05_11930
ERR1913279.546431__1.546431	823__A0A174MNW4__M091_0199
ERR1913279.546825__1.546825	1680__A0A174BEE7__BSTER_1311
ERR1913279.546874__1.546874	28117__B0MWP2__ALIPUT_01468
ERR1913279.546885__1.546885	47678__R5UA23__C5Z00_15610
ERR1913279.547076__1.547076	706562__GCA_900112995.1_02103
ERR1913279.547080__1.547080	357276__D1JZM4__HMPREF1065_01278
ERR1913279.547250__1.547250	214856__I3YPP0__ERS852447_01388
ERR1913279.547336__1.547336	1262911__R6GQM3__BN557_01245
ERR1913279.547452__1.547452	1262989__R6Y5W1__BN815_00268
ERR1913279.547525__1.547525	214856__A0A174ZLY7__ERS852447_02456
ERR1913279.547584__1.547584	820__A0A374QGD2__ERS852421_02382
ERR1913279.547591__1.547591	46503__R6Y901__HMPREF1060_01754
ERR1913279.547646__1.547646	1550024__G9RWR2__TQ39_04385
ERR1913279.547719__1.547719	823__A0A173TMY6__M096_4753
ERR1913279.547727__1.547727	823__D7IUM6__M091_1082
ERR1913279.547758__1.547758	1262929__R6FSA0__BN691_01738
ERR1913279.548050__1.548050	46228__V8CCW7__DXD17_07330
ERR1913279.548176__1.548176	1680__A7A2Y2__NCTC11814_00537
ERR1913279.548392__1.548392	214856__A0A174FZ29__ERS852559_00600
ERR1913279.548428__1.548428	1262992__R5CXM7__BN795_01016
ERR1913279.548675__1.548675	853__A0A2A7ATM9__DWZ89_13645
ERR1913279.548667__1.548667	28117__B0MU76__ALIPUT_00202
ERR1913279.548757__1.548757	1550024__A0A3B9WFL2__ASJ35_03875
ERR1913279.549015__1.549015	239935__A0A2N8IRL2__CXU06_01170
ERR1913279.548989__1.548989	1263006__R6LRT3__BN515_00657
ERR1913279.549004__1.549004	1680__A7A8N9__BBMN23_1271
ERR1913279.549071__1.549071	487174__K0WZP2__DDY40_04000
ERR1913279.549117__1.549117	39492__D4JWY7__EUBSIR_01655
ERR1913279.549211__1.549211	1150298__R7JSE8__coaX_1
ERR1913279.549341__1.549341	147206__GCF_000156215.1_01387
ERR1913279.549646__1.549646	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913279.549908__1.549908	28117__B0MT73__ALIPUT_00412
ERR1913279.550094__1.550094	487174__K0WTW4__DDY40_12630
ERR1913279.550130__1.550130	39492__D4JTG7__EUBSIR_00572
ERR1913279.550164__1.550164	817__D1JR62__M110_0404
ERR1913279.550285__1.550285	1262924__R7HNL2__BN585_01068
ERR1913279.550438__1.550438	394340__metG_1
ERR1913279.550564__1.550564	214856__A0A174ZB00__ERS852559_00631
ERR1913279.550596__1.550596	214856__A0A174A0R8__ERS852447_00998
ERR1913279.551244__1.551244	1855327__A0A1H0QGF5__SAMN05216494_0666
ERR1913279.551322__1.551322	301302__A0A173T248__M72_19091
ERR1913279.551386__1.551386	291645__I8XPK0__HMPREF1068_01554
ERR1913279.551441__1.551441	28117__B0MU53__ALIPUT_00569
ERR1913279.551414__1.551414	820__A0A174FUG6__DXC91_11265
ERR1913279.551509__1.551509	1203556__A0A2X0U2N9__HMPREF1478_00498
ERR1913279.551617__1.551617	214856__A0A174H3U9__ERS852559_00612
ERR1913279.551739__1.551739	33039__A0A173VTT4__frdB_1
ERR1913279.551996__1.551996	214856__I3YPI7__pepD_1
ERR1913279.551963__1.551963	626932__G5H7W1__HMPREF9450_00764
ERR1913279.552362__1.552362	28116__R6DIL2__DXD69_10970
ERR1913279.552289__1.552289	357276__I9R2M6__BSEG_03499
ERR1913279.552407__1.552407	39492__D4JRZ7__smc
ERR1913279.552422__1.552422	214856__A0A174ZED5__ERS852559_00591
ERR1913279.552462__1.552462	28117__B0MY82__BHV66_04755
ERR1913279.552529__1.552529	214856__E4MF20__Alfi_0697
ERR1913279.552565__1.552565	357276__C3R5C9__HMPREF1063_00213
ERR1913279.552620__1.552620	387661__K5ZKG7__HMPREF1077_01304
ERR1913279.552636__1.552636	28116__E5C5U2__HMPREF2532_02418
ERR1913279.552853__1.552853	817__A0A2M9V8W4__M140_0910
ERR1913279.552937__1.552937	1550024__G9RTA6__TQ39_10970
ERR1913279.552996__1.552996	78257__A0A087CUE0__BSAE_1156
ERR1913279.553211__1.553211	40518__R5DX31__DXD86_09775
ERR1913279.553239__1.553239	39485__R5ZVC3__ERS852490_00250
ERR1913279.553436__1.553436	39492__D4JW28__spoVFA
ERR1913279.553442__1.553442	360807__C0FPN7__ERS852444_02993
ERR1913279.553532__1.553532	821__A0A395US34__C5Z04_18975
ERR1913279.553528__1.553528	28117__B0MXD0__ALIPUT_01669
ERR1913279.553697__1.553697	10678__GeneID:2777385
ERR1913279.553727__1.553727	823__A0A395YXR9__M091_4086
ERR1913279.553805__1.553805	1262924__R7HLK0__BN585_01496
ERR1913279.553817__1.553817	28117__B0MXR1__BHV66_08035
ERR1913279.553942__1.553942	28117__B0MXD0__ALIPUT_01669
ERR1913279.554071__1.554071	1680__A0A087DKM6__B0042_0664
ERR1913279.554131__1.554131	28116__I8Y7V6__HMPREF1017_02728
ERR1913279.554157__1.554157	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913279.554384__1.554384	487174__K0XA11__DDY40_03585
ERR1913279.554513__1.554513	1680__A0A087DHN0__AL0462_1532
ERR1913279.554620__1.554620	40518__R5DV58__htrA
ERR1913279.554854__1.554854	820__A0A3E4VZT7__DXB48_16145
ERR1913279.554828__1.554828	818__A0A3E5HEU1__NCTC10582_02468
ERR1913279.554834__1.554834	1262736__R5YAF1__BN496_01614
ERR1913279.554775__1.554775	820__A7V9F9__B5G17_14640
ERR1913279.555025__1.555025	147206__GCF_000156215.1_01108
ERR1913279.555119__1.555119	40518__R5E4X1__DXD93_05270
ERR1913279.555387__1.555387	357276__A0A076IS73__GV66_00410
ERR1913279.555484__1.555484	1965538__A0A1Y4W3Y5__B5E43_12125
ERR1913279.555571__1.555571	40518__R5DWH8__DXD86_04530
ERR1913279.555596__1.555596	853__A0A173RZ39__C4N22_01650
ERR1913279.555714__1.555714	147206__GCF_000156215.1_01774
ERR1913279.555847__1.555847	239935__A0A2N8HAQ1__DEF40_05290
ERR1913279.555885__1.555885	671232__F9PAV6__C6A33_00320
ERR1913279.555920__1.555920	28117__B0MUX4__ALIPUT_00911
ERR1913279.556115__1.556115	823__A0A395YY84__DXC05_19515
ERR1913279.556417__1.556417	544644__GCA_001915615.1_01854
ERR1913279.556458__1.556458	410072__C0B9G6__ERS852481_03113
ERR1913279.556480__1.556480	214856__I3YMC8__ERS852447_02666
ERR1913279.556488__1.556488	1262989__R6Y9H3__BN815_01748
ERR1913279.556566__1.556566	214856__A0A174FY07__ERS852447_02457
ERR1913279.556607__1.556607	1263000__R5EXT3__BN466_02213
ERR1913279.556772__1.556772	1262911__R6H1D2__BN557_00855
ERR1913279.557134__1.557134	1681__A0A0H2PGZ6__DXD34_05075
ERR1913279.557217__1.557217	1150298__A0A174R918__ERS852535_01749
ERR1913279.557614__1.557614	35833__E5Y8N1__HMPREF0179_02549
ERR1913279.557687__1.557687	2173__A0A1D2WTT4__BK798_05110
ERR1913279.557736__1.557736	820__A0A3E5E9Y8__DXD90_09110
ERR1913279.557821__1.557821	28117__B0MSS1__ALIPUT_00273
ERR1913279.557839__1.557839	216816__C5E9C3__CJO32_03030
ERR1913279.557861__1.557861	33038__A7B3I2__DXD36_11565
ERR1913279.558185__1.558185	1262924__R7HQD4__BN585_02072
ERR1913279.558271__1.558271	745368__A0A1T4XV62__SAMN02745178_02335
ERR1913279.558465__1.558465	28117__B0MWP2__ALIPUT_01468
ERR1913279.558502__1.558502	1680__A0A0C2YNK5__BADO_0780
ERR1913279.558702__1.558702	33039__A0A174ZC42__ppaC
