ERR1913264.104__1.104	487174__K0X079__DIT83_00640
ERR1913264.696406__1.696406	39491__A0A395V464__EUBREC_1509
ERR1913264.696563__1.696563	39491__A0A395UYA6__EUBREC_0408
ERR1913264.696587__1.696587	39488__A0A285PPV7__DXD91_14610
ERR1913264.696608__1.696608	418240__A0A173ZFY9__ERS852478_00591
ERR1913264.696800__1.696800	1262922__R6E8Y1__BN487_01778
ERR1913264.696986__1.696986	39491__C4ZF05__vpr
ERR1913264.697001__1.697001	1520810__A0A1H5XYJ5__SAMN02910276_02047
ERR1913264.697402__1.697402	823__D7IUM6__M091_1082
ERR1913264.697340__1.697340	821__E5UY21__C800_02204
ERR1913264.697422__1.697422	487174__K0XL60__DDY40_11760
ERR1913264.697844__1.697844	160404__R7BAU8__B5G26_02360
ERR1913264.698204__1.698204	823__E1YV41__BDI_1376
ERR1913264.698149__1.698149	1262889__R7HAC7__BN634_01118
ERR1913264.698159__1.698159	28117__B0MWX3__BHV66_03010
ERR1913264.698160__1.698160	1262922__R6DWT1__BN487_00269
ERR1913264.698180__1.698180	1262933__R7PD08__BN736_00864
ERR1913264.698293__1.698293	39491__A0A395V0H6__ERS852580_02570
ERR1913264.698447__1.698447	1262933__R7P7T4__BN736_00948
ERR1913264.698451__1.698451	39491__A0A395UWZ1__DXC13_02175
ERR1913264.698558__1.698558	571438__A0A1G7KN06__SAMN05192586_104169
ERR1913264.698929__1.698929	823__D7IT19__DHP27_03495
ERR1913264.699084__1.699084	1501391__GCA_000786575.1_00096
ERR1913264.699197__1.699197	292800__A0A174UQD2__B5F52_18205
ERR1913264.699283__1.699283	1262922__R6E4W9__BN487_01554
ERR1913264.699297__1.699297	29361__B6FRT6__CLONEX_02860
ERR1913264.699485__1.699485	46503__R5DDT4__DD461_14650
ERR1913264.699693__1.699693	328814__GCA_004558275.1_00059
ERR1913264.699714__1.699714	39492__D4JV70__EUBSIR_01253
ERR1913264.699780__1.699780	1262873__R6W9L4__BN605_01204
ERR1913264.699844__1.699844	39491__A0A395UZ89__DXB72_12805
ERR1913264.699867__1.699867	823__A0A395Z0N9__DHW69_05890
ERR1913264.699930__1.699930	823__A0A174XJM9__CEQ22_007230
ERR1913264.700158__1.700158	39491__A0A395V1R3__T1815_08181
ERR1913264.700285__1.700285	28117__B0MWZ9__ALIPUT_01735
ERR1913264.700383__1.700383	1262922__R6E9U7__BN487_01899
ERR1913264.700477__1.700477	1862668__GCA_001945525.1_00031
ERR1913264.700704__1.700704	28117__B0N028__BHV66_05935
ERR1913264.700725__1.700725	1262922__R6EG11__BN487_01517
ERR1913264.700879__1.700879	1501391__GCA_000786575.1_00027
ERR1913264.700977__1.700977	106588__A6NUL8__BACCAP_01900
ERR1913264.701140__1.701140	328814__GCA_004558275.1_00133
ERR1913264.701142__1.701142	1150298__R7JRC8__ERS852535_02456
ERR1913264.701244__1.701244	39491__A0A395V0X2__EUBREC_3007
ERR1913264.701705__1.701705	106588__A6P303__BACCAP_04887
ERR1913264.701863__1.701863	39491__A0A396FJJ9__DXB76_11995
ERR1913264.701974__1.701974	39491__A0A395UUN5__EUBREC_0291
ERR1913264.702044__1.702044	1262945__R6YL13__BN600_00850
ERR1913264.702118__1.702118	40518__R5DXI4__DXD86_07420
ERR1913264.702245__1.702245	39491__A0A396FPV7__ERS852580_01177
ERR1913264.702505__1.702505	39491__A0A396FGM9__fliU_1
ERR1913264.702604__1.702604	853__A0A173TAZ8__DWZ46_14590
ERR1913264.702671__1.702671	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913264.702806__1.702806	214856__A0A174Z9Y8__ERS852559_00247
ERR1913264.702911__1.702911	1262922__R6E4W9__BN487_01554
ERR1913264.703096__1.703096	39491__A0A396FRE7__EUR_27520
ERR1913264.703136__1.703136	29348__B1C291__CLOSPI_01348
ERR1913264.703174__1.703174	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913264.703202__1.703202	1160721__W0U4W5__BHW50_05260
ERR1913264.703227__1.703227	1262922__R6E9J4__BN487_00738
ERR1913264.703310__1.703310	1262922__R6E5U1__BN487_01344
ERR1913264.703417__1.703417	1628085__A0A1C6D825__C7386_1061
ERR1913264.703492__1.703492	39491__A0A396FF17__EUR_31400
ERR1913264.703626__1.703626	1263000__R5EBJ1__BN466_00540
ERR1913264.703640__1.703640	1262933__R7PC52__BN736_01649
ERR1913264.703738__1.703738	39491__A0A396FE96__EUR_00280
ERR1913264.704169__1.704169	28116__A0A1G6G396__DXD69_22115
ERR1913264.704419__1.704419	39491__C4ZHS4__EUR_24420
ERR1913264.704634__1.704634	1099853__G9S3J8__NSB1T_03290
ERR1913264.704702__1.704702	28117__B0MTY2__BHV66_06485
ERR1913264.704711__1.704711	39491__A0A395UYA6__EUBREC_0408
ERR1913264.704831__1.704831	39491__A0A173TAZ5__DXB99_09520
ERR1913264.704872__1.704872	1262889__R7HDN9__BN634_01543
ERR1913264.704976__1.704976	39491__A0A396FJJ9__DXB76_11995
ERR1913264.705086__1.705086	1501391__GCA_000786575.1_00002
ERR1913264.705129__1.705129	823__A0A173VPM3__DHW69_17170
ERR1913264.705148__1.705148	1262922__R6E4W9__BN487_01554
ERR1913264.705155__1.705155	28117__B0N028__BHV66_05935
ERR1913264.705234__1.705234	1501391__GCA_000786575.1_00147
ERR1913264.705406__1.705406	39491__A0A396FIU1__DXC13_07905
ERR1913264.705459__1.705459	1262922__R6E8C9__BN487_00223
ERR1913264.705596__1.705596	487174__K0WYC5__HMPREF9448_01493
ERR1913264.705739__1.705739	1150298__R7JRK4__ERS852406_01648
ERR1913264.705883__1.705883	1501391__GCA_000786575.1_00085
ERR1913264.705936__1.705936	1099853__U5CIZ3__NSB1T_04880
ERR1913264.706012__1.706012	39485__C4Z028__ERS852492_00100
ERR1913264.706093__1.706093	39491__A0A3E4YFT8__DXB69_10940
ERR1913264.706236__1.706236	44742__A0A0X8JKD6__AXF13_09900
ERR1913264.706243__1.706243	1263000__R5EKT2__BN466_02168
ERR1913264.706348__1.706348	39491__A0A395ZHV7__ykvU
ERR1913264.706502__1.706502	1262922__R6EXS9__BN487_01090
ERR1913264.706910__1.706910	39491__C4ZAT2__ERE_28440
ERR1913264.707056__1.707056	1263000__R5ESM1__BN466_01440
ERR1913264.707080__1.707080	292800__A0A174IVN3__B5F52_08105
ERR1913264.707118__1.707118	823__C7XA51__BDI_0499
ERR1913264.707250__1.707250	39491__C4Z872__LD38_07250
ERR1913264.707262__1.707262	1262922__R6EEP0__BN487_01314
ERR1913264.707471__1.707471	39491__C4Z8B6__ERE_17960
ERR1913264.707541__1.707541	853__A8S882__C4N23_07600
ERR1913264.707547__1.707547	1965537__A0A1Y4WET0__B5E42_13755
ERR1913264.707632__1.707632	1262824__R6RMT2__BN719_01295
ERR1913264.707758__1.707758	1262922__R6DX24__BN487_00296
ERR1913264.707807__1.707807	1501391__GCA_000786575.1_00102
ERR1913264.708041__1.708041	2108523__A0A2P2FCF2__LAWASA_3737
ERR1913264.708162__1.708162	2108523__A0A2P2FDA1__LAWASA_4052
ERR1913264.708244__1.708244	33039__A0A174ZHW3__ERS852424_00452
ERR1913264.708577__1.708577	1262922__R6EE49__BN487_01193
ERR1913264.708616__1.708616	821__A0A396F9T7__M097_3427
ERR1913264.708989__1.708989	1150298__R7JRU1__degA_3
ERR1913264.709005__1.709005	28117__B0MUR5__BHV66_03900
ERR1913264.709182__1.709182	46228__V8BPQ4__HMPREF1202_02321
ERR1913264.709198__1.709198	460384__A0A1I0K1U3__SAMN05216313_1437
ERR1913264.709319__1.709319	28117__B0MYZ8__BHV66_04535
ERR1913264.709629__1.709629	649756__A0A174J035__DO83_03925
ERR1913264.709579__1.709579	1262922__R6E6V1__BN487_00270
ERR1913264.709817__1.709817	823__A0A073I9P2__CF162_18000
ERR1913264.709839__1.709839	39491__A0A395ZDC6__addB
ERR1913264.709841__1.709841	1262922__R6E2E4__BN487_00734
ERR1913264.709970__1.709970	1262933__R7PCP8__BN736_00732
ERR1913264.710001__1.710001	329854__R5MCA7__DXD57_10010
ERR1913264.710045__1.710045	33039__R6P284__spoIIIE
ERR1913264.710270__1.710270	39491__A0A395ZDC6__addB
ERR1913264.710255__1.710255	39491__C4Z8Y4__ERS852417_00909
ERR1913264.710442__1.710442	823__A6L9D3__ERS852560_03374
ERR1913264.710479__1.710479	28117__B0MSS1__ALIPUT_00273
ERR1913264.710773__1.710773	1262989__R6YI44__BN815_02217
ERR1913264.710792__1.710792	1262922__R6EAM2__BN487_00919
ERR1913264.711121__1.711121	357276__A0A0K2HF54__HMPREF1063_03537
ERR1913264.711148__1.711148	1262922__R6F3R3__BN487_01995
ERR1913264.711563__1.711563	821__I9R3W6__DXC16_12455
ERR1913264.711610__1.711610	46503__R6Y8M7__ERS852463_01228
ERR1913264.711689__1.711689	1501391__GCA_000786575.1_00029
ERR1913264.711732__1.711732	39491__A0A396FQV7__T1815_10751
ERR1913264.711825__1.711825	1262922__R6E5H3__BN487_01250
ERR1913264.711941__1.711941	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913264.712097__1.712097	328814__GCA_004558275.1_00296
ERR1913264.712300__1.712300	46228__B5CSA1__HMPREF1202_00678
ERR1913264.712301__1.712301	40518__R5DWP7__ansA
ERR1913264.712418__1.712418	1262922__R6F3R3__BN487_01995
ERR1913264.712428__1.712428	39491__A0A395ZG74__licR
ERR1913264.712752__1.712752	328814__GCA_004558275.1_00033
ERR1913264.712805__1.712805	39491__R6UMS6__DXD13_07035
ERR1913264.712959__1.712959	28116__A7LS06__HMPREF2532_04668
ERR1913264.713105__1.713105	39491__A0A395UZ82__EUR_31520
ERR1913264.713117__1.713117	39491__D6E558__DXB69_00810
ERR1913264.713343__1.713343	214856__E4MFP6__ERS852447_01708
ERR1913264.713566__1.713566	1501391__GCA_000786575.1_00119
ERR1913264.713607__1.713607	39491__A0A395UVM9__DXB76_04540
ERR1913264.713922__1.713922	301301__G2T5V7__RHOM_15795
ERR1913264.714230__1.714230	35833__E5Y6S3__HMPREF0179_01886
ERR1913264.714317__1.714317	33039__R6P284__spoIIIE
ERR1913264.714412__1.714412	823__A6L930__DDY96_14995
ERR1913264.714555__1.714555	28117__B0MU53__ALIPUT_00569
ERR1913264.714565__1.714565	39491__A0A396FFW0__ERE_10580
ERR1913264.714898__1.714898	376805__F0R8H8__Bacsa_0435
ERR1913264.714955__1.714955	28118__F9Z3U6__B5F99_03365
ERR1913264.715109__1.715109	39491__A0A396FKI0__DXC13_11560
ERR1913264.715220__1.715220	39485__C4Z1W5__ERS852492_01530
ERR1913264.715726__1.715726	1150298__A0A174DU21__toxA_3
ERR1913264.715778__1.715778	1262922__R6E4W9__BN487_01554
ERR1913264.715822__1.715822	2137880__A0A316NTG7__DBY21_04860
ERR1913264.715972__1.715972	823__A0A174WTX5__DD466_11965
ERR1913264.716025__1.716025	39491__A0A2U2EKL1__ERS852580_00911
ERR1913264.716143__1.716143	821__A0A174NSU0__BVU_3144
ERR1913264.716223__1.716223	39491__A0A3E4E7C5__DXB69_03255
ERR1913264.716243__1.716243	301302__A0A0M6W9I4__M72_19871
ERR1913264.716368__1.716368	1099853__G9S7X5__NSB1T_02600
ERR1913264.716435__1.716435	626931__K9E2X9__DXB65_08470
ERR1913264.716394__1.716394	1550024__A0A0D8IWE6__ASJ35_08175
ERR1913264.716401__1.716401	1263000__R5EBJ1__BN466_00540
ERR1913264.716489__1.716489	39491__A0A3E4E7C5__DXB69_03255
ERR1913264.716498__1.716498	487174__R5F3K6__DDY40_04230
ERR1913264.716503__1.716503	39491__C4ZCH3__EUR_17560
ERR1913264.716831__1.716831	1262922__R6E3S7__BN487_01394
ERR1913264.716972__1.716972	39491__A0A395UZ82__EUR_31520
ERR1913264.717135__1.717135	214856__I3YMN6__Alfi_1938
ERR1913264.717256__1.717256	39491__A0A0M6WWT1__dus_2
ERR1913264.717565__1.717565	39485__A0A174ZPH7__ERS852490_01992
ERR1913264.717546__1.717546	1150298__A0A174N5I7__ERS852498_01953
ERR1913264.717644__1.717644	1262922__R6EIW5__BN487_01923
ERR1913264.717764__1.717764	39485__A0A174ZKZ4__spoIIQ_1
ERR1913264.717897__1.717897	39491__A0A395V397__EUR_09960
ERR1913264.717967__1.717967	1263000__R5EHI3__BN466_01684
ERR1913264.718010__1.718010	40518__R5E550__aroK
ERR1913264.718170__1.718170	410072__A0A174KCA8__DXD67_01455
ERR1913264.718469__1.718469	823__A0A173V751__DXD05_02690
ERR1913264.718533__1.718533	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913264.718440__1.718440	649756__D4MUE9__ERS852425_03110
ERR1913264.718595__1.718595	1965588__A0A1Y4H6G5__B5F36_14460
ERR1913264.718840__1.718840	160404__R7BAQ2__B5G26_02345
ERR1913264.718924__1.718924	820__A0A174QLF0__SAMN05444418_109151
ERR1913264.719366__1.719366	160404__R7B907__SAMN02745138_01137
ERR1913264.719509__1.719509	823__A0A355XN73__DXC05_07000
ERR1913264.719537__1.719537	39491__C4Z9K0__DXD95_07445
ERR1913264.719591__1.719591	1263000__R5EQI3__BN466_00125
ERR1913264.719713__1.719713	487174__K0X3E9__DDY40_04905
ERR1913264.719905__1.719905	214856__I3YK71__ERS852559_02472
ERR1913264.719984__1.719984	1550024__G9RVU1__TQ39_06560
ERR1913264.719992__1.719992	1304__A0A1V0GL68__CGZ74_06870
ERR1913264.719968__1.719968	2108523__A0A2P2FDA1__LAWASA_4052
ERR1913264.720043__1.720043	1262933__R7PDJ8__BN736_00265
ERR1913264.720110__1.720110	1965588__A0A1Y4H6G5__B5F36_14460
ERR1913264.720420__1.720420	39491__D6E408__EUBREC_1466
ERR1913264.720433__1.720433	214856__I3YK71__ERS852559_02472
ERR1913264.720587__1.720587	160404__A0A1M6VU60__B5G26_06825
ERR1913264.720592__1.720592	1263000__R5EGY6__BN466_00973
ERR1913264.720853__1.720853	28117__B0MSR5__BHV66_02095
ERR1913264.720941__1.720941	820__A0A174G065__DXB62_08975
ERR1913264.720994__1.720994	1262922__R6F3P6__BN487_01980
ERR1913264.720988__1.720988	28117__B0MVL2__BHV66_01645
ERR1913264.721111__1.721111	1262922__R6E8K7__BN487_01739
ERR1913264.721130__1.721130	1263000__R5ECJ8__BN466_00781
ERR1913264.721161__1.721161	1262933__R7PDW8__BN736_00399
ERR1913264.721322__1.721322	46228__V8CB66__RUMLAC_02810
ERR1913264.721398__1.721398	39491__A0A395V1R3__T1815_08181
ERR1913264.721407__1.721407	487174__K0WV13__DIT83_10890
ERR1913264.721422__1.721422	28117__R7JIJ8__BHV66_01635
ERR1913264.721856__1.721856	28117__B0MXI8__BHV66_08505
ERR1913264.721865__1.721865	1262922__R6E682__BN487_01726
ERR1913264.721941__1.721941	160404__A0A1M6PNS4__B5G26_00460
ERR1913264.722116__1.722116	1263005__R6EN45__BN497_01437
ERR1913264.722532__1.722532	39491__A0A396FUZ3__phoR_1
ERR1913264.722593__1.722593	39491__A0A396FJJ9__DXB76_11995
ERR1913264.722638__1.722638	821__A0A174JYD3__ERS852457_02610
ERR1913264.722644__1.722644	1262922__R6DZZ7__BN487_00771
ERR1913264.722918__1.722918	39491__A0A396FBR6__DXC13_08575
ERR1913264.722937__1.722937	1262922__R6E3S7__BN487_01394
ERR1913264.723188__1.723188	39491__C4ZF05__vpr
ERR1913264.723271__1.723271	39491__C4ZCV5__DXB99_11855
ERR1913264.723499__1.723499	28117__B0MVL5__BHV66_01660
ERR1913264.723518__1.723518	1262933__R7PA85__BN736_00556
ERR1913264.723679__1.723679	823__A6LEF1__CF162_12695
ERR1913264.723686__1.723686	28117__B0MWX3__BHV66_03010
ERR1913264.723862__1.723862	1262922__R6DZK5__BN487_00713
ERR1913264.723878__1.723878	360807__A0A0M6WV00__ERS852444_02114
ERR1913264.723928__1.723928	821__A0A3E4HP25__SAMN04487923_102450
ERR1913264.723991__1.723991	1262922__R6E5H3__BN487_01250
ERR1913264.723997__1.723997	487174__K0XIX0__DDY40_06625
ERR1913264.724082__1.724082	39491__D4JM76__DXC13_02150
ERR1913264.724111__1.724111	39491__A0A395ZBQ4__cph2_2
ERR1913264.724211__1.724211	1262922__R6EXS9__BN487_01090
ERR1913264.724317__1.724317	1262922__R6E9C2__BN487_00401
ERR1913264.724341__1.724341	39491__C4Z872__LD38_07250
ERR1913264.724369__1.724369	853__A0A2A7B1Y7__C7K05_11930
ERR1913264.724437__1.724437	820__I9J701__ERS852510_01809
ERR1913264.724740__1.724740	823__D7IW29__DXD05_13365
ERR1913264.725053__1.725053	487174__K0WXI9__HMPREF9448_02340
ERR1913264.725071__1.725071	61171__B9Y5T8__HOLDEFILI_01170
ERR1913264.725099__1.725099	160404__R6PN04__B5G26_15035
ERR1913264.725317__1.725317	1150298__R7JUW7__ERS852406_02089
ERR1913264.725902__1.725902	39491__A0A395UUN5__EUBREC_0291
ERR1913264.725903__1.725903	39491__A0A396FNY7__LD38_16155
ERR1913264.725992__1.725992	823__A6LGI3__DXB14_09215
ERR1913264.725967__1.725967	823__A0A174KUS4__araC_7
ERR1913264.726077__1.726077	823__A0A174RH99__ERS852380_00691
ERR1913264.726153__1.726153	39491__C4ZGN3__DXB99_14175
ERR1913264.726308__1.726308	1262933__R7PBI2__BN736_00367
ERR1913264.726459__1.726459	1262922__R6ECX9__BN487_01332
ERR1913264.726644__1.726644	214856__I3YMN6__Alfi_1938
ERR1913264.726835__1.726835	853__A0A173XRA8__CGS56_09290
ERR1913264.726990__1.726990	39491__A0A173VH71__ERS852497_01827
ERR1913264.727335__1.727335	626933__H1DGX0__HMPREF9449_01506
ERR1913264.727404__1.727404	1262933__R7PA63__BN736_00982
ERR1913264.727553__1.727553	291645__I9SFD1__HMPREF1068_00354
ERR1913264.727613__1.727613	33039__A0A174ZIS2__RTO_10090
ERR1913264.727648__1.727648	39491__A0A395UYA6__EUBREC_0408
ERR1913264.727695__1.727695	671267__R9IB12__C802_00696
ERR1913264.727735__1.727735	39491__A0A396FF66__DXD95_01810
ERR1913264.727783__1.727783	1849041__A0A3E2SPX6__DW086_13055
ERR1913264.727842__1.727842	39488__C0EXY6__ltaS1_2
ERR1913264.727800__1.727800	39491__A0A396FGM9__fliU_1
ERR1913264.727942__1.727942	39491__A0A396FJV5__ERS852417_00035
ERR1913264.727943__1.727943	28117__B0MTV3__BHV66_06405
ERR1913264.727978__1.727978	28117__B0MT73__ALIPUT_00412
ERR1913264.728158__1.728158	487174__K0WWY0__DIT83_10195
ERR1913264.728162__1.728162	823__A0A078SYK6__DXB14_02485
ERR1913264.728364__1.728364	1263000__R5EGY6__BN466_00973
ERR1913264.728693__1.728693	1262922__R6ETB6__BN487_00396
ERR1913264.729251__1.729251	360807__C0FPN7__ERS852444_02993
ERR1913264.729503__1.729503	28117__B0MYW5__ALIPUT_02334
ERR1913264.729579__1.729579	1262922__R6E3T8__BN487_00972
ERR1913264.729652__1.729652	1501391__GCA_000786575.1_00081
ERR1913264.729817__1.729817	39491__C4ZD70__LD38_03510
ERR1913264.729864__1.729864	39491__A0A395ZL98__DXB99_00620
ERR1913264.730100__1.730100	28117__B0MXD0__ALIPUT_01669
ERR1913264.730149__1.730149	821__C6ZAA5__ERS852556_00403
ERR1913264.730202__1.730202	39491__D4JMW8__ERS852497_01971
ERR1913264.730465__1.730465	39485__A0A174YMC1__recN
ERR1913264.730739__1.730739	39491__A0A174K265__DXB76_05915
ERR1913264.730767__1.730767	2137880__A0A316P1D7__DBY21_02035
ERR1913264.730890__1.730890	1262933__R7PAN9__BN736_00645
ERR1913264.730939__1.730939	39491__A0A395UZ89__DXB72_12805
ERR1913264.731476__1.731476	1262922__R6EXS9__BN487_01090
ERR1913264.731671__1.731671	154288__A0A109RMA9__ERS852422_02218
ERR1913264.731714__1.731714	39491__A0A395ZIT8__EUR_13460
ERR1913264.731751__1.731751	853__A0A174BA00__DW905_01145
ERR1913264.731766__1.731766	1262933__R7P731__BN736_01291
ERR1913264.731789__1.731789	28117__B0MXU6__ALIPUT_01958
ERR1913264.731913__1.731913	1263107__GCA_000436995.1_00080
ERR1913264.732032__1.732032	39491__A0A395UWZ1__DXC13_02175
ERR1913264.732237__1.732237	1965537__A0A1Y4WKU8__B5E42_05475
ERR1913264.732434__1.732434	823__A0A173W8N5__ERS852513_00780
ERR1913264.732493__1.732493	1262922__R6EXS9__BN487_01090
ERR1913264.732628__1.732628	1262922__R6E5N1__BN487_01313
ERR1913264.732670__1.732670	1150298__A0A174DQT6__ERS852498_00506
ERR1913264.732844__1.732844	28117__B0MU58__BHV66_05630
ERR1913264.733076__1.733076	1262922__R6E736__BN487_01852
ERR1913264.733088__1.733088	39491__D6DXZ8__DXB72_15035
ERR1913264.733180__1.733180	28117__B0MWP2__ALIPUT_01468
ERR1913264.733512__1.733512	28117__B0MTI4__ALIPUT_00084
ERR1913264.733538__1.733538	360807__A0A396ADY6__RIL183_17001
ERR1913264.733604__1.733604	487174__R5FMM3__DDY40_00820
ERR1913264.733785__1.733785	39491__C4ZF05__vpr
ERR1913264.733975__1.733975	39491__A0A395ZM93__DXD13_03490
ERR1913264.733989__1.733989	28117__B0MWP2__ALIPUT_01468
ERR1913264.734173__1.734173	487174__K0WYI1__DDY40_08675
ERR1913264.734719__1.734719	39485__C4Z1Y6__EUBELI_00140
ERR1913264.734809__1.734809	39491__R6TQ09__DXC13_03010
ERR1913264.734846__1.734846	2137880__A0A316NUD0__DBY21_06900
ERR1913264.735048__1.735048	28117__B0MY41__BHV66_05165
ERR1913264.735185__1.735185	2137880__A0A316NXQ9__DBY21_05070
ERR1913264.735210__1.735210	1263000__R5EFA7__BN466_01197
ERR1913264.735368__1.735368	28117__R7JJM9__ALIPUT_00662
ERR1913264.735516__1.735516	1501391__GCA_000786575.1_00076
ERR1913264.735533__1.735533	360807__A0A173WJE3__mcp4_4
ERR1913264.735560__1.735560	28117__B0MT73__ALIPUT_00412
ERR1913264.735684__1.735684	292800__A0A174NR96__HMPREF0372_02342
ERR1913264.735903__1.735903	46503__R6X6L7__HMPREF1060_00291
ERR1913264.735911__1.735911	39491__A0A174EQV2__DXB69_10230
ERR1913264.735935__1.735935	1262922__R6DZZ7__BN487_00771
ERR1913264.735951__1.735951	1263000__R5EMZ8__BN466_00707
ERR1913264.735976__1.735976	1965537__A0A1Y4WQA6__B5E42_02750
ERR1913264.735992__1.735992	1262922__R6E5W2__BN487_01361
ERR1913264.735993__1.735993	853__D4JY61__C4N21_10560
ERR1913264.736026__1.736026	39491__D6E118__DXB69_05765
ERR1913264.736083__1.736083	39491__A0A173VYV1__DXC13_02710
ERR1913264.736154__1.736154	55565__G9PHT7__CJ186_07645
ERR1913264.736263__1.736263	310298__B3JQJ5__BACCOP_04231
ERR1913264.736315__1.736315	1550024__A0A0D8J1R1__ASJ35_08490
ERR1913264.736439__1.736439	33039__D4M6I1__nadB_2
ERR1913264.736483__1.736483	39491__C4Z9E9__T1815_12341
ERR1913264.736497__1.736497	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913264.736542__1.736542	823__K6A718__CEQ22_003390
ERR1913264.736632__1.736632	853__D4JY61__C4N21_10560
ERR1913264.736736__1.736736	39491__A0A395V0H3__ERS852417_01192
ERR1913264.736857__1.736857	28117__B0MT86__BHV66_02450
ERR1913264.736862__1.736862	823__A6L9D3__ERS852560_03374
ERR1913264.737077__1.737077	39491__D6E408__EUBREC_1466
ERR1913264.737120__1.737120	39485__C4Z6J9__ERS852492_02049
ERR1913264.737187__1.737187	1262933__R7PC52__BN736_01649
ERR1913264.737331__1.737331	39491__C4ZEW3__T1815_18241
ERR1913264.737486__1.737486	1262922__R6E4S1__BN487_00090
ERR1913264.737602__1.737602	1965537__A0A1Y4WMZ4__B5E42_03830
ERR1913264.737644__1.737644	28117__R7JH62__BHV66_05735
ERR1913264.737726__1.737726	1262922__R6E8Y1__BN487_01778
ERR1913264.737730__1.737730	28117__B0MWX3__BHV66_03010
ERR1913264.737921__1.737921	39485__C4Z684__ERS852492_01895
ERR1913264.738036__1.738036	39491__C4ZCH3__EUR_17560
ERR1913264.738041__1.738041	39491__A0A2U2EK03__ERE_28780
ERR1913264.738115__1.738115	2108523__A0A2P2FC18__LAWASA_3564
ERR1913264.738119__1.738119	39491__A0A396FJJ9__DXB76_11995
ERR1913264.738188__1.738188	39485__R5ZT06__EUBELI_20526
ERR1913264.738201__1.738201	1262922__R6EZ98__BN487_01346
ERR1913264.738326__1.738326	39491__A0A395UUN5__EUBREC_0291
ERR1913264.738389__1.738389	823__A0A174KUS4__araC_7
ERR1913264.738392__1.738392	1262933__R7PDE9__BN736_00222
ERR1913264.738526__1.738526	1099853__U5CDS7__NSB1T_05515
ERR1913264.738626__1.738626	39491__C4ZCH3__EUR_17560
ERR1913264.738649__1.738649	39491__A0A396FF66__DXD95_01810
ERR1913264.738683__1.738683	1262922__R6ETB6__BN487_00396
ERR1913264.738898__1.738898	28116__A0A3D2LWY1__ERS852555_01619
ERR1913264.738933__1.738933	823__A0A1Y4I349__DXB14_09300
ERR1913264.739051__1.739051	39491__A0A395ZL98__DXB99_00620
ERR1913264.739100__1.739100	671267__R9IB12__C802_00696
ERR1913264.739529__1.739529	821__A0A395VLM8__BvMPK_3650
ERR1913264.739576__1.739576	239935__A0A2N8IQX1__dnaA
ERR1913264.739731__1.739731	1501391__GCA_000786575.1_00107
ERR1913264.739858__1.739858	1262933__R7PE99__BN736_00515
ERR1913264.740008__1.740008	2108523__A0A2P2FCZ3__LAWASA_3939
ERR1913264.740329__1.740329	46503__R6X8Q3__fepA_2
ERR1913264.740424__1.740424	1262933__R7P6T6__BN736_01225
ERR1913264.740462__1.740462	39491__A0A395UZ82__EUR_31520
ERR1913264.740481__1.740481	160404__A0A1M6U7V0__SAMN02745138_02106
ERR1913264.740526__1.740526	823__A0A073I5R7__cloSI
ERR1913264.740574__1.740574	28118__F9ZAS2__B5F93_06130
ERR1913264.740585__1.740585	1099853__G9S127__NSB1T_01845
ERR1913264.740606__1.740606	487174__R5EP60__DIT83_09045
ERR1913264.740896__1.740896	39491__C4Z872__LD38_07250
ERR1913264.741104__1.741104	39491__A0A396FRE7__EUR_27520
ERR1913264.741212__1.741212	1262933__R7P5X0__BN736_00941
ERR1913264.741300__1.741300	823__A6L9W2__DXB14_07905
ERR1913264.741315__1.741315	1263000__R5F0H8__BN466_00254
ERR1913264.741352__1.741352	39491__A0A396FEW6__T1815_18721
ERR1913264.741460__1.741460	39491__A0A396FMT0__EUBREC_3020
ERR1913264.741546__1.741546	1262911__R6GKS1__BN557_00184
ERR1913264.741570__1.741570	853__A0A173T8T3__DW882_06555
ERR1913264.741675__1.741675	410072__A0A174BMP0__DXD67_03635
ERR1913264.741937__1.741937	39491__C4Z8S1__DXB76_06750
ERR1913264.741951__1.741951	1520815__A0A1I3JXK1__SAMN02910435_00486
ERR1913264.741971__1.741971	1501391__GCA_000786575.1_00110
ERR1913264.741973__1.741973	1262922__R6EAK5__BN487_00566
ERR1913264.742009__1.742009	39491__A0A173U130__ERE_16110
ERR1913264.742320__1.742320	1262922__R6E4W9__BN487_01554
ERR1913264.742459__1.742459	28117__B0MUY3__BHV66_00515
ERR1913264.742702__1.742702	823__E1YT73__NCTC11152_02675
ERR1913264.742798__1.742798	28117__B0MTI4__ALIPUT_00084
ERR1913264.742822__1.742822	487174__K0XLC3__HMPREF9448_01065
ERR1913264.743092__1.743092	2033405__A0A2L2WP67__PvtlMGM1_1949
ERR1913264.743360__1.743360	28117__B0MUX4__ALIPUT_00911
ERR1913264.743574__1.743574	1965537__A0A1Y4WQ40__B5E42_02845
ERR1913264.743597__1.743597	1099853__U5CMG7__NSB1T_07970
ERR1913264.743975__1.743975	552398__F4XDJ8__HMPREF0866_01919
