ERR1913293.45__1.45	216816__B3DQ11__APC1466_1528
ERR1913293.581352__1.581352	45851__D4RWR5__BHV86_06295
ERR1913293.581422__1.581422	33043__A0A174FIJ8__ERS852445_02217
ERR1913293.581552__1.581552	1897011__A0A1Q6RI93__BHW41_01175
ERR1913293.581510__1.581510	1897011__A0A1Q6RC34__BHW41_06455
ERR1913293.581529__1.581529	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913293.581638__1.581638	165179__D1PGU8__PREVCOP_06463
ERR1913293.581679__1.581679	1262917__R5AWQ2__BN456_01907
ERR1913293.581830__1.581830	1262917__R5AXC2__BN456_02072
ERR1913293.581892__1.581892	1262917__R5AJI3__BN456_01440
ERR1913293.582020__1.582020	39491__A0A395ZHW3__ERS852417_01359
ERR1913293.583245__1.583245	1262917__R5ANC5__BN456_00076
ERR1913293.583323__1.583323	487174__K0X3H8__HMPREF9448_02822
ERR1913293.583423__1.583423	1263000__R5EMC8__BN466_00317
ERR1913293.583474__1.583474	1262917__R5AX17__BN456_01972
ERR1913293.583765__1.583765	166486__D4KVN3__ERS852572_03944
ERR1913293.584065__1.584065	626932__G5H617__HMPREF9450_00377
ERR1913293.584080__1.584080	39491__D6DXZ8__DXB72_15035
ERR1913293.584123__1.584123	310297__R5VDA5__DXD04_03930
ERR1913293.584447__1.584447	1262917__R5B074__BN456_00067
ERR1913293.584600__1.584600	820__A0A174DZ97__SAMN05444418_101240
ERR1913293.584838__1.584838	40518__R5E2U9__RBL263_01292
ERR1913293.584864__1.584864	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913293.584886__1.584886	239935__B2URG9__CXU00_11290
ERR1913293.585015__1.585015	651822__GCA_000210715.1_00753
ERR1913293.585444__1.585444	1262917__R5B074__BN456_00067
ERR1913293.585735__1.585735	1897011__A0A1Q6RF88__BHW41_03295
ERR1913293.585856__1.585856	1262917__R5AQA1__BN456_01377
ERR1913293.585930__1.585930	33043__A0A173WU55__ganB_2
ERR1913293.586044__1.586044	1262736__R5Z0V0__BN496_00387
ERR1913293.586062__1.586062	384638__B7APR1__BACPEC_00667
ERR1913293.586064__1.586064	45851__D4S1P9__BUTYVIB_02021
ERR1913293.586141__1.586141	820__R7E9Z4__DXC68_06065
ERR1913293.586171__1.586171	1680__A0A0B5BKZ3__DXD60_01450
ERR1913293.586237__1.586237	1150298__A0A174K7D2__ERS852498_01147
ERR1913293.586311__1.586311	310298__B3JMZ2__BACCOP_03297
ERR1913293.586543__1.586543	820__A0A139K024__B5G17_02060
ERR1913293.586678__1.586678	853__A0A3E2V168__FAEPRAM212_00929
ERR1913293.586699__1.586699	239935__R6IZU4__CXT87_08085
ERR1913293.586949__1.586949	33043__D5HI36__ERS852400_02168
ERR1913293.587030__1.587030	28116__A0A3E5HTL2__SAMN05444282_12366
ERR1913293.587106__1.587106	820__A0A174F0C1__nreB
ERR1913293.587151__1.587151	454155__F3QX42__HMPREF9442_02776
ERR1913293.587352__1.587352	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913293.587399__1.587399	39491__A0A173SH34__EUR_24920
ERR1913293.587494__1.587494	901__B6WXX4__DESPIGER_1515
ERR1913293.587439__1.587439	39496__A5Z5I2__EUBVEN_00963
ERR1913293.587651__1.587651	1262917__R5AWS1__BN456_01932
ERR1913293.587805__1.587805	823__A0A355XP97__M092_2525
ERR1913293.588092__1.588092	39491__A0A395UZ82__EUR_31520
ERR1913293.588507__1.588507	328814__GCA_004558275.1_01846
ERR1913293.588526__1.588526	301301__G2SZM0__ERS852391_00594
ERR1913293.588540__1.588540	820__R9I324__HMPREF2141_02414
ERR1913293.588846__1.588846	387090__S0FEH6__BACCOPRO_03188
ERR1913293.589185__1.589185	40518__R5DXH2__DXD83_10135
ERR1913293.589383__1.589383	454154__G5SS69__HMPREF9441_02219
ERR1913293.589817__1.589817	1262917__R5AR72__BN456_01614
ERR1913293.590279__1.590279	116085__D4J4T4__DW747_02695
ERR1913293.590334__1.590334	1262917__R5B074__BN456_00067
ERR1913293.590717__1.590717	39485__C4Z1W5__ERS852492_01530
ERR1913293.590842__1.590842	1262917__R5AP22__BN456_00201
ERR1913293.591013__1.591013	1262753__R5B0C5__BN813_01872
ERR1913293.591380__1.591380	853__A0A173T8T3__DW882_06555
ERR1913293.591630__1.591630	1897011__A0A1Q6RGA3__BHW41_02665
ERR1913293.591587__1.591587	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913293.591771__1.591771	39491__A0A396FE96__EUR_00280
ERR1913293.591803__1.591803	384638__B7APR0__BACPEC_00666
ERR1913293.591861__1.591861	1263044__GCA_000433375.1_01140
ERR1913293.591881__1.591881	1897011__A0A1Q6RG62__BHW41_02455
ERR1913293.592148__1.592148	651822__GCA_000210715.1_00753
ERR1913293.592161__1.592161	454155__F3QTH9__HMPREF9442_01497
ERR1913293.592167__1.592167	1262917__R5AQ31__BN456_01284
ERR1913293.592253__1.592253	1262917__R5AKS2__BN456_02142
ERR1913293.592441__1.592441	820__A0A174DZ97__SAMN05444418_101240
ERR1913293.592651__1.592651	28116__R6DIL2__DXD69_10970
ERR1913293.592695__1.592695	1150298__A0A174MFD0__degA_1
ERR1913293.593026__1.593026	1262917__R5AXC2__BN456_02072
ERR1913293.593121__1.593121	1262911__R6GPC5__BN557_00852
ERR1913293.593305__1.593305	33043__A0A173RQ80__ERS852445_02211
ERR1913293.593327__1.593327	1263000__R5EDV4__BN466_01097
ERR1913293.593458__1.593458	1501392__A0A0B2JH74__PU94_06100
ERR1913293.593730__1.593730	1262917__R5AP58__BN456_01384
ERR1913293.593962__1.593962	1262917__R5AL85__BN456_00375
ERR1913293.594154__1.594154	39491__D4JIB6__ERS852417_01685
ERR1913293.594091__1.594091	1262917__R5AQG6__BN456_00469
ERR1913293.594289__1.594289	1262917__R5AN58__BN456_01031
ERR1913293.594530__1.594530	33043__A0A173YSY7__tilS
ERR1913293.594581__1.594581	39491__A0A395UUN5__EUBREC_0291
ERR1913293.594612__1.594612	820__A0A3E4QZJ7__C801_01798
ERR1913293.594917__1.594917	166486__D4L2C5__ERS852572_01688
ERR1913293.594998__1.594998	239935__A0A2N8IJI1__B5G29_04615
ERR1913293.595057__1.595057	46503__K5ZBF7__DD461_15285
ERR1913293.595111__1.595111	1680__R5GSL8__DXD60_03315
ERR1913293.595112__1.595112	1262917__R5ARE2__BN456_00150
ERR1913293.595320__1.595320	820__A0A174CG08__DXB62_13215
ERR1913293.595477__1.595477	166486__D4KRN2__ERS852572_01816
ERR1913293.595731__1.595731	821__A0A174JYD3__ERS852457_02610
ERR1913293.595784__1.595784	40518__R5DYP7__envC
ERR1913293.595864__1.595864	1263030__R5CTJ8__BN705_00389
ERR1913293.595867__1.595867	410072__A0A174AIQ9__DXD67_07210
ERR1913293.596319__1.596319	165179__A0A3E5EB26__CFT61_02800
ERR1913293.596324__1.596324	1550024__A0A0D8J0L2__ASJ35_04680
ERR1913293.596396__1.596396	39491__C4Z9K0__DXD95_07445
ERR1913293.596548__1.596548	820__A0A139K4W1__M093_0353
ERR1913293.596653__1.596653	1897011__A0A1Q6RC92__BHW41_06320
ERR1913293.596741__1.596741	944036__A0A196SDD1__AV274_3276
ERR1913293.596907__1.596907	165179__D1PES9__DXB80_11585
ERR1913293.596937__1.596937	1897011__A0A1Q6RE92__BHW41_04980
ERR1913293.597012__1.597012	820__A0A3E4XDK3__ERS852554_03650
ERR1913293.597060__1.597060	33043__D5HIU3__ERS852386_01914
ERR1913293.597134__1.597134	454155__F3QY50__HMPREF9442_03142
ERR1913293.597200__1.597200	45851__D4RZC5__BUTYVIB_01191
ERR1913293.597337__1.597337	1262917__R5AML2__BN456_00473
ERR1913293.597404__1.597404	301301__G2SZ87__RHOM_00995
ERR1913293.597551__1.597551	39491__A0A396FMF1__EUR_28700
ERR1913293.597639__1.597639	1262917__R5AS64__BN456_00169
ERR1913293.597672__1.597672	454154__G5SPR9__HMPREF9441_01352
ERR1913293.597900__1.597900	39491__A0A173SH34__EUR_24920
ERR1913293.597882__1.597882	1262736__R5Z0V0__BN496_00387
ERR1913293.597926__1.597926	1262917__R5AXC2__BN456_02072
ERR1913293.598266__1.598266	384638__B7AT14__BACPEC_01282
ERR1913293.598271__1.598271	301301__A0A395V8T7__ERS852391_01243
ERR1913293.598388__1.598388	1262917__R5B074__BN456_00067
ERR1913293.598656__1.598656	45851__D4RZ17__BUTYVIB_01081
ERR1913293.598784__1.598784	239935__A0A2N8HB50__CXU17_02615
ERR1913293.598988__1.598988	39485__C4Z0T2__ykvU
ERR1913293.599065__1.599065	1262917__R5AXK0__BN456_02133
ERR1913293.599152__1.599152	820__A0A174CG08__DXB62_13215
ERR1913293.599174__1.599174	1897011__A0A1Q6RCL1__BHW41_06190
ERR1913293.599210__1.599210	1262917__R5AWT2__BN456_01401
ERR1913293.599228__1.599228	1263030__R5CY77__BN705_00672
ERR1913293.599910__1.599910	39496__A5Z5I2__EUBVEN_00963
ERR1913293.600301__1.600301	1262917__R5AXK0__BN456_02133
ERR1913293.600391__1.600391	1262917__R5ASX8__BN456_01240
ERR1913293.600499__1.600499	384638__B7APR1__BACPEC_00667
ERR1913293.601346__1.601346	47678__R5UT79__ERS852558_03890
ERR1913293.601508__1.601508	820__R9I324__HMPREF2141_02414
ERR1913293.601628__1.601628	1262917__R5ARE2__BN456_00150
ERR1913293.601630__1.601630	651822__GCA_000210715.1_00753
ERR1913293.601713__1.601713	820__A0A3E4QZJ7__C801_01798
ERR1913293.601718__1.601718	1262917__R5AK62__BN456_00212
ERR1913293.601747__1.601747	572010__fusA
ERR1913293.601757__1.601757	1472761__GCA_002159295.1_01982
ERR1913293.601810__1.601810	310297__B5D0I4__gldH
ERR1913293.601921__1.601921	1262911__R6GXH0__BN557_00389
ERR1913293.602206__1.602206	1262743__R5C054__BN727_01980
ERR1913293.602453__1.602453	301301__A0A395V928__RHOM_04950
ERR1913293.602481__1.602481	853__A0A174BZY1__xerD_1
ERR1913293.602489__1.602489	39486__R6SD97__DXD10_02865
ERR1913293.602510__1.602510	1381__group_1158
ERR1913293.602573__1.602573	1263000__R5EET9__BN466_01245
ERR1913293.602778__1.602778	1262917__R5AP34__BN456_00216
ERR1913293.603158__1.603158	674529__A0A174P761__SAMN05444400_106145
ERR1913293.603385__1.603385	310298__B3JPN8__BACCOP_03837
ERR1913293.603478__1.603478	45851__D4S283__BUTYVIB_02205
ERR1913293.603614__1.603614	944036__A0A196SN80__AV274_0940
ERR1913293.603959__1.603959	28118__F9Z4Q7__DER54_08070
ERR1913293.603989__1.603989	45851__D4S0B1__BHV86_10120
ERR1913293.604199__1.604199	1897011__A0A1Q6RIF5__BHW41_01365
ERR1913293.604404__1.604404	1262917__R5AX10__BN456_00253
ERR1913293.604593__1.604593	1263000__R5EAZ0__BN466_00537
ERR1913293.604684__1.604684	820__A0A3E4WA06__ERS852554_03404
ERR1913293.604644__1.604644	1897011__A0A1Q6RH85__BHW41_01750
ERR1913293.604791__1.604791	28118__F9Z3U6__B5F99_03365
ERR1913293.604903__1.604903	387090__S0F5N2__BACCOPRO_00978
ERR1913293.604994__1.604994	1262917__R5ARE2__BN456_00150
ERR1913293.605086__1.605086	820__A0A3E4VXP2__yesR
ERR1913293.605134__1.605134	1262917__R5AVT6__BN456_01663
ERR1913293.605137__1.605137	33043__D5HIC8__vspIM
ERR1913293.605193__1.605193	1262992__R5D070__BN795_00072
ERR1913293.605458__1.605458	384638__B7APR0__BACPEC_00666
ERR1913293.605529__1.605529	1263011__R6DWR3__BN553_00805
ERR1913293.605607__1.605607	1263000__R5EF36__BN466_01303
ERR1913293.605613__1.605613	552398__F4XHU2__HMPREF0866_03196
ERR1913293.605640__1.605640	901__B6WTT7__DESPIG_01494
ERR1913293.605645__1.605645	1263000__R5EBF6__BN466_00505
ERR1913293.605757__1.605757	310297__B5CUZ5__BACPLE_00521
ERR1913293.605837__1.605837	1263044__GCA_000433375.1_01144
ERR1913293.605847__1.605847	820__A0A1T4IYF4__mprA_1
ERR1913293.605875__1.605875	1628085__A0A374VKR8__C7386_1272
ERR1913293.605983__1.605983	1262736__R5Y4N0__BN496_00283
ERR1913293.606078__1.606078	1680__R5GR82__AD0028_0014
ERR1913293.606096__1.606096	1680__A7A7Z9__AAX71_05385
ERR1913293.606353__1.606353	39491__A0A396FQV7__T1815_10751
ERR1913293.606634__1.606634	1262917__R5ALZ5__BN456_00616
ERR1913293.607021__1.607021	357276__I9FRW5__B5F95_21685
ERR1913293.606952__1.606952	820__A0A3E4G826__C801_01612
ERR1913293.607033__1.607033	1262911__R6HHR1__BN557_01622
ERR1913293.607305__1.607305	1262911__R6GPA3__BN557_00827
ERR1913293.607322__1.607322	39491__C4ZAT2__ERE_28440
ERR1913293.607348__1.607348	1262736__R5YX38__BN496_01145
ERR1913293.607442__1.607442	674529__A0A174VGZ4__SAMN05444400_14914
ERR1913293.607471__1.607471	39491__A0A0M6WPN4__DXB69_06325
ERR1913293.607539__1.607539	1628085__A0A374VL33__C7386_102212
ERR1913293.607561__1.607561	40518__R5E5I9__yvhJ_2
ERR1913293.607694__1.607694	1262917__R5AXK0__BN456_02133
ERR1913293.608297__1.608297	1897011__A0A1Q6RE59__BHW41_04605
ERR1913293.608303__1.608303	39485__A0A174YYW2__benM
ERR1913293.608382__1.608382	820__A0A174LJB2__HMPREF1072_04112
ERR1913293.608582__1.608582	301301__A0A395V7G5__RHOM_16755
ERR1913293.608673__1.608673	39491__C4ZHS4__EUR_24420
ERR1913293.609280__1.609280	853__A0A173T0Y8__CGS54_07215
ERR1913293.609585__1.609585	39491__A0A396FEW6__T1815_18721
ERR1913293.610007__1.610007	853__A0A173XRA8__CGS56_09290
ERR1913293.610073__1.610073	1262917__R5AK62__BN456_00212
ERR1913293.610158__1.610158	820__E5VA63__DXC80_01025
ERR1913293.610302__1.610302	820__A0A139KHX1__HMPREF2141_00289
ERR1913293.610394__1.610394	357276__B6W5Q9__HMPREF1063_03125
ERR1913293.610547__1.610547	1897011__A0A1Q6RE52__BHW41_04690
ERR1913293.610576__1.610576	1262917__R5AX17__BN456_01972
ERR1913293.610683__1.610683	214856__A0A173Z1B0__ERS852447_00765
ERR1913293.610821__1.610821	28116__A0A078Q626__HMPREF1070_02735
ERR1913293.610857__1.610857	40518__R5DUU0__DXD93_03985
ERR1913293.610937__1.610937	1628085__A0A2U1BC41__C7386_10839
ERR1913293.610945__1.610945	1262917__R5AXS0__BN456_02198
ERR1913293.611010__1.611010	301301__A0A395V944__ERS852391_00514
ERR1913293.611351__1.611351	39491__A0A174K265__DXB76_05915
ERR1913293.611489__1.611489	853__A0A173TAZ8__DWZ46_14590
ERR1913293.611821__1.611821	1262917__R5AJ42__BN456_01672
ERR1913293.612136__1.612136	853__A0A3E2V168__FAEPRAM212_00929
ERR1913293.612181__1.612181	1262917__R5AS71__BN456_00179
ERR1913293.612349__1.612349	1263000__R5EFJ5__BN466_01372
ERR1913293.612635__1.612635	310298__B3JJX9__BACCOP_02203
ERR1913293.612661__1.612661	1263000__R5EQL2__BN466_00892
ERR1913293.612688__1.612688	301301__A0A395VG51__RHOM_05870
ERR1913293.613291__1.613291	33043__A8SWM2__ERS852575_01910
ERR1913293.613408__1.613408	823__A0A355XJ56__DDY96_07685
ERR1913293.613857__1.613857	1897011__A0A1Q6RE92__BHW41_04980
ERR1913293.614067__1.614067	1262917__R5ARE2__BN456_00150
ERR1913293.614113__1.614113	39491__A0A173U130__ERE_16110
ERR1913293.614145__1.614145	33043__D5HFE5__ERS852445_00644
ERR1913293.614207__1.614207	1150298__R7JV71__ERS852498_00755
ERR1913293.614333__1.614333	552398__F4XHN7__HMPREF0866_03141
ERR1913293.614373__1.614373	239935__A0A2N8I8X8__B5G29_00185
ERR1913293.614489__1.614489	1263000__R5EKG2__BN466_02040
ERR1913293.614750__1.614750	1262917__R5ASX8__BN456_01240
ERR1913293.614817__1.614817	1628085__A0A2U1BHS7__C7386_101494
ERR1913293.614948__1.614948	1262917__R5AQ31__BN456_01284
ERR1913293.615070__1.615070	384638__B7APR0__BACPEC_00666
ERR1913293.615086__1.615086	1263006__R6LRF6__BN515_00540
ERR1913293.615202__1.615202	1897011__A0A1Q6RG59__BHW41_02475
ERR1913293.615479__1.615479	1897011__A0A1Q6RDI3__BHW41_05415
ERR1913293.615711__1.615711	1262917__R5B074__BN456_00067
ERR1913293.616230__1.616230	1262917__R5ANI9__BN456_01166
ERR1913293.616249__1.616249	820__A0A139JRS5__HMPREF1073_04025
ERR1913293.616396__1.616396	1262917__R5APL3__BN456_01119
ERR1913293.616415__1.616415	1628085__A0A396MQV4__C7386_1213
ERR1913293.616591__1.616591	1262917__R5AJI3__BN456_01440
ERR1913293.616631__1.616631	820__A0A3E4VXP2__yesR
ERR1913293.616612__1.616612	33043__D5HGR0__rpfC_2
ERR1913293.616706__1.616706	1262988__R7N3Y4__BN816_00210
ERR1913293.616853__1.616853	1897011__A0A1Q6RH97__BHW41_01945
ERR1913293.616940__1.616940	165179__A0A3E5AHK7__PREVCOP_04289
ERR1913293.617014__1.617014	1263000__R5EQI3__BN466_00125
ERR1913293.617033__1.617033	853__A0A173XRA8__CGS56_09290
ERR1913293.617309__1.617309	39491__A0A396FRE7__EUR_27520
ERR1913293.617624__1.617624	410072__C0B686__ERS852481_00939
ERR1913293.617633__1.617633	1263000__R5EXT3__BN466_02213
ERR1913293.617653__1.617653	820__A7VAR9__ERS852421_00197
ERR1913293.617806__1.617806	1262917__R5AN38__BN456_01011
ERR1913293.617872__1.617872	54__group_3441
ERR1913293.617885__1.617885	853__A0A2A7B1Y7__C7K05_11930
ERR1913293.618135__1.618135	853__A0A2A7AXC8__C4N21_14120
ERR1913293.618179__1.618179	446660__GCA_003428235.1_02154
ERR1913293.618311__1.618311	384638__B7APR1__BACPEC_00667
ERR1913293.618363__1.618363	1262917__R5ANP2__BN456_01221
ERR1913293.618461__1.618461	40520__R7D5D8__DXD81_09550
ERR1913293.618697__1.618697	40518__R5E1J7__RBL236_02062
ERR1913293.618756__1.618756	572010__group_1550
ERR1913293.619248__1.619248	1262917__R5AMM7__BN456_01546
ERR1913293.619279__1.619279	674529__R6V187__DXB21_21665
ERR1913293.619590__1.619590	821__A0A0P0M5Z6__BVU_0429
ERR1913293.619777__1.619777	33043__D5HIE6__ERS852445_01796
ERR1913293.620213__1.620213	1897011__A0A1Q6RGZ3__BHW41_01455
ERR1913293.620242__1.620242	820__A0A396EUU8__luxQ_3
ERR1913293.620332__1.620332	28117__B0MY36__BHV66_05185
ERR1913293.620813__1.620813	357276__A0A0K2HDP3__IY41_00705
ERR1913293.621268__1.621268	820__A0A3E4GA19__SAMN05444418_10562
ERR1913293.621627__1.621627	487174__K0X2Q8__DDY40_04590
ERR1913293.621692__1.621692	1262917__R5AP34__BN456_00216
ERR1913293.622067__1.622067	1150298__A0A174HB98__ERS852406_02617
ERR1913293.622076__1.622076	820__R9I3N4__M093_0061
ERR1913293.622272__1.622272	1262911__R6H1D2__BN557_00855
ERR1913293.622435__1.622435	674529__A0A174I6X2__DXB21_05420
ERR1913293.622517__1.622517	39491__A0A395ZL98__DXB99_00620
ERR1913293.622681__1.622681	45851__D4RYD1__ytvI
ERR1913293.623022__1.623022	626932__G5H9X8__HMPREF9450_01443
ERR1913293.623289__1.623289	821__R7P1Q7__M099_2990
ERR1913293.623377__1.623377	1897011__A0A1Q6RI93__BHW41_01175
ERR1913293.623488__1.623488	1262917__R5ARP6__BN456_01765
ERR1913293.623795__1.623795	1262917__R5AP34__BN456_00216
ERR1913293.623929__1.623929	40518__R5DPE0__DXD86_06515
ERR1913293.624415__1.624415	853__D4JY61__C4N21_10560
ERR1913293.624486__1.624486	357276__A0A076IRX7__HMPREF1064_00526
ERR1913293.624491__1.624491	1150298__A0A174EBT8__ERS852406_01739
ERR1913293.624558__1.624558	745368__A0A1T4XVH8__SAMN02745178_02336
ERR1913293.624737__1.624737	39485__C4Z5L9__ERS852490_00668
ERR1913293.624973__1.624973	821__A0A174JYD3__ERS852457_02610
ERR1913293.625180__1.625180	820__A0A139JUD3__DXC91_19380
ERR1913293.625449__1.625449	820__A0A374QGD2__ERS852421_02382
ERR1913293.625420__1.625420	820__A0A3E5BMG9__DXD40_05130
ERR1913293.625576__1.625576	820__A0A3E4W4Y7__B5G17_02055
ERR1913293.625638__1.625638	821__A0A3E4XY72__NCTC10583_01067
ERR1913293.625775__1.625775	1263000__R5EC87__BN466_00713
ERR1913293.626026__1.626026	1262700__R5XC07__BN695_01332
ERR1913293.626012__1.626012	39485__C4Z434__tilS
ERR1913293.626145__1.626145	487174__K0X429__HMPREF9448_00932
ERR1913293.626096__1.626096	1263000__R5EGY6__BN466_00973
ERR1913293.626104__1.626104	820__A0A174CK74__DXB48_07060
ERR1913293.626215__1.626215	1262992__R5D224__BN795_00203
ERR1913293.626235__1.626235	1263107__GCA_000436995.1_00132
ERR1913293.626670__1.626670	1263000__R5EDV4__BN466_01097
ERR1913293.626889__1.626889	1262882__R5N5C3__BN519_01664
ERR1913293.627382__1.627382	1262917__R5AKS2__BN456_02142
ERR1913293.627704__1.627704	1262917__R5APN9__BN456_02126
ERR1913293.628551__1.628551	853__A0A174BA00__DW905_01145
ERR1913293.628570__1.628570	40518__R5E426__DXD93_04485
ERR1913293.628705__1.628705	1262917__R5AJI3__BN456_01440
ERR1913293.628854__1.628854	28111__E5X118__NCTC11155_02425
ERR1913293.629113__1.629113	1897011__A0A1Q6RH12__BHW41_01505
ERR1913293.629264__1.629264	239935__A0A2N8HUU6__CXT90_06150
ERR1913293.629362__1.629362	45851__D4RY81__BUTYVIB_00786
ERR1913293.629753__1.629753	410072__A0A173XQG6__ERS852574_01620
ERR1913293.629939__1.629939	410072__A0A3E4GT98__ERS852574_02351
ERR1913293.630052__1.630052	1262917__R5AVT6__BN456_01663
ERR1913293.630206__1.630206	1150298__A0A174GQV8__ERS852406_02454
ERR1913293.630295__1.630295	1262917__R5AX10__BN456_00253
ERR1913293.630329__1.630329	1628085__A0A2U1B4W6__C7386_11942
ERR1913293.630474__1.630474	1262736__R5YMY1__BN496_00701
ERR1913293.630486__1.630486	1262917__R5B0J7__BN456_01197
ERR1913293.630545__1.630545	820__A0A078S4C2__ERS417307_00828
ERR1913293.630552__1.630552	1262917__R5AVT6__BN456_01663
ERR1913293.630710__1.630710	1262917__R5ANI9__BN456_01166
ERR1913293.630718__1.630718	28118__F9Z750__Odosp_3044
ERR1913293.630742__1.630742	1262917__R5ATC3__BN456_01418
ERR1913293.630923__1.630923	1897011__A0A1Q6RCW9__BHW41_06050
ERR1913293.630979__1.630979	39491__A0A396FUZ3__phoR_1
ERR1913293.630958__1.630958	1262992__R5DH34__BN795_00678
ERR1913293.630971__1.630971	28117__B0MU53__ALIPUT_00569
ERR1913293.631011__1.631011	40518__R5E1J7__RBL236_02062
ERR1913293.631048__1.631048	1387353__GCA_001956985.1_03594
ERR1913293.631132__1.631132	46503__K5ZAK9__NCTC13052_03308
ERR1913293.631295__1.631295	1263000__R5EHB0__BN466_01647
ERR1913293.631533__1.631533	1897011__A0A1Q6RE67__BHW41_04635
ERR1913293.631852__1.631852	820__A0A174DZ97__SAMN05444418_101240
ERR1913293.632027__1.632027	944036__A0A196SEQ5__AV274_2738
ERR1913293.632115__1.632115	40518__R5DPE0__DXD86_06515
ERR1913293.632727__1.632727	371601__I9A9Z3__CW3_2765
ERR1913293.632994__1.632994	820__A0A174F0C1__nreB
ERR1913293.633138__1.633138	820__A0A174CK74__DXB48_07060
ERR1913293.633494__1.633494	165179__A0A3E4SID1__DXB80_01945
ERR1913293.633831__1.633831	1262917__R5AMI0__BN456_01476
ERR1913293.634121__1.634121	1262917__R5ANI9__BN456_01166
ERR1913293.634292__1.634292	1262917__R5AML2__BN456_00473
ERR1913293.634487__1.634487	33039__A0A173VTT4__frdB_1
ERR1913293.634599__1.634599	820__A0A174Q0F0__DXB48_08080
ERR1913293.634623__1.634623	853__A0A174BZY1__xerD_1
ERR1913293.634863__1.634863	1262917__R5ATC3__BN456_01418
ERR1913293.634800__1.634800	821__A0A0P0M5Z6__BVU_0429
ERR1913293.635073__1.635073	1263000__R5EXT3__BN466_02213
ERR1913293.635390__1.635390	116085__A0A3E2TF13__mobB
ERR1913293.635484__1.635484	1263000__R5EFJ5__BN466_01372
ERR1913293.635596__1.635596	820__R9I3Q7__HMPREF1072_01668
ERR1913293.635717__1.635717	1262917__R5B074__BN456_00067
ERR1913293.635825__1.635825	901__B6WR17__DHV46_00835
ERR1913293.635864__1.635864	1262917__R5AJI0__BN456_01803
ERR1913293.635909__1.635909	1262917__R5AP34__BN456_00216
ERR1913293.636172__1.636172	33043__A8SPT5__yfiN_2
ERR1913293.636355__1.636355	1262917__R5AP22__BN456_00201
ERR1913293.636507__1.636507	1263000__R5EZ76__BN466_00319
ERR1913293.636607__1.636607	28117__B0MY45__ALIPUT_02164
ERR1913293.636834__1.636834	1105031__J1H3W2__HMPREF1141_2783
ERR1913293.636863__1.636863	1263000__R5EMC1__BN466_00539
ERR1913293.636888__1.636888	853__A0A2A7B1Y7__C7K05_11930
ERR1913293.636892__1.636892	387090__S0F3Z2__BACCOPRO_00057
ERR1913293.636902__1.636902	1262736__R5Y6X9__BN496_00558
ERR1913293.637138__1.637138	671266__GCA_004801615.1_01429
ERR1913293.637149__1.637149	820__A0A174CG08__DXB62_13215
ERR1913293.637203__1.637203	357276__I8WC65__EL88_00520
ERR1913293.637453__1.637453	310298__B3JED9__BACCOP_00230
ERR1913293.637454__1.637454	39491__A0A395ZDC6__addB
ERR1913293.637475__1.637475	853__A0A173XRA8__CGS56_09290
ERR1913293.637560__1.637560	487174__K0X3E9__DDY40_04905
ERR1913293.637712__1.637712	1262746__R5SN04__BN750_02419
ERR1913293.637652__1.637652	45851__D4RZ84__BUTYVIB_01149
ERR1913293.637960__1.637960	310297__B5CVA3__DXD04_03885
ERR1913293.637926__1.637926	820__A0A139K024__B5G17_02060
ERR1913293.638050__1.638050	853__A0A173YYY4__DWZ04_09420
ERR1913293.638172__1.638172	45851__D4RYZ4__BHV86_03155
ERR1913293.638267__1.638267	820__A0A139KHX1__HMPREF2141_00289
ERR1913293.638425__1.638425	1262917__R5AX17__BN456_01972
ERR1913293.638431__1.638431	820__A0A3E4G3J9__ERS852459_02265
ERR1913293.638499__1.638499	384638__B7APR0__BACPEC_00666
ERR1913293.638511__1.638511	1897011__A0A1Q6RDI4__BHW41_05605
ERR1913293.638578__1.638578	33043__A0A174BZH6__ERS852400_01477
ERR1913293.638612__1.638612	1262917__R5AJI3__BN456_01440
ERR1913293.638912__1.638912	853__A0A173XRA8__CGS56_09290
ERR1913293.638973__1.638973	572010__ydhV
ERR1913293.639250__1.639250	301301__A0A174C8W8__ERS852391_01378
ERR1913293.639293__1.639293	1263000__R5EHI3__BN466_01684
ERR1913293.639353__1.639353	1262917__R5ALP9__BN456_02079
ERR1913293.639465__1.639465	1263000__R5EXT3__BN466_02213
ERR1913293.640535__1.640535	1263000__R5F0H8__BN466_00254
ERR1913293.641027__1.641027	1262917__R5AVT6__BN456_01663
ERR1913293.641029__1.641029	246787__A0A3D6AWM8__BACCELL_01963
ERR1913293.641378__1.641378	674529__R6W6H9__SAMN05444400_109129
ERR1913293.641390__1.641390	1628085__A0A2U1BCM4__C7386_10792
ERR1913293.641470__1.641470	1262917__R5AXP5__BN456_02173
ERR1913293.641656__1.641656	39485__C4Z6V7__walK
ERR1913293.642321__1.642321	944036__A0A196SEQ5__AV274_2738
ERR1913293.642367__1.642367	1262911__R6H0U7__BN557_01104
ERR1913293.642455__1.642455	1262917__R5AYV2__BN456_00612
ERR1913293.642612__1.642612	1262917__R5AM07__BN456_02175
