ERR1913222.220__1.220	39485__A0A1Q6PHM3__ERS852490_03067
ERR1913222.1062195__1.1062195	45851__D4RXC9__BUTYVIB_00480
ERR1913222.1062261__1.1062261	45851__D4RWY2__BHV86_07415
ERR1913222.1062447__1.1062447	2173__A5UNC4__METSMIALI_00562
ERR1913222.1062598__1.1062598	45851__D4S1A8__BHV86_08940
ERR1913222.1062697__1.1062697	45851__D4S1P9__BUTYVIB_02021
ERR1913222.1062763__1.1062763	40520__R7DC80__RUMOBE_00153
ERR1913222.1062765__1.1062765	1263006__R6LY93__BN515_00695
ERR1913222.1062876__1.1062876	165179__D1PAJ7__PREVCOP_04222
ERR1913222.1063082__1.1063082	2173__R7PTP8__METSMIF1_02137
ERR1913222.1063094__1.1063094	1262761__R6QR72__BN606_01181
ERR1913222.1063361__1.1063361	1262760__R5LP97__BN758_00903
ERR1913222.1063461__1.1063461	39491__D6E4H2__DXB99_00485
ERR1913222.1063481__1.1063481	39485__A0A175A403__EUBELI_20577
ERR1913222.1063585__1.1063585	165179__D1PHC0__PREVCOP_06640
ERR1913222.1063833__1.1063833	45851__D4RYQ0__BUTYVIB_00958
ERR1913222.1063860__1.1063860	45851__D4RWP4__BHV86_06190
ERR1913222.1063992__1.1063992	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913222.1064306__1.1064306	45851__D4S1J8__BUTYVIB_01969
ERR1913222.1064351__1.1064351	821__A0A396FEL8__C5Z04_06030
ERR1913222.1064369__1.1064369	39485__C4Z028__ERS852492_00100
ERR1913222.1064677__1.1064677	745368__A0A1T4WBJ5__SAMN02745178_00329
ERR1913222.1064808__1.1064808	39485__C4Z4X5__ERS852492_02859
ERR1913222.1065155__1.1065155	45851__D4RYQ1__BHV86_00310
ERR1913222.1065353__1.1065353	45851__D4RWY2__BHV86_07415
ERR1913222.1065496__1.1065496	45851__R5LGC3__BHV86_03695
ERR1913222.1065699__1.1065699	45851__D4RWN6__BUTYVIB_00072
ERR1913222.1065767__1.1065767	1550024__A0A0D8IWE6__ASJ35_08175
ERR1913222.1065854__1.1065854	45851__D4RWN7__BHV86_06150
ERR1913222.1065885__1.1065885	33039__D4M6R9__truA_4
ERR1913222.1065975__1.1065975	46503__R6X8Q3__fepA_2
ERR1913222.1066374__1.1066374	28130__E1KR94__HMPREF0654_09470
ERR1913222.1066416__1.1066416	28130__E1KR94__HMPREF0654_09470
ERR1913222.1066667__1.1066667	1262760__R5LWF0__BN758_02075
ERR1913222.1066717__1.1066717	147206__GCF_000156215.1_01773
ERR1913222.1066862__1.1066862	45851__D4S2J5__BUTYVIB_02317
ERR1913222.1067106__1.1067106	45851__D4RXN5__BUTYVIB_00586
ERR1913222.1067155__1.1067155	458033__GCA_001482755.1_02203
ERR1913222.1067348__1.1067348	39485__A0A175A403__EUBELI_20577
ERR1913222.1067598__1.1067598	45851__D4RZ86__BHV86_03570
ERR1913222.1067656__1.1067656	1262886__R6QCM9__BN563_01508
ERR1913222.1067773__1.1067773	39486__B0G4W7__DXD50_05105
ERR1913222.1067834__1.1067834	2173__A0A1D2WW26__METSMIALI_01077
ERR1913222.1067877__1.1067877	1284775__A0A095Y4Z7__HMPREF1640_07200
ERR1913222.1067851__1.1067851	45851__D4S0C7__BHV86_10030
ERR1913222.1067988__1.1067988	33043__A0A173YYE7__ERS852445_00670
ERR1913222.1068082__1.1068082	1263006__R6LKA3__BN515_00205
ERR1913222.1068110__1.1068110	2022527__A0A264YAF4__CHL74_02550
ERR1913222.1068216__1.1068216	1262825__R5ED15__BN724_00006
ERR1913222.1068219__1.1068219	1262911__R6H1B2__BN557_00840
ERR1913222.1068457__1.1068457	745368__A0A1T4Y119__SAMN02745178_02629
ERR1913222.1068616__1.1068616	39485__A0A174YR79__EUBELI_20418
ERR1913222.1069295__1.1069295	165179__A0A3E5EBM5__DXC61_02170
ERR1913222.1069359__1.1069359	39491__A0A396FIZ8__ERE_20410
ERR1913222.1069370__1.1069370	1262882__R5MIC9__BN519_00834
ERR1913222.1069551__1.1069551	1262992__R5DC38__BN795_00276
ERR1913222.1069685__1.1069685	1588755__A0A134AFL4__HMPREF3181_00720
ERR1913222.1069748__1.1069748	1262945__R6Z392__BN600_01644
ERR1913222.1069752__1.1069752	1263005__R6FL42__BN497_00050
ERR1913222.1069841__1.1069841	853__A0A2A7ATM9__DWZ89_13645
ERR1913222.1069861__1.1069861	1262760__R5LTZ6__BN758_01715
ERR1913222.1069976__1.1069976	1262882__R5N5H2__BN519_01493
ERR1913222.1070064__1.1070064	45851__D4RYU3__BUTYVIB_01007
ERR1913222.1070332__1.1070332	1262760__R5LWP6__BN758_02109
ERR1913222.1070474__1.1070474	821__R9HFW2__DXD01_00365
ERR1913222.1070655__1.1070655	39485__C4Z058__ERS852492_00130
ERR1913222.1070669__1.1070669	45851__D4RW73__BHV86_06745
ERR1913222.1070714__1.1070714	1262988__R7N3Y4__BN816_00210
ERR1913222.1070716__1.1070716	165179__D1PCT4__DXB80_09470
ERR1913222.1071142__1.1071142	39485__A0A174ZG53__ERS852492_00924
ERR1913222.1071848__1.1071848	88431__A0A174RXE9__ERS852526_02186
ERR1913222.1071912__1.1071912	1262825__R5DZJ1__BN724_00084
ERR1913222.1072009__1.1072009	45851__D4S141__BHV86_05760
ERR1913222.1072111__1.1072111	39485__C4Z390__EUBELI_01689
ERR1913222.1072124__1.1072124	39485__C4Z0G6__spoIVB
ERR1913222.1072135__1.1072135	45851__D4S1P8__BUTYVIB_02020
ERR1913222.1072162__1.1072162	45851__D4RZD5__BUTYVIB_01201
ERR1913222.1072185__1.1072185	2033405__A0A2L2WP67__PvtlMGM1_1949
ERR1913222.1072217__1.1072217	165179__A0A3E5E3D6__DXC61_05750
ERR1913222.1072222__1.1072222	165179__R6CNX7__DXB80_02200
ERR1913222.1072419__1.1072419	2173__A0A1D2WST6__METSMIALI_00213
ERR1913222.1072927__1.1072927	165179__D1P8V8__DXC61_01940
ERR1913222.1073072__1.1073072	39485__A0A174Z2K9__ERS852490_02052
ERR1913222.1073540__1.1073540	33039__D4M325__ERS852390_01663
ERR1913222.1073567__1.1073567	39491__A0A396FTE5__ERS852417_01346
ERR1913222.1073851__1.1073851	1262882__R5MLP0__BN519_01597
ERR1913222.1073894__1.1073894	1262882__R5MGX3__BN519_00046
ERR1913222.1074034__1.1074034	1263000__R5EKG2__BN466_02040
ERR1913222.1074096__1.1074096	1262988__R7N7W1__BN816_00176
ERR1913222.1074302__1.1074302	39490__U2PBV8__ERS852448_00639
ERR1913222.1074538__1.1074538	39485__C4Z6B7__EUBELI_20364
ERR1913222.1075172__1.1075172	1262959__R5XVI8__BN680_00158
ERR1913222.1075427__1.1075427	384638__B7APN3__BACPEC_00639
ERR1913222.1075534__1.1075534	1739394__A0A1F1EEP9__HMPREF2890_01050
ERR1913222.1075535__1.1075535	39485__A0A174YNW2__cph2_3
ERR1913222.1075559__1.1075559	1262761__R6R4K8__BN606_01919
ERR1913222.1075642__1.1075642	45851__D4RXL7__BUTYVIB_00568
ERR1913222.1075709__1.1075709	39486__R6S4F3__DXD84_10345
ERR1913222.1075796__1.1075796	2173__A0A1D2WT15__BK798_04490
ERR1913222.1075924__1.1075924	100886__E2NQY0__CATMIT_00983
ERR1913222.1076086__1.1076086	165179__D1PDG7__DXB80_11180
ERR1913222.1076118__1.1076118	45851__D4S141__BHV86_05760
ERR1913222.1076160__1.1076160	45851__D4RY81__BUTYVIB_00786
ERR1913222.1076299__1.1076299	1535__A7VU76__CLOLEP_02122
ERR1913222.1076475__1.1076475	45851__R5LRY3__BUTYVIB_01906
ERR1913222.1076558__1.1076558	45851__D4RZD5__BUTYVIB_01201
ERR1913222.1076658__1.1076658	39491__C4ZHS4__EUR_24420
ERR1913222.1076755__1.1076755	1262980__R5BT50__BN814_00103
ERR1913222.1076783__1.1076783	39485__R5ZT06__EUBELI_20526
ERR1913222.1076932__1.1076932	2173__A0A1D2WWF3__METSMIALI_00379
ERR1913222.1077078__1.1077078	45851__D4RZ82__BHV86_03550
ERR1913222.1077034__1.1077034	45851__D4S1R9__BHV86_08150
ERR1913222.1077266__1.1077266	45851__D4S0F7__BUTYVIB_01576
ERR1913222.1077466__1.1077466	40518__R5E6G1__DXD83_06815
ERR1913222.1078463__1.1078463	1262911__R6H1D2__BN557_00855
ERR1913222.1078584__1.1078584	1263006__R6LI44__BN515_01329
ERR1913222.1078720__1.1078720	45851__D4RZ84__BUTYVIB_01149
ERR1913222.1078848__1.1078848	45851__D4RW36__BUTYVIB_00166
ERR1913222.1078927__1.1078927	1262911__R6H174__BN557_01246
ERR1913222.1079221__1.1079221	39485__A0A174ZA08__EUBELI_01019
ERR1913222.1079351__1.1079351	45851__R5LYR7__BHV86_03710
ERR1913222.1079533__1.1079533	1735__B7CCF2__EUBIFOR_01879
ERR1913222.1080189__1.1080189	1262761__R6RUC6__BN606_00092
ERR1913222.1080277__1.1080277	39485__A0A174YZE2__spoIIE
ERR1913222.1080304__1.1080304	39485__A0A174YS20__EUBELI_20202
ERR1913222.1080348__1.1080348	1150298__A0A174DSD1__dacB_3
ERR1913222.1080379__1.1080379	1262825__R5EL82__BN724_00573
ERR1913222.1080680__1.1080680	2173__R7PWI5__rplJ
ERR1913222.1080703__1.1080703	45851__D4S031__BHV86_10500
ERR1913222.1080801__1.1080801	39491__A0A395UYM9__DXC13_07980
ERR1913222.1080963__1.1080963	1262924__R7HSB4__BN585_00816
ERR1913222.1081143__1.1081143	39485__C4Z355__ERS852490_01971
ERR1913222.1081188__1.1081188	821__U6RDC2__DXD46_15675
ERR1913222.1081220__1.1081220	45851__D4RXM8__BHV86_03015
ERR1913222.1081416__1.1081416	165179__D1PAJ7__PREVCOP_04222
ERR1913222.1081708__1.1081708	131111__K0YU56__HMPREF9241_00720
ERR1913222.1082004__1.1082004	100886__E2NRN8__CATMIT_01243
ERR1913222.1082511__1.1082511	74426__yccM
ERR1913222.1082663__1.1082663	45851__R5LHP6__BUTYVIB_00994
ERR1913222.1082699__1.1082699	1150298__A0A174DQT6__ERS852498_00506
ERR1913222.1082744__1.1082744	45851__D4S0P1__BUTYVIB_01660
ERR1913222.1082775__1.1082775	100886__E2NWA3__ERS852383_04673
ERR1913222.1082920__1.1082920	39485__A0A174Z2K9__ERS852490_02052
ERR1913222.1083024__1.1083024	1262760__R5LC36__BN758_01814
ERR1913222.1083055__1.1083055	39490__R5U5S2__ERS852448_00874
ERR1913222.1083239__1.1083239	45851__D4S0D7__BUTYVIB_01556
ERR1913222.1083349__1.1083349	45851__D4RWS3__BUTYVIB_00110
ERR1913222.1083510__1.1083510	216816__A0A2U0BT35__BL1206_1860
ERR1913222.1083634__1.1083634	45851__D4RZC9__BUTYVIB_01195
ERR1913222.1083861__1.1083861	384638__B7ASI3__BACPEC_02038
ERR1913222.1084028__1.1084028	28117__B0MY40__BHV66_05170
ERR1913222.1084033__1.1084033	28118__F9ZCH6__DHW44_07090
ERR1913222.1084258__1.1084258	45851__D4RZ17__BUTYVIB_01081
ERR1913222.1084295__1.1084295	33039__R6P270__sleB_2
ERR1913222.1084493__1.1084493	1550024__G9RXY7__TQ39_00100
ERR1913222.1085242__1.1085242	88431__A0A3D0EYE9__rafA
ERR1913222.1085336__1.1085336	165179__R6XIF8__DXC61_07265
ERR1913222.1085515__1.1085515	45851__D4S1B2__BHV86_08920
ERR1913222.1085593__1.1085593	165179__R6XIF8__DXC61_07265
ERR1913222.1085613__1.1085613	45851__D4RYZ4__BHV86_03155
ERR1913222.1085739__1.1085739	45851__R5LL35__BUTYVIB_01928
ERR1913222.1085830__1.1085830	39485__C4Z2J8__ERS852490_02044
ERR1913222.1085925__1.1085925	45851__D4S1P9__BUTYVIB_02021
ERR1913222.1085955__1.1085955	45851__D4RXC9__BUTYVIB_00480
ERR1913222.1086228__1.1086228	1160721__R6TF33__sig6
ERR1913222.1086189__1.1086189	39491__A0A173VYV1__DXC13_02710
ERR1913222.1086273__1.1086273	33039__D4M398__ERS852530_00575
ERR1913222.1086253__1.1086253	39485__A0A174Z851__cdaR_1
ERR1913222.1086371__1.1086371	45851__D4S0P6__BUTYVIB_01665
ERR1913222.1086384__1.1086384	2022527__A0A264YA09__CHL74_03035
ERR1913222.1086462__1.1086462	1262911__R6GPB5__BN557_00842
ERR1913222.1086739__1.1086739	45851__D4S0B1__BHV86_10120
ERR1913222.1086774__1.1086774	39485__A0A174Z1T6__sfp
ERR1913222.1086811__1.1086811	165179__A0A174IPI3__CFT61_10940
ERR1913222.1087066__1.1087066	45851__R5LAF0__BHV86_08225
ERR1913222.1087473__1.1087473	45851__D4S2U9__BHV86_05685
ERR1913222.1087521__1.1087521	39485__A0A174Z1A6__EUBELI_00220
ERR1913222.1087543__1.1087543	901__B6WTW8__DESPIGER_1202
ERR1913222.1087611__1.1087611	45851__D4RYU3__BUTYVIB_01007
ERR1913222.1087770__1.1087770	45851__D4S0P6__BUTYVIB_01665
ERR1913222.1087903__1.1087903	572010__rpsH
ERR1913222.1087961__1.1087961	1262886__R6RCF6__BN563_00371
ERR1913222.1088039__1.1088039	33043__D5HFA1__ERS852400_02183
ERR1913222.1088077__1.1088077	100886__A0A174JPG5__CATMIT_00078
ERR1913222.1088155__1.1088155	1284775__A0A095Y637__HMPREF1640_07040
ERR1913222.1088356__1.1088356	39485__R5ZZA6__ERS852490_00168
ERR1913222.1088411__1.1088411	39485__R5ZNG4__yerB
ERR1913222.1088697__1.1088697	626940__E8LE43__BN587_02187
ERR1913222.1089045__1.1089045	165179__A0A3E5EBY9__CFT61_01220
ERR1913222.1089113__1.1089113	821__A0A173XDD3__DXB82_17180
ERR1913222.1089182__1.1089182	45851__D4S1I1__BHV86_08605
ERR1913222.1089186__1.1089186	1262760__R5L6L4__BN758_00893
ERR1913222.1089207__1.1089207	1262929__R6F9D0__BN691_00320
ERR1913222.1089253__1.1089253	45851__D4RY81__BUTYVIB_00786
ERR1913222.1089311__1.1089311	166486__D4KVI9__comEA
ERR1913222.1089386__1.1089386	45851__D4RY62__BHV86_05035
ERR1913222.1089399__1.1089399	45851__D4RWN6__BUTYVIB_00072
ERR1913222.1089479__1.1089479	45851__D4RWD3__BHV86_07045
ERR1913222.1089591__1.1089591	1262961__R6DYC9__BN710_00477
ERR1913222.1089671__1.1089671	39485__C4Z6J7__ERS852492_02047
ERR1913222.1089953__1.1089953	853__A0A2A7B1Y7__C7K05_11930
ERR1913222.1090014__1.1090014	853__A0A3E2V168__FAEPRAM212_00929
ERR1913222.1090067__1.1090067	45851__D4RWJ0__BHV86_05915
ERR1913222.1090275__1.1090275	39485__A0A174Z4K7__dosC_2
ERR1913222.1090248__1.1090248	33043__A0A173YEP6__ERS852575_00888
ERR1913222.1090408__1.1090408	1262961__R6EFP3__BN710_01985
ERR1913222.1090457__1.1090457	651822__GCA_000210715.1_00753
ERR1913222.1090483__1.1090483	39485__C4Z058__ERS852492_00130
ERR1913222.1090597__1.1090597	39485__C4Z0F4__ERS852490_00945
ERR1913222.1090843__1.1090843	39485__A0A174ZBJ8__speA_2
ERR1913222.1091021__1.1091021	1262741__R6DKK4__BN697_01269
ERR1913222.1091178__1.1091178	1262961__R6DJH7__BN710_01796
ERR1913222.1091181__1.1091181	45851__D4RYQ0__BUTYVIB_00958
ERR1913222.1091205__1.1091205	1262961__R6EGH1__BN710_00315
ERR1913222.1091528__1.1091528	1262886__R6Q8T6__BN563_00369
ERR1913222.1091542__1.1091542	45851__R5LRP4__BUTYVIB_00447
ERR1913222.1091593__1.1091593	45851__R5LYR7__BHV86_03710
ERR1913222.1091610__1.1091610	1680__R5GR82__AD0028_0014
ERR1913222.1091650__1.1091650	39485__C4Z1Y9__EUBELI_00143
ERR1913222.1091693__1.1091693	1262886__R6Q805__BN563_00926
ERR1913222.1091860__1.1091860	47678__R5U3U1__BACCAC_03593
ERR1913222.1092111__1.1092111	45851__D4RYQ2__BUTYVIB_00960
ERR1913222.1092237__1.1092237	1262945__R6YHY2__BN600_01802
ERR1913222.1092257__1.1092257	39488__A0A173ZWK0__EHLA_2903
ERR1913222.1092513__1.1092513	45851__D4RZ84__BUTYVIB_01149
ERR1913222.1092490__1.1092490	1262929__R6F4H4__BN691_01187
ERR1913222.1092499__1.1092499	45851__D4RZ27__BHV86_03325
ERR1913222.1092685__1.1092685	626940__E8LD82__BHW43_05615
ERR1913222.1092849__1.1092849	2022527__A0A264Y5H7__CHL74_10790
ERR1913222.1093052__1.1093052	821__A0A174AYT0__DXC02_03530
ERR1913222.1093258__1.1093258	39485__A0A175A273__plsX_2
ERR1913222.1093394__1.1093394	166486__A0A173VSA0__ROSINTL182_06124
ERR1913222.1093368__1.1093368	131111__K0YW73__HMPREF9241_00461
ERR1913222.1093513__1.1093513	1262911__R6H1B2__BN557_00840
ERR1913222.1093520__1.1093520	410072__C0BC38__ERS852574_02017
ERR1913222.1093826__1.1093826	418240__A0A174E8U8__sigM_3
ERR1913222.1093899__1.1093899	384638__B7AT14__BACPEC_01282
ERR1913222.1094063__1.1094063	1262882__R5MGI7__BN519_00643
ERR1913222.1094174__1.1094174	1897011__A0A1Q6RH85__BHW41_01750
ERR1913222.1094389__1.1094389	39491__D6E4H2__DXB99_00485
ERR1913222.1094559__1.1094559	45851__D4S366__BUTYVIB_02552
ERR1913222.1094573__1.1094573	45851__R5LHP6__BUTYVIB_00994
ERR1913222.1094528__1.1094528	1262961__R6ELH5__BN710_01000
ERR1913222.1094629__1.1094629	1262760__R5LCK1__BN758_01101
ERR1913222.1094953__1.1094953	1284775__A0A096A9J4__HMPREF1640_07270
ERR1913222.1095133__1.1095133	1262825__R5EKX2__BN724_00503
ERR1913222.1095192__1.1095192	1262992__R5D3X7__BN795_00539
ERR1913222.1095254__1.1095254	853__A0A174UDE9__C4N25_12775
ERR1913222.1095309__1.1095309	45851__D4RYI3__BHV86_01630
ERR1913222.1095319__1.1095319	28123__F4KND6__Poras_1514
ERR1913222.1095355__1.1095355	1262961__R6DNV8__BN710_00831
ERR1913222.1095590__1.1095590	39488__A0A173SK21__EUBHAL_00799
ERR1913222.1095606__1.1095606	1262825__R5ECH5__BN724_02253
ERR1913222.1095628__1.1095628	45851__D4RWC5__BHV86_07005
ERR1913222.1095686__1.1095686	1262911__R6GKX4__BN557_01388
ERR1913222.1096018__1.1096018	45851__D4RWC3__BUTYVIB_00254
ERR1913222.1096047__1.1096047	1262825__R5E978__BN724_00307
ERR1913222.1096114__1.1096114	45851__D4RZC5__BUTYVIB_01191
ERR1913222.1096370__1.1096370	2173__R7PT68__Msm_0886
ERR1913222.1096360__1.1096360	1262961__R6DN84__BN710_00209
ERR1913222.1096500__1.1096500	165179__A0A174PS14__DXC61_13945
ERR1913222.1096700__1.1096700	165179__A0A229I4J4__proA
ERR1913222.1096742__1.1096742	45851__D4RZ86__BHV86_03570
ERR1913222.1096926__1.1096926	1262911__R6GPC5__BN557_00852
ERR1913222.1096989__1.1096989	40520__A0A174EQJ0__DXB81_02710
ERR1913222.1097018__1.1097018	45851__D4RWN6__BUTYVIB_00072
ERR1913222.1097428__1.1097428	39485__C4Z355__ERS852490_01971
ERR1913222.1097472__1.1097472	1262761__R6QZS1__BN606_01236
ERR1913222.1097540__1.1097540	39485__A0A174ZBJ8__speA_2
ERR1913222.1097680__1.1097680	1262825__R5EK39__BN724_02341
ERR1913222.1097689__1.1097689	1262924__R7HNZ2__BN585_02017
ERR1913222.1097923__1.1097923	45851__D4RYA4__BHV86_02030
ERR1913222.1098054__1.1098054	39490__A0A2V1JTH1__LG34_14175
ERR1913222.1098185__1.1098185	2173__A0A1D2WXE6__Msm_0136
ERR1913222.1098258__1.1098258	39491__A0A396FRE7__EUR_27520
ERR1913222.1098364__1.1098364	39486__B0G7H8__DXB12_04950
ERR1913222.1098666__1.1098666	2173__A5UNC4__METSMIALI_00562
ERR1913222.1099099__1.1099099	1262886__R6QSD9__BN563_01679
ERR1913222.1099012__1.1099012	39491__A0A396FJA4__DXB99_05435
ERR1913222.1099156__1.1099156	1262760__R5LCK1__BN758_01101
ERR1913222.1099275__1.1099275	853__A0A3E2V168__FAEPRAM212_00929
ERR1913222.1099341__1.1099341	458033__GCA_001482755.1_02203
ERR1913222.1099610__1.1099610	39491__A0A395UVM9__DXB76_04540
ERR1913222.1099709__1.1099709	39491__C4Z9Y3__ERS852417_01808
ERR1913222.1099862__1.1099862	45851__D4RZ84__BUTYVIB_01149
ERR1913222.1099920__1.1099920	1520815__A0A1I3IV21__SAMN02910435_00250
ERR1913222.1100048__1.1100048	1262882__R5MKV8__BN519_01281
ERR1913222.1100278__1.1100278	1262760__R5LP78__BN758_00891
ERR1913222.1100482__1.1100482	165179__A0A3E5DX15__DXC61_00345
ERR1913222.1100463__1.1100463	45851__R5LAF0__BHV86_08225
ERR1913222.1100807__1.1100807	1262886__R6QCG3__BN563_00145
ERR1913222.1100814__1.1100814	1378168__V2YA11__N510_02528
ERR1913222.1100884__1.1100884	1262882__R5MND9__BN519_00831
ERR1913222.1101089__1.1101089	45851__D4S2J5__BUTYVIB_02317
ERR1913222.1101167__1.1101167	1262945__R6Z2E6__BN600_01343
ERR1913222.1101707__1.1101707	853__A0A173SUU8__CGS54_06840
ERR1913222.1101728__1.1101728	39485__C4Z5L9__ERS852490_00668
ERR1913222.1101817__1.1101817	1262961__R6DNV8__BN710_00831
ERR1913222.1101791__1.1101791	165179__A0A3E5DZ45__DXC61_02820
ERR1913222.1101947__1.1101947	1262882__R5N5W2__BN519_00074
ERR1913222.1102005__1.1102005	2173__A0A1D2WTZ3__frhB
ERR1913222.1102483__1.1102483	45851__D4RYU3__BUTYVIB_01007
ERR1913222.1102557__1.1102557	39485__A0A174ZJ84__EUBELI_00107
ERR1913222.1102648__1.1102648	33043__A0A174BPV6__ERS852445_01773
ERR1913222.1102651__1.1102651	572010__argF
ERR1913222.1102789__1.1102789	1262760__R5LCT5__BN758_01920
ERR1913222.1102872__1.1102872	39488__C0EVS1__ERS852450_02297
ERR1913222.1103098__1.1103098	1735__A0A395WAL9__EUBIFOR_01618
ERR1913222.1103137__1.1103137	45851__D4S184__BUTYVIB_01854
ERR1913222.1103446__1.1103446	1262825__R5E9W7__BN724_00536
ERR1913222.1103553__1.1103553	45851__D4S330__BHV86_03650
ERR1913222.1103593__1.1103593	39492__D4JTW6__ERS852540_00220
ERR1913222.1103626__1.1103626	45851__D4RYD2__BUTYVIB_00837
ERR1913222.1103643__1.1103643	45851__D4RYU0__BHV86_05340
ERR1913222.1103713__1.1103713	39488__A0A174CH59__DXD91_12625
ERR1913222.1103782__1.1103782	100886__A0A174IRJ7__argD
ERR1913222.1103790__1.1103790	165179__A0A3E5E5M2__PREVCOP_03530
ERR1913222.1104075__1.1104075	165179__A0A3E5A5E5__DXC61_13965
ERR1913222.1104263__1.1104263	1262761__R6QXE4__BN606_02110
ERR1913222.1104350__1.1104350	418240__A0A174FQH1__yutF
ERR1913222.1104520__1.1104520	29361__B6FKH5__CLONEX_00621
ERR1913222.1104588__1.1104588	1262961__R6EK01__BN710_00862
ERR1913222.1104631__1.1104631	39485__R5ZPP8__EUBELI_20334
ERR1913222.1104649__1.1104649	1660__D4TZB7__ACTODO_00650
ERR1913222.1104734__1.1104734	165179__R6CNX7__DXB80_02200
ERR1913222.1104777__1.1104777	901__B6WQM5__cobM
ERR1913222.1104893__1.1104893	165179__R6B8D8__DXC61_09245
ERR1913222.1104960__1.1104960	1262911__R6GPC5__BN557_00852
ERR1913222.1104998__1.1104998	1262911__R6HH15__BN557_01507
ERR1913222.1105064__1.1105064	45851__D4RWC1__BHV86_06985
ERR1913222.1105108__1.1105108	1262886__R6QCG3__BN563_00145
ERR1913222.1105154__1.1105154	1262886__R6Q953__BN563_01252
ERR1913222.1105314__1.1105314	1262961__R6DNV8__BN710_00831
ERR1913222.1105360__1.1105360	39491__A0A395ZL98__DXB99_00620
ERR1913222.1105405__1.1105405	1262760__R5LYQ1__BN758_00266
ERR1913222.1105433__1.1105433	1262825__R5ELY8__BN724_02320
ERR1913222.1105436__1.1105436	1262816__R6CV11__BN687_01123
ERR1913222.1105448__1.1105448	33043__D5HI09__ERS852575_02656
ERR1913222.1105781__1.1105781	39496__A5Z5I2__EUBVEN_00963
ERR1913222.1105840__1.1105840	166486__D4KUE4__ROSINTL182_08606
ERR1913222.1106094__1.1106094	1299998__GCA_001494635.1_02087
ERR1913222.1106134__1.1106134	1262825__R5E8F5__BN724_02070
ERR1913222.1106150__1.1106150	853__A0A173T6P2__DWZ46_14595
ERR1913222.1106156__1.1106156	45851__D4S1R9__BHV86_08150
ERR1913222.1106194__1.1106194	1262930__R6AVH6__BN693_02127
ERR1913222.1106428__1.1106428	39485__C4Z6J7__ERS852492_02047
ERR1913222.1106540__1.1106540	823__A0A078TE44__DD466_14830
ERR1913222.1106658__1.1106658	33043__D5HFE3__lacR
ERR1913222.1106830__1.1106830	1262760__R5LDN0__BN758_02039
ERR1913222.1106971__1.1106971	1262825__R5EAJ1__BN724_00766
ERR1913222.1107113__1.1107113	45851__D4RW73__BHV86_06745
ERR1913222.1107305__1.1107305	165179__R6C3A5__DXC61_11820
ERR1913222.1107548__1.1107548	45851__D4RX43__BUTYVIB_00394
ERR1913222.1107755__1.1107755	165179__A0A174W369__PREVCOP_04548
ERR1913222.1107852__1.1107852	45851__D4RWC6__BHV86_07010
ERR1913222.1108059__1.1108059	45851__D4RWC5__BHV86_07005
ERR1913222.1108074__1.1108074	39485__A0A174Z9M2__yhbU_1
ERR1913222.1108136__1.1108136	1262825__R5E8W5__BN724_02207
ERR1913222.1108206__1.1108206	1262924__R7HQ14__BN585_00419
ERR1913222.1108412__1.1108412	1262961__R6DWK7__BN710_00104
ERR1913222.1108419__1.1108419	1262886__R6RCF6__BN563_00371
ERR1913222.1108426__1.1108426	39492__R6RKK9__EUBSIR_02022
ERR1913222.1108484__1.1108484	1262911__R6GTG0__BN557_01247
ERR1913222.1108537__1.1108537	165179__D1P9T6__PREVCOP_04016
ERR1913222.1108556__1.1108556	39485__R6A1W2__ERS852490_01584
ERR1913222.1108536__1.1108536	45851__D4RW33__ylbJ
ERR1913222.1108645__1.1108645	39485__C4Z069__EUBELI_00981
ERR1913222.1108797__1.1108797	1262760__R5LPW2__BN758_01013
ERR1913222.1108776__1.1108776	853__A0A173T751__C4N24_10280
ERR1913222.1108858__1.1108858	1262929__R6EW44__BN691_01010
ERR1913222.1109158__1.1109158	39485__A0A174YTF8__EUBELI_20448
ERR1913222.1109543__1.1109543	100886__E2NNV6__CATMIT_00217
ERR1913222.1109658__1.1109658	1262760__R5L4T1__BN758_00546
ERR1913222.1110035__1.1110035	853__A0A173YYY4__DWZ04_09420
ERR1913222.1110067__1.1110067	39485__A0A174YVB5__lyc
ERR1913222.1110172__1.1110172	1262961__R6DW08__BN710_00228
ERR1913222.1110345__1.1110345	1262882__R5N1N6__BN519_00968
ERR1913222.1110352__1.1110352	28052__R5HJU0__ERS852451_00148
ERR1913222.1110492__1.1110492	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913222.1110688__1.1110688	901__B6WXX4__DESPIGER_1515
ERR1913222.1110696__1.1110696	1262825__R5DYC4__BN724_00821
ERR1913222.1110871__1.1110871	39488__R6GWM5__EHLA_0553
ERR1913222.1110933__1.1110933	165179__D1P8Q2__trpF
ERR1913222.1111145__1.1111145	853__A0A174C5M1__CGS58_04460
ERR1913222.1111148__1.1111148	45851__D4RWG7__BUTYVIB_00298
ERR1913222.1111216__1.1111216	572010__hgdC_1
ERR1913222.1111459__1.1111459	2173__A0A1D2WRI4__BK798_01325
ERR1913222.1111460__1.1111460	45851__D4RWS3__BUTYVIB_00110
ERR1913222.1111539__1.1111539	328814__GCA_004558275.1_00998
