ERR1913162.17__1.17	239935__R6JD78__CXU05_09250
ERR1913162.557517__1.557517	1550024__A0A0D8IZ16__ASJ35_10840
ERR1913162.557584__1.557584	46503__R6X5E7__PARMER_00245
ERR1913162.558050__1.558050	2173__A0A1D2WRQ9__METSMIF1_03320
ERR1913162.558101__1.558101	820__A0A3E5BMG9__DXD40_05130
ERR1913162.558247__1.558247	239935__A0A2N8HT18__CXT93_06135
ERR1913162.558426__1.558426	410072__A0A174AMX4__dacB_1
ERR1913162.558580__1.558580	1262882__R5MRS7__BN519_01490
ERR1913162.558814__1.558814	216816__E5Y0K4__B8809_0128
ERR1913162.559049__1.559049	239935__R7E524__CXT91_06180
ERR1913162.559057__1.559057	1235835__R9LCU2__C814_02677
ERR1913162.559284__1.559284	328814__GCA_004558275.1_02278
ERR1913162.559676__1.559676	216816__C5E9A6__mutT4
ERR1913162.559679__1.559679	820__A0A173W419__DXC68_17760
ERR1913162.560048__1.560048	28125__U2MR96__HMPREF3202_01663
ERR1913162.560128__1.560128	239935__A0A2N8HUU6__CXT90_06150
ERR1913162.560506__1.560506	239935__A0A139TPG3__CXT86_08810
ERR1913162.560554__1.560554	239935__A0A2N8ITX2__CXT86_11265
ERR1913162.560792__1.560792	239935__A0A2N8J1K0__CXT97_05765
ERR1913162.560888__1.560888	2173__A0A1D2WRY2__Msm_1736
ERR1913162.560943__1.560943	357276__I8WAB8__B5F00_08100
ERR1913162.560954__1.560954	1262882__R5MYS9__BN519_00290
ERR1913162.561037__1.561037	1683__A0A126STS5__BIFANG_02227
ERR1913162.561125__1.561125	1550024__A0A0D8J301__TQ39_02735
ERR1913162.561136__1.561136	1262882__R5MGK3__BN519_00655
ERR1913162.561492__1.561492	1263006__R6LU28__BN515_01365
ERR1913162.561621__1.561621	821__E5UPR6__SAMN04487923_101768
ERR1913162.561734__1.561734	39485__C4Z684__ERS852492_01895
ERR1913162.561830__1.561830	28026__A0A087B7I7__DXA79_02175
ERR1913162.562017__1.562017	39496__A5Z5I2__EUBVEN_00963
ERR1913162.562154__1.562154	2173__A0A1D2WTF2__METSMIALI_00289
ERR1913162.562368__1.562368	46503__R6WYJ8__DXB85_13825
ERR1913162.562542__1.562542	28117__B0MUL5__ALIPUT_00722
ERR1913162.562655__1.562655	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913162.562832__1.562832	1263005__R6ET66__BN497_01340
ERR1913162.562876__1.562876	328814__GCA_004558275.1_02030
ERR1913162.562901__1.562901	1550024__A0A0W7TU47__TQ39_07155
ERR1913162.563031__1.563031	1262882__R5MH82__BN519_00752
ERR1913162.563081__1.563081	1262869__R7CQA4__BN625_01547
ERR1913162.563131__1.563131	1262882__R5MGJ7__BN519_00652
ERR1913162.563198__1.563198	1550024__A0A0D8IUW2__TQ39_17855
ERR1913162.563282__1.563282	1262869__R7CS12__BN625_00205
ERR1913162.563332__1.563332	291645__I9SGK8__HMPREF1068_00004
ERR1913162.563540__1.563540	823__A0A395YQ63__B5F32_15335
ERR1913162.563705__1.563705	821__A0A173XDD3__DXB82_17180
ERR1913162.563872__1.563872	239935__R6JAS2__CXU02_10725
ERR1913162.563967__1.563967	1550024__G9RVD5__ASJ35_04350
ERR1913162.563941__1.563941	28118__F9Z7S2__DF785_12600
ERR1913162.563994__1.563994	40518__R5DU92__DXD93_03170
ERR1913162.564065__1.564065	1550024__G9RTA6__TQ39_10970
ERR1913162.564097__1.564097	216816__C5EBT1__BLIF_1344
ERR1913162.564545__1.564545	821__A0A3E4HP25__SAMN04487923_102450
ERR1913162.564665__1.564665	301301__A0A395V5S1__ERS852391_01890
ERR1913162.564691__1.564691	328814__GCA_004558275.1_00391
ERR1913162.564764__1.564764	1897011__A0A1Q6RJ96__BHW41_00350
ERR1913162.565019__1.565019	360807__A0A173WJE3__mcp4_4
ERR1913162.565116__1.565116	214856__A0A174G9T6__ERS852447_02535
ERR1913162.565212__1.565212	817__A0A1C0WW19__macB_12
ERR1913162.565253__1.565253	2173__A0A1D2WTF2__METSMIALI_00289
ERR1913162.565432__1.565432	239935__A0A2N8HAQ1__DEF40_05290
ERR1913162.565776__1.565776	820__A0A3E4W4Y7__B5G17_02055
ERR1913162.565984__1.565984	239935__A0A139TVJ4__CXT86_02020
ERR1913162.566025__1.566025	239935__A0A2N8IJI1__B5G29_04615
ERR1913162.566032__1.566032	1550024__G9RWW8__TQ39_12140
ERR1913162.566089__1.566089	239935__A0A2N8IFA0__CXT92_02050
ERR1913162.566162__1.566162	1897011__A0A1Q6RHX0__BHW41_00740
ERR1913162.566399__1.566399	239935__A0A139TPG3__CXT86_08810
ERR1913162.566475__1.566475	1262992__R5DCV6__BN795_00412
ERR1913162.566483__1.566483	239935__A0A2N8INK7__Amuc_0521
ERR1913162.566649__1.566649	239935__A0A2N8HUU6__CXT90_06150
ERR1913162.566723__1.566723	2292352__A0A374UNZ9__DXC23_01520
ERR1913162.566867__1.566867	1160721__W0U3Q4__BHW50_08110
ERR1913162.566957__1.566957	1897011__A0A1Q6RC54__BHW41_06555
ERR1913162.567070__1.567070	214856__R6Y1K2__ERS852447_02306
ERR1913162.567169__1.567169	328814__GCA_004558275.1_02030
ERR1913162.567185__1.567185	239935__A0A2N8IRL2__CXU06_01170
ERR1913162.567261__1.567261	1897011__A0A1Q6RIN7__BHW41_00540
ERR1913162.567380__1.567380	544644__GCA_001915615.1_01915
ERR1913162.567600__1.567600	823__A0A355XLQ9__DXC05_02185
ERR1913162.567661__1.567661	1262869__R7CRJ0__BN625_01726
ERR1913162.567767__1.567767	1262882__R5N1R4__BN519_00788
ERR1913162.567804__1.567804	239935__A0A2N8IV82__CXT99_06735
ERR1913162.567923__1.567923	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913162.568146__1.568146	2173__A5ULD0__BK798_05990
ERR1913162.568173__1.568173	1262882__R5N3T7__BN519_01188
ERR1913162.568267__1.568267	371601__A0A1C7H1Z9__BN890_35950
ERR1913162.568318__1.568318	1297617__A0A0S2W1V2__IB211_00824
ERR1913162.568335__1.568335	884684__GCA_002892425.1_00036
ERR1913162.568377__1.568377	214856__I3YPP9__Alfi_2707
ERR1913162.568797__1.568797	1262882__R5ML49__BN519_01361
ERR1913162.568800__1.568800	328814__GCA_004558275.1_00296
ERR1913162.568890__1.568890	1262882__R5N526__BN519_01603
ERR1913162.568991__1.568991	328814__GCA_004558275.1_00234
ERR1913162.569025__1.569025	40518__R5E5W1__RBL263_01034
ERR1913162.569058__1.569058	1262882__R5MEN2__BN519_00200
ERR1913162.569268__1.569268	357276__B6VVS0__HMPREF1064_03951
ERR1913162.569318__1.569318	1262882__R5MHZ2__BN519_00742
ERR1913162.569693__1.569693	1263005__R6F114__BN497_00356
ERR1913162.569758__1.569758	1235835__R9LCU2__C814_02677
ERR1913162.569943__1.569943	328814__GCA_004558275.1_00239
ERR1913162.569949__1.569949	818__A0A1H7S810__BJP75_003270
ERR1913162.570289__1.570289	239935__R6K0V8__CXT94_02055
ERR1913162.570341__1.570341	239935__A0A2N8HPS5__Amuc_0950
ERR1913162.570610__1.570610	1262882__R5MRS7__BN519_01490
ERR1913162.570799__1.570799	328814__GCA_004558275.1_01621
ERR1913162.570894__1.570894	1550024__A0A0D8IYB1__TQ39_12130
ERR1913162.570984__1.570984	1034346__A0A3C0DGK3__DBX92_09135
ERR1913162.570987__1.570987	239935__A0A2N8I694__CXU04_06245
ERR1913162.571127__1.571127	239935__A0A2N8I1R3__CXU05_06075
ERR1913162.571225__1.571225	214856__R6Y0B9__ERS852559_00164
ERR1913162.571472__1.571472	1262882__R5MSX6__BN519_01697
ERR1913162.571548__1.571548	214856__I3YMB7__Alfi_1811
ERR1913162.571594__1.571594	239935__B2UL21__CXT98_03395
ERR1913162.571820__1.571820	61171__B9Y5T9__HOLDEFILI_01171
ERR1913162.571873__1.571873	1262743__R5C054__BN727_01980
ERR1913162.571886__1.571886	239935__R6JAS2__CXU02_10725
ERR1913162.572031__1.572031	821__A0A174K302__CUU_3129
ERR1913162.572172__1.572172	239935__A0A139TT05__CXU09_03335
ERR1913162.572193__1.572193	239935__A0A2N8HBM4__CXT85_06270
ERR1913162.572292__1.572292	239935__A0A2N8HBM4__CXT85_06270
ERR1913162.572297__1.572297	1263006__R6MLU5__BN515_01014
ERR1913162.572443__1.572443	28117__B0MWP2__ALIPUT_01468
ERR1913162.572799__1.572799	1262882__A0A356PSJ4__BN519_01180
ERR1913162.572788__1.572788	1262882__R5N3T7__BN519_01188
ERR1913162.572882__1.572882	1262882__R5MYS9__BN519_00290
ERR1913162.572971__1.572971	1262882__R5MLA4__BN519_01536
ERR1913162.572989__1.572989	239935__A0A2N8HUU6__CXT90_06150
ERR1913162.573611__1.573611	214856__A0A173YE57__ERS852559_00126
ERR1913162.573783__1.573783	823__A0A073IAS1__M091_0201
ERR1913162.573907__1.573907	2173__A5ULL1__Msm_0884
ERR1913162.573963__1.573963	116085__D4J3Z5__tig
ERR1913162.574424__1.574424	1262882__R5N2U9__BN519_01221
ERR1913162.574769__1.574769	239935__A0A139TPG3__CXT86_08810
ERR1913162.575036__1.575036	239935__A0A2N8IL82__CXU02_11740
ERR1913162.575053__1.575053	1262882__R5MYI1__BN519_00416
ERR1913162.575290__1.575290	1262869__R7CS43__BN625_00206
ERR1913162.575395__1.575395	1263005__R6F161__BN497_00034
ERR1913162.575514__1.575514	357276__I9R994__BACDOR_04044
ERR1913162.575612__1.575612	301301__A0A395V8M7__ERS852391_00967
ERR1913162.575722__1.575722	823__A0A073I9P2__CF162_18000
ERR1913162.575702__1.575702	1262882__R5N3T7__BN519_01188
ERR1913162.575802__1.575802	817__D1JR15__M117_0303
ERR1913162.575857__1.575857	1683__A0A126SUH3__BIFANG_03684
ERR1913162.575997__1.575997	823__A0A174W1A8__panE
ERR1913162.576091__1.576091	821__A0A396F9T7__M097_3427
ERR1913162.576203__1.576203	214856__I3YPP2__Alfi_2700
ERR1913162.576275__1.576275	820__R7E9Z4__DXC68_06065
ERR1913162.576391__1.576391	239935__A0A2N8HUU6__CXT90_06150
ERR1913162.576560__1.576560	28117__B0MTW8__ALIPUT_00502
ERR1913162.577166__1.577166	47678__R5U3A7__ERS852494_02965
ERR1913162.577562__1.577562	239935__A0A2N8I9P4__CXT85_05050
ERR1913162.577785__1.577785	1262882__R5N004__BN519_00490
ERR1913162.578036__1.578036	239935__A0A2N8IMD6__CXU03_05585
ERR1913162.578501__1.578501	544645__A0A3E4T5S7__DXC42_10355
ERR1913162.578620__1.578620	328814__GCA_004558275.1_00295
ERR1913162.578606__1.578606	357276__B6W1Y1__BSEG_03960
ERR1913162.578679__1.578679	328814__GCA_004558275.1_02280
ERR1913162.578711__1.578711	39485__A0A174ZA08__EUBELI_01019
ERR1913162.578748__1.578748	1262869__R7CRN3__BN625_01760
ERR1913162.578783__1.578783	1262882__R5MM69__BN519_00075
ERR1913162.578826__1.578826	1262882__R5N5S3__BN519_00085
ERR1913162.579106__1.579106	1262882__R5MIC9__BN519_00834
ERR1913162.579313__1.579313	1550024__G9RTA6__TQ39_10970
ERR1913162.579300__1.579300	823__A0A173RD26__B5F32_03910
ERR1913162.579557__1.579557	1297617__A0A0S2VZT4__C7373_101492
ERR1913162.579685__1.579685	1550024__G9RP65__ASJ35_11645
ERR1913162.579904__1.579904	1262869__R7CPW8__BN625_01602
ERR1913162.580205__1.580205	78345__A0A087BGC4__BMERY_1439
ERR1913162.580232__1.580232	387090__S0F5L4__BACCOPRO_00315
ERR1913162.580245__1.580245	1472761__GCA_002159295.1_00731
ERR1913162.580475__1.580475	2292352__A0A374UNZ9__DXC23_01520
ERR1913162.580553__1.580553	1780376__A0A143XQT4__BN3659_01658
ERR1913162.580626__1.580626	357276__A0A076IYG1__B5F95_22465
ERR1913162.580636__1.580636	1262869__R7CLV2__BN625_01058
ERR1913162.580687__1.580687	239935__A0A2N8HPX2__CXT90_09930
ERR1913162.580975__1.580975	1262882__R5MT08__BN519_01706
ERR1913162.580961__1.580961	328814__GCA_004558275.1_00018
ERR1913162.581058__1.581058	239935__A0A2N8IMC3__CXT96_03840
ERR1913162.581082__1.581082	820__A0A139KHX1__HMPREF2141_00289
ERR1913162.581571__1.581571	40518__R5E6Y7__DXD83_08230
ERR1913162.581781__1.581781	239935__A0A139TPG3__CXT86_08810
ERR1913162.581807__1.581807	216816__B7GPE8__I118_0062
ERR1913162.582055__1.582055	820__A0A3E4VZY4__ERS852554_01211
ERR1913162.582425__1.582425	823__C7XBX3__HMPREF1059_03212
ERR1913162.582511__1.582511	414970__GeneID:5204371
ERR1913162.582595__1.582595	1262882__R5MGJ7__BN519_00652
ERR1913162.582835__1.582835	357276__A0A076IN21__BSEG_03078
ERR1913162.582978__1.582978	338188__A0A1C7H5S1__HMPREF1057_02183
ERR1913162.582988__1.582988	1099853__G9S349__NSB1T_12610
ERR1913162.583193__1.583193	39485__A0A174YMC1__recN
ERR1913162.583262__1.583262	1262882__R5N3T7__BN519_01188
ERR1913162.583310__1.583310	1262882__R5MMD8__BN519_01576
ERR1913162.583409__1.583409	239935__A0A2N8INK7__Amuc_0521
ERR1913162.583662__1.583662	239935__A0A2N8IEP3__CXT84_03735
ERR1913162.583696__1.583696	46503__R6WSB3__DCY29_07745
ERR1913162.583698__1.583698	1262869__R7CTU1__BN625_00702
ERR1913162.583724__1.583724	357276__I9R2M6__BSEG_03499
ERR1913162.583814__1.583814	1160721__R6TH82__BHW50_00835
ERR1913162.583908__1.583908	357276__C3R5C9__HMPREF1063_00213
ERR1913162.584254__1.584254	1683__C4FH55__BIFANG_03686
ERR1913162.584383__1.584383	357276__B6W1J2__BACDOR_03380
ERR1913162.584534__1.584534	1263030__R5CW77__BN705_01278
ERR1913162.584603__1.584603	47678__A5ZG68__ERS852494_02968
ERR1913162.584658__1.584658	39488__A0A173URJ8__misCB
ERR1913162.584705__1.584705	818__Q8A5L6__BT_2223
ERR1913162.584889__1.584889	821__A0A173WG51__BVU_2549
ERR1913162.584970__1.584970	1262992__R5DCV6__BN795_00412
ERR1913162.584977__1.584977	239935__A0A2N8IF99__lpdA
ERR1913162.585203__1.585203	357276__I9R2M6__BSEG_03499
ERR1913162.585228__1.585228	239935__A0A2N8HBM4__CXT85_06270
ERR1913162.585247__1.585247	239935__A0A139TPG3__CXT86_08810
ERR1913162.585276__1.585276	74426__rpoC
ERR1913162.585297__1.585297	40518__R5E175__RB5AMG_00757
ERR1913162.585319__1.585319	544645__A0A3E4T3S3__DXC42_12255
ERR1913162.585327__1.585327	328814__GCA_004558275.1_00036
ERR1913162.585368__1.585368	1262882__R5MM90__BN519_01721
ERR1913162.585439__1.585439	28116__F7LBW8__C5Z02_16055
ERR1913162.585653__1.585653	39496__A5Z5I2__EUBVEN_00963
ERR1913162.585716__1.585716	2173__A0A1D2WUJ0__Msm_1370
ERR1913162.585665__1.585665	1262869__R7CNN0__BN625_01419
ERR1913162.585792__1.585792	239935__A0A2N8I7W6__CXT90_04245
ERR1913162.585786__1.585786	1262803__R6NL95__BN649_00814
ERR1913162.585958__1.585958	1262986__R5ZUP0__BN492_01284
ERR1913162.586281__1.586281	1262882__A0A356PSJ4__BN519_01180
ERR1913162.586304__1.586304	1683__C4FH49__BIANG_0820
ERR1913162.586426__1.586426	239935__B2URG6__CXU02_00030
ERR1913162.586445__1.586445	239935__A0A2N8I791__CXT99_09415
ERR1913162.586496__1.586496	239935__A0A2N8IHY1__CXU06_00035
ERR1913162.586810__1.586810	239935__A0A2N8I9I3__CXU19_12035
ERR1913162.586854__1.586854	487175__R5E9C5__HMPREF9439_02457
ERR1913162.587556__1.587556	821__D4VD59__BHV80_04260
ERR1913162.587521__1.587521	239935__R7DVL7__CXT93_01180
ERR1913162.587645__1.587645	28116__R6JAK2__DXD69_23875
ERR1913162.587677__1.587677	1683__C4FGW1__BIANG_0902
ERR1913162.587708__1.587708	239935__A0A2N8HPS5__Amuc_0950
ERR1913162.587930__1.587930	821__A0A395VLM8__BvMPK_3650
ERR1913162.588064__1.588064	1262938__R5FSB4__BN812_01034
ERR1913162.588271__1.588271	46503__R6X8R7__PARMER_00141
ERR1913162.588280__1.588280	239935__A0A139TQT9__Amuc_1197
ERR1913162.588321__1.588321	1550024__G9RWW8__TQ39_12140
ERR1913162.588415__1.588415	487175__R5DYU5__HMPREF9439_02354
ERR1913162.588423__1.588423	823__A0A355XGQ3__prmC
ERR1913162.588485__1.588485	40518__R5DUJ5__DXD83_01635
ERR1913162.588488__1.588488	360807__A0A173ZAC7__ROSEINA2194_01522
ERR1913162.588525__1.588525	239935__A0A2N8IHY1__CXU06_00035
ERR1913162.588600__1.588600	457421__C5ERC0__CBFG_04276
ERR1913162.588575__1.588575	239935__A0A2N8IEP3__CXT84_03735
ERR1913162.588792__1.588792	239935__A0A2N8IRL2__CXU06_01170
ERR1913162.588811__1.588811	1262882__R5MEN2__BN519_00200
ERR1913162.588818__1.588818	371601__A0A174FDF7__CW1_1994
ERR1913162.588865__1.588865	1235835__R9LCU2__C814_02677
ERR1913162.588968__1.588968	1262882__R5N1L4__BN519_00757
ERR1913162.589231__1.589231	1550024__G9RWG5__TQ39_04290
ERR1913162.589370__1.589370	239935__A0A2N8IRW0__A4V05_11620
ERR1913162.589423__1.589423	1550024__G9RPC6__TQ39_05630
ERR1913162.589633__1.589633	1262882__R5N678__BN519_01604
ERR1913162.589822__1.589822	1262992__R5DCV6__BN795_00412
ERR1913162.589863__1.589863	1297617__A0A0S2W1J2__IB211_00604c
ERR1913162.590412__1.590412	214856__R6XTZ7__ERS852447_02314
ERR1913162.590689__1.590689	47678__R5UES3__CGC64_00760
ERR1913162.590882__1.590882	820__A0A139KG04__ERS852459_01249
ERR1913162.590922__1.590922	1262869__R7CR66__BN625_01456
ERR1913162.591016__1.591016	1262924__R7HRW9__BN585_00665
ERR1913162.591064__1.591064	1683__C4FH23__BBAG_0228
ERR1913162.591110__1.591110	239935__A0A2N8I1R3__CXU05_06075
ERR1913162.591147__1.591147	1683__C4FH23__BBAG_0228
ERR1913162.591152__1.591152	239935__R7DVW2__CXU02_03915
ERR1913162.591371__1.591371	239935__A0A139TMG9__CXU07_10650
ERR1913162.591485__1.591485	1262882__R5N1T9__BN519_00804
ERR1913162.591517__1.591517	239935__R7E524__CXT91_06180
ERR1913162.591521__1.591521	357276__C3RA36__HMPREF1065_03270
ERR1913162.591625__1.591625	2173__A0A1D2WVF8__Msm_1030
ERR1913162.592022__1.592022	46503__A7AII9__ERS852463_00984
ERR1913162.592035__1.592035	357276__D1JZM4__HMPREF1065_01278
ERR1913162.592013__1.592013	28117__B0MTW8__ALIPUT_00502
ERR1913162.592120__1.592120	239935__A0A139TSG7__CXU17_09600
ERR1913162.592288__1.592288	239935__A0A2N8HT44__CXT84_11035
ERR1913162.592332__1.592332	823__A0A173RD26__B5F32_03910
ERR1913162.592341__1.592341	1262882__R5MH55__BN519_00725
ERR1913162.592346__1.592346	1263005__R6F182__BN497_00721
ERR1913162.592499__1.592499	1550024__A0A0D8J301__TQ39_02735
ERR1913162.592587__1.592587	1262882__R5MGX3__BN519_00046
ERR1913162.592645__1.592645	1262869__R7CPL6__BN625_01439
ERR1913162.592728__1.592728	1262882__R5N3H1__BN519_01121
ERR1913162.592901__1.592901	1262882__R5N3H1__BN519_01121
ERR1913162.592914__1.592914	1034346__A0A3C0DAE2__murI
ERR1913162.592998__1.592998	1262882__R5N3T7__BN519_01188
ERR1913162.593059__1.593059	818__A0A174WSX6__Btheta7330_01915
ERR1913162.593155__1.593155	1262882__R5MRT2__BN519_01494
ERR1913162.594015__1.594015	28117__B0MTH2__ALIPUT_00061
ERR1913162.594153__1.594153	1796652__group_1831
ERR1913162.594234__1.594234	410072__C0B8G3__DXD67_01535
ERR1913162.594408__1.594408	1262882__R5MEW7__BN519_00010
ERR1913162.594569__1.594569	818__Q8A0V7__BSIG_2755
ERR1913162.594544__1.594544	1160721__W0U3Z9__RBI_I00543
ERR1913162.594651__1.594651	214856__A0A173YDP1__ERS852559_00120
ERR1913162.594996__1.594996	706562__GCA_900112995.1_02104
ERR1913162.595366__1.595366	239935__A0A139TVJ4__CXT86_02020
ERR1913162.595445__1.595445	1897011__A0A1Q6RC54__BHW41_06555
ERR1913162.595545__1.595545	1262882__R5MYI1__BN519_00416
ERR1913162.595578__1.595578	246787__I8V2S2__BACCELL_02524
ERR1913162.595651__1.595651	1683__C4FCR8__Bang102_001370
ERR1913162.595653__1.595653	292800__A0A174S8Y1__A4U99_06200
ERR1913162.595726__1.595726	1683__C4FCJ1__BIFANG_02016
ERR1913162.595905__1.595905	1965555__A0A1Y4SCI3__B5E77_06315
ERR1913162.596091__1.596091	239935__A0A2N8IKW7__pstA
ERR1913162.596167__1.596167	239935__A0A2N8IF99__lpdA
ERR1913162.596309__1.596309	1550024__G9RVD5__ASJ35_04350
ERR1913162.596443__1.596443	216816__C2GW26__chb
ERR1913162.596688__1.596688	357276__A0A076IYG1__B5F95_22465
ERR1913162.596759__1.596759	28116__A0A1Y4PVG6__Bovatus_02664
ERR1913162.596745__1.596745	214856__I3YPP3__Alfi_2701
ERR1913162.597064__1.597064	1685__W6EXB4__B31L_1221
ERR1913162.597210__1.597210	371601__D6D747__CW3_0796
ERR1913162.597537__1.597537	1235835__R9LCU2__C814_02677
ERR1913162.597670__1.597670	246787__A0A0P0GPH1__HMPREF1062_01913
ERR1913162.597628__1.597628	1262882__R5MZZ3__BN519_00482
ERR1913162.597650__1.597650	328814__GCA_004558275.1_00296
ERR1913162.597653__1.597653	39485__C4Z684__ERS852492_01895
ERR1913162.597823__1.597823	239935__A0A2N8ITW6__CXT91_06265
ERR1913162.597868__1.597868	1262882__R5N4P6__BN519_01346
ERR1913162.597897__1.597897	239935__A0A139TTZ7__CXU14_07900
ERR1913162.598021__1.598021	821__A0A174NM17__lacZ_6
ERR1913162.598242__1.598242	1262882__R5N5C3__BN519_01664
ERR1913162.598265__1.598265	360807__A0A1Q6TCY9__ERS852444_01883
ERR1913162.598412__1.598412	1262869__R7CNN0__BN625_01419
ERR1913162.598484__1.598484	818__R9H3B0__SAMN02910322_04803
ERR1913162.598790__1.598790	39485__R5ZPP8__EUBELI_20334
ERR1913162.599142__1.599142	39496__A5Z5I2__EUBVEN_00963
ERR1913162.599410__1.599410	40518__R5DZ16__DXD86_01455
ERR1913162.599450__1.599450	239935__A0A139TVJ4__CXT86_02020
ERR1913162.599627__1.599627	357276__I8WPR6__EL88_06675
ERR1913162.599680__1.599680	2173__A0A1D2WWU1__METSMIALI_01068
ERR1913162.600014__1.600014	301301__A0A395VA45__RHOM_02615
ERR1913162.600303__1.600303	239935__A0A2N8IVR0__CXT87_07115
ERR1913162.600309__1.600309	823__A0A395YRW4__DD466_15895
ERR1913162.600360__1.600360	1262882__R5MZ58__BN519_00525
ERR1913162.600333__1.600333	1262869__R7CLU9__BN625_01053
ERR1913162.600482__1.600482	239935__R7DVW2__CXU02_03915
ERR1913162.600607__1.600607	1262869__R7CU80__BN625_00417
ERR1913162.600675__1.600675	239935__R6J776__CXU07_02355
ERR1913162.600976__1.600976	100886__A0A174MQV9__ERS852383_06058
ERR1913162.601136__1.601136	1262882__R5MSQ8__BN519_01647
ERR1913162.601179__1.601179	292800__A0A174P641__tap_4
ERR1913162.601210__1.601210	239935__R7E524__CXT91_06180
ERR1913162.601254__1.601254	53442__A0A1E7S3R5__SAMN04515649_10324
ERR1913162.601457__1.601457	239935__A0A2N8J1K0__CXT97_05765
ERR1913162.601677__1.601677	2173__A0A1D2WSY6__Msm_1050
ERR1913162.601678__1.601678	1160721__R6U304__BHW50_05725
ERR1913162.601738__1.601738	410072__C0B8H9__ERS852481_01810
ERR1913162.602125__1.602125	1680__R5GZJ8__BSTER_1195
ERR1913162.602326__1.602326	39488__C0EVS1__ERS852450_02297
ERR1913162.602443__1.602443	2173__A0A1D2WVF8__Msm_1030
ERR1913162.603168__1.603168	1683__C4FCW5__BIFANG_02141
ERR1913162.603438__1.603438	39488__C0EUW7__ERS852578_01381
ERR1913162.603493__1.603493	1235835__R9LCU2__C814_02677
ERR1913162.603561__1.603561	418240__A0A174C465__ydaM
ERR1913162.603973__1.603973	357276__B6W5Q9__HMPREF1063_03125
ERR1913162.603978__1.603978	818__A0A174VDI6__BSIG_1023
ERR1913162.604046__1.604046	1897011__A0A1Q6RG59__BHW41_02475
ERR1913162.604305__1.604305	818__A0A174RFL1__ERS852511_03380
ERR1913162.604377__1.604377	2173__A0A1D2WY02__BK798_00680
ERR1913162.604519__1.604519	1262882__R5N1T9__BN519_00804
ERR1913162.604544__1.604544	328814__GCA_004558275.1_02294
ERR1913162.604763__1.604763	165179__A0A3E5AER8__DXB80_07075
ERR1913162.604810__1.604810	357276__I9RAC4__BSEG_00561
ERR1913162.605364__1.605364	1235835__R9LCU2__C814_02677
ERR1913162.605496__1.605496	1683__C4FCZ1__BIANG_1451
ERR1913162.605671__1.605671	1550024__A0A0W7TVC5__TQ39_00835
ERR1913162.605684__1.605684	1262882__R5N3H1__BN519_01121
ERR1913162.605730__1.605730	328814__GCA_004558275.1_01205
ERR1913162.605896__1.605896	1262882__R5N3H1__BN519_01121
ERR1913162.605866__1.605866	1262869__R7CPQ0__BN625_01575
ERR1913162.605877__1.605877	1262869__R7CQ04__BN625_01499
ERR1913162.606232__1.606232	214856__I3YPN0__ERS852447_01398
ERR1913162.606335__1.606335	1262882__R5MGK3__BN519_00655
ERR1913162.606370__1.606370	2173__A0A1D2WT15__BK798_04490
ERR1913162.606429__1.606429	1550024__A0A0D8IVV4__ASJ35_03610
ERR1913162.606433__1.606433	214856__I3YPP2__Alfi_2700
ERR1913162.606497__1.606497	239935__A0A139TT05__CXU09_03335
ERR1913162.606531__1.606531	2173__A0A1D2WTR0__METSMIALI_00480
ERR1913162.606535__1.606535	357276__D1JZM4__HMPREF1065_01278
ERR1913162.606629__1.606629	1262882__R5MDR8__BN519_00124
ERR1913162.606729__1.606729	1160721__W0U3Z9__RBI_I00543
ERR1913162.606872__1.606872	97478__A0A315ZK15__FC47_GL001870
ERR1913162.607118__1.607118	239935__A0A2N8IU14__ADH72_05655
ERR1913162.607139__1.607139	47678__R5UFW6__ERS852558_01575
ERR1913162.607408__1.607408	1262882__R5MS31__BN519_01529
ERR1913162.607453__1.607453	410072__A0A174ND44__ERS852389_01731
ERR1913162.607602__1.607602	47678__R5U558__ERS852558_02232
ERR1913162.607681__1.607681	239935__A0A2N8HDT1__CXT94_05270
ERR1913162.607959__1.607959	1262869__R7CV70__BN625_00699
ERR1913162.608048__1.608048	821__A0A0P0M4G3__M099_3092
ERR1913162.608215__1.608215	1262869__R7CML6__BN625_01178
ERR1913162.608506__1.608506	357276__A0A0K2HKT7__B5F95_21090
ERR1913162.608660__1.608660	1297617__A0A0S2W7Q1__C7373_1173
ERR1913162.608723__1.608723	39491__A0A396FFW0__ERE_10580
ERR1913162.608808__1.608808	823__A0A355XIK0__CEQ22_011965
ERR1913162.608825__1.608825	1550024__G9RX51__TQ39_04720
ERR1913162.608958__1.608958	1262882__R5MEK3__BN519_00296
ERR1913162.608969__1.608969	929814__GeneID:14006946
ERR1913162.609062__1.609062	357276__A0A0K2HI25__DXD47_04465
ERR1913162.609187__1.609187	1262882__R5MYX5__BN519_00333
ERR1913162.609155__1.609155	2173__A0A1D2WXI2__METSMIF1_02140
ERR1913162.609284__1.609284	2173__A0A1D2WU59__Msm_1444
ERR1913162.609421__1.609421	823__A0A355XF06__B5F32_11480
ERR1913162.609435__1.609435	239935__A0A2N8HTZ8__CXU09_01270
ERR1913162.609496__1.609496	47678__R5UME6__BACCAC_01239
ERR1913162.609768__1.609768	1262882__R5MGX3__BN519_00046
ERR1913162.609822__1.609822	2173__A0A1D2WW41__BK798_07915
