ERR1913014.505__1.505	487174__K0WU53__DDY40_07650
ERR1913014.2873209__1.2873209	820__A0A174DZ97__SAMN05444418_101240
ERR1913014.2873284__1.2873284	189722__E0NQU7__HMPREF0658_0548
ERR1913014.2873335__1.2873335	820__A0A374Q854__HMPREF1073_03281
ERR1913014.2873359__1.2873359	1512__A0A174IEH4__HMPREF9474_03659
ERR1913014.2873406__1.2873406	292800__A0A174P338__HMPREF0372_00533
ERR1913014.2873637__1.2873637	28117__B0MTI4__ALIPUT_00084
ERR1913014.2873648__1.2873648	1262911__R6GPL1__BN557_00927
ERR1913014.2873672__1.2873672	820__A0A3E4G3J9__ERS852459_02265
ERR1913014.2873712__1.2873712	820__A0A139KJ23__celCCA
ERR1913014.2873842__1.2873842	357276__A0A0M1W9N4__GV66_05135
ERR1913014.2873825__1.2873825	853__D4JY61__C4N21_10560
ERR1913014.2873858__1.2873858	820__A7V859__ERS852462_00341
ERR1913014.2873859__1.2873859	239935__A0A2N8IUE8__CXU20_02935
ERR1913014.2873862__1.2873862	239935__A0A2N8I9P4__CXT85_05050
ERR1913014.2873865__1.2873865	1262989__R6YJH8__BN815_00928
ERR1913014.2873870__1.2873870	1780376__A0A143XEY2__BN3659_00222
ERR1913014.2873992__1.2873992	820__A0A396EUV1__B5G17_06465
ERR1913014.2873999__1.2873999	1099853__R7DCM4__NSB1T_04695
ERR1913014.2874002__1.2874002	818__A0A2J6AAA9__NCTC10582_00162
ERR1913014.2874072__1.2874072	1099853__G9S612__NSB1T_01470
ERR1913014.2874140__1.2874140	820__A0A139KEW8__DXB64_06405
ERR1913014.2874149__1.2874149	1262700__R5XJU2__BN695_00943
ERR1913014.2874132__1.2874132	47678__R5UER2__CGC64_00710
ERR1913014.2874179__1.2874179	246787__I8V2S2__BACCELL_02524
ERR1913014.2874206__1.2874206	239935__R7E4Y3__CXU15_13135
ERR1913014.2874220__1.2874220	47678__R5USZ3__DXB67_12245
ERR1913014.2874252__1.2874252	821__D4VD59__BHV80_04260
ERR1913014.2874278__1.2874278	47678__R5UAI1__BACCAC_01922
ERR1913014.2874386__1.2874386	487174__K0WTV8__DIT83_04385
ERR1913014.2874388__1.2874388	821__A0A3E4HP25__SAMN04487923_102450
ERR1913014.2874396__1.2874396	106588__A6P303__BACCAP_04887
ERR1913014.2874458__1.2874458	818__A0A0P0FR20__BJP75_022685
ERR1913014.2874503__1.2874503	39492__D4JRZ7__smc
ERR1913014.2874515__1.2874515	246787__I9QX02__HMPREF1062_01641
ERR1913014.2874663__1.2874663	820__A0A173YYG4__evgS_3
ERR1913014.2874604__1.2874604	239935__A0A139TPD8__CXU12_11015
ERR1913014.2874617__1.2874617	47678__R5U7X8__C5Z00_18270
ERR1913014.2874757__1.2874757	821__A0A174JYD3__ERS852457_02610
ERR1913014.2874813__1.2874813	821__A0A0P0L8F8__ERS852509_03705
ERR1913014.2874857__1.2874857	818__A0A1H7TGM1__BJP75_010615
ERR1913014.2874913__1.2874913	820__A0A174CG08__DXB62_13215
ERR1913014.2874968__1.2874968	820__A0A139JRS5__HMPREF1073_04025
ERR1913014.2874975__1.2874975	239935__A0A139TSG7__CXU17_09600
ERR1913014.2875055__1.2875055	820__A0A374QGD2__ERS852421_02382
ERR1913014.2875057__1.2875057	239935__A0A2N8INZ4__CXU08_03560
ERR1913014.2875181__1.2875181	1263044__GCA_000433375.1_01436
ERR1913014.2875193__1.2875193	246787__A0A0P0GCH1__BACCELL_02793
ERR1913014.2875214__1.2875214	821__D4VC51__M099_1508
ERR1913014.2875313__1.2875313	820__A7V092__hldE
ERR1913014.2875318__1.2875318	820__A0A3E4RUC4__DHU98_02635
ERR1913014.2875373__1.2875373	1262700__R5XTV2__BN695_00575
ERR1913014.2875432__1.2875432	823__A0A395YQ63__B5F32_15335
ERR1913014.2875415__1.2875415	820__A7UYX8__DXD40_11635
ERR1913014.2875418__1.2875418	820__A0A139K1Y6__DXB48_02610
ERR1913014.2875530__1.2875530	820__A0A139KIL9__DXC68_05945
ERR1913014.2875568__1.2875568	239935__A0A2N8I9I3__CXU19_12035
ERR1913014.2875716__1.2875716	821__U6RDC2__DXD46_15675
ERR1913014.2875725__1.2875725	487174__K0WUJ8__DIT83_08050
ERR1913014.2875820__1.2875820	821__A0A396F598__CUU_3259
ERR1913014.2875858__1.2875858	487174__R5FMM3__DDY40_00820
ERR1913014.2876071__1.2876071	246787__A0A3D6AZF8__BACCELL_02529
ERR1913014.2876133__1.2876133	821__A0A0P0M2J4__DXD46_10295
ERR1913014.2876147__1.2876147	820__A0A174GYA8__DXB64_07370
ERR1913014.2876168__1.2876168	2049039__A0A316S5S8__DBY32_08720
ERR1913014.2876183__1.2876183	1262986__R6ASP8__BN492_01782
ERR1913014.2876289__1.2876289	28117__B0MYW7__ALIPUT_02336
ERR1913014.2876449__1.2876449	820__A0A3E4QZJ7__C801_01798
ERR1913014.2876466__1.2876466	818__A0A174TXD9__C799_03229
ERR1913014.2876503__1.2876503	239935__A0A2N8HCF5__CXU15_05660
ERR1913014.2876848__1.2876848	821__A0A396F1N0__M099_1553
ERR1913014.2876807__1.2876807	1550024__G9RPC6__TQ39_05630
ERR1913014.2877082__1.2877082	820__A0A174TRB5__DXD40_11305
ERR1913014.2877064__1.2877064	820__A0A174TRB5__DXD40_11305
ERR1913014.2877156__1.2877156	817__D1JKH2__M133_1377
ERR1913014.2877317__1.2877317	487175__F3QIX2__HMPREF9439_00872
ERR1913014.2877307__1.2877307	1653434__A0A150YAA9__DWW28_05970
ERR1913014.2877401__1.2877401	1501391__GCA_000786575.1_00115
ERR1913014.2877406__1.2877406	239935__A0A2N8IUW6__Amuc_1525
ERR1913014.2877422__1.2877422	333367__C0CU58__CLOSTASPAR_00507
ERR1913014.2877536__1.2877536	2108523__A0A2P2F214__LAWASA_27
ERR1913014.2877599__1.2877599	820__A0A139JRH8__HMPREF2141_04326
ERR1913014.2877672__1.2877672	821__A0A3E4WAR6__DXD64_10735
ERR1913014.2877710__1.2877710	371601__G1UK36__HMPREF1074_03496
ERR1913014.2877802__1.2877802	1263044__GCA_000433375.1_01436
ERR1913014.2877810__1.2877810	820__A0A3E4VZT7__DXB48_16145
ERR1913014.2877813__1.2877813	357276__B6VVS0__HMPREF1064_03951
ERR1913014.2877894__1.2877894	28117__B0MTY2__BHV66_06485
ERR1913014.2878131__1.2878131	47678__R5UZM4__DW706_15680
ERR1913014.2878111__1.2878111	487174__K0XDZ0__HMPREF9448_02863
ERR1913014.2878223__1.2878223	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913014.2878226__1.2878226	818__A0A3E5HNS1__BSIG_0465
ERR1913014.2878361__1.2878361	821__A0A0P0M4G3__M099_3092
ERR1913014.2878385__1.2878385	28117__B0MY40__BHV66_05170
ERR1913014.2878559__1.2878559	820__A0A3E4VZY4__ERS852554_01211
ERR1913014.2878574__1.2878574	818__A0A0P0F004__SAMN02910322_02925
ERR1913014.2878586__1.2878586	487174__K0X347__DIT83_07775
ERR1913014.2878639__1.2878639	189722__E0NQU7__HMPREF0658_0548
ERR1913014.2878673__1.2878673	1099853__G9S3X9__NSB1T_04035
ERR1913014.2878797__1.2878797	239935__A0A139TSG7__CXU17_09600
ERR1913014.2878893__1.2878893	239935__A0A139TSG7__CXU17_09600
ERR1913014.2878923__1.2878923	166486__D4KXZ7__ROSINTL182_05052
ERR1913014.2878933__1.2878933	454154__G5SVN0__HMPREF9441_03447
ERR1913014.2878952__1.2878952	39492__D4JUS6__accD5
ERR1913014.2879011__1.2879011	487174__K0XH97__HMPREF9448_01909
ERR1913014.2879066__1.2879066	821__A6KZK3__ERS852457_04265
ERR1913014.2879163__1.2879163	820__A0A3E4W4Y7__B5G17_02055
ERR1913014.2879173__1.2879173	28117__R7JLL3__ALIPUT_02219
ERR1913014.2879256__1.2879256	823__A0A395YRW4__DD466_15895
ERR1913014.2879266__1.2879266	1263064__GCA_000431175.1_02667
ERR1913014.2879431__1.2879431	1262954__R7FE57__BN611_02150
ERR1913014.2879418__1.2879418	626932__G5H6Y6__HMPREF9450_00829
ERR1913014.2879552__1.2879552	820__A0A374Q854__HMPREF1073_03281
ERR1913014.2879636__1.2879636	821__A0A395UNT8__DXD64_15275
ERR1913014.2879712__1.2879712	820__A0A374Q854__HMPREF1073_03281
ERR1913014.2879750__1.2879750	28117__B0MYZ8__BHV66_04535
ERR1913014.2879763__1.2879763	28117__B0MUR5__BHV66_03900
ERR1913014.2879881__1.2879881	820__A0A139K0J1__HMPREF2141_03205
ERR1913014.2879905__1.2879905	1099853__G9S433__NSB1T_07535
ERR1913014.2879955__1.2879955	1263005__R6EZM8__BN497_01947
ERR1913014.2880134__1.2880134	820__A0A174B4N2__M093_2531
ERR1913014.2880116__1.2880116	820__A0A139KIL9__DXC68_05945
ERR1913014.2880211__1.2880211	239935__A0A2N8IVT6__CXU13_08520
ERR1913014.2880354__1.2880354	818__D7I7V5__BJP75_001030
ERR1913014.2880435__1.2880435	189722__E0NQU7__HMPREF0658_0548
ERR1913014.2880523__1.2880523	818__A0A3E5GXM2__BJP75_025230
ERR1913014.2880643__1.2880643	487175__D9Y712__HMPREF9439_02495
ERR1913014.2880739__1.2880739	246787__A0A0P0GUU5__BACCELL_02894
ERR1913014.2880774__1.2880774	820__R9HXK9__DXB62_08265
ERR1913014.2880828__1.2880828	820__A0A396EXA7__DXB37_15530
ERR1913014.2880850__1.2880850	1099853__U5CGG1__NSB1T_14385
ERR1913014.2880875__1.2880875	28117__B0MTI4__ALIPUT_00084
ERR1913014.2880930__1.2880930	821__A0A396F598__CUU_3259
ERR1913014.2880959__1.2880959	169435__A0A1Y4MG33__B5F55_16525
ERR1913014.2880995__1.2880995	239935__A0A2N8HB50__CXU17_02615
ERR1913014.2881010__1.2881010	487174__K0XBH1__DIT83_01445
ERR1913014.2881047__1.2881047	820__A0A1T4IYF4__mprA_1
ERR1913014.2881165__1.2881165	28118__R6FJE6__NCTC10826_00111
ERR1913014.2881208__1.2881208	28118__F9Z3J9__B5F93_07500
ERR1913014.2881343__1.2881343	820__A0A3E4G493__ERS417307_00253
ERR1913014.2881389__1.2881389	1522__E4LV66__ADH65_01560
ERR1913014.2881563__1.2881563	818__A0A139KQP8__BJP75_006755
ERR1913014.2881648__1.2881648	820__A0A173WZS4__DXD90_10250
ERR1913014.2881827__1.2881827	239935__A0A2N8ITX2__CXT86_11265
ERR1913014.2881908__1.2881908	33025__A0A395J947__C8D73_11315
ERR1913014.2881920__1.2881920	821__A0A173XDD3__DXB82_17180
ERR1913014.2881921__1.2881921	823__A6LB63__M095_1847
ERR1913014.2882043__1.2882043	214856__A0A173Z0E2__ERS852447_00764
ERR1913014.2882071__1.2882071	239935__R6JAS2__CXU02_10725
ERR1913014.2882213__1.2882213	239935__A0A2N8IAY7__CXU13_02935
ERR1913014.2882261__1.2882261	40518__R5E0F2__RBATCC27255_01890
ERR1913014.2882247__1.2882247	823__A0A355WYX8__CF162_07950
ERR1913014.2882287__1.2882287	820__A0A3E4VZT7__DXB48_16145
ERR1913014.2882316__1.2882316	818__A0A174N1L6__ERS852511_02039
ERR1913014.2882329__1.2882329	239935__B2UNF6__CXU17_03450
ERR1913014.2882367__1.2882367	1099853__G9S6U1__NSB1T_01770
ERR1913014.2882384__1.2882384	39492__D4JWY1__rnfA_1
ERR1913014.2882417__1.2882417	818__A0A174T624__HMPREF2534_01176
ERR1913014.2882426__1.2882426	39492__D4JSS2__EUBSIR_00553
ERR1913014.2882450__1.2882450	28116__E5CCI3__NCTC11153_04275
ERR1913014.2882526__1.2882526	106588__A6NUL8__BACCAP_01900
ERR1913014.2882538__1.2882538	487175__D9Y8B5__HMPREF9439_02353
ERR1913014.2882777__1.2882777	28117__B0MY40__BHV66_05170
ERR1913014.2882829__1.2882829	1262989__R6ZCU5__BN815_00818
ERR1913014.2882840__1.2882840	310298__B3JII2__BACCOP_01694
ERR1913014.2882886__1.2882886	487174__K0XES7__HMPREF9448_00566
ERR1913014.2882925__1.2882925	820__A7V8C2__ERS852554_01338
ERR1913014.2882939__1.2882939	189722__E0NQU7__HMPREF0658_0548
ERR1913014.2883479__1.2883479	1550024__G9RVP3__TQ39_06315
ERR1913014.2883520__1.2883520	821__E5UPR6__SAMN04487923_101768
ERR1913014.2883646__1.2883646	47678__R5U3D5__DW706_05635
ERR1913014.2883661__1.2883661	818__A0A139KCA0__SAMN05216253_102371
ERR1913014.2883771__1.2883771	239935__A0A2N8IB69__CXU22_11315
ERR1913014.2883812__1.2883812	189722__E0NQU7__HMPREF0658_0548
ERR1913014.2883869__1.2883869	239935__A0A2N8IDX4__CXU20_07380
ERR1913014.2883889__1.2883889	333367__C0CY11__CLOSTASPAR_01887
ERR1913014.2883907__1.2883907	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913014.2883974__1.2883974	239935__A0A2N8I390__CXU16_10675
ERR1913014.2884069__1.2884069	239935__R6IZT7__CXU18_11710
ERR1913014.2884140__1.2884140	820__A0A173XIP7__B5G17_16050
ERR1913014.2884108__1.2884108	357276__I9QBT7__BSEG_03340
ERR1913014.2884109__1.2884109	214856__R6YD52__ERS852447_02171
ERR1913014.2884216__1.2884216	2049039__A0A316SG69__DBY32_08730
ERR1913014.2884262__1.2884262	820__A0A139K4T0__ERS852510_03146
ERR1913014.2884311__1.2884311	40518__R5E5I9__yvhJ_2
ERR1913014.2884323__1.2884323	820__A0A174R952__DXB48_02570
ERR1913014.2884457__1.2884457	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913014.2884740__1.2884740	47678__A5ZJ14__ERS852494_02225
ERR1913014.2884928__1.2884928	818__D7I8A4__C799_02600
ERR1913014.2885019__1.2885019	310298__B3JII2__BACCOP_01694
ERR1913014.2884959__1.2884959	1262743__R5C054__BN727_01980
ERR1913014.2885039__1.2885039	823__A6LER2__ERS852513_00365
ERR1913014.2885157__1.2885157	487174__R5EXS5__HMPREF9448_02541
ERR1913014.2885180__1.2885180	821__A0A3E4XY72__NCTC10583_01067
ERR1913014.2885182__1.2885182	357276__B6W1J2__BACDOR_03380
ERR1913014.2885211__1.2885211	821__C6ZAA5__ERS852556_00403
ERR1913014.2885320__1.2885320	820__A0A174QT76__B5G17_18060
ERR1913014.2885437__1.2885437	246787__E2N7F5__AA416_04404
ERR1913014.2885583__1.2885583	487174__K0X773__DIT83_07170
ERR1913014.2885685__1.2885685	820__A0A3E4G826__C801_01612
ERR1913014.2885693__1.2885693	562__P26458__cydB
ERR1913014.2885698__1.2885698	239935__A0A2N8IAZ5__xseA
ERR1913014.2885743__1.2885743	239935__A0A139TMY7__CXU13_02020
ERR1913014.2885931__1.2885931	820__A0A173YYG4__evgS_3
ERR1913014.2885947__1.2885947	820__A0A374QGD2__ERS852421_02382
ERR1913014.2886176__1.2886176	820__A0A3E4G493__ERS417307_00253
ERR1913014.2886198__1.2886198	821__A0A3E4KIM1__M097_3660
ERR1913014.2886243__1.2886243	1262700__R5XTV2__BN695_00575
ERR1913014.2886269__1.2886269	820__A7UYX8__DXD40_11635
ERR1913014.2886313__1.2886313	821__A0A0P0L8F8__ERS852509_03705
ERR1913014.2886393__1.2886393	821__D4V4X2__DXC16_18525
ERR1913014.2886435__1.2886435	214856__A0A173ZR84__ERS852559_00013
ERR1913014.2886486__1.2886486	239935__R6IYQ1__CXU15_06450
ERR1913014.2886563__1.2886563	671267__R9IB12__C802_00696
ERR1913014.2886649__1.2886649	818__A0A0P0F391__BJP75_009470
ERR1913014.2886697__1.2886697	33025__A0A395J8P0__C8D73_1144
ERR1913014.2886755__1.2886755	239935__A0A2N8I365__CXU20_11690
ERR1913014.2886814__1.2886814	820__A0A173YYG4__evgS_3
ERR1913014.2886819__1.2886819	820__A0A174R952__DXB48_02570
ERR1913014.2886911__1.2886911	239935__A0A139TMY7__CXU13_02020
ERR1913014.2886876__1.2886876	1262700__R5XKK5__BN695_01205
ERR1913014.2886890__1.2886890	1550024__G9RQ59__TQ39_14360
ERR1913014.2886945__1.2886945	820__A0A374Q854__HMPREF1073_03281
ERR1913014.2886957__1.2886957	246787__A0A0N7IFC5__HMPREF1062_01960
ERR1913014.2886961__1.2886961	820__A0A078S4C2__ERS417307_00828
ERR1913014.2887012__1.2887012	821__A0A0P0M2J4__DXD46_10295
ERR1913014.2887111__1.2887111	818__A0A3E5HZF3__HMPREF2534_03697
ERR1913014.2887128__1.2887128	246787__A0A0P0GM17__BACCELL_03224
ERR1913014.2887133__1.2887133	823__A0A355XN73__DXC05_07000
ERR1913014.2887186__1.2887186	40518__R5DUU2__yvhJ_2
ERR1913014.2887195__1.2887195	84112__F0HQ18__Elen_3101
ERR1913014.2887299__1.2887299	1547__G9QWQ7__DW242_03955
ERR1913014.2887380__1.2887380	40518__R5DU28__DXD86_07960
ERR1913014.2887455__1.2887455	239935__R6JAS2__CXU02_10725
ERR1913014.2887562__1.2887562	820__A0A3E4GE89__DXB48_02565
ERR1913014.2887680__1.2887680	820__A0A3E5E0T0__ERS852554_00312
ERR1913014.2887746__1.2887746	47678__A5ZH12__DXB67_04890
ERR1913014.2887819__1.2887819	821__A0A3E4HP25__SAMN04487923_102450
ERR1913014.2887915__1.2887915	1262700__R5XUF1__BN695_00765
ERR1913014.2888073__1.2888073	818__A0A3E5H5M0__SAMN05216253_12081
ERR1913014.2888291__1.2888291	1263005__R6EXU9__BN497_01388
ERR1913014.2888303__1.2888303	1262700__R5XLR5__BN695_01665
ERR1913014.2888320__1.2888320	246787__E2N7F5__AA416_04404
ERR1913014.2888437__1.2888437	820__E5VA63__DXC80_01025
ERR1913014.2888398__1.2888398	39492__D4JSS2__EUBSIR_00553
ERR1913014.2888544__1.2888544	820__R9HXK9__DXB62_08265
ERR1913014.2888630__1.2888630	820__A0A173YYG4__evgS_3
ERR1913014.2888844__1.2888844	821__A0A0P0LJ37__DXB82_14270
ERR1913014.2888858__1.2888858	239935__R6IZT7__CXU18_11710
ERR1913014.2888910__1.2888910	820__A0A374Q854__HMPREF1073_03281
ERR1913014.2888974__1.2888974	818__A0A174V5M6__BT_1963
ERR1913014.2888940__1.2888940	239935__R6IZT7__CXU18_11710
ERR1913014.2889081__1.2889081	214856__A0A174FWM7__ERS852559_00590
ERR1913014.2889145__1.2889145	820__A0A396EUV1__B5G17_06465
ERR1913014.2889125__1.2889125	246787__A0A0P0GDM7__BcellWH2_03148
ERR1913014.2889159__1.2889159	460384__A0A1I0EI52__SAMN05216313_106156
ERR1913014.2889176__1.2889176	820__A0A139KEW8__DXB64_06405
ERR1913014.2889238__1.2889238	28118__F9Z5M1__NCTC10826_02946
ERR1913014.2889346__1.2889346	328814__GCA_004558275.1_00067
ERR1913014.2889472__1.2889472	821__A0A3E4HP25__SAMN04487923_102450
ERR1913014.2889476__1.2889476	239935__A0A139TSG7__CXU17_09600
ERR1913014.2889500__1.2889500	246787__A0A3D6B2C7__BcellWH2_03259
ERR1913014.2889555__1.2889555	1262743__R5C054__BN727_01980
ERR1913014.2889614__1.2889614	820__A0A374Q8T2__DXB64_16190
ERR1913014.2889661__1.2889661	239935__A0A139TT05__CXU09_03335
ERR1913014.2889647__1.2889647	821__A0A397WGD6__M098_0084
ERR1913014.2889708__1.2889708	239935__B2UQP8__CXU15_01110
ERR1913014.2889721__1.2889721	820__A0A139K4T0__ERS852510_03146
ERR1913014.2889747__1.2889747	1262700__R5XWP9__BN695_01562
ERR1913014.2889815__1.2889815	246787__A0A0P0FSC9__BACCELL_02534
ERR1913014.2889855__1.2889855	239935__A0A2N8IAZ5__xseA
ERR1913014.2889864__1.2889864	1262700__R5XWP0__BN695_01552
ERR1913014.2890029__1.2890029	821__A0A173WG51__BVU_2549
ERR1913014.2890063__1.2890063	189722__E0NQU7__HMPREF0658_0548
ERR1913014.2890099__1.2890099	818__A0A174N1L6__ERS852511_02039
ERR1913014.2890102__1.2890102	1522__E4LVY4__HMPREF1094_00730
ERR1913014.2890379__1.2890379	47678__R5UT83__DW706_09750
ERR1913014.2890489__1.2890489	821__C6ZAA5__ERS852556_00403
ERR1913014.2890526__1.2890526	1262700__R5XBJ0__BN695_01214
ERR1913014.2890741__1.2890741	487175__D9Y5V4__HMPREF9439_00443
ERR1913014.2890777__1.2890777	823__A6LEF3__ERS852560_01356
ERR1913014.2890794__1.2890794	239935__R6IZT7__CXU18_11710
ERR1913014.2890849__1.2890849	820__A0A3E4G3J9__ERS852459_02265
ERR1913014.2890854__1.2890854	820__A0A139KEW8__DXB64_06405
ERR1913014.2890869__1.2890869	33025__A0A395JAJ0__C8D73_107105
ERR1913014.2890881__1.2890881	246787__A0A0P0FSC9__BACCELL_02534
ERR1913014.2890935__1.2890935	1736__E3GQW2__ELI_4470
ERR1913014.2891019__1.2891019	239935__A0A2N8J2P6__ADH72_06730
ERR1913014.2891163__1.2891163	818__A0A3E5HWN5__BSIG_3066
ERR1913014.2891241__1.2891241	820__A0A139KEW8__DXB64_06405
ERR1913014.2891207__1.2891207	1547__G9QXW8__DW242_05300
ERR1913014.2891367__1.2891367	47678__R5U3A7__ERS852494_02965
ERR1913014.2891444__1.2891444	820__A0A173YYG4__evgS_3
ERR1913014.2891447__1.2891447	239935__A0A139TMY7__CXU13_02020
ERR1913014.2891563__1.2891563	1099853__U5CER2__NSB1T_13270
ERR1913014.2891628__1.2891628	818__A0A0P0F7K1__ERS852461_02719
ERR1913014.2891713__1.2891713	239935__A0A2N8HPX2__CXT90_09930
ERR1913014.2891776__1.2891776	1099853__G9S1Y4__NSB1T_08325
ERR1913014.2891860__1.2891860	821__E5UY21__C800_02204
ERR1913014.2891929__1.2891929	1262989__R6XV98__BN815_00688
ERR1913014.2891934__1.2891934	239935__A0A139TPD8__CXU12_11015
ERR1913014.2892020__1.2892020	33025__A0A395J8S5__C8D73_1124
ERR1913014.2892100__1.2892100	1550024__A0A0D8IWH3__ASJ35_08185
ERR1913014.2892133__1.2892133	33025__A0A395JB30__C8D73_1034
ERR1913014.2892186__1.2892186	239935__A0A2N8HPG4__CXU16_03730
ERR1913014.2892245__1.2892245	239935__R6IZU4__CXT87_08085
ERR1913014.2892252__1.2892252	820__A0A3E4VXP2__yesR
ERR1913014.2892267__1.2892267	246787__I8V2S2__BACCELL_02524
ERR1913014.2892331__1.2892331	823__A0A173W404__DHP27_04905
ERR1913014.2892493__1.2892493	823__A0A355XLT7__HMPREF1075_03402
ERR1913014.2892554__1.2892554	626932__G5HA68__HMPREF9450_01533
ERR1913014.2892587__1.2892587	239935__A0A139TTZ7__CXU14_07900
ERR1913014.2892617__1.2892617	39492__D4JSS2__EUBSIR_00553
ERR1913014.2892765__1.2892765	820__A0A3E4G3J9__ERS852459_02265
ERR1913014.2892775__1.2892775	818__D7I7V5__BJP75_001030
ERR1913014.2892841__1.2892841	820__A0A374Q854__HMPREF1073_03281
ERR1913014.2892916__1.2892916	214856__A0A175A6T5__ERS852447_02658
ERR1913014.2893025__1.2893025	820__I9TWZ7__DXC80_10550
ERR1913014.2893120__1.2893120	1262700__R5XEQ4__BN695_01576
ERR1913014.2893146__1.2893146	239935__A0A2N8IDX4__CXU20_07380
ERR1913014.2893215__1.2893215	818__Q8A3A6__Btheta7330_00071
ERR1913014.2893379__1.2893379	820__A0A174FUF0__HMPREF1073_03308
ERR1913014.2893449__1.2893449	853__A0A174BA00__DW905_01145
ERR1913014.2893615__1.2893615	820__A0A174F0C1__nreB
ERR1913014.2893668__1.2893668	28117__B0MZ14__ALIPUT_02383
ERR1913014.2893632__1.2893632	1550024__A0A0D8J0Y8__ASJ35_08680
ERR1913014.2893841__1.2893841	821__D4VD59__BHV80_04260
ERR1913014.2893868__1.2893868	818__A0A174L0X1__NCTC10582_00394
ERR1913014.2893998__1.2893998	246787__A0A3D6AV26__BcellWH2_02579
ERR1913014.2894014__1.2894014	820__A0A374MMF0__HMPREF1073_03811
ERR1913014.2894021__1.2894021	1099853__G9S842__NSB1T_03200
ERR1913014.2894216__1.2894216	823__A0A078S9Y4__M096_1441
ERR1913014.2894337__1.2894337	820__A7UYG6__M094_0070
ERR1913014.2894455__1.2894455	28117__B0MXW9__ALIPUT_01981
ERR1913014.2894564__1.2894564	246787__A0A0P0GET5__AA416_04410
ERR1913014.2894661__1.2894661	239935__B2URL9__CXU12_02290
ERR1913014.2894685__1.2894685	239935__A0A2N8HX65__CXU17_02540
ERR1913014.2894690__1.2894690	487174__K0X591__DDY40_01805
ERR1913014.2894771__1.2894771	39492__R6RYB8__ERS852540_00322
ERR1913014.2894822__1.2894822	1547__B0N2G1__DXB93_02260
ERR1913014.2894895__1.2894895	487174__K0X591__DDY40_01805
ERR1913014.2895160__1.2895160	28117__R7JIJ8__BHV66_01635
ERR1913014.2895203__1.2895203	820__A7UYX8__DXD40_11635
ERR1913014.2895354__1.2895354	47678__R5UPZ8__ERS852494_01752
ERR1913014.2895404__1.2895404	818__A0A2J6AAA9__NCTC10582_00162
ERR1913014.2895528__1.2895528	239935__R6IYQ1__CXU15_06450
ERR1913014.2895550__1.2895550	820__A0A174F0C1__nreB
ERR1913014.2895622__1.2895622	28117__B0MT73__ALIPUT_00412
ERR1913014.2895678__1.2895678	821__A0A395UNT8__DXD64_15275
ERR1913014.2895710__1.2895710	1262700__R5XUF1__BN695_00765
ERR1913014.2895765__1.2895765	239935__A0A2N8IQX1__dnaA
ERR1913014.2895815__1.2895815	154046__D3ANE7__DWZ21_25610
ERR1913014.2895816__1.2895816	818__A0A3E5HE16__C5Z03_22745
ERR1913014.2895823__1.2895823	818__A0A3E5HWN5__BSIG_3066
ERR1913014.2895921__1.2895921	333367__C0CUA7__CLOSTASPAR_00556
ERR1913014.2895945__1.2895945	820__A7V9F9__B5G17_14640
ERR1913014.2896052__1.2896052	239935__A0A2N8IAZ5__xseA
ERR1913014.2895999__1.2895999	820__R7E9Z4__DXC68_06065
ERR1913014.2896344__1.2896344	820__A0A173WZS4__DXD90_10250
ERR1913014.2896358__1.2896358	1262756__R5WRS9__BN568_01800
ERR1913014.2896576__1.2896576	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913014.2896678__1.2896678	820__A0A3E4PYB0__yejM
ERR1913014.2896914__1.2896914	818__A0A139K023__trxA_3
ERR1913014.2896935__1.2896935	28117__R7JJM9__ALIPUT_00662
ERR1913014.2897121__1.2897121	246787__A0A0P0GM17__BACCELL_03224
ERR1913014.2897146__1.2897146	1099853__R7DG25__NSB1T_10155
ERR1913014.2897198__1.2897198	357276__I9QBT7__BSEG_03340
ERR1913014.2897199__1.2897199	820__A7VAR9__ERS852421_00197
ERR1913014.2897272__1.2897272	821__I9R3W6__DXC16_12455
ERR1913014.2897251__1.2897251	821__U6RDC2__DXD46_15675
ERR1913014.2897390__1.2897390	239935__R6IZT7__CXU18_11710
ERR1913014.2897641__1.2897641	818__A0A0P0FI06__BJP75_017205
ERR1913014.2897653__1.2897653	214856__A0A174FWM7__ERS852559_00590
ERR1913014.2897736__1.2897736	818__Q8A3A6__Btheta7330_00071
ERR1913014.2897758__1.2897758	239935__R6JAS2__CXU02_10725
ERR1913014.2897865__1.2897865	333367__C0CST2__CLOSTASPAR_00026
ERR1913014.2897940__1.2897940	820__A0A139K1Y6__DXB48_02610
ERR1913014.2898040__1.2898040	1739341__E9FLM4__HMPREF2837_07520
ERR1913014.2898161__1.2898161	292800__A0A096BAF6__HMPREF9460_01483
ERR1913014.2898249__1.2898249	239935__A0A2N8HB50__CXU17_02615
ERR1913014.2898309__1.2898309	820__I9TWZ7__DXC80_10550
ERR1913014.2898329__1.2898329	239935__A0A139TTZ7__CXU14_07900
ERR1913014.2898338__1.2898338	820__A0A1Y3V743__M093_0235
ERR1913014.2898393__1.2898393	820__A0A3E4VZT7__DXB48_16145
ERR1913014.2898353__1.2898353	820__A0A3E4W984__pssA
