ERR1913190.25__1.25	39491__C4ZC33__DXC13_11585
ERR1913190.423659__1.423659	820__A0A174QLF0__SAMN05444418_109151
ERR1913190.423735__1.423735	165179__A0A174IHQ2__PREVCOP_05478
ERR1913190.423776__1.423776	301301__A0A395VFD3__ERS852391_02492
ERR1913190.424010__1.424010	165179__A0A3E5E9I4__DXB80_09745
ERR1913190.424042__1.424042	165179__A0A3E5DZ45__DXC61_02820
ERR1913190.424126__1.424126	544645__A0A1U7LBK0__DXC42_07670
ERR1913190.424220__1.424220	165179__A0A3E5E2S3__DXB80_03455
ERR1913190.424272__1.424272	1628085__A0A3E2XRG6__C7386_10212
ERR1913190.424371__1.424371	28117__R7JIY2__BHV66_06465
ERR1913190.424402__1.424402	1263000__R5EH44__BN466_01492
ERR1913190.424514__1.424514	246787__I9EAB0__BACCELL_00131
ERR1913190.424644__1.424644	1262992__R5DA07__BN795_01576
ERR1913190.424815__1.424815	165179__D1P9T6__PREVCOP_04016
ERR1913190.424958__1.424958	1262988__R7N789__BN816_02633
ERR1913190.425081__1.425081	1897011__A0A1Q6RJI3__BHW41_00255
ERR1913190.425143__1.425143	823__A0A395YVY3__ERS852513_03204
ERR1913190.425255__1.425255	165179__D1PGJ6__DXC61_07300
ERR1913190.425396__1.425396	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913190.425492__1.425492	1262882__R5MFA5__BN519_00331
ERR1913190.425512__1.425512	1160721__R6T2Y3__RBI_II00189
ERR1913190.425548__1.425548	47678__A5ZHJ2__DXB67_12405
ERR1913190.425780__1.425780	214856__A0A174ZED5__ERS852559_00591
ERR1913190.425880__1.425880	1262882__R5MSI5__BN519_01596
ERR1913190.425941__1.425941	33025__A0A395JB55__C8D73_104122
ERR1913190.426051__1.426051	360807__A0A0M6WAF4__ERS852392_02663
ERR1913190.426032__1.426032	165179__R6CNX7__DXB80_02200
ERR1913190.426170__1.426170	357276__A0A076II57__GV66_07710
ERR1913190.426295__1.426295	165179__D1P8V8__DXC61_01940
ERR1913190.426324__1.426324	1263000__R5EMM7__BN466_00616
ERR1913190.426339__1.426339	487174__K0X9T7__HMPREF9448_00996
ERR1913190.426725__1.426725	1897011__A0A1Q6RDN9__BHW41_05070
ERR1913190.426764__1.426764	165179__R6CNX7__DXB80_02200
ERR1913190.426836__1.426836	301302__A0A0M6WZT5__M72_18331
ERR1913190.426989__1.426989	165179__W1I4H6__DXB80_13655
ERR1913190.427416__1.427416	28117__R7JPX7__BHV66_00900
ERR1913190.427462__1.427462	1897011__A0A1Q6RD94__BHW41_05840
ERR1913190.427642__1.427642	1263000__R5EUM2__BN466_01747
ERR1913190.427649__1.427649	1262882__R5N0J9__BN519_00773
ERR1913190.427907__1.427907	1262882__R5N1L4__BN519_00757
ERR1913190.428325__1.428325	165179__A0A3E5AEF7__DXC61_05000
ERR1913190.428390__1.428390	165179__D1PGD2__DXC61_10875
ERR1913190.428428__1.428428	165179__A0A3E5AF88__DXC61_14960
ERR1913190.428432__1.428432	1263000__R5F0H4__BN466_00249
ERR1913190.428485__1.428485	1262992__R5CXM7__BN795_01016
ERR1913190.428540__1.428540	1263000__R5EGY6__BN466_00973
ERR1913190.428629__1.428629	165179__D1PE06__DXC61_05975
ERR1913190.428666__1.428666	214856__R6XTZ7__ERS852447_02314
ERR1913190.428732__1.428732	1262882__R5MH82__BN519_00752
ERR1913190.428759__1.428759	165179__A0A3E5DV57__DXB80_11400
ERR1913190.428784__1.428784	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913190.428853__1.428853	165179__R6CNX7__DXB80_02200
ERR1913190.428898__1.428898	165179__R6BQP4__DXC61_02015
ERR1913190.428935__1.428935	165179__R6C3K4__PREVCOP_05795
ERR1913190.429028__1.429028	1262882__R5MKW1__BN519_00390
ERR1913190.429220__1.429220	371601__D6CWZ8__CW3_1356
ERR1913190.429236__1.429236	165179__D1PCT4__DXB80_09470
ERR1913190.429348__1.429348	820__A0A3E4RU03__M093_0563
ERR1913190.429351__1.429351	165179__D1PE06__DXC61_05975
ERR1913190.429601__1.429601	817__D1JR15__M117_0303
ERR1913190.429742__1.429742	1262882__R5MMD8__BN519_01576
ERR1913190.429788__1.429788	1262882__R5MRT2__BN519_01494
ERR1913190.429939__1.429939	552398__F4XCR9__HMPREF0866_01636
ERR1913190.430042__1.430042	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913190.430126__1.430126	1897011__A0A1Q6RFK0__BHW41_03420
ERR1913190.430266__1.430266	28117__B0MUX4__ALIPUT_00911
ERR1913190.430291__1.430291	1262882__R5N5S3__BN519_00085
ERR1913190.430830__1.430830	46228__V8C7Q2__RUMLAC_01460
ERR1913190.430839__1.430839	1262882__R5MND9__BN519_00831
ERR1913190.430886__1.430886	1897011__A0A1Q6RG48__BHW41_02345
ERR1913190.431023__1.431023	28117__R7JIJ8__BHV66_01635
ERR1913190.431043__1.431043	1263000__R5EMW8__BN466_00256
ERR1913190.431098__1.431098	1262882__R5MGX3__BN519_00046
ERR1913190.431219__1.431219	1263006__R6LYW4__BN515_01529
ERR1913190.431266__1.431266	1897011__A0A1Q6RE83__BHW41_04925
ERR1913190.431274__1.431274	820__A0A3E4XDK3__ERS852554_03650
ERR1913190.431310__1.431310	1262882__R5N1N6__BN519_00968
ERR1913190.431339__1.431339	165179__A0A3E5DZ45__DXC61_02820
ERR1913190.431489__1.431489	165179__A0A3E5EB26__CFT61_02800
ERR1913190.431663__1.431663	1262882__R5MLT4__BN519_01496
ERR1913190.431833__1.431833	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913190.432457__1.432457	33025__A0A395JBA6__C8D73_1039
ERR1913190.432803__1.432803	387090__S0F8B2__BACCOPRO_02129
ERR1913190.432911__1.432911	165179__A0A229I4J4__proA
ERR1913190.433074__1.433074	1262882__R5MZ06__BN519_00492
ERR1913190.433100__1.433100	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913190.433176__1.433176	2173__A0A1D2WRC1__Msm_0093
ERR1913190.433271__1.433271	165179__A0A3E5E2C8__folA
ERR1913190.433313__1.433313	552398__F4XCQ4__HMPREF0866_01621
ERR1913190.433371__1.433371	1262882__R5N3H1__BN519_01121
ERR1913190.433659__1.433659	165179__A0A174SA26__PREVCOP_05758
ERR1913190.433703__1.433703	1262911__R6GY78__BN557_00532
ERR1913190.433745__1.433745	301301__A0A395VFD3__ERS852391_02492
ERR1913190.433816__1.433816	823__A6LBY1__ERS852380_00510
ERR1913190.433959__1.433959	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913190.433986__1.433986	165179__D1PHV2__PREVCOP_06822
ERR1913190.434010__1.434010	626933__H1DGX0__HMPREF9449_01506
ERR1913190.434094__1.434094	301301__G2T5S1__gsiA_1
ERR1913190.434131__1.434131	301302__R5UU15__ERS852420_02998
ERR1913190.434136__1.434136	165179__R6XLJ7__CFT61_06250
ERR1913190.434308__1.434308	214856__R6XQX8__ERS852559_02550
ERR1913190.434218__1.434218	1378168__V2YA11__N510_02528
ERR1913190.434241__1.434241	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913190.434333__1.434333	371601__D7J4G5__DXD80_07740
ERR1913190.434371__1.434371	165179__R6C3K4__PREVCOP_05795
ERR1913190.434418__1.434418	165179__A0A3E5E8N5__DXC61_13460
ERR1913190.434487__1.434487	301301__A0A395V407__ERS852391_02230
ERR1913190.434507__1.434507	357276__I9QPN3__EL88_09245
ERR1913190.434527__1.434527	165179__A0A174W369__PREVCOP_04548
ERR1913190.434600__1.434600	371601__A0A139LNL6__ERS852396_04350
ERR1913190.434653__1.434653	165179__A0A3E5DZA5__DXB80_12550
ERR1913190.434730__1.434730	1262882__R5MQ68__BN519_01178
ERR1913190.434795__1.434795	165179__D1PCL6__DXB80_13435
ERR1913190.434946__1.434946	1262882__R5N511__BN519_01592
ERR1913190.434925__1.434925	165179__A0A3E5EB26__CFT61_02800
ERR1913190.435020__1.435020	165179__D1P8K1__DXB80_06045
ERR1913190.435254__1.435254	1262882__R5MZF2__BN519_00592
ERR1913190.435279__1.435279	165179__W1I4H6__DXB80_13655
ERR1913190.435304__1.435304	1263000__R5F0P4__BN466_00308
ERR1913190.435436__1.435436	1262882__R5MGS8__BN519_00565
ERR1913190.435455__1.435455	301301__A0A395V8W4__RHOM_04130
ERR1913190.435601__1.435601	487174__R5ER56__HMPREF9448_02812
ERR1913190.435732__1.435732	328813__A0A1Y3QQ66__B5G41_14240
ERR1913190.435892__1.435892	820__A0A174Q0F0__DXB48_08080
ERR1913190.436220__1.436220	165179__A0A174W369__PREVCOP_04548
ERR1913190.436338__1.436338	301301__A0A395V8M7__ERS852391_00967
ERR1913190.436300__1.436300	1262882__R5ML49__BN519_01361
ERR1913190.436460__1.436460	1262882__R5MFA5__BN519_00331
ERR1913190.436657__1.436657	33025__A0A395JAA6__C8D73_10641
ERR1913190.436804__1.436804	544645__A0A1U7L710__DXC42_05105
ERR1913190.436857__1.436857	165179__D1PGU8__PREVCOP_06463
ERR1913190.436927__1.436927	165179__A0A174IHQ2__PREVCOP_05478
ERR1913190.437259__1.437259	1262992__R5DC57__BN795_01509
ERR1913190.437341__1.437341	821__A0A3E4XY72__NCTC10583_01067
ERR1913190.437495__1.437495	165179__A0A174SR12__DXB80_04410
ERR1913190.437564__1.437564	165179__A0A3E5E920__DXB80_11625
ERR1913190.437642__1.437642	165179__D1P9T6__PREVCOP_04016
ERR1913190.437651__1.437651	1262882__R5MHZ2__BN519_00742
ERR1913190.437854__1.437854	214856__R6XP73__ERS852447_00886
ERR1913190.437813__1.437813	165179__D1PE06__DXC61_05975
ERR1913190.438030__1.438030	165179__D1PEW8__DXB80_13775
ERR1913190.438094__1.438094	1897011__A0A1Q6RI77__BHW41_01180
ERR1913190.438298__1.438298	301301__A0A395V3Q5__sufB
ERR1913190.438353__1.438353	1262882__R5MLK3__BN519_00491
ERR1913190.438711__1.438711	165179__R6CNX7__DXB80_02200
ERR1913190.438840__1.438840	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913190.438946__1.438946	371601__A0A1C7H1Z9__BN890_35950
ERR1913190.438957__1.438957	28116__A0A139LL51__B5F02_01570
ERR1913190.439312__1.439312	360807__A0A1Q6TAV1__ROSEINA2194_00431
ERR1913190.439443__1.439443	214856__A0A175A6T5__ERS852447_02658
ERR1913190.439735__1.439735	1262882__R5MT08__BN519_01706
ERR1913190.439863__1.439863	165179__D1PGJ6__DXC61_07300
ERR1913190.439945__1.439945	301302__R5VFU2__xynA1
ERR1913190.440212__1.440212	1262882__R5MIW5__BN519_00945
ERR1913190.440299__1.440299	165179__W1I4H6__DXB80_13655
ERR1913190.440436__1.440436	1262992__R5DBL4__BN795_01435
ERR1913190.440674__1.440674	28117__R7JPX7__BHV66_00900
ERR1913190.441001__1.441001	165179__R6C3K4__PREVCOP_05795
ERR1913190.441379__1.441379	39486__B0G8H8__DXD10_14350
ERR1913190.441701__1.441701	165179__D1P8K1__DXB80_06045
ERR1913190.441706__1.441706	33025__A0A395JEP7__C8D73_10844
ERR1913190.441825__1.441825	820__A0A174QLF0__SAMN05444418_109151
ERR1913190.442082__1.442082	1680__A1A0V3__C8077_03025
ERR1913190.442178__1.442178	1263000__R5EFJ5__BN466_01372
ERR1913190.442579__1.442579	39485__A0A174ZA72__glgB_1
ERR1913190.442680__1.442680	357276__I8WPR6__EL88_06675
ERR1913190.442922__1.442922	214856__A0A174AYS4__ERS852447_01192
ERR1913190.442933__1.442933	1262882__R5N526__BN519_01603
ERR1913190.443065__1.443065	165179__A0A3E5E189__PREVCOP_06699
ERR1913190.443071__1.443071	165179__W1I4H6__DXB80_13655
ERR1913190.443265__1.443265	1263000__R5EUM2__BN466_01747
ERR1913190.443329__1.443329	357276__I8VN30__HMPREF1065_03051
ERR1913190.443601__1.443601	1897011__A0A1Q6RG62__BHW41_02455
ERR1913190.443610__1.443610	626932__G5HA20__HMPREF9450_01485
ERR1913190.443617__1.443617	214856__R6Y6H8__ERS852447_01719
ERR1913190.443680__1.443680	820__A0A3E4G2R7__DXC07_00510
ERR1913190.443826__1.443826	165179__A0A3E5A5E5__DXC61_13965
ERR1913190.443840__1.443840	820__A0A173YYG4__evgS_3
ERR1913190.444088__1.444088	165179__A0A229I1J2__DXB80_03950
ERR1913190.444146__1.444146	28117__B0MU76__ALIPUT_00202
ERR1913190.444173__1.444173	165179__A0A3E5E8N5__DXC61_13460
ERR1913190.444254__1.444254	165179__A0A229I6N7__DXC61_06720
ERR1913190.444423__1.444423	47678__R5U9Z0__HMPREF1061_03210
ERR1913190.444583__1.444583	626932__G5H6E6__HMPREF9450_00506
ERR1913190.444682__1.444682	1262992__R5DAK8__BN795_01248
ERR1913190.444883__1.444883	39485__C4Z637__ERS852490_00218
ERR1913190.445009__1.445009	1263000__R5EQY7__BN466_01150
ERR1913190.445079__1.445079	1263000__R5EK63__BN466_02075
ERR1913190.445187__1.445187	1263000__R5EHB0__BN466_01647
ERR1913190.445295__1.445295	1262992__R5D8P4__BN795_00650
ERR1913190.445240__1.445240	360807__A0A0M6WCK5__ROSEINA2194_01361
ERR1913190.445429__1.445429	165179__D1P9T6__PREVCOP_04016
ERR1913190.445536__1.445536	1262882__R5MS31__BN519_01529
ERR1913190.445915__1.445915	165179__A0A3E5DY64__CFT61_10025
ERR1913190.446045__1.446045	853__A0A3E2U7E6__ERS852582_01640
ERR1913190.446096__1.446096	820__A0A396CMY7__HMPREF1072_03009
ERR1913190.446128__1.446128	817__E1WPG4__M133_4264
ERR1913190.446438__1.446438	301302__R5UKP4__cbiT
ERR1913190.446480__1.446480	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913190.446631__1.446631	165179__A0A3E5E920__DXB80_11625
ERR1913190.446898__1.446898	165179__A0A3E5EDS1__DXC61_03115
ERR1913190.447030__1.447030	165179__A0A3E5EDV6__DXC61_03365
ERR1913190.447068__1.447068	301301__G2SZN8__RHOM_00825
ERR1913190.447100__1.447100	165179__A0A174IPI3__CFT61_10940
ERR1913190.447188__1.447188	165179__R6CJG8__DXC61_09290
ERR1913190.447276__1.447276	214856__R6Z5D0__resA_4
ERR1913190.447306__1.447306	165179__A0A3E5EBM5__DXC61_02170
ERR1913190.447474__1.447474	1628085__A0A2U1BCH3__C7386_10746
ERR1913190.447566__1.447566	1263000__R5EXF8__BN466_01942
ERR1913190.447602__1.447602	165179__A0A229I7F5__DXB80_02650
ERR1913190.447822__1.447822	1263000__R5ES99__BN466_01121
ERR1913190.447853__1.447853	165179__A0A174XZU8__DXB80_12180
ERR1913190.447939__1.447939	165179__D1PDT3__PREVCOP_05375
ERR1913190.448035__1.448035	820__A0A3E4RU03__M093_0563
ERR1913190.448182__1.448182	1897011__A0A1Q6RF71__BHW41_03215
ERR1913190.448420__1.448420	1263000__R5EMZ8__BN466_00707
ERR1913190.448574__1.448574	1262882__R5N5S3__BN519_00085
ERR1913190.448792__1.448792	165179__A0A3E5DRF6__DXC61_00200
ERR1913190.448907__1.448907	1263000__R5EKT2__BN466_02168
ERR1913190.448951__1.448951	165179__A0A174MTF2__DXC61_13200
ERR1913190.449102__1.449102	74426__pflB_2
ERR1913190.449578__1.449578	1262911__R6H1B2__BN557_00840
ERR1913190.449682__1.449682	360807__C0FZM4__RIL183_06871
ERR1913190.449709__1.449709	1263000__R5ETU4__BN466_01378
ERR1913190.449796__1.449796	1262992__R5D733__BN795_00375
ERR1913190.450304__1.450304	165179__R6BQP4__DXC61_02015
ERR1913190.450273__1.450273	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913190.450459__1.450459	214856__R6XS02__ERS852447_01685
ERR1913190.450460__1.450460	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913190.450626__1.450626	165179__A0A174SA26__PREVCOP_05758
ERR1913190.450630__1.450630	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913190.450708__1.450708	165179__W1I4H6__DXB80_13655
ERR1913190.451061__1.451061	165179__D1PCT4__DXB80_09470
ERR1913190.451148__1.451148	165179__R6CNX7__DXB80_02200
ERR1913190.451200__1.451200	165179__D1PGJ6__DXC61_07300
ERR1913190.451559__1.451559	301301__A0A395V8X2__RHOM_00490
ERR1913190.451625__1.451625	1262882__R5MEN9__BN519_00201
ERR1913190.451634__1.451634	1262882__R5MEI8__BN519_00283
ERR1913190.451753__1.451753	357276__A0A0K2HP62__HMPREF1063_01560
ERR1913190.451820__1.451820	28116__A0A1H4GBQ8__HMPREF1017_04241
ERR1913190.451832__1.451832	1262882__R5MYI1__BN519_00416
ERR1913190.451852__1.451852	1720294__U2B2F8__DWY69_07720
ERR1913190.452082__1.452082	1262948__R7EFS3__BN671_00884
ERR1913190.452573__1.452573	165179__A0A174IPI3__CFT61_10940
ERR1913190.452788__1.452788	39485__A0A174Z851__cdaR_1
ERR1913190.453097__1.453097	1099853__G9S4N6__NSB1T_14340
ERR1913190.453109__1.453109	214856__A0A174A0R8__ERS852447_00998
ERR1913190.453247__1.453247	165179__A0A174PS14__DXC61_13945
ERR1913190.453455__1.453455	552398__F4XCQ4__HMPREF0866_01621
ERR1913190.453503__1.453503	165179__A0A3E5E643__DXB80_06030
ERR1913190.453652__1.453652	165179__A0A174IPI3__CFT61_10940
ERR1913190.453591__1.453591	214856__A0A173YDP1__ERS852559_00120
ERR1913190.453628__1.453628	360807__A0A173ZAC7__ROSEINA2194_01522
ERR1913190.453728__1.453728	39485__A0A174ZNW9__luxQ_1
ERR1913190.453708__1.453708	165179__D1P9T6__PREVCOP_04016
ERR1913190.453714__1.453714	1262882__R5MGK3__BN519_00655
ERR1913190.453784__1.453784	1628085__A0A2U1BCR5__C7386_10796
ERR1913190.453865__1.453865	487174__K0X694__DIT83_09060
ERR1913190.454121__1.454121	1263000__R5EH44__BN466_01492
ERR1913190.454238__1.454238	39485__A0A174ZG70__ERS852492_00929
ERR1913190.454324__1.454324	165179__D1PHM6__DXC61_06700
ERR1913190.454339__1.454339	1262882__R5MYX5__BN519_00333
ERR1913190.454453__1.454453	165179__D1P9T6__PREVCOP_04016
ERR1913190.454560__1.454560	1262882__R5N004__BN519_00490
ERR1913190.454784__1.454784	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913190.454915__1.454915	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913190.454929__1.454929	28117__B0MZ14__ALIPUT_02383
ERR1913190.454945__1.454945	47678__R5UPZ8__ERS852494_01752
ERR1913190.454975__1.454975	552398__F4XCQ4__HMPREF0866_01621
ERR1913190.454976__1.454976	552398__F4XCQ4__HMPREF0866_01621
ERR1913190.455178__1.455178	214856__A0A175A6T5__ERS852447_02658
ERR1913190.455187__1.455187	52227__F9D769__Prede_2522
ERR1913190.455298__1.455298	165179__R6PNJ9__PREVCOP_04730
ERR1913190.455583__1.455583	33025__A0A395JB55__C8D73_104122
ERR1913190.455612__1.455612	1263006__R6MLU5__BN515_01014
ERR1913190.455845__1.455845	552398__F4XCQ4__HMPREF0866_01621
ERR1913190.455930__1.455930	1262882__R5MKV8__BN519_01281
ERR1913190.456069__1.456069	1263000__R5EHB0__BN466_01647
ERR1913190.456196__1.456196	301301__A0A395VA74__RHOM_00280
ERR1913190.456281__1.456281	165179__R6C3K4__PREVCOP_05795
ERR1913190.456484__1.456484	165179__A0A3E5DN34__DXC61_07865
ERR1913190.456794__1.456794	165179__A0A174W369__PREVCOP_04548
ERR1913190.456803__1.456803	165179__A0A174IPI3__CFT61_10940
ERR1913190.456767__1.456767	853__A0A173TAZ8__DWZ46_14590
ERR1913190.456770__1.456770	1263000__R5EUM2__BN466_01747
ERR1913190.456830__1.456830	1262882__R5MHZ2__BN519_00742
ERR1913190.456920__1.456920	410072__A0A3E4GPR9__ERS852481_01341
ERR1913190.456951__1.456951	165179__D1PGU8__PREVCOP_06463
ERR1913190.457014__1.457014	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913190.457466__1.457466	165179__R6PU83__CFT61_14275
ERR1913190.457435__1.457435	28117__B0MTY2__BHV66_06485
ERR1913190.457591__1.457591	165179__A0A3E4SB80__DXC61_12880
ERR1913190.457643__1.457643	165179__A0A3E5A554__DXB80_13805
ERR1913190.457787__1.457787	1262882__R5N048__BN519_00502
ERR1913190.457959__1.457959	371601__D7J5K1__DXD80_05805
ERR1913190.458084__1.458084	853__A0A174BZY1__xerD_1
ERR1913190.458209__1.458209	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913190.458371__1.458371	745368__A0A1T4Y178__SAMN02745178_02628
ERR1913190.458373__1.458373	165179__D1PAJ7__PREVCOP_04222
ERR1913190.458420__1.458420	165179__A0A3E5DX15__DXC61_00345
ERR1913190.458469__1.458469	1262882__R5N1V0__BN519_00816
ERR1913190.458689__1.458689	165179__D1PCL6__DXB80_13435
ERR1913190.458771__1.458771	1262882__R5MQ68__BN519_01178
ERR1913190.458990__1.458990	1965560__A0A1Y4RK06__B5E82_10920
ERR1913190.459022__1.459022	165179__A0A174PS14__DXC61_13945
ERR1913190.459085__1.459085	28117__B0MXU6__ALIPUT_01958
ERR1913190.459273__1.459273	165179__D1PGU8__PREVCOP_06463
ERR1913190.459232__1.459232	552398__F4XCQ4__HMPREF0866_01621
ERR1913190.459484__1.459484	1262736__R5Y755__BN496_00651
ERR1913190.459601__1.459601	165179__D1PE06__DXC61_05975
ERR1913190.459651__1.459651	165179__A0A3E5EBM5__DXC61_02170
ERR1913190.459843__1.459843	1263000__R5EDV4__BN466_01097
ERR1913190.459906__1.459906	165179__D1PCL6__DXB80_13435
ERR1913190.460084__1.460084	165179__D1P9T6__PREVCOP_04016
ERR1913190.460114__1.460114	1262882__R5N3T7__BN519_01188
ERR1913190.460378__1.460378	301302__R5VCU3__cbiK_2
ERR1913190.460406__1.460406	165179__D1PAJ7__PREVCOP_04222
ERR1913190.460352__1.460352	1160721__W0U611__BHW50_08625
ERR1913190.460661__1.460661	1501391__GCA_000786575.1_00024
ERR1913190.460782__1.460782	165179__D1PCL6__DXB80_13435
ERR1913190.460786__1.460786	1099853__U5CLE4__NSB1T_06555
ERR1913190.460930__1.460930	165179__R6CNX7__DXB80_02200
ERR1913190.461010__1.461010	46503__R6Y4M7__HMPREF1078_03269
ERR1913190.461328__1.461328	1262882__R5N0J9__BN519_00773
ERR1913190.461335__1.461335	165179__D1PEZ7__DXC61_06515
ERR1913190.461347__1.461347	301301__A0A395VC27__adaA_5
ERR1913190.461736__1.461736	1262882__R5N5C3__BN519_01664
ERR1913190.461883__1.461883	189722__E0NQU7__HMPREF0658_0548
ERR1913190.461909__1.461909	47678__R5USR9__HMPREF1061_01404
ERR1913190.461911__1.461911	1897011__A0A1Q6REU8__BHW41_04300
ERR1913190.462039__1.462039	1262882__R5MGS8__BN519_00565
ERR1913190.462110__1.462110	1263000__R5EBJ1__BN466_00540
ERR1913190.462565__1.462565	165179__D1PES9__DXB80_11585
ERR1913190.462582__1.462582	1262882__R5MM69__BN519_00075
ERR1913190.462841__1.462841	165179__A0A3E5E2S3__DXB80_03455
ERR1913190.463010__1.463010	165179__R6CNX7__DXB80_02200
ERR1913190.463402__1.463402	1897011__A0A1Q6RGB4__BHW41_02795
ERR1913190.463486__1.463486	1776392__A0A1Y4T4U1__B5E75_01580
ERR1913190.463545__1.463545	165179__R6XIF8__DXC61_07265
ERR1913190.463962__1.463962	1262882__R5MRT2__BN519_01494
ERR1913190.464013__1.464013	1262882__R5N1L4__BN519_00757
ERR1913190.464168__1.464168	33025__A0A395JBA6__C8D73_1039
ERR1913190.464341__1.464341	820__R9I3N4__M093_0061
ERR1913190.464448__1.464448	28117__B0MVL2__BHV66_01645
ERR1913190.464890__1.464890	33025__A0A395J947__C8D73_11315
ERR1913190.465259__1.465259	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913190.465277__1.465277	46503__R6Y2Q2__DCY29_15375
ERR1913190.465305__1.465305	40520__R7DAD5__ERS852394_01838
ERR1913190.465363__1.465363	165179__A0A174W369__PREVCOP_04548
ERR1913190.465462__1.465462	1262882__R5N0M6__BN519_00794
ERR1913190.465506__1.465506	820__A0A3E4G826__C801_01612
ERR1913190.465584__1.465584	853__D4KAK8__C4N21_13380
ERR1913190.465590__1.465590	165179__R6C3K4__PREVCOP_05795
ERR1913190.465680__1.465680	1262882__R5MLP5__BN519_01602
ERR1913190.465709__1.465709	1262882__R5N3T7__BN519_01188
ERR1913190.465719__1.465719	1897011__A0A1Q6RGZ3__BHW41_01455
ERR1913190.465786__1.465786	46228__V8C9Y1__DXD17_09525
ERR1913190.465782__1.465782	165179__A0A3E5EBM5__DXC61_02170
ERR1913190.465890__1.465890	165179__A0A3E5DZ45__DXC61_02820
ERR1913190.465987__1.465987	1262882__R5MRS7__BN519_01490
ERR1913190.466029__1.466029	1263000__R5EI35__BN466_01649
ERR1913190.466022__1.466022	1262882__R5MFY4__BN519_00529
ERR1913190.466105__1.466105	1263000__R5EFJ5__BN466_01372
ERR1913190.466117__1.466117	165179__A0A174W369__PREVCOP_04548
ERR1913190.466190__1.466190	165179__A0A3E5AAM8__DXB80_10240
ERR1913190.466199__1.466199	301302__A0A0M6WB38__ERS852420_00286
ERR1913190.466263__1.466263	28117__B0MY40__BHV66_05170
ERR1913190.466541__1.466541	165179__D1P8K1__DXB80_06045
ERR1913190.466492__1.466492	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913190.466500__1.466500	165179__A0A174K816__DXB80_12000
ERR1913190.466501__1.466501	165179__A0A3E5AF88__DXC61_14960
ERR1913190.466613__1.466613	1628085__A0A2U1B8P6__C7386_11432
ERR1913190.466617__1.466617	165179__A0A3E5ED28__PREVCOP_06655
ERR1913190.466752__1.466752	28117__B0MWC6__BHV66_00965
ERR1913190.466949__1.466949	165179__A0A3E5AER8__DXB80_07075
ERR1913190.466957__1.466957	1263000__R5ELA0__BN466_02255
ERR1913190.467028__1.467028	1262882__R5MSX6__BN519_01697
ERR1913190.467121__1.467121	165179__A0A3E5E189__PREVCOP_06699
ERR1913190.467095__1.467095	1897011__A0A1Q6RJV1__BHW41_00035
ERR1913190.467228__1.467228	28117__R7JPX7__BHV66_00900
ERR1913190.467250__1.467250	1262882__R5MLA4__BN519_01536
ERR1913190.467273__1.467273	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913190.467308__1.467308	745368__A0A1T4XU57__SAMN02745178_02337
ERR1913190.467319__1.467319	47678__R5UUD7__bga_1
ERR1913190.467705__1.467705	165179__A0A3E4SB95__DXC61_13455
ERR1913190.467816__1.467816	28117__B0MXG8__ALIPUT_01814
ERR1913190.467781__1.467781	487174__R5F4K8__HMPREF9448_01532
ERR1913190.467848__1.467848	165179__A0A3E5EB26__CFT61_02800
ERR1913190.468020__1.468020	1262911__R6GPC5__BN557_00852
ERR1913190.468081__1.468081	214856__A0A174ZJU0__ERS852559_00619
ERR1913190.468170__1.468170	165179__W1I4H6__DXB80_13655
ERR1913190.468265__1.468265	820__A0A174VD39__DXD90_12235
ERR1913190.468269__1.468269	410072__A0A174ND44__ERS852389_01731
ERR1913190.468416__1.468416	1263000__R5EFY3__BN466_01416
ERR1913190.468592__1.468592	39490__U2PCP5__HMPREF0373_03001
ERR1913190.468551__1.468551	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913190.468617__1.468617	39485__A0A175A403__EUBELI_20577
ERR1913190.468671__1.468671	1263000__R5EXF8__BN466_01942
ERR1913190.468634__1.468634	1263011__R6E3N4__BN553_01940
ERR1913190.468685__1.468685	301301__A0A395VCJ3__cbiT
ERR1913190.468763__1.468763	39485__C4Z058__ERS852492_00130
ERR1913190.468967__1.468967	35833__E5Y1W3__HMPREF0179_00172
ERR1913190.468975__1.468975	165179__R6C330__DXC61_04975
ERR1913190.469013__1.469013	165179__A0A174XZU8__DXB80_12180
